Marathi,Punjabi
1. कॉन्ट्रॅक्ट फार्मिंग 2. कॉन्ट्रॅक्ट फार्मिंग 3. कॉन्ट्रॅक्ट फार्मिंग,1. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ 2. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ 3. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ
नियंत्रित वातावरणीय संचयन,ਨਿਯੰਤਰਿਤ ਵਾਯੂਮੰਡਲ ਸਟੋਰੇਜ਼
सहकारी बँक,ਸਹਿਕਾਰੀ ਬੈਂਕ
सहकारी संस्था सदस्य,ਸਹਿਕਾਰੀ ਸਭਾ ਦੇ ਮੈਂਬਰ
गुलमावन,ਗੁਲਮਾਵਨ
चौकोनी तुकडे,ਘਣ
1. दालपुंज 2. कोरोला,1. ਦਲਪੁੰਜ 2. ਕੋਰੋਲਾ
1. कॉर्टेक्स 2. कॉर्टेक्स,1. ਕਾਰਟੈਕਸ 2. ਕਾਰਟੈਕਸ
खर्च,ਲਾਗਤ
cotyledon,cotyledon
क्रेडिट समिती,ਕ੍ਰੈਡਿਟ ਕਮੇਟੀ
1. कर्ज देणे 2. क्रेडिट,1. ਉਧਾਰ 2. ਕ੍ਰੈਡਿਟ
1. सावकार 2. कर्जदार,1. ਰਿਣਦਾਤਾ 2. ਲੈਣਦਾਰ
1. क्रेस्ट 2. शिरोबिंदू 3. स्पायर,1. ਕਰੈਸਟ 2. ਸਿਰਾ 3. ਸਪਾਇਰ
मागे घेणे,ਵਾਪਸੀ
समस्या,ਸਮੱਸਿਆ
चाचणी,ਟੈਸਟ
गंभीर,ਨਾਜ਼ੁਕ
पीक विमा,ਫਸਲ ਬੀਮਾ
पीक कर्ज,ਫਸਲ ਕਰਜ਼ਾ
1. पीक 2. पीक,1. ਫਸਲ 2. ਫਸਲ
लागवड क्षेत्र,ਕਾਸ਼ਤ ਖੇਤਰ
क्रॉस विसंगत,ਪਾਰ ਅਸੰਗਤ
1. मुकुट 2. शिखर (वनस्पती),1. ਤਾਜ 2. ਸਿਖਰ (ਪੌਦਾ)
मऊ कण,ਨਰਮ ਕਣ
कवच,ਛਾਲੇ
1. क्रिप्टोगाम 2. नॉन-फ्लोरिफॉर्म,1. ਕ੍ਰਿਪਟੋਗਾਮ 2. ਗੈਰ-ਫਲੋਰੀਫਾਰਮ
छाटणी (फळ),ਛਾਂਟੀ (ਫਲ)
पेन,ਕਲਮ
वाणाची विविधता,ਕਿਸਮ ਦੀ ਕਿਸਮ
1. कर्षण 2. शेती 3. शेती,1. ਟ੍ਰੈਕਸ਼ਨ 2. ਖੇਤੀਬਾੜੀ 3. ਖੇਤੀ
1. शेतकरी 2. शेती करणारा,1. ਕਿਸਾਨ 2. ਕਾਸ਼ਤਕਾਰ
1. मशागत 2. मशागत 3. संगोपन,1. ਕਾਸ਼ਤ 2. ਕਾਸ਼ਤ 3. ਪਾਲਣ
1. संसाधन 2. तयारी,1.ਸਰੋਤ 2.ਤਿਆਰੀ
1.कुंतलन 2.कुंचोन,1.ਕੁੰਤਲਨ 2.ਕੁੰਚਨ
पवित्रा,ਆਸਣ
1. एपिडर्मिस 2. क्यूटिकल,1. ਐਪੀਡਰਰਮਿਸ 2. ਛੱਲੀ
1. पेन 2. कटिंग 3. कटिंग 4. कटिंग 5. कटिंग,1. ਕਲਮ 2. ਕੱਟਣਾ 3. ਕੱਟਣਾ 4. ਕੱਟਣਾ 5. ਕੱਟਣਾ
1. वर्म कॉर्पस 2. सिस्ट 3. सिस्ट 4. विकृत ढेकूळ 5. निओप्लाझम,1. ਕੀੜਾ ਸਰੀਰ 2. ਸਿਸਟ 3. ਗੰਢ 4. ਵਿਗੜਿਆ ਗੰਢ 5. ਨਿਓਪਲਾਜ਼ਮ
सायटोक्रोम,cytochrome
सेल जोडणी,ਸੈੱਲ ਜੋੜਨਾ
सेल पुनरुत्पादन,ਸੈੱਲ ਪ੍ਰਜਨਨ
सेल आनुवंशिकी,ਸੈੱਲ ਜੈਨੇਟਿਕਸ
सायटोप्लाज्मिक विभागणी,cytoplasmic ਡਿਵੀਜ਼ਨ
सेल जीवशास्त्र,ਸੈੱਲ ਜੀਵ ਵਿਗਿਆਨ
सेल lysis,ਸੈੱਲ lysis
1. सायटोमेर 2. सेल सेगमेंटेशन,1. ਸਾਇਟੋਮੇਰ 2. ਸੈੱਲ ਸੈਗਮੈਂਟੇਸ਼ਨ
सायटोप्लाझम,cytoplasm
1. दुग्धव्यवसाय 2. दुग्धव्यवसाय,1. ਡੇਅਰੀ 2. ਡੇਅਰੀ
डेअरी उद्योग,ਡੇਅਰੀ ਉਦਯੋਗ
1. धरण 2. ब्रीडर,1. ਡੈਮ 2. ਬਰੀਡਰ
दिवस निरपेक्ष वनस्पती,ਦਿਨ ਦਾ ਸੰਪੂਰਨ ਪੌਦਾ
फुलांच्या नंतर दिवस,ਫੁੱਲ ਦੇ ਬਾਅਦ ਦਿਨ
पूर्ण फुलांच्या नंतरचा दिवस,ਪੂਰੇ ਫੁੱਲ ਦੇ ਬਾਅਦ ਦਿਨ
अकार्यक्षमता,ਅਕੁਸ਼ਲਤਾ
decalcification,decalcification
1. डिस्लॉज 2. डिस्लॉज,1. ਡਿਸਲੋਜ 2. ਡਿਸਲੋਜ
क्षय,ਸੜਨ
पर्णपाती,ਪਤਝੜ
1. दशांश 2. दशांश,1. ਦਸ਼ਮਲਵ 2. ਦਸ਼ਮਲਵ
कनिष्ठता,ਘਟੀਆਪਨ
अनुरन (माती),ਅਨੁਰਾਨ (ਮਿੱਟੀ)
विपुष्पन,ਵਿਪੁਸ਼ਪਨ
बिलिंग,ਬਿਲਿੰਗ
जंगलतोड,ਕਟਾਈ
बदनामी,ਬਦਨਾਮੀ
ऱ्हास,ਪਤਨ
भाग दिवस,ਭਾਗ ਦਿਨ
1. प्रमाण 2. भाग,1. ਮਾਤਰਾ 2. ਹਿੱਸਾ
विघटन,dehiscence
भुसा काढणे,ਭੂਸੀ ਨੂੰ ਹਟਾਉਣਾ
भुसा काढणे,ਭੂਸੀ ਨੂੰ ਹਟਾਉਣਾ
निर्जलीकरण,ਡੀਹਾਈਡਰੇਸ਼ਨ
निर्जल,ਨਿਹਾਈਡ੍ਰਸ
मागणी,ਮੰਗ
1. विकृतीकरण 2. गुणाकार,1. ਵਿਨਾਸ਼ਕਾਰੀ 2. ਗੁਣਾ
निंदा,ਖੰਡਨ
1. ठेव (माती) 2. ठेव (अर्थशास्त्र),1. ਜਮ੍ਹਾ (ਮਿੱਟੀ) 2. ਜਮ੍ਹਾ (ਆਰਥਿਕਤਾ)
ठेव,ਜਮ੍ਹਾ
1. घसारा 2. घसारा,1. ਘਟਾਓ 2. ਘਟਾਓ
डिसेलिनेशन,ਡੀਸਲੀਨੇਸ਼ਨ
1. पाणी कोरडे होणे 2. निर्जलीकरण,1. ਪਾਣੀ ਸੁਕਾਉਣਾ 2. ਡੀਹਾਈਡਰੇਸ਼ਨ
1. डिझाइन 2. डिझाइन,1. ਡਿਜ਼ਾਈਨ 2. ਡਿਜ਼ਾਈਨ
कोरडे,ਸੁੱਕਣ ਵਾਲਾ
कर्नल काढणे,ਕਰਨਲ ਹਟਾਉਣ
डी-इंटरकलेशन,ਡੀ-ਇੰਟਰਕਲੇਸ਼ਨ
संयुग्मन,ਸੰਜੋਗ
1. नर मांजरी उतारा (मका) 2. बल्लार उतारा,1. ਨਰ ਮੰਜਰੀ ਐਕਸਟਰੈਕਸ਼ਨ (ਮੱਕੀ) 2. ਬੱਲਰ ਐਕਸਟਰੈਕਸ਼ਨ
बल्लार किंवा कुंदन कटिंग,ਬੱਲਰ ਜਾਂ ਕੁੰਦਨ ਕੱਟਣਾ
निर्धारक,ਨਿਰਧਾਰਕ
अवमूल्यन,devaluation
वनस्पती काढून टाकणे,de-vegetate
विचलन,ਭਟਕਣਾ
दुप्पट,ਡਬਲ
निदान,ਨਿਦਾਨ
भिन्न परिपक्वता,ਵੱਖਰੀ ਪਰਿਪੱਕਤਾ
दुभाजक,ਵੰਡ
1. डायकोटीलेडॉन 2. डायकोटीलेडॉन (बियाणे),1. ਡਾਇਕੋਟਾਈਲਡਨ 2. ਡਾਇਕੋਟਾਈਲਡਨ (ਬੀਜ)
पाठीचा आजार,ਪਿੱਠ ਦੀ ਬਿਮਾਰੀ
1. प्रसार 2. प्रसार,1. ਫੈਲਾਅ 2. ਪ੍ਰਸਾਰ
पचनक्षमता,ਪਾਚਨ ਸਮਰੱਥਾ
dihybrid,ਡਾਇਹਾਈਬ੍ਰਿਡ
1. धरण 2. नाला 3. कुटुंब,1. ਡੈਮ 2. ਡਰੇਨ 3. ਪਰਿਵਾਰ
अल्प,ਮਾਮੂਲੀ
1. एकपत्नी 2. एकपत्नी,1. ਮੋਨੋਗੈਮਸ 2. ਮੋਨੋਗੈਮਸ
द्विगुणित,ਡਿਪਲੋਇਡ
1. डिप्लोइड 2. डिप्लोइड,1. ਡਿਪਲੋਇਡ 2. ਡਿਪਲੋਇਡ
द्विध्रुव,dipole
1. उतारा 2. अंकुर काढणे,1. ਕੱਢਣਾ 2. ਬਡ ਹਟਾਉਣਾ
1. नांगरणी 2. कताई,1. ਹਲ ਵਾਹੁਣਾ 2. ਕਤਾਈ
सवलत,ਛੂਟ
निर्जंतुकीकरण,ਕੀਟਾਣੂਨਾਸ਼ਕ
1. फैलाव 2. विखुरणे,1. ਫੈਲਾਅ 2. ਖਿੰਡਾਉਣਾ
1.विखुरणे 2.विविधता,1. ਖਿੰਡਾਉਣਾ 2. ਪਰਿਵਰਤਨ
विविधीकरण,ਵਿਭਿੰਨਤਾ
वैविध्यपूर्ण शेती,ਵਿਭਿੰਨ ਖੇਤੀਬਾੜੀ
डीएनए पाऊल,ਡੀਐਨਏ ਕਦਮ
डीएनए प्राप्तकर्ता,ਡੀ.ਐਨ.ਏ ਪ੍ਰਾਪਤਕਰਤਾ
डॉक भाड्याने,ਡੌਕ ਕਿਰਾਏ &#39;ਤੇ
प्रभावी,ਅਸਰਦਾਰ
सुप्तता,ਸੁਸਤਤਾ
1. प्रमाण 2. डोस 3. डोस,1. ਮਾਤਰਾ 2. ਖੁਰਾਕ 3. ਖੁਰਾਕ
दुहेरी सिग्मॉइड वक्र,ਡਬਲ ਸਿਗਮੋਇਡ ਕਰਵ
1. झोडप 2. ताणणे,1. ਝੱਖੜ 2. ਖਿੱਚੋ
1. एक्झॉस्ट ड्रेन 2. सांडपाणी,1. ਐਗਜ਼ੌਸਟ ਡਰੇਨ 2. ਗੰਦਾ ਪਾਣੀ
ड्रेनेज,ਡਰੇਨੇਜ
कर्षण,ਖਿੱਚ
1. औषध द्या 2. भिजवा,1. ਦਵਾਈ ਦਿਓ 2. ਭਿੱਜੋ
सौंदर्य प्रसाधने (बिया),ਕਾਸਮੈਟਿਕਸ (ਬੀਜ)
1. औगर 2. उथळ फॉल्ट 3. ड्रिल 4. औगर,1. auger 2. ਘੱਟ ਨੁਕਸ 3. ਡ੍ਰਿਲ 4. auger
1. भोक 2. ड्रिल 3. ड्रिल,1. ਮੋਰੀ 2. ਡ੍ਰਿਲ 3. ਡ੍ਰਿਲ
1. ड्रिलिंग 2. ड्रिलसह पेरणी 3. ड्रिलसह ओतणे,1. ਡ੍ਰਿਲਿੰਗ 2. ਇੱਕ ਮਸ਼ਕ ਨਾਲ ਬਿਜਾਈ 3. ਇੱਕ ਮਸ਼ਕ ਨਾਲ ਡੋਲ੍ਹਣਾ
ठिबक सिंचन,ਤੁਪਕਾ ਸਿੰਚਾਈ
कोरडी शेती,ਸੁੱਕੀ ਖੇਤੀ
1.धूळ 2.बुकनी,1.ਧੂੜ 2.ਬੁਕਨੀ
1. डस्टर 2. स्कॅटरर,1. ਡਸਟਰ 2. ਸਕੈਟਰਰ
शिंपडणे,ਛਿੜਕਣ ਲਈ
1. बटू 2. वामन,1. ਬੌਣਾ 2. ਵਾਮਨ
वामन पिरॅमिड,ਵਾਮਨ ਪਿਰਾਮਿਡ
वामिनी भवन,ਵਾਮਿਨੀ ਭਵਨ
पर्यावरणशास्त्र,ਵਾਤਾਵਰਣ
अर्थमिति,ਅਰਥ ਗਣਿਤ
आर्थिक कार्यक्षमता,ਆਰਥਿਕ ਕੁਸ਼ਲਤਾ
परिस्थितीजन्य प्रकार,ਸਥਿਤੀ ਦੀ ਕਿਸਮ
अतिरिक्त-स्तरीकृत,ਵਾਧੂ ਪੱਧਰੀ
मऊ,ਨਰਮ
माती विज्ञान,ਮਿੱਟੀ ਵਿਗਿਆਨ
1. ब्रिजिंग 2. एजिंग 3. स्ट्रँड क्लोजर,1. ਬ੍ਰਿਜਿੰਗ 2. ਕਿਨਾਰਾ 3. ਸਟ੍ਰੈਂਡ ਕਲੋਜ਼ਰ
अन्न भाग,ਭੋਜਨ ਦਾ ਹਿੱਸਾ
मागणीची लवचिकता,ਮੰਗ ਦੀ ਲਚਕਤਾ
उत्पादन लवचिकता,ਉਤਪਾਦਨ ਦੀ ਲਚਕਤਾ
इलेक्ट्रोलिसिस,ਇਲੈਕਟ੍ਰੋਲਾਈਸਿਸ
इलेक्ट्रोफोरेसीस,ਇਲੈਕਟ੍ਰੋਫੋਰੇਸਿਸ
बाष्पीभवन,ਵਾਸ਼ਪੀਕਰਨ
1. शिरच्छेद करणारा 2. निर्जंतुक करणारा 3. शिरच्छेद करणारा 4. निर्जंतुक करणारा,1. ਡੀਕੈਪੀਟੇਟਰ 2. ਨਸਬੰਦੀ 3. ਡੀਕੈਪੀਟੇਟਰ 4. ਨਸਬੰਦੀ
1. विर बंदी 2. स्ट्रॉबंडी,1. ਵੀਰ ਬੰਦੀ 2. ਤੂੜੀ
गर्भ,ਭਰੂਣ
1. भ्रूणशास्त्र 2. भौतिकशास्त्र,1. ਭਰੂਣ ਵਿਗਿਆਨ 2. ਭੌਤਿਕ ਵਿਗਿਆਨ
1. बाहेर पडा 2. बाहेर पडा,1. ਨਿਕਾਸ 2. ਨਿਕਾਸ
emulsifier,emulsifier
अंतर्जात,ਅੰਤਰਜਾਤੀ
आंतर-बिंदू विभागणी,ਅੰਤਰ-ਪੁਆਇੰਟ ਡਿਵੀਜ਼ਨ
आंतर-परजीवी,ਅੰਤਰ-ਪਰਜੀਵੀ
एंडोस्पर्म,ਐਂਡੋਸਪਰਮ
उपक्रम,ਉੱਦਮ
कीटकशास्त्र,ਕੀਟ ਵਿਗਿਆਨ
वातावरण,ਵਾਤਾਵਰਣ
1. एन्झाइम 2. एन्झाइम,1. ਐਨਜ਼ਾਈਮ 2. ਐਨਜ਼ਾਈਮ
क्लस्टर ग्राफ्टिंग,ਕਲੱਸਟਰ ਗ੍ਰਾਫਟਿੰਗ
1. एपिफाइट 2. एपिफाइट,1. ਐਪੀਫਾਈਟ 2. ਐਪੀਫਾਈਟ
इक्विटी,ਇਕੁਇਟੀ
निर्मूलन,ਖਾਤਮਾ
आवश्यक पोषक,ਜ਼ਰੂਰੀ ਪੌਸ਼ਟਿਕ ਤੱਤ
1. मापन 2. उडी 3. मूल्यांकन,1. ਮਾਪ 2. ਜੰਪ 3. ਮੁਲਾਂਕਣ
चातुर्य,ਚੁਸਤ
सुजननिक,ਸੁਜਾਨਿਕ
मूल्यमापन,ਮੁਲਾਂਕਣ
स्टीम गेज,ਭਾਫ਼ ਗੇਜ
बाष्पीभवन,evaportranspiration
शाश्वत क्रांती,ਸਦੀਵੀ ਇਨਕਲਾਬ
1. सदाहरित 2. सदाहरित,1. ਸਦਾਬਹਾਰ 2. ਸਦਾਬਹਾਰ
विकास,ਵਿਕਾਸ
कापला,ਬੰਦ ਕਰ ਦਿਓ
परिक्षय (प्रजनन क्षमता),ਪਰੀਕਸ਼ਯ (ਜਣਨ ਸ਼ਕਤੀ)
शोषण,ਸ਼ੋਸ਼ਣ
1. अन्वेषण 2. अन्वेषण,1. ਖੋਜ 2. ਖੋਜ
1. एक्सट्रूजन 2. उत्सर्जन,1. ਐਕਸਟਰਿਊਸ਼ਨ 2. ਨਿਕਾਸ
डोळा,ਆਈ
1. घटक 2. घटक 3. घटक 4. संसाधन,1. ਫੈਕਟਰ 2. ਕੰਪੋਨੈਂਟ 3. ਫੈਕਟਰ 4. ਸਰੋਤ
घटक उत्पादकता,ਕਾਰਕ ਉਤਪਾਦਕਤਾ
व्यापारी सवलत,ਵਪਾਰੀ ਦੀ ਛੋਟ
फॅक्टोरियल ब्लॉक डिझाइन,ਫੈਕਟੋਰੀਅਲ ਬਲਾਕ ਡਿਜ਼ਾਈਨ
पर्यायी,ਵਿਕਲਪਕ
1. पट्टी 2. पालिहार,1. ਪੱਟੀ 2. ਪਾਲੀਹਾਰ
स्थूल,ਕੁੱਲ
फील्ड मूल्यांकन,ਖੇਤਰ ਦਾ ਮੁਲਾਂਕਣ
शेती बजेट,ਖੇਤੀ ਬਜਟ
कृषी व्यवसाय,ਖੇਤੀਬਾੜੀ ਕਾਰੋਬਾਰ
क्षेत्र नियोजन,ਖੇਤਰ ਦੀ ਯੋਜਨਾਬੰਦੀ
1. शेतकरी 2. शेतकरी,1. ਕਿਸਾਨ 2. ਕਿਸਾਨ
1. शेती 2. शेती,1. ਖੇਤੀ 2. ਖੇਤੀ
टक्कर,ਟੱਕਰ
एकाधिक प्रजनन,ਮਲਟੀਪਲ ਪ੍ਰਜਨਨ
किण्वन,ਫਰਮੈਂਟੇਸ਼ਨ
प्रजनन क्षमता,ਜਣਨ
खत,ਖਾਦ
खत वापर कार्यक्षमता,ਖਾਦ ਵਰਤਣ ਦੀ ਕੁਸ਼ਲਤਾ
तंतुमय,ਰੇਸ਼ੇਦਾਰ
1. शेत 2. क्षेत्रफळ 3. ठिकाण,1. ਫਾਰਮ 2. ਖੇਤਰ 3. ਸਥਾਨ
माती पाणी धारण,ਮਿੱਟੀ ਦੇ ਪਾਣੀ ਨੂੰ ਰੱਖਣ
फील्ड प्रात्यक्षिक,ਖੇਤਰ ਪ੍ਰਦਰਸ਼ਨ
1. स्थिरीकरण 2. फिक्सेशन 3. फिक्सेशन,1. ਸਥਿਰਤਾ 2. ਫਿਕਸੇਸ਼ਨ 3. ਫਿਕਸੇਸ਼ਨ
1. पूर 2. गर्भाधान,1. ਡੁੱਬਣਾ 2. ਗਰਭਪਾਤ
प्रवाह चित्र,ਵਹਾਅ ਚਿੱਤਰ
अन्न मूल्य,ਭੋਜਨ ਮੁੱਲ
चारा,ਚਾਰਾ
अंदाज,ਪੂਰਵ ਅਨੁਮਾਨ
वन,ਜੰਗਲ
वनीकरण,ਜੰਗਲਾਤ
1. तडपर्न 2. फॉर्म,1. ਤਾਦਪਰਨ 2. ਰੂਪ
दंव प्रतिरोधक,ਠੰਡ ਰੋਧਕ
1. पाला 2. अनिष्ट,1. ਪਾਲਾ 2. ਝੁਲਸ
1. गोठलेले 2. गोठलेले,1. ਜੰਮਿਆ ਹੋਇਆ 2. ਜੰਮਿਆ ਹੋਇਆ
कार्य,ਫੰਕਸ਼ਨ
1. फ्रुट फॉल 2. फ्रुट फॉल,1. ਫਰੂਟ ਫਾਲ 2. ਫਰੂਟ ਫਾਲ
फळ बनणे,ਫਲ ਬਣ
1. फ्युमिगेशन 2. फ्युमिगेशन,1. ਧੁਨੀ 2. ਧੁੰਦ
बुरशीनाशक,ਉੱਲੀਨਾਸ਼ਕ
बुरशीविरोधी,ਐਂਟੀਫੰਗਲ
बुरशी,ਉੱਲੀ
1. खुद 2. सीता,1. ਖੁਦਾ 2. ਸੀਤਾ
1. फ्यूजन 2. फ्यूजन,1. ਫਿਊਜ਼ਨ 2. ਫਿਊਜ਼ਨ
कापूस लोकर,ਕਪਾਹ ਉੱਨ
केसाळ,ਵਾਲਾਂ ਵਾਲਾ
1. झाडाचा व्रण 2. पिटिका,1. ਰੁੱਖ ਦਾ ਫੋੜਾ 2. ਪਿਟਿਕਾ
1. गेमेट्स 2. गेमेट्स,1. ਗੇਮੇਟਸ 2. ਗੇਮੇਟਸ
1. बाग 2. बाग,1. ਬਾਗ 2. ਬਾਗ
1. पानसाल 2. हायड्रोमीटर,1. ਪੰਸਲ 2. ਹਾਈਡਰੋਮੀਟਰ
जनुक संग्रह,ਜੀਨ ਸੰਗ੍ਰਹਿ
जीन टॅगन,ਜੀਨ ਟੈਗਨ
वंशावळी,ਵੰਸ਼ਾਵਲੀ
जनुक नकाशा,ਜੀਨ ਨਕਸ਼ਾ
अनुवांशिक,ਜੈਨੇਟਿਕਸ
1. जीनोम 2. सांगेन,1. ਜੀਨੋਮ 2. ਸੰਗੀਨ
संजिनी कलेक्शन,ਸੰਜੀਨੀ ਸੰਗ੍ਰਹਿ
जीनोमिक्स,ਜੀਨੋਮਿਕਸ
जीनोटाइप,ਜੀਨੋਟਾਈਪ
1. जीन स्ट्रक्चर 2. जीन प्रकार,1. ਜੀਨ ਬਣਤਰ 2. ਜੀਨ ਦੀ ਕਿਸਮ
लिनेज,ਲਿੰਗ
1. वंश 2. वंश,1. ਜੀਨਸ 2. ਵੰਸ਼
1. जंतू 2. जंतू,1. ਜਰਮ 2. ਕੀਟਾਣੂ
जंतूनाशक,ਕੀਟਾਣੂਨਾਸ਼ਕ
उगवण,ਉਗਣਾ
1. जर्मप्लाझम 2. जर्मप्लाझम,1. ਜਰਮਪਲਾਜ਼ਮ 2. ਜਰਮਪਲਾਜ਼ਮ
गिबेरेलिक ऍसिड,gibberellic ਐਸਿਡ
गोळा करणे,ਇਕੱਠਾ ਕਰਨਾ
तुष,ਤੁਸ਼
1. ग्लूटेन 2. खादाड,1. ਗਲੁਟਨ 2. ਪੇਟੂ
ग्लायकोलिसिस,glycolysis
छान,ਵਧੀਆ
सुवर्ण क्रांती,ਸੁਨਹਿਰੀ ਇਨਕਲਾਬ
1. वर्गीकरण 2. वर्गीकरण 3. स्तरीकरण,1. ਵਰਗੀਕਰਨ 2. ਵਰਗੀਕਰਨ 3. ਪੱਧਰੀਕਰਨ
1. कलमी वनस्पती 2. पेनम्ब्रल वनस्पती,1. ਗ੍ਰਾਫਟਡ ਪੌਦਾ 2. ਪੇਨਮਬਰਲ ਪਲਾਂਟ
पेन विसंगत,ਕਲਮ ਅਸੰਗਤ
ग्राना,ਗ੍ਰਾਨਾ
दाणेदार,ਦਾਣੇ
हिरवे खत,ਹਰੀ ਖਾਦ
हरित क्रांती,ਹਰੀ ਕ੍ਰਾਂਤੀ
वाढ आणि विकास,ਵਿਕਾਸ ਅਤੇ ਵਿਕਾਸ
1. हिरड्या रोग,1. ਮਸੂੜਿਆਂ ਦੀ ਬਿਮਾਰੀ
विषमलिंगी,ਵਿਪਰੀਤ ਲਿੰਗੀ
1. प्रकृति 2. निसर्ग 3. रूपगुण 4. रूप,1. ਪ੍ਰਕ੍ਰਿਤੀ 2. ਕੁਦਰਤ 3. ਰੂਪਗੁਣਾ 4. ਦਿੱਖ
1. ओला 2. कर्कपट 3. कर्का,1. ਓਲਾ 2. ਕਰਕਪਟ 3. ਕਰਕਾ
रोमिलवॉच,ਰੋਮਿਲਵਾਚ
खारट गळू,ਖਾਰੇ ਗੱਠ
हॅरो,ਹੈਰੋ
1. कापणी निर्देशांक 2. कापणी निर्देशांक,1. ਵਾਢੀ ਸੂਚਕਾਂਕ 2. ਵਾਢੀ ਸੂਚਕਾਂਕ
1. कापणी 2. काढणी केलेले पीक 3. पूर्ण झालेले पीक 4. उत्पन्न,1. ਵਾਢੀ 2. ਵਾਢੀ ਹੋਈ ਫ਼ਸਲ 3. ਮੁਕੰਮਲ ਫ਼ਸਲ 4. ਝਾੜ
1. तोडणे 2. कापणी करणे 3. तोडणे,1. ਵੱਢਣਾ 2. ਵਾਢੀ 3. ਵੱਢਣਾ
1. अंडी घालणे 2. अंडी फोर्स,1. ਅੰਡਾ ਦੇਣਾ 2. ਅੰਡੇ ਦੀ ਤਾਕਤ
सुकलेले गवत,ਸੁੱਕਾ ਘਾਹ
कोरडे खाद्य,ਸੁੱਕੀ ਫੀਡ
गंजी,ਗੰਜੀ
धुके,ਧੁੰਦ
धुके,ਧੁੰਦਲਾ
1. बाली 2. सित्त 3. मुंडक 4. शीर्ष 5. डोके 6. सिरा,1. ਬਲੀ 2. ਸੀਤਾ 3. ਮੁੰਡਕ 4. ਸਿਖਰ 5. ਸਿਰ 6. ਸਿਰਾ
खोबणीचा शेवट,ਝਰੀ ਦਾ ਅੰਤ
शीर्ष रोपांची छाटणी,ਚੋਟੀ ਦੀ ਛਾਂਟੀ
कुंपण,ਵਾੜ
ताब्यात,ਹਿਰਾਸਤ
कुंडलिनी,ਕੁੰਡਲਨੀ
हेमॅटाइट,hematite
1. औषधी वनस्पती 2. औषधी वनस्पती,1. ਜੜੀ ਬੂਟੀ 2. ਜੜੀ ਬੂਟੀ
1.बॉटनिकल कलेक्शन 2.बॉटनिकल म्युझियम,1.ਬੋਟੈਨੀਕਲ ਕਲੈਕਸ਼ਨ 2.ਬੋਟੈਨੀਕਲ ਮਿਊਜ਼ੀਅਮ
तणनाशक,ਜੜੀ-ਬੂਟੀਆਂ ਨਾਸ਼ਕ
आनुवंशिकता,ਖ਼ਾਨਦਾਨੀ
आनुवंशिकता,ਖ਼ਾਨਦਾਨੀ
उभयलिंगी,ਲਿੰਗੀ
heterochromatic,heterochromatic
heterofertilization,heterofertilization
1. हायब्रिडोज 2. हेटेरोसिस,1. ਹਾਈਬ੍ਰਿਡੋਜ਼ 2. ਹੇਟਰੋਸਿਸ
सेक्सक्रोमोसोम,ਸੈਕਸਕ੍ਰੋਮੋਸੋਮ
पालनपोषण,ਪਾਲਣ ਪੋਸ਼ਣ
हेक्साडेसिमल,ਹੈਕਸਾਡੈਸੀਮਲ
थंड सुप्तता,ਠੰਡੀ ਸੁਸਤਤਾ
उच्च घनता लागवड,ਉੱਚ ਘਣਤਾ ਲਾਉਣਾ
1. पिंडलक 2. टेकडी (भात),1. ਪਿਂਡਲਕ 2. ਪਹਾੜੀ (ਝੋਨਾ)
हिस्टोग्राम,ਹਿਸਟੋਗ੍ਰਾਮ
उच्च तंत्रज्ञान फलोत्पादन,ਉੱਚ ਤਕਨੀਕੀ ਬਾਗਬਾਨੀ
1. दही 2. पोळ्या,1. ਦਹੀਂ 2. ਛਪਾਕੀ
1. खुरपणी 2. खुरपणी,1. ਨਦੀਨ 2. ਨਦੀਨ
धारण,ਹੋਲਡ
खाजगी शेत,ਪ੍ਰਾਈਵੇਟ ਫਾਰਮ
होमिओस्टॅसिस,ਹੋਮਿਓਸਟੈਸਿਸ
जन्मभुमी,ਵਤਨ
एकजिनसीपणा,ਸਮਰੂਪਤਾ
1. एकसंध 2. एकसंध,1. ਸਮਰੂਪ 2. ਸਮਰੂਪ
सहानुभूती,ਹਮਦਰਦ
एकसंध,ਸਮਰੂਪ
1. खुर्लिका 2. अन्न कंटेनर 3. हापर,1. ਖੁਰਲਿਕਾ 2. ਭੋਜਨ ਦਾ ਡੱਬਾ 3. ਹੈਪਰ
1. थर 2. क्षितिज,1. ਪਰਤ 2. ਹੋਰਾਈਜ਼ਨ
बागायती पिके,ਬਾਗਬਾਨੀ ਫਸਲ
1. फलोत्पादन 2. फलोत्पादन 3. फलोत्पादन 4. फलोत्पादन,1. ਬਾਗਬਾਨੀ 2. ਬਾਗਬਾਨੀ 3. ਬਾਗਬਾਨੀ 4. ਬਾਗਬਾਨੀ
