Tamil,Assamese
"1.தரவு தனியுரிமை, 2.தரவு தனியுரிமை","1.ডাটা গোপনীয়তা, 2.ডাটা গোপনীয়তা"
"1. தரவுச் செயலி, 2. தரவுச் செயலி","1. ডাটা প্ৰচেছৰ, 2. ডাটা প্ৰচেছৰ"
"1.தரவு பாதுகாப்பு, 2.தரவு பாதுகாப்பு","1.তথ্য সুৰক্ষা, 2.তথ্য সুৰক্ষা"
"1. தரவு பதிவு, 2. தரவு பதிவு","১.ডাটা ৰেকৰ্ড, ২.ডাটা ৰেকৰ্ড"
"1. தரவு மீட்டெடுப்பு, 2. தரவு மீட்டெடுப்பு","1. তথ্য উদ্ধাৰ, 2. তথ্য উদ্ধাৰ"
"1. தரவு வழக்கம், 2. தரவு வழக்கம்","১.ডাটা ৰুটিন, ২.ডাটা ৰুটিন"
"1.தரவு பாதுகாப்பு, 2.தரவு பாதுகாப்பு","1.ডাটা সুৰক্ষা, 2.ডাটা সুৰক্ষা"
"1.தரவு தொகுப்பு, 2. தரவு தொகுப்பு","1.ডাটা ছেট, 2. ডাটা ছেট"
"1.தரவு சமிக்ஞை, 2.தரவு சமிக்ஞை","1.ডাটা সংকেত, 2.ডাটা সংকেত"
"1. தரவு அணுகல், 2. தரவு அணுகல்","1. ডাটা এক্সেছ, 2. ডাটা এক্সেছ"
"1.தரவு ஆதாரம், 2.தரவு ஆதாரம்","১.তথ্যৰ উৎস, ২.তথ্যৰ উৎস"
"1.தரவு விவரக்குறிப்பு, 2. தரவு விவரக்குறிப்பு","1.ডাটা স্পেচিফিকেশন, 2. তথ্যৰ নিৰ্দিষ্টকৰণ"
"1.தரவு மையம், 2.தரவு மையம்","১.ডাটা চেণ্টাৰ, ২.ডাটা চেণ্টাৰ"
"1. தரவு சேமிப்பு, 2. தரவு சேமிப்பு","1. তথ্য সংৰক্ষণ, 2. তথ্য সংৰক্ষণ"
தரவு சேமிப்பு அமைப்பு,তথ্য সংৰক্ষণ গঠন
"1. தரவுக் கட்டமைப்பு, 2. தரவுக் கட்டமைப்பு","1. তথ্যৰ গঠন, 2. তথ্যৰ গঠন"
"1.டேட்டா ஸ்விட்ச், 2.டேட்டா ஸ்விட்ச்","১.ডাটা চুইচ, ২.ডাটা চুইচ"
"1.தரவு அட்டவணை, 2.தரவு அட்டவணை","1.তথ্য টেবুল, 2.তথ্য টেবুল"
"1.தரவு முடிவு, 2. தரவு முடிவு","1.ডাটা শেষ, 2. ডাটা শেষ"
"1. டேட்டா டிரான்ஸ்கிரிப்ஷன், 2. டேட்டா டிரான்ஸ்கிரிப்ஷன்","১.ডাটা ট্ৰান্সক্ৰিপচন, ২.ডাটা ট্ৰান্সক্ৰিপচন"
"1.தரவு பரிமாற்றம், 2. தரவு பரிமாற்ற","1.ডাটা স্থানান্তৰ, 2. ডাটা ট্ৰেন্সফাৰ"
"1. தரவு பரிமாற்றம், 2. தரவு பரிமாற்றம்","1. ডাটা ট্ৰেন্সমিছন, 2. ডাটা ট্ৰেন্সমিছন"
"1.டேட்டா டிரான்ஸ்மிஷன் சிஸ்டம், 2.டேட்டா டிரான்ஸ்மிஷன் சிஸ்டம்","1.ডাটা ট্ৰেন্সমিছন চিষ্টেম, 2.ডাটা ট্ৰেন্সমিছন চিষ্টেম"
"1. தரவு வடிவம், 2. தரவு வடிவம்","1. ডাটা ফৰ্মেট, 2. ডাটা ফৰ্মেট"
"1. தரவு அலகு, 2. தரவு அலகு","১.ডাটা ইউনিট, ২.ডাটা ইউনিট"
"1.தரவு சரிபார்ப்பு, 2.தரவு சரிபார்ப்பு","1.তথ্য বৈধকৰণ, 2.তথ্য বৈধকৰণ"
தரவுத்தளம்,ডাটাবেছ
தரவுத்தள நிர்வாகம்,ডাটাবেছ প্ৰশাসন
தரவுத்தள வடிவமைப்பு,ডাটাবেছ ডিজাইন
தரவுத்தள மேலாண்மை அமைப்பு,ডাটাবেছ ব্যৱস্থাপনা ব্যৱস্থা
"1.டேட்டாகிரேவ், 2.டேட்டாகிரேவ்","১.ডাটাগ্ৰেভ, ২.ডাটাগ্ৰেভ"
"1. தரவு, 2. தரவு","1. ডেটাম, 2. ডাটা"
"1.செயலற்ற மண்டலம், 2.செயலற்ற மண்டலம்","১.নিষ্ক্ৰিয় অঞ্চল, ২.নিষ্ক্ৰিয় অঞ্চল"
முட்டுக்கட்டை,ডেডলক
முட்டுக்கட்டை தடுப்பு,ডেডলক প্ৰতিৰোধ
குறைபாடு நீக்கம்,দোষ নিষ্কাশন
"1. தீர்ப்பு செல், 2. தீர்ப்பு பெட்டி","১/ বিচাৰ কোষ, ২/ বিচাৰ বাকচ"
முடிவெடுக்கும் செயல்முறை,সিদ্ধান্ত গ্ৰহণ প্ৰক্ৰিয়া
முடிவு ஆதரவு அமைப்பு,সিদ্ধান্ত সমৰ্থন ব্যৱস্থা
முடிவு மரம்,সিদ্ধান্ত গছ
"1. குறிவிலக்கி, 2. குறிவிலக்கி","১.ডিকোডাৰ, ২.ডিকোডাৰ"
கலைப்பு கொள்கை,দ্ৰৱণ নীতি
டிகோடிங்,ডিকোডিং
அர்ப்பணிக்கப்பட்ட அமைப்பு,ডেডিকেটেড চিষ্টেম
அர்ப்பணிக்கப்பட்ட பத்திரிகை,ডেডিকেটেড প্ৰেছ
நோய்த்தடுப்பு தரவு நெட்வொர்க் (DDN),প্ৰতিষেধক ডাটা নেটৱৰ্ক (DDN)
நோய்த்தடுப்பு தகவல் அமைப்பு,টিকাকৰণ তথ্য ব্যৱস্থা
ஒருங்கிணைப்பு,সংহতি
தாமதம்,পলম কৰা
தாமத கவுண்டர்,বিলম্ব কাউণ্টাৰ
தாமத நேரம்,বিলম্বৰ সময়
"1.நீக்கு, 2.நீக்கு","১.মচি পেলোৱা, ২.মচি পেলোৱা"
நீக்குதல் பதிவு,ডিলিচন ৰেকৰ্ড
பிரிப்பான்,সীমা নিৰ্ধাৰণকাৰী
டெல்டா பண்பேற்றம்,ডেল্টা মডুলেচন
கோரிக்கை பக்கம்,ৰিকুইজিচন পৃষ্ঠা
செயல்திறன்,প্ৰদৰ্শন
டிமாடுலேஷன்,ডিমডুলেচন
வி-மல்டிபிளெக்சர்,ভি-মাল্টিপ্লেক্সাৰ
இயல்புநிலைப்படுத்தல்,ডিনৰ্মেলাইজেচন
"1. அடர்த்தி, 2. அடர்த்தி","১.ঘনত্ব, ২.ঘনত্ব"
"1. சார்பு, 2. சார்பு","১/ নিৰ্ভৰশীলতা, ২/ নিৰ্ভৰশীলতা"
சார்பு அலகு,নিৰ্ভৰশীল একক
வரிசை,লানি পতা
"1. dereference, 2. dereference","১.ডিৰেফাৰেন্স, ২.ডিৰেফাৰেন্স"
பெறப்பட்ட மரம்,ব্যুৎপত্তি কৰা গছ
பெறப்பட்ட புலம்,ব্যুৎপত্তি কৰা ক্ষেত্ৰ
இறங்கு வகை,অৱনমিত সজাই পৰাই তোলা
வடிவமைப்பு,ডিজাইন
மேசை கால்குலேட்டர்,ডেস্ক কেলকুলেটৰ
டெஸ்க்டாப் கணினிகள்,ডেস্কটপ কম্পিউটাৰ
டெஸ்க்டாப் விளக்கக்காட்சி,ডেস্কটপ উপস্থাপন
டெஸ்க்டாப் வெளியீடு,ডেস্কটপ প্ৰকাশন
டெஸ்க்டாப் வீடியோ,ডেস্কটপ ভিডিঅ&#39;
இலக்கு முகவரி,গন্তব্যস্থানৰ ঠিকনা
"1. அழிப்பவர், 2. அழிப்பவர்","১.ধ্বংসী, ২.নাশক"
தீர்மானிக்கும் தானியங்கு,ডিটাৰ্মিনিষ্টিক automata
டெவலப்பர்,ডেভেলপাৰ
வளர்ச்சி அமைப்பு,উন্নয়ন ব্যৱস্থা
சாதனம்,ডিভাইচ
சாதன கட்டுப்பாட்டு அலகு,ডিভাইচ নিয়ন্ত্ৰণ একক
சாதனம் கட்டுப்படுத்தி,ডিভাইচ নিয়ন্ত্ৰক
சாதன மேலாண்மை,ডিভাইচ ব্যৱস্থাপনা
சாதன முறை,ডিভাইচ ধৰণ
நோய் கண்டறிதல்,নিদান
கண்டறியும் அமைப்பு,ডায়েগনষ্টিক চিষ্টেম
"1. கண்டறிதல், 2. கண்டறிதல்","১/ ডায়েগনষ্টিকছ, ২.ডায়েগনষ্টিকছ"
வரைபடம்,ডায়েগ্ৰাম
டயல்,ডায়েল কৰক
டயல் வரி,ডায়েল লাইন
டயல் தொனி,ডায়েল টোন
அழைக்கவும்,ডায়েল আপ কৰক
"1. உரையாடல், 2. உரையாடல்","১/ সংলাপ, ২/ কথোপকথন"
உரையாடல் அறை,কথোপকথন কক্ষ
டயல்அப் மோடம்,ডায়েলআপ মডেম
காப்பீடு,বীমা
அகராதி,অভিধান
"1. வேறுபாடு, 2. வேறுபாடு","১.ডিফাৰেন্সিয়েল, ২. পাৰ্থক্য"
எண்ணியல்,সংখ্যাগত
டிஜிட்டல் அமைப்பு,ডিজিটেল ব্যৱস্থা
டிஜிட்டல் சுற்று,ডিজিটেল বৰ্তনী
டிஜிட்டல் கணினி,ডিজিটেল কম্পিউটাৰ
"1.டிஜிட்டல் டேட்டா, 2.டிஜிட்டல் டேட்டா","1.ডিজিটেল ডাটা, 2.ডিজিটেল ডাটা"
டிஜிட்டல் வசதி,ডিজিটেল সুবিধা
டிஜிட்டல் வடிகட்டி,ডিজিটেল ফিল্টাৰ
டிஜிட்டல் நூலகம்,ডিজিটেল লাইব্ৰেৰী
டிஜிட்டல் பண்பேற்றம்,ডিজিটেল মডুলেচন
"1. டிஜிட்டல் டிஸ்ப்ளே, 2. டிஜிட்டல் மானிட்டர்","1. ডিজিটেল প্ৰদৰ্শন, 2. ডিজিটেল মনিটৰ"
டிஜிட்டல் படம்,ডিজিটেল ইমেজ
"1. டிஜிட்டல் கையொப்பம், 2. டிஜிட்டல் கையொப்பம்","১/ ডিজিটেল স্বাক্ষৰ, ২/ ডিজিটেল স্বাক্ষৰ"
டிஜிட்டல் சுவிட்ச்,ডিজিটেল চুইচ
டிஜிட்டல் அனலாக் மாற்றி,ডিজিটেল এনালগ কনভাৰ্টাৰ
டிஜிட்டல் மயமாக்கல்,ডিজিটাইজেচন
டிஜிட்டல் மயமாக்கல்,ডিজিটাইজেচন
இலக்கமாக்கி,ডিজিটাইজাৰ
டையோடு,ডাইঅ&#39;ড
முதன்மையான தோற்றம்,পোনপটীয়া
நேரடி முகவரி,প্ৰত্যক্ষ ঠিকনা
நேரடி மாற்றம்,প্ৰত্যক্ষ ৰূপান্তৰ
நேரடி இணைப்பு,প্ৰত্যক্ষ সংযোজন
"1. நேரடி நினைவக அணுகல், 2. நேரடி நினைவக அணுகல் (DMA)","1. প্ৰত্যক্ষ মেমৰি অভিগম, 2. প্ৰত্যক্ষ মেমৰি অভিগম (DMA)"
நேரடி நினைவக அணுகல் (DMA),প্ৰত্যক্ষ মেমৰি অভিগম (DMA)
நேரடி முறை,প্ৰত্যক্ষ পদ্ধতি
திசைகள்,দিশ নিৰ্দেশনা
அடைவு,ডাইৰেকটৰী
"1. அடைவு சேவையகம், 2. அடைவு சேவையகம்","1. ডাইৰেকটৰি চাৰ্ভাৰ, 2. ডাইৰেকটৰি চাৰ্ভাৰ"
அடைவு சேவை,ডাইৰেকটৰি সেৱা
முடியவில்லை,অক্ষম
சமிக்ஞையை முடக்குகிறது,সংকেত নিষ্ক্ৰিয় কৰা
"1. துண்டித்தல், 2. துண்டித்தல்","১.সংযোগ বিচ্ছিন্ন কৰা, ২.সংযোগ বিচ্ছিন্ন কৰা"
"1. தனித்தனி, 2. தனித்தனி","১.বিচ্ছিন্ন, ২.বিচ্ছিন্ন"
"1. வட்டு, 2. வட்டு","১.ডিস্ক, ২.ডিস্ক"
"1. வட்டு முகவரி, 2. வட்டு முகவரி","1. ডিষ্কৰ ঠিকনা, 2. ডিষ্কৰ ঠিকনা"
"1. வட்டு வரிசை, 2. வட்டு வரிசை","1. ডিস্ক এৰে, 2. ডিস্ক এৰে"
"1. வட்டு திறன், 2. வட்டு திறன்","1. ডিস্ক ক্ষমতা, 2. ডিস্ক ক্ষমতা"
"1. வட்டு இயக்கி, 2. வட்டு இயக்கி","1. ডিস্ক ড্ৰাইভাৰ, 2. ডিস্ক ড্ৰাইভ"
வட்டு கோப்பு,ডিস্ক নথিপত্ৰ
"1. வட்டு நினைவகம், 2. வட்டு நினைவகம், 3. வட்டு நினைவகம், 4. வட்டு நினைவகம்","1. ডিস্ক মেমৰি, 2. ডিস্ক মেমৰি, 3. ডিস্ক মেমৰি, 4. ডিষ্ক মেমৰি"
வட்டு இயக்க முறைமை (DoS),ডিস্ক অপাৰেটিং চিস্টেম (DoS)
வட்டு தொகுப்பு,ডিস্ক পেকেজ
"1.சக்ரிகா சர்வர், 2.டிஸ்க் சர்வர்","1.চকৰিকা চাৰ্ভাৰ, 2.ডিস্ক চাৰ্ভাৰ"
"1. வட்டு சேமிப்பு, 2. வட்டு சேமிப்பு","1. ডিষ্ক সংৰক্ষণ, 2. ডিষ্ক সংৰক্ষণ"
வட்டு,ডিস্কেট
காட்சி கோப்பு,ফাইল প্ৰদৰ্শন কৰক
காட்சி படத்தை,ছবি প্ৰদৰ্শন কৰক
அகற்றல்,নিষ্পত্তি
தூரம்,দূৰত্ব
தூர செயல்பாடு,দূৰত্বৰ ফলন
திரித்தல்,বিকৃতি
வழங்கப்பட்டது,বিলি কৰা হ’ল
விநியோகிக்கப்பட்ட தரவு,বিতৰণ কৰা তথ্য
விநியோகிக்கப்பட்ட சேவையகம்,বিতৰণ কৰা চাৰ্ভাৰ
"1. விநியோகிக்கப்பட்ட அமைப்பு, 2. விநியோகிக்கப்பட்ட அமைப்பு","1.বিতৰিত ব্যৱস্থা, 2.বিতৰিত ব্যৱস্থা"
விநியோகஸ்தர்,বিতৰক
ஆவணம்,নথিপত্ৰ
அங்கீகாரம் பெற்ற ஆவணம்,নথিপত্ৰ স্বীকৃতিপ্ৰাপ্ত
"1. ஆவண சாளரம், 2. ஆவண சாளரம்","1. দস্তাবেজ উইন্ডো, 2. দস্তাবেজ উইন্ডো"
ஆவணங்கள்,নথিপত্ৰ
"களம், களம்","ডমেইন, ডমেইন"
டொமைன் பெயர்,ডমেইনৰ নাম
"1. டாட் மேட்ரிக்ஸ் பிரிண்டர், 2. டாட் மேட்ரிக்ஸ் பிரிண்டர்","1. ডট মেট্ৰিক্স প্ৰিন্টাৰ, 2. ডট মেট্ৰিক্স প্ৰিন্টাৰ"
"கீழ், கீழே","তলত, তলত"
"1.அவலின்க், 2.சதுரம்","১.এভালিংক, ২.বৰ্গ"
பதிவிறக்க Tamil,ডাউনল’ড
பதிவிறக்க நேரம்,ডাউনলোড সময়
இழுவை,ট্ৰেকচন
DRAM (டைனமிக் ரேம்),DRAM (ডাইনামিক ৰেম)
ஓட்டம்,ৰানঅফ
இயக்கி,ড্ৰাইভাৰ
இலைகள்,পাত
டிராப் பட்டியல் பெட்டி,তালিকা বাকচ ড্ৰপ কৰক
டிரம் டிரைவ்,ড্ৰাম ড্ৰাইভ
"1.டிரம் பிரிண்டர், 2.டிரம் பிரிண்டர்","1.ড্ৰাম প্ৰিন্টাৰ, 2.ড্ৰাম প্ৰিন্টাৰ"
"1. இம் யூனிட், 2. டிரம் யூனிட்","১.ইম ইউনিট, ২.ড্ৰাম ইউনিট"
"1. இருமை, 2. இரு","১.দ্বৈততা, ২. bi"
இரட்டை அடர்த்தி,দ্বৈত ঘনত্ব
"1. அமைதியான முகவரி, 2. போலி முகவரி","১/ নিৰৱ ঠিকনা, ২/ ভুৱা ঠিকনা"
திணிப்பு,ভাণ্ডাৰ
இரட்டை சுற்று,ডুপ্লেক্স বৰ্তনী
சட்டப்பூர்வமாக்குதல்,বৈধকৰণ
முக்கிய திறவுகோல்,কি&#39; কি&#39;
"1.டி வி டி ஆர்./டபிள்யூ, 2. டிவிடி படித்தல், 3. எழுதுதல்","১.ডি ভি ডি আৰ./ডব্লিউ, ২. ডিভিডি পঢ়া, ৩. লিখা"
டிவிடி ரோம்,DVD ROM
மாறும் அறிவுறுத்தல்,গতিশীল নিৰ্দেশনা
"1.டைனமிக் மெமரி, 2.டைனமிக் மெமரி","1.ডাইনামিক মেমৰি, 2.ডাইনামিক মেমৰি"
"1. இயக்கவியல், 2. இயக்கவியல்","১.গতিবিদ্যা, ২.গতিশীলতা"
ஈ பி சி டி ஐ சி,ই খ গ ঘ আই চি
மின் வணிகம்,ই-ব্যৱসায়
எதிரொலி,প্ৰতিধ্বনি
"1.இ-காமர்ஸ், 2.இ-காமர்ஸ்","১.ই-কমাৰ্চ, ২.ই-কমাৰ্চ"
திருத்துதல்,সম্পাদনা কৰা
ஆசிரியர்,সম্পাদক
கல்வி தொழில்நுட்பம்,শিক্ষাগত প্ৰযুক্তি
e e p rom,ই ই প ৰম
"1. அர்த்தமுள்ள முகவரி, 2. பயனுள்ள முகவரி","১/ অৰ্থপূৰ্ণ ঠিকনা, ২/ ফলপ্ৰসূ ঠিকনা"
அர்த்தமுள்ள செயல்பாட்டு முகவரி,অৰ্থপূৰ্ণ অপাৰেণ্ড ঠিকনা
பயனுள்ள நடவடிக்கை,ফলপ্ৰসূ কাৰ্য্য
பயனுள்ள UID,ফলপ্ৰসূ UID
பயனுள்ள பரிமாற்ற செயல்பாடு,ফলপ্ৰসূ সংক্ৰমণ কাৰ্য্য
ஆக்டல் பைட்,অক্টল বাইট
"மின்னணு கற்றல், மின் கற்றல்","ইলেক্ট্ৰনিক লাৰ্নিং, ই-লাৰ্নিং"
தேர்தல் அல்காரிதம்,নিৰ্বাচন এলগৰিদম
மின்னணு அஞ்சல் சேவை (மின்னஞ்சல்),ইলেক্ট্ৰনিক মেইল সেৱা (ই-মেইল)
"1.எலக்ட்ரானிக் பிரிண்டிங், 2.எலக்ட்ரானிக் பிரிண்டர்","১.ইলেক্ট্ৰনিক প্ৰিন্টিং, ২.ইলেক্ট্ৰনিক প্ৰিণ্টাৰ"
மின் கணக்கியல் இயந்திரம்,বৈদ্যুতিক একাউণ্টিং মেচিন
மின்னணுவியல்,ইলেক্ট্ৰনিক্স
மின்னணு வெளியேற்ற அமைப்பு (ECS),ইলেক্ট্ৰনিক এক্সজেষ্ট চিষ্টেম (ECS)
மின்னணு தரவு பரிமாற்றம் (EDI),ইলেক্ট্ৰনিক ডাটা এক্সচেঞ্জ (EDI)
மின்னணு தரவு செயலாக்கம்,ইলেক্ট্ৰনিক ডাটা প্ৰচেছিং
மின்னணு சிற்றேடு,ইলেক্ট্ৰনিক ব্ৰ&#39;চাৰ
மின்னணு நிதி பரிமாற்ற வழிமுறை (EFTS),ইলেক্ট্ৰনিক ধন হস্তান্তৰ ব্যৱস্থা (EFTS)
"1.எலக்ட்ரானிக் ஜர்னல், 2.எலக்ட்ரானிக் ஜர்னல்","১.ইলেক্ট্ৰনিক জাৰ্নেল, ২.ইলেক্ট্ৰনিক জাৰ্নেল"
மின்னணு வெளியீடு,ইলেক্ট্ৰনিক প্ৰকাশন
மின்னணு சுவிட்ச்,ইলেক্ট্ৰনিক চুইচ
"உறுப்பு, உறுப்பு","উপাদান, উপাদান"
மின்னஞ்சல்,ই-মেইল
"1. மின்னஞ்சல் முகவரி, 2. மின்னணு அஞ்சல் முகவரி","১/ ই-মেইল ঠিকনা, ২/ ইলেক্ট্ৰনিক মেইলিং ঠিকনা"
உட்பொதிக்கப்பட்ட அமைப்பு,এম্বেডেড চিস্টেম
உட்பொதித்தல்,এম্বেডিং
உமிழ்ப்பான் இணைந்த தர்க்கம் (ECL),এমিটাৰ সংযুক্ত লজিক (ECL)
காலியான இடம்,খালী ঠাই
"1. வெற்று சங்கிலி, 2. வெற்று சங்கிலி","১.উকা শিকলি, ২.উকা শিকলি"
இயந்திரமயமாக்கல்,যান্ত্ৰিকীকৰণ
"1.கேப்சுலேஷன், 2.கேப்சுலேஷன்","১.কেপচুলেচন, ২.কেপচুলেচন"
குறிவிலக்கி,ডিকোডাৰ
குறியாக்கம்,এনকোডিং
"1. குறியாக்கி, 2. கோடாக்","১.এনকোডাৰ, ২.কোডাক"
மறைக்கப்பட்ட தரவு,লুকাই থকা তথ্য
மறைக்கப்பட்ட கோப்பு முறைமை,লুকাই থকা নথিপত্ৰপ্ৰণালী
"1. என்க்ரிப்ஷன், 2. கோடிங், 3. என்கோடிங்","1. এনক্ৰিপচন, 2. ক&#39;ডিং, 3. এনকোডিং"
தொகுதி முடிவு,ব্লকৰ শেষ
கோப்பு-முடிவு,ফাইল-অন্ত
பயனர்,ব্যৱহাৰকাৰী
நுழைய,প্ৰৱেশদ্বাৰ
நுழைவு விசை,প্ৰৱেশ চাবি
"1. உத்யம் சர்வர், 2. உத்யம் சேவக்","১.উদ্যম সৰৱাৰ, ২.উদ্যম সেৱক"
நிறுவன அமைப்பு,উদ্যোগ ব্যৱস্থা
சக்தி,ক্ষমতা
சக்தி தொடர்பு,ক্ষমতা আত্মীয়তা
நுழைவு நேரம்,প্ৰৱেশৰ সময়
உள்ளீடு மாறி,ইনপুট ভেৰিয়েবল
எண்ணத்தக்க,গণনাযোগ্য
சூழல்,পৰিৱেশ
"1. சகாப்தம், 2. சகாப்தம், 3. அறிவுறுத்தல் தருணம்","১.যুগ, ২. যুগ, ৩. নিৰ্দেশনা মুহূৰ্ত"
EPRAM (நிதி நிரல்படுத்தக்கூடிய படிக்க-மட்டும் நினைவகம்),EPRAM (বিত্তীয় প্ৰগ্ৰেমেবল কেৱল পঢ়িব পৰা মেমৰি)
epsilon constrictor,এপ্সিলন কনষ্ট্ৰিক্টৰ
சமநிலைப்படுத்தி,ইকুৱেলাইজাৰ
உபகரணங்கள்,সঁজুলি
சமநிலை வகுப்பு,সমতুল্যতা শ্ৰেণী
சமமான உறவு,সমতুল্য সম্পৰ্ক
"1. அழிவு, 2. ஒழிப்பு","১/ বিলুপ্তি, ২) নিৰ্মূল"
பிழை திருத்தம் குறியீடு,ভুল সংশোধন ক&#39;ড
பிழை திருத்தம்,ভুল সংশোধন
பிழை கண்டறிதல்,ভুল ধৰা পেলোৱা
பிழை கையாளுதல்,ভুল নিয়ন্ত্ৰণ
பிழை செய்தி,ত্ৰুটি বাৰ্তা
பிழை விகிதம்,ভুলৰ হাৰ
பிழை மீட்பு,ত্ৰুটি পুনৰুদ্ধাৰ
பிழை பெயர்,ভুলৰ নাম
தப்பிக்கும் சின்னம்,পলায়ন চিহ্ন
ஈதர்நெட்,ইথাৰনেট
நிகழ்வு,কাৰ্যক্ৰম
நிகழ்வு சங்கிலி,ইভেন্ট শৃংখল
நிகழ்வு கட்டுப்பாடு,ইভেন্ট নিয়ন্ত্ৰণ
நிகழ்வு கவுண்டர்,ইভেন্ট কাউণ্টাৰ
விதிவிலக்கு கையாளுதல்,ব্যতিক্ৰম নিয়ন্ত্ৰণ
பரிமாற்ற வட்டு சேமிப்பு,বিনিময় ডিষ্ক সংৰক্ষণ
விலக்குதல்,বৰ্জন
பிரத்தியேக மற்றும் (x அல்லது),একচেটিয়া আৰু (x বা)
இயங்கக்கூடிய நிரல்,এক্সিকিউটেবল প্ৰগ্ৰেম
மரணதண்டனை அறிக்கை,এক্সিকিউচন ষ্টেটমেন্ট
தேர்ந்தெடுக்கப்பட்ட தேடல்,নিৰ্বাচিত অনুসন্ধান
இருக்கும்,বিদ্যমান
பிரச்சினை,সমস্যা
நிபுணர் அமைப்பு,বিশেষজ্ঞ ব্যৱস্থা
"1. வெளிப்பாடு, 2. வெளிப்பாடு","১.প্ৰকাশ, ২. অভিব্যক্তি"
விரிவாக்கப்பட்ட வரைகலை அணி (x g a),সম্প্ৰসাৰিত চিত্ৰাঙ্কিত মেট্ৰিক্স (x g a)
விரிவாக்கப்பட்ட தொழில்துறை தரநிலைகள் (EIS),বৰ্ধিত ঔদ্যোগিক মানদণ্ড (EIS)
அதிக சுமை கொண்ட இயந்திரம்,অভাৰলোড মেচিন
நீட்டிக்கப்பட்ட நினைவகம்,বৰ্ধিত স্মৃতিশক্তি
"1. விரிவாக்கப்பட்ட துல்லியம், 2. விரிவாக்கப்பட்ட துல்லியம்","১/ বৰ্ধিত নিখুঁততা, ২) বৰ্ধিত সঠিকতা"
"1. விரிவாக்கப்பட்ட வரிசையாக்கம், 2. விரிவாக்கப்பட்ட பிரித்தல்","1.Extended Sorting, 2.Extended পৃথকীকৰণ"
கூப்பிடு,কল আউট কৰক
வெளிப்புற பிழை,বাহ্যিক ভুল
வெளிப்புற செயல்பாடு,বাহিৰৰ কাৰ্য্য
வெளிப்புற குறுக்கீடு,বাহ্যিক বাধা
"1.புற நினைவகம், 2.புற நினைவகம்","1.বাহ্যিক স্মৃতিশক্তি, 2.বাহ্যিক স্মৃতিশক্তি"
வெளிப்புற நினைவகம்,বাহ্যিক স্মৃতিশক্তি
வெளிப்புற மோடம்,বাহ্যিক মডেম
வெளிப்புற குறிப்பு,বাহ্যিক উল্লেখ
வெளிப்புற தேடல்,বাহ্যিক অনুসন্ধান
வெளிப்புற சேமிப்பக சாதனம்,বাহ্যিক সংৰক্ষণ ডিভাইচ
பிரித்தெடுத்தல்,নিষ্কাশন
எக்ஸ்ட்ராபோலேஷன்,বহিঃপ্ৰক্ষেপণ
பேனல் எழுத்து அச்சுப்பொறி,পেনেল আখৰ প্ৰিন্টাৰ
தோல்வி-பாதுகாப்பு செயல்பாடு,বিফল-নিৰাপদ কাৰ্য্য
தோல்வி விகிதம்,বিফলতাৰ হাৰ
தோல்வி வெளியேற்றம்,বিফলতা নিৰ্গমন
தவறான குறியீடு,মিছা ক&#39;ড
தவறான பிழை,মিছা ভুল
"1.முதலீடு, 2.முதலீட்டு புள்ளிகள்","১.বিনিয়োগ, ২.বিনিয়োগ পইণ্ট"
"1. வெளியீடு, 2. வெளியீடு எண்","1. ইছ্যু, 2. ইছ্যু নম্বৰ"
"1. பிரதி I/O சாதனம், 2. பிரதி உள்ளீட்டு சாதனம்/வெளியீடு","1. প্ৰতিলিপি I/O ডিভাইচ, 2. প্ৰতিলিপি ইনপুট ডিভাইচ/আউটপুট"
விரைவான நான்கு பரிமாற்றம்,দ্ৰুত ফোৰিয়াৰ স্থানান্তৰ
கொடிய பிழை,মাৰাত্মক ভুল
தவறு கண்டறிதல்,ত্ৰুটি ধৰা পেলোৱা
தவறு கண்டறிதல்,দোষ নিদান
தவறு சகிப்புத்தன்மை,দোষ সহনশীলতা
தொலைநகல்,ফেক্স
தொலைநகல் செய்தி,ফেক্স বাৰ্তা
எஃப் டிசி,f dc
அறிகுறி கண்டறிதல்,লক্ষণ ধৰা পেলোৱা
நிரப்பு சக்கரம்,ফিল চকা
மறு முதலீடு,পুনৰ বিনিয়োগ
"1.சப்ளையர், 2.ஊட்டச்சத்து, 3.ஊட்டி","1.যোগানকাৰী, 2.পুষ্টি, 3.ফিডাৰ"
அயன்,আনন
ஃபைபோனச்சி கண்டுபிடிப்பு,ফিবোনাচি আৱিষ্কাৰ
ஃபைபோனச்சி வரிசை,ফিবোনাচি ক্ৰম
ஃபைபோனச்சி தொடர்,ফিবোনাচি ছিৰিজ
ஃபைபர் ஆப்டிக்ஸ்,ফাইবাৰ অপটিক্স
ஃபிடோ பொறி,ফিডো ফান্দ
பிராந்தியம்,অঞ্চল
ஐந்தாம் தலைமுறை கணினி,পঞ্চম প্ৰজন্মৰ কম্পিউটাৰ
"1.கோப்பு, 2. கோப்பு","1.ফাইল, 2. ফাইল"
கோப்பு அணுகல் முறை,ফাইল অভিগম পদ্ধতি
கோப்பு ஒதுக்கீடு அட்டவணை,ফাইল আবণ্টন টেবুল
கோப்பு சுருக்கம்,ফাইল সংকোচন
கோப்பு நகலெடுக்கிறது,ফাইল কপি কৰা
கோப்பு கட்டமைப்பு,নথিপত্ৰ বিন্যাস
