Bengali,Hindi
প্রতিনিধিত্বমূলক জ্যামিতি,निरूपणात्मक ज्यामिति
প্রতি,हर
ঘন সমষ্টি,सघन समुच्चय
"ঘনত্ব, ঘনত্ব","घनत्व, सघनता"
গণনাযোগ্য সেট,प्रगणनीय समुच्चय
ঊর্ধ্বমুখী ধ্রুবক,अपगामी अचर
নির্ভরশীল ঘটনা,आश्रित घटना
নির্ভরশীল র্যান্ডম পরিবর্তনশীল,आश्रित यादृच्छिक चर
নির্ভরশীল পরিবর্তনশীল,परतंत्र चर
নির্ভরশীল পরিবর্তনশীল,परतंत्र विचर
বিষণ্নতা কোণ,अवनमन कोण
"derivation, derivative, differentiation","व्युत्पत्ति, व्युत्पन्न, अवकलन"
"derivative, derivative","व्युत्पन्न, अवकलज"
প্রাপ্ত পরিসীমা,व्युत्पन्न श्रेणी
প্রাপ্ত সেট,व्युत्पन्न समुच्चय
"descending, descending","अवरोही, अवरोहण"
অবরোহী ক্রম,अवरोही क्रम
অবরোহী পরিসীমা,अवरोही श्रेणी
প্রজেক্টিভ জ্যামিতি,प्रक्षेपात्मक ज्यामिति
বর্ণনামূলক মডেল,वर्णनात्मक निदर्श
বর্ণনামূলক পরিসংখ্যান,वर्णनात्मक सांख्यिकी
"ডিজাইন করা, ডিজাইন করা, ডিজাইন করা (ed.), ডিজাইন করা, ডিজাইন করা (n.)","अभिकल्प, डिजाइन, अभिकल्पना (सं.), अभिकल्पना करना, डिजाइन करना (क्रि.)"
পরীক্ষার নকশা,प्रयोग की अभिकल्पना
ডেস্ক ক্যালকুলেটর,डेस्क परिकलित्र
"সনাক্তকরণ, সনাক্তকরণ","पहचान, संसूचन"
"নির্ধারক, নির্ধারক, নির্ধারক","सारणिक, डिटर्मिनेंट, निर्धारक"
নির্ধারক আদেশ,सारणिक कोटि
নির্ধারণ,निर्धारित करना
নির্ধারক মডেল,निर्धारणात्मक निदर्श
নির্ধারক সমস্যা,निर्धारणात्मक समस्या
বিচ্যুতি,विचलन
বিচ্যুতি সহগ,विचलन गुणांक
বাইনারি সিস্টেম,द्वि-आधारी प्रणाली
"তির্যক কর্ণ,",विकर्ण कर्ण
ম্যাট্রিক্স তির্যককরণ,आव्यूह-विकर्णन
"ডায়াগোনাল ম্যাট্রিক্স, ডায়াগোনাল ম্যাট্রিক্স","विकर्ण मैट्रिक्स, विकर्ण आव्यूह"
তির্যক সমতা,विकर्णी समानता
চিত্র,आरेख
অঙ্কন পদ্ধতি,आरेखी विधि
গ্রাফিকাল উপস্থাপনা,आरेखी प्रस्तुतिकरण
ব্যাস,व्यास
ব্যাস সেট করুন,समुच्चय-व्यास
diametrically বিপরীত,व्यासतः सम्मुख
"ক্রসফায়ার, পাশা নিক্ষেপ","पाशकक्षेप, पासा फेंकना"
উভচর শ্রেণিবিন্যাস,द्विधा वर्गीकरण
"বিভাজন, অর্ধেক","द्विभाजन, अर्धक"
অভিধান,कोशक्रम
অন্তরীকরণ ক্যালকুলাস,अंतर कलन
আঙ্গক,अंतर समीकरण
ডিফারেনশিয়াল সূত্র,अंतर सूत्र
পার্থক্য পদ্ধতি,अंतर विधि
সেটের পার্থক্য,समुच्चयों का अंतर
পার্থক্যযোগ্য,अवकलनीय
ডিফারেনশিয়াল বক্ররেখা,अवकलनीय वक्र
ডিফারেনশিয়াল ফাংশন,अवकलनीय फलन
"ডিফারেনশিয়াল, ডিফারেনশিয়াল, ডিফারেনশিয়াল, ইন্টারট্রায়াল, ইন্টারএজেন্সি, ডিফারেনশিয়াল","विभेदक, भेददर्शी, अवकल, अंतरात्रयी, अंतरात्मक, विभेदी"
ডিফারেনশিয়াল ম্যাথ,अवकल गणित
ডিফারেনশিয়াল সহগ,अवकल गुणांक
আঙ্গক,अवकल समीकरण
ডিফারেনশিয়াল সংঘর্ষ,अवकल समघात
ডিফারেনশিয়াল সূত্র,अवकल सूत्र
ডিফারেনশিয়াল ফাংশন,अवकल फलन
ডিফারেনশিয়াল জ্যামিতি,अवकल ज्यामिति
উচ্চ ক্রম পার্থক্য,उच्चतर कोटि का अवकल
ডিফারেনশিয়াল সেগমেন্ট,अवकल खंड
পার্থক্য করা,अवकलन करना
"পার্থক্য, পার্থক্য","विभेदन, अवकलन"
ডিফারেনশিয়াল সূত্র,अवकलन सूत्र
ভেক্টরের পার্থক্য,सदिश का अवकलन
"diffusion, diffusion","विसरण, विसार"
"numeral, diadem, finger","अंक, व्यास का द्वादशांश, अंगुलि"
ডিজিটাল কম্পিউটার,अंकीय अभिकलित्र
অঙ্কিকা দত্ত,अंकीय दत्त
"ব্যাপ্তি, প্রস্থ, মাত্রা, শক্তি","विस्तार, लंबाई-चौड़ाई, विमा, घात"
মাত্রিকতা,विमीयता
মাত্রাহীন,"विमाहीन, अविम"
সমীকরণ মাত্রা,समीकरण विमा
ডায়োফ্যান্টাসের সমীকরণ,डायोफैन्टस का समीकरण
পতনের কোণ,नति कोण
ডাইপোল স্থানাঙ্ক,द्वियुग्मध्रुवी निर्देशांक
ডাইপোল,द्विध्रुव
বাইপিরামিড,द्विपिरामिड
ডিরাক ডেল্টা ফাংশন,डिरैक डेल्टा फलन
সাধারণ স্পর্শক,उभयनिष्ठ अनुस्पर्श रेखा
সমকোণ,दिष्ट कोण
সরাসরি লাইন,दिष्ट रेखा
স্থান ডেরিভেটিভ,दिक्-अवकलज
"ডিকোসাইন, ডিকো-কোসাইন","दिक्कोज्या, दिक्-कोसाइन"
সর্বোচ্চ দিক,उच्चिष्ठ की दिशा
অভিক্ষেপ দিক,प्रक्षेपण दिशा
দিক অনুপাত,दिक्-अनुपात
নিয়ন্ত্রক চক্র,नियामक वृत्त
নিয়ন্ত্রক বৃত্ত,नियामक गोला
অনুলোমা পণ্য,अनुलोम गुणनफल
"সরাসরি প্রমাণ, সরাসরি প্রমাণ","प्रत्यक्ष प्रमाण, प्रत्यक्ष उपपत्ति"
অনুক্রমিক অনুপাত,अनुक्रमानुपात
নিয়তি,नियता
অনুলোমা যোগফল,अनुलोम योगफल
বিচ্ছিন্ন সেট,असंबद्‌ध समुच्चय
"discontinuity, discontinuity, break","असांतत्य, असातत्य, भंग"
ডেরিভেটিভের বিচ্ছিন্নতা,अवकलज का असांतत्य
প্রথম ধরনের বিরতি,प्रथम प्रकार का असांतत्य
দ্বিতীয় প্রকার বিরতি,द्वितीय प्रकार का असांतत्य
অবিচ্ছিন্ন বিতরণ,असंतत वितरण
অবিচ্ছিন্ন ফাংশন,असंतत फलन
অবিচ্ছিন্ন পার্থক্য,असंतत विचर
কণা,विविक्त
অবিচ্ছিন্ন বিতরণ,असंतत बंटन
অবিচ্ছিন্ন সম্ভাব্যতা বন্টন,असंतत प्रायिकता बंटन
অবিচ্ছিন্ন এলোমেলো পরিবর্তনশীল,असंतत यादृच्छिक चर
অবিচ্ছিন্ন নমুনা স্থান,असंतत प्रतिदर्श समष्टि
বিযুক্ত সমষ্টি,विविक्त समुच्चय
বিচ্ছিন্ন জনসংখ্যা,विविक्त समष्टि
পৃথক রাষ্ট্র,विविक्त संस्थिति
অবিচ্ছিন্ন পার্থক্য,असंतत विचर
বিতরণ কর,विविक्तकर
বৈষম্যমূলক বিশ্লেষণ,विविक्तकर विश्लेषण
বিচ্ছিন্ন,असंयुक्त
বিচ্ছিন্ন ঘটনা,असंयुक्त घटना
বিচ্ছিন্ন সেট,असंयुक्त समुच्चय
বিচ্ছিন্ন সন্নিবেশ,असंयुक्त सम्मिलन
"disjunction, rational sum","वियोजन, तर्क-संगत योग"
"dispersion, scattering","परिक्षेपण, प्रकीर्णन"
বিচ্ছুরণ চার্ট,परिक्षेपण संचित्र
বিচ্ছুরণ সূচক,परिक्षेपणांक
বিচ্ছুরণ চিত্র,परिक्षेपण-आरेख
বিচ্ছুরণ ম্যাট্রিক্স,परिक्षेपण-मैट्रिक्स
উত্পাটন,विस्थापन
প্রদর্শনী,प्रदर्श
কনসোল,कन्सोल
"অসম, অসম","असमरूप, असमान"
অপসারণ শক্তি,क्षयकारी बल
দূরত্ব ফাংশন,दूरी-फलन
দূরত্ব মডুলাস,दूरी-मापांक
অ বিতরণকারী,बंटन-निरपेक्ष
"বন্টন নিয়ম, বন্টন নিয়ম","वितरण-नियम, बंटननियम"
"নষ্ট করা, নষ্ট করা","अपसारित करना, अपसारित होना"
"ভিন্নতা, বিচ্যুতি, বিচ্যুতি","अपसरण, अपसारिता, डाइवर्जेन्स"
ভিন্নতা উপপাদ্য,अपसरण प्रमेय
ভিন্নমুখী,अपसारी
ভিন্ন পরিসীমা,अपसारी श्रेणी
বিভক্ত পার্থক্য,विभाजित अंतर
"বিভাজ্যতা, বিভাজ্যতা","भाज्यता, विभाज्यता"
"বিভাজ্য, বিভাজ্য","भाज्य, विभाज्य"
"বিভাগ, বিভাগ, বিভাগ","भाग, प्रभाग, विभाजन"
বিভাগ অ্যালগরিদম,विभाजन-कलन विधि
ভগ্ন চক্র,विभाजन-वलय
চতুর্ভুজ,द्वादशभुज
দশভুজ,द्वादशफलक
"ডোমেইন, ডোমেইন, প্রদেশ, অঞ্চল","प्रक्षेत्र, डोमेन, प्रांत, प्रदेश"
ফাংশনের ডোমেইন,फलन का प्रांत
সংজ্ঞা-প্রদেশ,परिभाषा-प्रांत
অস্তিত্বের অবস্থা,अस्तित्व-प्रांत
ওভাররাইডিং ডিভাইস,अभिभावी युक्ति
ডপলার এফেক্ট,डॉप्लर प्रभाव
"পয়েন্ট পণ্য, স্কেলার পণ্য","बिन्दु-गुणनफल, अदिशगुणनफल"
বিন্দুযুক্ত বক্ররেখা,बिन्दुकित वक्र
দ্বৈত পার্থক্য,द्विशः अवकलन
ডবল সূচকীয় বন্টন,द्विक चरघातांकीय बंटन
ডবল কুণ্ডলী,द्विकुंडली
বাইনারি অবিচ্ছেদ্য,द्विशः समाकल
বাইনারি ইন্টিগ্রেশন,द्विशः समाकलन
দ্বিগুণ সীমা,द्विक सीमा
ডবল স্যাম্পলিং ইভেন্ট,द्विशः प्रतिचयन आयोजन
ডবল ক্রম,द्विक अनुक्रम
ডবল সিরিজ,द्विक श्रेणी
ডবল-সংযুক্ত স্বরলিপি,द्वि-अनुलग्नी संकेतन
ডবল সংকলন,द्विक संकलन
নিম্নগামী ত্বরণ,अधोमुखी त्वरण
নিম্নগামী স্থানচ্যুতি,अधोमुखी विस्थापन
নিম্নগামী গতি,अधोमुखी गति
নিম্নগামী বেগ,अधोमुखी वेग
আকর্ষণ,कर्षण
ট্র্যাকশন বল,कर्षण-बल
"দ্বৈত দ্বৈততা,",द्वैती द्वैती
দ্বৈত ভিত্তি,द्वैत आधार
দ্বৈত অভ্যন্তরীণ পণ্য,द्वैत आंतरिक गुणनफल
ডুয়েল লিনিয়ার প্রোগ্রামিং সমস্যা,द्वैती रैखिक प्रोग्रामन समस्या
"ডবল অপারেশন, ডুয়াল অপারেশন","द्वि प्रचालन, द्वैती संक्रिया"
দ্বৈত সমস্যা,द्वैत समस्या
দ্বৈত একক অ্যালগরিদম,द्वैत एकल कलन-विधि
দ্বৈত একক পদ্ধতি,द्वैत एकल प्रविधि
দ্বৈত স্থান,द्वैत समष्टि
দ্বৈত পরিবর্তনশীল,द्वैत चर
দ্বৈত ভেক্টর স্থান,द्वैत सदिश समष्टि
নীরব সূচক,मूक सूचकांक
নীরব ফুটার,मूक पादांक
নীরব চুক্তি,मूक अनुबंध
নীরব পরিবর্তনশীল,मूक चर
নকল,अनुलिपि-प्रक्रम
গতিশীল,गतिकीय
গতিশীল সিস্টেম,गतिकीय तंत्र
গতিশীল চাহিদা ফাংশন,गतिक मांग फलन
গতিশীল মডেল,गत्यात्मक निदर्श
গতিশীল প্রোগ্রামিং,गत्यात्मक प्रोग्रामन
গতিশীল প্রোগ্রামিং পদ্ধতি,गतिशील प्रोग्रामन उपगमन
গতিশীল প্রোগ্রামিং কৌশল,गतिशील प्रोग्रामन प्रविधि
"গতিবিদ্যা, গতিবিদ্যা","गतिविज्ञान, गतिकी"
কণা গতিবিদ্যা,कण-गतिकी
অনমনীয় শরীরের গতিবিদ্যা,दृढ़ पिंड गतिकी
"পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবী, পৃথিবীর যোগাযোগ (ver.)","भू, पृथ्वी, भूमि, मत्तिृ का, मदृा, भू संपर्कित करना, भूसंपर्क करना (क्रि.)"
ভূমিকম্পের তীব্রতা,भूकंप तीव्रता
উদ্ভটতা,उत्केंद्रता
ধৃষ্টতা,ग्रहण
অর্থনৈতিক পূর্বাভাস,अर्थमितीय पूर्वानुमान
অর্থনীতিবিদ,अर्थमितिज्ञ
অর্থনীতি,अर्थमिति
অর্থনীতি,अर्थशास्त्र
"কোর, প্রান্ত, টিয়ার","कोर, किनारा, अश्रि"
সামগ্রিক কোর সম্মুখীন,अवमुख समुच्चय कोर
দক্ষতা সূচক,दक्षतांक
চরিত্রগত উপাদান,अभिलक्षणिक अवयव
চরিত্রগত ফাংশন,अभिलक्षणिक फलन
"eigen মান, চরিত্রগত মান","आइगेन मान, अभिलक्षणिक मान"
বৈশিষ্ট্যগত মান সমীকরণ,अभिलक्षणिक मान समीकरण
"আইজেন ভেক্টর, চরিত্রগত ভেক্টর","आइगेन वेक्टर, अभिलक्षणिक सदिश"
ইলাস্টিক,प्रत्यास्थ
ইলাস্টিক ঢালাই,प्रत्यास्थतांक
ইলাস্টিক ভারসাম্য,प्रत्यास्थ साम्यावस्था
স্থিতিস্থাপকতা,प्रत्यास्थता
স্থিতিস্থাপকতা পৃষ্ঠা,प्रत्यास्थता-पृष्ठ
"ইলেকট্রনিক কম্পিউটার, ইলেকট্রনিক কম্পিউটার","इलेक्ट्रॉनिक अभिकलित्र, इलेक्ट्रॉनिक कम्प्यूटर"
"উপাদান, উপাদান, উপাদান","तत्व, अल्पांश, अवयव"
প্রাথমিক কলাম অপারেশন,प्रारंभिक स्तंभ संक्रिया
প্রাথমিক ঘটনা,प्रारंभिक घटना
প্রাথমিক ফাংশন,प्रारंभिक फलन
প্রাথমিক অপারেশন,प्रारंभिक संक्रिया
প্রাথমিক ফলাফল,प्रारंभिक परिणाम
প্রাথমিক সম্ভাবনার নিয়ম,प्रारंभिक प्रायिकता नियम
লাইন অপারেশন শুরু,प्रारंभिक पंक्ति संक्रिया
"নির্মূল করা, নিশ্চিহ্ন করা,","विलुप्त करना, विलोपन करना"
রেজোলিউশন প্রক্রিয়া,निराकरण प्रक्रिया
"উপবৃত্ত, উপবৃত্ত","दीर्घवृत्त, इलिप्स"
উপবৃত্তাকার,दीर्घवृत्तज
উপবৃত্তাকার,दीर्घवृत्तजीय
উপবৃত্তাকার পাতা,दीर्घवृत्तजीय पृष्ठ
উপবৃত্তাকার শরীর,दीर्घवृत्ताकार पिंड
এমবেডিং,अंतःस्थापन
নির্গমন,उत्सर्जन
অভিজ্ঞতামূলক বিশ্বাস,आनुभविक न्यास
গবেষণামূলক সূত্র,मूलानुपाती सूत्र
অভিজ্ঞতামূলক সম্ভাবনা,आनुभविक प्रायिकता
অভিজ্ঞতামূলক সম্পর্ক,आऩुभविक संबंध
ফাঁকা সেট,रिक्त समुच्चय
আবদ্ধ,परिबद्‌ध
"এনকোডিং, কোডিং","कूटलेखन, कोडन"
আন্তঃকার্যক্ষমতা,अंतराकारिता
শেষপ্রান্ত,अंत्य बिंदु
ক্লাস ব্যবধানের শেষ বিন্দু,वर्गांतराल के अंत्य बिंदु
শক্তি,ऊर्जा
শক্তি-মোমেন্টাম উপাদান,ऊर्जा-संवेग घटक
এন্ট্রি ভেরিয়েবল,प्रवेशी चर
গণনাযোগ্য সেট,गणनीय समुच्चय
"গণনা, গণনা","गणन, गिनना"
"সমান, সমান, সমান, সমান","समान, बराबर, सम, तुल्य"
"সমতা, সমতা","समता, समिका"
সম্ভবত,समप्रायिक
এমনকি সম্ভাব্যতা নির্বাচন পদ্ধতি,सम प्रायिकता वरण विधि
সমান করা,समान करना
"সমীকরণ, সমীকরণ","समीकरण, समीकार"
দ্বিঘাত সমীকরণ,एकघात समीकरण
দ্বিঘাত সমীকরণ,द्विघात समीकरण
দ্বিঘাত সমীকরণ,त्रिघात समीकरण
"বিষুবরেখা, বিষুবরেখা, মধ্যরেখা","विषुवत वृत्त भूमध्यरेखा, इक्वेटर, मध्यरेखा"
সামঞ্জস্যপূর্ণ,समसंतत
সমবাহু,समबाहु
"ভারসাম্য, ভারসাম্য, ভারসাম্য","साम्यावस्था, साम्य, संतुलन"
বল ভারসাম্য,बल-संतुलन
ভারসাম্য বিন্দু,संतुलन बिंदु
সমতা,तुल्यता
সমতা শ্রেণী,तुल्यता-वर्ग
সমতা সম্পর্ক,तुल्यता-संबंध
"সমতুল্য, সমতুল্য (v.), সমতুল্য (ed.)","तुल्य, तुल्यमान (वि.), तुल्यांक (सं.)"
সমতুল্য ম্যাট্রিক্স,तुल्य मैट्रिक्स
সমতুল্য সেট,तुल्य समुच्चय
প্রবণতা,अभ्यतिप्रायता
"ভুল, ভুল, ভুল, ভুল","त्रुटि, भूल, गलती, अशुद्‌धि"
ত্রুটি বিশ্লেষণ,त्रुटि-विश्लेषण
ভুল সংকেত,त्रुटि कोड
ত্রুটি সহগ,त्रुटि गुणांक
বর্গক্ষেত্র মানে ত্রুটি,वर्ग माध्य त्रुटि
প্রথম ধরনের ত্রুটি,प्रथम प्रकार की त्रुटि
দ্বিতীয় ধরনের ত্রুটি,द्वितीय प्रकार की त्रुटि
পালানোর সম্ভাবনা,पलायन-प्रायिकता
মুক্তিবেগ,पलायन वेग
ই. শ্মিড্টের সচলতা প্রক্রিয়া,ई. श्मिट लांबिकीकरण प्रक्रम
বহির্মুখী,बहिर्वृत्त
"অপরিহার্য, অপরিহার্য","सारभूत, अनिवार्य"
কার্যত অনন্য,वस्तुतः अद्वितीय
"মূল্যায়ন করা, মূল্যায়ন করা (ver.), মূল্যায়ন করা (ed.)","आकलन करना, आकलित करना (क्रि.), आकलन (सं.)"
অনুমান পদ্ধতি,आकलन विधि
ইউক্লিডীয় স্থানাঙ্ক,यूक्लिडीय निर्देशांक
ইউক্লিডীয় ডোমেইন,यूक्लिडीय डोमेन
ইউক্লিডীয় জ্যামিতি,यूक्लिडीय ज्यामिति
ইউক্লিডিয়ান এন-স্পেস,यूक्लिडीय n-समष्टि
ইউক্লিডীয় সমতল,यूक्लिडीय समतल
অয়লারের উপপাদ্য,ऑयलर प्रमेय
"মূল্যায়ন করা, মূল্যায়ন করা","मान निकालना, मूल्यांकन करना"
এমন কি,सम
এমনকি বক্ররেখা,सम वक्र
এমনকি ফাংশন,सम फलन
এমনকি অবাধ্য,सम अपवर्त्य
জোড় সংখ্যা,सम संख्या
অদ্ভুত প্রতিসাম্য,सम-विषम सममिति
এমনকি স্থানান্তর,सम क्रमचय
"ঘটনা, পর্ব","घटना, अनुवृत्त"
আইসোমেট্রিক,समपद
"সঠিক, সঠিক, ঠিক","यथातथ, यथार्थ, बिल्कुल ठीक"
সঠিক চি-স্কয়ার পরীক্ষা,यथातथ काई-वर्ग परिक्षण
সঠিক পার্থক্য,यथातथ अवकल
সঠিক সমীকরণ,यथातथ समीकरण
উদাহরণ,उदाहरण
বিনিময়,विनिमय
নির্দিষ্ট ঘটনা,निश्शेष घटना
অস্তিত্বের স্বতঃসিদ্ধ,अस्तित्व अभिगृहीत
বেঁচে থাকার সম্ভাবনা,अस्तित्व प्रायिकता
অস্তিত্বের উপপাদ্য,अस्तित्व प्रमेय
বাহ্যিক পরিবর্তনশীল,बाह्य चर
"বিস্তার, বিস্তার","प्रसार, प्रसरण"
প্রত্যাশা ফাংশন,प्रत्याशा फलन
প্রত্যাশিত ফ্রিকোয়েন্সি,प्रत्याशित बारंबारता
প্রত্যাশিত মান,प्रत्याशित मान
পরীক্ষা,प्रयोग
"পরীক্ষামূলক ত্রুটি, পরীক্ষামূলক ত্রুটি","प्रायोगिक भूल, प्रायोगिक त्रुटि"
"ব্যাখ্যা, ব্যাখ্যা","व्याख्या, स्पष्टीकरण"
পরিষ্কার সমীকরণ,स्पष्ट समीकरण
পরিষ্কারভাবে,स्पष्ट रूप
পরিষ্কার ফাংশন,स्पष्ट फलन
পরিষ্কার সমাধান,स्पष्ट हल
সূচক,घातांक
সূচকীয় বক্ররেখা,चरघातांकी वक्र
সূচকীয় সম্ভাব্যতা ফাংশন,चरघातांकी प्रायिकता फलन
সূচকীয় বিতরণ,चरघातांकी बंटन
সূচকীয় সমীকরণ,चरघातांकी समीकरण
ব্যাখ্যামূলক কাজ,चरघातांकी फलन
"সূচকীয় বৃদ্ধি, সূচকীয় বৃদ্ধি","एक्सपोनेन्टी वृद्‌धि, चरघातांकी वृद्‌धि"
সূচকীয় নিয়ম,चरघातांकी नियम
সূচকীয় মানচিত্র,चरघातांकी प्रतिचित्र
"সূচকীয় সিরিজ, সূচকীয় সিরিজ","एक्सपोनेन्टी श्रेणी, चरघातांकी श्रेणी"
"অভিব্যক্তি, অভিব্যক্তি, মুখের অভিব্যক্তি, অভিব্যক্তি","निष्पीडन, व्यंजक, मुखाकृति, भावकृति"
বর্ধিত ব্যবধান,विस्तरित अंतराल
বর্ধিত বাস্তব লাইন,वर्धित वास्तविक रेखा
বর্ধিত বাস্তব সংখ্যা সিস্টেম,विस्तरित वास्तविक संख्या निकाय
ম্যাপিং এক্সটেনশন,प्रतिचित्रण विस्तार
বাহ্যিক কোণ,बहिष्कोण
বাইরের অঞ্চল,बाह्य क्षेत्र
বাহ্যিক বিন্দু,बाह्य बिंदु
বহিরাগত,बाह्य
predicate মান এক্সট্রাপোলেশন,उपनति मान का बहिर्वेशन
এক্সট্রাপোলেশন কৌশল,बहिर्वेशन तकनीक
সর্বোচ্চ মূল্য,चरम मान
"চরম, শেষ, চরম, চূড়ান্ত","अत्यंत, अंत, चरम, पराकाष्ठा"
উচ্চ বিন্দু,चरम बिंदु
বিপরীত সেটের চরম বিন্দু,अवमुख समुच्चय का चरम बिंदु
ফাংশনের চরম মান,फलन का चरम मान
চরম বৈশিষ্ট্য,चरम गुणधर्म
"মুখ, পাশে, সামনে","फलक, पार्श्व, अंताग्र"
পরিচিতি,अंकित मूल्य
"উপাদান, গুণনীয়ক, গুণনীয়ক, ধারা,","घटक, उपादान, कारक, खंड"
ফ্যাক্টর বিশ্লেষণ,उपादान विश्लेषण
খণ্ডিত,खंडित
ফ্যাক্টরিয়াল,क्रमगुणित
একাধিক ফ্যাক্টর নকশা,बहु-उपादानी अभिकल्पना
ফ্যাক্টরাইজেশন,गुणनखंडन
ফ্যাক্টর থেকে,गुणनखंड करना
ন্যায়বিচার খেলা,न्याय्य खेल
"ভার্চুয়াল, মিথ্যা, কোড","आभासी, मिथ्या, कूट"
"পরিবার, পরিবার, বংশ, পরিবার","कुटुंब, परिवार, कुल, फैमिली"
বৃত্ত মোট,वृत्त-कुल
বক্ররেখা মোট,वक्र-कुल
ফাংশন পরিবার,फलन-परिवार
মোট রেখা,रेखा-कुल
প্রতিরূপ,प्रतिकृति
F-বন্টন,F-बंटन
সামঞ্জস্যপূর্ণ ভিত্তি সমাধান,सुसंगत आधारी हल
সামঞ্জস্যপূর্ণ সমাধান,सुसंगत हल
"রিচার্জ, পুনঃবিনিয়োগ","पुनर्भरण, पुनर्निवेश"
ফার্মার আইন,फ़र्मा का नियम
ফার্মার উপপাদ্য,फ़र्मा का प्रमेय
ফার্মি-ডিরাক-পরিসংখ্যান,फर्मी-डिरैक-सांख्यिकी
ফিবোনাচি সংখ্যা,फिबोनाशी-संख्या
ফিবোনাচি পরিসীমা,फिबोनाशी श्रेणी
"ক্ষেত্র, ক্ষেত্র, ক্ষেত্র, ক্ষেত্র","क्षेत्र, क्षेत्रक, खेत, फील्ड"
চূড়ান্ত বেগ,अंतिम वेग
"সসীম, সসীম","परिमित, सांत"
সসীম ভিত্তি,परिमित आधार
সসীম দশমিক,परिमित दशमलव
সীমিত পার্থক্য,परिमित अंतर
সীমিত পার্থক্য পদ্ধতি,परिमित अंतर विधि
সসীম মাত্রিক,परिमितविमीय
সসীম মাত্রিক ভেক্টর,परिमितविमीय सदिश
সীমাবদ্ধ খেলা,परिमित खेल
সসীম জ্যামিতি,परिमित ज्यामिति
সসীম অবিচ্ছেদ্য,परिमित सर्वनिष्ठ
সসীমতা,परिमितानेक
সীমাবদ্ধ মার্কভ চেইন,परिमित मार्कोव शृंखला
সসীমতা প্রমাণ,परिमितता उपपत्ति
সসীম সংখ্যা,परिमित संख्या
সীমিত জনসংখ্যা,परिमित समष्टि
সীমিত সম্ভাবনা,परिमित प्रायिकता
শেষ গ্রেড,सांत श्रेणी
সসীম সেট,परिमित समुच्चय
সীমিত বেগ,परिमित वेग
সীমিত আয়তন,परिमित आयतन
"মিশ্রিত করা, সামঞ্জস্য করা","मिलाना, समंजन"
বক্ররেখা সমন্বয়,वक्र समंजन
সরলরেখা সমন্বয়,सरल रेखा समंजन
স্থির বিন্দু উপপাদ্য,नियत बिंदु प्रमेय
স্থির নমুনা,नियत प्रतिदर्श
ফ্লাইটের বেগ,उड़ान वेग
ভাসমান পয়েন্ট গণনা,चल बिंदु परिकलन
"ফ্লোটিং পয়েন্ট সিস্টেম, ভাসমান পয়েন্ট সিস্টেম","चल बिंदु प्रणाली, चलबिंदु पद्‌धति"
ফ্লো চার্ট,प्रवाह-संचित्र
গতির প্রবাহ,प्रवाह-वेग
তরল গতিবিদ্যা,तरल-गतिकी
"ফোকাল, কনফোকাল, ফোকাল","नाभीय, संनाभि, फोकसी"
ফোকাল জ্যা,नाभीय जीवा
ফোকাল দূরত্ব,नाभीय दूरी
ফোকাস দৈর্ঘ্য,नाभीय लंबाई
"নাভি, ফোকাস, উৎপত্তি","नाभि, फोकस, उद्‌गम"
"পা, পা, পা","पद, पाद, फुट"
অর্থোগোনাল,लंबपाद
মহাকর্ষীয় বল,गुरुत्व-बल
পূর্বাভাস,पूर्वानुमान
সূত্র,सूत्र
থ্রেডিং,सूत्रण
"বিন্যাস, বিন্যাস, প্রণয়ন","संरूपण, संरूप, सूत्रण"
এগিয়ে,अग्रांतर
এগিয়ে সন্নিবেশ,अग्र अंतर्वेशन
গণিতের ভিত্তি,गणित का मूलाधार
চতুর্মুখী বিশ্লেষণ,फूरिये-विश्लेषण
ফুরিয়ার সিরিজ,फूरिये श्रेणी
ফুরিয়ার রুপান্তর,फूरिये रूपांतर
ভিন্ন,भिन्न
ভগ্নাংশ স্থানাঙ্ক,भिन्नात्मक निर्देशांक
ভগ্নাংশ সংখ্যা,भिन्नात्मक संख्या
ভগ্নাংশ প্রোগ্রামিং,भिन्नात्मक क्रमादेशन
মুক্ত পথ,मुक्त पथ
বিনামূল্যে ভেক্টর বিনামূল্যে ভেক্টর,"मुक्त सदिश, मुक्त वेक्टर"
"ফ্রিকোয়েন্সি, ফ্রিকোয়েন্সি","आवत्तिृ, बारंबारता"
ফ্রিকোয়েন্সি কলাম,बारंबारता स्तंभ
"ফ্রিকোয়েন্সি বক্ররেখা, ফ্রিকোয়েন্সি বক্ররেখা","बारंबारता वक्र, आवत्तिृ वक्र"
কম্পাংক বন্টন,बारंबारता-बंटन
ফ্রিকোয়েন্সি হিস্টোগ্রাম,बारंबारता आयतचित्र
ঘটনার ফ্রিকোয়েন্সি,घटना-बारंबारता
ফ্রিকোয়েন্সি বহুভুজ,बारंबारता-बहुभुज
ফ্রিকোয়েন্সি টেবিল,बारंबारता-सारणी
frustum,छिन्नक
পিরামিড ফ্রাস্টাম,पिरामिड का छिन्नक
শেল frustum,गोले का छिन्नक
সম্পূর্ণ বিস্তার,पूर्ण प्रसार
"ফাংশন, ফাংশন, বৈশিষ্ট্য (গোষ্ঠী)","प्रकार्य, फलन, फंक्शन, अभिलक्षक (समूह)"
