Odiya,Bengali
ଏକତ୍ରିତ ଷ୍ଟେଟମେଣ୍ଟ,একীভূত বিবৃতি
ସଂସ୍ଥାଗୁଡ଼ିକ,একত্রীকরণের
ସ୍ପଷ୍ଟ,স্পষ্ট
ଷଡଯନ୍ତ୍ର,ষড়যন্ত্র
ସ୍ଥିର,ধ্রুবক
ନିରନ୍ତରନୂଦୀ,আসন
ସୃଷ୍ଟିକର୍ତ୍ତା,উপাদান
ସମ୍ବିଧାନ,সংবিধান
ପ୍ରତିବନ୍ଧକ,সীমাবদ্ধতা
ନିର୍ମାଣ,নির্মাণ
ପରାମର୍ଶଦାତା |,পরামর্শদাতা
ପରାମର୍ଶ,পরামর্শ
ପରାମର୍ଶକାରୀ କମିଟି |,পরামর্শমূলক কমিটি
ଗ୍ରାହକ ଆଇଟମ୍ |,উপভোগযোগ্য আইটেম
ଗ୍ରାସ କରନ୍ତୁ |,গ্রাস করা
ଗ୍ରାହକଙ୍କ ସାମଗ୍ରୀ,গ্রাহকের পণ্য
ଗ୍ରାହକ ଫୋରମ୍ / ପରିଷଦ |,গ্রাহক ফোরাম/কাউন্সিল
ଗ୍ରାହକ ଆଭିମୁଖ୍ୟ,গ্রাহক ওরিয়েন্টেশন
ବ୍ୟବହାର,খরচ
ଯୋଗାଯୋଗ କରନ୍ତୁ |,যোগাযোগ
ଯୋଗାଯୋଗ ପ୍ରୋଗ୍ରାମ,যোগাযোগ প্রোগ্রাম
ସଂକ୍ରାମକ ରୋଗ,সংক্রামক রোগ
ଧାରଣ କରନ୍ତୁ |,ধারণ করে
ଚିନ୍ତା କର |,চিন্তাভাবনা
ସମସାମୟିକ,সমসাময়িক
କୋର୍ଟର ଅବମାନନା,আদালত অবমাননার
ବ conିବା,বিতর্ক
ବିଷୟବସ୍ତୁ,বিষয়বস্তু
ପ୍ରତିଯୋଗିତା,প্রতিযোগিতা
ପ୍ରସଙ୍ଗ,প্রসঙ্গ
କଣ୍ଟିଜେନ୍ସି |,কন্টিনজেন্সি
କଣ୍ଟିଜେନ୍ସି,কন্টিনজেন্সি
କଣ୍ଟିଜେନ୍ସି ଭତ୍ତା,কন্টিনজেন্সি ভাতা
କଣ୍ଟିଜେନ୍ସି ପାଣ୍ଠି |,কন্টিনজেন্সি তহবিল
କଣ୍ଟିଜେନ୍ସି ଅନୁଦାନ,কন্টিনজেন্সি গ্রান্ট
କଣ୍ଟିଜେନ୍ସି ଯୋଜନା,অনিশ্চিত পরিকল্পনা
କଣ୍ଟିଜେଣ୍ଟ୍ ଚାର୍ଜ |,অবিচ্ছিন্ন চার্জ
ନିରନ୍ତର ନିଯୁକ୍ତି |,অবিচ্ছিন্ন অ্যাপয়েন্টমেন্ট
ନିରନ୍ତର ବିକାଶ |,অবিচ্ছিন্ন বিকাশ
ନିରନ୍ତର ପ୍ରକ୍ରିୟା |,ধারাবাহিক প্রক্রিয়া
ନିରନ୍ତର ସେବା |,অবিচ্ছিন্ন পরিষেবা
ନିଷେଧାଦେଶ,নিষিদ্ধ
ଚୁକ୍ତିନାମା,চুক্তি
ଚୁକ୍ତିନାମା କାର୍ଯ୍ୟ,চুক্তি দলিল
ରୋଜଗାରର ଚୁକ୍ତି,চাকুরির চুক্তি
ଚୁକ୍ତିନାମା ଅବଧି |,চুক্তির মেয়াদ
ଚୁକ୍ତିଭିତ୍ତିକ ଡକ୍ୟୁମେଣ୍ଟ୍ |,চুক্তিভিত্তিক দলিল
ଚୁକ୍ତିଭିତ୍ତିକ ଦାୟିତ୍। |,চুক্তিমূলক দায়
ଚୁକ୍ତିଭିତ୍ତିକ ସେବା,চুক্তিভিত্তিক পরিষেবা
ପ୍ରତିବାଦ,দ্বন্দ্ব
ବିପରୀତ ବକ୍ତବ୍ୟ |,পরস্পরবিরোধী বিবৃতি
ବିପରୀତରେ |,বিপরীত
ପ୍ରତିକ୍ରିୟା,লঙ্ঘন
ଯୋଗୋଦାନ,অবদান
ଯୋଗଦାନୀ ପେନ୍ସନ୍ ସ୍କିମ୍ |,অবদান পেনশন স্কিম
ଯୋଗଦାନ ପ୍ରଦାନକାରୀ ପାଣ୍ଠି |,অবদানমূলক প্রভিডেন্ট ফান্ড
ନିୟନ୍ତ୍ରଣ,নিয়ন্ত্রণ
ନିୟନ୍ତ୍ରଣକାରୀ ଅଧିକାରୀ |,নিয়ন্ত্রণকারী অফিসার
ବିବାଦୀୟ,বিতর্কিত
ବିବାଦୀୟ ବିଷୟ |,বিতর্কিত বিষয়
ବିବାଦ |,বিতর্ক
ସୁବିଧା,সুবিধা
ସମ୍ମିଳନୀ,সম্মেলন
ପାରମ୍ପାରିକ |,প্রচলিত
କଥାବାର୍ତ୍ତା,কথোপকথন
ରୂପାନ୍ତର,রূপান্তর
ରୂପାନ୍ତରିତ ଛୁଟି |,রূপান্তরিত ছুটি
ମିଳନ,পরিবহন
ମିଳନ ଭତ୍ତା,পরিবহন ভাতা
ପରିବହନ କାର୍ଯ୍ୟ,পরিবহন দলিল
ପରିବହନ ଖର୍ଚ୍ଚ,পরিবহন ব্যয়
ଦୋଷୀ,দোষী
ବିଶ୍ୱାସ,দৃঢ় বিশ্বাস
ସମନ୍ୱୟ,সমাবর্তন
ସମୟ ବନ୍ଦ କରିବା |,সময়সীমার বন্ধ শীতল
ସହଯୋଗ,সহযোগিতা
ସହଯୋଗୀ,সমবায়
ସହଯୋଗୀ ସମାଜ |,সমবায় সমিতি
ସହ-ଅପ୍ଟ,কো-অপ্ট
ସହ-ବିକଳ୍ପ ସଦସ୍ୟ |,সহ-অপ্টেড সদস্য
ସହଯୋଗୀ,সমন্বয়
ସହ-ମାଲିକ,সহ-মালিক
ସହ-ଅଂଶୀଦାର,সহ-অংশীদার
କପି କରନ୍ତୁ |,অনুলিপি
କପି କରିବା,অনুলিপি করা
କପିରାଇଟ୍,কপিরাইট
କର୍ଡିଆଲ୍,করুণ
କରୋନର୍,করোনার
କର୍ପୋରେଟ୍ ଶରୀର |,পরিচালনা পরিশদ
କର୍ପୋରେଟ୍ ଯୋଜନା,প্রাতিষ্ঠানিক পরিকল্পনা
ନିଗମ,কর্পোরেশন
ନିଗମ କର,বানিজ্যিক কর
ସଂଶୋଧନ,সংশোধন
ସଂଶୋଧନ ପଦକ୍ଷେପ (= ସଂଶୋଧନ),সংশোধনমূলক ব্যবস্থা (= সংশোধন)
ଚିଠି,চিঠিপত্র
ସମ୍ବାଦଯୁକ୍ତ ପାଠ୍ୟକ୍ରମ |,চিঠিপত্রের কোর্স
ଚିଠି ଅଂଶ |,চিঠিপত্রের অংশ
ସମ୍ବାଦଦାତା,সংবাদদাতা
ଅନୁରୂପ,সংশ্লিষ্ট
କର୍ତ୍ତିରିଣ୍ଡୁମ,Corrigendum
ସ୍ମରଣ କର,সংশোধিত
ଅହଂକାର,সংশ্লেষ
ଦୁର୍ନୀତିଗ୍ରସ୍ତ,দুর্নীতিগ্রস্থ
ଦୁର୍ନୀତି,দুর্নীতি
ଭ୍ରଷ୍ଟ ଅଭ୍ୟାସ |,দুর্নীতিবাজ অনুশীলন
କସମୋପଲିଟାନ ସହର |,বিশ্বজনীন শহর
ମୂଲ୍ୟ,ব্যয়
ମୂଲ୍ୟ,খরচ হিসাবরক্ষক
ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,খরচ বিশ্লেষণ
ମୂଲ୍ୟ ଛାତ,ব্যয় সিলিং
ଫଳ ପ୍ରଭାବଶାଳୀତା |,ব্যয় কার্যকারিতা
ଜୀବନର ମୂଲ୍ୟ,জীবনযাত্রার খরচ
ମୂଲ୍ୟ ଓଭରରୁନ୍,ব্যয় ছাড়
କୁଟିଜ ଶିଳ୍ପ |,থরাইজেসহন
ପରିଷଦ,পরিষদ
ମନ୍ତ୍ରୀଙ୍କ ପରିଷଦ,মন্ত্রিপরিষদ
ପରିଷଦର ପରିଷଦ |,রাজ্য কাউন্সিল
ପରାମର୍ଶ,পরামর্শ
କାଉନସେଲିଂ,পরামর্শ
କାଉଣ୍ଟର,কাউন্টার
କାଉଣ୍ଟର କାର୍ଯ୍ୟ,কাউন্টার অ্যাকশন
କାଉଣ୍ଟର ଆଫିଡେଭିଟ୍ |,কাউন্টার হলফনামা
କାଉଣ୍ଟର ଚାର୍ଜ |,কাউন্টার চার্জ
କାଉଣ୍ଟର ଦାବି,পাল্টা দাবি
ନକଲି ମୁଦ୍ରା |,জাল মুদ্রা
ନକଲି,জাল
Cauterfel,জালিয়াতি
କାଉଣ୍ଟର ଅଫର୍ |,পাল্টা প্রস্তাব
କାଉଣ୍ଟରଜିନ୍ସ |,কাউন্টারসাইন
ପୁଲୱାମା ଆକ୍ରମଣ,অভ্যুত্থান
କୁପନ୍ |,কুপন
କ୍ୟୁରିଅର୍,কুরিয়ার
କ୍ୟୁରିଅର୍ ସେବା,কুরিয়ার সার্ভিস
ପାଠ୍ୟକ୍ରମ,অবশ্যই
ଅଧ୍ୟୟନର ପାଠ୍ୟକ୍ରମ,অধ্যয়নের কোর্স
କୋର୍ଟ କେସ୍,আদালত মামলা
ସ es ଜନ୍ୟ,শ্লীলতা
ଛୋଟ କାରଣର କୋର୍ଟ |,ছোট কারণ আদালত
ଚୁକ୍ତି,চুক্তি
ଆବରଣ |,আবরণ
କଭରେଜ୍,কভারেজ
ଅକ୍ଷର ଅକ୍ଷର,চিঠি covering াকনা
ମେମୋ ଆଚ୍ଛାଦନ କରେ |,মেমো covering েকে রাখা
ନୋଟ୍ ନୋଟ୍ |,কভার নোট
କ୍ରାସ୍ ପ୍ରୋଗ୍ରାମ୍ |,ক্র্যাশ প্রোগ্রাম
କ୍ରିମି ସ୍ତର |,ক্রিমি স্তর
ସୃଷ୍ଟି,সৃষ্টি
ସୃଜନଶୀଳ |,সৃজনশীল
ସୃଜନଶୀଳତା,সৃজনশীলতা
କିରେ,ক্রেচে
ପରିଚୟପତ୍ର କମିଟି |,শংসাপত্র কমিটি
ବିଶ୍ୱସନୀୟତା,বিশ্বাসযোগ্যতা
କ୍ରେଡିଟ୍,ক্রেডিট
କ୍ରେଡିଟ୍,বিশ্বাসযোগ্য
କ୍ରେଡିଟ୍ ପରାମର୍ଶ |,ক্রেডিট পরামর্শ
କ୍ରେଡିଟ୍ ଏବଂ ଥ୍ରିଫ୍ଟ ସମାଜ |,ক্রেডিট এবং থ্রিফ্ট সোসাইটি
କ୍ରେଡିଟ୍ କାର୍ଡ଼,ক্রেডিট কার্ড
କ୍ରେଡିଟ୍ ସୁବିଧା,ঋণ সুবিধা
କ୍ରେଡିଟ୍ ଏଣ୍ଟ୍ରି,ক্রেডিট এন্ট্রি
କ୍ରେଡିଟ୍ ଟିପ୍ପଣୀ,ক্রেডিট নোট
କ୍ରେସର୍ମର,পাওনাদার
ଶବଦାହ,শ্মশান
ଶବଦାହ ଭୂମି,শ্মশান স্থল
କ୍ରୁ,নাবিকদল
ଅପରାଧ,অপরাধ
ବିଶ୍ୱାସର ଅପରାଧ ଉଲ୍ଲଂଘନ |,বিশ্বাস লঙ্ঘন
ଅପରାଧିକ କୋର୍ଟ |,ফৌজদারি আদালত
ଅପରାଧିକ ଅବହେଳା |,অপরাধী অবহেলা
ଅପରାଧିକ ଅପରାଧ |,ফৌজদারি অপরাধ
ଅପରାଧିକ ପ୍ରଣାଳୀ କୋଡ୍ |,ফৌজদারি কার্যবিধি কোড
ସଙ୍କଟ,সংকট
ସଙ୍କଟ ପରିଚାଳନା,দুর্যোগ ব্যাবস্থাপনা
ମାନଦଣ୍ଡ,মানদণ্ড
ସମାଲୋଚନା,সমালোচনা
କ୍ରସ୍,ক্রস
କ୍ରସ୍ ପ୍ରଜାତି,ক্রস ব্রিড
କ୍ରସ୍ ଯାଞ୍ଚ |,ভুল চেক করা
କ୍ରସ୍ ଚେକ୍ |,ক্রস চেক
କ୍ରସ୍ ପରୀକ୍ଷା,ক্রস পরীক্ষা
କ୍ରସ୍ ରେଫରେନ୍ସ,প্রতিনির্দেশ
ବହିଷ୍କାର,ক্রস ভোটদান
ବହୁମୂଲିକ ତାରିଖ,গুরুত্বপূর্ণ তারিখ
ଅଶୋଧିତ,অপরিশোধিত
କୁଲିପେବଲ୍ ହୋମିଡ୍ |,দোষাবহ নরহত্যা
ଦୋଷୀ,অপরাধী
ଚାଷ,চাষ
ସାଂସ୍କୃତିକ ବିନିମୟ କାର୍ଯ୍ୟକ୍ରମ |,সাংস্কৃতিক বিনিময় প্রোগ্রাম
ଜମୁଲେଟିଭ୍ |,ক্রমবর্ধমান
ମୁଦ୍ରା |,মুদ্রা
ମୁଦ୍ରା ବିନିମୟ,মুদ্রা বিনিময়
ମୁଦ୍ରା ଟିପ୍ପଣୀ,মুদ্রা নোট
ସାମ୍ପ୍ରତିକ,কারেন্ট
ସାମ୍ପ୍ରତିକ ଆକାଉଣ୍ଟ୍ |,চলতি হিসাব
ସାମ୍ପ୍ରତିକ କାର୍ଯ୍ୟଗୁଡିକ |,বর্তমান কর্তব্য
ସାମ୍ପ୍ରତିକ ଅଧିବେଶନ |,বর্তমান অধিবেশন
ପାଠ୍ୟକ୍ରମ ଭିଟା |,জীবন বৃত্তান্ত
କୋର୍ଟସେଲ,কার্টেল
ରକ୍ଷକ,কাস্টোডিয়ান
ହେପାଜତ,হেফাজত
କଷ୍ଟମ୍,কাস্টম
କଷ୍ଟମ୍,কাস্টম
ପ୍ରଥା,গতানুগতিক
ପାରମ୍ପାରିକ ପଦ୍ଧତି |,প্রথাগত পদ্ধতি
କଷ୍ଟମ୍ ଡ୍ୟୁଟି |,শুল্ক
ଗ୍ରାହକ,ক্রেতা
ଗ୍ରାହକ ବନ୍ଧୁତ୍ୱପୂର୍ଣ୍ଣ |,গ্রাহক বান্ধব
କଷ୍ଟମ୍ ପରୀକ୍ଷା,কাস্টম পরীক্ষা
କାଟିଦେବା,কেটে ফেলা
କାଟିବା,কাটা গতি
ତାରିଖ କାଟିବା,তারিখ কাটা
ଚକ୍ର,সাইকেল
ପ୍ରତିଦିନ |,প্রতিদিন
ଦ Daily ନିକ ଭତ୍ତା,দৈনিক ভাতা
ଦ Daily ନିକ ଡାଏରୀ |,দৈনিক ডায়েরি
ଦ Daily ନିକ ରେଜିଷ୍ଟର |,দৈনিক নিবন্ধন
ଦ Daily ନିକ ରିପୋର୍ଟ,দৈনিক প্রতিবেদন
ଦ Daily ନିକ ରୁଟିନ୍ |,প্রাত্যহিক কাজ
ଦ daily ନିକ ବେତନ,দৈনিক মজুরি
DAK ପର୍ଯ୍ୟାୟ |,ডাক স্টেজ
ଧର,ডাক ট্রে
କ୍ଷତି,ক্ষতি
କ୍ଷତି,ক্ষতি
ବିପଜ୍ଜନକ |,বিপজ্জনক
ସାହସୀ,সাহসী
ତଥ୍ୟ,ডেটা
ଡାଟା ବ୍ୟାଙ୍କ |,ডাটা
ତଥ୍ୟ ବେସ,তথ্যশালা
ତଥ୍ୟ ସଂଗ୍ରହ,তথ্য সংগ্রহ
ତଥ୍ୟ ଖାଇବାକୁ,ডেটা খাওয়ানো
ଡାଟା ପ୍ରକ୍ରିୟାକରଣ |,তথ্য প্রক্রিয়াজাতকরণ
ତାରିଖ,তারিখ
ଆସିବାର ତାରିଖ,পৌছানোর তারিখ
ଜନ୍ମଦିନ,জন্ম তারিখ
ପ୍ରସ୍ଥାନ ତାରିଖ,বহির্গমনের তারিখ
ଡିସଚାର୍ଜ ତାରିଖ |,স্রাবের তারিখ
ପରିପକ୍ୱତା ତାରିଖ,পরিপক্কতার তারিখ
ରସିଦ ତାରିଖ,প্রাপ্তির তারিখ
ତାରିଖ ଷ୍ଟାମ୍ପ |,তারিখ স্ট্যাম্প
ଦିନ ସ୍କୋଲାର୍ |,দিন পণ্ডিত
ଦିନ ଶିଫ୍ଟ |,দিন শিফট
ଅନୁଗ୍ରହର ଦିନ |,অনুগ্রহের দিন
ଦିନ କାମକୁ ଦିନ |,প্রতিদিনের কাজ
ମୃତ ଖାତା,মৃত অ্যাকাউন্ট
ସମୟସୀମା,শেষ তারিখ
ଜଳଖିଆ,অচলাবস্থা
ଡେଡ୍ ଷ୍ଟକ୍ ରେଜିଷ୍ଟର |,মৃত স্টক রেজিস্টার
ମୃତ ଓଜନ,মৃত ওজন
କାରବାର,ডিল
ସହାୟକ କାରବାର |,সহকারী ডিলিং
କାରବାର,ডিলিং
ମୃତ୍ୟୁ ବାର୍ଷିକୀ |,মৃত্যু বার্ষিকী
ପ୍ରିୟତା ଭତ୍ତା |,মহার্ঘ ভাতা
ମୃତ୍ୟୁ ଲାଭ,মৃত্যুর সুবিধা
ମୃତ୍ୟୁ-ଜମ୍-ଅବସର ଗ୍ରାଟେରୀତା |,মৃত্যু-কাম-অবসর গ্রহণের গ্র্যাচুয়িটি
ସେବାରେ ମୃତ୍ୟୁ,সেবায় মৃত্যু
ଡାଉଟରଜୋଜାଓନିନ୍ |,Deauthorizatioin
ଦେବର,দেবর
ଡେବିଟ୍,ডেবিট
ଡେବିଟ୍ ପରାମର୍ଶ |,ডেবিট পরামর্শ
ରୂଣ,Debt ণ
Debt ଣ ପରିଚାଳନା,Debt ণ ব্যবস্থাপনা
Deb ଣଦାତା,Deb ণগ্রহীতা
ମୃତ,মৃত
ଶାସନ,শালীনতা
ବିକେନ୍ଦ୍ରୀକରଣ,বিকেন্দ্রীকরণ
ନିଷ୍ପତ୍ତି ନେବେ,সিদ্ধান্ত ফ্যাক্টর
ନିଷ୍ପତ୍ତି,সিদ্ধান্ত
ନିର୍ଣ୍ଣୟ ନେବା,সিদ্ধান্ত গ্রহণ
ନିଷ୍ପତ୍ତି ନେବା ପ୍ରକ୍ରିୟା |,সিদ্ধান্ত গ্রহণ প্রক্রিয়া
ଘୋଷଣା,ঘোষণা
ଆୟର ଘୋଷଣା |,আয়ের ঘোষণা
ଘୋଷିତ ମୂଲ୍ୟ |,ঘোষিত মান
ଶପଥ କର,শপথ ঘোষণা
ଡିକୋଡ୍ କରନ୍ତୁ |,ডিকোড
ଡେକଣ୍ଟ୍ରୋଲ୍ |,ডিকন্ট্রোল
ବିଗାମୀ,সজ্জা
କମିବା,হ্রাস
ଏହି ପରିସେଇ,ডিক্রি
ସମର୍ପଣ,উত্সর্গ
ରିହାତି,বাদ
ରିହାତି,ছাড়
ଉତ୍ସରେ ରିହାତି,উত্স এ ছাড়
ଦରମାରୁ ରିହାତି,বেতন থেকে ছাড়
କାର୍ଯ୍ୟ,কাজ
ବନ୍ଧକ କାର୍ଯ୍ୟ,বন্ধকের দলিল
ବିଶ୍ୱବିଦ୍ୟାଳୟ ବୋଲି ବିବେଚନା କରାଯାଏ |,গণ্য বিশ্ববিদ্যালয়
ବଦନାମ,ডিফেস
ଦେ ଫ୍ୟାକ୍ଟୋ,ডি ফ্যাক্টো
ନକଲ,ডিফলেশন
ବଦନାମ,মানহানি
ଡିଫଲ୍ଟ |,ডিফল্ট
ଡିଫଲ୍ଟର |,খেলাপি
ତ୍ରୁଟିଯୁକ୍ତ,ত্রুটিযুক্ত
ପ୍ରତିରକ୍ଷା,প্রতিরক্ষা
ପ୍ରତିରକ୍ଷା ଉପଦେଶ,প্রতিরক্ষা পরামর্শ
ପ୍ରତିରକ୍ଷା ଉତ୍ପାଦନ |,প্রতিরক্ষা উত্পাদন
ଅଭିଯୁକ୍ତ,প্রতিবাদী
ସ୍ଥଗିତ ରଖ |,স্থগিত
ସ୍ଥଗିତ ଖର୍ଚ୍ଚ,স্থগিত ব্যয়
ଅବମାନନା,ডিফায়েন্স
ନିଅଣ୍ଟ,ঘাটতি
ନିଅଣ୍ଟ ବଜେଟ୍ |,ঘাটতি বাজেট
ପରିଭାଷିତ କରନ୍ତୁ,সংজ্ঞায়িত
ଅଟୋ,অস্বীকার করুন
ଭିକେସନ୍,অবক্ষয়
ଡିଗ୍ରୀ,ডিগ্রি
ନିର୍ବନ୍ଧ,দেজুরে
ବିଳମ୍ବ,বিলম্ব
ପ୍ରତିନିଧୀ |,প্রতিনিধি
ପ୍ରତିନିଧୀ କର୍ତ୍ତୃପକ୍ଷ |,প্রতিনিধি কর্তৃপক্ষ
ପ୍ରତିନିଧୀ,প্রতিনিধি
ଶକ୍ତିର ପ୍ରତିନିଧୀ |,ক্ষমতার প্রতিনিধি
ବିଲୋପ କରନ୍ତୁ |,মুছে ফেলা
ବିଲୋପାଘ,মুছে ফেলা
ଜାଣିଶୁଣି |,ভেবেচিন্তে
ବିଚାରପତି,আলোচনা
ଦେଦକାର କରିବା |,ডেলিসেন্সিং
ପ୍ରତାରଣା,সীমানা
ବିତରଣ କର |,বিতরণ
ବିତରଣ,বিতরণ
ଚାହିଦା,চাহিদা
ଟିପ୍ପଣୀ ଟିପ୍ପଣୀ ଟିପ୍ପଣୀ |,চাহিদা নোট
ଛକ,সীমানা
Demi-garieruler,ডেমি-সরকারী
ଗଣତନ୍ତ୍ର,গণতন্ত্র
ପ୍ରଦର୍ଶନ,প্রদর্শন
ଗଣନିରୋଗରକରଣ,ডিমোরালাইজেশন
ଡେମୁରିଜ୍ |,ডেমিউরেজ
ଅସ୍ୱୀକାର,অস্বীকার
ନାମ,ডিনোমিনেশন
ଦେ ନୋଭୋ |,ডি নভো
ଅସ୍ୱୀକାର କର |,অস্বীকার
ବିଦାୟ,প্রস্থান
ବିଭାଗ,বিভাগ
ବିଭାଗୀୟ,বিভাগীয়
ବିଭାଗୀୟ କାର୍ଯ୍ୟ,বিভাগীয় ক্রিয়া
ବିଭାଗୀୟ ଅନୁସନ୍ଧାନ |,বিভাগীয় তদন্ত
ବିଭାଗୀୟ ଅନୁସନ୍ଧାନ,বিভাগীয় তদন্ত
ବିଭାଗୀୟ ଅନିୟମିତତା |,বিভাগীয় অনিয়ম
ବିଭାଗୀୟ ଲାଇବ୍ରେରୀ |,বিভাগীয় গ্রন্থাগার
ବିଭାଗୀୟ ଅବହେଳା |,বিভাগীয় অবহেলা
ବିଭାଗୀୟ ଅନୁମତି,বিভাগীয় অনুমতি
ବିଭାଗୀୟ ଯୋଗ୍ୟତା ପରୀକ୍ଷା |,বিভাগীয় যোগ্যতা পরীক্ষা
ପ୍ରସ୍ଥାନ,প্রস্থান
ନିର୍ଭରଶୀଳତା ପ୍ରମାଣପତ୍ର,নির্ভরতা শংসাপত্র
ନିର୍ଭରଶୀଳ |,নির্ভরশীল
ନିର୍ଭରଶୀଳ ପିଲାମାନେ |,নির্ভরযোগ্য শিশু
ନିୟୋଜନ କରନ୍ତୁ |,মোতায়েন
ଭିକ୍ଟର |,ডিপেন্টেন্ট
ନିର୍ବାସନ,নির্বাসন
କ୍ଷତିପୂରଣ,ডিপোজ
ଜମା,আমানত
ଡିପୋ,ডিপো
ଅବିଶ୍ୱାସନୀୟ,অবচয়
ଉଦାସୀନ ଶ୍ରେଣୀ |,হতাশ শ্রেণি
ବଞ୍ଚିତ,বঞ্চিত
ପ୍ରତିନିଧିତ୍,ডেপুটেশন
ଡେପୁଟେସନ୍ ଭତ୍ତା,ডেপুটেশন ভাতা
ଡେପୁଟି,সহকারী
ପଞ୍ଜୀକୃତ |,নিয়ন্ত্রিত
ଡ୍ୟୁଟିର ଦି,দায়িত্ব পালনে অবহেলা
ନିର୍ଯ୍ୟାତନା,Ereveration
ପୁନରୁତ୍ଥାନ,অবমাননা
ଅପମାନଜନକ,অবমাননাকর
ଅପମାନଜନକ ଟିପ୍ପଣୀ |,অবমাননাকর মন্তব্য
ବଂଶଧର,বংশোদ্ভূত
ବର୍ଣ୍ଣନା,বর্ণনা
ଯୋଗ୍ୟ,যোগ্য
ଡିଜାଇନ୍,নকশা
ନିଯୁକ୍ତ କରନ୍ତୁ |,মনোনীত
ନିଯୁକ୍ତ,উপাধি
ପଠନ,প্রেরণ
ଡେସପ୍ୟାଚ୍ ନୋଟ୍ |,প্রাণবধ নোট
ପଠନ ରେଜିଷ୍ଟର |,প্রেরণ নিবন্ধ
ଗନ୍ତବ୍ୟସ୍ଥଳ,গন্তব্য
ଦରିଦ୍ର,নিঃস্ব
ସବିଶେଷ,বিশদ
ବିସ୍ତୃତ,বিশদ
ଚିହ୍ନଟ କର |,সনাক্ত করুন
ବନ୍ଦନା,আটক
ଡିସେନୁ |,ডিটেনু
ନିଷ୍ଠା,সংকল্প
ନିବେଦନ,বাধা
କ୍ଷତିକାରକ,ক্ষতি
କ୍ଷତିକାରକ |,ক্ষতিকারক
ମୂଲ୍ୟ ହ୍ରାସ,অবমূল্যায়ন
ବିନାଶ,ধ্বংস
ବିକାଶ,উন্নয়ন
ବିଚ୍ୟୁତ,বিচ্যুত
ଉପକରଣ,যন্ত্র
ଭକ୍ତି,ভক্তি
ନିରାକରଣ,নির্ণয়
ଚିତ୍ର,চিত্র
ଡାଏରୀ,ডায়েরি
ନିର୍ଦ୍ଦେଶ,ডিক্টেশন
ଅଣ ମୁସ୍ କରେ |,মারা যায় না
ଡାଏଟ୍,ডায়েট
ହଜମ କରନ୍ତୁ |,পরিপাক করা
ସମ୍ମାନିତ,মর্যাদাপূর্ণ
ସମ୍ମାନ,মর্যাদা
ଖୋଳା,ডিগ্রেশন
ଦିଲାଟନକାରୀ,Dilatory
ଦ୍ୱନ୍ଦ୍ୱ,দ্বিধা
ପରିଶ୍ରମୀ,পরিশ্রমী
ପରିମାପ,মাত্রা
ଡିପ୍ଲୋମା,ডিপ্লোমা
କୂଟନୀତି |,কূটনীতি
କୂଟନ omatic ତିକ ରୋଗୀତା |,কূটনৈতিক অনাক্রম্যতা
ସିଧାସଳଖ |,সরাসরি
ସିଧାସଳଖ ପ୍ରତିଯୋଗିତା |,সরাসরি প্রতিযোগিতা
ସିଧାସଳଖ ସାକ୍ଷାତକାର |,সরাসরি সাক্ষাত্কার
ଦିଗ,অভিমুখ
ଡିରେକ୍ଟୋରୀ,ডিরেক্টরি
ସିଧାସଳଖ ନିଯୁକ୍ତି |,সরাসরি নিয়োগ
ଅନୁମୋଦିତ,অস্বীকার করুন
ଅକ୍ଷମତା,অক্ষমতা
ଅକ୍ଷମ ବ୍ୟକ୍ତି,প্রতিবন্ধী ব্যক্তি
ଅକ୍ଷମତା ଲାଭ,অক্ষম সুবিধা
ଅସୁବିଧା,অসুবিধা
ସହମତ ନୁହେଁ,একমত
ଅନୁମୋଦିତ |,অস্বীকার করা
ନାପସନ୍ଦ,অস্বীকৃতি
ବିପର୍ଯ୍ୟୟ |,বিপর্যয়
ବିପର୍ଯ୍ୟୟ ପରିଚାଳନା,দুর্যোগ ব্যবস্থাপনা
ବିଚ୍ଛିନ୍ନ କର |,ডিসব্যান্ড
ବିବାଦ,বিতরণ
ପରିତ୍ୟାଗ କରନ୍ତୁ |,বাতিল করা
ମୁକ୍ତି,স্রাব
ଡିସଚାର୍ଜ ସ୍ଲିପ୍ |,স্রাব স্লিপ
ଶୃଙ୍ଖଳାଗତ କାର୍ଯ୍ୟ,শাস্তিমূলক ব্যবস্থা
ଶୃଙ୍ଖଳାଗତ ପ୍ରଣାଳୀ |,শৃঙ্খলাবদ্ধ পদ্ধতি
ଅନୁଶାସନ,শৃঙ্খলা
ପ୍ରତ୍ୟାଖ୍ୟାନ |,অস্বীকার করুন
ପ୍ରକାଶ,প্রকাশ
ଅସମ୍ମାନ,অসন্তুষ্টি
ବନ୍ଦ,বিচ্ছিন্নতা
ବନ୍ଦ କରନ୍ତୁ,বন্ধ করুন
ମୁକ୍ତି,মতবিরোধ
ରିହାତି,ছাড়
ଆବିଷ୍କାର କରନ୍ତୁ |,আবিষ্কার
ଅସମ୍ମାନ,কুখ্যাত
ଅସଙ୍ଗତି,তাত্পর্য
ବିବେକ,বিচক্ষণতা
ବିବେକ ଅନୁଦାନ,বিচক্ষণ অনুদান
ବିଚକ୍ଷଣ ଶକ୍ତି,বিবেচনামূলক ক্ষমতা
