abatement,অবসান
correspondence,"পত্রব্যবহার, পত্রাচার"
correspondence course,পত্রাচারপাঠক্রম
correspondence portion,পত্রাচারঅংশ
correspondent,সংবাদদাতা
corresponding,"প্রতিষঙ্গী, প্রাতিষঙ্গিক"
corrigendum,শুদ্ধিনির্দেশ
corroborate,সত্যবলেদৃঢ়ভাবেসমর্থনকরা
corroboration,সমর্থন
corrupt,কলুষিতবাদূষিতকরাবাহওয়া
corrupt practice,ভ্রষ্টআচরণ/অভ্যাস
corruption,"দুর্নীতি, ভ্রষ্টাচার"
cosmopolitan city,আন্তর্জাতিকশহর
cost,"ব্যয়, খরচা"
cost accountant,ব্যয়-হিসাবরক্ষক
cost analysis,ব্যয়-বিশ্লেষণ
cost ceiling,ব্যয়সীমা
cost effectiveness,ব্যয়কার্যকারিতা/ফলপ্রদতা
cost of living,"জীবনযাপনব্যয়, সংসার-খরচ"
cost overrun,ব্যয়বৃদ্ধি
cottage industry,কুটিরশিল্প
council,"পরিষদ, সংসদ"
council of ministers,মন্ত্রীপরিষদ
council of states,রাজ্যসভা
counsel,"কৌঁসুলি, পরামর্শদাতা"
counselling,"মন্ত্রণা, পরামর্শ"
counter,"বিপরীতদিকে, প্রতিকূলে, বিরুদ্ধে"
counter action,জবাবিপ্রতিক্রিয়া/প্রতিকূলক্রিয়া
counter affidavit,প্রতি-শপথপত্র
counter charge,"প্রত্যভিযোগ, পালটাঅভিযোগ"
counter claim,প্রতি-দাবি
counter offer,প্রতিপ্রস্তাব
counterfeit currency,অচল/জালমুদ্রা
counterfeiting,"নকলকরা, জালকরা"
counterfoil,"প্রতিপত্র, চেকমুড়ি"
countersign,প্রতিসাক্ষরকরা
coup (de etat),সামরিকঅভ্যুত্থান
coupon,কুপন
courier,"ধাবন্তবার্তাবহ, দূত"
courier service,ক্যুরিয়ারপরিষেবা
course,"পথ, গতি, ক্রম"
courses of study,পাঠক্রম
court case,আদালতেরমামলা
court of small causes,ছোটোআদালত
courtesy,"সৌজন্য, শিষ্টাচার"
covenant,"চুক্তি, চুক্তিপত্র, চুক্তিনামা"
cover,"আবৃত, আচ্ছাদিত, ঢাকা"
coverage,আবৃতবাঅন্তর্ভুক্তস্থানেরপরিধি
covering letter,"(ব্যাখ্যাসহ)পোষকপত্র, সহায়কপত্র"
covering memo,(ব্যাখ্যাসহ)সহজ্ঞাপন/সহমেমো
covering note,(ব্যাখ্যাসহ)মন্তব্য/লেখ্য
crash programme,দ্রুতকার্যক্রম
creamy layer,নবোন্নতবর্গ/উচ্চস্তর
creation,"সৃজন, সৃষ্টি, জগৎসৃষ্টি"
creative,"সৃজক, সৃজনী"
creativity,"সৃজনাত্মক, সৃজনশীলতা"
creche,শিশুসদন
credentials committe,পরিচয়পত্রসমিতি
credibility,বিশ্বাসযোগ্যতা
credit,"জমা, আকলন"
credit advice,জমাজ্ঞাপন
credit and thrift society,সঞ্চয়ওঋণসমিতি
credit card,ক্রেডিটকার্ড
credit entry,জমাপ্রবিষ্টি
credit facilities,ঋণসুবিধা
credit note,জমাপত্র
creditable,"কৃতিত্বপূর্ণ, সম্মানজনক"
creditor,"উত্তমর্ণ, পাওনাদার"
cremation,"শেষকৃত্য, শবদাহকরা"
cremation ground,শ্মশানভূমি
crew,"দল, কর্মীদল"
crime,"অপরাধ, অসৎবাঅন্যায়কর্ম"
criminal breach of trust,দণ্ডনীয়বিশ্বাসভঙ্গ
criminal court,ফৌজদারীআদালত
criminal negligence,"গভীরউপেক্ষা, অপরাধমূলকউপেক্ষা/অবহেলা"
criminal offence,দণ্ডনীয়অপরাধ
criminal procedure code,ফৌজদারীকার্যবিধি
crisis,"সন্ধিক্ষণ, সঙ্কটকাল"
crisis management,সংকটমকাবিলাব্যবস্থা
criterion,মাপকাঠি
criticism,সমালোচনা
cross,"কেটেদেওয়া, শঙ্কর"
cross breed,সংকর
cross checking,প্রতিপরীক্ষা
cross examination,জেরা
cross reference,"প্রতি-নির্দেশ, প্রতি-উল্লেখ"
cross voting,পক্ষান্তরভোটদান/মতদান
crossed cheque,রেখিতচেক
crucial date,নির্ণায়কতিথি/তারিখ
crude,"অপরিপক্ক, অশোধিত, অমার্জিত"
culpable homicide,দোষাবহনরহত্যা
culprit,দোষী
cultivation,চাষ-আবাদ
cultural exchange programme,সাংস্কৃতিকআদানপ্রদানঅনুষ্ঠান/কার্যক্রম
cumulative,"পুঞ্জীভবনশীল, ক্রমপুঞ্জিত"
currency,মুদ্রা
currency exchange,মুদ্রাবিনিময়
currency note,"পত্রমুদ্রা, কাগজেরনোট"
current,"চলতি, সাময়িক, বিদ্যুৎ"
current account,চলতিহিসাব
current duties,বর্তমানদ্বায়িত্বসমূহ/কর্তব্যসমূহ
current session,বর্তমানঅধিবেশন
curriculum vitae (cv),জীবনবৃত্ত
curtail,সংক্ষিপ্তকরা
custodian,জিম্মাদার
custody,"অভিরক্ষা, জিম্মা, হেফাজত"
custom,"শুল্ক, রীতি, প্রথা, স্বভাব"
custom duty,বহিঃশুল্ক
custom examination,ক্রেতানিরীক্ষণ
custom(s),"শুল্ক(বিভাগ), রীতি, প্রথা"
customary,"প্রথানুযায়ী, রীতিগত"
customary procedure,"প্রথানুগপ্রক্রিয়া, অভ্যাসগতপদ্ধতি"
customer,"খরিদ্দার, ক্রেতা"
customer friendly,ক্রেতাঅনুকূল
cut down,"হ্রাসকরা, স্বাস্থ্যহানিঘটানো"
cut motion,ছাঁটাইপ্রস্তাব
cut off date,তারিখসীমা
cycle,"আবর্তন, চক্র, সাইকেল"
daily,"দৈনিক, দৈনিকপত্র"
daily allowance,দৈনিকভাতা
daily diary,দৈনিকরোজনামচা/ডায়েরি
daily register,"দৈনিকখাতা, দৈনিকনিবন্ধ"
daily report,দৈনিকপ্রতিবেদন
daily routine,রোজনামচা
daily wages,দৈনিকমজুরি
dak stage,ডাকস্তর
dak tray,ডাকট্রে/টেবিল
damage,ক্ষতি
damages,ক্ষতিসকল
dangerous,"বিপজ্জনক, ঝুঁকিপূর্ণ"
daring,"দুঃসাহসী, নির্ভীক"
data,"উপাত্ত, তথ্য"
data bank,"তথ্যভাণ্ডার, তথ্যব্যাঙ্ক"
data base,তথ্যভূমি
data collection,তথ্যসংগ্রহ
data feeding,তথ্যপ্রবিষ্টিকরণ
data processing,তথ্যপ্রক্রিয়াকরণ
date,তারিখ
date of arrival,আগমণতিথি/তারিখ
date of birth,জন্ম-তারিখ
date of departure,প্রস্থানতিথি/তারিখ
date of discharge,"কার্যমুক্তিতিথি/তারিখ, অব্যাহতিতিথি"
date of maturity,মেয়াদপূর্তিরতারিখ
date of receipt,প্রাপ্তিতিথি/তারিখ
date stamp,তারিখ-ছাপ
day scholar,অনাবাসীছাত্র/ছাত্রী/গবেষক
day shift,দিবসকালীন
day to day work,প্রতিদিনেরকাজ
days of grace,করুণারদিন
de facto,কার্যত
de novo,"নতুনকরে, নতুনভাবে"
dead account,নিষ্ক্রিয়হিসাব
dead line,সময়সীমা
dead stock register,অবিক্রেয়মজুতখাতা
dead weight,"গুরুভার, পীড়াদায়কভারবাবোঝা"
deadlock,অচলঅবস্থা
deal,ব্যবসায়িকলেনদেন
dealing,ব্যবসায়িকসম্পর্ক
dealing assistant,নির্বাহসহায়ক
dearness allowance,"মহার্ঘ্যভাতা, দুর্মূল্যভাতা"
death anniversary,মৃত্যুবার্ষিকী
death benefit,মৃত্যুজনিতলাভ
death in service,কার্যক্ষেত্রেমৃত্যু
death-cum-retirement gratuity,মৃত্যুতথাঅবসরআনুতোষিক
deauthorizatioin,অনুমতিপ্রত্যাহারকরা
debar,"বঞ্চিতকরা, বাদদেওয়া"
debit,"খরচ, বিকলন"
debit advice,খরচজ্ঞাপন
debt,ঋণ
debt management,ঋণব্যবস্থা/ব্যবস্থাপনা
debtor,"ঋণী, অধমর্ণ, খাতক, দেনদার"
deceased,মৃতবাসম্প্রতিমৃত
decency,"শোভনতা, উপযুক্ততা, নম্রতা, পরিমিতভাব"
decentralization,বিকেন্দ্রীকরণ
deciding factor,নির্ণায়কবিষয়
decision,সিদ্ধান্ত
decision making,"সিদ্ধান্তগ্রহণ, সিদ্ধান্তকরণ"
decision making process,সিদ্ধান্তগ্রহণপ্রক্রিয়া
declaration,"ঘোষণা, হলপ, ঘোষণাপত্র"
declaration of income,আয়-এরঘোষণা
declare on oath,শপথসহঘোষণা
declared value,"ঘোষিতমূল্য, জ্ঞাপিতমূল্য"
decode,সঙ্কেতলিপিরপাঠোদ্ধারবাঅর্থোদ্ধারকরা
decontrol,"নিয়ন্ত্রণ-মুক্তকরা, বিনিয়ন্ত্রিতকরা"
decorum,"শোভনতা, শালীনতা, ভদ্রতা"
decrease,হ্রাসহওয়াবাকরা
decree,"ডিক্রি, আদেশ"
dedication,সমর্পণ
deductible,বিয়োগযোগ্য
deduction,"ব্যবকলন, বাদ"
deduction at source,উৎসথেকেবিয়োগ
deduction from salary,বেতনথেকেবিয়োগ
deed,দলিল
deed of mortgage,"বন্ধক-পত্র, বন্ধকিতমসুক"
deemed university,"পরিগণ্যবিশ্ববিদ্যালয়, প্রতিমবিশ্ববিদ্যালয়"
deface,"সৌন্দর্যহানিকরা, মর্যাদাহানিকরা"
defalcation,তহবিলতছরুপ
defamation,মানহানি
default,"খেলাপ, ব্যতিক্রম"
defaulter,"খেলাপকারী, ব্যতিক্রমী, খেলাপি"
defective,"ত্রুটিপূর্ণ, দোষযুক্ত"
defence,"প্রতিরক্ষা, আত্মপক্ষসমর্থন"
defence counsel,প্রতিরক্ষাপক্ষ/কাউন্সিল
defence production,প্রতিরক্ষাউৎপাদন
defendant,"প্রতিবাদী, বিবাদী, প্রত্যর্থী"
defer,স্থগিত/মুলতুবিরাখা
deferred expenditure,স্থগিতব্যয়/খরচ
defiance,অবজ্ঞাপূর্ণবিরোধিতা
deficit,"ন্যূনতা, ঘাটতি"
deficit budget,ঘাটতিআয়ব্যয়ক/বাজেট
define,যথাযথভাবেস্থিরকরাবানির্ধারণকরা
defy,প্রকাশ্যেবিরোধিতাকরা
degradation,"অবনয়ন, অবনতি"
degree,"মান, অংশ, উপাধি, পর্যায়, মাত্রা"
dejure,"আইনত, বিধানত"
delay,বিলম্ব
delegate,ক্ষমতাঅর্পণকরা
delegated authority,অর্পিতকর্তৃপক্ষ
delegation,"অর্পণ, প্রতিনিধিবর্গ, প্রতিনিধিত্ব"
delegation of powers,ক্ষমতাঅর্পণ
delete,"মুছেফেলা, কেটেদেওয়া, দূরকরা"
deletion,"অবলোপ, বাদ"
deliberately,সতর্কভাবে
deliberation,বিশেষভাবেবিবেচনাবাচিন্তন
delicencing,"অনুজ্ঞাপত্ররদকরা, লাইসেন্সবাতিলকরা"
delimitation,সীমানির্ধারণ
deliver,"প্রদানকরা, অর্পণকরা, বিলিকরা"
delivery,"বিলি, অর্পণ"
demand,"চাহিদা, দাবি"
demand note,দাবিপত্র
demarcation,সীমানির্দেশ
demi-official,আধাসরকারি
democracy,গনতন্ত্র
demonstration,প্রদর্শক
demoralization,"মনোবলহ্রাসহওয়া, নীতিভ্রষ্ট, আত্মবিশ্বাসহীন"
demurrage,"বিলম্বশুল্ক, বিলম্বেরখেসারত"
denial,"অননুমোদন, অস্বীকার, ত্যাগ, বর্জন"
denomination,"মুদ্রা, মুদ্রামূল্য, মূল্যমান, ধর্মসম্প্রদায়"
deny,"অস্বীকারকরা, অননুমোদনবাঅগ্রাহ্যকরা"
depart,"প্রস্থানকরা, রওনাহওয়াবাযাত্রাশুরুকরা"
department,বিভাগ
departmental,বিভাগীয়
departmental action,বিভাগীয়ব্যবস্থা
departmental enquiry,বিভাগীয়তদন্ত
departmental investigation,বিভাগীয়অনুসন্ধান/তদন্ত
departmental irregularity,বিভাগীয়অনিয়ম
departmental library,বিভাগীয়গ্রন্থাগার
departmental negligence,বিভাগীয়আনবধান/অবহেলা
departmental permission,বিভাগীয়সম্মতি
departmental qualifying examination,বিভাগীয়যোগ্যতানির্ণয়পরীক্ষা
departure,"প্রস্থান, মৃত্যু"
dependency certificate,নির্ভরশীলপ্রমাণপত্র
dependent,"নির্ভরশীল, পোষ্য"
dependent children,নির্ভরশীলসন্তান
deploy,"ভাঁজখোলা, মেলা, বিস্তারকরা, প্রসারিতকরা"
deponent,যেব্যক্তিআদালতেহলফকরেসাক্ষ্যদেয়
deportation,"নির্বাসন, বিতাড়ন"
depose,পদচ্যুতবাগদিচ্যুতকরা
deposit,"আমানত, জমাদেওয়া"
depot,"ভাণ্ডার, ডিপো"
depreciation,অবচয়
depressed class,"দলিতবর্গ, দলিতশ্রেণী"
deprive,"বিরহিতবাবঞ্চিতকরা, বিয়োগব্যথাপীড়িতকরা"
deputation,"প্রতিনিয়োগ, প্রতিনিধিত্ব"
deputation allowance,প্রতিনিয়োগভাতা
deputy,"উপ, প্রতিনিধি"
deregistered,"অপঞ্জিকৃত, অনিবিন্ধিত"
dereliction of duty,কর্তব্যেরঅবহেলা
dereservation,অনারক্ষিত
derogation,"হ্রাসকর, খর্বকরা"
derogatory,"অসম্মানজনক, অবমাননাকর"
derogatory remark,অসম্মানজনকমন্তব্য
descendant,"বংশধর, উত্তরসূরী"
description,বিবরণ
deserving,"যোগ্যতাসম্পন্ন, উপযুক্ত"
design,নকশা
designate,"নামবাআখ্যাদেওয়া, কার্যাদিতেনিযুক্তকরা"
designation,পদনাম
despatch,"প্রেরণকরা, সংবাদ"
despatch note,প্রেরণপত্র
despatch register,প্রেরণখাতা
destination,"গন্তব্যস্থান, লক্ষ্য"
destitute,নিঃস্ব
detail,"বিশদবিবরণ, খুঁটিনাটি, অনুপুঙ্খ"
detailed,"পুঙ্খানুপুঙ্খ, বিশদ"
detect,"খুঁজেবেরকরা, আবিস্কারকরা"
detention,"নিরোধ, আটক"
detenu,রাজবন্দী
determination,"নির্ণয়, নির্ধারণ"
deterrence,"প্রতিরোধ, পরিশোধন"
detriment,ক্ষতি
detrimental,ক্ষতিকর
devaluation,"মূল্যহ্রাস, অবমূল্যায়ন"
devastation,"ধ্বংসসাধন, বিনাশকরা"
development,"উন্নয়ন, বিকাশ"
deviate,পথভ্রষ্টহওয়াবাকরা
device,"পরিকল্পনা, ফন্দি, কৌশল"
devotion,"উৎসর্জন, ভগবদ্ভক্তি, ধার্মিকতা, আরাধনা"
diagnose,লক্ষণদেখেরোগনির্ণয়করা
diagram,"নকশা, চিত্র, রেখা-চিত্র, পরিলেখ"
diary,"দিনলিপি, দিনপঞ্জি, রোজনামচা, ডায়েরি"
dictation,শ্রুতলিখন
dies non,"অকার্যদিবস, অদিন"
diet,পথ্য
digest,হজমবাপরিপাককরাবাহওয়া
dignified,"সম্মানিত, মর্যাদাপূর্ণ"
dignity,"উৎকর্ষ, মর্যাদা"
digression,বিষয়ান্তরণ
dilatory,দীর্ঘসূত্রী
dilemma,উভয়সঙ্কট
diligent,"অধ্যবসায়ী, পরিশ্রমী"
dimension,"মাত্রা, দিকমাত্রা"
diploma,"উপাধিপত্র, ডিপ্লোমা"
diplomacy,কূটনীতি
diplomatic immunity,রাষ্ট্রনৈতিকঅব্যাহতি/উন্মুক্তি
direct,প্রত্যক্ষ
direct competition,প্রত্যক্ষপ্রতিযোগিতা
direct interview,প্রত্যক্ষসাক্ষাৎকার
direct recruit,সরাসরিনিয়োগ/নিযুক্তি
direction,নির্দেশ
directory,"নির্দেশপূর্ণ, নির্দেশক"
disability,"অসামর্থ্য, অযোগ্যতা"
disabled person,অসমর্থ্যব্যক্তি
disablement benefit,"অঙ্গহানিজনিতলাভ, অঙ্গবৈকল্যজনিতলাভ"
disadvantage,অসুবিধা
disagree,অসম্মতি
disallow,"অননুমোদন, নাকচকরা, নামঞ্জুরকরা"
disallowed,"অননুমোদিত, নাকচকরা, নামঞ্জুরকরা"
disapproval,অননুমোদন
disaster,"বিপর্যয়, বিপদ"
disaster management,বিপর্যয়ব্যবস্থাপন
disband,"ভেঙেফেলা, ভঙ্গকরা"
disbursement,"ব্যয়ন, অর্থপ্রদান, বন্টন"
discard,"আলাদাকরা, হটিয়েদেওয়া, বাতিলকরা"
discharge,"অব্যাহতি, দায়শোধ, পালন, নির্বাহকরা"
discharge slip,অব্যাহতিপত্র
disciplinary action,"অনুশাসনাত্মকব্যবস্থা, শাস্তিমূলকব্যবস্থা"
disciplinary procedure,"অনুশাসনাত্মককার্যক্রম, শাস্তিমূলককার্যক্রম"
discipline,"নিয়ম, বিনয়, শৃঙ্খলা"
disclaim,"দাবীত্যাগকরা, অস্বীকারকরা"
disclosure,"প্রকাশ, প্রকটকরা"
discontent,অসন্তোষ
discontinuance,"বন্ধহওয়া/করা, থামানো, অবসানহওয়া/করা"
discontinue,"বন্ধকরা, থামানো"
discord,"মতভেদ, অমিল"
discount,"বাটা, অবহার, ছাড়"
discover,"আবিস্কার, খোঁজ, অন্বেষণ"
discredit,"অস্বীকারকরা, সুনামহানিকরা, অবিশ্বাসযোগ্যমনেকরা"
discrepancy,"অসংগতি, গরমিল"
discretion,"স্ববিবেচনা, ইচ্ছা"
discretionary grant,স্ববিবেচনামূলকতহবিল
discretionary power,স্ববিবেচনামূলকক্ষমতা
discrimination,"বৈষম্য, পক্ষপাতিত্ব, বিভেদ"
discussion,"আলোচনা, পর্যালোচনা"
dishonest,অসৎ
dishonour (a cheque),"অগ্রাহ্যকরা, প্রত্যাখ্যানকরা(অগ্রাহ্য/প্রত্যাখ্যাতচেক)"
disintegration,বিসংগতি
disk,ডিস্ক
dislocation,"বিকল, বিঘ্ন, ব্যাঘাত"
disloyal,নিষ্ঠাহীন
dismiss,"পদচ্যুতকরা, বরখাস্তকরা, খারিজকরা"
dismissal,"পদচ্যুতি, বরখাস্ত, খারিজ"
dismissal procedure,পদচ্যুতিপ্রক্রিয়া
disobey,"অবজ্ঞাকরা, অনাদরকরা"
disorder,"বিকলতা, বিশৃঙ্খলা"
disorganise,অব্যবস্থা
disparity,অসাম্য
dispatch section,প্রেরণবিভাগ
dispensable,পরিহার্য
disperse,"বিকীর্ণকরা, বিসর্জনকরা"
displaced,"স্থানচ্যুতকরা, বাস্তুহারা"
display,"প্রদর্শনকরা, জাহিরকরা"
displeasure,অসন্তোষ
disposal,নিষ্পত্তি
dispose of,নিষ্পত্তিকৃত
disposition,"বিন্যাস, ব্যবস্থা"
dispossess,অধিকারচ্যুতকরা
dispute,"বিবাদ, কলহ, বিরোধ, বিতর্ক"
disqualification,"অযোগ্যতা, অক্ষমতা, অবগুণ"
disregard,অবহেলা
disruption,"বাধা, ভঙ্গ"
dissatisfaction,"অসন্তোষ, অতৃপ্তি"
dissent,অসম্মতি
disservice,"অপকার, কুসেবা"
dissociate,"বিযুক্তকরা, পৃথকীকরণ"
dissolution,"ভঙ্গকরা, অবসানকরা"
dissolve,ভঙ্গকরাবাভেঙ্গেফেলা
distance learning,দূরশিক্ষণ
distillery,"ভাটিখানা, চোলাইখানা"
distinct,"স্বতন্ত্র, বিশিষ্ট"
distinguish,"পৃথককরা, বিশিষ্টতাঅর্জনকরা"
distortion,বিকৃতি
distress,"কষ্ট, বিপত্তি, অভাব"
distribute,"বিতরণকরা, বণ্টনকরা, বিলিকরা"
distribution,"বিতরণ, বণ্টন"
district,জেলা
district centre,"জেলাকেন্দ্র, জেলাসদর"
disturbance,"উপদ্রব, অশান্তি"
ditto,"যথোপরি, উপরিল্লিখিতঅনুসারে"
diversion,"বদলপথ, মোড়বাবাঁক"
dividend,লাভাংশ
division,বিভাগ
divorce,"বিবাহবিচ্ছেদ, তালাক"
docket,"সারলিপি, ডকেট"
doctor,চিকিৎসক
document,"দস্তাবেজ, লেখ্য"
documentary evidence,লেখ্যপ্রমাণ
documentation,তথ্যসংরক্ষণ
domicile,"নিবেশ, নিবেশাধিকার"
domicile certificate,নিবেশীপ্রমাণপত্র
dominant,প্রভাবী/প্রবল/প্রধান/আধিপত্য
donation,"দান, অনুদান"
dossier,দলিলগুচ্ছ
doubtful,"সন্ধিগ্ধ, সংশয়াত্মক"
dove tailing,(পরিকল্পনাদি)সংযুক্তিকরণ
down grade,অবনয়ন
draft,"খসড়া, পূর্বলেখ"
draft reply,খসড়াউত্তর
drastic measure,কঠোরউপায়/পদক্ষেপ
draw,"আহরণকরা, তোলা, আঁকা"
drawer,"আহরণকর্তা, প্রেরক(ব্যাঙ্কসম্পর্কিত)"
drawing,"আহরণকরা, তোলা, আঁকা"
drought,"খরা, অনাবৃষ্টি"
dry promotion,নির্লাভপদোন্নতি
dual charge,দ্বৈতকার্যভার
dual citizenship,দ্বি-নাগরিকত্ব
due,"বাকী, বকেয়া, পরিশোধ্য, নির্দিষ্ট, যথাবিহিত"
due diligence,"যথোপরি, তৎপরতা"
dues,বকেয়ারাশি
duly,"বিধিবৎ, যথাবিহিত"
duplicate,প্রতিরূপ
duration,স্থিতিকাল
duress,"সংযমন, বিধিনিষেধআরোপ"
duty,"শুল্ক, মাশুল, কর্ম, কর্তব্য"
duty allowance,কর্মভাতা
duty chart,কর্মসারণী
duty leave,কর্তব্যান্তর
duty room,কর্তব্যকক্ষ/কর্মকক্ষ
dying declaration,মৃত্যুকালীনজবানবন্দী
dynamics,"গতিবিজ্ঞান, গতিশীলতা"
earmark,নির্দিষ্ট
earned leave,অর্জিতছুটি
earnings,উপার্জন
eco-friendly,পরিবেশানুকূল
ecology,"বসতিবিদ্যা, পরিবেশতত্ত্ব"
economic,"আর্থিক, অর্থনৈতিক"
economical exploitation,অর্থনৈতিকশোষণ
economy,অর্থনৈতিকব্যবস্থা
economy class,সাশ্রয়কারীশ্রেণী
editing,সম্পাদনা
edition,সংস্করণ
editorial,সম্পাদকীয়
education,শিক্ষা
educational career,শিক্ষাগতঅগ্রগতি/পরিচয়
educational institute,শিক্ষাপ্রতিষ্ঠান
educational qualification,শিক্ষাগতযোগ্যতা
effect,"সম্পন্নকরা, কার্যকরকরা"
effective,কার্যকর
effective date,কার্যকরহওয়ারতারিখ
effects,"প্রভাব, প্রতিক্রিয়া"
efficacy,ফলপ্রদ
efficiency,"যোগ্যতা, কর্মকুশলতা"
efficient,"দক্ষ, সমর্থ"
ejectment,"উচ্ছেদ, উৎসাদন, বেদখল"
elaborate,বিশদকরা
elapse,অতিবাহিতহওয়া
elected representative,নির্বাচিতপ্রতিনিধি
election,নির্বাচন
electoral college,নির্বাচকমণ্ডল
electorate,"নির্বাচনক্ষেত্র, নির্বাচকমণ্ডলী"
electrification,বৈদ্যুতিকরণ
electronic media,ইলেকট্রনিকপ্রচারমাধ্যম
elementary,প্রারম্ভিক
eligibility,প্রাপ্যতা
eligibility test,প্রাপ্যতাপরীক্ষণ
elimination,নিষ্কাশনকরা
eloquence,বাগ্মীতা
embarrass,"অপদস্থকরা, হতবুদ্ধিকরা"
embezzlement,"তছরূপকরা, আত্মসাৎকরা"
emblem,প্রতীক
embossing seal,উৎখোদিতসীল
emergency,জরুরিঅবস্থা
emergency relief,আপৎকালীনঅব্যাহতি
emergent,"উত্থানশীল, নির্গমনশীল"
emigration,দেশান্তর
emoluments,মোটপাওনা
empanelment,তালিকাভুক্তি
empathy,পরানুভূতি
employ,"নিয়োগকরা, সেবায়নিযুক্তকরা"
employee,কর্মচারী
employee participation,কর্মচারীঅংশগ্রহণ/উপস্থিতি
employee’s contribution,কর্মচারীঅংশপ্রদান
employees provident fund,কর্মচারীভবিষ্য-নিধি
employer,নিয়োগকর্তা
employment,কর্মসংস্থান
employment exchange,কর্মসংস্থানকেন্দ্র
employment notice,কর্মসংস্থানবিজ্ঞপ্তি/সূচনা
employment office,কর্মসংস্থানকার্যালয়
empower,ক্ষমতাপ্রদান
empowerment,ক্ষমতায়ন
en bloc,"একযোগে, সদলবলে"
en masse,"সামূহিকরূপে, দলবদ্ধভাবে"
en route,পথে
enact,বিধিবদ্ধকরা
enactment,বিধিবদ্ধকরণ
encash,"নগদেরূপান্তরকরা, ভাঙানো"
enclose,সংলগ্নকরা
encouragement,উৎসাহদান
encroachment,"অন্যায়দখল, জবরদখল"
encumbrance,দায়ভার
end product,অন্তিমউৎপাদন
endorse,"পৃষ্ঠাঙ্কিতকরা, অনুমোদন করা"
endowment,"উৎসর্গ, উৎসর্জন, দান"
energy,শক্তি
enforce,"প্রবর্তনকরা, বলবৎকরা"
engage,নিযুক্তকরা
enhancement,"বৃদ্ধিঘটানো, বাড়ানো"
enjoin,আদেশদেওয়া
enquiry,"অনুসন্ধান, তদন্ত, জিজ্ঞাসা(বাদ)"
enrol,"তালিকাভুক্ত, পঞ্জীভুক্ত"
enrolment (=enrollment),তালিকাভুক্তকরণ
enrolment number,তালিকাভুক্তকরণনম্বর/সংখ্যা
ensuing,"আসন্ন, আগামী"
ensure,নিশ্চিতকরা
enter,"প্রবিষ্টকরা, প্রবেশকরানো"
enterprise,উদ্যোগ
entertain,"গ্রহণকরা, গ্রাহ্যকরা, মনোরঞ্জনকরা"
entertainment,প্রমোদ
entitle,"অধিকারীহওয়া, অধিকারীকরা"
entitled,অধিকারী
entitlement,অধিকারী
entrance,প্রবেশ
entrant,প্রবেশী
entry,প্রবিষ্টি
entry level job,প্রবিষ্টিস্তরেরকাজ
enumeration,"গণনা, গোনা"
environment,"পরিবেশ, পরিপার্শ্ব"
envoy,দূত
epidemic (disease),মহামারী
epitome,"সার, সংক্ষিপ্তসার"
equality,সমতা
equilibrium,"ভারসাম্য, সাম্য, স্থিতি"
equipment,"উপকরণ, সরঞ্জাম"
equity,"সমদর্শী, ন্যায়"
equivalent,"তূল্য, সমতুল"
equivocal,"দ্ব্যর্থবাচক, দ্ব্যর্থবোধক, দ্ব্যর্থক"
eradicate,সমূলেউৎপাটনকরা
errata,ভ্রমসংশোধনী
error,"ভ্রম, ভুল"
escalation,"স্বতঃবৃদ্ধি, তীব্রতাবৃদ্ধি"
escort,অনুরক্ষক
essential,"অনিবার্য, প্রয়োজনীয়"
establishment,"স্থাপনা, সংস্থা"
estimate,"প্রাক্‌কলন, মূল্যানুমান"
estimated cost,"প্রাক্‌কলিতব্যয়, অনুমিতব্যয়"
ethics,নীতিশাস্ত্র
etiquette,"শিষ্টাচার, সহবত"
evacuation,উদ্‌বাসন
evade,কৌশলেএড়ানো
evaluation,মূল্যায়ণ
even number,সমসংখ্যা
eventual,সম্ভাবিত
eviction,"উৎখাতকরণ, উৎসাদন, উচ্ছেদ"
evidence,"সাক্ষ্য, প্রমাণ, সাবুদ"
evolve,বিকশিতকরা
ex gratia,সৌজন্য/অনুগ্রহ/কৃপাপূর্বক
ex gratia payment,সৌজন্য/অনুগ্রহমূলক/কৃপাপূর্বকঅর্থপ্রদান
ex-officio,"পদহেতু, পদসূত্রে"
ex-parte,"একতরফা, একপাক্ষিক"
ex-post facto,কার্যোত্তর
exact,যথাযথ
examination,পরীক্ষা
examinee,পরীক্ষার্থী
examiner,পরীক্ষক
example,"দৃষ্টান্ত, নমুনা, উদাহরণ"
excavation,খনন
excellent,"উৎকৃষ্ট, পরমোৎকৃষ্ট"
exception,ব্যতিক্রম
exceptional,"অসাধারণ, ব্যতিক্রমী"
excess,"অতিরিক্ত, আধিক্য"
exchange,বিনিময়
exchequer,"রাজকোষ, সরকারীঅর্থভাণ্ডার"
excise (=excise duty),"অন্তঃশুল্ক, আবগারিশুল্ক"
exclude,বহির্ভূত
exclusive,"বিশেষ, অনন্যসাধারণ"
excuse,"ক্ষমাকরা, মাফকরা"
execute,নির্বাহকরা
executive,"নির্বাহী, নির্বাহিক"
executive committee,নির্বাহীসমিতি
executive power,নির্বাহিকক্ষমতা
executive staff,নির্বাহীকর্মচারী
executives,অধিকারীবৃন্দ/বর্গ
exempt,"রেহাইদেওয়া, অব্যাহতিপ্রাপ্ত"
exemption,ছাড়/রেহাইপাওয়া
exercise,"প্রয়োগ, প্রয়োগকরা, অনুশীলনকরা"
