Tamil,English
வைக்கோல்,Hay
ஹேலேஜ்,Haylage
வைக்கோல்,Haystock
மூடுபனி,Haze
மங்கலான,Hazy
தலை (வேளாண்),Head (Agro)
தலை (சேனலின்),Head (of channel)
பின்னோக்கி செல்வது,Heading back
ஹெட்ஜ்,Hedge
ஹெட்ஜிங்,Hedging
ஹெலிக்ஸ்,Helix
ஹெமாடைட்,Hematite
மூலிகை,Herb
ஹெர்பேரியம்,Herbarium
களைக்கொல்லி,Herbicide
பரம்பரை,Heredity
ஹெர்டிலேஷன்,Heretability
ஹெர்மாஃப்ரோடைட்,Hermaphrodite
ஹீட்டோரோக்ரோமாடிக்,Heterochromatic
ஹீட்டோரோஃபெர்டைமயமாக்கல்,Heterofertilization
ஹீட்டோரோசிஸ்,Heterosis
ஹீட்டோரோசோம்,Heterosome
ஹீட்டோரோட்ஃப்,Heterotroph
ஹெக்ஸாபிளாய்டு,Hexaploid
ஹைபர்னேட்,Hibernate
அதிக அடர்த்தி நடவு,High density planting
மலை (அரிசி),Hill (rice)
ஹிஸ்டோகிராம்,Histogram
ஹிட்டெக் தோட்டக்கலை,Hitech horticulture
ஹைவ்,Hive
HOEING,Hoeing
வைத்திருத்தல்,Holding
வீட்டு பண்ணை,Home farm
ஹோமியோஸ்டாஸிஸ்,Homeostasis
ஹோம்ஸ்டெட்,Homestead
ஒருமைப்பாடு,Homogeneity
ஒரே மாதிரியான,Homogenous
ஹோமோலாஜஸ்,Homologus
ஹோமோசைகோட்,Homozygote
ஹாப்பர்,Hopper
அடிவானம்,Horizon
தோட்டக்கலை பயிர்கள்,Horticultural crops
தோட்டக்கலை,Horticulture
ஹார்டி-சில்வி ஆயர் விவசாயம்,Horti-silvi pastoral farming
தொகுப்பாளர்,Host
சூடான நீர் சுத்திகரிப்பு,Hot water treatment
ஹல்,Hull
ஈரப்பதம்,Humidity
இயற்கையானது,Humus
உமி,Husk
ஹஸ்கர்,Husker
உமி,Husking
கலப்பின,Hybrid
கலப்பினமாக்கல்,Hybridization
நீரேற்றம்,Hydration
நீர்நிலை,Hydrology
நீராற்பகுப்பு,Hydrolysis
ஹைட்ரோமீட்டர்,Hydrometer
ஹைட்ரோபிலஸ்,Hydrophilous
ஹைட்ரோபோனிக்ஸ்,Hydroponics
ஹைட்ரோஸ்பியர்,Hydrosphere
ஹைட்ரோஸ்கோபாரிட்டி,Hydroscopicity
ஹைபராசைட்,Hyperparasite
ஹைப்பர் பிளேசியா,Hyperplasia
ஹைபா,Hypha
ஹைபோகோடைல்,Hypocotyl
கருதுகோள்,Hypothesis
கருப்பை ஒடுக்கி,Hysteresis (water)
ஹேசல் நட்டு,Hazel nut
சணல்,Hemp
ஹென்பேன்,Henbane
மருதாணி,Henna
ஒளி வண்ண மலர்கள் கொண்ட ஒரு செடி,Hibiscus
ஹாப்,Hop
குதிரை கிராம்,Horse gram
குதிரை-கண்-பீன்,Horse-eye-bean
தேனீ,Honeybee
ஹாப்பர்,Hopper
தோட்டக்கலை நிபுணர்,Horticulturist
நீர்நிலை நிபுணர்,Hydrologist
சிட்டு ஒட்டுதலில்,In situ grafting
ஆய்வுக்கூட சோதனை முறையில்,In vitro
உயிருள்ள,In vivo
கண்மூடித்தனமான,Indiscriminate
பூச்சி,Insect
பூச்சி பூச்சி,Insect pest
பூச்சி,Insectary
பூச்சிக்கொல்லி,Insecticide
பூச்சிக்கொல்லி,Insectivorous
இன்சோலேஷன்,Insolation
கரையாத,Insoluble
இன்ஸ்டார் (பூச்சி),Instar (insect)
இன்சுலேட்டர்,Insulator
ஒருங்கிணைந்த நோய் மேலாண்மை,Integrated disease management
ஒருங்கிணைந்த ஊட்டச்சத்து மேலாண்மை,Integrated nutrient management
ஒருங்கிணைந்த பூச்சி மேலாண்மை,Integrated pest management
தீவிரம்,Intensification
தீவிர,Intensive
இடைக்கால,Intercrop
இடைக்கணிப்பு (இடைக்கால),Intercultivation (interculture)
ஆர்வம்,Interest
இன்டர்னோட்,Internode
இடைமுகம் (செல் பிரிவு),Interphase (cell division)
இடைக்கணிப்பு,Interpolation
இடை-மாடி,Inter-sterile
சரக்கு,Inventory
தலைகீழ்,Inversion
ஈடுபாடு,Involucre
அயன்,Ion
கதிர்வீச்சு,Irradiation
நீர்ப்பாசனம்,Irrigation
ஐசோ அல்லீல்கள்,Iso alleles
ஐஎஸ்ஓ தயாரிப்பு வளைவு,Iso product curve
ஐசோபார்,Isobar
ஐசோகாமி,Isogamy
தனிமைப்படுத்தும் தூரம்,Isolation distance
ஐசோப்ளாய்டு,Isoploid
ஐசோகண்ட்,Isoquant
ஐசோடோப்,Isotope
இந்திய பிர்ச்,Indian birch
இந்திய நீல பைன்,Indian blue pine
இந்திய செர்ரி,Indian cherry
இந்திய ஜூனிபர்,Indian juniper
இந்திய கினோ மரம்,Indian kino tree
இந்திய லாரல் மரம்,Indian laural tree
இந்திய மேட்,Indian madder
இந்திய மேட்லர்,Indian maddler
இந்திய போடோ பைலம்,Indian podo phylum
இண்டிகோ,Indigo
இத்தாலிய தினை,Italian millet
தந்தம் மரம்,Ivory tree
ஐவி சுரைக்காய்/சிறிய சுண்டைக்காய்,Ivy gourd/little gourd
வெல்லம்,Jaggery
ஜபோனிகா அரிசி,Japonica rice
ஜாசிட்,Jassid
ஜவானிகா ரைஸ்,Javanica rice
கூச்சலிடுதல்,Jelling
ஜம் சாகுபடி,Jhum cultivation
ஜம்பிங் மரபணு,Jumping gene
குப்பை டி.என்.ஏ,Junk DNA
சிறார் கட்டம்,Juvenile phase
ஜகரந்தா,Jacaranda
ஜாக்ஃப்ரூட்,Jackfruit
ஜமுன்,Jamun
மல்லிகை,Jasmine
ஜட்டி கட்டி,Jatti khatti
ஜட்ரோஃபா,Jattrofa
சணல்,Jute
ஜாசிட்ஸ்,Jassids
கயோலின்,Kaolin
கயோலினைட்,Kaolinite
கயோலினைட்,Kaolinite
கரியென்சிமா,Karyenchyma
Karyodesma,Karyodesma
கரியோகாமி,Karyogamy
கரியோகிராம் (இடைஜியோகிராம்),Karyogram (idiogram)
காரியோகினேசிஸ்,Karyokinesis
கரியாலஜி,Karyology
காரியோலிசிஸ்,Karyolysis
காரியோன்,Karyon
காரியோடைப்,Karyotype
கெல்ப் (ஆல்கா),Kelp (algae)
கெல்வின் சுழற்சி,Kelvin cycle
கெராடின்,Keratin
கர்னல்,Kernel
கைரா நோய்,Khaira disease
கரிப்,Kharif
விளையாடினேன்,Kidding
கினெடோகோர்,Kinetochore
சமையலறை தோட்டம்,Kitchen garden
க்ளீன்ஃபில்டர் நோய்க்குறி,Kleinfilter syndrome
க்ளெனோ துண்டு,Klenow fragment
முடிச்சு,Knotching
கோச்சின் போஸ்டுலேட்,Koch's postulate
கோபனின் வகைப்பாடு (காலநிலை),Koppen's classification (Climate)
கிரெப்ஸ் சுழற்சி,Krebs cycle
கர்டோசிஸ்,Kurtosis
கே.வி.கே (கிருஷி விஜியன் கேந்திரா),KVK (krishi vigyan kendra)
கதம்,Kadam
காலே,Kale
கன்ஸ் புல்,Kans grass
கரோண்டா,Karonda
"சிறுநீரக பீன், ராஜ்மா","Kidney bean, rajmah"
கிவிஃப்ரியட்,Kiwifriut
KNOL கோல்,Knol khol
கோடம்புலி,Kodampuli
கோடோ தினை,Kodo millet
கோகம் வெண்ணெய் மரம் (மங்கோஸ்டீன்),Kokam butter tree (mangosteen)
கப்ரா வண்டு,Khapra beetle
L.D.50 (மரணம் டோஸ் 50),L.D.50 (lethal dose 50)
தரையிறக்க ஆய்வகம்,Lab to land
லேபிள்,Labile
தொழிலாளர்,Labour
லாக் ஓபரான் மாதிரி,Lac operon model
பாலூட்டுதல்,Lactation
லாக்டோஜெனிக் ஹார்மோன் (புரோலாக்டின்),Lactogenic hormone (prolactin)
லாக்டோஸ்,Lactose
பின்தங்கிய இழை,Lagging strand
லாம்ப்டா குளோனிங் திசையன்,Lambda cloning vector
லேமினார் காற்று ஓட்டம்,Laminar air flow
விளக்கு தூரிகை குரோமோசோம்,Lamp brush chromosome
நில,Land
நில திறன் வகைப்பாடு,Land capability classification
நில திறன் வரைபடம்,Land capability map
நில சீரழிவு,Land degradation
நில சமமான விகிதம்,Land equivalent ratio
நில சமநிலை,Land levelling
நில மீட்பு,Land reclamation
இயற்கையை ரசித்தல்,Landscaping
நில பொருந்தக்கூடிய தன்மை,Land suitability
நில பயன்பாட்டு முறை,Land use pattern
லாங்கர்ஹான்ஸ் செல்கள்,Langerhans cells
குறைவு வீதம்,Lapse rate
லார்வா,Larva
தாமதம்,Latency
உள்ளுறை,Latent
மறைந்திருக்கும் தொற்று,Latent infection
பக்கவாட்டு,Lateral
லேட்டரைட் மண்,Laterite soils
லேடெக்ஸ்,Latex
லாடிரிசம்,Lathyrism
லத்தீன் சதுர வடிவமைப்பு (எல்.எஸ்.டி),Latin square design (LSD)
நட்டு,Lattice
முக்கிய நன்மை சட்டம்,Law of comprative advantage
நிலையான வருமானத்தின் சட்டம்,Law of constant returns
வருவாயைக் குறைக்கும் சட்டம்,Law of diminishing returns
மீண்டும் அதிகரிக்கும் சட்டம்,Law of increasing retuns
கட்டுப்படுத்தும் காரணிகளின் சட்டம்,Law of limiting factors
குறைந்தபட்ச சட்டம்,Law of minimum
மாற்று சட்டம்,Law of substitution
மாறி விகிதாச்சாரத்தின் சட்டம்,Law of variable proportions
அடுக்கு,Layer
தளவமைப்பு,Layout
லீகேட்,Leachate
கசிவு திறன்,Leaching efficiency
வெளியேறும் தேவை,Leaching requirement
முன்னணி ஸ்ட்ராண்ட்,Leading strand
இலை பரப்பளவு காலம்,Leaf area duration
இலை பகுதி அட்டவணை,Leaf area index
இலை பரப்பளவு விகிதம்,Leaf area ratio
இலை சுரங்கத் தொழிலாளர்,Leaf miner
இலை சோதனை,Leaf testing
இலை,Leaf
துண்டுப்பிரசுரம்,Leaflet
குத்தகை,Lease
பருப்பு,Legume
LEISA - (குறைந்த ஆற்றல் உள்ளீடு நிலையான விவசாயம்),LEISA - (Low Energy Input Sustainable Agriculture)
Lenticel,Lenticel
லென்டோ கேபிலரி புள்ளி,Lento capillary point
லெப்டோனெமா,Leptonema
லெப்டோஸ்பிரோசிஸ்,Leptospirosis
லீரோ-மோர்பிக்,Lero-morphic
புண்,Lesion
மரணம் பிறழ்வு,Lethal mutation
லுகோபிளாஸ்ட்,Leucoplast
நிலை மொட்டை மாடி,Level terrace
சமநிலையாளர் (லெவியர்),Leveler (leveller)
சமன் செய்தல் (நிலத்தின்),Levelling (of land)
லே விவசாயம்,Ley farming
லிபிக்கின் குறைந்தபட்ச சட்டம்,Liebig's law of minimum
லிகேஷன்,Ligation
ஒளி இழப்பீட்டு புள்ளி,Light compensation point
ஒளி செறிவு தீவிரம்,Light saturation intensity
ஒளி பரிமாற்ற விகிதம்,Light transmission ratio
ஒளி பொறி,Light trap
லிமிங்,Liming
வரம்பு,Limitation
கட்டுப்படுத்தும் காரணி,Limiting factor
லிமோனைட்,Limonite
வரி,Line
நேரியல் பதில்,Linear response
இணைப்பு,Linkage
இணைப்புக் குழு,Linkage group
இணைப்பான்,Linker
லின்ட் இன்டெக்ஸ்,Lint index
லின்டர்ஸ்,Linters
கொழுமியம்,Lipid
லிபோலிசிஸ்,Lipolysis
கலைப்பு,Liquidation
லிஸ்டர்,Lister
லிஸ்டர்,Lister
பட்டியல்,Listing
லித்தோஸ்பியர்,Lithosphere
குப்பை,Litter
நேரடி தழைக்கூளம்,Live mulches
லிவர்வார்ட்,Liverwort
கால்நடைகள்,Livestock
உள்ளூர் கட்டுப்பாடு,Local control
இடம்,Locus
வெட்டுக்கிளி,Locust
தங்குமிடம் (பயிர் உறைவிடம்),Lodging (crop lodging)
லோடிகுல்,Lodicule
Lodess,Loess
மடக்கை மாற்றம்,Logarthimic transformation
நீண்ட - நாள் ஆலை,Long - day plant
நீண்ட அலை கதிர்வீச்சு,Long wave radiation
லூப்,Loop
லோப்பிங்,Lopping
மரம் வெட்டுதல்,Lumber
லக்ஸ்,Lux
ஆடம்பர நுகர்வு (ஊட்டச்சத்து),Luxury consumption (nutrient)
சொகுசு மரபணுக்கள்,Luxury genes
லைகோபீன்,Lycopene
நிணநீர்,Lymph
லைசிமீட்டர்,Lysimeter
கலத்தின் லிசிஸ்,Lysis of cell
லைசோஜெனி,Lysogeny
லைசோசோம்,Lysosome
லைசோசைம்,Lysozyme
லாக் மரம்,Lac tree
லாக்,Lac
"லேடிஸ் விரல், ஓக்ரா","Lady's finger, okra"
லேண்ட் கால்ட்ரோப்ஸ்,Land caltrops
லந்தானா,Lantana
லாதிரஸ்,Lathyrus
லீக்,Leek
எலுமிச்சை புல்,Lemon grass
எலுமிச்சை,Lemon
பயறு,Lentil
லெக்வோர்ஸ்,Lequorice
கீரை,Lettuce
லில்லி,Lily
சுண்ணாம்பு,Lime
ஆளி விதை,Linseed
லிச்சி,Litchi
சிறிய தினை,Little millet
நீண்ட முலாம்பழம்,Long melon
நீண்ட மிளகு,Long pepper
லோகாட்,Loquat
தாமரை,Lotus
லுர்சர்ன்,Lurcerne
லாக் பூச்சி,Lac insect
லேடி பேர்ட் வண்டு,Lady bird beetle
இலை சுரங்கத் தொழிலாளர்,Leaf miner
இலை ரோலர்,Leaf roller
இலை வெபர்,Leaf webber
வெட்டுக்கிளி,Locust
மைக்ரோ பரிணாமம்,Macro evolution
மேக்ரோக்ளைமேட்,Macroclimate
மேக்ரோமிகுலூல்,Macromolecule
மேக்ரோனேஷன்,Macromutation
மேக்ரோனூட்ரியண்ட்,Macronutrient
மேக்ரோபோர்கள்,Macropores
மாகோட்,Maggot
மாக்மா,Magma
மெக்னீசியா,Magnesia
வெளிமம்,Magnesium
காந்த அசை,Magnetic stirrer
அளவு,Magnitude
மஹுவா கேக்,Mahua cake
பராமரிப்பாளர் வரி,Maintainer line
பராமரிப்பு,Maintenance
மக்காச்சோளம் ஷெல்லர்,Maize sheller
ஆண் மலட்டு,Male sterile
செயலிழப்பு,Malformation
வீரியம்,Malignancy
ஊட்டச்சத்து குறைபாடு,Malnutrition
முறைகேடு,Malpractice
மால்டிங்,Malting
மேலாளர்,Manger
சதுப்புநிலங்கள்,Mangroves
மனோமீட்டர்,Manometer
மனோமீட்டர்,Manometer
மன்டிசா (மடக்கை),Mantissa (of logarithm)
உரம்,Manure
உரமாக்குதல்,Manuring
ஓரளவு,Marginal
விளிம்பு செலவு,Marginal cost
விளிம்பு நிலம்,Marginal land
விளிம்பு தயாரிப்பு,Marginal product
விளிம்பு வருவாய்,Marginal return
மரைன்,Marine
குறிப்பாக்கி (மரபணு),Marker (genetic)
சந்தை,Market
சந்தைப்படுத்தக்கூடியது,Marketable
சந்தைப்படுத்தக்கூடிய உபரி,Marketable surplus
சந்தைப்படுத்தப்பட்ட உபரி,Marketed surplus
சந்தைப்படுத்தல்,Marketing
சதுப்பு நிலம்,Marsh
வெகுஜன ஓட்டம்,Mass flow
வெகுஜன தேர்வு,Mass selection
வெகுஜன-ஸ்பெக்ட்ரோமீட்டர்,Mass-spectrometer
மாஸ்ட்,Mast
தாய்வழி பரம்பரை,Maternal inheritance
இனச்சேர்க்கை,Mating
மெட்ரிக் ஆற்றல்,Matric potential
முதிர்வு,Maturation
முதிர்ச்சி (பயிர்),Maturity (crop)
கிடைக்கும் அதிகபட்ச நீர்,Maximum available water
அதிகபட்ச பயிர்,Maximum cropping
அதிகபட்ச எச்ச வரம்பு,Maximum residue limit
அதிகபட்ச நிலையான மகசூல்,Maximum sustainable yield
அதிகபட்ச வெப்பமானி,Maximum thermometer
அதிகபட்ச நீர் வைத்திருக்கும் திறன்,Maximum water holding capacity
புல்வெளி பழத்தோட்டம்,Meadow orcharding
மீலி,Mealy
சராசரி விலகல்,Mean deviation
சராசரி வாழ்க்கை (அணு),Mean life (nuclear)
சராசரி கடல் மட்டம்,Mean sea level
சராசரி சதுரம்,Mean square
அளவீடு,Measure
அளவீட்டு,Measurement
இயந்திர,Mechanical
இயந்திர பகுப்பாய்வு (மண்),Mechanical analysis (soil)
இயந்திர தடுப்பு,Mechanical impedence
இயந்திரமயமாக்கப்பட்ட விவசாயம்,Mechanized farming
சராசரி,Median
மருத்துவ ஆலை,Medicinal plant
மத்திய தரைக்கடல் காலநிலை,Mediterranean climate
மெகாகமெடோஜெனெஸிஸ்,Megagametogenesis
மெகாஸ்போரங்கியா,Megasporangia
மெகாஸ்போர் (மேக்ரோஸ்போர்),Megaspore (macrospore)
மெகாஸ்போரோஜெனெஸிஸ்,Megasporogenesis
ஒடுக்கற்பிரிவு,Meiosis
மூத்த மண்,Mellow soil
டி.என்.ஏ உருகுதல்,Melting of DNA
சவ்வு வடிகட்டி,Membrane filter
மெண்டிலியன் பரம்பரை,Mendelian inheritance
மெண்டலிசம்,Mendelism
மெண்டலின் பரம்பரை விதி,Mendel's law of inheritance
பொருட்கள்,Merchandise
புதன்,Mercury
மெரிஸ்டெம்,Meristem
மீசோக்ளைமேட்,Mesoclimate
மீசோடர்ர்,Mesoderm
மெசோபில்,Mesophyll
மெசோஃபைட்,Mesophyte
மெசோ-போர்ஸ்,Meso-pores
மீசோஸ்பியர்,Mesosphere
மெசஞ்சர் ஆர்.என்.ஏ (எம்-ஆர்.என்.ஏ),Messenger RNA (m-RNA)
வளர்சிதை மாற்றம்,Metabolism
வளர்சிதை மாற்றங்கள்,Metabolites
உலோக அணை,Metal dam
உருமாற்ற பாறைகள்,Metamorphic rocks
உருமாற்றம்,Metamorphosis
மெட்டாஃபேஸ்,Metaphase
மெட்டாஸ்ட்ரஸ்,Metastrus
மெட்டாக்சீனியா,Metaxenia
வானிலை ஆய்வு,Meteorology
மெத்தமோகுளோபினீமியா,Methaemoglobinaemia
முறை ஆர்ப்பாட்டம்,Method demonstration
மைக்கா,Mica
மைக்ரோ பேசின்,Micro basin
மைக்ரோ விலங்கினங்கள்,Micro fauna
நுண்ணுயிர்,Microbe
நுண்ணுயிர் பயோமாஸ் கார்பன்,Microbial biomass carbon
நுண்ணுயிர் சீரழிவு,Microbial degradation
நுண்ணுயிர் பூச்சிக்கொல்லி,Microbial insecticide
நுண்ணுயிரியல்,Microbiology
மைக்ரோபயாடிக்,Microbiotic
மைக்ரோக்ளைமேட்,Microclimate
நுண்ணிய சூழல்,Microenvironment
மைக்ரோஃப்ளோரா,Microflora
மைக்ரோகாமெட்டோஜெனெஸிஸ்,Microgametogenesis
நுண்ணிய நீரிழிவு,Microirrigation
மைக்ரோமீட்டரியாலஜி,Micrometeorology
நுண்ணூட்டச்சத்து,Micronutrient
மைக்ரோ பிளாட்,Microplot
மைக்ரோபோர்,Micropore
மைக்ரோபைல்,Micropyle
நுண்ணோக்கி,Microscopy
மைக்ரோஸ்போரங்கியம்,Microsporangium
மைக்ரோஸ்போர் கலாச்சாரம்,Microspore culture
மைக்ரோஸ்போர் தாய் செல்,Microspore mother cell
மைக்ரோஸ்போர்,Microspore
மைக்ரோடோம்,Microtome
மைக்ரோடோபோகிராபி,Microtopography
நடுப்பகுதி திருத்தம்,Mid-season correction
இடம்பெயர்வு,Migration
பால் தானிய நிலை,Milk grain stage
மில்லோபீட்,Millepede
தினை,Millets
அரைக்கும் மீட்பு,Milling recovery
அரைத்தல்,Milling
கனிம ஊட்டச்சத்து,Mineral nutrition
கனிம மண்,Mineral soil
கனிமமயமாக்கல்,Mineralisation
தாதுக்கள்,Minerals
குறைந்தபட்ச வெப்பமானி,Minimum thermometer
குறைந்தபட்ச உழவு,Minimum tillage
சிறிய பயிர்கள்,Minor crops
மியோடிக் இன்டெக்ஸ்,Miotic index
மாயை பிறழ்வு,Missence mutation
மூடுபனி நீர்ப்பாசனம்,Mist irrigation
மூடுபனி,Mist
மைட்டோகாண்ட்ரியா,Mitochondria
மைட்டோசிஸ்,Mitosis
மிட்செர்லிச்சின் சட்டம்,Mitscherlich's law
கலப்பு பயிர்,Mixed cropping
கலப்பு விவசாயம்,Mixed farming
கலப்பு உரம்,Mixed fertilizer
கலப்பு மேய்ச்சல்,Mixed grazing
கலப்பு ஸ்வார்ட்,Mixed sward
மாதிரி,Model
மாடலிங்,Modelling
மாற்றியமைக்கப்பட்ட வளிமண்டல பேக்கேஜிங்,Modified atmosphere packaging
ஈரப்பதம் கிடைக்கும் அட்டவணை,Moisture availability index
ஈரப்பதம் பற்றாக்குறை அட்டவணை,Moisture deficit index
ஈரப்பதம் சமம்,Moisture equivalent
ஈரப்பதம் ஆட்சி,Moisture regime
ஈரப்பதம் வெளியீட்டு வளைவு,Moisture release curve
ஈரப்பதம் தக்கவைத்தல்,Moisture retention
ஈரப்பதம் மன அழுத்தம்,Moisture stress
ஈரப்பதம் பதற்றம்,Moisture tension
ஈரப்பதம்,Moisture
மோலார் தீர்வு,Molar solution
மோலாஸ்கள்,Molasses
மோல் வடிகால்,Mole drainage
மூலக்கூறு உயிரியல்,Molecular biology
மூலக்கூறு இனப்பெருக்கம்,Molecular breeding
மூலக்கூறு கலப்பின,Molecular hybridization
Mollusciced,Molluscicide
நாணய நன்மை அட்டவணை (MAI),Monetary advantage index (MAI)
மோனோக்ளோனல் ஆன்டிபாடி,Monoclonal antibody
மோனோகோட்டிலிடன்கள்,Monocotyledons
மோனோக்ரோப் (ஒற்றை வளர்ப்பு),Monocrop (Monoculture)
மோனோசியஸ்,Monoecious
மோனோஜெனெஸிஸ்,Monogenesis
மோனோஹைப்ரிட்,Monohybrid
மோனோசைகோடிக்,Monozygotic
மழைக்காலம்,Monsoon
மான்ட்மொரில்லோனைட்,Montmorillonite
மூர்,Moor
மோர்,Mor
மோர்கன் பிரிவு,Morgan unit
மார்போஜெனெஸிஸ்,Morphogenesis
உருவவியல் தழுவல்,Morphological adaptation
உருவவியல்,Morphology
அடமானம்,Mortgage
மோட்டில்,Mottle
மோட்லிங்,Mottling
அச்சு,Mould
Moulding,Moulting
மவுண்ட் கலாச்சாரம்,Mound culture
மவுண்ட் அடுக்கு,Mound layering
அறுக்கும்,Mower
வெட்டுதல்,Mowing
மியூசிலேஜ்,Mucilage
மண் மண்,Muck soil
சேற்று,Muddy
மஃபிள்,Muffle
தழைக்கூளம் விவசாயம்,Mulch farming
தழைக்கூளம் உழவு,Mulch tillage
தழைக்கூளம்,Mulch
தழைக்கூளம்,Mulching
மல்,Mull
பல மாடி பயிர்,Multi storey cropping
பல தொடர்பு,Multiple correlation
பல பயிர்,Multiple cropping
பல பயிர் அட்டவணை,Multiple cropping index
பல குறுக்கு,Multiple cross
பல எதிர்ப்பு,Multiple resistance
பன்முகத்தன்மை,Multivariate
மல்டிசைகோடிக்,Multizygotic
மம்மிஃபிகேஷன்,Mummification
மம்மியப்பட்ட பழம்,Mummified fruit
மஸ்கோவைட்,Muscovite
காளான்,Mushroom
பிறழ்வு,Mutagen
பிறழ்ந்த,Mutant
பிறழ்வு,Mutation
பரஸ்பர தடுப்பு,Mutual inhibition
பரஸ்பரம்,Mutualism
மைசீலியம்,Mycelium
மைக்காலஜி,Mycology
மைக்கோபிளாஸ்மா,Mycoplasma
மைக்கோரைசா,Mycorrhiza
Mace,Mace
மதர்,Madar
மதுக்கா,Madhuca
சோளம்,Maize
மக்கனா,Makhana
மாண்டரின்,Mandarin
மாம்பழ ஜிங்கர்,Mango zinger
மாங்கனி,Mango
"மார்கோசா, வேப்பம்","Margosa, neem"
சாமந்தி,Marigold
மாஸ்டிக் மரம்,Mastic tree
மெரில்,Merrill
மெஸ்டா,Mesta
புதினா,Mint
மொலுக்கா பீன்,Molucca bean
குரங்கு ஜாக்,Monkey jack
மோரிங்கா,Moringa
காலை மகிமை (கான்வோல்வலஸ்),Morning glory (convolvulus)
மொசம்பி,Mosambi
அந்துப்பூச்சி பீன்,Moth bean
மல்பெரி,Mulberry
காளான்,Mushroom
கஸ்தூரி முலாம்பழம்,Musk melon
கஸ்தூரி,Musk
கடுகு,Mustard
மிர்ட்டல்,Myrtle
மேப்பியர் புல்,Mapier grass
மீலி பிழை,Mealy bug
மிட்ஜ்,Midge
பூச்சிகள்,Mites
குரங்கு,Monkey
கொசு,Mosquito
அந்துப்பூச்சி,Moth
வானிலை ஆய்வாளர்,Meteorologist
நுண்ணுயிரியலாளர்,Microbiologist
மைக்காலஜிஸ்ட்,Mycologist
நானோ தொழில்நுட்பம்,Nanotechnology
நாபிஃபார்ம்,Napiform
போதைப்பொருள்,Narcotic
நாஸ்டா இயக்கம்,Nastic movement
தேசிய ஆர்ப்பாட்டம்,National demonstration
தேசியமயமாக்கல் (நிலத்தின்),Nationalization (of land)
இயற்கை,Natural
இயற்கை அரிப்பு,Natural erosion
இயற்கை விவசாயம்,Natural farming
இயற்கை வளங்கள்,Natural resources
இயற்கை தேர்வு,Natural selection
இயற்கை தாவரங்கள்,Natural vegetation
கழுத்து (ஹார்ட்),Neck (hort)
நெக்ரோசிஸ்,Necrosis
தேன்,Nectar
எதிர்மறை அலெலோபதி,Negative allelopathy
Nematicide,Nematicide
நெமடோட் எதிர்ப்பு ரூட்ஸ்டாக்,Nematode resistant rootstock
வராலியல்,Nematology
நியோடெனி,Neoteny
நிகர ஒருங்கிணைப்பு விகிதம் (NAR),Net assimilation rate (NAR)
நிகர ஆதாயம்,Net gain
நிகர வருமானம் (பண்ணை வருமானம்),Net income (farm income)
நிகர நீர்ப்பாசன தேவை,Net irrigation requirement
நிகர உற்பத்தித்திறன்,Net productivity
நிகர வருவாய்,Net return
வலைகள்,Netting
நரம்பியல்,Neuron
நடுநிலை,Neutral
நடுநிலைவாதம்,Neutralism
நடுநிலைப்படுத்தல்,Neutralization
நடுநிலை மண்,Neutral soil
நியூட்ரான் ஈரப்பதம் மீட்டர்,Neutron moisture meter
முக்கிய,Niche
நிகோடின்,Nicotine
இரவு மண்,Night soil
நைட்ரேட் ஒருங்கிணைப்பு,Nitrate assimilation
நைட்ரேட் குறைப்பு,Nitrate reduction
நைட்ரேட் நச்சுத்தன்மை,Nitrate toxicity
நைட்ரே,Nitre
நைட்ரிஃபிகேஷன் இன்ஹிபிட்டர்,Nitrification inhibitor
நைட்ரஜன் ஒருங்கிணைப்பு,Nitrogen assimilation
நைட்ரஜன் சுழற்சி,Nitrogen cycle
நைட்ரஜன் குறைபாடு,Nitrogen deficiency
நைட்ரஜன் நிர்ணயம்,Nitrogen fixation
நைட்ரஜன்,Nitrogenous
நோபலைசேஷன்,Nobilization
உன்னத கரும்பு,Noble cane
இரவு,Nocturnal
முனை,Node
முடிக்கப்பட்ட ஆலை,Nodulated plant
முடிச்சு,Nodulation
முடிச்சு,Nodule
நாடோடி,Nomadion
பெயரிடல்,Nomenclature
அல்லாத அலெலிக்,Non allelic
அல்லாத தந்துகி துளை,Non capillary pore
போட்டியிடும் பயிர்,Non competing crop
முட்டாள்தனமான பிறழ்வு,Nonsense mutation
குறிப்பிடத்தக்க அல்ல,Non significant
அசிட் அல்லாத உருவம் உரத்தை உருவாக்குகிறது,Non-acid forming fertilizer
தொடர்பு கொள்ளாதது,Non-conjugation
விவரிக்கப்படாத (விலங்கு),Non-descript (animal)
அத்தியாவசியமற்ற உறுப்பு,Non-essential element
மதுபானம் அல்லாத,Non-homogenous
ஹோமோலாஜஸ் அல்லாத,Non-homologus
துருவமற்ற கலவை,Non-polar compound
புதுப்பிக்க முடியாத ஆற்றல்,Non-renewable energy
தேர்ந்தெடுக்கப்படாதது களைக்கொல்லியை தொடர்பு கொள்ளுங்கள்,Non-selective contact herbicide
தேர்ந்தெடுக்கப்படாத களைக்கொல்லி,Non-selective herbicide
சிம்பியோடிக் அல்லாத நைட்ரஜன் நிர்ணயம்,Non-symbiotic nitrogen fixation
சாதாரண விநியோகம்,Normal distribution
சாதாரண நாற்றுகள்,Normal seedlings
சாதாரண தீர்வு,Normal solution
இயல்பாக்குதல்,Normalising
