Punjabi,Marathi
ਕੁਲੈਕਟਰ-ਬੇਸ ਜੰਕਸ਼ਨ,कलेक्टर-बेस जंक्शन
ਰੰਗ,रंग
ਰੰਗ ਵਿਸ਼ਲੇਸ਼ਕ,रंग विश्लेषक
ਰੰਗ ਸੰਤੁਲਨ,रंग शिल्लक
ਰੰਗ ਬਰਸਟ,रंग फुटला
ਰੰਗ ਚਾਰਟ,रंग चार्ट
ਰੰਗ ਸੰਜਮ,रंग संयोजन
ਰੰਗ ਸਥਿਰ,रंग स्थिर
ਰੰਗ ਨਿਯੰਤਰਣ (ਕ੍ਰੋਮ ਨਿਯੰਤਰਣ),कलर कंट्रोल (क्रोम कंट्रोल)
ਰੰਗ ਡੂੰਘਾਈ,रंग खोली
ਰੰਗ ਥਕਾਵਟ,रंग थकवा
ਰੰਗ ਫਿਲਟਰ,रंग फिल्टर
ਰੰਗ ਕਿੱਲਰ ਸਰਕਟ,कलर किलर सर्किट
ਰੰਗ ਰਿਸ਼ਤੇਦਾਰ,रंग किनेस्कोप
ਰੰਗ ਮਿਕਸਰ,रंग मिक्सर
ਰੰਗ ਪੈਟਰਨ,रंग नमुना
ਰੰਗ ਧਾਰਨਾ,रंग समज
ਰੰਗ ਤਸਵੀਰ ਸਕਰੀਨ,रंग चित्र स्क्रीन
ਰੰਗ ਸਪੇਸ,रंग जागा
ਰੰਗ ਉਪ-ਸਮੂਹ,रंग सबकारियर
ਰੰਗ ਦਾ ਤਾਪਮਾਨ,रंग तापमान
ਰੰਗ ਸੰਚਾਰ,रंग संप्रेषण
ਰੰਗ ਟਿ .ਬ,रंग ट्यूब
ਰੰਗਤ,रंगरंगोटी
ਰੰਗਹੀਣ,रंगहीन
ਸੁਮੇਲ,संयोजन
ਕੰਫਾਈਨਰ,संयोजक
ਸੰਚਾਲਨ ਦੀ ਪ੍ਰਕਿਰਿਆ,प्रक्रिया एकत्रित
ਜਲਣ,ज्वलन
ਕਮਾਂਡ,आज्ञा
ਸ਼ੁਰੂ,प्रारंभ
ਵਪਾਰਕ ਪ੍ਰਸਾਰਣ,व्यावसायिक प्रसारण
ਵਪਾਰਕ ਟੈਲੀਵਿਜ਼ਨ,व्यावसायिक टेलिव्हिजन
ਆਮ ਕੁਲੈਕਟਰ ਸਰਕਟ,सामान्य कलेक्टर सर्किट
ਸੰਚਾਰ,संप्रेषण
ਸੰਚਾਰ ਸੈਟੇਲਾਈਟ,संप्रेषण उपग्रह
ਕਮਿ Community ਨਿਟੀ ਰੇਡੀਓ ਕੇਂਦਰ,कम्युनिटी रेडिओ सेंटर
ਕਮਿ Community ਨਿਟੀ ਰੇਡੀਓ ਸਟੇਸ਼ਨ,कम्युनिटी रेडिओ स्टेशन
ਕੌਮਪੈਕਟ ਡਿਸਕ (ਸੀਡੀ),कॉम्पॅक्ट डिस्क (सीडी)
ਕੌਮਪੈਕਟ ਡਿਸਕ ਪਲੇਅਰ,कॉम्पॅक्ट डिस्क प्लेयर
ਰਚਨਾ,कॉम्पॅन्डर
ਰਚਨਾ,कंपँडिंग
ਅਨੁਕੂਲਤਾ,सुसंगतता
ਅਨੁਕੂਲ,सुसंगत
ਕੰਪਾਈਲਰ,कंपाईलर
ਪੂਰਕ,पूरक
ਪੂਰਕ ਟ੍ਰਾਂਸਟੋਰ,पूरक ट्रान्झिस्टर
ਗੁੰਝਲਦਾਰ ਵੇਵ,कॉम्प्लेक्स वेव्ह
ਭਾਗ,घटक
ਕੰਪੋਜ਼ਿਟ,संमिश्र
ਮਿਸ਼ਰਿਤ ਸਰਕਟ,संमिश्र सर्किट
ਮਿਸ਼ਰਿਤ ਡਿਜੀਟਲ,संमिश्र डिजिटल
ਕੰਪੋਜ਼ਿਟ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਸੰਕੇਤ,संमिश्र रेडिओ फ्रिक्वेन्सी सिग्नल
ਕੰਪੋਜ਼ਿਟ ਸਿਗਨਲ,संमिश्र सिग्नल
ਕੰਪੋਜ਼ਿਟ ਵੀਡੀਓ,संमिश्र व्हिडिओ
ਕੰਪੋਜ਼ਿਟ ਵੀਡੀਓ ਸਿਗਨਲ,संमिश्र व्हिडिओ सिग्नल
ਰਚਨਾ,रचना
ਸੰਕੁਚਿਤ ਡੇਟਾ,संकुचित डेटा
ਸੰਕੁਚਿਤ ਡਿਜੀਟਾਈਜ਼ਡ ਵੀਡੀਓ,संकुचित डिजिटलाइज्ड व्हिडिओ
ਸੰਕੁਚਿਤ ਵੀਡੀਓ,संकुचित व्हिडिओ
ਸੰਕੁਚਨ,कम्प्रेशन
ਕੰਪਰੈੱਸ ਆਰਟੀਫੈਕਟ,कॉम्प्रेशन आर्टिफॅक्ट
ਕੰਪਰੈੱਸ ਖ਼ਤਰੇ,कॉम्प्रेशन धोका
ਸੰਕੁਚਨ ਤਕਨੀਕ,कॉम्प्रेशन तंत्र
ਕੰਪ੍ਰੈਸਰ,कंप्रेसर
ਗਣਨਾ,गणना
ਕੰਪਿ computer ਟਰ,संगणक
ਕੰਪਿ computer ਟਰ ਅਧਾਰਤ ਮਲਟੀਮੀਡੀਆ,संगणक आधारित मल्टीमीडिया
ਕੰਪਿ computer ਟਰ ਪ੍ਰੋਗਰਾਮਿੰਗ,संगणक प्रोग्रामिंग
ਕੰਪਿ computer ਟਰ ਤਕਨਾਲੋਜੀ,संगणक तंत्रज्ञान
ਕਨਸੈਵ ਲੈਂਜ਼,अवतल लेन्स
ਮਾਹੌਲ,अवतल आरसा
ਛੁਪਾਓ,लपवून ठेवणे
ਕੇਂਦਰਿਤ,एकाग्र
ਧਿਆਨ ਟਿਕਾਉਣਾ,एकाग्रता
ਦਿਮਾਗੀ ਲੈਂਜ਼,कॉन्सेन्ट्रिक लेन्स
ਕੰਡੈਂਸਰ ਮਾਈਕ੍ਰੋਫੋਨ,कंडेन्सर मायक्रोफोन
ਸੰਤੁਲਨ ਦੀ ਸਥਿਤੀ,समतोल स्थिती
ਸੰਚਾਲਨ,वाहक
ਚਾਲਾਂ ਦਾ ਮੌਜੂਦਾ,वाहक चालू
ਚਾਲਕਤਾ,वाहकता
ਕੰਡਕਟਰ,कंडक्टर
ਕੌਨਫਿਗਰੇਸ਼ਨ,कॉन्फिगरेशन
ਕੁਨੈਕਸ਼ਨ,कनेक्शन
ਕਨੈਕਟੀਵਿਟੀ,कनेक्टिव्हिटी
ਕੁਨੈਕਟਰ,कनेक्टर
ਇਕਸਾਰਤਾ,सुसंगतता
ਨਿਰੰਤਰ,सातत्याने
ਕੰਸੋਲ,कन्सोल
ਨਿਰੰਤਰ,स्थिर
ਨਿਰੰਤਰ ਐਪਲੀਟਿ .ਡ,सतत मोठेपणा
ਮਾਈਕ੍ਰੋਫੋਨ ਨਾਲ ਸੰਪਰਕ ਕਰੋ,मायक्रोफोनशी संपर्क साधा
ਕੰਟੇਨਰ ਫਾਰਮੈਟ,कंटेनर स्वरूप
ਗੰਦਗੀ,दूषित
ਸਮੱਗਰੀ,सामग्री
ਸੰਖੇਪ,संमिश्र
ਨਿਰੰਤਰਤਾ,सातत्य
ਨਿਰੰਤਰਤਾ ਬੂਥ,सातत्य बूथ
ਨਿਰੰਤਰਤਾ ਨੋਬ,सातत्य नॉब
ਨਿਰੰਤਰ,सतत
ਨਿਰੰਤਰ ਚਾਪ,सतत कंस
ਨਿਰੰਤਰ ਵੇਵ,सतत लाट
ਕੋਠੇ ਦੀ ਲਾਈਨ,समोच्च ओळ
ਕੁੱਲ ਯੋਜਨਾ,समोच्च योजना
ਇਕਰਾਰਨਾਮਾ,करार
ਸੁੰਗੜਨ,आकुंचन
ਇਸ ਦੇ ਉਲਟ ਅਨੁਪਾਤ,कॉन्ट्रास्ट गुणोत्तर
ਕੰਟਰੋਲ ਸਰਕਟ,नियंत्रण सर्किट
ਇਲੈਕਟ੍ਰੋਡ ਕੰਟਰੋਲ ਕਰੋ,इलेक्ट्रोड नियंत्रित करा
ਕੰਟਰੋਲ ਉਪਕਰਣ,नियंत्रण उपकरणे
ਕੰਟਰੋਲ ਗਰਿੱਡ,नियंत्रण ग्रीड
ਕੰਟਰੋਲ ਲਾਈਨ,नियंत्रण ओळ
ਕਨ੍ਟ੍ਰੋਲ ਪੈਨਲ,नियंत्रण पॅनेल
ਕੰਟਰੋਲ ਰੂਮ,नियंत्रण कक्ष
ਕੰਟਰੋਲ ਟੇਬਲ,नियंत्रण सारणी
ਕੰਟਰੋਲ ਟਾਵਰ,नियंत्रण टॉवर
ਕੰਟਰੋਲਰ,नियंत्रक
ਪਰਿਵਰਤਨ,अभिसरण
ਕੰਵਰਜੈਂਟ ਲੈਂਜ਼,कन्व्हर्जंट लेन्स
ਕਨਵਰਟਰ,कन्व्हर्टर
ਕਨਵੈਕਸ ਲੈਂਜ਼,बहिर्गोल लेन्स
ਕਨਵੋਲਕ,कन्व्होल्यूशन
ਕਨਵੀਸ਼ਨ ਕੋਡਡ,कन्व्होल्यूशन कोड
ਪੱਕਾ ਇੰਟਰਲੇਵ,कॉन्व्होल्यूशनल इंटरलीव्ह
ਪੱਕਾ ਇੰਟਰਲੇਵਿੰਗ,कॉन्व्होल्यूशनल इंटरलीव्हिंग
ਕੂਕੀ,कुकी
ਕੂਕੀਅਰ,कुकीयर
ਕੋਪ੍ਰੋਸੈਸਰ,कॉप्रोसेसर
ਰੱਸੀ,दोरखंड
ਕੋਰੋਨਾ,कोरोना
ਕੋਰੋਨਾ ਡਿਸਚਾਰਜ,कोरोना डिस्चार्ज
ਇਕ ਦੂਸਰੇ ਨਾਲ ਸੰਬੰਧ,परस्परसंबंध
ਕੋਸਾਈਨ ਭਾਗ,कोसाइन घटक
ਕੋਸਾਈਨ ਵੇਵ,कोसाइन वेव्ह
ਬ੍ਰਹਿਮੰਡੀ ਸ਼ੋਰ,वैश्विक आवाज
ਕਾ counter ਂਟਰ,काउंटर
ਕਾਉਂਟਰ ਕਲਾਕਵਾਈਸ,घड्याळाच्या दिशेने काउंटर
ਕਪਲਰ,कपलर
ਜੋੜੀ,जोड्या
ਕਪਲਿੰਗ ਕੰਡੇਲੈਨਜ਼ਰ,कपलिंग कंडेन्सर
ਜੋੜਣ ਵਾਲਾ ਨੈਟਵਰਕ,कपलिंग नेटवर्क
ਜੋੜਣ ਦਾ ਵਿਰੋਧ,कपलिंग प्रतिकार
ਸਹਿਕਾਰਤਾ,सहसंयोजक बंध
ਕਵਰੇਜ,कव्हरेज
ਕਰੈਸ਼,आपटी
ਆਲੋਚਨਾਤਮਕ ਬੈਂਡ,गंभीर बँड
ਗੰਭੀਰ ਸਥਿਤੀ,चिंताजनक स्थिती
ਨਾਜ਼ੁਕ,गंभीर जोड्या
ਨਾਜ਼ੁਕ ਬਾਰੰਬਾਰਤਾ,गंभीर वारंवारता
ਆਲੋਚਨਾਤਮਕ ਪੈਰਾਮੀਟਰ,गंभीर मापदंड
ਮਗਰਮੱਛ ਕਲਿੱਪ,मगर क्लिप
ਕਰਾਸ ਫੇਡਿੰਗ,क्रॉस फिकट
ਕਰਾਸ ਮੈਨੂਲੇਸ਼ਨ,क्रॉस मॉड्यूलेशन
ਕਰਾਸ ਟਾਕ,क्रॉस टॉक
ਕਰਾਸਫੈਡ,क्रॉसफेड
ਕ੍ਰਿਪਟੋਗ੍ਰਾਫੀ,क्रिप्टोग्राफी
ਕ੍ਰਿਸਟਲ,क्रिस्टल
ਕ੍ਰਿਸਟਲ ਫਿਲਟਰ,क्रिस्टल फिल्टर
Cue,क्यू
ਕਿ ue ਦੇ ਨਿਸ਼ਾਨ,क्यू मार्क्स
ਕਯੂਅਰ ਡਿਵਾਈਸ,क्यूइंग डिव्हाइस
ਮੌਜੂਦਾ ਡਰੇਨ,चालू नाले
ਮੌਜੂਦਾ ਮੀਟਰ,चालू मीटर
ਮੌਜੂਦਾ ਟਰਾਂਸਫਾਰਮਰ,वर्तमान ट्रान्सफॉर्मर
ਕਰਸਰ,कर्सर
ਕਰਵ,वक्र
ਬਾਰੰਬਾਰਤਾ ਨੂੰ ਕੱਟੋ,वारंवारता कट करा
ਕਟਰ,कटर
ਸਾਈਬਰ ਕੈਫੇ,सायबर कॅफे
ਸਾਈਬਰ ਸੁਰੱਖਿਆ,सायबर सुरक्षा
ਸਾਈਬਰ ਸਪੇਸ,सायबर स्पेस
ਚੱਕਰ,चक्र
ਚੱਕਰਵਾਤ,चक्रीय
D.C. ਭਾਗ,डी.सी. घटक
D.C. ਪਲੇਟ ਪਾਵਰ,डी.सी. प्लेट पॉवर
D.C. ਬਹਾਲੀ,डी.सी. जीर्णोद्धार
ਡੈਂਪਰ ਡਾਈਵਰ,डॅम्पर डायोड
ਗਿੱਲੇ,ओलसर
ਹਨੇਰ,गडद
ਡਾਟਾ,डेटा
ਡਾਟਾ ਪ੍ਰਸਾਰਣ,डेटा प्रसारण
ਡਾਟਾ ਸੰਕੁਚਨ,डेटा कॉम्प्रेशन
ਡਾਟਾ ਡ੍ਰਿਲਿੰਗ,डेटा ड्रिलिंग
ਡਾਟਾ ਇਨਕ੍ਰਿਪਸ਼ਨ,डेटा कूटबद्धीकरण
ਡਾਟਾ ਫਾਈਲ,डेटा फाइल
ਡਾਟਾ ਹੈਂਡਲਿੰਗ,डेटा हाताळणी
ਡਾਟਾ ਮਾਈਨਿੰਗ,डेटा खाण
ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,डेटा प्रक्रिया
ਡਾਟਾ ਪ੍ਰੋਸੈਸਰ,डेटा प्रोसेसर
ਡਾਟਾ ਘਟੀਆ ਸਿਸਟਮ,डेटा कमी बिट सिस्टम
ਡਾਟਾ ਸੇਵਾ,डेटा सेवा
ਡਾਟਾ ਸ਼ੀਟ,माहिती पत्रक
ਡਾਟਾ ਸਟੋਰੇਜ,डेटा संचयन
ਡਾਟਾ ਸਟ੍ਰੀਮ,डेटा प्रवाह
ਡਾਟਾ ਤਬਦੀਲੀ,डेटा परिवर्तन
ਡਾਟਾ ਸੰਚਾਰ,डेटा ट्रान्समिशन
ਡਾਟਾਬੇਸ,डेटाबेस
ਡੈਟਾਕਾਸਟਿੰਗ,डेटाकास्टिंग
ਡਾਟਾਗ੍ਰਾਮ,डेटाग्राम
ਡੀ ਬੀ ਮੀਟਰ,डीबी मीटर
ਮਰੇ ਹਵਾ,मृत हवा
ਮਰੇ ਸ਼ੌਰਟ ਸਰਕਟ,मृत शॉर्ट सर्किट
ਮਰੇ ਹੋਏ ਸਥਾਨ,मृत जागा
ਡੈੱਡਲਾਕ,डेडलॉक
ਡੀਬੱਗ ਪ੍ਰੋਗਰਾਮ,डीबग प्रोग्राम
ਡੀਬੱਗਿੰਗ,डीबगिंग
ਆਵਾਜ਼ ਦਾ ਵਿਗਾੜ,आवाजाचा क्षय
ਡੈਸੀਬੈਲ (ਡੀ ਬੀ),डेसिबल (डीबी)
ਦਸ਼ਮਲਵ,दशांश
ਦਸ਼ਮਲਵ ਕੋਡ,दशांश कोड
ਦਸ਼ਮਲਵ ਅੰਕ,दशांश अंक
ਸਮਝਦਾਰੀ,उलगडा
ਡੀਕੋਡਰ,डीकोडर
ਡੀਕੋਡਿੰਗ,डीकोडिंग
ਡਿਜੀਟਲ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਵਿੱਚ ਡੀਕੋਡਿੰਗ,डिजिटल ट्रान्समिशनमध्ये डीकोडिंग
ਕੰਪੋਪ੍ਰੈਸ਼ਨ,विघटन
ਬਰਖਾਸਤ ਕਰਨਾ,डीकोपलिंग
ਸਰਕਟ ਨੂੰ ਘਟਾਉਣਾ,डिकॉपलिंग सर्किट
ਨੈੱਟਵਰਕ ਨੂੰ ਘਟਾਓ,डिकॉपलिंग नेटवर्क
ਡਿਕ੍ਰਿਪਸ਼ਨ,डिक्रिप्शन
ਸਮਰਪਿਤ ਲਾਈਨ,समर्पित ओळ
ਡੀ-ਏਮਬਿੰਗ,डी-एम्बेडिंग
ਡੀ-ਜ਼ੋਰ,डी-जोर
ਮੂਲ,डीफॉल्ट
ਗੁਣਵੱਤਾ ਵਿੱਚ ਨੁਕਸ,गुणवत्तेत दोष
ਨੁਕਸਦਾਰ,सदोष
ਨੁਕਸ ਇਕਾਈ,सदोष युनिट
ਪਰਿਭਾਸ਼ਾ,व्याख्या
ਘਟੀ,विक्षेप
ਵਿਗਾੜਨਾ,विकृती
ਡੀਫ੍ਰੇਸ਼ਨੇਸ਼ਨ,डीफ्रॅगमेंटेशन
ਡੀ-ਮੈਨਿੰਗ ਕੋਇਲ,डी-गॉसिंग कॉइल
ਡਿਗਰੀ,पदवी
ਡੀ-ਇੰਟਰਲੇਵਰ,डी-इंटरलीव्हर
ਦੇਰੀ ਲਾਈਨ,विलंब ओळ
ਦੇਰੀ ਦਾ ਸਮਾਂ,विलंब वेळ
ਫਰੇਮ ਮੈਮੋਰੀ ਦੇਰੀ ਨਾਲ,विलंब फ्रेम मेमरी
ਦੇਰੀ ਸਕੈਨਿੰਗ,विलंब स्कॅनिंग
ਦੇਰੀ ਨਾਲ ਸਿੰਕ੍ਰੋਨਾਈਜ਼ੇਸ਼ਨ ਸਿਗਨਲ,विलंब सिंक्रोनाइझेशन सिग्नल
ਡਿਲਿਵਰੀ,वितरण
ਡਿਲਿਵਰੀ ਸਿਸਟਮ,वितरण प्रणाली
ਮੁਆਵਜ਼ਾ,डिमोड्युलेशन
ਡੈਮੋੂਲੇਟਰ ਕਾਰਡ,डेमोड्युलेटर कार्ड
ਡੈਮਟਲਿਪਰ,डेमल्टिप्लेक्सर
ਫੀਲਡ ਦੀ ਡੂੰਘਾਈ,फील्डची खोली
ਉਤਰਦਾ,उतरत्या
ਡਿਜ਼ਾਇਨ ਨਿਰਧਾਰਨ,डिझाइन तपशील
ਡੈਸਕਟਾਪ,डेस्कटॉप
ਡਿਟੈਕਟਰ ਆਉਟਪੁੱਟ,डिटेक्टर आउटपुट
ਭਟਕਣਾ,विचलन
ਜੰਤਰ,साधन
ਡਿਵਾਈਸ ਡਰਾਈਵਰ,डिव्हाइस ड्राइव्हर
ਨਿਦਾਨ,डायग्नोस्टिक्स
ਚਿੱਤਰ,आकृती
ਵਾਰਤਾਲਾਪ ਟਰੈਕ,संवाद ट्रॅक
ਡੁਬਨੇਲ ਮੋਡ,व्यासाचा मोड
ਡਾਇਮੰਡ ਸਟਾਈਲਸ,डायमंड स्टाईलस
ਡਾਇਆਫ੍ਰਾਮ,डायाफ्राम
ਡੁਫਰਾਗਮੇਟਿਕ ਜਜ਼ਬ,डायाफ्रामॅटिक शोषक
ਡਿਚੋਟਿਕ ਸੁਣਨਾ,डायकोटिक ऐकणे
ਡਾਈਡੈਕਟਿਕ,डायलेक्ट्रिक
ਡਾਈਡੈਕਟ੍ਰਿਕ ਟੁੱਟਣਾ,डायलेक्ट्रिक ब्रेक- डाउन
ਡਾਈਡੈਕਟ੍ਰਿਕ ਨੁਕਸਾਨ,डायलेक्ट्रिक तोटा
ਅੰਤਰ ਦੀ ਬਾਰੰਬਾਰਤਾ,फरक वारंवारता
ਅੰਤਰ ਬਾਰੰਬਾਰਤਾ ਵਿਗਾੜ (ਡੀਐਫਡੀ),फरक वारंवारता विकृती (डीएफडी)
ਅੰਤਰ ਟੋਨ,फरक टोन
ਵੱਖਰਾ ਐਂਪਲੀਫਾਇਰ,विभेदक एम्पलीफायर
ਵੱਖਰਾ,विवर्तन
ਵੱਖਰੇ ਲਾਭਕਾਰ,डिफ्यूझर
ਅੰਕ,अंक
ਡਿਜੀਟਲ,डिजिटल
ਡਿਜੀਟਲ ਆਰਟੀਫੈਕਟ,डिजिटल कलाकृती
ਡਿਜੀਟਲ ਆਡੀਓ,डिजिटल ऑडिओ
ਡਿਜੀਟਲ ਆਡੀਓ ਫਿਲਟਰ,डिजिटल ऑडिओ फिल्टर
ਡਿਜੀਟਲ ਆਡੀਓ ਵਰਕ ਸਟੇਸ਼ਨ,डिजिटल ऑडिओ वर्क स्टेशन
ਡਿਜ਼ੀਟਲ ਕੈਮਰਾ,डिजिटल कॅमेरा
ਡਿਜੀਟਲ ਕੰਪਿਟਰ,डिजिटल संगणक
ਡਿਜੀਟਲ ਡਾਟਾ,डिजिटल डेटा
ਡਿਜੀਟਲ ਸੰਪਾਦਨ,डिजिटल संपादन
ਡਿਜੀਟਲ ਐਕਸਟਰ,डिजिटल एक्झिटर
ਡਿਜੀਟਲ ਫਿਲਟਰ,डिजिटल फिल्टर
ਡਿਜੀਟਲ ਫਰੇਮ ਸਮਕਾਲੀਨ,डिजिटल फ्रेम सिंक्रोनाइझर
ਡਿਜੀਟਲ ਵਿਰਾਸਤ,डिजिटल वारसा
ਡਿਜੀਟਲ ਚਿੱਤਰ,डिजिटल प्रतिमा
ਡਿਜੀਟਲ ਲਾਇਬ੍ਰੇਰੀ,डिजिटल लायब्ररी
ਡਿਜੀਟਲ ਮੀਟਰ,डिजिटल मीटर
ਡਿਜੀਟਲ ਮੈਨੂਲੇਸ਼ਨ,डिजिटल मॉड्यूलेशन
ਡਿਜੀਟਲ ਮਲਟੀਪਲੈਕਸ,डिजिटल मल्टिप्लेक्स
ਡਿਜੀਟਲ ਨੈਟਵਰਕ,डिजिटल नेटवर्क
ਡਿਜੀਟਲ ਆਉਟਪੁੱਟ,डिजिटल आउटपुट
ਡਿਜੀਟਲ ਪਲੇਅਬੈਕ,डिजिटल प्लेबॅक
ਡਿਜੀਟਲ ਰੇਡੀਓ ਮੰਡਲਲ (ਡਰੱਮ),डिजिटल रेडिओ मोंडिएल (डीआरएम)
ਡਿਜੀਟਲ ਰਿਕਾਰਡਿੰਗ,डिजिटल रेकॉर्डिंग
ਡਿਜੀਟਲ ਇਨਕਲਾਬ,डिजिटल क्रांती
ਡਿਜੀਟਲ ਸਿਗਨਲ,डिजिटल सिग्नल
ਡਿਜੀਟਲ ਸਿਗਨਲ ਪ੍ਰੋਸੈਸਿੰਗ (ਡੀਐਸਪੀ),डिजिटल सिग्नल प्रक्रिया (डीएसपी)
ਡਿਜੀਟਲ ਦਸਤਖਤ,डिजिटल स्वाक्षरी
ਡਿਜੀਟਲ ਟੈਕਨੋਲੋਜੀ,डिजिटल तंत्रज्ञान
ਐਨਾਲਾਗ ਪਰਿਵਰਤਕ ਲਈ ਡਿਜੀਟਲ,डिजिटल टू एनालॉग कन्व्हर्टर
ਡਿਜੀਟਲ ਵੀਡੀਓ,डिजिटल व्हिडिओ
ਡਿਜੀਟਲ ਵੋਲਟਮੀਟਰ,डिजिटल व्होल्टमीटर
ਡਿਜੀਟਲਾਈਜ਼ੇਸ਼ਨ,डिजिटलायझेशन
ਡਿਜੀਟਾਈਜ਼ੇਸ਼ਨ,डिजिटलायझेशन
ਡਿਜੀਟਾਈਜ਼ਡ ਵੀਡੀਓ,डिजिटलाइज्ड व्हिडिओ
ਡਿਡੀਕਿਜ਼ਰ,डिजिटायझर
ਮੱਧਮ,अंधुक
ਮਾਪ,परिमाण
ਮੱਧਮ,डिमर
Dieode,डायोड
ਡੁਬੋ,बुडविणे
ਡੀਪਲੈਕਸਰ,डिप्लेक्सर
ਡਿਪੋਲ ਐਂਟੀਨਾ,द्विध्रुवीय अँटेना
ਸਿੱਧਾ ਪ੍ਰਸਾਰਣ,थेट प्रसारण
ਸਿੱਧੇ ਮੌਜੂਦਾ (ਡੀ ਸੀ),थेट करंट (डी सी)
ਸਿੱਧੀ ਪਿਕ ਅਪ,डायरेक्ट पिक अप
ਸਿੱਧਾ ਪੜ੍ਹਨ ਦਾ ਸਾਧਨ,थेट वाचन साधन
ਸਿੱਧੀ ਰਿਕਾਰਡਿੰਗ,थेट रेकॉर्डिंग
ਦਿਸ਼ਾਵੀ ਐਂਟੀਨਾ,दिशात्मक ten न्टीना
ਦਿਸ਼ਾ ਨਿਰਦੇਸ਼ਕ,दिशात्मक कपलर
ਦਿਸ਼ਾਵੀ ਮਾਈਕ੍ਰੋਫੋਨ,दिशात्मक मायक्रोफोन
ਡਾਇਰੈਕਟਿਟੀ,निर्देश
ਡਾਇਰੈਕਟਰੀ,निर्देशिका
ਅਯੋਗ,अक्षम करा
ਡਿਸਕ ਐਂਟੀਨਾ,डिस्क अँटेना
ਅਸਾਤ ਸਟੋਰੇਜ,डिस्क आधारित स्टोरेज
ਵੱਖਰਾ,वेगळा
ਡਿਸਕ,डिस्क
ਡਿਸਕ ਡਰਾਈਵ,डिस्क ड्राइव्ह
ਡਿਸਕ ਕੋਟਾ,डिस्क कोटा
ਡਿਸਕੀਟ,डिस्केट
ਉਜਾੜਾ,विस्थापन
ਫੈਲਾਅ,फैलाव
ਉਜਾੜਾ,विस्थापन
ਡਿਸਪਲੇਅ,प्रदर्शन
ਡਿਸਪਲੇਅ ਯੂਨਿਟ (ਕਨਸੋਲ),प्रदर्शन युनिट (कन्सोल)
ਵਿਗਾੜ,अपव्यय
ਅਸੰਗਤ,असंतोष
ਸ਼ੁਧ ਪਾਣੀ,डिस्टिल्ड वॉटर
ਭਟਕਣਾ,विकृती
ਵੰਡ,वितरण
ਡਿਸਟਰੀਬਿ .ਸ਼ਨ ਐਂਪਲੀਫਾਇਰ,वितरण एम्पलीफायर
ਵੰਡ,विभागणी
ਵਿਭਾਜਨ,विभाजक
ਦਸਤਾਵੇਜ਼,दस्तऐवज
ਡੌਲਬੀ ਡਿਜੀਟਲ,डॉल्बी डिजिटल
ਡੋਮੇਨ,डोमेन
ਡੋਮੇਨ ਕੰਟਰੋਲਰ,डोमेन नियंत्रक
ਡੋਪਲਰ ਪ੍ਰਭਾਵ,डॉपलर प्रभाव
ਡਬਲ ਪੋਲ (ਡਿਪੋਲ),डबल पोल (द्विध्रुवीय)
ਡਬਲ ਪੋਲ ਸਿੰਗਲ ਥ੍ਰੋ ਸਵਿਚ,डबल पोल सिंगल थ्रो स्विच
ਡਬਲ ਸਾਈਡ ਡਿਸਕ,डबल साइड डिस्क
ਡਬਲਟ,दुहेरी
ਡਾ down ਨ ਲਹਿਰ,खाली येणारी लाट
ਥੱਲੇ ਧਾਰਾ,खाली प्रवाह
ਡਾ ng ਨਲਿੰਕ,डाउनलिंक
ਡਾਉਨਲੋਡ ਕਰੋ,डाउनलोड करा
ਡਾਉਨਲੋਡ ਕਰਨਾ,डाउनलोड करीत आहे
ਡਰਾਇੰਗ,रेखांकन
ਡ੍ਰਿਲਿੰਗ ਬਿੱਟ,ड्रिलिंग बिट
ਡ੍ਰਿਲਿੰਗ ਮਸ਼ੀਨ,ड्रिलिंग मशीन
ਚਲਾਉਣਾ,चालवा
ਡਰੱਮ,ड्रम
ਸੁੱਕੇ ਬੱਲਬ ਦਾ ਤਾਪਮਾਨ,कोरडे बल्ब तापमान
ਡਰਾਈ ਸੈੱਲ,कोरडे सेल
ਸੁੱਕੇ ਸੋਲਡਰ,कोरडे सोल्डर
ਦੋਹਰੀ ਚੈਨਲ ਮੋਡ,ड्युअल चॅनेल मोड
ਡੱਬਿੰਗ,डबिंग
ਡੂਡ,डड
ਡੰਪ,डंप
ਡੁਪਲੈਕਸ,दुहेरी
ਅਵਧੀ,कालावधी
ਧੂੜ,धूळ
ਡਸਟ ਬੱਗ,धूळ बग
ਧੂੜ ਦਾ ਸਬੂਤ,धूळ पुरावा
ਡੱਸਟਰ,डस्टर
ਗਤੀਸ਼ੀਲ,डायनॅमिक
ਗਤੀਸ਼ੀਲ ਬਿੱਟ ਅਲਾਟਮੈਂਟ,डायनॅमिक बिट वाटप
ਡਾਇਨਾਮਿਕ ਇੰਟਰਮੋਡੂਲੇਸ਼ਨ ਵਿਗਾੜ (ਮੱਧਮ),डायनॅमिक इंटरमोडुलेशन विकृती (डीआयएम)
ਗਤੀਸ਼ੀਲ ਮਾਤਰਾ,डायनॅमिक क्वांटिझेशन
