Bengali,Marathi
অর্থোগোনাল,ऑर्थोगोनल
অর্টস্টেইন,ऑर्टस्टीन
বাইরের সংকেত,बाह्य सिग्नल
জারণ,ऑक्सिडेशन
প্যান্ট্রি,पँट्री
প্যারাপেট,पॅरापेट
প্রাচীর প্রাচীর,पॅरापेट भिंत
পিতামাতার উপাদান,पालक साहित्य
নুড়ি ঢালাই প্লাস্টার,पेबल कास्ट प्लास्टर
পেডালফার,पेडलफर
পেডোকাল,पेडोकल
পেডোজেনেসিস,पेडोजेनेसिस
পেডোলজি,पेडॉलॉजी
পেডোস্ফিয়ার,पेडोस्फियर
পেনেট্রোমিটার,पेनेट्रोमीटर
পেন্ট ছাদ,पेन्ट छत
পেপটাইজিং এজেন্ট,पेप्टायझिंग एजंट
বিশ্লেষণের সময়কাল,विश्लेषण कालावधी
পারপেন্ড,पर्पेंड
শোষণ,शोषण
পিয়ার,घाट
পিলাস্টার,पिलास्टर
পিচ,खेळपट्टी
গল্পটা ছাদ,खड्डे पडलेले छत
সাধারণ কংক্রিট,साधा काँक्रीट
সমতল কোণ,विमान कोन
সমতল গজ,साधे अंगण
প্ল্যানসোল,प्लॅनसोल
প্লাস্টিকের সামঞ্জস্য,प्लास्टिकची सुसंगतता
প্লাস্টিসিটি,प्लॅस्टिकिटी
প্লাস্টিসিটি সূচক,प्लॅस्टिकिटी निर्देशांक
প্লাস্টিসিটি সীমা,प्लॅस्टिकिटी मर्यादा
প্লাস্টিসিটি পরিসীমা,प्लॅस्टिकिटी श्रेणी
প্লাটি গঠন,प्लेट रचना
প্লিন্থ,प्लिंथ
লাঙ্গলের মাটি,नांगरलेली माती
বরই পাথর,मनुका दगड
পডজোল,पॉडझोल
ইশারা,पॉइंटिंग
বহুভুজ প্রাচীর,बहुभुज भिंत
ছিদ্র স্থান,छिद्र जागा
বন্দর,बंदर
ইতিবাচক বায়ুচলাচল,सकारात्मक वायुवीजन
প্রাইরি মাটি,प्रेयरी माती
যথার্থতা,सुस्पष्टता
প্রাথমিক কণা,प्राथमिक कण
প্রিজম্যাটিক কাঠামো,प्रिझमॅटिक रचना
উৎপাদনশীল কাজ,उत्पादक कार्य
প্রকল্পের ন্যায্যতা,प्रकल्पाचे औचित्य
প্রতিরক্ষামূলক কাজ,संरक्षणात्मक कार्य
সিউডো-মাইসেলিয়াম,स्यूडो-मायसेलियम
পুডল,डबके
পাগিং,पगिंग
পিউমিস,प्युमिस
পাঞ্চিয়ন,पंचन
পুতুল,कठपुतळी
পুটলগ,पुटलॉग
পুটলগ ভারা,पुटलॉग मचान
পরিমাণ পরিমাপক,सामग्री सर्वेक्षक
খনির রস,खणाचा रस
কোয়ে,क्वे
রানী বন্ধ,राणी बंद
কুইন,Quoin
ভেলা ফাউন্ডেশন,तराफा पाया
রাকার,राकर
রেকিং,रेकिंग
রেকিং বন্ড,रॅकिंग बाँड
ঝলকানি raking,Raking फ्लॅशिंग
দ্রুত পরিবর্তনশীল প্রবাহ,वेगाने बदलणारा प्रवाह
পুনরুদ্ধারযোগ্য পেমেন্ট,वसूल करण्यायोग्य पेमेंट
লাল পৃথিবী,लाल पृथ्वी
লাল দোআঁশ,लाल चिकणमाती
রেগুলেটর,नियामक
রেগুর বা কালো তুলা মাটি,रेगुर किंवा काळी कापूस माती
পরিশোধের চুক্তি,परतफेड करार
অবশিষ্ট সংকোচন,अवशिष्ट संकोचन
অবশিষ্ট মাটি,अवशिष्ट माती
প্রকাশ করা,प्रकट करा
পিন প্রকাশ করুন,पिन प्रकट करा
টাই প্রকাশ,टाय प्रकट करा
রিজ,रिज
রিজ ক্যাপিং,रिज कॅपिंग
নদী,नदी
রোড স্টেড,रस्ता स्थिर
রুক্ষ প্লাস্টার,खडबडीत मलम
ধ্বংসস্তুপ,ढिगारा
ধ্বংসস্তূপ রাজমিস্ত্রি,भंगार दगडी बांधकाम
ধ্বংসস্তূপ দেয়াল,कचऱ्याची भिंत
চলমান পরিমাপ,चालू मोजमाप
নিরাপদ ভারবহন ক্ষমতা,सुरक्षित पत्करण्याची क्षमता
লবণ গ্লেজ,मीठ ग्लेझ
সাধারন মাপ,नमुन्याचा आकार
নমুনা বিতরণ,नमुना वितरण
নমুনা ত্রুটি,नमुना त्रुटी
বালি,वाळू
বালি ফিনিস,वाळू समाप्त
বালি হাত ছাঁচনির্মাণ,वाळू हात मोल्डिंग
স্যান্ডিং,सँडिंग
স্যাচুরেটেড মাটি,संतृप्त माती
স্যাচুরেটেড মাটির পেস্ট,संतृप्त माती पेस्ट
স্যাচুরেশন নির্যাস,संपृक्तता अर्क
স্যাচুরেশন শতাংশ,संपृक्तता टक्केवारी
সসার গম্বুজ,बशी घुमट
ভারা,मचान
শিস্ট,शिस्ट
সমুদ্র বন্দর,सागरी बंदर
গোপন নর্দমা,गुप्त गटार
দ্বিতীয়,दुसरा
অবক্ষেপণ বিশ্লেষণ,अवसादन विश्लेषण
আধা-কৃত্রিম বন্দর,अर्ध-कृत्रिम बंदर
আধা জোয়ার ডক,अर्ध भरतीची गोदी
বার্ধক্য,वृद्ध
শেল,शेल
চাদরের স্তূপ,पत्र्याचा ढीग
সংকোচন সীমা,संकोचन मर्यादा
শাটারিং,शटरिंग
সিয়ালিটিক মাটি,सियालिटिक माती
সিয়েরোজেম,सिएरोझेम
সিল,खिंडी
পলি,गाळ
একক ফ্লেমিশ রক্ত,सिंगल फ्लेमिश रक्त
একক দানাদার কাঠামো,एकल दाणेदार रचना
কঙ্কালের মাটি,कंकाल माती
স্কার্টিং,स्कर्टिंग
ঘুমের প্রাচীর,स्लीपर भिंत
পাশের নর্দমা,बाजूचे गटर
পিছলানো পদ্দতি,स्लाइड नियम
স্লিপ ডক,स्लिप डॉक
স্মোনিজা,स्मोनिझा
ভিজানো,भिजवणे
মৃত্তিকা সমিতি,मातीचा सहवास
মাটির শ্রেণী,माती वर्ग
মাটি জটিল,माती कॉम्प्लेक्स
মাটির সামঞ্জস্য,मातीची सुसंगतता
মাটির পরিবার,माती कुटुंब
মাটির ফ্রেমের কাজ,मातीच्या चौकटीचे काम
মাটির আদ্রতা,माती ओलावा
মাটির আর্দ্রতা বৃদ্ধি,जमिनीतील ओलावा वाढणे
মাটির আর্দ্রতার ঘাটতি,जमिनीतील आर्द्रतेची कमतरता
মাটির রূপবিদ্যা,माती आकारविज्ञान
মাটির কণা,मातीचा कण
মাটির পর্যায়,मातीचा टप्पा
মাটি প্রোফাইল,माती प्रोफाइल
মাটির প্রতিক্রিয়া,मातीची प्रतिक्रिया
মাটি আলাদা করে,माती वेगळी होते
মাটি সিরিজ,माती मालिका
মাটির সমাধান,माती समाधान
মাটির গঠন,मातीची रचना
মাটির গঠন,मातीचा पोत
মাটির ধরন,मातीचा प्रकार
সোলুম,सोलम
সর্পশন,वर्गीकरण
স্পালস,spalls
নির্দিষ্ট আয়ন প্রভাব,विशिष्ट आयन प्रभाव
বর্গাকার কোর্সকৃত ধ্বংসস্তূপের গাঁথনি,स्क्वेअर कोर्स्ड रबल चिनाई
বর্গাকার নিয়মিত কোর্সকৃত ধ্বংসস্তুপ গাঁথনি,चौरस नियमित कोर्स्ड मलबा दगडी बांधकाम
অটল প্রবাহ,स्थिर प्रवाह
ধাপে ধাপে ঝলকানি,स्टेप्ड फ्लॅशिंग
আঠালোতা,चिकटपणा
স্টিকিং পয়েন্ট,स्टिकिंग पॉइंट
পাথর,दगड
স্লপ হাত ছাঁচনির্মাণ,स्लॉप हात मोल्डिंग
চাবুক কবজা,पट्टा बिजागर
খড় বোর্ড,स्ट्रॉ बोर्ड
প্রবাহ,प्रवाह
মানসিক চাপ,ताण
স্ট্রেচার,स्ट्रेचर
স্ট্রেচার বন্ড,स्ट्रेचर बाँड
স্ট্রেচার কোর্স,स्ट्रेचर कोर्स
স্ট্রিং,स्ट्रिंग
স্ট্রিং কোর্স,स्ट्रिंग कोर्स
স্ট্রাকচার ফ্যাক্টর,रचना घटक
গঠন সূচক,रचना निर्देशांक
স্টুকো,स्टुको
স্টুড,स्टड
স্টাইলোবেট,स्टायलोबेट
সাব মাটি,पोट माती
উপ-কাঠামো,उप रचना
সমষ্টি বক্ররেখা,बेरीज वक्र
সূর্য মাইকা,सूर्य अभ्रक
সুপার স্ট্রাকচার,सुपर रचना
সার্ভেয়ার,सर्वेक्षक
এস-মান,एस-मूल्य
চোরাই মাল,स्वॅग
রাজহাঁসের ঘাড়,हंस मान
তাবারন্যাকল,तंबू
টেবিল হাত ছাঁচনির্মাণ,टेबल हँड मोल्डिंग
ট্যাঙ্কিং,टँकिंग
টেম্পিয়েত্তো,टेम्पिएट्टो
টেম্পারিং,टेंपरिंग
টেমপ্লেট,साचा
টেমপ্লেট,साचा
টেপিডারিয়াম,Tepidarium
পোড়ামাটির,टेराकोटा
টেরা রোজা,टेरा रोझा
টেরাজো,टेराझो
টেট্রা শৈলী,टेट्रा शैली
থ্রেশহোল্ড সীমা মান,थ्रेशोल्ड मर्यादा मूल्य
গলা,घसा
পাথরের মাধ্যমে,दगडातून
জোয়ার বেসিন,भरतीचे खोरे
টাই বার,टाई बार
টাই মরীচি,टाय बीम
টাই রড,टाय रॉड
তিরস,तीर्स
সহনশীলতা,सहिष्णुता
দাঁত তোলা,दात काढणे
উপরের মাটি বা পৃষ্ঠের মাটি,वरची माती किंवा पृष्ठभागाची माती
মোট ছিদ্র,एकूण सच्छिद्रता
ট্রেসরি,ट्रेसरी
ট্রেন প্রতিরোধ,ट्रेन प्रतिकार
ট্রান্সেপ্ট,ट्रान्सेप्ट
ক্রান্তিকালীন মাটি,संक्रमणकालीन माती
ট্রান্সম,ट्रान्सम
পরিবহন মাটি,वाहतूक माती
উপনদী,उपनदी
ট্রাইফোরিয়াম,ट्रायफोरियम
ট্রাইগ্লিফ,ट्रायग्लिफ
কাটা মাটি,कापलेली माती
উত্তাল প্রবাহ,अशांत प्रवाह
বুরুজ,बुर्ज
টাইম্পার সংখ্যা,Tympar संख्या
চূড়ান্ত ভারবহন ক্ষমতা,अंतिम पत्करण्याची क्षमता
চূড়ান্ত পিএইচ,अंतिम पीएच
এলোমেলো ধ্বংসস্তূপের গাঁথনি,uncoursed यादृच्छिक भंगार दगडी बांधकाम
আনকোর্সড বর্গাকার ধ্বংসস্তূপ রাজমিস্ত্রি,Uncoursed स्क्वेअर मलबे दगडी बांधकाम
আন্ডারক্রফট,अंडरक्रॉफ्ट
অপূর্ণ ছিদ্র,अपूर्ण सच्छिद्रता
অভিন্ন প্রবাহ,एकसमान प्रवाह
ইউনিট ফ্রেম টাইপ ভারা,युनिट फ्रेम प्रकार मचान
অনুৎপাদনশীল কাজ,अनुत्पादक काम
অসম্পৃক্ত মাটি,असंतृप्त माती
অস্থির প্রবাহ,अस्थिर प्रवाह
প্লাস্টিকের উপরের সীমা,वरची प्लास्टिक मर्यादा
উপত্যকা গটার,दरी गटर
ভল্ট,तिजोरी
ভেটেরিয়াম,व्हेटेरिअम
অবাধে বায়ু - চলাচলের ব্যবস্থা,वायुवीजन
ভেন্টিলেটর,व्हेंटिलेटर
ভেরামদাহ,वरमदाह
ভেস্টিবুল,वेस्टिब्युल
ভিলা,व्हिला
