ab initio,"ಹೊಸತಾಗಿ, ಮೊದಲಿನಿಂದ"
defence counsel,"ಪ್ರತಿವಾದಿ ವಕೀಲ, ಪ್ರತಿವಾದಿಸಲಹೆಗಾರ"
defence production,ರಕ್ಷಣಾ ಉತ್ಪಾದನೆ
defendant,ಪ್ರತಿವಾದಿ
defer,"ಮುಂದೂಡು, ಮುಂದಕ್ಕೆಹಾಕು"
deferred expenditure,ಮುಂದೂಡಿದ ಖರ್ಚು
defiance,"ಔದ್ಧತ್ಯ, ಪ್ರತಿಭಟನೆ, ಉಲ್ಲಂಘನೆ"
deficit,"ಕೊರತೆ, ಖೋತಾ"
deficit budget,"ಖೋತಾ ಬಜೆಟ್, ಖೋತಾ ಆಯ-ವ್ಯಯ ಪತ್ರ"
define,"ವ್ಯಾಖ್ಯಾನಿಸು, ಪರಿಭಾಷಿಸು, ಗೊತ್ತುಮಾಡು"
defy,"ಉಲ್ಲಂಘಿಸು, ನಿರಾಕರಿಸು, ವಿರೋಧಿಸು"
degradation,"ಹಿಂಬಡ್ತಿ, ಪದಾವನತಿ, ಕೆಳದರ್ಜೆಗಿಳಿಸುವುದು, ಅವನತಿ ಹೊಂದುವುದು"
degree,"ಪದವಿ, ಸ್ಥಾನ, ಮಟ್ಟ, ಪ್ರಮಾಣ"
dejure,"ವಿಧಿಬದ್ಧ, ಕಾನೂನು ಬದ್ಧ"
delay,"ವಿಳಂಬ, ವಿಳಂಬ ಮಾಡು, ಕಾಲಹರಣ"
delegate,"ಪ್ರತ್ಯಾಯೋಜಿಸು, ವಹಿಸಿಕೊಡು, ನಿಯೋಜಿಸು"
delegated authority,ಪ್ರತ್ಯಾಯೋಜಿತ ಪ್ರಾಧಿಕಾರ
delegation,"ಪ್ರತ್ಯಾಯೋಜನೆ, ನಿಯೋಜನೆ, ವಹಿಸಿಕೊಡುವುದು"
delegation of powers,"ಅಧಿಕಾರಗಳ ಪ್ರತ್ಯಾಯೋಜನೆ, ನಿಯೋಜನೆ"
delete,"ಬಿಟ್ಟುಬಿಡು, ತೆಗೆದು ಹಾಕು, ವಿಲೋಪಿಸು"
deletion,"ವಿಲೋಪನ, ಬಿಟ್ಟು ಬಿಡುವುದು, ತೆಗೆದು ಹಾಕುವುದು"
deliberately,ಉದ್ದೇಶ ಪೂರ್ವಕವಾಗಿ
deliberation,"ಚರ್ಚೆ, ವಿಮರ್ಶೆ, ಪರ್ಯಾಲೋಚನೆ"
delicencing,"ಪರವಾನಗಿ ತೆಗೆದು ಹಾಕುವುದು, ಅನುಮತಿ ಕಿತ್ತುಹಾಕುವುದು"
delimitation,"ಸೀಮಾ ನಿರ್ಣಯ, ಪರಿಮಿತಗೊಳಿಸುವುದು"
deliver,"ತಲುಪಿಸು, ಬಟವಾಡೆಮಾಡು, ವಹಿಸಿ ಬಿಡು, ಪ್ರಸವಿಸು, ಹೆರು"
delivery,"ಬಟವಾಡೆ, ಒಪ್ಪಿಸುವುದು, ಹೆರಿಗೆ, ಪ್ರಸವ"
demand,"ಬೇಡಿಕೆ, ಹಕ್ಕೊತ್ತಾಯ, ಮಾಗಣಿಮಾಡು, ತಗಾದೆ, ವಸೂಲಿ"
demand note,"ತಗಾದೆ ಟಿಪ್ಪಣಿ, ಮಾಗಣಿಟಿಪ್ಪಣಿ"
demarcation,"ಸೀಮಾನಿರ್ಣಯ, ಗಡಿನಿರ್ಣಯ, ಗಡಿಗುರುತು ಮಾಡುವುದು"
demi-official,ಅರೆಸರ್ಕಾರಿ
democracy,"ಪ್ರಜಾಪ್ರಭುತ್ವ, ಪ್ರಜಾಸತ್ತೆ"
demonstration,"ಪ್ರಾತ್ಯಕ್ಷಿಕೆ ಪ್ರದರ್ಶನ, ನಿರೂಪಣ"
demoralization,"ನೀತಿಗೆಡಿಸುವಿಕೆ, ನೈತಿಕ ಪತನ, ಮನೋಬಲಕುಗ್ಗುವುದು"
demurrage,"ವಿಳಂಬ ಶುಲ್ಕ, ಡೆಮರೇಜ್"
denial,"ನಿರಾಕರಣೆ, ಅಲ್ಲಗಳೆಯುವಿಕೆ"
denomination,"ಹೆಸರು, ವರ್ಗ"
deny,"ಅಲ್ಲಗಳೆ, ನಿರಾಕರಿಸು"
depart,"ಅಗಲು, ಹೊರಟುಹೋಗು, ನಿರ್ಗಮಿಸು"
department,ಇಲಾಖೆ
departmental,"ಇಲಾಖಾ, ಇಲಾಖೆಗೆ ಸಂಬಂಧಿಸಿದ"
departmental action,ಇಲಾಖಾ ಕ್ರಮ
departmental enquiry,ಇಲಾಖಾ ವಿಚಾರಣೆ
departmental investigation,"ಇಲಾಖಾ ತನಿಖೆ, ಇಲಾಖಾ ಪರಿಶೋಧನೆ"
departmental irregularity,ಇಲಾಖೆಯ ಅಕ್ರಮ
departmental library,ಇಲಾಖೆಯ ಗ್ರಂಥಾಲಯ
departmental negligence,"ಇಲಾಖೆಯ ಅಲಕ್ಷ್ಯ, ಇಲಾಖೆಯ ಅಜಾಗರೂಕತೆ"
departmental permission,ಇಲಾಖಾ ಅನುಮತಿ
departmental qualifying examination,ಇಲಾಖೆಯ ಅರ್ಹತಾ ಪರೀಕ್ಷೆ
departure,"ನಿರ್ಗಮನ, ಹೊರಡುವುದು, ಬಿಡುವುದು"
dependency certificate,ಅವಲಂಬನಾ ಪ್ರಮಾಣ ಪತ್ರ
dependent,"ಆಶ್ರಿತ, ಅವಲಂಬಿ, ಪರಾಧೀನ"
dependent children,"ಅವಲಂಬಿತ ಮಕ್ಕಳು, ಆಶ್ರಿತ ಮಕ್ಕಳು"
deploy,"ಅಭಿನಿಯೋಜನೆ, ವಿನ್ಯಾಸಗೊಳಿಸು"
deponent,"ಹೇಳಿಕೆದಾರ, ಸಾಕ್ಷಿದಾರ"
deportation,"ಗಡೀಪಾರು ಮಾಡುವುದು, ದೇಶ ಭ್ರಷ್ಟಮಾಡು"
depose,"ಹೇಳಿಕೆ ನೀಡು, ಸಾಕ್ಷ್ಯ ಹೇಳು, ಪದಚ್ಯುತಗೊಳಿಸು"
deposit,"ಠೇವಣಿ ಇಡು, ಠೇವಣಿ, ಠೇವಣಾತಿ, ಶೇಖರಣೆ"
depot,"ಡಿಪೋ, ಸಂಗ್ರಹಾಗಾರ, ಉಗ್ರಾಣ, ಮಳಿಗೆ"
depreciation,"ಅಪಮೌಲ್ಯನ, ಸವಕಳಿ, ಇಳಿತಾಯ"
depressed class,ದಲಿತ ವರ್ಗ
deprive,"ವಂಚಿತ, ತಪ್ಪಿಸು, ಕಿತ್ತುಕೊ"
deputation,ಪ್ರತಿನಿಯೋಜನೆ
deputation allowance,ಪ್ರತಿ ನಿಯೋಜನಭತ್ಯ
deputy,ಉಪ
deregistered,"ವಿನೋಂದಣೀಕರಿಸು, ನೋಂದಣೆತೆಗೆಯುವುದು"
dereliction of duty,ಕರ್ತವ್ಯಚ್ಯುತಿ/ಕರ್ತವ್ಯನಿರ್ಲಕ್ಷ್ಯ
dereservation,ಕಾದಿರಿಸಿರುವುದನ್ನು ತೆಗೆದು ಹಾಕುವುದು
derogation,"ನ್ಯೂನಗೊಳಿಸುವುದು, ಅಲ್ಪೀಕರಿಸುವುದು, ಹೀನಾಯಗೊಳಿಸುವುದು"
derogatory,"ಅಲ್ಪ, ಕೀಳು, ಹೀನಾಯಕರ"
derogatory remark,"ಕೀಳು ಅಭಿಪ್ರಾಯ, ಅಲ್ಪೀಕರಿಸಿದ ಷರಾ, ಹೀನಾಯ ಷರಾ"
descendant,"ವಂಶಜ, ಸಂತತಿಯವನು"
description,"ವರ್ಣನೆ, ವಿವರಣೆ, ಲಕ್ಷಣ"
deserving,"ಅರ್ಹ, ಪಾತ್ರ, ಯೋಗ್ಯ, ತಕ್ಕ"
design,"ರೂಪರೇಖೆ, ವಿನ್ಯಾಸ, ರಚನೆ, ಮಾದರಿ"
designate,"ಗೊತ್ತಾದ, ನಿಯಮಿತ, ಹೆಸರಿಸಿದ, ಸೂಚಿಸಿದ"
designation,"ಪದನಾಮ, ಅಂಕಿತ, ಹೆಸರು, ಹುದ್ದೆಯ ಹೆಸರು, ಅಭಿದಾನ"
despatch,"ರವಾನಿಸು, ಸಾಗುಹಾಕು, ಸಾಗಣೆ, ಪ್ರೇಷಣೆ, ಪ್ರೇಷಿಸು"
despatch note,ರವಾನೆ ಟಿಪ್ಪಣಿ
despatch register,ರವಾನೆ ಪುಸ್ತಕ
destination,"ಹೋಗಿ ಸೇರಬೇಕಾದ ಸ್ಥಳ, ಗಮ್ಯಸ್ಥಾನ, ಉದ್ದೇಶ, ಗುರಿ"
destitute,"ನಿರ್ಗತಿಕ, ನಿರಾಶ್ರಿತ"
detail,"ವಿವರಣೆ, ವಿಸ್ತಾರ, ವಿಸ್ತರ, ವಿಸ್ತಾರವಾಗಿ ಹೇಳು"
detailed,"ವಿವರ, ಸವಿಸ್ತಾರ"
detect,"ಪತ್ತೆಮಾಡು, ಕಂಡುಹಿಡಿ, ಗೊತ್ತು ಹಚ್ಚು"
detention,"ಸೆರೆ, ಬಂಧನ"
detenu,ಬಂಧಿ
determination,"ನಿಶ್ಚಯ, ನಿರ್ಧಾರ, ನಿರ್ಣಯ"
deterrence,"ಎದೆ ಗುಂದುವ, ಹೆದರಿಸುವ"
detriment,"ಹಾನಿ, ಅಹಿತ, ಬಾಧೆ"
detrimental,"ಕೆಡುಕು ಮಾಡುವ, ಹಾನಿಕರ, ಅಪಾಯಕರ, ನಷ್ಟಕರ, ಹಾನಿದಾಯಕ"
devaluation,ಅಪಮೌಲ್ಯನ
devastation,"ಹಾಳು ಮಾಡುವುದು, ನಾಶಗೊಳಿಸುವುದು, ಧ್ವಂಸಗೊಳಿಸುವುದು"
development,"ಅಭಿವೃದ್ಧಿ, ಬೆಳವಣಿಗೆ, ವಿಕಾಸ"
deviate,"ಮಾರ್ಗಬಿಟ್ಟು ಹೋಗು, ದಾರಿತಪ್ಪು, ತಿರುಗು, ಅಡ್ಡಮಾರ್ಗಕ್ಕೆ ಹೋಗು, ವಿಚಲಿಸು"
device,"ಉಪಾಯ, ಯುಕ್ತಿ, ತಂತ್ರ, ಮಾಟ, ರಚನೆ, ಸಾಧನ ಸಲಕರಣೆ"
devotion,"ನಿಷ್ಠೆ, ಆಸಕ್ತಿ"
diagnose,"ರೋಗ ನಿರ್ಣಯ ಮಾಡು, ರೋಗ ನಿದಾನ ಮಾಡು"
diagram,"ರೇಖಾ ಚಿತ್ರ, ರೇಖಾಕೃತಿ"
diary,"ದಿನಚರಿ, ಡೈರಿ"
dictation,ಹೇಳಿ ಬರೆಸುವುದು
dies non,ಕೆಲಸ ಮಾಡದ ದಿನ
diet,"ಪಥ್ಯ, ಆಹಾರಕ್ರಮ"
digest,"ನಿಬಂಧ, ಸಾರಸಂಗ್ರಹ, ಸಂಗ್ರಹ, ಅರಗಿಸು"
dignified,"ಗೌರವಾನ್ವಿತ, ಘನತೆಯುಳ್ಳ, ಗಣ್ಯ"
dignity,"ಗೌರವ, ಗಾಂಭೀರ್ಯ, ಘನತೆ, ಪದವಿ, ಅಂತಸ್ತು, ಮಹತ್ವ ಪ್ರತಿಷ್ಠೆ"
digression,"ವಿಷಯಾಂತರ ಮಾಡು, ಮಾತು ಬಿಟ್ಟು ಹೋಗುವ, ದಾರಿ ತಪ್ಪಿಹೋಗುವ"
dilatory,"ತಡ ಮಾಡುವ, ತಡವಾಗುವ, ಕಾಲಹರಣ ಮಾಡುವ, ವಿಳಂಬಕಾರಿ"
dilemma,"ಉಭಯ ಸಂಕಟ, ಇಕ್ಕಟ್ಟು, ಸಂದಿಗ್ಧ ಸನ್ನಿವೇಶ"
diligent,"ಪ್ರಜ್ಞೆಯ, ಶ್ರಮಶೀಲತೆಯ, ಕಾರ್ಯತತ್ಪರತೆಯ ಉದ್ಯೋಗಶೀಲತೆಯ"
dimension,"ಪರಿಮಾಣ, ಉದ್ದಳತೆ, ಅಳತೆ"
diploma,"ಅರ್ಹತಾ ಪತ್ರ, ಸನ್ನದು, ಡಿಪ್ಲೋಮಾ"
diplomacy,"ರಾಯಭಾರ ಕೌಶಲ, ಚತುರತೆ, ವ್ಯವಹಾರಚಾತುರ್ಯ"
diplomatic immunity,"ರಾಯಭಾರ ವಿನಾಯಿತಿ, ಉನ್ಮುಕ್ತಿ"
direct,"ನೇರ, ಪ್ರತ್ಯಕ್ಷ, ನಿರ್ದೇಶಿಸು, ಸಂಚಾಲನ ಮಾಡು, ಅಪ್ಪಣೆ ಕೊಡು, ಆಜ್ಞೆ ಮಾಡು"
direct competition,ನೇರ ಸ್ಪರ್ಧೆ
direct interview,ನೇರ ಸಂದರ್ಶನ
direct recruit,ನೆರ ನೇಮಕಾತಿ
direction,"ನಿರ್ದೇಶನ, ದಿಕ್ಕು"
directory,"ನಿರ್ದೇಶನ ಮಂಡಳಿ, ನಿರ್ದೇಶಿಕೆ"
disability,"ನ್ಯೂನತೆ, ಅನರ್ಹತೆ, ದೌರ್ಬಲ್ಯ, ವಿಕಲತೆ, ಅಂಗವಿಕಲತೆ"
disabled person,"ಅಶಕ್ತ, ಅಸಮರ್ಥ/ವ್ಯಕ್ತಿ"
disablement benefit,ಅಸಾಮರ್ಥ್ಯ ಲಾಭ
disadvantage,"ಅನಾನುಕೂಲ, ತೊಂದರೆ"
disagree,"ಅಸಮ್ಮತಿ, ಒಪ್ಪದಿರು, ಭಿನ್ನಾಭಿಪ್ರಾಯ"
disallow,"ನಿರಾಕರಿಸು, ಮಂಜೂರು ಮಾಡದಿರು, ತಳ್ಳಿಹಾಕು"
disallowed,"ನಿರಾಕರಿಸಿದ, ಮಂಜೂರು ಮಾಡದ, ತಳ್ಳಿ ಹಾಕಿದ"
disapproval,"ಅಸಮ್ಮತಿ, ಒಪ್ಪದಿರುವಿಕೆ, ಅನುಮೋದಿಸದಿರುವುದು"
disaster,"ವಿಪತ್ತು, ಅನರ್ಥ, ಅನಾಹುತ"
disaster management,"ಅನಾಹುತ ನಿರ್ವಹಣೆ, ವಿಪತ್ತಿನ ನಿರ್ವಹಣೆ"
disband,"ಸೈನ್ಯ ವಿಸರ್ಜನೆ ಮಾಡು, ವಿಸರ್ಜನೆ, ಮುರಿದುಹಾಕು"
disbursement,ಬಟವಾಡೆ
discard,"ತಿರಸ್ಕರಿಸು, ತ್ಯಜಿಸು, ನಿರಾಕರಿಸು, ಅಲಕ್ಷಿಸು"
discharge,"ಕಾರ್ಯ ನಿರ್ವಹಿಸು, ವಿಸರ್ಜಿಸು, ಬಿಡುಗಡೆ ಮಾಡು, ವಿಮೋಚನೆ ಮಾಡು"
discharge slip,ವಿಮೋಚನೆ ಚೀಟಿ
disciplinary action,ಶಿಸ್ತುಕ್ರಮ
disciplinary procedure,ಶಿಸ್ತಿನ ಪ್ರಕ್ರಿಯೆ
discipline,ಶಿಸ್ತು
disclaim,"ಹಕ್ಕನ್ನು ಬಿಟ್ಟುಬಿಡು, ತ್ಯಜಿಸು"
disclosure,"ಪ್ರಕಟ, ತಿಳಿಯ ಪಡಿಸಿದ, ಬಯಲು ಮಾಡಿದ"
discontent,ಅತೃಪ್ತ
discontinuance,"ಮುಂದುವರಿಸದಿರು, ನಿಲ್ಲುವಂತೆ ಮಾಡು, ನಿಲ್ಹಿಸಿಬಿಡು"
discontinue,"ಮುಂದುವರಿಸದಿರು, ನಿಲ್ಲುವಂತೆ ಮಾಡು, ನಿಲ್ಲಿಸಿಬಿಡು, ಬಿಟ್ಟು ಬಿಡು"
discord,"ಅಸಾಂಗತ್ಯ, ಹೊಂದಿಕೆಯಿಲ್ಲದಿರುವುದು, ಬಿಟ್ಟು ಬಿಡು"
discount,"ರಿಯಾಯಿತಿ, ಸೋಡಿ, ವಟ್ಟ, ಕಡಿಮೆ ಮಾಡು"
discover,"ಕಂಡು ಹಿಡಿ, ಶೋಧಿಸು, ಪತ್ತೆ ಮಾಡು, ಹೊರಗೆಡಹು"
discredit,ಅವಿಶ್ವಾಸಾರ್ಹ
discrepancy,"ವ್ಯತ್ಯಾಸ, ಹೊಂದಿಕೆಯಿಲ್ಲದಿರುವುದು, ಅಸಾಂಗತ್ಯ"
discretion,"ವಿವೇಚನೆ, ಸ್ವಂತ ವಿವೇಚನೆ"
discretionary grant,ವಿವೇಚನಾನುದಾನ
discretionary power,ವಿವೇಚನಾಧಿಕಾರ
discrimination,"ವಿವೇಚನೆ, ಭೇದ, ಪಕ್ಷಪಾತ"
discussion,"ಚರ್ಚೆ, ವಿವಾದ, ವಿಚಾರ ವಿನಿಮಯ, ಮಂಥನ"
dishonest,"ಅಪ್ರಾಮಾಣಿಕ, ಮೋಸದ, ನಿಜವಲ್ಲದ, ಠಕ್ಕಿನ, ವಂಚನೆಯ"
dishonour (a cheque),"ಅಮಾನ್ಯ ಗೊಳಿಸು, ಮಾನ್ಯಮಾಡದಿರು"
disintegration,"ವಿಘಟನೆ, ನಿಯೋಜನೆ"
disk,"ಡಿಸ್ಕ್, ತೆಳ್ಳನೆಯ ದುಂಡುತಗಡು, ಚಕ್ರ"
dislocation,"ಸ್ಥಳ ತಪ್ಪಿದ, ಸ್ಥಾನಪಲ್ಲಟಿಸಿದ"
disloyal,"ನಿಷ್ಠೆಯಿಲ್ಲದ, ಅಪ್ರಾಮಾಣಿಕ"
dismiss,"ಪದಚ್ಯುತಗೊಳಿಸು, ವಜಾ ಮಾಡು, ಉದ್ಯೋಗದಿಂದ ತೆಗೆದು ಹಾಕು"
dismissal,"ವಜಾ, ಪದಚ್ಯುತಿ, ಉದ್ಯೋಗದಿಂದ ತೆಗೆದ"
dismissal procedure,"ವಜಾ ಪ್ರಕ್ರಿಯೆ, ಪದಚ್ಯುತಿ ಪ್ರಕ್ರಿಯೆ"
disobey,ಆಜ್ಞಾ ಉಲ್ಲಂಘನ
disorder,"ಅವ್ಯವಸ್ಥೆ, ಶಾಂತಿಭಂಗ, ಅಶಾಂತಿ"
disorganise,"ಅವ್ಯವಸ್ಥಿತಗೊಳಿಸು, ಕ್ರಮಗೆಡಿಸು"
disparity,"ಅಸಮತೆ, ಭಿನ್ನತೆ, ತಾರತಮ್ಯ"
dispatch section,ರವಾನೆ ವಿಭಾಗ
dispensable,"ತೊಲಗಿಸುವ, ತ್ಯಜಿಸುವ, ಕೊಡುವ, ಬಿಟ್ಟುಬಿಡುವ"
disperse,"ವಿತರಿಸು, ಹಂಚು, ಚದರು"
displaced,"ಸ್ಥಾನ ಪಲ್ಲಟವಾದ, ಕದಲಿದ, ಸ್ಥಳಾಂತರಗೊಂಡ"
display,ಪ್ರದರ್ಶಿಸು
displeasure,"ಅಸಂತೋಷ, ಅಸಮಾಧಾನ"
disposal,"ಇತ್ಯರ್ಥ, ವಿಲೇವಾರಿ"
dispose of,ವಿಲೇ ಮಾಡು
disposition,"ಸ್ವಭಾವ, ಪ್ರವೃತ್ತಿ, ಮನೋಧರ್ಮ, ವಿನ್ಯಾಸ"
dispossess,"ಸ್ವಾಧೀನ ತಪ್ಪಿಸು, ಉಚ್ಚಾಟನೆ ಮಾಡು"
dispute,"ವಾದಿಸು, ವಾದ"
disqualification,ಅನರ್ಹತೆ
disregard,"ಉಪೇಕ್ಷೆ, ಅನಾದರ"
disruption,"ಅಗೌರವ, ಅವಮರ್ಯಾದೆ"
dissatisfaction,"ಅಸಮಾಧಾನ, ಅಸಂತೋಷ, ಅತೃಪ್ತಿ"
dissent,"ವಿಘಟಿಸು, ವಿಚ್ಛೇದಿಸು"
disservice,ಅಪಕಾರ
dissociate,"ಜೊತೆಬಿಡು, ಬೇರ್ಪಡು, ಬೇರ್ಪಡಿಸು, ಅಗಲಿಸು"
dissolution,ವಿಸರ್ಜನೆ
dissolve,"ರದ್ದು ಮಾಡು, ಕರಗಿಸು, ಲೀನವಾಗು, ವಿಸರ್ಜಿಸು"
distance learning,"ದೂರ ಶಿಕ್ಷಣ, ಅಂಚೆಶಿಕ್ಷಣ"
distillery,"ಭಟ್ಟಿ ಕಾರ್ಖಾನೆ, ಮದ್ಯದ ಕಾರ್ಖಾನೆ, ಡಿಸ್ಟಿಲರಿ"
distinct,"ವಿಶಿಷ್ಟ, ಸುಸ್ಪಷ್ಟ"
distinguish,"ವಿಭಿನ್ನತೆ, ಗಮನಿಸು"
distortion,"ವಿರೂಪಗೊಳಿಸಿದ, ಸತ್ವವಿಪರ್ಯಾಸಗೊಳಿಸಿದ"
distress,"ಜಪ್ತಿ, ಯಾತನೆ, ಸಂಕಟ"
distribute,"ವಿತರಣೆ ಮಾಡು, ಹಂಚು"
distribution,"ವಿತರಣೆ, ಹಂಚಿಕೆ"
district,ಜಿಲ್ಲೆ
district centre,ಜಿಲ್ಲಾ ಕೇಂದ್ರ
disturbance,"ಗಲಭೆ, ಕ್ಷೋಭೆ"
ditto,ಅದೇ
diversion,"ಮಾರ್ಗಪಲ್ಲಟ, ದಿಕ್ಕು ಬದಲಾಯಿಸುವುದು, ವಿಷಯಾಂತರ"
dividend,"ಡಿವಿಡೆಂಡು, ಲಾಭಾಂಶ"
division,"ವಿಭಾಗ, ಹಂಚಿಕೆ, ಪಾಲು"
divorce,"ಬಿಟ್ಟುಬಿಡು, ಸೋಡಚೀಟಿ ಕೊಡು, ವಿವಾಹ ವಿಚ್ಛೇದ, ವಿಚ್ಛೇದನ"
docket,"ವಿಷಯ ಸೂಚಿ, ಯಾದಿ"
doctor,"ವೈದ್ಯ, ಡಾಕ್ಟರ್"
document,ದಸ್ತಾವೇಜು
documentary evidence,"ದಾಖಲೆಯ ಸಾಕ್ಷಿ, ಪುರಾವೆ"
documentation,"ದಾಖಲಾತಿ, ದಾಖಲುಗೊಳಿಸುವುದು"
domicile,"ಅಧಿವಾಸ, ವಸತಿ, ನೆಲ, ಮನೆ"
domicile certificate,ಅಧಿವಾಸ ಪ್ರಮಾಣಪತ್ರ
dominant,ಪ್ರಬಲವಾದ
donation,"ದಾನ, ಕೊಡುಗೆ"
dossier,ಕಾಗದ ಪತ್ರಗಳ/ದಸ್ತಾವೇಜುಗಳ/ಕಟ್ಟು
doubtful,"ಸಂಶಯಾಸ್ಪದ, ಅನುಮಾನಾಸ್ಪದ, ಶಂಕಾಸ್ಪದ"
dove tailing,"ಒಟ್ಟಿಗೆಸೇರಿಸು, ಒಟ್ಟುಗೂಡಿಸು"
down grade,ಕೆಳಹಂತಕ್ಕಿಳಿಸುವುದು
draft,"ಕರಡು, ಬ್ಯಾಂಕ್ ಡ್ರಾಫ್ಟ್"
draft reply,"ಕರಡು ಜವಾಬು, ಕರಡು ಉತ್ತರ"
drastic measure,ತೀವ್ರಕ್ರಮ
draw,"ತೆಗೆ, ಸೆಳೆ, ಬರೆ, ಚಿತ್ರಬಿಡಿಸು, ಚೀಟಿ ತೆಗೆ"
drawer,"ಮೇಜೊಳಗಿನ ಖಾನೆ, ಸಂಬಳ ತೆಗೆಯುವ ಅಧಿಕಾರ, ಧನಾದೇಶಕ"
drawing,"ರೇಖಾಚಿತ್ರ, ರೇಖಾಕೃತಿ, ನಕ್ಷೆ, ಹಣತೆಗೆಯುವುದು"
drought,"ಕ್ಷಾಮ, ಬರ, ಅನಾವೃಷ್ಟಿ"
dry promotion,ನಿರ್ಲಾಭಪದೋನ್ನತಿ
dual charge,"ದ್ವಂದ್ವ ಪ್ರಭಾರ, ಎರಡು ಆಪಾದನೆ"
dual citizenship,ದ್ವಿಪೌರತ್ವ
due,"ತಕ್ಕ, ಉಚಿತ, ಯುಕ್ತ"
due diligence,"ಯಥಾಕ್ಷಮತೆ, ತಕ್ಕತತ್ಪರತೆ"
dues,ಬಾಕಿ
duly,"ಯಥೋಚಿತ, ಯಥಾ ಯೋಗ್ಯ, ಕ್ರಮವಾಗಿ, ಸರಿಯಾಗಿ"
duplicate,"ದ್ವಿಪ್ರತಿ, ದ್ವಿಪ್ರತಿ ಮಾಡು"
duration,ಕಾಲಾವಧಿ
duress,ಬಲಾತ್ಕಾರ
duty,"ಕರ್ತವ್ಯ, ಕೆಲಸ, ತೆರಿಗೆ"
duty allowance,ಕರ್ತವ್ಯ ಭತ್ಯೆ
duty chart,"ಕರ್ತವ್ಯ, ಕೆಲಸದ ಚಾರ್ಟ್"
duty leave,ಕೆಲಸದ ರಜೆ
duty room,"ಕರ್ತವ್ಯದ ಕೊಠಡಿ, ಕೆಲಸದ ಕೊಠಡಿ"
dying declaration,ಮೃತ್ಯುಘೋಷಣೆ
dynamics,ಚಲನಶಾಸ್ತ್ರ
earmark,ಗೊತ್ತು ಪಡಿಸಿದ
earned leave,"ಅರ್ಜಿತ ರಜೆ, ಗಳಿಕೆ ರಜೆ"
earnings,"ದುಡಿಮೆಗಳು, ಸಂಪಾದನೆ"
eco-friendly,ಪರಿಸರ-ಸ್ನೇಹಿ
ecology,ಪರಿಸರ
economic,ಆರ್ಥಿಕ
economical exploitation,ಆರ್ಥಿಕ ಶೋಷಣೆ
economy,"ಮಿತವ್ಯಯ, ಅರ್ಥವ್ಯವಸ್ಥೆ"
economy class,ಮಿತವ್ಯಯ ವರ್ಗ
editing,ಗ್ರಂಥ ಸಂಪಾದನೆ
edition,ಆವೃತ್ತಿ
editorial,ಸಂಪಾದಕೀಯ
education,"ವಿದ್ಯೆ, ಶಿಕ್ಷಣ, ವಿದ್ಯಾಭ್ಯಾಸ"
educational career,ಶೈಕ್ಷಣಿಕ ವೃತ್ತಿ
educational institute,ಶಿಕ್ಷಣ ಸಂಸ್ಥೆ
educational qualification,ಶೈಕ್ಷಣಿಕ ಅರ್ಹತೆ
effect,"ಪರಿಣಾಮ, ಕಾರ್ಯ, ಆಚರಣೆ, ಉಂಟುಮಾಡು, ಸಾಧನೆ"
effective,"ಪರಿಣಾಮಕಾರಿ, ಚಾಲ್ತಿಯಲ್ಲಿರುವ"
effective date,"ಜಾರಿಗೆ ಬರುವ ದಿನಾಂಕ, ಕಾರ್ಯಗತವಾಗುವ ದಿನಾಂಕ"
effects,"ಸಾಮಾನುಗಳು, ಸರಕು, ಪರಿಣಾಮಗಳು"
efficacy,ಪರಿಣಾಮಕಾರಿತ್ವ
efficiency,"ಸಾಮರ್ಥ್ಯ, ದಕ್ಷತೆ"
efficient,ಸಮರ್ಥ
ejectment,"ಉಚ್ಚಾಟಿಸು, ಹೊರದೂಡು, ಹೊರತಳ್ಳು"
elaborate,"ವಿವರವಾಗಿ, ವಿಶದವಾಗಿ, ವಿಸ್ತಾರವಾಗಿ"
elapse,"ಕಾಲಮೀರಿಹೋಗು, ಕಾಲ ಕಳೆದು ಹೋಗು"
elected representative,ಚುನಾಯಿತ ಪ್ರತಿನಿಧಿ
election,ಚುನಾವಣೆ
electoral college,ಮತದಾರರ ಗಣ
electorate,ಮತದಾರ ಮಂಡಳಿ
electrification,ವಿದ್ಯುದೀಕರಣ
electronic media,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಮಾಧ್ಯಮ
elementary,"ಪ್ರಾಥಮಿಕ, ಮೂಲಕೂಪದ"
eligibility,ಅರ್ಹತೆ
eligibility test,ಅರ್ಹತಾ ಪರೀಕ್ಷೆ
elimination,ತೆಗೆದು ಹಾಕುವಕ್ರಿಯೆ
eloquence,ವಾಗ್ಮಿತೆ
embarrass,"ಇಕ್ಕಟ್ಟಿಗೆ ಸಿಲುಕು, ತಬ್ಬಿಬ್ಬುಗೊಳ್ಳು"
embezzlement,"ಮೋಸದಿಂದ ಸ್ವಂತಕ್ಕೆ ಬಳಸಿಕೊಳುವುದು, ದುರುಪಯೋಗ ಪಡಿಸಿಕೊಳ್ಳುವುದು, ಅಕ್ರಮ ವಿನಿಯೋಗ"
emblem,ಲಾಂಛನ
embossing seal,"ಕೆತ್ತಿದ ಠಸ್ಸೆ, ಉಬ್ಬಚ್ಚಿದ ಠಸ್ಸೆ"
