Punjabi,Assamese
Communard,কমিউনাৰ্ড
ਕਨਕੋਰਡੈਟ,কনকৰ্ডেট
ਕਨਕੋਰਡੈਟ,কনকৰ্ডেট
ਕੰਡੋਟੀਏਰ,কণ্ডোটিয়েৰ
ਪੁਸ਼ਟੀਕਰਣ ਕਾਰਟਾਰਮ,নিশ্চিতকৰণ Cartarum
ਟਕਰਾਅ,বিবাদ
ਮੰਡਲੀ,মণ্ডলী
ਜਿੱਤਣ ਵਾਲਾ ਰਾਜ,বিজয়ী ৰাষ্ট্ৰ
ਜੇਤੂ,বিজয়ী
ਵਿਜੇਤਾ,কনকিষ্টাডৰ
ਕੌਸਿਲਿਅਮ,কনচিলিয়াম
ਕੰਸਿਸਟਰੀ,কনচিষ্টৰী
ਸਾਜ਼ਿਸ਼,ষড়যন্ত্ৰ
ਸਾਜ਼ਿਸ਼,ষড়যন্ত্ৰ
ਕੌਂਸਲੇਟ,কনছুলেট
ਸਲਾਹ-ਮਸ਼ਵਰੇ ਦੀ ਕਿਤਾਬ,কনছুলেচন কিতাপ
ਮਹਾਂਦੀਪੀ ਪ੍ਰਣਾਲੀ,মহাদেশীয় ব্যৱস্থা
ਕਨਵੈਨਸ਼ਨ ਸੰਸਦ,অধিৱেশন সংসদ
ਕਾਪਰਹੈੱਡਸ (=ਪੀਸ ਡੈਮੋਕਰੇਟਸ),কপাৰহেড (=শান্তি গণতন্ত্ৰ)
ਕਾਪੀਹੋਲਡ,কপিহ&#39;ল্ড
ਘੇਰਾਬੰਦੀ,ঘেৰাও কৰা
ਕਰੋਨਾ,কৰ&#39;না
ਤਾਜਪੋਸ਼ੀ,ৰাজ অভিষেক
ਤਾਜਪੋਸ਼ੀ ਪੱਥਰ,ৰাজ অভিষেক শিল
ਕਾਰਪਸ,কৰ্পাছ
Corsair,কৰ্চেয়াৰ
Corsair,কৰ্চেয়াৰ
ਕੋਰਸੇਟ (=ਕੋਰਸਲੇਟ),কৰ্চেট (=কোৰ্চলেট)
ਕੋਰਟੇਸ,কৰ্টেছ
ਕੋਟਰ (=ਕੋਟੀਅਰ),কোটাৰ (=cottier)
ਕੋਟਰ (=ਕੋਟੀਅਰ),কোটাৰ (=cottier)
ਪੈਲੇਟਿਨੇਟ ਦੀ ਗਿਣਤੀ ਕਰੋ,কাউন্ট পেলেটিনেট
ਦੇਸ਼ ਦਾ ਘਰ,দেশৰ ঘৰ
ਕਾਉਂਟੀ,কাউন্টি
ਕਾਉਂਟੀ ਬੋਰੋ,কাউন্টি বৰো
ਕਾਉਂਟੀ ਅਦਾਲਤਾਂ,কাউন্টি আদালত
ਕਾਉਂਟੀ ਪੈਲਾਟਾਈਨ,কাউন্টি পেলেটিন
ਅਦਾਲਤ,আদালত
ਅਦਾਲਤ,আদালত
ਅਦਾਲਤੀ ਸਰਕੂਲਰ,আদালতৰ চক্ৰান্তমূলক
ਅਦਾਲਤੀ ਸ਼ਿਸ਼ਟਾਚਾਰ,আদালতৰ শিষ্টাচাৰ
ਦਰਬਾਰੀ,কৰ্টিয়াৰ
ਕੇਸੇਸ਼ਨ ਦੀ ਅਦਾਲਤ,কেচেচনৰ আদালত
ਕੋਰਟ ਆਫ਼ ਡਾਇਰੈਕਟਰਜ਼ (EIC),সঞ্চালক আদালত (EIC)
ਮਾਲਕਾਂ ਦੀ ਅਦਾਲਤ,মালিকৰ আদালত
ਦਰਬਾਰੀ ਕਵੀ,আদালতৰ কবি
ਨੇਮਬੱਧ ਕੈਮਰੋਨੀਅਨ,চুক্তিবদ্ধ কেমেৰনিয়ানসকল
ਤਾਜ,মুকুট
ਤਾਜ,মুকুট
ਤਾਜ,মুকুট
ਤਾਜ ਜ਼ਮੀਨ,মুকুটৰ ভূমি
ਤਾਜ ਜ਼ਮੀਨ,মুকুটৰ ভূমি
ਕ੍ਰਾਊਨ ਪ੍ਰਿੰਸ,ক্ৰাউন প্ৰিন্স
ਕਰੂਸੇਡ,ক্ৰুছেড
ਕਰੂਸੇਡਰ,ক্ৰুছেডাৰ
ਕ੍ਰਿਪਟੋਗ੍ਰਾਮ,ক্ৰিপ্টোগ্ৰাম
ਕੁਇਰਾਸ,কুইৰাছ
ਕੁਇਰਾਸੀਅਰ,কুইৰাচিয়াৰ
ਪੰਥ ਦੇਵਤਾ,কাল্ট দেৱতা
ਕਰਿਆ,কুৰিয়া
ਕਰਿਆ,কুৰিয়া
ਜ਼ਾਰਵਾਦ,জাৰবাদ
ਹਨੇਰਾ ਮਹਾਂਦੀਪ,অন্ধকাৰ মহাদেশ
ਨਿਰਣੇ ਦਾ ਦਿਨ,বিচাৰৰ দিন
ਨਿਰਣੇ ਦਾ ਦਿਨ,বিচাৰৰ দিন
ਡੀਨ,ডিন
ਦਹਾਕਾ,দশক
ਡੇਨਾਰੀਅਸ,ডেনাৰিয়াছ
ਬਰਖਾਸਤ ਬਾਦਸ਼ਾਹ,পদচ্যুত ৰজা
ਉਜਾੜ,লুটপাত কৰা
ਬਰਬਾਦੀ,লুণ্ঠন
Dethrone,ডিথ্ৰন
ਡਾਇਡੇਮ,ডায়েডেম
ਡਾਇਡੇਮ,ডায়েডেম
ਡਾਇਡੇਮ,ডায়েডেম
ਡਾਇਸੀਆ,ডায়েচিয়া
ਡਿਕੈਸਟਰੀਅਮ,ডিকাষ্টেৰিয়াম
ਦਿਲੁਵੀਆਵਾਦੀ,ডিলুভিয়ালিষ্ট
ਡਾਇਓਸਿਸ,ডাইচ
ਡਾਇਓਸਿਸ,ডাইচ
ਨਿਰਦੇਸ਼ਕ (=ਡਾਇਰੈਕਟਰੀ),ডাইৰেক্টৰ (=নিৰ্দেশনা)
ਨਿਰਦੇਸ਼ਕ (=ਡਾਇਰੈਕਟਰੀ),ডাইৰেক্টৰ (=নিৰ্দেশনা)
ਦਿਰਹਾਮ,দিৰহাম
ਬੇਵਫ਼ਾ,অবিশ্বাসী
ਬੇਵਫ਼ਾ,অবিশ্বাসী
ਭੁੱਲ ਦਾ ਸਿਧਾਂਤ,লেপছৰ মতবাদ
ਦਸਤਾਵੇਜ਼,নথিপত্ৰ
ਦਸਤਾਵੇਜ਼ੀ ਸਬੂਤ,নথিপত্ৰৰ প্ৰমাণ
ਡੋਮੇਸਡੇ ਬੁੱਕ,ডমছডে বুক
Constantine ਦਾ ਦਾਨ,কনষ্টেণ্টাইনৰ দান
ਕਿਆਮਤ,ডুম
ਦਾਜ ਦੀ ਰਾਣੀ,বিধৱা ৰাণী
ਡਰੈਗਨ,ড্ৰেগুন
ਡਰੋਮੇਡੇਰੀਅਨ,ড্ৰ&#39;মেডাৰিয়ান
ਡਰੋਮੇਡਰੀ,ড্ৰমেডাৰী
ਡਰੋਮੰਡ,ড্ৰমণ্ড
ਦੋਹਰਾ,দ্বৈত
ਦੋਹਰਾ ਗਠਜੋੜ,দ্বৈত মিত্ৰতা
ਦੋਹਰੀ entente,ডুৱেল এণ্টেণ্ট
ਦੋਹਰੀ ਪ੍ਰਣਾਲੀ (= ਦੋਹਰੀ ਸਰਕਾਰ),দ্বৈত ব্যৱস্থা (=দ্বিতীয় চৰকাৰ)
ਡਿਊਕ,ড্যুক
ਡੂਮਾ,ডুমা
ਬੌਣਾ ਅਵਤਾਰ,বামন অৱতাৰ
ਰਾਜਵੰਸ਼,বংশ
ਰਾਜਵੰਸ਼,বংশ
ਇੱਲ,ঈগল
ਬਜ਼ੁਰਗ ਆਦਮੀ,এলডাৰ মানুহ
ਅਰਲ,আৰ্ল
ਅਰਲਡਮ,আৰ্লডম
ਸ਼ੁਰੂਆਤੀ ਗੁਪਤਾ,আদিম গুপ্তাসকল
ਸ਼ੁਰੂਆਤੀ (ਇਤਿਹਾਸਕ) ਸਾਈਟਾਂ,প্ৰাথমিক (ঐতিহাসিক) স্থান
ਸ਼ੁਰੂਆਤੀ ਵੈਦਿਕ ਕਾਲ,প্ৰাথমিক বৈদিক যুগ
ਉਪਦੇਸ਼ਕ,ইক্লেছিয়া
ਬਹਾਲੀ ਦਾ ਹੁਕਮ,পুনৰুদ্ধাৰৰ আদেশ
ਅੱਠ ਗੁਣਾ ਮਾਰਗ,আঠ ভাঁজ পথ
ਬਜ਼ੁਰਗ,বয়োজ্যেষ্ঠসকল
ਬਜ਼ੁਰਗ ਰਾਜਨੇਤਾ (=ਜੀਨਰੋ),জ্যেষ্ঠ ৰাষ্ট্ৰনেতা (=genro)
ਹਾਥੀ ਬੱਕਰਾ,হাতী গোড
ਗਿਆਰਾਂ ਸਾਲਾਂ ਦਾ ਜ਼ੁਲਮ,এঘাৰ বছৰৰ অত্যাচাৰ
ਐਲੀਸੀ (=ਐਲੀਸੀ),এলিছাই (=এলিচি)
ਘੇਰਾਬੰਦੀ ਅੰਦੋਲਨ,ঘেৰাও আন্দোলন
ਐਨਸਾਈਕਲਿਕ,এনচাইক্লিকেল
ਐਨਸਾਈਕਲੋਪੀਡਿਸਟ ਲਹਿਰ,বিশ্বকোষবাদী আন্দোলন
ਐਂਟੇਨਟੇ,এন্টেন্টে
ਏਨਟੇਂਟ ਕੋਰਡਿਆਲ,এন্টেন্টে কৰ্ডিয়েল
ਰਾਜਗੱਦੀ,এনথ্ৰন
ਦਲ,এনট্যুৰেজ
ਏਫ਼ੋਦ,ইফোদ
ਈਫੋਰ,এফোৰ
ਮਹਾਂਕਾਵਿ ਯੁੱਗ,মহাকাব্যিক যুগ
ਮਹਾਂਕਾਵਿ ਹੀਰੋ,মহাকাব্যিক নায়ক
ਐਪੀਗ੍ਰਾਫ,এপিগ্ৰাফ
ਐਪੀਸਕੋਪੇਸੀ,এপিস্কোপেচি
ਐਪੀਸਕੋਪੇਟ,এপিস্কোপেট
ਪ੍ਰਸੰਗ,খণ্ড
ਯੁਗ,যুগ
ਯੁੱਗ ਬਣਾਉਣ ਵਾਲੀ ਘਟਨਾ,যুগ সৃষ্টিকাৰী অনুষ্ঠান
ਯੁਗ-ਰਚਨ ਵਾਲਾ ਮਨੁੱਖ,যুগ সৃষ্টিকাৰী মানুহ
ਉਪਨਾਮ,ইপ&#39;নিম
ਇਕਵੇਰੀ,ইকুৱেৰী
ਇਕਵੇਰੀ,ইকুৱেৰী
ਘੋੜਸਵਾਰ ਦੀ ਮੂਰਤੀ,অশ্বাৰোহীৰ মূৰ্তি
ਯੁੱਗ,যুগ
ਅਰਗਸਟੁਲਮ,এৰগাষ্টুলাম
ਯੂਕੇਰਿਸਟ,ইউখাৰিষ্ট
ਈਵੈਂਜਲਿਜ਼ਮ,ইভানজেলিজম
ਖੁਸ਼ਖਬਰੀ ਦੀ ਲਹਿਰ,ইভানজেলিকেল আন্দোলন
ਪ੍ਰਚਾਰਕ,ইভানজেলিষ্ট
Exarch,Exarch
Exilarch,এক্সাইলাৰ্ক
ਫਲੰਗਿਸਟ,ফেলেংগিষ্ট
ਪਿਤਾ ਦੀ ਜ਼ਮੀਨ,পিতৃ ভূমি
ਪਿਤਾ ਦੀ ਜ਼ਮੀਨ,পিতৃ ভূমি
ਫੇਰੀਆ,ফেৰিয়া
ਫੈਟਿਸ਼,ফেটিছ
ਜਾਗੀਰਦਾਰੀ,সামন্তীয় হোল্ডিংছ
ਜਾਗੀਰਦਾਰੀ (=ਸਾਮੰਤੀ ਸਿਸਟਮ),সামন্তবাদ (=সামন্তীয় ব্যৱস্থা)
ਜਗੀਰੂ ਸਿਸਟਮ,সামন্তীয় ব্যৱস্থা
ਜਾਗੀਰਦਾਰ,সামন্তীয়
ਫਿਦੀ ਡਿਫੈਂਸਰ (= ਵਿਸ਼ਵਾਸ ਦਾ ਰਖਵਾਲਾ),ফিডেই ডিফেন্সৰ (=বিশ্বাসৰ ৰক্ষক)
Fief,ফিফ
ਫੀਲਡ ਸਿਸਟਮ,ক্ষেত্ৰ ব্যৱস্থা
ਪੰਦਰਵਾਂ ਟੈਕਸ,পোন্ধৰতম কৰ
ਚਿੱਤਰ ਸਿਰ,চিত্ৰৰ মূৰ
ਫਿਨ ਡੀ ਸੀਕਲ,ফিন ডি ছিকেল
ਅੱਗ ਖਾਣ ਵਾਲਾ,জুই খোৱা
ਪੰਜ ਮੀਲ ਐਕਟ,পাঁচ মাইল আইন
ਝੰਡਾ,পতাকা
ਫਲੇਮੇਨ ਡਾਇਲਿਸ,ফ্লেমেন ডায়েলিছ
ਫਲੇਮੇਨ ਮਾਰਸ਼ਲਿਸ,ফ্লেমেন মাৰ্চিয়ালিছ
ਬਲਦੀ ਮਸ਼ਾਲ,জ্বলি থকা টৰ্চ
ਫਲੈਂਕ,ফ্লেংক
ਫਲੈਂਕਿੰਗ ਅੰਦੋਲਨ,ফ্লেংকিং মুভমেণ্ট
ਵਧਦੀ ਹੋਈ ਸੱਭਿਅਤਾ,ফুলি উঠা সভ্যতা
ਪ੍ਰਵਾਹਵਾਦੀ ਵਿਸ਼ਵਾਸ,নদীবাদী বিশ্বাস
ਲੋਕ ਦੇਵਤਾ,লোক দেৱতা
ਲੋਕ ਦੇਵੀ,লোক দেৱী
ਲੋਕ ਯਾਦ,লোক স্মৃতি
ਲੋਕ-ਕਥਾ (=ਲੋਕ ਕਥਾ),লোক মিথ (=folklore)
ਚਾਰਾ,খাদ্য বিচাৰি ফুৰা
ਧੜਾਧੜ,আক্ৰমণ
ਪਹਿਲਾਂ ਤੋਂ,পূৰ্বপুৰুষ
ਪੂਰਵਜ,পূৰ্বপুৰুষ
ਅਗਲਾ,আগশাৰীৰ
ਉਦਾਸ ਉਮੀਦ,নিঃসংগ আশা
ਰਚਨਾਤਮਕ ਪੜਾਅ,গঠনমূলক পৰ্যায়
ਕਿਲਾ,দুৰ্গ
ਕਿਲਾਬੰਦੀ,দুৰ্গ নিৰ্মাণ
ਕਿਲਾਬੰਦ ਸ਼ਹਿਰ,দুৰ্গম চহৰ
ਕਿਲ੍ਹਾ,দুৰ্গ
Fortuna,ফৰ্তুনা
ਫੋਰਮ ਰੋਮਨਮ,ফ&#39;ৰাম ৰোমানম
ਫਰਾਂਸਿਸਕਨ,ফ্ৰান্সিস্কান
ਫਰੈਂਕਲਿਨ,ফ্ৰেংকলিন
ਭਰਾਤਰੀ ਜੰਗ,ভাতৃঘাতী যুদ্ধ
ਮੁਫ਼ਤ ਚਰਚ,ফ্ৰী চাৰ্চ
ਫਰੀਹੋਲਡਰ,ফ্ৰীহোল্ডাৰ
ਫ੍ਰੀਲਾਂਸ ਸਿਪਾਹੀ,ফ্ৰীলান্স সৈনিক
ਫ੍ਰੀਲਾਂਸ ਸਿਪਾਹੀ,ফ্ৰীলান্স সৈনিক
ਫ੍ਰੀਮੈਨ,ফ্ৰীমেন
ਫ੍ਰੀਮੈਨ,ফ্ৰীমেন
ਫ੍ਰੀਪਾਸ,ফ্ৰীপাছ
ਫਰਾਂਸੀਸੀ ਕ੍ਰਾਂਤੀ,ফৰাচী বিপ্লৱ
ਤਪੱਸਿਆ,ফ্ৰাইয়াৰ
ਫਰਿਆਸੀਅਨ ਕਿਰਾਏਦਾਰ,ফ্ৰিয়াছিয়ান ভাড়াতীয়া
ਸਰਹੱਦੀ ਆਦਮੀ,সীমান্ত&#39;এ মানুহ
ਗੈਲੀਓਨ,গেলিয়ন
ਗੈਲੀਕਨ (=ਗੈਲੀਕਨਿਸਟ),গ্যালিকান (=গ্যালিকানিষ্ট)
ਗੈਲੀਕਨਵਾਦ,গ্যালিকানিজম
ਗੈਰੀਸਨ,গেৰিছন
ਗੌਲ,গল
ਗੌਂਟਲੇਟ,গাউণ্টলেট
ਗੌਂਟਲੇਟ,গাউণ্টলেট
ਗਾਜ਼ੇਬੋ,গেজেবো
ਗਾਜ਼ੇਬੋ,গেজেবো
ਗਾਜ਼ੇਬੋ,গেজেবো
ਵੰਸ਼ਾਵਲੀ ਇਤਿਹਾਸ,বংশাৱলীৰ ইতিহাস
ਵੰਸ਼ਾਵਲੀ ਰਿਕਾਰਡ,বংশাৱলীৰ ৰেকৰ্ড
ਵੰਸ਼ਾਵਲੀ ਸਾਰਣੀ,বংশাৱলীৰ তালিকা
ਵੰਸ਼ਾਵਲੀ ਰੁੱਖ,বংশাৱলীৰ গছ
ਵੰਸ਼ਾਵਲੀ,বংশাৱলী
ਵੰਸ਼ਾਵਲੀ,বংশাৱলী
ਪੀੜ੍ਹੀ,প্ৰজন্ম
ਨਸਲਕੁਸ਼ੀ,গণহত্যা
ਗ਼ੈਰ-ਯਹੂਦੀ,অনা-ইহুদী
ਗ਼ੈਰ-ਯਹੂਦੀ,অনা-ইহুদী
ਗ਼ੈਰ-ਯਹੂਦੀ,অনা-ইহুদী
ਗ਼ੈਰ-ਯਹੂਦੀ,অনা-ইহুদী
ਘੇਟੋ,গেট্টো
ਘੇਟੋ,গেট্টো
ਗਿੱਬਟ,গিবেট
ਗਿਲਡ (=ਗਿਲਡ),গিল্ড (=গিল্ড)
ਗਲੇਡੀਏਟਰ,গ্লেডিয়েটাৰ
ਸ਼ਾਨਦਾਰ ਇਨਕਲਾਬ,গৌৰৱময় বিপ্লৱ
ਗੋਲਡਨ ਹੋਰਡ,গোল্ডেন হৰ্ড
ਮਹਾਨ ਗਠਜੋੜ,গ্ৰেণ্ড এলায়েন্স
ਗ੍ਰੈਂਡੀ,গ্ৰেণ্ডী
ਗ੍ਰੈਂਡ ਸਾਈਨਰ,গ্ৰেণ্ড চাইন&#39;ৰ
ਗ੍ਰੈਂਡ ਸਾਈਨਰ,গ্ৰেণ্ড চাইন&#39;ৰ
ਮਹਾਨ ਸਿਵਲ ਯੁੱਧ,মহান গৃহযুদ্ধ
ਮਹਾਨ ਵਿਦਾਇਗੀ (ਬੁੱਧ ਦਾ),মহান প্ৰস্থান (বুদ্ধৰ)
ਗ੍ਰੇਟਰ ਇੰਡੀਆ,বৃহত্তৰ ভাৰত
ਮਹਾਨ Hellas,গ্ৰেট হেলাছ
ਮਹਾਨ ਭੀੜ,গ্ৰেট হৰ্ড
ਮਹਾਨ ਤਿਆਗ (= ਮਹਾਨ ਰਵਾਨਗੀ),মহান পৰিত্যাগ (=মহান প্ৰস্থান)
ਮਹਾਨ ਸੀਲ,গ্ৰেট ছিল
ਮਹਾਨ ਟ੍ਰੈਕ,গ্ৰেট ট্ৰেক
ਮਹਾਨ ਵਾਹਨ,গ্ৰেট ভেহিকেল
ਚੀਨ ਦੀ ਮਹਾਨ ਕੰਧ,চীনৰ গ্ৰেট ৱাল
ਗ੍ਰੀਵ,গ্ৰেভ
ਗਾਰਡ-ਚੰਬਰ,গাৰ্ড-চেম্বাৰ
ਗਾਰਡ-ਚੰਬਰ,গাৰ্ড-চেম্বাৰ
ਗਾਰਡ-ਚੰਬਰ,গাৰ্ড-চেম্বাৰ
ਗੁਪਤਾ,গুপ্তাছ
ਹੈਜੀਓਗ੍ਰਾਫੀ,হেজিঅ’গ্ৰাফী
ਹੈਜੀਓਗ੍ਰਾਫੀ,হেজিঅ’গ্ৰাফী
ਹੈਜੀਓਲੋਜੀ,হেজিঅ’লজি
ਹੈਜੀਓਲੋਜੀ,হেজিঅ’লজি
ਨਿੱਜੀ ਦਰਸ਼ਕਾਂ ਦਾ ਹਾਲ,ব্যক্তিগত দৰ্শকৰ হল
ਜਨਤਕ ਦਰਸ਼ਕਾਂ ਦਾ ਹਾਲ,ৰাজহুৱা দৰ্শকৰ হল
ਹੈਚਮੈਂਟ,হেচমেণ্ট
ਈਥਨ,হেথেন
ਈਥਨ,হেথেন
ਹੇਥਨਿਜ਼ਮ,হেথেনিজম
ਹੇਗੀਰਾ (ਹੀਜਰਾ),হেগিৰা (হেজেৰা)
ਹੇਲੇਨਿਜ਼ਮ,হেলেনিজম
ਹੇਲੋਟ,হেলট
ਹੇਰਾਲਡਰੀ,হেৰাল্ড্ৰি
ਵਿਰਾਸਤ,ঐতিহ্য
ਹਾਇਰੋਗਲਿਫਿਕ ਰੇਖਿਕ ਅੱਖਰ,হাইৰ’গ্লিফিক ৰৈখিক আখৰ
ਹਾਇਰੋਗਲਿਫਿਕ ਲਿਪੀ,হাইৰ&#39;গ্লিফিক লিপি
ਉੱਚ ਚਰਚ,হাই চাৰ্চ
ਉੱਚ ਲੈਂਡਰ,হাই লেণ্ডাৰ
ਹਿੰਦੂ ਧਰਮ,হিন্দু ধৰ্ম
ਇਤਿਹਾਸਕਾਰ,ইতিহাসবিদ
ਇਤਿਹਾਸਕਾਰ,ইতিহাসবিদ
ਇਤਿਹਾਸਕ ਪਦਾਰਥਵਾਦ,ঐতিহাসিক বস্তুবাদ
ਇਤਿਹਾਸਕ ਯੁੱਗ,ঐতিহাসিক যুগ
ਇਤਿਹਾਸਕ ਸਰਹੱਦ,ঐতিহাসিক সীমান্ত
ਇਤਿਹਾਸਕਾਰ,ইতিহাসবিদ
ਇਤਿਹਾਸਕਾਰ,ইতিহাসবিদ
ਇਤਿਹਾਸਕਾਰੀ,ইতিহাস লেখা
ਇਤਿਹਾਸਕਾਰੀ,ইতিহাস লেখা
ਇਤਿਹਾਸ,ইতিহাস
ਹਿੱਟੀ ਸਾਮਰਾਜ,হিট্টী সাম্ৰাজ্য
ਪਵਿੱਤਰ ਗਠਜੋੜ,পবিত্ৰ মিত্ৰতা
ਪਵਿੱਤਰ ਸ਼ਹਿਰ,পবিত্ৰ নগৰ
ਪਵਿੱਤਰ ਸ਼ਹਿਰ,পবিত্ৰ নগৰ
ਪਵਿੱਤਰ ਧਰਤੀ,পবিত্ৰ ভূমি
ਪਵਿੱਤਰ ਧਰਤੀ,পবিত্ৰ ভূমি
ਹੋਲੀ ਲੀਗ,হলি লীগ
ਹੋਲੀ ਲੀਗ,হলি লীগ
ਪਵਿੱਤਰ ਰੋਮਨ ਸਾਮਰਾਜ (= ਸਾਮਰਾਜ),পবিত্ৰ ৰোমান সাম্ৰাজ্য (=The Empire)
ਪਵਿੱਤਰ ਸਾਗਰ,পবিত্ৰ সাগৰ
ਪਵਿੱਤਰ ਸਾਗਰ,পবিত্ৰ সাগৰ
ਪਵਿੱਤਰ ਜੰਗ,পবিত্ৰ যুদ্ধ
ਪਵਿੱਤਰ ਜੰਗ,পবিত্ৰ যুদ্ধ
ਗ੍ਰਹਿ ਸਰਕਾਰ,গৃহ চৰকাৰ
ਹੋਮ ਗਾਰਡ,হোম গাৰ্ড
ਹੋਮਲੈਂਡ,গৃহভূমি
ਘਰੇਲੂ ਨਿਯਮ,গৃহ শাসন
ਹੋਮ ਰੂਲ,হোম ৰুল
ਹੋਰਡ,হৰ্ড
Horde,হৰ্ড
ਦੁਸ਼ਮਣ ਦੇਸ਼,শত্ৰুতাপূৰ্ণ দেশ
ਵਿਰੋਧੀ ਜ਼ਮੀਨ,শত্ৰুতাপূৰ্ণ ভূমি
ਗਰਮ ਪਿੱਛਾ,hot pursuit
ਘਰ,ঘৰ
ਘਰ,ঘৰ
ਹਾਊਸ ਆਫ ਕਾਮਨਜ਼,হাউচ অৱ কমনছ
ਲਾਰਡਸ ਦਾ ਘਰ,হাউচ অৱ লৰ্ডছ
ਪ੍ਰਤੀਨਿਧ ਸਦਨ,প্ৰতিনিধি সদন
ਹਿਊਗਨੋਟਸ,হুগুয়েনট
ਮਾਨਵਵਾਦ,মানৱতাবাদ
ਮਾਨਵਵਾਦੀ,মানৱতাবাদী
ਸੌ ਯਸਰਸ ਦੀ ਜੰਗ,শত Yesrs&#39; যুদ্ধ
ਹੰਕਾਰ,হাংকাৰ
ਇਬਾਦਤ ਖਾਨਾ (ਪੂਜਾ ਘਰ),ইবাদাত খানা (পূজাৰ ঘৰ)
ਆਈਕੋਨੋਕਲਾਸਟ,আইকনক্লাষ্ট
ਮੂਰਤੀਕਾਰ,মূৰ্তিপূজক
ਇਲਾਹੀ ਯੁੱਗ,ইলাহি যুগ
ਗੈਰ-ਕਾਨੂੰਨੀ ਜੰਗ,অবৈধ যুদ্ধ
ਪ੍ਰਕਾਸ਼ਿਤ ਖਰੜੇ,আলোকিত পাণ্ডুলিপি
ਚਿੱਤਰਿਤ ਹੱਥ-ਲਿਖਤ,সচিত্ৰ পাণ্ডুলিপি
ਚਿੱਤਰਿਤ ਹੱਥ-ਲਿਖਤ,সচিত্ৰ পাণ্ডুলিপি
ਇਮਾਮ (ਇਮਾਮ),ইমাম (ইমাউম)
ਇਮਾਮਤ,ইমামত
ਇਮਾਮਤ,ইমামত
ਇਮਾਮਬਾਰਾ,ইমাম্বৰা
ਸ਼ਾਹੀ,ইম্পেৰিয়েল
ਸ਼ਾਹੀ ਸ਼ਹਿਰ,ইম্পেৰিয়েল চিটি
ਸਾਮਰਾਜਵਾਦ,সাম্ৰাজ্যবাদ
ਸ਼ਾਹੀ ਤਰਜੀਹ,ইম্পেৰিয়েল পছন্দ
ਅਵਿਵਸਥਾ,নীতিহীনতা
ਪਾਖੰਡੀ,ভণ্ড
ਕੈਦ,কাৰাবাস
ਕੈਦ,কাৰাবাস
ਘੁਸਪੈਠ,আক্ৰমণ
ਘੁਸਪੈਠ ਕਰਨ ਵਾਲਾ,আক্ৰমণকাৰী
ਸੁਤੰਤਰਤਾ,স্বাধীনতা
ਅਜਾਦੀ ਦਿਵਸ,স্বাধীনতা দিৱস
ਸੁਤੰਤਰਤਾ ਹਾਲ,স্বাধীনতা প্ৰেক্ষাগৃহ
ਭਾਰਤੀ ਅਮਰੀਕਨ (= ਲਾਲ ਭਾਰਤੀ = ਅਮਰੀਕੀ ਭਾਰਤੀ),ভাৰতীয় আমেৰিকান (=ৰেড ইণ্ডিয়ান=আমেৰিকান ইণ্ডিয়ান)
ਇੰਡੀਅਨ ਹੋਮ ਰੂਲ ਲੀਗ,ইণ্ডিয়ান হোম ৰুল লীগ
ਉਦਯੋਗਿਕ ਕ੍ਰਾਂਤੀ,ঔদ্যোগিক বিপ্লৱ
ਬੇਵਫ਼ਾਈ,কাফিৰ
ਬੇਵਫ਼ਾਈ,কাফিৰ
ਘੁਸਪੈਠ,অনুপ্ৰৱেশ
ਘੁਸਪੈਠ ਕਰਨ ਵਾਲਾ,অনুপ্ৰৱেশকাৰী
ਸੂਚਨਾ ਦੇਣ ਵਾਲਾ,তথ্যদাতা
ਸੂਚਨਾ ਦੇਣ ਵਾਲਾ,তথ্যদাতা
ਸੂਚਨਾ ਦੇਣ ਵਾਲਾ,তথ্যদাতা
ਸੂਚਨਾ ਦੇਣ ਵਾਲਾ,তথ্যদাতা
ਪ੍ਰਵੇਸ਼,প্ৰৱেশ
ਪ੍ਰਵੇਸ਼,প্ৰৱেশ
ਪ੍ਰਵੇਸ਼,প্ৰৱেশ
ਨਿਵਾਸ,বাসস্থান
ਵਾਸੀ,বাসিন্দা
ਵਿਰਾਸਤ,উত্তৰাধিকাৰ
ਵਿਰਾਸਤ,উত্তৰাধিকাৰ
ਵਿਰਾਸਤ,উত্তৰাধিকাৰ
ਸ਼ਿਲਾਲੇਖ,শিলালিপি
ਨਿਸ਼ਾਨ,চিহ্ন
ਪਹੁੰਚ ਦਾ ਸਾਧਨ,যোগদানৰ যন্ত্ৰ
ਸਰਕਾਰ ਦਾ ਸਾਧਨ,চৰকাৰৰ আহিলা
ਬਗਾਵਤ (ਵਿਦਰੋਹ),বিদ্ৰোহ (বিদ্ৰোহ)
ਵਿਦਰੋਹੀ,বিদ্ৰোহী
ਬਗਾਵਤ,বিদ্ৰোহ
ਬਗਾਵਤ,বিদ্ৰোহ
ਏਕੀਕਰਣ,সংহতি
ਰਿਕਾਰਡ ਦੀ ਇਕਸਾਰਤਾ,ৰেকৰ্ডৰ অখণ্ডতা
ਰਾਜਾਂ ਦੀ ਅਖੰਡਤਾ,ৰাজ্যসমূহৰ অখণ্ডতা
ਬੁੱਧੀਜੀਵੀ (ਇੰਟੈਲੀਜੈਂਟਜ਼ੀਆ),বুদ্ধিমান (Intelligentzia)
ਵਿਚੋਲਗੀ,মধ্যস্থতা
