ab initio,"ആദ്യം മുതല്‍ക്ക്, ആരംഭത്തിലെ"
default,"അടവിൽ വീഴ്ച, വീഴ്ച വരുത്തുക"
defaulter,"വീഴ്ചക്കാരന്‍, കുടിശ്ശികക്കാരന്‍, അപഹര്‍ത്താവ്"
defective,ന്യൂനതയുള്ള
defence,"പ്രതിരോധം, പ്രതിരക്ഷ, പ്രതിവാദം"
defence counsel,രാജ്യരക്ഷാ ഉപദേഷ്ടാവ്
defence production,രാജ്യരക്ഷാഉല്പ്പാദനം
defendant,പ്രതി
defer,"മാറ്റിവയ്ക്കുക, നീട്ടിവയ്ക്കുക"
deferred expenditure,മാറ്റിവയ്ക്കപ്പെട്ട ചെലവ്
deficit,"അപര്യാപ്ത്്ത, കുറവ്"
deficit budget,കമ്മി
defience,"ധിക്കരിക്കൽ, അവജ്ഞ"
define,നിര്‍വചിക്കുക
defy,ധിക്കരിക്കുക
degradation,തരംതാഴ്ത്തൽ
degree,"ഡിഗ്രി, ബിരുദം, മാത്ര, അംശം"
dejure,നിയമ പ്രകാരേണ
delay,കാലതാമസം
delegate,"ഡെലിഗേറ്റ്, പ്രതിനിധി, പ്രത്യായോജകന്‍"
delegated authority,പ്രതിനിധാനം ചെയ്ത അധികാരി
delegation,"ഡെലിഗേഷന്‍, പ്രതിനിധിസംഘം, പ്രതിനിധാനം"
delegation of powers,അധികാരപ്രത്യായോജനം
delete,"എടുത്തുകളയുക, വിട്ടുകളയുക, നീക്കം ചെയ്യുക"
deletion,"നീക്കം ചെയ്യൽ, മായ്ച്ചുകളയൽ"
deliberately,"മനഃപൂര്‍വം, വിചാരപൂര്‍വം"
deliberation,"പര്യാലോചന, ചര്‍ച്ച, ആലോചന"
delicencing,ലൈസന്‍സ് റദ്ദാക്കൽ
delimitation,"അതിര്‍ത്തിനിര്‍ണയം, സീമാനിര്‍ധാരണം"
deliver,"വിതരണം ചെയ്ക, പ്രസവിക്കുക, പരിദാലം ചെയ്ക"
delivery,"വിതരണം, പ്രസവം, പരിദാനം"
demand,"ഡിമാന്‍ഡ്, ധനാഭ്യര്‍ഥന, പിരിയാനുള്ള തുക"
demand note,ഡിമാന്‍റ് നോട്ട്
demarcation,"അതിര്‍ത്തിനിര്‍ണയം, സീമാങ്കനം"
demi-official,അര്‍ധ-ഔദ്യോഗിക
democracy,ജനാധിപത്യം
demonstration,"പ്രദര്‍ശനം, പ്രകടനം"
demoralization,മനോവീര്യം കെടുത്തൽ
demurrage,"ഡെമറേജ്, വിളംബക്കുലി"
denial,നിഷേധം
denomination,"ഇനം, തരം"
deny,നിഷേധിക്കുക
depart,പുറപ്പെടുക
department,"ഡിപ്പാര്‍ട്ട്മെന്‍റ്, വകുപ്പ്, വിഭാഗം"
departmental,"ഡിപ്പാര്‍ട്ട്മെന്‍റ് സംബന്ധിച്ച, വകുപ്പുവഴിക്കുള്ള"
departmental action,വകുപ്പുവഴിക്കുള്ള നടപടി
departmental enquiry,"ഡിപ്പാര്‍ട്ടമെന്‍റൽ അന്വേഷണം, വകുപ്പ് അന്വേഷണം"
departmental investigation,വകുപ്പുവഴിക്കുള്ള അന്വേഷണം
departmental irregularity,വകുപ്പുതല ക്രമക്കേട്
departmental library,വകുപ്പു ഗ്രന്ഥശാല
departmental negligence,ഡിപ്പാര്‍ട്ട്മെന്‍റൽ അര്‍ഹതാ പരീക്ഷ
departmental permission,വകുപ്പനുമതി
departmental qualifying examination,വകുപ്പുതല യോഗ്യതകൊടുക്കുന്ന പരീക്ഷ
departure,"പുറപ്പെടൽ, പോക്ക്, നിര്‍ഗമനം"
dependency certificate,അശ്രിതത്വ സര്‍ട്ടിഫിക്കറ്റ്
dependent,"മറ്റൊരാളിനു വിധേയമായ, ആശ്രിത൯"
dependent children,ആശ്രിതരായ കുട്ടികൾ
deploy,"നിയോഗിക്കുക, സൈന്യത്തെ ശരിയായ സ്ഥലത്തേക്ക് അയക്കുക"
deponent,മൊഴികൊടുക്കുന്നവന്‍
deportation,നാടുകടത്തൽ
depose,മൊഴികൊടുക്കുക
deposit,"ഡിപ്പോസിറ്റ്, നിക്ഷേപം"
depot,ഡിപ്പോ
depreciation,"വിലയിടിവ്, അവമുല്യനം"
depressed class,"പിന്നോക്കവര്‍ഗങ്ങൾ, ദളിതവര്‍ങ്ങൾ"
deprive,"ഇല്ലാതാക്കുക, നഷ്ടപ്പെടുത്തുക, അപഹരിക്കുക"
deputation,"ഡെപ്യുട്ടേഷന്‍, നിയോജനം, നിവേദകസംഘം, പ്രതിനിധിമണ്ഡലം"
deputation allowance,ഡെപ്യുട്ടേഷന്‍ അലവന്‍സ്
deputy,ഡെപ്യൂട്ടി
deregistered,രെജിസ്റ്ററേഷന്‍ റദ്ദാക്കിയ
dereliction of duty,"കൃത്യവിലോപം, കര്‍ത്തവ്യപരിത്യാഗം"
dereservation,"റിക്വിസിഷന്‍ വിന്‍വലിക്കുക, അധിഗ്രഹണം പിന്‍വലിക്കുക"
derogation,"അനാദരം, അല്‍പ്പീകരണം, അപമാനം"
derogatory,"അനാദരസൂചകം, അപമാനകരം"
derogatory remark,അലാദരസൂചക വിമര്‍ശനം
descendant,"സന്തതി, സന്താനം, വംശജന്‍"
description,"വര്‍ണ്ണന, വിവരണം"
deserving,"അര്‍ഹന്‍, യോഗ്യന്‍"
design,"അഭികല്‍പ്പന, ഡിഡൈന്‍"
designate,"നാമനിര്‍ദേശം, ചെയ്യുക, സ്ഥാനനാമിതന്‍"
designation,ഉദ്യോഗപ്പേര്‍
despatch,"ഡെസ്പാച്ച്, പ്രേഷണ, അയക്കുക"
despatch note,ഡെസ്പാച്ച് നോട്ട്
despatch register,"ഡെസ്പാച്ച് രജിസ്റ്റര്‍, പ്രേക്ഷണ രജിസ്റ്റര്‍"
destination,ലക്ഷ്യം
destitute,അഗതി
detail,വിശദവിവരം
detailed,സഹസ്തരമായ
detect,കണ്ടുപിടിക്കുക
detention,കണ്ടുപിടിക്കൽ
detenu,"ഡെറ്റിന്യൂ, തടവുകാരന്‍"
determination,"തീരുമാനം, നിശ്ചയം"
deterrence,"പേടിപ്പെടുത്തൽ, ഭീഷണിപ്പെടുത്തി മാറ്റുക"
detriment,"വിരോധം, അനിഷ്ടമായ"
detrimental,ഹാനികരമായ
devaluation,അവമൂല്യനം
devastation,വിനാശം
development,"വികസനം, വികസന"
deviate,വിചലിതനാവുക
device,"യുക്തി, ഉപായം, പ്രയോഗോപകരണം"
devotion,നിഷ്ഠ
diagnose,"രോഗ നിദാനം, രോഗ നിര്‍ണ്ണയം"
diagram,"ചിത്രം, ആരേഖം"
diary,ഡയറി
dictation,കേട്ടെഴുത്ത്
dies non,അകാദ്യ ദിനം
diet,"ക്രമീകൃതാഹാരം, പഥ്യാഹാരം, ആഹാരം"
digest,സാരസംഗ്രഹം
dignified,"മഹത്വമാര്‍ന്ന, ഉല്‍കൃഷ്ടമായ"
dignity,"അന്തസ്സ്, പദവി"
digression,വിഷയാന്തരണം
dilatory,"താമസം വരുത്തുന്ന, വിളംബകരം"
dilemma,രണ്ടുകാര്യങ്ങളിൽ ഏതാണ് വേണ്ടതെന്ന് ചിന്തകുഴപ്പം
diligent,ശൃദ്ധയുള്ള
dimension,"അളവ്, ആയാമം"
diploma,"ഡിപ്ലോമ, സന്നദ്"
diplomacy,നയതന്ത്രം
diplomatic immunity,നയതന്ത്രപരമായ ഒഴിവാക്കപ്പെടൽ
direct,"പ്രത്യക്ഷം, നിര്‍ദേശിക്കുക"
direct competition,നേരിട്ടുള്ള മത്സരം
direct interview,നേരിട്ടുള്ള ഇന്‍റര്‍വ്യൂ
direct recruit,നേരിട്ടുള്ള തിരഞ്ഞെടുക്കൽ
direction,"നിര്‍ദേശം, സംവിധാനം"
directory,ഡയറക്ടറി
disability,"അവശത, വികലാംഗത"
disabled person,"അംഗഭംഗപ്പെട്ടയാൾ, ഭഗ്താംഗന്‍, അവശാംഗന്‍"
disablement benefit,അംഗവൈകല്യമുള്ളവര്ക്കുള്ള ആദായം
disadvantage,"ഹാനി, അഹിതം, അസൌകര്യം, പ്രതികൂലാവസ്ഥ"
disagree,വിയോജിക്കുക
disallow,"തള്ളുക, അനുവദിക്കാതിരിക്കുക"
disallowed,"തള്ളുക, അനുവദിക്കാതിരിക്കുക"
disapproval,"നിരാകരണം, അസ്വീകരണം"
disaster,വന്‍ വിപത്ത്
disaster management,അത്യാഹിത നിര്‍വഹണം
disband,"പിരിച്ചുവിടുക, ഭഞ്ജിക്കുക"
disbursement,"സംവിതരണം, ചെലവഴിക്കൽ"
discard,"തള്ളിക്കളയുക, ഉപേക്ഷിക്കുക"
discharge,"ഡിസ്ചാര്‍ജ്, വിട്ടയയ്ക്കുക, വിമോചിപ്പിക്കുക"
discharge slip,ഡിസ്ചാര്‍ജ് സ്ലിപ്
disciplinary action,"അച്ചടക്കനടപടി, ശിക്ഷണ നടപടി"
disciplinary procedure,ശിക്ഷണ നടപടി
discipline,"അച്ചടക്കം, ശിക്ഷണബോധം, അനുശാസനം"
disclaim,"ത്യജിക്കുക, നിരസി ക്കുക"
disclosure,പ്രകടമാക്കുക
discontent,അതൃപ്തി
discontinuance,തുടരാതിരിക്കൽ
discontinue,തുടരാതിരിക്കുക
discord,ഇണക്കമില്ലായ്മ
discount,"ഡിസ്കൌണ്ട്, ഇളവ്"
discover,കണ്ടുപിടിക്കുക
discredit,അവിശ്വസനീയമായി കരുതുക
discrepancy,"പൊരുത്തക്കേട്, അസാംഗത്യം"
discretion,"വിവേചനം, സ്വനിര്‍ണയം"
discretionary grant,വിവേചനാധീന സഹായധനം
discretionary power,വിവേചനാധികാരം
discrimination,"പക്ഷഭേദം, വിവേചനം"
discussion,ചര്‍ച്ച
dishonest,അവിശ്വസ്തനായ
dishonour (a cheque),"അനാദരണം, അവമാനം (ചെക്ക് അനാദരിക്കുക)"
disintegration,വിഘടനം
Disk,ഡിസ്ക്
dislocation,വിസ്ഥാപനം
disloyal,"നിഷ്ഠയില്ലാത്ത, കൂറില്ലാത്ത"
dismiss,"ഡിസ്മിസ് ചെയ്യുക, പിരിച്ചു വിടുക, തള്ളിക്കളയുക"
dismissal,"പിരിച്ചുവിടൽ, തള്ളിക്കളയൽ"
dismissal procedure,പിരിച്ചുവിടൽ നടപടി
disobey,"അനുസരിക്കാതിരിക്കുക, ലംഘിക്കുക"
disorder,"ക്രമക്കേട്, തകരാറ്, അസ്വാസ്ഥ്യം"
disorganise,അവ്യവസ്ഥിതമാക്കുക
disparity,അസമാനത
dispatch section,ഡെസ്പാച്ച് സെക്ഷന്‍
dispensable,പരിഹാര്യമായ
disperse,പിരിച്ചുവിടുക
displaced,ബഹിഷകൃതന്‍
display,പ്രദര്‍ശിപ്പിക്കുക
displeasure,അപ്രീതി
disposal,"തീര്‍പ്പ്, സമാപനം, വില്‍പ്പന, കൈയൊഴിക്കൽ"
dispose of,"തീരുമാനിക്കുക, വില്‍ക്കുക"
disposition,"കൈമാറ്റം, വിന്യാസം, വിതരണം"
dispossess,വസ്തു ഒഴിപ്പിക്കുക
dispute,തര്‍ക്കം
disqualification,അയോഗ്യത
disregard,"അവഹേളനം, അനാദരം, അവഗണിക്കുക"
disruption,വിച്ഛിന്നത
dissatisfaction,അതൃപ്തി
dissent,"വിമതി, ഭിന്നാഭിപ്രായം വിയോജിക്കുക"
disservice,അപകാരം
dissociate,"വിയോജിതനാവുക, പേരിട്ടാവുക"
dissolution,പിരിച്ചുവിടൽ
dissolve,പിരിച്ചുവിടുക
distance learning,കറസ്പോണ്ടന്‍സ് വഴി പഠനം
distillery,വാറ്റുപുര
distinct,വിവിക്തമായ
distinguish,"വ്യത്യസ്തമാവുക, വൈശിഷ്ട്യം ആര്‍ജിക്കുക"
distortion,വളച്ചൊടിക്കൽ
distress,"ഡിസ്ട്രസ്സ്, ദുരവസ്ഥ"
distribute,"വിതരണംചെയ്യുക, വീതിച്ചുകൊടുക്കുക"
distribution,വിതരണം
district,"ഡിസ്ട്രിക്ട്, ജില്ല"
district centre,ഡിസ്ട്രിക്ട് സെന്‍റര്‍
disturbance,"ഉപദ്രവം, തടസ്സം"
ditto,"ടി, മേല്‍പടി, യഥോപരി"
diversion,"മാറ്റം, താല്ക്കാലിക പാത"
dividend,"ഡിവിഡന്‍ഡ്, ലാഭവിതം"
division,"ഡിവിഷന്‍, വിഭജനം"
divorce,വിവാഹമോചനം
docket,"ഡോക്കറ്റ്, കേഡ് വിവരരജിസ്റ്റര്‍"
doctor,ഡോക്ട൪
document,"പ്രമാണം, ആധാരം, കരണം, രേഖ"
documentary evidence,രേഖാമൂലത്തെളിവ്
documentation,ഡോക്യുമെന്റേഷ൯
domicile,അധിവാസം
domicile certificate,അധിവാസ സര്‍ട്ടിഫിക്കറ്റ്
dominant,"പ്രബലമായ, ആധിപത്യമുള്ള"
donation,സംഭാവന
dossier,ഡോസിയര്‍
doubtful,സംശയാസ്പദമായ
dove tailing,"ഭംഗിയായി കൂട്ടി ചെര്‍ത്തൽ, ക്രമമായി നിരത്തൽ"
down grade,തരം താഴ്ത്തുക
draft,"ഡ്രാഫ്റ്റ്, കരട്, നക്കൽ, ആദ്യരൂപരേഖ"
draft reply,"കരടുമറുപടി, ഡ്രാഫ്റ്റ് മറുപടി"
drastic measure,കടുത്ത നടപടികൾ
draw,ഡ്രാ
drawer,"ഡ്രോയര്‍, മേശവലിപ്പ്, പണമെടുക്കുന്ന ആൾ"
drawing,ഡ്രയിങ്
drought,"വരള്‍ച്ച, ഉണക്ക്, അവൃഷ്ടി"
dry promotion,ലാഭമില്ലാത്ത ഉദ്യോഗക്കയറ്റം
dual charge,"ദ്വികാര്യ ഭാരം, ഇരട്ട ചുമതല"
dual citizenship,ഇരട്ട പൌരത്വം
due,"കൊടുക്കാനുള്ള, കിട്ടാനുള്ള, കുടിശ്ശിക"
due diligence,ശരിയായ ശൃദ്ധ
dues,"കൊടുക്കാനുള്ളത്, കിട്ടാനുള്ളത്, കുടിശ്ശിഖ"
duly,"യഥാവിധി, വഴിയാംവണ്ണം, മുറപ്രകാരം"
duplicate,"ഡ്യൂപ്ലിക്കേറ്റ്, ഇരട്ടിപ്പ്, പകര്‍പ്പ്"
duration,"കാലാവധി, കാലദൈര്‍ഘ്യം"
duress,"ഭീഷണിയോടുകൂടിയ സമ്മര്‍ദം, ബലപ്രയോഗം"
duty,"ഡ്യൂട്ടി, കൃത്യം, ജോലി, കര്‍ത്തവ്യം"
duty allowance,"ഡ്യൂട്ടി അലവന്‍ഡ്, ഡ്യൂട്ടി ബത്ത"
duty chart,ഡ്യൂട്ടി ചാര്‍ട്ട്
duty leave,ഡ്യൂട്ടി ലീവ്
duty room,ഡ്യൂട്ടി റും
dying declaration,മരണമൊഴി
dynamics,ഗതികം
earmark,"നീക്കിവയ്ക്കുക, അടയാളപ്പെടുത്തുക"
earned leave,"ആര്‍ജിതാവധി, ഏണ്‍ഡ് ലീവ്"
earnings,"സമ്പാദ്യം, ഉപാര്‍ജിതം"
eco-friendly,പാരിസ്ഥിതിക ഹിതൈഷി
ecology,പാരിസ്ഥിതികം
economic,ചെലവുകുറഞ്ഞ
economical exploitation,"സാമ്പത്തിക ദോഹനം, സാമ്പത്തിക ഉപയോഗപ്പെടുത്തൽ"
economy,"സമ്പദ് വ്യവസ്ഥ, മിതവ്യയം"
economy class,എക്കോണമി ക്ലാസ്
editing,എഡിറ്റിങ്
edition,"എഡിഷന്‍, പതിപ്പ്"
editorial,"എഡിറ്റോറിയൽ, മുഖപ്രസംഗം"
education,"വിദ്യാഭ്യാസം, ശിക്ഷണം"
educational career,വിദ്യാഭ്യാസ ജീവിതവൃത്തി
educational institute,വിദ്യാഭ്യാസ സ്ഥാപനം
educational qualification,വിദ്യാഭ്യാസ യോഗ്യത
effect,"ഫലം, പ്രഭാവം, പ്രാബല്യം, നടപ്പില്‍വരുത്തുക"
effective,ഫലപ്രദം
effective date,നിലവിൽ വരുന്ന തീയതി
effects,സ്വത്ത്
efficacy,"സഫലത, വീര്യം"
efficiency,കാര്യശേഷി
efficient,കാര്യശേഷിയുള്ള
ejectment,"ഒഴിപ്പിക്കൽ, നിഷ്കാസനം"
elaborate,വിസ്തരിക്കുക
elapse,കഴിഞ്ഞടുക്കുക
elected representative,തിരഞ്ഞെടുക്കപെട്ട പ്രതിനിധി
election,തിരഞ്ഞെടുപ്പ്
electoral college,"തിരഞ്ഞെടുപ്പ് കോളേജ്, നിയോജകഗണം"
electorate,സമ്മതിദായകന്‍
electrification,വൈദ്യുതീകരണം
electronic media,ഇലക്ട്രോണിക് മാധ്യമം
elementary,പ്രാഥമിക
eligibility,"അര്‍ഹത, യോഗ്യത"
eligibility test,അര്‍ഹതക്കുള്ള പരീക്ഷ
elimination,"ദൂരീകരണം, ഒഴിവാക്കൽ"
eloquence,വാക് പടുത
embarrass,കുഴപ്പത്തിലാക്കുക
embezzlement,പണാപഹരണം
emblem,"എംബ്ലം, ചിഹ്നം, ദ്യോതകം"
embossing seal,"അധികൃതമുദ്ര, എംമ്പോസ് ചെയ്ത സീൽ"
emergency,"അടിയന്തിരാവസ്ഥ, ആപാതം, ആപല്‍ക്കാലം"
emergency relief,അടിയന്തിരാശ്വാസം
emergent,അടിയന്തിര
emigration,"എമിഗ്രേഷന്‍, നാടുമാറിപ്പാര്‍പ്പ്, വിദേശകുടിയേറ്റം, ഉത്‍പ്രവാസം"
emoluments,"വേതനം, ഉപലബ്ധി"
empanelment,പട്ടികയിൽ പേര് ചേര്‍ക്കൽ
Empathy,"നിര്‍ദയത്യം, നിഷ്കാരുണ്യം"
employ,"നിയമിക്കുക, പ്രയോഗിക്കുക"
employee,"തൊഴിലാളി, ജീവനക്കാരന്‍"
employee participation,ജീവനക്കാരുടെ പങ്കാളിത്തം
employee’s contribution,ജീവനക്കാരുടെ സംഭാവന
employees provident fund,എംപ്ലോയീസ് പ്രോവിഡന്‍റ് ഫണ്ട്
employer,"തൊഴിലുടമ, നിയോജകന്‍"
employment,തൊഴില്‍ബ്യൂറോ
employment exchange,എംപ്ളോയ്മെന്‍റ് എക്സ്ചേഞ്ച്
employment notice,എംപ്ലോയ്മെന്‍റ് നോട്ടീസ്
employment office,എംപ്ലോയ്മെന്‍റ് ആഫീസ്
empower,അധികാരപ്പെടുത്തുക
empowerment,അധികാരപ്പെടുത്തൽ
en bloc,"കൂട്ടത്തോടെ, സംഘമായി"
en masse,"കൂട്ടത്തോടെ, സംഘമായി"
en route,"വഴിയിൽ, മാര്‍ഗമധ്യേ"
enact,നിയമം നിര്‍മിക്കുക
enactment,"അധിനിയമം, നിയമപ്പെടുത്തുൽ"
encash,പണമാക്കുക
enclose,"അടക്കം ചെയ്യുക, ഒപ്പം വയ്ക്കുക"
encouragement,പ്രോത്സാഹനം
encroachment,"അതീക്രമം, കൈയേറ്റം"
encumbrance,"കടബാധ്യത, കുടിക്കടം"
end product,അവസാന ഉത്പന്നം
endorse,"എന്‍ഡോഴ്സ് ചെയ്യുക, പുറത്തെഴുതുക, സമര്‍ഥിക്കുക"
endowment,"ഇണ്‍ടാസ്, മേലേഴുത്ത്, പുറത്തെഴുത്ത്, സമര്‍ഥനം"
energy,"ആറ്റം, ഊര്ജ്ജം, പ്രസരിപ്പ്"
enforce,"നടപ്പാക്കുക, പ്രവര്‍ത്തിപ്പിക്കുക, പ്രാവര്‍ത്തികമാക്കുക"
engage,"ഏര്‍പ്പെടുക, നിയോഗിക്കുക, വചനബദ്ധമാവുക"
enhancement,"നടത്തിപ്പ്, നടപ്പാക്കൽ, പ്രവര്‍ത്തനം, പ്രാവര്‍ത്തികമാക്കൽ"
enjoin,കല്പന നല്‍കുക
enquiry,അന്വേഷണവിചാരണ
enrol,"ചേരുക, ചേര്‍ക്കുക"
enrolment (=enrollment),"പേരുപതിപ്പ്, പേരുചേര്‍ക്കൽ, നാമാങ്കനം"
enrolment number,എന്‍റോള്മെന്‍റ് നമ്പര്‍
ensuing,"വരുന്ന, വരാനിരിക്കുന്ന"
ensure,ഉറപ്പുവരുത്തുക
enter,"പ്രവേശിക്കുക, ചേര്‍ക്കുക"
enterprise,"സംരംഭം, ഉദ്യമം"
entertain,"കൈക്കൊള്ളുക, വിചാരണയ്ക്കെടുക്കുക, സല്‍ക്കരിക്കുക"
entertainment,"വിനോദം, മനോരഞ്ജനം"
entitle,"അവകാശം നല്‍കുക, അവകാശിയാക്കുക"
entitled,അവകാശി
entitlement,അവകാശം
entrance,പ്രവേശനം
entrant,പ്രവേശിക്കുന്നയാൾ
entry,"രേഖപ്പെടുത്തൽ, പറ്റുവയ്ക്കൽ, ഉള്‍ക്കുറിപ്പ്"
entry level job,പ്രവേശനിലയിൽ‍ ഉള്ള ജോലി
enumeration,"ഗണനം, കണക്കെടുക്കൽ, എന്യൂമറേഷന്‍"
environment,പരിസ്ഥിതി
envoy,"എന്‍വോയി, നയതന്ത്രപ്രതിനിധി, ഉപരാജദൂതന്‍"
epidemic (disease),"പകര്‍ച്ചവ്യാധി, മഹാമാരി, സാംക്രാമിക രോഗം"
epitome,"നിഷ്കര്‍ഷം, സാരം"
equality,"സമത്വം, തുല്യത"
equilibrium,"സന്തുലനം, സാമ്യം സാമ്യസ്ഥിതി, തുലിതാവസ്ഥ"
equipment,"ഉപകരണം, സജ്ജീകരണം"
equity,"സാമ്യം, നീതി, നീതിന്യായം"
equivalent,"തുല്യം, സമാനം"
equivocal,ദ്വയര്‍ഥകമായ
eradicate,"നിര്‍മാജനം ചെയ്യുക, ഉന്മൂലനം ചെയ്യുക"
errata,ശുദ്ധിപത്രം
error,"തെറ്റ്, പിശക്"
escalation,കുതിച്ചുചാട്ടം
escort,എസ്കോര്‍ട്ട്
essential,"അത്യാവശ്യമുള്ള, അവശ്യ"
establishment,"ജീവനക്കാര്‍, ജീവനക്കാര്യം, സ്ഥാപനം"
estimate,"എസ്റ്റിമേറ്റ്, അടങ്കൽ, മതിപ്പ്, അനുമാനം, പ്രാക്കാലനം"
estimated cost,മതിപ്പ് വില
ethics,നീതിശാസ്ത്രം
etiquette,"മര്യാദ, സാമാന്യ മദ്യാദ, ശീഷ്ടാചരണം"
evacuation,നിഷ്ക്രമണം
evade,ഒഴിഞ്ഞുമാറുക
evaluation,"മൂല്യാങ്കനം, വിലയിരുത്തൽ"
even number,സമസംഖ്യ
eventual,സംഭാവ്യമായ
eviction,"ഒഴിപ്പിക്കൽ, കുടിയിരക്ക്"
evidence,"തെളിവ്, സാക്ഷ്യം"
evolve,വികസിപ്പിക്കുക
ex gratia,"എക്സ് ഗ്രേഷ്യാ, അനുഗ്രഹരൂപത്തിൽ"
ex gratia payment,എക്സ്ഗ്രേഷ്യാ ധനദാനം
ex-officio,എക്സ് ഒഫിഷ്യോ
ex-parte,"എക്സ് പാര്‍ട്ടി, ഏകപക്ഷീയമായി"
ex-post facto,കാര്യോത്തര
exact,"കൃത്യമായ, യഥാര്‍ഥ"
examination,"പരീക്ഷ, പരിശോധന വിസ്താരം"
examinee,പരീക്ഷാര്‍ഥി
examiner,"പരീക്ഷകന്‍, പരിശോധകന്‍, എക്സാമിനര്‍"
example,ഉദാഹരണം
excavation,"കുഴിച്ചെടുക്കൽ, ഉല്‍ഖനനം"
excellent,ഉത്കൃഷ്ടമായ
exception,"വ്യത്യസ്തം, അപവാദം"
exceptional,വൈശിഷ്ട്യമാര്‍ന്ന
excess,"അധികം, അധികത"
exchange,"വിനിമയം, എക്സ്ചേഞ്ച്"
exchequer,"ഭണ്ഡാരമുതൽ, ഖജനാവ്"
excise (=excise duty),"എക്സൈസ്, അബ്കാരി"
exclude,ഒഴിവാക്കുക
exclusive,ഒരു ഉല്പന്നത്തെ മാത്രം ഉദ്ദേശിച്ചുള്ള
excuse,"പൊറുക്കുക, നിരപരാധിയാക്കുക"
execute,"നിര്‍വഹിക്കുക, പ്രമാണം ചെയ്യുക, നിഷ്പാദിക്കുക, ഒപ്പിട്ടു പൂര്‍ത്തീകരിക്കൽ"
executive,"എക്സിക്യൂട്ടീവ്, ഭരണനിര്‍വഹണവകുപ്പ്, നിര്‍വാഹക"
executive committee,നിര്‍വാഹക സമിതി
executive power,നിര്‍വഹണാധികാരം
executive staff,നിര്‍വഹണസ്റ്റാഫ്
executives,നിര്വ്വഹണാധികാരികൾ
exempt,ഒഴിവാക്കുക
exemption,"ഒഴിവാക്കൽ, മുക്തി"
exercise,"വിനിയോഗം, അഭ്യാസം"
exhaust,"തീര്‍ത്തുകളയുക, വാര്‍ത്തുകളയുക, ക്ഷീണിപ്പിക്കുക"
exhaustive,സര്‍വാംഗ പൂര്‍ണമായ
exhibit,"എക്സിബിറ്റ്, ലക്ഷ്യരേഖ, പ്രദര്‍ശിതവസ്തു, പ്രദര്‍ശിപ്പിക്കുക"
exigency,"അനിവാര്യത, ആവശ്യകത, ബൂദ്ധിമുട്ട്, അത്യാവശ്യം"
exim policy,"കയറ്റമതി, ഇറക്കുമതി നയം"
exit,പുറത്തേക്കുള്ള വഴി
exit interview,എക്സിറ്റ് ഇന്‍റര്‍വ്യൂ
exit policy,"ബഹിര്‍ഗമന നയം, എക്സിറ്റ് പൊളിസി"
exit poll,എക്സിറ്റ പോൾ
exonerate,ആരോപണമോചിതനാക്കുക
expansion,"വികസനം, വിസ്തരണം"
expatriation,"ദേശത്യാഗം, പ്രവാസം, നിര്‍വാസനം"
expedient,"കാലോചിതം, സമീചീനം"
expedite,"ത്വരിപ്പിക്കുക, ത്വരിതപ്പെടുത്തുക"
expel,പുറംതള്ളുക
expenditure,"വ്യയം, ചെലവ്"
experience,"പരിചയം, അനുഭവം"
experiment,പരീക്ഷണം
expert,വിദഗ്ധന്‍
expiry,"സമാപ്തി, അറുതി"
expiry date,സമാപ്തി തീയതി
explanation,"സമാധാനം, വിശദീകരണം"
explicit,സ്പഷ്ടമായ
exploitation,"ചൂഷണം, പരമാധി മുതലെടുക്കൽ"
explore,"അന്വേഷിക്കുക, കണ്ടുപിടിക്കുക"
explosion,"സ്ഫോടനം, പൊട്ടിത്തെറി"
export,"കയറ്റുമതി, നിര്യാസം, കയറ്റിയയ്ക്കുക"
express,"എക്സ്പ്രസ്സ്, അഭിവ്യക്തം"
expression,അഭിവ്യക്തി
expulsion,നിഷ്കാസനം
expunge,"മായ്ച്ചുകളയുക, വെട്ടിക്കളയുക, നീക്കംചെയ്യുക"
extend,വിപുലീകരിക്കുക
extent,"വിസ്താരം, വ്യാപ്തി"
external,"ബാഹ്യമായ, വൈദേശിക"
extortion,"(ധനം) പിടിച്ചു പറ്റുക, ഭീഷണിപ്പെടുത്തി ധനാപഹരണം ചെയ്ക"
extra,"എക്സ്ട്രാ, കൂടുതൽ, അതിരിക്തം, അധികം"
extract,"എക്സ്ട്രാക്റ്റ്, ഉദ്ധരണം, സാരം, സത്ത്, തത്ത്വം, പിഴിഞ്ഞെടുക്കൽ"
extraordinary,അസാധാരണ
extravagant,"അപവ്യയം ചെയ്യുന്നയാൾ, ധൂര്‍ത്തടിക്കുന്നയാൾ"
extremist,"ഉഗ്രവാദി, തീവ്രവാദി"
extrovert,ബഹിര്‍മുഖനായ
eye witness,ദൃക്സാക്ഷി
fabricate,"കെട്ടിച്ചമയ്ക്കുക, നിര്‍മിക്കുക"
face value,മുഖവില
facilitate,സുഖകരമാക്കുക
facility,സൌകര്യം
facsimile,"പ്രതിലിപി, അനുലിപി, പ്രതികൃതി, നേര്‍പ്പകര്‍പ്പ്"
fact,വസ്തുത
factionalism,"ചേരിചേരൽ, ഗ്രൂപ്പിസം"
factor,"കാരകം, പക്ഷം"
factory,ഫാക്ടറി
factual,"വാസ്തവികമായ, യഥാര്‍ഥമായ"
faculty,"ഫാക്കല്‍ട്ടി, ശാഖ"
fail,"പരാജിതനാവുക, അസഫലമാവുക"
