English,Malayalam
Cemented belt joint,സിമന്റ് ബെൽറ്റ് ജോയിന്റ്
Cementite,സിമന്റൈറ്റ്
Centering,കേന്ദ്രീകരിക്കുന്നു
Centering,കേന്ദ്രീകരിക്കുന്നു
Centering device,കേന്ദ്രീകൃത ഉപകരണം
Central flow condenser,സെൻട്രൽ ഫ്ലോ കണ്ടൻസർ
Centre lathe,സെന്റർ ലാത്ത്
Centre of gravity,ഗുരുത്വാകർഷണ കേന്ദ്രം
Centre of mass,പിണ്ഡത്തിന്റെ കേന്ദ്രം
Centre of oscillation,ആന്ദോളനത്തിന്റെ കേന്ദ്രം
Centre of percussion,താളവാദ്യത്തിന്റെ കേന്ദ്രം
Centre punch,സെന്റർ പഞ്ച്
Centreless grinding,കേന്ദ്രരഹിതമായ അരക്കൽ
Centric device,കേന്ദ്രീകൃത ഉപകരണം
Centrifugal,അപകേന്ദ്രബലം
Centrifugal absorber,അപകേന്ദ്ര അബ്സോർബർ
Centrifugal action,അപകേന്ദ്ര നടപടി
Centrifugal casting,അപകേന്ദ്ര കാസ്റ്റിംഗ്
Centrifugal clutch,അപകേന്ദ്ര ക്ലച്ച്
Centrifugal compressor,അപകേന്ദ്ര കംപ്രസർ
Centrifugal drying,അപകേന്ദ്ര ഉണക്കൽ
Centrifugal governor,അപകേന്ദ്ര ഗവർണർ
Centrifugal head,അപകേന്ദ്ര തല
Centrifugal kerosene equivalent,അപകേന്ദ്ര മണ്ണെണ്ണയ്ക്ക് തുല്യമായത്
Centrifugal stress,അപകേന്ദ്ര സമ്മർദ്ദം
Centrifuging,സെൻട്രിഫ്യൂജിംഗ്
Centring device,കേന്ദ്രീകൃത ഉപകരണം
Centripetal,സെൻട്രിപെറ്റൽ
Centripetal acceleration,സെൻട്രിപെറ്റൽ ആക്സിലറേഷൻ
Chain,ചങ്ങല
Chain drive,ചെയിൻ ഡ്രൈവ്
Chain hoist,ചെയിൻ ഹോസ്റ്റ്
Chain link,ചെയിൻ ലിങ്ക്
Chain reaction,ചെയിൻ പ്രതികരണം
Chamfer,ചാംഫർ
Chamfer,ചാംഫർ
Chamfered,ചംഫെരെദ്
Chamfering tool,ചാംഫറിംഗ് ഉപകരണം
Changeover,മാറ്റുക
Changeover,മാറ്റുക
Characteristic curve,സ്വഭാവ വക്രം
Characteristic equation,സ്വഭാവ സമവാക്യം
Characteristic gas constant,സ്വഭാവഗുണമുള്ള വാതക സ്ഥിരാങ്കം
Chaser,ചേസർ
Chassis,ചേസിസ്
Chattering,ചാറ്റിംഗ്
Check,ചെക്ക്
Check,ചെക്ക്
Check,ചെക്ക്
Check nut,നട്ട് പരിശോധിക്കുക
Cheese-head bolt,ചീസ്-ഹെഡ് ബോൾട്ട്
Chemical affinity,കെമിക്കൽ അഫിനിറ്റി
Chemical equilibrium,കെമിക്കൽ സന്തുലിതാവസ്ഥ
Chiesel,ഉളി
Chilled,തണുത്തു
Chilled cast iron,തണുത്ത കാസ്റ്റ് ഇരുമ്പ്
Chills,തണുപ്പ്
Chimney,ചിമ്മിനി
Chimney cowl,ചിമ്മിനി പശു
Chimney draft,ചിമ്മിനി ഡ്രാഫ്റ്റ്
Chimney flue,ചിമ്മിനി ഫ്ലൂ
Chip,ചിപ്പ്
Chip,ചിപ്പ്
Chip,ചിപ്പ്
Chip breaker,ചിപ്പ് ബ്രേക്കർ
Chordal addendum,കോർഡൽ അനുബന്ധം
Chrome steel,Chrome സ്റ്റീൽ
Chrome vanadium steel,ക്രോം വനേഡിയം സ്റ്റീൽ
Chronometer,ക്രോണോമീറ്റർ
Chuck,ചക്ക്
Chuck jaw,ചക്ക് താടിയെല്ല്
"Circle, base","വൃത്തം, അടിസ്ഥാനം"
"Circle, pitch","വൃത്തം, പിച്ച്"
Circlip,സർക്ലിപ്പ്
Circular arc cam,വൃത്താകൃതിയിലുള്ള ആർക്ക് ക്യാമറ
Circular arc profile,വൃത്താകൃതിയിലുള്ള ആർക്ക് പ്രൊഫൈൽ
Circular cutter,വൃത്താകൃതിയിലുള്ള കട്ടർ
Circular diffraction grating,വൃത്താകൃതിയിലുള്ള ഡിഫ്രാക്ഷൻ ഗ്രേറ്റിംഗ്
Circular milling,വൃത്താകൃതിയിലുള്ള മില്ലിങ്
Circular pitch,വൃത്താകൃതിയിലുള്ള പിച്ച്
Circular profile,വൃത്താകൃതിയിലുള്ള പ്രൊഫൈൽ
Circulating flow,രക്തചംക്രമണ പ്രവാഹം
Circumferential,പ്രദക്ഷിണം
Circumferential joint,ചുറ്റളവ് സംയുക്തം
Cladding,ക്ലാഡിംഗ്
Cladding,ക്ലാഡിംഗ്
Cladding,ക്ലാഡിംഗ്
Clamp,പട്ട
Clamp coupling,ക്ലാമ്പ് കപ്ലിംഗ്
Clamping circuit,ക്ലാമ്പിംഗ് സർക്യൂട്ട്
Clamping pad,ക്ലാമ്പിംഗ് പാഡ്
Clamshell,ക്ലാംഷെൽ
Clamshell dredger,ക്ലാംഷെൽ ഡ്രെഡ്ജർ
Clapeyron's equation,ക്ലാപ്പിറോണിന്റെ സമവാക്യം
Claw clutch,നഖ ക്ലച്ച്
Claw coupling,ക്ലാവ് കപ്ലിംഗ്
Clearance,ക്ലിയറൻസ്
Clearance,ക്ലിയറൻസ്
Clearance diagram,ക്ലിയറൻസ് ഡയഗ്രം
Clearance fit,ക്ലിയറൻസ് ഫിറ്റ്
Cleavage,പിളർപ്പ്
Clevis pin,ക്ലെവിസ് പിൻ
Clinker,ക്ലിങ്കർ
Clinkering coal,ക്ലിങ്കറിംഗ് കൽക്കരി
Clock frequency,ക്ലോക്ക് ഫ്രീക്വൻസി
Clock pulse,ക്ലോക്ക് പൾസ്
Clogging,ക്ലോഗ്ഗിംഗ്
Clogging,ക്ലോഗ്ഗിംഗ്
Clogging filter,ക്ലോഗ്ഗിംഗ് ഫിൽട്ടർ
Close annealing,ക്ലോസ് അനീലിംഗ്
Close coiled spring,ചുരുണ്ട സ്പ്രിംഗ് അടയ്ക്കുക
Close coupling,ക്ലോസ് കപ്ലിംഗ്
Close fit,ക്ലോസ് ഫിറ്റ്
Close run fit,ക്ലോസ് റൺ ഫിറ്റ്
Closed and pintle chain,അടഞ്ഞതും പൈന്റൽ ചെയിൻ
Clout nail,ക്ലൗട്ട് നഖം
Club tool,ക്ലബ് ഉപകരണം
Clutch,ക്ലച്ച്
"Clutch, claw","ക്ലച്ച്, നഖം"
Clutch pedal,ക്ലച്ച് പെഡൽ
Coal ash,കൽക്കരി ചാരം
Coal burner,കൽക്കരി ബർണർ
Coal chute,കൽക്കരി ചട്ടി
Coal pulverizer,കൽക്കരി പൊടിക്കുന്ന യന്ത്രം
Coated abrasive,പൊതിഞ്ഞ ഉരച്ചിലുകൾ
Cock,കോഴി
Coefficient,ഗുണകം
Coefficient matrix,കോഫിഫിഷ്യന്റ് മാട്രിക്സ്
Coefficient of adhesion,അഡീഷൻ കോഫിഫിഷ്യന്റ്
Coefficient of dynamic viscocity,ഡൈനാമിക് വിസ്കോസിറ്റിയുടെ ഗുണകം
Coefficient of expansion,വികാസത്തിന്റെ ഗുണകം
Coefficient of fluctuation of energy,ഊർജ്ജത്തിന്റെ ഏറ്റക്കുറച്ചിലിന്റെ ഗുണകം
Coefficient of irregularity,ക്രമക്കേടിന്റെ ഗുണകം
Coefficient of permeability,പ്രവേശനക്ഷമതയുടെ ഗുണകം
Coefficient of resistance,പ്രതിരോധത്തിന്റെ ഗുണകം
Coefficient of restitution,തിരിച്ചടവിന്റെ ഗുണകം
Coefficient of restraint,നിയന്ത്രണത്തിന്റെ ഗുണകം
Coefficient of rolling friction,ഉരുളുന്ന ഘർഷണത്തിന്റെ ഗുണകം
Coefficient of sliding friction,സ്ലൈഡിംഗ് ഘർഷണത്തിന്റെ ഗുണകം
Coefficient of viscosity,വിസ്കോസിറ്റിയുടെ ഗുണകം
Coefficient of viscois damping,വിസ്കോയിസ് ഡാമ്പിംഗിന്റെ ഗുണകം
Coefficient of wind resistance,കാറ്റ് പ്രതിരോധത്തിന്റെ ഗുണകം
Coercive force,നിർബന്ധിത ശക്തി
Cog,കോഗ്
Cog,കോഗ്
Coil span factor,കോയിൽ സ്പാൻ ഘടകം
Coiled key,കോയിൽഡ് കീ
Coir,കയർ
Coking,പാചകം
Coking coal,കോക്കിംഗ് കൽക്കരി
Cold chamber,തണുത്ത അറ
Cold chisel,തണുത്ത ഉളി
Cold crack,തണുത്ത വിള്ളൽ
Cold drawing,തണുത്ത ഡ്രോയിംഗ്
Cold finishing,തണുത്ത ഫിനിഷിംഗ്
Cold forging,തണുത്ത കെട്ടിച്ചമയ്ക്കൽ
Cold heading,തണുത്ത തലക്കെട്ട്
Cold moulding,തണുത്ത മോൾഡിംഗ്
Cold rolling,തണുത്ത ഉരുളൽ
Cold shortness,തണുത്ത ഷോർട്ട്നെസ്സ്
Cold shut,തണുത്ത അടച്ചു
Cold storage,ശീതസംഭരണി
Cold treatment,തണുത്ത ചികിത്സ
Cold weld,തണുത്ത വെൽഡ്
Collapsible door,തകർക്കാവുന്ന വാതിൽ
Collar,കുപ്പായക്കഴുത്ത്
Collar bearing,കോളർ ബെയറിംഗ്
Collar stud,കോളർ സ്റ്റഡ്
Collet,കോളെറ്റ്
Collet adapter,കോളറ്റ് അഡാപ്റ്റർ
Collet chuck,കോളെറ്റ് ചക്ക്
Collision ionisation,കൂട്ടിയിടി അയോണൈസേഷൻ
Collision probability,കൂട്ടിയിടി സാധ്യത
Collision reaction rate theory,കൂട്ടിയിടി പ്രതികരണ നിരക്ക് സിദ്ധാന്തം
Colour temper,കളർ കോപം
Combination die,കോമ്പിനേഷൻ ഡൈ
Combination frequency,സംയോജന ആവൃത്തി
Combustion,ജ്വലനം
Combustion chamber,ജ്വലന അറ
Combustion characteristic,ജ്വലന സ്വഭാവം
Combustion gas analyser,ജ്വലന വാതക അനലൈസർ
Combustion indicator,ജ്വലന സൂചകം
Combustion knock,ജ്വലന മുട്ട്
Combustion rating,ജ്വലന റേറ്റിംഗ്
Combustion system,ജ്വലന സംവിധാനം
Combustion system,ജ്വലന സംവിധാനം
Comfortable temperature,സുഖപ്രദമായ താപനില
Compact,ഒതുക്കമുള്ളത്
Compact,ഒതുക്കമുള്ളത്
Compaction,കോംപാക്ഷൻ
Comparator,താരതമ്യക്കാരൻ
Compensation of gradient,ഗ്രേഡിയന്റിന്റെ നഷ്ടപരിഹാരം
Compensator,കോമ്പൻസേറ്റർ
Complementary shear stress,കോംപ്ലിമെന്ററി ഷിയർ സമ്മർദ്ദം
Complete constraint,പൂർണ്ണമായ നിയന്ത്രണം
Complex adsorption,സങ്കീർണ്ണമായ ആഗിരണം
Complex quantity,സങ്കീർണ്ണമായ അളവ്
Component,ഘടകം
Component,ഘടകം
Component,ഘടകം
Component coupling,ഘടകം ഘടിപ്പിക്കൽ
Component part,ഘടകം ഭാഗം
Composite,സംയുക്തം
Composite,സംയുക്തം
Composite,സംയുക്തം
Composite beam,സംയോജിത ബീം
Composite block,സംയോജിത ബ്ലോക്ക്
Compound,സംയുക്തം
Compound,സംയുക്തം
Compound,സംയുക്തം
Compound cylinder,സംയുക്ത സിലിണ്ടർ
Compound engine,സംയുക്ത എഞ്ചിൻ
Compound fit,കോമ്പൗണ്ട് ഫിറ്റ്
Compound gear,സംയുക്ത ഗിയർ
Compound pendulum,സംയുക്ത പെൻഡുലം
Compress air,വായു കംപ്രസ് ചെയ്യുക
Compress air brake,എയർ ബ്രേക്ക് കംപ്രസ് ചെയ്യുക
Compressibility,കംപ്രസിബിലിറ്റി
Compressibility factor,കംപ്രസിബിലിറ്റി ഘടകം
Compressing gauge,കംപ്രസിംഗ് ഗേജ്
Compression coupling,കംപ്രഷൻ കപ്ലിംഗ്
Compression ignition engine,കംപ്രഷൻ ഇഗ്നിഷൻ എഞ്ചിൻ
Compression interference,കംപ്രഷൻ ഇടപെടൽ
Compression spring,കംപ്രഷൻ സ്പ്രിംഗ്
Compression stroke,കംപ്രഷൻ സ്ട്രോക്ക്
Compressor,കംപ്രസ്സർ
Compressor plant,കംപ്രസർ പ്ലാന്റ്
Compressor reaction,കംപ്രസ്സർ പ്രതികരണം
Computability,കമ്പ്യൂട്ടബിലിറ്റി
Concave contour,കോൺകേവ് കോണ്ടൂർ
Concave curvature,കോൺകേവ് വക്രത
Concave face,കുത്തനെയുള്ള മുഖം
Concentrated load,കേന്ദ്രീകൃത ലോഡ്
Concentric arc,കേന്ദ്രീകൃത ആർക്ക്
Concentric chuck,കേന്ദ്രീകൃത ചക്ക്
Concentricity,ഏകാഗ്രത
Concept of continuum,തുടർച്ചയായ ആശയം
Condensation,കാൻസൻസേഷൻ
Condensation,കാൻസൻസേഷൻ
Condenser,കണ്ടൻസർ
Condenser,കണ്ടൻസർ
Condenser,കണ്ടൻസർ
Condenser efficiency,കണ്ടൻസർ കാര്യക്ഷമത
Condensing unit,കണ്ടൻസിങ് യൂണിറ്റ്
Conduction,ചാലകം
Conductivity,ചാലകത
Cone,കോൺ
Cone bearing,കോൺ ബെയറിംഗ്
Cone clutch,കോൺ ക്ലച്ച്
Cone coupling,കോൺ കപ്ലിംഗ്
Cone crusher,കോൺ ക്രഷർ
Cone drive,കോൺ ഡ്രൈവ്
Cone friction clutch,കോൺ ഫ്രിക്ഷൻ ക്ലച്ച്
Cone sleeve,കോൺ സ്ലീവ്
Cone wheel,കോൺ വീൽ
Cone worm,ശംഖുപുഴു
Configuration,കോൺഫിഗറേഷൻ
Conical divergence,കോണാകൃതിയിലുള്ള വ്യതിചലനം
Conical friction clutch,കോണാകൃതിയിലുള്ള ഘർഷണ ക്ലച്ച്
Conical friction coupling,കോണാകൃതിയിലുള്ള ഘർഷണ സംയോജനം
Conical head,കോണാകൃതിയിലുള്ള തല
Conical pivot,കോണാകൃതിയിലുള്ള പിവറ്റ്
Conical roller bearing,കോണാകൃതിയിലുള്ള റോളർ ബെയറിംഗ്
Conical seat,കോണാകൃതിയിലുള്ള ഇരിപ്പിടം
Coning and quartering,കോണിംഗും ക്വാർട്ടിംഗും
Conjugate stress,സമ്മർദ്ദം സംയോജിപ്പിക്കുക
Connecting link,ലിങ്ക് ബന്ധിപ്പിക്കുന്നു
Connecting rod,ബന്ധിപ്പിക്കുന്ന വടി
Connector,കണക്റ്റർ
Conservation of energy,ഊർജ്ജ സംരക്ഷണം
Consistancy,സ്ഥിരത
Constant damping contour,സ്ഥിരമായ നനവ് കോണ്ടൂർ
Constant delivery system,സ്ഥിരമായ വിതരണ സംവിധാനം
Constant discharge curve,സ്ഥിരമായ ഡിസ്ചാർജ് വക്രം
Constant enthalpy,സ്ഥിരമായ എൻതാൽപ്പി
Constant flux linkage,സ്ഥിരമായ ഫ്ലക്സ് ലിങ്കേജ്
Constant head,സ്ഥിരമായ തല
Constant moment zone,സ്ഥിരമായ നിമിഷ മേഖല
Constant pressure acumulator,സ്ഥിരമായ പ്രഷർ അക്യുമുലേറ്റർ
Constant pressure cycle,നിരന്തരമായ സമ്മർദ്ദ ചക്രം
Constant volume cycle,സ്ഥിരമായ വോളിയം സൈക്കിൾ
Constituent,ഘടകഭാഗം
Constituent,ഘടകഭാഗം
Constituent,ഘടകഭാഗം
Constrained motion,നിയന്ത്രിത ചലനം
Constrained tandem Combination,കൺസ്ട്രൈൻഡ് ടാൻഡം കോമ്പിനേഷൻ
Constraint,പരിമിതി
Constraint,പരിമിതി
Consumption,ഉപഭോഗം
Consumption of fuel,ഇന്ധന ഉപഭോഗം
Contact ratio of gear,ഗിയറിന്റെ കോൺടാക്റ്റ് അനുപാതം
Contact resistance,കോൺടാക്റ്റ് പ്രതിരോധം
Contact stress,സമ്മർദ്ദവുമായി ബന്ധപ്പെടുക
Contact strip,കോൺടാക്റ്റ് സ്ട്രിപ്പ്
Contamination,മലിനീകരണം
Continuity equation,തുടർച്ച സമവാക്യം
Continuity of elastic,ഇലാസ്റ്റിക് തുടർച്ച
Continuity shear,തുടർച്ച കത്രിക
Continuity test,തുടർച്ച പരിശോധന
Continuous,തുടർച്ചയായി
Continuous,തുടർച്ചയായി
Continuous,തുടർച്ചയായി
Continuous,തുടർച്ചയായി
Continuous annealing,തുടർച്ചയായ അനീലിംഗ്
Continuous beam,തുടർച്ചയായ ബീം
Continuous curve,തുടർച്ചയായ വക്രം
Continuous cycling,തുടർച്ചയായ സൈക്ലിംഗ്
Continuous frequency distribution,തുടർച്ചയായ ആവൃത്തി വിതരണം
Continuous full-load rating,തുടർച്ചയായ പൂർണ്ണ ലോഡ് റേറ്റിംഗ്
Continuous maximum rating,തുടർച്ചയായ പരമാവധി റേറ്റിംഗ്
Continuous phase,തുടർച്ചയായ ഘട്ടം
Continuous random variable,തുടർച്ചയായ റാൻഡം വേരിയബിൾ
Continuous rating,തുടർച്ചയായ റേറ്റിംഗ്
Continuous serveillance,തുടർച്ചയായ സേവനം
Continuous set function,തുടർച്ചയായ സെറ്റ് പ്രവർത്തനം
Continuous structure,തുടർച്ചയായ ഘടന
Continuous wire drawing,തുടർച്ചയായ വയർ ഡ്രോയിംഗ്
Continuum dynamics,തുടർച്ചയായ ചലനാത്മകത
Continuum electro-mechanical system,തുടർച്ചയായ ഇലക്ട്രോ മെക്കാനിക്കൽ സിസ്റ്റം
Continuum jig block,തുടർച്ചയായ ജിഗ് ബ്ലോക്ക്
Contour,കോണ്ടൂർ
Contour,കോണ്ടൂർ
Contour accuracy,കോണ്ടൂർ കൃത്യത
Contour flanging,കോണ്ടൂർ ഫ്ലേംഗിംഗ്
Contour integration,കോണ്ടൂർ സംയോജനം
Contour template,കോണ്ടൂർ ടെംപ്ലേറ്റ്
Contoured cylinder integrator,കോണ്ടൂർഡ് സിലിണ്ടർ ഇന്റഗ്രേറ്റർ
Contraction,സങ്കോചം
Contraction cavity,സങ്കോച അറ
Contraction co-efficient,കോൺട്രാക്ഷൻ കോ-എഫിഷ്യന്റ്
Contraction gradient,സങ്കോച ഗ്രേഡിയന്റ്
Contraction transition,സങ്കോച പരിവർത്തനം
Contra-cyclical,കോൺട്രാ-സൈക്ലിക്
Contrary flexure,വിപരീത വഴക്കം
Contra-variant tensor,കോൺട്രാ-വേരിയന്റ് ടെൻസർ
Control chart,നിയന്ത്രണ ചാർട്ട്
Convection,സംവഹനം
Convection co-efficient,സംവഹന കോ-എഫിഷ്യന്റ്
Convection flim coefficient,സംവഹന ഫ്ലിം കോഫിഫിഷ്യന്റ്
Convection number,സംവഹന നമ്പർ
Convection type superheater,സംവഹന തരം സൂപ്പർഹീറ്റർ
Convective acceleration,സംവഹന ത്വരണം
Convective amplification,സംവഹന ആംപ്ലിഫിക്കേഷൻ
Conventional milling,പരമ്പരാഗത മില്ലിങ്
Conventional notation,പരമ്പരാഗത നൊട്ടേഷൻ
Conventions of machine drawing,മെഷീൻ ഡ്രോയിംഗിന്റെ കൺവെൻഷനുകൾ
Convergence of meridia,മെറിഡിയയുടെ സംയോജനം
Convergent divergent nozzle,കൺവേർജന്റ് ഡൈവേർജന്റ് നോസൽ
Convergent sequence,ഒത്തുചേരൽ ക്രമം
Converging cone,ഒത്തുചേരുന്ന കോൺ
Converter,കൺവെർട്ടർ
Converter coupling,കൺവെർട്ടർ കപ്ലിംഗ്
Converter impedance,കൺവെർട്ടർ പ്രതിരോധം
Convertibility equation,പരിവർത്തന സമവാക്യം
Conveyor,കൺവെയർ
Convex contour,കോൺവെക്സ് കോണ്ടൂർ
Convex curvature,കോൺവെക്സ് വക്രത
Convolution,കൺവ്യൂഷൻ
Coolant,കൂളന്റ്
Coolant pump,കൂളന്റ് പമ്പ്
Cooler,കൂളർ
Cooling fin,കൂളിംഗ് ഫിൻ
Cooling stress,തണുപ്പിക്കൽ സമ്മർദ്ദം
Cope,നേരിടാൻ
Cope,നേരിടാൻ
Cope and drag pattern,കോപ്പ് ആൻഡ് ഡ്രാഗ് പാറ്റേൺ
Coplaner,കോപ്ലാനർ
Copper bit,ചെമ്പ് ബിറ്റ്
Copper bronze,ചെമ്പ് വെങ്കലം
Copper conductor,ചെമ്പ് കണ്ടക്ടർ
Copper smith,കോപ്പർ സ്മിത്ത്
Copying lathe,ലാത്ത് പകർത്തുന്നു
Core,കോർ
Core blowing machine,കോർ ഊതുന്ന യന്ത്രം
Core boring,കാതലായ വിരസത
Core box,കോർ ബോക്സ്
Core drill,കോർ ഡ്രിൽ
Core drying,കോർ ഉണക്കൽ
Cork,കോർക്ക്
Corner joint,കോർണർ ജോയിന്റ്
Correction,തിരുത്തൽ
Correction,തിരുത്തൽ
Correlation,പരസ്പരബന്ധം
Corrosion,നാശം
Corrosion fatigue,നാശം ക്ഷീണം
Corrosion resistance,നാശ പ്രതിരോധം
Corrugated,കോറഗേറ്റഡ്
Corrugation,കോറഗേഷൻ
Costing,ചെലവ്
Cotter,കോട്ടർ
Cotter joint,കോട്ടർ ജോയിന്റ്
Cotter pin,കോട്ടർ പിൻ
Cotter slot,കോട്ടർ സ്ലോട്ട്
Cotton waste,പരുത്തി മാലിന്യം
Counter,കൗണ്ടർ
Counter,കൗണ്ടർ
Counter,കൗണ്ടർ
Counter base,കൌണ്ടർ ബേസ്
Counter bore,കൗണ്ടർ ബോർ
Counter bore,കൗണ്ടർ ബോർ
Counter brace,കൌണ്ടർ ബ്രേസ്
Counter current heat exchanger,കൌണ്ടർ കറന്റ് ഹീറ്റ് എക്സ്ചേഞ്ചർ
Counter flow,കൌണ്ടർ ഫ്ലോ
Countersink,കൗണ്ടർസിങ്ക്
Couple,ദമ്പതികൾ
Couple,ദമ്പതികൾ
Coupler,കപ്ലർ
Coupling,ഇണചേരൽ
Coupling,ഇണചേരൽ
Coupling co-efficient,കപ്ലിംഗ് കോ-എഫിഷ്യന്റ്
Coupling factor,കപ്ലിംഗ് ഘടകം
Coupling network,കപ്ലിംഗ് നെറ്റ്‌വർക്ക്
Coupling parameter,കപ്ലിംഗ് പാരാമീറ്റർ
Coupling rod,കപ്ലിംഗ് വടി
Cowl,പശു
Crab,ഞണ്ട്
Crabbing,ഞണ്ട്
Crack,പിളര്പ്പ്
Cracking,പൊട്ടൽ
Cracking,പൊട്ടൽ
Cracking,പൊട്ടൽ
Crane,ക്രെയിൻ
Crane hook,ക്രെയിൻ ഹുക്ക്
Crank,ക്രാങ്ക്
Crank axle,ക്രാങ്ക് ആക്സിൽ
Crank case,ക്രാങ്ക് കേസ്
Crank effort diagram,ക്രാങ്ക് പ്രയത്ന ഡയഗ്രം
Crank pin,ക്രാങ്ക് പിൻ
Crank pin bearing,ക്രാങ്ക് പിൻ ബെയറിംഗ്
Crank shaft,ക്രാങ്ക് ഷാഫ്റ്റ്
Crank throw,ക്രാങ്ക് ത്രോ
Crank web,ക്രാങ്ക് വെബ്
Crash,തകര്ച്ച
Crash test,ക്രാഷ് ടെസ്റ്റ്
Creeping action,ഇഴയുന്ന പ്രവർത്തനം
Creosote oil,ക്രിയോസോട്ട് ഓയിൽ
Creosoting,ക്രിയോസോട്ടിംഗ്
Crest factor,ക്രെസ്റ്റ് ഘടകം
Crest value,ക്രെസ്റ്റ് മൂല്യം
Crib,തൊട്ടിലിൽ
Critical angle analysis,ക്രിട്ടിക്കൽ ആംഗിൾ വിശകലനം
Critical bond stress,ഗുരുതരമായ ബോണ്ട് സമ്മർദ്ദം
Critical  compression ratio,ക്രിട്ടിക്കൽ കംപ്രഷൻ അനുപാതം
Critical condition,ഗുരുതരമായ അവസ്ഥ
Critical coupling,ക്രിട്ടിക്കൽ കപ്ലിംഗ്
Critical damping,ക്രിട്ടിക്കൽ ഡാംപിംഗ്
Critical frequency,ഗുരുതരമായ ആവൃത്തി
Critical gradient,ക്രിട്ടിക്കൽ ഗ്രേഡിയന്റ്
Critical path method,ക്രിട്ടിക്കൽ പാത്ത് രീതി
Critical path scheduling,ഗുരുതരമായ പാത ഷെഡ്യൂളിംഗ്
Critical speed,നിർണായക വേഗത
Critical stress,ഗുരുതരമായ സമ്മർദ്ദം
Critical temperature,ഗുരുതരമായ താപനില
Critical velocity,നിർണായക വേഗത
Crocodile lever,മുതല ലിവർ
Cropping,ക്രോപ്പിംഗ്
Cross arm,ക്രോസ് ഭുജം
Cross bearer,കുരിശ് വഹിക്കുന്നയാൾ
Cross belt drive,ക്രോസ് ബെൽറ്റ് ഡ്രൈവ്
Cross belt driver,ക്രോസ് ബെൽറ്റ് ഡ്രൈവർ
Cross centre,ക്രോസ് സെന്റർ
Cross coupled,ക്രോസ് കപ്പിൾഡ്
Cross cut chisel,ക്രോസ് കട്ട് ഉളി
Cross cut file,ക്രോസ് കട്ട് ഫയൽ
Cross feed,ക്രോസ് ഫീഡ്
Cross feed motion,ക്രോസ് ഫീഡ് ചലനം
Cross feeding,ക്രോസ് ഫീഡിംഗ്
Cross grain,ക്രോസ് ധാന്യം
Cross grooving,ക്രോസ് ഗ്രൂവിംഗ്
Cross hatching,ക്രോസ് ഹാച്ചിംഗ്
Cross head,ക്രോസ് ഹെഡ്
Cross head guide,ക്രോസ് ഹെഡ് ഗൈഡ്
Cross pein hammer,ക്രോസ് പെയിൻ ചുറ്റിക
Cross rail,ക്രോസ് റെയിൽ
Cross section,ക്രോസ് സെക്ഷൻ
Cross section schematic,ക്രോസ് സെക്ഷൻ സ്കീമാറ്റിക്
Cross sectional area,ക്രോസ് സെക്ഷണൽ ഏരിയ
Cross shaft,ക്രോസ് ഷാഫ്റ്റ്
Cross slide,ക്രോസ് സ്ലൈഡ്
Crossed eccentric rod,ക്രോസ്ഡ് എക്സെൻട്രിക് വടി
Crossing file,ക്രോസിംഗ് ഫയൽ
Crowbar,ക്രോബാർ
Crowned plate,കിരീടമുള്ള പ്ലേറ്റ്
Crucible,ക്രൂസിബിൾ
Crucible melting,ക്രൂസിബിൾ ഉരുകൽ
Crude,ക്രൂഡ്
Crude petroleum,ക്രൂഡ് പെട്രോളിയം
Cruising speed,ക്രൂയിസിംഗ് വേഗത
Crushed carbide,തകർന്ന കാർബൈഡ്
Crystal detector,ക്രിസ്റ്റൽ ഡിറ്റക്ടർ
Cumulative maximum requirement,ക്യുമുലേറ്റീവ് പരമാവധി ആവശ്യകത
Cumulative pitch,ക്യുമുലേറ്റീവ് പിച്ച്
Cup-headed bolt,കപ്പ് തലയുള്ള ബോൾട്ട്
Cupola,കുപ്പോള
Cupolaman,കുപ്പോളമാൻ
Cupping die,കപ്പിംഗ് ഡൈ
Curvature,വക്രത
Curve,വക്രം
Curvilinear acceleration,Curvilinear ത്വരണം
Curvilinear network,കർവിലീനിയർ നെറ്റ്‌വർക്ക്
Cusec,ക്യൂസെക്
Cushion,തലയണ
Cushioning,കുഷ്യനിംഗ്
Cut-off governing,കട്ട് ഓഫ് ഭരണം
Cut-off mechanism,കട്ട് ഓഫ് മെക്കാനിസം
Cut-off point,കട്ട് ഓഫ് പോയിന്റ്
Cutter,കട്ടർ
Cutter,കട്ടർ
Cutting alloy,കട്ടിംഗ് അലോയ്
Cutting edge,കട്ടിംഗ് എഡ്ജ്
Cutting feed,കട്ടിംഗ് ഫീഡ്
Cutting flame,അഗ്നിജ്വാല മുറിക്കുന്നു
Cutting fluid,കട്ടിംഗ് ദ്രാവകം
Cutting speed,കട്ടിംഗ് വേഗത
Cutting tool,കട്ടിംഗ് ഉപകരണം
Cyaniding,സയനൈഡിംഗ്
Cybernetics,സൈബർനെറ്റിക്സ്
Cycle,സൈക്കിൾ
Cycle,സൈക്കിൾ
Cycle time,സൈക്കിൾ സമയം
Cyclic load,സൈക്ലിക് ലോഡ്
Cyclic stress,സൈക്ലിക് സമ്മർദ്ദം
Cyclically repeated,ചാക്രികമായി ആവർത്തിച്ചു
Cyclograph,സൈക്ലോഗ്രാഫ്
Cycloid,സൈക്ലോയിഡ്
