Punjabi,English
ਬਾਰਡਰ ਲਾਈਨ,Border line
ਕਰਜ਼ਾ ਲੈਣ ਵਾਲੇ,Borrower
ਉਧਾਰ ਕਰਨ ਵਾਲੀ ਸ਼ਕਤੀ,Borrowing power
ਬੌਸ,Boss
ਬੋਤਲ ਨੋਕ,Bottleneck
ਬਰੈਕਟ,Bracket
ਸੀਮਾ,Boundary
ਬਾਈਕਾਟ,Boycott
ਦਿਮਾਗੀ ਡਰੇਨ,Brain drain
ਬ੍ਰਾਂਚ ਆਫ਼ਿਸ,Branch office
ਉਲੰਘਣਾ,Breach
ਸਮਝੌਤੇ ਦੀ ਉਲੰਘਣਾ,Breach of agreement
ਵਿਸ਼ਵਾਸ ਦੀ ਉਲੰਘਣਾ,Breach of confidence
ਇਕਰਾਰਨਾਮੇ ਦੀ ਉਲੰਘਣਾ,Breach of contract
ਅਨੁਸ਼ਾਸਨ ਦੀ ਉਲੰਘਣਾ,Breach of discipline
ਕਾਨੂੰਨ ਦੀ ਉਲੰਘਣਾ,Breach of law
ਸ਼ਾਂਤੀ ਦੀ ਉਲੰਘਣਾ,Breach of peace
ਪ੍ਰਾਇਟੀਜ ਦੀ ਉਲੰਘਣਾ,Breach of privilege
ਵਾਅਦੇ ਦੀ ਉਲੰਘਣਾ,Breach of promise
ਨਿਯਮ ਦੀ ਉਲੰਘਣਾ,Breach of rule
ਵਿਸ਼ਵਾਸ ਦੀ ਉਲੰਘਣਾ,Breach of trust
ਟੁੱਟਣਾ,Breakage
ਟੁੱਟ ਜਾਣਾ,Break down
ਸੇਵਾ ਵਿੱਚ ਤੋੜ,Break in service
ਰਿਸ਼ਤਾ ਤੋੜਨਾ,Break-up
ਨਸਲ,Breed
ਰਿਸ਼ਵਤ,Bribe
ਸੰਖੇਪ,Brief
ਬ੍ਰੀਫਿੰਗ,Briefing
ਸੰਖੇਪ ਰੈਜ਼ਿ .ਮੇ,Brief resume
ਹੁਸ਼ਿਆਰ ਰਿਕਾਰਡ,Brilliant record
ਧਿਆਨ ਵਿੱਚ ਲਿਆਓ,Bring into notice
ਪ੍ਰਸਾਰਣ,Broadcast
ਬਰਾਡਸ਼ੇਟ,Broadsheet
ਬਰੋਸ਼ਰ,Brochure
ਬ੍ਰੋਕਰੇਜ,Brokerage
ਅੱਗੇ ਲਿਆਇਆ (ਬੀ / ਐਫ),Brought forward (b/f)
ਬਜਟ ਅਲਾਟਮੈਂਟ,Budget allocation
ਬਜਾਰੀ ਨਿਯੰਤਰਣ,Bugetary control
ਬਜਟ ਅਨੁਮਾਨ,Budget estimate
ਬਜਟ ਪ੍ਰਬੰਧ,Budget provision
ਇਮਾਰਤ,Building
ਥੋਕ,Bulk
ਥੋਕ ਖਰੀਦ,Bulk purchase
ਬੁਲੇਟਿਨ,Bulletin
ਬੰਪਰ ਫਸਲ,Bumper crop
ਖਾਲੀ ਅਸਾਮੀਆਂ,Bunching of vacancies
ਧੁੰਦਲਾ,Bungling
ਨੌਕਰਸ਼ਾਹੀ,Bureaucracy
ਬੁਟਸ਼ਾਹ,Bureaucrat
ਕਾਰੋਬਾਰੀ ਵਰਗ,Business class
ਵਪਾਰ ਦਾ ਸਮਾਂ (= ਵਪਾਰ ਦੇ ਘੰਟੇ),Business hours (= hours of business)
ਕਾਰੋਬਾਰੀ,Businessman
ਵਾਪਸ ਖਰੀਦੋ,Buy-back
ਖਰੀਦਦਾਰ,Buyer
ਬਾਈ ਚੋਣ (= ਚੋਣ ਦੁਆਰਾ),Bye election (=by election)
ਹੱਥ ਨਾਲ,By hand
ਡਾਕ ਰਾਹੀ,By post
ਕੈਬਿਨ ਸਮਾਨ,Cabin baggage
ਕੈਬਨਿਟ,Cabinet
ਕੇਡਰ,Cadre
ਬਿਪਤਾ,Calamity
ਗਣਨਾ,Calculation
ਕੈਲੰਡਰ ਸਾਲ,Calendar year
ਮੁਹਿੰਮ,Campaign
ਕੈਂਪਸ,Campus
ਕੈਂਪਸ ਇੰਟਰਵਿ view,Campus interview
ਰੱਦ ਕਰੋ,Cancel
ਰੱਦ,Cancellation
ਉਮੀਦਵਾਰ,Candidate
ਉਮੀਦਵਾਰੀ,Candidature
ਕੈਨਵੈਸਿੰਗ,Canvassing
ਸਮਰੱਥਾ,Capability
ਸਮਰੱਥ,Capable
ਸਮਰੱਥਾ,Capacity
ਪੂੰਜੀ,Capital
ਪੂੰਜੀਗਤ ਖਰਚ,Capital expenditure
ਮੋਤ ਦੀ ਸਜਾ,Capital punishment
ਕੈਪਟੇਸ਼ਨ ਫੀਸ,Capitation fee
ਕੈਪਚਰ,Capture
ਦੇਖਭਾਲ,Care
ਕਰੀਅਰ,Career
ਕਰੀਅਰ ਦਾ ਵਿਕਾਸ,Career development
ਕੇਅਰਟੇਕਰ ਸਰਕਾਰ,Caretaker government
ਅੱਗੇ ਲੈ ਗਿਆ (ਸੀ / ਐਫ),Carried forward (c/f)
ਅੱਗੇ ਵਧਾਓ,Carry forward
ਲਿਜਾਣ ਦੀ ਕੀਮਤ,Carrying cost
ਅੱਗੇ ਲੈ ਜਾਣਾ,Carry over
ਕਾਰਟੇਜ,Cartage
ਕੇਸ,Case
ਮਾਮਲੇ 'ਦਾ ਅਧਿਐਨ,Case study
ਨਕਦ,Cash
ਨਕਦ ਸੰਤੁਲਨ,Cash balance
ਨਕਦ ਕਿਤਾਬ,Cash book
ਨਕਦ ਕਾਰਡ,Cash card
ਨਕਦ ਸਰਟੀਫਿਕੇਟ,Cash certificate
ਨਕਦ ਕਾ counter ਂਟਰ,Cash counter
ਨਕਦ ਫਸਲ,Cash crop
ਨਕਦ ਛੂਟ,Cash discount
ਨਕਦ ਥੱਲੇ,Cash down
ਹੱਥ ਵਿੱਚ ਨਕਦ,Cash in hand
ਨਕਦ ਮੀਮੋ,Cash memo
ਨਕਦ ਭੁਗਤਾਨ,Cash payment
ਜਾਤੀ,Caste
ਜਾਤੀ ਸਰਟੀਫਿਕੇਟ,Caste certificate
ਵੋਟ ਪਾਉਣ ਲਈ,Casting vote
ਆਮ,Casual
ਆਮ ਕਿਰਤ,Casual labour
ਸਧਾਰਣ ਛੁੱਟੀ,Casual leave
ਹਾਦਸੇ,Casualty
ਆਮ ਖਾਲੀ ਥਾਂ,Casual vacancy
ਕੈਟਾਲਾਗ,Catalogue
ਸ਼੍ਰੇਣੀਵਾਦੀ,Categorical
ਸ਼੍ਰੇਣੀ,Category
ਕੇਟਰਿੰਗ ਸੇਵਾ,Catering service
ਸਾਵਧਾਨ,Caution
ਸਾਵਧਾਨ ਪੈਸਾ,Caution money
ਅੱਗ ਲੱਗ ਗਈ,Cease fire
"ਛੱਤ (""ਕੀਮਤ"")","Ceiling (as of ""price"")"
ਜਸ਼ਨ,Celebration
ਮੋਬਾਇਲ ਫੋਨ,Cell phone
ਸੈਂਸਰ,Censor
ਸੈਂਸਰ,Censure
ਸੈਂਸਰ,Censure motion
ਮਰਦਮਸ਼ੁਮਾਰੀ,Census
ਕੇਂਦਰੀ ਸੈੱਸ,Central cess
ਕੇਂਦਰੀ ਸਿਵਲ ਸੇਵਾ ਦੇ ਨਿਯਮ,Central civil service  rules
ਕੇਂਦਰੀ ਆਬਕਾਰੀ,Central excise
ਕੇਂਦਰ ਸਰਕਾਰ,Central government
ਕੇਂਦਰੀਕਰਨ,Centralization
ਕੇਂਦਰੀਕ੍ਰਿਤ ਸੇਵਾ,Centralized service
ਕੇਂਦਰੀ ਫੰਡ ਕੀਤੀ ਸਕੀਮ,Centrally funded scheme
ਕੇਂਦਰੀ ਸਪਾਂਸਰ ਕੀਤੀ ਸਕੀਮ,Centrally sponsored scheme
ਕੇਂਦਰੀ ਦਫਤਰ,Central office
ਕੇਂਦਰੀ ਮਾਲੀਆ,Central revenues
ਕੇਂਦਰੀ ਵਿਕਰੀ ਟੈਕਸ,Central sales tax
ਕੇਂਦਰ,Centre
ਸਦੀ,Century
ਅਨਾਜ,Cereal
ਸੀਰੀਅਲਿਸਟ,Cerealist
ਰਸਮੀ ਪਰੇਡ,Ceremonial parade
ਸਮਾਰੋਹ,Ceremony
ਸਰਟੀਫਿਕੇਟ,Certificate
ਤੰਦਰੁਸਤੀ ਦਾ ਸਰਟੀਫਿਕੇਟ,Certificate of fitness
ਪੋਸਟਿੰਗ ਦਾ ਸਰਟੀਫਿਕੇਟ,Certificate of posting
ਸੇਵਾ ਦਾ ਸਰਟੀਫਿਕੇਟ,Certificate of service
ਸਰਟੀਫਿਕੇਸ਼ਨ,Certification
ਪ੍ਰਮਾਣਿਤ ਕਾੱਪੀ,Certified copy
ਪ੍ਰਮਾਣਿਤ,Certify
ਸੈੱਸ,Cess
ਬੰਦ,Cessation
ਚੇਨ,Chain
ਚੇਅਰਮੈਨ / ਚੇਅਰਪਰਸਨ,Chairman/chairperson
ਚਲਾਨ,Challan
ਚੁਣੌਤੀ,Challenge
ਚੈਂਬਰ,Chamber
ਵਪਾਰ ਮੰਡਲ,Chamber of commerce
ਬਦਲੋ,Change
ਹਫੜਾ-ਦਫੜੀ,Chaos
ਅਧਿਆਇ,Chapter
ਪਾਤਰ ਕਤਲ,Character assassination
ਅੱਖਰ ਸਰਟੀਫਿਕੇਟ,Character certificate
ਚਾਰਜ,Charge
ਜਾਇਦਾਦ 'ਤੇ ਚਾਰਜ ਕਰੋ,Charge over property
ਚਾਰਜਸ਼ੀਟ,Charge sheet
ਚੈਰੀਟੇਬਲ,Charitable
ਦਾਨ,Charity
ਚਾਰਟ,Chart
ਚਾਰਟਰ,Charter
ਚਸੀਸ ਨੰਬਰ,Chasis number
ਧੋਖਾਧੜੀ,Cheating
ਚੈਕ,Check
ਚੈੱਕ ਲਿਸਟ,Check list
ਪੋਸਟ ਪੋਸਟ ਚੈੱਕ ਕਰੋ,Check post
ਕੈਮਿਸਟ,Chemist
ਚੈਕ,Cheque
ਚੈੱਕ ਕਰਨ ਦਿਓ,Cheque let
ਮੁਖੀ,Chief
ਬੱਚੇ ਸਿੱਖਿਆ ਭੱਤੇ,Children education allowance
ਬਾਲ ਸ਼ੋਸ਼ਣ,Child exploitation
ਬਾਲ ਮਜਦੂਰੀ,Child labour
ਬਾਲ ਭਲਾਈ,Child welfare
ਦੀਰਘ,Chronic
ਇਤਿਹਾਸਕ ਕ੍ਰਮ (= ਕ੍ਰੋਕੋਲੋਜੀਕਲ ਕ੍ਰਮ),Chronological order(=chronological sequence)
ਚੱਕਰ,Circle
ਸਰਕਟ ਹਾ House ਸ,Circuit house
ਸਰਕੂਲਰ (= ਸਰਕੂਲਰ ਪੱਤਰ),Circular (=circular letter)
ਗੇੜ,Circulation
ਹਾਲਾਤ,Circumstance
ਹਾਲਾਤ ਦੇ ਸਬੂਤ,Circumstantial evidence
ਹਵਾਲਾ,Citation
ਸਿਟੀਜ਼ਨਸ਼ਿਪ,Citizenship
ਸ਼ਹਿਰ ਮੁਆਵਜ਼ਾ ਭੱਤਾ,City compensatory allowance
ਸਿਵਿਕ ਸਹੂਲਤਾਂ,Civic amenities
ਸਿਵਲ,Civil
ਸਿਵਲ ਕੋਡ,Civil code
ਸਿਵਲ ਡਿਫੈਂਸ,Civil defence
ਸਿਵਲ ਸੂਚੀ,Civil list
ਸਿਵਲ ਵਿਆਹ,Civil marriage
ਸਿਵਲ ਪਰੋਜਰ ਕੋਡ,Civil procedure code
ਸਿਵਲ ਸੇਵਾ,Civil service
ਸਿਵਲ ਮੁਕੱਦਮਾ,Civil suit
ਸਿਵਲ ਸਪਲਾਈ,Civil supplies
ਸਿਵਲ ਯੁੱਧ,Civil war
ਦਾਅਵਾ,Claim
ਦਾਅਵੇਦਾਰ,Claimant
ਦਾਅਵਾ ਫਾਰਮ,Claim form
ਰਿਫੰਡ ਲਈ ਦਾਅਵਾ,Claim for refund
ਸਪਸ਼ਟੀਕਰਨ,Clarification
ਕਲਾਸ,Class
ਕਲਾਸੀਫਾਈਡ ਇਸ਼ਤਿਹਾਰਬਾਜ਼ੀ,Classified advertisement
ਕਲਾਸੀਫਾਈਡ ਦਸਤਾਵੇਜ਼,Classified documents
ਕਲਾਸੀਫਾਈਡ ਜਾਣਕਾਰੀ,Classified information
ਕਲਾਸੀਫਾਈ ਕਰੋ,Classify
ਕਲਾਸਵਾਈਸ,Classwise
ਧਾਰਾ,Clause
ਕਲੀਅਰੈਂਸ,Clearance
ਅਸਲੀ ਨੂੰ ਸਾਫ,Clear vacancy
ਕਲੈਰੀਕਲ,Clerical
ਕਲੈਰੀਕਲ ਕੇਡਰ,Clerical cadre
ਕਲਰਕੀ ਗਲਤੀ,Clerical error
ਕਲੈਰੀਕਲ ਸਟਾਫ,Clerical staff
ਕਲੈਰੀਕਲ ਕੰਮ,Clerical work
ਗਾਹਕ,Client
ਕਲੋਕ ਕਮਰਾ,Cloak room
ਸਾਲ ਦੇ ਨੇੜੇ,Close of the year
ਬੰਦ ਕਰਨ ਵਾਲਾ ਸੰਤੁਲਨ,Closing balance
ਬੰਦ ਕਰਨ ਦੀ ਤਾਰੀਖ,Closing date
ਬੰਦ,Closure
ਸੁਰਾਗ,Clue
ਕੰਪਨੀ (ਜਿਵੇਂ ਕਿ 'ਸਹਿ-ਚੇਅਰਮੈਨ'),Co (as in 'co-chairman')
ਸਹਿ-ਮੁਲਜ਼ਮ,Co-accused
ਕੋਚਿੰਗ,Coaching
ਗੱਠਜੋੜ ਦੀ ਸਰਕਾਰ,Coalition government
ਕੋਡ,Code
ਕੋਡ ਨੰਬਰ,Code number
ਚਾਲ - ਚਲਣ,Code of conduct
ਕੋਡ ਸ਼ਬਦ,Code word
ਕੋਡਿੰਗ,Coding
ਜ਼ਬਰਦਸਤੀ,Coercion
ਸਹਿ-ਮੌਜੂਦਗੀ,Co-existence
ਗੁਜ਼ਾਰਨਯੋਗ,Cognizable
ਗੁਜ਼ਾਰਨਯੋਗ ਅਪਰਾਧ,Cognizable offence
ਸਮਝ,Cognizance
ਇਤਫਾਕ,Coincidence
ਸਹਿਕਾਰਤਾ,Collaboration
ਜਮਾਂਦਰੂ ਸੁਰੱਖਿਆ,Collateral security
ਸਾਥੀ,Colleague
ਸਮੂਹਕ,Collective
ਸਮੂਹਿਕ ਜ਼ਿੰਮੇਵਾਰੀ,Collective responsibility
ਇਕੱਠਾ ਕਰੋ,Collectorate
ਮਿਲੀਭੁਗਤ,Collusion
ਕਲੋਨੀ,Colony
ਰੰਗ ਅੰਨ੍ਹੇਪਣ,Colour blindness
ਕਾਲਮ,Column
ਸੰਚਾਲਨ ਦਾ ਕੰਮ,Combing operation
ਕਮਾਂਡ,Command
ਯਾਦਗਾਰ,Commemoration
ਸ਼ਲਾਘਾਯੋਗ,Commendable
ਯਾਦਗਾਰੀ,Commensurate
ਟਿੱਪਣੀ,Commentary
ਟਿੱਪਣੀਆਂ,Comments
ਵਣਜ,Commerce
ਵਪਾਰਕ ਬਰੇਕ,Commercial break
ਕਮਿਸ਼ਨ,Commission
ਕਮਿਸ਼ਨਿੰਗ,Commissioning
ਵਚਨਬੱਧ,Commit
ਵਚਨਬੱਧਤਾ,Commitment
ਕਮੋਡਿਟੀ,Commodity
ਆਮ,Common
ਫਿਰਕੂ,Communal
ਫਿਰਕੂ ਸਦਭਾਵਨਾ,Communal harmony
ਸੰਚਾਰ,Communicate
ਸੰਚਾਰ,Communication
ਸੰਚਾਰ ਪਾੜਾ,Communication gap
ਕਮਿ commun ਨੀਕ,Communique
ਕਮਿ Community ਨਿਟੀ,Community
ਕਮਿ Community ਨਿਟੀ ਸੈਂਟਰ,Community centre
ਕਮਿ Community ਨਿਟੀ ਡਿਵੈਲਪਮੈਂਟ ਪ੍ਰੋਜੈਕਟ,Community development project
ਕਮਿ Community ਨਿਟੀ ਸੇਵਾ,Community service
ਕਮਿ icutation ਟੇਸ਼ਨ,Commutation
ਅਪਣਾਇਆ ਛੁੱਟੀ,Commuted leave
ਤਿਆਗਿਆ ਮੁੱਲ,Commuted value
ਤੁਲਨਾ,Comparison
ਹਮਦਰਦੀ,Compassion
ਦਿਆਲੂ ਧਰਤੀ,Compassionate ground
ਹਮਦਰਦੀ ਦੀ ਛੁੱਟੀ,Compassionate leave
ਅਨੁਕੂਲ,Compatible
ਮਜਬੂਰ,Compel
ਸਮਪੈਂਟਿਅਮ,Compendium
ਮੁਆਵਜ਼ਾ,Compensation
ਮੁਆਵਜ਼ਾ ਭੱਤਾ,Compensatory allowance
ਮੁਆਵਜ਼ਾ ਛੁੱਟੀ,Compensatory leave
ਯੋਗਤਾ,Competence
ਕਾਬਲ,Competent
ਸਮਰੱਥ ਅਥਾਰਟੀ,Competent authority
ਮੁਕਾਬਲਾ,Competition
ਮੁਕਾਬਲੇ ਵਾਲੀ ਪ੍ਰੀਖਿਆ,Competitive examination
ਸੰਗ੍ਰਹਿ,Compilation
ਸ਼ਿਕਾਇਤ,Complaint
ਸ਼ਿਕਾਇਤ ਕਿਤਾਬ,Complaint book
ਸਹਾਇਕਣ,Complement
ਪੂਰਕ,Complementary
ਪੂਰਾ,Complete
ਸੰਪੂਰਨਤਾ ਸਰਟੀਫਿਕੇਟ,Completion certificate
ਰਹਿਤ,Compliance
ਗੁੰਝਲਦਾਰ,Complicated
ਤਾਰੀਫ,Compliment
ਪ੍ਰਸੰਸਾਯੋਗ ਕਾੱਪੀ,Complimentary copy
ਮੰਨਣਾ,Comply with
ਕੰਪੋਜ਼ਿਟ ਸਭਿਆਚਾਰ,Composite culture
ਰਚਨਾ,Composition
ਵਿਆਪਕ,Comprehensive
ਵਿਆਪਕ ਬੀਮਾ,Comprehensive insurance
ਸਮਝੌਤਾ,Compromise
ਲਾਜ਼ਮੀ,Compulsory
ਲਾਜ਼ਮੀ ਰਿਟਾਇਰਮੈਂਟ,Compulsory retirement
ਕੰਪਿ computer ਟਰ,Computer
ਕੰਪਿ Computer ਟਰ ਸੈਂਟਰ,Computer centre
ਕੰਪਿ computer ਟਰ ਦੇ ਅਨੁਕੂਲ,Computer friendly
ਕੰਪਿ computer ਟਰਾਈਜ਼ੇਸ਼ਨ,Computerization
ਕੰਪਿ Computer ਟਰ ਭਾਸ਼ਾ,Computer language
ਕੰਪਿਊਟਰ ਸਾਖਰਤਾ,Computer literacy
ਸੰਕਲਪ,Concept
ਚਿੰਤਾ,Concern
ਰਿਆਇਤ,Concession
ਰਿਆਇਤ ਰੇਟ,Concessional rate
ਰਿਆਇਤ ਸਰਟੀਫਿਕੇਟ,Concession certificate
ਸਮਝੌਤਾ,Conciliation
ਸਮਾਰੋਹ,Concluding remarks
ਸਿੱਟਾ,Conclusion
ਸਿੱਟਾ,Conclusive
ਸੰਜੋਗ,Concur
ਸਹਿਜ,Concurrence
ਨਿੰਦਾ,Condemn
ਸ਼ਰਤ,Condition
ਸ਼ਰਤ,Conditional
ਸ਼ਰਤ ਸਵੀਕਾਰ,Conditional acceptance
ਇਕਰਾਰਨਾਮੇ ਦੀਆਂ ਸਥਿਤੀਆਂ,Conditions of contract
ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ,Conditions of service
ਸ਼ੋਕ,Condolence
ਕਨਡੋਨ,Condone
ਆਚਰਣ,Conduct
ਨਿਯਮ ਚਲਾਓ,Conduct rules
ਕਾਨਫਰੰਸ,Conference
ਕਾਨਫਰੰਸ ਰੂਮ,Conference room
ਕਾਨਫਰੰਸ ਦੀ ਸਹੂਲਤ,Conferencing facility
ਮੰਨਿਆ,Confer
ਗੁਪਤ,Confidential
ਕੈਦ,Confinement
ਪੁਸ਼ਟੀ ਕਰੋ,Confirm
ਪੁਸ਼ਟੀਕਰਣ,Confirmation
ਸੇਵਾ ਦੀ ਪੁਸ਼ਟੀ,Confirmation of service
ਪੁਸ਼ਟੀਕਰਣ ਆਰਡਰ,Confirmation order
ਜ਼ਬਤ ਕਰਨ ਵਾਲਾ,Confiscation
ਟਕਰਾਅ,Conflict
ਵਿਵਾਦਪੂਰਨ ਦ੍ਰਿਸ਼,Conflicting views
ਅਨੁਕੂਲਤਾ,Conformity
ਵਧਾਈ,Congratulation
ਕੁਨੈਕਸ਼ਨ,Connection
ਸਹਿਮਤ,Connivance
ਜ਼ਮੀਰ,Conscience
ਸਹਿਮਤੀ,Consensus
ਸਹਿਮਤੀ,Consent
ਨਤੀਜਾ,Consequence
ਨਤੀਜੇ ਵਜੋਂ,Consequent
ਸੰਭਾਲ,Conservation
ਵਿਚਾਰ ਜ਼ੋਨ,Consideration zone
ਖਪਤਕਾਰ,Consignee
ਖੇਪ,Consignment
ਖੇਪ ਨੋਟ,Consignment note
ਇਕਸਾਰ,Consistent
ਇਕਜੁਟ ਫੰਡ,Consolidated fund
ਏਕੀਕ੍ਰਿਤ ਤਨਖਾਹ,Consolidated pay
ਏਕੀਕ੍ਰਿਤ ਬਿਆਨ,Consolidated statement
ਇਕਜੁੱਟ,Consolidation
ਸਪੱਸ਼ਟ ਤੌਰ 'ਤੇ,Conspicuous
ਸਾਜ਼ਿਸ਼,Conspiracy
ਨਿਰੰਤਰ,Constant
ਹਲਕੇ,Constituency
ਸੰਵਿਧਾਨ,Constituent
ਸੰਵਿਧਾਨ,Constitution
ਪਾਬੰਦੀ,Constraint
ਉਸਾਰੀ,Construction
ਸਲਾਹਕਾਰ,Consultant
ਸਲਾਹ-ਮਸ਼ਵਰਾ,Consultation
ਸਲਾਹਕਾਰ ਕਮੇਟੀ,Consultative committee
ਖਪਤ ਕਰਨ ਯੋਗ ਚੀਜ਼,Consumable item
ਖਪਤ,Consume
ਖਪਤਕਾਰਾਂ ਦਾ ਮਾਲ,Consumer's goods
ਖਪਤਕਾਰ ਫੋਰਮ / ਕੌਂਸਲ,Consumer forum/council
ਖਪਤਕਾਰ ਰੁਝਾਨ,Consumer orientation
ਖਪਤ,Consumption
ਸੰਪਰਕ,Contact
ਸੰਪਰਕ ਪ੍ਰੋਗਰਾਮ,Contact programme
ਛੂਤ ਵਾਲੀ ਬਿਮਾਰੀ,Contagious disease
ਸ਼ਾਮਲ,Contain
ਵਿਚਾਰ,Contemplate
ਸਮਕਾਲੀ,Contemporary
ਅਦਾਲਤ ਦਾ ਅਪਮਾਨ,Contempt of court
ਵਿਵਾਦ,Contention
ਸਮੱਗਰੀ,Contents
ਮੁਕਾਬਲਾ,Contest
ਪ੍ਰਸੰਗ,Context
ਸੰਕਟਕਾਲੀਨ,Contingencies
ਸੰਕਟਕਾਲੀਨ,Contingency
ਸੰਕਟਕਾਲੀ ਭੱਤਾ,Contingency allowance
ਸੰਕਟਕਾਲੀਨ ਫੰਡ,Contingency fund
ਸੰਕਟਕਾਲੀਨ ਗ੍ਰਾਂਟ,Contingency grant
ਸੰਕਟਕਾਲੀ ਯੋਜਨਾ,Contingency plan
ਟੁਕੜਿਆਂ ਨੂੰ,Contingent charges
ਨਿਰੰਤਰ ਮੁਲਾਕਾਤ,Continuous appointment
ਨਿਰੰਤਰ ਵਿਕਾਸ,Continuous development
ਨਿਰੰਤਰ ਪ੍ਰਕਿਰਿਆ,Continuous process
ਨਿਰੰਤਰ ਸੇਵਾ,Continuous service
ਰੋਕਥਬੰਦ,Contraband
ਇਕਰਾਰਨਾਮਾ,Contract
ਸਮਝੌਤਾ ਕਰਨ ਦਾ ਕੰਮ,Contract deed
ਰੁਜ਼ਗਾਰ ਦਾ ਇਕਰਾਰਨਾਮਾ,Contract of employment
ਇਕਰਾਰਨਾਮਾ ਅਵਧੀ,Contract period
ਇਕਰਾਰਨਾਮੇ ਦਸਤਾਵੇਜ਼,Contractual document
ਇਕਰਾਰਨਾਮਾ ਦੇਣਦਾਰੀ,Contractual liability
ਠੇਕੇਦਾਰੀ ਸੇਵਾ,Contractual service
ਵਿਰੋਧਤਾਈ,Contradiction
ਵਿਰੋਧੀ ਬਿਆਨ,Contradictory statement
ਉਲਝਣ,Contrary
ਉਲੰਘਣਾ,Contravention
ਯੋਗਦਾਨ,Contribution
ਯੋਗਦਾਨਕਾਰੀ ਪੈਨਸ਼ਨ ਸਕੀਮ,Contributory pension scheme
ਯੋਗਦਾਨ ਪਾਉਣ ਵਾਲੇ ਪ੍ਰੋਡੈਂਟ ਫੰਡ,Contributory provident fund
ਨਿਯੰਤਰਣ,Control
ਨਿਯੰਤਰਣ ਅਧਿਕਾਰੀ,Controlling officer
ਵਿਵਾਦਪੂਰਨ,Controversial
ਵਿਵਾਦਪੂਰਨ ਮਾਮਲਾ,Controversial matter
ਵਿਵਾਦ,Controversy
ਸਹੂਲਤ,Convenience
ਸੰਮੇਲਨ,Convention
ਰਵਾਇਤੀ,Conventional
ਤਬਦੀਲੀ,Conversant
ਤਬਦੀਲ,Convert
ਤਬਦੀਲ ਛੁੱਟੀ,Converted leave
ਕੰਵਿਡੈਂਸ,Conveyance
ਕਨਵੀਨੈਂਸ ਭੱਤਾ,Conveyance allowance
ਕੰਵਿਡੈਂਸ ਡੀਡ,Conveyance deed
ਕਨਵੀਸ਼ਨ ਖਰਚੇ,Conveyance expenses
ਦੋਸ਼ੀ,Convict
ਦੋਸ਼ੀ,Conviction
ਕਨਵੋਕੇਸ਼ਨ,Convocation
ਮੌਕੇ ਬੰਦ,Cooling off period
ਸਹਿਕਾਰਤਾ,Cooperation
ਸਹਿਕਾਰੀ,Cooperative
ਸਹਿਕਾਰੀ ਸੁਸਾਇਟੀ,Cooperative society
ਸਹਿ-ਚੋਣ,Co-opt
ਸਹਿ-ਚੁਣੇ ਮੈਂਬਰ,Co-opted member
ਕੋਆਰਡੀਨੇਸ਼ਨ,Co-ordination
ਸਹਿ-ਮਾਲਕ,Co-owner
ਸਹਿ-ਸਾਥੀ,Co-partner
ਕਾਪੀ,Copy
ਨਕਲ ਕਰਨਾ,Copying
ਕਾਪੀਰਾਈਟ,Copyright
ਗੜਬਖ,Cordial
ਕੋਰੋਨਰ,Coroner
ਕਾਰਪੋਰੇਟ ਬਾਡੀ,Corporate body
ਕਾਰਪੋਰੇਟ ਯੋਜਨਾਬੰਦੀ,Corporate planning
ਕਾਰਪੋਰੇਸ਼ਨ,Corporation
ਕਾਰਪੋਰੇਸ਼ਨ ਟੈਕਸ,Corporation tax
ਸੁਧਾਰ,Correction
ਸੁਧਾਰਾਤਮਕ ਉਪਾਅ (= ਸਹੀ),Corrective measures (=correctives)
ਲਿਖਤ - ਪੜ੍ਹਤ,Correspondence
ਪੱਤਰ ਵਿਹਾਰ ਕੋਰਸ,Correspondence course
ਪੱਤਰ ਵਿਹਾਰ,Correspondence portion
ਪੱਤਰਕਾਰ,Correspondent
ਅਨੁਸਾਰੀ,Corresponding
ਕੋਰਿਜੇਂਡਮ,Corrigendum
ਕਾਰਪੋਰੇਟ,Corroborate
ਰੱਦਬਰੇਸ਼ਨ,Corroboration
ਭ੍ਰਿਸ਼ਟ,Corrupt
ਭ੍ਰਿਸ਼ਟਾਚਾਰ,Corruption
ਭ੍ਰਿਸ਼ਟ ਅਭਿਆਸ,Corrupt practice
ਬ੍ਰਹਿਮੰਡੀ ਸ਼ਹਿਰ,Cosmopolitan city
ਲਾਗਤ,Cost
ਲਾਗਤ ਦਾ ਲੇਖਾਕਾਰ,Cost accountant
ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,Cost analysis
ਲਾਗਤ ਛੱਤ,Cost ceiling
ਲਾਗਤ ਪ੍ਰਭਾਵ,Cost effectiveness
ਰਹਿਣ ਸਹਿਣ ਦਾ ਖਰਚ,Cost of living
ਲਾਗਤ ਓਵਰਰਨ,Cost overrun
ਕਾਟੇਜ ਉਦਯੋਗ,Cottage industry
ਕੌਂਸਲ,Council
ਮੰਤਰੀਆਂ ਦੀ ਕਾਉਂਸਲ,Council of ministers
ਰਾਜਾਂ ਦੀ ਕਾਉਂਸਲ,Council of states
ਸਲਾਹ,Counsel
