English,Tamil
decryption,டிகோடிங்
dedicated channel,அர்ப்பணிக்கப்பட்ட அமைப்பு
dedicated port,அர்ப்பணிக்கப்பட்ட பத்திரிகை
defence data network (DDN),நோய்த்தடுப்பு தரவு நெட்வொர்க் (DDN)
defence information system,நோய்த்தடுப்பு தகவல் அமைப்பு
defragmentation,ஒருங்கிணைப்பு
delay,தாமதம்
delay counter,தாமத கவுண்டர்
delay time,தாமத நேரம்
delete,"1.நீக்கு, 2.நீக்கு"
deletion record,நீக்குதல் பதிவு
delimiter,பிரிப்பான்
delta modulation,டெல்டா பண்பேற்றம்
demand paging,கோரிக்கை பக்கம்
demo,செயல்திறன்
demodulation,டிமாடுலேஷன்
demultiplexer,வி-மல்டிபிளெக்சர்
denormalization,இயல்புநிலைப்படுத்தல்
density,"1. அடர்த்தி, 2. அடர்த்தி"
dependency,"1. சார்பு, 2. சார்பு"
dependent unit,சார்பு அலகு
dequeue,வரிசை
dereferencing,"1. dereference, 2. dereference"
derivation tree,பெறப்பட்ட மரம்
derived field,பெறப்பட்ட புலம்
descending sort,இறங்கு வகை
design,வடிவமைப்பு
desk calculator,மேசை கால்குலேட்டர்
desk top computer,டெஸ்க்டாப் கணினிகள்
desktop presentation,டெஸ்க்டாப் விளக்கக்காட்சி
desktop publishing (DTP),டெஸ்க்டாப் வெளியீடு
desktop video,டெஸ்க்டாப் வீடியோ
destination address,இலக்கு முகவரி
destructer,"1. அழிப்பவர், 2. அழிப்பவர்"
deterministric automats,தீர்மானிக்கும் தானியங்கு
developer,டெவலப்பர்
development system,வளர்ச்சி அமைப்பு
device,சாதனம்
device control unit,சாதன கட்டுப்பாட்டு அலகு
device controller,சாதனம் கட்டுப்படுத்தி
device management,சாதன மேலாண்மை
device mode,சாதன முறை
diagnosis,நோய் கண்டறிதல்
diagnostic system,கண்டறியும் அமைப்பு
diagnostics,"1. கண்டறிதல், 2. கண்டறிதல்"
diagram,வரைபடம்
dial,டயல்
dial line,டயல் வரி
dial tone,டயல் தொனி
dial up,அழைக்கவும்
dialog,"1. உரையாடல், 2. உரையாடல்"
dialog box,உரையாடல் அறை
dialup modem,டயல்அப் மோடம்
diamension,காப்பீடு
dictionary,அகராதி
differentiation,"1. வேறுபாடு, 2. வேறுபாடு"
digital,எண்ணியல்
digital channel,டிஜிட்டல் அமைப்பு
digital circuit,டிஜிட்டல் சுற்று
digital computer,டிஜிட்டல் கணினி
digital data,"1.டிஜிட்டல் டேட்டா, 2.டிஜிட்டல் டேட்டா"
digital facility,டிஜிட்டல் வசதி
digital filter,டிஜிட்டல் வடிகட்டி
digital library,டிஜிட்டல் நூலகம்
digital modulation,டிஜிட்டல் பண்பேற்றம்
digital monitor,"1. டிஜிட்டல் டிஸ்ப்ளே, 2. டிஜிட்டல் மானிட்டர்"
digital picture,டிஜிட்டல் படம்
digital signature,"1. டிஜிட்டல் கையொப்பம், 2. டிஜிட்டல் கையொப்பம்"
digital switch,டிஜிட்டல் சுவிட்ச்
digital to analog (D/A) converter,டிஜிட்டல் அனலாக் மாற்றி
digitization,டிஜிட்டல் மயமாக்கல்
digitize,டிஜிட்டல் மயமாக்கல்
digitizer,இலக்கமாக்கி
diode,டையோடு
direct,முதன்மையான தோற்றம்
direct address,நேரடி முகவரி
direct conversion,நேரடி மாற்றம்
direct coupling,நேரடி இணைப்பு
direct memory access (DMA),"1. நேரடி நினைவக அணுகல், 2. நேரடி நினைவக அணுகல் (DMA)"
direct memory acess (DMA),நேரடி நினைவக அணுகல் (DMA)
direct method,நேரடி முறை
directive,திசைகள்
directory,அடைவு
directory server,"1. அடைவு சேவையகம், 2. அடைவு சேவையகம்"
directory service,அடைவு சேவை
disable,முடியவில்லை
disabling signal,சமிக்ஞையை முடக்குகிறது
disconnect,"1. துண்டித்தல், 2. துண்டித்தல்"
discrete,"1. தனித்தனி, 2. தனித்தனி"
disk,"1. வட்டு, 2. வட்டு"
disk address,"1. வட்டு முகவரி, 2. வட்டு முகவரி"
disk array,"1. வட்டு வரிசை, 2. வட்டு வரிசை"
disk capacity,"1. வட்டு திறன், 2. வட்டு திறன்"
disk drive,"1. வட்டு இயக்கி, 2. வட்டு இயக்கி"
disk file,வட்டு கோப்பு
disk memory,"1. வட்டு நினைவகம், 2. வட்டு நினைவகம், 3. வட்டு நினைவகம், 4. வட்டு நினைவகம்"
disk operating system (DOS),வட்டு இயக்க முறைமை (DoS)
disk pack,வட்டு தொகுப்பு
disk server,"1.சக்ரிகா சர்வர், 2.டிஸ்க் சர்வர்"
disk storage,"1. வட்டு சேமிப்பு, 2. வட்டு சேமிப்பு"
diskette,வட்டு
display file,காட்சி கோப்பு
display image,காட்சி படத்தை
disposal,அகற்றல்
distance,தூரம்
distance function,தூர செயல்பாடு
distortion,திரித்தல்
distributed,வழங்கப்பட்டது
distributed data,விநியோகிக்கப்பட்ட தரவு
distributed server,விநியோகிக்கப்பட்ட சேவையகம்
distributed system,"1. விநியோகிக்கப்பட்ட அமைப்பு, 2. விநியோகிக்கப்பட்ட அமைப்பு"
distributive,விநியோகஸ்தர்
document,ஆவணம்
document retrieved,அங்கீகாரம் பெற்ற ஆவணம்
document window,"1. ஆவண சாளரம், 2. ஆவண சாளரம்"
documentation,ஆவணங்கள்
domain,"களம், களம்"
domain name,டொமைன் பெயர்
dot matrix printer,"1. டாட் மேட்ரிக்ஸ் பிரிண்டர், 2. டாட் மேட்ரிக்ஸ் பிரிண்டர்"
down,"கீழ், கீழே"
down link,"1.அவலின்க், 2.சதுரம்"
down loading,பதிவிறக்க Tamil
down time,பதிவிறக்க நேரம்
dragging,இழுவை
DRAM (dynamic RAM),DRAM (டைனமிக் ரேம்)
drift,ஓட்டம்
driver,இயக்கி
drop,இலைகள்
drop down list box,டிராப் பட்டியல் பெட்டி
drum drive,டிரம் டிரைவ்
drum printer,"1.டிரம் பிரிண்டர், 2.டிரம் பிரிண்டர்"
drum unit,"1. இம் யூனிட், 2. டிரம் யூனிட்"
dual,"1. இருமை, 2. இரு"
dual density,இரட்டை அடர்த்தி
dummy address,"1. அமைதியான முகவரி, 2. போலி முகவரி"
dump,திணிப்பு
duplex circuit,இரட்டை சுற்று
duplexing,சட்டப்பூர்வமாக்குதல்
duplicate,முக்கிய திறவுகோல்
DVD R/W,"1.டி வி டி ஆர்./டபிள்யூ, 2. டிவிடி படித்தல், 3. எழுதுதல்"
DVD ROM,டிவிடி ரோம்
dynamic instruction,மாறும் அறிவுறுத்தல்
dynamic memory,"1.டைனமிக் மெமரி, 2.டைனமிக் மெமரி"
dynamics,"1. இயக்கவியல், 2. இயக்கவியல்"
EBCDIC,ஈ பி சி டி ஐ சி
e-business,மின் வணிகம்
echo,எதிரொலி
e-commerce,"1.இ-காமர்ஸ், 2.இ-காமர்ஸ்"
edit,திருத்துதல்
editor,ஆசிரியர்
educational technology,கல்வி தொழில்நுட்பம்
EEP rom,e e p rom
effective address (floating address),"1. அர்த்தமுள்ள முகவரி, 2. பயனுள்ள முகவரி"
effective operand address,அர்த்தமுள்ள செயல்பாட்டு முகவரி
effective procedure,பயனுள்ள நடவடிக்கை
effective UID (user identification),பயனுள்ள UID
efffective transmission operand,பயனுள்ள பரிமாற்ற செயல்பாடு
eight-bit byte,ஆக்டல் பைட்
e-learning,"மின்னணு கற்றல், மின் கற்றல்"
election-algirthm,தேர்தல் அல்காரிதம்
electric mailing (e-mail),மின்னணு அஞ்சல் சேவை (மின்னஞ்சல்)
electric printer,"1.எலக்ட்ரானிக் பிரிண்டிங், 2.எலக்ட்ரானிக் பிரிண்டர்"
electrical accounting machine,மின் கணக்கியல் இயந்திரம்
electronic,மின்னணுவியல்
electronic clearance system (ECS),மின்னணு வெளியேற்ற அமைப்பு (ECS)
electronic data interchange (EDI),மின்னணு தரவு பரிமாற்றம் (EDI)
electronic data processing,மின்னணு தரவு செயலாக்கம்
electronic filing,மின்னணு சிற்றேடு
electronic funds transfer System (EFTS),மின்னணு நிதி பரிமாற்ற வழிமுறை (EFTS)
electronic journals,"1.எலக்ட்ரானிக் ஜர்னல், 2.எலக்ட்ரானிக் ஜர்னல்"
electronic publishing,மின்னணு வெளியீடு
electronic switch,மின்னணு சுவிட்ச்
element,"உறுப்பு, உறுப்பு"
e-mail,மின்னஞ்சல்
e-mail address,"1. மின்னஞ்சல் முகவரி, 2. மின்னணு அஞ்சல் முகவரி"
embedded system,உட்பொதிக்கப்பட்ட அமைப்பு
embedding,உட்பொதித்தல்
emitter couple logic (ECL),உமிழ்ப்பான் இணைந்த தர்க்கம் (ECL)
empty stack,காலியான இடம்
empty string,"1. வெற்று சங்கிலி, 2. வெற்று சங்கிலி"
emulation,இயந்திரமயமாக்கல்
encapsulation,"1.கேப்சுலேஷன், 2.கேப்சுலேஷன்"
encipher,குறிவிலக்கி
encode,குறியாக்கம்
encoder,"1. குறியாக்கி, 2. கோடாக்"
encrepted data,மறைக்கப்பட்ட தரவு
encripting file system,மறைக்கப்பட்ட கோப்பு முறைமை
encryption,"1. என்க்ரிப்ஷன், 2. கோடிங், 3. என்கோடிங்"
end of block,தொகுதி முடிவு
end of file (EOF),கோப்பு-முடிவு
end-user,பயனர்
enter,நுழைய
enter-key,நுழைவு விசை
enterprise server,"1. உத்யம் சர்வர், 2. உத்யம் சேவக்"
enterprise system,நிறுவன அமைப்பு
entity,சக்தி
entity-relationship,சக்தி தொடர்பு
entry time,நுழைவு நேரம்
entry variable,உள்ளீடு மாறி
enumerable,எண்ணத்தக்க
environment,சூழல்
epoch,"1. சகாப்தம், 2. சகாப்தம், 3. அறிவுறுத்தல் தருணம்"
EPROM,EPRAM (நிதி நிரல்படுத்தக்கூடிய படிக்க-மட்டும் நினைவகம்)
epsilon closure,epsilon constrictor
equalizer,சமநிலைப்படுத்தி
equipment,உபகரணங்கள்
equivalence class,சமநிலை வகுப்பு
equivalence relation,சமமான உறவு
erase,"1. அழிவு, 2. ஒழிப்பு"
error correcting code,பிழை திருத்தம் குறியீடு
error correction,பிழை திருத்தம்
error detection,பிழை கண்டறிதல்
error handling,பிழை கையாளுதல்
error message,பிழை செய்தி
error rate,பிழை விகிதம்
error recovery,பிழை மீட்பு
error routine,பிழை பெயர்
escape character,தப்பிக்கும் சின்னம்
ethernet,ஈதர்நெட்
event,நிகழ்வு
event chain,நிகழ்வு சங்கிலி
event control,நிகழ்வு கட்டுப்பாடு
event counter,நிகழ்வு கவுண்டர்
exception handling,விதிவிலக்கு கையாளுதல்
exchangeable disk storage,பரிமாற்ற வட்டு சேமிப்பு
exclusion,விலக்குதல்
exclusive Or (XOR),பிரத்தியேக மற்றும் (x அல்லது)
executable program,இயங்கக்கூடிய நிரல்
executive statement,மரணதண்டனை அறிக்கை
exhaustive search,தேர்ந்தெடுக்கப்பட்ட தேடல்
exist,இருக்கும்
exit,பிரச்சினை
expert system,நிபுணர் அமைப்பு
expression,"1. வெளிப்பாடு, 2. வெளிப்பாடு"
extended graphic array (XGA),விரிவாக்கப்பட்ட வரைகலை அணி (x g a)
extended industry standard (EIS),விரிவாக்கப்பட்ட தொழில்துறை தரநிலைகள் (EIS)
extended machine,அதிக சுமை கொண்ட இயந்திரம்
extended memory,நீட்டிக்கப்பட்ட நினைவகம்
extended precision,"1. விரிவாக்கப்பட்ட துல்லியம், 2. விரிவாக்கப்பட்ட துல்லியம்"
extended sorting,"1. விரிவாக்கப்பட்ட வரிசையாக்கம், 2. விரிவாக்கப்பட்ட பிரித்தல்"
external call,கூப்பிடு
external error,வெளிப்புற பிழை
external function,வெளிப்புற செயல்பாடு
external interrupt,வெளிப்புற குறுக்கீடு
external memory,"1.புற நினைவகம், 2.புற நினைவகம்"
external memory,வெளிப்புற நினைவகம்
external modem,வெளிப்புற மோடம்
external reference,வெளிப்புற குறிப்பு
external searching,வெளிப்புற தேடல்
external storage device,வெளிப்புற சேமிப்பக சாதனம்
extraction,பிரித்தெடுத்தல்
extrapolation,எக்ஸ்ட்ராபோலேஷன்
face-character printer,பேனல் எழுத்து அச்சுப்பொறி
fail-safe operation,தோல்வி-பாதுகாப்பு செயல்பாடு
failure rate,தோல்வி விகிதம்
failure recovery,தோல்வி வெளியேற்றம்
false code,தவறான குறியீடு
false error,தவறான பிழை
fan-in,"1.முதலீடு, 2.முதலீட்டு புள்ளிகள்"
fan-out,"1. வெளியீடு, 2. வெளியீடு எண்"
fascimile I/O device,"1. பிரதி I/O சாதனம், 2. பிரதி உள்ளீட்டு சாதனம்/வெளியீடு"
fast fourier transform (FFT),விரைவான நான்கு பரிமாற்றம்
fatal error,கொடிய பிழை
fault detection,தவறு கண்டறிதல்
fault diagnosis,தவறு கண்டறிதல்
fault tolerance,தவறு சகிப்புத்தன்மை
fax,தொலைநகல்
fax message,தொலைநகல் செய்தி
FDC,எஃப் டிசி
feature detection,அறிகுறி கண்டறிதல்
feed cycle,நிரப்பு சக்கரம்
feedback,மறு முதலீடு
feeder,"1.சப்ளையர், 2.ஊட்டச்சத்து, 3.ஊட்டி"
fetch,அயன்
fibonacci search,ஃபைபோனச்சி கண்டுபிடிப்பு
fibonacci sequence,ஃபைபோனச்சி வரிசை
fibonacci series,ஃபைபோனச்சி தொடர்
fibre optics,ஃபைபர் ஆப்டிக்ஸ்
fido net,ஃபிடோ பொறி
field,பிராந்தியம்
fifth generation computers,ஐந்தாம் தலைமுறை கணினி
file,"1.கோப்பு, 2. கோப்பு"
file access method,கோப்பு அணுகல் முறை
file allocation table,கோப்பு ஒதுக்கீடு அட்டவணை
file compression,கோப்பு சுருக்கம்
file copying,கோப்பு நகலெடுக்கிறது
file layout,கோப்பு கட்டமைப்பு
file merge,கோப்பு ஒன்றிணைத்தல்
file recovery,கோப்பு மீட்பு
file storage,கோப்பு சேமிப்பு
file structure,கோப்பு அமைப்பு
file system,கோப்பு முறை
file transfer,கோப்பு பரிமாற்றம்
file transfer protocol (FTP),கோப்பு பரிமாற்ற நெறிமுறை (FTP)
filter,வடிகட்டி
final state,கடைசி நிலை
find,தேடு
finite state machine,வரையறுக்கப்பட்ட நிலை இயந்திரம்
fire wall,தீ சுவர்
firmware,நிலைபொருள்
first come first serve,முதலில் வருபவர்களுக்கு முன்னுரிமை
first generation computer,முதல் தலைமுறை கணினி
first in first out (FIFO),முதல் உள்ளீடு முதல் வெளியீடு (FIFO)
first order logic,முதல் வரிசை வாதம்
first order theory,முதல் வரிசை கொள்கை
fixed partition,நிலையான பிரிவு
flag,கையெழுத்து
flexible disk,நெகிழ்வான வட்டு
floppy disk,நெகிழ் வட்டு
flopy disk drive (Fdd),பிளாப்பி டிஸ்க் டிரைவ் (FDD)
flow chart,ஓட்ட விளக்கப்படம்
flow of control,கட்டுப்பாடு ஓட்டம்
flush,முந்தியது
folder,கோப்புறை
font,எழுத்துரு
font family,எழுத்துரு குடும்பம்
foreign key,வெளிப்புற விசை
form,படிவம்
formal language,குறியீட்டு மொழி
formal system,குறியீட்டு முறை
format,"1.வடிவம், 2.வடிவம்"
formatting,வரைதல்
fortran,ஃபோர்ட்ரான்
fortran programming,"1.Fortran (ஒரு கணினி மொழி) நிரல், 2.Fortran நிரலாக்க"
forward slash,முன்னோக்கி சாய்வு
fourth generation computer,4வது தலைமுறை கணினி
fragment,பிரிவு
frame,சட்டகம்
free net,"1.இலவச வலை, 2.இலவச வலை"
free software foundation,இலவச மென்பொருள் நம்பிக்கை
free storage,இலவச சேமிப்பு
freeware,இலவச மென்பொருள்
front end,முன்
front panel,"1.முன் பலகம், 2.முன் பலகம்"
function,"1.செயல்பாடுகள், 2. செயல்பாடு"
function key,செயல்பாட்டு விசை
function reference,செயல்பாடு குறிப்பு
functional dependency,செயல்பாட்டு சார்பு
functional testing,செயல்பாடு சோதனை
fuzzy logic,"1. தெளிவற்ற தர்க்கம், 2. தெளிவற்ற தர்க்கம்"
fuzzy set,"1. தெளிவற்ற தொகுப்பு, 2. தெளிவற்ற தொகுப்பு"
gain,ஆதாயம்
game tree,விளையாட்டு மரம்
gap character,இடைவெளி பாத்திரம்
garbage,குப்பை
garbage collection,குப்பை சேகரிப்பு
garbage collection,குப்பை சேகரிப்பு
garbage in garbage out (GIGO),குப்பை உள்ளே குப்பை வெளியே (ஜிகோ)
gate,கதவு
gateway,கதவு பாதை (நெட்வொர்க்கின் சூழலில்)
general program,விரிவான திட்டம்
general program,விரிவான திட்டம்
general purpose computer,பரந்த நோக்கம் கொண்ட கணினி
general purpose computer,பொது நோக்கம் கணினி
general register,பொது பதிவு
generalization,பொதுமைப்படுத்தல்
generalization,பொதுமைப்படுத்தல்
general-purpose language,பரந்த பொருள் மொழி
general-purpose operating sysem,பரந்த நோக்க இயக்க முறைமை
general-purpose regisgter,விரிவான நோக்கப் பதிவு
generated error,பிழை உருவாக்கப்பட்டது
generating function,இனப்பெருக்க செயல்பாடு
generic class,வகுப்பு பொது
generic function,வர்க்க செயல்பாடு
generic name,பொதுவான வகுப்பு பெயர்
gigo,ஜிகோ
global,"1. யுனிவர்சல், 2. குளோபல்"
global code,உலகளாவிய குறியீடு
global lock,உலகளாவிய பூட்டு
global network,"1. யுனிவர்சல் நெட்வொர்க், 2. யுனிவர்சல் நெட்வொர்க்"
global network,உலகளாவிய நெட்வொர்க்
global user,"1. உலகப் பயனர், 2. பொதுப் பயனர், 3. உலகளாவிய பயனர்"
global variable,உலகளாவிய மாறிகள்
globalisation,"1.உலகமயமாக்கல், 2.உலகமயமாக்கல்"
gopher,கோபர் (ஒரு நெட்வொர்க்கில் உள்ள ஒரு நெறிமுறை)
gopher client,கோபர் ஏற்பி
gopher server,"1. கோபர் சர்வர், 2. கோபர் சர்வர்"
gopher site,கோபர் தளம்
gopher space,கோபர் விண்வெளி
graceful degradation,கவர்ச்சிகரமான சீரழிவு
grammar checker,இலக்கண மாற்றி
grammar graceful exit,grammar hottie extroversion
grand total,"1.மொத்தம், 2.மொத்தம், 3.மொத்தம்"
graph,"1.வரைபடம், 2.வரைபடம்"
graph plotting,"1.வரைபடக் குறியீடு, 2.வரைபடக் குறியீடு"
graphic character,"1. கிராஃபிக் எழுத்துக்கள், 2. வரைகலை எழுத்துக்கள்"
graphic controller,"1. வரைகலை கட்டுப்படுத்தி, 2. வரைகலை கட்டுப்படுத்தி"
graphic data structure,"1. வரைகலை தரவு கட்டமைப்பு, 2. வரைகலை தரவு கட்டமைப்பு"
graphic display program,"1. வரைகலை காட்சி திட்டம், 2. வரைகலை காட்சி திட்டம்"
graphic display resolution,"1.கிராஃபிக் டிஸ்ப்ளே ரெசல்யூஷன், 2.கிராஃபிக் டிஸ்ப்ளே"
graphic language,"1. வரைகலை மொழி, 2. வரைகலை மொழி"
graphic language,"1. வரைகலை மொழி, 2. வரைகலை மொழி"
graphic panel,"1. வரைகலை தட்டு, 2. வரைகலை தட்டு"
graphical animation,"1.கிராஃபிக் அனிமேஷன், 2.கிராஃபிக் அனிமேஷன்"
graphical interface format (GIF),கிராஃபிக் பரிமாற்ற வடிவம் (GIF)
graphical user interface (GUI),"1.கிராஃபிக் பயனர் இடைமுகம் (GUI), 2.கிராஃபிக் பயனர் இடைமுகம்"
graphics,"1.கிராபிக்ஸ், 2.கிராபிக்ஸ்"
graphics application,"1.கிராபிக்ஸ் அப்ளிகேஷன், 2.கிராஃபிக் அப்ளிகேஷன்"
graphics cursor,"1.கிராபிக்ஸ் கர்சர், 2.கிராஃபிக்கல் கர்சர்"
graphics mode,"1.கிராபிக்ஸ் பயன்முறை, 2.கிராஃபிக் முறை"
graphics package,"1.கிராபிக்ஸ் தொகுப்பு, 2.கிராபிக்ஸ் தொகுப்பு"
graphics software,"1.கிராபிக்ஸ் மென்பொருள், 2.கிராபிக்ஸ் மென்பொருள்"
graphics software,"1.கிராபிக்ஸ் மென்பொருள், 2.கிராபிக்ஸ் மென்பொருள்"
graphics software package,"1.கிராபிக்ஸ் மென்பொருள் தொகுப்பு, 2.வரைகலை மென்பொருள் தொகுப்பு"
gray scale,சாம்பல் அளவு
greedy method,"1. பேராசை முறை, 2. பேராசை முறை"
grep,திராட்சை
grid,கட்டம்
grid chart,கட்ட விளக்கப்படம்
grid computing,கட்டம் கணக்கீடு
grid modulation,கட்டம் பண்பேற்றம்
ground wave,தரை அலை
group,குழு
group address,குழு முகவரி
group code,குழு குறியீடு
group communication,குழு தொடர்பு
group communication,குழு தொடர்பு
group identification,"1.குழு அடையாளம், 2.குழு அடையாளம்"
group name,குழு பெயர்
groupware,குழுவேர்
growth,வளர்ச்சி
guard,"1.காவலர், 2.காவலர்"
guided media,வழிகாட்டப்பட்ட ஊடகங்கள்
gunzip,துப்பாக்கி சிப்
hack,டிகோட்
hacker,குறிவிலக்கி
hacker's dictionary,குறிவிலக்கி அகராதி
half adder,அரை சேர்ப்பான்
half bridge,அரை பாலம்
half duplex,அரை இரட்டை
half duplex line,அரை இரட்டை வரி
half duplex mode,அரை இரட்டை முறை
half intensity,பாதி தீவிரம்
half router,அரை திசைவி
half subtracter,அரைப்பிரிவு
half toning,பாதி படம்
half word,அரை வார்த்தை
hamiltonious cycle,ஹாமில்டோனியன் சக்ரா
hamming code,ஹாமிங் குறியீடு
hand,கை
hand copy,அச்சிடப்பட்ட நகல்
handle,கையாளுதல்
handling,கையாளுதல்
hang,இடைநீக்கம்
happy net,இனிமையான பொறி
hard copy device,கடின நகல் சாதனம்
hard disk,"1.ஹார்ட் டிஸ்க், 2.இன்ஃப்ளெக்சிபிள் டிஸ்க்"
hard disk crash,நெகிழ்வற்ற வட்டு சரிவு
hard error,கடினமான பிழை
hardware flow control,வன்பொருள் ஓட்டம் கட்டுப்பாடு
harmonic,"1. இசைவு, 2. இசைவு"
harmonic mean,"1.ஹார்மோனிக் சராசரி, 2. ஹார்மோனிக் சராசரி"
hash,ஹேக்கிங்
hash diagram,ஹேக்கிங் வரைபடம்
hash table,சிமிங் டேபிள்
hashing technique,ஹேக்கிங் நுட்பங்கள்
header,"1.தலைப்பு, 2.நுழைவு"
heap,"1. அடுக்கு, 2. அடுக்கு"
heap sort,வெகுஜன வரிசையாக்கம்
help,உதவி
help screen,உதவி திரை
helpnet,"1.உதவி நெட்வொர்க், 2.உதவி நெட்வொர்க்"
hertz,ஹெர்ட்ஸ் (அதிர்வெண்/அதிர்வெண் அலகு)
heuristic,தன்னிச்சையான
heuristic method,அனுபவ முறை
hexadecimal numbers,பதின்ம எண்
hidden line,மறைமுக வரி
hierarchical data base,படிநிலை தரவு சேமிப்பு
hierarchical file system,படிநிலை கோப்பு வணிகம்
hierarchical topography,படிநிலை அவுட்லைன்
high level language,உயர் மட்ட மொழி
high memory area,அதிக நினைவக பகுதி
high performance,உயர் செயல்திறன்
hit,"1. கையகப்படுத்தல், 2. வெற்றி, 3. வாய்ப்பு"
hit rate,வீதம்
hit ratio,வெற்றி விகிதம்
hole,"1. துளை, இடைவெளி 2. துளை"
home directory,முகப்பு அடைவு
home page,முகப்பு பக்கம்
homogeneous coordinate,ஒரே மாதிரியான ஒருங்கிணைப்புகள்
hop,குதிக்க
hop count,ஹாப் எண்ணிக்கை (நெட் ஒர்க் அடிப்படையில்)
horn,கொம்பு
host computer,ஊட்டி கணினி
host computer,ஊட்டி கணினி
host language,ஊட்டி மொழி
hot key,"1.ஆக்டிவ் கீ, 2.ஹாட் கீ"
hyper text markup language (HTML),ஹைப்பர் டெக்ஸ்ட் மார்க் செய்யப்பட்ட மொழி (HTML)
hypothesis,கருதுகோள்
I pod,நான் போட்
I/O buffer,உள்ளீடு/வெளியீடு தாங்கல்
I/O port,"1.இன்புட்/அவுட்புட் கேட்வே, 2.ஐ/ஓ கேட்வே"
I/O unit,உள்ளீடு/வெளியீட்டு அலகு
identifier,பேச்சாளர்
identity,"1. அடையாளம், 2. அடையாளம், 3. தனித்துவம், 4. அடையாளம்"
image,பிரதிபலிப்பு
image sensor,பிரதிபலிப்பு சென்சார்
impact printer,தாக்க அச்சுப்பொறி
impedence,மின்தடை
imperative programme language,பரிந்துரைக்கப்பட்ட நிரல் மொழி
imperative statement,கட்டளை அறிக்கை
implicit address,தெளிவற்ற முகவரி
impossible event,சாத்தியமற்ற நிகழ்வு
inactive node,செயலற்ற முனை
inconsistency,இணக்கமின்மை
increment,வளர்ச்சி
index,சுட்டி
index data item,காட்டி தரவு உருப்படி
index file,குறியீட்டு கோப்பு
index register,குறியீட்டு பதிவு
index sequential,சுட்டி வரிசைமுறை
indexed addressing,குறியிடப்பட்ட முகவரி
indexed language,குறியிடப்பட்ட மொழி
indexed sequence file,அட்டவணைப்படுத்தப்பட்ட வரிசை கோப்பு
indexed sequential sccess method (ISAM),அட்டவணைப்படுத்தப்பட்ட தொடர் அணுகல் முறை (ISAM)
indirect addressing,மறைமுக முகவரி
Informatics,தகவல் அறிவியல்
Information,தகவல்
information bit,தகவல் பிட்
information management,தகவல் மேலாண்மை
information management system (IMS),தகவல் மேலாண்மை அமைப்பு (IMS)
information retrieval,தகவல் மீட்பு
information system,தகவல் அமைப்பு
information technology (IT),தகவல் தொழில்நுட்பம் (IT)
infrastructure management,உள்கட்டமைப்பு மேலாண்மை
Inheritance,பரம்பரை
inherited error,மறைமுகமான பிழை
Initial,முதன்மையானது
initial address,தொடக்க முகவரி
initial state,ஆரம்ப கட்டத்தில்
Initialization,துவக்கம்
ink jet printer,மை ஜெட் அச்சுப்பொறி
Innumerable,எண்ணற்ற
i-node table,இறுதி முனை அட்டவணை
inoperable time,செயல்படாத காலம்
input buffer register,முதலீட்டு தாங்கல் பதிவு
input output processor (I/O processor),உள்ளீட்டு வெளியீட்டு செயலி (I/O செயலி)
input output register (I/O register),முதலீட்டு சிக்கல் பதிவு (I/O பதிவு)
input output statement (I/O statement),முதலீட்டு வெளியீடு அறிக்கை (I/O அறிக்கை)
input/output (I/O),முதலீடு / வெளியீடு (I/O)
input/output buffer (I/O buffer),உள்ளீடு/வெளியீடு இடையகம் (I/O தாங்கல்)
input/output device (I/O device),உள்ளீடு/வெளியீடு சாதனம் (I/O சாதனம்)
Insert,முதலீடு
insertion sort,இடைக்கணிப்பு வரிசையாக்கம்
installation time,நிறுவல் நேரம்
Instance,விளக்கம்
Instruction,அறிவுறுத்தல்
instruction counter,அறிவுறுத்தல் கவுண்டர்
instruction cycle,அறிவுறுத்தல் சுழற்சி
instruction set,அறிவுறுத்தல் தொகுப்பு
integer programming,முழு எண் நிரலாக்கம்
integer variable,முழு எண் மாறி
integrated modem,ஒருங்கிணைந்த மோடம்
integrated services digital network (ISDN),ஒருங்கிணைந்த சேவைகள் டிஜிட்டல் நெட்வொர்க் (ISDN)
Integrity,நேர்மை
intelligent controller,புத்திசாலித்தனம் கட்டுப்படுத்தி
intelligent terminal,கூர்மையான முனையம்
inter block,இறுதி தொகுதி
inter block gap,பிரிவு இடைவெளி
inter communication system,தொடர்பு அமைப்பு
Interaction,தொடர்பு
interactive graphics,தொடர்பு வரைபடம்
interactive keyboard printer,"1.பரஸ்பர விசைப்பலகை அச்சுப்பொறி, 2.பரஸ்பர விசைப்பலகை அச்சுப்பொறி"
intercom service,ஊடாடும் தொடர்பு சேவை
Interface,"1.இடைமுகம், 2.இடைமுகம்"
Interleaving,"1. விளக்கம், 2. விளக்கம்"
intermediate buffer,இடைநிலை தாங்கல்
internal block,உள்துறை பிரிவு
internal communication,உள் தொடர்புகள்
internal fragmentation,உள் மறுப்பு
internal memory,உள் நினைவகம்
internal sort,உள் வரிசையாக்கம்
internal timer,உள் கடிகாரம்
international organization for standardization (ISO),தரநிலைப்படுத்தலுக்கான சர்வதேச சங்கம் (ISO)
international technical support organization,சர்வதேச தொழில்நுட்ப ஆதரவு நிறுவனம்
Internet,இணையதளம்
internet engineering task force (IETF),இணைய பொறியியல் பணிக்குழு (IETF)
internet explorer,இன்டர்நெட் எக்ஸ்ப்ளோரர்
