Assamese,Bengali
আভ্যন্তৰীণ ঘৰ্ষণ,অভ্যন্তরীণ ঘর্ষণ
ইন্ট্ৰাজ’নেল মাটি,ইন্ট্রাজোনাল মাটি
আয়ন,অয়ন
আয়ন বিনিময়,আয়ন বিনিময়
লোহাৰ কেৰাহী,লোহার প্যান
জলসিঞ্চিত মাটি,সেচ সম্পন্ন ভূমি
জলসিঞ্চন,সেচ
জলসিঞ্চনৰ চেছ,সেচ সেস
জাম্ব,জাম্ব
জগল কৰক,জগল
জগল পিন,জগল পিন
জৌলে,জুল
জাম্পাৰ,জাম্পার
কিলোগ্ৰাম,কিলোগ্রাম
কিলোগ্ৰাম বল,কিলোগ্রাম বল
কিলোগ্ৰাম বল মিটাৰ,কিলোগ্রাম ফোর্স মিটার
কিলোৱাট ঘন্টা,কিলোওয়াট ঘন্টা
ৰজা বন্ধ,রাজা বন্ধ
পাকঘৰ,রান্নাঘর
লেচযুক্ত স্তম্ভ,জরিযুক্ত কলাম
পিছ পৰি থকা,ল্যাগিং
লেমেলা শিপা,ল্যামেলা মূল
লেমিনাৰ প্ৰবাহ,লেমিনার প্রবাহ
লেম্পৰ ফুটা,বাতির গর্ত
ভূমি বৃদ্ধি,ভূ - বিস্তৃতি
ভূমি পিছলি যোৱা,ল্যান্ড স্লাইডিং
লেটাৰাইট,ল্যাটেরাইট
লেটাৰাইট মাটি,ল্যাটেরাইট মাটি
বৃহৎ সংখ্যকৰ নিয়ম,বড় সংখ্যার আইন
বিন্যাস পৰিকল্পনা,বিন্যাস পরিকল্পনা
লেজাৰ,খাতা
চূণৰ কেৰাহী,চুন প্যান
লিণ্টেল,লিন্টেল
তৰল সীমা,তরল সীমা
লাইভ লোড,লাইভ লোড
লোম,দোআঁশ
স্থানীয় এক্সজেষ্ট ভেণ্টিলেচন,স্থানীয় নিষ্কাশন বায়ুচলাচল
লোকো চোতাল,লোকো ইয়ার্ড
ল&#39;ছ,লস
প্লাষ্টিকৰ সীমা কম কৰা,নিম্ন প্লাস্টিকের সীমা
কম তাপত চিমেণ্ট,কম তাপ সিমেন্ট
মেচিন মল্ডিং,মেশিন ছাঁচনির্মাণ
বৃহৎ গঠন,ম্যাক্রোস্ট্রাকচার
মূল মূৰ নিয়ন্ত্ৰক,প্রধান প্রধান নিয়ন্ত্রক
মূল বন্দৰ,প্রধান বন্দর
মেকআপ এয়াৰ,বায়ু আপ করা
মানচাৰ্ড,মানসার্ড
মাৰ্শ্বেলিং গজ,মার্শালিং ইয়ার্ড
শিলৰ কাম,রাজমিস্ত্রির কাজ
পৰিপক্ক উষ্ণতা,পরিপক্ক তাপমাত্রা
মেজেনিন মজিয়া,মধ্যবর্তী তলা মেঝে
যান্ত্ৰিক বিশ্লেষণ,যান্ত্রিক বিশ্লেষণ
যান্ত্ৰিক বায়ু চলাচল,যান্ত্রিক বায়ুচলাচল
মেট্ৰিক ব্যৱস্থা,মেট্রিক সিস্টেম
অণুগাঁথনি,মাইক্রোস্ট্রাকচার
মিলি সমতুল্য,মিলি সমতুল্য
প্ৰতি লিটাৰত মিলি সমতুল্য,মিলি প্রতি লিটার সমতুল্য
খনিজ পদাৰ্থ,খনিজ
খনিজ মাটি,খনিজ মাটি
সৰু বন্দৰ,ছোট বন্দর
মাইট্ৰেড বন্ধ,Mitred বন্ধ
চলন্ত মাটিৰ কলয়ড,মোবাইল সয়েল কলয়েড
আৰ্দ্ৰতা,আর্দ্রতা কন্টেন্ট
আৰ্দ্ৰতাৰ গ্ৰেডিয়েণ্ট,আর্দ্রতা গ্রেডিয়েন্ট
মনোলিথ,মনোলিথ
মনোৰেল,মনোরেল
ৰাষ্ট্ৰীয় বন্দৰ পৰিষদ,জাতীয় হারবার কাউন্সিল
প্ৰাকৃতিক বিচনা,প্রাকৃতিক বিছানা
প্ৰাকৃতিক ফিনিচিং,প্রাকৃতিক ফিনিস
প্ৰাকৃতিক বন্দৰ,প্রাকৃতিক পোতাশ্রয়
প্ৰাকৃতিক বায়ু চলাচল,প্রাকৃতিক বায়ুচলাচল
নৌসেনাৰ বন্দৰ,নৌ বন্দর
নিউটন,নিউটন
নন ইউনিফৰ্ম প্ৰবাহ,অ অভিন্ন প্রবাহ
পানীৰ হাৰ দখল কৰে,জলের হার দখল করে
তেলৰ ৰং,তেলে আকা
তেলৰ কুঁৱাৰ চিমেণ্ট,তেল কূপ সিমেন্ট
মুকলি চেনেলৰ প্ৰবাহ,খোলা চ্যানেল প্রবাহ
অনুকূল আৰ্দ্ৰতা,সর্বোত্তম আর্দ্রতা
জৈৱিক মাটি,জৈব মাটি
অভিবিন্যাস,ওরিয়েন্টেশন
অৰ্থোগনেল,অর্থোগোনাল
অৰ্টষ্টেইন,অর্টস্টেইন
বাহিৰৰ সংকেত,বাইরের সংকেত
অক্সিডেচন,জারণ
পেণ্ট্ৰি,প্যান্ট্রি
পেৰাপেট,প্যারাপেট
পেৰাপেটৰ দেৱাল,প্রাচীর প্রাচীর
অভিভাৱকৰ সামগ্ৰী,পিতামাতার উপাদান
শিলগুটি ঢালাই প্লাষ্টাৰ,নুড়ি ঢালাই প্লাস্টার
পেডালফাৰ,পেডালফার
পেড&#39;কেল,পেডোকাল
পেড’জেনেছিছ,পেডোজেনেসিস
পেড’লজি,পেডোলজি
পেড’স্ফিয়াৰ,পেডোস্ফিয়ার
পেনেট্ৰ’মিটাৰ,পেনেট্রোমিটার
পেণ্ট ছাদ,পেন্ট ছাদ
পেপটাইজিং এজেণ্ট,পেপটাইজিং এজেন্ট
বিশ্লেষণৰ সময়ছোৱা,বিশ্লেষণের সময়কাল
পাৰ্পেণ্ড,পারপেন্ড
পাৰ্চৰ্পচন,শোষণ
ঘাট,পিয়ার
পিলাষ্টাৰ,পিলাস্টার
চূড়া,পিচ
পিচড ছাদ,গল্পটা ছাদ
সাধাৰণ কংক্ৰিট,সাধারণ কংক্রিট
সমতল কোণ,সমতল কোণ
সাধাৰণ চোতাল,সমতল গজ
প্লেনছল,প্ল্যানসোল
প্লাষ্টিকৰ স্থায়িত্ব,প্লাস্টিকের সামঞ্জস্য
প্লাষ্টিচিটি,প্লাস্টিসিটি
প্লাষ্টিচিটি সূচকাংক,প্লাস্টিসিটি সূচক
প্লাষ্টিচিটিৰ সীমা,প্লাস্টিসিটি সীমা
প্লাষ্টিচিটিৰ পৰিসৰ,প্লাস্টিসিটি পরিসীমা
প্লেটি গঠন,প্লাটি গঠন
প্লিন্থ,প্লিন্থ
হাল বোৱা মাটি,লাঙ্গলের মাটি
প্লামৰ শিল,বরই পাথর
পডজোলে,পডজোল
আঙুলিয়াই দি,ইশারা
বহুভুজীয়া বেৰ,বহুভুজ প্রাচীর
ছিদ্ৰৰ স্থান,ছিদ্র স্থান
বন্দৰ,বন্দর
পজিটিভ ভেন্টিলেচন,ইতিবাচক বায়ুচলাচল
প্ৰেয়ৰী মাটি,প্রাইরি মাটি
নিখুঁততা,যথার্থতা
প্ৰাথমিক কণা,প্রাথমিক কণা
প্ৰিজমেটিক গঠন,প্রিজম্যাটিক কাঠামো
উৎপাদনশীল কাম,উৎপাদনশীল কাজ
প্ৰকল্পৰ ন্যায্যতা,প্রকল্পের ন্যায্যতা
সুৰক্ষামূলক কাম,প্রতিরক্ষামূলক কাজ
ছ্যুড’-মাইচেলিয়াম,সিউডো-মাইসেলিয়াম
পুখুৰী,পুডল
পাগিং,পাগিং
পিউমিচ,পিউমিস
পাঞ্চিয়ন,পাঞ্চিয়ন
পুতলা,পুতুল
পুটলগ,পুটলগ
পুটলগ মৰাপাট,পুটলগ ভারা
পৰিমাণ জৰীপকাৰী,পরিমাণ পরিমাপক
শিলৰ ৰস,খনির রস
ঘাট,কোয়ে
কুইন বন্ধ,রানী বন্ধ
কুইইন,কুইন
ৰাফ্ট ফাউণ্ডেচন,ভেলা ফাউন্ডেশন
ৰেকাৰ,রাকার
ৰেকিং,রেকিং
ৰেকিং বণ্ড,রেকিং বন্ড
ৰেকিং ফ্লেছিং,ঝলকানি raking
দ্ৰুতগতিত পৰিৱৰ্তনশীল প্ৰবাহ,দ্রুত পরিবর্তনশীল প্রবাহ
আদায়যোগ্য পেমেণ্ট,পুনরুদ্ধারযোগ্য পেমেন্ট
ৰঙা মাটি,লাল পৃথিবী
ৰঙা লোম,লাল দোআঁশ
নিয়ন্ত্ৰক,রেগুলেটর
ৰেগুৰ বা ক’লা কপাহী মাটি,রেগুর বা কালো তুলা মাটি
ৰিপেমেণ্ট চুক্তি,পরিশোধের চুক্তি
অৱশিষ্ট সংকোচন,অবশিষ্ট সংকোচন
অৱশিষ্ট মাটি,অবশিষ্ট মাটি
প্ৰকাশ কৰা,প্রকাশ করা
পিন প্ৰকাশ কৰক,পিন প্রকাশ করুন
টাই প্ৰকাশ কৰক,টাই প্রকাশ
ৰিজ,রিজ
ৰিজ কেপিং,রিজ ক্যাপিং
নদী,নদী
ৰোড ষ্টেড,রোড স্টেড
ৰুক্ষ প্লাষ্টাৰ,রুক্ষ প্লাস্টার
ধ্বংসাৱশেষ,ধ্বংসস্তুপ
ধ্বংসাৱশেষৰ শিলৰ কাম,ধ্বংসস্তূপ রাজমিস্ত্রি
ধ্বংসাৱশেষৰ দেৱাল,ধ্বংসস্তূপ দেয়াল
চলি থকা জোখ-মাখ,চলমান পরিমাপ
নিৰাপদ বহন ক্ষমতা,নিরাপদ ভারবহন ক্ষমতা
নিমখৰ গ্লেজ,লবণ গ্লেজ
নমুনাৰ আকাৰ,সাধারন মাপ
নমুনা বিতৰণ,নমুনা বিতরণ
নমুনা সংগ্ৰহৰ ভুল,নমুনা ত্রুটি
বালি,বালি
বালিৰ ফিনিচিং,বালি ফিনিস
বালিৰ হাতৰ মল্ডিং,বালি হাত ছাঁচনির্মাণ
ছেণ্ডিং,স্যান্ডিং
সংপৃক্ত মাটি,স্যাচুরেটেড মাটি
সংপৃক্ত মাটিৰ পেষ্ট,স্যাচুরেটেড মাটির পেস্ট
চেচুৰেচন এক্সট্ৰেক্ট,স্যাচুরেশন নির্যাস
চেচুৰেচন শতাংশ,স্যাচুরেশন শতাংশ
চচৰ গম্বুজ,সসার গম্বুজ
মৰাপাট,ভারা
শ্বিষ্ট,শিস্ট
সাগৰীয় বন্দৰ,সমুদ্র বন্দর
গোপন নালা,গোপন নর্দমা
দ্বিতীয়,দ্বিতীয়
পলস বিশ্লেষণ,অবক্ষেপণ বিশ্লেষণ
অৰ্ধকৃত্ৰিম বন্দৰ,আধা-কৃত্রিম বন্দর
অৰ্ধ জোৱাৰ-ভাটাৰ ডক,আধা জোয়ার ডক
চেনিল,বার্ধক্য
শ্বেল,শেল
শ্বীটৰ স্তূপ,চাদরের স্তূপ
সংকোচনৰ সীমা,সংকোচন সীমা
শ্বাটাৰিং,শাটারিং
চিয়ালিটিক মাটি,সিয়ালিটিক মাটি
ছিয়েৰ’জেম,সিয়েরোজেম
চিল,সিল
পলি,পলি
একক ফ্লেমিছ তেজ,একক ফ্লেমিশ রক্ত
একক দানাযুক্ত গঠন,একক দানাদার কাঠামো
কংকালৰ মাটি,কঙ্কালের মাটি
স্কাৰ্টিং,স্কার্টিং
স্লিপাৰ ৱাল,ঘুমের প্রাচীর
কাষৰ নালা,পাশের নর্দমা
স্লাইড নিয়ম,পিছলানো পদ্দতি
স্লিপ ডক,স্লিপ ডক
স্মোনিজা,স্মোনিজা
তিয়াই থোৱা,ভিজানো
মাটিৰ সংঘ,মৃত্তিকা সমিতি
মাটিৰ শ্ৰেণী,মাটির শ্রেণী
মাটিৰ জটিলতা,মাটি জটিল
মাটিৰ স্থায়িত্ব,মাটির সামঞ্জস্য
মাটি পৰিয়াল,মাটির পরিবার
মাটিৰ ফ্ৰেমৰ কাম,মাটির ফ্রেমের কাজ
মাটিৰ আৰ্দ্ৰতা,মাটির আদ্রতা
মাটিৰ আৰ্দ্ৰতা বৃদ্ধি,মাটির আর্দ্রতা বৃদ্ধি
মাটিৰ আৰ্দ্ৰতাৰ ঘাটি,মাটির আর্দ্রতার ঘাটতি
মাটিৰ আকৃতিবিজ্ঞান,মাটির রূপবিদ্যা
মাটিৰ কণা,মাটির কণা
মাটিৰ পৰ্যায়,মাটির পর্যায়
মাটিৰ প্ৰফাইল,মাটি প্রোফাইল
মাটিৰ বিক্ৰিয়া,মাটির প্রতিক্রিয়া
মাটি পৃথক হয়,মাটি আলাদা করে
মাটিৰ শৃংখলা,মাটি সিরিজ
মাটিৰ দ্ৰৱ,মাটির সমাধান
মাটিৰ গঠন,মাটির গঠন
মাটিৰ টেক্সচাৰ,মাটির গঠন
মাটিৰ প্ৰকাৰ,মাটির ধরন
ছলুম,সোলুম
শোষণ,সর্পশন
Spalls,স্পালস
নিৰ্দিষ্ট আয়ন প্ৰভাৱ,নির্দিষ্ট আয়ন প্রভাব
বৰ্গক্ষেত্ৰৰ কোৰ্চযুক্ত ধ্বংসাৱশেষৰ শিলৰ কাম,বর্গাকার কোর্সকৃত ধ্বংসস্তূপের গাঁথনি
বৰ্গক্ষেত্ৰৰ নিয়মীয়া কোৰ্চযুক্ত ধ্বংসাৱশেষ শিলৰ কাম,বর্গাকার নিয়মিত কোর্সকৃত ধ্বংসস্তুপ গাঁথনি
স্থিৰ প্ৰবাহ,অটল প্রবাহ
ফিচফিচাই ষ্টেপ কৰিলে,ধাপে ধাপে ঝলকানি
আঠাযুক্ততা,আঠালোতা
ষ্টিক পইণ্ট,স্টিকিং পয়েন্ট
শিল,পাথর
স্লপ হেণ্ড মল্ডিং,স্লপ হাত ছাঁচনির্মাণ
ষ্ট্ৰেপ হিঞ্জ,চাবুক কবজা
ষ্ট্ৰ’ বৰ্ড,খড় বোর্ড
নিজৰা,প্রবাহ
চাপ,মানসিক চাপ
ষ্ট্ৰেচাৰ,স্ট্রেচার
ষ্ট্ৰেচাৰ বণ্ড,স্ট্রেচার বন্ড
ষ্ট্ৰেচাৰ কোৰ্চ,স্ট্রেচার কোর্স
তাঁৰ,স্ট্রিং
ষ্ট্ৰিং কোৰ্চ,স্ট্রিং কোর্স
গঠন কাৰক,স্ট্রাকচার ফ্যাক্টর
গঠন সূচকাংক,গঠন সূচক
ষ্টুকো,স্টুকো
ষ্টড,স্টুড
ষ্টাইলবেট,স্টাইলোবেট
উপ মাটি,সাব মাটি
উপ গঠন,উপ-কাঠামো
যোগফল বক্ৰ,সমষ্টি বক্ররেখা
সূৰ্য্যৰ মাইকা,সূর্য মাইকা
চুপাৰ ষ্ট্ৰাকচাৰ,সুপার স্ট্রাকচার
জৰীপকাৰী,সার্ভেয়ার
S-মান,এস-মান
লুট,চোরাই মাল
হাঁসৰ ডিঙি,রাজহাঁসের ঘাড়
তম্বু,তাবারন্যাকল
টেবুল হেণ্ড মল্ডিং,টেবিল হাত ছাঁচনির্মাণ
টেংকিং,ট্যাঙ্কিং
টেম্পিয়েট্টো,টেম্পিয়েত্তো
টেম্পাৰিং,টেম্পারিং
টেমপ্লেট,টেমপ্লেট
টেমপ্লেট,টেমপ্লেট
টেপিডাৰিয়াম,টেপিডারিয়াম
টেৰাকোটা,পোড়ামাটির
টেৰা ৰোজা,টেরা রোজা
টেৰাজো,টেরাজো
টেট্ৰা ষ্টাইল,টেট্রা শৈলী
থ্ৰেছহ&#39;ল্ড সীমা মান,থ্রেশহোল্ড সীমা মান
নেলু,গলা
শিলৰ মাজেৰে,পাথরের মাধ্যমে
জোৱাৰ-ভাটাৰ অৱবাহিকা,জোয়ার বেসিন
টাই বাৰ,টাই বার
টাই বিম,টাই মরীচি
টাই ৰড,টাই রড
তিৰছ,তিরস
সহনশীলতা,সহনশীলতা
দাঁত ওলোৱা,দাঁত তোলা
ওপৰৰ মাটি বা পৃষ্ঠৰ মাটি,উপরের মাটি বা পৃষ্ঠের মাটি
মুঠ ছিদ্ৰতা,মোট ছিদ্র
ট্ৰেচাৰী,ট্রেসরি
ট্ৰেইন ৰেজিষ্টেন্স,ট্রেন প্রতিরোধ
ট্ৰেন্সেপ্ট,ট্রান্সেপ্ট
সংক্ৰমণকালীন মাটি,ক্রান্তিকালীন মাটি
ট্ৰেন্সম,ট্রান্সম
পৰিবহণ মাটি,পরিবহন মাটি
ট্ৰিবিউটাৰী,উপনদী
ট্ৰাইফ’ৰিয়াম,ট্রাইফোরিয়াম
ট্ৰিগ্লিফ,ট্রাইগ্লিফ
ছেদ কৰা মাটি,কাটা মাটি
অশান্ত প্ৰবাহ,উত্তাল প্রবাহ
টাৰেট,বুরুজ
টিম্পাৰ num,টাইম্পার সংখ্যা
চূড়ান্ত বহন ক্ষমতা,চূড়ান্ত ভারবহন ক্ষমতা
চূড়ান্ত ph,চূড়ান্ত পিএইচ
আনকোৰ্চড ৰেণ্ডম ধ্বংসাৱশেষ শিলৰ কাম,এলোমেলো ধ্বংসস্তূপের গাঁথনি
আনকোৰ্চড বৰ্গক্ষেত্ৰৰ ধ্বংসাৱশেষৰ শিলৰ কাম,আনকোর্সড বর্গাকার ধ্বংসস্তূপ রাজমিস্ত্রি
আণ্ডাৰক্ৰফ্ট,আন্ডারক্রফট
ভৰোৱা নোহোৱা ছিদ্ৰতা,অপূর্ণ ছিদ্র
একেধৰণৰ প্ৰবাহ,অভিন্ন প্রবাহ
ইউনিট ফ্ৰেম ধৰণৰ মৰাপাট,ইউনিট ফ্রেম টাইপ ভারা
অনুত্পাদনশীল কাম,অনুৎপাদনশীল কাজ
অসংপৃক্ত মাটি,অসম্পৃক্ত মাটি
অস্থিৰ প্ৰবাহ,অস্থির প্রবাহ
প্লাষ্টিকৰ ওপৰৰ সীমা,প্লাস্টিকের উপরের সীমা
উপত্যকাৰ নালা,উপত্যকা গটার
ভল্ট,ভল্ট
ভেটেৰিয়াম,ভেটেরিয়াম
বায়ু চলাচল কৰা,অবাধে বায়ু - চলাচলের ব্যবস্থা
ভেন্টিলেটৰ,ভেন্টিলেটর
ভেৰামদহ,ভেরামদাহ
ভেষ্টিবুল,ভেস্টিবুল
ভিলা,ভিলা
