Telugu,Assamese
యుగాన్ని సృష్టించే సంఘటన,যুগ সৃষ্টিকাৰী অনুষ্ঠান
యుగపురుషుడు,যুগ সৃষ্টিকাৰী মানুহ
పేరుపేరు,ইপ&#39;নিম
ఎక్వెరీ,ইকুৱেৰী
ఎక్వెరీ,ইকুৱেৰী
గుర్రపుస్వారీ విగ్రహం,অশ্বাৰোহীৰ মূৰ্তি
యుగం,যুগ
ఎర్గస్టులం,এৰগাষ্টুলাম
యూకారిస్ట్,ইউখাৰিষ্ট
సువార్తవాదం,ইভানজেলিজম
సువార్త ఉద్యమం,ইভানজেলিকেল আন্দোলন
మత ప్రచారకుడు,ইভানজেলিষ্ট
Exarch,Exarch
Exilarch,এক্সাইলাৰ্ক
ఫలాంగిస్ట్,ফেলেংগিষ্ট
తండ్రి భూమి,পিতৃ ভূমি
తండ్రి భూమి,পিতৃ ভূমি
ఫెరియాయే,ফেৰিয়া
ఫెటిష్,ফেটিছ
ఫ్యూడల్ హోల్డింగ్స్,সামন্তীয় হোল্ডিংছ
ఫ్యూడలిజం (=ఫ్యూడల్ వ్యవస్థ),সামন্তবাদ (=সামন্তীয় ব্যৱস্থা)
భూస్వామ్య వ్యవస్థ,সামন্তীয় ব্যৱস্থা
భూస్వామ్య,সামন্তীয়
ఫిడే డిఫెన్సర్ (=డిఫెండర్ ఆఫ్ ది ఫెయిత్),ফিডেই ডিফেন্সৰ (=বিশ্বাসৰ ৰক্ষক)
ఫైఫ్,ফিফ
ఫీల్డ్ సిస్టమ్,ক্ষেত্ৰ ব্যৱস্থা
పదిహేనవ పన్ను,পোন্ধৰতম কৰ
ఫిగర్ హెడ్,চিত্ৰৰ মূৰ
ఫిన్ డి సైకిల్,ফিন ডি ছিকেল
అగ్ని తినేవాడు,জুই খোৱা
ఫైవ్ మైల్ చట్టం,পাঁচ মাইল আইন
జెండా,পতাকা
ఫ్లేమెన్ డయాలిస్,ফ্লেমেন ডায়েলিছ
ఫ్లేమెన్ మార్టియాలిస్,ফ্লেমেন মাৰ্চিয়ালিছ
జ్వలించే జ్యోతి,জ্বলি থকা টৰ্চ
పార్శ్వము,ফ্লেংক
పార్శ్వ కదలిక,ফ্লেংকিং মুভমেণ্ট
వర్ధిల్లుతున్న నాగరికత,ফুলি উঠা সভ্যতা
ఫ్లూవియలిస్టిక్ నమ్మకం,নদীবাদী বিশ্বাস
జానపద దేవుడు,লোক দেৱতা
జానపద దేవత,লোক দেৱী
జానపద జ్ఞాపకం,লোক স্মৃতি
జానపద పురాణం (=జానపదం),লোক মিথ (=folklore)
మేత వెదకడం,খাদ্য বিচাৰি ফুৰা
ఫోరే,আক্ৰমণ
ముందరివాడు,পূৰ্বপুৰুষ
పూర్వీకుడు,পূৰ্বপুৰুষ
ముందున్నవాడు,আগশাৰীৰ
చితికిపోయిన ఆశ,নিঃসংগ আশা
నిర్మాణ దశ,গঠনমূলক পৰ্যায়
కోట,দুৰ্গ
కోట,দুৰ্গ নিৰ্মাণ
పటిష్టమైన పట్టణం,দুৰ্গম চহৰ
కోట,দুৰ্গ
ఫార్చ్యూనా,ফৰ্তুনা
ఫోరమ్ రోమనుమ్,ফ&#39;ৰাম ৰোমানম
ఫ్రాన్సిస్కాన్,ফ্ৰান্সিস্কান
ఫ్రాంక్లిన్,ফ্ৰেংকলিন
భ్రాతృహత్య యుద్ధం,ভাতৃঘাতী যুদ্ধ
ఉచిత చర్చి,ফ্ৰী চাৰ্চ
ఫ్రీహోల్డర్,ফ্ৰীহোল্ডাৰ
స్వతంత్ర సైనికుడు,ফ্ৰীলান্স সৈনিক
స్వతంత్ర సైనికుడు,ফ্ৰীলান্স সৈনিক
ఫ్రీమాన్,ফ্ৰীমেন
ఫ్రీమాన్,ফ্ৰীমেন
ఫ్రీపాస్,ফ্ৰীপাছ
ఫ్రెంచ్ విప్లవం,ফৰাচী বিপ্লৱ
సన్యాసి,ফ্ৰাইয়াৰ
ఫ్రైసియన్ కిరాయి సైనికులు,ফ্ৰিয়াছিয়ান ভাড়াতীয়া
సరిహద్దు మనిషి,সীমান্ত&#39;এ মানুহ
గాలియన్,গেলিয়ন
గల్లికన్ (=గల్లికనిస్ట్),গ্যালিকান (=গ্যালিকানিষ্ট)
గల్లికానిజం,গ্যালিকানিজম
దండు,গেৰিছন
గౌల్,গল
గాంట్లెట్,গাউণ্টলেট
గాంట్లెట్,গাউণ্টলেট
గెజిబో,গেজেবো
గెజిబో,গেজেবো
గెజిబో,গেজেবো
వంశ చరిత్ర,বংশাৱলীৰ ইতিহাস
వంశపారంపర్య రికార్డు,বংশাৱলীৰ ৰেকৰ্ড
వంశపారంపర్య పట్టిక,বংশাৱলীৰ তালিকা
వంశవృక్షం,বংশাৱলীৰ গছ
వంశావళి,বংশাৱলী
వంశావళి,বংশাৱলী
తరం,প্ৰজন্ম
మారణహోమం,গণহত্যা
అన్యజనుడు,অনা-ইহুদী
అన్యజనుడు,অনা-ইহুদী
అన్యజనుడు,অনা-ইহুদী
అన్యజనుడు,অনা-ইহুদী
ఘెట్టో,গেট্টো
ఘెట్టో,গেট্টো
గిబ్బెట్,গিবেট
గిల్డ్ (=గిల్డ్),গিল্ড (=গিল্ড)
గ్లాడియేటర్,গ্লেডিয়েটাৰ
అద్భుతమైన విప్లవం,গৌৰৱময় বিপ্লৱ
గోల్డెన్ హోర్డ్,গোল্ডেন হৰ্ড
మహా కూటమి,গ্ৰেণ্ড এলায়েন্স
గ్రాండీ,গ্ৰেণ্ডী
గ్రాండ్ సిగ్నర్,গ্ৰেণ্ড চাইন&#39;ৰ
గ్రాండ్ సిగ్నర్,গ্ৰেণ্ড চাইন&#39;ৰ
గొప్ప అంతర్యుద్ధం,মহান গৃহযুদ্ধ
గొప్ప నిష్క్రమణ (బుద్ధుని),মহান প্ৰস্থান (বুদ্ধৰ)
గ్రేటర్ ఇండియా,বৃহত্তৰ ভাৰত
గ్రేట్ హెల్లాస్,গ্ৰেট হেলাছ
గ్రేట్ హోర్డ్,গ্ৰেট হৰ্ড
గొప్ప పరిత్యాగం (=గొప్ప నిష్క్రమణ),মহান পৰিত্যাগ (=মহান প্ৰস্থান)
గొప్ప ముద్ర,গ্ৰেট ছিল
గ్రేట్ ట్రాక్,গ্ৰেট ট্ৰেক
గొప్ప వాహనం,গ্ৰেট ভেহিকেল
గ్రేట్ వాల్ ఆఫ్ చైనా,চীনৰ গ্ৰেট ৱাল
గ్రీవ్,গ্ৰেভ
గార్డ్-ఛాంబర్,গাৰ্ড-চেম্বাৰ
గార్డ్-ఛాంబర్,গাৰ্ড-চেম্বাৰ
గార్డ్-ఛాంబర్,গাৰ্ড-চেম্বাৰ
గుప్తులు,গুপ্তাছ
హాజియోగ్రఫీ,হেজিঅ’গ্ৰাফী
హాజియోగ్రఫీ,হেজিঅ’গ্ৰাফী
హగియాలజీ,হেজিঅ’লজি
హగియాలజీ,হেজিঅ’লজি
ప్రైవేట్ ప్రేక్షకుల హాల్,ব্যক্তিগত দৰ্শকৰ হল
పబ్లిక్ ప్రేక్షకుల హాల్,ৰাজহুৱা দৰ্শকৰ হল
హాచ్మెంట్,হেচমেণ্ট
హీతేన్,হেথেন
హీతేన్,হেথেন
హీతేనిజం,হেথেনিজম
హెగిరా (హెజెరా),হেগিৰা (হেজেৰা)
హెలెనిజం,হেলেনিজম
హెలట్,হেলট
హెరాల్డ్రీ,হেৰাল্ড্ৰি
వారసత్వం,ঐতিহ্য
చిత్రలిపి సరళ అక్షరాలు,হাইৰ’গ্লিফিক ৰৈখিক আখৰ
చిత్రలిపి స్క్రిప్ట్,হাইৰ&#39;গ্লিফিক লিপি
హై చర్చి,হাই চাৰ্চ
హై ల్యాండర్,হাই লেণ্ডাৰ
హిందూమతం,হিন্দু ধৰ্ম
చరిత్రకారుడు,ইতিহাসবিদ
చరిత్రకారుడు,ইতিহাসবিদ
చారిత్రక భౌతికవాదం,ঐতিহাসিক বস্তুবাদ
చారిత్రక యుగం,ঐতিহাসিক যুগ
చారిత్రక సరిహద్దు,ঐতিহাসিক সীমান্ত
చరిత్రకారుడు,ইতিহাসবিদ
చరిత్రకారుడు,ইতিহাসবিদ
చరిత్ర చరిత్ర,ইতিহাস লেখা
చరిత్ర చరిత్ర,ইতিহাস লেখা
చరిత్ర,ইতিহাস
హిట్టైట్ సామ్రాజ్యం,হিট্টী সাম্ৰাজ্য
పవిత్ర కూటమి,পবিত্ৰ মিত্ৰতা
పవిత్ర నగరం,পবিত্ৰ নগৰ
పవిత్ర నగరం,পবিত্ৰ নগৰ
పవిత్ర భూమి,পবিত্ৰ ভূমি
పవిత్ర భూమి,পবিত্ৰ ভূমি
హోలీ లీగ్,হলি লীগ
హోలీ లీగ్,হলি লীগ
పవిత్ర రోమన్ సామ్రాజ్యం (=సామ్రాజ్యం),পবিত্ৰ ৰোমান সাম্ৰাজ্য (=The Empire)
పవిత్ర సముద్రం,পবিত্ৰ সাগৰ
పవిత్ర సముద్రం,পবিত্ৰ সাগৰ
పవిత్ర యుద్ధం,পবিত্ৰ যুদ্ধ
పవిత్ర యుద్ధము,পবিত্ৰ যুদ্ধ
హోం ప్రభుత్వం,গৃহ চৰকাৰ
హోంగార్డు,হোম গাৰ্ড
జన్మభూమి,গৃহভূমি
గృహ నియమం,গৃহ শাসন
హోమ్ రూల్,হোম ৰুল
గుంపు,হৰ্ড
గుంపు,হৰ্ড
శత్రు దేశం,শত্ৰুতাপূৰ্ণ দেশ
శత్రుభూమి,শত্ৰুতাপূৰ্ণ ভূমি
వేడి ముసుగులో,hot pursuit
ఇల్లు,ঘৰ
ఇల్లు,ঘৰ
హౌస్ ఆఫ్ కామన్స్,হাউচ অৱ কমনছ
హౌస్ ఆఫ్ లార్డ్స్,হাউচ অৱ লৰ্ডছ
ప్రతినిధుల సభ,প্ৰতিনিধি সদন
హ్యూగ్నోట్స్,হুগুয়েনট
మానవతావాదం,মানৱতাবাদ
మానవతావాది,মানৱতাবাদী
హండ్రెడ్ యెస్సర్స్ వార్,শত Yesrs&#39; যুদ্ধ
హంకర్,হাংকাৰ
ఇబాదత్ ఖానా (ఆరాధనా గృహం),ইবাদাত খানা (পূজাৰ ঘৰ)
ఐకానోక్లాస్ట్,আইকনক্লাষ্ট
విగ్రహారాధకుడు,মূৰ্তিপূজক
ఇలాహి యుగం,ইলাহি যুগ
చట్టవిరుద్ధమైన యుద్ధం,অবৈধ যুদ্ধ
ప్రకాశవంతమైన మాన్యుస్క్రిప్ట్,আলোকিত পাণ্ডুলিপি
ఇలస్ట్రేటెడ్ మాన్యుస్క్రిప్ట్,সচিত্ৰ পাণ্ডুলিপি
ఇలస్ట్రేటెడ్ మాన్యుస్క్రిప్ట్,সচিত্ৰ পাণ্ডুলিপি
ఇమామ్ (ఇమ్మామ్),ইমাম (ইমাউম)
ఇమామత్,ইমামত
ఇమామత్,ইমামত
ఇమాంబరః,ইমাম্বৰা
ఇంపీరియల్,ইম্পেৰিয়েল
ఇంపీరియల్ నగరం,ইম্পেৰিয়েল চিটি
సామ్రాజ్యవాదం,সাম্ৰাজ্যবাদ
ఇంపీరియల్ ప్రాధాన్యత,ইম্পেৰিয়েল পছন্দ
అసంబద్ధం,নীতিহীনতা
మోసగాడు,ভণ্ড
జైలు శిక్ష,কাৰাবাস
జైలు శిక్ష,কাৰাবাস
చొరబాటు,আক্ৰমণ
చొరబాటుదారుడు,আক্ৰমণকাৰী
స్వాతంత్ర్యం,স্বাধীনতা
స్వాతంత్ర్య దినోత్సవం,স্বাধীনতা দিৱস
ఇండిపెండెన్స్ హాల్,স্বাধীনতা প্ৰেক্ষাগৃহ
ఇండియన్ అమెరియన్ (=రెడ్ ఇండియన్=అమెరికన్ ఇండియన్),ভাৰতীয় আমেৰিকান (=ৰেড ইণ্ডিয়ান=আমেৰিকান ইণ্ডিয়ান)
ఇండియన్ హోమ్ రూల్ లీగ్,ইণ্ডিয়ান হোম ৰুল লীগ
పారిశ్రామిక విప్లవం,ঔদ্যোগিক বিপ্লৱ
అవిశ్వాసం,কাফিৰ
అవిశ్వాసం,কাফিৰ
చొరబాటు,অনুপ্ৰৱেশ
చొరబాటుదారుడు,অনুপ্ৰৱেশকাৰী
సమాచారం ఇచ్చేవాడు,তথ্যদাতা
సమాచారం ఇచ్చేవాడు,তথ্যদাতা
ఇన్ఫార్మర్,তথ্যদাতা
ఇన్ఫార్మర్,তথ্যদাতা
ప్రవేశము,প্ৰৱেশ
ప్రవేశము,প্ৰৱেশ
ప్రవేశము,প্ৰৱেশ
నివాసం,বাসস্থান
నివాసి,বাসিন্দা
వారసత్వం,উত্তৰাধিকাৰ
వారసత్వం,উত্তৰাধিকাৰ
వారసత్వం,উত্তৰাধিকাৰ
శాసనం,শিলালিপি
చిహ్నము,চিহ্ন
ప్రవేశ పరికరం,যোগদানৰ যন্ত্ৰ
ప్రభుత్వ సాధనం,চৰকাৰৰ আহিলা
తిరుగుబాటు (తిరుగుబాటు),বিদ্ৰোহ (বিদ্ৰোহ)
తిరుగుబాటుదారుడు,বিদ্ৰোহী
తిరుగుబాటు,বিদ্ৰোহ
తిరుగుబాటు,বিদ্ৰোহ
అనుసంధానం,সংহতি
రికార్డుల సమగ్రత,ৰেকৰ্ডৰ অখণ্ডতা
రాష్ట్రాల సమగ్రత,ৰাজ্যসমূহৰ অখণ্ডতা
మేధావి (ఇంటెలిజెంట్జియా),বুদ্ধিমান (Intelligentzia)
మధ్యవర్తిత్వం,মধ্যস্থতা
మధ్యవర్తి,মধ্যস্থতাকাৰী
మధ్యవర్తి,মধ্যস্থতাকাৰী
అంతర్జాతీయవాదం,আন্তৰ্জাতিকতাবাদ
అంతర్జాతీయవాదం,আন্তৰ্জাতিকতাবাদ
అంతర్జాతీయవాది,আন্তৰ্জাতিকতাবাদী
అంతర్గత యుద్ధం,আন্তঃসংযোগী যুদ্ধ
ఇంటర్నీ,ইণ্টাৰনী
ఇంటర్నీ,ইণ্টাৰনী
ఇంటర్నీ క్యాంపు,ইণ্টাৰনী শিবিৰ
ఇంటర్న్మెంట్,আৱদ্ধ কৰি ৰখা
ఇంటర్న్మెంట్,আৱদ্ধ কৰি ৰখা
ఇంటర్న్మెంట్,আৱদ্ধ কৰি ৰখা
ఇంటర్నేషనల్,Internuncio
వ్యాఖ్యాత,ব্যাখ্যাকৰোতা
వ్యాఖ్యాత,ব্যাখ্যাকৰোতা
వ్యాఖ్యాత,ব্যাখ্যাকৰোতা
జోక్యం,হস্তক্ষেপ
ఇంటస్టేసి,ইনটেষ্টেচি
పేగు,ইনটেষ্টেট
చమత్కారం,কুটিলতা
చొరబాటుదారుడు,অনুপ্ৰৱেশকাৰী
చొరబాటుదారుడు,অনুপ্ৰৱেশকাৰী
చొరబాటు,অনুপ্ৰৱেশ
దండయాత్ర,আক্ৰমণ
దండయాత్ర,আক্ৰমণ
పెట్టుబడి,বিনিয়োগ কৰা
పెట్టుబడి,বিনিয়োগ কৰা
పెట్టుబడి,বিনিয়োগ কৰা
పెట్టుబడి,বিনিয়োগ কৰা
పెట్టుబడి,বিনিয়োগ
పెట్టుబడి,বিনিয়োগ
పెట్టుబడి,বিনিয়োগ
పెట్టుబడి వేడుక,বিনিয়োগ অনুষ্ঠান
జాతీయతతో పెట్టుబడి పెట్టండి,জাতীয়তাৰ সৈতে বিনিয়োগ কৰক
ఇన్విన్సిబుల్ ఆర్మడ,অজেয় আৰ্মাডা
ఉల్లంఘన (రాష్ట్రం),অলংঘনীয়তা (ৰাষ্ট্ৰৰ)
ఉల్లంఘించిన స్థితి,অলংঘিত অৱস্থা
అభేద్యమైన కోట,অক্ষম দুৰ্গ
ఇనుప యుగం,লোৰ যুগ
ఇనుప తెర,লোহাৰ পৰ্দা
ఐరన్ గార్డ్,লোহাৰ ৰক্ষক
ఇనుము రేషన్లు,লোহাৰ ৰেচন
ఇనుప వైపులా,লোহাৰ কাষ
ఇనుప చిట్కా బాణం,লোহাৰ টিপযুক্ত কাঁড়
ఇస్త్మియన్ ఆటలు,ইষ্টমিয়ান খেল
జానిసరీ,জেনিছাৰী
కాపలాదారు,জেনিটৰ
కాపలాదారు,জেনিটৰ
జావెలిన్,জেভেলিন
జిమ్ క్రో చట్టాలు,জিম ক&#39;ৰ&#39; ল&#39;ছ
జింగో,জিংগো
జింగో,জিংগো
జింగో,জিংগো
జింగోయిజం,জিংগোবাদ
ఉమ్మడి చర్య,যৌথ ব্যৱস্থা
ఉమ్మడి నియంత్రణ,যৌথ নিয়ন্ত্ৰণ
ఉమ్మడి ఆక్యుపెన్సీ,যৌথ দখল
జ్యూరీ,জুৰী
కారణం మాత్రమే,মাত্ৰ কাৰণ
ఉంచండి,ৰাখক
ఆర్కైవ్స్ కీపర్,আৰ্কাইভৰ ৰক্ষক
కెటిల్-డ్రమ్,কেটলি-ড্ৰাম
కీలక పదం,মূল শব্দ
రాజు,ৰজা
రాజ్యం,ৰাজ্য
కింగ్లెట్,কিংলেট
కింగ్ మేకర్,ৰজা নিৰ্মাতা
రాజ్యాధికారం,ৰজাৰ পদ
రాజ్యాధికారం,ৰজাৰ পদ
కిచెన్ క్యాబినెట్,পাকঘৰৰ কেবিনেট
నైట్,ৰজা
రాజ్యం,ৰজাৰত্ব
కింగ్స్ హాస్పిటల్స్,Kinghts হস্পিতালৰ লোক
నైట్స్ ఆఫ్ సెయింట్ జాన్,নাইটছ অৱ চেণ্ট জন
నైట్ టెంప్లర్,নাইট টেম্পলাৰ
కు క్లక్స్ క్లాన్ (KKK),কু ক্লাক্স ক্লান (KKK)
కుమింటాంగ్,কুমিনতাং
లౌకికత్వం,লেইটি
లాన్స్,লেন্স
లాన్సర్,লেন্সাৰ
తరువాత గుప్తులు,পিছলৈ গুপ্তাছ
చట్టబద్ధమైన వారసుడు,বৈধ উত্তৰাধিকাৰী
చట్టవిరుద్ధం (=అక్రమం),আইন-শৃংখলাহীনতা (=বিকাৰ)
చట్టవిరుద్ధం (=అక్రమం),আইন-শৃংখলাহীনতা (=বিকাৰ)
చట్ట ప్రభువులు,আইন প্ৰভুসকল
భక్తి చట్టం,ধৰ্মপৰায়ণতাৰ নিয়ম
దేశముల సమాహారం,লীগ অৱ নেচনছ
లెగసీ (=బిక్వెస్ట్),লিগেচি (=উইল)
లెగసీ (=బిక్వెస్ట్),লিগেচি (=উইল)
చట్టపరమైన వారసుడు,আইনী উত্তৰাধিকাৰী
చట్టబద్ధత,লেগেট
చట్టబద్ధత,লেগেট
చట్టబద్ధత,লেগেট
లెజెండ్,কিংবদন্তী
లెజెండ్,কিংবদন্তী
లెజియన్,লিজিয়ন
లెజియన్,লিজিয়ন
లెజియన్ ఆఫ్ ఆనర్,লিজিয়ন অৱ অনাৰ
లెస్ మెజెస్టి (=లెస్ మెజెస్టే),লেচে মহিমা (=lese majeste)
తక్కువ రాష్ట్రాలు,ক্ষুদ্ৰ ৰাজ্য
విశ్వసనీయత లేఖలు,বিশ্বাসযোগ্যতাৰ পত্ৰ
లీజ్-లార్డ్,লিয়েজ-লৰ্ড
లీజ్ మనిషి,লিয়েজ মানুহ
లీజ్ మనిషి,লিয়েজ মানুহ
జీవిత ఖైదు,আজীৱন কাৰাদণ্ড
వంశం,বংশ
లిటిల్ ఇంగ్లాండు,লিটিল ইংলেণ্ডৰ
చిన్న వాహనం (=తక్కువ వాహనం),লিটল ভেহিকেল (=ক্ষুদ্ৰ বাহন)
లిటోరల్ రాష్ట్రం,উপকূলীয় অৱস্থা
ప్రార్ధనలు,লিটাৰ্জী
ప్రార్ధన,লিটাৰ্জী
స్థానిక విధేయత,স্থানীয় আনুগত্য
స్థానిక-స్వయం ప్రభుత్వం,স্থানীয়-আত্ম চৰকাৰ
సుదీర్ఘ పార్లమెంటు,দীঘলীয়া সংসদ
తక్కువ దేశాలు,নিম্ন দেশ
విశ్వాసపాత్రుడు,অনুগত
విధేయత,আনুগত্য
మాకియవెల్లియన్ విధానం,মেকিয়াভেলিয়ান নীতি
మాగ్నా కార్టా,মেগনা কাৰ্টা
మాగ్నమ్ కన్సిలియం,মেগনাম কনচিলিয়াম
మలం నిషేధం,মালুম প্ৰহিবিটাম
మాండమస్,মাণ্ডামছ
ఆదేశం,আদেশ
"ఆదేశం, తరగతి &#39;A&#39;","আদেশ, ক্লাছ &#39;ক&#39;।"
"ఆదేశం, తరగతి &#39;B&#39;","আদেশ, ক্লাছ &#39;খ&#39;।"
"ఆదేశం, తరగతి &#39;సి&#39;","আদেশ, শ্ৰেণী &#39;গ&#39;।"
ఆదేశ వ్యవస్థ,আদেশ ব্যৱস্থা
తప్పనిసరి స్థితి,বাধ্যতামূলক ৰাজ্য
మాంగోనెల్,মেংগোনেল
మేనిఫెస్టో,ইস্তাহাৰ
యుక్తులు,কৌশল
మ్యాన్ ఆఫ్ వార్,যুদ্ধৰ মানুহ
మనోర్,মেন&#39;ৰ
మనోర్,মেন&#39;ৰ
మానవ శక్తి,মানুহ-শক্তি
మానవ శక్తి,মানুহ-শক্তি
మాన్యుమిషన్,মানুমিচন
మనుమిత్,মনুমিত
మాన్యుస్క్రిప్ట్,পাণ্ডুলিপি
మాన్యుస్క్రిప్ట్,পাণ্ডুলিপি
మాన్యుస్క్రిప్ట్,পাণ্ডুলিপি
మారౌడర్,মাৰাউডাৰ
సముద్ర బెల్ట్,সামুদ্ৰিক বেল্ট
సముద్ర నాగరికత,সামুদ্ৰিক সভ্যতা
సముద్ర జెండా,সামুদ্ৰিক পতাকা
సముద్ర శక్తులు,সামুদ্ৰিক শক্তিসমূহ
సముద్ర సార్వభౌమాధికారం,সামুদ্ৰিক সাৰ্বভৌমত্ব
సముద్ర యుద్ధం,সামুদ্ৰিক যুদ্ধ
మార్క్విస్,মাৰ্কিছ
మార్క్విసేట్,মাৰ্কিজেট
మార్షల్ లా,সামৰিক আইন
మార్షల్ రేసులు,যুদ্ধ দৌৰ
అమరవీరుడు,শ্বহীদ
నరమేధం,হত্যাকাণ্ড
మాస్ యుక్తి,কৌশলৰ ভৰ
మాస్టర్-ఎట్-ఆర్మ్స్,মাষ্টাৰ-এট-আৰ্মছ
మాస్టర్ ఆఫ్ వేడుకలు,অনুষ্ঠানৰ মাষ্টাৰ
ఇంటి యజమాని,মাষ্টাৰ অৱ হাউচহ’ল্ড
మాస్టర్ ఆఫ్ ది హార్స్,ঘোঁৰাৰ মাষ্টাৰ
మాస్టర్ ఆఫ్ ది రోల్స్,মাষ্টাৰ অৱ দ্য ৰোলছ
మ్యాచ్,মিল থকা
మ్యాచ్,মিল থকা
అగ్గిపెట్టె,মেচলক
వైవాహిక మైత్రి,বৈবাহিক মিত্ৰতা
మధ్యధరా శక్తులు,ভূমধ্যসাগৰীয় শক্তিসমূহ
మెన్షెవిక్,মেনশ্বেভিক
కిరాయి సైన్యం,ভাড়াতীয়া সেনাবাহিনী
కిరాయి సైనికుడు,ভাড়াতীয়া সৈনিক
వ్యాపారి,ব্যৱসায়ী
మధ్య యుగాలు,মধ্যযুগ
మధ్యప్రాచ్యం,মৈদ্ধ পূৰ্ব
మధ్య మార్గము,মধ্যম অংশ
మధ్య మార్గం,মধ্যম পথ
మధ్య మార్గం (=మిడిల్ కోర్సు),মধ্যম পথ (=মধ্যম পথ)
వలసదారు,প্ৰব্ৰজনকাৰী
వలస,প্ৰব্ৰজন
వలస,প্ৰব্ৰজন
వలస,প্ৰব্ৰজন
మిలిటరిజం,সামৰিকতাবাদ
మిలిటరిజం,সামৰিকতাবাদ
మిలిటరిజం,সামৰিকতাবাদ
మిలిటరిజం,সামৰিকতাবাদ
మిలిటరిస్ట్,সামৰিকবাদী
మిలిటరిస్ట్,সামৰিকবাদী
సైనికీకరణ,সামৰিককৰণ
సైనికీకరణ,সামৰিককৰণ
సైనికీకరణ,সামৰিককৰণ
సైనిక వ్యూహకర్త (= వ్యూహకర్త),সামৰিক কৌশলবিদ (=কৌশলবিদ)
సైనిక వ్యూహకర్త (= వ్యూహకర్త),সামৰিক কৌশলবিদ (=কৌশলবিদ)
సైనిక వ్యూహాలు (=వ్యూహాలు),সামৰিক কৌশল (=কৌশল)
మిలిషియా,মিলিচীয়া
మిలిషియా,মিলিচীয়া
దుష్పరిపాలన,অপশাসন
లింక్ లేదు,লিংক হেৰাই গৈছে
మిషన్,উদ্দেশ্য
మిషన్,উদ্দেশ্য
మిషన్,উদ্দেশ্য
మిశ్రమ జాతి,মিশ্ৰ জাতিৰ
ఆధునిక చరిత్ర,আধুনিক ইতিহাস
మోడ్స్ వీవెండి,মডাছ ভিভেণ্ডি
మోనాకిజం,মনাচিজম
చక్రవర్తి,মনাৰ্ক
చక్రవర్తి,মনাৰ্ক
రాచరికం,ৰাজতন্ত্ৰবাদ
రాచరికం,ৰাজতন্ত্ৰবাদ
రాచరికవాది,ৰাজতন্ত্ৰবাদী
రాచరికం,ৰাজতন্ত্ৰ
మఠం,মঠ
మఠం,মঠ
మఠం,মঠ
సన్యాసం,মঠ-মন্দিৰ
సన్యాసం,মঠ-মন্দিৰ
సన్యాసి,সন্ন্যাসী
మాతృదేశం,মাতৃ দেশ
మాతృభూమి,মাতৃভূমি
పార్లమెంటుల తల్లి,সংসদৰ মাতৃ
ముక్రాకర్స్,মাকৰেকাৰছ
మమ్మీ,মামী
మ్యూజియం,সংগ্ৰাহালয়
మస్కెట్,মাস্কেট
మస్కటీర్,মাস্কেটিয়াৰ
మస్కెట్రీ,মাস্কেট্ৰি
మస్కెట్రీ,মাস্কেট্ৰি
మస్టర్ మాస్టర్,মাষ্টাৰ মাষ্টাৰ
మస్టర్-రోల్,মাষ্টাৰ-ৰোল
మస్టర్-రోల్,মাষ্টাৰ-ৰোল
తిరుగుబాటు,বিদ্ৰোহ
తిరుగుబాటు చట్టం,বিদ্ৰোহ আইন
మిస్టరీ షిప్,ৰহস্য জাহাজ
కథనం,বৰ্ণনা
దేశం,জাতি
స్థానికుడు,স্থানীয়
స్థానిక రాష్ట్రం,থলুৱা ৰাজ্য
సహజత్వం,প্ৰকৃতিবাদ
సహజ హక్కులు,প্ৰাকৃতিক অধিকাৰ
నాజీ,নাজী
నాజీ విప్లవం,নাজী বিপ্লৱ
నాజీయిజం,নাজীবাদ
తూర్పు సమీపంలో,পূবৰ ওচৰত
నీగ్రో,নিগ্ৰো
నీగ్రోఫిల్,নেগ্ৰ&#39;ফিল
నీగ్రోఫిలిజం,নিগ্ৰোফিলিজম
నీగ్రోఫోబియా,নিগ্ৰোফ’বিয়া
తటస్థ,নিৰপেক্ষ
తటస్థ దేశం,নিৰপেক্ষ দেশ
నూతన ఒప్పందం,নিউ ডিল
కొత్త ప్రపంచం,নতুন পৃথিৱী
ప్రభువు,আভিজাত্য
కీర్తిగల,নোবেল
కీర్తిగల,নোবেল
సంచార జాతులు,যাযাবৰী
సంచార గుంపు,যাযাবৰী গোট
సంచారము,যাযাবৰীতা
దురాక్రమణ రహిత ఒప్పందం,অ-আগ্ৰাসন চুক্তি
దురాక్రమణ రహిత ఒప్పందం,অ-আগ্ৰাসন চুক্তি
యుద్ధం చేయని రాష్ట్రం,অযুদ্ধপ্ৰায় অৱস্থা
నాన్-కో-ఆపరేషన్,অসহযোগিতা
సహాయ నిరాకరణ ఉద్యమం,অসহযোগ আন্দোলন
ఎదురుగా,আগফালৰ অংশ
ఎదురుగా,আগফালৰ অংশ
ఓక్లోక్రసీ (=మొబోక్రసీ),অক্ল&#39;ক্ৰেচি (=মব&#39;ক্ৰেচি)
ఓక్లోక్రాట్,অক্লক্ৰেট
అధికారిక పత్రం,চৰকাৰী নথি
పాత ప్రపంచం,পুৰণি পৃথিৱী
ఒలిగార్కీ,অলিগাৰ্চি
దాడి,আক্ৰমণ
బహిరంగ చర్చలు,মুকলি আলোচনা
