Marathi,Assamese
संगणक तज्ञ,কম্পিউটাৰ বিশেষজ্ঞ
संगणक ग्राफिक्स,কম্পিউটাৰ গ্ৰাফিক্স
संगणक सूचना,কম্পিউটাৰৰ নিৰ্দেশনা
"1.संगणकीय भाषा, 2.संगणकीय भाषा","১.কম্পিউটাৰ ভাষা, ২.কম্পিউটাৰ ভাষা"
"1.संगणक नेटवर्क, 2.संगणक नेटवर्क","1. কম্পিউটাৰ নেটৱৰ্ক, 2. কম্পিউটাৰ নেটৱৰ্ক"
संगणक शास्त्र,কম্পিউটাৰ বিজ্ঞান
संगणक सुरक्षा,কম্পিউটাৰ সুৰক্ষা
संगणक सिम्युलेशन,কম্পিউটাৰ চিমুলেচন
संगणक तज्ञ,কম্পিউটাৰ বিশেষজ্ঞ
संगणकीकरण,কম্পিউটাৰাইজেচন
संगणकतज्ज्ञ,কম্পিউটাৰিষ্ট
संगणकीकरण,কম্পিউটাৰাইজেচন
"1.गणना, 2. गणना","১.গণনা, ২. গণনা"
संकल्पना,ধাৰণা
"1.सममिती, 2.सुसंगतता, 3.एकरूपता","১.প্ৰতিসমতা, ২.সংহতি, ৩.সমন্বয়"
"समवर्ती, एकसारखे","সমকালীন, একে"
प्रतिबंध व्हेरिएबल,নিষেধাজ্ঞা চলক
प्रतिबंधित ऑपरेटर,নিষিদ্ধ অপাৰেটৰ
प्रतिबंधित विधान,নিষিদ্ধ বিবৃতি
चालक,ড্ৰাইভাৰ
"1.दूरची परिषद, 2.परिषद","১.দূৰত্বৰ সন্মিলন, ২.সন্মিলন"
गोपनीयता,গোপনীয়তা
"1.कॉन्फिगरेशन, 2.कॉन्फिगरेशन","1.বিন্যাস, 2.বিন্যাস"
गर्दी,ভিৰ
संयोजन,সংমিশ্ৰণ
कनेक्शन गती,সংযোগৰ গতি
कनेक्शन,সংযোগ
कनेक्शनहीन संप्रेषण,সংযোগবিহীন যোগাযোগ
संलग्नता प्रकाशन,এফিলিয়েচন ৰিলিজ
कनेक्टिव्हिटी,সংযোগ
"1.कनेक्टर, 2.कनेक्टर","1.সংযোগকাৰী, 2.সংযোগকাৰী"
सलग,একেৰাহে
पाठपुरावा,খতিয়ান লোৱা
कन्सोल,কনছ&#39;ল
एकत्रीकरण,একত্ৰীকৰণ
"1.सहकारी, 2. स्थिर","১.সহযোগী, ২. নেৰানেপেৰা"
सतत सूचना,নিৰন্তৰ নিৰ্দেশনা
प्रतिबंधित,নিষিদ্ধ
बांधकाम करणारा,কনষ্ট্ৰাক্টৰ
भांडे,পাত্ৰ
"1. सामग्री, 2. उतारे","১. বিষয়বস্তু, ২. উদ্ধৃতি"
संदर्भ,সন্দৰ্ভ
संदर्भ मुक्त व्याकरण (cfg),প্ৰসংগ মুক্ত ব্যাকৰণ (cfg)
संदर्भ स्विच,প্ৰসংগ চুইচ
"1. प्रासंगिक, 2. आकस्मिक","১.আকস্মিক, ২.আকস্মিক"
विसंगती,অমিল
कॉन्ट्रास्ट,বিষমতা
नियंत्रण,নিয়ন্ত্ৰণ
प्रतिबंधित क्षेत्र,কণ্টেইনমেণ্ট জ’ন
नियंत्रण बिट,নিয়ন্ত্ৰণ বিট
कंट्रोलर बस,নিয়ন্ত্ৰক বাছ
नियंत्रण कार्ड,নিয়ন্ত্ৰণ কাৰ্ড
नियंत्रण सर्किट,নিয়ন্ত্ৰণ বৰ্তনী
नियंत्रण चाक,নিয়ন্ত্ৰণ চকা
"1. नियंत्रण अभियांत्रिकी, 2. नियंत्रण अभियांत्रिकी","১/ নিয়ন্ত্ৰণ অভিযান্ত্ৰিকী, ২/ নিয়ন্ত্ৰণ অভিযান্ত্ৰিক"
नियंत्रण की,নিয়ন্ত্ৰণ কি&#39;
नियंत्रण तर्क,নিয়ন্ত্ৰণ যুক্তি
नियंत्रण लूप,নিয়ন্ত্ৰণ লুপ
नियंत्रण चिन्ह,নিয়ন্ত্ৰণ চিন
नियंत्रण ऑपरेशन,নিয়ন্ত্ৰণ কাৰ্য্য
नियंत्रण पॅनेल,নিয়ন্ত্ৰণ পেনেল
नियंत्रण सिग्नल,নিয়ন্ত্ৰণ সংকেত
नियंत्रण स्विच,নিয়ন্ত্ৰণ চুইচ
नियंत्रण टेप,নিয়ন্ত্ৰণ টেপ
"1. कंट्रोल टर्मिनल, 2. कंट्रोल टर्मिनल","1. নিয়ন্ত্ৰণ টাৰ্মিনেল, 2. নিয়ন্ত্ৰণ টাৰ্মিনেল"
"1. कंट्रोल युनिट, 2. नियंत्रण युनिट","১.নিয়ন্ত্ৰণ একক, ২. নিয়ন্ত্ৰণ একক"
अभिसरण,অভিসৰণ
संवाद,সংলাপ
संभाषण कॉल,কথোপকথনমূলক কল
रूपांतरण,ৰূপান্তৰ
कनवर्टर,ৰূপান্তৰক
कुकचे प्रमेय,কুকৰ উপপাদ্য
सह-प्रोसेसर,সহ-প্ৰচেছৰ
कॉपी,কপি কৰক
कॉपीराइट,কপিৰাইট
दोरखंड,কৰ্ড
"1.कॉर्डलेस टेलिफोन, 2. वायरलेस टेलिफोन, 3. वायरलेस टेलिफोन","1.কৰ্ডলেছ টেলিফোন, 2. বেতাঁৰ টেলিফোন, 3. বেতাঁৰ টেলিফোন"
subtheorem,উপপাপপাতি
दुरुस्ती,সংশোধনী
"1. निरुपयोगी, 2. विकृत","১.ব্যৱহাৰযোগ্য, ২.বিকৃত"
गणना,গণনা কৰা
स्कोअरर,স্ক&#39;ৰাৰ
राष्ट्र संकेतांक,দেশৰ কোড
सहप्रसरण,সহাৱস্থান
"1. कार्यक्षेत्र, 2. प्रसारण","১/ পৰিসৰৰ ক্ষেত্ৰফল, ২. সম্প্ৰচাৰ"
कोसळणे,পতন হোৱা
गंभीर मार्ग,জটিল পথ
क्रिटिकल पाथ मेथड (CPM),জটিল পথ পদ্ধতি (CPM)
"1.क्रॉस टेस्ट, 2.क्रॉस टेस्ट","১.ক্ৰছ টেষ্ট, ২.ক্ৰছ টেষ্ট"
"1.क्रॉस प्रोग्रामेबल-हस्तांतरण, 2. प्रोग्राम करण्यायोग्य प्रति","1.ক্ৰছ প্ৰগ্ৰেমেবল-স্থানান্তৰ, 2. প্ৰতি প্ৰগ্ৰেমেবল"
असंबद्ध सिग्नल,অপ্রাসংগিক সংকেত
असंबद्ध चर्चा,অপ্রাসংগিক কথা
क्रिप्टोग्राफी,ক্ৰিপ্টোগ্ৰাফী
"1. क्रिप्टोग्राफी, 2. क्रिप्टोग्राफी, 3. क्रिप्टोग्राफी","1. ক্ৰিপ্টোগ্ৰাফী, 2. ক্ৰিপ্টোগ্ৰাফী, 3. ক্ৰিপ্টোগ্ৰাফী"
चलन चिन्ह,মুদ্ৰাৰ চিহ্ন
वर्तमान निर्देशिका,বৰ্তমান ডাইৰেকটৰি
वर्तमान विंडो,বৰ্তমান উইন্ডো
कर्सर,কাৰ্চাৰ
वक्र,বক্ৰ
"1. कट आणि पेस्ट, 2. कट आणि पेस्ट","১/ কাটি পেষ্ট কৰক, ২) কাটি পেষ্ট কৰক"
कातरणे पद्धत,ছিয়াৰিং পদ্ধতি
सायबर,চাইবাৰ
सायबर कॅफे,চাইবাৰ কেফে
सायबर रोख,চাইবাৰ নগদ ধন
सायबर गुन्हे,চাইবাৰ অপৰাধ
सायबर डॅलेक्स,চাইবাৰ ডেলেক্স
सायबर कायदा,চাইবাৰ আইন
सायबर सेक्स,চাইবাৰ যৌনতা
"1. सायबर सायन्स, 2. सायबरनेटिक्स","১/ চাইবাৰ বিজ্ঞান, ২. চাইবাৰনেটিক্স"
"1.सायबरायझेशन, 2. सायबरीकरण","1.চাইবাৰাইজেচন, 2. চাইবাৰাইজেচন"
सायकल,চক্ৰ
"1.चक्र स्मृती, 2.चक्र स्मृती","১.চক্ৰ স্মৃতি, ২.চক্ৰ স্মৃতি"
सायकल नुकसान,চক্ৰ ক্ষতি
सायकल वेळ,চক্ৰৰ সময়
चक्रीय,চক্ৰীয়
डिमन,ডেমন
डेझी चक्र,ডেইজী চক্ৰ
डेटा प्रशासक,ডাটা প্ৰশাসক
डेटा वाटप,তথ্য আবণ্টন
"1.डेटा फील्ड, 2.डेटा फील्ड","1.ডাটা ফিল্ড, 2.ডাটা ফিল্ড"
"1.डेटा अॅरे, 2. डेटा अॅरे","1.ডাটা এৰে, 2. ডাটা এৰে"
"1.डेटा-बेस, 2.डेटाबेस","১.ডাটা-বেছ, ২.ডাটাবেছ"
डेटा विखंडन,তথ্যৰ খণ্ডিতকৰণ
"1. डेटा बस, 2. डेटा बस","১.ডাটা বাছ, ২.ডাটা বাছ"
"1.डेटा वाहक, 2.डेटा वाहक","1.ডাটা কেৰিয়াৰ, 2.ডাটা কেৰিয়াৰ"
डेटा सेल,ডাটা চেল
"1.डेटा प्रणाली, 2.डेटा चॅनेल","১.ডাটা চিষ্টেম, ২.ডাটা চেনেল"
डेटा संप्रेषण,ডাটা যোগাযোগ
"1.डेटा कॉम्प्रेशन, 2.डेटा कॉम्प्रेशन","1.ডাটা কম্প্ৰেছন, 2.ডাটা কম্প্ৰেছন"
डेटा फील्ड,ডাটা ফিল্ড
डेटा फाइल,ডাটা ফাইল
"1. डेटा प्रवाह, 2. डेटा प्रवाह","১.ডাটা ফ্ল’, ২.ডাটা ফ্ল’"
"1.डेटा फ्लोचार्ट, 2.चार्ट","১.ডাটা ফ্ল’চাৰ্ট, ২.চাৰ্ট"
डेटा पदानुक्रम,ডাটা হাইৰাৰ্কি
डेटा पातळी,তথ্যৰ স্তৰ
"1.डेटा संकलन, 2.डेटा लायब्ररी","১.তথ্য সংগ্ৰহ, ২.তথ্য লাইব্ৰেৰী"
डेटा लिंक स्तर,ডাটা লিংক স্তৰ
डेटा लिंक लेयर (DLL),ডাটা লিংক স্তৰ (DLL)
"1.डेटा व्यवस्थापन, 2.डेटा व्यवस्थापन","১.ডাটা মেনেজমেণ্ট, ২.ডাটা মেনেজমেণ্ট"
"1.डेटा गणना, 2.डेटा गणना","১.তথ্য গণনা, ২.তথ্য গণনা"
डेटा प्रोसेसिंग भाषा (DML),তথ্য প্ৰক্ৰিয়াকৰণ ভাষা (DML)
डेटा मोडेम डेटा मोडेम,ডাটা মডেম ডাটা মডেম
"1.डेटा मॉडिफिकेशन, 2.डेटा मॉडिफिकेशन","১.তথ্য পৰিৱৰ্তন, ২.তথ্য পৰিৱৰ্তন"
"1.डेटा नेटवर्क, 2.डेटा नेटवर्क","১.ডাটা নেটৱৰ্ক, ২.ডাটা নেটৱৰ্ক"
"1.डेटा ऑपरेशन, 2.डेटा ऑपरेशन","1.ডাটা অপাৰেচন, 2.ডাটা অপাৰেচন"
"1.डेटा संस्था, 2. डेटा संस्था","1.ডাটা সংস্থাসমূহ, 2. ডাটা সংস্থাপন"
"1. डेटा आउटपुट, 2. डेटा आउटपुट","1. ডাটা আউটপুট, 2. ডাটা আউটপুট"
"1.डेटा पथ, 2.डेटा पथ","1.ডাটা পাথ, 2.ডাটা পাথ"
"1. डेटा तयार करणे, 2. डेटा तयार करणे","1.তথ্য প্ৰস্তুত কৰা, 2. তথ্য প্ৰস্তুত কৰা"
"1.डेटा गोपनीयता, 2.डेटा गोपनीयता","1.ডাটা গোপনীয়তা, 2.ডাটা গোপনীয়তা"
"1. डेटा प्रोसेसर, 2. डेटा प्रोसेसर","1. ডাটা প্ৰচেছৰ, 2. ডাটা প্ৰচেছৰ"
"1.डेटा संरक्षण, 2.डेटा संरक्षण","1.তথ্য সুৰক্ষা, 2.তথ্য সুৰক্ষা"
"1. डेटा रेकॉर्ड, 2. डेटा रेकॉर्ड","১.ডাটা ৰেকৰ্ড, ২.ডাটা ৰেকৰ্ড"
"1. डेटा पुनर्प्राप्ती, 2. डेटा पुनर्प्राप्ती","1. তথ্য উদ্ধাৰ, 2. তথ্য উদ্ধাৰ"
"1. डेटा रूटीन, 2. डेटा रूटीन","১.ডাটা ৰুটিন, ২.ডাটা ৰুটিন"
"1.डेटा सुरक्षा, 2.डेटा सुरक्षा","1.ডাটা সুৰক্ষা, 2.ডাটা সুৰক্ষা"
"१.डेटा संच, २. डेटा सेट","1.ডাটা ছেট, 2. ডাটা ছেট"
"1.डेटा सिग्नल, 2.डेटा सिग्नल","1.ডাটা সংকেত, 2.ডাটা সংকেত"
"1. डेटा ऍक्सेस, 2. डेटा ऍक्सेस","1. ডাটা এক্সেছ, 2. ডাটা এক্সেছ"
"1.डेटा स्रोत, 2.डेटा स्रोत","১.তথ্যৰ উৎস, ২.তথ্যৰ উৎস"
"1.डेटा तपशील, 2. डेटा तपशील","1.ডাটা স্পেচিফিকেশন, 2. তথ্যৰ নিৰ্দিষ্টকৰণ"
"1.डेटा सेंटर, 2.डेटा सेंटर","১.ডাটা চেণ্টাৰ, ২.ডাটা চেণ্টাৰ"
"1. डेटा स्टोरेज, 2. डेटा स्टोरेज","1. তথ্য সংৰক্ষণ, 2. তথ্য সংৰক্ষণ"
डेटा स्टोरेज संरचना,তথ্য সংৰক্ষণ গঠন
"1. डेटा स्ट्रक्चर, 2. डेटा स्ट्रक्चर","1. তথ্যৰ গঠন, 2. তথ্যৰ গঠন"
"1.डेटा स्विच, 2.डेटा स्विच","১.ডাটা চুইচ, ২.ডাটা চুইচ"
"1.डेटा टेबल, 2.डेटा टेबल","1.তথ্য টেবুল, 2.তথ্য টেবুল"
"1.डेटा एंड, 2. डेटा समाप्त","1.ডাটা শেষ, 2. ডাটা শেষ"
"1. डेटा ट्रान्सक्रिप्शन, 2. डेटा ट्रान्सक्रिप्शन","১.ডাটা ট্ৰান্সক্ৰিপচন, ২.ডাটা ট্ৰান্সক্ৰিপচন"
"1.डेटा ट्रान्सफर, 2. डेटा ट्रान्सफर","1.ডাটা স্থানান্তৰ, 2. ডাটা ট্ৰেন্সফাৰ"
"1. डेटा ट्रान्समिशन, 2. डेटा ट्रान्समिशन","1. ডাটা ট্ৰেন্সমিছন, 2. ডাটা ট্ৰেন্সমিছন"
"1. डेटा ट्रान्समिशन सिस्टम, 2. डेटा ट्रान्समिशन सिस्टम","1.ডাটা ট্ৰেন্সমিছন চিষ্টেম, 2.ডাটা ট্ৰেন্সমিছন চিষ্টেম"
"1. डेटा फॉरमॅट, 2. डेटा फॉरमॅट","1. ডাটা ফৰ্মেট, 2. ডাটা ফৰ্মেট"
"1. डेटा युनिट, 2. डेटा युनिट","১.ডাটা ইউনিট, ২.ডাটা ইউনিট"
"1.डेटा प्रमाणीकरण, 2.डेटा प्रमाणीकरण","1.তথ্য বৈধকৰণ, 2.তথ্য বৈধকৰণ"
डेटाबेस,ডাটাবেছ
डेटाबेस प्रशासन,ডাটাবেছ প্ৰশাসন
डेटाबेस डिझाइन,ডাটাবেছ ডিজাইন
डेटाबेस व्यवस्थापन प्रणाली,ডাটাবেছ ব্যৱস্থাপনা ব্যৱস্থা
"1.डेटाग्रेव्ह, 2.डेटाग्रेव्ह","১.ডাটাগ্ৰেভ, ২.ডাটাগ্ৰেভ"
"1. डेटाम, 2. डेटा","1. ডেটাম, 2. ডাটা"
"1.निष्क्रिय क्षेत्र, 2.निष्क्रिय क्षेत्र","১.নিষ্ক্ৰিয় অঞ্চল, ২.নিষ্ক্ৰিয় অঞ্চল"
गतिरोध,ডেডলক
गतिरोध प्रतिबंध,ডেডলক প্ৰতিৰোধ
दोष क्लिअरन्स,দোষ নিষ্কাশন
"1. जजमेंट सेल, 2. जजमेंट बॉक्स","১/ বিচাৰ কোষ, ২/ বিচাৰ বাকচ"
निर्णयप्रक्रिया,সিদ্ধান্ত গ্ৰহণ প্ৰক্ৰিয়া
निर्णय समर्थन प्रणाली,সিদ্ধান্ত সমৰ্থন ব্যৱস্থা
निर्णयाचे झाड,সিদ্ধান্ত গছ
"1. डीकोडर, 2. डीकोडर","১.ডিকোডাৰ, ২.ডিকোডাৰ"
विघटन तत्त्व,দ্ৰৱণ নীতি
डीकोडिंग,ডিকোডিং
समर्पित प्रणाली,ডেডিকেটেড চিষ্টেম
समर्पित प्रेस,ডেডিকেটেড প্ৰেছ
लसीकरण डेटा नेटवर्क (DDN),প্ৰতিষেধক ডাটা নেটৱৰ্ক (DDN)
लसीकरण माहिती प्रणाली,টিকাকৰণ তথ্য ব্যৱস্থা
एकीकरण,সংহতি
विलंब,পলম কৰা
विलंब काउंटर,বিলম্ব কাউণ্টাৰ
विलंब वेळ,বিলম্বৰ সময়
"1.हटवा, 2.हटवा","১.মচি পেলোৱা, ২.মচি পেলোৱা"
हटवणे रेकॉर्ड,ডিলিচন ৰেকৰ্ড
परिसीमक,সীমা নিৰ্ধাৰণকাৰী
डेल्टा मॉड्युलेशन,ডেল্টা মডুলেচন
मागणी पृष्ठ,ৰিকুইজিচন পৃষ্ঠা
कामगिरी,প্ৰদৰ্শন
demodulation,ডিমডুলেচন
V- मल्टीप्लेक्सर,ভি-মাল্টিপ্লেক্সাৰ
विकृतीकरण,ডিনৰ্মেলাইজেচন
"1. घनता, 2. घनता","১.ঘনত্ব, ২.ঘনত্ব"
"1. अवलंबित्व, 2. अवलंबित्व","১/ নিৰ্ভৰশীলতা, ২/ নিৰ্ভৰশীলতা"
अवलंबून युनिट,নিৰ্ভৰশীল একক
रांग,লানি পতা
"1. dereference, 2. dereference","১.ডিৰেফাৰেন্স, ২.ডিৰেফাৰেন্স"
व्युत्पन्न झाड,ব্যুৎপত্তি কৰা গছ
व्युत्पन्न फील्ड,ব্যুৎপত্তি কৰা ক্ষেত্ৰ
उतरत्या क्रमवारी,অৱনমিত সজাই পৰাই তোলা
डिझाइन,ডিজাইন
डेस्क कॅल्क्युलेटर,ডেস্ক কেলকুলেটৰ
डेस्कटॉप संगणक,ডেস্কটপ কম্পিউটাৰ
डेस्कटॉप सादरीकरण,ডেস্কটপ উপস্থাপন
डेस्कटॉप प्रकाशन,ডেস্কটপ প্ৰকাশন
डेस्कटॉप व्हिडिओ,ডেস্কটপ ভিডিঅ&#39;
गंतव्य पत्ता,গন্তব্যস্থানৰ ঠিকনা
"1. विनाशक, 2. विनाशक","১.ধ্বংসী, ২.নাশক"
निर्धारक ऑटोमेटा,ডিটাৰ্মিনিষ্টিক automata
विकसक,ডেভেলপাৰ
विकास प्रणाली,উন্নয়ন ব্যৱস্থা
साधन,ডিভাইচ
डिव्हाइस नियंत्रण युनिट,ডিভাইচ নিয়ন্ত্ৰণ একক
डिव्हाइस नियंत्रक,ডিভাইচ নিয়ন্ত্ৰক
डिव्हाइस व्यवस्थापन,ডিভাইচ ব্যৱস্থাপনা
डिव्हाइस मोड,ডিভাইচ ধৰণ
निदान,নিদান
निदान प्रणाली,ডায়েগনষ্টিক চিষ্টেম
"1. निदान, 2. निदान","১/ ডায়েগনষ্টিকছ, ২.ডায়েগনষ্টিকছ"
आकृती,ডায়েগ্ৰাম
डायल,ডায়েল কৰক
डायल लाइन,ডায়েল লাইন
डायल टोन,ডায়েল টোন
डायल करा,ডায়েল আপ কৰক
"1. संवाद, 2. संभाषण","১/ সংলাপ, ২/ কথোপকথন"
संभाषण कक्ष,কথোপকথন কক্ষ
डायलअप मॉडेम,ডায়েলআপ মডেম
विमा,বীমা
शब्दकोश,অভিধান
"1. भिन्नता, 2. भिन्नता","১.ডিফাৰেন্সিয়েল, ২. পাৰ্থক্য"
संख्यात्मक,সংখ্যাগত
डिजिटल प्रणाली,ডিজিটেল ব্যৱস্থা
डिजिटल सर्किट,ডিজিটেল বৰ্তনী
डिजिटल संगणक,ডিজিটেল কম্পিউটাৰ
"1.डिजिटल डेटा, 2.डिजिटल डेटा","1.ডিজিটেল ডাটা, 2.ডিজিটেল ডাটা"
डिजिटल सुविधा,ডিজিটেল সুবিধা
डिजिटल फिल्टर,ডিজিটেল ফিল্টাৰ
डिजिटल लायब्ररी,ডিজিটেল লাইব্ৰেৰী
डिजिटल मॉड्यूलेशन,ডিজিটেল মডুলেচন
"1. डिजिटल डिस्प्ले, 2. डिजिटल मॉनिटर","1. ডিজিটেল প্ৰদৰ্শন, 2. ডিজিটেল মনিটৰ"
डिजिटल प्रतिमा,ডিজিটেল ইমেজ
"1. डिजिटल स्वाक्षरी, 2. डिजिटल स्वाक्षरी","১/ ডিজিটেল স্বাক্ষৰ, ২/ ডিজিটেল স্বাক্ষৰ"
डिजिटल स्विच,ডিজিটেল চুইচ
डिजिटल अॅनालॉग कनवर्टर,ডিজিটেল এনালগ কনভাৰ্টাৰ
डिजिटायझेशन,ডিজিটাইজেচন
डिजिटायझेशन,ডিজিটাইজেচন
डिजिटायझर,ডিজিটাইজাৰ
डायोड,ডাইঅ&#39;ড
प्रथमदर्शनी,পোনপটীয়া
थेट पत्ता,প্ৰত্যক্ষ ঠিকনা
थेट रूपांतरण,প্ৰত্যক্ষ ৰূপান্তৰ
थेट जोडणी,প্ৰত্যক্ষ সংযোজন
"1. डायरेक्ट मेमरी ऍक्सेस, 2. डायरेक्ट मेमरी ऍक्सेस (DMA)","1. প্ৰত্যক্ষ মেমৰি অভিগম, 2. প্ৰত্যক্ষ মেমৰি অভিগম (DMA)"
डायरेक्ट मेमरी ऍक्सेस (DMA),প্ৰত্যক্ষ মেমৰি অভিগম (DMA)
थेट पद्धत,প্ৰত্যক্ষ পদ্ধতি
दिशानिर्देश,দিশ নিৰ্দেশনা
निर्देशिका,ডাইৰেকটৰী
"1. निर्देशिका सर्व्हर, 2. निर्देशिका सर्व्हर","1. ডাইৰেকটৰি চাৰ্ভাৰ, 2. ডাইৰেকটৰি চাৰ্ভাৰ"
निर्देशिका सेवा,ডাইৰেকটৰি সেৱা
अक्षम,অক্ষম
सिग्नल अक्षम करणे,সংকেত নিষ্ক্ৰিয় কৰা
"1. डिस्कनेक्शन, 2. डिस्कनेक्शन","১.সংযোগ বিচ্ছিন্ন কৰা, ২.সংযোগ বিচ্ছিন্ন কৰা"
"1. स्वतंत्र, 2. स्वतंत्र","১.বিচ্ছিন্ন, ২.বিচ্ছিন্ন"
"1. डिस्क, 2. डिस्क","১.ডিস্ক, ২.ডিস্ক"
"1. डिस्क पत्ता, 2. डिस्क पत्ता","1. ডিষ্কৰ ঠিকনা, 2. ডিষ্কৰ ঠিকনা"
"1. डिस्क अॅरे, 2. डिस्क अॅरे","1. ডিস্ক এৰে, 2. ডিস্ক এৰে"
"1. डिस्क क्षमता, 2. डिस्क क्षमता","1. ডিস্ক ক্ষমতা, 2. ডিস্ক ক্ষমতা"
"1. डिस्क ड्रायव्हर, 2. डिस्क ड्राइव्ह","1. ডিস্ক ড্ৰাইভাৰ, 2. ডিস্ক ড্ৰাইভ"
डिस्क फाइल,ডিস্ক নথিপত্ৰ
"1. डिस्क मेमरी, 2. डिस्क मेमरी, 3. डिस्क मेमरी, 4. डिस्क मेमरी","1. ডিস্ক মেমৰি, 2. ডিস্ক মেমৰি, 3. ডিস্ক মেমৰি, 4. ডিষ্ক মেমৰি"
डिस्क ऑपरेटिंग सिस्टम (DoS),ডিস্ক অপাৰেটিং চিস্টেম (DoS)
डिस्क पॅकेज,ডিস্ক পেকেজ
"1.चक्रिका सर्व्हर, 2.डिस्क सर्व्हर","1.চকৰিকা চাৰ্ভাৰ, 2.ডিস্ক চাৰ্ভাৰ"
"1. डिस्क स्टोरेज, 2. डिस्क स्टोरेज","1. ডিষ্ক সংৰক্ষণ, 2. ডিষ্ক সংৰক্ষণ"
डिस्केट,ডিস্কেট
फाइल प्रदर्शित करा,ফাইল প্ৰদৰ্শন কৰক
प्रतिमा प्रदर्शित करा,ছবি প্ৰদৰ্শন কৰক
विल्हेवाट,নিষ্পত্তি
अंतर,দূৰত্ব
अंतर कार्य,দূৰত্বৰ ফলন
विकृती,বিকৃতি
वितरित,বিলি কৰা হ’ল
वितरित डेटा,বিতৰণ কৰা তথ্য
वितरित सर्व्हर,বিতৰণ কৰা চাৰ্ভাৰ
"1.वितरित प्रणाली, 2.वितरित प्रणाली","1.বিতৰিত ব্যৱস্থা, 2.বিতৰিত ব্যৱস্থা"
वितरक,বিতৰক
दस्तऐवज,নথিপত্ৰ
दस्तऐवज मान्यताप्राप्त,নথিপত্ৰ স্বীকৃতিপ্ৰাপ্ত
"1. दस्तऐवज विंडो, 2. दस्तऐवज विंडो","1. দস্তাবেজ উইন্ডো, 2. দস্তাবেজ উইন্ডো"
दस्तऐवजीकरण,নথিপত্ৰ
"डोमेन, डोमेन","ডমেইন, ডমেইন"
डोमेनचे नाव,ডমেইনৰ নাম
"1. डॉट मॅट्रिक्स प्रिंटर, 2. डॉट मॅट्रिक्स प्रिंटर","1. ডট মেট্ৰিক্স প্ৰিন্টাৰ, 2. ডট মেট্ৰিক্স প্ৰিন্টাৰ"
"खाली, खाली","তলত, তলত"
"1.अवलिंक, 2.स्क्वेअर","১.এভালিংক, ২.বৰ্গ"
डाउनलोड करा,ডাউনল’ড
डाउनलोड वेळ,ডাউনলোড সময়
कर्षण,ট্ৰেকচন
DRAM (डायनॅमिक रॅम),DRAM (ডাইনামিক ৰেম)
प्रवाह,ৰানঅফ
चालक,ড্ৰাইভাৰ
पाने,পাত
ड्रॉप लिस्ट बॉक्स,তালিকা বাকচ ড্ৰপ কৰক
ड्रम ड्राइव्ह,ড্ৰাম ড্ৰাইভ
"1.ड्रम प्रिंटर, 2.ड्रम प्रिंटर","1.ড্ৰাম প্ৰিন্টাৰ, 2.ড্ৰাম প্ৰিন্টাৰ"
"1. इम युनिट, 2. ड्रम युनिट","১.ইম ইউনিট, ২.ড্ৰাম ইউনিট"
"1. द्वैत, 2. द्वि","১.দ্বৈততা, ২. bi"
दुहेरी घनता,দ্বৈত ঘনত্ব
"1. मूक पत्ता, 2. बनावट पत्ता","১/ নিৰৱ ঠিকনা, ২/ ভুৱা ঠিকনা"
डंप,ভাণ্ডাৰ
डुप्लेक्स सर्किट,ডুপ্লেক্স বৰ্তনী
कायदेशीरकरण,বৈধকৰণ
की की,কি&#39; কি&#39;
"1.D V D R./W, 2. डीव्हीडी वाचन, 3. लेखन","১.ডি ভি ডি আৰ./ডব্লিউ, ২. ডিভিডি পঢ়া, ৩. লিখা"
डीव्हीडी रॉम,DVD ROM
डायनॅमिक सूचना,গতিশীল নিৰ্দেশনা
"1.डायनॅमिक मेमरी, 2.डायनॅमिक मेमरी","1.ডাইনামিক মেমৰি, 2.ডাইনামিক মেমৰি"
"1. डायनॅमिक्स, 2. डायनॅमिक्स","১.গতিবিদ্যা, ২.গতিশীলতা"
E B C D I C,ই খ গ ঘ আই চি
ई-व्यवसाय,ই-ব্যৱসায়
प्रतिध्वनी,প্ৰতিধ্বনি
"1.ई-कॉमर्स, 2.ई-कॉमर्स","১.ই-কমাৰ্চ, ২.ই-কমাৰ্চ"
संपादन,সম্পাদনা কৰা
संपादक,সম্পাদক
शैक्षणिक तंत्रज्ञान,শিক্ষাগত প্ৰযুক্তি
e e p rom,ই ই প ৰম
"1. अर्थपूर्ण पत्ता, 2. प्रभावी पत्ता","১/ অৰ্থপূৰ্ণ ঠিকনা, ২/ ফলপ্ৰসূ ঠিকনা"
अर्थपूर्ण ऑपरेंड पत्ता,অৰ্থপূৰ্ণ অপাৰেণ্ড ঠিকনা
प्रभावी कृती,ফলপ্ৰসূ কাৰ্য্য
प्रभावी UID,ফলপ্ৰসূ UID
प्रभावी ट्रांसमिशन ऑपरेशन,ফলপ্ৰসূ সংক্ৰমণ কাৰ্য্য
ऑक्टल बाइट,অক্টল বাইট
"इलेक्ट्रॉनिक शिक्षण, ई-लर्निंग","ইলেক্ট্ৰনিক লাৰ্নিং, ই-লাৰ্নিং"
निवडणूक अल्गोरिदम,নিৰ্বাচন এলগৰিদম
इलेक्ट्रॉनिक मेल सेवा (ई-मेल),ইলেক্ট্ৰনিক মেইল সেৱা (ই-মেইল)
