Hindi,Punjabi
सी-संस्तर,ਸੀ-ਹੋਰੀਜੋਨ
पक्ष्माभ,ਸੀਲਿਆ
पक्ष्माभ पिंड,ਗਿਲਿਅਰੀ ਸਰੀਰ
पक्ष्माभ गुच्छिका,ਸਿਲੇਰੀ ਗੈਂਗਲੀਅਨ
पक्ष्माभी गति,ਸਿਲਾਈਡਰੀ ਲਹਿਰ
पक्ष्माभी,ਗਿਲੀਆਰੀ
पक्ष्माभी प्राणी,ਸੀਲੀਏਟ
पक्ष्माभ,Cilia (Cilia)
सिनकोना,ਸਿਨੋਨਾ
सायोना,ਸਿਓਨਾ
सिप्रोफ्लॉक्सैसिन,ਸਿਪ੍ਰੋਫਲੋਕਸਸੀਨ
परिसंचरण,ਗੇੜ
परिसंचरण तंत्र,ਸਰਕੂਲੇਟਰੀ ਸਿਸਟਮ
परिग्रसिका संधायी,ਘੇਰੋਪੈਫਜੀਲ ਕਮਿਸਰ
प्रतानी,ਸਿਰਹੋਜ਼
सिरोसिस,ਸਿਰੋਸਿਸ
शिखी,Cir cirhousous
कुंडिका,Cterna
"कार्येक, सिस्ट्रॉन",Cistrann
सिट्रूलीन,ਸਿਟਰਲਾਈਨ
सिट्रस फल,ਨਿੰਬੂ ਫਲ
वंशशाखिकी,ਕਲੈਡੀਜਿਸਟਿਕਸ
पर्णाभ पर्व,ਕਲੇਡਡ
क्लैडोफोरा,ਕਲੋਡੋਫੋਰਾ
क्लैरिअस गैरीपिनस,ਕਲੇਰੀਆ ਗਾਰਸੀਪਿਨਸ
"वर्ग, क्लास",ਕਲਾਸ
संवर्ग,ਕਲਾਸ
वर्गीकरण,ਵਰਗੀਕਰਣ
क्लैविसेप्स,ਕਲੇਵਿਸ
"जत्रुक, क्लेविकल",ਕਲੇਵਿਕਲ
नखरहीन अंगुली,ਕਪੜੇ
"मृत्तिका, चिकनी मिट्टी",ਮਿੱਟੀ
विदलन खाँच,ਕਲੇਵੇਜ ਫੁਰੋ
अनुन्मील्यपरागणी,ਕਲੇਸ਼
क्लीमैटिस,ਕਲੇਮੇਟਿਸ
जलवायु,ਮੌਸਮ
जलवायु क्षेत्र,ਮੌਸਮ ਜ਼ੋਨ
"जलवायवी प्राचल, जलवायु पैरामीटर",ਜਲਵਾਯੂ
चरम समुदाय,ਸਿਖਰ ਤੇ ਕਮਿ Community ਨਿਟੀ
आरोही,ਚੜਾਈ
"अरोहण, (वि.) आरोही",ਚੜ੍ਹਨਾ
रोगलक्षण काल,ਕਲੀਨਿਕਲ ਅਵਧੀ
"पर्याणिक, क्लाइटेलमी",ਕਲਿਟੇਲਰ
"पर्याणिका, क्लाइटेलम",ਕਲਾਈਟਲਮ
क्लाइटोरिया,ਕਲਾਕਾਰ
भगशेफ,ਕਲਿਟਰਿਸ
अवस्कर,ਕਲੋਕਾ
क्लोनी मेंढक,ਕਲੋਨਲ ਡੱਡੂ
क्लोनी प्रवर्धन,ਕਲੋਨਲ ਪ੍ਰਸਾਰ
क्लोनी वरण,ਕਲੋਨਲ ਚੋਣ
क्लोन,ਕਲੋਨ
क्लोनन,ਕਲੋਨਿੰਗ
सगे-संबंधियों में विवाह,ਵਿਆਹ ਨੂੰ ਬੰਦ ਕਰੋ
संवृत तंत्र,ਬੰਦ ਸਿਸਟਮ
क्लॉस्ट्रिडियम,ਕਲੋਸਟ੍ਰਿਡਿਅਮ
क्लॉस्ट्रीडियम ब्यूटिलिकम,ਕਲੋਸਟ੍ਰਿਡਿਅਮ ਬੋਟਲਿ iiialium ਜ਼ੀਅਮ
स्कंद विदारक,ਕਲੋਟ ਬੁਸਟਰ
रुधिर स्कंदन,ਖੂਨ ਦੀ ਜੰਮਣਾ
लौंग फली,ਕਲੋਵਰ ਬੀਨ
"त्रिपर्णी मॉडल, क्लोवर लीफ मॉडल",ਕਲੋਵਰ-ਪੱਤਾ ਮਾਡਲ
क्लाउन मीन,ਕਲੋਨ ਫਿਸ਼
नाइडेरिया प्राणी,ਸੀਨੀਡੀਆਕਾਰ
दंशकोरक,Cnidblast
"सहपुंज, सहपुंजित",ਸਹਿਣਸ਼ੀਲਤਾ
स्थूल समायोजन घुंडी,ਮੋਟੇ ਐਡਜਸਟਮੈਂਟ ਨੋਬ
मोटी रेत,ਮੋਟੇ ਰੇਤ
तटीय टिब्बा,ਤੱਟਵਰਤੀ ਡੀਸ
तटीय झींगा संवर्धन फार्म,ਤੱਟਵਰਤੀ ਪ੍ਰਤ ਸਭਿਆਚਾਰ ਫਾਰਮ
कोबाल्ट,ਕੋਬਾਲਟ
कोकेन,ਕੋਕੀਨ
कॉक्सीडियता,ਕੋਕਸੀਡੀਓਸਿਸ
"गोलाणु, कॉकस",COCCUS
अनुत्रिक,ਕੋਸੈਕੈਕਸ
"कर्णावर्त, कॉक्लिया",ਕੋਚਲਿਆ
फली कुंडल,ਕੋਚਲਿਆ
"कोया, कोकून",ਕੋਕੂਨ
कोडित जीन कार्यक्रम,ਕੋਡ ਜੈਨੇਟਿਕ ਪ੍ਰੋਗਰਾਮ
कोडीन,ਕੋਡਾਈਨ
संकेतन,ਕੋਡਿੰਗ
कूटन (कूटलेखन),ਕੋਡਿੰਗ
कोडन,ਕੋਡਿੰਗ
"कूटन रज्जुक, कोडन रज्जुक",ਕੋਡਿੰਗ ਸਟ੍ਰੈਂਡ
सहप्रभाविता,ਕੋਡੋਮਾਈਨੈਂਸ
"प्रकूट, कोडॉन",ਕੋਡੋਨ
सीलेन्टरेट,ਕੋਇਰੇਟਰਰੇਟ
आंतरगुहा,ਕੋਲੇਨਟਰੋਨ
"उदर-गुहा, गुच्छिका",ਸੇਲੀਆਕ ਗੈਂਗਲੀਅਨ
"प्रगुही, सीलोमी",ਕੋਲੀਮੈਟ
"प्रगुहा, सीलोम",ਕੋਮਲ
प्रगुही उपकला,ਕੋਨੇਮਿਕ ਐਪੀਥੀਲਿਅਮ
प्रगुही तरल,ਕੋਮਲ ਤਰਲ
प्रगुहा कोश,Coelomo SAC
संकोशिकी,ਕੋਨੋਵਿਟਿਕ
सीनोपोडिएसी,ਕੋਨੋਪੋਡੀਆਸੈ
सहएंजाइम,ਸਿੱਕੇ
सह-विकास,ਸਹਿ-ਵਿਕਾਸ
"सहविलोपन, सह-विलोप",ਸਹਿ-ਵਿਗਾੜ
सह-कारक,ਸਹਿ-ਕਾਰਕ
संसंजन,ਏਕਤਾ
संसंजन बल,ਸਹਿਣਸ਼ੀਲਤਾ
संसंजन सिद्धांत,ਸਹਿਯੋਗੀ ਸਿਧਾਂਤ
संसंजन-तनाव वाष्पोत्सर्जन,ਏਕਤਾ-ਤਣਾਅ-ਪਾਰਦਰਸ਼ੀ
कोहॉर्ट,ਕੋਹੋਰਟ
सर्पिल या कुंडलित रूप से लिपटी/लपेटी गई,ਰਾਇਕੁਲਰ ਜਾਂ ਹੈਲੀਕਲੀ
"कुंडलित, लपेटा गया",ਕੋਇਲਡ
मैथुन,ਕੋਇਟਸ
अंतरित मैथुन (निष्कासन),CITUs ਇੰਟਰਫੋਟਸ (ਕ withdrawal ਵਾਉਣ)
कॉल्चिसिन,ਕੋਲਚਿਨ
कोल्चिकम औटम्नेल,ਕੋਲਚਿਕਮ ਆਟੋਮੈਨੇਲ
"असमतापी, अनियततापी",ਠੰਡੇ ਲਹੂ ਨਾਲ
शीत मरुस्थल,ਠੰਡੇ ਮਾਰੂਥਲ
शीतग्राही,ਕੋਲਡ ਰੀਸੈਪਟਰ
वर्मपंखी,ਕੋਲੀਓਪਲੇਨ
प्रांकुर चोल,ਕੋਲੀਓਪੈਟਾਈਲ
मूलांकुर-चोल,ਕੋਲੀੋਰਹਿਜ਼ਾ
कोलियस,ਕੋਲੇਸ
कोलैजन,ਕੋਲੇਜਨ
कोलैजन रेशा,ਕੋਲੇਜਨ ਫਾਈਬਰ
कॉलर,ਕਾਲਰ
संपार्श्विक ग्रंथि,ਜਮਾਂਦਰੂ ਗਲੈਂਡ
संग्राहक नलिका,ਤੁਲੇ ਨੂੰ ਇਕੱਠਾ ਕਰਨਾ
संग्राहक वाहिनी,ਡੈਕਟ ਨੂੰ ਇਕੱਠਾ ਕਰਨਾ
कॉलेटोट्राइकम,ਕੁਲੋਟ੍ਰਿਚਮ
श्लेषकोरक कोशिका,ਕੋਲੋਬਲਾਸਟ ਸੈੱਲ
कोलॉइड,ਕੋਲੋਇਡ
कोलॉइडी,ਕੋਲੋਇਡਲ
अरबी,ਕੋਲੋਕੈਸੀਆ
वृहदंत्र,ਕੋਲਨ
निवह-जीव,ਬਸਤੀਵਾਦੀ ਰੂਪ
निवही नॉस्टॉक,ਬਸਤੀਵਾਦੀ ਨੋਂਕੋਕ
निवहभवन,ਬਸਤੀਕਰਨ
निवह,ਕਲੋਨੀ
"नवस्तन्य, नवदुग्ध",ਕੋਲੋਸਟ੍ਰਮ
वर्णांधता,ਰੰਗ ਅੰਨ੍ਹੇਪਣ
स्तंभ वर्णलेखन,ਕਾਲਮ ਕ੍ਰੋਮੈਟੋਗ੍ਰਾਫੀ
बर्टिनी स्तंभ,ਬਰਟਿਨੀ ਦਾ ਕਾਲਮ
स्तंभाकार उपकला,ਕਾਲਮਨਰ ਐਪੀਥੀਲਿਅਮ
कंकत पट्टिका,ਕੰਘੀ ਪਲੇਟ
संयुक्त प्रतिरक्षा न्यूनता संलक्षण,ਸੰਯੁਕਤ ਇਮਿ .ਨ ਦੀ ਘਾਟ ਸਿੰਡਰੋਮ
संयुक्त भार,ਸੰਯੁਕਤ ਭਾਰ
"कॉम्ब जेली, कंकत जेली",ਕੰਘੇ-ਜੈਲੀ
दहन,ਜਲਣ
दहन प्रक्रम,ਜਲਣ ਪ੍ਰਕਿਰਿਆ
कॉमा (रूप),ਕਾਮੇ
सहभोजिता,ਰਿਮੈਂਸੀਵਾਦ
संधायी वाहिका,ਕਾਮੀਸਚਰਲ ਭਾਂਡੇ
साझा पूर्वज,ਆਮ ਪੂਰਵਜ
मूल ग्रीवा धमनी,ਆਮ ਕੈਰੋਟਿਡ ਆਰਟਰੀ
सामान्य भारतीय भेक,ਆਮ ਭਾਰਤੀ ਮੋੜ
समुदाय विविधता,ਕਮਿ Community ਨਿਟੀ ਵਿਭਿੰਨਤਾ
समुदाय पारस्परिक क्रिया,ਕਮਿ Community ਨਿਟੀ ਗੱਲਬਾਤ
संहनन,ਸੰਕੁਚਨ
सहचर कोशिका,ਸਾਥੀ ਸੈੱਲ
तुलनात्मक शारीर,ਤੁਲਨਾਤਮਕ ਸਰੀਰ ਵਿਗਿਆਨ
तुलनात्मक आकारिकी,ਤੁਲਨਾਤਮਕ ਰੂਪ ਵਿਗਿਆਨ
"संसुगति, ससंगता",ਅਨੁਕੂਲਤਾ
निषेच्यता,ਅਨੁਕੂਲਤਾ
प्रतिकारी पुनस्र्द्भवन,ਮੁਆਵਜ਼ਾ
सक्षम कोशिका,ਸਮਰੱਥ ਸੈੱਲ
समर्थ परपोषी,ਸਮਰੱਥ ਹੋਸਟ
"स्पर्धा, प्रतियोगिता",ਮੁਕਾਬਲਾ
स्पर्धी संदमन,ਮੁਕਾਬਲੇਬਾਜ਼ੀ ਰੋਕਥਾਮ
स्पर्धी संदमक,ਮੁਕਾਬਲੇ ਵਾਲੇ ਇਨਿਹਿਬਟਰ
पूरकता,ਪੂਰਕਤਾ
पूरक फिल्टर,ਪੂਰਕ ਫਿਲਟਰ
पूरक जीन,ਪੂਰਕ ਜੀਨ
पूरक युग्म,ਪੂਰਕ ਜੋੜੀ
संपूर्ण पाचन पथ,ਪੂਰਾ ਪਾਚਨ ਟ੍ਰੈਕਟ
पूर्ण सहलग्नता,ਪੂਰਾ ਲਿੰਕ
पूर्ण उपचयन,ਮੁਕੰਮਲ ਆਕਸੀਕਰਨ
सम्मिश्र,ਗੁੰਝਲਦਾਰ
जटिल,ਗੁੰਝਲਦਾਰ
संकुल,ਗੁੰਝਲਦਾਰ
जटिल ऊतक,ਗੁੰਝਲਦਾਰ ਟਿਸ਼ੂ
"संयुक्त, संग्रथित",ਕੰਪੋਜ਼ਿਟ
संयुक्त समशिख,ਮਿਸ਼ਰਿਤ ਕੋਰੀਬ
बहुस्तर उपकला,ਮਿਸ਼ਰਿਤ ਐਪੀਥੀਹਾਈਲ
संयुक्त नेत्र,ਮਿਸ਼ਰਿਤ ਅੱਖਾਂ
संयुक्त पुष्पछत्र,ਮਿਸ਼ਰਿਤ ਅੰਬੈਲ
बाध्यकारी क्रिया,ਮਜਬੂਰੀ ਕਾਰਵਾਈ
अभिकलन जैविकी,ਕੰਪਿ ut ਟੇਸ਼ਨਲ ਜੀਵ-ਵਿਗਿਆਨ
अभिकलित टोमोग्राफी,ਕੰਪਿ ut ਟਿਡ ਟੋਮੋਗ੍ਰਾਫੀ
कंप्यूटर स्क्रीन,ਕੰਪਿ Computer ਟਰ ਸਕਰੀਨ
सांद्रित मूत्र,ਮਕੁਰਾਂ ਦਾ ਕੇਂਦਰਿਤ
"सांद्रण, गाढ़ापन, सांद्रता",ਧਿਆਨ ਟਿਕਾਉਣਾ
सांद्रण प्रवणता,ਇਕਾਗਰਤਾ ਗਰੇਡੀਐਂਟ
गर्भधारण,ਸੰਕਲਪ
संघनन,ਸੰਘਣੇਪਣ
द्रवण,ਸੰਘਣੇਪਣ
संघनन विसंघनन चक्र,ਸੰਘਣੇਤਾ ਵਿਧੀ ਚੱਕਰ
संघनित अवस्था,ਸੰਘਣੀ ਰਾਜ
संग्राही लेन्स,ਕੰਡੈਂਸਰ ਲੈਂਜ਼
सप्रतिबंध,ਸ਼ਰਤ
प्रानुकूलित,ਸ਼ਰਤ
तंत्रिका आवेग का चालन,ਨਸ ਪ੍ਰਭਾਵ ਦਾ ਸੰਚਾਲਨ
जल संवहन,ਪਾਣੀ ਦੀ ਸੰਚਾਲਨ
चालक विद्युत् अपघट्य जेल,ਕੰਡਕੈਕਟਿਵ ਇਲੈਕਟ੍ਰੋਲਾਈਟ ਜੈੱਲ
शंकु,ਕੋਨ
संरूपण,ਅਨੁਕੂਲ
संरूपी,ਪ੍ਰੇਸ਼ਾਨ
जन्मजात,ਜਮਾਂਦਰੂ
शंकुरूप जड़,ਕੌਨਲ ਰੂਟ
शंक्वाकार,ਕੋਨਿਕਲ
कोनिडिया,ਕਨਾਇਡੀਆ
"शंकुवृक्ष, कोनिफर",ਕੋਨੀਫੋਰ
कोनीफेरी,ਕਨਫੈਸੀ
कोनिफेरोप्सिडा,ਕੋਨਿਫਰੋਫਿਡਾ
संयुक्त संवहनी बंडल,ਭਾਂਤ ਭਾਂਤ ਭੰਗ
संयुग्मी,ਕੀਤਾ
संयुग्मन,ਸੰਜੋਗ
नेत्रश्लेष्मला,ਕੰਨਜੰਵਾਵਾ
संयोजक ऊतक,ਸੰਜੋਗ ਟਿਸ਼ੂ
संयोजी ऊतक,ਕਨੈਕਟਿਵ ਟਿਸ਼ੂ
कॉनेल का प्रयोग,ਕੁਨੈਲ ਦਾ ਤਜਰਬਾ
संरक्षण वानिकी,ਸੰਭਾਲ ਜੰਗਲਾਤ
संरक्षणात्मक जुताई,ਕੰਜ਼ਰਵੇਸ਼ਨਲ ਟਿਲੇਜ
स्थिरता,ਸਥਿਰਤਾ
"संघटक, रचक",ਸੰਵਿਧਾਨ
रचक एंजाइम,ਗਠਿਤ ਪਾਚਕ
उपभोक्ता,ਖਪਤਕਾਰ
संपर्क संदमन,ਸੰਪਰਕ ਰੋਕ
"संसर्गज रोग, छूत की बीमारी",ਛੂਤ ਵਾਲੀ ਬਿਮਾਰੀ
संदूषित करना,ਦੂਸ਼ਿਤ
संदूषण,ਗੰਦਗੀ
"समकालीन जीवविज्ञान, समकालीन जैविकी",ਸਮਕਾਲੀ ਜੀਵ ਵਿਗਿਆਨ
महाद्वीप,ਮਹਾਂਦੀਪ
समोच्चरेखीय जुताई,ਸਮਤਲ
संकुंचलनशीलता,ਇਕਰਾਰਨਾਮਾ
संकुंचनशील रेशा,ਇਕਰਾਰਨਾਮੇ ਦੇ ਫਾਈਬਰ
संकुंचनशील प्रोटीन,ਇਕਰਾਰਨਾਮੇ ਦੇ ਪ੍ਰੋਟੀਨ
संकुंचनशील अनुक्रिया,ਇਕਰਾਰਨਾਮੇ ਦਾ ਜਵਾਬ
"संकुंचलनशील धानी, संकुंचलनशील रिक्तिका",ਇਕਰਾਰਨਾਮੇ ਦੀ ਖਾਲੀ ਥਾਂ
विभेद कारक,ਕੰਟਰਸਸਟ ਏਜੰਟ
भेदन कारक,ਕੰਟਰਸਸਟ ਏਜੰਟ
विपर्यास कारक,ਕੰਟਰਸਸਟ ਏਜੰਟ
विपर्यासी विशेषक,ਵਿਪਰੀਤ ਗੁਣ
अपकेंद्री बल,ਸੈਂਟਰਿਫੁਗਲ ਫੋਰਸ
नियंत्रक कारक,ਕੰਟਰੋਲ ਕਾਰਕ
नियंत्रित प्रयोग,ਨਿਯੰਤਰਿਤ ਪ੍ਰਯੋਗ
शंकुक,ਕੋਨਸ
धमनी शंकु,ਕੌਨਸ ਆਰਟਰੀਓਸਸ
"पारंपरिक जुताई, रूढ जुताई",ਰਵਾਇਤੀ ਖੇਤ
"अभिसरित, अभिसारित",ਸੰਨਿਆਸ
अभिसारी,ਪਰਿਵਰਤਨ
अभिसारी (विकास),ਪਰਿਵਰਤਨ (ਵਿਕਾਸ)
कॉन्वॉल्वुलेसी,ਕਨਵੋਲਵੂਲਸੀ
संवलित नलिका,ਪੱਕਾ ਟਿ ule ਬਲੇ
समन्वय,ਤਾਲਮੇਲ
सहबहुलक,ਕੋਪੋਲਮਰ
"ताम्र, तांबा",ਤਾਂਬਾ
मलगुटिका,ਕੋਪਰੂਲੀਟ
शमलरागी,ਕਾਪੀਰੋਫਿਲਸ
संयुग्मन करना,ਕਾੱਪੀ
मैथुन,ਕਾੱਪੀ
संयुग्मन,ਕਾੱਪੀ
मैथुन तल्प,ਕਪੂਲਟਰੀ ਪੈਡ
प्रवाल भित्ति समुदाय,ਕੋਰਲ ਰੀਫ ਕਮਿ Community ਨਿਟੀ
"मूंगा, प्रवाल",ਕੋਰਲ
हृदयाकार,ਕੋਰਡੇਟ
क्रोड क्षेत्र,ਕੋਰ ਖੇਤਰ
क्रोड क्षेत्र,ਕੋਰ ਜ਼ੋਨ
सहदमनकारी,ਕੋਰਪ੍ਰੈਸਰ
कोरीफॉस्फीन,ਕੋਰਿਪੋਸਫਾਈਨ
"काग, कॉर्क",ਦਰੱਖਤ ਦਾ ਸੱਕ
काग एधा,ਕਾਰ੍ਕ ਕੰਬਿਅਮ
"काग पेच, कार्क स्क्रू",ਕਾਰ੍ਕ ਪੇਚ
"घनकंद, कॉर्म",ਕੋਰਮ
मक्का-वेधक,ਮੱਕੀ ਦਾ ਬੋਰਡ
"स्वच्छ मंडल, कॉर्निया",ਕੌਰਨੀਆ
कॉर्नियाजन कोशिका,ਕੋਰਨੇਗੇਨ ਸੈੱਲ
कॉर्निया लेन्स,ਕੋਰਨੇਲ ਲੈਂਜ਼
दलपुंज,ਕੋਰੋਲਾ
"किरीट, कोरोना",ਕੋਰੋਨਾ
किरीट भेदक एंजाइम,ਕੋਨਾ ਪ੍ਰਵੇਸ਼ ਕਰਨ ਵਾਲੇ ਪਾਚਕ
अरीय किरीट,ਕੋਰੋਨਾ ਰੇਡੀਏਟਾ
कोरोनेरिई,ਕੋਰੋਨਰੀਆ
हृद् धमनी,ਕੋਰੋਨਰੀ ਆਰਟਰੀ
हृद्धमनी उपमार्ग,ਕੋਰੋਨਰੀ ਆਰਟਰੀ ਬਾਈਪਾਸ
हृद्धमनी रोग,ਕੋਰੋਨਰੀ ਆਰਟਰੀ ਦੀ ਬਿਮਾਰੀ
हृद् परिखा,ਕੋਰੋਨਰੀ ਸਲੈਕਸ
"शिश्न का सगुह पिंड, शिश्न का कॉर्पोरा कैवर्नोसा",ਕਾਰਪੋਰਾ ਕਾਵਰਨੋਸਾ (ਲਿੰਗ ਦਾ)
"पिंड चतुष्टि, कॉर्पोरा क्वाड्रीजेमिना",ਕਾਰਪੋਰਾ ਚਾਵਡ੍ਰਿਗਮਿਨਾ
"पिंड, कॉर्पस",ਕਾਰਪਸ
कॉर्पस ऐल्बिकेन्स,ਕਾਰਪਸ ਐਲਬਿਕਸ
"महासंयोजक पिंड, कॉर्पस कैलोसम",ਕਾਰਪਸ ਕਾਲੋਸਮ
"पीत पिंड, कॉर्पस ल्यूटियम",ਕਾਰਪਸ ਲਯੂਟਮ
स्पंजी पिंड,ਕਾਰਪੋਸੀਓਸਮ
"रेखित पिंड, कॉर्पस स्ट्रिएटम",ਕਾਰਪਸ ਸਟ੍ਰੇਟਮ
संक्षारित करना,ਕੋਰੋਡ
वल्कुट,ਕੋਰਟੇਕਸ
वल्कुटी वृक्काणु,ਕੋਰਟੀਕਲ ਨੇਫਰਨ
कॉर्टिकोस्टेरोन,ਕੋਰਟੀਕੋਸਟੀਟਰੋਨ
वल्कुट-प्रभावी,ਕੋਰਟੀਕੋਫਿਕ
कॉर्टिसॉल,ਕੋਰਟੀਸੋਲ
कॉर्टिसोन,ਕੋਰਟੀਸੋਨ
कॉर्वस,ਕੋਰਵੋਸ
"समशिख, कोरिम्ब",ਕੋਰੀਮ
ब्रह्मांडीय उत्पत्ति,ਬ੍ਰਹਿਮੰਡ ਮੂਲ
"अंतरिक्ष किरण, कॉस्मिक किरण",ਬ੍ਰਹਿਮੰਡੀ ਰੇ
कॉस्मिड,ਕੋਸ਼ਨ
ब्रह्मांड-जीवोद्भव सिद्धांत,ਕੋਸਮੋਜ਼ੋਆਨ ਸਿਧਾਂਤ
कपास गोलक शलभ,ਕਪਾਹ ਦਾ ਬੋਲਾ ਕੀੜਾ
"परामर्श, परामर्शन",ਕਾਉਂਸਲਿੰਗ
प्रति प्रवाह तंत्र,ਵਿਰੋਧੀ ਪ੍ਰਣਾਲੀ
कजन विवाह,ਚਚੇਰਾ ਭਰਾ ਵਿਆਹ
सहसंयोजी आबंध,ਸਹਿਕਾਰਤਾ
आवरण,ਕਵਰ
आवरण उपकला,ਐਪੀਥੀਲੀਅਮ ਨੂੰ covering ੱਕਣਾ
काउपर - ग्रंथि,ਕਾਉਪਰ ਦੀ ਗਲੈਂਡ
कक्षांग,ਕੋਕਸ਼ਾ
श्रोणि,ਕੋਕਸ਼ਾ
श्रोणि-अस्थि,ਕੋਕਸਾਲ ਹੱਡੀ
कक्षांग प्रवर्ध,ਕੋਕਸਾਲ ਪ੍ਰਕਿਰਿਆ
क्रैक,ਕਰੈਕ
पटाखा स्फोटन,ਕਰੈਕਰ ਬਲੇਸਟਿੰਗ
कपाल अस्थि,ਕਰੈਨਿਅਲ ਹੱਡੀ
कपाल तानिका,ਕ੍ਰੇਨੀਅਲ ਮੈਨਿੰਜ
कपाल तंत्रिका,ਕਰੈਨਿਅਲ ਨਰਵ
कपालत्रिक बहिर्गम,ਕ੍ਰੇਨੀਆੋਸਕਲ ਆਉਟਫਲੋ
कपाल,ਕ੍ਰੈਨਿਅਮ
क्रेस्यूलेसी अम्ल उपापचय,ਕ੍ਰਾਸੁਲਾਸਾਨ ਐਸਿਡ ਮੈਟਾਬੋਲਿਜ਼ਮ
विचिंगट,ਕਰੇਫਿਸ਼
क्रिएटिनिन,ਕਰੀਏਟੀਨਾਈਨ
प्राणी,ਜੀਵ
विसर्पी,ਕਰੀਪਰ
सूक्ष्मवलन,ਕਾਨਾ
सूक्ष्मदंतन,ਕਾਨਾ
क्रिटेशस कल्प,ਕ੍ਰਿਸਟਸੀਅਸ ਪੀਰੀਅਡ
"अवटुवामनता, क्रेटीनता",ਕ੍ਰਿਟੀਨੀਵਾਦ
क्रि-डू-चैट संलक्षण,ਕ੍ਰਿਪਾ-ਡੂ-ਚੈਟ ਸਿੰਡਰੋਮ
अंतः कटक,ਕਰਸਟੇ
क्रांतिक योजक जाति,ਨਾਜ਼ੁਕ ਲਿੰਕ ਸਪੀਸੀਜ਼
क्रांतिक प्रक्रिया,ਨਾਜ਼ੁਕ ਪ੍ਰਕਿਰਿਆ
अति संकटापन्न जाति,ਆਲੋਚਨਾਤਮਕ ਤੌਰ 'ਤੇ ਖ਼ਤਰੇ ਵਾਲੀਆਂ ਕਿਸਮਾਂ
"सस्य, फसल",ਫਸਲ
सस्य अभियांत्रिकी,ਫਸਲੀ ਇੰਜੀਨੀਅਰਿੰਗ
सस्य भूमि,ਕ੍ਰੌਲੈਂਡ
प्रसंकर,ਕਰਾਸ
प्रसंकरण,ਕਰਾਸ ਪ੍ਰਜਨਨ
तिर्यक् सेतु,ਕਰਾਸ-ਬ੍ਰਿਜ
"क्रॉसबद्ध, तिर्यकबद्ध",ਕਰਾਸ ਨਾਲ ਜੁੜਿਆ
पर-परागित,ਪਰਾਗ ਲਗਾਇਆ
पर-परागण,ਕਰਾਸ ਪਰਾਗਿਤਣ
जीन विनिमय,ਪਾਰ ਕਰ ਰਿਹਾ ਹੈ
क्रोटालेरिया,ਕਰਾਟਾਲੀਆ
क्रोटन,ਕਰੌਟਨ
क्राउन गॉल अर्बुद,ਤਾਜ ਗੈਲ ਟਿ or ਮਰ
शिखर कलमबंदी,ਤਾਜ ਗ੍ਰੈਫਟਿੰਗ
"क्रॉसरूप, क्रॉसरूपी",ਕਰੂਸੀਫਾਰਮ
अशोधित जन्म दर,ਕੱਚੇ ਜਨਮ ਦੀ ਦਰ
अशोधित मृत्यु दर,ਕੱਚੀ ਮੌਤ ਦਰ
क्रस्टेशियाई,ਕ੍ਰਾਸਟੀਸੀਅਨ
क्राइ IA c,ਰੋਵੋ IA C
क्राइ IIA b,ਰੋਵੋ IIA ਬੀ
निम्नताप परिरक्षण,ਕ੍ਰੋਪੀਰੇਸੇਸ਼ਨ
निम्नताप शल्यचिकित्सा,ਕ੍ਰੋਸਰਚਰੀ
"गोपक, गुप्त",ਕ੍ਰਿਪਟਿਕ
गुप्त प्रकटन,ਕ੍ਰਿਪਟਿਕ ਦਿੱਖ
गोपक वर्ण,ਕ੍ਰਿਪਟਿਕ ਰੰਗ
गोपकतः रंग-युक्त,Crypy ੰਗ ਨਾਲ - ਰੰਗੀਨ
क्रिप्टोगैमी,ਕ੍ਰਿਪਟੂਗਾਮਾ
क्रिप्टोगैमिया,ਕ੍ਰਿਪਟੌਗੀਆ
लीबरकुन प्रगुहिका,ਲੀਬਰਕੁਆਨ ਦੇ ਕ੍ਰਿਪਟਸ
क्रिस्टल,ਕ੍ਰਿਸਟਲ
क्रिस्टलीय,ਕ੍ਰਿਸਟਲਲਾਈਨ
टेनोफोरा प्राणी,ਸੀਨਟੋਫੋਰੇਨਜ਼
"कंकतधर, टेनोफोर",ਕ੍ਰਿਨਫੋਰ
टेनोप्लाना,ਕੈਟੇਨੋਪਲਾਨਾ
"कुक्कू, कोकिल",ਕੁਕੂ
"कुकुम्बर (ककड़ी, खीरा)",ਖੀਰਾ
कुकरबिट,ਕੁਕੁਰਬਿਟ
कुकरबिटा,ਕੁਕੁਰਬਤਾ
कल्म,ਕੂਲਮ
कृषिज उपजाति,ਕਾਸ਼ਤਕਾਰ
कृष्ट सस्य,ਕਾਸ਼ਤ ਕੀਤੀ ਫਸਲ
कृष्ट पादप,ਕਾਸ਼ਤ ਵਾਲਾ ਪੌਦਾ
संवर्धनीय या त्वरित सुपोषण,ਸਭਿਆਚਾਰਕ ਜਾਂ ਤੇਜ਼ ਇਛੜਨ
"संवर्ध, संवर्धन",ਸਭਿਆਚਾਰ
अंडधर पुंज,Cumulus ooporus
क्यूप्रेसस टोरूलोसा,ਕਪੇਰਪ੍ਰੈਸ ਟੋਰੂਲੋਸਾ
क्यूपुला,ਉਪulaula
प्यालिका,ਕਪੂਲ
करक्यूमिन,ਕਰਕੁਮਿਨ
