Gujarati,Punjabi
સ્પર્ધાત્મક ક્રિયાપ્રતિક્રિયા,ਪ੍ਰਤੀਯੋਗੀ ਪਰਸਪਰ ਪ੍ਰਭਾਵ
પૂરક પાક,ਪੂਰਕ ਫਸਲ
1.સંયુક્ત 2.જટિલ,1. ਸੰਯੁਕਤ 2. ਗੁੰਝਲਦਾਰ
ઘટક,ਸੰਵਿਧਾਨਕ
રચના,ਰਚਨਾ
ખાતર,ਖਾਦ
સંયોજન વ્યાજ,ਮਿਸ਼ਰਿਤ ਵਿਆਜ
ગણતરી,ਗਣਨਾ
1. કોમ્પ્યુટર 2. કોમ્પ્યુટર,1. ਕੰਪਿਊਟਰ 2. ਕੰਪਿਊਟਰ
1. એકાગ્રતા 2. એકાગ્રતા,1. ਇਕਾਗਰਤਾ 2. ਇਕਾਗਰਤਾ
1. ઑપ્ટિમાઇઝર 2. રિવાઇટલાઇઝર,1. ਆਪਟੀਮਾਈਜ਼ਰ 2. ਰੀਵਾਈਟਲਾਈਜ਼ਰ
વાહકતા,ਚਾਲਕਤਾ
1. રૂપરેખાંકન 2. રૂપરેખા,1. ਸੰਰਚਨਾ 2. ਸੰਰਚਨਾ
1. અનુરૂપતા 2. રૂપરેખાંકન 3. અનુરૂપતા,1. ਅਨੁਕੂਲਤਾ 2. ਸੰਰਚਨਾ 3. ਅਨੁਕੂਲਤਾ
1. એકીકરણ 2. હાઇબ્રિડાઇઝેશન,1. ਏਕੀਕਰਣ 2. ਹਾਈਬ੍ਰਿਡਾਈਜ਼ੇਸ਼ਨ
જોડાણ,ਸੰਜੋਗ
1. એડિટિવ 2. કનેક્ટિવ,1. ਜੋੜਨ ਵਾਲਾ 2. ਜੋੜਨ ਵਾਲਾ
રક્ષણ,ਸੁਰੱਖਿਆ
એકીકરણ,ਏਕੀਕਰਨ
1. ઘટક 2. ઘટકો,1. ਸਮੱਗਰੀ 2. ਸਮੱਗਰੀ
ઉપભોક્તા,ਖਪਤਕਾਰ
વપરાશ,ਖਪਤ
દૂષણ,ਗੰਦਗੀ
સમોચ્ચ વાવેતર,ਕੰਟੂਰ ਲਾਉਣਾ
સમોચ્ચ રેખા,ਕੰਟੋਰ ਲਾਈਨ
1. કોન્ટ્રાક્ટ ફાર્મિંગ 2. કોન્ટ્રાક્ટ ફાર્મિંગ 3. કોન્ટ્રાક્ટ ફાર્મિંગ,1. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ 2. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ 3. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ
નિયંત્રિત વાતાવરણીય સંગ્રહ,ਨਿਯੰਤਰਿਤ ਵਾਯੂਮੰਡਲ ਸਟੋਰੇਜ਼
સહકારી બેંક,ਸਹਿਕਾਰੀ ਬੈਂਕ
સહકારી મંડળીના સભ્ય,ਸਹਿਕਾਰੀ ਸਭਾ ਦੇ ਮੈਂਬਰ
ગુલમાવન,ਗੁਲਮਾਵਨ
ક્યુબ્ડ,ਘਣ
1. દાલપુંજ 2. કોરોલા,1. ਦਲਪੁੰਜ 2. ਕੋਰੋਲਾ
1. કોર્ટેક્સ 2. કોર્ટેક્સ,1. ਕਾਰਟੈਕਸ 2. ਕਾਰਟੈਕਸ
ખર્ચ,ਲਾਗਤ
કોટિલેડોન,cotyledon
ક્રેડિટ કમિટી,ਕ੍ਰੈਡਿਟ ਕਮੇਟੀ
1. ધિરાણ 2. ક્રેડિટ,1. ਉਧਾਰ 2. ਕ੍ਰੈਡਿਟ
1. શાહુકાર 2. લેણદાર,1. ਰਿਣਦਾਤਾ 2. ਲੈਣਦਾਰ
1. ક્રેસ્ટ 2. શિરોબિંદુ 3. સ્પાયર,1. ਕਰੈਸਟ 2. ਸਿਰਾ 3. ਸਪਾਇਰ
પાછું ખેંચવું,ਵਾਪਸੀ
સમસ્યા,ਸਮੱਸਿਆ
પરીક્ષણ,ਟੈਸਟ
જટિલ,ਨਾਜ਼ੁਕ
પાક વીમો,ਫਸਲ ਬੀਮਾ
પાક લોન,ਫਸਲ ਕਰਜ਼ਾ
1. પાક 2. પાક,1. ਫਸਲ 2. ਫਸਲ
ખેતી વિસ્તાર,ਕਾਸ਼ਤ ਖੇਤਰ
ક્રોસ અસંગત,ਪਾਰ ਅਸੰਗਤ
1. તાજ 2. શિખર (છોડ),1. ਤਾਜ 2. ਸਿਖਰ (ਪੌਦਾ)
નરમ કણો,ਨਰਮ ਕਣ
પોપડો,ਛਾਲੇ
1. ક્રિપ્ટોગમ 2. નોન-ફ્લોરીફોર્મ,1. ਕ੍ਰਿਪਟੋਗਾਮ 2. ਗੈਰ-ਫਲੋਰੀਫਾਰਮ
કાપણી (ફળ),ਛਾਂਟੀ (ਫਲ)
પેન,ਕਲਮ
કલ્ટીવાર વિવિધ,ਕਿਸਮ ਦੀ ਕਿਸਮ
1. ટ્રેક્શન 2. ખેતી 3. ખેતી,1. ਟ੍ਰੈਕਸ਼ਨ 2. ਖੇਤੀਬਾੜੀ 3. ਖੇਤੀ
1. ખેડૂત 2. ખેડૂત,1. ਕਿਸਾਨ 2. ਕਾਸ਼ਤਕਾਰ
1. ખેતી 2. ખેતી 3. ઉછેર,1. ਕਾਸ਼ਤ 2. ਕਾਸ਼ਤ 3. ਪਾਲਣ
1.સંસાધન 2.તૈયારી,1.ਸਰੋਤ 2.ਤਿਆਰੀ
1.કુંતલન 2.કુંચોન,1.ਕੁੰਤਲਨ 2.ਕੁੰਚਨ
મુદ્રા,ਆਸਣ
1. બાહ્ય ત્વચા 2. ક્યુટિકલ,1. ਐਪੀਡਰਰਮਿਸ 2. ਛੱਲੀ
1. પેન 2. કટિંગ 3. કટીંગ 4. કટીંગ 5. કટીંગ,1. ਕਲਮ 2. ਕੱਟਣਾ 3. ਕੱਟਣਾ 4. ਕੱਟਣਾ 5. ਕੱਟਣਾ
1. કૃમિ કોર્પસ 2. ફોલ્લો 3. ફોલ્લો 4. વિકૃત ગઠ્ઠો 5. નિયોપ્લાઝમ,1. ਕੀੜਾ ਸਰੀਰ 2. ਸਿਸਟ 3. ਗੰਢ 4. ਵਿਗੜਿਆ ਗੰਢ 5. ਨਿਓਪਲਾਜ਼ਮ
સાયટોક્રોમ,cytochrome
કોષ જોડાણ,ਸੈੱਲ ਜੋੜਨਾ
સેલ પ્રજનન,ਸੈੱਲ ਪ੍ਰਜਨਨ
સેલ જીનેટિક્સ,ਸੈੱਲ ਜੈਨੇਟਿਕਸ
સાયટોપ્લાઝમિક વિભાજન,cytoplasmic ਡਿਵੀਜ਼ਨ
સેલ બાયોલોજી,ਸੈੱਲ ਜੀਵ ਵਿਗਿਆਨ
સેલ લિસિસ,ਸੈੱਲ lysis
1. સાયટોમેર 2. કોષ વિભાજન,1. ਸਾਇਟੋਮੇਰ 2. ਸੈੱਲ ਸੈਗਮੈਂਟੇਸ਼ਨ
સાયટોપ્લાઝમ,cytoplasm
1. ડેરી 2. ડેરી,1. ਡੇਅਰੀ 2. ਡੇਅਰੀ
ડેરી ઉદ્યોગ,ਡੇਅਰੀ ਉਦਯੋਗ
1. ડેમ 2. સંવર્ધક,1. ਡੈਮ 2. ਬਰੀਡਰ
ડે એબ્સોલ્યુટ પ્લાન્ટ,ਦਿਨ ਦਾ ਸੰਪੂਰਨ ਪੌਦਾ
ફૂલો પછીનો દિવસ,ਫੁੱਲ ਦੇ ਬਾਅਦ ਦਿਨ
સંપૂર્ણ ફૂલો પછીનો દિવસ,ਪੂਰੇ ਫੁੱਲ ਦੇ ਬਾਅਦ ਦਿਨ
બિનકાર્યક્ષમતા,ਅਕੁਸ਼ਲਤਾ
decalcification,decalcification
1. ડિસ્લોજ 2. ડિસ્લોજ,1. ਡਿਸਲੋਜ 2. ਡਿਸਲੋਜ
સડો,ਸੜਨ
પાનખર,ਪਤਝੜ
1. દશાંશ 2. દશાંશ,1. ਦਸ਼ਮਲਵ 2. ਦਸ਼ਮਲਵ
હીનતા,ਘਟੀਆਪਨ
અનુરાન (માટી),ਅਨੁਰਾਨ (ਮਿੱਟੀ)
વિપુષ્પન,ਵਿਪੁਸ਼ਪਨ
બિલિંગ,ਬਿਲਿੰਗ
વનનાબૂદી,ਕਟਾਈ
અપમાન,ਬਦਨਾਮੀ
અધોગતિ,ਪਤਨ
ભાગ દિવસ,ਭਾਗ ਦਿਨ
1. જથ્થો 2. ભાગ,1. ਮਾਤਰਾ 2. ਹਿੱਸਾ
અવક્ષય,dehiscence
કુશ્કી દૂર કરવી,ਭੂਸੀ ਨੂੰ ਹਟਾਉਣਾ
કુશ્કી દૂર કરવી,ਭੂਸੀ ਨੂੰ ਹਟਾਉਣਾ
નિર્જલીકરણ,ਡੀਹਾਈਡਰੇਸ਼ਨ
નિર્જળ,ਨਿਹਾਈਡ੍ਰਸ
માંગ,ਮੰਗ
1. વિકૃતિકરણ 2. ગુણાકાર,1. ਵਿਨਾਸ਼ਕਾਰੀ 2. ਗੁਣਾ
નિંદા,ਖੰਡਨ
1. થાપણ (માટી) 2. થાપણ (અર્થશાસ્ત્ર),1. ਜਮ੍ਹਾ (ਮਿੱਟੀ) 2. ਜਮ੍ਹਾ (ਆਰਥਿਕਤਾ)
જમા,ਜਮ੍ਹਾ
1. અવમૂલ્યન 2. અવમૂલ્યન,1. ਘਟਾਓ 2. ਘਟਾਓ
ડિસેલિનેશન,ਡੀਸਲੀਨੇਸ਼ਨ
1. પાણી સુકાઈ જવું 2. નિર્જલીકરણ,1. ਪਾਣੀ ਸੁਕਾਉਣਾ 2. ਡੀਹਾਈਡਰੇਸ਼ਨ
1. ડિઝાઇન 2. ડિઝાઇન,1. ਡਿਜ਼ਾਈਨ 2. ਡਿਜ਼ਾਈਨ
સુકા,ਸੁੱਕਣ ਵਾਲਾ
કર્નલ દૂર કરવું,ਕਰਨਲ ਹਟਾਉਣ
ડી-ઇન્ટરકલેશન,ਡੀ-ਇੰਟਰਕਲੇਸ਼ਨ
જોડાણ,ਸੰਜੋਗ
1. પુરુષ મંજરી નિષ્કર્ષણ (મકાઈ) 2. બલ્લાર નિષ્કર્ષણ,1. ਨਰ ਮੰਜਰੀ ਐਕਸਟਰੈਕਸ਼ਨ (ਮੱਕੀ) 2. ਬੱਲਰ ਐਕਸਟਰੈਕਸ਼ਨ
બલ્લાર અથવા કુંદન કટીંગ,ਬੱਲਰ ਜਾਂ ਕੁੰਦਨ ਕੱਟਣਾ
નિર્ધારક,ਨਿਰਧਾਰਕ
અવમૂલ્યન,devaluation
ડી-વનસ્પતિ,de-vegetate
વિચલન,ਭਟਕਣਾ
ડબલ,ਡਬਲ
નિદાન,ਨਿਦਾਨ
વિવિધ પરિપક્વતા,ਵੱਖਰੀ ਪਰਿਪੱਕਤਾ
વિભાજન,ਵੰਡ
1. ડાઇકોટાઇલ્ડન 2. ડિકોટાઇલ્ડન (બીજ),1. ਡਾਇਕੋਟਾਈਲਡਨ 2. ਡਾਇਕੋਟਾਈਲਡਨ (ਬੀਜ)
પીઠનો રોગ,ਪਿੱਠ ਦੀ ਬਿਮਾਰੀ
1. પ્રસરણ 2. પ્રસરણ,1. ਫੈਲਾਅ 2. ਪ੍ਰਸਾਰ
પાચનક્ષમતા,ਪਾਚਨ ਸਮਰੱਥਾ
દ્વિસંકર,ਡਾਇਹਾਈਬ੍ਰਿਡ
1. ડેમ 2. ડ્રેઇન 3. કુટુંબ,1. ਡੈਮ 2. ਡਰੇਨ 3. ਪਰਿਵਾਰ
અલ્પ,ਮਾਮੂਲੀ
1. મોનોગેમસ 2. મોનોગેમસ,1. ਮੋਨੋਗੈਮਸ 2. ਮੋਨੋਗੈਮਸ
ડિપ્લોઇડ,ਡਿਪਲੋਇਡ
1. ડિપ્લોઇડ 2. ડિપ્લોઇડ,1. ਡਿਪਲੋਇਡ 2. ਡਿਪਲੋਇਡ
દ્વિધ્રુવ,dipole
1. નિષ્કર્ષણ 2. બડ દૂર કરવું,1. ਕੱਢਣਾ 2. ਬਡ ਹਟਾਉਣਾ
1. હળ ખેડવું 2. કાંતવું,1. ਹਲ ਵਾਹੁਣਾ 2. ਕਤਾਈ
ડિસ્કાઉન્ટ,ਛੂਟ
જીવાણુ નાશકક્રિયા,ਕੀਟਾਣੂਨਾਸ਼ਕ
1. વિખેરવું 2. છૂટાછવાયા,1. ਫੈਲਾਅ 2. ਖਿੰਡਾਉਣਾ
1.સ્કેટરિંગ 2.વિવિધતા,1. ਖਿੰਡਾਉਣਾ 2. ਪਰਿਵਰਤਨ
વૈવિધ્યકરણ,ਵਿਭਿੰਨਤਾ
વૈવિધ્યસભર કૃષિ,ਵਿਭਿੰਨ ਖੇਤੀਬਾੜੀ
ડીએનએ પગલું,ਡੀਐਨਏ ਕਦਮ
ડીએનએ રીસીવર,ਡੀ.ਐਨ.ਏ ਪ੍ਰਾਪਤਕਰਤਾ
ગોદી ભાડે,ਡੌਕ ਕਿਰਾਏ &#39;ਤੇ
અસરકારક,ਅਸਰਦਾਰ
નિષ્ક્રિયતા,ਸੁਸਤਤਾ
1. જથ્થો 2. માત્રા 3. માત્રા,1. ਮਾਤਰਾ 2. ਖੁਰਾਕ 3. ਖੁਰਾਕ
ડબલ સિગ્મોઇડ વળાંક,ਡਬਲ ਸਿਗਮੋਇਡ ਕਰਵ
1. ગસ્ટ 2. સ્ટ્રેચ,1. ਝੱਖੜ 2. ਖਿੱਚੋ
1. એક્ઝોસ્ટ ડ્રેઇન 2. પ્રવાહ,1. ਐਗਜ਼ੌਸਟ ਡਰੇਨ 2. ਗੰਦਾ ਪਾਣੀ
ડ્રેનેજ,ਡਰੇਨੇਜ
ટ્રેક્શન,ਖਿੱਚ
1. દવા આપો 2. ભીંજાવો,1. ਦਵਾਈ ਦਿਓ 2. ਭਿੱਜੋ
સૌંદર્ય પ્રસાધનો (બીજ),ਕਾਸਮੈਟਿਕਸ (ਬੀਜ)
1. ઓગર 2. છીછરા ફોલ્ટ 3. ડ્રીલ 4. ઓગર,1. auger 2. ਘੱਟ ਨੁਕਸ 3. ਡ੍ਰਿਲ 4. auger
1. છિદ્ર 2. કવાયત 3. કવાયત,1. ਮੋਰੀ 2. ਡ੍ਰਿਲ 3. ਡ੍ਰਿਲ
1. ડ્રિલિંગ 2. ડ્રિલ વડે વાવણી 3. ડ્રિલ વડે રેડવું,1. ਡ੍ਰਿਲਿੰਗ 2. ਇੱਕ ਮਸ਼ਕ ਨਾਲ ਬਿਜਾਈ 3. ਇੱਕ ਮਸ਼ਕ ਨਾਲ ਡੋਲ੍ਹਣਾ
ટપક સિંચાઈ,ਤੁਪਕਾ ਸਿੰਚਾਈ
સૂકી ખેતી,ਸੁੱਕੀ ਖੇਤੀ
1.ધૂળ 2.બુકની,1.ਧੂੜ 2.ਬੁਕਨੀ
1. ડસ્ટર 2. સ્કેટરર,1. ਡਸਟਰ 2. ਸਕੈਟਰਰ
છંટકાવ કરવા માટે,ਛਿੜਕਣ ਲਈ
1. વામન 2. વામન,1. ਬੌਣਾ 2. ਵਾਮਨ
વામન પિરામિડ,ਵਾਮਨ ਪਿਰਾਮਿਡ
વામિની ભવન,ਵਾਮਿਨੀ ਭਵਨ
ઇકોલોજી,ਵਾਤਾਵਰਣ
અર્થશાસ્ત્ર,ਅਰਥ ਗਣਿਤ
આર્થિક કાર્યક્ષમતા,ਆਰਥਿਕ ਕੁਸ਼ਲਤਾ
પરિસ્થિતિગત પ્રકાર,ਸਥਿਤੀ ਦੀ ਕਿਸਮ
વધારાનું સ્તરીકરણ,ਵਾਧੂ ਪੱਧਰੀ
નરમ,ਨਰਮ
માટી વિજ્ઞાન,ਮਿੱਟੀ ਵਿਗਿਆਨ
1. બ્રિજિંગ 2. એજિંગ 3. સ્ટ્રાન્ડ ક્લોઝર,1. ਬ੍ਰਿਜਿੰਗ 2. ਕਿਨਾਰਾ 3. ਸਟ੍ਰੈਂਡ ਕਲੋਜ਼ਰ
ખોરાકનો ભાગ,ਭੋਜਨ ਦਾ ਹਿੱਸਾ
માંગની સ્થિતિસ્થાપકતા,ਮੰਗ ਦੀ ਲਚਕਤਾ
ઉત્પાદન સ્થિતિસ્થાપકતા,ਉਤਪਾਦਨ ਦੀ ਲਚਕਤਾ
વિદ્યુત વિચ્છેદન-વિશ્લેષણ,ਇਲੈਕਟ੍ਰੋਲਾਈਸਿਸ
ઇલેક્ટ્રોફોરેસિસ,ਇਲੈਕਟ੍ਰੋਫੋਰੇਸਿਸ
બાષ્પીભવન,ਵਾਸ਼ਪੀਕਰਨ
1. શિરચ્છેદ કરનાર 2. જંતુમુક્ત કરનાર 3. શિરચ્છેદ કરનાર 4. જંતુમુક્ત કરનાર,1. ਡੀਕੈਪੀਟੇਟਰ 2. ਨਸਬੰਦੀ 3. ਡੀਕੈਪੀਟੇਟਰ 4. ਨਸਬੰਦੀ
1. વિયર બંડી 2. સ્ટ્રોબંદી,1. ਵੀਰ ਬੰਦੀ 2. ਤੂੜੀ
ગર્ભ,ਭਰੂਣ
1. ગર્ભવિજ્ઞાન 2. ભૌતિકશાસ્ત્ર,1. ਭਰੂਣ ਵਿਗਿਆਨ 2. ਭੌਤਿਕ ਵਿਗਿਆਨ
1. બહાર નીકળો 2. બહાર નીકળો,1. ਨਿਕਾਸ 2. ਨਿਕਾਸ
ઇમલ્સિફાયર,emulsifier
અંતર્જાત,ਅੰਤਰਜਾਤੀ
આંતર-બિંદુ વિભાગ,ਅੰਤਰ-ਪੁਆਇੰਟ ਡਿਵੀਜ਼ਨ
આંતર-પરજીવી,ਅੰਤਰ-ਪਰਜੀਵੀ
એન્ડોસ્પર્મ,ਐਂਡੋਸਪਰਮ
એન્ટરપ્રાઇઝ,ਉੱਦਮ
કીટશાસ્ત્ર,ਕੀਟ ਵਿਗਿਆਨ
પર્યાવરણ,ਵਾਤਾਵਰਣ
1. એન્ઝાઇમ 2. એન્ઝાઇમ,1. ਐਨਜ਼ਾਈਮ 2. ਐਨਜ਼ਾਈਮ
ક્લસ્ટર કલમ બનાવવી,ਕਲੱਸਟਰ ਗ੍ਰਾਫਟਿੰਗ
1. એપિફાઇટ 2. એપિફાઇટ,1. ਐਪੀਫਾਈਟ 2. ਐਪੀਫਾਈਟ
ઇક્વિટી,ਇਕੁਇਟੀ
નાબૂદી,ਖਾਤਮਾ
આવશ્યક પોષક તત્વો,ਜ਼ਰੂਰੀ ਪੌਸ਼ਟਿਕ ਤੱਤ
1. માપન 2. જમ્પ 3. આકારણી,1. ਮਾਪ 2. ਜੰਪ 3. ਮੁਲਾਂਕਣ
સુંદરતા,ਚੁਸਤ
સુજનનિક,ਸੁਜਾਨਿਕ
મૂલ્યાંકન,ਮੁਲਾਂਕਣ
વરાળ માપક,ਭਾਫ਼ ਗੇਜ
બાષ્પીભવન,evaportranspiration
શાશ્વત ક્રાંતિ,ਸਦੀਵੀ ਇਨਕਲਾਬ
1. સદાબહાર 2. સદાબહાર,1. ਸਦਾਬਹਾਰ 2. ਸਦਾਬਹਾਰ
વિકાસ,ਵਿਕਾਸ
કાપી નાખવું,ਬੰਦ ਕਰ ਦਿਓ
પરિક્ષય (ફર્ટિલિટી),ਪਰੀਕਸ਼ਯ (ਜਣਨ ਸ਼ਕਤੀ)
શોષણ,ਸ਼ੋਸ਼ਣ
1. અન્વેષણ 2. અન્વેષણ,1. ਖੋਜ 2. ਖੋਜ
1. ઉત્સર્જન 2. ઉત્સર્જન,1. ਐਕਸਟਰਿਊਸ਼ਨ 2. ਨਿਕਾਸ
આંખ,ਆਈ
1. પરિબળ 2. ઘટક 3. પરિબળ 4. સંસાધન,1. ਫੈਕਟਰ 2. ਕੰਪੋਨੈਂਟ 3. ਫੈਕਟਰ 4. ਸਰੋਤ
પરિબળ ઉત્પાદકતા,ਕਾਰਕ ਉਤਪਾਦਕਤਾ
વેપારીનું ડિસ્કાઉન્ટ,ਵਪਾਰੀ ਦੀ ਛੋਟ
ફેક્ટોરિયલ બ્લોક ડિઝાઇન,ਫੈਕਟੋਰੀਅਲ ਬਲਾਕ ਡਿਜ਼ਾਈਨ
વૈકલ્પિક,ਵਿਕਲਪਕ
1. પટ્ટી 2. પાલિહાર,1. ਪੱਟੀ 2. ਪਾਲੀਹਾਰ
સ્થૂળ,ਕੁੱਲ
ક્ષેત્ર મૂલ્યાંકન,ਖੇਤਰ ਦਾ ਮੁਲਾਂਕਣ
ફાર્મ બજેટિંગ,ਖੇਤੀ ਬਜਟ
કૃષિ વ્યવસાય,ਖੇਤੀਬਾੜੀ ਕਾਰੋਬਾਰ
ક્ષેત્ર આયોજન,ਖੇਤਰ ਦੀ ਯੋਜਨਾਬੰਦੀ
1. ખેડૂત 2. ખેડૂત,1. ਕਿਸਾਨ 2. ਕਿਸਾਨ
1. ખેતી 2. ખેતી,1. ਖੇਤੀ 2. ਖੇਤੀ
અથડામણ,ਟੱਕਰ
બહુવિધ સંવર્ધન,ਮਲਟੀਪਲ ਪ੍ਰਜਨਨ
આથો,ਫਰਮੈਂਟੇਸ਼ਨ
ફળદ્રુપતા,ਜਣਨ
ખાતર,ਖਾਦ
ખાતર ઉપયોગ કાર્યક્ષમતા,ਖਾਦ ਵਰਤਣ ਦੀ ਕੁਸ਼ਲਤਾ
તંતુમય,ਰੇਸ਼ੇਦਾਰ
1. ફાર્મ 2. વિસ્તાર 3. સ્થાન,1. ਫਾਰਮ 2. ਖੇਤਰ 3. ਸਥਾਨ
માટી પાણી હોલ્ડિંગ,ਮਿੱਟੀ ਦੇ ਪਾਣੀ ਨੂੰ ਰੱਖਣ
ક્ષેત્ર પ્રદર્શન,ਖੇਤਰ ਪ੍ਰਦਰਸ਼ਨ
1. સ્થિરીકરણ 2. ફિક્સેશન 3. ફિક્સેશન,1. ਸਥਿਰਤਾ 2. ਫਿਕਸੇਸ਼ਨ 3. ਫਿਕਸੇਸ਼ਨ
1. પાણી ભરવું 2. ગર્ભાધાન,1. ਡੁੱਬਣਾ 2. ਗਰਭਪਾਤ
પ્રવાહ રેખાકૃતિ,ਵਹਾਅ ਚਿੱਤਰ
ખોરાક મૂલ્ય,ਭੋਜਨ ਮੁੱਲ
ચારો,ਚਾਰਾ
આગાહી,ਪੂਰਵ ਅਨੁਮਾਨ
વન,ਜੰਗਲ
વનીકરણ,ਜੰਗਲਾਤ
1. તડપાર્ન 2. ફોર્મ,1. ਤਾਦਪਰਨ 2. ਰੂਪ
હિમ પ્રતિરોધક,ਠੰਡ ਰੋਧਕ
1. પાલા 2. બ્લાઈટ,1. ਪਾਲਾ 2. ਝੁਲਸ
1. સ્થિર 2. સ્થિર,1. ਜੰਮਿਆ ਹੋਇਆ 2. ਜੰਮਿਆ ਹੋਇਆ
કાર્ય,ਫੰਕਸ਼ਨ
1. ફ્રુટ ફોલ 2. ફ્રુટ ફોલ,1. ਫਰੂਟ ਫਾਲ 2. ਫਰੂਟ ਫਾਲ
ફળ બની જાય છે,ਫਲ ਬਣ
1. ધૂણી 2. ધૂણી,1. ਧੁਨੀ 2. ਧੁੰਦ
ફૂગનાશક,ਉੱਲੀਨਾਸ਼ਕ
ફૂગપ્રતિરોધી,ਐਂਟੀਫੰਗਲ
ફૂગ,ਉੱਲੀ
1. ખુદ 2. સીતા,1. ਖੁਦਾ 2. ਸੀਤਾ
1. ફ્યુઝન 2. ફ્યુઝન,1. ਫਿਊਜ਼ਨ 2. ਫਿਊਜ਼ਨ
કપાસ ઉન,ਕਪਾਹ ਉੱਨ
રુવાંટીવાળું,ਵਾਲਾਂ ਵਾਲਾ
1. ઝાડનું અલ્સર 2. પિટિકા,1. ਰੁੱਖ ਦਾ ਫੋੜਾ 2. ਪਿਟਿਕਾ
1. ગેમેટ્સ 2. ગેમેટ્સ,1. ਗੇਮੇਟਸ 2. ਗੇਮੇਟਸ
1. બગીચો 2. બગીચો,1. ਬਾਗ 2. ਬਾਗ
1. પંસલ 2. હાઇડ્રોમીટર,1. ਪੰਸਲ 2. ਹਾਈਡਰੋਮੀਟਰ
જનીન સંગ્રહ,ਜੀਨ ਸੰਗ੍ਰਹਿ
જીન ટેગોન,ਜੀਨ ਟੈਗਨ
વંશાવળી,ਵੰਸ਼ਾਵਲੀ
જનીન નકશો,ਜੀਨ ਨਕਸ਼ਾ
જીનેટિક્સ,ਜੈਨੇਟਿਕਸ
1. જીનોમ 2. સંગેન,1. ਜੀਨੋਮ 2. ਸੰਗੀਨ
સંજીની કલેક્શન,ਸੰਜੀਨੀ ਸੰਗ੍ਰਹਿ
જીનોમિક્સ,ਜੀਨੋਮਿਕਸ
જીનોટાઇપ,ਜੀਨੋਟਾਈਪ
1. જનીન માળખું 2. જનીન પ્રકાર,1. ਜੀਨ ਬਣਤਰ 2. ਜੀਨ ਦੀ ਕਿਸਮ
લિનેજ,ਲਿੰਗ
1. જીનસ 2. વંશ,1. ਜੀਨਸ 2. ਵੰਸ਼
1. જીવાણુ 2. જીવાણુ,1. ਜਰਮ 2. ਕੀਟਾਣੂ
જીવાણુનાશક,ਕੀਟਾਣੂਨਾਸ਼ਕ
અંકુરણ,ਉਗਣਾ
1. જર્મપ્લાઝમ 2. જર્મપ્લાઝમ,1. ਜਰਮਪਲਾਜ਼ਮ 2. ਜਰਮਪਲਾਜ਼ਮ
ગીબેરેલિક એસિડ,gibberellic ਐਸਿਡ
ઉગાડવું,ਇਕੱਠਾ ਕਰਨਾ
ટશ,ਤੁਸ਼
1. ગ્લુટેન 2. ખાઉધરાપણું,1. ਗਲੁਟਨ 2. ਪੇਟੂ
ગ્લાયકોલિસિસ,glycolysis
સરસ,ਵਧੀਆ
સુવર્ણ ક્રાંતિ,ਸੁਨਹਿਰੀ ਇਨਕਲਾਬ
1. વર્ગીકરણ 2. વર્ગીકરણ 3. સ્તરીકરણ,1. ਵਰਗੀਕਰਨ 2. ਵਰਗੀਕਰਨ 3. ਪੱਧਰੀਕਰਨ
1. કલમી છોડ 2. પેનમ્બ્રલ પ્લાન્ટ,1. ਗ੍ਰਾਫਟਡ ਪੌਦਾ 2. ਪੇਨਮਬਰਲ ਪਲਾਂਟ
પેન અસંગત,ਕਲਮ ਅਸੰਗਤ
ગ્રેના,ਗ੍ਰਾਨਾ
દાણાદાર,ਦਾਣੇ
લીલું ખાતર,ਹਰੀ ਖਾਦ
હરિયાળી ક્રાંતિ,ਹਰੀ ਕ੍ਰਾਂਤੀ
વૃદ્ધિ અને વિકાસ,ਵਿਕਾਸ ਅਤੇ ਵਿਕਾਸ
1. ગમ રોગ,1. ਮਸੂੜਿਆਂ ਦੀ ਬਿਮਾਰੀ
વિષમલિંગી,ਵਿਪਰੀਤ ਲਿੰਗੀ
1. પ્રકૃતિ 2. પ્રકૃતિ 3. રૂપગુણ 4. દેખાવ,1. ਪ੍ਰਕ੍ਰਿਤੀ 2. ਕੁਦਰਤ 3. ਰੂਪਗੁਣਾ 4. ਦਿੱਖ
1. ઓલા 2. કરકપાટ 3. કાર્કા,1. ਓਲਾ 2. ਕਰਕਪਟ 3. ਕਰਕਾ
રોમિલવોચ,ਰੋਮਿਲਵਾਚ
ખારા ફોલ્લો,ਖਾਰੇ ਗੱਠ
હેરો,ਹੈਰੋ
1. હાર્વેસ્ટિંગ ઈન્ડેક્સ 2. હાર્વેસ્ટિંગ ઈન્ડેક્સ,1. ਵਾਢੀ ਸੂਚਕਾਂਕ 2. ਵਾਢੀ ਸੂਚਕਾਂਕ
1. લણણી 2. લણણી કરેલ પાક 3. સમાપ્ત પાક 4. ઉપજ,1. ਵਾਢੀ 2. ਵਾਢੀ ਹੋਈ ਫ਼ਸਲ 3. ਮੁਕੰਮਲ ਫ਼ਸਲ 4. ਝਾੜ
1. તોડવું 2. લણણી 3. તોડવું,1. ਵੱਢਣਾ 2. ਵਾਢੀ 3. ਵੱਢਣਾ
