Malayalam,Hindi
ഡിജിറ്റൽ മോഡുലേഷൻ,अंकीय माडुलन
"1. ഡിജിറ്റൽ ഡിസ്പ്ലേ, 2. ഡിജിറ്റൽ മോണിറ്റർ","1.अंकीय प्रदर्श, 2. डिजीटल मॉनीटर"
ഡിജിറ്റൽ ചിത്രം,अंकीय चित्र
"1. ഡിജിറ്റൽ സിഗ്നേച്ചർ, 2. ഡിജിറ്റൽ സിഗ്നേച്ചർ","1.अंकीय हस्ताक्षर, 2. अंकीय चिन्हक"
ഡിജിറ്റൽ സ്വിച്ച്,अंकीय स्विच
ഡിജിറ്റൽ അനലോഗ് കൺവെർട്ടർ,अंकीय अनुरूप रूपांतरक
ഡിജിറ്റൈസേഷൻ,अंकरूपण
ഡിജിറ്റൈസേഷൻ,अंकीकरण
ഡിജിറ്റൈസർ,अंकरूपक
ഡയോഡ്,डायोड
പ്രഥമദൃഷ്ട്യാ,प्रत्यक्ष
നേരിട്ടുള്ള വിലാസം,प्रत्यक्ष पता
നേരിട്ടുള്ള പരിവർത്തനം,प्रत्यक्ष रुपांतरण
നേരിട്ടുള്ള സംയോജനം,प्रत्यक्ष युग्मन
"1. ഡയറക്ട് മെമ്മറി ആക്സസ്, 2. ഡയറക്ട് മെമ്മറി ആക്സസ് (DMA)","1.प्रत्यक्ष स्मृति अभिगम, 2. प्रत्यक्ष मैमोरी अभिगम (डी एम ए)"
ഡയറക്ട് മെമ്മറി ആക്സസ് (DMA),प्रत्यक्ष स्मृति अभिगम (डी एम ए)
നേരിട്ടുള്ള രീതി,प्रत्यक्ष विधि
ദിശകൾ,निदेश
ഡയറക്ടറി,निर्देशिका
"1. ഡയറക്ടറി സെർവർ, 2. ഡയറക്ടറി സെർവർ","1.निर्देशिका परिसेवक, 2. निर्देशिका सर्वर"
ഡയറക്ടറി സേവനം,निर्देशिका सेवा
സാധ്യമല്ല,असमर्थ
സിഗ്നൽ പ്രവർത്തനരഹിതമാക്കുന്നു,असमर्थकारी संकेत
"1. വിച്ഛേദിക്കൽ, 2. വിച്ഛേദിക്കൽ","1.असंबंधन, 2. विसंबंधन"
"1. ഡിസ്ക്രീറ്റ്, 2. ഡിസ്ക്രീറ്റ്","1.असतत, 2. विविक्त"
"1. ഡിസ്ക്, 2. ഡിസ്ക്","1.चक्रिका, 2. डिस्क"
"1. ഡിസ്ക് വിലാസം, 2. ഡിസ്ക് വിലാസം","1.चक्रिका पता, 2. डिस्क पता"
"1. ഡിസ്ക് അറേ, 2. ഡിസ്ക് അറേ","1.चक्रिका सरणी, 2. डिस्क सरणी"
"1. ഡിസ്ക് ശേഷി, 2. ഡിസ്ക് ശേഷി","1.चक्रिका क्षमता, 2. डिस्क क्षमता"
"1. ഡിസ്ക് ഡ്രൈവർ, 2. ഡിസ്ക് ഡ്രൈവ്","1.चक्रिका चालक, 2.डिस्क ड्रािव"
ഡിസ്ക് ഫയൽ,चक्रिका संचिका
"1. ഡിസ്ക് മെമ്മറി, 2. ഡിസ്ക് മെമ്മറി, 3. ഡിസ്ക് മെമ്മറി, 4. ഡിസ്ക് മെമ്മറി","1.चक्रिका स्मृति, 2. चक्रिका मेमोरी, 3.डिस्क स्मृति, 4. डिस्क मेमोरी"
ഡിസ്ക് ഓപ്പറേറ്റിംഗ് സിസ്റ്റം (DoS),चक्रिका परिचालन तंत्र (डी ओ एस)
ഡിസ്ക് പാക്കേജ്,चक्रिका संकुल
"1.ചക്രിക സെർവർ, 2.ഡിസ്ക് സെർവർ","1.चक्रिका परिसेवक, 2. डिस्क सर्वर"
"1. ഡിസ്ക് സംഭരണം, 2. ഡിസ്ക് സംഭരണം","1.चक्रिका भंडारण, 2. डिस्क भंडारण"
ഡിസ്കെറ്റ്,डिस्केट
ഫയൽ പ്രദർശിപ്പിക്കുക,प्रदर्श संचिका
ചിത്രം പ്രദർശിപ്പിക്കുക,प्रदर्श प्रतिबिंब
നിർമാർജനം,निपटान
ദൂരം,दूरी
ദൂരം പ്രവർത്തനം,दूरी फलन
വളച്ചൊടിക്കൽ,विरूपण
എത്തിച്ചു,वितरित
വിതരണം ചെയ്ത ഡാറ്റ,वितरित आँकड़ा
വിതരണം ചെയ്ത സെർവർ,वितरित परिसेवक
"1.ഡിസ്ട്രിബ്യൂട്ടഡ് സിസ്റ്റം, 2.ഡിസ്ട്രിബ്യൂട്ടഡ് സിസ്റ്റം","1.वितरित प्रणाली, 2. वितरित तंत्र"
വിതരണക്കാരൻ,वितरक
പ്രമാണം,प्रलेख
പ്രമാണം അംഗീകൃത,प्रलेख प्रत्यानयित
"1. ഡോക്യുമെന്റ് വിൻഡോ, 2. ഡോക്യുമെന്റ് വിൻഡോ","1.प्रलेख खिडक़ी, 2. प्रलेख विंडो"
പ്രമാണീകരണം,प्रलेखन
"ഡൊമെയ്ൻ, ഡൊമെയ്ൻ","डोमेन, प्रक्षेत्र"
ഡൊമെയ്ൻ നാമം,डोमेन नाम
"1. ഡോട്ട് മാട്രിക്സ് പ്രിന്റർ, 2. ഡോട്ട് മാട്രിക്സ് പ്രിന്റർ","1.डॉट मैट्रिक्स मुद्रक, 2. डॉट मैट्रिक्स प्रिंटर"
"താഴെ, താഴെ","अध:, नीचे"
"1.അവലിങ്ക്, 2.ചതുരം","1.अवलिंक, 2.अवकड़ी"
ഡൗൺലോഡ്,अधोभारण
ഡൗൺലോഡ് സമയം,अधोभारण काल
ട്രാക്ഷൻ,कर्षण
DRAM (ഡൈനാമിക് റാം),डीरैम (गतिक रैम)
ഒഴുക്ക്,अपवाह
ഡ്രൈവർ,चालक
ഇലകൾ,पात
ഡ്രോപ്പ് ലിസ്റ്റ് ബോക്സ്,निपात सूची बॉक्स
ഡ്രം ഡ്രൈവ്,ड्रम ड्रािव
"1.ഡ്രം പ്രിന്റർ, 2.ഡ്രം പ്രിന്റർ","1.ड्रम मुद्रक, 2. ड्रम प्रिंटर"
"1. Im യൂണിറ്റ്, 2. ഡ്രം യൂണിറ്റ്","1.इम एकक, 2. ड्रम इकाई"
"1. ദ്വൈതത, 2. ദ്വി","1.द्वैत, 2. द्वि"
ഇരട്ട സാന്ദ്രത,द्वैत घनत्व
"1. നിശബ്ദ വിലാസം, 2. വ്യാജ വിലാസം","1.मूक पता, 2. छद्म पता"
തള്ളുക,सन्निक्षेप
ഇരട്ട സർക്യൂട്ട്,दवैध परिपथ
നിയമവിധേയമാക്കൽ,दवैधीकरण
കീ കീ,केय्प्रतिकुंजी
"1.D V D R./W, 2. ഡിവിഡി വായന, 3. എഴുത്ത്","1.डी वी डी आर./डब्ल्यू, 2. डी वी डी पठन, 3.लेखन"
ഡിവിഡി റോം,डी वी डी रॉम
ചലനാത്മക നിർദ്ദേശം,गतिक अनुदेश
"1.ഡൈനാമിക് മെമ്മറി, 2.ഡൈനാമിക് മെമ്മറി","1.गतिक स्मृति, 2.गतिक मेमोरी"
"1. ഡൈനാമിക്സ്, 2. ഡൈനാമിക്സ്","1.गति विज्ञान, 2. गतिकी"
ഇ ബി സി ഡി ഐ സി,ई बी सी डी आई सी
ഇ-ബിസിനസ്,ई व्यवसाय
പ്രതിധ്വനി,प्रतिध्वनि
"1.ഇ-കൊമേഴ്‌സ്, 2.ഇ-കൊമേഴ്‌സ്","1.ई-कॉमर्स, 2.ई-वाणिज्य"
എഡിറ്റിംഗ്,संपादन
എഡിറ്റർ,संपादक
വിദ്യാഭ്യാസ സാങ്കേതികവിദ്യ,शैक्षिक प्रौद्योगिकी
ഇ ഇ പി റോം,ई ई पी रॉम
"1. അർത്ഥവത്തായ വിലാസം, 2. ഫലപ്രദമായ വിലാസം","1.सार्थक पता, 2.प्रभावी पता"
അർത്ഥവത്തായ പ്രവർത്തന വിലാസം,सार्थक संकार्य पता
ഫലപ്രദമായ പ്രവർത്തനം,प्रभावी क्रिया
ഫലപ്രദമായ യുഐഡി,प्रभावी यू.आई.डी.
ഫലപ്രദമായ ട്രാൻസ്മിഷൻ പ്രവർത്തനം,प्रभावी संचरण संकार्य
ഒക്ടൽ ബൈറ്റ്,अष्टबिट बािट
"ഇലക്ട്രോണിക് പഠനം, ഇ-ലേണിംഗ്","इलेक्ट्रॉनिक अधिगम, ई अधिगम"
തിരഞ്ഞെടുപ്പ് അൽഗോരിതം,चुनाव एल्गोरिथम
ഇലക്ട്രോണിക് മെയിൽ സേവനം (ഇ-മെയിൽ),इलेक्ट्रोनिक डाकसेवा (ई. मेल)
"1.ഇലക്‌ട്രോണിക് പ്രിന്റിംഗ്, 2.ഇലക്‌ട്രോണിക് പ്രിന്റർ","1.इलेक्ट्रोनिक मुद्रण, 2.इलेक्ट्रोनिक प्रिटर"
ഇലക്ട്രിക്കൽ അക്കൗണ്ടിംഗ് മെഷീൻ,विद्युत लेखा मशीन
ഇലക്ട്രോണിക്സ്,इलेक्ट्रोनिकी
ഇലക്ട്രോണിക് എക്‌സ്‌ഹോസ്റ്റ് സിസ്റ്റം (ഇസിഎസ്),इलैक्ट्रॉनिक निकास प्रणाली (ई.सी.एस.)
ഇലക്ട്രോണിക് ഡാറ്റ എക്സ്ചേഞ്ച് (EDI),इलेक्ट्रॉनिक आँकड़ा विनिमय (इ.डी.आई.)
ഇലക്ട്രോണിക് ഡാറ്റ പ്രോസസ്സിംഗ്,इलेक्ट्रोनिक आंकड़ा संसाधन
ഇലക്ട്രോണിക് ബ്രോഷർ,इलेक्ट्रॉनिक विवरणिक
ഇലക്ട്രോണിക് ഫണ്ട് ട്രാൻസ്ഫർ മെക്കാനിസം (ഇഎഫ്ടിഎസ്),इलेक्ट्रोनिक निधि अंतरण तंत्र (ई.एफ.टी.एस)
"1.ഇലക്‌ട്രോണിക് ജേണൽ, 2.ഇലക്‌ട്രോണിക് ജേണൽ","1.इलेक्ट्रॉनिक जर्नल, 2.इलेक्ट्रानिक पत्रिका"
ഇലക്ട്രോണിക് പ്രസിദ്ധീകരണം,इलेक्ट्रॉनिक प्रकाशन
ഇലക്ട്രോണിക് സ്വിച്ച്,इलेक्ट्रॉनिक स्विच
"ഘടകം, ഘടകം","तत्व, अवयव"
ഇ-മെയിൽ,ई-मेल
"1. ഇ-മെയിൽ വിലാസം, 2. ഇലക്ട്രോണിക് മെയിലിംഗ് വിലാസം","1.ई-मेल पता, 2. इलेक्ट्रॉनिक डाक पता"
എംബഡഡ് സിസ്റ്റം,अंत:स्थापित तंत्र
ഉൾച്ചേർക്കൽ,अंत:स्थापन
എമിറ്റർ കപ്പിൾഡ് ലോജിക് (ECL),उत्सर्जक युग्मित तर्क (ई.सी.एल.)
ശൂന്യമായ ഇടം,रिक्त चिति
"1. ബ്ലാങ്ക് ചെയിൻ, 2. ബ്ലാങ്ക് ചെയിൻ","1.रिक्त श्रृंखला, 2. रिक्त माला"
യന്ത്രവൽക്കരണം,यंत्रानुकरण
"1.ക്യാപ്സുലേഷൻ, 2.ക്യാപ്സുലേഷൻ","1.केप्सूलीकरण, 2. केप्सूलन"
ഡീകോഡർ,कूटलेखक
എൻകോഡിംഗ്,कूटलेखन
"1. എൻകോഡർ, 2. കൊഡാക്ക്","1.कूटलेखक, 2. कोडक"
മറച്ച ഡാറ്റ,गूढ आंकडा
മറഞ്ഞിരിക്കുന്ന ഫയൽ സിസ്റ്റം,गूढ फािल सिस्टम
"1. എൻക്രിപ്ഷൻ, 2. കോഡിംഗ്, 3. എൻകോഡിംഗ്","1.गोपन, 2. कोडन, 3. कूटलेखन"
ബ്ലോക്ക് അവസാനം,खंडक अंत
ഫയൽ-അവസാനം,संचिका-अन्त
ഉപയോക്താവ്,प्रयोक्ता
നൽകുക,प्रवेश
എൻട്രി കീ,प्रवेश कुंजी
"1. ഉദ്യം സർവാർ, 2. ഉദ്യം സേവക്","1.उद्यम सरवर, 2. उद्यम सेवक"
എന്റർപ്രൈസ് സിസ്റ്റം,उद्यम तंत्र
ശക്തി,सत्ता
ശക്തി ബന്ധം,सत्ता संबंधता
പ്രവേശന സമയം,प्रवेश काल
ഇൻപുട്ട് വേരിയബിൾ,प्रविष्ट चर
എണ്ണാവുന്ന,गणनीय
പരിസ്ഥിതി,परिवेश
"1.യുഗം, 2. യുഗം, 3. നിർദ്ദേശ നിമിഷം","1.ईपोच, 2. युग, 3. निर्देश क्षण"
EPRAM (ഫിനാൻസ് പ്രോഗ്രാമബിൾ റീഡ്-ഓൺലി മെമ്മറി),ईप्राम (वित्तोरण प्रोग्राम्य पठन मात्र स्मृति)
എപ്സിലോൺ കൺസ്ട്രക്റ്റർ,एपसिलॉन संवरक
സമനില,तुल्यकारक
ഉപകരണങ്ങൾ,उपस्कर
തുല്യതാ ക്ലാസ്,तुल्यता वर्ग
തുല്യമായ ബന്ധം,तुल्य संबंध
"1. വംശനാശം, 2. ഉന്മൂലനം","1.विलोपन, 2.मिटान"
പിശക് തിരുത്തൽ കോഡ്,त्रुटि संशोधन कूट
തെറ്റ് തിരുത്തൽ,त्रुटि संशोधन
പിശക് കണ്ടെത്തൽ,त्रुटि संसूचन
പിശക് കൈകാര്യം ചെയ്യൽ,त्रुटि प्रहस्तन
പിശക് സന്ദേശം,त्रुटि संदेश
പിശക് നിരക്ക്,त्रुटि दर
പിശക് വീണ്ടെടുക്കൽ,त्रुटि पुनर्डद्धार
പിശക് പേര്,त्रुटि नेमक
രക്ഷപ്പെടൽ ചിഹ്നം,पलायन संप्रतीक
ഇഥർനെറ്റ്,ईथरनेट
സംഭവം,घटना
ഇവന്റ് ചെയിൻ,घटना श्रृंखला
ഇവന്റ് നിയന്ത്രണം,घटना नियंत्रण
ഇവന്റ് കൗണ്ടർ,घटना गणक
ഒഴിവാക്കൽ കൈകാര്യം ചെയ്യൽ,अपवाद प्रहस्तन
എക്സ്ചേഞ്ച് ഡിസ്ക് സംഭരണം,विनिमय डिस्क भंडारण
ഒഴിവാക്കൽ,अपवर्जन
എക്സ്ക്ലൂസീവ് കൂടാതെ (x അല്ലെങ്കിൽ),अनन्य और (एक्स ऑर)
എക്സിക്യൂട്ടബിൾ പ്രോഗ്രാം,निष्पाद्य क्रमादेश
നിർവ്വഹണ പ്രസ്താവന,निष्पादन कथन
തിരഞ്ഞെടുത്ത തിരയൽ,चयनिक खोज
നിലവിലുള്ള,विदयमान
ഇഷ്യൂ,निर्गम
വിദഗ്ധ സംവിധാനം,विशेषज्ञ तंत्र
"1. എക്സ്പ്രഷൻ, 2. ആവിഷ്കാരം","1. अभिव्यक्ति, 2. व्यंजक"
വിപുലീകരിച്ച ഗ്രാഫിക്കൽ മാട്രിക്സ് (x g a),विस्तारित आलेखीय आव्यूह (एक्स जी ए)
വിപുലീകരിച്ച വ്യാവസായിക മാനദണ്ഡങ്ങൾ (EIS),विस्तारित औदयोगिक मानक (इ.आई.एस.)
ഓവർലോഡഡ് മെഷീൻ,अतिदेशित मशीन
വിപുലീകരിച്ച മെമ്മറി,विस्तारित स्मृति
"1. എക്സ്റ്റൻഡഡ് പ്രിസിഷൻ, 2. എക്സ്റ്റൻഡഡ് കൃത്യത","1.विस्तारित परिशुद्धता, 2.विस्तारित यर्थाथता"
"1.എക്സ്റ്റെൻഡഡ് സോർട്ടിംഗ്, 2.എക്സ്റ്റെൻഡഡ് സെപ്പറേഷൻ","1.विस्तारित छंटाी, 2. विस्तारित पृथक्करण"
സഹായത്തിനായി വിളിക്കുക,वाह्य आह्वान
ബാഹ്യ പിശക്,वाह्य त्रुटि
ബാഹ്യ പ്രവർത്തനം,वाह्य फलन
ബാഹ്യ തടസ്സം,वाह्य अंतरायन
"1. ബാഹ്യ മെമ്മറി, 2. ബാഹ്യ മെമ്മറി","1.वाह्य स्मृति, 2. वाह्य मेमोरी"
ബാഹ്യ മെമ്മറി,वाह्य स्मृति
ബാഹ്യ മോഡം,वाह्य मॉडेम
ബാഹ്യ റഫറൻസ്,वाह्य संदर्भ
ബാഹ്യ തിരയൽ,वाह्य खोज
ബാഹ്യ സംഭരണ ഉപകരണം,वाह्य भंडारण युक्ति
വേർതിരിച്ചെടുക്കൽ,निष्कर्षण
എക്സ്ട്രാപോളേഷൻ,बहिर्वेशन
പാനൽ പ്രതീക പ്രിന്റർ,फलक संप्रतीक मुद्रक
പരാജയപ്പെടാത്ത പ്രവർത്തനം,विफल-सुरक्षा संक्रिया
പരാജയതോത്,विफलता दर
പരാജയം ഡിസ്ചാർജ്,विफलता मुक्ति
തെറ്റായ കോഡ്,मिथ्या कूट
തെറ്റായ പിശക്,मिथ्या त्रुटि
"1.നിക്ഷേപം, 2.നിക്ഷേപ പോയിന്റുകൾ","1.निवेशाँक, 2. निवेश-अंक"
"1. ലക്കം, 2. ലക്കം നമ്പർ","1.निर्गताँक, 2. निर्गत-अंक"
"1. റെപ്ലിക്കേഷൻ I/O ഉപകരണം, 2. റെപ്ലിക്ക ഇൻപുട്ട് ഉപകരണം/ഔട്ട്‌പുട്ട്","1.प्रतिकृति आई/ ओ युक्ति, 2. प्रतिकृति निवेश युक्ति/निर्गम"
ദ്രുത ഫോർയർ ട്രാൻസ്ഫർ,द्रुत फौरिएर अन्तरण
മാരകമായ തെറ്റ്,घातक त्रुटि
തെറ്റ് കണ്ടെത്തൽ,दोष संसूचन
തെറ്റ് രോഗനിർണയം,दोष निदान
തെറ്റ് സഹിഷ്ണുത,दोष सहिष्णुता
ഫാക്സ്,फैक्स
ഫാക്സ് സന്ദേശം,फैक्स संदेश
എഫ് ഡിസി,एफ डी सी
ലക്ഷണം കണ്ടുപിടിക്കൽ,लक्षण संसूचन
ചക്രം നിറയ്ക്കുക,भरण चक्र
പുനർനിക്ഷേപം,पुनर्निवेश
"1.വിതരണക്കാരൻ, 2. പോഷകാഹാരം, 3. തീറ്റ","1.प्रदायक, 2.पोषक, 3.फीडर"
ഏതെങ്കിലും,आनयन
ഫിബൊനാച്ചിയുടെ കണ്ടെത്തൽ,फिबोनेकी खोज
ഫിബൊനാച്ചി സീക്വൻസ്,फिबोनेकी अनुक्रम
ഫിബൊനാച്ചി സീരീസ്,फिबोनेकी श्रेणी
ഫൈബർ ഒപ്റ്റിക്സ്,तंतु प्रकाशिकी
ഫിഡോ കെണി,फिडो जाल
പ്രദേശം,क्षेत्र
അഞ്ചാം തലമുറ കമ്പ്യൂട്ടർ,पंचम पीढ़ी कम्प्यूटर
"1. ഫയൽ, 2. ഫയൽ","1.संचिका, 2. फािल"
ഫയൽ ആക്സസ് രീതി,संचिका अभिगम विधि
ഫയൽ അലോക്കേഷൻ പട്ടിക,संचिका नियतन सारणी
ഫയൽ കംപ്രഷൻ,संचिका संपीडन
ഫയൽ പകർത്തൽ,संचिका प्रतिलिपिकरण
ഫയൽ കോൺഫിഗറേഷൻ,संचिका विन्यास
ഫയൽ ലയിപ്പിക്കുക,संचिका विलय
ഫയൽ വീണ്ടെടുക്കൽ,संचिका पुन:प्राप्ति
ഫയൽ സംഭരണം,संचिका भंडारण
ഫയൽ ഘടന,संचिका संरचना
ഫയൽ സിസ്റ്റം,संचिका तंत्र
ഫയൽ കൈമാറ്റം,संचिका अंतरण
ഫയൽ ട്രാൻസ്ഫർ പ്രോട്ടോക്കോൾ (FTP),फाील अंतरण प्रोटोकॉल (एफ टी पी)
ഫിൽട്ടർ,फिल्टर
അവസാന സ്ഥാനം,अंतिम स्थिति
തിരയുക,खोज
പരിമിത സംസ്ഥാന യന്ത്രം,परिमित अवस्था यंत्र
അഗ്നി മതിൽ,फायर वॉल
ഫേംവെയർ,फर्मवेयर
ആദ്യം വരുന്നവർക്ക് ആദ്യം നൽകുക,पहले आो पहले पाो
ആദ്യ തലമുറ കമ്പ്യൂട്ടർ,प्रथम पीढ़ी कंप्यूटर
ആദ്യ ഇൻപുട്ട് ആദ്യ ലക്കം (FIFO),प्रथम निवेश प्रथम निर्गम (फीफो )
ആദ്യ ഓർഡർ വാദം,प्रथम कोटि तर्क
ആദ്യ ഓർഡർ തത്വം,प्रथम कोटि सिद्धांत
നിശ്ചിത വിഭജനം,नियत विभाजन
അടയാളം,चिन्ह
ഫ്ലെക്സിബിൾ ഡിസ്ക്,नम्य डिस्क
ഫ്ലോപ്പി ഡിസ്ക്,फ्लॉपी डिस्क
ഫ്ലോപ്പി ഡിസ്ക് ഡ്രൈവ് (FDD),फ्लापी डिस्क चालन (एफ डी डी)
ഫ്ലോ ചാർട്ട്,प्रवाह संचित्र
നിയന്ത്രണം ഒഴുക്ക്,नियंत्रण प्रवाह
മുന്നേ,प्रधावन
ഫോൾഡർ,फोल्डर
ഫോണ്ട്,फाँट
ഫോണ്ട് കുടുംബം,फाँट परिवार
ബാഹ്യ കീ,वाह्य कुंजी
ഫോം,रूप
പ്രതീകാത്മക ഭാഷ,प्रतीकात्मक भाषा
പ്രതീകാത്മക രീതി,प्रतीकात्मक विधि
"1.ഫോർമാറ്റ്, 2.ഫോം","1.फॉरमैट, 2.आरूप"
ഡ്രോയിംഗ്,आरूपण
ഫോർട്രോൺ,फोरट्रॉन
"1.ഫോർട്രാൻ (ഒരു കമ്പ്യൂട്ടർ ഭാഷ) പ്രോഗ്രാം, 2. ഫോർട്രാൻ പ്രോഗ്രാമിംഗ്","1.फोरट्रॉन (एक कंप्यूटर भाषा) प्रोग्राम, 2.फोरट्रान क्रमादेशन"
ഫോർവേഡ് സ്ലാഷ്,अग्रतिर्यक स्लैश
നാലാം തലമുറ കമ്പ്യൂട്ടർ,चतुर्थ पीढ़ी कंप्यूटर
വിഭാഗം,खंड
ഫ്രെയിം,फ्रेम
"1.സ്വതന്ത്ര വല, 2.സൗജന്യ വല","1.मुक्त नेट, 2.मुक्त जाल"
സ്വതന്ത്ര സോഫ്റ്റ്‌വെയർ ട്രസ്റ്റ്,मुक्त सॉफ्टवेयर न्यास
സൗജന്യ സംഭരണം,मुक्त भंडारण
ഫ്രീവെയർ,फ्रीवेयर
മുന്നിൽ,अग्रांत
"1.ഫ്രണ്ട് പാനൽ, 2.ഫ്രണ്ട് പാനൽ","1.अग्र पट्टिका, 2.अग्र पैनल"
"1. പ്രവർത്തനങ്ങൾ, 2. പ്രവർത്തനം","1.प्रकार्य, 2. फलन"
ഫംഗ്ഷൻ കീ,प्रकार्य कुंजी
ഫംഗ്ഷൻ റഫറൻസ്,प्रकार्य संदर्भ
പ്രവർത്തനപരമായ ആശ്രിതത്വം,प्रकार्यात्मक निर्भरता
ഫംഗ്ഷൻ ടെസ്റ്റ്,प्रकार्य परीक्षण
"1.അവ്യക്തമായ യുക്തി, 2.അവ്യക്തമായ യുക്തി","1.अस्पष्ट तर्क, 2.फज्जी लॉजिक"
"1. ഫസി സെറ്റ്, 2. ഫസി സെറ്റ്","1.अस्पष्ट समुच्चय, 2.फज्जी सेट"
നേട്ടം,लब्धि
കായിക വൃക്ഷം,खेल तरू
ഇടവേള പ്രതീകം,अंतराल संप्रतीक
മാലിന്യം,कचरा
മാലിന്ന്യ ശേഖരണം,कचरा संग्रहण
മാലിന്ന്യ ശേഖരണം,कचरा संग्रहण
ട്രാഷ് ഔട്ട് ഇൻസൈഡ് ട്രാഷ് (ജിഗോ),कचरा अंदर कचरा बाहर (गीगो)
വാതിൽ,द्वार
വാതിൽ പാത (നെറ്റ്‌വർക്കിന്റെ പശ്ചാത്തലത്തിൽ),दवार पथ (नेटवर्क के संदर्भ में)
സമഗ്രമായ പ്രോഗ്രാം,व्यापक क्रमादेश
സമഗ്രമായ പ്രോഗ്രാം,व्यापक क्रमादेश
വിശാലമായ ഉദ്ദേശ്യ കമ്പ്യൂട്ടർ,व्यापक उद्देश्य कंप्यूटर
പൊതു ഉദ്ദേശ്യ കമ്പ്യൂട്ടർ,व्यापकीकृत उद्देश्य कंप्यूटर
പൊതു രജിസ്റ്റർ,सामान्य पंजी
പൊതുവൽക്കരണം,व्यापकीकरण
പൊതുവൽക്കരണം,व्यापकीकरण
വിശാലമായ വസ്തു ഭാഷ,व्यापक उद्देशीय भाषा
ബ്രോഡ് പർപ്പസ് ഓപ്പറേഷൻ സിസ്റ്റം,व्यापक उद्देश्य संक्रिया प्रणाली
സമഗ്രമായ ഉദ്ദേശ്യ രജിസ്റ്റർ,व्यापक उद्देश्य पंजी
പിശക് സൃഷ്ടിച്ചു,जनित त्रुटि
പ്രത്യുൽപാദന പ്രവർത്തനം,जनन प्रकार्य
ക്ലാസ് ജനറൽ,वर्ग सामान्य
ക്ലാസ് ഫംഗ്ഷൻ,वर्ग प्रकार्य
പൊതു ക്ലാസ് പേര്,सामान्य वर्गनाम
ജിഗോ,गीगो
"1. യൂണിവേഴ്സൽ, 2. ഗ്ലോബൽ","1.सार्वत्रिक, 2.वैश्विक"
സാർവത്രിക കോഡ്,सार्वत्रिक कूट
സാർവത്രിക ലോക്ക്,सार्वत्रिक ताला
"1. യൂണിവേഴ്സൽ നെറ്റ്വർക്ക്, 2. യൂണിവേഴ്സൽ നെറ്റ്വർക്ക്","1.सार्वत्रिक जालक्रम, 2.सार्वत्रिक नेटवर्क"
സാർവത്രിക ശൃംഖല,सार्वत्रिक जालक्रम
"1. ലോക ഉപയോക്താവ്, 2. പൊതു ഉപയോക്താവ്, 3. സാർവത്രിക ഉപയോക്താവ്","1.विश्व प्रयोक्ता, 2.सार्व प्रयोक्ता, 3.सार्वत्रिक प्रयोगकर्ता"
ആഗോള വേരിയബിളുകൾ,सार्वत्रिक चर
"1.ആഗോളവൽക്കരണം, 2.ആഗോളവൽക്കരണം","1.वैश्वीकरण, 2.भूमण्डलीकरण"
ഗോഫർ (ഒരു നെറ്റ്‌വർക്കിലെ ഒരു പ്രോട്ടോക്കോൾ),गोफर (नेटवर्क में एक प्रोटोकॉल)
ഗോഫർ റിസപ്റ്റർ,गोफर ग्राही
"1. ഗോഫർ സെർവർ, 2. ഗോഫർ സെർവർ","1.गोफर परिसेवक, 2.गोफर सर्वर"
ഗോഫർ സൈറ്റ്,गोफर स्थल
ഗോഫർ സ്പേസ്,गोफर स्पेस
ആകർഷകമായ അപചയം,आकर्षक निम्नीकरण
വ്യാകരണ പരിഷ്കരണം,व्याकरण संशोधक
വ്യാകരണ ഹോട്ടി എക്‌സ്‌ട്രോവേർഷൻ,व्याकरण आकर्षक बहिगर्मन
"1.ആകെ മൊത്തം, 2.മഹത്തായ ആകെ, 3.ആകെ","1.कुल जोड़, 2.महायोग, 3.कुल योग"
"1.ഗ്രാഫ്, 2.ഗ്രാഫ്","1.ग्राफ, 2.आलेख"
"1.ഗ്രാഫ് നോട്ടേഷൻ, 2.ഗ്രാഫ് നോട്ടേഷൻ","1.ग्राफ अंकन, 2.आलेख अंकन"
"1. ഗ്രാഫിക് പ്രതീകങ്ങൾ, 2. ഗ്രാഫിക്കൽ പ്രതീകങ്ങൾ","1.ग्राफीय संप्रतीक, 2.आलेखीय संप्रतीक"
"1. ഗ്രാഫിക്കൽ കൺട്രോളർ, 2. ഗ്രാഫിക്കൽ കൺട്രോളർ","1.ग्राफीय नियंत्रक, 2.आलेखीय नियंत्रक"
"1. ഗ്രാഫിക്കൽ ഡാറ്റ ഘടന, 2. ഗ്രാഫിക്കൽ ഡാറ്റ ഘടന","1.ग्राफीय आंकड़ा संरचना, 2.आलेखीय आंकड़ा संरचना"
"1. ഗ്രാഫിക് ഡിസ്പ്ലേ പ്രോഗ്രാം, 2. ഗ്രാഫിക്കൽ ഡിസ്പ്ലേ പ്രോഗ്രാം","1.ग्राफीय प्रदर्श क्रमादेश, 2.आलेखीय प्रदर्श क्रमादेश"
"1.ഗ്രാഫിക്കൽ ഡിസ്പ്ലേ റെസല്യൂഷൻ, 2.ഗ്രാഫിക് ഡിസ്പ്ലേ","1.ग्राफीय प्रदर्श विभेदन, 2.आलेख प्रदर्श"
"1. ഗ്രാഫിക് ഭാഷ, 2. ഗ്രാഫിക്കൽ ഭാഷ","1.ग्राफीय भाषा, 2.आलेखीय भाषा"
