Gujarati,Punjabi
"1.ડેટા-બેઝ, 2.ડેટાબેઝ","1.ਡਾਟਾ-ਬੇਸ, 2.ਡਾਟਾਬੇਸ"
ડેટા ફ્રેગમેન્ટેશન,ਡਾਟਾ ਫਰੈਗਮੈਂਟੇਸ਼ਨ
"1. ડેટા બસ, 2. ડેટા બસ","1. ਡਾਟਾ ਬੱਸ, 2. ਡਾਟਾ ਬੱਸ"
"1.ડેટા કેરિયર, 2.ડેટા કેરિયર","1.ਡਾਟਾ ਕੈਰੀਅਰ, 2.ਡਾਟਾ ਕੈਰੀਅਰ"
ડેટા સેલ,ਡਾਟਾ ਸੈੱਲ
"1.ડેટા સિસ્ટમ, 2.ડેટા ચેનલ","1.ਡਾਟਾ ਸਿਸਟਮ, 2.ਡਾਟਾ ਚੈਨਲ"
ડેટા કમ્યુનિકેશન,ਡਾਟਾ ਸੰਚਾਰ
"1.ડેટા કમ્પ્રેશન, 2.ડેટા કમ્પ્રેશન","1.ਡਾਟਾ ਕੰਪਰੈਸ਼ਨ, 2.ਡਾਟਾ ਕੰਪਰੈਸ਼ਨ"
માહિતી ક્ષેત્ર,ਡਾਟਾ ਖੇਤਰ
ડેટા ફાઇલ,ਡਾਟਾ ਫਾਇਲ
"1. ડેટા ફ્લો, 2. ડેટા ફ્લો","1. ਡੇਟਾ ਫਲੋ, 2. ਡੇਟਾ ਫਲੋ"
"1.ડેટા ફ્લોચાર્ટ, 2.ચાર્ટ","1.ਡਾਟਾ ਫਲੋਚਾਰਟ, 2.ਚਾਰਟ"
ડેટા વંશવેલો,ਡਾਟਾ ਲੜੀ
ડેટા સ્તર,ਡਾਟਾ ਪੱਧਰ
"1.ડેટા કલેક્શન, 2.ડેટા લાઇબ્રેરી","1.ਡਾਟਾ ਕਲੈਕਸ਼ਨ, 2.ਡਾਟਾ ਲਾਇਬ੍ਰੇਰੀ"
ડેટા લિંક સ્તર,ਡਾਟਾ ਲਿੰਕ ਪਰਤ
ડેટા લિંક લેયર (DLL),ਡਾਟਾ ਲਿੰਕ ਲੇਅਰ (DLL)
"1.ડેટા મેનેજમેન્ટ, 2.ડેટા મેનેજમેન્ટ","1.ਡਾਟਾ ਪ੍ਰਬੰਧਨ, 2.ਡਾਟਾ ਪ੍ਰਬੰਧਨ"
"1.ડેટા ગણતરી, 2.ડેટા ગણતરી","1.ਡਾਟਾ ਗਣਨਾ, 2.ਡਾਟਾ ਗਣਨਾ"
ડેટા પ્રોસેસિંગ લેંગ્વેજ (DML),ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ ਭਾਸ਼ਾ (DML)
ડેટા મોડેમ ડેટા મોડેમ,ਡਾਟਾ ਮਾਡਮ ਡਾਟਾ ਮਾਡਮ
"1.ડેટા ફેરફાર, 2.ડેટા ફેરફાર","1.ਡਾਟਾ ਸੋਧ, 2.ਡਾਟਾ ਸੋਧ"
"1.ડેટા નેટવર્ક, 2.ડેટા નેટવર્ક","1.ਡਾਟਾ ਨੈੱਟਵਰਕ, 2.ਡਾਟਾ ਨੈੱਟਵਰਕ"
"1.ડેટા ઓપરેશન, 2.ડેટા ઓપરેશન","1.ਡਾਟਾ ਓਪਰੇਸ਼ਨ, 2.ਡਾਟਾ ਓਪਰੇਸ਼ਨ"
"1.ડેટા સંસ્થાઓ, 2. ડેટા સંસ્થા","1. ਡਾਟਾ ਸੰਸਥਾਵਾਂ, 2. ਡਾਟਾ ਸੰਗਠਨ"
"1. ડેટા આઉટપુટ, 2. ડેટા આઉટપુટ","1. ਡਾਟਾ ਆਉਟਪੁੱਟ, 2. ਡਾਟਾ ਆਉਟਪੁੱਟ"
"1.ડેટા પાથ, 2.ડેટા પાથ","1.ਡਾਟਾ ਪਾਥ, 2.ਡਾਟਾ ਪਾਥ"
"1. ડેટા તૈયારી, 2. ડેટા તૈયારી","1. ਡੇਟਾ ਤਿਆਰੀ, 2. ਡੇਟਾ ਤਿਆਰੀ"
"1.ડેટા ગોપનીયતા, 2.ડેટા ગોપનીયતા","1.ਡਾਟਾ ਗੋਪਨੀਯਤਾ, 2.ਡਾਟਾ ਗੋਪਨੀਯਤਾ"
"1. ડેટા પ્રોસેસર, 2. ડેટા પ્રોસેસર","1. ਡੇਟਾ ਪ੍ਰੋਸੈਸਰ, 2. ਡੇਟਾ ਪ੍ਰੋਸੈਸਰ"
"1.ડેટા પ્રોટેક્શન, 2.ડેટા પ્રોટેક્શન","1.ਡਾਟਾ ਪ੍ਰੋਟੈਕਸ਼ਨ, 2.ਡਾਟਾ ਪ੍ਰੋਟੈਕਸ਼ਨ"
"1. ડેટા રેકોર્ડ, 2. ડેટા રેકોર્ડ","1. ਡਾਟਾ ਰਿਕਾਰਡ, 2. ਡਾਟਾ ਰਿਕਾਰਡ"
"1. ડેટા પુનઃપ્રાપ્તિ, 2. ડેટા પુનઃપ્રાપ્તિ","1. ਡਾਟਾ ਪ੍ਰਾਪਤੀ, 2. ਡਾਟਾ ਪ੍ਰਾਪਤੀ"
"1. ડેટા રૂટીન, 2. ડેટા રૂટીન","1. ਡੇਟਾ ਰੁਟੀਨ, 2. ਡੇਟਾ ਰੁਟੀਨ"
"1.ડેટા સુરક્ષા, 2.ડેટા સુરક્ષા","1.ਡਾਟਾ ਸੁਰੱਖਿਆ, 2.ਡਾਟਾ ਸੁਰੱਖਿਆ"
"1.ડેટા સેટ, 2. ડેટા સેટ","1.ਡਾਟਾ ਸੈੱਟ, 2. ਡਾਟਾ ਸੈੱਟ"
"1.ડેટા સિગ્નલ, 2.ડેટા સિગ્નલ","1.ਡਾਟਾ ਸਿਗਨਲ, 2.ਡਾਟਾ ਸਿਗਨਲ"
"1. ડેટા એક્સેસ, 2. ડેટા એક્સેસ","1. ਡੇਟਾ ਐਕਸੈਸ, 2. ਡੇਟਾ ਐਕਸੈਸ"
"1.ડેટા સ્ત્રોત, 2.ડેટા સ્ત્રોત","1.ਡਾਟਾ ਸਰੋਤ, 2.ਡਾਟਾ ਸਰੋਤ"
"1.ડેટા સ્પષ્ટીકરણ, 2. ડેટા સ્પષ્ટીકરણ","1.ਡਾਟਾ ਨਿਰਧਾਰਨ, 2. ਡਾਟਾ ਨਿਰਧਾਰਨ"
"1.ડેટા સેન્ટર, 2.ડેટા સેન્ટર","1.ਡਾਟਾ ਸੈਂਟਰ, 2.ਡਾਟਾ ਸੈਂਟਰ"
"1. ડેટા સ્ટોરેજ, 2. ડેટા સ્ટોરેજ","1. ਡੇਟਾ ਸਟੋਰੇਜ, 2. ਡੇਟਾ ਸਟੋਰੇਜ"
માહિતી સંગ્રહ માળખું,ਡਾਟਾ ਸਟੋਰੇਜ਼ ਬਣਤਰ
"1. ડેટા સ્ટ્રક્ચર, 2. ડેટા સ્ટ્રક્ચર","1. ਡਾਟਾ ਸਟ੍ਰਕਚਰ, 2. ਡਾਟਾ ਸਟ੍ਰਕਚਰ"
"1.ડેટા સ્વિચ, 2.ડેટા સ્વિચ","1.ਡਾਟਾ ਸਵਿੱਚ, 2.ਡਾਟਾ ਸਵਿੱਚ"
"1.ડેટા ટેબલ, 2.ડેટા ટેબલ","1.ਡਾਟਾ ਸਾਰਣੀ, 2.ਡਾਟਾ ਸਾਰਣੀ"
"1.ડેટા અંત, 2. ડેટા અંત","1.ਡਾਟਾ ਅੰਤ, 2. ਡਾਟਾ ਖਤਮ"
"1. ડેટા ટ્રાન્સક્રિપ્શન, 2. ડેટા ટ્રાન્સક્રિપ્શન","1. ਡੇਟਾ ਟ੍ਰਾਂਸਕ੍ਰਿਪਸ਼ਨ, 2. ਡੇਟਾ ਟ੍ਰਾਂਸਕ੍ਰਿਪਸ਼ਨ"
"1.ડેટા ટ્રાન્સફર, 2. ડેટા ટ્રાન્સફર","1.ਡਾਟਾ ਟ੍ਰਾਂਸਫਰ, 2. ਡਾਟਾ ਸੰਚਾਰ"
"1. ડેટા ટ્રાન્સમિશન, 2. ડેટા ટ્રાન્સમિશન","1. ਡਾਟਾ ਸੰਚਾਰ, 2. ਡਾਟਾ ਸੰਚਾਰ"
"1.ડેટા ટ્રાન્સમિશન સિસ્ટમ, 2.ડેટા ટ્રાન્સમિશન સિસ્ટમ","1.ਡਾਟਾ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਸਿਸਟਮ, 2.ਡਾਟਾ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਸਿਸਟਮ"
"1. ડેટા ફોર્મેટ, 2. ડેટા ફોર્મેટ","1. ਡੇਟਾ ਫਾਰਮੈਟ, 2. ਡੇਟਾ ਫਾਰਮੈਟ"
"1. ડેટા યુનિટ, 2. ડેટા યુનિટ","1. ਡੇਟਾ ਯੂਨਿਟ, 2. ਡੇਟਾ ਯੂਨਿਟ"
"1.ડેટા માન્યતા, 2.ડેટા માન્યતા","1.ਡਾਟਾ ਪ੍ਰਮਾਣਿਕਤਾ, 2.ਡਾਟਾ ਪ੍ਰਮਾਣਿਕਤਾ"
ડેટાબેઝ,ਡਾਟਾਬੇਸ
ડેટાબેઝ વહીવટ,ਡਾਟਾਬੇਸ ਪ੍ਰਸ਼ਾਸਨ
ડેટાબેઝ ડિઝાઇન,ਡਾਟਾਬੇਸ ਡਿਜ਼ਾਈਨ
ડેટાબેઝ મેનેજમેન્ટ સિસ્ટમ,ਡਾਟਾਬੇਸ ਪ੍ਰਬੰਧਨ ਸਿਸਟਮ
"1.ડેટાગ્રેવ, 2.ડેટાગ્રેવ","1.ਡਾਟਾਗਰੇਵ, 2.ਡਾਟਾਗਰੇਵ"
"1. ડેટમ, 2. ડેટા","1. ਡਾਟਾ, 2. ਡਾਟਾ"
"1.નિષ્ક્રિય ઝોન, 2.નિષ્ક્રિય ઝોન","1.ਅਕਿਰਿਆਸ਼ੀਲ ਜ਼ੋਨ, 2.ਅਕਿਰਿਆਸ਼ੀਲ ਜ਼ੋਨ"
મડાગાંઠ,ਡੈੱਡਲਾਕ
ડેડલોક નિવારણ,ਡੈੱਡਲਾਕ ਦੀ ਰੋਕਥਾਮ
ફોલ્ટ ક્લિયરન્સ,ਨੁਕਸ ਕਲੀਅਰੈਂਸ
"1. જજમેન્ટ સેલ, 2. જજમેન્ટ બોક્સ","1. ਜੱਜਮੈਂਟ ਸੈੱਲ, 2. ਜੱਜਮੈਂਟ ਬਾਕਸ"
નિર્ણય લેવાની પ્રક્રિયા,ਫੈਸਲਾ ਲੈਣ ਦੀ ਪ੍ਰਕਿਰਿਆ
નિર્ણય સપોર્ટ સિસ્ટમ,ਫੈਸਲੇ ਦਾ ਸਮਰਥਨ ਸਿਸਟਮ
નિર્ણય વૃક્ષ,ਫੈਸਲੇ ਦਾ ਰੁੱਖ
"1. ડીકોડર, 2. ડીકોડર","1. ਡੀਕੋਡਰ, 2. ਡੀਕੋਡਰ"
વિસર્જન સિદ્ધાંત,ਭੰਗ ਅਸੂਲ
ડીકોડિંગ,ਡੀਕੋਡਿੰਗ
સમર્પિત સિસ્ટમ,ਸਮਰਪਿਤ ਸਿਸਟਮ
સમર્પિત પ્રેસ,ਸਮਰਪਿਤ ਪ੍ਰੈਸ
ઇમ્યુનાઇઝેશન ડેટા નેટવર્ક (DDN),ਇਮਯੂਨਾਈਜ਼ੇਸ਼ਨ ਡਾਟਾ ਨੈੱਟਵਰਕ (DDN)
રોગપ્રતિકારક માહિતી સિસ્ટમ,ਇਮਿਊਨਾਈਜ਼ੇਸ਼ਨ ਜਾਣਕਾਰੀ ਸਿਸਟਮ
એકીકરણ,ਏਕੀਕਰਣ
વિલંબ,ਦੇਰੀ
વિલંબ કાઉન્ટર,ਦੇਰੀ ਕਾਊਂਟਰ
વિલંબ સમય,ਦੇਰੀ ਦਾ ਸਮਾਂ
"1.કાઢી નાખો, 2.કાઢી નાખો","1.ਮਿਟਾਓ, 2.ਮਿਟਾਓ"
કાઢી નાખવાનો રેકોર્ડ,ਮਿਟਾਉਣ ਦਾ ਰਿਕਾਰਡ
સીમાંકક,ਡੀਲੀਮੀਟਰ
ડેલ્ટા મોડ્યુલેશન,ਡੈਲਟਾ ਮੋਡੂਲੇਸ਼ਨ
વિનંતી પાનું,ਮੰਗ ਪੰਨਾ
કામગીરી,ਪ੍ਰਦਰਸ਼ਨ
ડિમોડ્યુલેશન,demodulation
વી-મલ્ટિપ્લેક્સર,ਵਿ- ਮਲਟੀਪਲੈਕਸਰ
વિકૃતિકરણ,ਅਸਧਾਰਨਕਰਨ
"1. ઘનતા, 2. ઘનતા","1. ਘਣਤਾ, 2. ਘਣਤਾ"
"1. અવલંબન, 2. અવલંબન","1. ਨਿਰਭਰਤਾ, 2. ਨਿਰਭਰਤਾ"
આશ્રિત એકમ,ਨਿਰਭਰ ਇਕਾਈ
કતાર,ਕਤਾਰ
"1. ડિરેફરન્સ, 2. ડિરેફરન્સ","1. ਸਤਿਕਾਰ, 2. ਸਤਿਕਾਰ"
વ્યુત્પન્ન વૃક્ષ,ਲਿਆ ਰੁੱਖ
વ્યુત્પન્ન ક્ષેત્ર,ਪ੍ਰਾਪਤ ਖੇਤਰ
ઉતરતા ક્રમ,ਘਟਦੀ ਲੜੀ
ડિઝાઇન,ਡਿਜ਼ਾਈਨ
ડેસ્ક કેલ્ક્યુલેટર,ਡੈਸਕ ਕੈਲਕੁਲੇਟਰ
ડેસ્કટોપ કમ્પ્યુટર્સ,ਡੈਸਕਟਾਪ ਕੰਪਿਊਟਰ
ડેસ્કટોપ પ્રસ્તુતિ,ਡੈਸਕਟਾਪ ਪੇਸ਼ਕਾਰੀ
ડેસ્કટોપ પ્રકાશન,ਡੈਸਕਟਾਪ ਪ੍ਰਕਾਸ਼ਨ
ડેસ્કટોપ વિડિઓ,ਡੈਸਕਟਾਪ ਵੀਡੀਓ
ગંતવ્ય સરનામું,ਮੰਜ਼ਿਲ ਪਤਾ
"1. ડિસ્ટ્રોયર, 2. ડિસ્ટ્રોયર","1. ਵਿਨਾਸ਼ਕਾਰੀ, 2. ਵਿਨਾਸ਼ਕਾਰੀ"
નિર્ધારિત ઓટોમેટા,ਨਿਰਣਾਇਕ ਆਟੋਮੇਟਾ
વિકાસકર્તા,ਵਿਕਾਸਕਾਰ
વિકાસ પ્રણાલી,ਵਿਕਾਸ ਸਿਸਟਮ
ઉપકરણ,ਜੰਤਰ
ઉપકરણ નિયંત્રણ એકમ,ਜੰਤਰ ਕੰਟਰੋਲ ਯੂਨਿਟ
ઉપકરણ નિયંત્રક,ਜੰਤਰ ਕੰਟਰੋਲਰ
ઉપકરણ સંચાલન,ਜੰਤਰ ਪ੍ਰਬੰਧਨ
ઉપકરણ મોડ,ਜੰਤਰ ਮੋਡ
નિદાન,ਨਿਦਾਨ
ડાયગ્નોસ્ટિક સિસ્ટમ,ਡਾਇਗਨੌਸਟਿਕ ਸਿਸਟਮ
"1. ડાયગ્નોસ્ટિક્સ, 2. ડાયગ્નોસ્ટિક્સ","1. ਡਾਇਗਨੌਸਟਿਕਸ, 2. ਡਾਇਗਨੌਸਟਿਕਸ"
રેખાકૃતિ,ਚਿੱਤਰ
ડાયલ,ਡਾਇਲ
ડાયલ લાઇન,ਡਾਇਲ ਲਾਈਨ
ડાયલ ટોન,ਡਾਇਲ ਟੋਨ
ડાયલ અપ,ਡਾਇਲ ਕਰੋ
"1. સંવાદ, 2. વાતચીત","1. ਵਾਰਤਾਲਾਪ, 2. ਗੱਲਬਾਤ"
વાતચીત ખંડ,ਗੱਲਬਾਤ ਕਮਰੇ
ડાયલઅપ મોડેમ,ਡਾਇਲਅੱਪ ਮਾਡਮ
વીમા,ਬੀਮਾ
શબ્દકોશ,ਸ਼ਬਦਕੋਸ਼
"1. વિભેદક, 2. તફાવત","1. ਅੰਤਰ, 2. ਭਿੰਨਤਾ"
સંખ્યાત્મક,ਸੰਖਿਆਤਮਕ
ડિજિટલ સિસ્ટમ,ਡਿਜ਼ੀਟਲ ਸਿਸਟਮ
ડિજિટલ સર્કિટ,ਡਿਜ਼ੀਟਲ ਸਰਕਟ
ડિજિટલ કમ્પ્યુટર,ਡਿਜ਼ੀਟਲ ਕੰਪਿਊਟਰ
"1.ડિજિટલ ડેટા, 2.ડિજિટલ ડેટા","1.ਡਿਜੀਟਲ ਡੇਟਾ, 2.ਡਿਜੀਟਲ ਡੇਟਾ"
ડિજિટલ સુવિધા,ਡਿਜੀਟਲ ਸਹੂਲਤ
ડિજિટલ ફિલ્ટર,ਡਿਜ਼ੀਟਲ ਫਿਲਟਰ
ડિજિટલ પુસ્તકાલય,ਡਿਜੀਟਲ ਲਾਇਬ੍ਰੇਰੀ
ડિજિટલ મોડ્યુલેશન,ਡਿਜ਼ੀਟਲ ਮੋਡੂਲੇਸ਼ਨ
"1. ડિજિટલ ડિસ્પ્લે, 2. ડિજિટલ મોનિટર","1. ਡਿਜੀਟਲ ਡਿਸਪਲੇ, 2. ਡਿਜੀਟਲ ਮਾਨੀਟਰ"
ડિજિટલ છબી,ਡਿਜ਼ੀਟਲ ਚਿੱਤਰ
"1. ડિજિટલ હસ્તાક્ષર, 2. ડિજિટલ હસ્તાક્ષર","1. ਡਿਜੀਟਲ ਦਸਤਖਤ, 2. ਡਿਜੀਟਲ ਦਸਤਖਤ"
ડિજિટલ સ્વીચ,ਡਿਜ਼ੀਟਲ ਸਵਿੱਚ
ડિજિટલ એનાલોગ કન્વર્ટર,ਡਿਜੀਟਲ ਐਨਾਲਾਗ ਕਨਵਰਟਰ
ડિજિટાઇઝેશન,ਡਿਜੀਟਾਈਜ਼ੇਸ਼ਨ
ડિજિટાઇઝેશન,ਡਿਜੀਟਾਈਜ਼ੇਸ਼ਨ
ડિજિટાઇઝર,ਡਿਜੀਟਾਈਜ਼ਰ
ડાયોડ,ਡਾਇਓਡ
પ્રથમ નજરે,ਪਹਿਲੀ ਨਜ਼ਰ
સીધું સરનામું,ਸਿੱਧਾ ਪਤਾ
સીધું રૂપાંતર,ਸਿੱਧਾ ਪਰਿਵਰਤਨ
સીધું જોડાણ,ਸਿੱਧੀ ਜੋੜੀ
"1. ડાયરેક્ટ મેમરી એક્સેસ, 2. ડાયરેક્ટ મેમરી એક્સેસ (DMA)","1. ਡਾਇਰੈਕਟ ਮੈਮੋਰੀ ਐਕਸੈਸ, 2. ਡਾਇਰੈਕਟ ਮੈਮੋਰੀ ਐਕਸੈਸ (DMA)"
ડાયરેક્ટ મેમરી એક્સેસ (DMA),ਡਾਇਰੈਕਟ ਮੈਮੋਰੀ ਐਕਸੈਸ (DMA)
સીધી પદ્ધતિ,ਸਿੱਧੀ ਵਿਧੀ
દિશાઓ,ਨਿਰਦੇਸ਼
ડિરેક્ટરી,ਡਾਇਰੈਕਟਰੀ
"1. ડિરેક્ટરી સર્વર, 2. ડિરેક્ટરી સર્વર","1. ਡਾਇਰੈਕਟਰੀ ਸਰਵਰ, 2. ਡਾਇਰੈਕਟਰੀ ਸਰਵਰ"
ડિરેક્ટરી સેવા,ਡਾਇਰੈਕਟਰੀ ਸੇਵਾ
અસમર્થ,ਅਸਮਰੱਥ
નિષ્ક્રિય સંકેત,ਅਸਮਰੱਥ ਸਿਗਨਲ
"1. ડિસ્કનેક્શન, 2. ડિસ્કનેક્શન","1. ਡਿਸਕਨੈਕਸ਼ਨ, 2. ਡਿਸਕਨੈਕਸ਼ਨ"
"1. અલગ, 2. અલગ","1. ਵੱਖਰਾ, 2. ਵੱਖਰਾ"
"1. ડિસ્ક, 2. ડિસ્ક","1. ਡਿਸਕ, 2. ਡਿਸਕ"
"1. ડિસ્ક સરનામું, 2. ડિસ્ક સરનામું","1. ਡਿਸਕ ਪਤਾ, 2. ਡਿਸਕ ਪਤਾ"
"1. ડિસ્ક એરે, 2. ડિસ્ક એરે","1. ਡਿਸਕ ਐਰੇ, 2. ਡਿਸਕ ਐਰੇ"
"1. ડિસ્ક ક્ષમતા, 2. ડિસ્ક ક્ષમતા","1. ਡਿਸਕ ਸਮਰੱਥਾ, 2. ਡਿਸਕ ਸਮਰੱਥਾ"
"1. ડિસ્ક ડ્રાઈવર, 2. ડિસ્ક ડ્રાઈવ","1. ਡਿਸਕ ਡਰਾਈਵਰ, 2. ਡਿਸਕ ਡਰਾਈਵ"
ડિસ્ક ફાઇલ,ਡਿਸਕ ਫਾਈਲ
"1. ડિસ્ક મેમરી, 2. ડિસ્ક મેમરી, 3. ડિસ્ક મેમરી, 4. ડિસ્ક મેમરી","1. ਡਿਸਕ ਮੈਮੋਰੀ, 2. ਡਿਸਕ ਮੈਮੋਰੀ, 3. ਡਿਸਕ ਮੈਮੋਰੀ, 4. ਡਿਸਕ ਮੈਮੋਰੀ"
ડિસ્ક ઓપરેટિંગ સિસ્ટમ (DoS),ਡਿਸਕ ਓਪਰੇਟਿੰਗ ਸਿਸਟਮ (DoS)
ડિસ્ક પેકેજ,ਡਿਸਕ ਪੈਕੇਜ
"1.ચક્રિકા સર્વર, 2.ડિસ્ક સર્વર","1. ਚੱਕਰਿਕਾ ਸਰਵਰ, 2. ਡਿਸਕ ਸਰਵਰ"
"1. ડિસ્ક સંગ્રહ, 2. ડિસ્ક સંગ્રહ","1. ਡਿਸਕ ਸਟੋਰੇਜ, 2. ਡਿਸਕ ਸਟੋਰੇਜ"
ડિસ્કેટ,ਡਿਸਕੇਟ
ડિસ્પ્લે ફાઇલ,ਡਿਸਪਲੇ ਫਾਇਲ
પ્રદર્શિત છબી,ਡਿਸਪਲੇ ਚਿੱਤਰ
નિકાલ,ਨਿਪਟਾਰੇ
અંતર,ਦੂਰੀ
અંતર કાર્ય,ਦੂਰੀ ਫੰਕਸ਼ਨ
વિકૃતિ,ਵਿਗਾੜ
વિતરિત,ਡਿਲੀਵਰ ਕੀਤਾ
વિતરિત ડેટા,ਵੰਡਿਆ ਡਾਟਾ
વિતરિત સર્વર,ਵੰਡਿਆ ਸਰਵਰ
"1.વિતરિત સિસ્ટમ, 2.વિતરિત સિસ્ટમ","1.ਡਿਸਟ੍ਰੀਬਿਊਟਡ ਸਿਸਟਮ, 2.ਡਿਸਟ੍ਰੀਬਿਊਟਡ ਸਿਸਟਮ"
વિતરક,ਵਿਤਰਕ
દસ્તાવેજ,ਦਸਤਾਵੇਜ਼
દસ્તાવેજ અધિકૃત,ਪ੍ਰਮਾਣਿਤ ਦਸਤਾਵੇਜ਼
"1. ડોક્યુમેન્ટ વિન્ડો, 2. ડોક્યુમેન્ટ વિન્ડો","1. ਦਸਤਾਵੇਜ਼ ਵਿੰਡੋ, 2. ਦਸਤਾਵੇਜ਼ ਵਿੰਡੋ"
દસ્તાવેજીકરણ,ਦਸਤਾਵੇਜ਼
"ડોમેન, ડોમેન","ਡੋਮੇਨ, ਡੋਮੇਨ"
ડોમેન નામ,ਡੋਮੇਨ ਨਾਮ
"1. ડોટ મેટ્રિક્સ પ્રિન્ટર, 2. ડોટ મેટ્રિક્સ પ્રિન્ટર","1. ਡਾਟ ਮੈਟ੍ਰਿਕਸ ਪ੍ਰਿੰਟਰ, 2. ਡਾਟ ਮੈਟ੍ਰਿਕਸ ਪ੍ਰਿੰਟਰ"
"નીચે, નીચે","ਹੇਠਾਂ, ਹੇਠਾਂ"
"1.અવલિંક, 2.ચોરસ","1. ਅਵਲਿੰਕ, 2. ਵਰਗ"
ડાઉનલોડ કરો,ਡਾਊਨਲੋਡ ਕਰੋ
ડાઉનલોડ સમય,ਡਾਊਨਲੋਡ ਕਰਨ ਦਾ ਸਮਾਂ
ટ્રેક્શન,ਖਿੱਚ
DRAM (ડાયનેમિક રેમ),DRAM (ਡਾਇਨਾਮਿਕ ਰੈਮ)
વહેણ,ਰਨਆਫ
ડ્રાઈવર,ਡਰਾਈਵਰ
પાંદડા,ਪੱਤੇ
ડ્રોપ લિસ્ટ બોક્સ,ਡ੍ਰੌਪ ਲਿਸਟ ਬਾਕਸ
ડ્રમ ડ્રાઇવ,ਡਰੱਮ ਡਰਾਈਵ
"1.ડ્રમ પ્રિન્ટર, 2.ડ્રમ પ્રિન્ટર","1.ਡਰਮ ਪ੍ਰਿੰਟਰ, 2.ਡਰਮ ਪ੍ਰਿੰਟਰ"
"1. ઇમ યુનિટ, 2. ડ્રમ યુનિટ","1. ਇਮ ਯੂਨਿਟ, 2. ਡਰੱਮ ਯੂਨਿਟ"
"1. દ્વૈત, 2. દ્વિ","1. ਦਵੈਤ, 2. bi"
બેવડી ઘનતા,ਦੋਹਰੀ ਘਣਤਾ
"1. મૌન સરનામું, 2. નકલી સરનામું","1. ਚੁੱਪ ਦਾ ਪਤਾ, 2. ਜਾਅਲੀ ਪਤਾ"
ડમ્પ,ਡੰਪ
ડબલ સર્કિટ,ਡੁਪਲੈਕਸ ਸਰਕਟ
કાયદેસરકરણ,ਕਾਨੂੰਨੀਕਰਣ
કી કી,ਕੁੰਜੀ
"1.D V D R./W, 2. ડીવીડી વાંચન, 3. લેખન","1.D V D R./W, 2. ਡੀਵੀਡੀ ਰੀਡਿੰਗ, 3. ਲਿਖਣਾ"
ડીવીડી રોમ,DVD ROM
ગતિશીલ સૂચના,ਗਤੀਸ਼ੀਲ ਹਦਾਇਤ
"1.ડાયનેમિક મેમરી, 2.ડાયનેમિક મેમરી","1. ਡਾਇਨਾਮਿਕ ਮੈਮੋਰੀ, 2. ਡਾਇਨਾਮਿਕ ਮੈਮੋਰੀ"
"1. ડાયનેમિક્સ, 2. ડાયનેમિક્સ","1. ਡਾਇਨਾਮਿਕਸ, 2. ਡਾਇਨਾਮਿਕਸ"
E B C D I C,ਈ ਬੀ ਸੀ ਡੀ ਆਈ ਸੀ
ઈ-વ્યવસાય,ਈ-ਕਾਰੋਬਾਰ
પડઘો,echo
"1.e-commerce, 2.e-commerce","1.ਈ-ਕਾਮਰਸ, 2.ਈ-ਕਾਮਰਸ"
સંપાદન,ਸੰਪਾਦਨ
સંપાદક,ਸੰਪਾਦਕ
શૈક્ષણિક ટેકનોલોજી,ਵਿਦਿਅਕ ਤਕਨਾਲੋਜੀ
e e p rom,e e ਪ rom
"1. અર્થપૂર્ણ સરનામું, 2. અસરકારક સરનામું","1. ਅਰਥਪੂਰਨ ਪਤਾ, 2. ਪ੍ਰਭਾਵੀ ਪਤਾ"
અર્થપૂર્ણ ઓપરેન્ડ સરનામું,ਅਰਥਪੂਰਨ ਸੰਚਾਲਨ ਪਤਾ
અસરકારક કાર્યવાહી,ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਕਾਰਵਾਈ
અસરકારક UID,ਪ੍ਰਭਾਵਸ਼ਾਲੀ UID
અસરકારક ટ્રાન્સમિશન કામગીરી,ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਪ੍ਰਸਾਰਣ ਕਾਰਵਾਈ
ઓક્ટલ બાઈટ,octal ਬਾਈਟ
"ઈલેક્ટ્રોનિક લર્નિંગ, ઈ-લર્નિંગ","ਇਲੈਕਟ੍ਰਾਨਿਕ ਲਰਨਿੰਗ, ਈ-ਲਰਨਿੰਗ"
ચૂંટણી અલ્ગોરિધમ,ਚੋਣ ਐਲਗੋਰਿਦਮ
ઈલેક્ટ્રોનિક મેઈલ સર્વિસ (ઈ-મેલ),ਇਲੈਕਟ੍ਰਾਨਿਕ ਮੇਲ ਸੇਵਾ (ਈ-ਮੇਲ)
"1.ઈલેક્ટ્રોનિક પ્રિન્ટિંગ, 2.ઈલેક્ટ્રોનિક પ્રિન્ટર","1.ਇਲੈਕਟ੍ਰਾਨਿਕ ਪ੍ਰਿੰਟਿੰਗ, 2.ਇਲੈਕਟ੍ਰਾਨਿਕ ਪ੍ਰਿੰਟਰ"
ઇલેક્ટ્રિકલ એકાઉન્ટિંગ મશીન,ਇਲੈਕਟ੍ਰੀਕਲ ਲੇਖਾ ਮਸ਼ੀਨ
ઈલેક્ટ્રોનિક્સ,ਇਲੈਕਟ੍ਰਾਨਿਕਸ
