Marathi,Bengali
लसीकरण डेटा नेटवर्क (DDN),ইমিউনাইজেশন ডেটা নেটওয়ার্ক (DDN)
लसीकरण माहिती प्रणाली,ইমিউনাইজেশন তথ্য সিস্টেম
एकीकरण,মিশ্রণ
विलंब,বিলম্ব
विलंब काउंटर,বিলম্ব পাল্টা
विलंब वेळ,বিলম্ব সময়
"1.हटवा, 2.हटवा","1.মুছুন, 2.মুছুন"
हटवणे रेकॉर्ड,মুছে ফেলার রেকর্ড
परिसीमक,ডিলিমিটার
डेल्टा मॉड्युलेशन,ডেল্টা মড্যুলেশন
मागणी पृष्ठ,অনুরোধ পৃষ্ঠা
कामगिरी,কর্মক্ষমতা
demodulation,demodulation
V- मल्टीप्लेक्सर,V- মাল্টিপ্লেক্সার
विकृतीकरण,অস্বাভাবিককরণ
"1. घनता, 2. घनता","1. ঘনত্ব, 2. ঘনত্ব"
"1. अवलंबित्व, 2. अवलंबित्व","1. নির্ভরতা, 2. নির্ভরতা"
अवलंबून युनिट,নির্ভরশীল ইউনিট
रांग,কিউ
"1. dereference, 2. dereference","1. dereference, 2. dereference"
व्युत्पन्न झाड,প্রাপ্ত গাছ
व्युत्पन्न फील्ड,প্রাপ্ত ক্ষেত্র
उतरत्या क्रमवारी,সাজানো সাজানো
डिझाइन,নকশা
डेस्क कॅल्क्युलेटर,ডেস্ক ক্যালকুলেটর
डेस्कटॉप संगणक,ডেস্কটপ কম্পিউটার
डेस्कटॉप सादरीकरण,ডেস্কটপ উপস্থাপনা
डेस्कटॉप प्रकाशन,ডেস্কটপ পাবলিশিং
डेस्कटॉप व्हिडिओ,ডেস্কটপ ভিডিও
गंतव्य पत्ता,গন্তব্য ঠিকানা
"1. विनाशक, 2. विनाशक","1. ধ্বংসকারী, 2. ধ্বংসকারী"
निर्धारक ऑटोमेटा,নির্ধারক স্বয়ংক্রিয়তা
विकसक,বিকাশকারী
विकास प्रणाली,উন্নয়ন ব্যবস্থা
साधन,যন্ত্র
डिव्हाइस नियंत्रण युनिट,ডিভাইস নিয়ন্ত্রণ ইউনিট
डिव्हाइस नियंत्रक,ডিভাইস নিয়ামক
डिव्हाइस व्यवस्थापन,যন্ত্র ব্যবস্থাপনা
डिव्हाइस मोड,ডিভাইস মোড
निदान,রোগ নির্ণয়
निदान प्रणाली,ডায়াগনস্টিক সিস্টেম
"1. निदान, 2. निदान","1. ডায়াগনস্টিকস, 2. ডায়াগনস্টিকস"
आकृती,চিত্র
डायल,ডায়াল
डायल लाइन,ডায়াল লাইন
डायल टोन,ডায়াল টোন
डायल करा,ডায়াল আপ
"1. संवाद, 2. संभाषण","1. সংলাপ, 2. কথোপকথন"
संभाषण कक्ष,কথোপকথন ঘর
डायलअप मॉडेम,ডায়ালআপ মডেম
विमा,বীমা
शब्दकोश,অভিধান
"1. भिन्नता, 2. भिन्नता","1. ডিফারেনশিয়াল, 2. পৃথকীকরণ"
संख्यात्मक,সংখ্যাসূচক
डिजिटल प्रणाली,ডিজিটাল সিস্টেম
डिजिटल सर्किट,ডিজিটাল সার্কিট
डिजिटल संगणक,ডিজিটাল কম্পিউটার
"1.डिजिटल डेटा, 2.डिजिटल डेटा","1.ডিজিটাল ডেটা, 2.ডিজিটাল ডেটা"
डिजिटल सुविधा,ডিজিটাল সুবিধা
डिजिटल फिल्टर,ডিজিটাল ফিল্টার
डिजिटल लायब्ररी,ডিজিটাল লাইব্রেরি
डिजिटल मॉड्यूलेशन,ডিজিটাল মড্যুলেশন
"1. डिजिटल डिस्प्ले, 2. डिजिटल मॉनिटर","1. ডিজিটাল ডিসপ্লে, 2. ডিজিটাল মনিটর"
डिजिटल प्रतिमा,ডিজিটাল ইমেজ
"1. डिजिटल स्वाक्षरी, 2. डिजिटल स्वाक्षरी","1. ডিজিটাল স্বাক্ষর, 2. ডিজিটাল স্বাক্ষর"
डिजिटल स्विच,ডিজিটাল সুইচ
डिजिटल अॅनालॉग कनवर्टर,ডিজিটাল এনালগ রূপান্তরকারী
डिजिटायझेशन,ডিজিটাইজেশন
डिजिटायझेशन,ডিজিটাইজেশন
डिजिटायझर,ডিজিটাইজার
डायोड,ডায়োড
प्रथमदर्शनी,প্রথম দৃষ্টিতে
थेट पत्ता,সরাসরি ঠিকানা
थेट रूपांतरण,সরাসরি রূপান্তর
थेट जोडणी,সরাসরি সংযোগ
"1. डायरेक्ट मेमरी ऍक्सेस, 2. डायरेक्ट मेमरी ऍक्सेस (DMA)","1. সরাসরি মেমরি অ্যাক্সেস, 2. সরাসরি মেমরি অ্যাক্সেস (DMA)"
डायरेक्ट मेमरी ऍक्सेस (DMA),সরাসরি মেমরি অ্যাক্সেস (DMA)
थेट पद्धत,সরাসরি পদ্ধতি
दिशानिर्देश,দিকনির্দেশ
निर्देशिका,ডিরেক্টরি
"1. निर्देशिका सर्व्हर, 2. निर्देशिका सर्व्हर","1. ডিরেক্টরি সার্ভার, 2. ডিরেক্টরি সার্ভার"
निर्देशिका सेवा,ডিরেক্টরি সেবা
अक्षम,অক্ষম
सिग्नल अक्षम करणे,অক্ষম সংকেত
"1. डिस्कनेक्शन, 2. डिस्कनेक्शन","1. সংযোগ বিচ্ছিন্ন, 2. সংযোগ বিচ্ছিন্ন"
"1. स्वतंत्र, 2. स्वतंत्र","1. বিচ্ছিন্ন, 2. বিযুক্ত"
"1. डिस्क, 2. डिस्क","1. ডিস্ক, 2. ডিস্ক"
"1. डिस्क पत्ता, 2. डिस्क पत्ता","1. ডিস্ক ঠিকানা, 2. ডিস্ক ঠিকানা"
"1. डिस्क अॅरे, 2. डिस्क अॅरे","1. ডিস্ক অ্যারে, 2. ডিস্ক অ্যারে"
"1. डिस्क क्षमता, 2. डिस्क क्षमता","1. ডিস্ক ক্ষমতা, 2. ডিস্ক ক্ষমতা"
"1. डिस्क ड्रायव्हर, 2. डिस्क ड्राइव्ह","1. ডিস্ক ড্রাইভার, 2. ডিস্ক ড্রাইভ"
डिस्क फाइल,ডিস্ক ফাইল
"1. डिस्क मेमरी, 2. डिस्क मेमरी, 3. डिस्क मेमरी, 4. डिस्क मेमरी","1. ডিস্ক মেমরি, 2. ডিস্ক মেমরি, 3. ডিস্ক মেমরি, 4. ডিস্ক মেমরি"
डिस्क ऑपरेटिंग सिस्टम (DoS),ডিস্ক অপারেটিং সিস্টেম (DoS)
डिस्क पॅकेज,ডিস্ক প্যাকেজ
"1.चक्रिका सर्व्हर, 2.डिस्क सर्व्हर","1.চক্রিকা সার্ভার, 2.ডিস্ক সার্ভার"
"1. डिस्क स्टोरेज, 2. डिस्क स्टोरेज","1. ডিস্ক স্টোরেজ, 2. ডিস্ক স্টোরেজ"
डिस्केट,ডিস্কেট
फाइल प्रदर्शित करा,প্রদর্শন ফাইল
प्रतिमा प्रदर्शित करा,প্রদর্শন চিত্র
विल्हेवाट,নিষ্পত্তি
अंतर,দূরত্ব
अंतर कार्य,দূরত্ব ফাংশন
विकृती,বিকৃতি
वितरित,বিতরণ করা
वितरित डेटा,বিতরণ করা তথ্য
वितरित सर्व्हर,বিতরণ করা সার্ভার
"1.वितरित प्रणाली, 2.वितरित प्रणाली","1.ডিস্ট্রিবিউটেড সিস্টেম, 2.ডিস্ট্রিবিউটেড সিস্টেম"
वितरक,পরিবেশক
दस्तऐवज,নথি
दस्तऐवज मान्यताप्राप्त,নথি স্বীকৃত
"1. दस्तऐवज विंडो, 2. दस्तऐवज विंडो","1. ডকুমেন্ট উইন্ডো, 2. ডকুমেন্ট উইন্ডো"
दस्तऐवजीकरण,ডকুমেন্টেশন
"डोमेन, डोमेन","ডোমেইন, ডোমেইন"
डोमेनचे नाव,ডোমেন নাম
"1. डॉट मॅट्रिक्स प्रिंटर, 2. डॉट मॅट्रिक्स प्रिंटर","1. ডট ম্যাট্রিক্স প্রিন্টার, 2. ডট ম্যাট্রিক্স প্রিন্টার"
"खाली, खाली","নীচে, নীচে"
"1.अवलिंक, 2.स्क्वेअर","1.Avallink, 2.Square"
डाउनलोड करा,ডাউনলোড
डाउनलोड वेळ,ডাউনলোড সময়
कर्षण,আকর্ষণ
DRAM (डायनॅमिक रॅम),DRAM (ডাইনামিক RAM)
प्रवाह,রানঅফ
चालक,ড্রাইভার
पाने,পাতা
ड्रॉप लिस्ट बॉक्स,ড্রপ লিস্ট বক্স
ड्रम ड्राइव्ह,ড্রাম ড্রাইভ
"1.ड्रम प्रिंटर, 2.ड्रम प्रिंटर","1.ড্রাম প্রিন্টার, 2.ড্রাম প্রিন্টার"
"1. इम युनिट, 2. ड्रम युनिट","1. আইএম ইউনিট, 2. ড্রাম ইউনিট"
"1. द्वैत, 2. द्वि","1. দ্বৈততা, 2. দ্বি"
दुहेरी घनता,দ্বৈত ঘনত্ব
"1. मूक पत्ता, 2. बनावट पत्ता","1. নীরব ঠিকানা, 2. জাল ঠিকানা"
डंप,ডাম্প
डुप्लेक्स सर्किट,ডুপ্লেক্স সার্কিট
कायदेशीरकरण,বৈধকরণ
की की,কী কী
"1.D V D R./W, 2. डीव्हीडी वाचन, 3. लेखन","1.D V D R./W, 2. ডিভিডি রিডিং, 3. লেখা"
डीव्हीडी रॉम,ডিভিডি রম
डायनॅमिक सूचना,গতিশীল নির্দেশ
"1.डायनॅमिक मेमरी, 2.डायनॅमिक मेमरी","1.ডাইনামিক মেমরি, 2.ডাইনামিক মেমরি"
"1. डायनॅमिक्स, 2. डायनॅमिक्स","1. গতিবিদ্যা, 2. গতিবিদ্যা"
E B C D I C,E B C D I C
ई-व्यवसाय,ই-ব্যবসা
प्रतिध्वनी,প্রতিধ্বনি
"1.ई-कॉमर्स, 2.ई-कॉमर्स","1.e-commerce, 2.e-commerce"
संपादन,সম্পাদনা
संपादक,সম্পাদক
शैक्षणिक तंत्रज्ञान,শিক্ষাবিষয়ক প্রযুক্তি
e e p rom,e e p rom
"1. अर्थपूर्ण पत्ता, 2. प्रभावी पत्ता","1. অর্থপূর্ণ ঠিকানা, 2. কার্যকর ঠিকানা"
अर्थपूर्ण ऑपरेंड पत्ता,অর্থপূর্ণ অপারেন্ড ঠিকানা
प्रभावी कृती,কার্যকর পদক্ষেপ
प्रभावी UID,কার্যকরী ইউআইডি
प्रभावी ट्रांसमिशन ऑपरेशन,কার্যকর ট্রান্সমিশন অপারেশন
ऑक्टल बाइट,অক্টাল বাইট
"इलेक्ट्रॉनिक शिक्षण, ई-लर्निंग","ইলেকট্রনিক লার্নিং, ই-লার্নিং"
निवडणूक अल्गोरिदम,নির্বাচন অ্যালগরিদম
इलेक्ट्रॉनिक मेल सेवा (ई-मेल),ইলেকট্রনিক মেইল সার্ভিস (ই-মেইল)
"1.इलेक्ट्रॉनिक प्रिंटिंग, 2.इलेक्ट्रॉनिक प्रिंटर","1.ইলেক্ট্রনিক প্রিন্টিং, 2.ইলেক্ট্রনিক প্রিন্টার"
इलेक्ट्रिकल अकाउंटिंग मशीन,বৈদ্যুতিক অ্যাকাউন্টিং মেশিন
इलेक्ट्रॉनिक्स,ইলেকট্রনিক্স
इलेक्ट्रॉनिक एक्झॉस्ट सिस्टम (ECS),ইলেকট্রনিক নিষ্কাশন সিস্টেম (ECS)
इलेक्ट्रॉनिक डेटा एक्सचेंज (EDI),ইলেকট্রনিক ডেটা এক্সচেঞ্জ (EDI)
इलेक्ट्रॉनिक डेटा प्रोसेसिंग,ইলেকট্রনিক তথ্য প্রক্রিয়াকরণ
इलेक्ट्रॉनिक ब्रोशर,ইলেকট্রনিক ব্রোশিওর
इलेक्ट्रॉनिक निधी हस्तांतरण यंत्रणा (EFTS),ইলেকট্রনিক ফান্ড ট্রান্সফার মেকানিজম (EFTS)
"1.इलेक्ट्रॉनिक जर्नल, 2.इलेक्ट्रॉनिक जर्नल","1.ইলেক্ট্রনিক জার্নাল, 2.ইলেক্ট্রনিক জার্নাল"
इलेक्ट्रॉनिक प्रकाशन,ইলেকট্রনিক প্রকাশনা
इलेक्ट्रॉनिक स्विच,ইলেকট্রনিক সুইচ
"घटक, घटक","উপাদান, উপাদান"
ई-मेल,ই-মেইল
"1. ई-मेल पत्ता, 2. इलेक्ट्रॉनिक मेलिंग पत्ता","1. ই-মেইল ঠিকানা, 2. ইলেকট্রনিক মেইলিং ঠিকানা"
एम्बेडेड प्रणाली,এমবেডেড সিস্টেম
एम्बेडिंग,এমবেডিং
एमिटर कपल्ड लॉजिक (ECL),ইমিটার কাপলড লজিক (ইসিএল)
मोकळी जागा,ফাঁকা স্থান
"1. कोरी साखळी, 2. कोरी साखळी","1. ফাঁকা চেইন, 2. ফাঁকা চেইন"
यांत्रिकीकरण,যান্ত্রিকীকরণ
"1.कॅप्सुलेशन, 2.कॅप्सुलेशन","1.ক্যাপসুলেশন, 2.ক্যাপসুলেশন"
डिकोडर,ডিকোডার
एन्कोडिंग,এনকোডিং
"1. एन्कोडर, 2. कोडॅक","1. এনকোডার, 2. কোডাক"
लपलेला डेटा,লুকানো তথ্য
लपलेली फाइल सिस्टम,লুকানো ফাইল সিস্টেম
"1. एन्क्रिप्शन, 2. कोडिंग, 3. एन्कोडिंग","1. এনক্রিপশন, 2. কোডিং, 3. এনকোডিং"
ब्लॉक एंड,ব্লক শেষ
फाइल-एंड,ফাইল-এন্ড
वापरकर्ता,ব্যবহারকারী
प्रविष्ट करा,প্রবেশ করা
एंट्री की,এন্ট্রি কী
"१.उद्यम सरवर, २.उद्यम सेवक","1. উদ্যম সারওয়ার, 2. উদ্যম সেবক"
एंटरप्राइझ प्रणाली,এন্টারপ্রাইজ সিস্টেম
शक्ती,শক্তি
शक्ती आत्मीयता,শক্তি সখ্যতা
प्रवेश वेळ,প্রবেশের সময়
इनपुट व्हेरिएबल,ইনপুট পরিবর্তনশীল
मोजण्यायोग्य,গণনার যোগ্য
वातावरण,পরিবেশ
"1.युग, 2. युग, 3. सूचना क्षण","1.Epoch, 2. যুগ, 3. নির্দেশের মুহূর্ত"
EPRAM (फायनान्स प्रोग्राम करण्यायोग्य वाचनीय मेमरी),EPRAM (ফাইনান্স প্রোগ্রামেবল রিড-ওনলি মেমরি)
एप्सिलॉन कन्व्हेक्टर,epsilon constrictor
तुल्यकारक,সমানকারী
उपकरणे,সরঞ্জাম
समतुल्य वर्ग,সমতা শ্রেণী
समतुल्य संबंध,সমতুল্য সম্পর্ক
"1. विलोपन, 2. निर्मूलन","1. বিলুপ্তি, 2. নির্মূল"
त्रुटी सुधारणे कोड,ত্রুটি সংশোধন কোড
त्रुटी सुधारणे,ত্রুটি সংশোধন
त्रुटी शोधणे,ত্রুটি সনাক্তকরণ
त्रुटी हाताळणी,শিল্প খাত
त्रुटी संदेश,ভুল বার্তা
त्रुटी दर,ত্রুটি হার
त्रुटी पुनर्प्राप्ती,ত্রুটি পুনরুদ্ধার
त्रुटी नाव,ত্রুটির নাম
सुटका प्रतीक,পালাবার প্রতীক
इथरनेट,ইথারনেট
कार्यक्रम,ঘটনা
कार्यक्रम साखळी,ইভেন্ট চেইন
घटना नियंत्रण,ঘটনা নিয়ন্ত্রণ
कार्यक्रम काउंटर,ইভেন্ট কাউন্টার
अपवाद हाताळणी,ব্যতিক্রম হ্যান্ডলিং
एक्सचेंज डिस्क स्टोरेज,বিনিময় ডিস্ক স্টোরেজ
बहिष्कार,বর্জন
अनन्य आणि (x किंवा),একচেটিয়া এবং (x বা)
एक्झिक्युटेबल प्रोग्राम,এক্সিকিউটেবল প্রোগ্রাম
अंमलबजावणी विधान,মৃত্যুদন্ড বিবৃতি
निवडक शोध,নির্বাচনী অনুসন্ধান
विद्यमान,বিদ্যমান
समस्या,সমস্যা
तज्ञ प्रणाली,দক্ষ পদ্ধতি
"1. अभिव्यक्ती, 2. अभिव्यक्ती","1. অভিব্যক্তি, 2. অভিব্যক্তি"
विस्तारित ग्राफिकल मॅट्रिक्स (x g a),বর্ধিত গ্রাফিক্যাল ম্যাট্রিক্স (x g a)
विस्तारित औद्योगिक मानके (EIS),বর্ধিত শিল্প মান (EIS)
ओव्हरलोड मशीन,ওভারলোড মেশিন
विस्तारित मेमरी,বর্ধিত মেমরি
"1. विस्तारित अचूकता, 2. विस्तारित अचूकता","1. বর্ধিত নির্ভুলতা, 2. বর্ধিত নির্ভুলতা"
"1.विस्तारित वर्गीकरण, 2.विस्तारित पृथक्करण","1. বর্ধিত বাছাই, 2. বর্ধিত বিচ্ছেদ"
कॉल करा,ডাক
बाह्य त्रुटी,বাহ্যিক ত্রুটি
बाह्य कार्य,বাইরের ফাংশন
बाह्य व्यत्यय,বাহ্যিক বাধা
"1.बाह्य मेमरी, 2.बाह्य मेमरी","1. বাহ্যিক মেমরি, 2. বহিরাগত মেমরি"
बाह्य मेमरी,বাহ্যিক স্মৃতি
बाह्य मोडेम,বাহ্যিক মডেম
बाह्य संदर्भ,বাহ্যিক রেফারেন্স
बाह्य शोध,বাহ্যিক অনুসন্ধান
बाह्य स्टोरेज डिव्हाइस,বাহ্যিক স্টোরেজ ডিভাইস
काढणे,নিষ্কাশন
एक्सट्रापोलेशन,এক্সট্রাপোলেশন
पॅनेल वर्ण प्रिंटर,প্যানেল অক্ষর প্রিন্টার
अयशस्वी-सुरक्षा ऑपरेशन,ব্যর্থ-নিরাপত্তা অপারেশন
अपयशाचा दर,ব্যর্থতার হার
अयशस्वी डिस्चार्ज,ব্যর্থতা স্রাব
खोटा कोड,মিথ্যা কোড
खोटी चूक,মিথ্যা ত্রুটি
"1.गुंतवणूक, 2.गुंतवणुकीचे गुण","1.বিনিয়োগ, 2.বিনিয়োগ পয়েন্ট"
"1. अंक, 2. अंक क्रमांक","1. ইস্যু, 2. ইস্যু নম্বর"
"1. प्रतिकृती I/O डिव्हाइस, 2. प्रतिकृती इनपुट डिव्हाइस/आउटपुट","1. প্রতিলিপি I/O ডিভাইস, 2. প্রতিরূপ ইনপুট ডিভাইস/আউটপুট"
जलद फोरियर हस्तांतरण,দ্রুত ফোরিয়ার স্থানান্তর
गंभीर त्रुटी,মারাত্মক ত্রুটি
दोष शोधणे,ত্রুটি সনাক্তকরণ
दोष निदान,ত্রুটি নির্ণয়
चुकीची सहनशीलता,দোষ সহনশীলতা
फॅक्स,ফ্যাক্স
फॅक्स संदेश,ফ্যাক্স বার্তা
f dc,f dc
लक्षण शोधणे,লক্ষণ সনাক্তকরণ
चाक भरणे,ভরাট চাকা
पुनर्गुंतवणूक,পুনঃবিনিয়োগ
"1.पुरवठादार, 2.पोषण, 3.फीडर","1. সরবরাহকারী, 2. পুষ্টি, 3. ফিডার"
anyan,anan
फिबोनाची शोध,ফিবোনাচি আবিষ্কার
फिबोनाची क्रम,ফিবোনাচি ক্রম
फिबोनाची मालिका,ফিবোনাচি সিরিজ
फायबर ऑप्टिक्स,ফাইবার অপটিক্স
फिडो ट्रॅप,ফিডো ফাঁদ
प्रदेश,অঞ্চল
पाचव्या पिढीचा संगणक,পঞ্চম প্রজন্মের কম্পিউটার
"1.फाइल, 2. फाइल","1. ফাইল, 2। ফাইল"
फाइल प्रवेश पद्धत,ফাইল অ্যাক্সেস পদ্ধতি
फाइल वाटप सारणी,ফাইল বরাদ্দ টেবিল
फाइल कॉम्प्रेशन,ফাইল কম্প্রেশন
फाइल कॉपी करणे,ফাইল কপি করা
फाइल कॉन्फिगरेशन,ফাইল কনফিগারেশন
फाइल विलीन करा,ফাইল মার্জ
फाइल पुनर्प्राप्ती,ফাইল পুনরুদ্ধার
फाइल स्टोरेज,ফাইল স্টোরেজ
फाइल संरचना,ফাইল গঠন
फाइल सिस्टम,নথি ব্যবস্থা
फाइल हस्तांतरण,ফাইল স্থানান্তর
फाइल ट्रान्सफर प्रोटोकॉल (FTP),ফাইল ট্রান্সফার প্রোটোকল (FTP)
फिल्टर,ছাঁকনি
शेवटची स्थिती,শেষ অবস্থান
शोधा,অনুসন্ধান করুন
मर्यादित राज्य मशीन,সসীম রাষ্ট্র মেশিন
आग भिंत,আগুন প্রাচীর
फर्मवेअर,ফার্মওয়্যার
प्रथम येणाऱ्यास प्रथम सेवा,আগে আসলে আগে পাবেন
पहिल्या पिढीचा संगणक,প্রথম প্রজন্মের কম্পিউটার
फर्स्ट इनपुट फर्स्ट इश्यू (FIFO),ফার্স্ট ইনপুট ফার্স্ট ইস্যু (FIFO)
प्रथम ऑर्डर युक्तिवाद,প্রথম আদেশের যুক্তি
प्रथम ऑर्डर तत्त्व,প্রথম আদেশ নীতি
निश्चित विभागणी,স্থির বিভাগ
सही करा,চিহ্ন
लवचिक डिस्क,নমনীয় ডিস্ক
फ्लॉपी डिस्क,ফ্লপি ডিস্ক
फ्लॉपी डिस्क ड्राइव्ह (FDD),ফ্লপি ডিস্ক ড্রাইভ (FDD)
प्रवाह चार्ट,ফ্লো চার্ট
नियंत्रण प्रवाह,নিয়ন্ত্রণ প্রবাহ
पहाट,প্রভাত
फोल्डर,ফোল্ডার
फॉन्ट,ফন্ট
फॉन्ट कुटुंब,ফন্ট পরিবার
बाह्य की,বাহ্যিক কী
फॉर्म,ফর্ম
प्रतीकात्मक भाषा,প্রতীকী ভাষা
प्रतीकात्मक पद्धत,প্রতীকী পদ্ধতি
"1.स्वरूप, 2.फॉर्म","1.ফর্ম্যাট, 2.ফর্ম"
रेखाचित्र,অঙ্কন
फोर्टॉन,fortron
"1. Fortran (एक संगणक भाषा) प्रोग्राम, 2. Fortran प्रोग्रामिंग","1.ফরট্রান (একটি কম্পিউটার ভাষা) প্রোগ্রাম, 2.ফরট্রান প্রোগ্রামিং"
पुढे झुकणारी तिरकी रेष,ফরোয়ার্ড স্ল্যাশ
चौथ्या पिढीचा संगणक,৪র্থ প্রজন্মের কম্পিউটার
विभाग,অধ্যায়
फ्रेम,ফ্রেম
"1.फ्री नेट, 2.फ्री नेट","1.ফ্রি নেট, 2.ফ্রি নেট"
मोफत सॉफ्टवेअर ट्रस्ट,বিনামূল্যে সফ্টওয়্যার বিশ্বাস
विनामूल्य संचयन,বিনামূল্যে সঞ্চয়স্থান
फ्रीवेअर,বিনামূল্যের
समोर,সামনে
"1. फ्रंट पॅनल, 2. फ्रंट पॅनल","1.ফ্রন্ট প্যানেল, 2.ফ্রন্ট প্যানেল"
"1.कार्ये, 2. कार्य","1. ফাংশন, 2. ফাংশন"
फंक्शन की,ফাংশন কী
कार्य संदर्भ,ফাংশন রেফারেন্স
कार्यात्मक अवलंबित्व,কার্যকরী নির্ভরতা
कार्य चाचणी,ফাংশন পরীক্ষা
"1.अस्पष्ट तर्क, 2.अस्पष्ट तर्क","1.অস্পষ্ট যুক্তি, 2.অস্পষ্ট যুক্তি"
"1.अस्पष्ट संच, 2.अस्पष्ट संच","1.ফাজি সেট, 2.ফাজি সেট"
मिळवणे,লাভ করা
क्रीडा वृक्ष,ক্রীড়া গাছ
मध्यांतर वर्ण,ব্যবধান চরিত্র
कचरा,আবর্জনা
कचरा गोळा करणे,আবর্জনা সংগ্রহ
कचरा गोळा करणे,আবর্জনা সংগ্রহ
कचरा आत कचरा बाहेर (Gigo),ট্র্যাশ ইনসাইড ট্র্যাশ আউট (গিগো)
दरवाजा,দরজা
दरवाजाचा मार्ग (नेटवर्कच्या संदर्भात),দরজার পথ (নেটওয়ার্কের প্রসঙ্গে)
सर्वसमावेशक कार्यक्रम,ব্যাপক প্রোগ্রাম
सर्वसमावेशक कार्यक्रम,ব্যাপক প্রোগ্রাম
व्यापक उद्देश संगणक,ব্যাপক উদ্দেশ্য কম্পিউটার
सामान्य उद्देश संगणक,সাধারণ উদ্দেশ্য কম্পিউটার
सामान्य नोंदणी,সাধারণ রেজিস্টার
सामान्यीकरण,সাধারণীকরণ
सामान्यीकरण,সাধারণীকরণ
विस्तृत ऑब्जेक्ट भाषा,বিস্তৃত বস্তুর ভাষা
ब्रॉड पर्पज ऑपरेशन सिस्टम,ব্রড পারপাস অপারেশন সিস্টেম
सर्वसमावेशक उद्देश नोंदणी,ব্যাপক উদ্দেশ্য নিবন্ধন
त्रुटी निर्माण झाली,ত্রুটি উত্পন্ন
पुनरुत्पादक कार्य,প্রজনন ফাংশন
सामान्य वर्ग,শ্রেণী সাধারণ
वर्ग कार्य,ক্লাস ফাংশন
सामान्य वर्गाचे नाव,সাধারণ শ্রেণীর নাম
gigo,গিগো
"1. युनिव्हर्सल, 2. ग्लोबल","1. সর্বজনীন, 2. বিশ্বব্যাপী"
सार्वत्रिक कोड,সার্বজনীন কোড
सार्वत्रिक लॉक,সার্বজনীন লক
"1. युनिव्हर्सल नेटवर्क, 2. युनिव्हर्सल नेटवर्क","1. ইউনিভার্সাল নেটওয়ার্ক, 2. ইউনিভার্সাল নেটওয়ার্ক"
सार्वत्रिक नेटवर्क,সার্বজনীন নেটওয়ার্ক
"1. जागतिक वापरकर्ता, 2. सार्वजनिक वापरकर्ता, 3. सार्वत्रिक वापरकर्ता","1. বিশ্ব ব্যবহারকারী, 2. সর্বজনীন ব্যবহারকারী, 3. সর্বজনীন ব্যবহারকারী"
जागतिक चल,গ্লোবাল ভেরিয়েবল
"1.जागतिकीकरण, 2.जागतिकीकरण","1.বিশ্বায়ন, 2.বিশ্বায়ন"
गोफर (नेटवर्कमधील प्रोटोकॉल),গোফার (একটি নেটওয়ার্কে একটি প্রোটোকল)
गोफर रिसेप्टर,গোফার রিসেপ্টর
"1. गोफर सर्व्हर, 2. गोफर सर्व्हर","1. গোফার সার্ভার, 2. গোফার সার্ভার"
गोफर साइट,গোফার সাইট
गोफर जागा,গোফার স্থান
आकर्षक अध:पतन,আকর্ষণীয় অধঃপতন
व्याकरण सुधारक,ব্যাকরণ সংশোধনকারী
व्याकरण आकर्षक बहिर्मुखता,ব্যাকরণ হটি বহির্মুখী
"1.एकूण एकूण, 2.महान एकूण, 3.एकूण एकूण","1.মোট মোট, 2.গ্রেট মোট, 3.মোট মোট"
"1. आलेख, 2. आलेख","1.গ্রাফ, 2.গ্রাফ"
"1.ग्राफ नोटेशन, 2.ग्राफ नोटेशन","1.গ্রাফ স্বরলিপি, 2.গ্রাফ স্বরলিপি"
"1. ग्राफिक वर्ण, 2. ग्राफिकल वर्ण","1. গ্রাফিক অক্ষর, 2. গ্রাফিকাল অক্ষর"
"1. ग्राफिकल कंट्रोलर, 2. ग्राफिकल कंट्रोलर","1. গ্রাফিক্যাল কন্ট্রোলার, 2. গ্রাফিকাল কন্ট্রোলার"
"1. ग्राफिकल डेटा स्ट्रक्चर, 2. ग्राफिकल डेटा स्ट्रक्चर","1. গ্রাফিকাল ডেটা স্ট্রাকচার, 2. গ্রাফিকাল ডেটা স্ট্রাকচার"
"1. ग्राफिक डिस्प्ले प्रोग्राम, 2. ग्राफिकल डिस्प्ले प्रोग्राम","1. গ্রাফিক ডিসপ্লে প্রোগ্রাম, 2. গ্রাফিকাল ডিসপ্লে প্রোগ্রাম"
"1.ग्राफिकल डिस्प्ले रिझोल्यूशन, 2.ग्राफिक डिस्प्ले","1.গ্রাফিকাল ডিসপ্লে রেজোলিউশন, 2.গ্রাফিক ডিসপ্লে"
"1. ग्राफिक भाषा, 2. ग्राफिकल भाषा","1. গ্রাফিক ভাষা, 2. গ্রাফিকাল ভাষা"
"1. ग्राफिक भाषा, 2. ग्राफिकल भाषा","1. গ্রাফিক ভাষা, 2. গ্রাফিকাল ভাষা"
"1. ग्राफिकल प्लेट, 2. ग्राफिकल प्लेट","1. গ্রাফিকাল প্লেট, 2. গ্রাফিকাল প্লেট"
"1.ग्राफिक अॅनिमेशन, 2.ग्राफिक अॅनिमेशन","1.গ্রাফিক অ্যানিমেশন, 2.গ্রাফিক অ্যানিমেশন"
ग्राफिक ट्रान्सफर फॉरमॅट (GIF),গ্রাফিক ট্রান্সফার ফরম্যাট (GIF)
