Malayalam,Bengali
വർണ്ണാന്ധത,বর্ণান্ধতা
സ്വഭാവം,চরিত্র
"കോളം, കോളം","কলাম, কলাম"
"കോമ, ടഫ്റ്റ്, വാൽ, വാൽ","কমা, টুফ্ট, লেজ, লেজ"
"സംയോജനം, സംയോജനം, ശേഖരണം","combination, combination, accumulation"
സംയുക്ത സ്വരാക്ഷരങ്ങൾ,যৌগিক স্বরবর্ণ
സംയോജിത സ്വരാക്ഷരങ്ങൾ,যৌগিক স্বরবর্ণ
ബാധ്യത,দায়
ജ്വലനം,দহন
വാണിജ്യ ഫെറൈറ്റ്,বাণিজ্যিক ফেরাইট
"സാധാരണ, സാധാരണ, സാധാരണ, സാധാരണ, സാധാരണ","সাধারণ, সাধারণ, সাধারণ, সাধারণ, সাধারণ"
ആശയവിനിമയങ്ങൾ,যোগাযোগ
"വഴിതിരിച്ചുവിടൽ, ഡാറ്റ മാറ്റം, ക്രമപ്പെടുത്തൽ","ডাইভারশন, ডেটাম পরিবর্তন, স্থানান্তর"
"കമ്യൂട്ടേറ്റർ, കമ്യൂട്ടേറ്റർ, കമ്യൂട്ടേറ്റർ","কমিউটেটর, কম্যুটেটর, কম্যুটেটর"
"താരതമ്യക്കാരൻ, താരതമ്യക്കാരൻ","comparator, comparator"
താരതമ്യം,তুলনা
"കോമ്പസ്, കോമ്പസ്, കോമ്പസ്","কম্পাস, কম্পাস, কম্পাস"
"അനുയോജ്യത, അനുയോജ്യത, അനുയോജ്യത, അനുയോജ്യത","সামঞ্জস্য, সামঞ্জস্য, সামঞ্জস্য, সামঞ্জস্য"
"നഷ്ടപരിഹാരം നൽകുക, പ്രതികാരം ചെയ്യുക","ক্ষতিপূরণ, প্রতিশোধ"
"നഷ്ടപരിഹാരം, നഷ്ടപരിഹാരം, നഷ്ടപരിഹാരം","ক্ষতিপূরণ, ক্ষতিপূরণ, ক্ষতিপূরণ"
പ്രതിരോധ നടപടികൾ,পাল্টা ব্যবস্থা
"സമാഹാരം, വ്യാഖ്യാനം","সংকলন, ব্যাখ্যা"
"സമാഹാരം, വ്യാഖ്യാനം","সংকলন, ব্যাখ্যা"
പരസ്പരപൂരകത,পরিপূরকতা
സപ്ലിമെന്റ്,সাপ্লিমেন্ট
പൂർത്തിയാക്കുക,সম্পূর্ণ
പൂർണ്ണമായ സെൽ,সম্পূর্ণ সেল
സമ്പൂർണ്ണ മോഡുലേഷൻ,সম্পূর্ণ মড্যুলেশন
"സങ്കീർണ്ണമായ, സങ്കീർണ്ണമായ, പാക്കേജ്","জটিল, জটিল, প্যাকেজ"
സങ്കീർണ്ണമായ ആറ്റം,জটিল পরমাণু
സങ്കീർണ്ണമായ പ്രവർത്തനം,জটিল ফাংশন
ഫോർമാറ്റ്,বিন্যাস
സങ്കീർണ്ണമായ സംവിധാനം,জটিল প্রক্রিয়া
ഫോളോ അപ്പ്,ফলো-আপ
"ഘടകം, അനുബന്ധ ഘടകം","উপাদান, সংশ্লিষ্ট উপাদান"
"സംയോജിത, മിക്സഡ്","যৌগিক, যৌগিক"
"മിക്സഡ്, മിക്സഡ്, കമ്പൈൻഡ്, ഫിനാൻസ്, കോമ്പൗണ്ട്","মিশ্র, মিশ্র, সম্মিলিত, অর্থ, যৌগিক"
അസ്റൽ പെൻഡുലം,asral দুল
"കംപ്രസ് (എഡി.), കംപ്രസ് (വി.)","কম্প্রেস (সম্পাদনা), কম্প্রেস (v.)"
കംപ്രസ് ചെയ്തു,সংকুচিত
കംപ്രസിബിലിറ്റി,সংকোচনযোগ্যতা
കംപ്രസ്സബിൾ,সংকোচনযোগ্য
കംപ്രഷൻ,সঙ্কোচন
"കംപ്രസർ, കംപ്രസർ","কম্প্রেসার, কম্প্রেসার"
"കോംപ്റ്റൺ ഇലക്ട്രോൺ, സമതുലിതമായ ഇലക്ട്രോൺ","কম্পটন ইলেকট্রন, ভারসাম্যহীন ইলেকট্রন"
കണക്കുകൂട്ടൽ,গণনা
കമ്പ്യൂട്ടേഷണൽ,গণনামূলক
"കമ്പ്യൂട്ടർ, കമ്പ്യൂട്ടർ, കമ്പ്യൂട്ടർ","কম্পিউটার, কম্পিউটার, কম্পিউটার"
കുത്തനെയുള്ള,অবতল
ബൈകോൺവെക്സ്,দ্বিকনভেক্স
"കേന്ദ്രീകരിക്കുക, കട്ടിയാക്കുക, ഏകാഗ്രമാക്കുക (adj.), ഏകാഗ്രമാക്കുക (വി.)","মনোনিবেশ করা, ঘন করা, মনোনিবেশ করা (adj.), মনোনিবেশ করা (v.)"
"ഏകാഗ്രമായ, ഏകാഗ്രമായ, ഏകാഗ്രമായ","কেন্দ্রীভূত, কেন্দ্রীভূত, কেন্দ্রীভূত"
"ഏകാഗ്രത, ഏകാഗ്രത, ഏകാഗ്രത, ഏകാഗ്രത","একাগ্রতা, একাগ্রতা, একাগ্রতা, একাগ্রতা"
"ഏകകേന്ദ്രീകൃതമായ, കേന്ദ്രീകൃതമായ","এককেন্দ্রিক, এককেন্দ্রিক"
ആശയം,ধারণা
ആശയപരമായ,ধারণাগত
"അടുപ്പം, ആശയവിനിമയം","অন্তরঙ্গতা, যোগাযোগ"
സമന്വയിപ്പിച്ചു,সুরেলা
"ഒരേസമയം, പിന്നിലായി","concurrent, trailing"
"ഘനീഭവിക്കൽ, ഘനീഭവിക്കൽ","ঘনীভবন, ঘনীভবন"
"ഘനീഭവിക്കുക, ദ്രവീകരിക്കുക, ദ്രവീകരിക്കുക","to condense, to liquefy, to liquefy"
"ഘനീഭവിച്ച, ദ്രവീകരിച്ച, തിങ്ങിക്കൂടിയ","ঘনীভূত, তরলীকৃত, সংকুচিত"
"കണ്ടൻസർ, കപ്പാസിറ്റർ, കളക്ടർ","কনডেন্সার, ক্যাপাসিটর, সংগ্রাহক"
"അവസ്ഥ, അവസ്ഥ, അവസ്ഥ, അവസ്ഥ","শর্ত, শর্ত, শর্ত, শর্ত"
ചാലകത,পরিবাহিতা
ഡ്രൈവർ,ড্রাইভার
ഡ്രൈവിംഗ്,পরিচালনা
ചാലകത,পরিবাহিতা
വിശ്വസ്തത,বিশ্বস্ততা
"കോൺഫിഗറേഷൻ, കോൺഫിഗറേഷൻ","কনফিগারেশন, কনফিগারেশন"
കോൺഫിഗറേഷൻ,কনফিগারেশন
കൺഫോക്കൽ,কনফোকাল
"പൊരുത്തം, ദ്വിധ്രുവത്വം, തുല്യത","সংগতি, দ্বিমেরুতা, সমতা"
"യോജിച്ച, സമാനമായ","সঙ্গতিপূর্ণ, অভিন্ন"
കോണിക,কনিক
"സംയോജിപ്പിക്കുക (വി.), സംയോജിപ്പിക്കുക (ver.)","conjugate (v.), to be conjugated (ver.)"
ലാറ്ററൽ അസോസിയേറ്റഡ്,লেটারাল অ্যাসোসিয়েটেড
ചെയിൻ ബന്ധപ്പെട്ട,চেইন সম্পর্কিত
കണക്റ്റർ ലൈൻ,সংযোগকারী লাইন
കണക്ഷൻ,সংযোগ
"സ്പോൺസർ, കണക്റ്റർ","পৃষ্ঠপোষক, সংযোগকারী"
തുടർച്ചയായി,একটানা
രക്ഷാധികാരി,পৃষ্ঠপোষক
രക്ഷാധികാരി,পৃষ্ঠপোষক
"സ്ഥിരത, സ്ഥിരത, കനം, കനം","ধারাবাহিকতা, সামঞ্জস্য, ঘনত্ব, পুরুত্ব"
"അനുയോജ്യം, വിപരീതം","সামঞ্জস্যপূর্ণ, বিপরীত"
സംഭാഷണപരം,কথোপকথন
സംഭാഷണപരം,কথোপকথন
സ്ഥിരത,স্থিতিশীলতা
"സ്ഥിരമായ, സ്ഥിരമായ, അചഞ്ചലമായ, മാറ്റമില്ലാത്ത, യൂണിഫോം","স্থির, স্থির, অস্থাবর, অপরিবর্তনীয়, অভিন্ন"
കോൺസ്റ്റന്റൻ,কনস্ট্যান্টান
തുടർച്ചയായ ഒഴുക്ക്,ধারাবাহিক প্রবাহ
covariate നമ്പർ,কোভারিয়েট সংখ্যা
സർക്യൂട്ടിന്റെ സവിശേഷതകൾ,সার্কিটের বৈশিষ্ট্য
നക്ഷത്രസമൂഹം,নক্ষত্রপুঞ্জ
"രചന, ഘടന, രൂപീകരണം","রচনা, রচনা, গঠন"
നിയന്ത്രിത വേഗത,সীমাবদ্ধ গতি
പരിമിതി,বাধা
ഇടുങ്ങിയത്,সংকীর্ণ
സുസ്ഥിരമായ ഇടപെടൽ,টেকসই হস্তক্ষেপ
ഊർജ്ജം ഉപഭോഗം,শক্তি খরচ
"സ്പർശിക്കുക, സ്പർശിക്കുക, സ്പർശിക്കുക","স্পর্শ, স্পর্শ, স্পর্শ"
"ബന്ധപ്പെടുക, ബന്ധപ്പെടുക","যোগাযোগ, যোগাযোগ"
മലിനീകരണം,দূষণ
"ഉള്ളടക്കം, ഭാഗം, പകുതി","বিষয়বস্তু, অংশ, অর্ধেক"
"തുടർച്ച, തുടർച്ച","continuum, continuum"
സംസ്ഥാന തുടർച്ച,রাষ্ট্রীয় ধারাবাহিকতা
"തുടർച്ചയായ, അഖണ്ഡമായ, അഖണ്ഡമായ, തുടർച്ചയായ, തുടർച്ചയായ","অবিচ্ছিন্ন, অবিচ্ছিন্ন, অবিচ্ছিন্ন, অবিচ্ছিন্ন, অবিচ্ছিন্ন"
തുടർച്ച,ধারাবাহিকতা
"കംപ്രസ് ചെയ്യുക, കംപ്രസ് ചെയ്യുക (ver.)","সংকুচিত করা, সংকুচিত করা (ver.)"
ചുരുങ്ങുക,সঙ্কুচিত
സങ്കോചം,সংকোচন
എതിർ പരിക്രമണ ദിശ,কাউন্টার-অরবিটাল দিক
ബന്ധു ശരീരം,আপেক্ষিক শরীর
"വൈരുദ്ധ്യം, വൈരുദ്ധ്യം","বিপরীত, বিপরীত"
നിയന്ത്രണം,নিয়ন্ত্রণ
സംവഹനം,পরিচলন
അറിയിക്കുന്നു പോസ്റ്റ്,প্রচার পোস্ট
രക്തക്കുഴലുകൾ,ভাস্কুলার
സാധാരണ ആറ്റോമിക ഭാരം,নিয়মিত পারমাণবিক ওজন
"ഒത്തുചേരുക, ഒത്തുചേരുക","to converge, to converge"
"ഒത്തുചേരൽ, ഒത്തുചേരൽ","convergence, convergence"
ഒത്തുചേരുന്ന ലെൻസ്,কনভারজিং লেন্স
"എതിർ, എതിർ","বিপরীত, বিপরীত"
VICA തിരിച്ചും,বিপরীতভাবে
പരിവർത്തനം,রূপান্তর
പരിവർത്തനം ചെയ്തു,রূপান্তরিত
കൺവെർട്ടർ,রূপান্তরকারী
മാറ്റാവുന്ന ലെൻസ്,রূপান্তরযোগ্য লেন্স
കുത്തനെയുള്ള,উত্তল
convexity,উত্তল
കുത്തനെയുള്ള,উত্তল
ബൈകോൺവെക്സ്,দ্বিকনভেক্স
കൂളന്റ്,কুল্যান্ট
"റഫ്രിജറന്റ്, ചില്ലർ","রেফ্রিজারেন্ট, চিলার"
കൂളിഡ്ജ് ട്യൂബ്,কুলিজ টিউব
തണുപ്പിക്കൽ,শীতল
കൂളന്റ്,কুল্যান্ট
സഹകരണ പ്രതിഭാസം,সহযোগিতামূলক ঘটনা
"ഏകോപിപ്പിക്കുക, ഏകോപിപ്പിക്കുക","সমন্বয় করা, সমন্বয় করা"
ഡയറക്ടർ അച്ചുതണ്ട്,পরিচালক অক্ষ
പ്ലാനർ,প্ল্যানার
പരന്നത,সমতলতা
"പകർത്തുക, പകർത്തുക, പകർത്തുക","অনুলিপি, অনুলিপি, অনুলিপি"
കാമ്പ്,মূল
കോർ ഇലക്ട്രോൺ,মূল ইলেকট্রন
കോറിയോലിസ് ത്വരണം,কোরিওলিস ত্বরণ
കോറിയോലിസ് ശക്തി,কোরিওলিস বল
"കിരിത്, കൊറോണ","কিরিত, করোনা"
കൊറോണ ഓസ്ട്രേലിയ,করোনা অস্ট্রেলিয়া
കൊറോണ ബൊറിയലിസ്,করোনা বোরিয়ালিস
സൗരജ്വാല,সুর্যের আগুনের ফুল্কি
തരികൾ,দানা
ഗ്രാനുലാർ,দানাদার
"ശരി, ശരി","সঠিক, সঠিক"
പുതുക്കിയ,সংশোধিত
"തിരുത്തൽ, ഭേദഗതി","সংশোধন, সংশোধন"
സഹ ബന്ധം,সহ- সম্পর্ক
"പൊരുത്തപ്പെടുത്തുക, പൊരുത്തപ്പെടുത്തുക","correspond, correspond"
അസോസിയേഷന്റെ നിയമങ്ങൾ,সমিতির নিয়ম
അകമ്പടി,অনুষঙ্গ
കോസൈൻ നിയമം,কোসাইন নিয়ম
സ്ഥല സമൃദ്ധി,স্থান প্রাচুর্য
കോസ്മിക്,মহাজাগতিক
ബഹിരാകാശ രശ്മി പൊട്ടിത്തെറിച്ചു,মহাকাশ রশ্মি বিস্ফোরিত
"ബഹിരാകാശ രശ്മി, കോസ്മിക് കിരണങ്ങൾ","মহাকাশ রশ্মি, মহাজাগতিক রশ্মি"
ബഹിരാകാശ മഴ,স্থান বৃষ্টিপাত
സ്ഥലം,স্থান
കോസ്മിക്,মহাজাগতিক
"പ്രപഞ്ചശാസ്ത്രം, പ്രപഞ്ചശാസ്ത്രം","cosmology, cosmology"
ബഹിരാകാശ സഞ്ചാരി,মহাকাশচারী
ബഹിരാകാശ ശാസ്ത്രം,মহাকাশবিজ্ঞান
"പ്രപഞ്ചം, പ്രപഞ്ചം","কসমস, মহাবিশ্ব"
കൂലംബ്,কুলম্ব
കൂലോമി ഏരിയ,কুলোমি এলাকা
കൂലോമീറ്റർ,কুলমিটার
"എണ്ണുക, എണ്ണുക, എണ്ണുക, എണ്ണുക","গণনা, গণনা, গণনা, গণনা"
"എണ്ണൽ, വിപരീത എണ്ണൽ","গণনা, বিপরীত গণনা"
"കാൽക്കുലേറ്റർ, കൌണ്ടർ, പാനൽ","ক্যালকুলেটর, কাউন্টার, প্যানেল"
എതിർ ഘടികാരദിശയിൽ,ঘড়ির কাঁটার বিপরীত দিকে
"റിവേഴ്സ് കറന്റ്, കൌണ്ടർ കറന്റ്","বিপরীত বর্তমান, বিপরীত বর্তমান"
ഇലക്ട്രോമോട്ടീവ് ഫോഴ്സിനെ എതിർക്കുന്നു,বিরোধী ইলেক্ট্রোমোটিভ ফোর্স
ഡെപ്യൂട്ടേഷൻ,ডেপুটেশন
റിവേഴ്സ് ടോർസോ,বিপরীত ধড়
കൗണ്ട് നിരക്ക്,গণনা হার
"എണ്ണുക, എണ്ണുക, എണ്ണുക, എണ്ണുക","গণনা, গণনা-সংখ্যা, গণনা, গণনা"
നിർബന്ധ ജോഡി,বল জোড়া
കപ്പിൾഡ്,যুগল
കപ്ലർ,সংযোজনকারী
ഇണചേരൽ,কাপলিং
"ഉദ്ദേശിച്ച ദിശ, പാത, വഴി","অভিপ্রেত দিক, পথ, পথ"
കോവാലൻസി,সমযোজীতা
കോവാലൻസി,সমযোজীতা
സഹകാരി,সহযোগী
സഹവർത്തിത്വം,সহবাস
അനുരൂപമായ,সহগামী
"കവറേജ് ഏരിയ, ബ്രോഡ്കാസ്റ്റ് ഏരിയ","কভারেজ এলাকা, সম্প্রচার এলাকা"
കവർ ഷീറ്റ്,কভার শীট
സംസാരം,বকবক
പ്രത്യുൽപാദന ശക്തിയുടെ തോത്,উর্বরতার হার
നേരിയ വികലത,সামান্য বিকৃতি
കൊടുമുടി,চূড়া
"മാനദണ്ഡം, മാനദണ്ഡം","মাপকাঠি, মানদণ্ড"
വിമർശനാത്മകം,সমালোচনামূলক
വിമർശനം,সমালোচনা
കാപ്രിക്കോൺ ക്ലിപ്പ്,মকর ক্লিপ
വഞ്ചകരുടെ ഇരുണ്ട രാജ്യം,দুর্বৃত্তদের অন্ধকার রাজ্য
ക്രോസ്-ഹൈബ്രിഡ് ഹൈബ്രിഡൈസേഷൻ,ক্রস-হাইব্রিড হাইব্রিডাইজেশন
ക്രോസ് ബാൻഡ് ആശയവിനിമയം,ক্রস ব্যান্ড যোগাযোগ
അപ്രസക്തമായ സ്വഭാവ വ്യക്തിത്വം,অপ্রাসঙ্গিক চরিত্রের অবয়ব
ക്രോസ് ബന്ധങ്ങൾ,ক্রস বন্ধন
കടന്ന പ്രദേശം,অতিক্রম করা এলাকা
ഏറ്റവും കുറഞ്ഞ വ്യതിയാന ലെൻസ്,ন্যূনতম বিকৃতি লেন্স
ക്രോസ് ഉൽപ്പന്നം,ক্রস পণ্য
അപ്രസക്തമായ സിഗ്നൽ,অপ্রাসঙ্গিক সংকেত
നിലകളുടെ കയ്യേറ്റം,মেঝে দখল
സംക്രമണ മേഖല,রূপান্তর জোন
പരിവർത്തന പോയിന്റ്,রূপান্তর বিন্দু
വിനിമയ മൂല്യം,বিনিময় মূল্য
വെക്റ്റർ-പ്രൊഡക്ട് വെക്റ്റർ ഉൽപ്പന്നം,ভেক্টর-পণ্য ভেক্টর-পণ্য
"ക്രോസ് സെക്ഷൻ, ക്രോസ് സെക്ഷൻ","ক্রস বিভাগ, ক্রস বিভাগ"
"ഒന്നിലധികം പദങ്ങൾ, ഹൈബ്രിഡ് പദം","মাল্টিপল টার্ম, হাইব্রিড টার্ম"
ക്രോസ് വയർ,ক্রস তারের
"ക്രൗൺ ഒപ്റ്റിക്കൽ ഗ്ലാസ്, ക്രൗൺ ഒപ്റ്റിക്കൽ ഗ്ലാസ്","মুকুট অপটিক্যাল গ্লাস, মুকুট অপটিক্যাল গ্লাস"
തണുപ്പിക്കൽ മിശ്രിതം,শীতল মিশ্রণ
കുറഞ്ഞ താപനില ഇലക്ട്രോണിക്സ്,নিম্ন তাপমাত্রা ইলেকট্রনিক্স
ഹൈപ്പോഥെർമിയ,হাইপোথার্মিয়া
ക്രയോജനിക് ലബോറട്ടറി,ক্রায়োজেনিক পরীক্ষাগার
നിമ്രതാപികി,নিমরতাপিকি
ഫ്രീസിങ് ഗേജ്,হিমায়িত পরিমাপক
ക്രയോമെട്രിക് സ്ഥിരാങ്കം,ক্রাইমেট্রিক ধ্রুবক
ക്രിസ്റ്റൽ,স্ফটিক
"സ്ഫടികമായ, നാരുകളുള്ള","স্ফটিক, তন্তুযুক্ত"
"ക്രിസ്റ്റലൈസേഷൻ, ക്രിസ്റ്റലൈസേഷൻ, ക്രിസ്റ്റലൈസേഷൻ","স্ফটিককরণ, স্ফটিককরণ, স্ফটিককরণ"
ക്രിസ്റ്റൽ ശാസ്ത്രജ്ഞൻ,স্ফটিক বিজ্ঞানী
ക്രിസ്റ്റൽ ഘടനാപരമായ,স্ফটিক-কাঠামোগত
ക്രിസ്റ്റൽ ഘടന,স্ফটিক গঠন
"ക്രിസ്റ്റലോഗ്രഫി, ക്രിസ്റ്റൽ സയൻസ്","ক্রিস্টালোগ্রাফি, স্ফটিক বিজ্ঞান"
ലാറ്റിസ് ട്രാൻസ്ഫർ ഓപ്പറേഷൻ,জালি স্থানান্তর অপারেশন
ക്രിസ്റ്റൽ സ്മഡ്ജ്,স্ফটিক ধোঁয়া
ക്യൂബ് ക്യൂബ്,কিউব কিউব
"ക്യൂബ്, ക്യൂബ്, ക്യൂബ്, ത്രികോണം, ക്യൂബ്, ത്രികോണം","ঘনক, ঘনক, ঘনক, ত্রিভুজ, ঘনক, ত্রিভুজ"
ക്യൂബിക് പിളർപ്പ്,কিউবিক ফাটল
പരിക്രമണപഥം,অরবিটাল
സഞ്ചിത,ক্রমবর্ধমান
ക്യൂറി സ്ഥിരം,কিউরি ধ্রুবক
ക്യൂറി പ്രഭാവം,কিউরি এফেক্ট
"ക്യൂറി പോയിന്റ്, ക്യൂറി താപനില, ക്യൂറി ഡീമാഗ്നെറ്റൈസേഷൻ പോയിന്റ്","কিউরি পয়েন্ট, কিউরি তাপমাত্রা, কুরি ডিম্যাগনেটাইজেশন পয়েন্ট"
ക്യൂറി,কিউরি
ധാര,প্রবাহ
സ്ട്രീമിലെ ന്യൂനപക്ഷം,স্রোতের সংখ্যালঘু
വിതരണ,বিতরণ
വക്രത,বক্রতা
കർവ് കർവ് ലൈൻ,বক্ররেখা বক্ররেখা
വളഞ്ഞ,বাঁকা
കർവ് ബാർ,বক্ররেখা বার
വളഞ്ഞ പേജ്,বাঁকা পাতা
വളർച്ച വക്രം,বৃদ্ধি বক্ররেখা
വളഞ്ഞത്,বক্ররেখা
"perforator, മുറിക്കൽ","ছিদ্রকারী, কাটা"
അവസാന മേഖല,শেষ স্থান
അവസാന ആവൃത്തി,শেষ ফ্রিকোয়েন্সি
അവസാന പോയിന്റ്,শেষপ্রান্ত
ടെർമിനൽ പോയിന്റ് വേഗത,টার্মিনাল পয়েন্ট বেগ
ടെർമിനൽ വോൾട്ടേജ്,টার্মিনাল ভোল্টেজ
"അവതാരകൻ, അവതാരകൻ","অভিনয়কারী, অভিনয়কারী"
സൈബർനെറ്റിക്സ്,সাইবারনেটিক্স
"സൈക്കിൾ, സൈക്കിൾ, സൈക്കിൾ","চক্র, চক্র, চক্র"
സെക്കൻഡിൽ സൈക്കിളുകൾ,প্রতি সেকেন্ডে চক্র
"ചാക്രിക, ചാക്രിക","চক্রাকার, চক্রীয়"
കറങ്ങുക,স্পিন
ചാക്രിക പെൻഡുലം,চক্রীয় পেন্ডুলাম
സൈക്ലോട്രോൺ,সাইক্লোট্রন
സൈക്ലോട്രോൺ ഫ്രീക്വൻസി,সাইক্লোট্রন ফ্রিকোয়েন্সি
"സിലിണ്ടർ, സിലിണ്ടർ","সিলিন্ডার, সিলিন্ডার"
"സിലിണ്ടർ, സിലിണ്ടർ ആകൃതി, സിലിണ്ടർ, സിലിണ്ടർ","নলাকার, সিলিন্ডার আকৃতি, সিলিন্ডার, সিলিন্ডার"
സിലിണ്ടർ ഹാർമോണിക്,সিলিন্ডার সুরেলা
നനഞ്ഞു,স্যাঁতসেঁতে
നനഞ്ഞ ലളിതമായ ഹാർമോണിക് ആന്ദോളനം,স্যাঁতসেঁতে সহজ সুরেলা দোলন
ഡാംപർ,দাম্পার
ഡാനിയൽ സെൽ,ড্যানিয়েল সেল
ഇരുണ്ട്,অন্ধকার
"സംഭാവന ചെയ്ത വിഭവങ്ങൾ, കീഴിലുള്ള വിഭവങ്ങൾ, ട്രസ്റ്റ് ഉറവിടങ്ങൾ","রিসোর্স রিসোর্স, রিসোর্স রিসোর্স, ট্রাস্ট রিসোর্স"
"വിഘടിപ്പിക്കുന്ന നിർമ്മാതാവ്, ഉൽപ്പാദിപ്പിക്കുന്ന പാൽ, മാതാപിതാക്കൾ, സന്തതി","পচন উৎপাদনকারী, দুধ উৎপাদিত, পিতামাতা, বংশধর"
ഡേവിസൺ ഹോട്ടർ പരീക്ഷണം,ডেভিসন গরম পরীক্ষা
D.C. (ഡയറക്ടീവ്),ডিসি (নির্দেশক)
നിഷ്ക്രിയ ഭാഗം,নিষ্ক্রিয় অংশ
നിശബ്ദ സ്ഥലം,নীরব জায়গা
ഡി ബ്രാഗ്ലി തരംഗദൈർഘ്യം,ডি ব্রাগ্লি তরঙ্গদৈর্ঘ্য
Debye സ്വഭാവ താപനില,Debye বৈশিষ্ট্যগত তাপমাত্রা
"ഡെബൈ നീളം, ഡെബി ദൂരം","Debye দৈর্ঘ্য, Debye দূরত্ব"
കടം-അവധി,ঋণ অবকাশ
ക്ഷയം,ক্ষয়
ശോഷണ സൂചിക,ক্ষয় সূচক
നേർപ്പിക്കുന്ന,diluent
മന്ദബുദ്ധി,স্থগিত করা
സമയം താൽക്കാലികമായി നിർത്തുക,বিরতি সময়
ഡെസിബെൽ,ডেসিবেল
ഡെസിബെലോമീറ്റർ,ডেসিবেলোমিটার
"ദശാംശം, ദശാംശം","দশমিক, দশমিক"
വർഗ്ഗീകരണം,শ্রেণীবিভাগ
"പ്രക്ഷോഭം, വിപ്ലവം, ഏറ്റെടുക്കൽ, തകർച്ച","উত্থান, বিপ্লব, উদ্যোগ, পতন"
ഐസോമെട്രിക് സർക്കിൾ,আইসোমেট্রিক বৃত্ত
ഡീകോഡർ,ডিকোডার
"വിഘടനം, പിരിച്ചുവിടൽ","পচন, দ্রবীভূতকরণ"
ഡീകംപ്രഷൻ,ডিকম্প্রেশন
അണുവിമുക്തമാക്കൽ,দূষণ
അലങ്കാരം,অলংকরণ
സംയോജനം,সংযোজন
പ്രവർത്തനം കുറയുന്നു,হ্রাস ফাংশন
കാലാവസ്ഥ,আবহাওয়া
ലംഘനം,লঙ্ঘন
സബ്ഫ്ലോർ,সাবফ্লোর
ആഴമുള്ള സ്ഥലം,গভীর স্থান
വ്യുൽപ്പന്നം,ডেরিভেশন
"വൈകല്യം, പിശക്, ക്ഷതം, കുറവ്","ত্রুটি, ত্রুটি, ক্ষতি, ঘাটতি"
തെറ്റായ,অন্যায়
പ്രതിരോധശേഷി,অনাক্রম্যতা
ലിമിറ്റർ വാതിൽ,সীমাবদ্ধ দরজা
"നിർവചനം, വ്യക്തത","সংজ্ঞা, স্বচ্ছতা"
വ്യതിചലിപ്പിക്കുക,বিচ্যুত
deflector,অপসারণকারী
"വ്യതിചലനം, വ്യതിചലനം","deflection, deflection"
ഡിഫ്ലെക്റ്റീവ് ഫോക്കസ്,বিচ্যুতিপূর্ণ ফোকাস
വ്യതിചലനം-ഇരട്ട കണ്ണാടി,প্রতিফলন-দ্বৈত আয়না
വ്യതിചലന മേഖല,বিচ্যুতি অঞ্চল
ഗുരുത്വാകർഷണം ബാധിച്ച വ്യതിചലനം,মাধ্যাকর্ষণ প্রভাবিত বিচ্যুতি
ചുരുക്കെഴുത്ത് പ്ലേറ്റുകൾ,সংক্ষেপণ প্লেট
ശ്രദ്ധ കേന്ദ്രീകരിക്കുക,ফোকাস
വൈകല്യം,বিকৃতি
"വക്രീകരണം, വക്രീകരണം","বিকৃতি, বিকৃতি"
വിഗാസൺ,ভিগাসন
"ധിക്കാരം, ധിക്കാരം","debauchery, debauchery"
"അശുദ്ധമാക്കുക (ver.), തരംതാഴ്ത്തുക (n.), തരംതാഴ്ത്തപ്പെടുക (v.)","to be defiled (ver.), degraded (n.), degraded (v.)"
മാലിന്യ വാതകം,বর্জ্য গ্যাস
"വ്യതിചലനം, അഫാസിയ, ഇല്ലായ്മ, ഇല്ലായ്മ","aberration, aphasia, deprivation, deprivation"
സന്തോഷിപ്പിക്കുന്നത്,সন্তোষজনক
"ബിരുദം, ബിരുദം, മാഗ്നിറ്റ്യൂഡ്, ഡിഗ്രി, ഡിഗ്രി, അളവ്, ന്യൂമറേറ്റർ","ডিগ্রী, ডিগ্রী, মাত্রা, ডিগ্রী, ডিগ্রী, পরিমাণ, লব"
ഏകാഗ്രത-വോളിയം,ঘনত্ব-ভলিউম
ഡിസോസിയേഷൻ അളവ്,বিয়োজন পরিমাণ
സ്വാതന്ത്ര്യത്തിന്റെ ബിരുദം. സ്വാതന്ത്ര്യത്തിന്റെ ബിരുദം,স্বাধীনতা ডিগ্রী। স্বাধীনতা ডিগ্রী
അയോണൈസേഷന്റെ അളവ്,আয়নকরণের পরিমাণ
ധ്രുവീകരണത്തിന്റെ വ്യാപ്തി,মেরুকরণের মাত্রা
കൃത്യതയുടെ അളവ്,নির্ভুলতা পরিমাণ
dehumidification,dehumidification
ഡീയോണൈസേഷൻ,ডিওনাইজেশন
കാലതാമസം,বিলম্ব
വൈകി,বিলম্বিত
പ്രാദേശികവൽക്കരണം,স্থানীয়করণ
ഡെൽറ്റ പ്രവർത്തനം,ডেল্টা ফাংশন
demagnetization,চুম্বকীয়করণ
demagnetized curve,চুম্বকীয় বক্ররেখা
demagnetizer,demagnetizer
demodulation,demodulation
ഇടതൂർന്ന തിരക്ക്,ঘন যানজট
സാന്ദ്രത ഗേജ്,ঘনত্ব পরিমাপক
"സാന്ദ്രത, സാന്ദ്രത","ঘনত্ব, ঘনত্ব"
മൂല്യത്തകർച്ച നില,অবচয় স্তর
ശോഷണ മേഖല,অবক্ষয় অঞ্চল
ഡിപോളറൈസേഷൻ,ডিপোলারাইজেশন
