Odiya,Telugu
ଚେନୋପୋଡିୟମ୍,చెనోపోడియం
ଚେରି ଟମାଟୋ |,చెర్రీ టమొూటా
ଚେରି,చెర్రీ
"ଛେନା, ଗ୍ରାମ |","చిక్పా, గ్రామ్"
ଚିଲିସ,మిరపకాయలు
ଚୀନ୍ ଟର୍ପେଣ୍ଟାଇନ୍ ଗଛ |,చైనా టర్పెంటైన్ చెట్టు
ଚୋ-ଚାଉ,చౌ చౌ
ChrysSanthemumum,క్రిసాన్తిమం
"ଚୁଫା, ପୃଥିବୀ ବାଦାମ |","చుఫా, ఎర్త్ బాదం"
ସୋହୋରୀ,సికోరీ
ଚିନାବାଦାମ |,దాల్చిన చెక్క
ଆରଟନ୍ |,సిట్రాన్
ସାଇଟ୍ରନେଲିଲା ଘାସ |,సిట్రోనెల్లా గడ్డి
ଜସ୍ମିନ୍ ଚ cl େ |,క్లైంబింగ్ జాస్మిన్
ଲବଙ୍ଗ,లవంగం
କ୍ଲଷ୍ଟର ବିନ୍ |,క్లస్టర్ బీన్
କୋକୋ,కోకో
ନଡ଼ିଆ |,కొబ్బరి
କଫି,కాఫీ
କୋଲସ,కోలియస్
କୋଲୋସିସିଆ,కోలోకాసియా
"ଉପନିବେଶ, ତିକ୍ତ ଆପଲ୍ |","కోలోసిన్త్, చేదు ఆపిల్"
ସାଧାରଣ ପର୍ସଲେନ |,సాధారణ పర్స్లేన్
ଧନିଆ,కొత్తిమీర
କପା,పత్తి
ଗା cow ାସ,కౌపీయా
କ୍ୟୁବ୍,క్యూబ్బ్
କାକୁଡି,దోసకాయ
କ୍ୟୁକୁଭର୍ଟସ୍ |,కుకుర్బిట్స్
ଜିର୍ତିକ |,జీలకర్ర
ତରକାରୀ ପତ୍ର |,కరివేపాకు ఆకు
କଷ୍ଟାର୍ଡ ​​ଆପଲ୍ |,సీతాఫలం
କ୍ୟାପସୁଲ୍ ବୋରର୍ |,క్యాప్సూల్ బోరర్
କ୍ୟାଟପିଲର୍,గొంగళి పురుగు
ସାଇଟ୍ରସ୍ ସିଲେଲା |,సిట్రస్ సైలా
କ୍ରିକେଟ୍,క్రికెట్
କାଉ,కాకి
କଟା ପୋକ,కట్ పురుగు
ଦୁଗ୍ଧ,పాల
ଦୁର୍ଗର,పాల
ବନ୍ଧ,ఆనకట్ట
ଦିନ-ନିରପେକ୍ଷ |,రోజు-తటస్థ
ଫୁଲର ଦିନ ପରେ |,పుష్పించే రోజుల తరువాత
ପୂର୍ଣ୍ଣ ଫୁଲ ପରେ ଦିନ |,పూర్తి బ్లూమ్ తర్వాత రోజులు
Deblossome,డెబ్లోసింగ్
ହ୍ରାସ,డీకాల్సిఫికేషన్
କ୍ଷୟ,డికాంట్
କ୍ଷୟ,క్షయం
ନିର୍ଣ୍ଣୟ,ఆకురాల్చే
ଦଶମିକ,దశాంశం
ଅଭାବ |,లోపం
ଡିଫ୍ଲୋକେସନ୍ (ମାଟି),మట్టి
ପରିଶୋଧନ,డెఫ్లోరేషన్
ଗଭୀରତା,డీఫోలియేషన్
ଜଙ୍ଗଲ |,అటవీ నిర్మూలన
ଅବଶ୍ୟ ନିରନ୍ତର,క్షీణత
ଭିକେସନ୍,క్షీణత
ଡିଗ୍ରୀ ଦିନ,డిగ్రీ రోజులు
ଡିଗ୍ରୀ,డిగ్రీ
ଡିଫିସେନ୍ସ |,డీహిస్సెన్స్
ଦେହୁଙ୍ଗିଂ,డెహల్లింగ్
ଦେହକ୍କକ୍ କରିବା,డెహస్కింగ్
ଡିହାଇଡିଂ,నిర్జలీకరణం
ଘୋଡେନକର୍,డీహైడ్రేటర్
ଚାହିଦା,డిమాండ్
ନିନ୍ଦା,డీనాటరేషన్
ନିନ୍ଦା,తిరస్కరణ
ଜମା,డిపాజిట్
ଚିହ୍ନ,నిక్షేపణ
ଅବନତି କରାଲିନାଇଜେସନ୍ |,తరుగుదల డీసాలినైజేషన్
ମାନସ,డీసికేషన్
ଡିଜାଇନ୍,రూపకల్పన
ଡେସିକର୍ତ୍ତା,డెస్సికేటర్
ଆକ୍ରମଣ,డెస్టొనింగ్
ନିଷ୍କ୍ରିୟ |,డెస్కరింగ్
Desynapp ଗୁଡିକ,డెసినాప్సిస్
ଡିଟସେଲ |,డిటాసెల్
ଡିଟସେସିଂ |,డిటాసెలింగ్
ନିର୍ଣ୍ଣୟ,నిర్ణయాధికారి
ମୂଲ୍ୟ ହ୍ରାସ,విలువ తగ్గింపు
ବିଘ୍ନନା,డివెగెటేషన్
ବ୍ୟତିକ୍ରମ,విచలనం
Digd,డైడ్
ନିରାକରଣ,రోగ నిర్ధారణ
ଡିକୋଗାମି |,డైకోగామి
ଡିକଟୋଟୋମି |,డైకోటోమి
ଡିକୋଟିଡିନ୍ (ବିହନ),విత్తనం
ବ୍ୟାକ୍ ବ୍ୟାକ୍ (ରୋଗ),డై బ్యాక్ (వ్యాధి)
ପରିଭାଷାନ,విస్తరణ
ହଜମ୍ବତି |,డైజెస్టిబిలిటీ
ଡିହାଇବଏଡ୍,డైహైబ్రిడ్
ଡିକି (DYKE),ఒక రకానికి చెందిన వ్యక్తి
ମିଶ୍ରିତ,పలుచన
ଡାଇଓକାରୀ,డైయోసియస్
ଡିପ୍ଲାଇଡ୍,డిప్లాయిడ్
ଡିପ୍ଲାଇଡ୍,డిప్లాయిడ్
ଡିପ୍ଲୋନେମା,డిప్లొనెమా
ଅଦୃଶ୍ୟତା,విడదీయడం
ଡିସ୍କ,డిస్కింగ్
ରିହାତି,డిస్కౌంట్
ଅସଂଗୁକ୍ଷା,క్రిమిసంహారక
ବିଚ୍ଛେଦ,చెదరగొట్టడం
ବିସ୍ତାର,వ్యాప్తి
ବିବିଧତା,వైవిధ్యీకరణ
ବିବିଧ ଚାଷ,వైవిధ్యభరితమైన వ్యవసాయం
DNA ସିଡ଼ି |,DNA నిచ్చెన
DNA RESPTOTER |,DNA రిసెప్టర్
ଡୋଗେଜ,డాకేజ్
ପ୍ରାଧାନ୍ୟ,ఆధిపత్యం
Gormancy,నిద్రాణస్థితి
ମାତ୍ରା,మోతాదు
ଡବଲ୍ ସିଗମାଇଡ୍ ବକ୍ର |,డబుల్ సిగ్మోయిడ్ కర్వ్
ଡ୍ରାଫ୍ଟ (ଡ୍ରାଫ୍ଟ),ముసాయిదా (ముసాయిదా)
ନାଳି,హరించడం
ଜଳ ନିଷ୍କାସନ,పారుదల
ଡ୍ର,డ్రా
ଶୁଖିବା,డ్రించింగ్
ପୋଷାକ (ବିହନ),డ్రెస్సింగ్ (విత్తనం)
ଡ୍ରିଲ୍ (n।),డ్రిల్ (ఎన్.)
ଡ୍ରିଲିଂ (ଏଜେ। Engg),డ్రిల్లింగ్ (ఎగ్. ఇంజిగ్)
ଡ୍ରିଲିଂ (ଆଗ୍ରୋନ୍ରୋଣ),వ్యవసాయ శాస్త్రం
ଜଳସେଚନ,బిందు సేద్యం
ଡ୍ରାଏଲାଣ୍ଡ ଫାର୍ମିଂ |,డ్రైలాండ్ వ్యవసాయం
ଧୂଳି,దుమ్ము
ଡଷ୍ଟର୍,డస్టర్
ଧୂଳି,దుమ్ము
ବଧୂ |,మరగుజ్జు
ବଧୂ ପିରାମିଡ୍ |,మరగుజ్జు పిరమిడ్
ବଧୂ |,మరగుజ్జు
Daissy,డైసీ
ତାରିଖ,తేదీలు
ଦିନ ଜସ୍ମିନ୍ |,రోజు జాస్మిన్
ଡିଲ୍,మెంతులు
ଦିନନାଥ ଘାସ |,దిననాథ్ గడ్డి
ଚାଳକ,డాడర్
"ଡୋବ ଘାସ, ବରମୁଣ୍ଡା ଘାସ |","డూబ్ గడ్డి, బెర్ముడా గడ్డి"
ଡଣ୍ଠି,డ్రూస్
ଶୁଖିଲା ଅଦା,పొడి అల్లం
ଡିଫୋଲିଂ ପୋକ,బీటిల్‌ను డీఫోలైట్ చేస్తుంది
ଡ୍ରୋନ୍,డ్రోన్
ବତକ,బాతు
ପରିବେଶ,ఎకాలజీ
ଇକୋନୋମଟ୍ରିକ୍ସ |,ఎకోనొమెట్రిక్స్
ଅର୍ଥନ aff ତିକ ଦକ୍ଷତା |,ఆర్థిక సామర్థ్యం
ଇକୋଟେପ୍ |,ఎకోటైప్
Ectorrophic,ఎక్టోట్రోఫిక్
ଏଡଫାଲିକ୍ |,ఎడాఫిక్
ଏଡିବାଫୋଲୋଜି,ఎడాఫాలజీ
Eding,అంచు
ସମ୍ପୁର୍ଣ୍ଣ ଅଂଶ,తినదగిన భాగం
ଚାହିଦା ଚାହିଦା |,డిమాండ్ యొక్క స్థితిస్థాపకత
ଉତ୍ପାଦନର ଇଲଷ୍ଟିକ୍ |,ఉత్పత్తి యొక్క స్థితిస్థాపకత
ଇଲେକ୍ଟ୍ରୋଲାଇସିସ୍,విద్యుద్విశ్లేషణ
ଇଲେକ୍ଟ୍ରୋଫୋରସସ୍,ఎలెక్ట్రోఫోరేసిస్
ବିଲିୟନଟେସନ୍,ఎలివియేషన్
ଇମାସକୋଲେଟର |,ఎమాస్క్యులేటర్
ଜବରଦଖଲ,ఎంబాంకింగ్
ଭ୍ରୁଣ,పిండం
ଭ୍ରୁଣବିଶ୍ୱାସ,పిండశాస్త్రం
ଉଦତର |,ఆవిర్భావం
ଏମୁଲେସିଫାୟର୍ |,ఎమల్సిఫైయర్
ଇବଗେନୋଜ,ఎండోజెనస్
ଏଣ୍ଡୋରିଟୋସିସ୍ |,ఎండోమిటోసిస్
ଏଣ୍ଡୋ ପଯାତ୍ରାଟ୍ |,ఎండోపరాసైట్
ଏଣ୍ଡୋରମ୍,ఎండోస్పెర్మ్
ଉଦ୍ୟମ୍,ఎంటర్ప్రైజ్
ପ୍ରବେଶ,కీటకాలజీ
ପରିବେଶ,పర్యావరణం
ଏନଜାଇମ୍,ఎంజైమ్
ଏପିକୋଟିସ୍ ଗ୍ରାଫ୍ଟିଙ୍ଗ୍ |,ఎపికోటిల్ అంటుకట్టుట
EpipheeTee,ఎపిఫైట్
ଇକ୍ୱିଟି |,ఈక్విటీ
ବିଲାତି,నిర్మూలన
ଅତ୍ୟାବଶ୍ୟକ ପୁଷ୍ଟିକର |,అవసరమైన పోషకాలు
ଆକଳନ,అంచనా
ଇଥିଓପିଏମ |,ఎటిలేషన్
ଇଉଜେନିକ୍,యూజెనిక్
ମୂଲ୍ୟାଙ୍କନ,మూల్యాంకనం
Evaporimer,ఆవిరిపోటు
ବାଷ୍ପ-ଟ୍ରାନ୍ସପେରେସନ୍ |,ఇవాపో-ట్రాన్స్పిరేషన్
ଚିର ସବୁଜ ବିପ୍ଳବ |,ఎవర్‌గ్రీన్ విప్లవం
ଚିର ସବୁଜ |,సతత హరిత
ବିବର୍ତ୍ତନ,పరిణామం
ଏକ୍ସ,ఎక్సైజ్
ନିଷ୍କାସନ (ପ୍ରଜନନ),అలసట
ଶୋଷଣ,దోపిడీ
ଅନୁସନ୍ଧାନ,అన్వేషణ
ବହିଷ୍କାର,ఎక్స్‌ట్రషన్
ଆଖି (ସାଲେଡେନ୍ / ଆଳୁ),కళ్ళు
ଖାଇବା ପାଇନ୍,తినదగిన పైన్
"ହାତୀ ପାଦ, ୟାମ","ఏనుగు పాదం, యమ"
ଇଉକ୍ଲିପଟସ୍,యూకలిప్టస్
ପୃଥିବୀ କୀଟ,వానపాము
Entomologist-,కీటక శాస్త్రవేత్త
ପରିବେଶଗତବାଦୀ,పర్యావరణవేత్త
କାରକ,కారకం
କାରକ ଉତ୍ପାଦନ,కారకాల ఉత్పాదకత
ଭାସ୍ଟାଉଣ୍ଡ,కారకం
ଫ୍ୟାକ୍ଟୋରିଆଲ୍ ବ୍ଲକ୍ ଡିଜାଇନ୍ |,కారకమైన బ్లాక్ డిజైన్
ଅଧ୍ୟାପକ,ఫ్యాకల్టీ
ପତଳା |,ఫాలో
ପରିବାର,కుటుంబం
ଫାର୍ମ ମୂଲ୍ୟାଙ୍କନ |,వ్యవసాయ మదింపు
ଫାର୍ମ ବଜେଟ୍,వ్యవసాయ బడ్జెట్
ଚାଷ ବ୍ୟବସାୟ,వ్యవసాయ వ్యాపారం
ଫାର୍ମ ଯୋଜନା,వ్యవసాయ ప్రణాళిక
କୃଷକ,రైతు
ଚାଷ,వ్యవసాయం
ବନ୍ଧକ,ఫాసియేషన్
ଫେବୃଆଣ୍ଡେସନ୍,మలం
ମୁଖ,కిణ్వ ప్రక్రియ
ପ୍ରଜନନ,సంతానోత్పత్తి
ସାର,ఎరువులు
ଫର୍ଟିଲାଇଜର ବ୍ୟବହାର ଦକ୍ଷତା ବ୍ୟବହାର କରନ୍ତୁ |,ఎరువుల వినియోగ సామర్థ్యం
ଫାଇବ୍ରସ୍,ఫైబరస్
କ୍ଷେତ୍ର,ఫీల్డ్
କ୍ଷେତ୍ର ଦକ୍ଷତା,క్షేత్ర సామర్థ్యం
କ୍ଷେତ୍ର ପ୍ରଦର୍ଶନ,క్షేత్ర ప్రదర్శన
ଫିକ୍ସସନ୍,స్థిరీకరణ
ବନ୍ୟା ପରିସ୍ଥିତି,వరదలు
ପ୍ରବାହ ଚିତ୍ର |,ప్రవాహ రేఖ చిత్రం
ଖାଦ୍ୟ ମୂଲ୍ୟ,ఆహార విలువ
ଚାରା (ଖାଇବାକୁ),మేట
ପୂର୍ବାନୁମାନ,అంచనా
ଜଙ୍ଗଲ,అటవీ
ରକ୍ତ ବନ୍ଧୁମାନେ,అటవీప్రాంతం
ବରଣ୍ଡ,ఫ్రాండ్
ବରଫ ପ୍ରତିରୋଧକ |,ఫ్రాస్ట్ రెసిస్టెంట్
ବରଫ,ఫ్రాస్ట్
ଫ୍ରିଜ୍ (ଫଳ ଏବଂ ପନିପରିବା),స్తంభింపచేసిన (పండు & కూరగాయలు)
ଫଳ,ఫలితం
ଫଳ ଡ୍ରପ୍,ఫ్రూట్ డ్రాప్
ଫଳ-ସେଟ୍ (ଫଳ ସେଟିଂ),పండు-సెట్ (పండ్ల అమరిక)
ଫ୍ୟାଜିଜ୍,ధూమపానం
ଫଙ୍ଗିସାଇଡ୍ |,శిలీంద్ర సంహారిణి
ଫଙ୍ଗିଷ୍ଟାଟିକ୍ |,శిలీంధ్ర
କବକ,ఫంగస్
ଫ୍ରୁ,ఫ్యూరో
ଫ୍ୟୁଜନ୍ |,ఫ్యూజన్
ଫୁଜ୍,ఫజ్
ଅସ୍ପଷ୍ଟ,మసక
"ଫେନେଲ, ଆଣ୍ଠୁଏ |","ఫెన్నెల్, సోంపు"
FenugRek,FENUGREEK
ଡିମ୍ବିରି,అత్తి
ଆଙ୍ଗୁଠି ମିଲେଟ୍ |,ఫింగర్ మిల్లెట్
ଅଗ୍ନି-ଅଗ୍ନି ବୁଦା,ఫైర్-ఫ్లేమ్ బుష్
ଜଙ୍ଗଲର ନିଆଁ,అటవీ జ్వాల
ଫରାସୀ ବିନ୍,ఫ్రెంచ్ బీన్
ପୋକ,ఫ్లీ
ଠେକୁଆ,ఫాక్స్
ଫଳ ଉଡ଼ିଠି,ఫ్రూట్ ఫ్లై
ଗଲ୍ (ହୋର୍ଟ),పిత్తాశయం
ଖେଳ,గామేట్
ଉଦ୍ୟାନ,తోట
ଗେଜ୍ (ପାଣି),గేజ్ (నీరు)
ଜିନ୍ ବ୍ୟାଙ୍କ |,జీన్ బ్యాంక్
ଜିନ୍ ଟ୍ୟାଗ୍ କରିବା |,జన్యు ట్యాగింగ్
ବଂଶଧରୋଗ ବିଜ୍ଞାନ,జన్యుశాస్త్రం
ଜେନେଟିକ୍ ମାନଚିତ୍ର |,జన్యు పటం
Gegnetics,జన్యుశాస్త్రం
ଜିଦ୍,జన్యువు
ଜେନୋମିକ୍ ଲାଇବ୍ରେରୀ |,జెనోమిక్ లైబ్రరీ
ଜେନୋମିଟର,జెనోమిక్స్
ଜେନେଟାଇପ୍,జన్యురూపం
ଜେନେଟାଇପ୍,జన్యురూపం
ଜେନସ୍,జాతి
ଜେନସ୍,జాతి
ଜୀବାଣୁ,జెర్మ్
ଜୀବାଣୁ,జెర్మిసైడ్
ଅଦମାରଣ,అంకురోత్పత్తి
Germplasm,జెర్మ్ప్లాజమ్
ଗିବବର୍ଗିକ୍ ଏସିଡ୍ |,గిబ్బెరెల్లిక్ ఆమ్లం
ଗିନିଂ,జిన్నింగ్
ଲ୍ୟୁମର,గ్లూమ్
ଗ୍ଲାଉଟିନିୟସ୍ |,గ్లూటినస్
ଗ୍ଲାଇକୋଲିସିସ୍ |,గ్లైకోలిసిస్
Gneass,గ్నిస్
ସୁବର୍ଣ୍ଣ ବିପ୍ଳବ,గోల్డెన్ రివల్యూషన్
ଗ୍ରେଡିଂ,గ్రేడింగ్
ଗ୍ରାଫ୍ଟିତ ଉଦ୍ଭିଦ |,అంటు వేసిన మొక్క
ଗ୍ରାଫ୍ଟ-ଅସଙ୍ଗତ |,అంటుకట్టుట-అపజయం
ଗ୍ରାନା |,గ్రన్నా
ଗ୍ରାନୁଲେସନ୍,గ్రాన్యులేషన్
ସବୁଜ ଖତ,ఆకుపచ్చ ఎరువు
ସବୁଜ ବିପ୍ଳବ,హరిత విప్లవం
ଅଭିବୃଦ୍ଧି ଏବଂ ବିକାଶ |,పెరుగుదల మరియు అభివృద్ధి
ଗୁମ୍ବୋସ୍,గుమ్మోసిస్
ନଦୂତର,గైనోడియోసియస్
ଗଲ୍ ବାଦାମ |,పిత్తాశయ గింజ
ରସୁଣ |,వెల్లుల్లి
ଅହବେରା |,గెర్బెరా
ଘର୍ନ୍କିନ୍ |,గెర్కిన్
ଅଦା,అల్లం
ଗୁଗାଓସସ୍ |,గ్లాడియోలస్
ଛେଳି ତୃଣକ (ଏଗ୍ରାଟମ୍),మేక కలుపు (అగెరాటమ్)
ଅଙ୍ଗୁର ଫଳ,ద్రాక్షపండు
ଅଙ୍ଗୁର,ద్రాక్ష
ସବୁଜ ଗ୍ରାମ,ఆకుపచ్చ గ్రామ్
Grewia,గ్రెవియా
ଭୂମିରେ,వేరుశనగ
ଗୁଆବା,గువా
ଗିନି ଘାସ,గినియా గడ్డి
ଗାଲ୍ ମିଜ୍ |,పిత్తాశయ మిడ్జ్
ଘାସ ହପର୍ |,గడ్డి హాప్పర్
ଗୁଣ୍ଡିନ୍ ବଗ୍ |,గుండీ బగ్
ଅଭ୍ୟାସ,అలవాటు
କୁଆପଥର,వడగళ్ళు
ହେୟାରସିଭେଚ୍ |,హెయిరీ వెచ్
ହାଲଫିଟେଟ୍,హలోఫైట్
ହାରୋ,హారో
ଅମଳ ସୂଚକାଙ୍କ |,హార్వెస్ట్ ఇండెక్స్
ଅମଳ,హార్వెస్ట్
ଅମଳ,హార్వెస్టింగ్
ହ୍ୟାଚ୍,హాచ్
ଘାସ,హే
ହେଲିଜ୍ |,హేలేజ్
ହେସ୍ଟକ୍,హేస్టాక్
କୁହୁଡି,పొగమంచు
ଦୁର୍ବଳ,మబ్బుగా
ମୁଣ୍ଡ (ଆଗ୍ରୋ),తల (అగ్రో)
ମୁଣ୍ଡ (ଚ୍ୟାନେଲର),తల (ఛానెల్ యొక్క)
ହେଡିଙ୍ଗ୍,వెనుకకు వెళుతుంది
ହେଜ୍,హెడ్జ్
ହେଡିଙ୍ଗ୍,హెడ్జింగ్
ହେଲିକ୍ସ |,హెలిక్స్
ହେମାଟାଇଟ୍,హెమటైట్
B ଷଧ,హెర్బ్
ହର୍ବରିୟମ୍ |,హెర్బేరియం
B ଷଧୀୟ,హెర్బిసైడ్
ବଂଶାନୁକ୍ରମିକ,వంశపారంపర్యత
ପରବର୍ତ୍ତୀ ସମୟରେ ଚୟନର ଯୋଗ୍ୟତା |,మతవిశ్వాశాల
His ହେମାଫ୍ରୋଡାଇଟ୍ |,హెర్మాఫ్రోడైట్
ହେଟେରକୋମେଟିକ୍ |,హెటెరోక్రోమటిక్
ହେଟେରୋଫର୍ଟିଲାଇଜେସନ୍ |,హెటెరోఫెర్టిలైజేషన్
ହେଟେରୋସିସ୍ |,హెటెరోసిస్
ହେଟେରୋସ୍କୋମ୍,హెటెరోసోమ్
ହେଟେରୋଟ୍ରୋଫ୍ |,హెటెరోట్రోఫ్
Hexaploid,హెక్సాప్లాయిడ్
ହାଇବରନେଟ୍ |,హైబర్నేట్
ଉଚ୍ଚ ଘନତା ଲଗାଇବା |,అధిక సాంద్రతగల నాటడం
ପାହାଡ (ଚାଉଳ),కొండ (బియ్యం)
ହିଷ୍ଟୋଗ୍ରାମ୍,హిస్టోగ్రాం
ହାଇଟେକ୍ ହଳିକତା |,హిటెక్ హార్టికల్చర్
ଗୁପ୍ତ,అందులో నివశించే తేనెటీగలు
ହୋଙ୍ଗ,హూయింగ్
ଧରି ରଖିବା,పట్టుకొని
ଘର ଫାର୍ମ |,హోమ్ ఫామ్
ହୋମେଓଷ୍ଟାସାସାସୀ,హోమియోస్టాసిస్
ହୋମଷ୍ଟେଡ୍ |,హోమ్‌స్టెడ్
ସମଲିଙ୍ଗୀତା |,సజాతీయత
ସମଲିଙ୍ଗୀ,సజాతీయ
ସମ୍ବାଦ,హోమోలోగస్
ସୋମବରଗୋଟେଗୋଟ୍ |,హోమోజైగోట్
ହପର୍,హాప్పర్
ରାଶି,హోరిజోన్
ଉଦ୍ୟାନ କୃଷି ଫସଲ |,ఉద్యాన పంటలు
ଉଦ୍ୟାନ କୃଷି,హార్టికల్చర్
ହୋର୍ଟି-ସିଲଭି ପେଷ୍ଟୁରାଲ୍ ଚାଷ ​​|,హోర్టి-సిల్వి పాస్టోరల్ ఫార్మింగ్
ହୋଷ୍ଟ,హోస్ట్
ଗରମ ପାଣି ଚିକିତ୍ସା |,వేడి నీటి చికిత్స
ହଲ୍,హల్
ଆର୍ଦ୍ରତା,తేమ
ହ୍ୟୁମସ୍,హ్యూమస్
ହସ୍,హస్క్
ହ୍ୱକର୍,హస్కర్
ହସିଂ,హస్కింగ్
ହାଇବ୍ରିଡ୍ |,హైబ్రిడ్
ହାଇବ୍ରିଡାଇଜେସନ୍ |,హైబ్రిడైజేషన్
ହାଇଡ୍ରେସନ୍,ఆర్ద్రీకరణ
ହାଇଡ୍ରୋଲୋଜି,హైడ్రాలజీ
ହାଇଡ୍ରୋଲାଇସିସ୍,జలవిశ్లేషణ
ହାଇଡ୍ରୋମିଟର |,హైడ్రోమీటర్
ହାଇଡ୍ରୋଫିଲୋସ୍,హైడ్రోఫిలస్
ହାଇଡ୍ରୋପୋନିକ୍ସ |,హైడ్రోపోనిక్స్
ହାଇଡ୍ରୋସଫେରର୍ |,హైడ్రోస్పియర్
ହାଇଡ୍ରୋସ୍କୋପିଟି |,జలవిద్యుత్
ହାଇପରପେରାସାଇଟ୍ |,హైపర్‌పారాసైట్
ହାଇପରପ୍ସିଆ,హైపర్‌ప్లాసియా
ହାଇଫା,హైఫా
କପଟୋଟଲ୍,హైపోకోటైల్
ଶୁଳୋପାସିସ୍ |,పరికల్పన
ହିଷ୍ଟେରେସିସ୍ (ଜଳ),గర్భసంచి
ହାଜେଲ ବାଦାମ,హాజెల్ గింజ
ହେମ୍ପ,జనపనార
ହେନବାନ୍ |,హెన్‌బేన్
ହେନ୍ନା,హెన్నా
ହାଇବିସ୍କସ୍ |,మందార
ହପ୍,హాప్
ଘୋଡା ଗ୍ରାମ |,ఉలవలు
ଘୋଡା ଚକ୍ଷୁ-ବିନ୍ |,గుర్రం-కంటి-బీన్
ମହୁ ମାଛି,తేనెటీగ
ହପର୍,హాప్పర్
ହାର୍ଟିସୁରିଷ୍ଟ |,హార్టికల్చర్
ଜଳ,హైడ్రాలజిస్ట్
ପରିସ୍ଥିତି ଗ୍ରାଫ୍ଟିଙ୍ଗ୍ ରେ |,సిటు అంటుకట్టుటలో
ଭିଟ୍ରୋରେ |,విట్రోలో
ଭିଭୋରେ,వివో లో
ଅଜ୍ଞାତ,విచక్షణారహితం
କୀଟ,పురుగు
କୀଟପତଙ୍ଗ ପୋକ,పురుగుల తెగులు
କୀଟରୀ,పురుగు
କୀଟନାଶକ,పురుగుమందు
କୀଟନାଶକ,పురుగుమందు
ନିନ୍ଦା,ఇన్సోలేషన్
ଅପିସ୍ମରଣୀ,కరగని
ଇନଷ୍ଟାର (କୀଟ),నాడులు
ଇନସୁଲେଟର |,ఇన్సులేటర్
ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ରୋଗ ପରିଚାଳନା,ఇంటిగ్రేటెడ్ డిసీజ్ మేనేజ్‌మెంట్
ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ପୁଷ୍ଟିକର ପରିଚାଳନା,ఇంటిగ్రేటెడ్ పోషక నిర్వహణ
ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ପେଷ୍ଟ ପରିଚାଳନା,ఇంటిగ్రేటెడ్ పెస్ట్ మేనేజ్‌మెంట్
ତୀବ୍ରତା,తీవ్రత
ତୀବ୍ର,ఇంటెన్సివ్
ଇଣ୍ଟରକ୍ରପ୍,ఇంటర్‌క్రాప్
ଇଣ୍ଟରକେଟିଭେସନ୍ (ଇଣ୍ଟରକଲ୍ଟର),(పరస్పర కల్చే
ଆଗ୍ରହ,వడ్డీ
ଆଭେଜର |,ఇంటర్నోడ్
ଇଣ୍ଟରଫାଜ୍ (କକ୍ଷ ବିଭାଗ),కణ విభజన
ଇଣ୍ଟରପୋଲେସନ୍,ఇంటర్‌పోలేషన్
ଇଣ୍ଟର-ଷ୍ଟେରାଇଲ୍ |,ఇంటర్-స్టెరైల్
ଭଣ୍ଡାର,జాబితా
ଓଲଟା |,విలోమం
ଜଡିତ,Insucre
ଆୟନ,అయాన్
ବିକଶିତତା |,వికిరణం
ଜଳସେଚନ,నీటిపారుదల
ISO ସା elles େଲାଲ |,ISO యుగ్మ వికల్పాలు
ISO ଉତ୍ପାଦ ବକ୍ର |,ISO ఉత్పత్తి వక్రత
ଆଇସୋ ବାର୍ |,ఐసోబార్
ଆଇସୋଗାମି |,ఐసోగామి
ବିଚ୍ଛିନ୍ନତା ଦୂରତା |,ఐసోలేషన్ దూరం
Isploid,ఐసోప్లాయిడ్
Isoquat,ఐసోక్వాంట్
ଇସୋଟୋପ୍,ఐసోటోప్
ଭାରତୀୟ ବିରଞ୍ଚ |,ఇండియన్ బిర్చ్
ଭାରତୀୟ ନୀଳ ପାଇନ୍ |,ఇండియన్ బ్లూ పైన్
ଭାରତୀୟ ଚେରି |,భారతీయ చెర్రీ
ଭାରତୀୟ ଜୁନିପର |,భారతీయ జునిపెర్
ଭାରତୀୟ କୋନୋ ଗଛ |,భారతీయ కినో చెట్టు
ଇଣ୍ଡିଆନ୍ ଆର୍ଥିକ ଗଛ |,భారతీయ లారల్ చెట్టు
ଭାରତୀୟ ମାଡଡରର,భారతీయ పిచ్చి
ଭାରତୀୟ ମାଡଲର |,ఇండియన్ మాడ్లర్
ଇଣ୍ଡିଆନ୍ ପୋଡା ଫାଇଲମ୍ |,ఇండియన్ పోడో ఫైలం
ଇଗିଗୋ |,ఇండిగో
ଇଟାଲୀ ମିଲେଟ |,ఇటాలియన్ మిల్లెట్
ହାତୀ ଦାନ୍ତ,ఐవరీ ట్రీ
ଆଇଭି ଗୋଡ / ଛୋଟ ଗୋରୁକ |,ఐవీ పొట్లకాయ/చిన్న పొట్లకాయ
ଜାଗର,బెల్లం
ଜାପିକା ଚାଉଳ,జపోనికా రైస్
ଜାସିଡ୍ |,జాసిద్
ଜାନବାନୀ ଚାଉଳ |,జవానికా రైస్
ଅଳଙ୍କାର,జెల్లింగ్
Jhum ଚାଷ,H ుమ్ సాగు
ଜମ୍ପ୍ ଜିନ୍,జంపింగ్ జన్యువు
ଜଙ୍କ ଡିନା |,జంక్ DNA
ନାବାଳକ ଚେଜ୍ |,బాల్య దశ
ଜାକରଣ୍ଡା |,జాకరంద
