Assamese,Gujarati
অনুৰণ (মাটি),અનુરાન (માટી)
বিপুষ্পন,વિપુષ્પન
বিলিং,બિલિંગ
বনাঞ্চল ধ্বংস কৰা,વનનાબૂદી
বদনাম,અપમાન
অৱক্ষয়,અધોગતિ
অংশ দিন,ભાગ દિવસ
১.পৰিমাণ ২.অংশ,1. જથ્થો 2. ભાગ
ডিহিচেন্স,અવક્ષય
খোলা আঁতৰোৱা,કુશ્કી દૂર કરવી
খোলা আঁতৰোৱা,કુશ્કી દૂર કરવી
পানীলগা,નિર્જલીકરણ
জলহীন,નિર્જળ
দাবী কৰা,માંગ
১.ডিনেচাৰেচন ২.গুণন,1. વિકૃતિકરણ 2. ગુણાકાર
ডেনুডেচন,નિંદા
1. জমা (মাটি) 2. জমা (অৰ্থনীতি),1. થાપણ (માટી) 2. થાપણ (અર્થશાસ્ત્ર)
জমা,જમા
১.মূল্য হ্ৰাস ২.মূল্য হ্ৰাস,1. અવમૂલ્યન 2. અવમૂલ્યન
ডিচেলাইনেচন,ડિસેલિનેશન
১/ পানী শুকুৱাই লোৱা ২/ পানীলগা,1. પાણી સુકાઈ જવું 2. નિર્જલીકરણ
1. ডিজাইন 2. ডিজাইন,1. ડિઝાઇન 2. ડિઝાઇન
শুকান,સુકા
কাৰ্ণেল আঁতৰোৱা,કર્નલ દૂર કરવું
ডি-ইণ্টাৰকেলেচন,ડી-ઇન્ટરકલેશન
সংযোজন,જોડાણ
১/ মতা মাঞ্জাৰী নিষ্কাশন (মাকৈ) ২) বেলাৰ নিষ্কাশন,1. પુરુષ મંજરી નિષ્કર્ષણ (મકાઈ) 2. બલ્લાર નિષ્કર્ષણ
বল্লাৰ বা কুন্দন কাটিব পৰা,બલ્લાર અથવા કુંદન કટીંગ
নিৰ্ণায়ক,નિર્ધારક
বিমুদ্ৰাকৰণ,અવમૂલ્યન
ডি-ভেজিটেট,ડી-વનસ્પતિ
বিচ্যুতি,વિચલન
দুণ্ডণ,ડબલ
নিদান,નિદાન
ভিন্ন পৰিপক্কতা,વિવિધ પરિપક્વતા
bifurcation,વિભાજન
1. দ্বিবিষাক্ত (বীজ),1. ડાઇકોટાઇલ્ડન 2. ડિકોટાઇલ્ડન (બીજ)
পিঠিৰ ৰোগ,પીઠનો રોગ
১.প্ৰসাৰণ ২.প্ৰসাৰণ,1. પ્રસરણ 2. પ્રસરણ
হজম ক্ষমতা,પાચનક્ષમતા
ডাইহাইব্ৰিড,દ્વિસંકર
১.বান্ধ ২.নলা ৩.পৰিয়াল,1. ડેમ 2. ડ્રેઇન 3. કુટુંબ
সামান্য,અલ્પ
১.একপত্নী ২.একপত্নী,1. મોનોગેમસ 2. મોનોગેમસ
ডিপ্লয়ড,ડિપ્લોઇડ
১.দ্বিগুণী ২.দ্বিগুণী,1. ડિપ્લોઇડ 2. ડિપ્લોઇડ
ডাইপোল,દ્વિધ્રુવ
১.নিষ্কাশন ২.কলি আঁতৰোৱা,1. નિષ્કર્ષણ 2. બડ દૂર કરવું
১.হালোৱা হাল বাই ২.ঘূৰোৱা,1. હળ ખેડવું 2. કાંતવું
ৰেহাই,ડિસ્કાઉન્ટ
বীজাণুনাশক,જીવાણુ નાશકક્રિયા
১.বিক্ষিপ্ততা ২.বিক্ষিপ্ততা,1. વિખેરવું 2. છૂટાછવાયા
1.বিক্ষিপ্ততা 2.ভেৰিয়েন্স,1.સ્કેટરિંગ 2.વિવિધતા
বৈচিত্ৰ্যতা,વૈવિધ્યકરણ
বৈচিত্ৰময় কৃষি,વૈવિધ્યસભર કૃષિ
dna পদক্ষেপ,ડીએનએ પગલું
ডি এন এ ৰিচিভাৰ,ડીએનએ રીસીવર
ডক ভাড়া,ગોદી ભાડે
কাৰ্যকৰী,અસરકારક
নিদ্ৰাহীনতা,નિષ્ક્રિયતા
১/ পৰিমাণ ২. মাত্ৰা ৩. মাত্ৰা,1. જથ્થો 2. માત્રા 3. માત્રા
ডাবল চিগম&#39;ইড বক্ৰ,ડબલ સિગ્મોઇડ વળાંક
1. gust 2. টানিব পৰা,1. ગસ્ટ 2. સ્ટ્રેચ
1. এক্সজেষ্ট ড্ৰেইন 2. এফ্লুৱেণ্ট,1. એક્ઝોસ્ટ ડ્રેઇન 2. પ્રવાહ
নিষ্কাশন,ડ્રેનેજ
ট্ৰেকচন,ટ્રેક્શન
1. ঔষধ দিয়া 2. তিয়াই পেলোৱা,1. દવા આપો 2. ભીંજાવો
প্ৰসাধন সামগ্ৰী (বীজ),સૌંદર્ય પ્રસાધનો (બીજ)
1. অগাৰ 2. অগভীৰ দোষ 3. ড্ৰিল 4. অগাৰ,1. ઓગર 2. છીછરા ફોલ્ટ 3. ડ્રીલ 4. ઓગર
১. ফুটা ২. ড্ৰিল ৩. ড্ৰিল,1. છિદ્ર 2. કવાયત 3. કવાયત
১.ড্ৰিল কৰা ২.ড্ৰিলেৰে বীজ সিঁচা ৩.ড্ৰিলেৰে ঢালি দিয়া,1. ડ્રિલિંગ 2. ડ્રિલ વડે વાવણી 3. ડ્રિલ વડે રેડવું
ড্ৰিপ জলসিঞ্চন,ટપક સિંચાઈ
শুকান খেতি কৰা,સૂકી ખેતી
১.ধূলি ২.বুকনি,1.ધૂળ 2.બુકની
১.ডাষ্টাৰ ২.বিকিৰণকাৰী,1. ડસ્ટર 2. સ્કેટરર
ছটিয়াই দিয়া,છંટકાવ કરવા માટે
১.বামন ২.ৱামন,1. વામન 2. વામન
বামন পিৰামিড,વામન પિરામિડ
বামিণী ভৱন,વામિની ભવન
পৰিৱেশ বিজ্ঞান,ઇકોલોજી
অৰ্থনীতি,અર્થશાસ્ત્ર
অৰ্থনৈতিক দক্ষতা,આર્થિક કાર્યક્ષમતા
পৰিস্থিতিগত ধৰণ,પરિસ્થિતિગત પ્રકાર
অতিৰিক্ত স্তৰযুক্ত,વધારાનું સ્તરીકરણ
কোমল,નરમ
soil বিজ্ঞান,માટી વિજ્ઞાન
1. ব্ৰীজিং 2. এজিং 3. ষ্ট্ৰেণ্ড বন্ধ কৰা,1. બ્રિજિંગ 2. એજિંગ 3. સ્ટ્રાન્ડ ક્લોઝર
খাদ্যৰ অংশ,ખોરાકનો ભાગ
চাহিদাৰ স্থিতিস্থাপকতা,માંગની સ્થિતિસ્થાપકતા
উৎপাদন স্থিতিস্থাপকতা,ઉત્પાદન સ્થિતિસ્થાપકતા
ইলেক্ট্ৰ&#39;লাইছিছ,વિદ્યુત વિચ્છેદન-વિશ્લેષણ
ইলেক্ট্ৰ&#39;ফ&#39;ৰেচিছ,ઇલેક્ટ્રોફોરેસિસ
বাষ্পীভৱন,બાષ્પીભવન
১.ডিকেপিটেটৰ ২.ষ্টেৰাইলাইজাৰ ৩.ডিকেপিটেটৰ ৪.ষ্টেৰাইলাইজাৰ,1. શિરચ્છેદ કરનાર 2. જંતુમુક્ત કરનાર 3. શિરચ્છેદ કરનાર 4. જંતુમુક્ત કરનાર
১/ ৱেইৰ বাণ্ডি ২.ষ্ট্ৰবন্দী,1. વિયર બંડી 2. સ્ટ્રોબંદી
ভ্ৰূণ,ગર્ભ
১.ভ্ৰূণবিজ্ঞান ২.পদাৰ্থ বিজ্ঞান,1. ગર્ભવિજ્ઞાન 2. ભૌતિકશાસ્ત્ર
1. প্ৰস্থান 2. প্ৰস্থান,1. બહાર નીકળો 2. બહાર નીકળો
ইমালচাইফায়াৰ,ઇમલ્સિફાયર
অন্তৰ্জাতীয়,અંતર્જાત
ইন্ট্ৰা-পইণ্ট ডিভিজন,આંતર-બિંદુ વિભાગ
অন্তঃপৰজীৱী,આંતર-પરજીવી
এণ্ডোস্পাৰ্ম,એન્ડોસ્પર્મ
উদ্যোগ,એન્ટરપ્રાઇઝ
পতংগবিজ্ঞান,કીટશાસ્ત્ર
পৰিৱেশ,પર્યાવરણ
১.এনজাইম ২.এনজাইম,1. એન્ઝાઇમ 2. એન્ઝાઇમ
ক্লাষ্টাৰ গ্ৰাফটিং,ક્લસ્ટર કલમ બનાવવી
১.এপিফাইট ২.এপিফাইট,1. એપિફાઇટ 2. એપિફાઇટ
ন্যায়,ઇક્વિટી
নিৰ্মূলকৰণ,નાબૂદી
প্ৰয়োজনীয় পুষ্টিকৰ উপাদান,આવશ્યક પોષક તત્વો
1. জোখ-মাখ 2. জাম্প 3. মূল্যায়ন,1. માપન 2. જમ્પ 3. આકારણી
সূক্ষ্মতা,સુંદરતા
সুজাননিক,સુજનનિક
মূল্যায়ন,મૂલ્યાંકન
ভাপ গেজ,વરાળ માપક
বাষ্পীভৱন,બાષ્પીભવન
চিৰন্তন বিপ্লৱ,શાશ્વત ક્રાંતિ
১.চিৰসেউজ ২.চিৰসেউজ,1. સદાબહાર 2. સદાબહાર
বিকাশ,વિકાસ
কাটি পেলোৱা,કાપી નાખવું
পৰীক্ষয় (উৰ্বৰতা),પરિક્ષય (ફર્ટિલિટી)
শোষণ,શોષણ
১.অন্বেষণ ২.অন্বেষণ,1. અન્વેષણ 2. અન્વેષણ
১.এক্সট্ৰুচন ২.নিগমন,1. ઉત્સર્જન 2. ઉત્સર્જન
নয়ন,આંખ
1. কাৰক 2. উপাদান 3. কাৰক 4. সম্পদ,1. પરિબળ 2. ઘટક 3. પરિબળ 4. સંસાધન
কাৰক উৎপাদনশীলতা,પરિબળ ઉત્પાદકતા
ট্ৰেডছমেনৰ ৰেহাই,વેપારીનું ડિસ્કાઉન્ટ
ফেক্টৰিয়েল ব্লক ডিজাইন,ફેક્ટોરિયલ બ્લોક ડિઝાઇન
বিকল্প,વૈકલ્પિક
১.পট্টি ২.পালিহাৰ,1. પટ્ટી 2. પાલિહાર
গোটেই অংশ,સ્થૂળ
ক্ষেত্ৰ মূল্যায়ন,ક્ષેત્ર મૂલ્યાંકન
ফাৰ্ম বাজেট,ફાર્મ બજેટિંગ
কৃষি ব্যৱসায়,કૃષિ વ્યવસાય
ক্ষেত্ৰ পৰিকল্পনা,ક્ષેત્ર આયોજન
১.কৃষক ২.কৃষক,1. ખેડૂત 2. ખેડૂત
১.কৃষি ২.খেতি কৰা,1. ખેતી 2. ખેતી
সংঘৰ্ষ,અથડામણ
একাধিক প্ৰজনন,બહુવિધ સંવર્ધન
কিম্বন,આથો
উৰ্বৰতা,ફળદ્રુપતા
সাৰ,ખાતર
সাৰৰ ব্যৱহাৰৰ কাৰ্যক্ষমতা,ખાતર ઉપયોગ કાર્યક્ષમતા
আঁহযুক্ত,તંતુમય
১.পাম ২.এলেকা ৩.অৱস্থান,1. ફાર્મ 2. વિસ્તાર 3. સ્થાન
মাটিৰ পানী ধৰি ৰখা,માટી પાણી હોલ્ડિંગ
ক্ষেত্ৰ প্ৰদৰ্শন,ક્ષેત્ર પ્રદર્શન
1. স্থিৰতা 2. স্থিৰকৰণ 3. স্থিৰতা,1. સ્થિરીકરણ 2. ફિક્સેશન 3. ફિક્સેશન
1. প্লাৱন 2. গৰ্ভধাৰণ,1. પાણી ભરવું 2. ગર્ભાધાન
ফ্ল&#39; ডায়াগ্ৰাম,પ્રવાહ રેખાકૃતિ
খাদ্য মূল্য,ખોરાક મૂલ્ય
পশুখাদ্য,ચારો
পুৰ্বানুমান,આગાહી
অৰণ্য,વન
বনানীকৰণ,વનીકરણ
১.তাদপৰ্ণ ২.ফৰ্ম,1. તડપાર્ન 2. ફોર્મ
হিম প্ৰতিৰোধী,હિમ પ્રતિરોધક
১.পালা ২.ব্লাইট,1. પાલા 2. બ્લાઈટ
1. ফ্ৰ&#39;জেন 2. ফ্ৰ&#39;জেন,1. સ્થિર 2. સ્થિર
অনুষ্ঠান,કાર્ય
১/ ফলৰ পতন ২.ফলৰ পতন,1. ફ્રુટ ફોલ 2. ફ્રુટ ફોલ
ফল হৈ পৰে,ફળ બની જાય છે
1. ধূমপান 2. ধূমপান,1. ધૂણી 2. ધૂણી
ভেঁকুৰনাশক,ફૂગનાશક
এন্টিফাংগেল,ફૂગપ્રતિરોધી
ভেঁকুৰ,ફૂગ
১.খুদ ২.সীতা,1. ખુદ 2. સીતા
1. সংযোজন 2. সংযোজন,1. ફ્યુઝન 2. ફ્યુઝન
কপাহী উল,કપાસ ઉન
লোমশ,રુવાંટીવાળું
১/ গছৰ ঘা ২.পিতিকা,1. ઝાડનું અલ્સર 2. પિટિકા
1. গেমেট 2. গেমেট,1. ગેમેટ્સ 2. ગેમેટ્સ
১.বাৰী ২.বাগিচা,1. બગીચો 2. બગીચો
১.পান্সাল ২.হাইড্ৰমিটাৰ,1. પંસલ 2. હાઇડ્રોમીટર
জিন সংগ্ৰহ,જનીન સંગ્રહ
জিন টেগন,જીન ટેગોન
বংশাৱলী,વંશાવળી
জিন মেপ,જનીન નકશો
জেনেটিক্স,જીનેટિક્સ
১/ জিনম ২.সাংগেনে,1. જીનોમ 2. સંગેન
সঞ্জিনী সংগ্ৰহ,સંજીની કલેક્શન
জিনমিক্স,જીનોમિક્સ
জিন প্ৰকাৰ,જીનોટાઇપ
১.জিনৰ গঠন ২.জিনৰ প্ৰকাৰ,1. જનીન માળખું 2. જનીન પ્રકાર
বংশ,લિનેજ
১. প্ৰজাতি ২. বংশ,1. જીનસ 2. વંશ
১.বীজাণু ২.বীজাণু,1. જીવાણુ 2. જીવાણુ
বীজাণুনাশক,જીવાણુનાશક
অংকুৰণ,અંકુરણ
১/ জীৱাণুপ্লাজম ২.জীৱাণুপ্লাজম,1. જર્મપ્લાઝમ 2. જર્મપ્લાઝમ
জিবেৰেলিক এচিড,ગીબેરેલિક એસિડ
গোটাওক,ઉગાડવું
তুষ,ટશ
১/ গ্লুটেন ২,1. ગ્લુટેન 2. ખાઉધરાપણું
গ্লাইকোলাইছিছ,ગ્લાયકોલિસિસ
বঢ়িয়া,સરસ
সোণালী বিপ্লৱ,સુવર્ણ ક્રાંતિ
1. শ্ৰেণীবিভাজন 2. শ্ৰেণীবিভাজন 3. স্তৰবিন্যাস,1. વર્ગીકરણ 2. વર્ગીકરણ 3. સ્તરીકરણ
1. গ্ৰাফ্ট কৰা উদ্ভিদ 2. পেনুম্ব্ৰেল উদ্ভিদ,1. કલમી છોડ 2. પેનમ્બ્રલ પ્લાન્ટ
কলম অসামঞ্জস্যপূৰ্ণ,પેન અસંગત
গ্ৰানা,ગ્રેના
গ্ৰেনুলেচন,દાણાદાર
সেউজীয়া গোবৰ,લીલું ખાતર
সেউজ বিপ্লৱ,હરિયાળી ક્રાંતિ
বৃদ্ধি আৰু বিকাশ,વૃદ્ધિ અને વિકાસ
১/ আঁঠুৰ ৰোগ,1. ગમ રોગ
বিষমযৌন,વિષમલિંગી
1. প্ৰকৃতি 2. প্ৰকৃতি 3. ৰূপগুণ 4. ৰূপ,1. પ્રકૃતિ 2. પ્રકૃતિ 3. રૂપગુણ 4. દેખાવ
১.অলা ২.কৰকাপাট ৩.কৰ্কা,1. ઓલા 2. કરકપાટ 3. કાર્કા
ৰোমিলৱাচ,રોમિલવોચ
চেলাইন চিষ্ট,ખારા ફોલ્લો
harrow,હેરો
১.চপোৱা সূচকাংক ২.চপোৱা সূচকাংক,1. હાર્વેસ્ટિંગ ઈન્ડેક્સ 2. હાર્વેસ્ટિંગ ઈન્ડેક્સ
১.চপোৱা ২.চপোৱা শস্য ৩.সমাপ্ত শস্য ৪.উৎপাদন,1. લણણી 2. લણણી કરેલ પાક 3. સમાપ્ત પાક 4. ઉપજ
১. ছিঙি যোৱা ২. চপোৱা ৩. ছিঙি যোৱা,1. તોડવું 2. લણણી 3. તોડવું
১/ কণী পৰা ২) কণী বল,1. એગ લેઇંગ 2. એગ ફોર્સ
শুকান ঘাঁহ,સૂકું ઘાસ
শুকান খাদ্য,શુષ્ક ફીડ
গঞ্জি,ગંજી
কুঁৱলী,ઝાકળ
কুঁৱলীময়,ધૂંધળું
১.বালি ২.সিত্ত ৩.মুণ্ডক ৪.উপৰ ৫.মূৰ ৬.চিৰা,1. બાલી 2. સિત્ત 3. મુંડક 4. ટોપ 5. હેડ 6. સિરા
খাঁজৰ শেষ,ખાંચનો અંત
শীৰ্ষ ছাঁটনি,ટોચ કાપણી
বেৰা,વાડ
জিম্মাত ৰখা,કસ્ટડીમાં
কুণ্ডলিনী,કુંડલિની
হেমাটাইট,હેમેટાઇટ
১.বনৌষধি ২.বনৌষধি,1. ઔષધિ 2. ઔષધિ
১.উদ্ভিদ সংগ্ৰহ ২.উদ্ভিদ সংগ্ৰহালয়,1.બોટનિકલ કલેક્શન 2.બોટનિકલ મ્યુઝિયમ
ঘাঁহনিনাশক,હર્બિસાઇડ
বংশগততা,આનુવંશિકતા
বংশগততা,આનુવંશિકતા
উভলিংগী,ઉભયલિંગી
হেটেৰ&#39;ক্ৰ&#39;মেটিক,હેટરોક્રોમેટિક
হেটেৰ&#39;ফাৰ্টিলাইজেচন,હેટરોફર્ટિલાઇઝેશન
১.হাইব্ৰিড’জ ২.হেটেৰ’ছিছ,1. હાઇબ્રિડોઝ 2. હેટેરોસિસ
লিংগক্ৰম&#39;জম,લૈંગિક રંગસૂત્રો
লালন-পালন কৰা,ઉછેર
হেক্সাডেচিমেল,હેક્સાડેસિમલ
ঠাণ্ডা নিদ্ৰা,ઠંડી નિષ્ક્રિયતા
উচ্চ ঘনত্বৰ ৰোপণ কৰা,ઉચ્ચ ઘનતા વાવેતર
১.পিণ্ডলক ২.পাহাৰ (ধান),1. પિંડલક 2. ટેકરી (ડાંગર)
হিষ্টোগ্ৰাম,હિસ્ટોગ્રામ
হাই টেক উদ্যান শস্য,ઉચ્ચ તકનીકી બાગાયત
১.দৈ ২.মৌচাক,1. દહીં 2. મધપૂડો
1. অপতৃণ কাটিব পৰা 2. অপতৃণ কাটিব পৰা,1. નીંદણ 2. નીંદણ
ধৰি ৰখা,હોલ્ડિંગ
ব্যক্তিগত পাম,ખાનગી ફાર્મ
হোমিঅ&#39;ষ্টেছিছ,હોમિયોસ્ટેસિસ
গৃহভূমি,વતન
সমতা,એકરૂપતા
1. সমজাতীয় 2. সমজাতীয়,1. સજાતીય 2. સજાતીય
সহানুভূতিশীল,સહાનુભૂતિશીલ
সমযোজী,સજાતીય
১.খুৰিকা ২.খাদ্যৰ পাত্ৰ ৩.হাপাৰ,1. ઘુર્લિકા 2. ખાદ્યપદાર્થો 3. હાપર
১.স্তৰ ২.দিগন্ত,1. સ્તર 2. ક્ષિતિજ
উদ্যান শস্য,બાગાયતી પાક
১/ উদ্যান শস্য ২. উদ্যান শস্য ৩. উদ্যান শস্য ৪. উদ্যান শস্য,1. બાગાયત 2. બાગાયત 3. બાગાયત 4. બાગાયત
