Marathi,English
डिकेरियन,Dikaryon
डिकेरिओफेस,Dikaryophase
डायमर,Dimer
प्रबळ प्राणघातक le लेल,Dominant lethal allele
डिमॉर्फिझम,Dimorphism
डायनिट्रोजन,Dinitrogen
Dinoflagelate,Dinoflagellate
डायओसियस,Dioecious
डायोस्पायरोस मेलानोक्सिलॉन,Diospyros melanoxylon
डिप्प्टाइड,Dipeptide
डायफोडोंट,Diphyodont
डिप्लोबॅसिलस,Diplobacillus
डिप्लोब्लास्टिक,Diploblastic
डिप्लोकोकस न्यूमोनिया,Diplococcus pneumoniae
डिप्लोइड स्टेज,Diploid stage
डिप्लोमा,Diplonema
डिप्लोंटिक,Diplontic
डिप्लोसोम,Diplosome
डिप्लोस्टोम,Diplostome
डिप्लोटिन स्टेज,Diplotene stage
दिप्तेरा,Diptera
दिपेरान,Dipteran
डिपेरोकार्पस होपिया,Dipterocarpus hopea
डिप्थेरिया,Dipthteria
दिशात्मक निवड,Directional selection
डिस्केराइड हायल्यूरॉनिक acid सिड,Disaccharide hyaluronic acid
डिस्केराइड,Disaccharide
डिस्क,Disc
डिस्क फ्लोरेट,Disc floret
परागकण डिस्चार्ज,Discharge of pollen
विवादास्पद भिन्नता,Discontinuous variation
भिन्न उत्परिवर्तन,Discrete mutation
आजार,Disease
विघटन प्रक्रिया,Disharmonising process
जंतुनाशक,Disinfectant
निर्जंतुकीकरण,Disinfected
हाडांचे विकार,Disorders of bone
प्रसार,Dissemination
दूरस्थ,Distal
डिस्टल कॉन्व्होल्यूटेड,Distal convoluted
डिस्टल नेफ्रॉन,Distal nephron
डिस्टल फॅलेन्क्स,Distal phalanx
दूरस्थ रंगद्रव्य,Distal pigment
दैनंदिन,Diurnal
डिव्हॅलेंट केशन,Divalent cation
Divalent,Divalent
डायव्हरज,Diverge
विचलन,Divergence
विविधता,Diversity
कामगार विभाग,Division of labour
विभागणी,Division
विभागणी,Division
डीएनए अवलंबून आरएनए पॉलिमरेज,DNA dependent RNA polymerase
डीएनए ब्लॉटिंग,DNA blotting
डीएनए क्लीवेज,DNA cleavage
डीएनए क्लोइंग,DNA cloining
डीएनए चालित संकरित,DNA driven hybridization
डीएनए फिंगरप्रिंटिंग,DNA fingerprinting
डीएनए लायब्ररी,DNA library
डीएनए वितळणे,DNA melting
डीएनए मेथिलेशन,DNA methylation
डीएनए पॉलिमरेज,DNA polymerase
डीएनए तपासणी,DNA probe
डीएनए दुरुस्ती,DNA repair
डीएनए प्रतिकृती,DNA replicate
डीएनए प्रतिकृती,DNA replication
डीएनए अनुक्रम,DNA sequence
डीएनए स्प्लिंग,DNA splicing
डीएनए सुपर कॉइलिंग,DNA super coiling
डीएनए लिप्यंतरण,DNA transcription
डीएनए वेक्टर,DNA vector
डॉबसन युनिट,Dobson unit
डॉगफिश,Dogfish
डोलिओलम,Doliolum
डॉल्फिन (सस्तन प्राणी),Dolphin (mammal)
पाळीव प्राणी,Domestic animal
पाळीव प्राणी,Domesticated animal
पाळीव वनस्पती,Domesticated plant
घरगुती,Domestication
घरगुती,Domestication
प्रबळ जनुक,Dominant gene
प्रबळ युनिट फॅक्टर,Dominant unit factor
डोनन समतोल,Donnan equilibrium
दाता सेल,Donor cell
डॉपलर प्रभाव,Doppler effect
पृष्ठीय अंतर्गत पृष्ठभाग,Dorsal inner surface
पृष्ठीय मज्जातंतू दोरखंड,Dorsal nerve cord
सुप्तता,Dormancy
पृष्ठीय पंख,Dorsal fin
पृष्ठीय पोकळ मज्जासंस्था,Dorsal hollow nervous system
पृष्ठीय नाकपुडी,Dorsal nostril
पृष्ठीय रूट गँगलियन,Dorsal root ganglion
पृष्ठीय पृष्ठभाग,Dorsal surface
पृष्ठीय व्हिसरल हम्प,Dorsal visceral hump
Dorsiventral लीफ,Dorsiventral leaf
डबल बॉन्ड,Double bond
डबल नारळ,Double coconut
डबल हेलिक्स,Double helix
डबल अडकलेली रचना,Double stranded structure
डाउनस्ट्रीम,Downstream
डाउनस्ट्रीम प्रक्रिया,Downstream processing
डाउन सिंड्रोम,Down syndrome
Dracaena,Dracaena
ड्रॅको,Draco
ड्रॅगन फ्लाय,Dragon fly
थेंब,Droplet
थेंब,Dropsy
ड्रोसोफिला मेलानोगास्टर,Drosophila melanogaster
दुष्काळ,Drought
दुष्काळ प्रतिरोधक गवत,Drought resistant grass
औषध,Drug
औषध,Drug
औषधीचे दुरुपयोग,Drug abuse
शेवगा,Drum stick
Drupe,Drupe
कोरडे बायोमास,Dry biomass
कोरडे साठा,Dry deposition
ड्रायओपिथकस,Dryopithecus
ड्रायऑप्टेरिस,Dryopteris
डक्ट्यूल एफरेंट,Ductule efferent
डक्टस आर्टेरिओसस,Ductus arteriosus
डक्टस एपिडिडिमस,Ductus epididymus
पक्वाशय,Duodenum
डुप्लिकेशन,Duplication
दुरामेटर,Duramater
दुरामेन,Duramen
दुरंत,Duranta
धूळ प्रदूषण,Dust pollution
बटू,Dwarf
बौनेपणा,Dwarfness
बौने-स्टेम प्लांट,Dwarf-stem plant
डायनेन,Dynein
अंक,Digit
गरुड,Eagle
कान ओसिकल,Ear ossicle
इअरकॉकल,Earcockle
सर्वात लवकर जीवन,Earliest life
लवकर लाकूड,Early wood
इअरमफ,Earmuff
पृथ्वी शिखर परिषद,Earth summit
खाणे आणि खाल्ले जात आहे,Eating and being eaten
पृथ्वी,Earth
पृथ्वी,Earth
एबेनालेस,Ebenales
Ebracteate,Ebracteate
ECHENEIS,Echeneis
इचिनोकोकस,Echinococcus
इकोलोकेशन,Echolocation
एक्लिप्टा अल्बा,Eclipta alba
पर्यावरणीय रुपांतर,Ecological adaptation
पर्यावरणीय कार्यक्षमता,Ecological efficiency
पर्यावरणीय परस्परावलंबन,Ecological interdependence
पर्यावरणीय पिरॅमिड,Ecological pyramid
पर्यावरणीय स्वच्छता,Ecological sanitation
पर्यावरणीय वारसा,Ecological succession
पर्यावरणीय टिकाव,Ecological sustainability
इकोलॉजिस्ट,Ecologist
पर्यावरणशास्त्र,Ecology
पर्यावरणीय आणि वातावरण,Ecology and environment
इकोसन टॉयलेट,Ecosan toilet
इकोसिस्टम,Ecosystem
इकोसिस्टम विविधता,Ecosystem diversity
इकोसिस्टम प्रक्रिया,Ecosystem process
इकोसिस्टम सेवा,Ecosystem service
इकोटोन,Ecotone
इकोटोरिझम,Ecotourism
इकोटाइप,Ecotype
ईसीपी ग्रेडियंट,ECP gradient
Ectocarpus,Ectocarpus
Ectoderm,Ectoderm
इक्टोमीकोराझिझा,Ectomycorrhizae
Ectoparasite,Ectoparasite
स्थानभ्रष्ट गर्भधारणा,Ectopic pregnancy
Ectotherm,Ectotherm
Ectothermic,Ectothermic
धार प्रभाव,Edge effect
धार प्रजाती,Edge species
प्रभावी स्ट्रोक,Effective stroke
इंफेक्टर,Effector
इंफेक्टर,Effector
प्रभाव,Efferent
प्रभावी धमनी,Efferent arteriole
कार्यक्षमता निर्देशांक,Efficiency index
FULUENT,Effluent
प्रचलित उपचार प्रकल्प (ईटीपी),Effluent treatment plant (ETP)
प्रवाह,Efflux
Ested,Egested
अंडे,Egg
अंडी उपकरण,Egg apparatus
अहंकार सेंट्रिझम,Ego centrism
आयकॉर्निया क्रॅसिप्स,Eicchornia crassipes
स्खलन नलिका,Ejaculatory duct
एल निनो प्रभाव,El nino effect
Elaioplast,Elaioplast
Elasmobranch,Elasmobranch
लवचिक फायबर,Elastic fibre
लवचिक शक्ती,Elastic force
लवचिकता,Elasticity
ELASTIN,Elastin
इलेटर,Elater
विद्युत क्षेत्र,Electric field
इलेक्ट्रिक इल्युमिनेटर,Electric illuminator
इलेक्ट्रिक ऑर्गन,Electric organ
विद्युत स्त्राव,Electrical discharge
विद्युत संभाव्य फरक,Electrical potential difference
इलेक्ट्रिकल सिनॅप्स,Electrical synapse
इलेक्ट्रोकार्डिओग्राम (ईसीजी),Electrocardiogram (ECG)
इलेक्ट्रोकार्डियोग्राफ,Electrocardiograph
इलेक्ट्रोकार्डियोग्राफी,Electrocardiography
इलेक्ट्रोकेमिकल प्रोटॉन ग्रेडियंट,Electrochemical proton gradiant
इलेक्ट्रोएन्सेफॅलोग्राम,Electroencephalogram
इलेक्ट्रोएन्सेफॅलोग्राफी,Electroencephalography
इलेक्ट्रोजेनिक,Electrogenic
इलेक्ट्रोमॅग्नेटिक लेन्स,Electromagnetic lense
इलेक्ट्रोमॅग्नेटिक रेडिएशन,Electromagnetic radiation
इलेक्ट्रोमॅग्नेटिक सिद्धांत,Electromagnetic theory
इलेक्ट्रॉन स्वीकारणारा,Electron acceptor
इलेक्ट्रॉन बॉम्बस्फोट,Electron bombardment
इलेक्ट्रॉनची कमतरता,Electron deficient
इलेक्ट्रॉन दाता,Electron donor
इलेक्ट्रॉन मायक्रोस्कोप,Electron microscope
इलेक्ट्रॉन पारदर्शकता,Electron transparency
इलेक्ट्रॉन ट्रान्सपोर्ट साखळी,Electron transport chain
इलेक्ट्रॉन ट्रान्सपोर्ट सिस्टम,Electron transport system
इलेक्ट्रोनॅगेटिव्ह,Electronegative
इलेक्ट्रोनॅगेटिव्ह अणू,Electronegative atom
इलेक्ट्रॉनिक कचरा,Electronic waste
इलेक्ट्रोफोरेसीस,Electrophoresis
इलेक्ट्रोपोरेशन,Electroporation
इलेक्ट्रोस्टेटिक प्रीपिटेटर,Electrostatic precipitator
घटक,Element
घटक,Element
अलेफास,Elephas
लंबवर्तुळ पट्टी,Ellipsoid strip
लंबवर्तुळाकार संयुक्त,Ellipsoidal joint
वाढविलेले हृदय,Elongated heart
वाढीचा घटक,Elongation factor
एल्फिडियम,Elphidium
निर्लज्ज,Elution
Emarginate,Emarginate
Emasculation,Emasculation
गर्भ संस्कृती,Embryo culture
गर्भ विकास,Embryo development
गर्भ बचाव,Embryo rescue
गर्भ,Embryo
गर्भ सॅक,Embryo sac
भ्रूण संशोधन,Embryological research
गर्भशास्त्र,Embryology
भ्रूण ब्लास्टोपोर,Embryonic blastopore
भ्रूण विकास,Embryonic development
भ्रूण मृत्यू,Embryonic mortality
उदयोन्मुख हायड्रोफाइट,Emergent hydrophyte
इमिग्रेशन,Emigration
इमिलिया सोनचिफोलिया,Emilia sonchifolia
भावनिक अशांतता,Emotional turbulence
Empetraceae,Empetraceae
एम्फिसीमा,Emphysema
अनुभवजन्य सूत्र,Empirical formula
इमू,Emu
इमल्सिफाइंग,Emulsifying
Enaima,Enaima
मुलामा चढवणे,Enamel
एन्कोड एंजाइम,Encoded enzyme
एन्किस्टेशन,Encystation
शेवटची भिंत,End wall
चिंताजनक,Endangered
स्थानिक,Endemic
एन्डेमिझम,Endemism
एन्डर्गोनिक प्रतिक्रिया,Endergonic reaction
एंडोकार्प,Endocarp
अंतःस्रावी प्रणाली,Endocrine system
एंडोसाइटोसिस,Endocytosis
एंडोडर्म,Endoderm
एंडोलिम्फ,Endolymph
एंडोमेट्रियम,Endometrium
एंडोमायकोरिझा,Endomycorrhizae
एंडोन्यूक्लीझ रिकग्निशन साइट,Endonuclease recognition site
ईंडोप्लास्मिक रेटिक्युलम,Endoplasmic reticulum
एंडोस्कोप,Endoscope
एंडोस्कोपी,Endoscopy
एंडोस्केलेटन,Endoskeleton
एंडोसोम,Endosome
एंडोस्पर्म,Endosperm
एंडोस्पर्मिक,Endospermic
एंडोथेलियल अस्तर,Endothelial lining
एंडोथेलियम,Endothelium
एंडोथर्म (ईओमोईथर्म),Endotherm (eomoiotherm)
एंडोथर्मिक,Endothermic
एंडोथर्मिक,Endothermic
एंडोटॉक्सिन,Endotoxin
शेवटची थैली,End sac
एंडोप्लाज्मिक,Endoplasmic
एंड्रोक्राइन सिस्टम,Endrocrine system
उर्जा आत्मसात केली,Energy assimilated
उर्जा प्रवाह मॉडेल,Energy flow model
उर्जा वृक्षारोपण,Energy plantation
उर्जा वृक्षारोपण,Energy plantation
ऊर्जा स्रोत,Energy source
अभियांत्रिकी,Engineering
एंटामोबा हिस्टोलिटिका,Entamoeba histolytica
एंटरोबियस,Enterobius
एन्टरोसाइट,Enterocyte
एंटरॉन,Enteron
एन्थॅल्पी,Enthalpy
एंटोमोफिलस,Entomophilous
एंटोमोफिली,Entomophily
एन्ट्रोपी,Entropy
वातावरण,Environment
पर्यावरणीय स्थिती,Environmental condition
पर्यावरणीय नीतिशास्त्र,Environmental ethics
पर्यावरणीय घटक,Environmental factor
पर्यावरणीय प्रभाव,Environmental influence
पर्यावरण व्यवस्थापनासाठी,Environmental management
पर्यावरणीय नियोजन आणि समन्वय,Environmental planning and coordination
पर्यावरणीय प्रतिकार,Environmental resistance
एंजाइमॅटिक सामग्री,Enzymatic content
सजीवांच्या शरीरात निर्मार्ण होणारे द्रव्य,Enzyme
सजीवांच्या शरीरात निर्मार्ण होणारे द्रव्य प्रणाली,Enzyme system
एंजाइम-लिंक्ड,Enzyme-linked
इओसिन,Eocene
इओसिनोफिल,Eosinophil
एफेड्रा,Ephedra
इफेमेरल वार्षिक औषधी वनस्पती,Ephemeral annual herb
इफेमेरल,Ephemeral
इपिकलीक्स,Epicalyx
एपिकार्प,Epicarp
एपिडर्मल सेल,Epidermal cell
एपिडर्मिस,Epidermis
एपिडर्मोफिटन,Epidermophyton
एपिडिडिमिस,Epididymis
एपिगीने,Epigynae
एपिगिनस,Epigynous
अपस्मार,Epilepsy
एपिलीमनीन,Epilimnion
एपिमॉर्फोसिस,Epimorphosis
एपिनेफ्रिन,Epinephrine
एपिन्यूरियम,Epineurium
एपिपेटलस,Epipetalous
एपिफिसिस,Epiphysis
एपिफाइट,Epiphyte
एपिसोडिक औदासिन्य,Episodic depression
एपिस्टेसिस,Epistasis
एपिस्टेसिस,Epistasis
उपकला ऊतक,Epithelial tissue
युग,Epoch
एपुलोप्सियम फिशसोनी,Epulopscium fishesoni
विषुववृत्त प्लेट,Equatorial plate
समतोल,Equilibrium
समतोल गाळ,Equilibrium sedimentation
इक्विसेटम,Equisetum
इक्वस,Equus
युग,Era
एर्गोस्टेरॉल,Ergosterol
एरीकल्स,Ericales
इरोशन,Erosion
इर्यूसीक acid सिड,Erucic acid
एरिथ्रिना,Erythrina
एरिथ्रोसाइट (आरबीसी),Erythrocyte (RBC)
एरिथ्रोसाइटिक,Erythrocytic
एरिथ्रोपोएटिक फॅक्टर,Erythropoietic factor
एरिथ्रोपोएटिन,Erythropoietin
एरिथ्रोक्झिलम कोका,Erythroxylum coca
एशेरिचिया कोली,Escherichia coli
अत्यावश्यक तेल,Essential oil
एस्टर बॉन्ड,Ester bond
इस्ट्रोजेन,Estrogen
एस्ट्रोजेन रिप्लेसमेंट थेरपी,Estrogen replacement therapy
मोह,Estuary
इटेरिओ,Etaerio
इथेनॉल,Ethanol
इथर,Ether
एथिडियम ब्रोमाइड,Ethidium bromide
नीतिशास्त्र,Ethology
नीतिशास्त्र,Ethology
इथिलीन,Ethylene
इथिलमेथेन सल्फोनोनेट,Ethylmethane sulphonate
Etiolation,Etiolation
युबॅक्टेरिया,Eubacteria
युबॅक्टेरिया सेल,Eubacteria cell
Euchromatin,Euchromatin
युगलेना,Euglena
युग्लेनॉइड,Euglenoid
युकेरिओट (युकेरिओट),Eukaryote (eucaryote)
युकेरियोटिक सेल,Eukaryotic cell
युकेरियोटिक प्रजाती,Eukaryotic species
इमेटाझोआ,Eumetazoa
Eumitosis,Eumitosis
युनुचॉइडिझम,Eunuchoidism
युपागुरस,Eupagurus
युफोर्बिया,Euphorbia
युफोर्बियासी,Euphorbiaceae
Euplectella,Euplectella
Euryhaline,Euryhaline
Eurythermal,Eurythermal
युसुंगिया,Euspongia
युस्टाचियन ट्यूब,Eustachian tube
युट्रोफिक वॉटर बॉडी,Eutrophic water body
Eutrophication,Eutrophication
Eutrophication,Eutrophication
बाहेर काढले,Evacuated
मूल्यांकन केले,Evaluated
बाष्पीभवन,Evaporation
संध्याकाळी प्रिमरोस,Evening primrose
सदाहरित उष्णकटिबंधीय पाऊस,Evergreen tropical rain forest
उत्क्रांती,Evolution
जीवनाची उत्क्रांती,Evolution of life
उत्क्रांती एजंट,Evolutionary agent
उत्क्रांती जीवशास्त्र,Evolutionary biology
उत्क्रांती प्रक्रिया,Evolutionary process
उत्क्रांती क्रम,Evolutionary sequence
उत्क्रांती प्रजाती,Evolutionary species
उत्क्रांती वर्गीकरणवादी,Evolutionary taxonomist
उत्क्रांतीचा ट्रेंड,Evolutionary trend
एक्झालबुमिनस,Exalbuminous
जास्त वाढ,Excessive growth
जास्त झोप,Excessive sleeping
उत्तेजन,Excitability
विसर्जन,Excretion
मलमूत्र जननेंद्रिय नलिका,Excretory genital duct
मलमूत्र लैक्टिफेरस नलिका,Excretory lactiferous duct
मलमूत्र छिद्र,Excretory pore
मलमूत्र ट्यूब्यूल,Excretory tubule
एक्सरगोनिक प्रतिक्रिया,Exergonic reaction
थकवणारा संसाधने,Exhaustible resources
एक्झोबायोलॉजी,Exobiology
एक्सोकोएटस,Exocoetus
एक्सोक्राइन ग्रंथी,Exocrine gland
एक्सोसाइटोसिस,Exocytosis
एक्झोजेनस,Exogenous
एक्झोजेनस नवोदित,Exogenous budding
एक्झोन्यूक्लीझ,Exonuclease
एक्झोप्रासाइट,Exoprasite
एक्झोप्लाझम,Exoplasm
एक्सोस्केलेटन,Exoskeleton
विदेशी प्रजाती,Exotic species
विस्तार,Expansin
प्रयोग,Experiment
स्पष्टीकरणकर्ता,Explant
वेगाने,Exponentially
व्यक्त केलेला अनुक्रम टॅग (ईएसटी),Expressed sequence tag (EST)
विस्तारितता,Extensibility
बाह्य कान,External ear
बाह्य गर्भधारणा,External fertilization
बाह्य उत्तेजन,External stimulus
नामशेष,Extinction
प्रजाती नष्ट होणे,Extinction of species
अतिरिक्त-ओटीपोटात टेस्ट्स,Extra-abdominal testes
एक्स्ट्रासेल्युलर पचन,Extracellular digestion
एक्स्ट्रासेल्युलर फ्लुइड,Extracellular fluid
बाह्य सेल्युलर सामग्री,Extracellular material
एक्स्ट्रासेल्युलर मॅट्रिक्स,Extracellular matrix
उतारा,Extraction
एक्स्ट्रिमब्रोनिक झिल्ली,Extraembryonic membrane
बाह्य मूळ मूळ,Extraterrestrial origin
अत्यंत वाळवंट,Extreme desert
बाह्य प्रथिने,Extrinsic protein
बाह्य,Extroception
एक्सट्रॉर्स,Extrorse
एक्झुडींग (चिकट) पदार्थ,Exuding (gummy) substance
डोळ्याची जळजळ,Eye inflammation
डोळा लेन्स,Eye lens
डोळा तुकडा,Eye piece
पापणी,Eyelid
मलमूत्र ट्यूब्यूल,Excretory tubule
फॅबेसी,Fabaceae
फॅबॅसियस,Fabaceous
पैलू,Facet
चेहर्याचा हाडे,Facial bone
सुलभीकृत प्रसारण,Facilitated diffusion
शिक्षक परजीवी,Facultative parasite
मलमपट्टी पदार्थ,Faecal matter
Feacal PELLET,Faecal pellet
फाल्कन,Falcon
अंड नलिका,Fallopian tube
खोटे फळ,False fruit
खोटे सेप्टम,False septum
कुटुंब,Family
फॅसिआ,Fascia
फासिकल,Fascicle
फॅस्युलर,Fascicular
फॅसिक्यूल,Fascicule
फासीओला,Fasciola
चरबी विद्रव्य व्हिटॅमिन,Fat soluble vitamin
फॅटी acid सिड,Fatty acid
सदोष प्रत,Faulty copy
प्राणी,Fauna
अनुकूल पर्यावरणीय स्थिती,Favourable environmental condition
पंख,Feather
फेदर स्टार,Feather star
फीथरी कलंक,Feathery stigma
अभिप्राय,Feedback
अभिप्राय प्रतिबंध,Feedback inhibition
अभिप्राय यंत्रणा,Feedback mechanism
आहार,Feeding
फीलर,Feeler
फेलिस,Felis
मादी शंकू,Female cone
मादी प्रोन्यूक्लियस,Female pronucleus
फेमर,Femur
किण्वन,Fermentation
फर्न,Fern
फेरेडॉक्सिन,Ferredoxin
सुपीक संकरित,Fertile hybrid
सुपीक,Fertile
सुपीक,Fertile
सुपीक,Fertile
फर्टिलिन,Fertilin
सुपीकता,Fertility
सुपीकता,Fertility
फर्टिलायझेशन,Fertilization
फर्टिलायझेशन,Fertilization
खत,Fertilizer
फायब्रिलेशन,Fibrillation
फायब्रोब्लास्ट ग्रोथ फॅक्टर (एफजीएफएस),Fibroblast growth factor (FGFs)
फायब्रोब्लास्ट,Fibroblast
फायब्रोकार्टिलेज,Fibrocartilage
फायब्रिनोजेन,Fibrinogen
तंतुमय मूळ प्रणाली,Fibrous root system
तंतुमय,Fibrous
फायबुला,Fibula
फिकस,Ficus
फिकस हेटरोफिला,Ficus heterophylla
फिकस रिअलिओसा (पिपल),Ficus religiosa (pipal)
फील्ड क्षमता,Field capacity
फील्ड नोटबुक,Field notebook
फील्ड क्रमांक,Field number
फिलामेंट हुक,Filament hook
फिलामेंट,Filament
फिलामेंटस,Filamentous
फिलामेंटस प्रकार,Filamentous type
फिलारिया अळी,Filaria worm
फिलिफॉर्म अँटेना,Filiform antenna
फिल्टर फीडिंग,Filter feeding
फिल्टरेशन स्लिट,Filtration slit
फिन,Fin
ललित समायोजन नॉब,Fine adjustment knob
बारीक वाळू,Fine sand
फिंगरप्रिंटिंग,Fingerprinting
थर्मोडायनामिक्सचा पहिला कायदा,First law of thermodynamics
मासे तूप,Fish ghee
फिश ऑइल,Fish oil
फिश प्रोसेसिंग इंडस्ट्री,Fish processing industry
फिश प्रोटीन,Fish protein
मत्स्यपालन,Fishery
विखंडन,Fission
विच्छेदन (मोठा खोबणी),Fissure (large groove)
मुठी,Fistular
पाच अंक (पेंटाडाएक्टिल),Five digits (pentadactyl)
पाच राज्य वर्गीकरण,Five kingdom classification
जीन क्लस्टरचे निराकरण करा,Fix gene cluster
फिक्सेटिव्ह,Fixative
निश्चित किंवा अचल,Fixed or immovable
निश्चित स्त्रोत,Fixed source
फिक्सिंग एजंट,Fixing agent
मायक्रोब फिक्सिंग,Fixing microbe
फ्लॅकिड,Flaccid
फ्लॅजेला,Flagella
फ्लॅगलेट,Flagellate
फ्लॅगलेटेड,Flagellated
फ्लॅगेलिन,Flagellin
फ्लॅगेलम,Flagellum
फ्लेम बल्ब,Flame bulb
फ्लेम सेल,Flame cell
फ्लेमिंगो,Flamingo
फ्लॅट बीन,Flat bean
फ्लॅट एपिथेलियल सेल,Flat epithelial cell
सपाट किडा,Flat worm
सपाट हाड,Flattened bone
फ्लॅव्हिन en डेनिन डायनुक्लियोटाइड,Flavin adenine dinucleotide
मांसल फळ,Fleshy fruit
फ्लिमर फिलामेंट,Flimmer filament
फ्लिपर,Flipper
तरंगणारी बरगडी,Floating rib
फ्लॉक्स,Flocs
फ्लोरा,Flora
फुलांचा मॉर्फोलॉजी,Floral morphology
फुलांची रचना,Floral structure
फुलांचा व्हर्ल,Floral whorl
फ्लोरिजेन,Florigen
Cytometry प्रवाह,Flow cytometry
फ्लॉवर अंकुर,Flower bud
फुलांचा वनस्पती,Flowering plant
फ्लुइड फीडर,Fluid feeder
फ्लुइड मोझॅक मॉडेल,Fluid mosaic model
फ्लूरोसेंस मायक्रोस्कोपी,Fluorescence microscopy
फ्लोरोसेंट डाई,Fluorescent dye
फ्लोरोसेंट स्क्रीन,Fluorescent screen
फ्लोरिन,Fluorine
फ्लोरोक्रोम,Fluorochrome
फ्लोरोक्रोम डाई,Fluorochrome dye
प्रवाह,Flux
माशी राख,Fly ash
फ्लाइंग-फ्रॉग,Flying-frog
उड्डाण करणारे मासे,Flying fish
उड्डाण करणारे हवाई परिवहन,Flying lizard
उड्डाण करणारे हवाई परिवहन,Flying phalanger
फ्लाइंग गिलहरी,Flying squirrel
फोकस,Focus
फोकसिंग अपारॅटस,Focussing aparatus
चारा,Fodder
गर्भाचा इजेक्शन रिफ्लेक्स,Foetal ejection reflex
गर्भ (गर्भ),Foetus (fetus)
पर्णसंभार,Foliage
पर्णासंबंधी रूट,Foliar root
फॉलिक आम्ल,Folic acid
कोल्ली,Follicle
कोल्ली,Follicle
कूप उत्तेजक संप्रेरक (एफएसएच),Follicle stimulating hormone (FSH)
फोलिक्युलर अ‍ॅट्रेशिया,Follicular atresia
अन्न साखळी,Food chain
अन्न आयोजित घटक,Food conducting element
अन्न विषबाधा,Food poisoning
अन्न पिरॅमिड,Food pyramid
अन्न व्हॅक्यूओल,Food vacuole
फूड वेब,Food web
फोरेमेन मॅग्नम,Foramen magnum
फोरेमेन ओव्हले,Foramen ovale
फोरेमिनिफेरन,Foraminiferan
आसंजन शक्ती,Force of adhesion
परदेशी डीएनए,Foreign DNA
फोरलेआयएमबी,Forelimb
फॉरेन्सिक सायन्स,Forensic science
फोरस्किन,Foreskin
फोरस्किन,Foreskin
वन,Forest
वन समुदाय,Forest community
वन ट्रॅक्ट,Forest tract
वनीकरण,Forestry
फॉर्मेटिव्ह फेज,Formative phase
फोसा ओव्हलिस,Fossa ovalis
जीवाश्म,Fossil
जीवाश्म,Fossilised
पालक आई,Foster mother
संस्थापक प्रभाव,Founder effect
संस्थापक,Founder
चार-ओ-क्लॉक (मिराबिलिस जलपा),Four-o-clock (mirabilis jalapa)
Fovea,Fovea
पक्षी,Fowl
नाजूकपणा,Fragility
विखंडन,Fragmentation
सुगंध,Fragrant
फ्रेम-शिफ्ट उत्परिवर्तन,Frame-shift mutation
फ्रँकिया,Frankia
विनामूल्य उर्जा,Free energy
विनामूल्य फ्लोटिंग,Free floating
विनामूल्य लिव्हिंग मायक्रोब,Free living microbe
मुक्त-मध्य,Free-central
मुक्त-लिव्हिंग,Free-living
फ्रीझ-एचिंग तंत्र,Freeze-etching technique
फ्रॉन्ड,Frond
फ्रंटल लोब,Frontal lobe
गोठलेले राज्य,Frozen state
फ्रुगिव्होर,Frugivore
फळ बोरर,Fruit borer
फळ कूप,Fruit follicle
फळ देणारे शरीर,Fruiting body
फळ,Fruitlet
फ्यूकोक्सॅन्थिन,Fucoxanthin
इंधन सामग्री,Fuel material
फनरिया,Funaria
कार्य,Function
कार्यात्मक अवशिष्ट क्षमता,Functional residual capacity
कार्यात्मक युनिट,Functional unit
फंडस,Fundus
बुरशीजन्य रोग,Fungal disease
बुरशीजन्य फॉर्म,Fungal form
बुरशीजन्य हायफा,Fungal hypha
बुरशीजन्य मायसेलियम,Fungal mycelium
बुरशी,Fungi
बुरशीनाशक,Fungicide
बुरशीवानी,Fungivorous
फ्युरिकल,Funicle
फर,Fur
फ्यूरो,Furrow
फ्यूझेरियम उदम,Fusarium udum
फ्यूझेरियम विल्ट,Fusarium wilt
फ्यूज्ड सेक्रल व्हर्टेब्रा,Fused sacral vertebra
फ्यूसिफॉर्म रूट,Fusiform root
फ्यूजन,Fusion
फ्यूजन,Fusion
गॅलॅक्टन,Galactan
गॅलेक्टो यूरोनिक acid सिड,Galacto uronic acid
आकाशगंगा,Galaxy
पित्त कचरा,Gall wasp
पित्त-ब्रीडर,Gall-bladder
गॅलस,Gallus
गेम फिशिंग,Game fishing
गेमेट,Gamete
गेमेटिक मृत्यू,Gametic mortality
गेमेटोजेनेसिस,Gametogenesis
गेमेटोफेटिक,Gametophytic
गामा विविधता,Gamma diversity
गॅमोफिलस,Gamophyllous
गॅमोसेपलस,Gamosepalous
गंगा कृती योजना,Ganga action plan
वायू रचना,Gaseous composition
वायू प्रदूषण,Gaseous pollution
जठरासंबंधी,Gastric
गॅस्ट्रिक इनहिबिटरी पेप्टाइड,Gastric inhibitory peptide
जठरासंबंधी रस,Gastric juice
गॅस्ट्रोइंटेस्टाइनल पेप्टाइड संप्रेरक,Gastrointestinal peptide hormone
अन्ननलिका,Gastrointestinal tract
गॅस्ट्रोइंटेस्टाइनल हार्मोन,Gastrointestinal hormone
गॅस्ट्रोस्कोप,Gastroscope
गॅस्ट्रोव्हस्क्युलर पोकळी,Gastrovascular cavity
गॅस्ट्रुला,Gastrula
गॅस्ट्रुलेटियन,Gastrulatian
Gause चे स्पर्धात्मक अपवर्जन तत्व,Gause's competitive exclusion principle
