Punjabi,Marathi
ਡਿਜ਼ੀਟਲ ਫਿਲਟਰ,डिजिटल फिल्टर
ਡਿਜੀਟਲ ਲਾਇਬ੍ਰੇਰੀ,डिजिटल लायब्ररी
ਡਿਜ਼ੀਟਲ ਮੋਡੂਲੇਸ਼ਨ,डिजिटल मॉड्यूलेशन
ਡਿਜ਼ੀਟਲ ਮਾਨੀਟਰ,डिजिटल मॉनिटर
ਡਿਜ਼ੀਟਲ ਤਸਵੀਰ,डिजिटल चित्र
ਡਿਜੀਟਲ ਦਸਤਖਤ,डिजिटल स्वाक्षरी
ਡਿਜ਼ੀਟਲ ਸਵਿੱਚ,डिजिटल स्विच
ਡਿਜੀਟਲ ਤੋਂ ਐਨਾਲਾਗ (D/A) ਕਨਵਰਟਰ,डिजिटल ते अॅनालॉग (D/A) कनवर्टर
ਡਿਜੀਟਾਈਜ਼ੇਸ਼ਨ,डिजिटायझेशन
digitize,डिजीटल करा
ਡਿਜੀਟਾਈਜ਼ਰ,डिजिटायझर
ਡਾਇਓਡ,डायोड
ਸਿੱਧਾ,थेट
ਸਿੱਧਾ ਪਤਾ,थेट पत्ता
ਸਿੱਧਾ ਪਰਿਵਰਤਨ,थेट रूपांतरण
ਸਿੱਧੀ ਜੋੜੀ,थेट जोडणी
ਡਾਇਰੈਕਟ ਮੈਮੋਰੀ ਐਕਸੈਸ (DMA),डायरेक्ट मेमरी ऍक्सेस (DMA)
ਡਾਇਰੈਕਟ ਮੈਮੋਰੀ ਐਕਸੈਸ (DMA),डायरेक्ट मेमरी ऍक्सेस (DMA)
ਸਿੱਧੀ ਵਿਧੀ,थेट पद्धत
ਨਿਰਦੇਸ਼,निर्देश
ਡਾਇਰੈਕਟਰੀ,निर्देशिका
ਡਾਇਰੈਕਟਰੀ ਸਰਵਰ,निर्देशिका सर्व्हर
ਡਾਇਰੈਕਟਰੀ ਸੇਵਾ,निर्देशिका सेवा
ਅਯੋਗ,अक्षम करा
ਅਸਮਰੱਥ ਸਿਗਨਲ,सिग्नल अक्षम करणे
ਡਿਸਕਨੈਕਟ ਕਰੋ,डिस्कनेक्ट करा
ਵੱਖਰਾ,स्वतंत्र
ਡਿਸਕ,डिस्क
ਡਿਸਕ ਪਤਾ,डिस्क पत्ता
ਡਿਸਕ ਐਰੇ,डिस्क अॅरे
ਡਿਸਕ ਸਮਰੱਥਾ,डिस्क क्षमता
ਡਿਸਕ ਡਰਾਈਵ,डिस्क ड्राइव्ह
ਡਿਸਕ ਫਾਈਲ,डिस्क फाइल
ਡਿਸਕ ਮੈਮੋਰੀ,डिस्क मेमरी
ਡਿਸਕ ਓਪਰੇਟਿੰਗ ਸਿਸਟਮ (DOS),डिस्क ऑपरेटिंग सिस्टम (DOS)
ਡਿਸਕ ਪੈਕ,डिस्क पॅक
ਡਿਸਕ ਸਰਵਰ,डिस्क सर्व्हर
ਡਿਸਕ ਸਟੋਰੇਜ਼,डिस्क स्टोरेज
ਡਿਸਕੇਟ,डिस्केट
ਡਿਸਪਲੇ ਫਾਇਲ,फाइल प्रदर्शित करा
ਡਿਸਪਲੇ ਚਿੱਤਰ,प्रतिमा प्रदर्शित करा
ਨਿਪਟਾਰੇ,विल्हेवाट
ਦੂਰੀ,अंतर
ਦੂਰੀ ਫੰਕਸ਼ਨ,अंतर कार्य
ਵਿਗਾੜ,विकृती
ਵੰਡਿਆ,वितरित केले
ਵੰਡਿਆ ਡਾਟਾ,वितरित डेटा
ਵੰਡਿਆ ਸਰਵਰ,वितरित सर्व्हर
ਵੰਡਿਆ ਸਿਸਟਮ,वितरित प्रणाली
ਵੰਡਣ ਵਾਲਾ,वितरणात्मक
ਦਸਤਾਵੇਜ਼,दस्तऐवज
ਦਸਤਾਵੇਜ਼ ਮੁੜ ਪ੍ਰਾਪਤ ਕੀਤਾ,दस्तऐवज पुनर्प्राप्त
ਦਸਤਾਵੇਜ਼ ਵਿੰਡੋ,दस्तऐवज विंडो
ਦਸਤਾਵੇਜ਼,दस्तऐवजीकरण
ਡੋਮੇਨ,डोमेन
ਡੋਮੇਨ ਨਾਮ,डोमेनचे नाव
ਡਾਟ ਮੈਟਰਿਕਸ ਪ੍ਰਿੰਟਰ,डॉट मॅट्रिक्स प्रिंटर
"ਥੱਲੇ, ਹੇਠਾਂ, ਨੀਂਵਾ",खाली
ਡਾਊਨ ਲਿੰਕ,डाउन लिंक
ਡਾਊਨ ਲੋਡਿੰਗ,डाउन लोडिंग
ਘੱਟ ਸਮਾਂ,खाली वेळ
ਖਿੱਚਣਾ,ड्रॅग करणे
DRAM (ਡਾਇਨਾਮਿਕ ਰੈਮ),DRAM (डायनॅमिक रॅम)
ਵਹਿਣਾ,वाहून जाणे
ਡਰਾਈਵਰ,चालक
ਸੁੱਟੋ,थेंब
ਡ੍ਰੌਪ ਡਾਊਨ ਸੂਚੀ ਬਾਕਸ,ड्रॉप डाउन सूची बॉक्स
ਡਰੱਮ ਡਰਾਈਵ,ड्रम ड्राइव्ह
ਡਰੱਮ ਪ੍ਰਿੰਟਰ,ड्रम प्रिंटर
ਡਰੱਮ ਯੂਨਿਟ,ड्रम युनिट
ਦੋਹਰਾ,दुहेरी
ਦੋਹਰੀ ਘਣਤਾ,दुहेरी घनता
ਨਕਲੀ ਪਤਾ,डमी पत्ता
ਡੰਪ,डंप
ਡੁਪਲੈਕਸ ਸਰਕਟ,डुप्लेक्स सर्किट
ਡੁਪਲੈਕਸਿੰਗ,डुप्लेक्सिंग
ਡੁਪਲੀਕੇਟ,नक्कल
DVD R/W,DVD R/W
DVD ROM,डीव्हीडी रॉम
ਗਤੀਸ਼ੀਲ ਹਦਾਇਤ,डायनॅमिक सूचना
ਗਤੀਸ਼ੀਲ ਮੈਮੋਰੀ,डायनॅमिक मेमरी
ਗਤੀਸ਼ੀਲਤਾ,गतिशीलता
ਈ.ਬੀ.ਸੀ.ਡੀ.ਆਈ.ਸੀ,EBCDIC
ਈ-ਕਾਰੋਬਾਰ,ई-व्यवसाय
echo,प्रतिध्वनी
ਈ-ਕਾਮਰਸ,ई-कॉमर्स
ਸੰਪਾਦਿਤ ਕਰੋ,सुधारणे
ਸੰਪਾਦਕ,संपादक
ਵਿਦਿਅਕ ਤਕਨਾਲੋਜੀ,शैक्षणिक तंत्रज्ञान
EEP ਰੋਮ,ईईपी रोम
ਪ੍ਰਭਾਵੀ ਪਤਾ (ਫਲੋਟਿੰਗ ਪਤਾ),प्रभावी पत्ता (फ्लोटिंग पत्ता)
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਸੰਚਾਲਨ ਪਤਾ,प्रभावी ऑपरेंड पत्ता
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਵਿਧੀ,प्रभावी प्रक्रिया
ਪ੍ਰਭਾਵਸ਼ਾਲੀ UID (ਉਪਭੋਗਤਾ ਪਛਾਣ),प्रभावी UID (वापरकर्ता ओळख)
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਪ੍ਰਸਾਰਣ ਸੰਚਾਲਨ,प्रभावी ट्रान्समिशन ऑपरेंड
ਅੱਠ-ਬਿੱਟ ਬਾਈਟ,आठ-बिट बाइट
ਈ-ਲਰਨਿੰਗ,ई-लर्निंग
ਚੋਣ-ਅਲਗਰਥਮ,निवडणूक-अल्गिर्म
ਇਲੈਕਟ੍ਰਿਕ ਮੇਲਿੰਗ (ਈ-ਮੇਲ),इलेक्ट्रिक मेलिंग (ई-मेल)
ਇਲੈਕਟ੍ਰਿਕ ਪ੍ਰਿੰਟਰ,इलेक्ट्रिक प्रिंटर
ਇਲੈਕਟ੍ਰੀਕਲ ਲੇਖਾ ਮਸ਼ੀਨ,इलेक्ट्रिकल अकाउंटिंग मशीन
ਇਲੈਕਟ੍ਰਾਨਿਕ,इलेक्ट्रॉनिक
ਇਲੈਕਟ੍ਰਾਨਿਕ ਕਲੀਅਰੈਂਸ ਸਿਸਟਮ (ECS),इलेक्ट्रॉनिक क्लिअरन्स सिस्टम (ECS)
ਇਲੈਕਟ੍ਰਾਨਿਕ ਡਾਟਾ ਇੰਟਰਚੇਂਜ (EDI),इलेक्ट्रॉनिक डेटा इंटरचेंज (EDI)
ਇਲੈਕਟ੍ਰਾਨਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,इलेक्ट्रॉनिक डेटा प्रोसेसिंग
ਇਲੈਕਟ੍ਰਾਨਿਕ ਫਾਈਲਿੰਗ,इलेक्ट्रॉनिक फाइलिंग
ਇਲੈਕਟ੍ਰਾਨਿਕ ਫੰਡ ਟ੍ਰਾਂਸਫਰ ਸਿਸਟਮ (EFTS),इलेक्ट्रॉनिक निधी हस्तांतरण प्रणाली (EFTS)
ਇਲੈਕਟ੍ਰਾਨਿਕ ਰਸਾਲੇ,इलेक्ट्रॉनिक जर्नल्स
ਇਲੈਕਟ੍ਰਾਨਿਕ ਪ੍ਰਕਾਸ਼ਨ,इलेक्ट्रॉनिक प्रकाशन
ਇਲੈਕਟ੍ਰਾਨਿਕ ਸਵਿੱਚ,इलेक्ट्रॉनिक स्विच
ਤੱਤ,घटक
ਈ - ਮੇਲ,ई-मेल
ਈਮੇਲ ਖਾਤਾ,ई-मेल पत्ता
ਏਮਬੈਡਡ ਸਿਸਟਮ,एम्बेडेड प्रणाली
ਏਮਬੈਡਿੰਗ,एम्बेडिंग
ਐਮੀਟਰ ਜੋੜੇ ਤਰਕ (ECL),एमिटर कपल लॉजिक (ECL)
ਖਾਲੀ ਸਟੈਕ,रिक्त स्टॅक
ਖਾਲੀ ਸਤਰ,रिक्त स्ट्रिंग
ਇਮੂਲੇਸ਼ਨ,अनुकरण
encapsulation,encapsulation
ਐਨਸਾਈਫਰ,कूटलेखन
ਇੰਕੋਡ,एन्कोड
ਏਨਕੋਡਰ,एन्कोडर
ਐਨਕ੍ਰਿਪਟਡ ਡੇਟਾ,एन्क्रिप्ट केलेला डेटा
ਐਨਕ੍ਰਿਪਟਿੰਗ ਫਾਈਲ ਸਿਸਟਮ,एन्क्रिप्टिंग फाइल सिस्टम
ਇਨਕ੍ਰਿਪਸ਼ਨ,एनक्रिप्शन
ਬਲਾਕ ਦਾ ਅੰਤ,ब्लॉकचा शेवट
ਫਾਈਲ ਦਾ ਅੰਤ (EOF),फाइलचा शेवट (EOF)
ਆਖਰੀ ਉਪਭੋਗਤਾ,अंतिम वापरकर्ता
ਦਾਖਲ ਕਰੋ,प्रविष्ट करा
ਐਂਟਰ-ਕੁੰਜੀ,एंटर-की
ਐਂਟਰਪ੍ਰਾਈਜ਼ ਸਰਵਰ,एंटरप्राइझ सर्व्हर
ਐਂਟਰਪ੍ਰਾਈਜ਼ ਸਿਸਟਮ,एंटरप्राइझ प्रणाली
ਹਸਤੀ,अस्तित्व
ਹਸਤੀ-ਰਿਸ਼ਤਾ,अस्तित्व-संबंध
ਦਾਖਲਾ ਸਮਾਂ,प्रवेश वेळ
ਇੰਦਰਾਜ਼ ਵੇਰੀਏਬਲ,एंट्री व्हेरिएबल
ਅਣਗਿਣਤ,असंख्य
ਵਾਤਾਵਰਣ,वातावरण
ਯੁੱਗ,युग
EPROM,EPROM
epsilon ਬੰਦ,एप्सिलॉन बंद करणे
ਬਰਾਬਰੀ ਕਰਨ ਵਾਲਾ,तुल्यकारक
ਉਪਕਰਨ,उपकरणे
ਸਮਾਨਤਾ ਵਰਗ,समतुल्य वर्ग
ਸਮਾਨਤਾ ਸਬੰਧ,समतुल्य संबंध
ਮਿਟਾਓ,पुसून टाका
ਗਲਤੀ ਠੀਕ ਕਰਨ ਵਾਲਾ ਕੋਡ,कोड दुरुस्त करताना त्रुटी
ਗਲਤੀ ਸੁਧਾਰ,त्रुटी सुधारणे
ਗਲਤੀ ਖੋਜ,त्रुटी शोधणे
ਗਲਤੀ ਹੈਂਡਲਿੰਗ,त्रुटी हाताळणी
ਗਲਤੀ ਸੁਨੇਹਾ,त्रुटी संदेश
ਗਲਤੀ ਦਰ,त्रुटी दर
ਗਲਤੀ ਰਿਕਵਰੀ,त्रुटी पुनर्प्राप्ती
ਗਲਤੀ ਰੁਟੀਨ,त्रुटी नित्यक्रम
ਬਚਣ ਦਾ ਕਿਰਦਾਰ,सुटलेले पात्र
ਈਥਰਨੈੱਟ,इथरनेट
ਘਟਨਾ,कार्यक्रम
ਘਟਨਾ ਲੜੀ,कार्यक्रम साखळी
ਘਟਨਾ ਨਿਯੰਤਰਣ,घटना नियंत्रण
ਘਟਨਾ ਕਾਊਂਟਰ,कार्यक्रम काउंटर
ਅਪਵਾਦ ਹੈਂਡਲਿੰਗ,अपवाद हाताळणी
ਐਕਸਚੇਂਜਯੋਗ ਡਿਸਕ ਸਟੋਰੇਜ,एक्सचेंज करण्यायोग्य डिस्क स्टोरेज
ਬੇਦਖਲੀ,बहिष्कार
ਵਿਸ਼ੇਸ਼ ਜਾਂ (XOR),अनन्य किंवा (XOR)
ਚੱਲਣਯੋਗ ਪ੍ਰੋਗਰਾਮ,एक्झिक्युटेबल प्रोग्राम
ਕਾਰਜਕਾਰੀ ਬਿਆਨ,कार्यकारी विधान
ਪੂਰੀ ਖੋਜ,संपूर्ण शोध
ਮੌਜੂਦ ਹੈ,अस्तित्वात आहे
ਨਿਕਾਸ,बाहेर पडा
ਮਾਹਰ ਸਿਸਟਮ,तज्ञ प्रणाली
ਸਮੀਕਰਨ,अभिव्यक्ती
ਵਿਸਤ੍ਰਿਤ ਗ੍ਰਾਫਿਕ ਐਰੇ (XGA),विस्तारित ग्राफिक अॅरे (XGA)
ਵਿਸਤ੍ਰਿਤ ਉਦਯੋਗ ਮਿਆਰ (EIS),विस्तारित उद्योग मानक (EIS)
ਵਿਸਤ੍ਰਿਤ ਮਸ਼ੀਨ,विस्तारित मशीन
ਵਿਸਤ੍ਰਿਤ ਮੈਮੋਰੀ,विस्तारित मेमरी
ਵਿਸਤ੍ਰਿਤ ਸ਼ੁੱਧਤਾ,विस्तारित अचूकता
ਵਿਸਤ੍ਰਿਤ ਛਾਂਟੀ,विस्तारित वर्गीकरण
ਬਾਹਰੀ ਕਾਲ,बाह्य कॉल
ਬਾਹਰੀ ਗਲਤੀ,बाह्य त्रुटी
ਬਾਹਰੀ ਫੰਕਸ਼ਨ,बाह्य कार्य
ਬਾਹਰੀ ਰੁਕਾਵਟ,बाह्य व्यत्यय
ਬਾਹਰੀ ਮੈਮੋਰੀ,बाह्य मेमरी
ਬਾਹਰੀ ਮੈਮੋਰੀ,बाह्य मेमरी
ਬਾਹਰੀ ਮਾਡਮ,बाह्य मोडेम
ਬਾਹਰੀ ਹਵਾਲਾ,बाह्य संदर्भ
ਬਾਹਰੀ ਖੋਜ,बाह्य शोध
ਬਾਹਰੀ ਸਟੋਰੇਜ਼ ਜੰਤਰ,बाह्य स्टोरेज डिव्हाइस
ਕੱਢਣਾ,काढणे
ਐਕਸਟਰਪੋਲੇਸ਼ਨ,एक्सट्रापोलेशन
ਚਿਹਰਾ-ਚਰਿੱਤਰ ਪ੍ਰਿੰਟਰ,चेहरा-वर्ण प्रिंटर
ਅਸਫਲ-ਸੁਰੱਖਿਅਤ ਕਾਰਵਾਈ,अयशस्वी-सुरक्षित ऑपरेशन
ਅਸਫਲਤਾ ਦੀ ਦਰ,अपयशाचा दर
ਅਸਫਲਤਾ ਰਿਕਵਰੀ,अपयश पुनर्प्राप्ती
ਗਲਤ ਕੋਡ,खोटा कोड
ਗਲਤ ਗਲਤੀ,खोटी चूक
ਪੱਖਾ-ਵਿੱਚ,फॅन-इन
ਪੱਖਾ-ਬਾਹਰ,बाहेर
fascimile I/O ਡਿਵਾਈਸ,फॅसिमाईल I/O डिव्हाइस
ਫਾਸਟ ਫੋਰੀਅਰ ਟ੍ਰਾਂਸਫਾਰਮ (FFT),फास्ट फोरियर ट्रान्सफॉर्म (FFT)
ਘਾਤਕ ਗਲਤੀ,गंभीर त्रुटी
ਨੁਕਸ ਖੋਜ,दोष शोधणे
ਨੁਕਸ ਨਿਦਾਨ,दोष निदान
ਨੁਕਸ ਸਹਿਣਸ਼ੀਲਤਾ,चुकीची सहनशीलता
ਫੈਕਸ,फॅक्स
ਫੈਕਸ ਸੁਨੇਹਾ,फॅक्स संदेश
FDC,FDC
ਵਿਸ਼ੇਸ਼ਤਾ ਖੋਜ,वैशिष्ट्य शोध
ਫੀਡ ਚੱਕਰ,फीड सायकल
ਸੁਝਾਅ,अभिप्राय
ਫੀਡਰ,फीडर
ਪ੍ਰਾਪਤ ਕਰੋ,आणणे
ਫਿਬੋਨਾਚੀ ਖੋਜ,फिबोनाची शोध
ਫਿਬੋਨਾਚੀ ਕ੍ਰਮ,फिबोनाची क्रम
ਫਿਬੋਨਾਚੀ ਲੜੀ,फिबोनाची मालिका
ਫਾਈਬਰ ਆਪਟਿਕਸ,फायबर ऑप्टिक्स
ਫਿਡੋ ਜਾਲ,फिडो नेट
ਖੇਤਰ,फील्ड
ਪੰਜਵੀਂ ਪੀੜ੍ਹੀ ਦੇ ਕੰਪਿਊਟਰ,पाचव्या पिढीचे संगणक
ਫਾਈਲ,फाइल
ਫਾਇਲ ਪਹੁੰਚ ਵਿਧੀ,फाइल प्रवेश पद्धत
ਫਾਇਲ ਵੰਡ ਸਾਰਣੀ,फाइल वाटप सारणी
ਫਾਈਲ ਕੰਪਰੈਸ਼ਨ,फाइल कॉम्प्रेशन
ਫਾਇਲ ਦੀ ਨਕਲ,फाइल कॉपी करणे
ਫਾਈਲ ਲੇਆਉਟ,फाइल लेआउट
ਫਾਈਲ ਅਭੇਦ,फाइल विलीनीकरण
ਫਾਇਲ ਰਿਕਵਰੀ,फाइल पुनर्प्राप्ती
ਫਾਇਲ ਸਟੋਰੇਜ਼,फाइल स्टोरेज
ਫਾਇਲ ਬਣਤਰ,फाइल संरचना
ਫਾਇਲ ਸਿਸਟਮ,फाइल सिस्टम
ਫਾਈਲ ਟ੍ਰਾਂਸਫਰ,फाइल हस्तांतरण
ਫਾਈਲ ਟ੍ਰਾਂਸਫਰ ਪ੍ਰੋਟੋਕੋਲ (FTP),फाइल ट्रान्सफर प्रोटोकॉल (FTP)
ਫਿਲਟਰ,फिल्टर
ਅੰਤਮ ਰਾਜ,अंतिम स्थिती
ਲੱਭੋ,शोधणे
ਸੀਮਿਤ ਰਾਜ ਮਸ਼ੀਨ,मर्यादित राज्य मशीन
ਅੱਗ ਦੀ ਕੰਧ,आग भिंत
ਫਰਮਵੇਅਰ,फर्मवेअर
ਪਹਿਲਾਂ ਆਓ ਪਹਿਲਾਂ ਸੇਵਾ ਕਰੋ,प्रथम येणाऱ्यास प्रथम सेवा
ਪਹਿਲੀ ਪੀੜ੍ਹੀ ਦਾ ਕੰਪਿਊਟਰ,पहिल्या पिढीचा संगणक
ਫਸਟ ਇਨ ਫਸਟ ਆਊਟ (FIFO),फर्स्ट इन फर्स्ट आउट (FIFO)
ਪਹਿਲਾ ਆਰਡਰ ਤਰਕ,प्रथम ऑर्डर तर्क
ਪਹਿਲੀ ਆਰਡਰ ਥਿਊਰੀ,प्रथम ऑर्डर सिद्धांत
ਸਥਿਰ ਭਾਗ,निश्चित विभाजन
ਝੰਡਾ,झेंडा
ਲਚਕਦਾਰ ਡਿਸਕ,लवचिक डिस्क
ਫਲਾਪੀ ਡਿਸਕ,फ्लॉपी डिस्क
ਫਲਾਪੀ ਡਿਸਕ ਡਰਾਈਵ (Fdd),फ्लॉपी डिस्क ड्राइव्ह (Fdd)
ਵਹਾਅ ਚਾਰਟ,प्रवाह चार्ट
ਕੰਟਰੋਲ ਦਾ ਵਹਾਅ,नियंत्रण प्रवाह
ਫਲੱਸ਼,फ्लश
ਫੋਲਡਰ,फोल्डर
ਫੌਂਟ,फॉन्ट
ਫੌਂਟ ਪਰਿਵਾਰ,फॉन्ट कुटुंब
ਵਿਦੇਸ਼ੀ ਕੁੰਜੀ,परदेशी की
ਫਾਰਮ,फॉर्म
ਰਸਮੀ ਭਾਸ਼ਾ,औपचारिक भाषा
ਰਸਮੀ ਸਿਸਟਮ,औपचारिक प्रणाली
ਫਾਰਮੈਟ,स्वरूप
ਫਾਰਮੈਟਿੰਗ,स्वरूपन
fortran,फोरट्रान
fortran ਪ੍ਰੋਗਰਾਮਿੰਗ,फोरट्रान प्रोग्रामिंग
ਅੱਗੇ ਸਲੈਸ਼,पुढे झुकणारी तिरकी रेष
ਚੌਥੀ ਪੀੜ੍ਹੀ ਦਾ ਕੰਪਿਊਟਰ,चौथ्या पिढीचा संगणक
ਟੁਕੜਾ,तुकडा
ਫਰੇਮ,फ्रेम
ਮੁਫ਼ਤ ਨੈੱਟ,मोफत नेट
ਮੁਫਤ ਸਾਫਟਵੇਅਰ ਫਾਊਂਡੇਸ਼ਨ,मोफत सॉफ्टवेअर फाउंडेशन
ਮੁਫ਼ਤ ਸਟੋਰੇਜ਼,विनामूल्य संचयन
ਮੁਫ਼ਤਵੇਅਰ,फ्रीवेअर
ਅਗਰਾਂਤ,समोरचे टोक
ਸਾਹਮਣੇ ਪੈਨਲ,समोरची बाजू
ਫੰਕਸ਼ਨ,कार्य
ਫੰਕਸ਼ਨ ਕੁੰਜੀ,फंक्शन की
ਫੰਕਸ਼ਨ ਦਾ ਹਵਾਲਾ,कार्य संदर्भ
ਕਾਰਜਾਤਮਕ ਨਿਰਭਰਤਾ,कार्यात्मक अवलंबित्व
ਕਾਰਜਾਤਮਕ ਟੈਸਟਿੰਗ,कार्यात्मक चाचणी
ਫਜ਼ੀ ਤਰਕ,अस्पष्ट तर्क
ਫਜ਼ੀ ਸੈੱਟ,अस्पष्ट संच
ਲਾਭ,मिळवणे
ਖੇਡ ਦਾ ਰੁੱਖ,खेळाचे झाड
ਪਾੜਾ ਅੱਖਰ,अंतर वर्ण
ਕੂੜਾ,कचरा
ਕੂੜਾ ਇਕੱਠਾ ਕਰਨਾ,कचरा गोळा करणे
ਕੂੜਾ ਇਕੱਠਾ ਕਰਨਾ,कचरा गोळा करणे
ਕੂੜਾ ਬਾਹਰ ਕੂੜਾ (GIGO),कचरा बाहेर कचरा (GIGO)
ਕਪਾਟ,गेट
ਗੇਟਵੇ,प्रवेशद्वार
ਆਮ ਪ੍ਰੋਗਰਾਮ,सामान्य कार्यक्रम
ਆਮ ਪ੍ਰੋਗਰਾਮ,सामान्य कार्यक्रम
ਆਮ ਮਕਸਦ ਕੰਪਿਊਟਰ,सामान्य उद्देश संगणक
ਆਮ ਮਕਸਦ ਕੰਪਿਊਟਰ,सामान्य उद्देश संगणक
ਆਮ ਰਜਿਸਟਰ,सामान्य नोंदणी
ਸਧਾਰਣਕਰਨ,सामान्यीकरण
ਸਧਾਰਣਕਰਨ,सामान्यीकरण
ਆਮ-ਉਦੇਸ਼ ਭਾਸ਼ਾ,सामान्य हेतूची भाषा
ਆਮ-ਉਦੇਸ਼ ਓਪਰੇਟਿੰਗ ਸਿਸਟਮ,सामान्य उद्देश ऑपरेटिंग सिस्टम
ਆਮ ਮਕਸਦ ਰਜਿਸਟਰ,सामान्य-उद्देश रजिस्टर
ਪੈਦਾ ਕੀਤੀ ਗਲਤੀ,व्युत्पन्न त्रुटी
ਬਣਾਉਣ ਫੰਕਸ਼ਨ,निर्मिती कार्य
ਆਮ ਵਰਗ,सामान्य वर्ग
ਆਮ ਫੰਕਸ਼ਨ,सामान्य कार्य
ਆਮ ਨਾਮ,सामान्य नाव
gigo,gigo
ਗਲੋਬਲ,जागतिक
ਗਲੋਬਲ ਕੋਡ,जागतिक कोड
ਗਲੋਬਲ ਲਾਕ,जागतिक लॉक
ਗਲੋਬਲ ਨੈੱਟਵਰਕ,जागतिक नेटवर्क
ਗਲੋਬਲ ਨੈੱਟਵਰਕ,जागतिक नेटवर्क
ਗਲੋਬਲ ਉਪਭੋਗਤਾ,जागतिक वापरकर्ता
ਗਲੋਬਲ ਵੇਰੀਏਬਲ,जागतिक चल
ਵਿਸ਼ਵੀਕਰਨ,जागतिकीकरण
ਗੋਫਰ,गोफर
ਗੋਫਰ ਗਾਹਕ,गोफर क्लायंट
ਗੋਫਰ ਸਰਵਰ,गोफर सर्व्हर
ਗੋਫਰ ਸਾਈਟ,गोफर साइट
ਗੋਫਰ ਸਪੇਸ,गोफर जागा
ਸੁੰਦਰ ਗਿਰਾਵਟ,मोहक अध:पतन
ਵਿਆਕਰਣ ਜਾਂਚਕਰਤਾ,व्याकरण तपासक
ਵਿਆਕਰਣ ਸੁੰਦਰ ਨਿਕਾਸ,व्याकरण डौलदार निर्गमन
ਸਮੁੱਚੀ ਗਿਣਤੀ,एकूण
ਗ੍ਰਾਫ਼,आलेख
ਗ੍ਰਾਫ ਦੀ ਸਾਜ਼ਿਸ਼,आलेख प्लॉटिंग
ਗ੍ਰਾਫਿਕ ਅੱਖਰ,ग्राफिक वर्ण
ਗ੍ਰਾਫਿਕ ਕੰਟਰੋਲਰ,ग्राफिक नियंत्रक
ਗ੍ਰਾਫਿਕ ਡਾਟਾ ਬਣਤਰ,ग्राफिक डेटा संरचना
ਗ੍ਰਾਫਿਕ ਡਿਸਪਲੇਅ ਪ੍ਰੋਗਰਾਮ,ग्राफिक प्रदर्शन कार्यक्रम
ਗ੍ਰਾਫਿਕ ਡਿਸਪਲੇ ਰੈਜ਼ੋਲਿਊਸ਼ਨ,ग्राफिक प्रदर्शन रिझोल्यूशन
ਗ੍ਰਾਫਿਕ ਭਾਸ਼ਾ,ग्राफिक भाषा
ਗ੍ਰਾਫਿਕ ਭਾਸ਼ਾ,ग्राफिक भाषा
ਗ੍ਰਾਫਿਕ ਪੈਨਲ,ग्राफिक पॅनेल
ਗ੍ਰਾਫਿਕਲ ਐਨੀਮੇਸ਼ਨ,ग्राफिकल अॅनिमेशन
ਗ੍ਰਾਫਿਕਲ ਇੰਟਰਫੇਸ ਫਾਰਮੈਟ (GIF),ग्राफिकल इंटरफेस स्वरूप (GIF)
ਗ੍ਰਾਫਿਕਲ ਯੂਜ਼ਰ ਇੰਟਰਫੇਸ (GUI),ग्राफिकल यूजर इंटरफेस (GUI)
ਗਰਾਫਿਕਸ,ग्राफिक्स
ਗਰਾਫਿਕਸ ਐਪਲੀਕੇਸ਼ਨ,ग्राफिक्स अनुप्रयोग
ਗਰਾਫਿਕਸ ਕਰਸਰ,ग्राफिक्स कर्सर
ਗਰਾਫਿਕਸ ਮੋਡ,ग्राफिक्स मोड
ਗਰਾਫਿਕਸ ਪੈਕੇਜ,ग्राफिक्स पॅकेज
ਗਰਾਫਿਕਸ ਸਾਫਟਵੇਅਰ,ग्राफिक्स सॉफ्टवेअर
ਗਰਾਫਿਕਸ ਸਾਫਟਵੇਅਰ,ग्राफिक्स सॉफ्टवेअर
ਗਰਾਫਿਕਸ ਸਾਫਟਵੇਅਰ ਪੈਕੇਜ,ग्राफिक्स सॉफ्टवेअर पॅकेज
ਸਲੇਟੀ ਸਕੇਲ,राखाडी स्केल
ਲਾਲਚੀ ਢੰਗ,लोभी पद्धत
grep,grep
ਗਰਿੱਡ,ग्रिड
ਗਰਿੱਡ ਚਾਰਟ,ग्रिड चार्ट
ਗਰਿੱਡ ਕੰਪਿਊਟਿੰਗ,ग्रिड संगणन
ਗਰਿੱਡ ਮੋਡਿਊਲੇਸ਼ਨ,ग्रिड मॉड्यूलेशन
ਜ਼ਮੀਨੀ ਲਹਿਰ,जमिनीची लाट
ਗਰੁੱਪ,गट
ਸਮੂਹ ਦਾ ਪਤਾ,गट पत्ता
ਗਰੁੱਪ ਕੋਡ,गट कोड
ਸਮੂਹ ਸੰਚਾਰ,गट संवाद
ਸਮੂਹ ਸੰਚਾਰ,गट संवाद
ਸਮੂਹ ਦੀ ਪਛਾਣ,गट ओळख
ਗਰੁੱਪ ਦਾ ਨਾਮ,गटाचे नाव
