Tamil,Hindi
கட்டுப்பாட்டு விசை,नियंत्रण कुंजी
கட்டுப்பாட்டு தர்க்கம்,नियंत्रण तर्क
கட்டுப்பாட்டு வளையம்,नियंत्रण पाश
கட்டுப்பாட்டு குறி,नियंत्रण चिन्ह
கட்டுப்பாட்டு செயல்பாடு,नियंत्रण संक्रिया
கட்டுப்பாட்டு குழு,नियंत्रण पैनल
கட்டுப்பாட்டு சமிக்ஞை,नियंत्रण संकेत
கட்டுப்பாட்டு சுவிட்ச்,नियंत्रण स्विच
கட்டுப்பாட்டு நாடா,नियंत्रण टेप
கட்டுப்பாட்டு முனையம்,"1.नियंत्रण टर्मिनल, 2.नियंत्रण अंतक"
கட்டுப்பாட்டு அலகு (CU),"1.नियंत्रण एकक,2. नियंत्रण इकाई"
ஒன்றிணைதல்,अभिसरण
உரையாடல்,संवाद
உரையாடல் நேரப் பகிர்வு,संवादी काल भाजन
மாற்றம்,रूपांतरण
மாற்றி,परिवर्तक
குக் தேற்றம்,कुक-प्रमेय
இணை செயலி,सह प्रक्रमक
நகல்,प्रतिलिपि
பதிப்புரிமை,सर्वाधिकार
தண்டு,कॉर्ड
கம்பியில்லா தொலைபேசி,"1.कॉर्डलेस टेलीफोन,2. तार रहित टेलीफोन, 3. तार रहित दूरभाष"
தொடர்ச்சி,उपप्रमेय
திருத்தம்,संशोधन
சிதைக்கப்பட்டது,"1.अनुपयोगी, 2. विकृत"
எண்ணிக்கை,गणना
கவுண்டர்,गणक
நாட்டின் குறியீடு,देश कूट
இணை மாறுபாடு,सहप्रसरण
கவரேஜ்,"1.व्याप्ति क्षेत्र,2. प्रसारण"
விபத்து,ध्वंस
முக்கியமான பாதை,क्रांतिक पथ
முக்கியமான பாதை முறை (CPM),क्रांतिक पथ विधि (सी पी एम)
குறுக்கு சோதனை,"1.प्रति परीक्षण, 2.क्रास जांच"
குறுக்கு கம்பைலர்,"1.क्रॉस क्रमादेश-अंतरक,2. प्रति क्रमादेश-अंतरक"
குறுக்கு தீ,अप्रासंगिक सिग्नल
குறுக்கு பேச்சு,अप्रासंगिक वार्ता
குறியாக்கவியல்,गूढालेखी
குறியாக்கவியல்,"1.गूढालेखन, 2.गूढालेखिकी, 3.क्रिप्टोग्राफी"
நாணய சின்னம்,मुद्रा प्रतीक
தற்போதைய அடைவு,वर्तमान निर्देशिका
தற்போதைய சாளரம்,वर्तमान विंडो
கர்சர்,कर्सर
வளைவு,वक्र
வெட்டி ஒட்டு,"1.काटो और चिपकाओ, 2.कर्तन और चिपकाना"
வெட்டு முறை,कर्तन विधि
சைபர்,सािबर
கணணி மையம்,सािबर कैफे
இணைய பணம்,सािबर कैश
சைபர்,सािबर अपराध
சைபர் டெலிக்ஸ்,सािबर डेलिक्स
இணைய சட்டம்,सािबर कानून
இணைய செக்ஸ்,सािबर सेक्स
சைபர்னாடிக்ஸ்,"1.सािबर विज्ञान,2. साइबरनेटिक्स"
சைபர்னேஷன்,"1.सािबरकरण,2. सािबरीकरण"
மிதிவண்டி,चक्र
சுழற்சி நினைவகம்,"1.चक्र स्मृति, 2.चक्र मेमोरी"
சுழற்சி திருட,चक्र हरण
சுழற்சி நேரம்,चक्र काल
சுழற்சி,चक्रीय
டீமன்,डेमॉन
டெய்சி சக்கரம்,डेजी चक्र
தரவு நிர்வாகி,आँकड़ा प्रशासक
தரவு ஒதுக்கீடு,आँकड़ा नियतन
தரவு பகுதி,"1.आँकड़ा क्षेत्र, 2.डाटा क्षेत्र"
தரவு வரிசை,"1.आँकड़ा सरणी,2. ऑकड़ा व्यूह"
தரவு தளம்,"1.डाटा-बेस, 2. आँकड़ा आधार"
தரவு முறிவு,डाटा विभंग
தரவு பஸ்,"1.आँकडा बस, 2. डाटा बस"
தரவு கேரியர்,"1.ऑकड़ा वाहक, 2.डाटा वाहक"
தரவு செல்,आँकड़ा कोष्ठिका
தரவு சேனல்,"1.आँकड़ा प्रणाल, 2. आँकड़ा चैनल"
தரவு தொடர்பு,आँकड़ा संचार
தரவு சுருக்கம்,"1.आँकड़ा संपीडन, 2. डाटा संपीडन"
தரவு புலம்,आँकड़ा क्षेत्र
தரவு கோப்பு,आँकड़ा संचिका
தரவு ஓட்டம்,"1.आँकड़ा प्रवाह, 2. डाटा प्रवाह"
தரவு ஓட்ட விளக்கப்படம்,"1.आँकड़ा प्रवाह संचित्र, 2.चार्ट"
தரவு படிநிலை,आँकड़ा पदानुक्रम
தரவு நிலை,आँकड़ा स्तर
தரவு நூலகம்,"1.आँकड़ा संग्रह, 2. आँकड़ा लाइब्रेरी"
தரவு இணைப்பு அடுக்கு,आँकड़ा कड़ी परत
தரவு இணைப்பு அடுக்கு (DLL),आँकड़ा कड़ी परत (डी एल एल)
தரவு மேலாண்மை,"1.आँकड़ा प्रबंधन, 2.डाटा प्रबंधन"
தரவு கையாளுதல்,"1.ऑकड़ा प्रकलन, 2.डाटा प्रकलन"
தரவு கையாளுதல் மொழி (DML),आँकड़ा प्रकलन भाषा (डी एम एल)
தரவு மோடம்,"आँकड़ा माडेम, डाटा माडेम"
தரவு மாற்றம்,"1.आँकड़ा आपरिवर्तन, 2. आँकड़ा आशोधन"
தரவு நெட்வொர்க்,"1.आँकड़ा जालक्रम, 2.डाटा नेटवर्क"
தரவு செயல்பாடு,"1.आँकड़ा संक्रिया, 2.डाटा संक्रिया"
தரவு அமைப்பு,"1.आँकड़ा संगठन्अ,2. डाटा संगठन"
தரவு வெளியீடு,"1.आँकड़ा निर्गम, 2.डाटा निर्गम"
தரவு பாதை,"1.आँकड़ा पथ, 2. डाटा पथ"
தரவு தயாரிப்பு,"1.आँकड़ा तैयारी, 2. डाटा तैयारी"
தரவு தனியுரிமை,"1.आँकड़ा गोपनीयता, 2. डाटा गोपनीयता"
தரவு செயலி,"1.ऑकड़ा प्रक्रमक, 2. डाटा प्रक्रमक"
தரவு பாதுகாப்பு,"1.आँकड़ा रक्षण, 2. डाटा रक्षण"
தரவு பதிவு,"1.आँकड़ा अभिलेख, 2. डाटा अभिलेख"
தரவு மீட்பு,"1.आँकड़ा पुनः-प्राप्ति, 2. डाटा पुन:प्राप्ति"
தரவு வழக்கமான,"1.आँकड़ा नेमिक, 2. आँकड़ा रुटीन"
தரவு பாதுகாப்பு,"1.आँकड़ा सुरक्षा, 2. डाटा सुरक्षा"
தரவு தொகுப்பு,"1.आँकड़ा समुच्चय,2. डाटा समुच्चय"
தரவு சமிக்ஞை,"1.आँकड़ा संकेत, 2.डाटा संकेत"
தரவு மடு,"1.आँकड़ा अभिगम, 2. डाटा अभिगम"
தரவு மூலம்,"1.आँकड़ा स्रोत, 2.डाटा स्रोत"
தரவு விவரக்குறிப்பு,"1.आँकड़ा विनिर्देश,2. डाटा विनिर्देश"
தரவு நிலையம்,"1.आँकड़ा केंद्र, 2. डाटा केंद्र"
தரவு சேமிப்பு,"1.ऑकड़ा भंडारण, 2. डाटा भंडारण"
தரவு சேமிப்பு அமைப்பு,आँकड़ा भंडारण संरचना
தரவு அமைப்பு,"1.ऑकड़ा संरचना, 2. डाटा संरचना"
தரவு சுவிட்ச்,"1.आँकड़ा स्विच, 2. डाटा स्विच"
தரவு அட்டவணை,"1.आँकड़ा सारणी, 2.डाटा सारणी"
தரவு முனையம்,"1.आँकड़ा अंतक,2. डाटा अंतक"
தரவு படியெடுத்தல்,"1.आँकड़ा अनुलेखन, 2. डाटा अनुलेखन"
தரவு பரிமாற்ற,"1.आँकड़ा अंतरण,2. डाटा अंतरण"
தரவு பரிமாற்றம்,"1.आँकड़ा संचरण, 2. डाटा संचरण"
தரவு பரிமாற்ற சேனல்,"1.आँकड़ा संचरण प्रणाली, 2. डाटा संचरण प्रणाली"
தரவு வகை,"1.आँकड़ा प्रारुप, 2. डाटा प्रारुप"
தரவு அலகு,"1.आँकड़ा एकक, 2. डाटा एकक"
தகவல் மதிப்பீடு,"1.आँकड़ा मान्यीकरण, 2. डाटा मान्यीकरण"
தரவுத்தளம்,डाटाबेस
தரவுத்தள நிர்வாகம்,डाटाबेस प्रशासन
தரவுத்தள வடிவமைப்பு,डाटाबेस अभिकल्प
தரவுத்தள மேலாண்மை அமைப்பு,डाटाबेस प्रबंधन तंत्र
டேட்டாகிராவ்,"1.आँकड़ाग्रेव, 2. डाटाग्रेव"
தரவு,"1.डेटम, 2. ऑकड़ा"
இறந்த மண்டலம்,"1.अक्रिय क्षेत्र, 2.निष्क्रिय क्षेत्र"
முட்டுக்கட்டை,गतिरोध
முட்டுக்கட்டை தடுப்பு,गतिरोध रोकथाम
பிழைத்திருத்தம்,दोष मार्जन
முடிவு பெட்டி,"1.निर्णय कोष्ठ, 2. निर्णय पेटी"
முடிவெடுக்கும் செயல்முறை,निर्णय निर्धारण प्रक्रम
முடிவு ஆதரவு அமைப்பு,निर्णय सहायक तंत्र
முடிவு மரம்,निर्णय वृक्ष
குறிவிலக்கி,"1.कुटवाचक, 2. विकोडक"
சிதைவு கொள்கை,विघटन सिद्धांत
மறைகுறியாக்கம்,विकोडन
அர்ப்பணிக்கப்பட்ட சேனல்,समर्पित प्रणाल
அர்ப்பணிக்கப்பட்ட துறைமுகம்,समर्पित दवारक
பாதுகாப்பு தரவு நெட்வொர்க் (DDN),प्रतिरक्षण आँकडा नेटवर्क (डी डी एन)
பாதுகாப்பு தகவல் அமைப்பு,प्रतिरक्षण सूचना प्रणाली
defragmentation,एकीकरण
தாமதம்,विलंब
தாமத கவுண்டர்,विलंब गणक
தாமத நேரம்,विलंब काल
அழி,"1.मिटाना, 2. हटाना"
நீக்குதல் பதிவு,विलोपन अभिलेख
பிரிப்பான்,परिसीमक
டெல்டா பண்பேற்றம்,डेल्टा माँडुलन
கோரிக்கை பேஜிங்,माँग पृष्ठन
டெமோ,प्रदर्शन
டிமாடுலேஷன்,विमाडुलन
demultiplexer,वि-बहुसंकेतक
இயல்புநிலைப்படுத்தல்,असमान्यीकरण
அடர்த்தி,"1.घनत्व, 2. सधनता"
சார்பு,"1.आश्रिता, 2. निर्भरता"
சார்பு அலகு,आश्रित एकक
வரிசை,विपंक्ति
புறக்கணிப்பு,"1.अपनिर्देशन, 2. अपसंदर्भन"
வழித்தோன்றல் மரம்,व्युत्पन्न वृक्ष
பெறப்பட்ட புலம்,व्युत्पन्न क्षेत्र
இறங்கு வகை,अवरोही छंटाई
வடிவமைப்பு,अभिकल्प
மேசை கால்குலேட்டர்,डेस्क परिकलक
மேசை கணினி,डेस्कटॉप कंप्यूटर
டெஸ்க்டாப் விளக்கக்காட்சி,डेस्कटॉप प्रस्तुतिकरण
டெஸ்க்டாப் பப்ளிஷிங் (டிடிபி),डेस्कटॉप प्रकाशन
டெஸ்க்டாப் வீடியோ,डेस्कटॉप वीडियो
இலக்கு முகவரி,गंतव्य पता
அழிப்பவர்,"1.विनाशक,  2.अपध्वंशक"
நிர்ணயிக்கும் தானியங்கிகள்,निर्धारणात्मक ऑटोमेटा
டெவலப்பர்,विकासक
வளர்ச்சி அமைப்பு,विकास तन्त्र
சாதனம்,युक्ति
சாதன கட்டுப்பாட்டு அலகு,युक्ति नियंत्रण एकक
சாதனம் கட்டுப்படுத்தி,युक्ति नियंत्रक
சாதன மேலாண்மை,युक्ति प्रबंधन
சாதன முறை,युक्ति विधा
நோய் கண்டறிதல்,निदान
கண்டறியும் அமைப்பு,निदानी तंत्र
பரிசோதனை,"1.निदान, 2. निदानिकी"
வரைபடம்,आरेख
டயல்,डायल
டயல் வரி,डायल लाइन
டயல் தொனி,डायल टोन
அழைக்கவும்,डायल अप
உரையாடல்,"1.संवाद, 2. वार्तालाप"
உரையாடல் பெட்டி,वार्तालाप कोष्ठ
டயல்அப் மோடம்,डायलअप मॉडम
பரிமாணம்,विमा
அகராதி,शब्दकोश
வேறுபாடு,"1. अवकलन ,2. विभेदन"
டிஜிட்டல்,अंकीय
டிஜிட்டல் சேனல்,अंकीय प्रणाल
டிஜிட்டல் சுற்று,अंकीय परिपथ
டிஜிட்டல் கணினி,अंकीय कंप्यूटर
டிஜிட்டல் தரவு,"1.अंकीय आँकड़ा, 2.अंकीय डाटा"
டிஜிட்டல் வசதி,अंकीय सुविधा
டிஜிட்டல் வடிகட்டி,अंकीय फिल्टर
டிஜிட்டல் நூலகம்,अंकीय लाइब्रेरी
டிஜிட்டல் பண்பேற்றம்,अंकीय माडुलन
டிஜிட்டல் மானிட்டர்,"1.अंकीय प्रदर्श, 2. डिजीटल मॉनीटर"
டிஜிட்டல் படம்,अंकीय चित्र
டிஜிட்டல் கையொப்பம்,"1.अंकीय हस्ताक्षर, 2. अंकीय चिन्हक"
டிஜிட்டல் சுவிட்ச்,अंकीय स्विच
டிஜிட்டல் முதல் அனலாக் (D/A) மாற்றி,अंकीय अनुरूप रूपांतरक
டிஜிட்டல் மயமாக்கல்,अंकरूपण
இலக்கமாக்கு,अंकीकरण
இலக்கமாக்கி,अंकरूपक
டையோடு,डायोड
நேரடி,प्रत्यक्ष
நேரடி முகவரி,प्रत्यक्ष पता
நேரடி மாற்றம்,प्रत्यक्ष रुपांतरण
நேரடி இணைப்பு,प्रत्यक्ष युग्मन
நேரடி நினைவக அணுகல் (DMA),"1.प्रत्यक्ष स्मृति अभिगम, 2. प्रत्यक्ष मैमोरी अभिगम (डी एम ए)"
நேரடி நினைவக அணுகல் (DMA),प्रत्यक्ष स्मृति अभिगम (डी एम ए)
நேரடி முறை,प्रत्यक्ष विधि
உத்தரவு,निदेश
அடைவு,निर्देशिका
அடைவு சேவையகம்,"1.निर्देशिका परिसेवक, 2. निर्देशिका सर्वर"
அடைவு சேவை,निर्देशिका सेवा
முடக்கு,असमर्थ
சமிக்ஞையை முடக்குகிறது,असमर्थकारी संकेत
துண்டிக்கவும்,"1.असंबंधन, 2. विसंबंधन"
தனித்தனி,"1.असतत , 2. विविक्त"
வட்டு,"1.चक्रिका, 2. डिस्क"
வட்டு முகவரி,"1.चक्रिका पता, 2. डिस्क पता"
வட்டு வரிசை,"1.चक्रिका सरणी, 2. डिस्क सरणी"
வட்டு திறன்,"1.चक्रिका क्षमता, 2. डिस्क क्षमता"
வட்டு இயக்கி,"1.चक्रिका चालक, 2.डिस्क ड्रािव"
வட்டு கோப்பு,चक्रिका संचिका
வட்டு நினைவகம்,"1.चक्रिका स्मृति, 2. चक्रिका मेमोरी, 3.डिस्क स्मृति,4. डिस्क मेमोरी"
வட்டு இயக்க முறைமை (DOS),चक्रिका परिचालन तंत्र (डी ओ एस)
வட்டு தொகுப்பு,चक्रिका संकुल
வட்டு சேவையகம்,"1.चक्रिका परिसेवक, 2. डिस्क सर्वर"
வட்டு சேமிப்பு,"1.चक्रिका भंडारण, 2. डिस्क भंडारण"
வட்டு,डिस्केट
காட்சி கோப்பு,प्रदर्श संचिका
காட்சி படத்தை,प्रदर्श प्रतिबिंब
அகற்றல்,निपटान
தூரம்,दूरी
தூர செயல்பாடு,दूरी फलन
திரித்தல்,विरूपण
விநியோகிக்கப்பட்டது,वितरित
விநியோகிக்கப்பட்ட தரவு,वितरित आँकड़ा
விநியோகிக்கப்பட்ட சேவையகம்,वितरित परिसेवक
விநியோகிக்கப்பட்ட அமைப்பு,"1.वितरित प्रणाली, 2. वितरित तंत्र"
விநியோகிக்கக்கூடிய,वितरक
ஆவணம்,प्रलेख
ஆவணம் மீட்டெடுக்கப்பட்டது,प्रलेख प्रत्यानयित
ஆவண சாளரம்,"1.प्रलेख खिडक़ी, 2. प्रलेख विंडो"
ஆவணங்கள்,प्रलेखन
களம்,"डोमेन, प्रक्षेत्र"
டொமைன் பெயர்,डोमेन नाम
டாட் மேட்ரிக்ஸ் பிரிண்டர்,"1.डॉट मैट्रिक्स मुद्रक, 2. डॉट मैट्रिक्स प्रिंटर"
கீழ்,"अध:, नीचे"
கீழ் இணைப்பு,"1.अवलिंक , 2.अवकड़ी"
பதிவிறக்கம்,अधोभारण
செயலற்ற நேரம்,अधोभारण काल
இழுத்தல்,कर्षण
DRAM (டைனமிக் ரேம்),डीरैम (गतिक रैम)
சறுக்கல்,अपवाह
இயக்கி,चालक
கைவிட,पात
கீழ்தோன்றும் பட்டியல் பெட்டி,निपात सूची बॉक्स
டிரம் டிரைவ்,ड्रम ड्रािव
டிரம் பிரிண்டர்,"1.ड्रम मुद्रक, 2. ड्रम प्रिंटर"
டிரம் அலகு,"1.इम एकक, 2. ड्रम इकाई"
இரட்டை,"1.द्वैत,2. द्वि"
இரட்டை அடர்த்தி,द्वैत घनत्व
போலி முகவரி,"1.मूक पता, 2. छद्म पता"
திணிப்பு,सन्निक्षेप
இரட்டை சுற்று,दवैध परिपथ
டூப்ளெக்சிங்,दवैधीकरण
நகல்,केय्प्रतिकुंजी
டிவிடி ஆர்/டபிள்யூ,"1.डी वी डी आर./डब्ल्यू ,2. डी वी डी पठन, 3.लेखन"
டிவிடி ரோம்,डी वी डी रॉम
மாறும் அறிவுறுத்தல்,गतिक अनुदेश
மாறும் நினைவகம்,"1.गतिक स्मृति, 2.गतिक मेमोरी"
இயக்கவியல்,"1.गति विज्ञान, 2. गतिकी"
EBCDIC,ई बी सी डी आई सी
மின் வணிகம்,ई व्यवसाय
எதிரொலி,प्रतिध्वनि
மின் வணிகம்,"1.ई-कॉमर्स, 2.ई-वाणिज्य"
தொகு,संपादन
ஆசிரியர்,संपादक
கல்வி தொழில்நுட்பம்,शैक्षिक प्रौद्योगिकी
EEP ரோம்,ई ई पी रॉम
பயனுள்ள முகவரி (மிதக்கும் முகவரி),"1.सार्थक पता , 2.प्रभावी पता"
பயனுள்ள செயல்பாட்டு முகவரி,सार्थक संकार्य पता
பயனுள்ள செயல்முறை,प्रभावी क्रिया
பயனுள்ள UID (பயனர் அடையாளம்),प्रभावी यू.आई.डी.
பயனுள்ள பரிமாற்ற செயல்பாடு,प्रभावी संचरण संकार्य
எட்டு பிட் பைட்,अष्टबिट बािट
மின் கற்றல்,"इलेक्ट्रॉनिक अधिगम, ई अधिगम"
தேர்தல்-அல்கிரிதம்,चुनाव एल्गोरिथम
மின் அஞ்சல் (மின்னஞ்சல்),इलेक्ट्रोनिक डाकसेवा (ई. मेल)
மின்சார அச்சுப்பொறி,"1.इलेक्ट्रोनिक मुद्रण, 2.इलेक्ट्रोनिक प्रिटर"
மின் கணக்கியல் இயந்திரம்,विद्युत लेखा मशीन
மின்னணு,इलेक्ट्रोनिकी
மின்னணு அனுமதி அமைப்பு (ECS),इलैक्ट्रॉनिक निकास प्रणाली (ई.सी.एस.)
மின்னணு தரவு பரிமாற்றம் (EDI),इलेक्ट्रॉनिक आँकड़ा विनिमय (इ.डी.आई.)
மின்னணு தரவு செயலாக்கம்,इलेक्ट्रोनिक आंकड़ा संसाधन
மின்னணு தாக்கல்,इलेक्ट्रॉनिक विवरणिक
மின்னணு நிதி பரிமாற்ற அமைப்பு (EFTS),इलेक्ट्रोनिक निधि अंतरण तंत्र (ई.एफ.टी.एस)
மின்னணு இதழ்கள்,"1.इलेक्ट्रॉनिक जर्नल, 2.इलेक्ट्रानिक पत्रिका"
மின்னணு வெளியீடு,इलेक्ट्रॉनिक प्रकाशन
மின்னணு சுவிட்ச்,इलेक्ट्रॉनिक स्विच
உறுப்பு,"तत्व, अवयव"
மின்னஞ்சல்,ई-मेल
மின்னஞ்சல் முகவரி,"1.ई-मेल पता, 2. इलेक्ट्रॉनिक डाक पता"
உட்பொதிக்கப்பட்ட அமைப்பு,अंत:स्थापित तंत्र
உட்பொதித்தல்,अंत:स्थापन
உமிழ்ப்பான் ஜோடி தர்க்கம் (ECL),उत्सर्जक युग्मित तर्क (ई.सी.एल.)
வெற்று அடுக்கு,रिक्त चिति
வெற்று சரம்,"1.रिक्त श्रृंखला, 2. रिक्त माला"
முன்மாதிரி,यंत्रानुकरण
அடைப்பு,"1.केप्सूलीकरण, 2. केप्सूलन"
குறியாக்கி,कूटलेखक
குறியாக்கம்,कूटलेखन
குறியாக்கி,"1.कूटलेखक, 2. कोडक"
மறைகுறியாக்கப்பட்ட தரவு,गूढ आंकडा
என்கிரிப்ட் கோப்பு முறைமை,गूढ फािल सिस्टम
குறியாக்கம்,"1.गोपन, 2. कोडन, 3. कूटलेखन"
தொகுதியின் முடிவு,खंडक अंत
கோப்பின் முடிவு (EOF),संचिका-अन्त
கடைசி பயனாளி,प्रयोक्ता
நுழைய,प्रवेश
நுழைவு விசை,प्रवेश कुंजी
நிறுவன சேவையகம்,"1.उद्यम सरवर, 2. उद्यम सेवक"
நிறுவன அமைப்பு,उद्यम तंत्र
நிறுவனம்,सत्ता
நிறுவனம்-உறவு,सत्ता संबंधता
நுழைவு நேரம்,प्रवेश काल
நுழைவு மாறி,प्रविष्ट चर
எண்ணத்தக்க,गणनीय
சூழல்,परिवेश
சகாப்தம்,"1.ईपोच,2. युग,3. निर्देश क्षण"
EPROM,ईप्राम (वित्तोरण प्रोग्राम्य पठन मात्र स्मृति)
எப்சிலன் மூடல்,एपसिलॉन संवरक
சமநிலைப்படுத்தி,तुल्यकारक
உபகரணங்கள்,उपस्कर
சமநிலை வகுப்பு,तुल्यता वर्ग
சமமான உறவு,तुल्य संबंध
அழிக்க,"1.विलोपन, 2.मिटान"
பிழை திருத்தும் குறியீடு,त्रुटि संशोधन कूट
பிழை திருத்தம்,त्रुटि संशोधन
பிழை கண்டறிதல்,त्रुटि संसूचन
பிழை கையாளுதல்,त्रुटि प्रहस्तन
பிழை செய்தி,त्रुटि संदेश
பிழை விகிதம்,त्रुटि दर
பிழை மீட்பு,त्रुटि पुनर्डद्धार
பிழை வழக்கமான,त्रुटि नेमक
தப்பிக்கும் தன்மை,पलायन संप्रतीक
ஈதர்நெட்,ईथरनेट
நிகழ்வு,घटना
நிகழ்வு சங்கிலி,घटना श्रृंखला
நிகழ்வு கட்டுப்பாடு,घटना नियंत्रण
நிகழ்வு கவுண்டர்,घटना गणक
விதிவிலக்கு கையாளுதல்,अपवाद प्रहस्तन
பரிமாற்றக்கூடிய வட்டு சேமிப்பு,विनिमय डिस्क भंडारण
விலக்குதல்,अपवर्जन
பிரத்தியேக அல்லது (XOR),अनन्य और (एक्स ऑर)
இயங்கக்கூடிய நிரல்,निष्पाद्य क्रमादेश
நிர்வாக அறிக்கை,निष्पादन कथन
முழுமையான தேடல்,चयनिक खोज
உள்ளன,विदयमान
வெளியேறு,निर्गम
நிபுணர் அமைப்பு,विशेषज्ञ तंत्र
வெளிப்பாடு,"1. अभिव्यक्ति ,2. व्यंजक"
நீட்டிக்கப்பட்ட வரைகலை வரிசை (XGA),विस्तारित आलेखीय आव्यूह (एक्स जी ए)
விரிவாக்கப்பட்ட தொழில் தரநிலை (EIS),विस्तारित औदयोगिक मानक (इ.आई.एस.)
நீட்டிக்கப்பட்ட இயந்திரம்,अतिदेशित मशीन
நீட்டிக்கப்பட்ட நினைவகம்,विस्तारित स्मृति
நீட்டிக்கப்பட்ட துல்லியம்,"1.विस्तारित परिशुद्धता, 2.विस्तारित यर्थाथता"
நீட்டிக்கப்பட்ட வரிசையாக்கம்,"1.विस्तारित छंटाी, 2. विस्तारित पृथक्करण"
வெளிப்புற அழைப்பு,वाह्य आह्वान
வெளிப்புற பிழை,वाह्य त्रुटि
வெளிப்புற செயல்பாடு,वाह्य फलन
வெளிப்புற குறுக்கீடு,वाह्य अंतरायन
வெளிப்புற நினைவகம்,"1.वाह्य स्मृति, 2. वाह्य मेमोरी"
வெளிப்புற நினைவகம்,वाह्य स्मृति
வெளிப்புற மோடம்,वाह्य मॉडेम
வெளிப்புற குறிப்பு,वाह्य संदर्भ
வெளிப்புற தேடல்,वाह्य खोज
வெளிப்புற சேமிப்பக சாதனம்,वाह्य भंडारण युक्ति
பிரித்தெடுத்தல்,निष्कर्षण
எக்ஸ்ட்ராபோலேஷன்,बहिर्वेशन
முக எழுத்து அச்சுப்பொறி,फलक संप्रतीक मुद्रक
தோல்வி-பாதுகாப்பான செயல்பாடு,विफल-सुरक्षा संक्रिया
தோல்வி விகிதம்,विफलता दर
தோல்வி மீட்பு,विफलता मुक्ति
தவறான குறியீடு,मिथ्या कूट
தவறான பிழை,मिथ्या त्रुटि
ரசிகர்-இன்,"1.निवेशाँक, 2. निवेश-अंक"
ரசிகர்-அவுட்,"1.निर्गताँक, 2. निर्गत-अंक"
பாசிமைல் I/O சாதனம்,"1.प्रतिकृति आई/ ओ युक्ति ,2. प्रतिकृति निवेश युक्ति/निर्गम"
வேகமான நான்கு உருமாற்றம் (FFT),द्रुत फौरिएर अन्तरण
கொடிய பிழை,घातक त्रुटि
தவறு கண்டறிதல்,दोष संसूचन
தவறு கண்டறிதல்,दोष निदान
தவறு சகிப்புத்தன்மை,दोष सहिष्णुता
தொலைநகல்,फैक्स
தொலைநகல் செய்தி,फैक्स संदेश
FDC,एफ डी सी
அம்சம் கண்டறிதல்,लक्षण संसूचन
உணவு சுழற்சி,भरण चक्र
பின்னூட்டம்,पुनर्निवेश
ஊட்டி,"1.प्रदायक,2.पोषक, 3.फीडर"
எடுக்க,आनयन
ஃபைபோனச்சி தேடல்,फिबोनेकी खोज
ஃபைபோனச்சி வரிசை,फिबोनेकी अनुक्रम
ஃபைபோனச்சி தொடர்,फिबोनेकी श्रेणी
ஃபைபர் ஆப்டிக்ஸ்,तंतु प्रकाशिकी
fido net,फिडो जाल
களம்,क्षेत्र
ஐந்தாம் தலைமுறை கணினிகள்,पंचम पीढ़ी कम्प्यूटर
கோப்பு,"1.संचिका,2. फािल"
கோப்பு அணுகல் முறை,संचिका अभिगम विधि
கோப்பு ஒதுக்கீடு அட்டவணை,संचिका नियतन सारणी
கோப்பு சுருக்கம்,संचिका संपीडन
கோப்பு நகலெடுக்கிறது,संचिका प्रतिलिपिकरण
கோப்பு தளவமைப்பு,संचिका विन्यास
கோப்பு ஒன்றிணைத்தல்,संचिका विलय
கோப்பு மீட்பு,संचिका पुन:प्राप्ति
கோப்பு சேமிப்பு,संचिका भंडारण
கோப்பு அமைப்பு,संचिका संरचना
கோப்பு முறை,संचिका तंत्र
கோப்பு பரிமாற்றம்,संचिका अंतरण
கோப்பு பரிமாற்ற நெறிமுறை (FTP),फाील अंतरण प्रोटोकॉल (एफ टी पी)
வடிகட்டி,फिल्टर
இறுதி நிலை,अंतिम स्थिति
கண்டுபிடிக்க,खोज
வரையறுக்கப்பட்ட நிலை இயந்திரம்,परिमित अवस्था यंत्र
தீ சுவர்,फायर वॉल
நிலைபொருள்,फर्मवेयर
முதலில் வருபவர்களுக்கு முன்னுரிமை,पहले आो पहले पाो
முதல் தலைமுறை கணினி,प्रथम पीढ़ी कंप्यूटर
ஃபர்ஸ்ட் இன் ஃபர்ஸ்ட் அவுட் (FIFO),प्रथम निवेश प्रथम निर्गम (फीफो )
முதல் வரிசை தர்க்கம்,प्रथम कोटि तर्क
முதல் வரிசை கோட்பாடு,प्रथम कोटि सिद्धांत
நிலையான பகிர்வு,नियत विभाजन
கொடி,चिन्ह
நெகிழ்வான வட்டு,नम्य डिस्क
நெகிழ் வட்டு,फ्लॉपी डिस्क
நெகிழ் வட்டு இயக்கி (Fdd),फ्लापी डिस्क चालन (एफ डी डी)
ஓட்ட விளக்கப்படம்,प्रवाह संचित्र
கட்டுப்பாட்டு ஓட்டம்,नियंत्रण प्रवाह
பறிப்பு,प्रधावन
கோப்புறை,फोल्डर
எழுத்துரு,फाँट
எழுத்துரு குடும்பம்,फाँट परिवार
வெளிநாட்டு விசை,वाह्य कुंजी
வடிவம்,रूप
முறையான மொழி,प्रतीकात्मक भाषा
முறையான அமைப்பு,प्रतीकात्मक विधि
வடிவம்,"1.फॉरमैट, 2.आरूप"
வடிவமைத்தல்,आरूपण
ஃபோர்ட்ரான்,फोरट्रॉन
