Hindi,Kannada
सार्व भंडारण क्षेत्र,ಸಾಮಾನ್ಯ ಶೇಖರಣಾ ಪ್ರದೇಶ
सार्व लक्ष्य यंत्र,ಸಾಮಾನ್ಯ ಗುರಿ ಯಂತ್ರ
सार्व उपयोक्ता परिपथ,ಸಾಮಾನ್ಯ ಬಳಕೆದಾರ ಸರ್ಕ್ಯೂಟ್
सार्व उपयोक्ता जालक्रम,ಸಾಮಾನ್ಯ ಬಳಕೆದಾರ ನೆಟ್‌ವರ್ಕ್
सामुदायिकता,ಒಂಟಿಯಾಗಿರುವಿಕೆ
संचारी शब्द संसाधन उपकरण,ಪದ-ಸಂಸ್ಕರಣಾ ಸಾಧನಗಳನ್ನು ಸಂವಹನ ಮಾಡುವುದು
संचार,ಸಂವಹನ
संचार अनुकूलित्र,ಸಂವಹನ ಅಡಾಪ್ಟರ್
संचार प्रणाल,ಸಂವಹನ ಮಾರ್ಗ
संचार सार्ववाहक,ಸಂವಹನ ಸಾಮಾನ್ಯ ವಾಹಕ
संचार नियंत्रण संप्रतीक,ಸಂವಹನ ನಿಯಂತ್ರಣ ಪಾತ್ರ
संचार नियंत्रक,ಸಂವಹನ ನಿಯಂತ್ರಕ
संचार नियंत्रक आसंधि,ಸಂವಹನ ನಿಯಂತ್ರಕ
संचार नियन्त्रण एकक,ಸಂವಹನ ನಿಯಂತ್ರಣ ಘಟಕ
संचार आँकड़ा तंत्र,ಸಂವಹನ ಡೇಟಾ ವ್ಯವಸ್ಥೆ
संचार अंतरापृष्ठ,ಸಂವಹನ ಸಂಪರ್ಕ
संचार लाइन,ಸಂವಹನ ಮಾರ್ಗ
संचार लाइन अनुकूलित्र,ಸಂವಹನ ಮಾರ್ಗ ಅಡಾಪ್ಟರ್
संचार लाइन अभिलक्षण,ಸಂವಹನ ರೇಖೆಯ ವಿಶಿಷ್ಟ
संचार कड़ी,ಸಂವಹನ ಲಿಂಕ್
संचार मिश्रण,ಸಂವಹನ ಮಿಶ್ರಣ
संचार विधा नियंत्रण,ಸಂವಹನ ಮೋಡ್ ನಿಯಂತ್ರಣ
संचार मोडेम,ಸಂವಹನ ಮೋಡೆಮ್
संचार जालक्रम,ಸಂವಹನ ಜಾಲ
संचार केन्द्र,ಸಂವಹನ ಕೇಂದ್ರ
संचार अभिकलित्र,ಸಂವಹನ ಕಂಪ್ಯೂಟರ್
संचार नियंत्रक,ಸಂವಹನ ನಿಯಂತ್ರಕ
संचार उपग्रह,ಸಂವಹನ ಉಪಗ್ರಹ
संचार सुरक्षा उपकरण,ಸಂವಹನ ಭದ್ರತಾ ಸಾಧನಗಳು
संचार प्रक्रिया सामग्री,ಸಂವಹನ ಸಾಫ್ಟ್‌ವೇರ್
संचार उपतन्त्र,ಸಂವಹನ ಉಪವ್ಯವಸ್ಥೆ
संचार अंतक,ಸಂವಹನ ಟರ್ಮಿನಲ್
संचार सिद्धांत,ಸಂವಹನ ಸಿದ್ಧಾಂತ
समुदाय स्वचालित केन्द्र,ಸಮುದಾಯ ಸ್ವಯಂಚಾಲಿತ ವಿನಿಮಯ
समुदाय डायल कार्यालय,ಸಮುದಾಯ ಡಯಲ್ ಆಫೀಸ್
क्रम विनिमयक स्पंद,ಕಮ್ಯುಟೇಟರ್ ನಾಡಿಮಿಡಿತ
संहनन कलन-विधि,ಸಂಕೋಚನ ಕ್ರಮಾವಳ
संपीडन प्रसारण,ಸಂಕೋಚನ
संपीडन प्रसारित्र,ಕಡ್ಡಾಯ
संपीडन प्रसारित्र पथभ्रंशन,ಕಾಂಪ್ಯಾಂಡರ್ ಮಿಸ್ಟಾಕಿಂಗ್
सहचर भंडार पूर्तिकर,"ಒಡನಾಡಿ ಅಂಗಡಿ
 ಬಾಗುತ್ತಾ ಹೋಗು"
"तुलनित्र, तुलनक",ಹೋಲಿಸುವವನು
तुलनक अन्वेषिका,ಹೋಲಿಸುವವನು ತನಿಖೆ
तुलनित्र,"ಘಟಕವನ್ನು ಹೋಲಿಸುವುದು
 (= ಹೋಲಿಕೆದಾರ)"
तुलना संक्रिया,"ಹೋಲಿಕೆ
 ಕಾರ್ಯಾಚರಣೆ"
तुलना संकारक,"ಹೋಲಿಕೆ
 ನಿರ್ವಾಹಕ"
तुलना परीक्षण,ಹೋಲಿಕೆ ಪರೀಕ್ಷೆ
"सुसंगति, संगतता",ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ
सुसंगति परीक्षण,ಹೊಂದಿಕೊಳ್ಳಬಲ್ಲ ಪರೀಕ್ಷೆ
सुसंगत,ಹೊಂದಬಲ್ಲ
सुसंगत कालभागी तंत्र,"ಹೊಂದಾಣಿಕೆಯ ಸಮಯ
 ಹಂಚಿಕೆ ವ್ಯವಸ್ಥೆ"
अनुभाषण,ಸಂಕಲೀಕರಣ
अनुभाषण सहाय,ಸಂಕಲನ ನೆರವು
अनुभाषण,ಸಂಕಲಿಸು
अनुभाषण अवधि,ಕಂಪೈಲ್ ಅವಧಿ
अनुभआषण प्रावस्था,ಕಂಪೈಲ್ ಹಂತ
अनुभाषक,ಕೊಲೆಗಡುಕ
अनुभाषक-अनुभाषक,ಸಂಕಲನ
अनुभाषक निर्देश तंत्र,ಕಂಪೈಲರ್ ನಿರ್ದೇಶನ ವ್ಯವಸ್ಥೆ
अनुभाषक निर्देश,ಕಂಪೈಲರ್ ನಿರ್ದೇಶನ
अनुभाषक जनक,ಕಂಪೈಲರ್ ಜನರೇಟರ್
अनुभाषक अंतरापृष्ठ,ಕಂಪೈಲರ್ ಇಂಟರ್ಫೇಸ್
अनुभाषक भाषा,ಕಂಪೈಲರ್ ಭಾಷೆ
अनुभाषक विकल्प,ಕಂಪೈಲರ್ ಆಯ್ಕೆ
अनुभाषण काल,ಕಂಪೈಲ್ ಸಮಯ
अनुभाषण काल निदानिकी,ಸಮಯ ರೋಗನಿರ್ಣಯವನ್ನು ಕಂಪೈಲ್ ಮಾಡಿ
अनुभाषण काल कथन,ಸಮಯ ಹೇಳಿಕೆಯನ್ನು ಕಂಪೈಲ್ ಮಾಡಿ
अनुभाषण अवधि,ಸಂಚಾರದ ಕಂಪೈಲ್
अनुभाषण प्रावस्था,ಕಂಪೈಲ್ ಹಂತ
अनुभाषक,ಕಂಪೈಲ್ ಪ್ರೋಗ್ರಾಂ (= ಕಂಪ್ಲೈಯರ್)
अनुभाषण काल,ಕಂಪೈಲ್ ಸಮಯ
पूरक,ಪೂರಿಸು
पूरक संक्रिया,ಪೂರಕ ಕಾರ್ಯಾಚರಣೆ
पूरक संकारक,ಪೂರಕ ಆಪರೇಟರ್
पूरक आधार,ಪೂರಕ ಮೂಲ
पूरकित संख्या-पद्धति,ಪೂರಕ ಸಂಖ್ಯೆ ವ್ಯವಸ್ಥೆ
पूरकित्र,ಪೂರಕ
पूरकीकरण,ಪೂರಕವಾಗಿ
नव-पूरक,ಪೂರಕ-ಒಂಬತ್ತು
एक-पूरक,ಒಂದರಲ್ಲಿ ಪೂರಕ
दस-पूरक,ಪೂರಕ ಹತ್ತು
दो-पूरक,ಪೂರಕ-ಎರಡು
संपूर्ण हस्तंगत,ಸಂಪೂರ್ಣ ಕ್ಯಾರಿ
पूर्णता जाँच,ಸಂಪೂರ್ಣತೆ ಪರಿಶೀಲನೆ
संपूर्ण संक्रिया,ಸಂಪೂರ್ಣ ಕಾರ್ಯಾಚರಣೆ
संपूर्ण नेमका,ಸಂಪೂರ್ಣ ದಿನಚರಿ
पूर्ति कूट,ಪೂರ್ಣಗೊಳಿಸುವಿಕೆ ಕೋಡ್
सम्मिश्र अचर,ಸಂಕೀರ್ಣ ಸ್ಥಿರ
सम्मिश्र आंकड़,ಸಂಕೀರ್ಣ ದತ್ತ
सम्मिश्र आँकड़ा प्रकार,ಸಂಕೀರ್ಣ ದತ್ತಾಂಶ ಪ್ರಕಾರ
सम्मिश्र निर्णयन अनुकार,ಸಂಕೀರ್ಣ ನಿರ್ಧಾರ ತೆಗೆದುಕೊಳ್ಳುವ ಸಿಮ್ಯುಲೇಶನ್
जटिलता सिद्धांत,ಸಂಕೀರ್ಣತೆ ಸಿದ್ಧಾಂತ
सम्मिश्र संख्या,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆ
घटक,ಅಂಶ
घटक पता,ಘಟಕ ವಿಳಾಸ
घटक संसाधित्र,ಕಾಂಪೊಯಾಂಟ್ ಪ್ರೊಸೆಸರ್
संयुक्त कन्सोल,ಸಂಯೋಜಿತ ಕನ್ಸೋಲ್
संयोजित परिपथ,ಸಂಯೋಜಿತ ಸರ್ಕ್ಯೂಟ್
संयुक्त बाह्य प्रतीक कोश,ಸಂಯೋಜಿತ ಬಾಹ್ಯ ಚಿಹ್ನೆ ನಿಘಂಟು
संयुक्त प्रतिरूपक,ಸಂಯೋಜಿತ ಮಾಡ್ಯೂಲ್
संयुक्त प्रतिरूपक आँकड़ा समुच्चय,ಸಂಯೋಜಿತ ಮಾಡ್ಯೂಲ್ ಡೇಟಾ ಸೆಟ್
संयुक्त संकारक,ಸಂಯೋಜಿತ ನಿರ್ವಾಹಕ
संयोजन संचिका,ಸಂಯೋಜನೆ ಕೋಲಾಹಲ
संयुक्त प्रतिबंध,ಕಾಂಪೌಂಡ್ ಸ್ಥಿತಿ
संयुक्त तर्कसंगत अवयव,ಸಂಯೋಗದ ಅಂಶ
संयुक्त कथन,ಸಂಯೋಗದ ಹೇಳಿಕೆ
संपीडन,ಸಂಕುಚಿತಗೊಳಿಸು
संपीडित्र,ಜೋಪಾನದವ
मध्यमार्गी जाल,ನಿವ್ವಳವನ್ನು ರಾಜಿ ಮಾಡಿ
अभिकलनीयता,ಲೆಕ್ಕಾಚಾರ
अभिकलनीय फलन,ಲೆಕ್ಕಾಚಾರ ಮಾಡಬಹುದಾದ ಕಾರ್ಯ
अभिकलन,ಗಣನೆ
अभिकलनात्मक जटिलता,ಗಣನ ಸಂಕೀರ್ಣತೆ
अभिकलनात्मक भाषाविज्ञान,ಕಂಪ್ಯೂಟೇಶನಲ್ ಭಾಷಾಶಾಸ್ತ್ರ
अभिकलनात्मक निदर्श,ಕಂಪ್ಯೂಟೇಶನಲ್ ರಾಶಿ
अभिकलनात्मक स्थायित्व,ಕಂಪ್ಯೂಟೇಶನಲ್ ಸ್ಥಿರತೆ
अभिकलन सीमित,ಕಂಪ್ಯೂಟ್ ಲಿಮಿಟೆಡ್
अभिकलन विद्या,ಲೆಕ್ಕಾಚಾರ
"कंप्यूटर, अभिकलित्र",ಕಂಪ್ಯೂಟರ್
अभिकलित्र प्रशासनिक अभिलेख,ಕಂಪ್ಯೂಟರ್ ಆಡಳಿತ ದಾಖಲೆ
अभिकलित्र सहाय अभिकल्पना,ಕಂಪ್ಯೂಟರ್ ನೆರವಿನ ವಿನ್ಯಾಸ
अभिकलित्र-सहाय इंजीनियरी,ಕಂಪ್ಯೂಟರ್ ನೆರವಿನ ಎಂಜಿನಿಯರಿಂಗ್
अभिकलित्र-सहाय निर्माण,ಕಂಪ್ಯೂಟರ್ ನೆರವಿನ ಉತ್ಪಾದನೆ
अभिकलित्र स्थापत्य कला,ಕಂಪ್ಯೂಟರ್ ವಾಸ್ತುಶಿಲ್ಪ
अभिकलित्रीय अंकगणित,ಕಂಪ್ಯೂಟರ್ ಅಂಕಗಣಿತ
अभिकलित्र कला,ಕಂಪ್ಯೂಟರ್ ಕಲೆ
अभिकलित्र सहायित शिक्षा,ಕಂಪ್ಯೂಟರ್ ನೆರವಿನ ಶಿಕ್ಷಣ
अभिकलित्र सहायित अनुदेश,ಕಂಪ್ಯೂಟರ್ ನೆರವಿನ ಸೂಚನೆ
अभिकलित्र सहायित अधिगम,ಕಂಪ್ಯೂಟರ್ ನೆರವಿನ ಕಲಿಕೆ
अभिकलित्र सहायित प्रबंध,ಕಂಪ್ಯೂಟರ್ ನೆರವಿನ ನಿರ್ವಹಣೆ
अभिकलित्र सहायित शिक्षण,ಕಂಪ್ಯೂಟರ್ ನೆರವಿನ ಬೋಧನೆ
अभिकलित्र आधारित स्वचालन,ಕಂಪ್ಯೂಟರ್ ಆಧಾರಿತ ಯಾಂತ್ರೀಕೃತಗೊಂಡ
अभइकलित्र आधारित शिक्षा,ಕಂಪ್ಯೂಟರ್ ಆಧಾರಿತ ಶಿಕ್ಷಣ
अभिकलित्र आधारित अधिगम,ಕಂಪ್ಯೂಟರ್ ಆಧಾರಿತ ಕಲಿಕೆ
अभिकलित्र ब्यूरो,ಕಂಪ್ಯೂಟರ್ ಬ್ಯೂರೋ
अभिकलित्र परिपथिकी,ಕಂಪ್ಯೂಟರ್ ಸರ್ಕಿ
अभिकलित्र कूट,ಕಂಪ್ಯೂಟರ್ ಕೋಡ್
अभिकलित्र संचार,ಕಂಪ್ಯೂಟರ್ ಸಂವಹನ
अभिकलित्र मूलक सम्मेलन,ಕಂಪ್ಯೂಟರ್ ಕಾನ್ಫರೆನ್ಸಿಂಗ್
अभिकलित्र विन्यास,ಕಂಪ್ಯೂಟರ್ ಸಂರಚನೆ
अभिकलित्र कन्सोल,ಕಂಪ್ಯೂಟರ್ ಕನ್ಸೋಲ್
अभिकलित्र नियंत्रण,ಕಂಪ್ಯೂಟರ್ ನಿಯಂತ್ರಣ
अभिकलित्रीय अपराध,ಕಂಪ್ಯೂಟರ್ ಅಪರಾಧ
"अभिकलित्रीय गूढ़लेखन, अभिकलित्रीय गूढ़लेखिकी",ಕಂಪ್ಯೂಟರ್ ಕ್ರಿಪ್ಟೋಗ್ರಫಿ
अभिकलित्र आश्रित भाषा,ಕಂಪ್ಯೂಟರ್-ಅವಲಂಬಿತ ಭಾಷೆ
अभिकलित्र प्रांत,ಕಂಪ್ಯೂಟರ್ ಡೊಮೇನ್
अभिकलित्र द्विसंकेतक,ಕಂಪ್ಯೂಟರ್ ಡ್ಯುಪ್ಲೆ
अभिकलित्र समीकरण,ಕಂಪ್ಯೂಟರ್ ಸಮೀಕರಣ
अभिकलित्र विशेषज्ञ,ಕಂಪ್ಯೂಟರ್ ತಜ್ಞ
अभिकलित्र संरूपण,ಕಂಪ್ಯೂಟರ್ ಫಾರ್ಮ್ಯಾಟಿಂಗ್
अभिकलित्र खेल,ಕಂಪ್ಯೂಟರ್ ಆಟ
अभिकलित्र जनित प्रतिचित्र,ಕಂಪ್ಯೂಟರ್-ರಚಿತ ನಕ್ಷೆ
अभिकलित्र पीढ़ी,ಕಂಪ್ಯೂಟರ್ ಉತ್ಪಾದನೆ
अभिकलित्र आलेखिकी,ಕಂಪ್ಯೂಟರ್ ಗ್ರಾಫಿಕ್ಸ್
अभिकलित्र यंत्रसामग्री,ಕಂಪ್ಯೂಟರ್ ಯಂತ್ರ
अभिकलित्र निरपेक्ष भाषा,ಕಂಪ್ಯೂಟರ್ ಸ್ವತಂತ್ರ ಭಾಷೆ
अभिकलित्र अनुदेश,ಕಂಪ್ಯೂಟರ್ ಸೂಚನೆ
अभिकलित्र अनुदेश कूट,"ಕಂಪ್ಯೂಟರ್
 ಸೂಚನಾ ಸಂಕೇತ"
अभिकलित्र अनुदेश समुच्चय,"ಕಂಪ್ಯೂಟರ್
 ಬೋಧನಾ ನಿಗದಿ"
अभिकलित्र अंतरापृष्ठ एकक,"ಕಂಪ್ಯೂಟರ್
 ಇಂಟರ್ಫೇಸ್ ಘಟಕ"
अभिकलित्रविद,ಗಣಕವಾದಿ
"अभिकलित्रीकरण, कंप्यूटरीकरण",ಗಣಕೀಕರಣ
अभिकलित्र भाषा,ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ
अभिकलित्र भाषा प्रतीक,"ಕಂಪ್ಯೂಟರ್
 ಭಾಷಾ ಚಿಹ್ನೆ"
अभिकलित्र अधिगम,ಕಂಪ್ಯೂಟರ್ ಕಲಿಕೆ
अभिकलित्र पत्र,ಕಂಪ್ಯೂಟರ್ ಅಕ್ಷರ
अभिकलित्र सीमित,ಕಂಪ್ಯೂಟರ್ ಲಿಮಿಟೆಡ್
अभिकलित्र अनुरक्षण,"ಕಂಪ್ಯೂಟರ್
 ನಿರ್ವಹಣೆ"
अभिकलित्र प्रबंधित अनुदेश,"ಕಂಪ್ಯೂಟರ್
 ನಿರ್ವಹಿಸಿದ
 ಸೂಚನಾ"
अभिकलित्र सूक्ष्मआलेखिकी,"ಕಂಪ್ಯೂಟರ್
 ಮೈಕ್ರೋಗ್ರಾಫಿಕ್ಸ್"
अभिकलित्र संगीत,ಕಂಪ್ಯೂಟರ್ ಸಂಗೀತ
अभिकलित्र संख्यात्मक नियंत्रण,ಗಣಕಯಂತ್ರದ ಜಾಲ
अभिकलित्र संक्रिया,ಕಂಪ್ಯೂಟರ್ ಸಂಖ್ಯಾ ನಿಯಂತ್ರಣ
अभिकलित्र संक्रिया,ಕಂಪ್ಯೂಟರ್ ಕಾರ್ಯಾಚರಣೆ
अभिकलित्र मूलक भाषा,ಕಂಪ್ಯೂಟರ್ ಆಧಾರಿತ ಭಾಷೆ
अभिकलित्र निर्गम,ಕಂಪ್ಯೂಟರ್ output ಟ್ಪುಟ್
अभिकलित्र मूलक सूक्ष्मफिल्म,ಕಂಪ್ಯೂಟರ್ output ಟ್ಪುಟ್ ಮೈಕ್ರೋಫಿಲ್ಮ್
अभिकलित्र निष्पादन,ಕಂಪ್ಯೂಟರ್ ಪರ್ಫಾರ್ಮೆನ್ಸ್
अभिकलित्र मुद्रित्र,ಕಂಪ್ಯೂಟರ್ ಮುದ್ರಕ
अभिकलित्र क्रमादेश,ಕಂಪ್ಯೂಟರ್ ಕಾರ್ಯಕ್ರಮ
अभिकलित्र क्रमादेश टिप्पण,ಕಂಪ್ಯೂಟರ್ ಪ್ರೋಗ್ರಾಂ ಟಿಪ್ಪಣಿ
अभिकलित्र क्रमादेश उद्गम,ಕಂಪ್ಯೂಟರ್ ಪ್ರೋಗ್ರಾಂ ಮೂಲ
"अभिकलित्र विज्ञान, कंप्यूटर विज्ञान",ಗಣಕ ಯಂತ್ರ ವಿಜ್ಞಾನ
अभिकलित्रि सुरक्षा,ಕಂಪ್ಯೂಟರ್ ಸುರಕ್ಷತೆ
अभिकलित्र सहभाजन,ಕಂಪ್ಯೂಟರ್ ಹಂಚಿಕೆ
अभिकलित्र अनुकरण,ಕಂಪ್ಯೂಟರ್ ಸಿಮ್ಯುಲೇಶನ್
अभिकलित्र अनुकारक,ಕಂಪ್ಯೂಟರ್ ಸಿಮ್ಯುಲೇಟರ್
अभिकलित्र प्रक्रिया सामग्री,ಕಂಪ್ಯೂಟರ್ ಸಾಫ್ಟ್‌ವೇರ್
अभिकलित्र विशेषज्ञ,ಕಂಪ್ಯೂಟರ್ ತಜ್ಞ
अभिकलित्र तंत्र,ಗಣಕಯಂತ್ರ ವ್ಯವಸ್ಥೆ
अभिकलित्र तंत्र लेखा-परीक्षण,ಕಂಪ್ಯೂಟರ್ ಸಿಸ್ಟಮ್ ಲೆಕ್ಕಪರಿಶೋಧನೆ
अभिकलित्र प्रौद्योगिकी,ಕಂಪ್ಯೂಟರ್ ತಂತ್ರಜ್ಞಾನ
अभिकलित्र अंतक,ಕಂಪ್ಯೂಟರ್ ಟರ್ಮಿನಲ್
अभिकलित्र काल,ಕಂಪ್ಯೂಟರ್ ಸಮಯ
अभिकलित्र शब्द,ಕಂಪ್ಯೂಟರ್ ಪದ
अभिकलन केन्द्र,ಗಣನ ಕೇಂದ್ರ
अभिकलन अवयव,ಕಂಪ್ಯೂಟಿಂಗ್ ಅಂಶ
अभिकलन क्षमता,ಕಂಪ್ಯೂಟಿಂಗ್ ಶಕ್ತಿ
अभिकलन तंत्र,ಗಣನ ವ್ಯವಸ್ಥೆ
संशृंखलन,ಸಮಾಧಾನ
संशृंखलित आँकड़ा समुच्चय,ಒಗ್ಗೂಡಿಸಿದ ಡೇಟಾ ಸೆಟ್
संशृंखलित कुंजी,ಒಗ್ಗೂಡಿಸಿದ ಕೀ
संशृंखलन,ಒಗ್ಗೂಡಿಸುವಿಕೆ
संशृंखलन संप्रतीक,ಒಗ್ಗೂಡಿಸುವ ಪಾತ್ರ
संकेंद्रित संदेश,ಸಾಂದ್ರೀಕೃತ ಸಂದೇಶ
संकेंद्रण,ಏಕಾಗ್ರತೆ
संकेंद्रित्र,ಸಾಂದ್ರೀಕರಣಕಾರ
संकेंद्रित्र अंतक चयक,ಸಾಂದ್ರಕ ಟರ್ಮಿನಲ್ ಬಫರ್
संकल्पना अधिगम,ಪರಿಕಲ್ಪನಾ ಕಲಿಕೆ
संकल्पनात्मक निदर्श,ಪರಿಕಲ್ಪನಾ ಮಾದರಿ
सुसंगतता,ಒಗ್ಗೂಡಿಸುವಿಕೆ
"सुसंगत, सुस्वर",ಹೊಂದಿಕೆಯಿರುವ
संगामी,ಏಕಕಾಲದಲ್ಲಿ
संगामी प्रचालन,ಏಕಕಾಲೀನ ಕಾರ್ಯಾಚರಣೆ
संगामी संसाधन,ಏಕಕಾಲೀನ ಸಂಸ್ಕರಣೆ
प्रतिबंधी कोडांतरण,ಷರತ್ತುಬದ್ಧ ಜೋಡಣೆ
प्रतिबंधी कोडांतरण व्यंजक,ಷರತ್ತುಬದ್ಧ ಜೋಡಣೆ ಅಭಿವ್ಯಕ್ತಿ
प्रतिबंधी कोडांतरण अनुदेश,ಷರತ್ತುಬದ್ಧ ಜೋಡಣೆ ಸೂಚನೆ
प्रतिबंधी शाखा अनुदेश,ಷರತ್ತುಬದ್ಧ ಶಾಖೆ ಸೂಚನೆ
प्रतिबंधी विच्छेद बिंदु,ಷರತ್ತುಬದ್ಧ ಬಿಂದುವನ್ನು
प्रतिबंधी विच्छेद बिंदु,ಷರತ್ತುಬದ್ಧ
प्रतिबंधी विच्छेद बिंदु अनुदेश,ಷರತ್ತುಬದ್ಧ ಬ್ರೇಕ್‌ಪಾಯಿಂಟ್ ಸೂಚನೆ
प्रतिबंधी एंट्रॉपी,ಷರತ್ತುಬದ್ಧ ಎಂಟ್ರೊಪಿ
प्रतिबंधी व्यंजक,ಷರತ್ತುಬದ್ಧ ಅಭಿವ್ಯಕ್ತಿ
प्रतिबंधी आनुषंगिक संक्रिया,ಷರತ್ತುಬದ್ಧ ಸೂಚನೆ ಕಾರ್ಯಾಚರಣೆ
प्रतिबंधी सूचना अंतर्वस्तु,ಷರತ್ತುಬದ್ಧ ಮಾಹಿತಿ ವಿಷಯ
प्रतिबंधी झंप,ಷರತ್ತುಬದ್ಧ ಜಿಗಿತ
प्रतिबंधी झंप अनुदेश,ಷರತ್ತುಬದ್ಧ ಜಂಪ್ ಸೂಚನೆ
प्रतिबंधी संकारक,ಷರತ್ತುಬದ್ಧ ನಿರ್ವಾಹ
प्रतिबंधन कथन,ಷರತ್ತುಬದ್ಧ ಹೇಳಿಕೆ
प्रतिबंधी विराम अनुदेश,ಷರತ್ತುಬದ್ಧ ನಿಲುಗಡೆ ಸೂಚನೆ
प्रतिबंधी स्थानांतरण अनुदेश,ಷರತ್ತುಬದ್ಧ ವರ್ಗಾವಣೆ ಸೂಚನೆ
प्रतिबंधी चर,ಷರತ್ತುಬದ್ಧ ವೇರಿಯಬಲ್
प्रतिबंध कोष्ठिका,ಷರತ್ತು ಕೋಶ
प्रतिबंध कूट,ಷರತ್ತು ಸಂಹಿತೆ
प्रानुकूलित परिपथ,ನಿಯಮಾಧೀನ ಸರ್ಕ್ಯೂಟ್
"प्रतिबंधन, प्रानुकूलन",ಷರತ್ತು
प्रानुकूलन उपकरण,ಷರತ್ತು ಉಪಕರಣಗಳು
प्रतिबंध सूची,ಷರತ್ತು ಪಟ್ಟಿ
प्रतिबंध नाम,ಷರತ್ತು ಹೆಸರು
प्रतिबंध नाम प्रतिबंध,ಷರತ್ತು ಹೆಸರು ಷರತ್ತು
प्रतिबंध पूर्वलग्न,ಷರತ್ತು ಪೂರ್ವಪ್ರತ್ಯಯ
सुग्राहिता नियंत्रण,ಕಾನ್ಫರೆನ್ಸ್ ಕಂಟ್ರೋಲ್ (= ಸೂಕ್ಷ್ಮತೆ ನಿಯಂತ್ರಣ)
विश्वस्यता स्तर,ಆತ್ಮವಿಶ್ವಾಸದ ಮಟ್ಟ
गोपनीयता,ಮನಸ್ತಂತಿಸುವಿಕೆ
विन्यास,ಸಂರಚನೆ
विन्यास अनुभाग,ಸಂರಚನಾ ವಿಭಾಗ
संपुष्टि,ದೃಢೀಕರಣ
भ्रम मैट्रिक्स,ಗೊಂದಲ ಮ್ಯಾಟ್ರಿಕ್ಸ್
संकुलन,ದಸಸನ
सर्वनिष्ठ,ಸಂಯೋಗ
संबद्ध संदर्भ,ಸಂಪರ್ಕಿತ ಉಲ್ಲೇಖ
संबद्ध भंडारण,ಸಂಪರ್ಕಿತ ಸಂಗ್ರಹಣೆ
संबंध फलन,ಕಾರ್ಯವನ್ನು ಸಂಪರ್ಕಿಸಿ
संबंधन व्यवस्था,ವ್ಯವಸ್ಥೆಯನ್ನು ಸಂಪರ್ಕಿಸಲಾಗುತ್ತಿದೆ
संबंधन व्यवस्था सेवा,ವ್ಯವಸ್ಥೆಯ ಸೇವೆಯನ್ನು ಸಂಪರ್ಕಿಸಲಾಗುತ್ತಿದೆ
संबंधन,ಸಂಪರ್ಕ
संयोजक,ಸಂಯೋಜಕ
संबंधक,ಸಂಪರ್ಕ
संबंधन काल,ಸಮಯವನ್ನು ಸಂಪರ್ಕಿಸಿ
क्रमागत,ಸತತ
क्रमागत संक्रिया,ಸತತ ಕಾರ್ಯಾಚರಣೆ
क्रमागत अनुक्रम अभिकलित्र,ಸತತ ಅನುಕ್ರಮ ಕಂಪ್ಯೂಟರ್
फलान्वेषण,ಸ್ಥಿರತೆ ಪರಿಶೀಲನೆಯನ್ನು ಕಂಡುಹಿಡಿಯುವುದು
कन्सोल,ಗಡಿ
कन्सोल शब्द संसाधन उपकरण,ಕನ್ಸೋಲ್ ವರ್ಡ್-ಪ್ರೊಸೆಸಿಂಗ್ ಉಪಕರಣಗಳು
समेकन,ಬಲವರ್ಧನೆ
समेकित्र,ಸಮಾಧಾನಕಾರ
अचर क्षेत्र,ಸ್ಥಿರ ಪ್ರದೇಶ
अचर अनुदेश,ಸ್ಥಿರ ಸೂಚನೆ
अचर लम्बाई क्षेत्र,ಸ್ಥಿರ ಉದ್ದದ ಕ್ಷೇತ್ರ
अचर अनुपात कूट,ಸ್ಥಿರ ಅನುಪಾತ ಸಂಕೇತ
अचर भंडारण,ಸ್ಥಿರ ಸಂಗ್ರಹಣೆ
अचर शब्द,ಸ್ಥಿರ ಪದ
व्यवरूद्ध समुच्चय,ನಿರ್ಬಂಧಿತ ಸೆಟ್
व्यवरोध,ನಿರ್ಬಂಧ
समाहित पाठ्यांश,ಪಠ್ಯವನ್ನು ಒಳಗೊಂಡಿದೆ
"अन्तर्वस्तु, अंश",ಕಲೆ
साहचर्य भंडारण,ವಿಷಯ ವಿಳಾಸ ಸಂಗ್ರಹಣೆ (= ಸಹಾಯಕ ಸಂಗ್ರಹ)
अंतर्वस्तु विश्लेषण,ವಿಷಯ ವಿಶ್ಲೇಷಣೆ
प्रयोग प्रतिस्पर्धा,ವಿವೇಚನೆ
प्रयोग प्रतिस्पर्धा तंत्र,ವಿವಾದಾಸ್ಥೆ
अंतर्वस्तु सूची,ವಿಷಯಗಳ ಪಟ್ಟಿ
संदर्भ,ಸನ್ನಿವೇಶ
संदर्भ संपादन,ಸಂದರ್ಭ ಸಂಪಾದನೆ
संदर्भ संपादक,ಸಂದರ್ಭ ಸಂಪಾದಕ
संदर्भ मुक्त भाषा,ಸಂದರ್ಭ ಮುಕ್ತ ಭಾಷೆ
संदर्भ संवेदी संरचना,ಸಂದರ್ಭ ಮುಕ್ತ ರಚನೆ
संदर्भ संवेदी भाषा,ಸಂದರ್ಭ ಸೂಕ್ಷ್ಮ ಭಾಷೆ
