Marathi,Odiya
कोथिंबीर,ଧନିଆ
कापूस,କପା
गायी,ଗା cow ାସ
क्यूबब,କ୍ୟୁବ୍
काकडी,କାକୁଡି
कुकर्बिट्स,କ୍ୟୁକୁଭର୍ଟସ୍ |
जिरे,ଜିର୍ତିକ |
करी पान,ତରକାରୀ ପତ୍ର |
सीताफळ,କଷ୍ଟାର୍ଡ ​​ଆପଲ୍ |
कॅप्सूल बोरर,କ୍ୟାପସୁଲ୍ ବୋରର୍ |
सुरवंट,କ୍ୟାଟପିଲର୍
लिंबूवर्गीय सायला,ସାଇଟ୍ରସ୍ ସିଲେଲା |
क्रिकेट,କ୍ରିକେଟ୍
कावळा,କାଉ
जंत कट करा,କଟା ପୋକ
डेअरी,ଦୁଗ୍ଧ
दुग्धशाळा,ଦୁର୍ଗର
धरण,ବନ୍ଧ
दिवस-तटस्थ,ଦିନ-ନିରପେକ୍ଷ |
फुलांच्या नंतरचे दिवस,ଫୁଲର ଦିନ ପରେ |
पूर्ण मोहोर नंतरचे दिवस,ପୂର୍ଣ୍ଣ ଫୁଲ ପରେ ଦିନ |
डीब्लोसमिंग,Deblossome
Decalcification,ହ୍ରାସ
डिकंट,କ୍ଷୟ
क्षय,କ୍ଷୟ
पाने गळणारा,ନିର୍ଣ୍ଣୟ
दशांश,ଦଶମିକ
कमतरता,ଅଭାବ |
डिफ्लोकुलेशन (माती),ଡିଫ୍ଲୋକେସନ୍ (ମାଟି)
डिफ्लोरेशन,ପରିଶୋଧନ
डीफोलिएशन,ଗଭୀରତା
जंगलतोड,ଜଙ୍ଗଲ |
अध: पतन,ଅବଶ୍ୟ ନିରନ୍ତର
अधोगती,ଭିକେସନ୍
पदवी दिवस,ଡିଗ୍ରୀ ଦିନ
पदवी,ଡିଗ୍ରୀ
Dehiscence,ଡିଫିସେନ୍ସ |
डीहुलिंग,ଦେହୁଙ୍ଗିଂ
डीहुस्किंग,ଦେହକ୍କକ୍ କରିବା
डिहायड्रेशन,ଡିହାଇଡିଂ
डिहायड्रेटर,ଘୋଡେନକର୍
मागणी,ଚାହିଦା
विकृती,ନିନ୍ଦା
नकार,ନିନ୍ଦା
ठेव,ଜମା
ठेव,ଚିହ୍ନ
घसारा डेसालिनायझेशन,ଅବନତି କରାଲିନାଇଜେସନ୍ |
Desiccation,ମାନସ
डिझाइन,ଡିଜାଇନ୍
Descicator,ଡେସିକର୍ତ୍ତା
निराश,ଆକ୍ରମଣ
Desuckering,ନିଷ୍କ୍ରିୟ |
Desynapsis,Desynapp ଗୁଡିକ
डेटासेल,ଡିଟସେଲ |
Detasseling,ଡିଟସେସିଂ |
निर्धारक,ନିର୍ଣ୍ଣୟ
अवमूल्यन,ମୂଲ୍ୟ ହ୍ରାସ
Devegetation,ବିଘ୍ନନା
विचलन,ବ୍ୟତିକ୍ରମ
डायड,Digd
निदान,ନିରାକରଣ
डिचोगामी,ଡିକୋଗାମି |
द्वैधविज्ञान,ଡିକଟୋଟୋମି |
डिकोटिल्डन (बियाणे),ଡିକୋଟିଡିନ୍ (ବିହନ)
मरणार (रोग),ବ୍ୟାକ୍ ବ୍ୟାକ୍ (ରୋଗ)
प्रसार,ପରିଭାଷାନ
पचनक्षमता,ହଜମ୍ବତି |
डायहायब्रिड,ଡିହାଇବଏଡ୍
डिक (डायक),ଡିକି (DYKE)
सौम्य,ମିଶ୍ରିତ
डायओसियस,ଡାଇଓକାରୀ
डिप्लोइड,ଡିପ୍ଲାଇଡ୍
डिप्लोइड,ଡିପ୍ଲାଇଡ୍
डिप्लोमा,ଡିପ୍ଲୋନେମା
डिसबुडिंग,ଅଦୃଶ୍ୟତା
डिस्किंग,ଡିସ୍କ
सूट,ରିହାତି
निर्जंतुकीकरण,ଅସଂଗୁକ୍ଷା
फैलाव,ବିଚ୍ଛେଦ
प्रसार,ବିସ୍ତାର
विविधता,ବିବିଧତା
विविध शेती,ବିବିଧ ଚାଷ
डीएनए शिडी,DNA ସିଡ଼ି |
डीएनए रिसेप्टर,DNA RESPTOTER |
डॉकगेज,ଡୋଗେଜ
प्रबळ,ପ୍ରାଧାନ୍ୟ
सुप्तता,Gormancy
डोस,ମାତ୍ରା
डबल सिग्मॉइड वक्र,ଡବଲ୍ ସିଗମାଇଡ୍ ବକ୍ର |
मसुदा (मसुदा),ଡ୍ରାଫ୍ଟ (ଡ୍ରାଫ୍ଟ)
निचरा,ନାଳି
ड्रेनेज,ଜଳ ନିଷ୍କାସନ
काढा,ଡ୍ର
भिजत,ଶୁଖିବା
ड्रेसिंग (बियाणे),ପୋଷାକ (ବିହନ)
ड्रिल (एन.),ଡ୍ରିଲ୍ (n।)
ड्रिलिंग (एजी. इंजी),ଡ୍ରିଲିଂ (ଏଜେ। Engg)
ड्रिलिंग (अ‍ॅग्रोनॉमी),ଡ୍ରିଲିଂ (ଆଗ୍ରୋନ୍ରୋଣ)
ठिबक सिंचन,ଜଳସେଚନ
ड्रायलँड शेती,ଡ୍ରାଏଲାଣ୍ଡ ଫାର୍ମିଂ |
धूळ,ଧୂଳି
डस्टर,ଡଷ୍ଟର୍
धूळ,ଧୂଳି
बटू,ବଧୂ |
बौने पिरॅमिड,ବଧୂ ପିରାମିଡ୍ |
बौने,ବଧୂ |
डेझी,Daissy
तारखा,ତାରିଖ
दिवस चमेली,ଦିନ ଜସ୍ମିନ୍ |
बडीशेप,ଡିଲ୍
दीननाथ गवत,ଦିନନାଥ ଘାସ |
डॉडर,ଚାଳକ
"डूब गवत, बर्म्युडा गवत","ଡୋବ ଘାସ, ବରମୁଣ୍ଡା ଘାସ |"
ड्रूस,ଡଣ୍ଠି
कोरडे आले,ଶୁଖିଲା ଅଦା
डीफोलिएटिंग बीटल,ଡିଫୋଲିଂ ପୋକ
ड्रोन,ଡ୍ରୋନ୍
बदक,ବତକ
पर्यावरणशास्त्र,ପରିବେଶ
इकोनोमेट्रिक्स,ଇକୋନୋମଟ୍ରିକ୍ସ |
आर्थिक कार्यक्षमता,ଅର୍ଥନ aff ତିକ ଦକ୍ଷତା |
इकोटाइप,ଇକୋଟେପ୍ |
एक्टोट्रॉफिक,Ectorrophic
ईडाफिक,ଏଡଫାଲିକ୍ |
एडॉफोलॉजी,ଏଡିବାଫୋଲୋଜି
कडा,Eding
खाद्य भाग,ସମ୍ପୁର୍ଣ୍ଣ ଅଂଶ
मागणीची लवचिकता,ଚାହିଦା ଚାହିଦା |
उत्पादनाची लवचिकता,ଉତ୍ପାଦନର ଇଲଷ୍ଟିକ୍ |
इलेक्ट्रोलिसिस,ଇଲେକ୍ଟ୍ରୋଲାଇସିସ୍
इलेक्ट्रोफोरेसीस,ଇଲେକ୍ଟ୍ରୋଫୋରସସ୍
Eluviation,ବିଲିୟନଟେସନ୍
Emasculator,ଇମାସକୋଲେଟର |
तटबंदी,ଜବରଦଖଲ
गर्भ,ଭ୍ରୁଣ
गर्भशास्त्र,ଭ୍ରୁଣବିଶ୍ୱାସ
उदय,ଉଦତର |
इमल्सीफायर,ଏମୁଲେସିଫାୟର୍ |
अंतर्जात,ଇବଗେନୋଜ
एंडोमिटोसिस,ଏଣ୍ଡୋରିଟୋସିସ୍ |
एंडोपारासाइट,ଏଣ୍ଡୋ ପଯାତ୍ରାଟ୍ |
एंडोस्पर्म,ଏଣ୍ଡୋରମ୍
उपक्रम,ଉଦ୍ୟମ୍
एंटोमोलॉजी,ପ୍ରବେଶ
वातावरण,ପରିବେଶ
सजीवांच्या शरीरात निर्मार्ण होणारे द्रव्य,ଏନଜାଇମ୍
एपिकोटिल ग्राफ्टिंग,ଏପିକୋଟିସ୍ ଗ୍ରାଫ୍ଟିଙ୍ଗ୍ |
एपिफाइट,EpipheeTee
इक्विटी,ଇକ୍ୱିଟି |
निर्मूलन,ବିଲାତି
आवश्यक पोषक घटक,ଅତ୍ୟାବଶ୍ୟକ ପୁଷ୍ଟିକର |
अंदाज,ଆକଳନ
Etiolation,ଇଥିଓପିଏମ |
युजेनिक,ଇଉଜେନିକ୍
मूल्यांकन,ମୂଲ୍ୟାଙ୍କନ
बाष्पीभवन,Evaporimer
बाष्पीभवन,ବାଷ୍ପ-ଟ୍ରାନ୍ସପେରେସନ୍ |
सदाहरित क्रांती,ଚିର ସବୁଜ ବିପ୍ଳବ |
सदाहरित,ଚିର ସବୁଜ |
उत्क्रांती,ବିବର୍ତ୍ତନ
अबकारी,ଏକ୍ସ
थकवा (प्रजननक्षमता),ନିଷ୍କାସନ (ପ୍ରଜନନ)
शोषण,ଶୋଷଣ
अन्वेषण,ଅନୁସନ୍ଧାନ
एक्सट्र्यूजन,ବହିଷ୍କାର
डोळा (सुगेरकेन/बटाटा),ଆଖି (ସାଲେଡେନ୍ / ଆଳୁ)
खाद्यतेल पाइन,ଖାଇବା ପାଇନ୍
"हत्ती पाय, याम","ହାତୀ ପାଦ, ୟାମ"
निलगिरी,ଇଉକ୍ଲିପଟସ୍
गांडूळ,ପୃଥିବୀ କୀଟ
कीटकशास्त्रज्ञ,Entomologist-
पर्यावरणवादी,ପରିବେଶଗତବାଦୀ
घटक,କାରକ
घटक उत्पादकता,କାରକ ଉତ୍ପାଦନ
फॅक्टरेज,ଭାସ୍ଟାଉଣ୍ଡ
फॅक्टोरियल ब्लॉक डिझाइन,ଫ୍ୟାକ୍ଟୋରିଆଲ୍ ବ୍ଲକ୍ ଡିଜାଇନ୍ |
शिक्षक,ଅଧ୍ୟାପକ
पडझड,ପତଳା |
कुटुंब,ପରିବାର
शेती मूल्यांकन,ଫାର୍ମ ମୂଲ୍ୟାଙ୍କନ |
शेती बजेट,ଫାର୍ମ ବଜେଟ୍
शेती व्यवसाय,ଚାଷ ବ୍ୟବସାୟ
शेती नियोजन,ଫାର୍ମ ଯୋଜନା
शेतकरी,କୃଷକ
शेती,ଚାଷ
Fasciaction,ବନ୍ଧକ
Fecundation,ଫେବୃଆଣ୍ଡେସନ୍
किण्वन,ମୁଖ
सुपीकता,ପ୍ରଜନନ
खत,ସାର
खताची कार्यक्षमता वापरा,ଫର୍ଟିଲାଇଜର ବ୍ୟବହାର ଦକ୍ଷତା ବ୍ୟବହାର କରନ୍ତୁ |
तंतुमय,ଫାଇବ୍ରସ୍
फील्ड,କ୍ଷେତ୍ର
फील्ड क्षमता,କ୍ଷେତ୍ର ଦକ୍ଷତା
फील्ड प्रात्यक्षिक,କ୍ଷେତ୍ର ପ୍ରଦର୍ଶନ
निर्धारण,ଫିକ୍ସସନ୍
पूर,ବନ୍ୟା ପରିସ୍ଥିତି
प्रवाह चित्र,ପ୍ରବାହ ଚିତ୍ର |
अन्न मूल्य,ଖାଦ୍ୟ ମୂଲ୍ୟ
चारा (चारा),ଚାରା (ଖାଇବାକୁ)
अंदाज,ପୂର୍ବାନୁମାନ
वन,ଜଙ୍ଗଲ
वनीकरण,ରକ୍ତ ବନ୍ଧୁମାନେ
फ्रॉन्ड,ବରଣ୍ଡ
फ्रॉस्ट प्रतिरोधक,ବରଫ ପ୍ରତିରୋଧକ |
दंव,ବରଫ
गोठलेले (फळ आणि भाजी),ଫ୍ରିଜ୍ (ଫଳ ଏବଂ ପନିପରିବା)
फ्रुकिफिकेशन,ଫଳ
फळ थेंब,ଫଳ ଡ୍ରପ୍
फळ-सेट (फळांची सेटिंग),ଫଳ-ସେଟ୍ (ଫଳ ସେଟିଂ)
धूर,ଫ୍ୟାଜିଜ୍
बुरशीनाशक,ଫଙ୍ଗିସାଇଡ୍ |
बुरशीवादी,ଫଙ୍ଗିଷ୍ଟାଟିକ୍ |
बुरशीचे,କବକ
Furo,ଫ୍ରୁ
फ्यूजन,ଫ୍ୟୁଜନ୍ |
अस्पष्ट,ଫୁଜ୍
अस्पष्ट,ଅସ୍ପଷ୍ଟ
"एका जातीची बडीशेप, बडीशेप","ଫେନେଲ, ଆଣ୍ଠୁଏ |"
मेथी,FenugRek
अंजीर,ଡିମ୍ବିରି
बोटा बाजरी,ଆଙ୍ଗୁଠି ମିଲେଟ୍ |
अग्निशामक बुश,ଅଗ୍ନି-ଅଗ୍ନି ବୁଦା
जंगलाची ज्योत,ଜଙ୍ଗଲର ନିଆଁ
फ्रेंच बीन,ଫରାସୀ ବିନ୍
पिसू,ପୋକ
कोल्हा,ଠେକୁଆ
फळ माशी,ଫଳ ଉଡ଼ିଠି
पित्त (हॉर्ट),ଗଲ୍ (ହୋର୍ଟ)
गेमेट,ଖେଳ
बाग,ଉଦ୍ୟାନ
गेज (पाणी),ଗେଜ୍ (ପାଣି)
जीन बँक,ଜିନ୍ ବ୍ୟାଙ୍କ |
जीन टॅगिंग,ଜିନ୍ ଟ୍ୟାଗ୍ କରିବା |
जीनोलॉजी,ବଂଶଧରୋଗ ବିଜ୍ଞାନ
अनुवांशिक नकाशा,ଜେନେଟିକ୍ ମାନଚିତ୍ର |
अनुवांशिक,Gegnetics
जीनोम,ଜିଦ୍
जीनोमिक लायब्ररी,ଜେନୋମିକ୍ ଲାଇବ୍ରେରୀ |
जीनोमिक्स,ଜେନୋମିଟର
जीनोटाइप,ଜେନେଟାଇପ୍
जीनोटाइप,ଜେନେଟାଇପ୍
वंश,ଜେନସ୍
वंश,ଜେନସ୍
अंकुर,ଜୀବାଣୁ
जंतुनाशक,ଜୀବାଣୁ
उगवण,ଅଦମାରଣ
जर्मप्लाझम,Germplasm
गिब्बरेलिक acid सिड,ଗିବବର୍ଗିକ୍ ଏସିଡ୍ |
जिनिंग,ଗିନିଂ
ग्लूम,ଲ୍ୟୁମର
ग्लूटीनस,ଗ୍ଲାଉଟିନିୟସ୍ |
ग्लायकोलिसिस,ଗ୍ଲାଇକୋଲିସିସ୍ |
Gneiss,Gneass
सुवर्ण क्रांती,ସୁବର୍ଣ୍ଣ ବିପ୍ଳବ
ग्रेडिंग,ଗ୍ରେଡିଂ
कलम केलेला वनस्पती,ଗ୍ରାଫ୍ଟିତ ଉଦ୍ଭିଦ |
कलम-विसंगत,ଗ୍ରାଫ୍ଟ-ଅସଙ୍ଗତ |
ग्रॅना,ଗ୍ରାନା |
ग्रॅन्युलेशन,ଗ୍ରାନୁଲେସନ୍
ग्रीन खत,ସବୁଜ ଖତ
हरित क्रांती,ସବୁଜ ବିପ୍ଳବ
वाढ आणि विकास,ଅଭିବୃଦ୍ଧି ଏବଂ ବିକାଶ |
गमोसिस,ଗୁମ୍ବୋସ୍
गायनोडिओसियस,ନଦୂତର
पित्त नट,ଗଲ୍ ବାଦାମ |
लसूण,ରସୁଣ |
गर्बेरा,ଅହବେରା |
Gherkin,ଘର୍ନ୍କିନ୍ |
आले,ଅଦା
ग्लॅडिओलस,ଗୁଗାଓସସ୍ |
बकरी तण (एजराटम),ଛେଳି ତୃଣକ (ଏଗ୍ରାଟମ୍)
द्राक्षफळ,ଅଙ୍ଗୁର ଫଳ
द्राक्षे,ଅଙ୍ଗୁର
हिरवा हरभरा,ସବୁଜ ଗ୍ରାମ
ग्रेव्हिया,Grewia
शेंगदाणे,ଭୂମିରେ
पेरू,ଗୁଆବା
गिनिया गवत,ଗିନି ଘାସ
पित्त मिज,ଗାଲ୍ ମିଜ୍ |
गवत हॉपर,ଘାସ ହପର୍ |
Gondhy बग,ଗୁଣ୍ଡିନ୍ ବଗ୍ |
सवय,ଅଭ୍ୟାସ
गारा,କୁଆପଥର
केशरचना,ହେୟାରସିଭେଚ୍ |
हॅलोफाइट,ହାଲଫିଟେଟ୍
हॅरो,ହାରୋ
कापणी निर्देशांक,ଅମଳ ସୂଚକାଙ୍କ |
कापणी,ଅମଳ
कापणी,ଅମଳ
हॅच,ହ୍ୟାଚ୍
गवत,ଘାସ
गवत,ହେଲିଜ୍ |
गवत,ହେସ୍ଟକ୍
धुके,କୁହୁଡି
हेझी,ଦୁର୍ବଳ
प्रमुख (कृषी),ମୁଣ୍ଡ (ଆଗ୍ରୋ)
प्रमुख (चॅनेलचे),ମୁଣ୍ଡ (ଚ୍ୟାନେଲର)
मागे जात आहे,ହେଡିଙ୍ଗ୍
हेज,ହେଜ୍
हेजिंग,ହେଡିଙ୍ଗ୍
हेलिक्स,ହେଲିକ୍ସ |
हेमॅटाइट,ହେମାଟାଇଟ୍
औषधी वनस्पती,B ଷଧ
हर्बेरियम,ହର୍ବରିୟମ୍ |
औषधी वनस्पती,B ଷଧୀୟ
आनुवंशिकता,ବଂଶାନୁକ୍ରମିକ
आत्मीयता,ପରବର୍ତ୍ତୀ ସମୟରେ ଚୟନର ଯୋଗ୍ୟତା |
हर्माफ्रोडाइट,His ହେମାଫ୍ରୋଡାଇଟ୍ |
हेटरोक्रोमॅटिक,ହେଟେରକୋମେଟିକ୍ |
हेटरोफर्टिलायझेशन,ହେଟେରୋଫର୍ଟିଲାଇଜେସନ୍ |
हेटरोसिस,ହେଟେରୋସିସ୍ |
हेटरोसोम,ହେଟେରୋସ୍କୋମ୍
हेटरोट्रोफ,ହେଟେରୋଟ୍ରୋଫ୍ |
हेक्साप्लोइड,Hexaploid
हायबरनेट,ହାଇବରନେଟ୍ |
उच्च घनतेची लागवड,ଉଚ୍ଚ ଘନତା ଲଗାଇବା |
हिल (तांदूळ),ପାହାଡ (ଚାଉଳ)
हिस्टोग्राम,ହିଷ୍ଟୋଗ୍ରାମ୍
हिटेक फलोत्पादन,ହାଇଟେକ୍ ହଳିକତା |
पोळे,ଗୁପ୍ତ
होईंग,ହୋଙ୍ଗ
होल्डिंग,ଧରି ରଖିବା
होम फार्म,ଘର ଫାର୍ମ |
होमिओस्टॅसिस,ହୋମେଓଷ୍ଟାସାସାସୀ
होमस्टीड,ହୋମଷ୍ଟେଡ୍ |
एकसंधपणा,ସମଲିଙ୍ଗୀତା |
एकसंध,ସମଲିଙ୍ଗୀ
होमोलोगस,ସମ୍ବାଦ
होमोझीगोटे,ସୋମବରଗୋଟେଗୋଟ୍ |
हॉपर,ହପର୍
होरायझन,ରାଶି
बागायती पिके,ଉଦ୍ୟାନ କୃଷି ଫସଲ |
बागायती,ଉଦ୍ୟାନ କୃଷି
हॉर्टी-सिल्वी खेडूत शेती,ହୋର୍ଟି-ସିଲଭି ପେଷ୍ଟୁରାଲ୍ ଚାଷ ​​|
होस्ट,ହୋଷ୍ଟ
गरम पाण्याचे उपचार,ଗରମ ପାଣି ଚିକିତ୍ସା |
हुल,ହଲ୍
आर्द्रता,ଆର୍ଦ୍ରତା
बुरशी,ହ୍ୟୁମସ୍
भुंगा,ହସ୍
हस्कर,ହ୍ୱକର୍
हस्किंग,ହସିଂ
संकरित,ହାଇବ୍ରିଡ୍ |
संकरीत,ହାଇବ୍ରିଡାଇଜେସନ୍ |
हायड्रेशन,ହାଇଡ୍ରେସନ୍
हायड्रोलॉजी,ହାଇଡ୍ରୋଲୋଜି
हायड्रोलिसिस,ହାଇଡ୍ରୋଲାଇସିସ୍
हायड्रोमीटर,ହାଇଡ୍ରୋମିଟର |
हायड्रोफिलस,ହାଇଡ୍ରୋଫିଲୋସ୍
हायड्रोपोनिक्स,ହାଇଡ୍ରୋପୋନିକ୍ସ |
हायड्रोस्फीअर,ହାଇଡ୍ରୋସଫେରର୍ |
हायड्रोस्कोपीसीटी,ହାଇଡ୍ରୋସ୍କୋପିଟି |
हायपरपॅरासाइट,ହାଇପରପେରାସାଇଟ୍ |
हायपरप्लासिया,ହାଇପରପ୍ସିଆ
हायफा,ହାଇଫା
हायपोकोटाइल,କପଟୋଟଲ୍
हायपोथेसिस,ଶୁଳୋପାସିସ୍ |
हिस्टेरिसिस (पाणी),ହିଷ୍ଟେରେସିସ୍ (ଜଳ)
हेझेल नट,ହାଜେଲ ବାଦାମ
भांग,ହେମ୍ପ
हेनबेन,ହେନବାନ୍ |
मेंदी,ହେନ୍ନା
हिबिस्कस,ହାଇବିସ୍କସ୍ |
हॉप,ହପ୍
घोडा हरभरा,ଘୋଡା ଗ୍ରାମ |
घोडा-डोळा-बीन,ଘୋଡା ଚକ୍ଷୁ-ବିନ୍ |
मधमाशी,ମହୁ ମାଛି
हॉपर,ହପର୍
बागायती,ହାର୍ଟିସୁରିଷ୍ଟ |
हायड्रोलॉजिस्ट,ଜଳ
सिटू ग्राफ्टिंग मध्ये,ପରିସ୍ଥିତି ଗ୍ରାଫ୍ଟିଙ୍ଗ୍ ରେ |
ग्लासमध्ये,ଭିଟ୍ରୋରେ |
व्हिव्हो मध्ये,ଭିଭୋରେ
अंदाधुंदी,ଅଜ୍ଞାତ
कीटक,କୀଟ
कीटक कीटक,କୀଟପତଙ୍ଗ ପୋକ
कीटक,କୀଟରୀ
कीटकनाशक,କୀଟନାଶକ
कीटकनाशक,କୀଟନାଶକ
इन्सोलेशन,ନିନ୍ଦା
अघुलनशील,ଅପିସ୍ମରଣୀ
इन्स्टार (कीटक),ଇନଷ୍ଟାର (କୀଟ)
इन्सुलेटर,ଇନସୁଲେଟର |
एकात्मिक रोग व्यवस्थापन,ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ରୋଗ ପରିଚାଳନା
एकात्मिक पोषक व्यवस्थापन,ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ପୁଷ୍ଟିକର ପରିଚାଳନା
एकात्मिक कीटक व्यवस्थापन,ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ପେଷ୍ଟ ପରିଚାଳନା
तीव्रता,ତୀବ୍ରତା
गहन,ତୀବ୍ର
इंटरपॉप,ଇଣ୍ଟରକ୍ରପ୍
परस्परसंवाद (परस्परसंवाद),ଇଣ୍ଟରକେଟିଭେସନ୍ (ଇଣ୍ଟରକଲ୍ଟର)
व्याज,ଆଗ୍ରହ
इंटर्नोड,ଆଭେଜର |
इंटरफेस (सेल विभाग),ଇଣ୍ଟରଫାଜ୍ (କକ୍ଷ ବିଭାଗ)
इंटरपोलेशन,ଇଣ୍ଟରପୋଲେସନ୍
आंतर-वृद्ध,ଇଣ୍ଟର-ଷ୍ଟେରାଇଲ୍ |
यादी,ଭଣ୍ଡାର
उलटा,ଓଲଟା |
Incocre,ଜଡିତ
आयन,ଆୟନ
इरिडिएशन,ବିକଶିତତା |
सिंचन,ଜଳସେଚନ
आयएसओ les लेल्स,ISO ସା elles େଲାଲ |
आयएसओ उत्पादन वक्र,ISO ଉତ୍ପାଦ ବକ୍ର |
आयसोबार,ଆଇସୋ ବାର୍ |
Isogamy,ଆଇସୋଗାମି |
अलगाव अंतर,ବିଚ୍ଛିନ୍ନତା ଦୂରତା |
आयसोप्लॉइड,Isploid
आयसोक्वांट,Isoquat
समस्थानिक,ଇସୋଟୋପ୍
भारतीय बर्च,ଭାରତୀୟ ବିରଞ୍ଚ |
भारतीय निळा पाइन,ଭାରତୀୟ ନୀଳ ପାଇନ୍ |
भारतीय चेरी,ଭାରତୀୟ ଚେରି |
भारतीय जुनिपर,ଭାରତୀୟ ଜୁନିପର |
भारतीय किनो वृक्ष,ଭାରତୀୟ କୋନୋ ଗଛ |
भारतीय लॉरल ट्री,ଇଣ୍ଡିଆନ୍ ଆର୍ଥିକ ଗଛ |
भारतीय वेडा,ଭାରତୀୟ ମାଡଡରର
भारतीय मॅडलर,ଭାରତୀୟ ମାଡଲର |
भारतीय पोडो फिलम,ଇଣ୍ଡିଆନ୍ ପୋଡା ଫାଇଲମ୍ |
इंडिगो,ଇଗିଗୋ |
इटालियन बाजरी,ଇଟାଲୀ ମିଲେଟ |
आयव्हरी ट्री,ହାତୀ ଦାନ୍ତ
आयव्ही गॉर्ड/लिटल लबाडी,ଆଇଭି ଗୋଡ / ଛୋଟ ଗୋରୁକ |
गूळ,ଜାଗର
जपोनिका तांदूळ,ଜାପିକା ଚାଉଳ
जॅसिड,ଜାସିଡ୍ |
जावानिका तांदूळ,ଜାନବାନୀ ଚାଉଳ |
जेलिंग,ଅଳଙ୍କାର
झूम शेती,Jhum ଚାଷ
जंपिंग जीन,ଜମ୍ପ୍ ଜିନ୍
जंक डीएनए,ଜଙ୍କ ଡିନା |
किशोर टप्पा,ନାବାଳକ ଚେଜ୍ |
जकारांडा,ଜାକରଣ୍ଡା |
फणस,Jackfruit
जामुन,ଜାମୁନ୍ |
चमेली,ଜସ୍ମିନ୍ |
जट्टी खट्टी,ଜାଟୀ ଖାଟ୍ଟି |
जॅट्रोफा,ଜାଟ୍ରୋଫା |
Jute,ଜଟ୍ର
जॅसिड्स,Jassids
काओलिन,କୋଲିନ୍ |
Kaolinite,କୋଲିନାଇଟ୍
Kaolinite,କୋଲିନାଇଟ୍
कॅरीन्चीमा,କରୀଚିମା |
Karyodesma,ନିକ୍
Karyogamy,Karogamy
कॅरोग्राम (इडिओग्राम),Karogargram (idigromm)
Karyokinesis,କାରୁକୋକିନାସ୍
कॅरोलॉजी,ଖାରିଓଲୋଜି |
कॅरोलिसिस,କାରିଓଲାଇସିସ୍
कॅरियन,କିଲୋନ
कॅरिओटाइप,କାରିଓଟାଇପ୍
केल्प (एकपेशीय वनस्पती),Kelp (algae)
केल्विन सायकल,କେଲଭିନ ଚକ୍ର |
केराटिन,କିରାଟିନ୍ |
कर्नल,କର୍ଣ୍ଣଲ |
खैरा रोग,KHARA ରୋଗ
खरीफ,ଖାରିଫ୍ |
विनोद,ମଜା କରିବା
किनेटोचोर,ଗା intore ାଓକୋର
किचन गार्डन,ରୋଷେଇ ଘର ବଗିଚା |
क्लेनफिल्टर सिंड्रोम,କ୍ଲିନଫିଲ୍ଟର ସିଣ୍ଡ୍ରୋମ |
क्लेनो फ्रॅगमेंट,Klenow frogment
नॉचिंग,ଗଣ୍ଠି ଦେଉଥିବା
कोचचे पोस्ट्युलेट,କୋଚ୍ ର ପୋଷ୍ଟଲେଟ୍ |
कोप्पेनचे वर्गीकरण (हवामान),କୋପେନଙ୍କ ବର୍ଗୀକରଣ (ଜଳବାୟୁ)
क्रेब्स सायकल,କର୍ଗଗୁଡିକ ଚକ୍ର
कुर्टोसिस,କୁର୍ଟୋସିସ୍
केव्हीके (कृषी विगीयन केंद्र),Kvk (krishi vigyan kendra)
कडम,କାଟାମ |
काळे,କଲାଲ
कॅन्स गवत,କାନ୍ସ ଘାସ
कारोंडा,Karonda
"मूत्रपिंड बीन, राजमाह","କିଡନୀ ବିନ୍, ରାଜ୍ମା |"
किविफ्रीट,Kiwifriut
नोल खोल,ଗଣ୍ଠିର
कोडाम्पुली,କାଦୋମ୍ପୁଲୀ |
कोडो बाजरी,କୋଡୋ ମିଲେଟ୍ |
कोकम बटर ट्री (मॅंगोस्टीन),କୋକାମ ବଟର ଗଛ (ଆମାଙ୍ଗୋସୋଟେନ୍)
खाप्रा बीटल,ଖାପ୍ରା ବାଇଟଲ୍ |
एल.डी. 50 (प्राणघातक डोस 50),L.d.50 (ସାଂଘାତିକ ମାତ୍ରା 50)
लॅब टू लँड,ଲ୍ୟାବ ରୁ ଲ୍ୟାଣ୍ଡ
लेबल,ଲାବାଇଲ୍
श्रम,ଶ୍ରମ
लाख ऑपेरॉन मॉडेल,ଲାକ୍ ଓପନ୍ ମଡେଲ୍ |
स्तनपान,ସ୍ତନ୍ୟପାନ
दुग्धशर्करा,ଲାକ୍ଟୋଜେନିକ୍ ହରମୋନ୍ (ପ୍ରୋଲାକ୍ଟିନ୍)
दुग्धशर्करा,ଲାକ୍ଟୋଜ୍
लॅगिंग स्ट्रँड,ଲେଗିଂ ଷ୍ଟାଣ୍ଡିଂ |
लॅम्बडा क्लोनिंग वेक्टर,ଲମ୍ବଡା କ୍ଲୋନିଂ ଭେକ୍ଟର |
लॅमिनेर एअर प्रवाह,ଲାମିନାର ଏୟାର ପ୍ରବାହ |
दिवा ब्रश गुणसूत्र,ଲ୍ୟାମ୍ପ ବ୍ରଶ୍ କ୍ରୋମୋଜୋମ୍ |
जमीन,ଜମି
जमीन क्षमता वर्गीकरण,ଜମି ସାମର୍ଥ୍ୟ ବର୍ଗୀକରଣ |
