Malayalam,Assamese
പ്രതിരോധ ഡാറ്റ ശൃംഖല (DDN),প্ৰতিৰক্ষা ডাটা নেটৱৰ্ক (DDN)
പ്രതിരോധ വിവര സംവിധാനം,প্ৰতিৰক্ষা তথ্য ব্যৱস্থা
defragmentation,ডিফ্ৰেগমেণ্টেচন
കാലതാമസം,পলম কৰা
കാലതാമസം കൗണ്ടർ,বিলম্ব কাউণ্টাৰ
കാലതാമസം സമയം,বিলম্বৰ সময়
ഇല്ലാതാക്കുക,বিলোপ
ഇല്ലാതാക്കൽ രേഖ,ডিলিচন ৰেকৰ্ড
ഡിലിമിറ്റർ,সীমা নিৰ্ধাৰণকাৰী
ഡെൽറ്റ മോഡുലേഷൻ,ডেল্টা মডুলেচন
ഡിമാൻഡ് പേജിംഗ്,ডিমাণ্ড পেজিং
ഡെമോ,ডেমো
demodulation,ডিমডুলেচন
demultiplexer,ডিমাল্টিপ্লেক্সাৰ
ഡീനോർമലൈസേഷൻ,ডিনৰ্মেলাইজেচন
സാന്ദ്രത,ঘনত্ব
ആശ്രിതത്വം,নিৰ্ভৰশীলতা
ആശ്രിത യൂണിറ്റ്,নিৰ্ভৰশীল একক
dequeue,ডিকিউ
dereferencing,ডিৰেফাৰেন্সিং
ഡെറിവേഷൻ ട്രീ,ব্যুৎপত্তি গছ
ഉരുത്തിരിഞ്ഞ ഫീൽഡ്,ব্যুৎপত্তি কৰা ক্ষেত্ৰ
അവരോഹണ തരം,অৱনমিত সজাই পৰাই তোলা
ഡിസൈൻ,ডিজাইন
ഡെസ്ക് കാൽക്കുലേറ്റർ,ডেস্ক কেলকুলেটৰ
ഡെസ്ക്ടോപ്പ് കമ്പ്യൂട്ടർ,ডেস্ক টপ কম্পিউটাৰ
ഡെസ്ക്ടോപ്പ് അവതരണം,ডেস্কটপ উপস্থাপন
ഡെസ്ക്ടോപ്പ് പബ്ലിഷിംഗ് (DTP),ডেস্কটপ প্ৰকাশন (DTP)
ഡെസ്ക്ടോപ്പ് വീഡിയോ,ডেস্কটপ ভিডিঅ&#39;
ലക്ഷ്യസ്ഥാന വിലാസം,গন্তব্যস্থানৰ ঠিকনা
വിനാശകൻ,ধ্বংসকাৰী
ഡിറ്റർമിനിസ്‌ട്രിക് ഓട്ടോമാറ്റുകൾ,ডিটাৰ্মিনিষ্ট্ৰিক অটোমেটসমূহ
ഡെവലപ്പർ,ডেভেলপাৰ
വികസന സംവിധാനം,উন্নয়ন ব্যৱস্থা
ഉപകരണം,ডিভাইচ
ഉപകരണ നിയന്ത്രണ യൂണിറ്റ്,ডিভাইচ নিয়ন্ত্ৰণ একক
ഉപകരണ കൺട്രോളർ,ডিভাইচ নিয়ন্ত্ৰক
ഉപകരണ മാനേജ്മെന്റ്,ডিভাইচ ব্যৱস্থাপনা
ഉപകരണ മോഡ്,ডিভাইচ ধৰণ
രോഗനിർണയം,নিদান
ഡയഗ്നോസ്റ്റിക് സിസ്റ്റം,ডায়েগনষ্টিক চিষ্টেম
ഡയഗ്നോസ്റ്റിക്സ്,ডায়েগনষ্টিকছ
ഡയഗ്രം,ডায়েগ্ৰাম
ഡയൽ ചെയ്യുക,ডায়েল কৰক
ഡയൽ ലൈൻ,ডায়েল লাইন
ഡയൽ ടോണ്,ডায়েল টোন
ഡയൽ അപ്,ডায়েল আপ কৰক
ഡയലോഗ്,সংলাপ
ഡയലോഗ് ബോക്സ്,সংলাপ বাকচ
ഡയലപ്പ് മോഡം,ডায়েলআপ মডেম
വ്യാസം,ব্যাস
നിഘണ്ടു,অভিধান
വ്യത്യാസം,পাৰ্থক্য
ഡിജിറ്റൽ,ডিজিটেল
ഡിജിറ്റൽ ചാനൽ,ডিজিটেল চেনেল
ഡിജിറ്റൽ സർക്യൂട്ട്,ডিজিটেল বৰ্তনী
ഡിജിറ്റൽ കമ്പ്യൂട്ടർ,ডিজিটেল কম্পিউটাৰ
ഡിജിറ്റൽ ഡാറ്റ,ডিজিটেল ডাটা
ഡിജിറ്റൽ സൗകര്യം,ডিজিটেল সুবিধা
ഡിജിറ്റൽ ഫിൽട്ടർ,ডিজিটেল ফিল্টাৰ
ഡിജിറ്റൽ ലൈബ്രറി,ডিজিটেল লাইব্ৰেৰী
ഡിജിറ്റൽ മോഡുലേഷൻ,ডিজিটেল মডুলেচন
ഡിജിറ്റൽ മോണിറ്റർ,ডিজিটেল মনিটৰ
ഡിജിറ്റൽ ചിത്രം,ডিজিটেল ছবি
ഡിജിറ്റൽ ഒപ്പ്,ডিজিটেল স্বাক্ষৰ
ഡിജിറ്റൽ സ്വിച്ച്,ডিজিটেল চুইচ
ഡിജിറ്റൽ ടു അനലോഗ് (D/A) കൺവെർട്ടർ,ডিজিটেলৰ পৰা এনালগলৈ (D/A) ৰূপান্তৰক
ഡിജിറ്റൈസേഷൻ,ডিজিটাইজেচন
ഡിജിറ്റൈസ് ചെയ്യുക,ডিজিটেলাইজ কৰক
ഡിജിറ്റൈസർ,ডিজিটাইজাৰ
ഡയോഡ്,ডাইঅ&#39;ড
നേരിട്ട്,পোনপটীয়া
നേരിട്ടുള്ള വിലാസം,প্ৰত্যক্ষ ঠিকনা
നേരിട്ടുള്ള പരിവർത്തനം,প্ৰত্যক্ষ ৰূপান্তৰ
നേരിട്ടുള്ള സംയോജനം,প্ৰত্যক্ষ সংযোজন
ഡയറക്ട് മെമ്മറി ആക്സസ് (DMA),প্ৰত্যক্ষ মেমৰি অভিগম (DMA)
ഡയറക്ട് മെമ്മറി ആക്സസ് (DMA),প্ৰত্যক্ষ স্মৃতিশক্তি প্ৰৱেশ (DMA)
നേരിട്ടുള്ള രീതി,প্ৰত্যক্ষ পদ্ধতি
നിർദ്ദേശം,নিৰ্দেশনা
ഡയറക്ടറി,ডাইৰেকটৰী
ഡയറക്ടറി സെർവർ,ডাইৰেকটৰি চাৰ্ভাৰ
ഡയറക്ടറി സേവനം,ডাইৰেকটৰি সেৱা
പ്രവർത്തനരഹിതമാക്കുക,অক্ষম
സിഗ്നൽ പ്രവർത്തനരഹിതമാക്കുന്നു,সংকেত নিষ্ক্ৰিয় কৰা
വിച്ഛേദിക്കുക,সংযোগ বিচ্ছিন্ন কৰক
വ്യതിരിക്തമായ,বিচ্ছিন্ন
ഡിസ്ക്,ডিস্ক
ഡിസ്ക് വിലാസം,ডিষ্কৰ ঠিকনা
ഡിസ്ക് അറേ,ডিষ্ক এৰে
ഡിസ്ക് ശേഷി,ডিষ্কৰ ক্ষমতা
ഡിസ്ക് ഡ്രൈവ്,ডিষ্ক ড্ৰাইভ
ഡിസ്ക് ഫയൽ,ডিষ্ক নথিপত্ৰ
ഡിസ്ക് മെമ്മറി,ডিষ্ক মেমৰি
ഡിസ്ക് ഓപ്പറേറ്റിംഗ് സിസ്റ്റം (DOS),ডিষ্ক কাৰ্য্যকৰপ্ৰণালী (DOS)
ഡിസ്ക് പായ്ക്ക്,ডিষ্ক পেক
ഡിസ്ക് സെർവർ,ডিষ্ক চাৰ্ভাৰ
ഡിസ്ക് സംഭരണം,ডিষ্ক সংৰক্ষণ
ഡിസ്കെറ്റ്,ডিস্কেট
ഫയൽ പ്രദർശിപ്പിക്കുക,ফাইল প্ৰদৰ্শন কৰক
ചിത്രം പ്രദർശിപ്പിക്കുക,ছবি প্ৰদৰ্শন কৰক
നിർമാർജനം,নিষ্পত্তি
ദൂരം,দূৰত্ব
ദൂരം പ്രവർത്തനം,দূৰত্বৰ ফলন
വളച്ചൊടിക്കൽ,বিকৃতি
വിതരണം ചെയ്തു,বিতৰণ কৰা হৈছে
വിതരണം ചെയ്ത ഡാറ്റ,বিতৰণ কৰা তথ্য
വിതരണം ചെയ്ത സെർവർ,বিতৰণ কৰা চাৰ্ভাৰ
വിതരണം ചെയ്ത സംവിധാനം,বিতৰণ কৰা ব্যৱস্থা
വിതരണക്കാരൻ,বিতৰণমূলক
പ്രമാണം,নথিপত্ৰ
പ്രമാണം വീണ്ടെടുത്തു,নথিপত্ৰ উদ্ধাৰ কৰা হৈছে
പ്രമാണ വിൻഡോ,নথিপত্ৰ উইন্ডো
പ്രമാണീകരണം,নথিপত্ৰ
ഡൊമെയ്ൻ,ডমেইন
ഡൊമെയ്ൻ നാമം,ডমেইনৰ নাম
ഡോട്ട് മാട്രിക്സ് പ്രിന്റർ,ডট মেট্ৰিক্স প্ৰিন্টাৰ
താഴേക്ക്,তললৈ
ഡൗൺ ലിങ്ക്,ডাউন লিংক
ഡൗൺലോഡ് ചെയ്യുന്നു,ডাউন লোডিং
സമയക്കുറവ്,ডাউন টাইম
വലിച്ചിടുന്നു,ড্ৰেগিং কৰা
DRAM (ഡൈനാമിക് റാം),DRAM (ডাইনামিক ৰেম)
ഡ്രിഫ്റ്റ്,ড্ৰিফ্ট
ഡ്രൈവർ,ড্ৰাইভাৰ
ഡ്രോപ്പ്,টোপাল
ഡ്രോപ്പ് ഡൗൺ ലിസ്റ്റ് ബോക്സ്,ড্ৰপ ডাউন তালিকা বাকচ
ഡ്രം ഡ്രൈവ്,ড্ৰাম ড্ৰাইভ
ഡ്രം പ്രിന്റർ,ড্ৰাম প্ৰিন্টাৰ
ഡ്രം യൂണിറ്റ്,ড্ৰাম ইউনিট
ഇരട്ട,দ্বৈত
ഇരട്ട സാന്ദ്രത,দ্বৈত ঘনত্ব
ഡമ്മി വിലാസം,ডামি ঠিকনা
തള്ളുക,ভাণ্ডাৰ
ഡ്യുപ്ലെക്സ് സർക്യൂട്ട്,ডুপ্লেক্স বৰ্তনী
ഡ്യൂപ്ലെക്സിംഗ്,ডুপ্লেক্সিং
തനിപ്പകർപ്പ്,ডুপ্লিকেট কৰক
ഡിവിഡി R/W,ডিভিডি R/W
ഡിവിഡി റോം,DVD ROM
ചലനാത്മക നിർദ്ദേശം,গতিশীল নিৰ্দেশনা
ഡൈനാമിക് മെമ്മറി,গতিশীল স্মৃতিশক্তি
ചലനാത്മകത,গতিশীলতা
EBCDIC,ইবিচিডিআইচি
ഇ-ബിസിനസ്,ই-ব্যৱসায়
പ്രതിധ്വനി,প্ৰতিধ্বনি
ഇ-കൊമേഴ്‌സ്,ই-কমাৰ্চ
തിരുത്തുക,সম্পাদনা কৰক
എഡിറ്റർ,সম্পাদক
വിദ്യാഭ്യാസ സാങ്കേതികവിദ്യ,শৈক্ষিক প্ৰযুক্তি
ഇഇപി റോം,ইইপি ৰম
ഫലപ്രദമായ വിലാസം (ഫ്ലോട്ടിംഗ് വിലാസം),ফলপ্ৰসূ ঠিকনা (ভাসমান ঠিকনা)
ഫലപ്രദമായ പ്രവർത്തന വിലാസം,ফলপ্ৰসূ অপাৰেণ্ড ঠিকনা
ഫലപ്രദമായ നടപടിക്രമം,ফলপ্ৰসূ পদ্ধতি
ഫലപ്രദമായ യുഐഡി (ഉപയോക്തൃ തിരിച്ചറിയൽ),ফলপ্ৰসূ UID (ব্যৱহাৰকাৰী চিনাক্তকৰণ)
ഫലപ്രദമായ ട്രാൻസ്മിഷൻ പ്രവർത്തനം,ফলপ্ৰসূ সংক্ৰমণ অপাৰেণ্ড
എട്ട്-ബിറ്റ് ബൈറ്റ്,আঠ-বিট বাইট
ഇലക്ട്രോണിക് പഠനം,ই-লাৰ্নিং
തിരഞ്ഞെടുപ്പ്-അൽഗിർതം,নিৰ্বাচন-algirthm
ഇലക്ട്രിക് മെയിലിംഗ് (ഇ-മെയിൽ),বৈদ্যুতিক মেইলিং (ই-মেইল)
ഇലക്ട്രിക് പ്രിന്റർ,বৈদ্যুতিক প্ৰিন্টাৰ
ഇലക്ട്രിക്കൽ അക്കൗണ്ടിംഗ് മെഷീൻ,বৈদ্যুতিক একাউণ্টিং মেচিন
ഇലക്ട്രോണിക്,ইলেক্ট্ৰনিক
ഇലക്ട്രോണിക് ക്ലിയറൻസ് സിസ്റ്റം (ECS),ইলেক্ট্ৰনিক ক্লিয়াৰেন্স চিষ্টেম (ECS)
ഇലക്ട്രോണിക് ഡാറ്റ ഇന്റർചേഞ്ച് (EDI),ইলেক্ট্ৰনিক ডাটা বিনিময় (EDI)
ഇലക്ട്രോണിക് ഡാറ്റ പ്രോസസ്സിംഗ്,ইলেক্ট্ৰনিক ডাটা প্ৰচেছিং
ഇലക്ട്രോണിക് ഫയലിംഗ്,ইলেক্ট্ৰনিক ফাইলিং
ഇലക്ട്രോണിക് ഫണ്ട് ട്രാൻസ്ഫർ സിസ്റ്റം (EFTS),ইলেক্ট্ৰনিক ধন হস্তান্তৰ ব্যৱস্থা (EFTS)
ഇലക്ട്രോണിക് ജേണലുകൾ,ইলেক্ট্ৰনিক জাৰ্নেল
ഇലക്ട്രോണിക് പ്രസിദ്ധീകരണം,ইলেক্ট্ৰনিক প্ৰকাশন
ഇലക്ട്രോണിക് സ്വിച്ച്,ইলেক্ট্ৰনিক চুইচ
ഘടകം,উপাদান
ഇ-മെയിൽ,ই-মেইল
ഈ - മെയില് വിലാസം,ই-মেইল ঠিকনা
എംബഡഡ് സിസ്റ്റം,এম্বেডেড চিস্টেম
ഉൾച്ചേർക്കൽ,এম্বেডিং
എമിറ്റർ ദമ്പതികളുടെ യുക്തി (ECL),এমিটাৰ কাপল লজিক (ECL)
ശൂന്യമായ സ്റ്റാക്ക്,খালী ষ্টেক
ശൂന്യമായ ചരട്,খালী ষ্ট্ৰিং
അനുകരണം,অনুকৰণ
എൻക്യാപ്സുലേഷൻ,এনকেপচুলেচন
എൻസിഫർ,encipher
എൻകോഡ്,এনকোড কৰক
എൻകോഡർ,এনকোডাৰ
എൻക്രിപ്റ്റ് ചെയ്ത ഡാറ്റ,এনক্ৰেপ্ট কৰা তথ্য
എൻക്രിപ്റ്റിംഗ് ഫയൽ സിസ്റ്റം,নথিপত্ৰপ্ৰণালীক এনক্ৰিপ্ট কৰা
എൻക്രിപ്ഷൻ,এনক্ৰিপচন
ബ്ലോക്കിന്റെ അവസാനം,ব্লকৰ শেষ
ഫയലിന്റെ അവസാനം (EOF),ফাইলৰ শেষ (EOF)
അന്തിമ ഉപയോക്താവ്,শেষ ব্যৱহাৰকাৰী
നൽകുക,প্ৰৱেশ কৰা
എന്റർ-കീ,এণ্টাৰ-কি
എന്റർപ്രൈസ് സെർവർ,এণ্টাৰপ্ৰাইজ চাৰ্ভাৰ
എന്റർപ്രൈസ് സിസ്റ്റം,উদ্যোগ ব্যৱস্থা
സ്ഥാപനം,সত্তা
സ്ഥാപന-ബന്ധം,সত্তা-সম্পৰ্ক
പ്രവേശന സമയം,প্ৰৱেশৰ সময়
എൻട്രി വേരിയബിൾ,প্ৰৱেশ চলক
എണ്ണാവുന്നത്,গণনাযোগ্য
പരിസ്ഥിതി,পৰিৱেশ
യുഗം,যুগ
EPROM,EPROM
എപ്സിലോൺ അടച്ചുപൂട്ടൽ,এপ্সিলন বন্ধ কৰা
സമനില,ইকুৱেলাইজাৰ
ഉപകരണങ്ങൾ,সঁজুলি
തുല്യതാ ക്ലാസ്,সমতুল্যতা শ্ৰেণী
തുല്യതാ ബന്ധം,সমতুল্যতা সম্পৰ্ক
മായ്ക്കുക,মচি পেলাওক
കോഡ് തിരുത്തുന്നതിൽ പിശക്,ক&#39;ড সংশোধন কৰাত ত্ৰুটি
തെറ്റ് തിരുത്തൽ,ভুল সংশোধন
പിശക് കണ്ടെത്തൽ,ভুল ধৰা পেলোৱা
പിശക് കൈകാര്യം ചെയ്യൽ,ভুল নিয়ন্ত্ৰণ
പിശക് സന്ദേശം,ভুল বাৰ্তা
പിശക് നിരക്ക്,ভুলৰ হাৰ
പിശക് വീണ്ടെടുക്കൽ,ত্ৰুটি পুনৰুদ্ধাৰ
പിശക് പതിവ്,ভুল ৰুটিন
രക്ഷപ്പെടുന്ന സ്വഭാവം,পলায়ন চৰিত্ৰ
ഇഥർനെറ്റ്,ইথাৰনেট
സംഭവം,কাৰ্যক্ৰম
ഇവന്റ് ചെയിൻ,ইভেন্ট শৃংখল
ഇവന്റ് നിയന്ത്രണം,ইভেন্ট নিয়ন্ত্ৰণ
ഇവന്റ് കൗണ്ടർ,ইভেন্ট কাউণ্টাৰ
ഒഴിവാക്കൽ കൈകാര്യം ചെയ്യൽ,ব্যতিক্ৰম নিয়ন্ত্ৰণ
കൈമാറ്റം ചെയ്യാവുന്ന ഡിസ്ക് സംഭരണം,বিনিময়যোগ্য ডিষ্ক সংৰক্ষণ
ഒഴിവാക്കൽ,বৰ্জন
എക്സ്ക്ലൂസീവ് അല്ലെങ്കിൽ (XOR),একচেটিয়া বা (XOR)
എക്സിക്യൂട്ടബിൾ പ്രോഗ്രാം,এক্সিকিউটেবল প্ৰগ্ৰেম
എക്സിക്യൂട്ടീവ് പ്രസ്താവന,কাৰ্য্যবাহী বিবৃতি
സമഗ്രമായ തിരയൽ,বিস্তৃত অনুসন্ধান
നിലവിലുണ്ട്,উপলব্ধ
പുറത്ത്,প্ৰস্থান
വിദഗ്ധ സംവിധാനം,বিশেষজ্ঞ ব্যৱস্থা
ആവിഷ്കാരം,অভিব্যক্তি
വിപുലീകൃത ഗ്രാഫിക് അറേ (XGA),সম্প্ৰসাৰিত গ্ৰাফিক এৰে (XGA)
വിപുലമായ വ്യവസായ നിലവാരം (EIS),বৰ্ধিত উদ্যোগ মানদণ্ড (EIS)
വിപുലീകരിച്ച യന്ത്രം,বৰ্ধিত মেচিন
വിപുലീകരിച്ച മെമ്മറി,বৰ্ধিত স্মৃতিশক্তি
വിപുലമായ കൃത്യത,বৰ্ধিত নিখুঁততা
വിപുലീകരിച്ച സോർട്ടിംഗ്,বৰ্ধিত সজাই পৰাই তোলা
ബാഹ്യ കോൾ,বাহ্যিক কল
ബാഹ്യ പിശക്,বাহ্যিক ভুল
ബാഹ്യ പ്രവർത്തനം,বাহ্যিক কাৰ্য্য
ബാഹ്യ തടസ്സം,বাহ্যিক বাধা
ബാഹ്യ മെമ്മറി,বাহ্যিক স্মৃতিশক্তি
ബാഹ്യ മെമ്മറി,বাহ্যিক স্মৃতিশক্তি
ബാഹ്യ മോഡം,বাহ্যিক মডেম
ബാഹ്യ റഫറൻസ്,বাহ্যিক উল্লেখ
ബാഹ്യ തിരയൽ,বাহ্যিক অনুসন্ধান
ബാഹ്യ സംഭരണ ഉപകരണം,বাহ্যিক সংৰক্ষণ ডিভাইচ
വേർതിരിച്ചെടുക്കൽ,নিষ্কাশন
എക്സ്ട്രാപോളേഷൻ,বহিঃপ্ৰক্ষেপণ
മുഖപ്രകൃതി പ്രിന്റർ,মুখ-আখৰ প্ৰিন্টাৰ
പരാജയപ്പെടാത്ത പ്രവർത്തനം,বিফল-নিৰাপদ কাৰ্য্য
പരാജയതോത്,বিফলতাৰ হাৰ
പരാജയം വീണ്ടെടുക്കൽ,বিফলতা পুনৰুদ্ধাৰ
തെറ്റായ കോഡ്,মিছা ক&#39;ড
തെറ്റായ പിശക്,মিছা ভুল
ഫാൻ-ഇൻ,ফেন-ইন
ഫാൻ ഔട്ട്,ফেন-আউট
ഫാസിമൈൽ I/O ഉപകരണം,fascimile I/O ডিভাইচ
ഫാസ്റ്റ് ഫോറിയർ ട്രാൻസ്ഫോർമേഷൻ (FFT),দ্ৰুত ফোৰিয়াৰ ৰূপান্তৰ (FFT)
മാരകമായ തെറ്റ്,মাৰাত্মক ভুল
തെറ്റ് കണ്ടെത്തൽ,ত্ৰুটি ধৰা পেলোৱা
തെറ്റ് രോഗനിർണയം,দোষ নিদান
തെറ്റ് സഹിഷ്ണുത,দোষ সহনশীলতা
ഫാക്സ്,ফেক্স
ഫാക്സ് സന്ദേശം,ফেক্স বাৰ্তা
FDC,এফ ডি চি
സവിശേഷത കണ്ടെത്തൽ,বৈশিষ্ট্য ধৰা পেলোৱা
ഫീഡ് സൈക്കിൾ,ফিড চক্ৰ
പ്രതികരണം,মতামত
ഫീഡർ,ফিডাৰ
കൊണ്ടുവരിക,লৈ অনা
ഫിബൊനാച്ചി തിരയൽ,fibonacci অনুসন্ধান
ഫിബൊനാച്ചി സീക്വൻസ്,fibonacci ক্ৰম
ഫിബൊനാച്ചി പരമ്പര,fibonacci শৃংখলা
ഫൈബർ ഒപ്റ്റിക്സ്,ফাইবাৰ অপটিক্স
ഫിഡോ നെറ്റ്,ফিডো নেট
വയൽ,ক্ষেত্ৰ
അഞ്ചാം തലമുറ കമ്പ്യൂട്ടറുകൾ,পঞ্চম প্ৰজন্মৰ কম্পিউটাৰ
ഫയൽ,ফাইল
ഫയൽ ആക്സസ് രീതി,ফাইল অভিগম পদ্ধতি
ഫയൽ അലോക്കേഷൻ പട്ടിക,ফাইল আবণ্টন টেবুল
ഫയൽ കംപ്രഷൻ,ফাইল সংকোচন
ഫയൽ പകർത്തൽ,ফাইল কপি কৰা
ഫയൽ ലേഔട്ട്,ফাইল বিন্যাস
ഫയൽ ലയിപ്പിക്കുക,ফাইল মাৰ্জ কৰক
ഫയൽ വീണ്ടെടുക്കൽ,ফাইল পুনৰুদ্ধাৰ
ഫയൽ സംഭരണം,নথিপত্ৰ সংৰক্ষণ
ഫയൽ ഘടന,নথিপত্ৰ গঠন
ഫയൽ സിസ്റ്റം,নথিপত্ৰপ্ৰণালী
ഫയൽ കൈമാറ്റം,ফাইল স্থানান্তৰ
ഫയൽ ട്രാൻസ്ഫർ പ്രോട്ടോക്കോൾ (FTP),নথিপত্ৰ স্থানান্তৰ প্ৰটোকল (FTP)
ഫിൽട്ടർ,ফিল্টাৰ
അന്തിമ അവസ്ഥ,চূড়ান্ত অৱস্থা
കണ്ടെത്തുക,সন্ধান কৰা
പരിമിതമായ സംസ്ഥാന യന്ത്രം,সসীম অৱস্থাৰ যন্ত্ৰ
അഗ്നി മതിൽ,জুইৰ দেৱাল
ഫേംവെയർ,ফাৰ্মৱেৰ
ആദ്യം വരുന്നവർക്ക് ആദ്യം നൽകുക,প্ৰথমে আহক প্ৰথমে পৰিবেশন কৰক
ആദ്യ തലമുറ കമ്പ്യൂട്ടർ,প্ৰথম প্ৰজন্মৰ কম্পিউটাৰ
ഫസ്റ്റ് ഇൻ ഫസ്റ്റ് ഔട്ട് (FIFO),প্ৰথম ইন প্ৰথম আউট (FIFO)
ആദ്യ ഓർഡർ യുക്തി,প্ৰথম ক্ৰমৰ যুক্তি
ആദ്യ ക്രമ സിദ്ധാന്തം,প্ৰথম ক্ৰমৰ তত্ত্ব
നിശ്ചിത പാർട്ടീഷൻ,স্থিৰ বিভাজন
പതാക,পতাকা
ഫ്ലെക്സിബിൾ ഡിസ്ക്,নমনীয় ডিষ্ক
ഫ്ലോപ്പി ഡിസ്ക്,ফ্লপি ডিস্ক
ഫ്ലോപ്പി ഡിസ്ക് ഡ്രൈവ് (Fdd),ফ্লপি ডিষ্ক ড্ৰাইভ (Fdd)
ഫ്ലോ ചാർട്ട്,ফ্ল&#39; চাৰ্ট
നിയന്ത്രണത്തിന്റെ ഒഴുക്ക്,নিয়ন্ত্ৰণৰ প্ৰবাহ
ഫ്ലഷ്,ফ্লাছ
ഫോൾഡർ,ফোল্ডাৰ
ഫോണ്ട്,ফন্ট
ഫോണ്ട് കുടുംബം,ফন্ট পৰিয়াল
വിദേശ കീ,বিদেশী চাবি
രൂപം,প্ৰপত্ৰ
ഔപചാരിക ഭാഷ,আনুষ্ঠানিক ভাষা
ഔപചാരിക സംവിധാനം,আনুষ্ঠানিক ব্যৱস্থা
ഫോർമാറ്റ്,ফৰ্মেট
ഫോർമാറ്റിംഗ്,ফৰ্মেটিং
ഫോർട്രാൻ,fortran
ഫോർട്രാൻ പ്രോഗ്രാമിംഗ്,fortra প্ৰগ্ৰেমিং
ഫോർവേഡ് സ്ലാഷ്,ফৰৱাৰ্ড স্লেছ
നാലാം തലമുറ കമ്പ്യൂട്ടർ,চতুৰ্থ প্ৰজন্মৰ কম্পিউটাৰ
ശകലം,খণ্ড
ഫ്രെയിം,ফ্ৰেম
സ്വതന്ത്ര വല,মুক্ত নেট
സ്വതന്ത്ര സോഫ്റ്റ്‌വെയർ ഫൌണ്ടേഷൻ,মুক্ত চফ্টৱেৰ ভেটি
സൗജന്യ സംഭരണം,বিনামূলীয়া সংৰক্ষণ
ഫ്രീവെയർ,ফ্ৰীৱেৰ
ഫ്രണ്ട് എൻഡ്,আগশাৰীৰ
ഫ്രണ്ട് പാനൽ,ফ্ৰন্ট পেনেল
പ്രവർത്തനം,অনুষ্ঠান
ഫംഗ്ഷൻ കീ,ফাংচন কি&#39;
ഫംഗ്ഷൻ റഫറൻസ്,ফাংচন ৰেফাৰেন্স
പ്രവർത്തനപരമായ ആശ്രിതത്വം,কাৰ্য্যকৰী নিৰ্ভৰশীলতা
ഫങ്ഷണൽ ടെസ്റ്റിംഗ്,কাৰ্য্যকৰী পৰীক্ষণ
അവ്യക്തമായ യുക്തി,অস্পষ্ট যুক্তি
അവ്യക്തമായ സെറ്റ്,অস্পষ্ট ছেট
നേട്ടം,লাভ কৰা
കളി മരം,খেলা গছ
വിടവ് പ്രതീകം,ফাঁক চৰিত্ৰ
മാലിന്യം,আৱৰ্জনা
മാലിന്ന്യ ശേഖരണം,জাবৰ সংগ্ৰহ
മാലിന്ന്യ ശേഖരണം,জাবৰ সংগ্ৰহ
മാലിന്യത്തിൽ മാലിന്യം (GIGO),জাবৰত জাবৰ বাহিৰলৈ ওলাই যোৱা (GIGO)
ഗേറ്റ്,গেট
കവാടം,গেটৱে
പൊതു പരിപാടി,সাধাৰণ কাৰ্যসূচী
പൊതു പരിപാടി,সাধাৰণ কাৰ্যসূচী
പൊതു ഉദ്ദേശ്യ കമ്പ്യൂട്ടർ,সাধাৰণ উদ্দেশ্যৰ কম্পিউটাৰ
പൊതു ഉദ്ദേശ്യ കമ്പ്യൂട്ടർ,সাধাৰণ উদ্দেশ্যৰ কম্পিউটাৰ
പൊതു രജിസ്റ്റർ,সাধাৰণ পঞ্জীয়ন
പൊതുവൽക്കരണം,সাধাৰণীকৰণ
പൊതുവൽക്കരണം,সাধাৰণীকৰণ
പൊതു-ഉദ്ദേശ്യ ഭാഷ,সাধাৰণ উদ্দেশ্যৰ ভাষা
പൊതു-ഉദ്ദേശ്യ പ്രവർത്തന സംവിധാനം,সাধাৰণ উদ্দেশ্যৰ অপাৰেটিং sysem
പൊതു-ഉദ്ദേശ്യ രജിസ്റ്റർ,সাধাৰণ উদ্দেশ্যৰ পঞ্জীয়ন
സൃഷ്ടിച്ച പിശക്,সৃষ্টি কৰা ভুল
ഫംഗ്ഷൻ സൃഷ്ടിക്കുന്നു,জেনেৰেটিং ফাংচন
ജനറിക് ക്ലാസ്,জেনেৰিক ক্লাছ
പൊതു പ്രവർത്തനം,জেনেৰিক ফাংচন
പൊതുവായ പേര്,জেনেৰিক নাম
ജിഗോ,gigo
ആഗോള,সাৰ্বজনীন
ആഗോള കോഡ്,গ্লোবেল ক&#39;ড
ആഗോള ലോക്ക്,গ্লোবেল লক
ആഗോള ശൃംഖല,গ্লোবেল নেটৱৰ্ক
ആഗോള ശൃംഖല,গ্লোবেল নেটৱৰ্ক
ആഗോള ഉപയോക്താവ്,গ্লোবেল ব্যৱহাৰকাৰী
ആഗോള വേരിയബിൾ,গ্লোবেল ভেৰিয়েবল
ആഗോളവൽക്കരണം,বিশ্বায়ন
ഗോഫർ,gopher
ഗോഫർ ക്ലയന്റ്,gopher ক্লায়েন্ট
ഗോഫർ സെർവർ,gopher চাৰ্ভাৰ
ഗോഫർ സൈറ്റ്,gopher চাইট
ഗോഫർ സ്പേസ്,gopher স্থান
ഭംഗിയുള്ള തരംതാഴ്ത്തൽ,graceful অৱক্ষয়
വ്യാകരണ പരിശോധകൻ,ব্যাকৰণ পৰীক্ষক
വ്യാകരണം ഗംഭീരമായ എക്സിറ്റ്,ব্যাকৰণ graceful প্ৰস্থান
ആകെ തുക,সৰ্বমুঠ
