Bengali,Hindi
তথ্য তালিকা,आंकड़ा पत्र
দশভুজ,दशभुज
ডেকাগ্রাম,डेकाग्राम
ডেকামিটার,डेकामीटर
ক্ষয় ধ্রুবক,क्षयांक
ক্ষয় বক্ররেখা,क्षय वक्र
শালীন ফাংশন,शिष्ट फलन
ডেসিগ্রাম,डेसीग्राम
decile,दशमक
দশমিক,"दशमलव, दशमिक"
দশমিক কোড,दशमिक कोड
দশমিক কোডেড সংখ্যা,दशमलव कोडित अंक
দশমিক সম্প্রসারণ,दशमिक प्रसार
দশমিক ভগ্নাংশ,दशमलव भिन्न
দশমিক স্বরলিপি,दशमलव संकेतन पद्‌धति
দশমিক সংখ্যা পদ্ধতি,दशमलव अंकन पद्‌धति
দশমিক বিন্দু,दशमलव बिंदु
দশমিক স্কেল,दशमलव मापक्रम
দশমিক সিস্টেম,दशमलव पद्‌धति
ডেসিমিটার,डेसीमीटर
পাঠোদ্ধার,कूटवाचन
সিদ্ধান্ত মডেল,निर्णय निदर्श
সিদ্ধান্ত তত্ত্ব,निर्णय सिद्‌धांत
সিদ্ধান্ত পরিবর্তনশীল,निर्णय चर
ডিকোডার,"कूटवाचक, विकोडक"
ডিকোডিং,"कूटवाचन, विकोडन"
পচনযোগ্য সেট,वियोज्य समुच्चय
হ্রাস,ह्रासमान
ফাংশন হ্রাস,ह्रासमान फलन
Dedekind এর কাটা,डेडेकिन्ड-कट
ডেডেকাইন্ডের উপপাদ্য,डेडेकिन्ड-प्रमेय
অনুমান করা,निगमन करना
ডিডাক্টিভ পদ্ধতি,निगमनिक रीति
ত্রুটিপূর্ণ,सदोष
সংজ্ঞায়িত সমীকরণ,परिभाषी समीकरण
নির্দিষ্ট অবিচ্ছেদ্য,निश्चित समाकल
নির্দিষ্ট ম্যাট্রিক্স,निश्चित मैट्रिक्स
সংজ্ঞা," परिभाषा , स्पष्टता , निश्चय"
বিকৃতি বক্ররেখা,विरूपण वक्र
বিকৃত পৃষ্ঠ,विकृत पृष्ठ
অধঃপতন,"अपभ्रष्टता, अपह्रास"
পরিবহন সমস্যায় অধঃপতন,परिवहन समस्याओं में अपभ्रष्टता
ডিগ্রী," डिग्री, अंश , घात , कोटि , मात्रा, परिमाण , अंशांक"
ডিফারেনশিয়াল সমীকরণ ডিগ্রী,अवकल समीकरण का घात
স্বাধীনতা ডিগ্রী,"स्वतंत्रता की कोटि, स्वातंत्र्य कोटि"
বহুপদ ডিগ্রী,बहुपद का घात
মুছে ফেলা পাড়া,निष्कासित प्रतिवेश
ডেল্টা ফাংশন,डेल्टा फलन
চাহিদা এবং ইউটিলিটি বক্ররেখা,मांग और उपयोगिता वक्र
চাহিদা সমীকরণ,मांग समीकरण
চাহিদা ফাংশন,मांग फलन
ডেমোগ্রাফিক অধ্যয়ন,जनसांख्यिकीय अध्ययन
জনসংখ্যা,जनसांख्यिकी
De Moivre এর উপপাদ্য,द-मॉयवर प्रमेय
প্রদর্শন," निरूपण करना , प्रमाण देना , निदर्शन करना"
প্রদর্শন," निरूपण , प्रमाण , निदर्शन, प्रदर्शन"
প্রদর্শনমূলক জ্যামিতি,निरूपणात्मक ज्यामिति
হর,हर
ঘন সেট,सघन समुच्चय
ঘনত্ব," घनत्व , सघनता"
গণনাযোগ্য সেট,प्रगणनीय समुच्चय
প্রস্থান ভেরিয়েবল,अपगामी अचर
নির্ভরশীল ঘটনা,आश्रित घटना
নির্ভরশীল র্যান্ডম পরিবর্তনশীল,आश्रित यादृच्छिक चर
নির্ভরশীল পরিবর্তনশীল,परतंत्र चर
নির্ভরশীল বৈচিত্র,परतंत्र विचर
বিষণ্নতা কোণ,अवनमन कोण
ডেরিভেশন," व्युत्पत्ति, व्युत्पन्न , अवकलन"
অমৌলিক," व्युत्पन्न , अवकलज"
প্রাপ্ত সিরিজ,व्युत्पन्न श्रेणी
প্রাপ্ত সেট,व्युत्पन्न समुच्चय
অবরোহী,"अवरोही, अवरोहण"
অবরোহী ক্রম,अवरोही क्रम
অবরোহী সিরিজ,अवरोही श्रेणी
বর্ণনামূলক জ্যামিতি,प्रक्षेपात्मक ज्यामिति
বর্ণনামূলক মডেল,वर्णनात्मक निदर्श
বর্ণনামূলক পরিসংখ্যান,वर्णनात्मक सांख्यिकी
নকশা,"अभिकल्प, डिजाइन, अभिकल्पना (सं.), अभिकल्पना करना, डिजाइन करना (क्रि.)"
পরীক্ষার নকশা,प्रयोग की अभिकल्पना
ডেস্ক ক্যালকুলেটর,डेस्क परिकलित्र
সনাক্তকরণ,"पहचान, संसूचन"
নির্ধারক," सारणिक, डिटर्मिनेंट , निर्धारक"
নির্ধারক পদমর্যাদা,सारणिक कोटि
নির্ধারণ,निर्धारित करना
নির্ধারক মডেল,निर्धारणात्मक निदर्श
নির্ধারক সমস্যা,निर्धारणात्मक समस्या
বিচ্যুতি,विचलन
বিচ্যুতি সহগ,विचलन गुणांक
ডায়াডিক সিস্টেম,द्वि-आधारी प्रणाली
তির্যক,"विकर्ण कर्ण,"
একটি ম্যাট্রিক্সের তির্যককরণ,आव्यूह-विकर्णन
তির্যক ম্যাট্রিক্স,"विकर्ण मैट्रिक्स, विकर्ण आव्यूह"
তির্যক সাদৃশ্য,विकर्णी समानता
চিত্র,आरेख
ডায়াগ্রামেটিক পদ্ধতি,आरेखी विधि
ডায়াগ্রামেটিক উপস্থাপনা,आरेखी प्रस्तुतिकरण
ব্যাস,व्यास
একটি সেটের ব্যাস,समुच्चय-व्यास
diametrically বিপরীত,व्यासतः सम्मुख
পাশা নিক্ষেপ,"पाशकक्षेप, पासा फेंकना"
দ্বিমুখী শ্রেণীবিভাগ,द्विधा वर्गीकरण
দ্বিধাবিভক্তি," द्विभाजन , अर्धक"
অভিধান আদেশ,कोशक्रम
পার্থক্য ক্যালকুলাস,अंतर कलन
পার্থক্য সমীকরণ,अंतर समीकरण
পার্থক্য সূত্র,अंतर सूत्र
পার্থক্য পদ্ধতি,अंतर विधि
সেটের পার্থক্য,समुच्चयों का अंतर
পার্থক্যযোগ্য,अवकलनीय
পার্থক্যযোগ্য বক্ররেখা,अवकलनीय वक्र
পার্থক্যযোগ্য ফাংশন,अवकलनीय फलन
ডিফারেনশিয়াল," विभेदक, भेददर्शी , अवकल , अंतरात्रयी, अंतरात्मक , विभेदी"
অন্তরীকরণ ক্যালকুলাস,अवकल गणित
ডিফারেনশিয়াল সহগ,अवकल गुणांक
আঙ্গক,अवकल समीकरण
ডিফারেনশিয়াল ফর্ম,अवकल समघात
ডিফারেনশিয়াল সূত্র,अवकल सूत्र
ডিফারেনশিয়াল ফাংশন,अवकल फलन
ডিফারেনশিয়াল জ্যামিতি,अवकल ज्यामिति
উচ্চ ক্রম ডিফারেনশিয়াল,उच्चतर कोटि का अवकल
ডিফারেনশিয়াল ভাগফল,अवकल खंड
পার্থক্য করা,अवकलन करना
পৃথকীকরণ,"विभेदन, अवकलन"
পার্থক্য সূত্র,अवकलन सूत्र
ভেক্টরের পার্থক্য,सदिश का अवकलन
বিস্তার,"विसरण, विसार"
অঙ্ক,"अंक, व्यास का द्वादशांश, अंगुलि"
ডিজিটাল কম্পিউটার,अंकीय अभिकलित्र
ডিজিটাল তথ্য,अंकीय दत्त
মাত্রা," विस्तार, लंबाई-चौड़ाई, विमा , घात"
মাত্রিকতা,विमीयता
মাত্রাহীন,"विमाहीन, अविम"
একটি সমীকরণের মাত্রা,समीकरण विमा
ডায়োফ্যান্টাইন সমীকরণ,डायोफैन्टस का समीकरण
ডুব কোণ,नति कोण
দ্বিপোলার স্থানাঙ্ক,द्वियुग्मध्रुवी निर्देशांक
ডাইপোল,द्विध्रुव
ডিপিরামিড (বাইপিরামিড),द्विपिरामिड
ডিরাক ডেল্টা ফাংশন,डिरैक डेल्टा फलन
সরাসরি সাধারণ স্পর্শক,उभयनिष्ठ अनुस्पर्श रेखा
নির্দেশিত কোণ,दिष्ट कोण
নির্দেশিত লাইন,दिष्ट रेखा
নির্দেশমূলক ডেরিভেটিভ,दिक्-अवकलज
দিক কোসাইন,"दिक्कोज्या, दिक्-कोसाइन"
ম্যাক্সিমা এর দিক,उच्चिष्ठ की दिशा
অভিক্ষেপের দিক,प्रक्षेपण दिशा
দিক অনুপাত,दिक्-अनुपात
পরিচালক চক্র,नियामक वृत्त
পরিচালক ক্ষেত্র,नियामक गोला
সরাসরি পণ্য,अनुलोम गुणनफल
সরাসরি প্রমাণ," प्रत्यक्ष प्रमाण , प्रत्यक्ष उपपत्ति"
সরাসরি সমানুপাত,अनुक्रमानुपात
directrix,नियता
সরাসরি যোগফল,अनुलोम योगफल
সংযোগ বিচ্ছিন্ন সেট,असंबद्‌ध समुच्चय
বিরতি," असांतत्य , असातत्य , भंग"
ডেরিভেটিভের বিচ্ছিন্নতা,अवकलज का असांतत्य
প্রথম ধরনের বিচ্ছিন্নতা,प्रथम प्रकार का असांतत्य
দ্বিতীয় ধরনের বিচ্ছিন্নতা,द्वितीय प्रकार का असांतत्य
অবিচ্ছিন্ন বিতরণ,असंतत वितरण
অবিচ্ছিন্ন ফাংশন,असंतत फलन
অবিচ্ছিন্ন বৈচিত্র্য,असंतत विचर
বিযুক্ত,विविक्त
বিচ্ছিন্ন বন্টন,असंतत बंटन
বিচ্ছিন্ন সম্ভাব্যতা বন্টন,असंतत प्रायिकता बंटन
বিচ্ছিন্ন এলোমেলো পরিবর্তনশীল,असंतत यादृच्छिक चर
বিচ্ছিন্ন নমুনা স্থান,असंतत प्रतिदर्श समष्टि
বিযুক্ত সেট,विविक्त समुच्चय
পৃথক স্থান,विविक्त समष्टि
বিচ্ছিন্ন টপোলজি,विविक्त संस्थिति
বিযুক্ত বৈচিত্র,असंतत विचर
বৈষম্যমূলক,विविक्तकर
বৈষম্যমূলক বিশ্লেষণ (=বৈষম্যমূলক বিশ্লেষণ),विविक्तकर विश्लेषण
বিচ্ছিন্ন করা,असंयुक्त
বিচ্ছিন্ন ঘটনা,असंयुक्त घटना
বিচ্ছিন্ন সেট,असंयुक्त समुच्चय
বিচ্ছিন্ন ইউনিয়ন,असंयुक्त सम्मिलन
বিচ্ছিন্নতা," वियोजन , तर्क-संगत योग"
বিচ্ছুরণ," परिक्षेपण , प्रकीर्णन"
বিচ্ছুরণ চার্ট,परिक्षेपण संचित्र
বিচ্ছুরণ ধ্রুবক,परिक्षेपणांक
বিচ্ছুরণ চিত্র,परिक्षेपण-आरेख
বিচ্ছুরণ ম্যাট্রিক্স (=কোভারিয়েন্স ম্যাট্রিক্স),परिक्षेपण-मैट्रिक्स
উত্পাটন,विस्थापन
প্রদর্শন,प्रदर्श
প্রদর্শন ইউনিট (= কনসোল),कन्सोल
ভিন্ন,"असमरूप, असमान"
অপব্যয়কারী শক্তি,क्षयकारी बल
দূরত্ব ফাংশন,दूरी-फलन
দূরত্ব মডুলাস,दूरी-मापांक
বিতরণ-মুক্ত পদ্ধতি,बंटन-निरपेक्ष
বন্টনমূলক আইন,"वितरण-नियम, बंटननियम"
বিচ্যুত,"अपसारित करना, अपसारित होना"
বিচ্যুতি," अपसरण, अपसारिता , डाइवर्जेन्स"
ভিন্নতা উপপাদ্য,अपसरण प्रमेय
divergent,अपसारी
ভিন্ন সিরিজ,अपसारी श्रेणी
বিভক্ত পার্থক্য,विभाजित अंतर
বিভাজ্যতা,"भाज्यता, विभाज्यता"
বিভাজ্য,"भाज्य, विभाज्य"
বিভাগ," भाग, प्रभाग , विभाजन"
বিভাগ অ্যালগরিদম,विभाजन-कलन विधि
বিভাগ রিং,विभाजन-वलय
ডোডেকাগন,द्वादशभुज
dodecahedron,द्वादशफलक
ডোমেইন," प्रक्षेत्र , डोमेन, प्रांत , प्रदेश"
একটি ফাংশনের ডোমেইন,फलन का प्रांत
সংজ্ঞার ডোমেইন,परिभाषा-प्रांत
অস্তিত্বের ডোমেইন,अस्तित्व-प्रांत
প্রভাবশালী কৌশল,अभिभावी युक्ति
ডপলার এফেক্ট,डॉप्लर प्रभाव
বিন্দু পণ্য,"बिन्दु-गुणनफल, अदिशगुणनफल"
বিন্দুযুক্ত বক্ররেখা,बिन्दुकित वक्र
ডবল পার্থক্য,द्विशः अवकलन
ডবল সূচকীয় বন্টন,द्विक चरघातांकीय बंटन
ডবল হেলিক্স,द्विकुंडली
ডবল অবিচ্ছেদ্য,द्विशः समाकल
ডবল ইন্টিগ্রেশন,द्विशः समाकलन
দ্বিগুণ সীমা,द्विक सीमा
ডবল নমুনা পরিকল্পনা,द्विशः प्रतिचयन आयोजन
ডবল ক্রম,द्विक अनुक्रम
ডবল সিরিজ,द्विक श्रेणी
ডবল প্রত্যয় স্বরলিপি,द्वि-अनुलग्नी संकेतन
ডবল সমষ্টি,द्विक संकलन
নিম্নগামী ত্বরণ,अधोमुखी त्वरण
নিম্নগামী স্থানচ্যুতি,अधोमुखी विस्थापन
নিম্নগামী গতি,अधोमुखी गति
নিম্নগামী বেগ,अधोमुखी वेग
টানুন,कर्षण
ড্র্যাগ বল,कर्षण-बल
দ্বৈত,"द्वैती द्वैती,"
দ্বৈত ভিত্তি,द्वैत आधार
দ্বৈত অভ্যন্তরীণ পণ্য,द्वैत आंतरिक गुणनफल
ডুয়েল লিনিয়ার প্রোগ্রামিং সমস্যা,द्वैती रैखिक प्रोग्रामन समस्या
দ্বৈত অপারেশন," द्वि प्रचालन , द्वैती संक्रिया"
দ্বৈত সমস্যা,द्वैत समस्या
ডুয়াল সিমপ্লেক্স অ্যালগরিদম,द्वैत एकल कलन-विधि
ডুয়াল সিমপ্লেক্স কৌশল,द्वैत एकल प्रविधि
দ্বৈত স্থান,द्वैत समष्टि
দ্বৈত পরিবর্তনশীল,द्वैत चर
দ্বৈত ভেক্টর স্থান,द्वैत सदिश समष्टि
ডামি সূচক,मूक सूचकांक
ডামি সাবস্ক্রিপ্ট,मूक पादांक
ডামি প্রত্যয়,मूक अनुबंध
ডামি পরিবর্তনশীল,मूक चर
সদৃশ প্রক্রিয়া,अनुलिपि-प्रक्रम
গতিশীল,गतिकीय
গতিশীল সিস্টেম,गतिकीय तंत्र
গতিশীল চাহিদা ফাংশন,गतिक मांग फलन
গতিশীল মডেল,गत्यात्मक निदर्श
গতিশীল প্রোগ্রামিং,गत्यात्मक प्रोग्रामन
গতিশীল প্রোগ্রামিং পদ্ধতি,गतिशील प्रोग्रामन उपगमन
গতিশীল প্রোগ্রামিং কৌশল,गतिशील प्रोग्रामन प्रविधि
গতিবিদ্যা,"गतिविज्ञान, गतिकी"
একটি কণার গতিবিদ্যা,कण-गतिकी
অনমনীয় শরীরের গতিশীলতা,दृढ़ पिंड गतिकी
পৃথিবী," भू, पृथ्वी, भूमि , मत्तिृ का, मदृा , भू संपर्कित करना, भूसंपर्क करना (क्रि.)"
ভূমিকম্পের তীব্রতা,भूकंप तीव्रता
উদ্ভটতা,उत्केंद्रता
গ্রহন,ग्रहण
অর্থনৈতিক পূর্বাভাস,अर्थमितीय पूर्वानुमान
অর্থনীতিবিদ,अर्थमितिज्ञ
অর্থনীতি,अर्थमिति
অর্থনীতি,अर्थशास्त्र
প্রান্ত,"कोर, किनारा, अश्रि"
একটি উত্তল সেটের প্রান্ত,अवमुख समुच्चय कोर
দক্ষতা ফ্যাক্টর,दक्षतांक
eigen উপাদান,अभिलक्षणिक अवयव
eigen ফাংশন,अभिलक्षणिक फलन
eigen মান,"आइगेन मान, अभिलक्षणिक मान"
eigen মান সমীকরণ,अभिलक्षणिक मान समीकरण
eigen ভেক্টর,"आइगेन वेक्टर, अभिलक्षणिक सदिश"
ইলাস্টিক,प्रत्यास्थ
ইলাস্টিক ধ্রুবক,प्रत्यास्थतांक
ইলাস্টিক ভারসাম্য,प्रत्यास्थ साम्यावस्था
স্থিতিস্থাপকতা,प्रत्यास्थता
স্থিতিস্থাপকতা পৃষ্ঠ,प्रत्यास्थता-पृष्ठ
ইলেকট্রনিক কম্পিউটার,"इलेक्ट्रॉनिक अभिकलित्र, इलेक्ट्रॉनिक कम्प्यूटर"
উপাদান," तत्व , अल्पांश , अवयव"
প্রাথমিক কলাম অপারেশন,प्रारंभिक स्तंभ संक्रिया
প্রাথমিক ঘটনা,प्रारंभिक घटना
প্রাথমিক ফাংশন,प्रारंभिक फलन
প্রাথমিক অপারেশন,प्रारंभिक संक्रिया
প্রাথমিক ফলাফল,प्रारंभिक परिणाम
প্রাথমিক সম্ভাব্যতা আইন,प्रारंभिक प्रायिकता नियम
প্রাথমিক সারি অপারেশন,प्रारंभिक पंक्ति संक्रिया
নিষ্কাশন করা,"विलुप्त करना, विलोपन करना,"
নির্মূল পদ্ধতি,निराकरण प्रक्रिया
উপবৃত্ত,"दीर्घवृत्त, इलिप्स"
উপবৃত্তাকার,दीर्घवृत्तज
উপবৃত্তাকার,दीर्घवृत्तजीय
উপবৃত্তাকার পৃষ্ঠ,दीर्घवृत्तजीय पृष्ठ
উপবৃত্তাকার শরীর,दीर्घवृत्ताकार पिंड
এমবেডিং,अंतःस्थापन
নিঃসরণ,उत्सर्जन
গবেষণামূলক তথ্য,आनुभविक न्यास
গবেষণামূলক সূত্র,मूलानुपाती सूत्र
অভিজ্ঞতামূলক সম্ভাবনা,आनुभविक प्रायिकता
অভিজ্ঞতামূলক সম্পর্ক,आऩुभविक संबंध
ফাঁকা সেট,रिक्त समुच्चय
ঘিরা,परिबद्‌ध
এনকোডিং,"कूटलेखन, कोडन"
এন্ডোমরফিজম,अंतराकारिता
শেষপ্রান্ত,अंत्य बिंदु
ক্লাস ব্যবধানের শেষ বিন্দু,वर्गांतराल के अंत्य बिंदु
শক্তি,ऊर्जा
শক্তি ভরবেগ উপাদান,ऊर्जा-संवेग घटक
পরিবর্তনশীল প্রবেশ করান,प्रवेशी चर
গণনাযোগ্য সেট,गणनीय समुच्चय
গণনা,"गणन, गिनना"
সমান,"समान, बराबर, सम, तुल्य"
সমতা,"समता, समिका"
সমান সম্ভাবনা,समप्रायिक
সমান সম্ভাব্যতা নির্বাচন পদ্ধতি (=epsem),सम प्रायिकता वरण विधि
সমান করা,समान करना
সমীকরণ," समीकरण , समीकार"
প্রথম ডিগ্রির সমীকরণ,एकघात समीकरण
দ্বিতীয় ডিগ্রির সমীকরণ,द्विघात समीकरण
তৃতীয় ডিগ্রির সমীকরণ,त्रिघात समीकरण
বিষুবরেখা,"विषुवत वृत्त भूमध्यरेखा, इक्वेटर, मध्यरेखा"
সমপরিমাণ,समसंतत
সমবাহু,समबाहु
ভারসাম্য,"साम्यावस्था, साम्य, संतुलन"
বাহিনীর ভারসাম্য,बल-संतुलन
ভারসাম্য বিন্দু,संतुलन बिंदु
সমতা,तुल्यता
সমতা শ্রেণী,तुल्यता-वर्ग
সমতা সম্পর্ক,तुल्यता-संबंध
সমতুল্য,"तुल्य, तुल्यमान (वि.),तुल्यांक (सं.)"
সমতুল্য ম্যাট্রিক্স,तुल्य मैट्रिक्स
সমতুল্য সেট,तुल्य समुच्चय
ergodicity,अभ्यतिप्रायता
ত্রুটি,"त्रुटि, भूल, गलती, अशुद्‌धि"
ত্রুটি বিশ্লেষণ,त्रुटि-विश्लेषण
ভুল সংকেত,त्रुटि कोड
ত্রুটি সহগ,त्रुटि गुणांक
গড় বর্গক্ষেত্রের ত্রুটি,वर्ग माध्य त्रुटि
প্রথম ধরনের ত্রুটি,प्रथम प्रकार की त्रुटि
দ্বিতীয় ধরনের ত্রুটি,द्वितीय प्रकार की त्रुटि
পালানোর সম্ভাবনা,पलायन-प्रायिकता
মুক্তিবেগ,पलायन वेग
ই. শ্মিড্টের অর্থগোনালাইজেশন প্রক্রিয়া,ई. श्मिट लांबिकीकरण प्रक्रम
লিখিত বৃত্ত,बहिर्वृत्त
অপরিহার্য,"सारभूत, अनिवार्य"
মূলত অনন্য,वस्तुतः अद्वितीय
অনুমান,"आकलन करना, आकलित करना (क्रि.), आकलन (सं.)"
অনুমান পদ্ধতি,आकलन विधि
ইউক্লিডীয় স্থানাঙ্ক,यूक्लिडीय निर्देशांक
ইউক্লিডীয় ডোমেইন,यूक्लिडीय डोमेन
ইউক্লিডীয় জ্যামিতি,यूक्लिडीय ज्यामिति
ইউক্লিডীয় এন-স্পেস,यूक्लिडीय n-समष्टि
ইউক্লিডীয় সমতল,यूक्लिडीय समतल
অয়লারের উপপাদ্য,ऑयलर प्रमेय
মূল্যায়ন,"मान निकालना, मूल्यांकन करना"
এমন কি,सम
এমনকি বক্ররেখা,सम वक्र
এমনকি ফাংশন,सम फलन
এমনকি একাধিক,सम अपवर्त्य
জোড় সংখ্যা,सम संख्या
জোড় বিজোড় প্রতিসাম্য,सम-विषम सममिति
এমনকি স্থানান্তর,सम क्रमचय
ঘটনা,"घटना, अनुवृत्त"
এমনকি মেয়াদ,समपद
সঠিক,"यथातथ, यथार्थ, बिल्कुल ठीक"
সঠিক চি-স্কয়ার পরীক্ষা,यथातथ काई-वर्ग परिक्षण
সঠিক পার্থক্য,यथातथ अवकल
সঠিক সমীকরণ,यथातथ समीकरण
উদাহরণ,उदाहरण
বিনিময়,विनिमय
সম্পূর্ণ ঘটনা,निश्शेष घटना
অস্তিত্ব স্বতঃসিদ্ধ,अस्तित्व अभिगृहीत
অস্তিত্ব সম্ভাবনা (= একটি অগ্রাধিকার সম্ভাবনা),अस्तित्व प्रायिकता
অস্তিত্বের উপপাদ্য,अस्तित्व प्रमेय
বহিরাগত পরিবর্তনশীল,बाह्य चर
সম্প্রসারণ,"प्रसार, प्रसरण"
প্রত্যাশা ফাংশন,प्रत्याशा फलन
প্রত্যাশিত ফ্রিকোয়েন্সি,प्रत्याशित बारंबारता
প্রত্যাশিত মান,प्रत्याशित मान
পরীক্ষা,प्रयोग
পরীক্ষামূলক ত্রুটি,"प्रायोगिक भूल, प्रायोगिक त्रुटि"
ব্যাখ্যা,"व्याख्या, स्पष्टीकरण"
সুস্পষ্ট সমীকরণ,स्पष्ट समीकरण
স্পষ্ট ফর্ম,स्पष्ट रूप
সুস্পষ্ট ফাংশন,स्पष्ट फलन
সুস্পষ্ট সমাধান,स्पष्ट हल
সূচক,घातांक
সূচকীয় বক্ররেখা,चरघातांकी वक्र
সূচকীয় ঘনত্ব ফাংশন,चरघातांकी प्रायिकता फलन
সূচকীয় বিতরণ,चरघातांकी बंटन
সূচকীয় সমীকরণ,चरघातांकी समीकरण
ব্যাখ্যামূলক কাজ,चरघातांकी फलन
সূচক বৃদ্ধির,"एक्सपोनेन्टी वृद्‌धि, चरघातांकी वृद्‌धि"
সূচকীয় আইন,चरघातांकी नियम
সূচকীয় মানচিত্র,चरघातांकी प्रतिचित्र
সূচকীয় সিরিজ,"एक्सपोनेन्टी श्रेणी, चरघातांकी श्रेणी"
অভিব্যক্তি," निष्पीडन , व्यंजक , मुखाकृति, भावकृति"
বর্ধিত ব্যবধান,विस्तरित अंतराल
বর্ধিত বাস্তব লাইন,वर्धित वास्तविक रेखा
বর্ধিত বাস্তব সংখ্যা সিস্টেম,विस्तरित वास्तविक संख्या निकाय
একটি ম্যাপিংয়ের এক্সটেনশন,प्रतिचित्रण विस्तार
বাহ্যিক কোণ,बहिष्कोण
বাহ্যিক এলাকা,बाह्य क्षेत्र
বাহ্যিক বিন্দু,बाह्य बिंदु
বহিরাগত,बाह्य
প্রবণতা মান এক্সট্রাপোলেশন,उपनति मान का बहिर्वेशन
এক্সট্রাপোলেশন কৌশল,बहिर्वेशन तकनीक
চরম মান,चरम मान
চরম," अत्यंत , अंत , चरम, पराकाष्ठा"
চরম বিন্দু,चरम बिंदु
উত্তল সেটের চরম বিন্দু,अवमुख समुच्चय का चरम बिंदु
একটি ফাংশন এর extremum,फलन का चरम मान
চরম সম্পত্তি,चरम गुणधर्म
মুখ," फलक, पार्श्व , अंताग्र"
পরিচিতি,अंकित मूल्य
ফ্যাক্টর," घटक, उपादान, कारक , खंड,"
ফ্যাক্টর বিশ্লেষণ,उपादान विश्लेषण
ফ্যাক্টরড,खंडित
ফ্যাক্টরিয়াল,क्रमगुणित
ফ্যাক্টরিয়াল ডিজাইন,बहु-उपादानी अभिकल्पना
ফ্যাক্টরাইজেশন,गुणनखंडन
ফ্যাক্টরিজ,गुणनखंड करना
নিরপেক্ষ খেলা,न्याय्य खेल
মিথ্যা,"आभासी, मिथ्या, कूट"
পরিবার," कुटुंब, परिवार , कुल, फैमिली"
বৃত্তের পরিবার,वृत्त-कुल
পারিবারিক বক্ররেখা,वक्र-कुल
ফাংশন পরিবার,फलन-परिवार
লাইনের পরিবার,रेखा-कुल
প্রতিকৃতি,प्रतिकृति
F-বন্টন,F-बंटन
সম্ভাব্য মৌলিক সমাধান,सुसंगत आधारी हल
সম্ভাব্য সমাধান,सुसंगत हल
ফিড ব্যাক,"पुनर्भरण, पुनर्निवेश"
ফার্মেট নীতি,फ़र्मा का नियम
Fermat এর উপপাদ্য,फ़र्मा का प्रमेय
ফার্মি-ডিরাক পরিসংখ্যান,फर्मी-डिरैक-सांख्यिकी
ফিবোনাচি সংখ্যা,फिबोनाशी-संख्या
ফিবোনাচি সিরিজ,फिबोनाशी श्रेणी
ক্ষেত্র," क्षेत्र , क्षेत्रक , खेत , फील्ड"
চূড়ান্ত বেগ,अंतिम वेग
সসীম," परिमित , सांत"
সীমিত ভিত্তি,परिमित आधार
সসীম দশমিক,परिमित दशमलव
সীমিত পার্থক্য,परिमित अंतर
সীমিত পার্থক্য পদ্ধতি,परिमित अंतर विधि
সসীম মাত্রিক,परिमितविमीय
সসীম মাত্রিক ভেক্টর স্থান,परिमितविमीय सदिश
সীমিত খেলা,परिमित खेल
সসীম জ্যামিতি,परिमित ज्यामिति
সসীম ছেদ,परिमित सर्वनिष्ठ
সীমিত অনেক,परिमितानेक
সীমাবদ্ধ মার্কভ চেইন,परिमित मार्कोव शृंखला
সসীমতা প্রমাণ,परिमितता उपपत्ति
সসীম সংখ্যা,परिमित संख्या
সীমিত জনসংখ্যা,परिमित समष्टि
সীমিত সম্ভাবনা,परिमित प्रायिकता
সসীম সিরিজ,सांत श्रेणी
সসীম সেট,परिमित समुच्चय
সীমিত বেগ,परिमित वेग
সীমিত আয়তন,परिमित आयतन
মানানসই,"मिलाना, समंजन"
বক্ররেখা ফিটিং,वक्र समंजन
সরলরেখার ফিটিং,सरल रेखा समंजन
স্থির বিন্দু উপপাদ্য,नियत बिंदु प्रमेय
স্থির নমুনা,नियत प्रतिदर्श
ফ্লাইটের বেগ,उड़ान वेग
ফ্লোটিং পয়েন্ট পাটিগণিত,चल बिंदु परिकलन
ভাসমান পয়েন্ট সিস্টেম,"चल बिंदु प्रणाली, चलबिंदु पद्‌धति"
ফ্লো চার্ট,प्रवाह-संचित्र
গতির প্রবাহ,प्रवाह-वेग
তরল গতিবিদ্যা,तरल-गतिकी
ফোকাল," नाभीय , संनाभि , फोकसी"
ফোকাল জ্যা,नाभीय जीवा
ফোকাল দূরত্ব,नाभीय दूरी
ফোকাস দৈর্ঘ্য,नाभीय लंबाई
ফোকাস," नाभि , फोकस , उद्‌गम"
পা," पद, पाद , फुट"
লম্বের পাদদেশ,लंबपाद
মাধ্যাকর্ষণ বল,गुरुत्व-बल
পূর্বাভাস,पूर्वानुमान
সূত্র,सूत्र
প্রণয়ন,सूत्रण
গঠন," संरूपण , संरूप , सूत्रण"
এগিয়ে পার্থক্য,अग्रांतर
ফরোয়ার্ড ইন্টারপোলেশন,अग्र अंतर्वेशन
গণিতের ভিত্তি,गणित का मूलाधार
ফুরিয়ারের বিশ্লেষণ,फूरिये-विश्लेषण
ফুরিয়ার সিরিজ,फूरिये श्रेणी
ফুরিয়ারের রূপান্তর,फूरिये रूपांतर
ভগ্নাংশ,भिन्न
ভগ্নাংশ সমন্বয়,भिन्नात्मक निर्देशांक
ভগ্নাংশ সংখ্যা,भिन्नात्मक संख्या
