Hindi,Telugu
नाम-स्रोत,పేరుపేరు
अश्वपाल,ఎక్వెరీ
2. एक्यरी,ఎక్వెరీ
अश्वारोही मूर्ति,గుర్రపుస్వారీ విగ్రహం
"काल, संवत्",యుగం
दास-कारागार,ఎర్గస్టులం
यूखेरिस्त,యూకారిస్ట్
"शुभ संदेशवाद, इंजीलवाद",సువార్తవాదం
इंजीली आंदोलन,సువార్త ఉద్యమం
"इंजीली प्रचारक, इंजीलवादी",మత ప్రచారకుడు
एक्सार्क,Exarch
"निष्कासितों का शासक, निर्वासितों का शासक",Exilarch
फैलेंजवादी,ఫలాంగిస్ట్
() पितृभूमि,తండ్రి భూమి
(2) स्वदेश,తండ్రి భూమి
पर्व,ఫెరియాయే
जड़-पूजा,ఫెటిష్
सामंती-क्षेत्र,ఫ్యూడల్ హోల్డింగ్స్
"सामंतवाद, सामंतशाही",ఫ్యూడలిజం (=ఫ్యూడల్ వ్యవస్థ)
सामंती व्यवस्था,భూస్వామ్య వ్యవస్థ
सामंत,భూస్వామ్య
धर्मत्राता,ఫిడే డిఫెన్సర్ (=డిఫెండర్ ఆఫ్ ది ఫెయిత్)
जागीर,ఫైఫ్
क्षेत्र-व्यवस्था,ఫీల్డ్ సిస్టమ్
पंचदशांश कर,పదిహేనవ పన్ను
नाम मात्र का अध्यक्ष,ఫిగర్ హెడ్
अवसानमुखी शताब्दी,ఫిన్ డి సైకిల్
फायर ईटर,అగ్ని తినేవాడు
पाँच मील अधिनियम,ఫైవ్ మైల్ చట్టం
"पताका, ध्वज",జెండా
जुपिटर के पुजारी,ఫ్లేమెన్ డయాలిస్
मार्स के पुजारी,ఫ్లేమెన్ మార్టియాలిస్
"दीप्त शिला, जलती मशाल",జ్వలించే జ్యోతి
"पार्श्व, बाजू",పార్శ్వము
"तुलुग़मा, पार्श्वग्राह",పార్శ్వ కదలిక
उन्नतिशील सभ्यता,వర్ధిల్లుతున్న నాగరికత
नदी संबंधी विश्वास,ఫ్లూవియలిస్టిక్ నమ్మకం
"लोक-देवता, जन-देवता",జానపద దేవుడు
जन-देवी,జానపద దేవత
लोक-स्मृति,జానపద జ్ఞాపకం
लोक कथा,జానపద పురాణం (=జానపదం)
रसदमारी धावा,మేత వెదకడం
धावा,ఫోరే
"पुरखा, पूर्वज",ముందరివాడు
"पूर्वज, पुरखा",పూర్వీకుడు
पूर्वगामी,ముందున్నవాడు
"जोखिम दल, अग्रदल",చితికిపోయిన ఆశ
निर्माण-अवस्था,నిర్మాణ దశ
"किला, दुर्ग, गढ़",కోట
क़िलाबंदी,కోట
"प्राचीरयुक्त नगर, परकोटेवाला नगर",పటిష్టమైన పట్టణం
"दुर्ग, कोटला, गढ़ी",కోట
फॉर्चूना,ఫార్చ్యూనా
रोमन फोरम,ఫోరమ్ రోమనుమ్
फ्रांसिस श्रमण,ఫ్రాన్సిస్కాన్
मध्यवर्गीय ज़मींदार,ఫ్రాంక్లిన్
भ्रातृघातक युद्ध,భ్రాతృహత్య యుద్ధం
"स्वतंत्र चर्च, अबद्ध गिरजा",ఉచిత చర్చి
"उन्मुक्त भूमिधर, स्वतंत्र माफीदार",ఫ్రీహోల్డర్
() शस्त्रोपजीवी सैनिक,స్వతంత్ర సైనికుడు
(2) स्वच्छंद सैनिक,స్వతంత్ర సైనికుడు
() स्वाधीन नागरिक,ఫ్రీమాన్
(2) पर्ण नागरिक,ఫ్రీమాన్
दस्तक,ఫ్రీపాస్
फ्रांसीसी क्रांति,ఫ్రెంచ్ విప్లవం
भिक्षु,సన్యాసి
फ्रिजी भृतक सैनिक,ఫ్రైసియన్ కిరాయి సైనికులు
सीमांतवासी व्यक्ति,సరిహద్దు మనిషి
"दीर्घ नौपोत, दीर्घ नौका",గాలియన్
"फ्राँसीसी, गॉलीय व्यक्ति",గల్లికన్ (=గల్లికనిస్ట్)
गैलीयवाद,గల్లికానిజం
"दुर्ग सेना, गैरिसन",దండు
गॉल,గౌల్
"() लौह हस्तक, धातु का दस्ताना",గాంట్లెట్
(2) हस्त-कवच,గాంట్లెట్
() सावन-भादों,గెజిబో
(2) धारागृह,గెజిబో
(3) झरोखा,గెజిబో
वंशावली-इतिहास,వంశ చరిత్ర
"वंशावली-इतिहास, वंशावली अभिलेख",వంశపారంపర్య రికార్డు
"वंशसारणी, वंशावली",వంశపారంపర్య పట్టిక
वंश-वृक्ष,వంశవృక్షం
"वंशावली, वंश-वृक्ष",వంశావళి
2. वंशिकी,వంశావళి
पीढ़ी,తరం
"जन-संहार, जाति-संहार",మారణహోమం
() सामान्य जन,అన్యజనుడు
(2) गैर यहूदी,అన్యజనుడు
(3) ईसाई,అన్యజనుడు
(4) मूर्त‍ि पूजक,అన్యజనుడు
"() घेटो, यहूदी बस्ती",ఘెట్టో
(2) पृथक बस्ती,ఘెట్టో
"टिकटी, फाँसी का तख्ता",గిబ్బెట్
श्रेणी,గిల్డ్ (=గిల్డ్)
"खड्गमल्ल, असिक्रीड़क",గ్లాడియేటర్
गौरवमय क्रांति,అద్భుతమైన విప్లవం
तातारी महासंघ,గోల్డెన్ హోర్డ్
"यूरोपीय सहबंध, यूरोपीय संश्रय",మహా కూటమి
अमीर,గ్రాండీ
() तुर्की का सुल्तान,గ్రాండ్ సిగ్నర్
(2) महासामंत,గ్రాండ్ సిగ్నర్
महा गृहयुद्ध,గొప్ప అంతర్యుద్ధం
(महात्मा बुद्ध का) महाभिनिष्क्रमण,గొప్ప నిష్క్రమణ (బుద్ధుని)
बृहत्तर भारत,గ్రేటర్ ఇండియా
बृहत यूनान,గ్రేట్ హెల్లాస్
ग्रेट होर्ड,గ్రేట్ హోర్డ్
महाभिनिष्क्रमण,గొప్ప పరిత్యాగం (=గొప్ప నిష్క్రమణ)
"राज-मुद्रा, राजा की मुहर",గొప్ప ముద్ర
महाप्रवासन,గ్రేట్ ట్రాక్
महायान,గొప్ప వాహనం
"चीन की महाप्राचीर, चीन की विशाल दीवार",గ్రేట్ వాల్ ఆఫ్ చైనా
"पिंडलीत्राण, पिंडलीकवच",గ్రీవ్
() रक्षक कक्ष,గార్డ్-ఛాంబర్
(2) रक्षक चौकी,గార్డ్-ఛాంబర్
(3) अस्थायी कारावास,గార్డ్-ఛాంబర్
गुप्त वंश,గుప్తులు
() संत चरित संग्रह,హాజియోగ్రఫీ
(2) संत चरित लेखन,హాజియోగ్రఫీ
() संत चरित,హగియాలజీ
(2) संत साहित्य,హగియాలజీ
दीवाने ख़ास,ప్రైవేట్ ప్రేక్షకుల హాల్
"दीवाने आम, आम दरबार",పబ్లిక్ ప్రేక్షకుల హాల్
"शस्त्रांकित पट्टिका, कुल-चिह्नाँकित पट्टिका",హాచ్మెంట్
() अवधर्मी,హీతేన్
"(2) क़ाफिर, बुतपरस्त",హీతేన్
देव-पूजा,హీతేనిజం
हिज़र,హెగిరా (హెజెరా)
यूनानी संस्कृति,హెలెనిజం
"भूमिदास, दास",హెలట్
कुल-चिह्रांकन कला,హెరాల్డ్రీ
विरासत,వారసత్వం
चित्रात्मक रेखीय अक्षर या प्रतीक,చిత్రలిపి సరళ అక్షరాలు
चित्रात्मक लिपि,చిత్రలిపి స్క్రిప్ట్
हाई चर्च,హై చర్చి
हाई लैन्डर,హై ల్యాండర్
हिंदू धर्म,హిందూమతం
() इतिहासज्ञ,చరిత్రకారుడు
(2) इतिहासकार,చరిత్రకారుడు
ऐतिहासिक भौतिकवाद,చారిత్రక భౌతికవాదం
ऐतिहासिक युग ऐतिहासिक काल,చారిత్రక యుగం
ऐतिहासिक सीमांत,చారిత్రక సరిహద్దు
इतिहास-लेखक,చరిత్రకారుడు
2. इतिवृत्त लेखक,చరిత్రకారుడు
इतिहास-लेखनकला,చరిత్ర చరిత్ర
2. इतिहास-लेखन,చరిత్ర చరిత్ర
इतिहास,చరిత్ర
हित्ती साम्राज्य,హిట్టైట్ సామ్రాజ్యం
"पवित्र मैत्री, पवित्र सहबंध",పవిత్ర కూటమి
"() पुण्य पुरी, पवित्र नगर",పవిత్ర నగరం
(2) होली सिटी,పవిత్ర నగరం
() पुण्य भूमि,పవిత్ర భూమి
(2) होली लैंड,పవిత్ర భూమి
"() होली लीग, पवित्र संघ",హోలీ లీగ్
"() सन्  से  ईo की अवधि में, पोप जूलियस द्वितीय (पदकाल सन् - ईo) ने फ्रांसिसियों को इटली से निष्कासित करने के उद्देश्य से इटली के नगर राज्य वेनिस को विजित कर और स्पेन के फर्डिनेन्ड (सन् - ईo) के साथ मिलकर पवित्र संघ की स्थापना की। आगे चलकर इंग्लैंड के राजा हेनरी अष्टम (सन् -) और सम्राट मैक्सिमिलियन प्रथम् (पदकाल सन् - ईo) भी संघ में सम्मिलित हो गए। हेनरी अष्टम् ने ‘एड़ युद्ध’ (बैटिल आफ द स्पर्स) में फ्रांसीसियों को पराजित किया और यह संघ भी उसी के साथ समाप्त हो गया।",హోలీ లీగ్
"पवित्र रोमन साम्राज्य, रोम का धर्म-राज्य",పవిత్ర రోమన్ సామ్రాజ్యం (=సామ్రాజ్యం)
() पोप का अधिकार-क्षेत्र,పవిత్ర సముద్రం
(2) धर्ममंडल,పవిత్ర సముద్రం
जिहाद,పవిత్ర యుద్ధం
2. धर्म-युद्ध,పవిత్ర యుద్ధము
बर्तानिया सरकार,హోం ప్రభుత్వం
"होम गार्ड, गृह रक्षक दल",హోంగార్డు
स्वदेश,జన్మభూమి
स्वशासन,గృహ నియమం
होम रूल,హోమ్ రూల్
ओर्दु,గుంపు
2. झुंड,గుంపు
विरोधी देश,శత్రు దేశం
शत्रु-प्रदेश,శత్రుభూమి
"क्षिप्र अनुघर्षण, सरगर्मी से पीछा करना",వేడి ముసుగులో
सदन,ఇల్లు
2. घराना,ఇల్లు
हाउस ऑफ कॉमन्स,హౌస్ ఆఫ్ కామన్స్
हाउस ऑफ लॉर्डस,హౌస్ ఆఫ్ లార్డ్స్
हाउस ऑफ रिप्रेजेन्टेटिव्स,ప్రతినిధుల సభ
"हयूजिनात, फ्रांसीसी प्रोटेस्टैन्ट",హ్యూగ్నోట్స్
"मानवतावाद, मानवता",మానవతావాదం
मानव (ता) वादी,మానవతావాది
शतवर्षीय युद्ध,హండ్రెడ్ యెస్సర్స్ వార్
"हंकर, अनुदारदली (य)",హంకర్
"इबादतखाना, उपासना-गृह",ఇబాదత్ ఖానా (ఆరాధనా గృహం)
"मूर्ति भंजक, बुतशिकन",ఐకానోక్లాస్ట్
मूर्त्तिपूजक,విగ్రహారాధకుడు
"इलाही संवत्, इलाही काल",ఇలాహి యుగం
अवैध युद्ध,చట్టవిరుద్ధమైన యుద్ధం
"अलंकृत पांडुलिपि, चमकदार पांडुलिपि",ప్రకాశవంతమైన మాన్యుస్క్రిప్ట్
सचित्र पांडुलिपि,ఇలస్ట్రేటెడ్ మాన్యుస్క్రిప్ట్
2. सचित्र हस्तलेख,ఇలస్ట్రేటెడ్ మాన్యుస్క్రిప్ట్
इमाम,ఇమామ్ (ఇమ్మామ్)
इमाम-राज्य,ఇమామత్
2. इमाम पद,ఇమామత్
इमामबाड़ा,ఇమాంబరః
"साम्राज्यिक, साम्राज्य संबंधी",ఇంపీరియల్
साम्राज्यिक नगर,ఇంపీరియల్ నగరం
साम्राज्यवाद,సామ్రాజ్యవాదం
साम्राज्यिक अधिमानात्मकता,ఇంపీరియల్ ప్రాధాన్యత
दुःनीति,అసంబద్ధం
झूठा दावेदार; प्रतारक,మోసగాడు
कैद,జైలు శిక్ష
2. कारावास,జైలు శిక్ష
"क्षिप्र आक्रमण, अचानक हमला",చొరబాటు
"आक्रमणकारी, धावामार",చొరబాటుదారుడు
स्वाधीनता,స్వాతంత్ర్యం
स्वाधीनता-दिवस,స్వాతంత్ర్య దినోత్సవం
इंडिपेन्डेंस हाल,ఇండిపెండెన్స్ హాల్
अमरीकी इंडियन,ఇండియన్ అమెరియన్ (=రెడ్ ఇండియన్=అమెరికన్ ఇండియన్)
"भारतीय होम रूल लीग, इंडियन होम रूल लीग",ఇండియన్ హోమ్ రూల్ లీగ్
औद्योगिक क्रांति,పారిశ్రామిక విప్లవం
"क़ाफिर, अविश्वासी",అవిశ్వాసం
"2. क़ाफिर, विधर्मी",అవిశ్వాసం
घुसपैठ,చొరబాటు
घुसपैठिया,చొరబాటుదారుడు
ज्ञापक,సమాచారం ఇచ్చేవాడు
2. भेदिया,సమాచారం ఇచ్చేవాడు
सूचनादाता,ఇన్ఫార్మర్
2. मुखबिर,ఇన్ఫార్మర్
प्रवेश,ప్రవేశము
2. अंतः प्रवेश,ప్రవేశము
3. प्रवेशाधिकार,ప్రవేశము
निवास,నివాసం
निवासी,నివాసి
वंशागति,వారసత్వం
2. उत्तराधिकार,వారసత్వం
3. दाय,వారసత్వం
"उत्कीर्ण लेख, अभिलेख",శాసనం
लक्षण,చిహ్నము
अधिमिलन-पत्र,ప్రవేశ పరికరం
इन्स्ट्रूमेंट ऑफ गवर्नमेंट,ప్రభుత్వ సాధనం
उपप्लव,తిరుగుబాటు (తిరుగుబాటు)
उपप्लवी,తిరుగుబాటుదారుడు
विप्लव,తిరుగుబాటు
2. परिद्रोह,తిరుగుబాటు
"एकीकरण, समेकीकरण",అనుసంధానం
अभिलेखों (रिकार्डों) की अविकलता,రికార్డుల సమగ్రత
राज्यों की अखंडता,రాష్ట్రాల సమగ్రత
बुद्धिजीवी वर्ग,మేధావి (ఇంటెలిజెంట్జియా)
"अंतःस्थता, बीच-बचाव",మధ్యవర్తిత్వం
अंतःस्थ,మధ్యవర్తి
मध्यस्थ,మధ్యవర్తి
अंतर्राष्ट्रीयता,అంతర్జాతీయవాదం
"2. अंतर्राष्ट्रीयतावाद, अंतर्राष्ट्रवाद",అంతర్జాతీయవాదం
"अंतर्राष्ट्रीयतावादी, अंतर्राष्ट्रवादी",అంతర్జాతీయవాది
अन्यान्यध्वंसी युद्ध,అంతర్గత యుద్ధం
नज़रबंद व्यक्ति,ఇంటర్నీ
2. स्थानबद्ध व्यक्ति,ఇంటర్నీ
युद्धबंदी शिविर,ఇంటర్నీ క్యాంపు
नज़रबंदी,ఇంటర్న్మెంట్
2. स्थानबद्धता,ఇంటర్న్మెంట్
3. नज़रबंदी का दंड,ఇంటర్న్మెంట్
अंतरनंसियों,ఇంటర్నేషనల్
दुभाषिया,వ్యాఖ్యాత
2. भाषान्तरकार,వ్యాఖ్యాత
3. व्याख्याकार,వ్యాఖ్యాత
"अंतः क्षेप, हस्तक्षेप",జోక్యం
निर्वसीयता,ఇంటస్టేసి
"निर्वसीयती, इच्छा-पत्र रहित",పేగు
"साजिश, षड़यंत्र",చమత్కారం
"बल-प्रवेष्टा, बल पूर्वक प्रवेश करने या घुस आने वाला",చొరబాటుదారుడు
2. अतिक्रमी,చొరబాటుదారుడు
बल-प्रवेश,చొరబాటు
आक्रमण,దండయాత్ర
2. चढ़ाई,దండయాత్ర
घेर लेना,పెట్టుబడి
2. खिलअत देना,పెట్టుబడి
3. मान प्रदान करना,పెట్టుబడి
4. पद प्रदान करना,పెట్టుబడి
खिलअत देना,పెట్టుబడి
2. पद-स्थापन,పెట్టుబడి
3. मान-प्रदान,పెట్టుబడి
मान-प्रदान समारोह,పెట్టుబడి వేడుక
राष्ट्रीयता प्रदान करना,జాతీయతతో పెట్టుబడి పెట్టండి
अजेय आर्मेडा,ఇన్విన్సిబుల్ ఆర్మడ
राज्य की अनुल्लंघनीयता,ఉల్లంఘన (రాష్ట్రం)
अभेद्य राज्य,ఉల్లంఘించిన స్థితి
अभेद्य दुर्ग,అభేద్యమైన కోట
लौह युग,ఇనుప యుగం
"लौह पट, लोहे का पर्दा, दुर्भेद्य आवरण",ఇనుప తెర
"आयरन गार्ड, लौहरक्षक दल",ఐరన్ గార్డ్
"आपाती राशन, आपाती रसद",ఇనుము రేషన్లు
आयरन साइड्स,ఇనుప వైపులా
लोहाग्रयुक्त बाण,ఇనుప చిట్కా బాణం
इस्थिमियायी खेल,ఇస్త్మియన్ ఆటలు
"जांनिसार, तुर्की पैदल सैनिक",జానిసరీ
द्वारपाल,కాపలాదారు
2. फर्राश,కాపలాదారు
"बरछी, बरछा",జావెలిన్
"जिम क्रो लॉ, जिम क्रो क़ानून",జిమ్ క్రో చట్టాలు
उद्धत राष्ट्रवादी,జింగో
2. जिंगो,జింగో
"3. युयुत्सु, युद्धप्रिय",జింగో
युयुत्सुवाद,జింగోయిజం
संयुक्त कार्यवाही,ఉమ్మడి చర్య
संयुक्त नियंत्रण,ఉమ్మడి నియంత్రణ
"संयुक्त संधारण, संयुक्त दख़ल",ఉమ్మడి ఆక్యుపెన్సీ
जूरी,జ్యూరీ
न्यायोचित उद्देश्य,కారణం మాత్రమే
अंतः कोट,ఉంచండి
पुरालेखपाल,ఆర్కైవ్స్ కీపర్
"नगाड़ा, नक्कारा",కెటిల్-డ్రమ్
संकेत शब्द,కీలక పదం
राजा,రాజు
"राज्य, राजा",రాజ్యం
क्षुद्र राज,కింగ్లెట్
"भूपकर्त्ता, राजविधाता",కింగ్ మేకర్
राजपद,రాజ్యాధికారం
2. राजतंत्र,రాజ్యాధికారం
गुप्त सलाहकार,కిచెన్ క్యాబినెట్
नाइट,నైట్
नाइट पद,రాజ్యం
नाइट्स हॉसपिटेलर्स,కింగ్స్ హాస్పిటల్స్
नाइट्स ऑफ सेन्ट जॉन,నైట్స్ ఆఫ్ సెయింట్ జాన్
नाइट टेम्पलर,నైట్ టెంప్లర్
कू क्लक्स क्लान,కు క్లక్స్ క్లాన్ (KKK)
"कोमिंतांग, कूमिंतांग",కుమింటాంగ్
"सामान्य धर्मोपासक वर्ग, उपासक वर्ग",లౌకికత్వం
"भाला, कुंत",లాన్స్
"भालाधारी, भालासवार, कुंतधारी",లాన్సర్
उत्तर गुप्तवंश,తరువాత గుప్తులు
वैधा उत्तराधिकारी,చట్టబద్ధమైన వారసుడు
अव्यवस्था,చట్టవిరుద్ధం (=అక్రమం)
2. अराजकता,చట్టవిరుద్ధం (=అక్రమం)
लॉ लॉर्डस,చట్ట ప్రభువులు
(अशोक द्वार प्रवर्तित) धर्म,భక్తి చట్టం
राष्ट्र संघ,దేశముల సమాహారం
() रिक्थ,లెగసీ (=బిక్వెస్ట్)
(2) वसीयत संपदा,లెగసీ (=బిక్వెస్ట్)
"वैध उत्तराधिकारी, कानूनी वारिस",చట్టపరమైన వారసుడు
पोपदूत,చట్టబద్ధత
2. लीगेट,చట్టబద్ధత
"3. प्रणिधि, मितार्थ दूत",చట్టబద్ధత
आख्यान,లెజెండ్
2. लेख,లెజెండ్
लीजन,లెజియన్
2. सैन्य दल,లెజియన్
लीजन ऑफ ऑनर,లెజియన్ ఆఫ్ ఆనర్
राजद्रोह,లెస్ మెజెస్టి (=లెస్ మెజెస్టే)
लघु राज्य,తక్కువ రాష్ట్రాలు
प्रत्यय-पत्र,విశ్వసనీయత లేఖలు
सीमांत स्वामी,లీజ్-లార్డ్
() सेवाबद्ध सामंत,లీజ్ మనిషి
"(2) परिचर, खिदमतगार",లీజ్ మనిషి
आजीवन कारावास,జీవిత ఖైదు
वंश परम्परा,వంశం
लिटिल इंग्लैंडर,లిటిల్ ఇంగ్లాండు
हीनयान,చిన్న వాహనం (=తక్కువ వాహనం)
समुद्र तटवर्त्ती राज्य,లిటోరల్ రాష్ట్రం
प्रार्थना-विधि,ప్రార్ధనలు
प्रार्थना विधि,ప్రార్ధన
स्थानीय निष्ठा,స్థానిక విధేయత
"स्थानीय स्वशासन, स्थानीय स्वायत्त शासन",స్థానిక-స్వయం ప్రభుత్వం
लौंग पार्लियामैंट,సుదీర్ఘ పార్లమెంటు
"लो कंट्रीज़, निम्नतल देश",తక్కువ దేశాలు
निष्ठावान,విశ్వాసపాత్రుడు
निष्ठा,విధేయత
मैकियाविली नीति,మాకియవెల్లియన్ విధానం
मेग्ना कार्टा,మాగ్నా కార్టా
"मैगनम कान्सिलियम, उच्च परिषद्",మాగ్నమ్ కన్సిలియం
राज्यवर्जित कृत्य,మలం నిషేధం
परमाधिदेश,మాండమస్
अधिदेश,ఆదేశం
अधिदेश वर्ग 'क',"ఆదేశం, తరగతి &#39;A&#39;"
अधिदेश वर्ग 'ख',"ఆదేశం, తరగతి &#39;B&#39;"
अधिदेश वर्ग 'ग',"ఆదేశం, తరగతి &#39;సి&#39;"
अधिदेश पद्धति,ఆదేశ వ్యవస్థ
अधिदेश प्राप्त राज्य,తప్పనిసరి స్థితి
"मेंगोनेल, प्रक्षेपास्त्र",మాంగోనెల్
घोषणा-पत्र,మేనిఫెస్టో
"सैन्यव्यूहन, स्थिति परिवर्तन-कौशल",యుక్తులు
"युद्धपोत, जंगी जहाज",మ్యాన్ ఆఫ్ వార్
"मेनर, सामंत-भूमि",మనోర్
2. सामंत गढ़ी,మనోర్
"जनशक्ति, जन बल",మానవ శక్తి
2. श्रमिक शक्ति,మానవ శక్తి
दासत्वमुक्ति,మాన్యుమిషన్
दासत्व से मुक्ति,మనుమిత్
हस्तलेख ग्रथ,మాన్యుస్క్రిప్ట్
2. पांडुलिपि,మాన్యుస్క్రిప్ట్
3. हस्तलिखित ग्रंथ,మాన్యుస్క్రిప్ట్
लुटेरा,మారౌడర్
"समुद्र तटवर्ती प्रदेश, समुद्र तटवर्ती क्षेत्र",సముద్ర బెల్ట్
"समुद्री सभ्यता, समुद्री तटवर्ती सभ्यता",సముద్ర నాగరికత
"समुद्री ध्वज, समुद्री पताका",సముద్ర జెండా
समुद्री शक्तियाँ,సముద్ర శక్తులు
समुद्री प्रभुसत्ता,సముద్ర సార్వభౌమాధికారం
समुद्री युद्ध,సముద్ర యుద్ధం
मार्क्विस,మార్క్విస్
मार्क्विस का पद,మార్క్విసేట్
"मार्शल लॉ, फौजी शासन",మార్షల్ లా
लड़ाकू जातियाँ,మార్షల్ రేసులు
शहीद,అమరవీరుడు
"हत्याकांड, जनसंहार",నరమేధం
सैन्य पुंज,మాస్ యుక్తి
मास्टर एट आर्म्स,మాస్టర్-ఎట్-ఆర్మ్స్
"मास्टर आफ सेरीमोनीज, समारोह-अधीक्षक, समारोह प्रबन्धक",మాస్టర్ ఆఫ్ వేడుకలు
राजभवन प्रबन्धक,ఇంటి యజమాని
मास्टर ऑफ हॉर्स,మాస్టర్ ఆఫ్ ది హార్స్
मास्टर ऑफ द रोल्स,మాస్టర్ ఆఫ్ ది రోల్స్
"तोड़ा, टोटा",మ్యాచ్
2. पलीता,మ్యాచ్
तोड़ेदार बंदूक,అగ్గిపెట్టె
"वैवाहिक संबंध, विवाह द्वारा मैत्री",వైవాహిక మైత్రి
"भूमध्य सागरीय शक्तियाँ, भूमध्य सागरीय राष्ट्र",మధ్యధరా శక్తులు
"मेन्शेविक, नरम दलीय रूसी साम्यवादी",మెన్షెవిక్
भृतक सेना,కిరాయి సైన్యం
"भृतक सैनिक, भाड़े का सिपाही",కిరాయి సైనికుడు
व्यापारी जहाज़,వ్యాపారి
"मध्य युग, मध्य काल",మధ్య యుగాలు
"पश्चिमी एशिया, (यूरोपीय दृष्टि से) मध्य पूर्व",మధ్యప్రాచ్యం
मध्य समुद्री मार्ग,మధ్య మార్గము
मध्यम मार्ग,మధ్య మార్గం
"मध्य मार्ग, बीच का रास्ता",మధ్య మార్గం (=మిడిల్ కోర్సు)
प्रवासी,వలసదారు
प्रवास,వలస
2. स्थानांतर गमन,వలస
3. देशांतर गमन,వలస
सैन्यवाद,మిలిటరిజం
2. फ़ौजी शासन व्यवस्था,మిలిటరిజం
3. सैन्य युद्धवाद,మిలిటరిజం
4. युद्ध प्रियता,మిలిటరిజం
सैन्यवादी,మిలిటరిస్ట్
2. युद्धवादी,మిలిటరిస్ట్
सैन्यीकरण,సైనికీకరణ
2. सैनिकीकरण,సైనికీకరణ
3. फ़ौजी शासन,సైనికీకరణ
समरतंत्री,సైనిక వ్యూహకర్త (= వ్యూహకర్త)
2. व्यूह कुशन,సైనిక వ్యూహకర్త (= వ్యూహకర్త)
"समरतंत्र, समर विद्या, युद्ध विद्या",సైనిక వ్యూహాలు (=వ్యూహాలు)
"नागरिक सेना, सिंहबंदी",మిలిషియా
2. मिलिशिया,మిలిషియా
कुशासन,దుష్పరిపాలన
लुप्त कड़ी,లింక్ లేదు
"दूतमंडल, मिशन",మిషన్
2. सेवादल गठित मंडल,మిషన్
3. दौत्यकर्म,మిషన్
मिश्र प्रजाति,మిశ్రమ జాతి
आधुनिक इतिहास,ఆధునిక చరిత్ర
"अस्थायी व्यवस्था, आरज़ी समझौता, कार्यनिर्वाहक व्यवस्था",మోడ్స్ వీవెండి
मठवास,మోనాకిజం
एकराष्ट्र,చక్రవర్తి
2. राजा,చక్రవర్తి
राजतंत्रवाद,రాచరికం
2. राजतंत्र से सिद्धान्त,రాచరికం
राजतंत्रवादी,రాచరికవాది
"राजतंत्र, एकराट्तंत्र",రాచరికం
मठ,మఠం
2. बिहार,మఠం
3. संधाराम,మఠం
मठजीवन,సన్యాసం
2. मठतंत्र,సన్యాసం
भिक्षु,సన్యాసి
"मूल देश, मातृदेश",మాతృదేశం
मातृभूमि,మాతృభూమి
संसद जननी,పార్లమెంటుల తల్లి
"मकरेकर, कीचड़ उछालने वाला",ముక్రాకర్స్
"ममी, चिरशव",మమ్మీ
"संग्रहालय, अजायबघर",మ్యూజియం
"तुपक, लंबी बंदूक, तुफंग",మస్కెట్
"बंदकूची, बरकंदाज़",మస్కటీర్
बरकंदाज़ों का दस्ता,మస్కెట్రీ
2. बरकंदाज़ी,మస్కెట్రీ
सैनिक उपस्थिति अधिकारी,మస్టర్ మాస్టర్
सैनिक नामावली,మస్టర్-రోల్
2. उपस्थिति नामावली,మస్టర్-రోల్
"सैनिक विद्रोह, सैन्य विद्रोह ग़दर, फ़ौजी बग़ावत",తిరుగుబాటు
"विद्रोह विधि, म्यूटिनी एक्ट",తిరుగుబాటు చట్టం
रहस्यपूर्ण जहाज,మిస్టరీ షిప్
वर्णन,కథనం
राष्ट्र,దేశం
"दैशवासी, देशीय व्यक्ति",స్థానికుడు
रजवाड़ा,స్థానిక రాష్ట్రం
प्रकृतिवाद,సహజత్వం
"नैसर्गिक अधिकार, प्राकृतिक अधिकार",సహజ హక్కులు
"नात्सी, नाज़ी",నాజీ
"नात्सी क्रांति, नाज़ी क्रांति",నాజీ విప్లవం
"नाज़ीवाद, नात्सीवाद",నాజీయిజం
निकट पूर्व,తూర్పు సమీపంలో
नीग्रो,నీగ్రో
नीग्रो समर्थक,నీగ్రోఫిల్
नीग्रो प्रेम,నీగ్రోఫిలిజం
नीग्रो भय,నీగ్రోఫోబియా
तटस्थ,తటస్థ
तटस्थ देश,తటస్థ దేశం
"न्यूडील, नई नीति, नई व्यवस्था",నూతన ఒప్పందం
नूतन विश्व,కొత్త ప్రపంచం
"अभिजात वर्ग, अमीर वर्ग",ప్రభువు
"अभिजात, अमीर",కీర్తిగల
2. मोहर,కీర్తిగల
"खानाबदोश, यायावर",సంచార జాతులు
यायावर दल,సంచార గుంపు
खानाबदोशी जिंदगी,సంచారము
"अनाक्रमण अनुबंध, अनाक्रमण समझौता",దురాక్రమణ రహిత ఒప్పందం
अनाक्रमण संधि,దురాక్రమణ రహిత ఒప్పందం
अयोधी राष्ट्र,యుద్ధం చేయని రాష్ట్రం
असहयोग,నాన్-కో-ఆపరేషన్
असहयोग आंदोलन,సహాయ నిరాకరణ ఉద్యమం
(सिक्के का) मुख्य भाग,ఎదురుగా
2. परिपूरक भाग,ఎదురుగా
भीड़शाही,ఓక్లోక్రసీ (=మొబోక్రసీ)
"भीड़तंत्र का समर्थक, भीड़तंत्र का प्रतिपादक",ఓక్లోక్రాట్
"सरकारी दस्ताबेज़, सरकारी प्रलेख",అధికారిక పత్రం
पुरानी दुनिया,పాత ప్రపంచం
