Marathi,Odiya
निर्मिती,ସୃଷ୍ଟି
सर्जनशील,ସୃଜନଶୀଳ |
सर्जनशीलता,ସୃଜନଶୀଳତା
क्रेच,କିରେ
क्रेडेन्शियल्स समिती,ପରିଚୟପତ୍ର କମିଟି |
विश्वासार्हता,ବିଶ୍ୱସନୀୟତା
पत,କ୍ରେଡିଟ୍
विश्वासार्ह,କ୍ରେଡିଟ୍
पत सल्ला,କ୍ରେଡିଟ୍ ପରାମର୍ଶ |
क्रेडिट आणि थ्रिफ्ट सोसायटी,କ୍ରେଡିଟ୍ ଏବଂ ଥ୍ରିଫ୍ଟ ସମାଜ |
क्रेडीट कार्ड,କ୍ରେଡିଟ୍ କାର୍ଡ଼
पत सुविधा,କ୍ରେଡିଟ୍ ସୁବିଧା
क्रेडिट प्रविष्टी,କ୍ରେଡିଟ୍ ଏଣ୍ଟ୍ରି
उधार पत्र,କ୍ରେଡିଟ୍ ଟିପ୍ପଣୀ
लेखादार,କ୍ରେସର୍ମର
अंत्यसंस्कार,ଶବଦାହ
स्मशानभूमी,ଶବଦାହ ଭୂମି
क्रू,କ୍ରୁ
गुन्हा,ଅପରାଧ
विश्वासाचा गुन्हेगारी उल्लंघन,ବିଶ୍ୱାସର ଅପରାଧ ଉଲ୍ଲଂଘନ |
फौजदारी न्यायालय,ଅପରାଧିକ କୋର୍ଟ |
गुन्हेगारी दुर्लक्ष,ଅପରାଧିକ ଅବହେଳା |
गुन्हेगारी गुन्हा,ଅପରାଧିକ ଅପରାଧ |
फौजदारी प्रक्रिया कोड,ଅପରାଧିକ ପ୍ରଣାଳୀ କୋଡ୍ |
संकट,ସଙ୍କଟ
संकट व्यवस्थापन,ସଙ୍କଟ ପରିଚାଳନା
निकष,ମାନଦଣ୍ଡ
टीका,ସମାଲୋଚନା
फुली,କ୍ରସ୍
क्रॉस ब्रीड,କ୍ରସ୍ ପ୍ରଜାତି
क्रॉस चेकिंग,କ୍ରସ୍ ଯାଞ୍ଚ |
क्रॉस चेक,କ୍ରସ୍ ଚେକ୍ |
क्रॉस परीक्षा,କ୍ରସ୍ ପରୀକ୍ଷା
क्रॉस संदर्भ,କ୍ରସ୍ ରେଫରେନ୍ସ
क्रॉस मतदान,ବହିଷ୍କାର
महत्त्वपूर्ण तारीख,ବହୁମୂଲିକ ତାରିଖ
क्रूड,ଅଶୋଧିତ
सदोष मनुष्यवध,କୁଲିପେବଲ୍ ହୋମିଡ୍ |
गुन्हेगार,ଦୋଷୀ
लागवड,ଚାଷ
सांस्कृतिक विनिमय कार्यक्रम,ସାଂସ୍କୃତିକ ବିନିମୟ କାର୍ଯ୍ୟକ୍ରମ |
संचयी,ଜମୁଲେଟିଭ୍ |
चलन,ମୁଦ୍ରା |
चलन विनिमय,ମୁଦ୍ରା ବିନିମୟ
चलन टीप,ମୁଦ୍ରା ଟିପ୍ପଣୀ
चालू,ସାମ୍ପ୍ରତିକ
चालू खाते,ସାମ୍ପ୍ରତିକ ଆକାଉଣ୍ଟ୍ |
वर्तमान कर्तव्ये,ସାମ୍ପ୍ରତିକ କାର୍ଯ୍ୟଗୁଡିକ |
चालू सत्र,ସାମ୍ପ୍ରତିକ ଅଧିବେଶନ |
अभ्यासक्रम vitae,ପାଠ୍ୟକ୍ରମ ଭିଟା |
कर्टेल,କୋର୍ଟସେଲ
संरक्षक,ରକ୍ଷକ
कोठडी,ହେପାଜତ
सानुकूल,କଷ୍ଟମ୍
सानुकूल,କଷ୍ଟମ୍
नेहमीचा,ପ୍ରଥା
नेहमीची प्रक्रिया,ପାରମ୍ପାରିକ ପଦ୍ଧତି |
सानुकूल कर्तव्य,କଷ୍ଟମ୍ ଡ୍ୟୁଟି |
ग्राहक,ଗ୍ରାହକ
ग्राहक अनुकूल,ଗ୍ରାହକ ବନ୍ଧୁତ୍ୱପୂର୍ଣ୍ଣ |
सानुकूल परीक्षा,କଷ୍ଟମ୍ ପରୀକ୍ଷା
कट डाउन,କାଟିଦେବା
कट मोशन,କାଟିବା
कट ऑफ तारीख,ତାରିଖ କାଟିବା
चक्र,ଚକ୍ର
दररोज,ପ୍ରତିଦିନ |
दररोज भत्ता,ଦ Daily ନିକ ଭତ୍ତା
दररोज डायरी,ଦ Daily ନିକ ଡାଏରୀ |
दररोज नोंदणी,ଦ Daily ନିକ ରେଜିଷ୍ଟର |
दैनिक वृत्तान्त,ଦ Daily ନିକ ରିପୋର୍ଟ
दररोजच्या नियमानुसार,ଦ Daily ନିକ ରୁଟିନ୍ |
दररोज वेतन,ଦ daily ନିକ ବେତନ
डाक स्टेज,DAK ପର୍ଯ୍ୟାୟ |
डाक ट्रे,ଧର
नुकसान,କ୍ଷତି
नुकसान,କ୍ଷତି
धोकादायक,ବିପଜ୍ଜନକ |
धाडसी,ସାହସୀ
डेटा,ତଥ୍ୟ
डेटा बँक,ଡାଟା ବ୍ୟାଙ୍କ |
डेटा बेस,ତଥ୍ୟ ବେସ
माहिती संकलन,ତଥ୍ୟ ସଂଗ୍ରହ
डेटा फीडिंग,ତଥ୍ୟ ଖାଇବାକୁ
डेटा प्रक्रिया,ଡାଟା ପ୍ରକ୍ରିୟାକରଣ |
तारीख,ତାରିଖ
आगमनाची तारीख,ଆସିବାର ତାରିଖ
जन्म तारीख,ଜନ୍ମଦିନ
प्रस्थान तारीख,ପ୍ରସ୍ଥାନ ତାରିଖ
डिस्चार्जची तारीख,ଡିସଚାର୍ଜ ତାରିଖ |
परिपक्वताची तारीख,ପରିପକ୍ୱତା ତାରିଖ
पावतीची तारीख,ରସିଦ ତାରିଖ
तारखेचा शिक्का,ତାରିଖ ଷ୍ଟାମ୍ପ |
दिवसाचा अभ्यासक,ଦିନ ସ୍କୋଲାର୍ |
दिवस पाळी,ଦିନ ଶିଫ୍ଟ |
कृपेचे दिवस,ଅନୁଗ୍ରହର ଦିନ |
दररोज काम,ଦିନ କାମକୁ ଦିନ |
मृत खाते,ମୃତ ଖାତା
डेड लाइन,ସମୟସୀମା
डेडलॉक,ଜଳଖିଆ
डेड स्टॉक रजिस्टर,ଡେଡ୍ ଷ୍ଟକ୍ ରେଜିଷ୍ଟର |
मृत वजन,ମୃତ ଓଜନ
करार,କାରବାର
डीलिंग सहाय्यक,ସହାୟକ କାରବାର |
व्यवहार,କାରବାର
मृत्यू वर्धापन दिन,ମୃତ୍ୟୁ ବାର୍ଷିକୀ |
प्रियजन भत्ता,ପ୍ରିୟତା ଭତ୍ତା |
मृत्यू लाभ,ମୃତ୍ୟୁ ଲାଭ
मृत्यू-सह-सेवानिवृत्ती ग्रॅच्युइटी,ମୃତ୍ୟୁ-ଜମ୍-ଅବସର ଗ୍ରାଟେରୀତା |
सेवेत मृत्यू,ସେବାରେ ମୃତ୍ୟୁ
Deauthorizatioin,ଡାଉଟରଜୋଜାଓନିନ୍ |
डीबार,ଦେବର
डेबिट,ଡେବିଟ୍
डेबिट सल्ला,ଡେବିଟ୍ ପରାମର୍ଶ |
कर्ज,ରୂଣ
कर्ज व्यवस्थापन,Debt ଣ ପରିଚାଳନା
कर्जदार,Deb ଣଦାତା
मृत,ମୃତ
सभ्यता,ଶାସନ
विकेंद्रीकरण,ବିକେନ୍ଦ୍ରୀକରଣ
निर्णय घेणारे घटक,ନିଷ୍ପତ୍ତି ନେବେ
निर्णय,ନିଷ୍ପତ୍ତି
निर्णय घेणे,ନିର୍ଣ୍ଣୟ ନେବା
निर्णयप्रक्रिया,ନିଷ୍ପତ୍ତି ନେବା ପ୍ରକ୍ରିୟା |
घोषणा,ଘୋଷଣା
उत्पन्नाची घोषणा,ଆୟର ଘୋଷଣା |
घोषित मूल्य,ଘୋଷିତ ମୂଲ୍ୟ |
शपथ जाहीर करा,ଶପଥ କର
डीकोड,ଡିକୋଡ୍ କରନ୍ତୁ |
Concontrol,ଡେକଣ୍ଟ୍ରୋଲ୍ |
सजावट,ବିଗାମୀ
घट,କମିବା
डिक्री,ଏହି ପରିସେଇ
समर्पण,ସମର୍ପଣ
वजा करण्यायोग्य,ରିହାତି
कपात,ରିହାତି
स्त्रोत वजावट,ଉତ୍ସରେ ରିହାତି
पगारापासून कपात,ଦରମାରୁ ରିହାତି
डीड,କାର୍ଯ୍ୟ
गहाणखत डीड,ବନ୍ଧକ କାର୍ଯ୍ୟ
मानलेले विद्यापीठ,ବିଶ୍ୱବିଦ୍ୟାଳୟ ବୋଲି ବିବେଚନା କରାଯାଏ |
विकृत,ବଦନାମ
वास्तविक,ଦେ ଫ୍ୟାକ୍ଟୋ
डिफॅलेकेशन,ନକଲ
मानहानी,ବଦନାମ
डीफॉल्ट,ଡିଫଲ୍ଟ |
डिफॉल्टर,ଡିଫଲ୍ଟର |
सदोष,ତ୍ରୁଟିଯୁକ୍ତ
संरक्षण,ପ୍ରତିରକ୍ଷା
संरक्षण सल्ला,ପ୍ରତିରକ୍ଷା ଉପଦେଶ
संरक्षण उत्पादन,ପ୍ରତିରକ୍ଷା ଉତ୍ପାଦନ |
प्रतिवादी,ଅଭିଯୁକ୍ତ
स्थगिती,ସ୍ଥଗିତ ରଖ |
स्थगित खर्च,ସ୍ଥଗିତ ଖର୍ଚ୍ଚ
अवघ्या,ଅବମାନନା
तूट,ନିଅଣ୍ଟ
तूट बजेट,ନିଅଣ୍ଟ ବଜେଟ୍ |
परिभाषित,ପରିଭାଷିତ କରନ୍ତୁ
नाकार,ଅଟୋ
अधोगती,ଭିକେସନ୍
पदवी,ଡିଗ୍ରୀ
डीजुरे,ନିର୍ବନ୍ଧ
विलंब,ବିଳମ୍ବ
प्रतिनिधी,ପ୍ରତିନିଧୀ |
नियुक्त प्राधिकरण,ପ୍ରତିନିଧୀ କର୍ତ୍ତୃପକ୍ଷ |
प्रतिनिधी,ପ୍ରତିନିଧୀ
शक्तींचे प्रतिनिधी,ଶକ୍ତିର ପ୍ରତିନିଧୀ |
हटवा,ବିଲୋପ କରନ୍ତୁ |
हटविणे,ବିଲୋପାଘ
मुद्दाम,ଜାଣିଶୁଣି |
विचारविनिमय,ବିଚାରପତି
नाजूक,ଦେଦକାର କରିବା |
मर्यादा,ପ୍ରତାରଣା
वितरित,ବିତରଣ କର |
वितरण,ବିତରଣ
मागणी,ଚାହିଦା
मागणी नोट,ଟିପ୍ପଣୀ ଟିପ୍ପଣୀ ଟିପ୍ପଣୀ |
सीमांकन,ଛକ
डेमी-अधिकृत,Demi-garieruler
लोकशाही,ଗଣତନ୍ତ୍ର
प्रात्यक्षिक,ପ୍ରଦର୍ଶନ
डेमोरालायझेशन,ଗଣନିରୋଗରକରଣ
डिमरेज,ଡେମୁରିଜ୍ |
नकार,ଅସ୍ୱୀକାର
संप्रदाय,ନାମ
डी नोव्हो,ଦେ ନୋଭୋ |
नाकार,ଅସ୍ୱୀକାର କର |
निघून जा,ବିଦାୟ
विभाग,ବିଭାଗ
विभागीय,ବିଭାଗୀୟ
विभागीय कारवाई,ବିଭାଗୀୟ କାର୍ଯ୍ୟ
विभागीय चौकशी,ବିଭାଗୀୟ ଅନୁସନ୍ଧାନ |
विभागीय तपासणी,ବିଭାଗୀୟ ଅନୁସନ୍ଧାନ
विभागीय अनियमितता,ବିଭାଗୀୟ ଅନିୟମିତତା |
विभागीय ग्रंथालय,ବିଭାଗୀୟ ଲାଇବ୍ରେରୀ |
विभागीय दुर्लक्ष,ବିଭାଗୀୟ ଅବହେଳା |
विभागीय परवानगी,ବିଭାଗୀୟ ଅନୁମତି
विभागीय पात्रता परीक्षा,ବିଭାଗୀୟ ଯୋଗ୍ୟତା ପରୀକ୍ଷା |
प्रस्थान,ପ୍ରସ୍ଥାନ
अवलंबित्व प्रमाणपत्र,ନିର୍ଭରଶୀଳତା ପ୍ରମାଣପତ୍ର
अवलंबून,ନିର୍ଭରଶୀଳ |
अवलंबून मुले,ନିର୍ଭରଶୀଳ ପିଲାମାନେ |
तैनात करणे,ନିୟୋଜନ କରନ୍ତୁ |
अनुयायी,ଭିକ୍ଟର |
हद्दपारी,ନିର୍ବାସନ
डिपोज,କ୍ଷତିପୂରଣ
ठेव,ଜମା
डेपो,ଡିପୋ
घसारा,ଅବିଶ୍ୱାସନୀୟ
उदास वर्ग,ଉଦାସୀନ ଶ୍ରେଣୀ |
वंचित,ବଞ୍ଚିତ
प्रतिनियुक्ती,ପ୍ରତିନିଧିତ୍
प्रतिनियुक्ती भत्ता,ଡେପୁଟେସନ୍ ଭତ୍ତା
डेप्युटी,ଡେପୁଟି
नोंदणीकृत,ପଞ୍ଜୀକୃତ |
कर्तव्याचा विकृती,ଡ୍ୟୁଟିର ଦି
Dedereservation,ନିର୍ଯ୍ୟାତନା
अपमान,ପୁନରୁତ୍ଥାନ
अपमानास्पद,ଅପମାନଜନକ
अपमानास्पद टीका,ଅପମାନଜନକ ଟିପ୍ପଣୀ |
वंशज,ବଂଶଧର
वर्णन,ବର୍ଣ୍ଣନା
पात्र,ଯୋଗ୍ୟ
डिझाइन,ଡିଜାଇନ୍
नियुक्त करा,ନିଯୁକ୍ତ କରନ୍ତୁ |
पदनाम,ନିଯୁକ୍ତ
पाठवा,ପଠନ
पाठवा नोट,ଡେସପ୍ୟାଚ୍ ନୋଟ୍ |
पाठवा नोंदणी,ପଠନ ରେଜିଷ୍ଟର |
गंतव्य,ଗନ୍ତବ୍ୟସ୍ଥଳ
निराधार,ଦରିଦ୍ର
तपशील,ସବିଶେଷ
तपशीलवार,ବିସ୍ତୃତ
शोध,ଚିହ୍ନଟ କର |
ताब्यात,ବନ୍ଦନା
डीटेनु,ଡିସେନୁ |
निर्धार,ନିଷ୍ଠା
निरोधक,ନିବେଦନ
हानिकारक,କ୍ଷତିକାରକ
हानिकारक,କ୍ଷତିକାରକ |
अवमूल्यन,ମୂଲ୍ୟ ହ୍ରାସ
विध्वंस,ବିନାଶ
विकास,ବିକାଶ
विचलित करा,ବିଚ୍ୟୁତ
साधन,ଉପକରଣ
भक्ती,ଭକ୍ତି
निदान,ନିରାକରଣ
आकृती,ଚିତ୍ର
डायरी,ଡାଏରୀ
डिक्टेशन,ନିର୍ଦ୍ଦେଶ
मरणार नाही,ଅଣ ମୁସ୍ କରେ |
आहार,ଡାଏଟ୍
पचवणे,ହଜମ କରନ୍ତୁ |
प्रतिष्ठित,ସମ୍ମାନିତ
प्रतिष्ठा,ସମ୍ମାନ
डिग्रीशन,ଖୋଳା
सौम्य,ଦିଲାଟନକାରୀ
कोंडी,ଦ୍ୱନ୍ଦ୍ୱ
मेहनती,ପରିଶ୍ରମୀ
परिमाण,ପରିମାପ
डिप्लोमा,ଡିପ୍ଲୋମା
मुत्सद्दीपणा,କୂଟନୀତି |
मुत्सद्दी प्रतिकारशक्ती,କୂଟନ omatic ତିକ ରୋଗୀତା |
थेट,ସିଧାସଳଖ |
थेट स्पर्धा,ସିଧାସଳଖ ପ୍ରତିଯୋଗିତା |
थेट मुलाखत,ସିଧାସଳଖ ସାକ୍ଷାତକାର |
दिशा,ଦିଗ
निर्देशिका,ଡିରେକ୍ଟୋରୀ
थेट भरती,ସିଧାସଳଖ ନିଯୁକ୍ତି |
परवानगी नाही,ଅନୁମୋଦିତ
दिव्यांग,ଅକ୍ଷମତା
अपंग व्यक्ती,ଅକ୍ଷମ ବ୍ୟକ୍ତି
अपंगत्व लाभ,ଅକ୍ଷମତା ଲାଭ
गैरसोय,ଅସୁବିଧା
सहमत नाही,ସହମତ ନୁହେଁ
परवानगी नाही,ଅନୁମୋଦିତ |
नकार,ନାପସନ୍ଦ
आपत्ती,ବିପର୍ଯ୍ୟୟ |
आपत्ती व्यवस्थापन,ବିପର୍ଯ୍ୟୟ ପରିଚାଳନା
विघटन,ବିଚ୍ଛିନ୍ନ କର |
वितरण,ବିବାଦ
टाकून द्या,ପରିତ୍ୟାଗ କରନ୍ତୁ |
डिस्चार्ज,ମୁକ୍ତି
डिस्चार्ज स्लिप,ଡିସଚାର୍ଜ ସ୍ଲିପ୍ |
शिस्तबद्ध कारवाई,ଶୃଙ୍ଖଳାଗତ କାର୍ଯ୍ୟ
शिस्तबद्ध प्रक्रिया,ଶୃଙ୍ଖଳାଗତ ପ୍ରଣାଳୀ |
शिस्त,ଅନୁଶାସନ
अस्वीकरण,ପ୍ରତ୍ୟାଖ୍ୟାନ |
प्रकटीकरण,ପ୍ରକାଶ
असंतोष,ଅସମ୍ମାନ
विघटन,ବନ୍ଦ
बंद करा,ବନ୍ଦ କରନ୍ତୁ
मतभेद,ମୁକ୍ତି
सूट,ରିହାତି
शोधा,ଆବିଷ୍କାର କରନ୍ତୁ |
बदनामी,ଅସମ୍ମାନ
विसंगती,ଅସଙ୍ଗତି
विवेक,ବିବେକ
विवेकी अनुदान,ବିବେକ ଅନୁଦାନ
विवेकी शक्ती,ବିଚକ୍ଷଣ ଶକ୍ତି
भेदभाव,ଭେଦଭାବ
चर्चा,ଆଲୋଚନା
अप्रामाणिक,ଅସାଧୁ
अनादर,ଅପମାନ
विघटन,ବିଚ୍ଛିନ୍ନତା
डिस्क,ଡିସ୍କ
विस्थापन,ସ୍ଥାନାନ୍ତର
विश्वासघात,ଅବିଶ୍ୱାସ
काढून टाकणे,ବରଖାସ୍ତ
बाद,ବରଖାସ୍ତ
डिसमिसल प्रक्रिया,ବରଖାସ୍ତ ପଦ୍ଧତି |
आज्ञा पाळ,ଅବମାନନା
डिसऑर्डर,ବିଶୃଙ୍ଖଳା |
अव्यवस्थित,ଅବସାନିଜଜ୍
असमानता,ପାର୍ଥକ୍ୟ
पाठवण्याचा विभाग,ପଠାଇବା ବିଭାଗ |
डिस्पेंसेबल,ବିତରଣ ଯୋଗ୍ୟ
विखुरले,ବିସର୍ଜନ କର |
विस्थापित,ବିସ୍ଥାପିତ |
प्रदर्शन,ପ୍ରଦର୍ଶନ
नाराजी,ଅସଦାଚରଣ
विल्हेवाट,ଚିହ୍ନ
विल्हेवाट लावणे,ବିସର୍ଜନ କରନ୍ତୁ |
स्वभाव,ମାନ୍ୟତା
विल्हेवाट,ଅବସାଦ
वाद,ବିବାଦ
अपात्रता,ଅଯୋଗ୍ୟତା
दुर्लक्ष,ଅବମାନନା
व्यत्यय,ବ୍ୟାଘାତ
असंतोष,ଅସନ୍ତୋଷ
मतभेद,ଅସଂଗୁଣିତ
डिसव्हिसिस,ବିକଶିତ
पृथक्करण,ବିସୟରେ
विघटन,ବିସର୍ଜନ
विरघळ,ଦ୍ରବଣ
अंतर शिक्षण,ଦୂରତା ଶିକ୍ଷା
डिस्टिलरी,ଡିଷ୍ଟିଲାରୀ |
भिन्न,ଭିନ୍ନ
वेगळे करा,ପୃଥକ କର |
विकृती,ବିକୃତି
त्रास,ଦୁ distress ଖ
वितरण,ବଣ୍ଟନ କର |
वितरण,ବଣ୍ଟନ
जिल्हा,ଜିଲ୍ଲା
जिल्हा केंद्र,ଜିଲ୍ଲା କେନ୍ଦ୍ର
त्रास,ବିଶୃଙ୍ଖଳା
Ditto,ଡିଟ୍ଟୋ |
विचलन,ଡାଇଭର୍ସନ
लाभांश,ଡିଭିଡେଣ୍ଡ
विभागणी,ବିଭାଜନ
घटस्फोट,ଛାଡପତ୍ର
डॉकेट,ଡକେଟ୍
डॉक्टर,ଡାକ୍ତର
दस्तऐवज,ଡକ୍ୟୁମେଣ୍ଟ୍
कागदोपत्री पुरावा,ଡକ୍ୟୁମେଣ୍ଟ୍ ପ୍ରମାଣପତ୍ର |
दस्तऐवजीकरण,ଡକ୍ୟୁମେଣ୍ଟେସନ୍
अधिवास,ବାସସ୍ଥାନ
अधिवास प्रमाणपत्र,ଡୋମିକାଇଲ୍ ସାର୍ଟିଫିକେଟ୍ |
प्रबळ,ପ୍ରାଧାନ୍ୟ
देणगी,ଦାନ
डॉसियर,ସ୍ଥାନ
संशयास्पद,ସନ୍ଦେହଜନକ |
कबुतराची टेलिंग,କପୋତ ଲାଙ୍ଗୁଳ |
डाउन ग्रेड,ତଳକୁ ଗ୍ରେଡ୍
मसुदा,ଡ୍ରଫ୍ଟ
मसुदा प्रत्युत्तर,ଡ୍ରାଫ୍ଟ ଉତ୍ତର |
कठोर उपाय,କଠୋର ପରିମାପ |
काढा,ଡ୍ର
ड्रॉवर,ଡ୍ରୟର
रेखांकन,ଚିତ୍ରାଙ୍କନ
दुष्काळ,ମରୁଡ଼ି
कोरडे जाहिरात,ଶୁଖିଲା ପଦୋନ୍ନତି |
ड्युअल शुल्क,ଦ୍ୱ ual ତା
दुहेरी नागरिकत्व,ଦ୍ୱ ual ତିହାସିକ ନାଗରିକତା |
देय,ଧାର୍ଯ୍ୟାର କାରଣ |
देय परिश्रम,ଧ୍ୟାନର ସହ
थकबाकी,ଦେୟ
योग्यरित्या,ଯଥାର୍ଥ
नक्कल,ନକଲ
कालावधी,ଅବଧି
ड्युरेस,Dueves
कर्तव्य,କର୍ତ୍ତବ୍ୟ
कर्तव्य भत्ता,କର୍ତ୍ତବ୍ୟ ଭତ୍ତା
कर्तव्य चार्ट,ଡ୍ୟୁଟି ଚାର୍ଟ |
कर्तव्य रजा,କର୍ତ୍ତବ୍ୟ ଛୁଟି
ड्यूटी रूम,ଡ୍ୟୁଟି ରୁମ୍ |
मरणार घोषित,ମରିବା ଘୋଷଣା
गतिशीलता,ଗତିଶୀଳତା
Sermone,ପ୍ରମାଣିତ |
कमाईची रजा,ରୋଜଗାର
कमाई,ରୋଜଗାର
पर्यावरणास अनुकूल,ଇକୋ-ଫ୍ରେଣ୍ଡଲି |
पर्यावरणशास्त्र,ପରିବେଶ
अर्थिक,ଅର୍ଥନ .ତିକ |
आर्थिक शोषण,ଅର୍ଥନ ଶତକ୍ୱିକତା |
अर्थव्यवस्था,ଅର୍ଥନୀତି
अर्थव्यवस्था वर्ग,ଅର୍ଥନୀତି ଶ୍ରେଣୀ
संपादन,ସମ୍ପାଦନା
संस्करण,ସଂସ୍କରଣ
संपादकीय,ସମ୍ପାଦନା
शिक्षण,ଶିକ୍ଷା
शैक्षणिक कारकीर्द,ଶିକ୍ଷାଗତ କ୍ୟାରିୟର |
शैक्षणिक संस्था,ଶିକ୍ଷାନୁଷ୍ଠାନ ଅନୁଷ୍ଠାନ
शैक्षणिक पात्रता,ଶିକ୍ଷାଗତ ଯୋଗ୍ୟତା |
प्रभाव,ପ୍ରଭାବ
प्रभावी,ପ୍ରଭାବଶାଳୀ |
प्रभावी तारीख,ପ୍ରଭାବଶାଳୀ ତାରିଖ
परिणाम,ପ୍ରଭାବ
कार्यक्षमता,ଦକ୍ଷତା
कार्यक्षमता,ଦକ୍ଷତା
कार्यक्षम,ଦକ୍ଷ
इजेक्शन,ନିର୍ବାଚନ
विस्तृत,ବିସ୍ତୃତ
बाहेर पडला,Elapse
निवडलेले प्रतिनिधी,ମନୋନୀତ ପ୍ରତିନିଧୀ |
निवडणूक,ନିର୍ବାଚନ
निवडणूक महाविद्यालय,ନିର୍ବାଚନ କଲେଜ |
मतदार,ନିର୍ବାହୀ
विद्युतीकरण,ବିକାଶ
इलेक्ट्रॉनिक मीडिया,ଇଲେକ୍ଟ୍ରୋନିକ୍ ମିଡିଆ |
प्राथमिक,ପ୍ରାଥମିକ
पात्रता,ଯୋଗ୍ୟତା |
पात्रता चाचणी,ଯୋଗ୍ୟତା ପରୀକ୍ଷା
निर्मूलन,ବିଲୋପ
वक्तृत्व,Eloquent
लाजिरवाणे,ଲଜ୍ଜାଜନକ |
भुयारीपणा,ନିର୍ବୋଧ
प्रतीक,ପ୍ରତୀକ
एम्बॉसिंग सील,ସିଲ୍ ସିଲ୍ |
आणीबाणी,ଜରୁରୀକାଳୀନ ପରିସ୍ଥିତି
आपत्कालीन आराम,ଜରୁରୀକାଳୀନ ରିଲିଫ୍ |
उदय,ଅସମର୍ଥ
इमिग्रेशन,ସ୍ଥାନାନ୍ତରଣ
Emoluments,ଇମେଲମେଣ୍ଟଗୁଡିକ |
एम्पिनेलमेंट,ନମୁନା
सहानुभूती,ସହାନୁଭୂତି
रोजगार,ନିଯୁକ୍ତି
कर्मचारी,କର୍ମଚାରୀ
कर्मचार्‍यांचा सहभाग,କର୍ମଚାରୀଙ୍କ ଅଂଶଗ୍ରହଣ
कर्मचार्‍यांचे योगदान,କର୍ମଚାରୀଙ୍କ ଅବଦାନ |
कर्मचार्‍यांचा भविष्य निर्वाह निधी,କର୍ମଚାରୀଙ୍କ ପ୍ରୋଭିଜ୍ ପାଣ୍ଠି |
मालक,ନିଯୁକ୍ତିଦାତା |
रोजगार,ରୋଜଗାର
रोजगार विनिमय,ରୋଜଗାର ବିନିମୟ
रोजगाराची सूचना,ରୋଜଗାର ବିଜ୍ଞପ୍ତି |
रोजगार कार्यालय,ନିଯୁକ୍ତି କାର୍ଯ୍ୟାଳୟ
सक्षम,ସଶକ୍ତିକରଣ
सशक्तीकरण,ସଶକ୍ତିକରଣ
कायदे करा,ଆରମ୍ଭ କରନ୍ତୁ |
अधिनियम,ସଂସ୍ଥାର
एन ब्लॉक,En ବ୍ଲକ୍ |
एन्कॅश,ଏନକାଉଣ୍ଟର କର |
संलग्न,ଆବଦ୍ଧ
प्रोत्साहन,ଉତ୍ସାହ
अतिक्रमण,ଏନକାଉଣ୍ଟର
अडचण,ଏନକୁମ୍ବନ |
मान्यता,ସମର୍ଥନ କରନ୍ତୁ
देणगी,ଅନୁଦାନ
शेवटचे उत्पादन,ଶେଷ ଉତ୍ପାଦ |
ऊर्जा,ଶକ୍ତି
अंमलबजावणी,ବାଧ୍ୟତାମୂଳକ କର |
व्यस्त,Jective
वर्धित,ଉନ୍ନତି
आग्रह,ତା ଦିଅ
एन मॅसे,ମେସ୍
चौकशी,ଅନୁସନ୍ଧାନ
नावनोंदणी,ନାମ ଲେଖାନ୍ତୁ |
नावनोंदणी (= नोंदणी),ନାମଲେଖା (= ନାମଲେଖା)
नावनोंदणी क्रमांक,ନାମଲେଖା ସଂଖ୍ୟା |
Entre,ରାସ୍ତା ରେ
आगामी,ଭବିଷ୍ୟବାଣୀ
खात्री करा,ନିଶ୍ଚିତ କରନ୍ତୁ |
प्रविष्ट करा,ପ୍ରବେଶ କର
उपक्रम,ଉଦ୍ୟମ୍
मनोरंजन,ଚିତ୍ତାକର୍ଷକ |
करमणूक,ମନୋରଞ୍ଜନ
हक्क,ଅଧିକାର
पात्र,ଅଧିକାର
हक्क,ଅଧିକାର
प्रवेश,ପ୍ରବେଶ
प्रवेशद्वार,ପ୍ରବେଶ
प्रविष्टी,ପ୍ରବେଶ
एंट्री लेव्हल जॉब,ପ୍ରବେଶ ସ୍ତର କାର୍ଯ୍ୟ
गणना,ଗଣିତ
वातावरण,ପରିବେଶ
राजदूत,ଏନଭୋଇ |
साथरोग,ମହାମାରୀ
एपिटोम,Esitomen
समानता,ସମାନତା
समतोल,ସନ୍ତୁଳନ
उपकरणे,ଉପକରଣ
इक्विटी,ଇକ୍ୱିଟି |
समतुल्य,ସମାନ
समतुल्य,ସମକକ୍ଷ
निर्मूलन,ବିଲାତି
ERRATA,ଏରାଟା
त्रुटी,ତ୍ରୁଟି
एस्केलेशन,ବୃଦ୍ଧି ପାଇଲା |
एस्कॉर्ट,ଏସକର୍ଟ
अत्यावश्यक,ଜରୁରୀ |
स्थापना,ସ୍ଥାପନା
अंदाज,ଆକଳନ
अंदाजे किंमत,ଆନୁମାନିକ ମୂଲ୍ୟ
नीतिशास्त्र,ନ ics ତିକତା
शिष्टाचार,ଶ iqu ଳୀ
निर्वासन,ସ୍ଥାନାନ୍ତର
टाळता,ପଳାୟନ କର |
मूल्यांकन,ମୂଲ୍ୟାଙ୍କନ
सम संख्या,ଯୁଗ୍ମ ସଂଖ୍ୟା
अखेरीस,ପରିଶେଷରେ
बेदखल,ବହିଷ୍କାର
पुरावा,ପ୍ରମାଣ
विकसित,ବିକାଶ
अचूक,ସଠିକ୍
