Bengali,Kannada
ডেল্টা সংযোগ,ಡೆಲ್ಟಾ ಸಂಪರ್ಕ
ডেল্টা বন্দুক,ಡೆಲ್ಟಾ ಗನ್
ডেল্টা বন্দুক পায়ের পাতার মোজাবিশেষ,ಡೆಲ್ಟಾ ಗನ್ ಮೆದುಗೊಳವೆ
ডেল্টা মড্যুলেশন,ಡೆಲ್ಟಾ ಮಾಡ್ಯುಲೇಶನ್
ডেল্টা-সিগমা এনালগ-ডিজিট রূপান্তরকারী,ಡೆಲ್ಟಾ-ಸಿಗ್ಮಾ ಅನಲಾಗ್-ಅಂಕಿಯ ಪರಿವರ್ತಕ
চুম্বকীয়করণ,ಡಿಮ್ಯಾಗ್ನೆಟೈಸೇಶನ್
চুম্বকীয়করণ বক্ররেখা,ಡಿಮ್ಯಾಗ್ನೆಟೈಸೇಶನ್ ಕರ್ವ್
চুম্বকীয়করণ গুণক,ಡಿಮ್ಯಾಗ್ನೆಟೈಸೇಶನ್ ಗುಣಕ
demodulation,ಡಿಮೋಡ್ಯುಲೇಶನ್
demodulator,ಡಿಮೋಡ್ಯುಲೇಟರ್
ডি মার্গান উপপাদ্য,ಮಾರ್ಗನ್ ಪ್ರಮೇಯ
মাল্টিপ্লেক্সার,ಮಲ್ಟಿಪ್ಲೆಕ್ಸರ್
অস্বাভাবিক স্কোর,ಸಾಮಾನ್ಯೀಕರಿಸಿದ ಸ್ಕೋರ್
অবক্ষয় ক্যাপাসিটর,ಸವಕಳಿ ಕೆಪಾಸಿಟರ್
অবক্ষয়,ಸವಕಳಿ
অবক্ষয় মোড mosfet,ಸವಕಳಿ ಮೋಡ್ ಮಾಸ್ಫೆಟ್
"depletion zone, depletion zone","ಸವಕಳಿ ವಲಯ, ಸವಕಳಿ ವಲಯ"
রেটিং,ರೇಟಿಂಗ್
desaturated অক্ষর,ಡಿಸ್ಯಾಚುರೇಟೆಡ್ ಪಾತ್ರಗಳು
সংবেদনশীলতা,ಸಂವೇದನಾಶೀಲತೆ
নকশা নিয়ম,ವಿನ್ಯಾಸ ನಿಯಮಗಳು
পরীক্ষার নকশা,ಪರೀಕ್ಷಾ ವಿನ್ಯಾಸ
ধ্বংসাত্মক অনুরণন,ವಿನಾಶಕಾರಿ ಅನುರಣನ
আবিষ্কারক,ಪತ್ತೆಕಾರಕ
বিকল্প বর্তমান সেতু আবিষ্কারক,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಸೇತುವೆ ಪತ್ತೆಕಾರಕ
ফ্রিকোয়েন্সি বিচ্যুতি ধ্রুবক,ಆವರ್ತನ ವಿಚಲನ ಸ್ಥಿರ
বিচ্যুতি ফ্রিকোয়েন্সি,ವಿಚಲನ ಆವರ್ತನ
যন্ত্র,ಸಾಧನ
এন পার্টিশন,ಎನ್ ವಿಭಾಗಗಳು
বিভাজন ক্যালকুলেটর,ವಿಭಜನೆ ಕ್ಯಾಲ್ಕುಲೇಟರ್
বিভাজক,ವಿಭಜಕ
ডি-ফ্লিপ-ফ্লপ,ಡಿ-ಫ್ಲಿಪ್-ಫ್ಲಾಪ್
d ফ্লিপ ফ্লপ,ಡಿ ಫ್ಲಿಪ್ ಫ್ಲಾಪ್
ডাইইলেকট্রিক ধ্রুবক,ಅವಾಹಕ ಸ್ಥಿರ
ডাইলেট্রিক্স,ಡೈಎಲೆಕ್ಟ್ರಿಕ್ಸ್
ডাইক,ಡೈಕ್
ডায়োড ক্ষয়,ಡಯೋಡ್ ಸವೆತ
ডায়াল,ಡಯಲ್ ಮಾಡಿ
টেপারড ডায়াফ্রাম,ಮೊನಚಾದ ಡಯಾಫ್ರಾಮ್
ডেইজি চেইন,ಡೈಸಿ ಚೈನ್
স্ট্যাম্প আকার,ಸ್ಟಾಂಪ್ ಗಾತ್ರ
অস্তরক শোষণ,ಡೈಎಲೆಕ್ಟ್ರಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
অস্তরক আবরণ,ಡೈಎಲೆಕ್ಟ್ರಿಕ್ ಲೇಪನ
অস্তরক সূচক,ಡೈಎಲೆಕ್ಟ್ರಿಕ್ ಪಾಯಿಂಟ್
"অস্তরক ক্ষতি, অস্তরক ক্ষতি","ಡೈಎಲೆಕ್ಟ್ರಿಕ್ ನಷ್ಟ, ಡೈಎಲೆಕ್ಟ್ರಿಕ್ ನಷ್ಟ"
ডিফারেনশিয়াল এমপ্লিফায়ার,ಡಿಫರೆನ್ಷಿಯಲ್ ಆಂಪ್ಲಿಫಯರ್
ডিফারেনশিয়াল এমপ্লিফায়ার,ಡಿಫರೆನ್ಷಿಯಲ್ ಆಂಪ್ಲಿಫಯರ್
ডিফারেনশিয়াল ক্যাথোড ট্রেইলিং,ಡಿಫರೆನ್ಷಿಯಲ್ ಕ್ಯಾಥೋಡ್ ಟ್ರೇಲಿಂಗ್
ডিফারেনশিয়াল অপারেটর,ಡಿಫರೆನ್ಷಿಯಲ್ ಆಪರೇಟರ್
ডিফারেনশিয়াল ইনপুট ভোল্টেজ,ಡಿಫರೆನ್ಷಿಯಲ್ ಇನ್ಪುಟ್ ವೋಲ್ಟೇಜ್
ডিফারেনশিয়াল মোড,ಡಿಫರೆನ್ಷಿಯಲ್ ಮೋಡ್
ডিফারেনশিয়াল মোড ইঙ্গিত,ಡಿಫರೆನ್ಷಿಯಲ್ ಮೋಡ್ ಸೂಚನೆ
ডিফারেনশিয়াল জোড়া,ವಿಭಿನ್ನ ಜೋಡಿ
ডিফারেনশিয়াল পিএসকে,ಡಿಫರೆನ್ಷಿಯಲ್ PSK
ডিফারেনশিয়াল সার্কিট,ಡಿಫರೆನ್ಷಿಯಲ್ ಸರ್ಕ್ಯೂಟ್
ডিফারেনশিয়াল,ಭೇದಾತ್ಮಕ
ডিফিউজ জংশন ট্রানজিস্টর,ಪ್ರಸರಣ ಜಂಕ್ಷನ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್
ডিফিউজ প্রতিরোধক,ಪ್ರಸರಣ ಪ್ರತಿರೋಧಕ
বিস্তার,ಪ್ರಸರಣ
ডিফিউশন ক্যাপাসিটর,ಪ್ರಸರಣ ಕೆಪಾಸಿಟರ್
ডিজিটাল ফিল্টার,ಡಿಜಿಟಲ್ ಫಿಲ್ಟರ್
স্কোর,ಅಂಕ
ডিজিটাল সার্কিট,ಡಿಜಿಟಲ್ ಸರ್ಕ್ಯೂಟ್
ডিজিটাল যোগাযোগ,ಡಿಜಿಟಲ್ ಸಂವಹನ
ডিজিটাল তুলনাকারী,ಡಿಜಿಟಲ್ ಹೋಲಿಕೆದಾರ
ডিজিটাল কম্পিউটার,ಡಿಜಿಟಲ್ ಕಂಪ್ಯೂಟರ್
ডিজিটাল বিলম্ব,ಡಿಜಿಟಲ್ ವಿಳಂಬ
ডিজিটাল ডিজাইন মাইক্রোপাওয়ার,ಡಿಜಿಟಲ್ ವಿನ್ಯಾಸ ಮೈಕ್ರೋಪವರ್
ডিজিটাল ডিসপ্লে,ಡಿಜಿಟಲ್ ಪ್ರದರ್ಶನ
ডিজিটাল ফিল্টার,ಡಿಜಿಟಲ್ ಫಿಲ್ಟರ್
ডিজিটাল ফিল্টারিং,ಡಿಜಿಟಲ್ ಫಿಲ್ಟರಿಂಗ್
সংখ্যাগত যুক্তি,ಸಂಖ್ಯಾತ್ಮಕ ತಾರ್ಕಿಕ
সংখ্যাগত যুক্তি,ಸಂಖ್ಯಾತ್ಮಕ ತಾರ್ಕಿಕ
ডিজিটাল পলিমিটার,ಡಿಜಿಟಲ್ ಪಾಲಿಮೀಟರ್
ডিজিটাল পলিমিটার,ಡಿಜಿಟಲ್ ಪಾಲಿಮೀಟರ್
ডিজিটাল পালস,ಡಿಜಿಟಲ್ ನಾಡಿ
ডিজিটাল সিগন্যাল প্রসেসিং,ಡಿಜಿಟಲ್ ಸಿಗ್ನಲ್ ಸಂಸ್ಕರಣೆ
ডিজিটাল টেলিভিশন,ಡಿಜಿಟಲ್ ದೂರದರ್ಶನ
ডিজিটাল এনালগ রূপান্তরকারী,ಡಿಜಿಟಲ್ ಅನಲಾಗ್ ಪರಿವರ್ತಕ
বীমা,ವಿಮೆ
মাত্রিক সমীকরণ,ಆಯಾಮದ ಸಮೀಕರಣ
ডায়োড,ಡಯೋಡ್
ডায়োডের বৈশিষ্ট্য,ಡಯೋಡ್ ಗುಣಲಕ್ಷಣಗಳು
ডায়োড চরিত্রগত বক্ররেখা,ಡಯೋಡ್ ವಿಶಿಷ್ಟ ಕರ್ವ್
ডায়োড আবিষ্কারক,ಡಯೋಡ್ ಡಿಟೆಕ್ಟರ್
ডায়োড গুণক,ಡಯೋಡ್ ಗುಣಕ
ডায়োড ট্রানজিস্টর লজিক/ডিটিএস,ಡಯೋಡ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್ ಲಾಜಿಕ್/ಡಿಟಿಎಸ್
কন্যা,ಮಗಳು
ন্যাটি সুইচ,ನಾಟಿ ಸ್ವಿಚ್
ডাইজিগোটিক,ಡಿಪ್ಲಾಯ್ಡ್
ডাইপোল,ದ್ವಿಧ್ರುವಿ
ডাইপোল অ্যান্টেনা,ದ್ವಿಧ್ರುವಿ ಆಂಟೆನಾ
ডিরাক,ಡೈರಾಕ್
সরাসরি ঠিকানা,ನೇರ ವಿಳಾಸ
সরাসরি সংযোগ,ನೇರ ಜೋಡಣೆ
সরাসরি মেমরি অ্যাক্সেস (DMA),ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA)
সরাসরি লেখার শরীর,ನೇರ ಬರವಣಿಗೆಯ ದೇಹ
দিকনির্দেশক গেমেট,ದಿಕ್ಕಿನ ಗ್ಯಾಮೆಟ್
দিকনির্দেশক লাভ,ದಿಕ್ಕಿನ ಲಾಭ
দিকনির্দেশনা,ದಿಕ್ಕು
দিক অ্যান্টেনা,ದಿಕ್ಕಿನ ಆಂಟೆನಾ
incapacitating তদন্ত,ಅಸಮರ್ಥ ತನಿಖೆ
বিচ্ছিন্ন করা,ಡಿಸ್ಅಸೆಂಬಲ್
নিমজ্জন,ಇಮ್ಮರ್ಶನ್
"নিমজ্জন বাতি, নিমজ্জন বাতি","ಇಮ್ಮರ್ಶನ್ ಲ್ಯಾಂಪ್, ಇಮ್ಮರ್ಶನ್ ಲ್ಯಾಂಪ್"
বস্তুকণা,ಕಣಗಳ ವಸ್ತು
বিতরণ কর,ವಿತರಣಾ ತೆರಿಗೆ
অবতল অ্যান্টেনা,ಕಾನ್ಕೇವ್ ಆಂಟೆನಾ
ডিস্ক,ಡಿಸ್ಕ್
স্থানচ্যুতি ধ্রুবক (ধ্রুবক),ಸ್ಥಳಾಂತರ ಸ್ಥಿರ (ಸ್ಥಿರ)
স্থানচ্যুতি বর্তমান,ಸ್ಥಳಾಂತರ ಪ್ರಸ್ತುತ
স্থানচ্যুতি ত্রুটি,ಸ್ಥಳಾಂತರ ದೋಷ
প্রদর্শনী,ಪ್ರದರ್ಶನ
ক্ষয়,ಕೊಳೆತ
বিকৃতি,ಅಸ್ಪಷ್ಟತೆ
বিকৃতি ক্ষতি,ವಿರೂಪ ಹಾನಿ
বিকৃতি বর্তমান পরিসীমা,ಅಸ್ಪಷ್ಟತೆ ಪ್ರಸ್ತುತ ಶ್ರೇಣಿ
বিকৃতি স্ট্রিম পচা,ಅಸ್ಪಷ್ಟತೆ ಸ್ಟ್ರೀಮ್ ಕೊಳೆತ
বিকৃতি সংবেদনশীলতা,ಅಸ್ಪಷ್ಟತೆ ಸೂಕ್ಷ್ಮತೆ
বিকৃতি লাভ মার্জিন,ಅಸ್ಪಷ್ಟತೆ ಗಳಿಕೆ ಅಂಚು
বিকৃতি ইনপুট প্রতিরোধের,ವಿರೂಪತೆಯ ಇನ್ಪುಟ್ ಪ್ರತಿರೋಧ
বিকৃতি লুপ লাভ,ಅಸ್ಪಷ್ಟತೆ ಲೂಪ್ ಲಾಭ
বিতরণ করা পরিবর্ধক,ವಿತರಿಸಿದ ಆಂಪ್ಲಿಫಯರ್
বিতরণ গুণক,ವಿತರಣೆ ಗುಣಕ
পরিবর্তন রিসিভার,ಬದಲಾವಣೆ ರಿಸೀವರ್
শূন্য বিভাগ পরীক্ষা,ಶೂನ್ಯ ವಿಭಾಗ ಪರೀಕ್ಷೆ
ডি-লেয়ার,ಡಿ-ಲೇಯರ್
আয়নোস্ফিয়ারের ডি-স্তর,ಅಯಾನುಗೋಳದ ಡಿ-ಪದರ
d-মস,ಡಿ-ಮಾಸ್
ডলবি বডি,ಡಾಲ್ಬಿ ದೇಹ
কার্যকর মেরু,ಪರಿಣಾಮಕಾರಿ ಧ್ರುವ
কার্যকর মেরু প্রতিরোধের,ಪರಿಣಾಮಕಾರಿ ಧ್ರುವ ಪ್ರತಿರೋಧ
দাতা বর্জ্য,ದಾನಿ ತ್ಯಾಜ್ಯ
দাতা উপাদান,ದಾನಿ ವಸ್ತು
যত্নহীন অবস্থা,ಡೋಂಟ್ಕೇರ್ ಸ್ಥಿತಿ
ভেজাল,ಕಲಬೆರಕೆ
ডপলার এফেক্ট,ಡಾಪ್ಲರ್ ಪರಿಣಾಮ
ডপলার রাডার,ಡಾಪ್ಲರ್ ರಾಡಾರ್
ডসিমিটার,ಡೋಸಿಮೀಟರ್
পয়েন্ট ম্যাট্রিক্স,ಪಾಯಿಂಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
বিন্দু স্বরলিপি,ಪಾಯಿಂಟ್ ಸಂಕೇತ
গৌণ সমস্যা,ದ್ವಿತೀಯ ಸಂಚಿಕೆ
বাইলেয়ার ক্যাপাসিটর,ದ್ವಿಪದರ ಕೆಪಾಸಿಟರ್
binaural klystron,ಬೈನೌರಲ್ ಕ್ಲೈಸ್ಟ್ರಾನ್
দ্বিপাক্ষিক বার,ದ್ವಿಪಕ್ಷೀಯ ಬಾರ್
দ্বিপাক্ষিক পিসি বোর্ড,ದ್ವಿಪಕ್ಷೀಯ ಪಿಸಿ ಬೋರ್ಡ್
ডবল মার্কিং,ಎರಡು ಗುರುತು
ডবল ট্রানজিস্টর,ಡಬಲ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್
ডুয়াল টিউনড এমপ্লিফায়ার,ಡ್ಯುಯಲ್ ಟ್ಯೂನ್ಡ್ ಆಂಪ್ಲಿಫಯರ್
ডবল লেয়ার ট্রানজিস্টর পরিবর্ধক,ಡಬಲ್ ಲೇಯರ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್ ಆಂಪ್ಲಿಫಯರ್
দ্বিগুণ,ಡಬಲ್ಸ್
বাধা সময়,ಅಡಚಣೆ ಸಮಯ
আউটপুট ইলেক্ট্রোড,ಔಟ್ಪುಟ್ ವಿದ್ಯುದ್ವಾರ
ট্রেলিং আউটপুট ইলেক্ট্রোড,ಟ್ರೇಲಿಂಗ್ ಔಟ್‌ಪುಟ್ ಎಲೆಕ್ಟ್ರೋಡ್
d রাম,ಡಿ ರಾಮ್
d রাম,ಡಿ ರಾಮ್
রানঅফ সেল,ಹರಿಯುವ ಕೋಶ
স্রোতধারা,ಹರಿಯುವ ಸ್ಟ್ರೀಮ್
প্রবাহ বেগ,ಹರಿವಿನ ವೇಗ
ছিদ্র টেপ,ರಂದ್ರ ಟೇಪ್
অপারেটর বাস,ನಿರ್ವಾಹಕ ಬಸ್
অপারেটিং পর্যায়,ಕಾರ್ಯಾಚರಣೆಯ ಹಂತ
অন্যায়,ಅಧರ್ಮ
শুকনো কোষ,ಒಣ ಕೋಶ
শুকনো এচিং,ಒಣ ಎಚ್ಚಣೆ
শুকনো ফিল্ম,ಒಣ ಚಿತ್ರ
শুকনো সুইচিং,ಒಣ ಸ್ವಿಚಿಂಗ್
ড্রাইস্টাস আর্ট ডিসপ্লেসার,ಡ್ರೈಸ್ಟಾಸ್ ಆರ್ಟ್ ಡಿಸ್ಪ್ಲೇಸರ್
D.T.E.,ಡಿ.ಟಿ.ಇ.
dtl (ডায়োড ট্রানজিস্টর লজিক),dtl (ಡಯೋಡ್ ಟ್ರಾನ್ಸಿಸ್ಟರ್ ಲಾಜಿಕ್)
"ডুয়েগেট ফেট, ডুয়েগেট এফ। ই.টি.","ಡ್ವೈಗೆಟ್ ಫೇಟ್, ಡ್ವೈಗೆಟ್ ಎಫ್. ಇ.ಟಿ."
দ্বৈত মিল,ಎರಡು ಹೊಂದಾಣಿಕೆ
দম্পতি সংক্রমণ,ಒಂದೆರಡು ಪ್ರಸರಣ
ডবল রিড কোঅর্ডিনেটর,ಡಬಲ್ ರೀಡ್ ಸಂಯೋಜಕ
"ডুয়াল-ডিফারেন্স এনালগ, ডিজিটাল কনভার্টার","ಡ್ಯುಯಲ್-ಡಿಫರೆನ್ಸ್ ಅನಲಾಗ್, ಡಿಜಿಟಲ್ ಪರಿವರ್ತಕ"
ডাইপোল পরিবর্তন,ದ್ವಿಧ್ರುವಿ ಬದಲಾವಣೆ
ডবল অনুসরণ ভোল্টেজ নিয়ামক,ಡಬಲ್ ಫಾಲೋ ವೋಲ್ಟೇಜ್ ನಿಯಂತ್ರಕ
দ্বৈততা,ದ್ವಂದ್ವತೆ
ডবল সারিবদ্ধ,ಡಬಲ್ ರೋಡ್
নীরব অ্যান্টেনা,ಮೂಕ ಆಂಟೆನಾ
ডুপ্লেক্স ট্রান্সমিশন,ಡ್ಯುಪ್ಲೆಕ್ಸ್ ಪ್ರಸರಣ
ইউটিলিটি অনুপাত,ಉಪಯುಕ್ತತೆ ಅನುಪಾತ
ইউটিলিটি অনুপাত মড্যুলেশন,ಉಪಯುಕ್ತತೆ ಅನುಪಾತ ಮಾಡ್ಯುಲೇಶನ್
dB-25 সংযোগকারী,dB-25 ಕನೆಕ್ಟರ್
আবাস,ನಿವಾಸ
গতিশীল বৈশিষ্ট্য,ಕ್ರಿಯಾತ್ಮಕ ಗುಣಲಕ್ಷಣಗಳು
গতিশীল বৈশিষ্ট্য,ಕ್ರಿಯಾತ್ಮಕ ಗುಣಲಕ್ಷಣಗಳು
গতিশীল বর্তমান,ಡೈನಾಮಿಕ್ ಕರೆಂಟ್
গতিশীল প্রতিবন্ধকতা,ಡೈನಾಮಿಕ್ ಪ್ರತಿರೋಧ
"গতিশীল লোড লাইন, লোড লাইন","ಡೈನಾಮಿಕ್ ಲೋಡ್ ಲೈನ್, ಲೋಡ್ ಲೈನ್"
গতিশীল মেমরি,ಡೈನಾಮಿಕ್ ಮೆಮೊರಿ
পরিবর্তনশীল মেমরি সেল,ವೇರಿಯಬಲ್ ಮೆಮೊರಿ ಸೆಲ್
গতিশীল মেমরি রিফ্রেশার,ಡೈನಾಮಿಕ್ ಮೆಮೊರಿ ರಿಫ್ರೆಶರ್
ডাইনামিক মাউস ইনভার্সন,ಡೈನಾಮಿಕ್ ಮೌಸ್ ವಿಲೋಮ
ডাইনামিক RAM ডাইনামিক RAM,ಡೈನಾಮಿಕ್ RAM ಡೈನಾಮಿಕ್ RAM
গতিশীল পরিসীমা,ಕ್ರಿಯಾತ್ಮಕ ವ್ಯಾಪ್ತಿಯನ್ನು
গতিশীল প্রতিরোধের,ಕ್ರಿಯಾತ್ಮಕ ಪ್ರತಿರೋಧ
গতিশীল স্থানচ্যুতি রেজিস্টার,ಡೈನಾಮಿಕ್ ಡಿಸ್ಪ್ಲೇಸ್ಮೆಂಟ್ ರಿಜಿಸ್ಟರ್
গতিশীল পরীক্ষা,ಡೈನಾಮಿಕ್ ಪರೀಕ್ಷೆ
ডায়নামিক ভিডিও র্যান্ডম অ্যাক্সেস মেমরি (DVRAM),ಡೈನಾಮಿಕ್ ವಿಡಿಯೋ ರಾಂಡಮ್ ಆಕ್ಸೆಸ್ ಮೆಮೊರಿ (DVRAM)
ডায়নামো,ಡೈನಮೋ
ডায়নামোমিটার,ಡೈನಮೋಮೀಟರ್
ডিনিট্রন অসিলেটর,ಡೈನಿಟ್ರಾನ್ ಆಂದೋಲಕ
"প্রারম্ভিক প্রভাব, প্রাথমিক প্রভাব","ಆರಂಭಿಕ ಪರಿಣಾಮ, ಆರಂಭಿಕ ಪರಿಣಾಮ"
e a রম,ಇ ಒಂದು ರೋಮ್
পৃথিবী সংযোগ,ಭೂಮಿಯ ಸಂಪರ್ಕ
গ্রাউন্ড স্টেশন,ನೆಲದ ನಿಲ್ದಾಣ
Ebers-Moul-Equation,ಎಬರ್ಸ್-ಮೌಲ್-ಸಮೀಕರಣ
Ebers-Maul-Model,ಎಬರ್ಸ್-ಮೌಲ್-ಮಾಡೆಲ್
প্রতিধ্বনি,ಪ್ರತಿಧ್ವನಿ
বিরোধী প্রতিধ্বনি,ಪ್ರತಿಧ್ವನಿ ವಿರೋಧಿ
এডি কারেন্ট,ಎಡ್ಡಿ ಕರೆಂಟ್
স্ট্র্যান্ড সংযোগকারী,ಸ್ಟ್ರಾಂಡ್ ಕನೆಕ್ಟರ್
কোর ডিটেক্টর,ಕೋರ್ ಡಿಟೆಕ್ಟರ್
কোর ট্রিগার ফ্লিপ ফ্লপ,ಕೋರ್ ಟ್ರಿಗ್ಗರ್ ಫ್ಲಿಪ್ ಫ್ಲಾಪ್
কোর ট্রিগার ল্যাচ,ಕೋರ್ ಪ್ರಚೋದಕ ತಾಳ
এডিসন প্রভাব,ಎಡಿಸನ್ ಪರಿಣಾಮ
সম্পাদক,ಸಂಪಾದಕ
কার্যকর এলাকা,ಪರಿಣಾಮಕಾರಿ ಪ್ರದೇಶ
কার্যকর বর্তমান,ಪರಿಣಾಮಕಾರಿ ಪ್ರವಾಹ
কার্যকর স্থল ব্যাসার্ধ,ಪರಿಣಾಮಕಾರಿ ನೆಲದ ತ್ರಿಜ್ಯ
কার্যকর উচ্চতা,ಪರಿಣಾಮಕಾರಿ ಎತ್ತರ
কার্যকর দৈর্ঘ্য,ಪರಿಣಾಮಕಾರಿ ಉದ್ದ
কার্যকর ভর,ಪರಿಣಾಮಕಾರಿ ದ್ರವ್ಯರಾಶಿ
কার্যকর বিকিরণ শক্তি,ಪರಿಣಾಮಕಾರಿ ವಿಕಿರಣ ಶಕ್ತಿ
কার্যকর ভোল্টেজ,ಪರಿಣಾಮಕಾರಿ ವೋಲ್ಟೇಜ್
দক্ষতা,ದಕ್ಷತೆ
ই.ই.পি. রম,ಇ.ಇ.ಪಿ. ರಾಮ್
আইকনাল সমীকরণ,ಐಕಾನಲ್ ಸಮೀಕರಣ
বিপরীত ক্যাপাসিট্যান্স,ವಿಲೋಮ ಧಾರಣ
ই-স্তর,ಇ-ಪದರ
বিদ্যুত্প্রবাহ,ವಿದ್ಯುತ್
বৈদ্যুতিক ক্ষেত্র,ವಿದ್ಯುತ್ ಕ್ಷೇತ್ರ
বৈদ্যুতিক ক্ষেত্রের তীব্রতা,ವಿದ್ಯುತ್ ಕ್ಷೇತ್ರದ ತೀವ್ರತೆ
বৈদ্যুতিক কারেন্ট লাইন,ವಿದ್ಯುತ್ ಪ್ರವಾಹ ರೇಖೆಗಳು
বৈদ্যুতিক সম্ভাব্য,ವಿದ್ಯುತ್ ಸಾಮರ್ಥ್ಯ
ইলেক্ট্রোকশন,ವಿದ್ಯುದಾಘಾತ
ইলেক্ট্রো-সোল্ডার,ಎಲೆಕ್ಟ್ರೋ-ಬೆಸುಗೆ
বৈদ্যুতিক তরঙ্গ,ವಿದ್ಯುತ್ ತರಂಗ
বৈদ্যুতিক দৈর্ঘ্য,ವಿದ್ಯುತ್ ಉದ್ದ
বৈদ্যুতিক শক্তি,ವಿದ್ಯುತ್ ಶಕ್ತಿ
বিদ্যুৎ,ವಿದ್ಯುತ್
ইসিজি,ಇಸಿಜಿ
বৈদ্যুতিক ডায়নামো মিটার,ವಿದ್ಯುತ್ ಡೈನಮೋ ಮೀಟರ್
ইলেক্ট্রোড,ವಿದ್ಯುದ್ವಾರ
ইলেক্ট্রোড বর্তমান,ಎಲೆಕ್ಟ್ರೋಡ್ ಕರೆಂಟ್
ইলেক্ট্রোলুমিনেসেন্স,ವಿದ್ಯುದ್ವಿಭಜನೆ
ইলেক্ট্রোলুমিনেসেন্ট ডিসপ্লে,ಎಲೆಕ್ಟ್ರೋಲುಮಿನೆಸೆಂಟ್ ಪ್ರದರ್ಶನ
গ্যালভানিক বিচ্ছিন্নতা,ಗಾಲ್ವನಿಕ್ ಪ್ರತ್ಯೇಕತೆ
ইলেক্ট্রোলাইট,ವಿದ್ಯುದ್ವಿಚ್ಛೇದ್ಯ
তড়িৎ - ধারক,ಎಲೆಕ್ಟ್ರೋಲೈಟಿಕ್ ಕೆಪಾಸಿಟರ್
তড়িৎ - ধারক,ಎಲೆಕ್ಟ್ರೋಲೈಟಿಕ್ ಕೆಪಾಸಿಟರ್
ইলেক্ট্রোম্যাগনেট,ವಿದ್ಯುತ್ಕಾಂತ
ইলেক্ট্রোম্যাগনেটিক শক্তি,ವಿದ್ಯುತ್ಕಾಂತೀಯ ಶಕ್ತಿ
ইলেক্ট্রোম্যাগনেটিক আনয়ন,ವಿದ್ಯುತ್ಕಾಂತೀಯ ಇಂಡಕ್ಷನ್
"ইলেক্ট্রোম্যাগনেটিক ইন্টারফারেন্স, ইএমআই","ವಿದ್ಯುತ್ಕಾಂತೀಯ ಹಸ್ತಕ್ಷೇಪ, EMI"
ইলেক্ট্রোম্যাগনেটিক বর্ণালী,ವಿದ್ಯುತ್ಕಾಂತೀಯ ತರಂಗಾಂತರ
ইলেক্ট্রোম্যাগনেটিক তরঙ্গ,ವಿದ್ಯುತ್ಕಾಂತೀಯ ತರಂಗ
তড়িৎচুম্বকত্ব,ವಿದ್ಯುತ್ಕಾಂತೀಯತೆ
ইলেক্ট্রো মেকানিক্যাল ফিল্টার,ಎಲೆಕ್ಟ್ರೋ ಮೆಕ್ಯಾನಿಕಲ್ ಫಿಲ್ಟರ್
ইলেক্ট্রোমিটার,ಎಲೆಕ್ಟ್ರೋಮೀಟರ್
তড়িচ্চালক বল,ವಿದ್ಯುತ್ಕಾಂತ ಶಕ್ತಿ
ইলেকট্রন,ಎಲೆಕ್ಟ್ರಾನ್
ইলেক্ট্রন মরীচি,ಎಲೆಕ್ಟ್ರಾನ್ ಕಿರಣ
ইলেকট্রন চার্জ,ಎಲೆಕ್ಟ್ರಾನ್ ಚಾರ್ಜ್
ইলেকট্রন নির্গমন,ಎಲೆಕ್ಟ್ರಾನ್ ಹೊರಸೂಸುವಿಕೆ
ইলেকট্রন প্রবাহ,ಎಲೆಕ್ಟ್ರಾನ್ ಹರಿವು
ইলেকট্রন গ্যাস,ಎಲೆಕ್ಟ್ರಾನ್ ಅನಿಲ
ইলেকট্রন ডিভাইস,ಎಲೆಕ್ಟ್ರಾನ್ ಸಾಧನ
ইলেকট্রন গর্ত জোড়া,ಎಲೆಕ್ಟ್ರಾನ್ ರಂಧ್ರ ಜೋಡಿ
ইলেকট্রন - অণুবীক্ষণ যন্ত্র,ಎಲೆಕ್ಟ್ರಾನ್ ಸೂಕ್ಷ್ಮದರ್ಶಕ
ইলেকট্রন কক্ষপথ,ಎಲೆಕ್ಟ್ರಾನ್ ಕಕ್ಷೆ
ইলেকট্রন শেল,ಎಲೆಕ್ಟ್ರಾನ್ ಶೆಲ್
ইলেকট্রন ভোল্ট,ಎಲೆಕ್ಟ್ರಾನ್ ವೋಲ್ಟ್
ইলেক্ট্রন তরঙ্গ নল,ಎಲೆಕ್ಟ್ರಾನ್ ತರಂಗ ಟ್ಯೂಬ್
ইলেকট্রনিক চার্জ,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಚಾರ್ಜ್
ইলেকট্রনিক ডেটা স্ট্রেস,ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡೇಟಾ ಒತ್ತಡ
