Gujarati,Malayalam
1. ખેતી 2. ખેતી 3. ઉછેર,1. കൃഷി 2. കൃഷി 3. വളർത്തൽ
1.સંસાધન 2.તૈયારી,1.വിഭവം 2.തയ്യാറെടുപ്പ്
1.કુંતલન 2.કુંચોન,1.കുന്തളൻ 2.കുഞ്ചോൻ
મુદ્રા,ഭാവം
1. બાહ્ય ત્વચા 2. ક્યુટિકલ,1. പുറംതൊലി 2. പുറംതൊലി
1. પેન 2. કટિંગ 3. કટીંગ 4. કટીંગ 5. કટીંગ,1. പേന 2. മുറിക്കൽ 3. മുറിക്കൽ 4. മുറിക്കൽ 5. മുറിക്കൽ
1. કૃમિ કોર્પસ 2. ફોલ્લો 3. ફોલ્લો 4. વિકૃત ગઠ્ઠો 5. નિયોપ્લાઝમ,1. വിര കോർപ്പസ് 2. സിസ്റ്റ് 3. സിസ്റ്റ് 4. വികലമായ മുഴ 5. നിയോപ്ലാസം
સાયટોક્રોમ,സൈറ്റോക്രോം
કોષ જોડાણ,സെൽ കപ്ലിംഗ്
સેલ પ્રજનન,കോശ പുനരുൽപാദനം
સેલ જીનેટિક્સ,സെൽ ജനിതകശാസ്ത്രം
સાયટોપ્લાઝમિક વિભાજન,സൈറ്റോപ്ലാസ്മിക് ഡിവിഷൻ
સેલ બાયોલોજી,സെൽ ബയോളജി
સેલ લિસિસ,സെൽ ലിസിസ്
1. સાયટોમેર 2. કોષ વિભાજન,1. സൈറ്റോമിയർ 2. സെൽ സെഗ്മെന്റേഷൻ
સાયટોપ્લાઝમ,സൈറ്റോപ്ലാസം
1. ડેરી 2. ડેરી,1. ഡയറി 2. ഡയറി
ડેરી ઉદ્યોગ,ക്ഷീര വ്യവസായം
1. ડેમ 2. સંવર્ધક,1. ഡാം 2. ബ്രീഡർ
ડે એબ્સોલ્યુટ પ્લાન્ટ,ദിവസം സമ്പൂർണ്ണ പ്ലാന്റ്
ફૂલો પછીનો દિવસ,പൂവിടുമ്പോൾ ദിവസം
સંપૂર્ણ ફૂલો પછીનો દિવસ,മുഴുവൻ പൂവിടുമ്പോൾ ഒരു ദിവസം
બિનકાર્યક્ષમતા,കാര്യക്ഷമതയില്ലായ്മ
decalcification,ഡീകാൽസിഫിക്കേഷൻ
1. ડિસ્લોજ 2. ડિસ્લોજ,1. ഡിസ്ലോഡ്ജ് 2. ഡിസ്ലോഡ്ജ്
સડો,ക്ഷയം
પાનખર,ഇലപൊഴിയും
1. દશાંશ 2. દશાંશ,1. ദശാംശം 2. ദശാംശം
હીનતા,അപകർഷത
અનુરાન (માટી),അനുരൻ (മണ്ണ്)
વિપુષ્પન,വിപുഷ്പൻ
બિલિંગ,ബില്ലിംഗ്
વનનાબૂદી,വനനശീകരണം
અપમાન,അപമാനം
અધોગતિ,തരംതാഴ്ത്തൽ
ભાગ દિવસ,ഭാഗം ദിവസം
1. જથ્થો 2. ભાગ,1. അളവ് 2. ഭാഗം
અવક્ષય,അപചയം
કુશ્કી દૂર કરવી,തൊണ്ട നീക്കം
કુશ્કી દૂર કરવી,തൊണ്ട നീക്കം
નિર્જલીકરણ,നിർജ്ജലീകരണം
નિર્જળ,ജലരഹിതമായ
માંગ,ആവശ്യം
1. વિકૃતિકરણ 2. ગુણાકાર,1. ഡീനാറ്ററേഷൻ 2. ഗുണനം
નિંદા,അപകീർത്തിപ്പെടുത്തൽ
1. થાપણ (માટી) 2. થાપણ (અર્થશાસ્ત્ર),1. നിക്ഷേപം (മണ്ണ്) 2. നിക്ഷേപം (സാമ്പത്തികശാസ്ത്രം)
જમા,നിക്ഷേപം
1. અવમૂલ્યન 2. અવમૂલ્યન,1. മൂല്യത്തകർച്ച 2. മൂല്യത്തകർച്ച
ડિસેલિનેશન,ഉപ്പുനീക്കം
1. પાણી સુકાઈ જવું 2. નિર્જલીકરણ,1. വെള്ളം ഉണക്കൽ 2. നിർജ്ജലീകരണം
1. ડિઝાઇન 2. ડિઝાઇન,1. ഡിസൈൻ 2. ഡിസൈൻ
સુકા,വരണ്ട
કર્નલ દૂર કરવું,കേർണൽ നീക്കം
ડી-ઇન્ટરકલેશન,ഡി-ഇന്റർകലേഷൻ
જોડાણ,സംയോജനം
1. પુરુષ મંજરી નિષ્કર્ષણ (મકાઈ) 2. બલ્લાર નિષ્કર્ષણ,1. ആൺ മഞ്ജരി വേർതിരിച്ചെടുക്കൽ (ചോളം) 2. ബല്ലാർ വേർതിരിച്ചെടുക്കൽ
બલ્લાર અથવા કુંદન કટીંગ,ബല്ലാർ അല്ലെങ്കിൽ കുന്ദൻ മുറിക്കൽ
નિર્ધારક,നിർണ്ണയിക്കുന്നയാൾ
અવમૂલ્યન,മൂല്യച്യുതി
ડી-વનસ્પતિ,സസ്യഭക്ഷണം
વિચલન,വ്യതിയാനം
ડબલ,ഇരട്ടി
નિદાન,രോഗനിർണയം
વિવિધ પરિપક્વતા,വ്യത്യസ്ത പക്വത
વિભાજન,വിഭജനം
1. ડાઇકોટાઇલ્ડન 2. ડિકોટાઇલ્ડન (બીજ),1. ഡൈക്കോട്ടിലിഡൺ 2. ഡൈക്കോട്ടിലിഡൺ (വിത്ത്)
પીઠનો રોગ,പുറം രോഗം
1. પ્રસરણ 2. પ્રસરણ,1. ഡിഫ്യൂഷൻ 2. ഡിഫ്യൂഷൻ
પાચનક્ષમતા,ദഹനക്ഷമത
દ્વિસંકર,ഡൈഹൈബ്രിഡ്
1. ડેમ 2. ડ્રેઇન 3. કુટુંબ,1. ഡാം 2. ഡ്രെയിൻ 3. കുടുംബം
અલ્પ,തുച്ഛമായ
1. મોનોગેમસ 2. મોનોગેમસ,1. ഏകഭാര്യ 2. ഏകഭാര്യ
ડિપ્લોઇડ,ഡിപ്ലോയിഡ്
1. ડિપ્લોઇડ 2. ડિપ્લોઇડ,1. ഡിപ്ലോയിഡ് 2. ഡിപ്ലോയിഡ്
દ્વિધ્રુવ,ദ്വിധ്രുവം
1. નિષ્કર્ષણ 2. બડ દૂર કરવું,1. വേർതിരിച്ചെടുക്കൽ 2. ബഡ് നീക്കം
1. હળ ખેડવું 2. કાંતવું,1. പ്ലോ പ്ലോവിംഗ് 2. സ്പിന്നിംഗ്
ડિસ્કાઉન્ટ,കിഴിവ്
જીવાણુ નાશકક્રિયા,അണുനശീകരണം
1. વિખેરવું 2. છૂટાછવાયા,1. ഡിസ്പർഷൻ 2. ചിതറിക്കൽ
1.સ્કેટરિંગ 2.વિવિધતા,1.ചിതറിക്കൽ 2.വ്യതിയാനം
વૈવિધ્યકરણ,വൈവിധ്യവൽക്കരണം
વૈવિધ્યસભર કૃષિ,വൈവിധ്യമാർന്ന കൃഷി
ડીએનએ પગલું,ഡിഎൻഎ ഘട്ടം
ડીએનએ રીસીવર,ഡിഎൻഎ റിസീവർ
ગોદી ભાડે,ഡോക്ക് വാടകയ്ക്ക്
અસરકારક,ഫലപ്രദമായ
નિષ્ક્રિયતા,സുഷുപ്തി
1. જથ્થો 2. માત્રા 3. માત્રા,1. അളവ് 2. അളവ് 3. അളവ്
ડબલ સિગ્મોઇડ વળાંક,ഇരട്ട സിഗ്മോയിഡ് കർവ്
1. ગસ્ટ 2. સ્ટ્રેચ,1. കാറ്റ് 2. നീട്ടുക
1. એક્ઝોસ્ટ ડ્રેઇન 2. પ્રવાહ,1. എക്‌സ്‌ഹോസ്റ്റ് ഡ്രെയിൻ 2. മലിനജലം
ડ્રેનેજ,ഡ്രെയിനേജ്
ટ્રેક્શન,ട്രാക്ഷൻ
1. દવા આપો 2. ભીંજાવો,1. മരുന്ന് കൊടുക്കുക 2. നനയ്ക്കുക
સૌંદર્ય પ્રસાધનો (બીજ),സൗന്ദര്യവർദ്ധക വസ്തുക്കൾ (വിത്തുകൾ)
1. ઓગર 2. છીછરા ફોલ્ટ 3. ડ્રીલ 4. ઓગર,1. ആഗർ 2. ആഴം കുറഞ്ഞ തകരാർ 3. ഡ്രിൽ 4. ആഗർ
1. છિદ્ર 2. કવાયત 3. કવાયત,1. ദ്വാരം 2. ഡ്രിൽ 3. ഡ്രിൽ
1. ડ્રિલિંગ 2. ડ્રિલ વડે વાવણી 3. ડ્રિલ વડે રેડવું,1. ഡ്രില്ലിംഗ് 2. ഡ്രിൽ ഉപയോഗിച്ച് വിതയ്ക്കൽ 3. ഡ്രിൽ ഉപയോഗിച്ച് ഒഴിക്കുക
ટપક સિંચાઈ,ഡ്രിപ്പ് ഇറിഗേഷൻ
સૂકી ખેતી,ഉണങ്ങിയ കൃഷി
1.ધૂળ 2.બુકની,1.പൊടി 2.ബുക്നെ
1. ડસ્ટર 2. સ્કેટરર,1. ഡസ്റ്റർ 2. സ്കാറ്ററർ
છંટકાવ કરવા માટે,തളിക്കാൻ
1. વામન 2. વામન,1. വാമനൻ 2. വാമനൻ
વામન પિરામિડ,വാമന പിരമിഡ്
વામિની ભવન,വാമിനി ഭവൻ
ઇકોલોજી,പരിസ്ഥിതി ശാസ്ത്രം
અર્થશાસ્ત્ર,ഇക്കണോമെട്രിക്സ്
આર્થિક કાર્યક્ષમતા,സാമ്പത്തിക കാര്യക്ഷമത
પરિસ્થિતિગત પ્રકાર,സാഹചര്യ തരം
વધારાનું સ્તરીકરણ,അധിക-സ്ട്രാറ്റിഫൈഡ്
નરમ,മൃദുവായ
માટી વિજ્ઞાન,മണ്ണ് ശാസ്ത്രം
1. બ્રિજિંગ 2. એજિંગ 3. સ્ટ્રાન્ડ ક્લોઝર,1. ബ്രിഡ്ജിംഗ് 2. എഡ്ജിംഗ് 3. സ്ട്രാൻഡ് ക്ലോഷർ
ખોરાકનો ભાગ,ഭക്ഷണ ഭാഗം
માંગની સ્થિતિસ્થાપકતા,ഡിമാൻഡിന്റെ ഇലാസ്തികത
ઉત્પાદન સ્થિતિસ્થાપકતા,ഉത്പാദന ഇലാസ്തികത
વિદ્યુત વિચ્છેદન-વિશ્લેષણ,വൈദ്യുതവിശ്ലേഷണം
ઇલેક્ટ્રોફોરેસિસ,ഇലക്ട്രോഫോറെസിസ്
બાષ્પીભવન,ആവിയായി
1. શિરચ્છેદ કરનાર 2. જંતુમુક્ત કરનાર 3. શિરચ્છેદ કરનાર 4. જંતુમુક્ત કરનાર,1. ശിരഛേദം 2. വന്ധ്യംകരണം 3. ശിരഛേദം 4. വന്ധ്യംകരണം
1. વિયર બંડી 2. સ્ટ્રોબંદી,1. വീർ ബാൻഡി 2. സ്ട്രോബണ്ടി
ગર્ભ,ഭ്രൂണം
1. ગર્ભવિજ્ઞાન 2. ભૌતિકશાસ્ત્ર,1. ഭ്രൂണശാസ്ത്രം 2. ഭൗതികശാസ്ത്രം
1. બહાર નીકળો 2. બહાર નીકળો,1. പുറത്തുകടക്കുക 2. പുറത്തുകടക്കുക
ઇમલ્સિફાયર,എമൽസിഫയർ
અંતર્જાત,അന്തർജനകമായ
આંતર-બિંદુ વિભાગ,ഇൻട്രാ പോയിന്റ് ഡിവിഷൻ
આંતર-પરજીવી,ഇൻട്രാ-പാരാസിറ്റിക്
એન્ડોસ્પર્મ,എൻഡോസ്പേം
એન્ટરપ્રાઇઝ,എന്റർപ്രൈസ്
કીટશાસ્ત્ર,കീടശാസ്ത്രം
પર્યાવરણ,പരിസ്ഥിതി
1. એન્ઝાઇમ 2. એન્ઝાઇમ,1. എൻസൈം 2. എൻസൈം
ક્લસ્ટર કલમ બનાવવી,ക്ലസ്റ്റർ ഗ്രാഫ്റ്റിംഗ്
1. એપિફાઇટ 2. એપિફાઇટ,1. എപ്പിഫൈറ്റ് 2. എപ്പിഫൈറ്റ്
ઇક્વિટી,ഇക്വിറ്റി
નાબૂદી,ഉന്മൂലനം
આવશ્યક પોષક તત્વો,അവശ്യ പോഷകങ്ങൾ
1. માપન 2. જમ્પ 3. આકારણી,1. അളവ് 2. ജമ്പ് 3. വിലയിരുത്തൽ
સુંદરતા,സൂക്ഷ്മത
સુજનનિક,സുജനിക്
મૂલ્યાંકન,മൂല്യനിർണ്ണയം
વરાળ માપક,സ്റ്റീം ഗേജ്
બાષ્પીભવન,ബാഷ്പീകരണ പ്രചോദനം
શાશ્વત ક્રાંતિ,ശാശ്വത വിപ്ലവം
1. સદાબહાર 2. સદાબહાર,1. നിത്യഹരിതം 2. നിത്യഹരിതം
વિકાસ,വികസനം
કાપી નાખવું,വിച്ഛേദിക്കുക
પરિક્ષય (ફર્ટિલિટી),പരീക്ഷയ് (ഫെർട്ടിലിറ്റി)
શોષણ,ചൂഷണം
1. અન્વેષણ 2. અન્વેષણ,1. പര്യവേക്ഷണം 2. പര്യവേക്ഷണം
1. ઉત્સર્જન 2. ઉત્સર્જન,1. എക്സ്ട്രൂഷൻ 2. എമിഷൻ
આંખ,കണ്ണ്
1. પરિબળ 2. ઘટક 3. પરિબળ 4. સંસાધન,1. ഘടകം 2. ഘടകം 3. ഘടകം 4. റിസോഴ്സ്
પરિબળ ઉત્પાદકતા,ഘടകം ഉത്പാദനക്ഷമത
વેપારીનું ડિસ્કાઉન્ટ,വ്യാപാരിയുടെ കിഴിവ്
ફેક્ટોરિયલ બ્લોક ડિઝાઇન,ഫാക്‌ടോറിയൽ ബ്ലോക്ക് ഡിസൈൻ
વૈકલ્પિક,ബദൽ
1. પટ્ટી 2. પાલિહાર,1. പട്ടി 2. പലിഹാർ
સ્થૂળ,മൊത്തത്തിലുള്ള
ક્ષેત્ર મૂલ્યાંકન,ഫീൽഡ് മൂല്യനിർണ്ണയം
ફાર્મ બજેટિંગ,കാർഷിക ബജറ്റിംഗ്
કૃષિ વ્યવસાય,കാർഷിക ബിസിനസ്സ്
ક્ષેત્ર આયોજન,ഫീൽഡ് ആസൂത്രണം
1. ખેડૂત 2. ખેડૂત,1. കർഷകൻ 2. കർഷകൻ
1. ખેતી 2. ખેતી,1. കൃഷി 2. കൃഷി
અથડામણ,കൂട്ടിയിടി
બહુવિધ સંવર્ધન,ഒന്നിലധികം പ്രജനനം
આથો,അഴുകൽ
ફળદ્રુપતા,ഫെർട്ടിലിറ്റി
ખાતર,വളം
ખાતર ઉપયોગ કાર્યક્ષમતા,വളം ഉപയോഗം കാര്യക്ഷമത
તંતુમય,നാരുകളുള്ള
1. ફાર્મ 2. વિસ્તાર 3. સ્થાન,1. ഫാം 2. ഏരിയ 3. സ്ഥലം
માટી પાણી હોલ્ડિંગ,മണ്ണ് വെള്ളം പിടിക്കൽ
ક્ષેત્ર પ્રદર્શન,ഫീൽഡ് പ്രദർശനം
1. સ્થિરીકરણ 2. ફિક્સેશન 3. ફિક્સેશન,1. ഇമ്മൊബിലൈസേഷൻ 2. ഫിക്സേഷൻ 3. ഫിക്സേഷൻ
1. પાણી ભરવું 2. ગર્ભાધાન,1. വെള്ളപ്പൊക്കം 2. ഇംപ്രെഗ്നേഷൻ
પ્રવાહ રેખાકૃતિ,ഒഴുക്ക് ഡയഗ്രം
ખોરાક મૂલ્ય,ഭക്ഷണ മൂല്യം
ચારો,കാലിത്തീറ്റ
આગાહી,പ്രവചനം
વન,വനം
વનીકરણ,വനവൽക്കരണം
1. તડપાર્ન 2. ફોર્મ,1. ടാഡ്പാർൺ 2. ഫോം
હિમ પ્રતિરોધક,മഞ്ഞ് പ്രതിരോധം
1. પાલા 2. બ્લાઈટ,1. പാലാ 2. ബ്ലൈറ്റ്
1. સ્થિર 2. સ્થિર,1. മരവിച്ച 2. മരവിച്ച
કાર્ય,പ്രവർത്തനം
1. ફ્રુટ ફોલ 2. ફ્રુટ ફોલ,1. ഫ്രൂട്ട് ഫാൾ 2. ഫ്രൂട്ട് ഫാൾ
ફળ બની જાય છે,ഫലമായിത്തീരുന്നു
1. ધૂણી 2. ધૂણી,1. ഫ്യൂമിഗേഷൻ 2. ഫ്യൂമിഗേഷൻ
ફૂગનાશક,കുമിൾനാശിനി
ફૂગપ્રતિરોધી,ആന്റിഫംഗൽ
ફૂગ,കുമിൾ
1. ખુદ 2. સીતા,1. ഖുദ് 2. സീത
1. ફ્યુઝન 2. ફ્યુઝન,1. ഫ്യൂഷൻ 2. ഫ്യൂഷൻ
કપાસ ઉન,പഞ്ഞി
રુવાંટીવાળું,രോമമുള്ള
1. ઝાડનું અલ્સર 2. પિટિકા,1. ട്രീ അൾസർ 2. പിടിക
1. ગેમેટ્સ 2. ગેમેટ્સ,1. ഗേമറ്റുകൾ 2. ഗെയിമറ്റുകൾ
1. બગીચો 2. બગીચો,1. പൂന്തോട്ടം 2. പൂന്തോട്ടം
1. પંસલ 2. હાઇડ્રોમીટર,1. പൻസാൽ 2. ഹൈഡ്രോമീറ്റർ
જનીન સંગ્રહ,ജീൻ ശേഖരണം
જીન ટેગોન,ജീൻ ടാഗൺ
વંશાવળી,വംശാവലി
જનીન નકશો,ജീൻ മാപ്പ്
જીનેટિક્સ,ജനിതകശാസ്ത്രം
1. જીનોમ 2. સંગેન,1. ജീനോം 2. സംഗീൻ
સંજીની કલેક્શન,സഞ്ജിനി ശേഖരം
જીનોમિક્સ,ജനിതകശാസ്ത്രം
જીનોટાઇપ,ജനിതകരൂപം
1. જનીન માળખું 2. જનીન પ્રકાર,1. ജീൻ ഘടന 2. ജീൻ തരം
લિનેજ,വംശാവലി
1. જીનસ 2. વંશ,1. ജനുസ്സ് 2. വംശം
1. જીવાણુ 2. જીવાણુ,1. ബീജം 2. ബീജം
જીવાણુનાશક,അണുനാശിനി
અંકુરણ,മുളപ്പിക്കൽ
1. જર્મપ્લાઝમ 2. જર્મપ્લાઝમ,1. ജെർംപ്ലാസ്ം 2. ജെർംപ്ലാസം
ગીબેરેલિક એસિડ,ഗിബ്ബെറലിക് ആസിഡ്
ઉગાડવું,പെറുക്കുക
ટશ,തുഷ്
1. ગ્લુટેન 2. ખાઉધરાપણું,1. ഗ്ലൂറ്റൻ 2. ഗ്ലൂട്ടണി
ગ્લાયકોલિસિસ,ഗ്ലൈക്കോളിസിസ്
સરસ,കൊള്ളാം
સુવર્ણ ક્રાંતિ,സുവർണ്ണ വിപ്ലവം
1. વર્ગીકરણ 2. વર્ગીકરણ 3. સ્તરીકરણ,1. വർഗ്ഗീകരണം 2. വർഗ്ഗീകരണം 3. വർഗ്ഗീകരണം
1. કલમી છોડ 2. પેનમ્બ્રલ પ્લાન્ટ,1. ഒട്ടിച്ച ചെടി 2. പെൻബ്രൽ ചെടി
પેન અસંગત,പേന പൊരുത്തമില്ലാത്ത
ગ્રેના,ഗ്രാന
દાણાદાર,ഗ്രാനുലേഷൻ
લીલું ખાતર,പച്ചിലവളം
હરિયાળી ક્રાંતિ,ഹരിത വിപ്ലവം
વૃદ્ધિ અને વિકાસ,വളർച്ചയും വികസനവും
1. ગમ રોગ,1. മോണരോഗം
વિષમલિંગી,ഭിന്നലിംഗക്കാരൻ
1. પ્રકૃતિ 2. પ્રકૃતિ 3. રૂપગુણ 4. દેખાવ,1. പ്രകൃതി 2. പ്രകൃതി 3. രൂപഗുണ 4. ഭാവം
1. ઓલા 2. કરકપાટ 3. કાર્કા,1. ഓല 2. കർക്കപ്പട്ട് 3. കർക്ക
રોમિલવોચ,റോമിൽ വാച്ച്
ખારા ફોલ્લો,സലൈൻ സിസ്റ്റ്
હેરો,ഹാരോ
1. હાર્વેસ્ટિંગ ઈન્ડેક્સ 2. હાર્વેસ્ટિંગ ઈન્ડેક્સ,1. വിളവെടുപ്പ് സൂചിക 2. വിളവെടുപ്പ് സൂചിക
1. લણણી 2. લણણી કરેલ પાક 3. સમાપ્ત પાક 4. ઉપજ,1. വിളവെടുപ്പ് 2. വിളവെടുത്ത വിള 3. പൂർത്തിയായ വിള 4. വിളവ്
1. તોડવું 2. લણણી 3. તોડવું,1. പറിക്കൽ 2. വിളവെടുപ്പ് 3. പറിക്കൽ
1. એગ લેઇંગ 2. એગ ફોર્સ,1. മുട്ടയിടൽ 2. മുട്ട ശക്തി
સૂકું ઘાસ,ഉണങ്ങിയ പുല്ല്
શુષ્ક ફીડ,ഉണങ്ങിയ തീറ്റ
ગંજી,ഗഞ്ചി
ઝાકળ,മൂടൽമഞ്ഞ്
ધૂંધળું,മൂടൽമഞ്ഞ്
1. બાલી 2. સિત્ત 3. મુંડક 4. ટોપ 5. હેડ 6. સિરા,1. ബാലി 2. സിത്ത 3. മുണ്ടക് 4. ടോപ്പ് 5. തല 6. സിറ
ખાંચનો અંત,തോടിന്റെ അവസാനം
ટોચ કાપણી,മുകളിൽ അരിവാൾകൊണ്ടു
વાડ,വേലി
કસ્ટડીમાં,കസ്റ്റഡി
કુંડલિની,കുണ്ഡലിനി
હેમેટાઇટ,ഹെമറ്റൈറ്റ്
1. ઔષધિ 2. ઔષધિ,1. സസ്യം 2. സസ്യം
1.બોટનિકલ કલેક્શન 2.બોટનિકલ મ્યુઝિયમ,1.ബൊട്ടാണിക്കൽ ശേഖരം 2.ബൊട്ടാണിക്കൽ മ്യൂസിയം
હર્બિસાઇડ,കളനാശിനി
આનુવંશિકતા,പാരമ്പര്യം
આનુવંશિકતા,പാരമ്പര്യം
ઉભયલિંગી,ബൈസെക്ഷ്വൽ
હેટરોક્રોમેટિક,ഹെറ്ററോക്രോമാറ്റിക്
હેટરોફર્ટિલાઇઝેશન,heterofertilization
1. હાઇબ્રિડોઝ 2. હેટેરોસિસ,1. ഹൈബ്രിഡോസ് 2. ഹെറ്ററോസിസ്
લૈંગિક રંગસૂત્રો,സെക്സ്ക്രോമസോമുകൾ
ઉછેર,വളർത്തി
હેક્સાડેસિમલ,ഹെക്സാഡെസിമൽ
ઠંડી નિષ્ક્રિયતા,തണുത്ത സുഷുപ്തി
ઉચ્ચ ઘનતા વાવેતર,ഉയർന്ന സാന്ദ്രത നടീൽ
1. પિંડલક 2. ટેકરી (ડાંગર),1. പിൻഡ്ലക്ക് 2. കുന്ന് (നെല്ല്)
હિસ્ટોગ્રામ,ഹിസ്റ്റോഗ്രാം
ઉચ્ચ તકનીકી બાગાયત,ഹൈടെക് ഹോർട്ടികൾച്ചർ
1. દહીં 2. મધપૂડો,1.തൈര് 2. കൂട്
1. નીંદણ 2. નીંદણ,1. കളനിയന്ത്രണം 2. കളനിയന്ത്രണം
હોલ્ડિંગ,പിടിക്കുന്നു
ખાનગી ફાર્મ,സ്വകാര്യ ഫാം
હોમિયોસ્ટેસિસ,ഹോമിയോസ്റ്റാസിസ്
વતન,മാതൃഭൂമി
એકરૂપતા,ഏകതാനത
1. સજાતીય 2. સજાતીય,1. ഏകതാനമായ 2. ഏകതാനമായ
સહાનુભૂતિશીલ,സഹതാപം
સજાતીય,ഹോമോസൈഗസ്
1. ઘુર્લિકા 2. ખાદ્યપદાર્થો 3. હાપર,1. ഖുറിക്ക 2. ഭക്ഷണ പാത്രം 3. ഹാപ്പർ
1. સ્તર 2. ક્ષિતિજ,1. പാളി 2. ചക്രവാളം
બાગાયતી પાક,ഹോർട്ടികൾച്ചറൽ വിളകൾ
1. બાગાયત 2. બાગાયત 3. બાગાયત 4. બાગાયત,1. ഹോർട്ടികൾച്ചർ 2. ഹോർട്ടികൾച്ചർ 3. ഹോർട്ടികൾച്ചർ 4. ഹോർട്ടികൾച്ചർ
