English,Odiya
computer graphics,କମ୍ପ୍ୟୁଟର ଗ୍ରାଫିକ୍ସ
computer instruction,କମ୍ପ୍ୟୁଟର ନିର୍ଦ୍ଦେଶ
computer language,କମ୍ପ୍ୟୁଟର ଭାଷା
computer network,କମ୍ପ୍ୟୁଟର ନେଟୱାର୍କ
computer science,କମ୍ପ୍ୟୁଟର ବିଜ୍ଞାନ
computer security,କମ୍ପ୍ୟୁଟର ସୁରକ୍ଷା
computer simulaton,କମ୍ପ୍ୟୁଟର ସିମୁଲେଟନ୍ |
computer specialist,କମ୍ପ୍ୟୁଟର ବିଶେଷଜ୍ଞ |
computerisation,କମ୍ପ୍ୟୁଟରୀକରଣ
computerist,କମ୍ପ୍ୟୁଟରବାଦୀ
computerize,କମ୍ପ୍ୟୁଟରୀକରଣ
computing,ଗଣନା
concept,ଧାରଣା
concurrency,ସମନ୍ୱୟ
concurrent,ସମବାୟ
condition variable,କଣ୍ଡିଶନ୍ ଭେରିଏବଲ୍
conditional operator,ସର୍ତ୍ତମୂଳକ ଅପରେଟର୍ |
conditional statement,ସର୍ତ୍ତମୂଳକ ଷ୍ଟେଟମେଣ୍ଟ
conductor,କଣ୍ଡକ୍ଟର |
conferencing,ସମ୍ମିଳନୀ
confidentiality,ଗୋପନୀୟତା
configuration,ବିନ୍ୟାସ
congestion,ଯାତାୟାତ
conjunction,ସଂଯୋଗ
connect speed,ସଂଯୋଗ ଗତି
connection,ସଂଯୋଗ
connection less communication,ସଂଯୋଗ କମ୍ ଯୋଗାଯୋଗ |
connection release,ସଂଯୋଗ ପ୍ରକାଶନ
connectivity,ସଂଯୋଗ
connector,ସଂଯୋଜକ |
consecutive,ଲଗାତାର
consequent,ପରିଣାମ
console,କୋନସୋଲ
consolidation,ଏକୀକରଣ
constant,ସ୍ଥିର
constant instruction,ନିରନ୍ତର ନିର୍ଦ୍ଦେଶ
constraint,ପ୍ରତିବନ୍ଧକ
constructor,ନିର୍ମାଣକାରୀ
container,ପାତ୍ର
content,ବିଷୟବସ୍ତୁ
context,ପ୍ରସଙ୍ଗ
context free grammar (CFG),ପ୍ରସଙ୍ଗ ମୁକ୍ତ ବ୍ୟାକରଣ (CFG)
context switch,ପ୍ରସଙ୍ଗ ସୁଇଚ୍ |
contingency,ପରିସ୍ଥିତି
contraction,ସଂକୋଚନ
contrast,ବିପରୀତ
control,ନିୟନ୍ତ୍ରଣ
control area,ନିୟନ୍ତ୍ରଣ କ୍ଷେତ୍ର
control bit,ନିୟନ୍ତ୍ରଣ ବିଟ୍ |
control bus,ନିୟନ୍ତ୍ରଣ ବସ୍
control card,କଣ୍ଟ୍ରୋଲ୍ କାର୍ଡ |
control circuit,କଣ୍ଟ୍ରୋଲ୍ ସର୍କିଟ୍ |
control cycle,ନିୟନ୍ତ୍ରଣ ଚକ୍ର
control engineering,ନିୟନ୍ତ୍ରଣ ଇଞ୍ଜିନିୟରିଂ |
control key,ନିୟନ୍ତ୍ରଣ କି
control logic,ତର୍କକୁ ନିୟନ୍ତ୍ରଣ କରନ୍ତୁ |
control loop,କଣ୍ଟ୍ରୋଲ୍ ଲୁପ୍ |
control mark,ନିୟନ୍ତ୍ରଣ ଚିହ୍ନ
control operation,ନିୟନ୍ତ୍ରଣ କାର୍ଯ୍ୟ
control panel,କଣ୍ଟ୍ରୋଲ୍ ପ୍ୟାନେଲ୍ |
control signal,ନିୟନ୍ତ୍ରଣ ସଙ୍କେତ
control switch,କଣ୍ଟ୍ରୋଲ୍ ସୁଇଚ୍ |
control tape,କଣ୍ଟ୍ରୋଲ୍ ଟେପ୍ |
control terminal,ନିୟନ୍ତ୍ରଣ ଟର୍ମିନାଲ୍ |
control unit (CU),କଣ୍ଟ୍ରୋଲ୍ ୟୁନିଟ୍ (CU)
convergence,ସମ୍ମିଶ୍ରଣ |
conversation,ବାର୍ତ୍ତାଳାପ |
conversational time sharing,ବାର୍ତ୍ତାଳାପ ସମୟ ବାଣ୍ଟିବା |
conversion,ରୂପାନ୍ତର
converter,ରୂପାନ୍ତରକାରୀ |
Cook's theorem,କୁକର ଥିଓରେମ୍ |
co-processor,ସହ-ସଞ୍ଚାଳକ |
copy,କପି କରନ୍ତୁ |
copyright,କପିରାଇଟ୍
cord,କର୍ଡ
cordless telephone,କର୍ଡଲେସ୍ ଟେଲିଫୋନ୍ |
corollary,କରୋଲାରୀ
correction,ସଂଶୋଧନ
corrupted,ଦୁର୍ନୀତିଗ୍ରସ୍ତ
count,ଗଣନା
counter,କାଉଣ୍ଟର
country code,ଦେଶ କୋଡ୍
covariance,କୋଭାରିଆନ୍ସ |
coverage,କଭରେଜ୍ |
crash,ଦୁର୍ଘଟଣା
critical path,ଜଟିଳ ପଥ
critical path method (CPM),ଜଟିଳ ପଥ ପଦ୍ଧତି (CPM)
cross check,କ୍ରସ୍ ଚେକ୍ |
cross compiler,କ୍ରସ୍ କମ୍ପାଇଲର୍
cross fire,କ୍ରସ୍ ଅଗ୍ନି
cross talk,କ୍ରସ୍ ଟକ୍ |
cryptographic,କ୍ରିପ୍ଟୋଗ୍ରାଫିକ୍
cryptography,କ୍ରିପ୍ଟୋଗ୍ରାଫି
currency symbol,ମୁଦ୍ରା ପ୍ରତୀକ
current directory,ସାମ୍ପ୍ରତିକ ଡିରେକ୍ଟୋରୀ |
current window,ସାମ୍ପ୍ରତିକ ୱିଣ୍ଡୋ |
cursor,କର୍ସର୍
curve,ବକ୍ର
cut and paste,କାଟି ପେଷ୍ଟ କରନ୍ତୁ |
cut method,କଟ୍ ପଦ୍ଧତି |
cyber,ସାଇବର
cyber café,ସାଇବର କାଫେ
cyber cash,ସାଇବର ନଗଦ
cyber crime,ସାଇବର ଅପରାଧ |
cyber delics,ସାଇବର ଡେଲିକ୍ସ |
cyber law,ସାଇବର ନିୟମ |
cyber sex,ସାଇବର ସେକ୍ସ |
cybernatics,ସାଇବରନାଟିକ୍ସ |
cybernation,ସାଇବରନେସନ୍ |
cycle,ଚକ୍ର
cycle memory,ଚକ୍ର ସ୍ମୃତି
cycle steal,ଚକ୍ର ଚୋରୀ |
cycle time,ଚକ୍ର ସମୟ
cyclic,ଚକ୍ରବର୍ତ୍ତୀ
daemon,ଡେମନ୍ |
daisy wheel,ଡେଜି ଚକ
data administrator,ଡାଟା ଆଡମିନିଷ୍ଟ୍ରେଟର୍
data allocation,ତଥ୍ୟ ଆବଣ୍ଟନ
data area,ଡାଟା କ୍ଷେତ୍ର
data array,ଡାଟା ଆରେ
data base,ଡାଟା ଆଧାର
data break,ଡାଟା ବ୍ରେକ୍ |
data bus,ଡାଟା ବସ୍
data carrier,ଡାଟା ବାହକ
data cell,ଡାଟା ସେଲ୍ |
data channel,ଡାଟା ଚ୍ୟାନେଲ୍ |
data communication,ତଥ୍ୟ ଯୋଗାଯୋଗ |
data compression,ଡାଟା ସଙ୍କୋଚନ |
data field,ଡାଟା ଫିଲ୍ଡ |
data file,ଡାଟା ଫାଇଲ୍ |
data flow,ତଥ୍ୟ ପ୍ରବାହ
data flow Chart,ଡାଟା ପ୍ରବାହ ଚାର୍ଟ
data hierarchy,ଡାଟା କ୍ରମ
data level,ତଥ୍ୟ ସ୍ତର
data library,ଡାଟା ଲାଇବ୍ରେରୀ |
data link layer,ଡାଟା ଲିଙ୍କ୍ ସ୍ତର |
data link layer (DLL),ଡାଟା ଲିଙ୍କ୍ ସ୍ତର (DLL)
data management,ତଥ୍ୟ ପରିଚାଳନା
data manipulation,ଡାଟା ମନିପୁଲେସନ୍ |
data manipulation language (DML),ଡାଟା ମନିପୁଲେସନ୍ ଭାଷା (DML)
data modem,ଡାଟା ମୋଡେମ୍ |
data modification,ତଥ୍ୟ ପରିବର୍ତ୍ତନ
data network,ଡାଟା ନେଟୱାର୍କ |
data operation,ଡାଟା ଅପରେସନ୍
data organization,ତଥ୍ୟ ସଂଗଠନ
data output,ଡାଟା ଆଉଟପୁଟ୍
data path,ଡାଟା ପଥ
data prepration,ଡାଟା ପ୍ରିପ୍ରେସନ୍ |
data privacy,ଡାଟା ଗୋପନୀୟତା
data processor,ଡାଟା ସଞ୍ଚାଳକ
data protection,ତଥ୍ୟ ସୁରକ୍ଷା
data record,ଡାଟା ରେକର୍ଡ |
data retrieval,ତଥ୍ୟ ପୁନରୁଦ୍ଧାର
data routine,ଡାଟା ରୁଟିନ୍ |
data security,ଡାଟା ସୁରକ୍ଷା
data set,ଡାଟା ସେଟ୍ |
data signal,ଡାଟା ସଙ୍କେତ
data sink,ଡାଟା ସିଙ୍କ୍ |
data source,ତଥ୍ୟ ଉତ୍ସ
data specification,ତଥ୍ୟ ନିର୍ଦ୍ଦିଷ୍ଟକରଣ |
data station,ଡାଟା ଷ୍ଟେସନ୍ |
data storage,ତଥ୍ୟ ସଂରକ୍ଷଣ
data storage structure,ଡାଟା ଷ୍ଟୋରେଜ୍ ଗଠନ
data structure,ତଥ୍ୟ ଗଠନ
data switch,ଡାଟା ସୁଇଚ୍ |
data table,ଡାଟା ଟେବୁଲ୍ |
data terminal,ଡାଟା ଟର୍ମିନାଲ୍ |
data transcription,ଡାଟା ଟ୍ରାନ୍ସକ୍ରିପସନ୍
data transfer,ତଥ୍ୟ ସ୍ଥାନାନ୍ତର
data transmission,ଡାଟା ଟ୍ରାନ୍ସମିସନ୍ |
data transmission Channel,ଡାଟା ଟ୍ରାନ୍ସମିସନ୍ ଚ୍ୟାନେଲ୍ |
data type,ଡାଟା ପ୍ରକାର
data unit,ଡାଟା ୟୁନିଟ୍
data validation,ଡାଟା ବ ation ଧତା |
database,ଡାଟାବେସ୍
database adminstration,ଡାଟାବେସ୍ ଆଡମିନିଷ୍ଟ୍ରେସନ୍ |
database design,ଡାଟାବେସ୍ ଡିଜାଇନ୍ |
database management system,ଡାଟାବେସ୍ ପରିଚାଳନା ସିଷ୍ଟମ୍ |
datagrav,datagrav
datum,ଡାଟମ୍ |
dead zone,ଡେଡ୍ ଜୋନ୍ |
deadlock,ଅବରୋଧ
deadlock prevention,ଅବରୋଧ ରୋକିବା |
debug,ତ୍ରୁଟିନିବାରଣ
decision box,ନିଷ୍ପତ୍ତି ବାକ୍ସ
decision making process,ନିଷ୍ପତ୍ତି ଗ୍ରହଣ ପ୍ରକ୍ରିୟା
decision support system,ନିଷ୍ପତ୍ତି ସମର୍ଥନ ପ୍ରଣାଳୀ |
decision tree,ନିଷ୍ପତ୍ତି ବୃକ୍ଷ |
decoder,ଡିକୋଡର୍ |
decomposition principle,ବିଚ୍ଛେଦ ନୀତି |
decryption,ଡିକ୍ରିପ୍ସନ୍
dedicated channel,ଉତ୍ସର୍ଗୀକୃତ ଚ୍ୟାନେଲ |
dedicated port,ଉତ୍ସର୍ଗୀକୃତ ପୋର୍ଟ |
defence data network (DDN),ପ୍ରତିରକ୍ଷା ତଥ୍ୟ ନେଟୱାର୍କ (DDN)
defence information system,ପ୍ରତିରକ୍ଷା ସୂଚନା ପ୍ରଣାଳୀ |
defragmentation,ବିଭାଜନ
delay,ବିଳମ୍ବ
delay counter,ବିଳମ୍ବ କାଉଣ୍ଟର
delay time,ବିଳମ୍ବ ସମୟ
delete,ଡିଲିଟ୍ କରନ୍ତୁ |
deletion record,ବିଲୋପ ରେକର୍ଡ
delimiter,ଡିଲିମିଟର
delta modulation,ଡେଲଟା ମଡ୍ୟୁଲେସନ୍
demand paging,ପେଜିଂ ଚାହିଦା |
demo,ଡେମୋ
demodulation,demodulation
demultiplexer,demultiplexer
denormalization,ନାମକରଣ
density,ଘନତା
dependency,ନିର୍ଭରଶୀଳତା |
dependent unit,ନିର୍ଭରଶୀଳ ଏକକ |
dequeue,dequeue
dereferencing,ଡିଫରେନ୍ସିଂ
derivation tree,ଡେରିଭେସନ୍ ଗଛ |
derived field,ପ୍ରାପ୍ତ କ୍ଷେତ୍ର
descending sort,ଅବତରଣ କ୍ରମ |
design,ଡିଜାଇନ୍
desk calculator,ଡେସ୍କ କାଲକୁଲେଟର
desk top computer,ଡେସ୍କ ଟପ୍ କମ୍ପ୍ୟୁଟର |
desktop presentation,ଡେସ୍କଟପ୍ ଉପସ୍ଥାପନା
desktop publishing (DTP),ଡେସ୍କଟପ୍ ପ୍ରକାଶନ (DTP)
desktop video,ଡେସ୍କଟପ୍ ଭିଡିଓ
destination address,ଗନ୍ତବ୍ୟସ୍ଥଳ ଠିକଣା
destructer,ବିନାଶକାରୀ |
deterministric automats,ନିର୍ଣ୍ଣୟକାରୀ ସ୍ୱୟଂଚାଳିତ |
developer,ବିକାଶକାରୀ
development system,ବିକାଶ ବ୍ୟବସ୍ଥା
device,ଉପକରଣ
device control unit,ଉପକରଣ ନିୟନ୍ତ୍ରଣ ଏକକ
device controller,ଉପକରଣ ନିୟନ୍ତ୍ରକ
device management,ଉପକରଣ ପରିଚାଳନା
device mode,ଉପକରଣ ମୋଡ୍
diagnosis,ନିରାକରଣ
diagnostic system,ଡାଇଗ୍ନୋଷ୍ଟିକ୍ ସିଷ୍ଟମ୍ |
diagnostics,ନିଦାନ
diagram,ଚିତ୍ର
dial,ଡାଏଲ୍ କରନ୍ତୁ |
dial line,ଡାଏଲ୍ ଲାଇନ୍ |
dial tone,ଡାଏଲ୍ ସ୍ୱର
dial up,ଡାଏଲ୍ ଅପ୍ କରନ୍ତୁ |
dialog,ସଂଳାପ
dialog box,ଡାୟଲଗ୍ ବକ୍ସ
dialup modem,ଡାଏଲଅପ୍ ମୋଡେମ୍ |
diamension,ହୀରା
dictionary,ଅଭିଧାନ
differentiation,ଭିନ୍ନତା
digital,ଡିଜିଟାଲ୍ |
digital channel,ଡିଜିଟାଲ୍ ଚ୍ୟାନେଲ୍ |
digital circuit,ଡିଜିଟାଲ୍ ସର୍କିଟ୍ |
digital computer,ଡିଜିଟାଲ୍ କମ୍ପ୍ୟୁଟର |
digital data,ଡିଜିଟାଲ୍ ତଥ୍ୟ |
digital facility,ଡିଜିଟାଲ୍ ସୁବିଧା
digital filter,ଡିଜିଟାଲ୍ ଫିଲ୍ଟର୍ |
digital library,ଡିଜିଟାଲ୍ ଲାଇବ୍ରେରୀ |
digital modulation,ଡିଜିଟାଲ୍ ମୋଡ୍ୟୁଲେସନ୍
digital monitor,ଡିଜିଟାଲ୍ ମନିଟର |
digital picture,ଡିଜିଟାଲ୍ ଚିତ୍ର |
digital signature,ଡିଜିଟାଲ୍ ଦସ୍ତଖତ |
digital switch,ଡିଜିଟାଲ୍ ସୁଇଚ୍ |
digital to analog (D/A) converter,ଡିଜିଟାଲ୍ ଟୁ ଆନାଗଲ୍ (D / A) କନଭର୍ଟର |
digitization,ଡିଜିଟାଇଜେସନ୍
digitize,ଡିଜିଟାଇଜେସନ୍
digitizer,ଡିଜିଟାଇଜର୍
diode,ଡାୟୋଡ୍
direct,ସିଧାସଳଖ |
direct address,ପ୍ରତ୍ୟକ୍ଷ ଠିକଣା
direct conversion,ସିଧାସଳଖ ରୂପାନ୍ତର |
direct coupling,ସିଧାସଳଖ ଯୋଡି |
direct memory access (DMA),ସିଧାସଳଖ ସ୍ମୃତି ପ୍ରବେଶ (DMA)
direct memory acess (DMA),ସିଧାସଳଖ ମେମୋରୀ ଆକସେସ୍ (DMA)
direct method,ପ୍ରତ୍ୟକ୍ଷ ପଦ୍ଧତି |
directive,ନିର୍ଦ୍ଦେଶନାମା
directory,ଡିରେକ୍ଟୋରୀ
directory server,ଡିରେକ୍ଟୋରୀ ସର୍ଭର |
directory service,ଡିରେକ୍ଟୋରୀ ସେବା
disable,ଅକ୍ଷମ କରନ୍ତୁ |
disabling signal,ସଙ୍କେତ ଅକ୍ଷମ କରିବା |
disconnect,ସଂଯୋଗ ବିଚ୍ଛିନ୍ନ କରନ୍ତୁ |
discrete,ବିଚ୍ଛିନ୍ନ
disk,ଡିସ୍କ
disk address,ଡିସ୍କ ଠିକଣା
disk array,ଡିସ୍କ ଆରେ
disk capacity,ଡିସ୍କ କ୍ଷମତା
disk drive,ଡିସ୍କ ଡ୍ରାଇଭ
disk file,ଡିସ୍କ ଫାଇଲ୍ |
disk memory,ଡିସ୍କ ମେମୋରୀ
disk operating system (DOS),ଡିସ୍କ ଅପରେଟିଂ ସିଷ୍ଟମ୍ (DOS)
disk pack,ଡିସ୍କ ପ୍ୟାକ୍ |
disk server,ଡିସ୍କ ସର୍ଭର |
disk storage,ଡିସ୍କ ସଂରକ୍ଷଣ
diskette,ଡିସ୍କେଟ୍ |
display file,ଫାଇଲ୍ ପ୍ରଦର୍ଶନ କରନ୍ତୁ |
display image,ପ୍ରତିଛବି ପ୍ରଦର୍ଶନ କରନ୍ତୁ |
disposal,ନିଷ୍କାସନ
distance,ଦୂରତା
distance function,ଦୂରତା କାର୍ଯ୍ୟ
distortion,ବିକୃତି
distributed,ବଣ୍ଟିତ |
distributed data,ବଣ୍ଟିତ ତଥ୍ୟ |
distributed server,ବଣ୍ଟିତ ସର୍ଭର |
distributed system,ବଣ୍ଟିତ ସିଷ୍ଟମ୍ |
distributive,ବଣ୍ଟନକାରୀ
document,ଡକ୍ୟୁମେଣ୍ଟ୍
document retrieved,ଡକ୍ୟୁମେଣ୍ଟ ପୁନରୁଦ୍ଧାର ହେଲା |
document window,ଡକ୍ୟୁମେଣ୍ଟ୍ ୱିଣ୍ଡୋ |
documentation,ଡକ୍ୟୁମେଣ୍ଟେସନ୍
domain,ଡୋମେନ୍
domain name,ଡୋମେନ୍ ନାମ
dot matrix printer,ଡଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ ପ୍ରିଣ୍ଟର୍ |
down,ତଳକୁ
down link,ଡାଉନ୍ ଲିଙ୍କ୍ |
down loading,ଡାଉନ୍ ଲୋଡିଙ୍ଗ୍ |
down time,ଡାଉନ୍ ଟାଇମ୍ |
dragging,ଡ୍ରାଗ୍
DRAM (dynamic RAM),DRAM (ଗତିଶୀଳ RAM)
drift,drift
driver,ଡ୍ରାଇଭର |
drop,ଡ୍ରପ୍
drop down list box,ତାଲିକା ବାକ୍ସ ଡ୍ରପ୍ କରନ୍ତୁ |
drum drive,ଡ୍ରମ୍ ଡ୍ରାଇଭ୍ |
drum printer,ଡ୍ରମ୍ ପ୍ରିଣ୍ଟର୍ |
drum unit,ଡ୍ରମ୍ ୟୁନିଟ୍ |
dual,ଡୁଆଲ୍ |
dual density,ଦ୍ୱ ual ତ ଘନତା |
dummy address,ଡମି ଠିକଣା
dump,ଡମ୍ପିଂ
duplex circuit,ଡୁପ୍ଲେକ୍ସ ସର୍କିଟ |
duplexing,ନକଲ
duplicate,ନକଲ
DVD R/W,DVD R / W
DVD ROM,DVD ROM
dynamic instruction,ଗତିଶୀଳ ନିର୍ଦ୍ଦେଶ
dynamic memory,ଗତିଶୀଳ ସ୍ମୃତି
dynamics,ଗତିଶୀଳତା |
EBCDIC,EBCDIC |
e-business,ଇ-ବ୍ୟବସାୟ |
echo,ଇକୋ
e-commerce,ଇ-ବାଣିଜ୍ୟ |
edit,ସମ୍ପାଦନ କରନ୍ତୁ |
editor,ସମ୍ପାଦକ
educational technology,ଶିକ୍ଷାଗତ ପ୍ରଯୁକ୍ତିବିଦ୍ୟା |
EEP rom,EEP ରୋମ୍
effective address (floating address),ପ୍ରଭାବଶାଳୀ ଠିକଣା (ଭାସମାନ ଠିକଣା)
effective operand address,ପ୍ରଭାବଶାଳୀ ଅପରେଣ୍ଡ୍ ଠିକଣା |
effective procedure,ପ୍ରଭାବଶାଳୀ ପ୍ରଣାଳୀ |
effective UID (user identification),ପ୍ରଭାବଶାଳୀ UID (ବ୍ୟବହାରକାରୀ ପରିଚୟ)
efffective transmission operand,ପ୍ରଭାବଶାଳୀ ଟ୍ରାନ୍ସମିସନ୍ ଅପରେଣ୍ଡ୍ |
eight-bit byte,ଆଠ-ବିଟ୍ ବାଇଟ୍ |
e-learning,ଇ-ଶିକ୍ଷା
election-algirthm,ନିର୍ବାଚନ-ଆଲଗିର୍ଥମ୍ |
electric mailing (e-mail),ଇଲେକ୍ଟ୍ରିକ୍ ମେଲିଂ (ଇ-ମେଲ୍)
electric printer,ଇଲେକ୍ଟ୍ରିକ୍ ପ୍ରିଣ୍ଟର୍
electrical accounting machine,ବ electrical ଦୁତିକ ଆକାଉଣ୍ଟିଂ ମେସିନ୍ |
electronic,ଇଲେକ୍ଟ୍ରୋନିକ୍ |
electronic clearance system (ECS),ଇଲେକ୍ଟ୍ରୋନିକ୍ କ୍ଲିୟରାନ୍ସ ସିଷ୍ଟମ୍ (ECS)
electronic data interchange (EDI),ଇଲେକ୍ଟ୍ରୋନିକ୍ ଡାଟା ଆଦାନ ପ୍ରଦାନ (EDI)
electronic data processing,ବ electronic ଦ୍ୟୁତିକ ତଥ୍ୟ ପ୍ରକ୍ରିୟାକରଣ |
electronic filing,ଇଲେକ୍ଟ୍ରୋନିକ୍ ଫାଇଲ୍
electronic funds transfer System (EFTS),ଇଲେକ୍ଟ୍ରୋନିକ୍ ପାଣ୍ଠି ସ୍ଥାନାନ୍ତର ସିଷ୍ଟମ୍ (EFTS)
electronic journals,ବ electronic ଦ୍ୟୁତିକ ପତ୍ରିକା
electronic publishing,ବ electronic ଦ୍ୟୁତିକ ପ୍ରକାଶନ |
electronic switch,ଇଲେକ୍ଟ୍ରୋନିକ୍ ସୁଇଚ୍ |
element,ଉପାଦାନ
e-mail,ଇ-ମେଲ୍ |
e-mail address,ଈମୈଲ ଠିକଣା
embedded system,ଏମ୍ବେଡ୍ ସିଷ୍ଟମ୍ |
embedding,ଏମ୍ବେଡିଂ
emitter couple logic (ECL),ନିର୍ଗତ ଦମ୍ପତି ତର୍କ (ECL)
empty stack,ଖାଲି ଷ୍ଟାକ |
empty string,ଖାଲି ଷ୍ଟ୍ରିଙ୍ଗ୍ |
emulation,ଅନୁକରଣ
encapsulation,ଏନକାପସୁଲେସନ୍ |
encipher,ଏନକାଇଫର୍
encode,ଏନକୋଡ୍
encoder,ଏନକୋଡର୍ |
encrepted data,ସଂଗୁପ୍ତ ତଥ୍ୟ
encripting file system,ଏନକ୍ରିପ୍ଟିଂ ଫାଇଲ୍ ସିଷ୍ଟମ୍ |
encryption,ଏନକ୍ରିପସନ୍
end of block,ବ୍ଲକର ଶେଷ
end of file (EOF),ଫାଇଲର ଶେଷ (EOF)
end-user,ଶେଷ-ଉପଭୋକ୍ତା |
enter,ପ୍ରବେଶ କର |
enter-key,ଏଣ୍ଟର୍-କି
enterprise server,ଏଣ୍ଟରପ୍ରାଇଜ୍ ସର୍ଭର |
enterprise system,ଏଣ୍ଟରପ୍ରାଇଜ୍ ସିଷ୍ଟମ୍ |
entity,ସଂସ୍ଥା
entity-relationship,ସଂସ୍ଥା-ସମ୍ପର୍କ |
entry time,ପ୍ରବେଶ ସମୟ
entry variable,ଏଣ୍ଟ୍ରି ଭେରିଏବଲ୍ |
enumerable,ଅସଂଖ୍ୟ |
environment,ପରିବେଶ
epoch,ଯୁଗ
EPROM,EPROM
epsilon closure,ଏପସିଲନ୍ ବନ୍ଦ |
equalizer,ସମାନତା
equipment,ଉପକରଣ
equivalence class,ସମାନତା ଶ୍ରେଣୀ
equivalence relation,ସମାନତା ସମ୍ପର୍କ
erase,ଲିଭାନ୍ତୁ
error correcting code,ତ୍ରୁଟି ସଂଶୋଧନ କୋଡ୍
error correction,ତ୍ରୁଟି ସଂଶୋଧନ
error detection,ତ୍ରୁଟି ଚିହ୍ନଟ
error handling,ତ୍ରୁଟି ନିୟନ୍ତ୍ରଣ
error message,ତ୍ରୁଟି ସନ୍ଦେଶ |
error rate,ତ୍ରୁଟି ହାର
error recovery,ତ୍ରୁଟି ପୁନରୁଦ୍ଧାର
error routine,ତ୍ରୁଟି ରୁଟିନ୍ |
escape character,ପଳାୟନ ଚରିତ୍ର |
ethernet,ଇଥରନେଟ୍ |
event,ଇଭେଣ୍ଟ
event chain,ଇଭେଣ୍ଟ ଶୃଙ୍ଖଳା |
event control,ଇଭେଣ୍ଟ ନିୟନ୍ତ୍ରଣ |
event counter,ଇଭେଣ୍ଟ କାଉଣ୍ଟର
exception handling,ବ୍ୟତିକ୍ରମ ନିୟନ୍ତ୍ରଣ |
exchangeable disk storage,ଅଦଳବଦଳ ଡିସ୍କ ସଂରକ୍ଷଣ ସ୍ଥାନ |
exclusion,ବହିଷ୍କାର
exclusive Or (XOR),ସ୍ୱତନ୍ତ୍ର କିମ୍ବା (XOR)
executable program,ଏକଜେକ୍ୟୁଟେବଲ୍ ପ୍ରୋଗ୍ରାମ୍
executive statement,କାର୍ଯ୍ୟନିର୍ବାହୀ ବିବୃତ୍ତି
exhaustive search,ସମ୍ପୁର୍ଣ୍ଣ ସନ୍ଧାନ |
exist,ବିଦ୍ୟମାନ ଅଛି |
exit,ପ୍ରସ୍ଥାନ
expert system,ବିଶେଷଜ୍ଞ ବ୍ୟବସ୍ଥା |
expression,ଅଭିବ୍ୟକ୍ତି
extended graphic array (XGA),ବିସ୍ତୃତ ଗ୍ରାଫିକ୍ ଆରେ (XGA)
extended industry standard (EIS),ବିସ୍ତାରିତ ଶିଳ୍ପ ମାନକ (EIS)
extended machine,ବିସ୍ତୃତ ଯନ୍ତ୍ର
extended memory,ବିସ୍ତୃତ ସ୍ମୃତି
extended precision,ବିସ୍ତୃତ ସଠିକତା |
extended sorting,ବିସ୍ତୃତ ସର୍ଟିଂ
external call,ବାହ୍ୟ କଲ୍
external error,ବାହ୍ୟ ତ୍ରୁଟି |
external function,ବାହ୍ୟ କାର୍ଯ୍ୟ
external interrupt,ବାହ୍ୟ ବାଧା
external memory,ବାହ୍ୟ ସ୍ମୃତି
external memory,ବାହ୍ୟ ସ୍ମୃତି
external modem,ବାହ୍ୟ ମୋଡେମ୍ |
external reference,ବାହ୍ୟ ସନ୍ଦର୍ଭ
external searching,ବାହ୍ୟ ସନ୍ଧାନ |
external storage device,ବାହ୍ୟ ସଂରକ୍ଷଣ ଉପକରଣ
extraction,ନିଷ୍କାସନ
extrapolation,ବହିଷ୍କାର
face-character printer,ଚେହେରା-ଅକ୍ଷର ପ୍ରିଣ୍ଟର୍ |
fail-safe operation,ବିଫଳ-ନିରାପଦ କାର୍ଯ୍ୟ
failure rate,ବିଫଳତା ହାର
failure recovery,ବିଫଳତା ପୁନରୁଦ୍ଧାର
false code,ମିଥ୍ୟା କୋଡ୍
false error,ମିଥ୍ୟା ତ୍ରୁଟି |
fan-in,ପ୍ରଶଂସକ
fan-out,ପ୍ରଶଂସକ
fascimile I/O device,ଆକର୍ଷଣୀୟ I / O ଉପକରଣ |
fast fourier transform (FFT),ଦ୍ରୁତ ଫୁରିଅର୍ ଟ୍ରାନ୍ସଫର୍ମ (FFT)
fatal error,ସାଂଘାତିକ ତ୍ରୁଟି |
fault detection,ତ୍ରୁଟି ଚିହ୍ନଟ
fault diagnosis,ତ୍ରୁଟି ନିଦାନ
fault tolerance,ଦୋଷ ସହନଶୀଳତା |
fax,ଫ୍ୟାକ୍ସ
fax message,ଫ୍ୟାକ୍ସ ବାର୍ତ୍ତା |
FDC,FDC
feature detection,ବ feature ଶିଷ୍ଟ୍ୟ ଚିହ୍ନଟ
feed cycle,ଫିଡ୍ ଚକ୍ର |
feedback,ମତାମତ
feeder,ଫିଡର୍ |
fetch,ଆଣ |
fibonacci search,ଫାଇବୋନାକ୍ସି ସନ୍ଧାନ |
fibonacci sequence,ଫାଇବୋନାକ୍ସି କ୍ରମ |
fibonacci series,ଫାଇବୋନାକ୍ସି ସିରିଜ୍ |
fibre optics,ଫାଇବର ଅପ୍ଟିକ୍ସ |
fido net,ଫିଡୋ ନେଟ୍ |
field,କ୍ଷେତ୍ର
fifth generation computers,ପଞ୍ଚମ ପି generation ଼ିର କମ୍ପ୍ୟୁଟରଗୁଡିକ |
file,ଫାଇଲ୍ |
