English,Telugu
Dobson unit,డాబ్సన్ యూనిట్
Dogfish,డాగ్‌ఫిష్
Doliolum,డోలియోలం
Dolphin (mammal),డాల్ఫిన్
Domestic animal,దేశీయ జంతువు
Domesticated animal,పెంపుడు జంతువు
Domesticated plant,పెంపుడు మొక్క
Domestication,పెంపకం
Domestication,పెంపకం
Dominant gene,ఆధిపత్య జన్యువు
Dominant unit factor,ఆధిపత్య యూనిట్ కారకం
Donnan equilibrium,డోన్నన్ సమతౌల్యం
Donor cell,దాత సెల్
Doppler effect,డాప్లర్ ప్రభావం
Dorsal inner surface,డోర్సల్ లోపలి ఉపరితలం
Dorsal nerve cord,డోర్సల్ నరాల త్రాడు
Dormancy,నిద్రాణస్థితి
Dorsal fin,డోర్సల్ ఫిన్
Dorsal hollow nervous system,ప్రశంసక వ్యవస్థ
Dorsal nostril,డోర్సల్ నాసికా రంధ్రం
Dorsal root ganglion,డోర్సల్ రూట్ గ్యాంగ్లియన్
Dorsal surface,డోర్సల్ ఉపరితలం
Dorsal visceral hump,డోర్సల్ విసెరల్ హంప్
Dorsiventral leaf,డోర్సివెంట్రల్ ఆకు
Double bond,డబుల్ బాండ్
Double coconut,డబుల్ కొబ్బరి
Double helix,డబుల్ హెలిక్స్
Double stranded structure,డబుల్ స్ట్రాండెడ్ స్ట్రక్చర్
Downstream,దిగువ
Downstream processing,దిగువ ప్రాసెసింగ్
Down syndrome,డౌన్ సిండ్రోమ్
Dracaena,డ్రాకేనా
Draco,డ్రాకో
Dragon fly,డ్రాగన్ ఫ్లై
Droplet,బిందువు
Dropsy,డ్రాప్సీ
Drosophila melanogaster,డ్రోసోఫిలా మెలనోగాస్టర్
Drought,కరువు
Drought resistant grass,కరువు నిరోధక గడ్డి
Drug,డ్రగ్
Drug,డ్రగ్
Drug abuse,మందుల దుర్వినియోగం
Drum stick,డ్రమ్ స్టిక్
Drupe,Drupe
Dry biomass,పొడి బయోమాస్
Dry deposition,పొడి నిక్షేపణ
Dryopithecus,డ్రైయోపిథెకస్
Dryopteris,డ్రైయోప్టెరిస్
Ductule efferent,డక్టిల్ ఎఫెరెంట్
Ductus arteriosus,డక్టస్ ఆర్టెరియోసస్
Ductus epididymus,డక్టస్ ఎపిడిడిమస్
Duodenum,డుయోడెనమ్
Duplication,నకిలీ
Duramater,దురామాటర్
Duramen,దురామెన్
Duranta,డురాంటా
Dust pollution,దుమ్ము కాలుష్యం
Dwarf,మరగుజ్జు
Dwarfness,మరుగుజ్జు
Dwarf-stem plant,మరగుజ్జు-కాండం ప్లాంట్
Dynein,డైనిన్
Digit,అంకె
Eagle,ఈగిల్
Ear ossicle,చెవి ఒస్సికల్
Earcockle,ఇయర్‌కాకిల్
Earliest life,ప్రారంభ జీవితం
Early wood,ప్రారంభ కలప
Earmuff,EARMUFF
Earth summit,ఎర్త్ సమ్మిట్
Eating and being eaten,తినడం మరియు తినడం
Earth,భూమి
Earth,భూమి
Ebenales,ఎబెనల్స్
Ebracteate,Ebracteate
Echeneis,ఎచెనిస్
Echinococcus,ఎచినోకాకస్
Echolocation,ప్రతిధ్వని
Eclipta alba,ఎక్లిప్టా ఆల్బా
Ecological adaptation,పర్యావరణ అనుసరణ
Ecological efficiency,పర్యావరణ సామర్థ్యం
Ecological interdependence,పర్యావరణ పరస్పర ఆధారపడటం
Ecological pyramid,ఎకోలాజికల్ పిరమిడ్
Ecological sanitation,పర్యావరణ పారిశుధ్యం
Ecological succession,పర్యావరణ వారసత్వం
Ecological sustainability,పర్యావరణ సుస్థిరత
Ecologist,పర్యావరణ శాస్త్రవేత్త
Ecology,ఎకాలజీ
Ecology and environment,ఎకాలజీ అండ్ ఎన్విరాన్మెంట్
Ecosan toilet,ఎకోసాన్ టాయిలెట్
Ecosystem,పర్యావరణ వ్యవస్థ
Ecosystem diversity,పర్యావరణ వ్యవస్థ వైవిధ్యం
Ecosystem process,పర్యావరణ వ్యవస్థ ప్రక్రియ
Ecosystem service,పర్యావరణ వ్యవస్థ సేవ
Ecotone,ఎకోటోన్
Ecotourism,పర్యావరణ పర్యాటకం
Ecotype,ఎకోటైప్
ECP gradient,ECP ప్రవణత
Ectocarpus,ఎక్టోకార్పస్
Ectoderm,ఎక్టోడెర్మ్
Ectomycorrhizae,ఎక్టోమైకోరైజా
Ectoparasite,ఎక్టోపరాసైట్
Ectopic pregnancy,ఎక్టోపిక్ గర్భం
Ectotherm,ఎక్టోథెర్మ్
Ectothermic,ఎక్టోథెర్మిక్
Edge effect,అంచు ప్రభావం
Edge species,అంచు జాతులు
Effective stroke,ప్రభావవంతమైన స్ట్రోక్
Effector,ఎఫెక్టర్
Effector,ఎఫెక్టర్
Efferent,ఎఫెరెంట్
Efferent arteriole,ఎఫెరెంట్ ఆర్టెరియోల్
Efficiency index,సమర్థత సూచిక
Effluent,ప్రసరించే
Effluent treatment plant (ETP),ప్రసరించే చికిత్సా ప్లాంట్ (ఇటిపి)
Efflux,ప్రవాహం
Egested,Egsted
Egg,గుడ్డు
Egg apparatus,గుడ్డు ఉపకరణం
Ego centrism,అహం సెంట్రిజం
Eicchornia crassipes,ఐకార్నియా క్రాసిప్స్
Ejaculatory duct,స్ఖలనం వాహిక
El nino effect,ఎల్ నినో ప్రభావం
Elaioplast,ఎలియోప్లాస్ట్
Elasmobranch,ఎలాస్మోబ్రాంచ్
Elastic fibre,సాగే ఫైబర్
Elastic force,సాగే శక్తి
Elasticity,స్థితిస్థాపకత
Elastin,ఎలాస్టిన్
Elater,ఎలాటర్
Electric field,ఎలక్ట్రిక్ ఫీల్డ్
Electric illuminator,ఎలక్ట్రిక్ ఇల్యూమినేటర్
Electric organ,ఎలక్ట్రిక్ ఆర్గాన్
Electrical discharge,విద్యుత్ ఉత్సర్గ
Electrical potential difference,విద్యుత్ సంభావ్య వ్యత్యాసం
Electrical synapse,ఎలక్ట్రికల్ సినాప్సే
Electrocardiogram (ECG),గుండె కంపన (ఇజిజిజి
Electrocardiograph,ఎలక్ట్రో కార్డియోగ్రాఫ్
Electrocardiography,ఎలక్ట్రో కార్డియోగ్రఫీ
Electrochemical proton gradiant,ఎలక్ట్రోకెమికల్ ప్రోటాన్ గ్రేడియంట్
Electroencephalogram,ఎలెక్ట్రోఎన్సెఫలోగ్రామ్
Electroencephalography,ఎలెక్ట్రోఎన్సెఫలోగ్రఫీ
Electrogenic,ఎలక్ట్రోజెనిక్
Electromagnetic lense,విద్యుదయస్కాంత లెన్స్
Electromagnetic radiation,విద్యుదయస్కాంత వికిరణం
Electromagnetic theory,విద్యుదయస్కాంత సిద్ధాంతం
Electron acceptor,ఎలక్ట్రాన్ అంగీకారం
Electron bombardment,ఎలక్ట్రాన్ బాంబు దాడులు
Electron deficient,ఎలక్ట్రాన్ లోపం
Electron donor,ఎలక్ట్రాన్ దాత
Electron microscope,ఎలక్ట్రాన్ మైక్రోస్కోప్
Electron transparency,ఎలక్ట్రాన్ పారదర్శకత
Electron transport chain,ఎలక్ట్రాన్ రవాణా గొలుసు
Electron transport system,ఎలక్ట్రాన్ రవాణా వ్యవస్థ
Electronegative,ఎలెక్ట్రోనెగేటివ్
Electronegative atom,ఎలెక్ట్రోనెగేటివ్ అణువు
Electronic waste,ఎలక్ట్రానిక్ వ్యర్థాలు
Electrophoresis,ఎలెక్ట్రోఫోరేసిస్
Electroporation,ఎలెక్ట్రోపోరేషన్
Electrostatic precipitator,ఎలెక్ట్రోస్టాటిక్ ప్రెసిపిటేటర్
Element,మూలకం
Element,మూలకం
Elephas,ఎలిఫాస్
Ellipsoid strip,ఎలిప్సోయిడ్ స్ట్రిప్
Ellipsoidal joint,దీర్ఘవృత్తాకార ఉమ్మడి
Elongated heart,పొడుగుచేసిన హృదయం
Elongation factor,పొడుగు కారకం
Elphidium,ఎల్ఫిడియం
Elution,ఎలుషన్
Emarginate,Emarginate
Emasculation,ఎమాస్క్యులేషన్
Embryo culture,పిండ సంస్కృతి
Embryo development,పిండం అభివృద్ధి
Embryo rescue,పిండం రెస్క్యూ
Embryo,పిండం
Embryo sac,పిండం శాక్
Embryological research,పిండ పరిశోధన
Embryology,పిండశాస్త్రం
Embryonic blastopore,పిండం బ్లాస్టోపోర్
Embryonic development,పిండం అభివృద్ధి
Embryonic mortality,పిండ మరణాలు
Emergent hydrophyte,ఎమర్జెంట్ హైడ్రోఫైట్
Emigration,వలస
Emilia sonchifolia,ఎమిలియా సోంచిఫోలియా
Emotional turbulence,భావోద్వేగ అల్లకల్లోలం
Empetraceae,Empetraceae
Emphysema,ఎంఫిసెమా
Empirical formula,అనుభావిక సూత్రం
Emu,ఎము
Emulsifying,ఎమల్సిఫైయింగ్
Enaima,ఎనిమా
Enamel,ఎనామెల్
Encoded enzyme,ఎన్కోడ్ చేసిన ఎంజైమ్
Encystation,ఎన్సిస్టేషన్
End wall,ఎండ్ వాల్
Endangered,అంతరించిపోతారు
Endemic,స్థానిక
Endemism,ఎండెమిజం
Endergonic reaction,ఎండర్గోనిక్ ప్రతిచర్య
Endocarp,ఎండోకార్ప్
Endocrine system,ఎండోక్రైన్ వ్యవస్థ
Endocytosis,ఎండోసైటోసిస్
Endoderm,ఎండోడెర్మ్
Endolymph,ఎండోలింప్
Endometrium,ఎండోమెట్రియం
Endomycorrhizae,ఎండోమైకోరైజా
Endonuclease recognition site,ఎండోన్యూకలీస్ రికగ్నిషన్ సైట్
Endoplasmic reticulum,ఎండోప్లాస్మిక్ రెటిక్యులం
Endoscope,ఎండోస్కోప్
Endoscopy,ఎండోస్కోపీ
Endoskeleton,ఎండోస్కెలిటన్
Endosome,ఎండోసోమ్
Endosperm,ఎండోస్పెర్మ్
Endospermic,ఎండోస్పెర్మిక్
Endothelial lining,ఎండోథెలియల్ లైనింగ్
Endothelium,ఎండోథెలియం
Endotherm (eomoiotherm),ఎముక లోపలి భాగము
Endothermic,ఎండోథెర్మిక్
Endothermic,ఎండోథెర్మిక్
Endotoxin,ఎండోటాక్సిన్
End sac,ఎండ్ శాక్
Endoplasmic,ఎండోప్లాస్మిక్
Endrocrine system,ఎండ్రోక్రిన్ వ్యవస్థ
Energy assimilated,శక్తి సమీకరించబడింది
Energy flow model,శక్తి ప్రవాహ నమూనా
Energy plantation,శక్తి తోట
Energy plantation,శక్తి తోట
Energy source,శక్తి వనరు
Engineering,ఇంజనీరింగ్
Entamoeba histolytica,ఎంటామోబా హిస్టోలిటికా
Enterobius,ఎంటర్‌బియస్
Enterocyte,ఎంటెర్టోసైట్
Enteron,Enteron
Enthalpy,ఎంథాల్పీ
Entomophilous,ఎంటోమోఫిలస్
Entomophily,ఎంటోమోఫిలీ
Entropy,ఎంట్రోపీ
Environment,పర్యావరణం
Environmental condition,పర్యావరణ పరిస్థితి
Environmental ethics,పర్యావరణ నీతి
Environmental factor,పర్యావరణ కారకం
Environmental influence,పర్యావరణ ప్రభావం
Environmental management,పర్యావరణ నిర్వహణ
Environmental planning and coordination,పర్యావరణ ప్రణాళిక మరియు సమన్వయం
Environmental resistance,పర్యావరణ నిరోధకత
Enzymatic content,ఎంజైమాటిక్ కంటెంట్
Enzyme,ఎంజైమ్
Enzyme system,ఎంజైమ్ వ్యవస్థ
Enzyme-linked,ఎంజైమ్-లింక్డ్
Eocene,ఈయోసిన్
Eosinophil,ఇసినోఫిల్
Ephedra,ఎఫెడ్రా
Ephemeral annual herb,ఎఫెమెరల్ వార్షిక హెర్బ్
Ephemeral,అశాశ్వతమైన
Epicalyx,ఎపికాలిక్స్
Epicarp,ఎపికార్ప్
Epidermal cell,ఎపిడెర్మల్ సెల్
Epidermis,బాహ్యచర్మం
Epidermophyton,ఎపిడెర్మోఫైటన్
Epididymis,ఎపిడిడిమిస్
Epigynae,ఎపిజినే
Epigynous,ఎపిజైనస్
Epilepsy,మూర్ఛ
Epilimnion,ఎపిలిమ్నియన్
Epimorphosis,ఎపిమోర్ఫోసిస్
Epinephrine,ఎపినెఫ్రిన్
Epineurium,ఎపినూరియం
Epipetalous,ఎపిపెటాలస్
Epiphysis,ఎపిఫిసిస్
Epiphyte,ఎపిఫైట్
Episodic depression,ఎపిసోడిక్ డిప్రెషన్
Epistasis,ఎపిస్టాసిస్
Epistasis,ఎపిస్టాసిస్
Epithelial tissue,"చర్మ సంబంధమైన పొరలు, కణజాలం"
Epoch,ఎబోచ్
Epulopscium fishesoni,ఎపులోప్స్సియం ఫిషసోని
Equatorial plate,ఈక్వటోరియల్ ప్లేట్
Equilibrium,సమతౌల్య
Equilibrium sedimentation,సమతౌల్య అవక్షేపణ
Equisetum,ఈక్విసెటమ్
Equus,ఈక్వస్
Era,ERA
Ergosterol,ఎర్గోస్టెరాల్
Ericales,ఎరికేల్స్
Erosion,ఎరోషన్
Erucic acid,ఎరుసిక్ ఆమ్లం
Erythrina,ఎరిథ్రినా
Erythrocyte (RBC),ఎర్ర రక్త కణములు
Erythrocytic,ఎరిథ్రోసైటిక్
Erythropoietic factor,ఎరిథ్రోపోయిటిక్ కారకం
Erythropoietin,ఎరిథ్రోపోయిటిన్
Erythroxylum coca,ఎరిథ్రోక్సిలమ్ కోకా
Escherichia coli,ఎస్చెరిచియా కోలి
Essential oil,ముఖ్యమైన నూనె
Ester bond,ఈస్టర్ బాండ్
Estrogen,ఈస్ట్రోజెన్
Estrogen replacement therapy,ఈస్ట్రోజెన్ రీప్లేస్‌మెంట్ థెరపీ
Estuary,నదివాయి
Etaerio,ఎటిరియో
Ethanol,ఇథనాల్
Ether,ఈథర్
Ethidium bromide,ఇథిడియం బ్రోమైడ్
Ethology,ఎథాలజీ
Ethology,ఎథాలజీ
Ethylene,ఇథిలీన్
Ethylmethane sulphonate,ఇథైల్మెథేన్ సల్ఫోనేట్
Etiolation,ఎటిలేషన్
Eubacteria,యుబాక్టీరియా
Eubacteria cell,యుబాక్టీరియా సెల్
Euchromatin,యూక్రోమాటిన్
Euglena,యూగ్లెనా
Euglenoid,యూగ్లెనాయిడ్
Eukaryote (eucaryote),యూకారియోట్
Eukaryotic cell,యూకారియోటిక్ సెల్
Eukaryotic species,యూకారియోటిక్ జాతులు
Eumetazoa,యుమెటాజోవా
Eumitosis,యుమిటోసిస్
Eunuchoidism,నపుంసోయిడిజం
Eupagurus,యుపాగరస్
Euphorbia,యుఫోర్బియా
Euphorbiaceae,యుఫోర్బియాసి
Euplectella,యూప్లెక్టెల్లా
Euryhaline,యూరిహాలిన్
Eurythermal,యూరిథర్మల్
Euspongia,Euspongia
Eustachian tube,యూస్టాచియన్ ట్యూబ్
Eutrophic water body,యూట్రోఫిక్ నీటి శరీరం
Eutrophication,యూట్రోఫికేషన్
Eutrophication,యూట్రోఫికేషన్
Evacuated,ఖాళీ చేయబడింది
Evaluated,మూల్యాంకనం
Evaporation,బాష్పీభవనం
Evening primrose,సాయంత్రం ప్రింరోస్
Evergreen tropical rain forest,సతత హరిత ఉష్ణమండల రెయిన్ ఫారెస్ట్
Evolution,పరిణామం
Evolution of life,జీవిత పరిణామం
Evolutionary agent,పరిణామ ఏజెంట్
Evolutionary biology,పరిణామ జీవశాస్త్రం
Evolutionary process,పరిణామ ప్రక్రియ
Evolutionary sequence,పరిణామ క్రమం
Evolutionary species,పరిణామ జాతులు
Evolutionary taxonomist,పరిణామ వర్గీకరణ శాస్త్రవేత్త
Evolutionary trend,పరిణామ ధోరణి
Exalbuminous,ఎక్సల్బుమినస్
Excessive growth,అధిక పెరుగుదల
Excessive sleeping,అధిక నిద్ర
Excitability,ఎక్సైటిబిలిటీ
Excretion,విసర్జన
Excretory genital duct,విసర్జన జననేంద్రియ వాహిక
Excretory lactiferous duct,విసర్జన లాక్టరస్ డక్ట్
Excretory pore,విసర్జన రంధ్రం
Excretory tubule,విసర్జన గొట్టం
Exergonic reaction,ఎక్సెర్గోనిక్ రియాక్షన్
Exhaustible resources,అలసిపోయే వనరులు
Exobiology,ఎక్సోబయాలజీ
Exocoetus,ఎక్సోకోటస్
Exocrine gland,ఎక్సోక్రైన్ గ్రంథి
Exocytosis,ఎక్సోసైటోసిస్
Exogenous,ఎక్సోజనస్
Exogenous budding,ఎక్సోజనస్ మొగ్గ
Exonuclease,ఎక్సోన్యూకలీస్
Exoprasite,ఎక్సోప్రాసిట్
Exoplasm,ఎక్సోప్లాజమ్
Exoskeleton,ఎక్సోస్కెలిటన్
Exotic species,అన్యదేశ జాతులు
Expansin,విస్తరణ
Experiment,ప్రయోగం
Explant,వివరణ
Exponentially,ఘాతాంకంగా
Expressed sequence tag (EST),వ్యక్తీకరించిన సీక్వెన్స్ ట్యాగ్ (EST)
Extensibility,పొడిగింపు
External ear,బాహ్య చెవి
External fertilization,బాహ్య ఫలదీకరణం
External stimulus,బాహ్య ఉద్దీపన
Extinction,విలుప్తత
Extinction of species,జాతుల విలుప్తత
Extra-abdominal testes,అదనపు-ఉదర వృషణాలు
Extracellular digestion,ఎక్స్‌ట్రాసెల్యులర్ జీర్ణక్రియ
Extracellular fluid,ఎక్స్‌ట్రాసెల్యులర్ ఫ్లూయిడ్
Extracellular material,ఎక్స్‌ట్రాసెల్యులర్ పదార్థం
Extracellular matrix,ఎక్స్‌ట్రాసెల్యులర్ మాతృక
Extraction,వెలికితీత
Extraembryonic membrane,ఎక్స్‌ట్రాఎంబ్రియోనిక్ పొర
Extraterrestrial origin,గ్రహాంతర మూలం
Extreme desert,విపరీతమైన ఎడారి
Extrinsic protein,బాహ్య ప్రోటీన్
Extroception,ఎక్స్‌ట్రాసెప్షన్
Extrorse,ఎక్స్‌ట్రాస్
Exuding (gummy) substance,వెక్కిరిగే పదార్ధం
Eye inflammation,కంటి మంట
Eye lens,కంటి లెన్స్
Eye piece,కంటి ముక్క
Eyelid,కనురెప్ప
Excretory tubule,విసర్జన గొట్టం
Fabaceae,ఫాబాసీ
Fabaceous,ఫాబసియస్
Facet,ముఖభాగం
Facial bone,ముఖ ఎముక
Facilitated diffusion,సులభతరం చేసిన వ్యాప్తి
Facultative parasite,అధ్యాపక పరాన్నజీవి
Faecal matter,మల పదార్థం
Faecal pellet,మల గుళిక
Falcon,ఫాల్కన్
Fallopian tube,అండాశయమునుండి గర్భకోశమునకు గల నాళమార్గము
False fruit,తప్పుడు పండు
False septum,తప్పుడు సెప్టం
Family,కుటుంబం
Fascia,ఫాసియా
Fascicle,ఫాసికిల్
Fascicular,ఫాసిక్యులర్
Fascicule,ఫాసిక్యూల్
Fasciola,ఫాసియోలా
Fat soluble vitamin,కొవ్వు కరిగే విటమిన్
Fatty acid,కొవ్వు ఆమ్లం
Faulty copy,తప్పు కాపీ
Fauna,జంతుజాలం
Favourable environmental condition,అనుకూలమైన పర్యావరణ పరిస్థితి
Feather,ఈక
Feather star,ఈక నక్షత్రం
Feathery stigma,ఈక కళంకం
Feedback,అభిప్రాయం
Feedback inhibition,అభిప్రాయ నిరోధం
Feedback mechanism,అభిప్రాయ విధానం
Feeding,దాణా
Feeler,ఫీలర్
Felis,ఫెలిస్
Female cone,ఆడ కోన్
Female pronucleus,ఆడ ప్రోన్యూక్లియస్
Femur,తొడ
Fermentation,కిణ్వ ప్రక్రియ
Fern,ఫెర్న్
Ferredoxin,ఫెర్రెడాక్సిన్
Fertile hybrid,సారవంతమైన హైబ్రిడ్
Fertile,సారవంతమైన
Fertile,సారవంతమైన
Fertile,సారవంతమైన
Fertilin,ఫెర్టిలిన్
Fertility,సంతానోత్పత్తి
Fertility,సంతానోత్పత్తి
Fertilization,ఫలదీకరణం
Fertilization,ఫలదీకరణం
Fertilizer,ఎరువులు
Fibrillation,ఫైబ్రిలేషన్
Fibroblast growth factor (FGFs),ఫైబోబ్లాస్ట్ గ్రోత్ కారకం (FGFS)
Fibroblast,ఫైబ్రోబ్లాస్ట్
Fibrocartilage,ఫైబ్రోకార్టిలేజ్
Fibrinogen,ఫైబ్రినోజెన్
Fibrous root system,ఫైబరస్ రూట్ సిస్టమ్
Fibrous,ఫైబరస్
Fibula,ఫైబులా
Ficus,ఫికస్
Ficus heterophylla,ఫికస్ హెటెరోఫిల్లా
Ficus religiosa (pipal),మలము
Field capacity,క్షేత్ర సామర్థ్యం
Field notebook,ఫీల్డ్ నోట్బుక్
Field number,ఫీల్డ్ సంఖ్య
Filament hook,ఫిలమెంట్ హుక్
Filament,ఫిలమెంట్
Filamentous,ఫిలమెంటస్
Filamentous type,ఫిలమెంటస్ రకం
Filaria worm,ఫిలారియా వార్మ్
Filiform antenna,ఫిలిఫార్మ్ యాంటెన్నా
Filter feeding,ఫిల్టర్ ఫీడింగ్
Filtration slit,వడపోత చీలిక
Fin,ఫిన్
Fine adjustment knob,చక్కటి సర్దుబాటు నాబ్
Fine sand,చక్కటి ఇసుక
Fingerprinting,వేలిముద్ర
First law of thermodynamics,థర్మోడైనమిక్స్ యొక్క మొదటి చట్టం
Fish ghee,ఫిష్ నెయ్యి
Fish oil,చేప నూనె
Fish processing industry,చేపల ప్రాసెసింగ్ పరిశ్రమ
Fish protein,చేపల ప్రోటీన్
Fishery,మత్స్య సంపద
Fission,విచ్ఛిత్తి
Fissure (large groove),పెద్ద గాడి
Fistular,ఫిస్టులర్
Five digits (pentadactyl),ఐదు అంకెలు (పెంటాడాక్టిల్)
Five kingdom classification,ఐదు రాజ్య వర్గీకరణ
Fix gene cluster,జన్యు క్లస్టర్‌ను పరిష్కరించండి
Fixative,ఫిక్సేటివ్
Fixed or immovable,స్థిర లేదా స్థిరమైన
Fixed source,స్థిర మూలం
Fixing agent,ఫిక్సింగ్ ఏజెంట్
Fixing microbe,సూక్ష్మజీవిని పరిష్కరించడం
Flaccid,పొరపాటు
Flagella,ఫ్లాగెల్లా
Flagellate,ఫ్లాగెలేట్
Flagellated,ఫ్లాగెలేటెడ్
Flagellin,ఫ్లాగెల్లిన్
Flagellum,ఫ్లాగెల్లమ్
Flame bulb,జ్వాల బల్బ్
Flame cell,జ్వాల సెల్
Flamingo,ఫ్లెమింగో
Flat bean,ఫ్లాట్ బీన్
Flat epithelial cell,ఫ్లాట్ ఎపిథీలియల్ సెల్
Flat worm,ఫ్లాట్ పురుగు
Flattened bone,చదునైన ఎముక
Flavin adenine dinucleotide,ఫ్లావిన్ అడెనిన్ డైన్యూక్లియోటైడ్
Fleshy fruit,కండకలిగిన పండు
Flimmer filament,ఫ్లిమ్మర్ ఫిలమెంట్
Flipper,ఫ్లిప్పర్
Floating rib,తేలియాడే పక్కటెముక
Flocs,ఫ్లోక్స్
Flora,ఫ్లోరా
Floral morphology,పూల పదనిర్మాణం
Floral structure,పూల నిర్మాణం
Floral whorl,పూల వోర్ల్
Florigen,ఫ్లోరిజెన్
Flow cytometry,ఫ్లో సైటోమెట్రీ
Flower bud,పూల మొగ్గ
Flowering plant,పుష్పించే మొక్క
Fluid feeder,ద్రవ ఫీడర్
Fluid mosaic model,ద్రవ మొజాయిక్ మోడల్
Fluorescence microscopy,ఫ్లోరోసెన్స్ మైక్రోస్కోపీ
Fluorescent dye,ఫ్లోరోసెంట్ డై
Fluorescent screen,ఫ్లోరోసెంట్ స్క్రీన్
Fluorine,ఫ్లోరిన్
Fluorochrome,ఫ్లోరోక్రోమ్
Fluorochrome dye,ఫ్లోరోక్రోమ్ డై
Flux,ఫ్లక్స్
Fly ash,ఫ్లై యాష్
Flying-frog,ఫ్లయింగ్-ఫ్రాగ్
Flying fish,ఎగిరే చేప
Flying lizard,ఫ్లయింగ్ బల్లి
Flying phalanger,ఫ్లయింగ్ ఫలాంజర్
Flying squirrel,ఫ్లయింగ్ స్క్విరెల్
Focus,దృష్టి
Focussing aparatus,ఫోకస్ చేసే అపరాటస్
Fodder,పశుగ్రాసం
Foetal ejection reflex,పిండం ఎజెక్షన్ రిఫ్లెక్స్
Foetus (fetus),కోడి
Foliage,ఆకులు
Foliar root,ఆకుల రూట్
Folic acid,ఫోలిక్ ఆమ్లం
Follicle,ఫోలికల్
Follicle,ఫోలికల్
Follicle stimulating hormone (FSH),ఫోలికల్ స్టిమ్యులేటింగ్ హార్మోన్ (FSH)
Follicular atresia,ఫోలిక్యులర్ అట్రేసియా
Food chain,ఆహార ప్రక్రియ పరిణామక్రమం
Food conducting element,ఫుడ్ కండక్టింగ్ ఎలిమెంట్
Food poisoning,విష ఆహారము
Food pyramid,ఫుడ్ పిరమిడ్
Food vacuole,ఆహార వాక్యూల్
Food web,ఫుడ్ వెబ్
Foramen magnum,ఫోరమెన్ మాగ్నమ్
Foramen ovale,ఫోరమెన్ ఓవాలే
Foraminiferan,ఫోరామినిఫరాన్
Force of adhesion,సంశ్లేషణ శక్తి
Foreign DNA,విదేశీ DNA
Forelimb,ఫోర్లిమ్బ్
Forensic science,ఫోరెన్సిక్ సైన్స్
Foreskin,ఫోర్‌స్కిన్
Foreskin,ఫోర్‌స్కిన్
Forest,అటవీ
Forest community,అటవీ సంఘం
Forest tract,అటవీ మార్గాలు
Forestry,అటవీ
Formative phase,నిర్మాణాత్మక దశ
Fossa ovalis,ఫోసా ఓవలిస్
Fossil,శిలాజ
Fossilised,శిలాజ
Foster mother,పెంపుడు తల్లి
Founder effect,వ్యవస్థాపక ప్రభావం
Founder,వ్యవస్థాపకుడు
Four-o-clock (mirabilis jalapa),నాలుగు-ఓ-క్లాక్ (మిరాబిలిస్ జలపా)
Fovea,ఫోవియా
Fowl,కోడి
Fragility,పెళుసుదనం
Fragmentation,ఫ్రాగ్మెంటేషన్
Fragrant,సువాసన
Frame-shift mutation,ఫ్రేమ్-షిఫ్ట్ మ్యుటేషన్
Frankia,ఫ్రాంకియా
Free energy,ఉచిత శక్తి
Free floating,ఉచిత ఫ్లోటింగ్
Free living microbe,ఉచిత జీవన సూక్ష్మజీవి
Free-central,స్వేచ్ఛా-కేంద్రం
Free-living,స్వేచ్ఛా-జీవన
Freeze-etching technique,ఫ్రీజ్-ఎచింగ్ టెక్నిక్
Frond,ఫ్రాండ్
Frontal lobe,ఫ్రంటల్ లోబ్
Frozen state,ఘనీభవించిన రాష్ట్రం
Frugivore,పొదుపు
Fruit borer,ఫ్రూట్ బోరర్
Fruit follicle,పండు ఫోలికల్
Fruiting body,ఫలాలు కదిలించే శరీరం
Fruitlet,ఫ్రూట్లెట్
Fucoxanthin,ఫ్యూకోక్సంతిన్
Fuel material,ఇంధన పదార్థం
Funaria,ఫ్యూనారియా
Function,ఫంక్షన్
Functional residual capacity,ఫంక్షనల్ అవశేష సామర్థ్యం
Functional unit,ఫంక్షనల్ యూనిట్
Fundus,ఫండస్
Fungal disease,ఫంగల్ డిసీజ్
Fungal form,ఫంగల్ రూపం
Fungal hypha,ఫంగల్ హైఫా
Fungal mycelium,ఫంగల్ మైసిలియం
Fungi,శిలీంధ్రాలు
Fungicide,శిలీంద్ర సంహారిణి
Fungivorous,శిలీంధ్ర
Funicle,ఫండికిల్
Fur,బొచ్చు
Furrow,బొచ్చు
Fusarium udum,ఫ్యూసేరియం ఉడమ్
Fusarium wilt,ఫ్యూసేరియం విల్ట్
Fused sacral vertebra,ఫ్యూజ్డ్ సక్రాల్ వెన్నుపూస
Fusiform root,ఫ్యూసిఫార్మ్ రూట్
Fusion,ఫ్యూజన్
Fusion,ఫ్యూజన్
Galactan,గెలాక్టన్
Galacto uronic acid,గెలాక్టో యురోనిక్ ఆమ్లం
Galaxy,గెలాక్సీ
Gall wasp,పిత్తాశయం కందిరీగ
Gall-bladder,పిత్తాశయం
Gallus,గాలస్
Game fishing,గేమ్ ఫిషింగ్
Gamete,గామేట్
Gametic mortality,గేమెటిక్ మరణాలు
Gametogenesis,గేమ్‌టోజెనిసిస్
Gametophytic,గామెటోఫైటిక్
Gamma diversity,గామా వైవిధ్యం
Gamophyllous,గమోఫిలస్
Gamosepalous,గామోసెపాలస్
Ganga action plan,గంగా కార్యాచరణ ప్రణాళిక
Gaseous composition,వాయువు కూర్పు
