ab initio,"आरंभत, प्रारंभापासून"
cooperative society,सहकारी संस्था
copy,"1. प्रतिलिपी करणे 2. कॉपी करणे, नक्कल, प्रत"
copying,"प्रतिलिपीकरण, नक्कल करणे"
copyright,"स्वत्वाधिकार, कॉपीराईट, प्रकाशन अधिकार"
cordial,"हार्दिक, जिव्हाळयाचा, मनापासून"
coroner,अपमृत्युनिर्णेता
corporate body,निगम निकाय
corporate planning,महामंडळिय नियोजन
corporation,"1. महामंडळ, निगम"
corporation tax,1. निगम कर 2. महा-नगरपालिका कर
correction,1. सुधार 2. दुरूस्ती
corrective measures (=correctives),सुधाणा उपाय
correspondence,1. अनुरूपता 2. तत्समता 3. संगतता
correspondence course,पत्राचार पाठ्‌क्रम
correspondence portion,पत्राचार भाग
correspondent,बातमी-दार
corresponding,1. तत्सम 2. तदनुरूप 3. संगत
corrigendum,शुद्धिपत्रक
corroborate,"समर्थन करणे, परिपोष करने"
corroboration,परिपोष
corrupt,"1. भ्रष्‍ट करणे, भ्रष्‍ट होणे 2. दूषित करणे"
corrupt practice,"भ्रष्‍टाचार, भ्रष्‍टाचार मार्ग"
corruption,1. भ्रष्‍टाचार 2. लाचलुपत
cosmopolitan city,"वसुधेव नगरी, वैश्‍विक शहर"
cost,"1. परिव्यय 2. खर्च 3. किंमत, मूल्य 4. उत्पादन मूल्य, लागत"
cost accountant,परिव्यय लेखापाल
cost analysis,परिव्यय विश्‍लेषण
cost ceiling,परिव्यय मर्यादा
cost effectiveness,किफायती लागत
cost of living,"राहणी खर्च, निर्वाह खर्च"
cost overrun,अतिक्रमण खर्च
cottage industry,कुटीर उद्योग
council,1.परिषद 2.
council of ministers,मंत्रिमंडळ
council of states,राज्यसभा
counsel,"1. समुपदेश 2. समुपदेशी, सल्ला"
counselling,"सल्ला देने, उपदेश करणे"
counter,"1. गणित्र 2. गणना-फलक 3. फलक, खिडकी, गल्ला"
counter action,"1.विफल, करणे 2. प्रतियत्‍न"
counter affidavit,प्रतिशपथपत्र
counter charge,प्रत्यारोप
counter claim,प्रतिदावा
counter offer,प्रतिप्रस्ताव
counterfeit currency,बनावट नोटा
counterfeiting,"बनावट करणे, बनावटीकरण"
counterfoil,1. प्रतिपत्र 2. स्थळप्रत
countersign,"1.प्रतिस्वाक्षरी करणे 2. प्रतिस्वाक्षरी, प्रतिहस्ताक्षर"
coup (de etat),अनपेक्षित उलथापालथ
coupon,"कुपन, प्रतिपत्रिका"
courier,"खाजगी टपाल, निरोप्या, जासूद"
courier service,खाजगी टपालसेवा
course,"1. क्रम 2. ओघ, गति, मार्ग, पाठ्यक्रम"
courses of study,पाठ्यक्रम अभ्यास
court case,न्यायालयी प्रकरण
court of small causes,लघुवाद न्यायालय
courtesy,1. शिष्‍टाचार 2. सौजन्य
covenant,प्रसंविदा करणे
cover,"1. संरक्षण, आच्छादणे, झाकणे 2. समावेश करणे, आवरण, लिफाफा"
coverage,1. व्याप्‍तिक्षेत्र 2. समाविष्‍ट बाबी 3. वृत्त-व्याप्‍ति
covering letter,उपरिपत्र
covering memo,सहज्ञापन
covering note,सह टिप्पणी
crash programme,"अत्यंत तातडीचा कार्यक्रम, द्रुत कार्यक्रम"
creamy layer,"नवोन्‍नत वर्ग, उच्च उत्पन्न गट"
creation,"1. निर्मिति 2. सृष्‍टि, रचना, निर्माण, सृर्जन"
creative,"निर्माणक, सर्जनशील, सृर्जनात्मक"
creativity,"सृर्जनशीलता, सृर्जन-क्षमता"
creche,"शिशुगृह, बालवाडी"
credentials committe,"प्रत्ययपत्र समिती, अधिकारपत्र समिती"
credibility,विश्‍वसनियता
credit,"ऋण, उधार, जमा"
credit advice,जमा सल्ला
credit and thrift society,बचत आणी उधार समिती
credit card,"क्रेडिट कार्ड, ऐपत कार्ड"
credit entry,जमा प्रविष्‍टि
credit facilities,ऋण सुविधा
credit note,जमापत्र
creditable,"1. विश्‍वसनीय 2. पतयोग्य 3. श्रेयस्करस, प्रशंसनीय"
creditor,"धनको, ऋणदाता"
cremation,"प्रेतदहन, दाह संस्कार"
cremation ground,"स्मशानभूमि, दहनभूमि"
crew,1. नाविकगण 2. कर्मचारीगण
crime,अपराध
criminal breach of trust,दंडनीय विश्‍वासघात
criminal court,फौजदारी न्यायालय
criminal negligence,दंडनीय दुर्लक्ष
criminal offence,फौजदारी अपराध
criminal procedure code,फौजदारी प्रक्रिया संहिता
crisis,"1. अरिष्‍ट, गंडांतर 2. निर्वाणीचा क्षण, संकट"
crisis management,संकट प्रबंधन
criterion,"अभिलक्षण, कसोटी, मानदंड"
criticism,"टीका, समीक्षा, आलोचना"
cross,"संकर, विरोध करणे, मिश्रजातीय, उलट"
cross breed,संकरित वाण
cross checking,उलट पडताळणी
cross examination,उलटतपासणी
cross reference,"प्रतिसंदर्भ, अन्योन्य संदर्भ, परस्पर संदर्भ"
cross voting,"पुनः मतदान, पडताळणी"
crossed cheque,रेखित धनादेश
crucial date,निर्णायक तिथि
crude,"1. अशोधित 2. मूळ स्वरूपात, 3. ओबड-धोब़ड"
culpable homicide,सदोष मनुष्यवध
culprit,1.आरोपी 2. अपराधी
cultivation,1. लागवड 2. शेती
cultural exchange programme,सांस्कृतिक विनिमय कार्यक्रम
cumulative,1. संचयी 2. अधिक 3. वाढीव
currency,"चलन, मुद्रा"
currency exchange,मुद्रा विनिमय
currency note,"चलनपत्र, चलनी नोट"
current,"1. प्रवाह 2. क्रम 3. धारा, प्रचलित, सध्याचा"
current account,चालू खाते
current duties,वर्तमान कर्तव्यकर्म
current session,"चालुसत्र, चालु अधिवेशन"
curriculum vitae (cv),जीवनवृत्त
curtail,1. कमी करणे 2. छाटणे 3. संक्षिप्‍त करणे
custodian,"परिरक्षक, काळजीवाहक"
custody,"1. अभिरक्षा 2. रक्षण 3. ताबा, देखरेख"
custom,"1. रूढि 2. सीमाशुल्क, जकात"
custom duty,सीमाशुल्क
custom examination,"ग्राहक परिक्षण, सिमाशुल्क परीक्षण"
custom(s),रुढ़ि
customary,"रूढ, रूढिगत, रूढिप्राप्‍त"
customary procedure,रुढिगत प्रक्रिया
customer,ग्राहक
customer friendly,ग्राहक मित्रता
cut down,कपात करणे
cut motion,कपात प्रस्ताव
cut off date,शेवटची तारिख
cycle,"1. चक्र 2. दुचाकी, सायकल"
daily,दैनिक
daily allowance,दैनिक भत्ता
daily diary,"दैनंदिनी, रोजनिशी"
daily register,"दैनिक रजिस्टर, दैनिक नोंदवही"
daily report,दैनिक अहवाल
daily routine,दैनिक कार्य
daily wages,"दैनिक मजुरी, रोजमजुरी"
dak stage,डाकस्तर
dak tray,डाक ट्रे
damage,"1. क्षति, हानी2. अपहानी 3. दुखापत, नुकसान"
damages,नुकसानभरपाई
dangerous,"1. धोकादायक 2. घातक, भयंकर"
daring,"हिंमत, धिटाई"
data,"आधारसामग्री, आकडे"
data bank,आकडासंग्रह
data base,मूळसामग्री
data collection,सामग्रीसंकलन
data feeding,आकडे प्रविष्‍टि
data processing,आकडे प्रक्रिया
date,"दिनांक, तारिख"
date of arrival,"आगमन तारिख, आगमन दिनांक"
date of birth,"जन्मतारिख, जन्मदिनांक"
date of departure,"प्रस्थान तारिख, जावक दिनांक"
date of discharge,कार्यमुक्ति तारिख
date of maturity,परिपक्वता दिनांक
date of receipt,प्राप्‍ती दिनांक
date stamp,"तारखेचा ठसा, तारखेचा शिक्का"
day scholar,अनिवासी विद्यार्थी
day shift,दिवसपाळी
day to day work,दैंनदिन कार्य
days of grace,"अनुग्रहदिन, वाढिव दिवस"
de facto,"वास्तविक, वस्तुतः, प्रत्यक्षणे"
de novo,नव्याने
dead account,बंद खाते
dead line,शेवटची तारीख
dead stock register,जडवस्तु नोंदवही
dead weight,1. मृतभार 2. भारवस्तु
deadlock,कोंडी
deal,"1. देवघेव करणे, व्यवहार करणे 2. कार्यवाही करणे 3. च्या शी संबंधित असणे"
dealing,"व्यवहार, देवघेव"
dealing assistant,"संबंधित सहाय्यक, व्यवहार सहाय्यक"
dearness allowance,महागाई भत्ता
death anniversary,पुण्यतिथी
death benefit,मृत्यु लाभ
death in service,सेवाकालीन मृत्यु
death-cum-retirement gratuity,मृत्युसह निवृत्ती उपदान
deauthorizatioin,प्राधिकार निरसन
debar,1. मनाई करणे 2. प्रतिरोध करणे
debit,"नावे घालणे, खर्ची घालणे"
debit advice,"खर्चिक, मार्गदर्शन"
debt,ऋण
debt management,ऋण प्रबंधन
debtor,ऋणको खातेवही
deceased,"मृत, दिवंगत"
decency,"सभ्यता, समायाचार, प्रतिष्‍ठा, शिष्‍टाचार, औचित्य"
decentralization,विकेंद्रीकरण
deciding factor,"निर्णायक कारक, निर्णायक घटक"
decision,"विनिश्‍चय, निर्णय"
decision making,निर्णयन
decision making process,निर्णयन प्रक्रिया
declaration,"घोषणा, प्रतिज्ञापत्र"
declaration of income,उत्पन्नाची घोषणा
declare on oath,शपथपुर्वक प्रतिज्ञा
declared value,घोषित मूल्य
decode,"संकेतवाचन करणे, संकेत-उकल"
decontrol,"निर्नियंत्रण करणे, नित्रंयण काढून घेणे"
decorum,"1. औचित्य 2. सभ्याचार, शिष्‍‍टाचार"
decrease,"1. घट करणे, घट होणे, घटणे, कमी करणे, तूट"
decree,"हुकूमनामा, कायदा, निवाडा करणे"
dedication,समर्पण
deductible,"कपातयोग्य, घटयोग्य, वगळण्याजोगा"
deduction,1. निगमन 2. वजाकरणे 3. कपात
deduction at source,उत्पन्नावर कपात
deduction from salary,"वेतनातून कपात, वेतनकपात"
deed,"1. कृत्य 2. महत्कार्य, विलेख, लेखीकरार"
deed of mortgage,"गहाण विलेख, गहाणखत"
deemed university,"मानित विश्‍वविद्यालय, अभिमत विद्यापिठ"
deface,"विरूप करणे, बिघडवणे"
defalcation,अफरातफर करणे
defamation,"अब्रुनूकसान, मानहानी"
default,"1. कसूर 2. अनुपस्थिती, हलगर्जीपणा"
defaulter,"1. कसूरदार, कसूर करणारा 2. अनुपस्थित 3. खाकीदार, हलगर्जीपणा करणारा"
defective,सदोष
defence,1. संरक्षण 2. बचाव
defence counsel,"संरक्षणात्मक सल्ला, बचावात्मक उपदेश"
defence production,रक्षा उत्पादन
defendant,प्रतिवादी
defer,1. लांबणीवर टाकणे 2. मान देणे
deferred expenditure,स्थगित खर्च
defiance,"अवगणना, अनादर"
deficit,"तूट, कमी"
deficit budget,तुटीचा अर्थसंकल्प
define,"1. व्याख्या करणे, निरूपण करणे 2. निश्‍चित करणे 3. सीमांकित करणे"
defy,"अवगणना करणे, धुडकावणे, अवज्ञा करणे"
degradation,"1. अवनती 2. पदावन्नती, स्तरावनती"
degree,"1. अंश 2. दर्जा 3. प्रमाण, उपाधी, मात्रा, कोटी"
dejure,विधितः
delay,"विलंब करणे, उशीर लावणे, विलंब"
delegate,1. प्रतिनिधी 2. प्रत्यायुक्‍‍त करणे 3. सोपवणे
delegated authority,प्रतिनिधी अधिकारी
delegation,प्रतिनिधिमंडळ
delegation of powers,शक्तीचे प्रत्यायोजन
delete,"गाळणे, वगळणे, काढून टाकणे, खोडून टाकणे"
deletion,"गाळणे, वगळणे"
deliberately,"1. समजून उमजून, मुद्दाम 2. विमर्शपूर्वक 3. बुद्धिपुरस्सर, जाणुनबुजून"
deliberation,विचार-विमर्श
delicencing,अनुज्ञाप्‍ति रदयीकरण
delimitation,"सीमा ठरवणे, परिसीमन"
deliver,"1. पोहचती करणे, बटवडा करणे 2. स्वाधीन करणे 3. जन्म देणे, भाषण करणे"
delivery,"1. पोचवणी, बटवडा 2. स्वाधीन करणे 3. प्रसूति"
demand,मागणी करणे
demand note,मागणी टिप्पणी
demarcation,सीमांकन
demi-official,अर्धशासकीय
democracy,"लोकशाही, लोकतंत्र"
demonstration,"प्रात्यक्षिक, प्रयोगनिर्देशन, निदर्शन"
demoralization,"निष्‍ठाहीनता, नीतिधैर्यच्युती"
demurrage,विलंब-शुल्क
denial,"नकार, नाकबुली"
denomination,"1. संज्ञा, संप्रदाय, धार्मिक सम्प्रदाय, मान्यकिंमत"
deny,"1. नाकारणे, नाकबूल करणे"
depart,"1. प्रयाण करणे, प्रस्थान करणे, जाणे 2. विचलित होणे"
department,विभाग
departmental,विभागीय
departmental action,विभागीय कार्यवाही
departmental enquiry,विभागीय चौकशी
departmental investigation,"विभागीय अन्वेषण, तपास"
departmental irregularity,विभागीय अनियमितता
departmental library,विभागीय वाचनालय
departmental negligence,विभागीय उपेक्षा
departmental permission,विभागीय परवानगी
departmental qualifying examination,विभागीय पात्रता परीक्षा
departure,"1. प्रयाण, प्रस्थान 2. विचलन 3. भेद"
dependency certificate,आश्रितता प्रमाणपत्र
dependent,"1. अबलंबून असणारा, अवलंबित, परावलंबी"
dependent children,"आश्रित संतति, आश्रित बालक, परावलंबी बालक"
deploy,"पाखरणे, विभागणे, विस्तृत करणे, पसरवणे"
deponent,"अभिसाक्षी, शपथेवर लिखित साक्षय्त देणारा"
deportation,"तडीपारी, हद्दपारी"
depose,1. पदच्युत करणे 2. अभिसाक्ष देणे
deposit,"1.ठेवणे 2. ठेव म्हणून ठेवणे, जमा करणे 3. निक्षेप करणे, ठेव, जमा"
depot,"1.ठाणे, . कोठार, आगार"
depreciation,"1. मूल्यहास, अवक्षय"
depressed class,दलित वर्ग
deprive,1. वंचित करणे 2. हिरावून घेणे
deputation,"प्रतिनियुक्ती, शिष्‍टमंडल"
deputation allowance,प्रतिनियुक्तीभत्ता
deputy,1. प्रतिनियुक्‍त 2. प्रतिनिधी
deregistered,"विपंजीकृत, पुन्हा नोंदणीकृत"
dereliction of duty,कर्तव्य अवहेलना
dereservation,वि-आरक्षण
derogation,"1. कमीपणा आणणे 2. अनादर, अप्रतिष्‍ठा"
derogatory,"कमीपणा आणणारा, अनादरसूचक"
derogatory remark,अनादरसूचक शेरा
descendant,वंशज
description,"वर्णन, विवरण"
deserving,"योग्य, पात्र, लायक"
design,"1.मानस योजना, संकल्पचित्र काढणे 2. संकल्पन करणे 3. कल्पना, नकाशा"
designate,1. नियुक्‍त करणे 2. संबोधणे 3. पद निर्देशित करणे
designation,1. पदनाम 2.हुद्‌दा
despatch,"खानगी, प्रेषित करणे, खाना करणे, जावक"
despatch note,प्रेषित टिप्पणी
despatch register,जावक नोंद वही
destination,"1. इष्‍ट स्थान 2. पूर्वोद्दिष्‍ट 3. अंतिम हेतु, लक्ष्य"
destitute,"1. परित्यक्‍त 2. निराश्रित, दरिद्री"
detail,"1. तपशीलवार सांगणे 2. विशेष निर्देश करणे 3. विशेष नेमणूक करणे, तपशील"
detailed,1. तपशीलवार 2. सविस्तर
detect,तपास लावणे
detention,"1. थांबवणे, अडवणूक, खोळंबा 2. निरोध 3. स्थानबद्धता"
detenu,"स्थानबद्ध, नजरबंद"
determination,"1. निर्धार, निश्‍चय, ठरवणे 2. निर्धारण 3. संकल्प"
deterrence,"प्रतिसौरक्षणार्थ क्रिया करणे, स्वयंरक्षनार्थ क्रिया"
detriment,1. अहित 2. हानि
detrimental,1. अहितकारी 2. हानिकारक
devaluation,"अवमूल्यन, अधोमूल्यन"
devastation,1. विनाश 2. विध्वंस
development,विकास
deviate,"विचलित करणे, विचलित होणे"
device,"1.युक्‍ति 2. अभिलक्ष 3. चिन्ह, साधन"
devotion,"भक्‍ति, परायणता, निष्‍ठा"
diagnose,निदान करणे
diagram,रेखाकृति
diary,"1. दैनंदिनी, रोजनिशी"
dictation,1. श्रुतलेखन 2. सांगितलेला मजकूर
dies non,अकार्य दिवस
diet,1. आहार
digest,"1. चयनिका, पचवणे 2. सार-संग्रह"
dignified,"1. प्रतिष्‍ठित 2. भारदस्त, गरिमापूर्ण"
dignity,"1. प्रतिष्‍ठा 2. भारदस्तपणा, गरिमा"
digression,विषयांतर
dilatory,"विलंबकारी, दीर्घसूत्री"
dilemma,"शृंगापति, दुविधा"
diligent,"कार्यासक्‍त, परिश्रमी"
dimension,"1.मिति 2. परिमाण, आकार, विस्तार"
diploma,1. पदविका
diplomacy,"1. मुत्सद्देगिरी 2. व्यावहारचातुर्य, कौशल्य"
diplomatic immunity,राजनैतिक उन्मुक्‍ति
direct,1.निर्देशदेणे 2.निर्देशनकरणे 3. प्रत्यक्षनिर्देश
direct competition,प्रत्यक्ष स्पर्धा
direct interview,प्रत्यक्ष मुलाखत
direct recruit,सरळ भर्ती
direction,1. निर्देश 2. निर्देशन 3. संचालन
directory,"संचालक मंडल, निर्देशिका"
disability,"1. विकलांगता, अयोग्यता"
disabled person,"अयोग्य व्यक्‍ति, अपंग व्यक्‍ति"
disablement benefit,"अशक्‍तता हितलाभ, अपंगता हित-लाभ"
disadvantage,अहित
disagree,1. मतभेद असणे 2. सहमत न होणे 3. असहमती
disallow,"नामंजूर करणे, नाकारणे"
disallowed,नामंजूर
disapproval,"असंमती, नापसंती"
disaster,"अनर्थ, विपदा, संकट, आपत्ती"
disaster management,"विपदा व्यवस्थापन, आपत्ती व्यवस्थापन"
disband,"तोडणे, भंग करणे"
disbursement,"1. संवितरण, बटवडा 2. संचितरित रकमा, खर्च"
discard,1. काढून टाकणे 2. टाकून देणे
discharge,"1. भारमुक्त (ऋण) फेडणे, (ऋण) चुकते करणे 2. पार पाडणे 3. आरोपमुक्‍त करणे"
discharge slip,सुट्टीची पावती
disciplinary action,शिस्तभंगाची कार्यवाही
disciplinary procedure,"अनुशासनिक प्रक्रिया, शिस्तभंगाची कार्यवाही"
discipline,1. शिस्त 2. अनुशासन
disclaim,1. अस्वीकार करणे 2. हक्क सोडणे
disclosure,"प्रकटन, उघड करणे, जाहिर"
discontent,असंतोष
discontinuance,"बंद ठेवणे, बंद होणे"
discontinue,"बंद ठेवणे, बंद होणे"
discord,मतभेद
discount,"बट्टा, सूट, सवलत"
discover,1. शोधून काढणे 2. शोध लावणे 3. आढळून येणे
discredit,1. अपकीर्ती 2. अविश्‍वास
discrepancy,विसंगति
discretion,1. स्वेच्छानिर्णय 2. विवेकबुद्धि
discretionary grant,स्वेच्छानुदान
discretionary power,स्वेच्छाधीनशक्ती
discrimination,1. भेदभाव 2. तारतम्य
discussion,चर्चा
dishonest,अप्रामाणिक
dishonour (a cheque),"1. अप्रतिष्‍ठा करणे 2. अनादर करणे (धनादेश) 3. नाकारणे, अस्वीकारकरणे (धनादेश)"
disintegration,विघटन
disk,"डिस्क, चकती"
dislocation,"1. बिघाड 2. विसंधान, 3. निसटणे, स्थानांतरण विस्काळितपणा"
disloyal,"द्रोही, निष्‍ठाहीन"
dismiss,"पदच्युत करणे, फेटाळणे, खारीज करणे"
dismissal,1. बडतर्फी 2. पदच्युती3. खारीज करणे
dismissal procedure,1. बडतर्फी प्रक्रीया
disobey,1. आज्ञाभंग करणे 2. अवज्ञा करणे
disorder,1.अव्यवस्था 2. शांतताभंग
disorganise,अव्यवस्थितता
disparity,तफावत
dispatch section,प्रेषण अनुभाग
dispensable,वितरण योग्य
disperse,"1. विसर्जित करणे, विसर्जन होणे 2. पांगपांग करणे, पांगपांग होणे, विकीर्ण करणे, होणे"
displaced,विस्थापित
display,1. प्रदर्शन करणे 2. लावणे
displeasure,"अवकृपा, नाराजगी"
disposal,1. कामाचा उरक 2. निकालात काढणे
dispose of,विल्हेवाट
disposition,"1. प्रवृत्ति 2. विन्यास 3. संपत्तिव्यवस्था, व्यवस्था, मनाचा कल"
dispossess,कब्जा काढनू घेणे
dispute,"1. विवाद करणे 2. तंटा करणे 3.विवाद, तंटा"
disqualification,"अनार्हता, अपात्रता"
disregard,अनादर
disruption,1. भंग 2. फाटाफूट
dissatisfaction,"असमाधान, असंतोष"
dissent,"1. मतभेद, विरोध"
disservice,"हानी, अपाय, नुकसान, अपकार"
dissociate,"संबंध तोडणे, वेगळे होणे"
dissolution,1. विघटन 2. विसर्जन 3. विलयन
dissolve,"1. विघटित करणे 2. विसर्जन करणे 3. विरघळवणे, विरघळणे"
distance learning,दूरस्थ शिक्षण
distillery,"आसवनी, मद्य उद्योग, मद्यनिर्माण उद्योग"
distinct,1. सुस्पष्‍ट 2. विभिन्न
distinguish,"भेद करणे, भेद दाखवणे, वैशिष्‍टय मिळविणे"
distortion,1. विपर्यास 2. विरूपण
distress,"1. दुखी करणे, क्लेश देणे 2. मानसिक दुःख, विपत्ति"
distribute,1. वितरण करणे 2. वाटणी करणे
distribution,1. वितरण 2. वाटणी 3. मुद्राक्षर वितरण
district,1.जिल्हा 2. क्षेत्र
district centre,"व्यावसायिक केंद्र, जिल्हा मुख्यालय"
disturbance,1. त्रास 2. अडथळा 3. अशांतता
ditto,"सदर, वरीलप्रमाणे, सदरहूप्रमाणे"
diversion,"1. अपवाहन 2. फाटा फोडणे 3. दिशा बदलणे, विषयांतर, पथांतरण"
dividend,लाभांश
division,"1.विभाग 2. खंड न्यायालय 3. श्रेणी, विभाजन"
divorce,"घटस्फोट देणे, घटस्फोट"
docket,निर्देशपत्र
doctor,"डॉक्टर, चिकित्सक"
document,1. प्रलेख 2. कागदपत्र 3. दस्तऐवज
documentary evidence,"लेखी पुरावा, दस्तावेजी साक्ष्य"
documentation,"प्रलेखीकरण, प्रलेखन"
domicile,अधिवास
domicile certificate,अधिवास प्रमाणपत्र
dominant,"1. वर्चस्वी 2. प्रखर, प्रभावी"
donation,"देणगी, दान"
dossier,"व्यक्‍तिच्या, घटनांच्या कागदपत्रांचा संच"
doubtful,"1. शंकास्पद 2. संशयास्पद, संदिग्ध"
dove tailing,घट्‍ट बसवणे
down grade,अवनयन
draft,"1. प्रारूप, मसुदा 2. धनाकर्ष"
draft reply,उत्तराचा मसुदा
drastic measure,कठोर उपाय
draw,"1. लिहिणे 2. सोडतीच्या चिठ्ठया काढणे 3. आकर्षित करणे, सोंडत"
drawer,1.आदेशक 2. ओढखण
drawing,1. चित्रकला 2. रेखाचित्र 3. आरेख
drought,"अवर्षण, अनावृष्‍टी, दुष्‍काळ"
dry promotion,निर्लाभ पदोन्‍नती
dual charge,अतिरिक्‍त प्रभार
dual citizenship,द्विनागरिकत्व
due,"1. नियत 2. यथोचित, यथायोग्य 3. ठराविक"
due diligence,सम्यक तत्परता
dues,"1. देय, देणी 2. आदेय, घेणी, देय राशी"
duly,"1. वेळीच, वेळेत 2. नियतपणे 3. यथाप्रमाण, विधिवत्, यथाविधी"
duplicate,"दुसरी प्रत, दुय्यम प्रत"
duration,"कालावधी, कालमर्यादा"
duress,"बळजबरीने भाग पाडणे, दबाव"
duty,1. कर्तव्य 2. कार्य 3. शुल्क
duty allowance,कर्तव्य भत्ता
duty chart,कामाचा तक्‍ता
duty leave,कार्यार्थ सुट्‍टी
duty room,कार्य-कक्ष
dying declaration,मृत्युकालीन कथन
dynamics,"गतिशील, गतिक"
earmark,"1. चिन्हांकित करणे 2. राखून ठेवणे, पृथकरक्षित करणे"
earned leave,अर्जित रजा
earnings,"कमाई, मिळकत"
eco-friendly,पर्यावरण-अनुकूल
ecology,पारिस्थितिकी
economic,1. आर्थिक 2. अर्थशास्त्रीय
economical exploitation,आर्थिक शोषण
economy,"1. अर्थव्यवस्था 2.काटकसर, मितव्ययता"
economy class,किफायती श्रेणी
editing,1. संपादन 2. संकलन
edition,आवृत्ति
editorial,"1. अग्रलेख, संपादकीय"
education,1. शिक्षण 2. शिक्षण-शास्त्र
educational career,शैक्षणिक प्रगतिपट
educational institute,शैक्षणिक संस्था
educational qualification,"शैक्षणिक अर्हता, शैक्षणिक पात्रता"
effect,1. परिणाम 2. कार्य 3. प्रभाव
effective,1. परिणामकारक 2. प्रभावी 3. गुणकारी
effective date,"प्रभावी दिनांक, परिणामकारी तारिख"
effects,"संपत्ती, मालमला"
efficacy,"सामर्थ्य, गुणकारिता"
efficiency,1. कार्यक्षमता 2. दक्षता
efficient,1. कार्यक्षम 2. दक्ष
ejectment,बेदखलीची कार्यवाही
elaborate,1. सविस्तर 2. सांगोपांग
elapse,"लोटणे, निधून जाणे"
elected representative,निवडलेला प्रतिनिधी
election,"1. निवडणूक, निर्वाचन 2. निवडणे"
electoral college,निर्वाचक गण
electorate,"मतदारगण, निवडणूकक्षेत्र"
electrification,विद्युतिकरण
electronic media,इलेक्ट्रानिक संचार माध्यम
elementary,"1. प्राथमिक 2. मूल-तत्वात्मक, मूलद्रव्यात्मक"
eligibility,पात्रता
eligibility test,पात्रताचाचणी
elimination,"काढून टाकणे, गाळून टाकणे"
eloquence,"वक्‍तृत्व, वाक्-पटूता"
embarrass,1. गोंधळवणे 2. अडचणीत टाकणे
embezzlement,"अपहार, अफरातफर, दुर्विनियोग"
emblem,"1.चिन्ह 2. ध्येयचिन्ह, खूण, निशाणी"
embossing seal,उभरलेला ठसा
emergency,1. संकटकाळ 2. आणीबाणी 3. आकस्मिक निकड
emergency relief,"आकस्मिक राहत, आपातकालिन राहत"
emergent,1. आकस्‍मिकपणे उद्‍भवणारा 2. निकडीचा
emigration,"उत्प्रवास, स्थायिक होण्यासाठी परदेशात जाणे, देशनिर्वासी"
emoluments,"वित्तलब्धि, मिळकत, एकत्र वेतन"
empanelment,"नामिका प्रविष्ठ करणे, नाम निर्देशन"
empathy,परानुभूती
employ,"1. सेवायोजन करणे, नौकरीस लावणे"
employee,कर्मचारी
employee participation,कर्मचारी सहभाग
employee’s contribution,कर्मचाऱ्याचे योगदान
employees provident fund,कर्मचारी भविष्य निर्वाहनिधी
employer,1. नियोक्‍ता 2. मालक
employment,1. सेवायोजन 2. नोकरी समुपयोजन
employment exchange,"सेवायोजन कार्यालय, रोजगार कार्यालय"
employment notice,"रोजगार सूचना, नौकरीविषयक सूचना"
employment office,रोजगार कार्यालय
empower,शक्‍ती प्रदान करणे
empowerment,सशक्‍तिकरण
en bloc,"एका गटाने, सामूहिक"
en masse,सामुदायिक रित्या
en route,"मार्गस्थ, मार्गामध्ये, रस्त्यात"
enact,"1. अधिनियमित करणे 2. भूमिका करणे, अभिनीत करणे"
enactment,अधिनियमित
encash,"पटवणे, रोकड करणे"
enclose,1. आत बंद करणे 2. कुंपण घालणे
encouragement,"प्रोत्साहन, उत्तेजन, उत्साहीत करणे"
encroachment,अतिक्रमण करणे
encumbrance,भार
end product,अंतिम उत्पादन
endorse,"पृष्‍ठांकित करणे, पुष्‍टीदेणे"
endowment,1. स्थायी दान 2. दान-निधी 3. नैसर्गिक देणगी
energy,"1. जोम, उत्साह 2. ऊर्जा"
enforce,"जारी करणे, अंमलात आणणे, प्रवर्तन करणे"
engage,"1. कामावर लावणे 2. कामात गुंतवणे, कामात गुंतणे 3. वचनबद्ध करणे"
enhancement,"वाढ, वाढवणे, विस्तार"
enjoin,"मना करणे, आज्ञा देणे, च्या अधीन करणे"
enquiry,"चौकशी, विचारपूस"
enrol,पटावर नाव दाखल करणे
enrolment (=enrollment),नावनोंदणी
enrolment number,नावनोंदणी क्रमांक
ensuing,"पुढील, आगामी"
ensure,1. सुनिश्‍चित करणे 2. खात्री करून घेणे
enter,1. प्रवेश करणे 2. नोंद करणे 3. सामिल होणे
enterprise,"1. साहसी उपक्रम 2. साहस, धाडस, धंदा"
entertain,"1. विचारार्थ स्वीकारणे, विचारार्थ घेणे 2. आतिथ्य करणे 3. करमणूक करणे"
entertainment,1. करमणूक 2. स्वीकार 3. आतिथ्य
entitle,"1. नाव देणे 2. हक्क देणे, अधिकार देणे"
entitled,"1. नावचा 2. हक्कदार असणारा, हक्क असलेला"
entitlement,"हक्कदारी, नियमानुसार पात्रता"
entrance,1. प्रवेश 2. द्धार
entrant,प्रवेशार्थी
entry,1. प्रवेश 2. नोंद 3. समायोजन नोंद
entry level job,"प्रवेशस्तरपर कार्य, प्रारंभिक मिळालेली नौकरी"
enumeration,1. क्रमवार मांडणी 2. प्रगणन
environment,"सभोवतालची परिस्थति, पर्यावरण"
Envoy,दूत
epidemic (disease),"साथ, साथिरोग"
