Marathi,Punjabi
सिलेंडर लेन्स,ਸਿਲੰਡਰ ਲੈਂਸ
सिलेंडर पृष्ठ,ਸਿਲੰਡਰ ਪੰਨਾ
दंडगोलाकार जग,ਸਿਲੰਡਰ ਸੰਸਾਰ
सिलेंडर-सममित समस्या,ਸਿਲੰਡਰ-ਸਮਮਿਤੀ ਸਮੱਸਿਆ
"सिलेंडर, सिलेंडर","ਸਿਲੰਡਰ, ਸਿਲੰਡਰ"
रोलिंग लाट,ਰੋਲਿੰਗ ਵੇਵ
झांज,ਝਾਂਜਰ
डायरेक्ट कपल्ड ट्रान्झिस्टर लॉजिकल सर्किट,ਡਾਇਰੈਕਟ ਕਪਲਡ ਟਰਾਂਜ਼ਿਸਟਰ ਲਾਜ਼ੀਕਲ ਸਰਕਟ
"डी केबल, आर्क केबल","ਡੀ ਕੇਬਲ, ਆਰਕ ਕੇਬਲ"
डी स्थिर,ਡੀ ਸਥਿਰ
इलेक्ट्रॉन,ਇਲੈਕਟ੍ਰੋਨ
आयनोस्फियरचा डी थर,ਆਇਨੋਸਫੀਅਰ ਦੀ ਡੀ ਪਰਤ
डी प्रदेश,ਡੀ ਖੇਤਰ
डी मूल्य,ਡੀ ਮੁੱਲ
DASD (थेट प्रवेश स्टोरेज डिव्हाइस),DASD (ਸਿੱਧੀ ਪਹੁੰਚ ਸਟੋਰੇਜ ਡਿਵਾਈਸ)
d धा. (दिशा),d. ਢਾ. (ਦਿਸ਼ਾ)
"D.C. ध्वनी प्रतिरोध, D.C. प्रवाह प्रतिरोध","D.C. ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ, D.C. ਵਹਾਅ ਪ੍ਰਤੀਰੋਧ"
डी.सी. शिल्लक,ਡੀ.ਸੀ. ਸੰਤੁਲਨ
डीसी (योग्य) एकाग्रता,ਡੀਸੀ (ਸਹੀ) ਇਕਾਗਰਤਾ
डीसी (वर्तमान) घटक,DC (ਮੌਜੂਦਾ) ਕੰਪੋਨੈਂਟ
D.C. बाहेर पडा,ਡੀ.ਸੀ. ਬਾਹਰ
DC (डायरेक्ट करंट) व्यत्यय,DC (ਡਾਇਰੈਕਟ ਕਰੰਟ) ਇੰਟਰੱਪਟ
डीसी प्लेटची ताकद,ਡੀਸੀ ਪਲੇਟ ਦੀ ਤਾਕਤ
डी. सी. विभव,ਡੀ ਸੀ ਵਿਭਵ
डीसी जीर्णोद्धार,ਡੀਸੀ ਬਹਾਲੀ
D.C. पुनर्संचयित करणारा,ਡੀਸੀ ਰੀਸਟੋਰਰ
डीसी व्होल्टेज,ਡੀਸੀ ਵੋਲਟੇਜ
डार्सोनवाल गॅल्व्हानोमीटर,ਦਰਸਨਵਾਲ ਗੈਲਵੈਨੋਮੀਟਰ
ध्वनी कनवर्टर,ਆਵਾਜ਼ ਕਨਵਰਟਰ
क्षय,ਸੜਨ
दररोज शेडिंग,ਰੋਜ਼ਾਨਾ ਸ਼ੈਡਿੰਗ
विलंबित संपर्क प्रसार,ਦੇਰੀ ਨਾਲ ਸੰਪਰਕ ਸੰਚਾਰ
deliomyceza philipsai,deliomyceza philipsai
delitz जोडी,delitz ਜੋੜਾ
zelitz आकृती,zelitz ਚਿੱਤਰ
डाल्टनचा कायदा,ਡਾਲਟਨ ਦਾ ਕਾਨੂੰਨ
डाल्टन तापमान,ਡਾਲਟਨ ਦਾ ਤਾਪਮਾਨ
नुकसान जोखीम निकष,ਨੁਕਸਾਨ ਜੋਖਮ ਮਾਪਦੰਡ
विघटन करणारा ताण,dissipative ਤਣਾਅ
ओलसर शक्ती जोडी,ਗਿੱਲੀ ਫੋਰਸ ਜੋੜਾ
डॅमकोइलर क्रमांक,ਡੈਮਕੋਇਲਰ ਨੰਬਰ
डिकोइलर प्रमाण,ਡਾਇਕੋਇਲਰ ਅਨੁਪਾਤ
ओलसर धुके,ਨਮੀ ਵਾਲੀ ਧੁੰਦ
ओलसर साधे हार्मोनिक दोलन,ਗਿੱਲੀ ਸਧਾਰਨ ਹਾਰਮੋਨਿਕ ਔਸਿਲੇਸ਼ਨ
ओलसर रेझोनेटर,ਗਿੱਲਾ ਰੈਜ਼ੋਨੇਟਰ
ओलसर कंपन,ਗਿੱਲੀ ਵਾਈਬ੍ਰੇਸ਼ਨ
ओलसर लाट,ਗਿੱਲੀ ਲਹਿਰ
ओलसर पेंडुलम प्रणाली,ਗਿੱਲਾ ਪੈਂਡੂਲਮ ਸਿਸਟਮ
डँपर डायोड,ਡੈਪਰ ਡਾਇਓਡ
ओलसर क्षमता,ਗਿੱਲੀ ਕਰਨ ਦੀ ਸਮਰੱਥਾ
ओलसर सतत,ਲਗਾਤਾਰ ਗਿੱਲਾ
डँपर नियंत्रण,damper ਕੰਟਰੋਲ
ओलसर करणे,ਗਿੱਲਾ ਕਰਨਾ
ओलसर गुणांक,ਗਿੱਲਾ ਗੁਣ
ओलसर शक्ती,ਗਿੱਲੀ ਕਰਨ ਵਾਲੀ ਤਾਕਤ
डँपर रिंग,damper ਰਿੰਗ
हिरमोड करणारे चुंबक,damper ਚੁੰਬਕ
ओलसर प्रमाण,ਗਿੱਲਾ ਅਨੁਪਾਤ
डँपर रिंग,damper ਰਿੰਗ
उदासीनता वेळ,ਉਦਾਸੀ ਦਾ ਸਮਾਂ
ओलसर गुणांक,ਗਿੱਲਾ ਗੁਣ
आक्षेप गुणांक,ਇਤਰਾਜ਼ ਗੁਣਾਂਕ
डॅनियल सेल,ਡੈਨੀਅਲ ਸੈੱਲ
डॅनियल हायग्रोमीटर,ਡੈਨੀਅਲ ਹਾਈਗਰੋਮੀਟਰ
नकार हायग्रोमीटर,ਇਨਕਾਰ hygrometer
डॅनिश षटकोनी तुला,ਡੈਨਿਸ਼ ਹੇਕਸਾਗਨ ਲਿਬਰਾ
डेराफ,ਡੇਰਫ
डार्सी,ਡਾਰਸੀ
darcy नियम,darcy ਨਿਯਮ
डार्सी नंबर,darcy ਨੰਬਰ
Darcy-Weisbach गुणांक,Darcy-Weisbach ਗੁਣਾਂਕ
Darcy Wiesbach गुणांक,Darcy Wiesbach ਗੁਣਾਂਕ
Darcy Wiesbach समीकरण,Darcy Wiesbach ਸਮੀਕਰਨ
गडद विसर्जन,ਹਨੇਰਾ ਇਮਰਸ਼ਨ
गडद,ਹਨੇਰ
सानुकूलित,ਅਨੁਕੂਲਿਤ
रुपांतर,ਅਨੁਕੂਲਨ
अंध खोली,ਅੰਨ੍ਹੇ ਕਮਰੇ
गडद वहन,ਹਨੇਰਾ ਸੰਚਾਲਨ
गडद प्रवाह,ਹਨੇਰਾ ਕਰੰਟ
तेजस्वी तारा,ਚਮਕਦਾਰ ਤਾਰਾ
अंध क्षेत्र,ਅੰਨ੍ਹੇ ਖੇਤਰ
गडद फील्ड प्रदीपन,ਹਨੇਰਾ ਖੇਤਰ ਰੋਸ਼ਨੀ
गडद फील्ड सूक्ष्मदर्शक,ਹਨੇਰੇ ਖੇਤਰ ਮਾਈਕਰੋਸਕੋਪ
धुकेयुक्त नेबुला,ਧੁੰਦ ਵਾਲਾ ਨੀਬੂਲਾ
गडद नेबुला,ਗੂੜ੍ਹਾ ਨੀਬੂਲਾ
ब्लॅकआउट प्रतिकार,ਬਲੈਕਆਉਟ ਪ੍ਰਤੀਰੋਧ
गडद क्षेत्र,ਹਨੇਰਾ ਖੇਤਰ
तेजस्वी प्रवाह,ਚਮਕਦਾਰ ਕਰੰਟ
इनॅन्डेन्सेंट व्हेरिएबल,ਇਨਕੈਂਡੀਸੈਂਟ ਵੇਰੀਏਬਲ
गडद रेषा स्पेक्ट्रम,ਡਾਰਕ ਲਾਈਨ ਸਪੈਕਟ੍ਰਮ
खोल राखाडी,ਡੂੰਘੇ ਸਲੇਟੀ
सतत आगाऊ,ਲਗਾਤਾਰ ਪੇਸ਼ਗੀ
डार्विन वक्र,ਡਾਰਵਿਨ ਕਰਵ
लोकसंख्याशास्त्र,ਜਨਸੰਖਿਆ
"दत्त, उपट, डेटा, विश्वास","ਦੈਤ, ਉਪਤ, ਦਾਤਾ, ਭਰੋਸਾ"
दत्त अर्जन,ਦੱਤ ਅਰਜਨ
ट्रस्ट कार्ड,ਭਰੋਸਾ ਕਾਰਡ
पानांच्या प्रकाशावर विश्वास ठेवा,ਪੱਤਾ ਰੋਸ਼ਨੀ &#39;ਤੇ ਭਰੋਸਾ ਕਰੋ
विश्वासाची उपलब्धता,ਭਰੋਸਾ ਉਪਲਬਧਤਾ
डेटा कनवर्टर,ਡਾਟਾ ਕਨਵਰਟਰ
अर्ध्या वर्तुळावर विश्वास ठेवा,ਅੱਧੇ ਚੱਕਰ &#39;ਤੇ ਭਰੋਸਾ ਕਰੋ
"डेटा व्यवस्थापन, अधीनस्थ व्यवस्थापन","ਡਾਟਾ ਪ੍ਰਬੰਧਨ, ਅਧੀਨ ਪ੍ਰਬੰਧਨ"
डेटा हाताळणी क्षमता,ਡਾਟਾ ਸੰਭਾਲਣ ਦੀ ਸਮਰੱਥਾ
डेटा लाइन,ਡਾਟਾ ਲਾਈਨ
दत्त लिंक,ਦੱਤ ਲਿੰਕ
दत्त उपक्रम,ਦੱਤ ਅੰਡਰਟੇਕਿੰਗ
विश्वास मार्ग,ਵਿਸ਼ਵਾਸ ਮਾਰਗ
विश्वास टप्पा,ਭਰੋਸਾ ਪੜਾਅ
डेटा पॉइंट,ਡੈਟਮ ਬਿੰਦੂ
"दान केलेली संसाधने, अधीनस्थ संसाधने, ट्रस्ट संसाधने","ਦਾਨ ਕੀਤੇ ਸਰੋਤ, ਅਧੀਨ ਸਰੋਤ, ਟਰੱਸਟ ਸਰੋਤ"
डेटा प्रोसेसर,ਡਾਟਾ ਪ੍ਰੋਸੈਸਰ
दत्त दुरुस्ती,ਦੱਤ ਸੋਧ
विश्वास दर,ਭਰੋਸਾ ਦਰ
डेटा समायोजन,ਡਾਟਾ ਵਿਵਸਥਾ
माहिती पत्रक,ਡਾਟਾ ਸ਼ੀਟ
दत्त श्वासोच्छवास,ਦੱਤ ਦਮ ਘੁੱਟਣ
डेटा स्थिरीकरण,ਡਾਟਾ ਸਥਿਰਤਾ
डेटा रूपांतरण,ਡਾਟਾ ਪਰਿਵਰਤਨ
संज्ञानात्मक शब्द,ਸਮਝਦਾਰ ਸ਼ਬਦ
"डेटा ऑटोमेशन, डेटामेशन","ਡਾਟਾ ਆਟੋਮੇਸ਼ਨ, ਡੈਟਾਮੇਸ਼ਨ"
डेटाफोन,ਡਾਟਾਫੋਨ
शेड्युलिंग,ਸਮਾਂ-ਤਹਿ
"दत्त, आधार","ਦੱਤ, ਆਧਾਰ"
आधारभूत क्षितिज,ਅਧਾਰ ਦੂਰੀ
तळ मजला,ਅਧਾਰ ਮੰਜ਼ਿਲ
तीव्रता मापन तलाधर,ਗੰਭੀਰਤਾ ਮਾਪ ਤਲਾਧਰ
बेस रूम,ਬੇਸ ਰੂਮ
तळ मजला,ਅਧਾਰ ਮੰਜ਼ਿਲ
मूळ बिंदू,ਅਧਾਰ ਬਿੰਦੂ
"विघटन उत्पादक, दूध उत्पादन, पालक, संतती","ਸੜਨ ਉਤਪਾਦਕ, ਦੁੱਧ ਉਤਪਾਦ, ਮਾਤਾ-ਪਿਤਾ, ਸੰਤਾਨ"
विघटन करणारा अणू,ਵਿਖੰਡਿਤ ਪਰਮਾਣੂ
दूध घटक,ਦੁੱਧ ਤੱਤ
दूध समस्थानिक,ਦੁੱਧ ਆਈਸੋਟੋਪ
क्षयरोग,ਟੀ.ਬੀ
डॅफिनचा कायदा,ਡੈਫੀਨ ਦਾ ਕਾਨੂੰਨ
डेव्हिस दुरुस्ती,ਡੇਵਿਸ ਸੋਧ
डेव्हिस-गिब्सन वर्ण फिल्टर,ਡੇਵਿਸ-ਗਿਬਸਨ ਅੱਖਰ ਫਿਲਟਰ
डेव्हिसन समन्वय,ਡੇਵਿਸਨ ਕੋਆਰਡੀਨੇਟਸ
डेव्हिसन अधिक गरम प्रयोग,ਡੇਵਿਸਨ ਗਰਮ ਪ੍ਰਯੋਗ
डेव्हिसन-कॅल्बिक फॉर्म्युला,ਡੇਵਿਸਨ-ਕੈਲਬਿਕ ਫਾਰਮੂਲਾ
दवई तत्त्व,dewey ਅਸੂਲ
चकमा श्रेणी,ਚਕਮਾ ਸੀਮਾ
संध्या रॉकेट,ਸੰਧਿਆ ਰਾਕੇਟ
"कोरस, उषागन","ਕੋਰਸ, ਉਸ਼ਾਗਨ"
doton चित्रपट,doton ਫਿਲਮ
दिवस,ਦਿਨ
दिवाळखोरी,ਦੀਵਾਲੀਆਪਨ
"दिवलोक, ओघ प्रकाश","ਦਿਵਲੋਕ, ਓਘ ਪ੍ਰਕਾਸ਼"
दिवाळखोरी गुणांक,ਦੀਵਾਲੀਆਪਨ ਗੁਣਾਂਕ
दिवसाचे दृश्य,ਦਿਨ ਦਾ ਦ੍ਰਿਸ਼
divalok तोंड,divalok ਮੂੰਹ
डेसिबल मीटर,ਡੈਸੀਬਲ ਮੀਟਰ
समायोजित डेसिबल,ਵਿਵਸਥਿਤ ਡੈਸੀਬਲ
डेसिबल फेमटोवॅट,ਡੈਸੀਬਲ femtowatt
डेसिबल किलोवॅट,ਡੈਸੀਬਲ ਕਿਲੋਵਾਟ
डेसिबल मिलीवॅट,ਡੈਸੀਬਲ ਮਿਲੀਵਾਟ
डेसिबल पिकोवॅट,ਡੈਸੀਬਲ ਪਿਕੋਵਾਟ
डेसिबल सूचना आवाज,ਡੈਸੀਬਲ ਹਦਾਇਤ ਸ਼ੋਰ
डेसिबल व्होल्ट,ਡੈਸੀਬਲ ਵੋਲਟ
डेसिबल वॅट,ਡੈਸੀਬਲ ਵਾਟ
डेसिबल सूचना कपलिंग,ਡੈਸੀਬਲ ਨਿਰਦੇਸ਼ ਜੋੜ
डायरेक्ट करंट (कन्व्हर्टर),ਡਾਇਰੈਕਟ ਕਰੰਟ (ਕਨਵਰਟਰ)
डिस्कनेक्शन सर्किट,ਡਿਸਕਨੈਕਸ਼ਨ ਸਰਕਟ
डी ब्रोग्ली समीकरण,ਡੀ ਬਰੋਗਲੀ ਸਮੀਕਰਨ
डी ब्रॅगली लाट,ਡੀ ਬ੍ਰੈਗਲੀ ਵੇਵ
डी ब्रॅगली तरंगलांबी,ਡੀ ਬ੍ਰਾਗਲੀ ਤਰੰਗ-ਲੰਬਾਈ
डी ब्रॅगली तत्त्व,ਡੀ ਬ੍ਰੈਗਲੀ ਸਿਧਾਂਤ
डी ब्रोगली संबंध,ਡੀ ਬਰੋਗਲੀ ਰਿਸ਼ਤਾ
डी हास व्हॅन अल्फेन प्रभाव,ਡੀ ਹਾਸ ਵੈਨ ਅਲਫੇਨ ਪ੍ਰਭਾਵ
डेला रु आणि मिलर नियम,ਡੇਲਾ ਰੂ ਅਤੇ ਮਿਲਰ ਨਿਯਮ
व्युत्पत्ती,ਵਿਉਤਪੱਤੀ
सिटर समुदाय,ਸਿਟਰ ਕਮਿਊਨਿਟੀ
अपवर्तक तुळई,ਰਿਫ੍ਰੈਕਟਿਵ ਬੀਮ
प्रतिबंधित,ਬੇਰੋਕ
न्यूट्रलायझर,neutralizer
निष्क्रिय प्रभाव,ਪੈਸਿਵ ਪ੍ਰਭਾਵ
"निष्क्रिय करणे, निष्क्रिय करणे","ਅਕਿਰਿਆਸ਼ੀਲਤਾ, ਅਕਿਰਿਆਸ਼ੀਲਤਾ"
निष्क्रिय परिसर,ਨਾ-ਸਰਗਰਮ ਇਮਾਰਤ
अपंग डोल,ਅਪਾਹਜ ਡੋਲ
दोलन प्रतिसाद थांबवा,ਔਸਿਲੇਸ਼ਨ ਜਵਾਬ ਨੂੰ ਰੋਕੋ
निर्जीव सर्किट,ਗੈਰ-ਜੀਵਨ ਸਰਕਟ
"ध्वनी रेक्सेटिव्ह एंड, एंड एंड, ब्लाइंड एंड","ਧੁਨੀ ਅਪ੍ਰਤੱਖ ਅੰਤ, ਅੰਤ ਦਾ ਅੰਤ, ਅੰਨ੍ਹਾ ਅੰਤ"
अक्रिय खंड प्रभाव,ਅੜਿੱਕਾ ਧਾਰਾ ਪ੍ਰਭਾਵ
निष्क्रिय विभाग शॉर्ट सर्किट स्विच,ਪੈਸਿਵ ਸੈਕਸ਼ਨ ਸ਼ਾਰਟ ਸਰਕਟ ਸਵਿੱਚ
अचानक ब्रेक,ਅਚਾਨਕ ਬਰੇਕ
सुन्न भार,ਸੁੰਨ ਲੋਡ
इकोलेस रूम,ਗੂੰਜ ਰਹਿਤ ਕਮਰਾ
पूर्ण लहान मार्ग,ਪੂਰਾ ਛੋਟਾ ਰਸਤਾ
निष्क्रिय भाग,ਪੈਸਿਵ ਹਿੱਸਾ
शांत जागा,ਚੁੱਪ ਸਥਾਨ
नॉन इको स्टुडिओ,ਗੈਰ ਈਕੋ ਸਟੂਡੀਓ
इतर वेळ,ਆਰਾਮ ਦਾ ਸਮਾਂ
विश्रांती वेळ पुनरावृत्ती,ਆਰਾਮ ਦਾ ਸਮਾਂ ਸੰਸ਼ੋਧਨ
गणित विश्रांती वेळ,ਗਣਿਤ ਦੇ ਆਰਾਮ ਦਾ ਸਮਾਂ
स्थिर लोड प्रभावी,ਸਥਿਰ ਲੋਡ ਪ੍ਰਭਾਵਸ਼ਾਲੀ
एकूण टन,ਕੁੱਲ ਟਨੇਜ
लॉक केलेला लोलक,ਤਾਲਾਬੰਦ ਪੈਂਡੂਲਮ
"कॉर्पोरेट पोझिशनिंग, एक्रोनिम पोझिशनिंग","ਕਾਰਪੋਰੇਟ ਪੋਜੀਸ਼ਨਿੰਗ, ਸੰਖੇਪ ਪੋਜੀਸ਼ਨਿੰਗ"
शामक प्रभाव,ਸੈਡੇਟਿਵ ਪ੍ਰਭਾਵ
बहिरेपणा,ਬਹਿਰਾਪਨ
डीन क्रमांक,ਡੀਨ ਨੰਬਰ
डेथनियम केंद्र,ਡੈਥਨਿਅਮ ਸੈਂਟਰ
कमकुवत शक्ती,ਕਮਜ਼ੋਰ ਤਾਕਤ
डेबोरा क्रमांक,ਡੇਬੋਰਾਹ ਨੰਬਰ
दोष मॉडेल,ਨੁਕਸ ਮਾਡਲ
निर्दोष सुटका,ਬਰੀ
फिक्सेशन मदत दिनचर्या,ਫਿਕਸੇਸ਼ਨ ਸਹਾਇਤਾ ਰੁਟੀਨ
सेट-ऑफ घालणे,ਸੈੱਟ-ਆਫ ਸੰਮਿਲਨ
साफ करण्याची लांब प्रक्रिया,ਸਾਫ਼ ਕਰਨ ਦੀ ਲੰਬੀ ਪ੍ਰਕਿਰਿਆ
पृथक्करण,ਵਿਛੋੜਾ
Debye वैशिष्ट्यपूर्ण तापमान,Debye ਵਿਸ਼ੇਸ਼ਤਾ ਦਾ ਤਾਪਮਾਨ
डेबाय इफेक्ट,Debye ਪ੍ਰਭਾਵ
Debye समीकरण,Debye ਸਮੀਕਰਨ
Debye ध्रुवीकरण समीकरण,ਡੇਬੀ ਪੋਲਰਾਈਜ਼ੇਸ਼ਨ ਸਮੀਕਰਨ
Debye बल,Debye ਫੋਰਸ
Debye वारंवारता,ਡੇਬੀ ਫ੍ਰੀਕੁਐਂਸੀ
Debye Huckel आतील त्रिज्या,ਡੇਬੀ ਹਕਲ ਅੰਦਰੂਨੀ ਰੇਡੀਅਸ
डेबी हकल तत्त्व,ਡੇਬੀ ਹਕਲ ਦਾ ਸਿਧਾਂਤ
Debye संवाद,ਡੇਬੀ ਇੰਟਰਐਕਸ਼ਨ
डेबी जोन्सी स्कॅटरिंग,ਡੇਬੀ ਜੋਨਸੀ ਸਕੈਟਰਿੰਗ
"मधुमेहाची लांबी, डायबी अंतर","ਡਾਇਬ ਦੀ ਲੰਬਾਈ, ਡਾਇਬੀ ਦੂਰੀ"
Debye Mac Ale व्युत्पन्न,Debye Mac Ale ਡੈਰੀਵੇਟਿਵ
देवे विभव,ਦੇਬੀ ਵਿਭਵ
डेबी-त्रिज्या,ਦੇਬੀ- ਘੇਰੇ
कर्ज-विराम,ਕਰਜ਼ਾ-ਵਿਰਾਮ
Debye शिल्डिंग लांबी,ਡੇਬੀ ਸ਼ੀਲਡਿੰਗ ਲੰਬਾਈ
Debye विशिष्ट उष्णता,Debye ਖਾਸ ਹੀਟ
डेबी हीटिंग,ਡੇਬੀ ਹੀਟਿੰਗ
कर्ज युनिट,ਕਰਜ਼ਾ ਯੂਨਿਟ
Debye Waller गुणक,ਡੇਬੀ ਵਾਲਰ ਗੁਣਕ
डेबी फाल्केनहेगन प्रभाव,ਡੇਬੀ ਫਾਲਕਨਹੇਗਨ ਪ੍ਰਭਾਵ
"Debye-Sherer-Hill पावडर पद्धत, Debye-Scherer-Hill पावडर पद्धत","ਡੇਬੀ-ਸ਼ੇਰਰ-ਹਿੱਲ ਪਾਊਡਰ ਵਿਧੀ, ਡੇਬੀ-ਸ਼ੇਰਰ-ਹਿੱਲ ਪਾਊਡਰ ਵਿਧੀ"
डेबी सीअर्स अल्ट्रासोनिक सेल,ਡੇਬੀ ਸੀਅਰਜ਼ ਅਲਟਰਾਸੋਨਿਕ ਸੈੱਲ
दहा,ਦਸ
"दशक पूल, दशक पूल","ਦਹਾਕਾ ਪੁਲ, ਦਹਾਕੇ ਵਾਲਾ ਪੁਲ"
दशक कॅल्क्युलेटर,ਦਹਾਕਾ ਕੈਲਕੁਲੇਟਰ
दशक कॅल्क्युलेटर ट्यूब,ਦਹਾਕਾ ਕੈਲਕੁਲੇਟਰ ਟਿਊਬ
दशांश प्रतिकार बॉक्स,ਦਸ਼ਕ ਪ੍ਰਤੀਰੋਧ ਬਾਕਸ
दशक कॅल्क्युलेटर,ਦਹਾਕਾ ਕੈਲਕੁਲੇਟਰ
दशकीय टेथर्ड सर्किट,ਦਹਾਕੇਦਾਰ ਟੀਥਰਡ ਸਰਕਟ
डिकॅलिटर,decaliter
decameter,decameter
डीकेमेट्रिक रेडिओ लहरी,decametric ਰੇਡੀਓ ਤਰੰਗ
decaampere शिल्लक,decaampere ਸੰਤੁਲਨ
अनावरण,ਉਦਘਾਟਨ
Decastair,ਡੀਕਾਸਟੇਅਰ
क्षय साखळी,ਸੜਨ ਦੀ ਲੜੀ
कॅरीज वैशिष्ट्यपूर्ण,ਕੈਰੀਜ਼ ਦੀ ਵਿਸ਼ੇਸ਼ਤਾ
क्षय स्थिर,ਸੜਨ ਨਿਰੰਤਰ
क्षय निर्देशांक,ਸੜਨ ਸੂਚਕਾਂਕ
क्षय वक्र,ਸੜਨ ਵਕਰ
क्षय गुणांक,ਸੜਨ ਗੁਣਾਂਕ
क्षय साखळी,ਸੜਨ ਦੀ ਲੜੀ
क्षय होणारे गॅमारे,ਵਿਗੜ ਰਹੇ ਗਾਮੇਰੇ
क्षय उष्णता,ਖਰਾਬ ਗਰਮੀ
(रेडिओएक्टिव्ह न्यूक्लाइड्सचा) क्षय कायदा,(ਰੇਡੀਓਐਕਟਿਵ ਨਿਊਕਲਾਈਡਜ਼ ਦਾ) ਸੜਨ ਦਾ ਕਾਨੂੰਨ
क्षय मोड,ਸੜਨ ਮੋਡ
क्षय उत्पादन,ਸੜਨ ਉਤਪਾਦ
क्षय दर,ਸੜਨ ਦੀ ਦਰ
क्षय वेळ,ਸੜਨ ਦਾ ਸਮਾਂ
डेका,ਡੇਕਾ
deca गव्हर्निंग बॉडी,ਡੇਕਾ ਗਵਰਨਿੰਗ ਬਾਡੀ
सौम्य इलेक्ट्रोड,ਪਤਲਾ ਇਲੈਕਟ੍ਰੋਡ
मंद गती,ਹੌਲੀ ਗਤੀ
मंद होणे,ਪਿੱਛੇ ਹਟਣਾ
ब्रेक पॅराशूट,ਬ੍ਰੇਕ ਪੈਰਾਸ਼ੂਟ
विराम वेळ,ਵਿਰਾਮ ਸਮਾਂ
बॅरोमीटर,ਬੈਰੋਮੀਟਰ
एकाग्र लेन्स,ਕੇਂਦਰਿਤ ਲੈਂਸ
बायनॉरल सादरीकरण,ਬਾਈਨੌਰਲ ਪੇਸ਼ਕਾਰੀ
इच्छा,ਇੱਛਾ
डेसिबार,ਡੇਸੀਬਾਰ
डेसिबल,ਡੈਸੀਬਲ
समायोजित डेसिबल,ਵਿਵਸਥਿਤ ਡੈਸੀਬਲ
डेसिबेलोमीटर,ਡੈਸੀਬੇਲੋਮੀਟਰ
femtowatt ओव्हरहेड डेसिबल,femtowatt ਓਵਰਹੈੱਡ ਡੈਸੀਬਲ
मिलीवॅट ओव्हरहेड डेसिबल,ਮਿਲੀਵਾਟ ਓਵਰਹੈੱਡ ਡੈਸੀਬਲ
व्होल्ट ओव्हरहेड डेसिबल,ਵੋਲਟ ਓਵਰਹੈੱਡ ਡੈਸੀਬਲ
वॅट ओव्हरहेड डेसिबल,ਵਾਟ ਓਵਰਹੈੱਡ ਡੈਸੀਬਲ
सूचना कपलिंग ओव्हरहेड डेसिबल,ਨਿਰਦੇਸ਼ ਜੋੜ ਓਵਰਹੈੱਡ ਡੈਸੀਬਲ
सूचना आवाज ओव्हरहेड डेसिबल,ਨਿਰਦੇਸ਼ ਸ਼ੋਰ ਓਵਰਹੈੱਡ ਡੈਸੀਬਲ
किलोवॅट ओव्हरहेड डेसिबल,ਕਿਲੋਵਾਟ ਓਵਰਹੈੱਡ ਡੈਸੀਬਲ
पिकोवॅट ओव्हरहेड डेसिबल,picowatt ਓਵਰਹੈੱਡ ਡੈਸੀਬਲ
देसीग्राम,desigram
दशांश,ਦਸ਼ਮਲਵ
डेसिलिटर,ਡੇਸੀਲੀਟਰ
दशांश स्केल,ਦਸ਼ਮਲਵ ਸਕੇਲ
"दशांश, दशांश","ਦਸ਼ਮਲਵ, ਦਸ਼ਮਲਵ"
दहावी शिल्लक,ਦਸਵਾਂ ਬਕਾਇਆ
दशांश बायनरी स्विच,ਦਸ਼ਮਲਵ ਬਾਈਨਰੀ ਸਵਿੱਚ
दशांश कोड,ਦਸ਼ਮਲਵ ਕੋਡ
दशांश कोड केलेला अंक,ਦਸ਼ਮਲਵ ਕੋਡਿਡ ਅੰਕ
दशांश विस्तार,ਦਸ਼ਮਲਵ ਵਿਸਥਾਰ
दशांश अपूर्णांक,ਦਸ਼ਮਲਵ ਅੰਸ਼
दशांश अंकन प्रणाली,ਦਸ਼ਮਲਵ ਸੰਕੇਤ ਪ੍ਰਣਾਲੀ
दशांश अंकन प्रणाली,ਦਸ਼ਮਲਵ ਸੰਕੇਤ ਪ੍ਰਣਾਲੀ
दशांश चिन्ह,ਦਸ਼ਮਲਵ ਬਿੰਦੂ
दशांश प्रणाली,ਦਸ਼ਮਲਵ ਸਿਸਟਮ
"दशांशीकरण, दशांशीकरण","ਦਸ਼ਮੀਕਰਨ, ਦਸ਼ਮਲਵ"
डेसिमीटर लाट,ਡੈਸੀਮੀਟਰ ਵੇਵ
डिसिनेपर,ਡੀਸੀਨੇਪਰ
डीकोड केलेला संदेश,ਡੀਕੋਡ ਕੀਤਾ ਸੁਨੇਹਾ
निर्णय कक्ष,ਫੈਸਲੇ ਦਾ ਕਮਰਾ
न्यायनिवाडा,ਨਿਰਣਾ ਨਿਰਣਾ
निर्णायक घटक,ਮਹੱਤਵਪੂਰਨ ਤੱਤ
निर्णय कार्य,ਫੈਸਲਾ ਫੰਕਸ਼ਨ
निर्णय सूचना,ਫੈਸਲੇ ਦੀ ਹਦਾਇਤ
निर्णय घेणारा,ਫੈਸਲਾ ਕਰਨ ਵਾਲਾ
"निर्णय, निर्धार","ਫੈਸਲਾ, ਇਰਾਦਾ"
निर्णय घेणे,ਫੈਸਲਾ ਲੈਣਾ
निर्णय मॉडेल,ਫੈਸਲੇ ਦਾ ਮਾਡਲ
निर्णय ऑपरेशन,ਫੈਸਲੇ ਦੀ ਕਾਰਵਾਈ
