Bengali,Punjabi
ফিউশনাল নিউক্লিয়াস মডেল,ਫਿਊਜ਼ਨ ਨਿਊਕਲੀਅਸ ਮਾਡਲ
মিশ্র সংখ্যা,ਮਿਸ਼ਰਤ ਸੰਖਿਆ
মিশ্র অপারেশন,ਮਿਸ਼ਰਤ ਕਾਰਵਾਈ
asral দুল,asral ਪੈਂਡੂਲਮ
সম্মিলিত আলোক বৈদ্যুতিক প্রভাব,ਸੰਯੁਕਤ ਫੋਟੋਇਲੈਕਟ੍ਰਿਕ ਪ੍ਰਭਾਵ
যৌথ বোর্ড,ਸੰਯੁਕਤ ਬੋਰਡ
যৌগিক টারবাইন,ਮਿਸ਼ਰਿਤ ਟਰਬਾਈਨ
মিশ্র কুন্ডলি,ਮਿਸ਼ਰਾ ਕੁੰਡਲੀ
খাদ কয়েল,ਮਿਸ਼ਰਤ ਕੁਆਇਲ
সম্মিলিত ট্রানজিস্টর,ਸੰਯੁਕਤ ਟਰਾਂਜ਼ਿਸਟਰ
সম্মিলিত ইলাস্টিক পরিসীমা,ਸੰਯੁਕਤ ਲਚਕੀਲੇ ਸੀਮਾ
মিলিত বেগ,ਸੰਯੁਕਤ ਗਤੀ
"অঞ্চলগুলির সংমিশ্রণ, টেনসরগুলির সংমিশ্রণ","ਪ੍ਰਦੇਸ਼ਾਂ ਦਾ ਸੁਮੇਲ, ਟੈਂਸਰਾਂ ਦਾ ਸੁਮੇਲ"
বেগ সমন্বয়,ਵੇਗ ਸੁਮੇਲ
কম্প্রেস (সম্পাদনা) কম্প্রেস (v.),ਕੰਪਰੈੱਸ (ਐਡੀ.) ਕੰਪਰੈੱਸ (v.)
সংকুচিত,ਸੰਕੁਚਿਤ
সংকুচিত শরীর,ਸੰਕੁਚਿਤ ਸਰੀਰ
সঙ্কুচিত গ্যাস,ਕੰਪਰੈੱਸਡ ਗੈਸ
সংকোচনযোগ্যতা,ਸੰਕੁਚਿਤਤਾ
সংকোচনযোগ্যতা পরিবর্তন,ਸੰਕੁਚਨਯੋਗਤਾ ਸੋਧ
কম্প্রেসিবিলিটি সহগ,ਸੰਕੁਚਿਤਤਾ ਗੁਣਾਂਕ
কম্প্রেসিবিলিটি সহগ,ਸੰਕੁਚਿਤਤਾ ਗੁਣਾਂਕ
সঙ্কোচন,ਕੰਪਰੈਸ਼ਨ
সংকোচনযোগ্য শরীর,ਸੰਕੁਚਿਤ ਸਰੀਰ
কম্প্রেসিভ প্রবাহ,ਸੰਕੁਚਿਤ ਵਹਾਅ
কম্প্রেসিভ টার্বুলেন্স,ਸੰਕੁਚਿਤ ਗੜਬੜ
কম্প্রেসার মেশিন,ਕੰਪ੍ਰੈਸਰ ਮਸ਼ੀਨ
সঙ্কোচন,ਸੰਕੁਚਨ
কম্প্রেশন সীমা,ਕੰਪਰੈਸ਼ਨ ਸੀਮਾ
কম্প্রেশন মোড,ਕੰਪਰੈਸ਼ਨ ਮੋਡ
কম্প্রেশন রিভেট,ਕੰਪਰੈਸ਼ਨ ਰਿਵੇਟ
কম্প্রেশন বিকৃতি,ਕੰਪਰੈਸ਼ਨ ਵਿਗਾੜ
কম্প্রেশন স্ট্রেস,ਕੰਪਰੈਸ਼ਨ ਤਣਾਅ
কম্প্রেশন ফেজ,ਕੰਪਰੈਸ਼ਨ ਪੜਾਅ
কম্প্রেশন সিস্টেম,ਕੰਪਰੈਸ਼ਨ ਸਿਸਟਮ
কম্প্রেশন বল,ਕੰਪਰੈਸ਼ਨ ਫੋਰਸ
কম্প্রেশন নীতি,ਕੰਪਰੈਸ਼ਨ ਅਸੂਲ
কম্প্রেসিভ বল,ਸੰਕੁਚਿਤ ਫੋਰਸ
কম্প্রেশন বিকৃতি,ਕੰਪਰੈਸ਼ਨ ਵਿਗਾੜ
কম্প্রেশন স্ট্রেস,ਕੰਪਰੈਸ਼ਨ ਤਣਾਅ
কম্প্রেশন ড্রপ বল,ਕੰਪਰੈਸ਼ਨ ਡਰਾਪ ਫੋਰਸ
"কম্প্রেসার, কম্প্রেসার","ਕੰਪ੍ਰੈਸਰ, ਕੰਪ੍ਰੈਸਰ"
মধ্য পথ নেটওয়ার্ক,ਮੱਧ ਮਾਰਗ ਨੈੱਟਵਰਕ
মধ্যবর্তী বেগ,ਵਿਚਕਾਰਲਾ ਵੇਗ
কম্প্রেসিভ তরল,ਸੰਕੁਚਿਤ ਤਰਲ
কম্পটন বোর্ড,ਕੰਪਟਨ ਬੋਰਡ
কম্পটন প্রভাব,ਕੰਪਟਨ ਪ੍ਰਭਾਵ
"কম্পটন ইলেকট্রন, বিপরীত ইলেকট্রন","ਕੰਪਟਨ ਇਲੈਕਟ੍ਰੌਨ, ਉਲਟਾ ਇਲੈਕਟ੍ਰੌਨ"
কম্পটন সমীকরণ,ਕੰਪਟਨ ਸਮੀਕਰਨ
কম্পটন লাইন,ਕੰਪਟਨ ਲਾਈਨ
কম্পটন মিটার,ਕੰਪਟਨ ਮੀਟਰ
কম্পটন রিফ্লেক্স,ਕੰਪਟਨ ਰਿਫਲੈਕਸ
কম্পটন বিক্ষিপ্তকরণ,ਕੰਪਟਨ ਸਕੈਟਰਿੰਗ
কম্পটন স্থানান্তর,ਕੰਪਟਨ ਟ੍ਰਾਂਸਫਰ
কম্পটন তরঙ্গদৈর্ঘ্য,ਕੰਪਟਨ ਤਰੰਗ-ਲੰਬਾਈ
কম্পটন স্ক্যাটার,ਕੰਪਟਨ ਸਕੈਟਰ
কম্পটন বিক্ষিপ্ত ফোটন,ਕਾਂਪਟਨ ਖਿੰਡੇ ਹੋਏ ਫੋਟੌਨ
গণনা,ਗਣਨਾ
গণনামূলক,ਕੰਪਿਊਟੇਸ਼ਨਲ
কম্পিউটেশনাল ক্যাপাসিটি,ਕੰਪਿਊਟੇਸ਼ਨਲ ਸਮਰੱਥਾ
কম্পিউটেশনাল দক্ষতা,ਕੰਪਿਊਟੇਸ਼ਨਲ ਕੁਸ਼ਲਤਾ
কম্পিউটেশনাল সূত্র,ਕੰਪਿਊਟੇਸ਼ਨਲ ਫਾਰਮੂਲਾ
কম্পিউটিং পদ্ধতি,ਕੰਪਿਊਟਿੰਗ ਢੰਗ
গণনামূলক পরিকল্পনা,ਗਣਨਾ ਯੋਜਨਾ
গণনা পদ্ধতি,ਕੰਪਿਊਟੇਸ਼ਨਲ ਢੰਗ
গণনাযোগ্যভাবে,ਹਿਸਾਬ ਨਾਲ
গণনা করা বর্তমান,ਗਣਨਾ ਕੀਤਾ ਮੌਜੂਦਾ
গণনা করা দূরত্ব,ਗਣਨਾ ਕੀਤੀ ਦੂਰੀ
গণনা করা সমীকরণ,ਗਣਨਾ ਕੀਤੀ ਸਮੀਕਰਨ
গণনা করা মান,ਗਣਨਾ ਮੁੱਲ
"কম্পিউটার, কম্পিউটার (মেশিন), কম্পিউটার (ব্যক্তি)","ਕੰਪਿਊਟਰ, ਕੰਪਿਊਟਰ (ਮਸ਼ੀਨ), ਕੰਪਿਊਟਰ (ਵਿਅਕਤੀ)"
গণনা করা অ্যালগরিদম,ਗਣਨਾ ਐਲਗੋਰਿਦਮ
কম্পিউটারের নিষ্ক্রিয়তা,ਕੰਪਿਊਟਰ ਦੀ ਅਕਿਰਿਆਸ਼ੀਲਤਾ
কম্পিউটার সংস্থা,ਕੰਪਿਊਟਰ ਸੰਗਠਨ
কম্পিউটার প্রোগ্রাম,ਕੰਪਿਊਟਰ ਪ੍ਰੋਗਰਾਮ
কম্পিউটার প্রোগ্রামিং,ਕੰਪਿਊਟਰ ਪ੍ਰੋਗਰਾਮਿੰਗ
কম্পিউটার পুনরায় সাজানো কী,ਕੰਪਿਊਟਰ ਪੁਨਰ ਸੰਗਠਿਤ ਕੁੰਜੀ
কম্পিউটার সিমুলেশন,ਕੰਪਿਊਟਰ ਸਿਮੂਲੇਸ਼ਨ
কম্পিউটার সিমুলেটর,ਕੰਪਿਊਟਰ ਸਿਮੂਲੇਟਰ
কম্পিউটার লিমিটেড,ਕੰਪਿਊਟਰ ਲਿਮਿਟੇਡ
গণনা ইউটিলিটি,ਗਣਨਾ ਸਹੂਲਤ
কম্পিউটার ফিট করা,ਕੰਪਿਊਟਰ ਨੂੰ ਫਿੱਟ ਕਰੋ
গণনা,ਗਣਨਾ
গণনার সূত্র,ਗਣਨਾ ਫਾਰਮੂਲਾ
গণনা করা বাঁধাই,ਗਣਨਾ ਕੀਤੀ ਬਾਈਡਿੰਗ
কম্পিউটিং পদ্ধতি,ਕੰਪਿਊਟਿੰਗ ਢੰਗ
কম্পিউটিং স্কেল,ਕੰਪਿਊਟਿੰਗ ਸਕੇਲ
অবতল,ਅਤਰ
অবতল ঝাঁঝরি,ਅਵਤਲ grating
অবতল লেন্স,ਕੰਕੇਵ ਲੈਂਸ
অবতল মেনিস্কাস,ਅਵਤਲ meniscus
অবতল আয়না,ਕੰਕੇਵ ਸ਼ੀਸ਼ਾ
ওরিয়েন্টেড প্রোগ্রামিং,ਓਰੀਐਂਟਿਡ ਪ੍ਰੋਗਰਾਮਿੰਗ
অবতল,ਅਤਰ
দ্বিকনভেক্স,biconcave
অবতল,ਅਤਰ
"মনোনিবেশ করা, মনোনিবেশ করা, মনোনিবেশ করা (ver, ), মনোনিবেশ করা (না, )","ਧਿਆਨ ਕੇਂਦਰਿਤ ਕਰਨਾ, ਧਿਆਨ ਕੇਂਦਰਿਤ ਕਰਨਾ, ਧਿਆਨ ਕੇਂਦਰਿਤ ਕਰਨਾ (ver, ), ਧਿਆਨ ਕੇਂਦਰਤ ਕਰਨਾ (ਨਹੀਂ, )"
"কেন্দ্রীভূত, কেন্দ্রীভূত, কেন্দ্রীভূত","ਕੇਂਦ੍ਰਿਤ, ਕੇਂਦ੍ਰਿਤ, ਕੇਂਦ੍ਰਿਤ"
কেন্দ্রীভূত চাপ,ਕੇਂਦਰਿਤ ਚਾਪ
কেন্দ্রীভূত শক্তি,ਕੇਂਦਰਿਤ ਬਲ
ঘনীভূত তাত্ক্ষণিক উত্স,ਕੇਂਦਰਿਤ ਤਤਕਾਲ ਸਰੋਤ
ঘনীভূত স্ফীতি,ਕੇਂਦਰਿਤ ਬਲਜ
কেন্দ্রীভূত বিভ্রান্তিকর,ਕੇਂਦਰਿਤ ਭਰਮ
"একাগ্রতা, একাগ্রতা, একাগ্রতা, একাগ্রতা","ਇਕਾਗਰਤਾ, ਇਕਾਗਰਤਾ, ਇਕਾਗਰਤਾ, ਇਕਾਗਰਤਾ"
ঘনত্ব overvoltage,ਇਕਾਗਰਤਾ overvoltage
ঘনত্বের মেরুতা,ਇਕਾਗਰਤਾ ਧਰੁਵੀਤਾ
এককেন্দ্রিক বৃত্তাকার রিং,ਮੋਨੋਸੈਂਟ੍ਰਿਕ ਸਰਕੂਲਰ ਰਿੰਗ
কেন্দ্রীভূত বিতরণ,ਕੇਂਦਰਿਤ ਵੰਡ
"কেন্দ্রীভূত স্লট, আবদ্ধ স্লট","ਕੇਂਦਰਿਤ ਸਲਾਟ, ਬਾਊਂਡ ਸਲਾਟ"
কেন্দ্রীভূত লেন্স,ਕੇਂਦਰਿਤ ਲੈਂਸ
কেন্দ্রীভূত রিং,ਕੇਂਦਰਿਤ ਰਿੰਗ
এককেন্দ্রিক আলিঙ্গন,ਕੇਂਦਰਿਤ ਗਲਵੱਕੜੀ
"গর্ভধারণ, গর্ভাবস্থা","ਗਰਭ ਧਾਰਨ, ਗਰਭ ਅਵਸਥਾ"
ধারণাগত,ਸੰਕਲਪਿਕ
ধারণাগত আদর্শ,ਸੰਕਲਪ ਮਾਡਲ
কনসার্ট,ਸੰਗੀਤ ਸਮਾਰੋਹ
কনসার্টিনা,concertina
"সামঞ্জস্য, সুস্থতা","ਅਨੁਕੂਲਤਾ, ਸਥਿਰਤਾ"
"অন্তরঙ্গতা, যোগাযোগ","ਨੇੜਤਾ, ਸੰਚਾਰ"
"সুরেলা, সুর করা, চাপমুক্ত","ਮੇਲ ਖਾਂਦਾ, ਟਿਊਨਡ, ਤਣਾਅ ਰਹਿਤ"
সমবর্তী,ਸਮਕਾਲੀ
সমবর্তী বল,ਸਮਕਾਲੀ ਬਲ
সমসাময়িক গরম,ਸਮਕਾਲੀ ਹੀਟਿੰਗ
সমসাময়িক অপারেশন,ਸਮਕਾਲੀ ਕਾਰਵਾਈ
অনুগামী অপটিক্যাল সিস্টেম,ਪਿਛਲਾ ਆਪਟੀਕਲ ਸਿਸਟਮ
সমবর্তী সম্পদ,ਸਮਕਾਲੀ ਸਰੋਤ
সমসাময়িক প্রতিক্রিয়া,ਸਮਕਾਲੀ ਪ੍ਰਤੀਕਰਮ
পরিচালনা,ਗੱਡੀ ਚਲਾਉਣਾ
তরল,ਤਰਲ
"ঘনীভবন, তরলীকরণ","ਸੰਘਣਾਪਣ, ਤਰਲਤਾ"
তরলীকরণ সহগ,ਤਰਲ ਗੁਣਾਂਕ
তরল বক্ররেখা,ਤਰਲ ਵਕਰ
কম্প্যাকশন বক্ররেখা,ਸੰਕੁਚਿਤ ਕਰਵ
তরল নিউক্লিয়াস,ਤਰਲ ਨਿਊਕਲੀਅਸ
কম্প্যাকশন পয়েন্ট,ਸੰਕੁਚਿਤ ਬਿੰਦੂ
তরল পাম্প,ਤਰਲ ਪੰਪ
সংমিশ্রণবাদ,ਸੰਯੋਗਵਾਦ
"to condense, to liquefy, to liquefy","ਸੰਘਣਾ ਕਰਨਾ, ਤਰਲ ਕਰਨਾ, ਤਰਲ ਕਰਨਾ"
"ঘনীভূত, তরলীকৃত, সংকুচিত","ਸੰਘਣਾ, ਤਰਲ, ਸੰਕੁਚਿਤ"
ঘনীভূত ফিল্ম,ਸੰਘਣੀ ਫਿਲਮ
কম্প্যাক্ট প্রবাহ গঠন,ਸੰਖੇਪ ਵਹਾਅ ਬਣਤਰ
ঘনীভূত নির্দেশ DAC,ਸੰਘਣੀ ਹਦਾਇਤ ਡੀ.ਏ.ਸੀ
ঘনীভূত আইসোথার্ম,ਸੰਘਣਾ ਆਈਸੋਥਰਮ
ঘনীভূত পর্যায়,ਸੰਘਣਾ ਪੜਾਅ
ঘনীভূত স্পার্ক,ਸੰਘਣੀ ਚੰਗਿਆੜੀ
ঘনীভূত অবস্থা,ਸੰਘਣਾ ਰਾਜ
ঘনীভূত সিস্টেম,ਸੰਘਣਾ ਸਿਸਟਮ
"কনডেন্সার, ক্যাপাসিটর, সংগ্রাহক","ਕੰਡੈਂਸਰ, ਕੈਪੇਸੀਟਰ, ਕੁਲੈਕਟਰ"
ক্যাপাসিটর স্টোরেজ,capacitor ਸਟੋਰੇਜ਼
ক্যাপাসিটর ionization চেম্বার,capacitor ionization ਚੈਂਬਰ
লেন্স সংগ্রহ,ਲੈਂਸ ਇਕੱਠਾ ਕਰਨਾ
ক্যাপাসিটর মাইক্রোফোন,capacitor ਮਾਈਕ੍ਰੋਫੋਨ
ক্যাপাসিটর কাগজ,capacitor ਪੇਪਰ
"ঘনীভূত উপাদান, ঘনীভূতকরণ","ਸੰਘਣਾ ਕਰਨ ਵਾਲਾ ਕਾਰਕ, ਸੰਘਣਾ ਕਰਨਾ"
লিকুইফেকশন চেম্বার,ਤਰਲ ਚੈਂਬਰ
ক্যাপাসিটর ইলেক্ট্রোস্কোপ,capacitor ਇਲੈਕਟ੍ਰੋਸਕੋਪ
লেন্স সংগ্রহ,ਲੈਂਸ ਇਕੱਠਾ ਕਰਨਾ
"একরঙা সংগ্রহ, একরঙা সংগ্রহ","ਮੋਨੋਕ੍ਰੋਮੇਟਰ ਇਕੱਠਾ ਕਰਨਾ, ਮੋਨੋਕ੍ਰੋਮੇਟਰ ਇਕੱਠਾ ਕਰਨਾ"
তরলীকৃত বাষ্প ইঞ্জিন,ਤਰਲ ਭਾਫ਼ ਇੰਜਣ
ধারণ প্রতিক্রিয়া,ਪ੍ਰਤੀਕਰਮ ਨੂੰ ਰੱਖਣ
"শর্ত, শর্ত, শর্ত, শর্ত, শর্ত","ਹਾਲਤ, ਹਾਲਤ, ਹਾਲਤ, ਹਾਲਤ, ਹਾਲਤ"
হস্তক্ষেপের সীমাবদ্ধতা,ਦਖਲ ਦੀ ਪਾਬੰਦੀ
সীমা সংখ্যা,ਸੀਮਾ ਨੰਬਰ
প্রান্তিককরণ সীমাবদ্ধতা,ਅਨੁਕੂਲਤਾ ਪਾਬੰਦੀ
সামঞ্জস্য সীমাবদ্ধতা,ਅਨੁਕੂਲਤਾ ਪਾਬੰਦੀਆਂ
ধারাবাহিকতা সীমাবদ্ধতা,ਇਕਸਾਰਤਾ ਪਾਬੰਦੀਆਂ
শক্তি ভারসাম্য-সীমাবদ্ধতা,ਊਰਜਾ ਸੰਤੁਲਨ-ਪਾਬੰਦੀ
ভারসাম্য সীমাবদ্ধতা,ਸੰਤੁਲਨ ਪਾਬੰਦੀ
incompressibility- সীমাবদ্ধতা,incompressibility- ਪਾਬੰਦੀ
অনুরণন সীমাবদ্ধতা,ਗੂੰਜ ਪਾਬੰਦੀ
সীমাবদ্ধ যুক্তি,ਪ੍ਰਤੀਬੰਧਿਤ ਤਰਕ
নিষেধাজ্ঞা শাখা,ਪਾਬੰਦੀ ਸ਼ਾਖਾ
"ব্রেক-ইন ইন্সট্রাকশন, ব্রেক-ইন ইন্সট্রাকশন","ਬਰੇਕ-ਇਨ ਹਦਾਇਤ, ਬਰੇਕ-ਇਨ ਹਦਾਇਤ"
সীমাবদ্ধ অভিসরণ,ਸੀਮਤ ਕਨਵਰਜੈਂਸ
শর্তসাপেক্ষ তদন্ত,ਸ਼ਰਤੀਆ ਜਾਂਚ
শর্তসাপেক্ষ এনট্রপি,ਕੰਡੀਸ਼ਨਲ ਐਂਟਰੌਪੀ
সীমাবদ্ধ অস্থিরতা,ਪ੍ਰਤਿਬੰਧਿਤ ਅਸਥਿਰਤਾ
সীমাবদ্ধ যুক্তি,ਪ੍ਰਤਿਬੰਧਿਤ ਤਰਕ
শর্তাধীন অপারেশন,ਸ਼ਰਤੀਆ ਕਾਰਵਾਈ
সীমা পরিমাণ,ਸੀਮਾ ਮਾਤਰਾ
"সীমাবদ্ধ স্থায়ীত্ব, সীমাবদ্ধ স্থায়ীত্ব","ਪ੍ਰਤਿਬੰਧਿਤ ਸਥਾਈਤਾ, ਪ੍ਰਤਿਬੰਧਿਤ ਸਥਾਈਤਾ"
"Condon Parabola, Condon Parabola","ਕੰਡੋਨ ਪਰਾਬੋਲਾ, ਕੰਡੋਨ ਪਰਾਬੋਲਾ"
কনডর,ਕੰਡੋਰ
পরিবাহিতা,ਚਾਲਕਤਾ
পরিবাহিতা অনুপাত,ਚਾਲਕਤਾ ਅਨੁਪਾਤ
ড্রাইভার উপবৃত্তাকার,ਡਰਾਈਵਰ ਅੰਡਾਕਾਰ
ড্রাইভার তরল,ਡਰਾਈਵਰ ਤਰਲ
পরিবাহী তার,ਸੰਚਾਲਕ ਤਾਰ
ড্রাইভিং মাধ্যম,ਡਰਾਈਵਿੰਗ ਮਾਧਿਅਮ
সময় চলমান,ਚੱਲ ਰਿਹਾ ਸਮਾਂ
ড্রাইভার বল,ਡਰਾਈਵਰ ਬਾਲ
ড্রাইভার ক্ষেত্র,ਡਰਾਈਵਰ ਖੇਤਰ
পরিবহন ব্যান্ড,ਸੰਚਾਲਨ ਬੈਂਡ
পরিবাহী বর্তমান,ਸੰਚਾਲਨ ਮੌਜੂਦਾ
পরিবাহী বর্তমান ঘনত্ব,ਸੰਚਾਲਨ ਮੌਜੂਦਾ ਘਣਤਾ
"পরিবাহী ইলেকট্রন, ভ্যালেন্স ইলেকট্রন","ਸੰਚਾਲਨ ਇਲੈਕਟ੍ਰੌਨ, ਵੈਲੈਂਸ ਇਲੈਕਟ੍ਰੌਨ"
পরিবাহী পাম্প,ਸੰਚਾਲਨ ਪੰਪ
ড্রাইভার আবরণ,ਡਰਾਈਵਰ ਪਰਤ
পরিবাহী কাপলিং,ਸੰਚਾਲਕ ਜੋੜ
পরিবাহী বধিরতা,ਸੰਚਾਲਕ ਬੋਲਾਪਣ
পরিবাহী নিমজ্জন,ਸੰਚਾਲਕ ਇਮਰਸ਼ਨ
পরিবাহিতা,ਚਾਲਕਤਾ
"পরিবাহিতা-সেতু, পরিবাহিতা-সেতু","ਸੰਚਾਲਕਤਾ-ਪੁਲ, ਸੰਚਾਲਕਤਾ-ਪੁਲ"
পরিবাহিতা কোষ,ਚਾਲਕਤਾ ਸੈੱਲ
পরিবাহিতা সহগ,ਚਾਲਕਤਾ ਗੁਣਾਂਕ
পরিবাহিতা মডুলেশন ট্রানজিস্টর,ਕੰਡਕਟੀਵਿਟੀ ਮੋਡੂਲੇਸ਼ਨ ਟਰਾਂਜ਼ਿਸਟਰ
পরিবাহিতা মড্যুলেশন,ਚਾਲਕਤਾ ਮੋਡਿਊਲੇਸ਼ਨ
পরিবাহিতা অনুপাত,ਚਾਲਕਤਾ ਅਨੁਪਾਤ
পরিবাহিতা বর্ণালী,ਚਾਲਕਤਾ ਸਪੈਕਟ੍ਰਮ
পরিবাহকত্ব মাপার যন্ত্র,ਚਾਲਕਤਾ ਮੀਟਰ
পরিবাহিতা বিশ্লেষণ,ਚਾਲਕਤਾ ਵਿਸ਼ਲੇਸ਼ਣ
ড্রাইভার,ਡਰਾਈਵਰ
শঙ্কু অ্যান্টেনা,ਕੋਨ ਐਂਟੀਨਾ
শঙ্কু লাউডস্পিকার,ਕੋਨ ਲਾਊਡਸਪੀਕਰ
ঘর্ষণ শঙ্কু,ਰਗੜ ਕੋਨ
নীরবতা শঙ্কু,ਚੁੱਪ ਕੋਨ
z-মার্কার বীকন,z-ਮਾਰਕਰ ਬੀਕਨ
শঙ্কু শীট,ਕੋਨ ਸ਼ੀਟ
আত্মবিশ্বাস বক্ররেখা,ਵਿਸ਼ਵਾਸ ਵਕਰ
আত্মবিশ্বাস সহগ,ਵਿਸ਼ਵਾਸ ਗੁਣਾਂਕ
বিশ্বস্ততা,ਵਫ਼ਾਦਾਰੀ
বিশ্বাস বার,ਭਰੋਸਾ ਪੱਟੀ
বিশ্বস্ততা মেখেল,ਵਫ਼ਾਦਾਰੀ ਮੇਖੇਲਾ
আস্থা ব্যবধান,ਵਿਸ਼ਵਾਸ ਅੰਤਰਾਲ
আত্মবিশ্বাসের ব্যবধান অনুমান,ਵਿਸ਼ਵਾਸ ਅੰਤਰਾਲ ਦਾ ਅਨੁਮਾਨ
বিশ্বস্ততার সীমা,ਵਫ਼ਾਦਾਰੀ ਦੀਆਂ ਸੀਮਾਵਾਂ
"কনফিগারেশন, কনফিগারেশন","ਸੰਰਚਨਾ, ਸੰਰਚਨਾ"
"কনফিগারেশন নিয়ন্ত্রণ, অবস্থান নিয়ন্ত্রণ","ਸੰਰਚਨਾ ਨਿਯੰਤਰਣ, ਸਥਿਤੀ ਨਿਯੰਤਰਣ"
কনফিগারেশন-মিথস্ক্রিয়া,ਸੰਰਚਨਾ-ਇੰਟਰੈਕਸ਼ਨ
কনফিগারেশন,ਸੰਰਚਨਾ
কনফিগারেশন স্থানাঙ্ক,ਕੌਂਫਿਗਰੇਸ਼ਨ ਕੋਆਰਡੀਨੇਟਸ
কনফিগারেশনাল তাপ ক্ষমতা,ਸੰਰਚਨਾ ਗਰਮੀ ਸਮਰੱਥਾ
দৃশ্যত উত্তেজিত অবস্থা,ਜ਼ਾਹਰ ਤੌਰ &#39;ਤੇ ਉਤਸ਼ਾਹਿਤ ਰਾਜ
নিশ্চিতকরণ প্রমাণ,ਪੁਸ਼ਟੀ ਸਬੂਤ
কনফোকাল,confocal
কনফোকাল স্থানাঙ্ক,confocal ਧੁਰੇ
কনফোকাল রেজোনেটর,ਕਨਫੋਕਲ ਰੈਜ਼ੋਨੇਟਰ
কনফোকাল পৃষ্ঠা,confocal ਸਫ਼ਾ
মেনে চলা,ਅਨੁਕੂਲ
কনফিগারেশন,ਸੰਰਚਨਾ
"গঠনমূলক বিশ্লেষণ, গঠনমূলক বিশ্লেষণ","ਰਚਨਾਤਮਕ ਵਿਸ਼ਲੇਸ਼ਣ, ਰਚਨਾਤਮਕ ਵਿਸ਼ਲੇਸ਼ਣ"
"প্রতারক প্রতিফলক, বিভ্রম","ਧੋਖੇਬਾਜ਼ ਰਿਫਲੈਕਟਰ, ਭਰਮ"
অস্বচ্ছতা এলাকা,ਧੁੰਦਲਾਪਨ ਖੇਤਰ
সঙ্গতি,ਇਕਸਾਰਤਾ
সঙ্গতিপূর্ণ,ਇਕਸਾਰ
কনিক স্থানাঙ্ক,ਕੋਨਿਕ ਕੋਆਰਡੀਨੇਟਸ
কনিক প্রবাহ,ਕੋਨਿਕ ਵਹਾਅ
শঙ্কুযুক্ত কুন্ডলিনী,ਕੋਨਿਕਲ ਕੁੰਡਲਨੀ
শঙ্কু-শিং,ਕੋਨ-ਸਿੰਗ
শঙ্কুযুক্ত অ্যান্টেনা,ਕੋਨਿਕਲ ਐਂਟੀਨਾ
শঙ্কুযুক্ত মিশুক,ਕੋਨਿਕਲ ਮਿਕਸਰ
পেন্ডুলাম,ਪੈਂਡੂਲਮ
শঙ্কু প্রতিসরণ,ਕੋਨ ਰਿਫ੍ਰੈਕਸ਼ਨ
কনিক স্ক্যানিং,ਕੋਨਿਕ ਸਕੈਨਿੰਗ
"conjugate (v.), to be conjugated (v.)","ਸੰਯੁਕਤ ਹੋਣਾ (v.), ਸੰਯੁਕਤ ਹੋਣਾ (v.)"
সংযুক্ত অস্ত্র,ਸੰਯੁਕਤ ਹਥਿਆਰ
সংযোজিত অক্ষীয় বিন্দু,ਸੰਯੁਕਤ ਧੁਰੀ ਬਿੰਦੂ
সংযোজিত অক্ষ,ਸੰਯੁਕਤ ਧੁਰਾ
সংযোজিত বাক্য,ਸੰਯੁਕਤ ਵਾਕ
সংযোজিত জটিল গঠন,ਸੰਯੁਕਤ ਗੁੰਝਲਦਾਰ ਬਣਤਰ
সংযোজিত ব্যাস,ਸੰਯੁਕਤ ਵਿਆਸ
সংযোজিত দিক,ਸੰਯੁਕਤ ਦਿਸ਼ਾ
সংযোজিত ফোকাস পার্থক্য,ਸੰਯੁਕਤ ਫੋਕਸ ਅੰਤਰ
সংযোজিত ফোকাস,ਸੰਯੁਕਤ ਫੋਕਸ
সংযোজিত বল,ਸੰਯੁਕਤ ਬਲ
কনজুগেট প্রতিবন্ধকতা,ਸੰਯੁਕਤ ਰੁਕਾਵਟ
কনজুগেট জাল,ਸੰਯੁਕਤ ਜਾਲ
কনজুগেট নিউক্লিয়াস,ਸੰਯੁਕਤ ਨਿਊਕਲੀਅਸ
সংযোজিত প্রতিসাম্য,ਸੰਯੁਕਤ ਸਮਰੂਪਤਾ
সংযোজিত ভেক্টর,ਸੰਯੁਕਤ ਵੈਕਟਰ
কনজুগেট পলিমার বন্ড,ਸੰਯੁਕਤ ਪੋਲੀਮਰ ਬਾਂਡ
কনজুগেট প্যারামিটার,ਸੰਯੁਕਤ ਪੈਰਾਮੀਟਰ
কনজুগেট-প্রতিস্থাপিত নীল গঠন,ਸੰਯੁਕਤ-ਸਥਾਪਿਤ ਨੀਲੀ ਬਣਤਰ
সংযোজিত গতি,ਸੰਯੁਕਤ ਗਤੀ
কাকতালীয় অপারেশন,ਸੰਜੋਗ ਕਾਰਵਾਈ
ফ্যাক্টর ফাইন্ডিং,ਕਾਰਕ ਖੋਜ
লেটারাল অ্যাসোসিয়েটেড,ਲੇਟਰਲ ਐਸੋਸੀਏਟਿਡ
"চেইন সম্পর্কিত, বিভাগ সম্পর্কিত","ਲੜੀ ਨਾਲ ਸਬੰਧਤ, ਸ਼੍ਰੇਣੀ ਨਾਲ ਸਬੰਧਤ"
সংশ্লিষ্ট লোড,ਸੰਬੰਧਿਤ ਲੋਡ
