Bengali,Gujarati
ডায়াগনস্টিক সিস্টেম,ડાયગ્નોસ્ટિક સિસ્ટમ
কারণ নির্ণয়,ડાયગ્નોસ્ટિક્સ
চিত্র,રેખાકૃતિ
ডায়াল,ડાયલ
ডায়াল লাইন,ડાયલ લાઇન
ডায়াল টোন,ડાયલ ટોન
ডায়াল আপ,ડાયલ કરો
ডায়ালগ,સંવાદ
সংলাপ বাক্স,સંવાદ બોક્સ
ডায়ালআপ মডেম,ડાયલઅપ મોડેમ
মাত্রা,પરિમાણ
অভিধান,શબ્દકોશ
পৃথকীকরণ,તફાવત
ডিজিটাল,ડિજિટલ
ডিজিটাল চ্যানেল,ડિજિટલ ચેનલ
ডিজিটাল সার্কিট,ડિજિટલ સર્કિટ
ডিজিটাল কম্পিউটার,ડિજિટલ કમ્પ્યુટર
ডিজিটাল তথ্য,ડિજિટલ ડેટા
ডিজিটাল সুবিধা,ડિજિટલ સુવિધા
ডিজিটাল ফিল্টার,ડિજિટલ ફિલ્ટર
ডিজিটাল লাইব্রেরি,ડિજિટલ પુસ્તકાલય
ডিজিটাল মড্যুলেশন,ડિજિટલ મોડ્યુલેશન
ডিজিটাল মনিটর,ડિજિટલ મોનિટર
ডিজিটাল ছবি,ડિજિટલ ચિત્ર
ডিজিটাল স্বাক্ষর,ડિજિટલ હસ્તાક્ષર
ডিজিটাল সুইচ,ડિજિટલ સ્વીચ
ডিজিটাল থেকে এনালগ (D/A) রূপান্তরকারী,ડિજિટલ થી એનાલોગ (D/A) કન્વર્ટર
ডিজিটাইজেশন,ડિજિટાઇઝેશન
ডিজিটাইজ করা,ડિજિટાઇઝ કરો
ডিজিটাইজার,ડિજિટાઇઝર
ডায়োড,ડાયોડ
সরাসরি,પ્રત્યક્ષ
সরাসরি ঠিকানা,સીધું સરનામું
সরাসরি রূপান্তর,સીધું રૂપાંતર
সরাসরি সংযোগ,સીધું જોડાણ
সরাসরি মেমরি অ্যাক্সেস (DMA),ડાયરેક્ટ મેમરી એક્સેસ (DMA)
সরাসরি মেমরি অ্যাক্সেস (DMA),ડાયરેક્ટ મેમરી એક્સેસ (DMA)
সরাসরি পদ্ধতি,સીધી પદ્ધતિ
নির্দেশ,નિર્દેશ
ডিরেক্টরি,ડિરેક્ટરી
ডিরেক্টরি সার্ভার,ડિરેક્ટરી સર્વર
ডিরেক্টরি সেবা,ડિરેક્ટરી સેવા
নিষ্ক্রিয়,નિષ્ક્રિય
অক্ষম সংকেত,નિષ્ક્રિય સંકેત
সংযোগ বিচ্ছিন্ন,ડિસ્કનેક્ટ
বিযুক্ত,અલગ
ডিস্ক,ડિસ્ક
ডিস্ক ঠিকানা,ડિસ્ક સરનામું
ডিস্ক অ্যারে,ડિસ્ક એરે
ডিস্ক ক্ষমতা,ડિસ્ક ક્ષમતા
তথ্য ধারণ করে যে চাকতি,ડિસ્ક ડ્રાઇવ
ডিস্ক ফাইল,ડિસ્ક ફાઇલ
ডিস্ক মেমরি,ડિસ્ક મેમરી
ডিস্ক অপারেটিং সিস্টেম (DOS),ડિસ્ક ઓપરેટિંગ સિસ્ટમ (DOS)
ডিস্ক প্যাক,ડિસ્ક પેક
ডিস্ক সার্ভার,ડિસ્ક સર્વર
ডিস্ক স্টোরেজ,ડિસ્ક સંગ્રહ
ডিস্কেট,ડિસ્કેટ
প্রদর্শন ফাইল,ડિસ્પ્લે ફાઇલ
প্রদর্শন চিত্র,પ્રદર્શિત છબી
নিষ্পত্তি,નિકાલ
দূরত্ব,અંતર
দূরত্ব ফাংশন,અંતર કાર્ય
বিকৃতি,વિકૃતિ
বিতরণ করা,વિતરિત
বিতরণ করা তথ্য,વિતરિત ડેટા
বিতরণ করা সার্ভার,વિતરિત સર્વર
বিতরণ ব্যবস্থা,વિતરણ સિસ્ટમ
বিতরণকারী,વિતરણકારી
নথি,દસ્તાવેજ
নথি উদ্ধার করা হয়েছে,દસ્તાવેજ પુનઃપ્રાપ્ત
নথি উইন্ডো,દસ્તાવેજ વિન્ડો
ডকুমেন্টেশন,દસ્તાવેજીકરણ
ডোমেইন,ડોમેન
ডোমেন নাম,ડોમેન નામ
ডট ম্যাট্রিক্স প্রিন্টার,ડોટ મેટ્રિક્સ પ્રિન્ટર
নিচে,નીચે
ডাউন লিঙ্ক,ડાઉન લિંક
ডাউন লোড হচ্ছে,ડાઉન લોડિંગ
ডাউন সময়,ડાઉન સમય
টেনে আনা,ખેંચીને
DRAM (গতিশীল RAM),DRAM (ડાયનેમિક રેમ)
প্রবাহ,ડ્રિફ્ટ
ড্রাইভার,ડ્રાઈવર
ড্রপ,ડ્રોપ
ড্রপ ডাউন তালিকা বাক্স,ડ્રોપ ડાઉન સૂચિ બોક્સ
ড্রাম ড্রাইভ,ડ્રમ ડ્રાઇવ
ড্রাম প্রিন্টার,ડ્રમ પ્રિન્ટર
ড্রাম ইউনিট,ડ્રમ યુનિટ
দ্বৈত,દ્વિ
দ্বৈত ঘনত্ব,બેવડી ઘનતા
ডামি ঠিকানা,બનાવટી સરનામું
ডাম্প,ડમ્પ
ডুপ্লেক্স সার্কিট,ડુપ્લેક્સ સર્કિટ
ডুপ্লেক্সিং,દ્વિગુણિત
নকল,ડુપ્લિકેટ
ডিভিডি R/W,ડીવીડી આર/ડબલ્યુ
ডিভিডি রম,ડીવીડી રોમ
গতিশীল নির্দেশ,ગતિશીલ સૂચના
গতিশীল মেমরি,ગતિશીલ મેમરી
গতিবিদ্যা,ગતિશીલતા
ইবিসিডিআইসি,EBCDIC
ই-ব্যবসা,ઈ-વ્યવસાય
প্রতিধ্বনি,પડઘો
ই-কমার্স,ઈ-કોમર્સ
সম্পাদনা,ફેરફાર કરો
সম্পাদক,સંપાદક
শিক্ষাবিষয়ক প্রযুক্তি,શૈક્ષણિક ટેકનોલોજી
ইইপি রম,EEP રોમ
কার্যকর ঠিকানা (ভাসমান ঠিকানা),અસરકારક સરનામું (ફ્લોટિંગ સરનામું)
কার্যকর অপারেন্ড ঠিকানা,અસરકારક ઓપરેન્ડ સરનામું
কার্যকর পদ্ধতি,અસરકારક પ્રક્રિયા
কার্যকর ইউআইডি (ব্যবহারকারী সনাক্তকরণ),અસરકારક UID (વપરાશકર્તા ઓળખ)
কার্যকরী ট্রান্সমিশন অপারেন্ড,અસરકારક ટ્રાન્સમિશન ઓપરેન્ડ
আট-বিট বাইট,આઠ-બીટ બાઈટ
ই-লার্নিং,ઈ-લર્નિંગ
নির্বাচন-সংলগ্নতা,ચૂંટણી-અલગર્થમ
বৈদ্যুতিক মেইলিং (ই-মেইল),ઇલેક્ટ્રિક મેઇલિંગ (ઇ-મેલ)
বৈদ্যুতিক প্রিন্টার,ઇલેક્ટ્રિક પ્રિન્ટર
বৈদ্যুতিক অ্যাকাউন্টিং মেশিন,ઇલેક્ટ્રિકલ એકાઉન્ટિંગ મશીન
বৈদ্যুতিক,ઇલેક્ટ્રોનિક
ইলেকট্রনিক ক্লিয়ারেন্স সিস্টেম (ECS),ઇલેક્ટ્રોનિક ક્લિયરન્સ સિસ્ટમ (ECS)
ইলেকট্রনিক ডেটা ইন্টারচেঞ্জ (EDI),ઇલેક્ટ્રોનિક ડેટા ઇન્ટરચેન્જ (EDI)
ইলেকট্রনিক তথ্য প্রক্রিয়াকরণ,ઇલેક્ટ્રોનિક ડેટા પ્રોસેસિંગ
ইলেকট্রনিক ফাইলিং,ઇલેક્ટ્રોનિક ફાઇલિંગ
ইলেকট্রনিক ফান্ড ট্রান্সফার সিস্টেম (EFTS),ઇલેક્ટ્રોનિક ફંડ ટ્રાન્સફર સિસ્ટમ (EFTS)
ইলেকট্রনিক জার্নাল,ઇલેક્ટ્રોનિક જર્નલ્સ
ইলেকট্রনিক প্রকাশনা,ઇલેક્ટ્રોનિક પ્રકાશન
ইলেকট্রনিক সুইচ,ઇલેક્ટ્રોનિક સ્વીચ
উপাদান,તત્વ
ই-মেইল,ઈ-મેલ
ই-মেইল ঠিকানা,ઈ - મેઈલ સરનામું
এমবেডেড সিস্টেম,એમ્બેડેડ સિસ્ટમ
এমবেডিং,એમ્બેડિંગ
ইমিটার কাপল লজিক (ইসিএল),એમિટર કપલ લોજિક (ECL)
খালি স্ট্যাক,ખાલી સ્ટેક
খালি স্ট্রিং,ખાલી શબ્દમાળા
অনুকরণ,અનુકરણ
encapsulation,એન્કેપ્સ્યુલેશન
এনসিফার,સંકેતલિપી
এনকোড,એન્કોડ
এনকোডার,એન્કોડર
এনক্রিপ্ট করা তথ্য,એન્ક્રિપ્ટેડ ડેટા
এনক্রিপ্টিং ফাইল সিস্টেম,એન્ક્રિપ્ટીંગ ફાઇલ સિસ્ટમ
জোড়া লাগানো,એન્ક્રિપ્શન
ব্লকের শেষ,બ્લોકનો અંત
ফাইলের শেষ (EOF),ફાઇલનો અંત (EOF)
শেষ ব্যবহারকারী,અંતિમ વપરાશકર્તા
প্রবেশ করা,દાખલ કરો
এন্টার কী,એન્ટર-કી
এন্টারপ্রাইজ সার্ভার,એન્ટરપ્રાઇઝ સર્વર
এন্টারপ্রাইজ সিস্টেম,એન્ટરપ્રાઇઝ સિસ્ટમ
সত্তা,એન્ટિટી
সত্তা-সম্পর্ক,અસ્તિત્વ-સંબંધ
প্রবেশের সময়,પ્રવેશ સમય
এন্ট্রি ভেরিয়েবল,પ્રવેશ ચલ
গণনাযোগ্য,ગણી શકાય તેવું
পরিবেশ,પર્યાવરણ
যুগ,યુગ
EPROM,EPROM
epsilon বন্ধ,એપ્સીલોન બંધ
সমানকারী,બરાબરી
সরঞ্জাম,સાધનસામગ્રી
সমতা শ্রেণী,સમાનતા વર્ગ
সমতা সম্পর্ক,સમાનતા સંબંધ
মুছে ফেলা,ભુસવું
ত্রুটি সংশোধন কোড,કોડ સુધારવામાં ભૂલ
ত্রুটি সংশোধন,ભૂલ સુધારણા
ত্রুটি সনাক্তকরণ,ભૂલ શોધ
শিল্প খাত,ભૂલ હેન્ડલિંગ
ভুল বার্তা,ક્ષતી સંદેશ
ত্রুটি হার,ભૂલ દર
ত্রুটি পুনরুদ্ধার,ભૂલ પુનઃપ્રાપ્તિ
ত্রুটির রুটিন,ભૂલ નિયમિત
পালাবার চরিত্র,એસ્કેપ પાત્ર
ইথারনেট,ઈથરનેટ
ঘটনা,ઘટના
ইভেন্ট চেইন,ઘટના સાંકળ
ঘটনা নিয়ন্ত্রণ,ઘટના નિયંત્રણ
ইভেন্ট কাউন্টার,ઇવેન્ટ કાઉન્ટર
ব্যতিক্রম হ্যান্ডলিং,અપવાદ હેન્ડલિંગ
বিনিময়যোগ্য ডিস্ক স্টোরেজ,વિનિમયક્ષમ ડિસ્ક સંગ્રહ
বর্জন,બાકાત
একচেটিয়া বা (XOR),વિશિષ્ટ અથવા (XOR)
এক্সিকিউটেবল প্রোগ্রাম,એક્ઝિક્યુટેબલ પ્રોગ્રામ
নির্বাহী বিবৃতি,એક્ઝિક્યુટિવ નિવેદન
সম্পূর্ণ অনুসন্ধান,સંપૂર્ણ શોધ
বিদ্যমান,અસ્તિત્વમાં છે
প্রস্থান,બહાર નીકળો
দক্ষ পদ্ধতি,નિષ્ણાત સિસ્ટમ
অভিব্যক্তি,અભિવ્યક્તિ
বর্ধিত গ্রাফিক অ্যারে (XGA),વિસ્તૃત ગ્રાફિક એરે (XGA)
বর্ধিত শিল্প মান (EIS),વિસ્તૃત ઉદ્યોગ ધોરણ (EIS)
বর্ধিত মেশিন,વિસ્તૃત મશીન
বর্ধিত মেমরি,વિસ્તૃત મેમરી
বর্ধিত নির্ভুলতা,વિસ્તૃત ચોકસાઇ
বর্ধিত বাছাই,વિસ્તૃત વર્ગીકરણ
বাহ্যিক কল,બાહ્ય કૉલ
বাহ্যিক ত্রুটি,બાહ્ય ભૂલ
বাহ্যিক ফাংশন,બાહ્ય કાર્ય
বাহ্যিক বাধা,બાહ્ય વિક્ષેપ
বাহ্যিক স্মৃতি,બાહ્ય મેમરી
বাহ্যিক স্মৃতি,બાહ્ય મેમરી
বাহ্যিক মডেম,બાહ્ય મોડેમ
বাহ্যিক রেফারেন্স,બાહ્ય સંદર્ભ
বাহ্যিক অনুসন্ধান,બાહ્ય શોધ
বাহ্যিক স্টোরেজ ডিভাইস,બાહ્ય સંગ્રહ ઉપકરણ
নিষ্কাশন,નિષ્કર્ષણ
এক্সট্রাপোলেশন,એક્સ્ટ્રાપોલેશન
মুখ-চরিত্রের প্রিন্টার,ફેસ કેરેક્ટર પ્રિન્ટર
ব্যর্থ-নিরাপদ অপারেশন,નિષ્ફળ-સલામત કામગીરી
ব্যর্থতার হার,નિષ્ફળતા દર
ব্যর্থতা পুনরুদ্ধার,નિષ્ફળતા પુનઃપ્રાપ્તિ
মিথ্যা কোড,ખોટો કોડ
মিথ্যা ত্রুটি,ખોટી ભૂલ
ফ্যান-ইন,ફેન-ઇન
ফ্যান-আউট,ફેન-આઉટ
ফ্যাসিমাইল I/O ডিভাইস,ફેસિમિલ I/O ઉપકરણ
ফাস্ট ফোরিয়ার ট্রান্সফর্ম (FFT),ફાસ્ટ ફોરિયર ટ્રાન્સફોર્મ (FFT)
মারাত্মক ত্রুটি,જીવલેણ ભૂલ
ত্রুটি সনাক্তকরণ,ખામી શોધ
ত্রুটি নির্ণয়,ખામી નિદાન
দোষ সহনশীলতা,સહનશીલતા દોષ
ফ্যাক্স,ફેક્સ
ফ্যাক্স বার্তা,ફેક્સ સંદેશ
এফডিসি,FDC
বৈশিষ্ট্য সনাক্তকরণ,લક્ષણ શોધ
ফিড চক্র,ફીડ ચક્ર
প্রতিক্রিয়া,પ્રતિસાદ
ফিডার,ફીડર
আনা,મેળવો
ফিবোনাচি অনুসন্ধান,ફિબોનાકી શોધ
ফিবোনাচি ক্রম,ફિબોનાકી ક્રમ
ফিবোনাচি সিরিজ,ફિબોનાકી શ્રેણી
ফাইবার অপটিক,ફાઇબર ઓપ્ટિક્સ
ফিডো নেট,ફિડો નેટ
ক্ষেত্র,ક્ષેત્ર
পঞ্চম প্রজন্মের কম্পিউটার,પાંચમી પેઢીના કમ્પ્યુટર્સ
ফাইল,ફાઇલ
ফাইল অ্যাক্সেস পদ্ধতি,ફાઇલ એક્સેસ પદ્ધતિ
ফাইল বরাদ্দ টেবিল,ફાઈલ ફાળવણી ટેબલ
ফাইল কম্প্রেশন,ફાઇલ કમ્પ્રેશન
ফাইল কপি করা,ફાઇલ નકલ
ফাইল বিন্যাস,ફાઇલ લેઆઉટ
ফাইল মার্জ,ફાઇલ મર્જ
ফাইল পুনরুদ্ধার,ફાઇલ પુનઃપ્રાપ્તિ
ফাইল স্টোরেজ,ફાઇલ સંગ્રહ
ফাইল গঠন,ફાઇલ માળખું
নথি ব্যবস্থা,ફાઇલ સિસ્ટમ
ফাইল স্থানান্তর,ફાઇલ ટ્રાન્સફર
ফাইল ট্রান্সফার প্রোটোকল (FTP),ફાઇલ ટ્રાન્સફર પ્રોટોકોલ (FTP)
ছাঁকনি,ફિલ્ટર
চূড়ান্ত অবস্থা,અંતિમ સ્થિતિ
অনুসন্ধান,શોધો
সসীম রাষ্ট্র মেশিন,મર્યાદિત રાજ્ય મશીન
আগুন প্রাচীর,આગ દિવાલ
ফার্মওয়্যার,ફર્મવેર
আগে আসলে আগে পাবেন,વહેલા તે પહેલાં
প্রথম প্রজন্মের কম্পিউটার,પ્રથમ પેઢીના કમ્પ્યુટર
ফার্স্ট ইন ফার্স্ট আউট (ফিফো),ફર્સ્ટ ઇન ફર્સ્ટ આઉટ (FIFO)
প্রথম আদেশ যুক্তি,પ્રથમ ઓર્ડર તર્ક
প্রথম আদেশ তত্ত্ব,પ્રથમ ઓર્ડર સિદ્ધાંત
স্থির পার্টিশন,નિશ્ચિત પાર્ટીશન
পতাকা,ધ્વજ
নমনীয় ডিস্ক,લવચીક ડિસ્ક
ফ্লপি ডিস্ক,ફ્લોપી ડિસ્ક
ফ্লপি ডিস্ক ড্রাইভ (এফডিডি),ફ્લોપી ડિસ્ક ડ્રાઇવ (Fdd)
ফ্লো চার্ট,ફ્લો ચાર્ટ
নিয়ন্ত্রণ প্রবাহ,નિયંત્રણનો પ્રવાહ
ফ্লাশ,ફ્લશ
ফোল্ডার,ફોલ્ડર
ফন্ট,ફોન્ટ
ফন্ট পরিবার,ફોન્ટ કુટુંબ
বিদেশী চাবি,બહાર ની ચાવી
ফর্ম,ફોર્મ
অানুষ্ঠানিক ভাষা,ઔપચારિક ભાષા
আনুষ্ঠানিক ব্যবস্থা,ઔપચારિક સિસ્ટમ
বিন্যাস,ફોર્મેટ
বিন্যাস,ફોર્મેટિંગ
ফরট্রান,ફોરટ્રાન
ফরট্রান প্রোগ্রামিং,ફોરટ્રાન પ્રોગ્રામિંગ
ফরোয়ার্ড স্ল্যাশ,ફોરવર્ડ સ્લેશ
চতুর্থ প্রজন্মের কম্পিউটার,ચોથી પેઢીના કમ્પ્યુટર
টুকরা,ટુકડો
ফ্রেম,ફ્રેમ
বিনামূল্যে নেট,મફત નેટ
ফ্রি সফটওয়্যার ফাউন্ডেশন,મફત સોફ્ટવેર ફાઉન્ડેશન
বিনামূল্যে সঞ্চয়স্থান,મફત સંગ્રહ
বিনামূল্যের,ફ્રીવેર
সামনের অংশ,આગળનો છેડો
সম্মুখ প্যানেল,ફ્રન્ટ પેનલ
ফাংশন,કાર્ય
ফাংশন কী,કાર્ય કી
ফাংশন রেফারেন্স,કાર્ય સંદર્ભ
কার্যকরী নির্ভরতা,કાર્યાત્મક નિર્ભરતા
কার্যকরী পরীক্ষা,કાર્યાત્મક પરીક્ષણ
ঝাপসা যুক্তিবিজ্ঞান,અસ્પષ્ટ તર્ક
ঝাপসা সেট,અસ્પષ્ટ સમૂહ
লাভ করা,લાભ
খেলা গাছ,રમત વૃક્ષ
ফাঁক চরিত্র,ગેપ પાત્ર
আবর্জনা,કચરો
আবর্জনা সংগ্রহ,કચરો સંગ્રહ
আবর্জনা সংগ্রহ,કચરો સંગ્રહ
আবর্জনার মধ্যে আবর্জনা আউট (GIGO),ગાર્બેજ ઇન ગાર્બેજ આઉટ (GIGO)
গেট,દરવાજો
প্রবেশপথ,પ્રવેશદ્વાર
সাধারণ প্রোগ্রাম,સામાન્ય કાર્યક્રમ
সাধারণ প্রোগ্রাম,સામાન્ય કાર્યક્રમ
সাধারণ উদ্দেশ্য কম্পিউটার,સામાન્ય હેતુ કમ્પ્યુટર
সাধারণ উদ্দেশ্য কম্পিউটার,સામાન્ય હેતુ કમ્પ્યુટર
সাধারণ রেজিস্টার,સામાન્ય રજીસ્ટર
সাধারণীকরণ,સામાન્યીકરણ
সাধারণীকরণ,સામાન્યીકરણ
সাধারণ-উদ্দেশ্য ভাষা,સામાન્ય હેતુની ભાષા
সাধারণ উদ্দেশ্য অপারেটিং সিস্টেম,સામાન્ય હેતુ ઓપરેટિંગ સિસ્ટમ
সাধারণ-উদ্দেশ্য নিবন্ধক,સામાન્ય હેતુ રજીસ્ટર
উৎপন্ন ত্রুটি,જનરેટ કરેલ ભૂલ
উৎপন্ন ফাংশন,જનરેટીંગ ફંક્શન
জেনেরিক ক্লাস,સામાન્ય વર્ગ
জেনেরিক ফাংশন,સામાન્ય કાર્ય
জেনেরিক নাম,સામાન્ય નામ
গিগো,ગીગો
বিশ্বব্যাপী,વૈશ્વિક
গ্লোবাল কোড,વૈશ્વિક કોડ
গ্লোবাল লক,વૈશ્વિક લોક
বিশ্বব্যাপী নেটওয়ার্ক,વૈશ્વિક નેટવર્ક
বিশ্বব্যাপী নেটওয়ার্ক,વૈશ્વિક નેટવર્ક
বিশ্বব্যাপী ব্যবহারকারী,વૈશ્વિક વપરાશકર્તા
বিশ্ব পরিবর্তনশীল,વૈશ્વિક ચલ
বিশ্বায়ন,વૈશ્વિકરણ
গোফার,ગોફર
গোফার ক্লায়েন্ট,ગોફર ક્લાયંટ
গোফার সার্ভার,ગોફર સર્વર
গোফার সাইট,ગોફર સાઇટ
গোফার স্থান,ગોફર જગ્યા
সাবলীল পতন,આકર્ષક અધોગતિ
ব্যাকরণ পরীক্ষক,વ્યાકરણ તપાસનાર
ব্যাকরণ মার্জিত প্রস্থান,વ્યાકરણ આકર્ષક બહાર નીકળો
সর্বমোট,કુલ
চিত্রলেখ,ગ્રાફ
গ্রাফ প্লটিং,ગ્રાફ પ્લોટિંગ
গ্রাফিক চরিত্র,ગ્રાફિક પાત્ર
গ্রাফিক নিয়ামক,ગ્રાફિક નિયંત્રક
গ্রাফিক তথ্য কাঠামো,ગ્રાફિક ડેટા માળખું
গ্রাফিক ডিসপ্লে প্রোগ্রাম,ગ્રાફિક ડિસ્પ્લે પ્રોગ્રામ
গ্রাফিক ডিসপ্লে রেজোলিউশন,ગ્રાફિક ડિસ્પ્લે રીઝોલ્યુશન
গ্রাফিক ভাষা,ગ્રાફિક ભાષા
গ্রাফিক ভাষা,ગ્રાફિક ભાષા
গ্রাফিক প্যানেল,ગ્રાફિક પેનલ
গ্রাফিকাল অ্যানিমেশন,ગ્રાફિકલ એનિમેશન
গ্রাফিক্যাল ইন্টারফেস ফরম্যাট (GIF),ગ્રાફિકલ ઇન્ટરફેસ ફોર્મેટ (GIF)
গ্রাফিক্যাল ইউজার ইন্টারফেস (GUI),ગ્રાફિકલ યુઝર ઈન્ટરફેસ (GUI)
গ্রাফিক্স,ગ્રાફિક્સ
গ্রাফিক্স অ্যাপ্লিকেশন,ગ્રાફિક્સ એપ્લિકેશન
গ্রাফিক্স কার্সার,ગ્રાફિક્સ કર્સર
গ্রাফিক্স মোড,ગ્રાફિક્સ મોડ
গ্রাফিক্স প্যাকেজ,ગ્રાફિક્સ પેકેજ
গ্রাফিক্স সফটওয়্যার,ગ્રાફિક્સ સોફ્ટવેર
গ্রাফিক্স সফটওয়্যার,ગ્રાફિક્સ સોફ્ટવેર
গ্রাফিক্স সফটওয়্যার প্যাকেজ,ગ્રાફિક્સ સોફ્ટવેર પેકેજ
ধূসর স্কেল,ગ્રે સ્કેલ
লোভী পদ্ধতি,લોભી પદ્ધતિ
grep,grep
গ্রিড,ગ્રીડ
গ্রিড চার্ট,ગ્રીડ ચાર્ટ
গ্রিড কম্পিউটিং,ગ્રીડ કમ્પ્યુટિંગ
গ্রিড মড্যুলেশন,ગ્રીડ મોડ્યુલેશન
স্থল তরঙ্গ,જમીન તરંગ
দল,જૂથ
গ্রুপ ঠিকানা,જૂથ સરનામું
শঙ্ঘবদ্ধ কোড,જૂથ કોડ
গ্রুপ যোগাযোগ,જૂથ સંચાર
গ্রুপ যোগাযোগ,જૂથ સંચાર
গ্রুপ সনাক্তকরণ,જૂથ ઓળખ
দলের নাম,જૂથનું નામ
গ্রুপওয়্যার,ગ્રુપવેર
বৃদ্ধি,વૃદ્ધિ
প্রহরী,રક્ષક
নির্দেশিত মিডিয়া,માર્ગદર્શિત મીડિયા
বন্দুক,ગનઝિપ
টাট্টু,હેક
হ্যাকার,હેકર
হ্যাকারের অভিধান,હેકરનો શબ્દકોશ
অর্ধেক যোগকারী,અડધા ઉમેરનાર
অর্ধেক সেতু,અડધો પુલ
অর্ধেক দ্বৈত,અડધા ડુપ્લેક્સ
হাফ ডুপ্লেক্স লাইন,હાફ ડુપ્લેક્સ લાઇન
হাফ ডুপ্লেক্স মোড,હાફ ડુપ્લેક્સ મોડ
অর্ধেক তীব্রতা,અડધી તીવ્રતા
অর্ধেক রাউটার,અડધા રાઉટર
অর্ধেক বিয়োগকারী,અડધા બાદબાકી કરનાર
অর্ধেক টোনিং,અડધા ટોનિંગ
অর্ধেক শব্দ,અડધો શબ્દ
বন্ধুত্বপূর্ণ চক্র,હેમિલટોનિયસ ચક્ર
হ্যামিং কোড,હેમિંગ કોડ
হাত,હાથ
হাত কপি,હાથ નકલ
হাতল,હેન્ડલ
হ্যান্ডলিং,હેન્ડલિંગ
স্তব্ধ,અટકવું
সুখী নেট,ખુશ ચોખ્ખી
হার্ড কপি ডিভাইস,હાર્ડ કોપી ઉપકરણ
হার্ড ডিস্ক,હાર્ડ ડિસ્ક
হার্ড ডিস্ক ক্র্যাশ,હાર્ડ ડિસ્ક ક્રેશ
কঠিন ত্রুটি,સખત ભૂલ
হার্ডওয়্যার প্রবাহ নিয়ন্ত্রণ,હાર્ડવેર પ્રવાહ નિયંત્રણ
সুরেলা,હાર્મોનિક
সুরেলা গড়,હાર્મોનિક સરેરાશ
হ্যাশ,હેશ
হ্যাশ ডায়াগ্রাম,હેશ ડાયાગ્રામ
হ্যাশ টেবিল,હેશ ટેબલ
হ্যাশিং কৌশল,હેશિંગ તકનીક
হেডার,હેડર
গাদা,ઢગલો
গাদা সাজানোর,ઢગલો સૉર્ટ
সাহায্য,મદદ
সাহায্য পর্দা,મદદ સ્ક્રીન
হেল্পনেট,હેલ્પનેટ
হার্টজ,હર્ટ્ઝ
হিউরিস্টিক,સંશોધનાત્મક
হিউরিস্টিক পদ্ধতি,હ્યુરિસ્ટિક પદ્ધતિ
হেক্সাডেসিমেল সংখ্যা,હેક્સાડેસિમલ સંખ્યાઓ
লুকানো লাইন,છુપાયેલ રેખા
অনুক্রমিক ডেটা বেস,અધિક્રમિક ડેટા બેઝ
অনুক্রমিক ফাইল সিস্টেম,અધિક્રમિક ફાઇલ સિસ્ટમ
অনুক্রমিক টপোগ্রাফি,વંશવેલો ટોપોગ્રાફી
উচ্চ স্তরের ভাষা,ઉચ્ચ સ્તરની ભાષા
উচ্চ মেমরি এলাকা,ઉચ્ચ મેમરી વિસ્તાર
উচ্চ পারদর্শিতা,સારો પ્રદ્સન
আঘাত,ફટકો
লক্ষ্যভেদ হার,હિટ રેટ
আক্রমণ অনুপাত,હિટ રેશિયો
গর্ত,છિદ્ર
হোম ডিরেক্টরি,હોમ ડિરેક્ટરી
হোম পেজ,હોમ પેજ
সমজাতীয় স্থানাঙ্ক,સજાતીય સંકલન
খোঁড়ান,હોપ
হপ গণনা,હોપ ગણતરી
শিং,હોર્ન
হোস্ট কম্পিউটার,હોસ્ટ કમ્પ્યુટર
হোস্ট কম্পিউটার,હોસ્ટ કમ્પ્યુટર
হোস্ট ভাষা,યજમાન ભાષા
গরম চাবি,ગરમ કી
হাইপার টেক্সট মার্কআপ ভাষা (HTML),હાઇપર ટેક્સ્ટ માર્કઅપ લેંગ્વેજ (HTML)
অনুমান,પૂર્વધારણા
আমি পোদ,હું પોડ
I/O বাফার,I/O બફર
I/O পোর্ট,I/O પોર્ટ
I/O ইউনিট,I/O એકમ
শনাক্তকারী,ઓળખકર્તા
পরিচয়,ઓળખ
ইমেজ,છબી
ছবি সনাক্তকারী যন্ত্র,ઇમેજ સેન્સર
প্রভাব প্রিন্টার,અસર પ્રિન્ટર
প্রতিবন্ধকতা,અવરોધ
অপরিহার্য প্রোগ্রাম ভাষা,અનિવાર્ય પ્રોગ્રામ ભાષા
অপরিহার্য বিবৃতি,અનિવાર્ય નિવેદન
অন্তর্নিহিত ঠিকানা,ગર્ભિત સરનામું
অসম্ভব ঘটনা,અશક્ય ઘટના
নিষ্ক্রিয় নোড,નિષ્ક્રિય નોડ
অসঙ্গতি,અસંગતતા
বৃদ্ধি,વધારો
সূচক,અનુક્રમણિકા
সূচক ডেটা আইটেম,ઇન્ડેક્સ ડેટા આઇટમ
ইনডেক্স ফাইল,ઇન્ડેક્સ ફાઇલ
সূচক রেজিস্টার,ઇન્ડેક્સ રજિસ્ટર
সূচক অনুক্রমিক,અનુક્રમણિકા
সূচিবদ্ধ ঠিকানা,અનુક્રમિત સંબોધન
সূচিবদ্ধ ভাষা,અનુક્રમિત ભાષા
ইনডেক্সড সিকোয়েন্স ফাইল,અનુક્રમિત ક્રમ ફાઇલ
