Hindi,Malayalam
निम्नीकरण,തരംതാഴ്ത്തൽ
अंश दिवस,ഭാഗം ദിവസം
1.मात्रा 2. अंश,1. അളവ് 2. ഭാഗം
स्फुटन,അപചയം
भूसी हटाना,തൊണ്ട നീക്കം
भूसी हटाना,തൊണ്ട നീക്കം
निर्जलीकरण,നിർജ്ജലീകരണം
निर्जलकारित्र,ജലരഹിതമായ
मांग,ആവശ്യം
1. विकृतीकरण 2. गुणनाशन,1. ഡീനാറ്ററേഷൻ 2. ഗുണനം
अनाच्छादन,അപകീർത്തിപ്പെടുത്തൽ
1. निक्षेप (मृदा) 2. जमा (अर्थशास्त्र),1. നിക്ഷേപം (മണ്ണ്) 2. നിക്ഷേപം (സാമ്പത്തികശാസ്ത്രം)
निक्षेपण,നിക്ഷേപം
1. मूल्यहास 2.अवमूल्यन,1. മൂല്യത്തകർച്ച 2. മൂല്യത്തകർച്ച
विलवणीकरण,ഉപ്പുനീക്കം
1. जल शुष्कन 2. निर्जलीकरण,1. വെള്ളം ഉണക്കൽ 2. നിർജ്ജലീകരണം
1.अभिकल्पना 2. डिजाइन,1. ഡിസൈൻ 2. ഡിസൈൻ
शुष्कित्र,വരണ്ട
गुठली निकालना,കേർണൽ നീക്കം
वि-अंतः भूस्तारीकरण,ഡി-ഇന്റർകലേഷൻ
वियुग्मन,സംയോജനം
1. नर मंजरी निकालना (मक्का) 2. बल्लर निकालना,1. ആൺ മഞ്ജരി വേർതിരിച്ചെടുക്കൽ (ചോളം) 2. ബല്ലാർ വേർതിരിച്ചെടുക്കൽ
बल्लर या कुंदन को काटना,ബല്ലാർ അല്ലെങ്കിൽ കുന്ദൻ മുറിക്കൽ
निर्धारक,നിർണ്ണയിക്കുന്നയാൾ
अवमूल्यन,മൂല്യച്യുതി
वनस्पतिरहित करना,സസ്യഭക്ഷണം
विचलन,വ്യതിയാനം
द्विक,ഇരട്ടി
निदान,രോഗനിർണയം
भिन्नकाल पक्वता,വ്യത്യസ്ത പക്വത
द्विभाजन,വിഭജനം
1.दविबीजपत्री 2.डाइकोटिलेड़न (बीज),1. ഡൈക്കോട്ടിലിഡൺ 2. ഡൈക്കോട്ടിലിഡൺ (വിത്ത്)
पश्चमारी (रोग),പുറം രോഗം
1. विसरण 2. विसार,1. ഡിഫ്യൂഷൻ 2. ഡിഫ്യൂഷൻ
पाचनीयता,ദഹനക്ഷമത
द्विसंकर,ഡൈഹൈബ്രിഡ്
1. बांध 2. नाली 3. परिवाह,1. ഡാം 2. ഡ്രെയിൻ 3. കുടുംബം
तनु,തുച്ഛമായ
1. एकलिंगाश्रयी 2. पृथक् लिंगी,1. ഏകഭാര്യ 2. ഏകഭാര്യ
द्विगुणित,ഡിപ്ലോയിഡ്
1. द्विगुणित 2. डिप्लॉइड,1. ഡിപ്ലോയിഡ് 2. ഡിപ്ലോയിഡ്
द्विसूत्र,ദ്വിധ്രുവം
1. निष्कलिकायन 2. कलिका निकालना,1. വേർതിരിച്ചെടുക്കൽ 2. ബഡ് നീക്കം
1. तवेदार हल चलाना 2. चक्काकरण,1. പ്ലോ പ്ലോവിംഗ് 2. സ്പിന്നിംഗ്
छूट,കിഴിവ്
रोगाणुनाशन,അണുനശീകരണം
1. परिक्षेपण 2. प्रकीर्णन,1. ഡിസ്പർഷൻ 2. ചിതറിക്കൽ
1.प्रकीर्णन 2.प्रसरण,1.ചിതറിക്കൽ 2.വ്യതിയാനം
विविधीकरण,വൈവിധ്യവൽക്കരണം
विविधीकृत कृषि,വൈവിധ്യമാർന്ന കൃഷി
डी एन ए सोपान,ഡിഎൻഎ ഘട്ടം
डी.एन.ए. ग्राही,ഡിഎൻഎ റിസീവർ
गोदी-भाड़ा,ഡോക്ക് വാടകയ്ക്ക്
प्रभावी,ഫലപ്രദമായ
प्रसुप्ति,സുഷുപ്തി
1. मात्रा 2. खुराक 3. डोज,1. അളവ് 2. അളവ് 3. അളവ്
दोहरा सिग्माभ वक्र,ഇരട്ട സിഗ്മോയിഡ് കർവ്
1. झोंका 2. खिंचाव,1. കാറ്റ് 2. നീട്ടുക
1. निकास नाली 2. अपवाहिका,1. എക്‌സ്‌ഹോസ്റ്റ് ഡ്രെയിൻ 2. മലിനജലം
जलनिकास,ഡ്രെയിനേജ്
कर्षण,ട്രാക്ഷൻ
1.दवा पिलाना 2. दवाई से तर करना,1. മരുന്ന് കൊടുക്കുക 2. നനയ്ക്കുക
प्रसाधन (बीज),സൗന്ദര്യവർദ്ധക വസ്തുക്കൾ (വിത്തുകൾ)
1.बरमा 2. उथली भूल 3. ड्रिल 4. वपित्र,1. ആഗർ 2. ആഴം കുറഞ്ഞ തകരാർ 3. ഡ്രിൽ 4. ആഗർ
1.सूराख करना 2. बेधन 3. बरमाना,1. ദ്വാരം 2. ഡ്രിൽ 3. ഡ്രിൽ
1.वेधना 2. ड्रिल से बोना 3. ड्रिल से डालना,1. ഡ്രില്ലിംഗ് 2. ഡ്രിൽ ഉപയോഗിച്ച് വിതയ്ക്കൽ 3. ഡ്രിൽ ഉപയോഗിച്ച് ഒഴിക്കുക
बूंद-बूंद सिंचाई,ഡ്രിപ്പ് ഇറിഗേഷൻ
शुष्क खेती,ഉണങ്ങിയ കൃഷി
1.धूल 2. बुकनी,1.പൊടി 2.ബുക്നെ
1.धूलित्र 2. प्रकीर्णक,1. ഡസ്റ്റർ 2. സ്കാറ്ററർ
बुरकना,തളിക്കാൻ
1. बौना 2. वामन,1. വാമനൻ 2. വാമനൻ
वामन पिरामिड,വാമന പിരമിഡ്
वामिनीभवन,വാമിനി ഭവൻ
पारिस्थितिकी,പരിസ്ഥിതി ശാസ്ത്രം
अर्थमिति,ഇക്കണോമെട്രിക്സ്
आर्थिक दक्षता,സാമ്പത്തിക കാര്യക്ഷമത
परिस्थितिक प्ररूप,സാഹചര്യ തരം
बहिःस्तरपोषित,അധിക-സ്ട്രാറ്റിഫൈഡ്
मृदीय,മൃദുവായ
मृदा विज्ञान,മണ്ണ് ശാസ്ത്രം
1. मेड़बंदी 2. किनारा बनाना 3. किनारा बंदी,1. ബ്രിഡ്ജിംഗ് 2. എഡ്ജിംഗ് 3. സ്ട്രാൻഡ് ക്ലോഷർ
खाद्य अंश,ഭക്ഷണ ഭാഗം
मांग की लोच,ഡിമാൻഡിന്റെ ഇലാസ്തികത
उत्पादन लोच,ഉത്പാദന ഇലാസ്തികത
विद्युत्-अपघटन,വൈദ്യുതവിശ്ലേഷണം
वैद्युतकण-संचलन,ഇലക്ട്രോഫോറെസിസ്
अवक्षालन,ആവിയായി
1.विपुंसीकारित्र 2. बंधकारित्र 3.विपुंसीकार 4. बंध्यकार,1. ശിരഛേദം 2. വന്ധ്യംകരണം 3. ശിരഛേദം 4. വന്ധ്യംകരണം
1.मेड़ बंदी 2. डौलबंदी,1. വീർ ബാൻഡി 2. സ്ട്രോബണ്ടി
भ्रूण,ഭ്രൂണം
1. भ्रूणविज्ञान 2. भौणिकी,1. ഭ്രൂണശാസ്ത്രം 2. ഭൗതികശാസ്ത്രം
1. निकलना 2. निर्गमन,1. പുറത്തുകടക്കുക 2. പുറത്തുകടക്കുക
पायसीकारक,എമൽസിഫയർ
अंतर्जात,അന്തർജനകമായ
अंतः सूत्री विभाजन,ഇൻട്രാ പോയിന്റ് ഡിവിഷൻ
अंतः परजीवी,ഇൻട്രാ-പാരാസിറ്റിക്
भ्रूणपोष,എൻഡോസ്പേം
उद्यम,എന്റർപ്രൈസ്
कीटविज्ञान,കീടശാസ്ത്രം
पर्यावरण,പരിസ്ഥിതി
1. प्रकिण्व 2. एन्जाइम,1. എൻസൈം 2. എൻസൈം
दलपुंज कलमबंदी,ക്ലസ്റ്റർ ഗ്രാഫ്റ്റിംഗ്
1. अधिपादप 2. एपिफाइट,1. എപ്പിഫൈറ്റ് 2. എപ്പിഫൈറ്റ്
समानधारिता,ഇക്വിറ്റി
उन्मूलन,ഉന്മൂലനം
आवश्यक पोषक तत्व,അവശ്യ പോഷകങ്ങൾ
1. परिमापन 2. कूतना 3. आकलन,1. അളവ് 2. ജമ്പ് 3. വിലയിരുത്തൽ
पांडुरता,സൂക്ഷ്മത
सुजननिक,സുജനിക്
मूल्यांकन,മൂല്യനിർണ്ണയം
वाष्पनमापी,സ്റ്റീം ഗേജ്
वाष्पन-वाष्पोत्सर्जन,ബാഷ്പീകരണ പ്രചോദനം
सदाहरित क्रांति,ശാശ്വത വിപ്ലവം
1. सदाहरित 2. सदापर्णी,1. നിത്യഹരിതം 2. നിത്യഹരിതം
विकास,വികസനം
उच्छेद करना,വിച്ഛേദിക്കുക
परिक्षय (उर्वरता),പരീക്ഷയ് (ഫെർട്ടിലിറ്റി)
शोषण,ചൂഷണം
1. खोज 2. अन्वेषण,1. പര്യവേക്ഷണം 2. പര്യവേക്ഷണം
1. बहिर्वेधन 2. उत्सारण,1. എക്സ്ട്രൂഷൻ 2. എമിഷൻ
आंख,കണ്ണ്
1. कारक 2. घटक 3. उपादान 4. साधन,1. ഘടകം 2. ഘടകം 3. ഘടകം 4. റിസോഴ്സ്
कारक उत्पादकता,ഘടകം ഉത്പാദനക്ഷമത
आढ़तिये का बट्टा,വ്യാപാരിയുടെ കിഴിവ്
क्रमगुणित ब्लॉक डिजाइन,ഫാക്‌ടോറിയൽ ബ്ലോക്ക് ഡിസൈൻ
विकल्पी,ബദൽ
1. पड़ती 2. पलिहर,1. പട്ടി 2. പലിഹാർ
कुल,മൊത്തത്തിലുള്ള
प्रक्षेत्र मूल्यांकन,ഫീൽഡ് മൂല്യനിർണ്ണയം
प्रक्षेत्र का बजट बनाना,കാർഷിക ബജറ്റിംഗ്
कृषि व्यवसाय,കാർഷിക ബിസിനസ്സ്
प्रक्षेत्र नियोजन,ഫീൽഡ് ആസൂത്രണം
1. किसान 2. कृषक,1. കർഷകൻ 2. കർഷകൻ
1. कृषि 2. खेती,1. കൃഷി 2. കൃഷി
संघट्टन,കൂട്ടിയിടി
बहुप्रजनन,ഒന്നിലധികം പ്രജനനം
किण्वन,അഴുകൽ
उर्वरता,ഫെർട്ടിലിറ്റി
उर्वरक,വളം
उर्वरक उपयोग दक्षता,വളം ഉപയോഗം കാര്യക്ഷമത
रेशेदार,നാരുകളുള്ള
1. खेत 2. क्षेत्र 3. स्थान,1. ഫാം 2. ഏരിയ 3. സ്ഥലം
मृदा जलधारिता,മണ്ണ് വെള്ളം പിടിക്കൽ
प्रक्षेत्र प्रदर्शन,ഫീൽഡ് പ്രദർശനം
1. स्थिरीकरण 2. यौगिकीकरण 3. निर्धारण,1. ഇമ്മൊബിലൈസേഷൻ 2. ഫിക്സേഷൻ 3. ഫിക്സേഷൻ
1. आप्लावन 2. अधिसिंचन,1. വെള്ളപ്പൊക്കം 2. ഇംപ്രെഗ്നേഷൻ
प्रवाह आरेख,ഒഴുക്ക് ഡയഗ്രം
खाद्य मान,ഭക്ഷണ മൂല്യം
चारा,കാലിത്തീറ്റ
पूर्वानुमान,പ്രവചനം
वन,വനം
वनरोपण,വനവൽക്കരണം
1. ताड़पर्ण 2. प्रपर्ण,1. ടാഡ്പാർൺ 2. ഫോം
तुषार रोधी,മഞ്ഞ് പ്രതിരോധം
1.पाला 2. तुषार,1. പാലാ 2. ബ്ലൈറ്റ്
1. हिमशीतित 2. हिमीकृत,1. മരവിച്ച 2. മരവിച്ച
फलन,പ്രവർത്തനം
1. फल पातन 2. फल का झड़ना,1. ഫ്രൂട്ട് ഫാൾ 2. ഫ്രൂട്ട് ഫാൾ
फल बनना,ഫലമായിത്തീരുന്നു
1. धूमन 2. धूम देना,1. ഫ്യൂമിഗേഷൻ 2. ഫ്യൂമിഗേഷൻ
कवकनाशी,കുമിൾനാശിനി
कवकरोधी,ആന്റിഫംഗൽ
कवक,കുമിൾ
1. खूड़ 2. सीता,1. ഖുദ് 2. സീത
1. संलयन 2. संगलन,1. ഫ്യൂഷൻ 2. ഫ്യൂഷൻ
रूआं,പഞ്ഞി
रोएंदार,രോമമുള്ള
1. वृक्ष व्रण 2. पिटिका,1. ട്രീ അൾസർ 2. പിടിക
1. युग्मक 2. गैमीट,1. ഗേമറ്റുകൾ 2. ഗെയിമറ്റുകൾ
1. उद्यान 2. बाग,1. പൂന്തോട്ടം 2. പൂന്തോട്ടം
1. पनसाल 2. जलमापी,1. പൻസാൽ 2. ഹൈഡ്രോമീറ്റർ
जीन संग्रह,ജീൻ ശേഖരണം
जीन टैगन,ജീൻ ടാഗൺ
वंशावली विज्ञान,വംശാവലി
जीन मानचित्र,ജീൻ മാപ്പ്
आनुवंशिकी,ജനിതകശാസ്ത്രം
1. जीनोम 2. संजीन,1. ജീനോം 2. സംഗീൻ
संजीनी संग्रह,സഞ്ജിനി ശേഖരം
जीनोमिक्स,ജനിതകശാസ്ത്രം
जीनप्ररूपी,ജനിതകരൂപം
1. जीनी संरचना 2. जीन प्ररूप,1. ജീൻ ഘടന 2. ജീൻ തരം
वंश,വംശാവലി
1. जीनस 2. वंश,1. ജനുസ്സ് 2. വംശം
1. रोगाणु 2. जर्म,1. ബീജം 2. ബീജം
रोगाणुनाशी,അണുനാശിനി
अंकुरण,മുളപ്പിക്കൽ
1. जननद्रव्य 2. जर्मप्लाज्म,1. ജെർംപ്ലാസ്ം 2. ജെർംപ്ലാസം
जिबरेलिक अम्ल,ഗിബ്ബെറലിക് ആസിഡ്
ओटना,പെറുക്കുക
तुष,തുഷ്
1. लसदार 2. ग्लूटिनी,1. ഗ്ലൂറ്റൻ 2. ഗ്ലൂട്ടണി
ग्लाइकोलिसिस,ഗ്ലൈക്കോളിസിസ്
नाइस,കൊള്ളാം
स्वर्णिम क्रांति,സുവർണ്ണ വിപ്ലവം
1. श्रेणीकरण 2. वर्गीकरण 3. स्तरीकरण,1. വർഗ്ഗീകരണം 2. വർഗ്ഗീകരണം 3. വർഗ്ഗീകരണം
1. कलमबंद पादप 2. कलमी पौधा,1. ഒട്ടിച്ച ചെടി 2. പെൻബ്രൽ ചെടി
कलम असंगत,പേന പൊരുത്തമില്ലാത്ത
ग्रैना,ഗ്രാന
कणिकायन,ഗ്രാനുലേഷൻ
हरी खाद,പച്ചിലവളം
हरित क्रांति,ഹരിത വിപ്ലവം
वृद्धि और परिवर्धन,വളർച്ചയും വികസനവും
1. गोंद रोग 2. गोंदार्ति,1. മോണരോഗം
भिन्नस्थ - उभयस्त्रीलिंगी,ഭിന്നലിംഗക്കാരൻ
1. प्रकृति 2. स्वभाव 3. रूपगुण 4. स्वरूप,1. പ്രകൃതി 2. പ്രകൃതി 3. രൂപഗുണ 4. ഭാവം
1. ओला 2. करकापात 3. करका,1. ഓല 2. കർക്കപ്പട്ട് 3. കർക്ക
रोमिलवैच,റോമിൽ വാച്ച്
लवणमृदोद्भिद्,സലൈൻ സിസ്റ്റ്
हैरो,ഹാരോ
1. तुड़ाई सूचकांक 2. कटाई सूचकांक,1. വിളവെടുപ്പ് സൂചിക 2. വിളവെടുപ്പ് സൂചിക
1.कटाई 2. कटी फसल 3. तैयार फसल 4. उपज,1. വിളവെടുപ്പ് 2. വിളവെടുത്ത വിള 3. പൂർത്തിയായ വിള 4. വിളവ്
1. तोड़ना 2. कटाई 3. तुड़ाई,1. പറിക്കൽ 2. വിളവെടുപ്പ് 3. പറിക്കൽ
1. अंडे से निकलना 2. अंडा सेना,1. മുട്ടയിടൽ 2. മുട്ട ശക്തി
सूखी घास,ഉണങ്ങിയ പുല്ല്
सूखा चारा,ഉണങ്ങിയ തീറ്റ
गंजी,ഗഞ്ചി
धुंध,മൂടൽമഞ്ഞ്
धुंधता,മൂടൽമഞ്ഞ്
1. बाली 2. सिट्टा 3.मुंडक 4. शीर्ष 5. सिर 6. सिरा,1. ബാലി 2. സിത്ത 3. മുണ്ടക് 4. ടോപ്പ് 5. തല 6. സിറ
सिरा (नाली का),തോടിന്റെ അവസാനം
शीर्ष छंटाई,മുകളിൽ അരിവാൾകൊണ്ടു
बाड़,വേലി
अधिरक्षण,കസ്റ്റഡി
कुंडलिनी,കുണ്ഡലിനി
हेमैटाइट,ഹെമറ്റൈറ്റ്
1. शाक 2. बूटी,1. സസ്യം 2. സസ്യം
1.वनस्पति संग्रह 2. वनस्पति संग्रहालय,1.ബൊട്ടാണിക്കൽ ശേഖരം 2.ബൊട്ടാണിക്കൽ മ്യൂസിയം
शाकनाशी,കളനാശിനി
आनुवंशिकता,പാരമ്പര്യം
वंशागतित्व,പാരമ്പര്യം
उभयलिंगी,ബൈസെക്ഷ്വൽ
विषमवर्णी,ഹെറ്ററോക്രോമാറ്റിക്
विषम-निषेचन,heterofertilization
1. संकरओज 2. हेटेरोसिस,1. ഹൈബ്രിഡോസ് 2. ഹെറ്ററോസിസ്
लिंगक्रोमोसोम,സെക്സ്ക്രോമസോമുകൾ
परपोषित,വളർത്തി
षड्गुणित,ഹെക്സാഡെസിമൽ
शीत निष्क्रियता,തണുത്ത സുഷുപ്തി
उच्च सघनता रोपण,ഉയർന്ന സാന്ദ്രത നടീൽ
1. पिंडलक 2. हिल (धान),1. പിൻഡ്ലക്ക് 2. കുന്ന് (നെല്ല്)
आयतचित्र,ഹിസ്റ്റോഗ്രാം
उच्च तकनीकी औद्यानिकी,ഹൈടെക് ഹോർട്ടികൾച്ചർ
1.करंड 2. छत्ता,1.തൈര് 2. കൂട്
1.गुड़ाई 2. गोड़ना,1. കളനിയന്ത്രണം 2. കളനിയന്ത്രണം
जोत,പിടിക്കുന്നു
निजी फार्म,സ്വകാര്യ ഫാം
समस्थिति,ഹോമിയോസ്റ്റാസിസ്
वासभूमि,മാതൃഭൂമി
समांगता,ഏകതാനത
1.सजातीय 2. समांगी,1. ഏകതാനമായ 2. ഏകതാനമായ
समधर्मी,സഹതാപം
समयुग्मज,ഹോമോസൈഗസ്
1.खुरलिका 2. खाद्यधानी 3. हापर,1. ഖുറിക്ക 2. ഭക്ഷണ പാത്രം 3. ഹാപ്പർ
1.संस्तर 2. क्षितिज,1. പാളി 2. ചക്രവാളം
औद्यानिक फसलें,ഹോർട്ടികൾച്ചറൽ വിളകൾ
1. उद्यान विज्ञान 2. बागवानी 3. उद्यान कृषि 4.औदयानिकी,1. ഹോർട്ടികൾച്ചർ 2. ഹോർട്ടികൾച്ചർ 3. ഹോർട്ടികൾച്ചർ 4. ഹോർട്ടികൾച്ചർ
