Tamil,Malayalam
சாக்கடை,ഗട്ടർ
சாக்கடை சுமப்பவர்,ഗട്ടർ വഹിക്കുന്നയാൾ
கால்வாய் சோதனை,ഗട്ടർ പരിശോധന
சுத்தி அலங்காரம்,ചുറ്റിക ഡ്രസ്സിംഗ്
துறைமுகம்,തുറമുഖം
புகலிடத் துறைமுகம்,അഭയകേന്ദ്രം
கடினமான பான்,ഹാർഡ് പാൻ
தலைப்பு,തലക്കെട്ട്
தலைப்பு பத்திரம்,തലക്കെട്ട് ബോണ്ട്
தலைப்பு பாடநெறி,ഹെഡ്ഡർ കോഴ്സ്
தலை வாயில் அமைப்பு,ഹെഡ് ഗേറ്റ് ഘടന
கால்வாயின் தலைவர்,കനാലിന്റെ തലവൻ
தலைமை சீராக்கி,ഹെഡ് റെഗുലേറ്റർ
ஹெர்ரிங் எலும்பு பிணைப்பு,മത്തി അസ്ഥിബന്ധം
இதயம்,ഹൃദയം
ஈரமாக்கும் வெப்பம்,നനവിന്റെ ചൂട്
உயர் அலுமினா சிமெண்ட்,ഉയർന്ന അലുമിന സിമന്റ്
இடுப்பு,ഹിപ്
ஹிப் கேப்பிங்,ഹിപ് ക്യാപ്പിംഗ്
இடுப்பு முனை,ഇടുങ്ങിയ അറ്റം
ஹூட்,ഹുഡ്
ஹூட் மோல்டிங்,ഹുഡ് മോൾഡിംഗ്
ஹூக்கின் சட்டம்,ഹുക്കിന്റെ നിയമം
வளைய இரும்பு,വളയം ഇരുമ്പ്
அடிவானம்,ചക്രവാളം
ஈரப்பதமாக்குதல்,ഹ്യുമിഡിഫിക്കേഷൻ
"ஈரப்பதம், முழுமையானது","ഈർപ്പം, കേവല"
"ஈரப்பதம், உறவினர்","ഈർപ്പം, ആപേക്ഷികം"
ஹம்ப் யார்டு,ഹമ്പ് യാർഡ്
ஹைட்ராலிக் அழுத்தம்,ഹൈഡ്രോളിക് മർദ്ദം
நீரேற்றம்,ജലാംശം
நீராற்பகுப்பு,ജലവിശ്ലേഷണം
ஹைட்ரோலைடிக் அமிலத்தன்மை,ഹൈഡ്രോലൈറ്റിക് അസിഡിറ്റി
ஹைட்ரோமார்பிக் மண்,ഹൈഡ്രോമോർഫിക് മണ്ണ്
ஹைட்ரோஃபிலிக் கொலாய்டு,ഹൈഡ്രോഫിലിക് കൊളോയിഡ്
ஹைட்ரோபோபிக் கொலாய்டு,ഹൈഡ്രോഫോബിക് കൊളോയിഡ്
ஹைட்ரோஸ்டேடிக் அழுத்தம் விகிதம்,ഹൈഡ്രോസ്റ്റാറ്റിക് മർദ്ദം അനുപാതം
ஹைக்ரோஸ்காப்டிக் குணகம்,ഹൈഗ്രോസ്കാപ്റ്റിക് ഗുണകം
ஹைக்ரோஸ்கோபிக் ஈரப்பதம்,ഹൈഗ്രോസ്കോപ്പിക് ഈർപ്പം
ஹைட்ரோஸ்கோபிசிட்டி,ഹൈഡ്രോസ്കോപ്പിസിറ്റി
ஹைக்ரோஸ்கோபிக் ஈரப்பதம்,ഹൈഗ്രോസ്കോപ്പിക് ഈർപ്പം
ஹைபர்பேரிக் அறை,ഹൈപ്പർബാറിക് ചേംബർ
ஹைப்பர்ஸ்டேடிக் சட்டகம்,ഹൈപ്പർസ്റ്റാറ്റിക് ഫ്രെയിം
ஹைப்சோமீட்டர்,ഹൈപ്സോമീറ്റർ
வெளிச்சம்,പ്രകാശം
உட்புகுதல் ஈரப்பதம்,ഇംബിബേഷൻ ഈർപ്പം
முதிர்ச்சியடையாத மண்,പാകമാകാത്ത മണ്ണ്
சிறைபிடிக்கப்பட்ட கப்பல்துறை,പിടിച്ചെടുത്ത ഡോക്ക്
நில வருவாய் அதிகரிப்பு,ഭൂമിയുടെ വരുമാനം വർദ്ധിപ്പിക്കുക
சுதந்திர சாரக்கட்டு,സ്വതന്ത്ര സ്കാർഫോൾഡ്
உள்வாங்கப்பட்டது,ഇൻഡുറേറ്റഡ്
ஆரம்ப அழுத்த அழுத்தம்,പ്രാരംഭ പ്രിസ്ട്രെസ്
ஆரம்ப பதற்றம்,പ്രാരംഭ ടെൻഷൻ
உள்நாட்டு நீர்வழி துறைமுகம்,ഉൾനാടൻ ജലപാത തുറമുഖം
காப்பு பலகை,ഇൻസുലേറ്റിംഗ് ബോർഡ്
இடைநிலை துறைமுகம்,ഇന്റർമീഡിയറ്റ് പോർട്ട്
உள் உராய்வு,ആന്തരിക ഘർഷണം
உள் மண்டல மண்,ഇൻട്രാസോണൽ മണ്ണ്
அயன்,അയോൺ
அயன் பரிமாற்றம்,അയോൺ എക്സ്ചേഞ്ച്
இரும்பு சட்டி,ഇരുമ്പ് പാൻ
பாசன நிலம்,ജലസേചന ഭൂമി
நீர்ப்பாசனம்,ജലസേചനം
பாசன செஸ்,ജലസേചന സെസ്
ஜம்ப்,ജാംബ്
தள்ளாட்டம்,ജോഗിൾ
ஜாக்கிள் முள்,ജോഗിൾ പിൻ
ஜூல்,ജൂൾ
குதிப்பவர்,ജമ്പർ
கிலோகிராம்,കിലോഗ്രാം
கிலோகிராம் படை,കിലോഗ്രാം ശക്തി
கிலோகிராம் விசை மீட்டர்,കിലോഗ്രാം ഫോഴ്സ് മീറ്റർ
கிலோவாட் மணி,കിലോവാട്ട് മണിക്കൂർ
கிங் மூடல்,രാജാവ് അടച്ചുപൂട്ടൽ
சமையலறை,അടുക്കള
லேஸ்டு நெடுவரிசை,ലേസ്ഡ് കോളം
பின்னடைவு,ലാഗിംഗ്
லமெல்லா வேர்,ലാമെല്ല റൂട്ട്
லேமினார் ஓட்டம்,ലാമിനാർ ഒഴുക്ക്
விளக்கு துளை,വിളക്ക് ദ്വാരം
நிலப் பெருக்கம்,ഭൂമി ശേഖരിക്കൽ
நில சறுக்கல்,ലാൻഡ് സ്ലൈഡിംഗ്
லேட்டரைட்,ലാറ്ററൈറ്റ്
லேட்டரைட் மண்,ലാറ്ററൈറ്റ് മണ്ണ്
பெரிய எண்களின் சட்டம்,വലിയ സംഖ്യകളുടെ നിയമം
தளவமைப்பு திட்டம்,ലേഔട്ട് പ്ലാൻ
பேரேடு,ലെഡ്ജർ
சுண்ணாம்பு பான்,നാരങ്ങ പാൻ
லிண்டல்,ലിന്റൽ
திரவ வரம்பு,ദ്രാവക പരിധി
நேரடி சுமை,ലൈവ് ലോഡ്
களிமண்,പശിമരാശി
உள்ளூர் வெளியேற்ற காற்றோட்டம்,പ്രാദേശിക എക്‌സ്‌ഹോസ്റ്റ് വെന്റിലേഷൻ
லோகோ முற்றம்,ലോക്കോ യാർഡ്
லூஸ்,ലോസ്
குறைந்த பிளாஸ்டிக் வரம்பு,കുറഞ്ഞ പ്ലാസ്റ്റിക് പരിധി
குறைந்த வெப்ப சிமெண்ட்,കുറഞ്ഞ ചൂട് സിമന്റ്
இயந்திர மோல்டிங்,മെഷീൻ മോൾഡിംഗ്
மேக்ரோஸ்ட்ரக்சர்,മാക്രോസ്ട്രക്ചർ
முக்கிய தலைமை சீராக்கி,പ്രധാന ഹെഡ് റെഗുലേറ്റർ
முக்கிய துறைமுகம்,പ്രധാന തുറമുഖം
ஒப்பனை காற்று,മേക്കപ്പ് എയർ
மான்சார்ட்,മാൻസാർഡ്
மார்ஷலிங் முற்றம்,മാർഷലിംഗ് യാർഡ്
கொத்து,കൊത്തുപണി
முதிர்ச்சியடைந்த வெப்பநிலை,പക്വത താപനില
இடைமட்ட மாடி,മെസാനൈൻ തറ
இயந்திர பகுப்பாய்வு,മെക്കാനിക്കൽ വിശകലനം
இயந்திர காற்றோட்டம்,മെക്കാനിക്കൽ വെന്റിലേഷൻ
மெட்ரிக் அமைப்பு,മെട്രിക് സിസ്റ്റം
நுண் கட்டமைப்பு,മൈക്രോസ്ട്രക്ചർ
மில்லிக்கு சமம்,മില്ലി തുല്യം
ஒரு லிட்டருக்கு மில்லி சமம்,ഒരു ലിറ്ററിന് തുല്യമായ മില്ലി
கனிம,ധാതു
கனிம மண்,ധാതു മണ്ണ്
சிறிய துறைமுகம்,ചെറിയ തുറമുഖം
மிட்ரெட் மூடல்,മിട്രഡ് ക്ലോഷർ
நடமாடும் மண் கொலாய்டு,മൊബൈൽ മണ്ണ് കൊളോയിഡ്
ஈரப்பதம்,ഈർപ്പത്തിന്റെ ഉള്ളടക്കം
ஈரப்பதம் சாய்வு,ഈർപ്പം ഗ്രേഡിയന്റ്
ஒற்றைக்கல்,മോണോലിത്ത്
மோனோரயில்,മോണോറെയിൽ
தேசிய துறைமுக சபை,നാഷണൽ ഹാർബർ കൗൺസിൽ
இயற்கை படுக்கை,സ്വാഭാവിക കിടക്ക
இயற்கையான பூச்சு,സ്വാഭാവിക ഫിനിഷ്
இயற்கை துறைமுகம்,സ്വാഭാവിക തുറമുഖം
இயற்கை காற்றோட்டம்,സ്വാഭാവിക വെന്റിലേഷൻ
கடற்படை துறைமுகம்,നാവിക തുറമുഖം
நியூட்டன்,ന്യൂട്ടൺ
சீரற்ற ஓட்டம்,ഏകീകൃതമല്ലാത്ത ഒഴുക്ക്
நீர் வீதத்தை ஆக்கிரமித்துள்ளது,ജലനിരക്ക് ഉൾക്കൊള്ളുന്നു
எண்ணெய் வண்ணப்பூச்சு,ഓയിൽ പെയിന്റ്
எண்ணெய் கிணறு சிமெண்ட்,എണ്ണ കിണർ സിമന്റ്
திறந்த சேனல் ஓட்டம்,ചാനൽ ഫ്ലോ തുറക്കുക
உகந்த ஈரப்பதம்,ഒപ്റ്റിമൽ ഈർപ്പം
கரிம மண்,ജൈവ മണ്ണ്
நோக்குநிலை,ഓറിയന്റേഷൻ
ஆர்த்தோகனல்,ഓർത്തോഗണൽ
ஆர்ட்ஸ்டீன்,ഒർട്ട്സ്റ്റീൻ
வெளிப்புற சமிக்ஞை,ബാഹ്യ സിഗ്നൽ
ஆக்சிஜனேற்றம்,ഓക്സിഡേഷൻ
சரக்கறை,കലവറ
பாரபெட்,പാരപെറ്റ്
பாரபெட் சுவர்,പാരപെറ്റ് മതിൽ
பெற்றோர் பொருள்,പാരന്റ് മെറ്റീരിയൽ
கூழாங்கல் வார்ப்பு பிளாஸ்டர்,പെബിൾ കാസ്റ്റ് പ്ലാസ്റ്റർ
பெடல்பர்,പെഡൽഫർ
பெடோகல்,പെഡോക്കൽ
பெடோஜெனெசிஸ்,പെഡോജെനിസിസ്
பெடாலஜி,പെഡോളജി
பெடோஸ்பியர்,പെഡോസ്ഫിയർ
பெனெட்ரோமீட்டர்,പെനെട്രോമീറ്റർ
பென்ட் கூரை,പെന്റ് മേൽക്കൂര
பெப்டிசிங் முகவர்,പെപ്റ്റിസിംഗ് ഏജന്റ്
பகுப்பாய்வு காலம்,വിശകലന കാലയളവ്
பெர்பென்ட்,പെർപെൻഡ്
பெர்ஸர்ப்ஷன்,പെർസോർപ്ഷൻ
பையர்,പിയർ
பிலாஸ்டர்,പിലാസ്റ്റർ
பிட்ச்,പിച്ച്
பிட்ச் கூரை,പിച്ചിട്ട മേൽക്കൂര
வெற்று கான்கிரீட்,പ്ലെയിൻ കോൺക്രീറ്റ്
விமான கோணம்,തലം ആംഗിൾ
சமவெளி முற்றம்,സമതല മുറ്റം
பிளான்சோல்,പ്ലാൻസോൾ
பிளாஸ்டிக் நிலைத்தன்மை,പ്ലാസ്റ്റിക് സ്ഥിരത
பிளாஸ்டிசிட்டி,പ്ലാസ്റ്റിറ്റി
பிளாஸ்டிசிட்டி இன்டெக்ஸ்,പ്ലാസ്റ്റിറ്റി സൂചിക
பிளாஸ்டிசிட்டி வரம்பு,പ്ലാസ്റ്റിറ്റി പരിധി
பிளாஸ்டிசிட்டி வரம்பு,പ്ലാസ്റ്റിറ്റി ശ്രേണി
பிளாட்டி அமைப்பு,പ്ലാറ്റി ഘടന
பீடம்,സ്തംഭം
உழவு மண்,ഉഴുതുമണ്ണ്
பிளம் கல்,പ്ലം കല്ല്
போட்ஸோல்,പോഡ്സോൾ
சுட்டி,ചൂണ്ടിക്കാണിക്കുന്നു
பலகோண சுவர்,ബഹുഭുജ മതിൽ
துளை இடம்,പോർ സ്പേസ്
துறைமுகம்,തുറമുഖം
நேர்மறை காற்றோட்டம்,പോസിറ്റീവ് വെന്റിലേഷൻ
புல்வெளி மண்,പുൽമേടുള്ള മണ്ണ്
துல்லியம்,കൃത്യത
முதன்மை துகள்,പ്രാഥമിക കണിക
பிரிஸ்மாடிக் அமைப்பு,പ്രിസ്മാറ്റിക് ഘടന
உற்பத்தி வேலை,ഉൽപ്പാദനപരമായ ജോലി
திட்ட நியாயப்படுத்தல்,പദ്ധതിയുടെ ന്യായീകരണം
பாதுகாப்பு வேலை,സംരക്ഷണ പ്രവർത്തനം
போலி-மைசீலியம்,കപട-മൈസീലിയം
குட்டை,പുഡിൽ
புக்கிங்,പഗ്ഗിംഗ്
பியூமிஸ்,പ്യൂമിസ്
குத்து,പഞ്ച്യോൺ
பொம்மை,പാവ
புட்லாக்,പുട്ട്ലോഗ്
புட்லாக் சாரக்கட்டு,പുട്ട്ലോഗ് സ്കാർഫോൾഡ്
அளவு சர்வேயர்,അളവ് തൂക്ക നിരീക്ഷകൻ
குவாரி சாறு,ക്വാറി സ്രവം
குவே,കടവ
ராணி மூடல்,രാജ്ഞി അടച്ചുപൂട്ടൽ
குவோயின்,ക്വോയിൻ
ராஃப்ட் அடித்தளம்,റാഫ്റ്റ് അടിത്തറ
ரேக்கர்,റാക്കർ
ரேக்கிங்,റാക്കിംഗ്
ரேக்கிங் பத்திரம்,റാക്കിംഗ് ബോണ്ട്
ரேக்கிங் ஒளிரும்,റാക്കിംഗ് ഫ്ലാഷിംഗ്
வேகமாக மாறுபடும் ஓட்டம்,അതിവേഗം മാറിക്കൊണ്ടിരിക്കുന്ന ഒഴുക്ക്
திரும்பப் பெறக்கூடிய கட்டணம்,വീണ്ടെടുക്കാവുന്ന പേയ്മെന്റ്
சிவப்பு பூமி,ചുവന്ന ഭൂമി
சிவப்பு களிமண்,ചുവന്ന പശിമരാശി
சீராக்கி,റെഗുലേറ്റർ
ரெகர் அல்லது கருப்பு பருத்தி மண்,റെഗുർ അല്ലെങ്കിൽ കറുത്ത പരുത്തി മണ്ണ്
திருப்பிச் செலுத்தும் ஒப்பந்தம்,തിരിച്ചടവ് കരാർ
எஞ்சிய சுருக்கம்,ശേഷിക്കുന്ന ചുരുങ്ങൽ
எஞ்சிய மண்,ശേഷിക്കുന്ന മണ്ണ്
வெளிப்படுத்து,വെളിപ്പെടുത്തുക
பின்னை வெளிப்படுத்து,പിൻ വെളിപ്പെടുത്തുക
டை வெளிப்படுத்து,സമനില വെളിപ്പെടുത്തുക
ரிட்ஜ்,റിഡ്ജ്
ரிட்ஜ் கேப்பிங்,റിഡ്ജ് ക്യാപ്പിംഗ്
நதி,നദി
சாலை நிலை,റോഡ് സ്റ്റെഡ്
கரடுமுரடான பிளாஸ்டர்,പരുക്കൻ പ്ലാസ്റ്റർ
இடிபாடுகள்,അവശിഷ്ടങ്ങൾ
இடிந்த கொத்து,അവശിഷ്ടങ്ങൾ
இடிந்த சுவர்,അവശിഷ്ടങ്ങൾ ചുവരുകൾ
இயங்கும் அளவீடு,റണ്ണിംഗ് മെഷർമെന്റ്
பாதுகாப்பான தாங்கும் திறன்,സുരക്ഷിതമായ വഹിക്കാനുള്ള ശേഷി
உப்பு படிந்து,ഉപ്പ് ഗ്ലേസ്
மாதிரி அளவு,സാമ്പിൾ വലിപ്പം
மாதிரி விநியோகம்,സാമ്പിൾ വിതരണം
மாதிரி பிழை,സാമ്പിൾ പിശക്
மணல்,മണല്
மணல் பூச்சு,സാൻഡ് ഫിനിഷ്
மணல் கை மோல்டிங்,മണൽ കൈ മോൾഡിംഗ്
மணல் அள்ளுதல்,സാൻഡിംഗ്
நிறைவுற்ற மண்,പൂരിത മണ്ണ്
நிறைவுற்ற மண் பேஸ்ட்,പൂരിത മണ്ണ് പേസ്റ്റ്
செறிவூட்டல் சாறு,സാച്ചുറേഷൻ എക്സ്ട്രാക്റ്റ്
செறிவூட்டல் சதவீதம்,സാച്ചുറേഷൻ ശതമാനം
சாசர் குவிமாடம்,സോസർ ഡോം
சாரக்கட்டு,സ്കാർഫോൾഡ്
ஷிஸ்ட்,ഷിസ്റ്റ്
கடல் துறைமுகம்,കടൽ തുറമുഖം
ரகசிய சாக்கடை,രഹസ്യ ഗട്ടർ
இரண்டாவது,രണ്ടാമത്
வண்டல் பகுப்பாய்வு,സെഡിമെന്റേഷൻ വിശകലനം
அரை செயற்கை துறைமுகம்,അർദ്ധ കൃത്രിമ തുറമുഖം
அரை அலை கப்பல்,സെമി ടൈഡൽ ഡോക്ക്
முதுமை,സെനൈൽ
ஷேல்,ഷെയ്ൽ
தாள் குவியல்,ഷീറ്റ് കൂമ്പാരം
சுருக்க வரம்பு,ചുരുങ്ങൽ പരിധി
ஷட்டரிங்,ഷട്ടറിംഗ്
சியாலிடிக் மண்,സിയാലിറ്റിക് മണ്ണ്
சிரோஜெம்,സീറോസെം
சில்லு,സിൽ
வண்டல் மண்,ചെളി
ஒற்றை சதை இரத்தம்,ഏക മാംസ രക്തം
ஒற்றை தானிய அமைப்பு,ഒറ്റ തരി ഘടന
எலும்பு மண்,എല്ലിൻറെ മണ്ണ്
பாவாடை,സ്കിർട്ടിംഗ്
ஸ்லீப்பர் சுவர்,സ്ലീപ്പർ മതിൽ
பக்கவாட்டு சாக்கடை,സൈഡ് ഗട്ടർ
ஸ்லைடு விதி,സ്ലൈഡ് നിയമം
ஸ்லிப் டாக்,സ്ലിപ്പ് ഡോക്ക്
ஸ்மோனிசா,സ്മോനിസ
ஊறவைத்தல்,കുതിർക്കുന്നു
மண் சங்கம்,മണ്ണ് അസോസിയേഷൻ
மண் வகுப்பு,മണ്ണ് ക്ലാസ്
மண் வளாகம்,മണ്ണിന്റെ സമുച്ചയം
மண் நிலைத்தன்மை,മണ്ണിന്റെ സ്ഥിരത
மண் குடும்பம்,മണ്ണിന്റെ കുടുംബം
மண் சட்ட வேலை,മണ്ണ് ഫ്രെയിം വർക്ക്
மண்ணின் ஈரப்பதம்,മണ്ണിലെ ഈർപ്പം
மண்ணின் ஈரப்பதம் பெருக்கம்,മണ്ണിലെ ഈർപ്പം ശേഖരിക്കൽ
மண்ணின் ஈரப்பதம் குறைபாடு,മണ്ണിന്റെ ഈർപ്പം കുറവ്
மண் உருவவியல்,മണ്ണിന്റെ രൂപഘടന
மண் துகள்,മണ്ണിന്റെ കണിക
மண் கட்டம்,മണ്ണിന്റെ ഘട്ടം
மண் விவரக்குறிப்பு,മണ്ണിന്റെ പ്രൊഫൈൽ
மண் எதிர்வினை,മണ്ണിന്റെ പ്രതികരണം
மண் பிரிகிறது,മണ്ണ് വേർതിരിക്കുന്നു
மண் தொடர்,മണ്ണ് പരമ്പര
மண் தீர்வு,മണ്ണ് പരിഹാരം
மண் அமைப்பு,മണ്ണിന്റെ ഘടന
மண் அமைப்பு,മണ്ണിന്റെ ഘടന
மண் வகை,മണ്ണിന്റെ തരം
சோலம்,സോലം
சோர்ப்ஷன்,സോർപ്ഷൻ
ஸ்பால்கள்,സ്പാൾസ്
குறிப்பிட்ட அயனி விளைவு,പ്രത്യേക അയോൺ പ്രഭാവം
சதுர வடிவ இடிபாடுகள்,ചതുരാകൃതിയിലുള്ള പാടശേഖരം
ஸ்கொயர் ரெகுலர் கோர்ஸ்டு இடிந்த கல் கொத்து,ചതുരാകൃതിയിലുള്ള പതിവ് കോഴ്‌സ് ചെയ്ത അവശിഷ്ടങ്ങൾ
நிலையான ஓட்டம்,സ്ഥിരതയുള്ള ഒഴുക്ക്
மிளிரும் படி,സ്റ്റെപ്പ് ഫ്ലാഷിംഗ്
ஒட்டும் தன்மை,ഒട്ടിപ്പിടിക്കുക
ஒட்டும் புள்ளி,സ്റ്റിക്കിംഗ് പോയിന്റ്
கல்,കല്ല്
ஸ்லோப் கை மோல்டிங்,സ്ലോപ്പ് ഹാൻഡ് മോൾഡിംഗ്
பட்டா கீல்,സ്ട്രാപ്പ് ഹിഞ്ച്
வைக்கோல் பலகை,വൈക്കോൽ ബോർഡ്
ஸ்ட்ரீம்,ധാര
மன அழுத்தம்,സമ്മർദ്ദം
நீட்டுபவர்,സ്ട്രെച്ചർ
ஸ்ட்ரெச்சர் பிணைப்பு,സ്ട്രെച്ചർ ബോണ്ട്
ஸ்ட்ரெச்சர் படிப்பு,സ്ട്രെച്ചർ കോഴ്സ്
லேசான கயிறு,സ്ട്രിംഗ്
சரம் பாடநெறி,സ്ട്രിംഗ് കോഴ്സ്
கட்டமைப்பு காரணி,ഘടന ഘടകം
கட்டமைப்பு குறியீடு,ഘടനാ സൂചിക
ஸ்டக்கோ,സ്റ്റക്കോ
வீரியமான,സ്റ്റഡ്
ஸ்டைலோபேட்,സ്റ്റൈലോബേറ്റ്
துணை மண்,ഉപ മണ്ണ്
துணை அமைப்பு,ഉപ ഘടന
கூட்டுத்தொகை வளைவு,സമ്മേഷൻ വക്രം
சன் மைக்கா,സൺ മൈക്ക
சூப்பர் கட்டமைப்பு,സൂപ്പർ ഘടന
நிலமளப்போர்,സർവേയർ
எஸ்-மதிப்பு,എസ്-മൂല്യം
அங்கும் இங்கும் அசை,കൊള്ളമുതൽ
ஸ்வான் கழுத்து,സ്വാൻ കഴുത്ത്
கூடாரம்,കൂടാരം
மேஜை கை மோல்டிங்,ടേബിൾ ഹാൻഡ് മോൾഡിംഗ്
டேங்கிங்,ടാങ്കിംഗ്
டெம்பீட்டோ,ടെമ്പിയറ്റോ
வெப்பநிலை மாற்றம்,ടെമ്പറിംഗ്
டெம்ப்ளேட்,ടെംപ്ലേറ്റ്
டெம்ப்ளேட்,ടെംപ്ലേറ്റ്
டெபிடேரியம்,ടെപ്പിഡാരിയം
டெரகோட்டா,ടെറാക്കോട്ട
டெர்ரா ரோசா,ടെറ റോസ
டெர்ராஸோ,ടെറാസോ
டெட்ரா பாணி,ടെട്ര ശൈലി
வரம்பு வரம்பு மதிப்பு,പരിധി പരിധി മൂല്യം
தொண்டை,തൊണ്ട
கல் மூலம்,കല്ലിലൂടെ
டைடல் பேசின்,ടൈഡൽ ബേസിൻ
டை பார்,ടൈ ബാർ
கற்றை கட்டவும்,ബീം കെട്ടുക
டை ராட்,വടി കെട്ടുക
Tirs,ടയർ
சகிப்புத்தன்மை,സഹിഷ്ണുത
பல்வலி,പല്ലുവേദന
மேல் மண் அல்லது மேற்பரப்பு மண்,മുകളിലെ മണ്ണ് അല്ലെങ്കിൽ ഉപരിതല മണ്ണ്
மொத்த போரோசிட்டி,ആകെ പൊറോസിറ്റി
டிரேசரி,ട്രേസറി
ரயில் எதிர்ப்பு,ട്രെയിൻ പ്രതിരോധം
இடமாற்றம்,ട്രാൻസെപ്റ്റ്
இடைநிலை மண்,പരിവർത്തന മണ്ണ്
டிரான்ஸ்சம்,ട്രാൻസോം
போக்குவரத்து மண்,മണ്ണ് ഗതാഗതം
துணை நதி,പോഷകനദി
டிரிஃபோரியம்,ട്രിഫോറിയം
ட்ரைகிளிஃப்,ട്രൈഗ്ലിഫ്
துண்டிக்கப்பட்ட மண்,വെട്ടിച്ചുരുക്കിയ മണ്ണ്
கொந்தளிப்பான ஓட்டம்,പ്രക്ഷുബ്ധമായ ഒഴുക്ക്
சிறு கோபுரம்,ടററ്റ്
டைம்பார் எண்,ടൈംപാർ നമ്പർ
இறுதி தாங்கும் திறன்,ആത്യന്തികമായി വഹിക്കാനുള്ള ശേഷി
அல்டிமேட் பிஎச்,ആത്യന്തിക പിഎച്ച്
ஒழுங்கற்ற சீரற்ற இடிந்த கொத்து,ക്രമരഹിതമായ റാൻഡം അവശിഷ്ടങ്ങൾ കൊത്തുപണികൾ
கட்டமைக்கப்படாத சதுர இடிபாடுகள்,കോഴ്‌സ് ചെയ്യാത്ത ചതുരാകൃതിയിലുള്ള അവശിഷ്ടങ്ങൾ
அண்டர்கிராஃப்ட்,അണ്ടർക്രോഫ്റ്റ്
நிரப்பப்படாத போரோசிட்டி,നിറയാത്ത സുഷിരം
சீரான ஓட்டம்,ഏകീകൃത ഒഴുക്ക്
அலகு சட்ட வகை சாரக்கட்டு,യൂണിറ്റ് ഫ്രെയിം തരം സ്കാർഫോൾഡ്
பயனற்ற வேலை,ഉൽപ്പാദനക്ഷമമല്ലാത്ത ജോലി
நிறைவுறா மண்,അപൂരിത മണ്ണ്
நிலையற்ற ஓட்டம்,അസ്ഥിരമായ ഒഴുക്ക്
மேல் பிளாஸ்டிக் வரம்பு,മുകളിലെ പ്ലാസ്റ്റിക് പരിധി
பள்ளத்தாக்கு சாக்கடை,താഴ്വര ഗട്ടർ
வால்ட்,നിലവറ
வெட்டாரியம்,വെറ്റേറിയം
காற்றோட்டம்,വെന്റിലേഷൻ
மறுபடியும்,വെന്റിലേറ്റർ
வெரம்தா,വരംദഹ്
வேஸ்டிபுல்,വെസ്റ്റിബ്യൂൾ
வில்லா,വില്ല
