English,Gujarati
Hydrolysis,જળશાસ્ત્ર
Hydrometer,જળમાર્ગ
Hydrophilous,જળચુક્ત
Hydroponics,જળવિજ્icsાન
Hydrosphere,જળશાસ્ત્ર
Hydroscopicity,જળચોર
Hyperparasite,અતિથિ
Hyperplasia,આત્યંતિક
Hypha,કોઇ
Hypocotyl,પમાટ
Hypothesis,અનુમાન
Hysteresis (water),હિસ્ટ્રેસિસ (પાણી)
Hazel nut,હેઝલ અખરોટ
Hemp,શણ
Henbane,હેનબેન
Henna,મેંદી
Hibiscus,શિષ્ટાચાર
Hop,ઠોક
Horse gram,ઘોડાનો ગ્રામ
Horse-eye-bean,ઘોડાગાડી
Honeybee,મધમાખી
Hopper,ઘૂંટણ
Horticulturist,બાગાયતી
Hydrologist,જળ -વિજ્ologistાની
In situ grafting,સીમિત
In vitro,વિટ્રોમાં
In vivo,વિવો
Indiscriminate,આડેધડ
Insect,જંતુ
Insect pest,જંતુનાશક જીવાડો
Insectary,જંતુ
Insecticide,જંતુનાશક
Insectivorous,જંતુનાશક
Insolation,તાલ
Insoluble,ઉઘાડાવાળું
Instar (insect),ઇન્સ્ટાર (જંતુ)
Insulator,અલગ પાડનાર
Integrated disease management,સંકલિત રોગ વ્યવસ્થાપન
Integrated nutrient management,એકીકૃત પોષક સંચાલન
Integrated pest management,એકીકૃત જંતુ સંચાલન
Intensification,તીવ્રતા
Intensive,સઘન
Intercrop,એકાંગાળ
Intercultivation (interculture),આંતરસંબંધ (ઇન્ટરકલ્ચર)
Interest,હિત
Internode,ઇંટનો કરવો
Interphase (cell division),ઇન્ટરફેસ (સેલ વિભાગ)
Interpolation,પ્રક્ષેપણ
Inter-sterile,આંતરડા
Inventory,સૂચિ
Inversion,ઉલ્લંઘન
Involucre,અનુચિત
Ion,આયન
Irradiation,ઝળહળાટ
Irrigation,સિંચાઈ
Iso alleles,આઇએસઓ એલીલ્સ
Iso product curve,આઇએસઓ ઉત્પાદન વળાંક
Isobar,ઇસોબર
Isogamy,અલગતા
Isolation distance,અલગ અંતર
Isoploid,આઇસોપ્લાઇડ
Isoquant,અનહદ
Isotope,આઇસોટોપ
Indian birch,ભારતીય બિર્ચ
Indian blue pine,ભારતીય વાદળી પાઇન
Indian cherry,ભારતીય ચેરી
Indian juniper,ભારતીય જ્યુનિપર
Indian kino tree,ભારતીય કિનો વૃક્ષ
Indian laural tree,ભારતીય લૌરલ વૃક્ષ
Indian madder,ભારતીય પાગલ
Indian maddler,ભારતીય પાગલ
Indian podo phylum,ભારતીય પોડો ફિલમ
Indigo,અતિશય
Italian millet,ઇટાલિયન બાજરી
Ivory tree,હાનિત વૃક્ષ
Ivy gourd/little gourd,આઇવિ લોર્ડ/લિટલ લોર્ડ
Jaggery,ગોળ
Japonica rice,જાપોનીકા
Jassid,જાસૂસ
Javanica rice,જાવાનિકા ચોખા
Jelling,ધક્કો
Jhum cultivation,દિવાહિની ખેતી
Jumping gene,જનન
Junk DNA,જંક ડીએનએ
Juvenile phase,કિશોર તબક્કો
Jacaranda,જકારાંડા
Jackfruit,જેકફ્રૂટ
Jamun,જામન
Jasmine,ચપળ
Jatti khatti,જત્તી ખત્તી
Jattrofa,એક જાતની કળા
Jute,શણ
Jassids,જાસૂસ
Kaolin,કારોલિન
Kaolinite,Kાળ
Kaolinite,Kાળ
Karyenchyma,Kષધ
Karyodesma,ક ry રેઓડેસ્મા
Karyogamy,કર્કશમી
Karyogram (idiogram),કેરીગ્રામ (ઇડિગ્રામ)
Karyokinesis,કર્કશિનેસ
Karyology,કર્કશવિજ્ologyાન
Karyolysis,કર્કશ
Karyon,ક ry રેઓન
Karyotype,કાર્યોયોટાઇપ
Kelp (algae),કેલ્પ (શેવાળ)
Kelvin cycle,કેલ્વિન ચક્ર
Keratin,કેરાટિન
Kernel,કર્કશ
Khaira disease,ખૈરા રોગ
Kharif,ખરીફ
Kidding,મજાક
Kinetochore,કિનેટોચોર
Kitchen garden,રસોડું
Kleinfilter syndrome,ક્લેઇનફિલ્ટર સિન્ડ્રોમ
Klenow fragment,ક્લેનો ટુકડો
Knotching,ઘડતર
Koch's postulate,કોચની પોસ્ટ્યુલેટ
Koppen's classification (Climate),કોપ્પેનનું વર્ગીકરણ (આબોહવા)
Krebs cycle,ક્રેબ્સ ચક્ર
Kurtosis,ક્ટોસિસ
KVK (krishi vigyan kendra),કે.વી.કે. (કૃશી વિગાયન કેન્દ્ર)
Kadam,કડમ
Kale,કાલે
Kans grass,કેન્સ ઘાસ
Karonda,કર્કશ
"Kidney bean, rajmah","કિડની બીન, રાજમહ"
Kiwifriut,Kાંકીપ
Knol khol,નોલ ખોલ
Kodampuli,કોડમપુલી
Kodo millet,કોડો બાજરી
Kokam butter tree (mangosteen),કોકમ બટર ટ્રી (મંગોસ્ટીન)
Khapra beetle,ખપ્રા ભમરો
L.D.50 (lethal dose 50),એલ.ડી .50 (ઘાતક ડોઝ 50)
Lab to land,જમીન પર
Labile,સંદિગ્ધ કરવું
Labour,મજૂર
Lac operon model,લક્ષ પરાક્રમ
Lactation,દૂધમારો
Lactogenic hormone (prolactin),લેક્ટોજેનિક હોર્મોન (પ્રોલેક્ટીન)
Lactose,લેક્ટોઝ
Lagging strand,પાછળની બાજુ
Lambda cloning vector,લેમ્બડા ક્લોનીંગ વેક્ટર
Laminar air flow,લેમિનર હવા પ્રવાહ
Lamp brush chromosome,દીવો બ્રશ રંગસૂત્ર
Land,જમીન
Land capability classification,જમીન ક્ષમતા વર્ગીકરણ
Land capability map,જમીન ક્ષમતા
Land degradation,જમીન -અધોગતિ
Land equivalent ratio,જમીન સમકક્ષ ગુણોત્તર
Land levelling,જમીન સ્તરીકરણ
Land reclamation,જમીનની શોધ
Landscaping,ઉતર
Land suitability,જમીન યોગ્યતા
Land use pattern,જમીન ઉપયોગ -પદ્ધતિ
Langerhans cells,લેંગરહન્સ સેલ્સ
Lapse rate,રદિયો દર
Larva,લાર્વા
Latency,સુશોભન
Latent,સુવ્યવસ્થિત
Latent infection,ચેપગ્રસ્ત ચેપ
Lateral,બાજુનું
Laterite soils,વારસામાં માટી
Latex,Xtex
Lathyrism,શિરદર્શક
Latin square design (LSD),લેટિન સ્ક્વેર ડિઝાઇન (એલએસડી)
Lattice,જાળી
Law of comprative advantage,સુસંગત લાભ
Law of constant returns,સતત વળતરનો કાયદો
Law of diminishing returns,ઘટતા વળતરનો કાયદો
Law of increasing retuns,વધારો
Law of limiting factors,મર્યાદિત પરિબળોનો કાયદો
Law of minimum,ન્યૂનતમ કાયદો
Law of substitution,અવેજીનો કાયદો
Law of variable proportions,ચલ પ્રમાણનો કાયદો
Layer,સ્તર
Layout,બાંધકામ
Leachate,ઉદ્ધત
Leaching efficiency,Effંચે ચાલતી કાર્યક્ષમતા
Leaching requirement,ઠપકો
Leading strand,અગ્રણી સેર
Leaf area duration,પાંદડાની વિસ્તારનો સમયગાળો
Leaf area index,પાંદડાની ક્ષેત્ર અનુક્રમણ્ય
Leaf area ratio,પાંદડાની વિસ્તાર ગુણોત્તર
Leaf miner,પર્ણ ખાણિયો
Leaf testing,પાંદડાની પરીક્ષણ
Leaf,પર્ણ
Leaflet,પત્રિકા
Lease,પટા
Legume,ક legંગું
LEISA - (Low Energy Input Sustainable Agriculture),લીસા - (ઓછી energy ર્જા ઇનપુટ ટકાઉ કૃષિ)
Lenticel,ભાંગફોડ
Lento capillary point,દાપલ કેશિકા બિંદુ
Leptonema,લેપટોનમા
Leptospirosis,લેપ્ટોસ્પાયરોસિસ
Lero-morphic,અંધશ્રદ્ધાળુ
Lesion,જખમ
Lethal mutation,ઘાતક પરિવર્તન
Leucoplast,લિંગકોપ્લાસ્ટ
Level terrace,ક levelપિક ભાડૂતી
Leveler (leveller),લેવલર (લેવલર)
Levelling (of land),લેવલિંગ (જમીનની)
Ley farming,રખડુ
Liebig's law of minimum,લિબિગનો ન્યૂનતમ કાયદો
Ligation,બંધ
Light compensation point,પ્રકાશ વળતર બિંદુ
Light saturation intensity,પ્રકાશ સંતૃપ્તિની તીવ્રતા
Light transmission ratio,પ્રકાશ પ્રસારણ ગુણોત્તર
Light trap,પ્રકાશ જાળ
Liming,મર્યાદિત
Limitation,સીમા
Limiting factor,મર્યાદિત પરિબળ
Limonite,સિધ્ધાંત
Line,પંક્તિ
Linear response,રેખીય પ્રતિભાવ
Linkage,જોડાણ
Linkage group,જોડાણ જૂથ
Linker,કોરી
Lint index,ઉંચકવાર સૂચન
Linters,કોઠાર
Lipid,લિપિડ
Lipolysis,લિપોલીસિસ
Liquidation,પતાવટ
Lister,શણગારવું
Lister,શણગારવું
Listing,સૂચિ
Lithosphere,શિષ્ટાચાર
Litter,કચરો
Live mulches,જીવંત લીલા ઘાસ
Liverwort,મણિ
Livestock,પશુધન
Local control,સ્થાનિક નિયંત્રણ
Locus,સ્થાન
Locust,તીડ
Lodging (crop lodging),રહેઠાણ (પાક લોજિંગ)
Lodicule,લોડિક્યુલ
Loess,ભ્રમણ
Logarthimic transformation,લોગાર્શા -પરિવર્તન
Long - day plant,લાંબી - દિવસનો છોડ
Long wave radiation,લાંબી તરંગ કિરણોત્સર્ગ
Loop,ફટકો
Lopping,Pingંચે કામ કરવું
Lumber,લાકડું
Lux,એક જાતની એક વસ્તુ
Luxury consumption (nutrient),લક્ઝરી વપરાશ (પોષક તત્વો)
Luxury genes,લકકાર જનીનો
Lycopene,લીકોપીન
Lymph,લિમણું
Lysimeter,લિઝિમીટર
Lysis of cell,કોષ -ચિત્તભ્રમણા
Lysogeny,લાઇઝજેનિસ
Lysosome,લિસોઝomeમ
Lysozyme,સુવાક્ય
Lac tree,લાખ વૃક્ષ
Lac,લાખ
"Lady's finger, okra","લેડીની આંગળી, ઓકરા"
Land caltrops,જમીન કેલ્ટ્રોપ્સ
Lantana,મણિ
Lathyrus,શણગારવું
Leek,ગલનનું
Lemon grass,લીંબુનો ઘાસ
Lemon,લીંબુ
Lentil,મસૂર
Lequorice,મસ્ત
Lettuce,કોઇ
Lily,લીલી
Lime,ચૂનો
Linseed,અળસીનું
Litchi,ઉદ્ધતાઈ
Little millet,થોડી બાજરી
Long melon,લાંબા તરબૂચ
Long pepper,લાંબી મરી
Loquat,ડોકલા
Lotus,કમળ
Lurcerne,લસ
Lac insect,લાખ જંતુ
Lady bird beetle,સ્ત્રી -પક્ષી ભમરો
Leaf miner,પર્ણ ખાણિયો
Leaf roller,પાંદડાની રોલર
Leaf webber,પાંદડા
Locust,તીડ
Macro evolution,લૌકિક ઉત્ક્રાંતિ
Macroclimate,કરચલી
Macromolecule,મ mac્રોમ્યુલેક્યુલ
Macromutation,ઉદ્ધતતા
Macronutrient,ઉન્માદ
Macropores,ચંચળ
Maggot,માગગોટ
Magma,મેઘ
Magnesia,મેગ્નેશિયા
Magnesium,મેગ્નેશિયમ
Magnetic stirrer,ચુંબકીય હલાવનાર
Magnitude,પરિમાણ
Mahua cake,માહુઆ કેક
Maintainer line,જાળવણીકાર રેખા
Maintenance,જાળવણી
Maize sheller,મકાઈ શેલર
Male sterile,પુરુષ જંતુરહિત
Malformation,ખોડખાંપણ
Malignancy,રોગ
Malnutrition,પોષણ
Malpractice,ગેરરીતિ
Malting,દૂષિત
Manger,ગમાણ
Mangroves,મેલગ્રોવ
Manometer,માનવશલના માપક
Manometer,માનવશલના માપક
Mantissa (of logarithm),મન્ટિસા (લોગરીધમનો)
Manure,ખાતર
Manuring,ખાતર
Marginal,સીમાંત
Marginal cost,સીમાંત ખર્ચ
Marginal land,સીમાંત જમીન
Marginal product,સીમાંત ઉત્પાદન
Marginal return,સીમાંત વળતર
Marine,દરિયાઇ
Marker (genetic),માર્કર (આનુવંશિક)
Market,બજાર
Marketable,વેચાણક્ષમ
Marketable surplus,વેચાણપાત્ર અધિકૃતતા
Marketed surplus,બજારમાં મેળવણી
Marketing,બજાર
Marsh,માર્શ
Mass flow,સામૂહિક પ્રવાહ
Mass selection,સામૂહિક પસંદગી
Mass-spectrometer,સામૂહિક-સંકટપ્રમનોમાક્ષ
Mast,મસ્ત
Maternal inheritance,મામાનો વારસો
Mating,સમાગમ
Matric potential,મેટ્રિક સંભવિત
Maturation,પરિપક્વતા
Maturity (crop),પરિપક્વતા (પાક)
Maximum available water,મહત્તમ ઉપલબ્ધ પાણી
Maximum cropping,મહત્તમ પાક
Maximum residue limit,મહત્તમ અવશેષ મર્યાદા
Maximum sustainable yield,મહત્તમ ટકાઉ ઉપજ
Maximum thermometer,મહત્તમ થર્મોમાપક
Maximum water holding capacity,મહત્તમ પાણી -ધારણ ક્ષમતા
Meadow orcharding,ઘાસનો ઓર્કાર્ડિંગ
Mealy,ભ્રામક
Mean deviation,સરેરાશ વિચલન
Mean life (nuclear),મીન લાઇફ (પરમાણુ)
Mean sea level,દરિયાઇ સપાટી
Mean square,સરેરાશ ચોરસ
Measure,માપ
Measurement,માપ
Mechanical,યાંત્રિક
Mechanical analysis (soil),યાંત્રિક વિશ્લેષણ (માટી)
Mechanical impedence,યાંત્રિક અવરોધ
Mechanized farming,યંત્ર -ખેતી
Median,મધ્યમ
Medicinal plant,Inalષધ
Mediterranean climate,ભૂમધ્ય આબોહવા
Megagametogenesis,મેગાગામેટોજેનેસિસ
Megasporangia,મેગાસ્પોરંગિયા
Megaspore (macrospore),મેગાસ્પોર (મેક્રોસ્પોર)
Megasporogenesis,મેગાસ્પોજેનેનેતિયો
Meiosis,મેયોસિસ
Mellow soil,ખુશામત
Melting of DNA,ડીએનએ
Membrane filter,પટલ ફિલ્ટર
Mendelian inheritance,મેન્ડેલિયન વારસો
Mendelism,સુધારણા
Mendel's law of inheritance,વારસાના મેન્ડેલનો કાયદો
Merchandise,વેપારી
Mercury,પારો
Meristem,ઉદ્ધત
Mesoclimate,મેસોક્લાઇમેટ
Mesoderm,મેસોોડર્મ
Mesophyll,મેસોફિલ
Mesophyte,મેસોફાઇટ
Meso-pores,મેસો
Mesosphere,મેસોસ્ફિયર
Messenger RNA (m-RNA),મેસેંજર આર.એન.એ.
Metabolism,ચયાપચય
Metabolites,ચયાપટ
Metal dam,ધાતુનું બચ્ચું
Metamorphic rocks,રૂપક ખડકો
Metamorphosis,રૂપરેખા
Metaphase,આવરણ
Metastrus,મેટ્રાસ્ટ્રસ
Metaxenia,ચિત્તાકર્ષણ
Meteorology,હવામાનશાસ્ત્ર
Methaemoglobinaemia,મેથેમોગ્લોબીનેમિયા
Method demonstration,પદ્ધતિનું પ્રદર્શન
Mica,માઇકલ
Micro basin,સૂક્ષ્મ બેસિન
Micro fauna,સૂક્ષ્મ પ્રાણીસૃષ્ટિ
Microbe,જીવાણુ
Microbial biomass carbon,સુક્ષ્મજીવાણુ બાયોમાસ કાર્બન
Microbial degradation,સૂક્ષ્મ -અધોગતિ
Microbial insecticide,સૂક્ષ્મ જંતુનાશક
Microbiology,સૂક્ષ્મ -વિજ્iologyાન
Microbiotic,સૂક્ષ્મ રોગને લગતું
Microclimate,માઇશારિક
Microenvironment,સૂક્ષ્મ પર્યાવરણ
Microflora,માઇક્રોફલોરા
Microgametogenesis,માદક દ્રવ્યો
Microirrigation,માઇક્રોરોઇરીગેશન
Micrometeorology,માઇક્રોમીટ્રોલોજી
Micronutrient,સુક્ષ્મસૃષ્ટિ
Microplot,માઇક્રોપ્લોટ
Micropore,સુક્ષ્મસજીવો
Micropyle,સુક્ષ્મસજીવો
Microscopy,માઇક્રોસ્કોપી
Microsporangium,માઇક્રોસ્પોરંજિયમ
Microspore culture,સૂક્ષ્મ -સંસ્કૃતિ
Microspore mother cell,માઇક્રોસ્પોર મધર કોષ
Microspore,સુધર્કિમાદ
Microtome,માઇક્રોટોમ
Microtopography,માઇક્રોટોપ્રાફી
Mid-season correction,મધ્ય સીઝન-સુધારણા
Migration,સ્થળાંતર
Milk grain stage,અનાજનું તબક્કો
Millepede,મિલેપેડ
Millets,બાજરી
Milling recovery,મિલિંગ વસૂલાત
Milling,મિલિંગ
Mineral nutrition,ખનિજ પોષણ
Mineral soil,ખનિજ માટી
Mineralisation,ખનિજકરણ
Minerals,ખનીજ
Minimum thermometer,લઘુત્તમ થર્મોમાપક
Minimum tillage,લઘુત્તમ ખેતી
Minor crops,સામાન્ય પાક
Miotic index,Mાળ
Missence mutation,ગેરસમજ
Mist irrigation,ઝાકળ સિંચાઈ
Mist,ઝાકળ
Mitochondria,માઇટોકોન્ડ્રિયા
Mitosis,ખેલ
Mitscherlich's law,મિત્ચરલિચનો કાયદો
Mixed cropping,મિશ્ર પાક
Mixed farming,મિશ્ર ખેતી
Mixed fertilizer,મિશ્ર ખાતર
Mixed grazing,મિશ્ર ચરાઈ
Mixed sward,મિશ્રિત સ્વરડ
Model,નમૂનો
Modelling,મોડેલિંગ
Modified atmosphere packaging,ફેરફાર કરેલ વાતાવરણ પેકેજિંગ
Moisture availability index,ભેજ ઉપલબ્ધતા અનુક્રમણિકા
Moisture deficit index,ભેજની ખાધની સૂચિ
Moisture equivalent,ભેજ સમાન
Moisture regime,ભેજ -શાસન
Moisture release curve,ભેજ મુક્ત વળાંક
Moisture retention,ભેજની જાળવણી
Moisture stress,ભેજ
Moisture tension,ભેજ
Moisture,ભેજ
Molar solution,દા molવ
Molasses,દાળ
Mole drainage,છાવણી
Molecular biology,પરમાણુ જીવવિજ્ologyાન
Molecular breeding,પરમાણુ સંવર્ધન
Molecular hybridization,પરમાણુ સંકર
Molluscicide,મલિનસાઇડ
Monetary advantage index (MAI),નાણાકીય લાભ અનુક્રમણિકા (એમએઆઈ)
Monoclonal antibody,એકલતા
Monocotyledons,મોનોકોટાયડોન્સ
Monocrop (Monoculture),એકાધિકાર (એકવિધ સંસ્કૃતિ)
Monoecious,એકલતાવાળું
Monogenesis,એકલતા
Monohybrid,મોનોહાઇબ્રીડ
Monozygotic,એકસમાન
Monsoon,ચોમાસુ
Montmorillonite,મોન્ટમોરિલોનાઇટ
Moor,મુર
Mor,મોર
Morgan unit,મોર્ગન એકમ
Morphogenesis,ઘુદમાબી
Morphological adaptation,આકારવિષયક અનુકૂલન
Morphology,ક morમ્ફોલોજી
Mortgage,ગીરો
Mottle,શણગારવું
Mottling,શણગારવું
Mould,ઘાટ
Moulting,ઘેરવું
Mound culture,ટેકરી સંસ્કૃતિ
Mound layering,ટેકરાનો ઘેરો
Mower,મોવર
Mowing,Owingોવીંગ
Mucilage,મ્યુસિલેજ
Muck soil,ગંદકી માટી
Muddy,કાદવવાળું
Muffle,ખસી કરવું
Mulch farming,લીલા ઘાસની ખેતી
Mulch tillage,લીલા ઘાસ
Mulch,લીલા ઘાસ
Mulching,ગંદું
Mull,ગળચોર
Multi storey cropping,બહુમાળી પાક
Multiple correlation,બહુવિધ સહસંબંધ
Multiple cropping,બહુવિધ પાક
Multiple cropping index,બહુવિધ પાક સૂચકાંક
Multiple cross,બહુવિધ ક્રોસ
Multiple resistance,બહુવિધ પ્રતિકાર
Multivariate,બહુવિધ
Multizygotic,બહુવિધ
Mummification,મર્મીકરણ
Mummified fruit,મમીફાઇડ ફળ
Muscovite,મસ્તક
Mushroom,મશરિયો
Mutagen,પરિવર્તનશીલ
Mutant,અતિશય
Mutation,પરિવર્તન
Mutual inhibition,પરસ્પર અવરોધ
Mutualism,પરસ્પરવાદ
Mycelium,મિસિલિયમ
Mycology,માયકોલોજી
Mycoplasma,માયકોપ્લાસ્મા
Mycorrhiza,મિકોરિઝા
Mace,ગદા
Madar,માસ્ટર
Madhuca,માધુકા
Maize,મકાઈ
Makhana,મખાનો
Mandarin,મેન્ડરિન
Mango zinger,કેરીની ઝિન્જર
Mango,કેરી
"Margosa, neem","માર્ગોસા, લીમડો"
Marigold,મરવાડો
Mastic tree,મેસ્ટિક વૃક્ષ
Merrill,ભ્રામક
Mesta,આવરણ
Mint,ટંકશાળ
Molucca bean,મોલુકા બીન
Monkey jack,મંકી જેક
Moringa,મોરિંગ
Morning glory (convolvulus),મોર્નિંગ ગ્લોરી (કોન્વોલ્વુલસ)
Mosambi,મોર્બી
Moth bean,શલભ બીન
Mulberry,શેતૂર
Mushroom,મશરિયો
Musk melon,શકરટેટી
Musk,મસ્ત
Mustard,સરસવ
Myrtle,Myંચું
Mapier grass,નકશો
Mealy bug,મેલી બગ
Midge,મિજ
Mites,જૂથ
Monkey,વાંદરો
Mosquito,મચ્છર
Moth,શણગાર
Meteorologist,હવામાન શાસ્ત્રી
Microbiologist,સૂક્ષ્મજ્ologist
Mycologist,માયકો -વિજ્ologistાની
Nanotechnology,સમશીાવણીવિજ્ologyાન
Napiform,નેપિફોર્મ
Narcotic,માદક
Nastic movement,ચપળ આંદોલન
National demonstration,રાષ્ટ્રીય પ્રદર્શન
Nationalization (of land),રાષ્ટ્રીયકરણ (જમીનનું)
Natural,સ્વાભાવિક
Natural erosion,કુદરતી ધોવાણ
Natural farming,કુદરતી ખેતી
Natural resources,કુદરતી સંસાધનો
Natural selection,પ્રાકૃતિક પસંદગી
Natural vegetation,કુદરતી વનસ્પતિ
Neck (hort),ગરદન (હોર્ટ)
Necrosis,નેક્રોસિસ
Nectar,અમૃત
Negative allelopathy,નકારાત્મક એલેલોપેથી
Nematicide,નેમેટીડન
Nematode resistant rootstock,નેમાટોડ પ્રતિરોધક રૂટસ્ટોક
Nematology,નેમાટોવિજ્ologyાન
Neoteny,નિયોટિની
Net assimilation rate (NAR),ચોખ્ખો એસિમિલેશન રેટ (એનએઆર)
Net gain,ચોખ્ખો ફાયદો
Net income (farm income),ચોખ્ખી આવક (ખેતીની આવક)
Net irrigation requirement,ચોખ્ખી સિંચાઈ આવશ્યકતા
Net productivity,ચોખ્ખી ઉત્પાદકતા
Net return,સાચો વળતર
Netting,જખમ
Neuron,ન્યુરોન
Neutral,તુરંત
Neutralism,તટસ્થતા
Neutralization,બિન -વ્યવસાયિકરણ
Neutral soil,તટસ્થ માટી
Neutron moisture meter,ન્યુટ્રોન ભેજનું મીટર
Niche,વિશિષ્ટ
Nicotine,નિકોટ
Night soil,રાત્રી માટી
Nitrate assimilation,નાઈટ્રેટ એસિમિલેશન
Nitrate reduction,નાઈટ્રેટ ઘટાડો
Nitrate toxicity,નાઈટ્રેટ ઝેરી દવા
Nitre,નાર
Nitrification inhibitor,નાઈટ્રિફિકેશન અવરોધક
Nitrogen assimilation,નાઇટ્રોજન જોડાણ
Nitrogen cycle,નાઇટ્રોજન ચક્ર
Nitrogen deficiency,નાઈટ્રોજન ઉણપ
Nitrogen fixation,નાઈટ્રોજન સુધારા
Nitrogenous,નાઇટ્રોજનયુક્ત
Nobilization,કોઈ વસ્તુ નથી
Noble cane,ઉમદા શેરડી
Nocturnal,નિશાચર
Node,નોડ
Nodulated plant,Nodંચેથી ભરપુર પ્લાન્ટ
Nodulation,Nodંચેથી નોકર
Nodule,નોકર
Nomadion,ભ્રમણ
Nomenclature,નામકરણ
Non allelic,અનિયંત્રિત
Non capillary pore,બિન -કેશિકા છિદ્ર
Non competing crop,બિન -હરીફ પાક
Nonsense mutation,બકવાસ પરિવર્તન
Non significant,નોંધપાત્ર
Non-acid forming fertilizer,બિન-એસિડ ખાતર
Non-conjugation,કન્જુગેશન
Non-descript (animal),નોન-ડિસ્ક્રિપ્ટ (પ્રાણી)
Non-essential element,બિન-આવશ્યક તત્વ
Non-homogenous,યહુદી
Non-homologus,બિન-દ્રવ્ય
Non-polar compound,બિન-ધ્રુવીય સંયોજન
Non-renewable energy,નવીકરણપાત્ર energyર્જા
Non-selective contact herbicide,બિન-પસંદગીયુક્ત સંપર્ક હર્બિસાઇડ
Non-selective herbicide,બિન-પસંદગીયુક્ત હર્બિસાઇડ
Non-symbiotic nitrogen fixation,બિન-સેમ્પાયોટિક નાઇટ્રોજન ફિક્સેશન
Normal distribution,સામાન્ય વિતરણ
Normal seedlings,સામાન્ય રોપાઓ
Normal solution,સામાન્ય ઉકેલ
Normalising,અનુપૃવ્ય
Northern blotting,ઉત્તરી
Notifiable disease,સાબિતી રોગ
No-till planting,ત્યાં સુધી વાવેતર
Noxious weeds,હાનિકારક નીંદણ
Nuclear magnetic,અણુને લગતું
Nuclei acid,બીજક એસિડ
Nucleobacter,બીજક
Nucleolus,કેન્દ્રક
Nucleotide,બીજક
Nucleus,બીજક
Null hypothesis,નલધ્વજ
Nullisomic,અપશુકન
Null-mutation,નકામો
Nurse cell,નર્સ સેલ
Nurse crop,નર્સ પાક
Nursery,શિરાજરી
Nut,અખરોટ
Nutrient cycling,પોષક ચક્ર
Nutrient deficiency symptoms,પોષક ઉણપનાં લક્ષણો
Nutrition,પોષણ
Nutritional value,પોષણ મૂલ્ય
Nutritive value index,પોષણ મૂલ્ય સૂચન
Names of important plants related to agriculture,કૃષિથી સંબંધિત મહત્વપૂર્ણ છોડના નામ
Nagai camphor,નાગાઈ કપૂર
Narcissus,નર્સિસસ
Nigella,નાઇજેલા
Niger,નાઇજર
Night jasmine,જાસ્મિન
Nipa palm,નિપા હથેળી
Nut grass,બદમાશ
Nut sedge,અખરોટ
Nutmeg,જાયફળ
Nematode,નેમાટોડ
Nut weevil,અખરોટ
Nematologist,નેમાટોલોજિસ્ટ
Obligate aerobes,એરોબ્સને ફરજિયાત કરો
Obligate anaerobes,એનારોબ્સને ફરજિયાત કરો
Obligate parasite,પરોપજીવી
Obligate,પ્રતિષ્ઠિત
Off-type plants,પ્રકારના છોડ
Oil cake,તેલ કેક
Okazaki fragment,ઓકાઝાકી ટુકડો
Olericulture,બુદ્ધિલણ
Oligogene,ચિત્ત
Oligonucleotide,છલકાઇને લગતું
Olive oil,ઓલિવ તેલ
Omega-3-fatty acid,ઓમેગા -3-ચરબીયુક્ત એસિડ
Omnivorous,સર્વભક્ષી
Oncogene,ઉશ્કેરાટ
Oncogenic virus,ઓનકોજેનિક વાયરસ
Oncology,તંગવિજ્ologyાન
On-farm research,ખેતરમાં સંશોધન
Oocyte,ઓસાઇટ
Operating cost,કાર્યરત ખર્ચ
Operon,કોઇ
Opportunity cropping,તકનું પાક
Optimum dose,શ્રેષ્ઠ માત્રા
Optimum economic dose,શ્રેષ્ઠ આર્થિક માત્રા
Orchard efficiency,બાંકડી કાર્યક્ષમતા
Organic agriculture,કાર્બનિક કૃષિ
Organic colloids,કાર્બનિક કોલોઇડ્સ
Organic farming,સજીવ ખેતી
Organic manure,કાર્બનિક ખાતર
Organic matter,કાર્બનિક પદાર્થ
Organic nitrogen (soil),કાર્બનિક નાઇટ્રોજન (માટી)
Organic phosphorus,કાર્બનિક ફોસ્ફરસ
Organic soil,કાર્બનિક જમીન
Organic wastes,કાર્બનિક કચરો
Organic,કાર્બનિક
Organised marketing,સંગઠિત બજાર
Organogenesis,એક વિષયવસ્તુ
Organoleptic evaluation,સંગઠન
Orninthology,સંતૃપ્તિ
Orthodox seed,રૂ thod િચુસ્ત બીજ
Orthogonal polynomial equation,ઓર્થોગોનલ બહુપદી સમીકરણ
Osmosis,કમરિસીત
Osmotic effect,હોશિયાર અસર
Osmotic potential,અસ્થિર સંભાવના
Out break,મહામારીનું એકદમથી ફાટી નીકળવું
Out breeding,બહારના સંવર્ધન
Oven,ભઠ્ઠી
Overwinter,વધુ પડતું કામ કરવું
Overlapping generation,ઓવરલેપિંગ ઉત્પાદન
Ovum,ઓવમ
Oxidation,ષડયંત્ર
Oxylophytes,ઓક્સીલોફાઇટ્સ
Oats,ઓટ
Oil palm,તેલની હથેળી
Oleander,ઓલંકાર
Olive,કોતરણી
Onion,ડુંગળી
Opium poppy,અફીણ
"Oriental plane, european plane tree","ઓરિએન્ટલ પ્લેન, યુરોપિયન પ્લેન ટ્રી"
Packing,પ packકિંગ
Paddock,પડોશ
Paired row planting,જોડી પંક્તિ વાવેતર
Palatability,બુદ્ધિ
Panicle,ભયાવહ
Paracentric inversion,પર્વતારોહણ
