English,Kannada
Crookes dark space,ವಂಚಕರ ಕರಾಳ ಸಾಮ್ರಾಜ್ಯ
Cross,ಅಡ್ಡ-ಹೈಬ್ರಿಡ್ ಹೈಬ್ರಿಡೈಸೇಶನ್
cross band,ಕ್ರಾಸ್ ಬ್ಯಾಂಡ್ ಸಂವಹನ
cross colour interference,ಅಪ್ರಸ್ತುತ ಪಾತ್ರದ ವ್ಯಕ್ತಿತ್ವ
cross connection,ಅಡ್ಡ ಸಂಬಂಧಗಳು
crossed field,ದಾಟಿದ ಪ್ರದೇಶ
crossed lens,ಕನಿಷ್ಠ ವಿಪಥನ ಲೆನ್ಸ್
crossed product,ಅಡ್ಡ ಉತ್ಪನ್ನ
cross fire (=cross talk),ಅಪ್ರಸ್ತುತ ಸಂಕೇತ
crossing of levels,ಮಹಡಿಗಳ ಅತಿಕ್ರಮಣ
cross-over area,ಪರಿವರ್ತನೆ ವಲಯ
crossover frequencies,ಪರಿವರ್ತನೆಯ ಬಿಂದು
crossover value,ವಿನಿಮಯ ಮೌಲ್ಯ
cross product,ವೆಕ್ಟರ್-ಉತ್ಪನ್ನ ವೆಕ್ಟರ್ ಉತ್ಪನ್ನ
cross section,"ಅಡ್ಡ ವಿಭಾಗ, ಅಡ್ಡ ವಿಭಾಗ"
cross term,"ಬಹು ಪದ, ಹೈಬ್ರಿಡ್ ಪದ"
cross wire,ಅಡ್ಡ ತಂತಿ
crown optical glass,"ಕ್ರೌನ್ ಆಪ್ಟಿಕಲ್ ಗ್ಲಾಸ್, ಕ್ರೌನ್ ಆಪ್ಟಿಕಲ್ ಗ್ಲಾಸ್"
Cryogen,ತಂಪಾಗಿಸುವ ಮಿಶ್ರಣ
cryogenic electronics,ಕಡಿಮೆ ತಾಪಮಾನ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
cryogenic,ಲಘೂಷ್ಣತೆ
cryogenic laboratory,ಕ್ರಯೋಜೆನಿಕ್ ಪ್ರಯೋಗಾಲಯ
Cryogenics,ನಿಮ್ರತಾಪಿಕಿ
cryoscope,ಘನೀಕರಿಸುವ ಗೇಜ್
Cryoscopic Constant,ಕ್ರೈಯೊಮೆಟ್ರಿಕ್ ಸ್ಥಿರ
crystal,ಸ್ಫಟಿಕ
Crystalline,"ಸ್ಫಟಿಕದಂತಹ, ನಾರು"
crystallisation (=crystallization),"ಸ್ಫಟಿಕೀಕರಣ, ಸ್ಫಟಿಕೀಕರಣ, ಸ್ಫಟಿಕೀಕರಣ"
crystallographer,ಸ್ಫಟಿಕ ವಿಜ್ಞಾನಿ
Crystallographic,ಸ್ಫಟಿಕ-ರಚನಾತ್ಮಕ
Crystallographical,ಸ್ಫಟಿಕ ರಚನೆ
crystallography,"ಸ್ಫಟಿಕಶಾಸ್ತ್ರ, ಸ್ಫಟಿಕ ವಿಜ್ಞಾನ"
crystal translation operation (=lattice translation operation),ಲ್ಯಾಟಿಸ್ ವರ್ಗಾವಣೆ ಕಾರ್ಯಾಚರಣೆ
crystal whiskers,ಸ್ಫಟಿಕ ಸ್ಮಡ್ಜ್
Cube,ಘನ ಘನ
Cubic,"ಕ್ಯೂಬ್, ಕ್ಯೂಬ್, ಕ್ಯೂಬ್, ಟ್ರಯಾಂಗಲ್, ಕ್ಯೂಬ್, ಟ್ರಯಾಂಗಲ್"
Cubical Cleavage,ಘನ ಸೀಳು
Cubicle,ಕಕ್ಷೀಯ
Cumulative,ಸಂಚಿತ
Curie constant,ಕ್ಯೂರಿ ಸ್ಥಿರ
Curie effect,ಕ್ಯೂರಿ ಎಫೆಕ್ಟ್
Curic-point,"ಕ್ಯೂರಿ ಪಾಯಿಂಟ್, ಕ್ಯೂರಿ ತಾಪಮಾನ, ಕ್ಯೂರಿ ಡಿಮ್ಯಾಗ್ನೆಟೈಸೇಶನ್ ಪಾಯಿಂಟ್"
curie (unit),ಕ್ಯೂರಿ
current,ಸ್ಟ್ರೀಮ್
current element,ಸ್ಟ್ರೀಮ್ನ ಅಲ್ಪಸಂಖ್ಯಾತ
Curtailment,ವಿತರಣೆ
Curvature,ವಕ್ರತೆ
Curve,ಕರ್ವ್ ಕರ್ವ್ ಲೈನ್
Curved,ಬಾಗಿದ
curved beam,ಕರ್ವ್ ಬಾರ್
curved surface,ಬಾಗಿದ ಪುಟ
curve of growth,ಬೆಳವಣಿಗೆಯ ರೇಖೆ
Curvilinear,ವಕ್ರರೇಖೆಯ
cut-off,"ರಂದ್ರ, ಕತ್ತರಿಸುವುದು"
cut off field,ಅಂತಿಮ ವಲಯ
cut off frequency,ಅಂತಿಮ ಆವರ್ತನ
cut off point,ಅಂತಿಮ ಬಿಂದು
cut off velocity,ಟರ್ಮಿನಲ್ ಪಾಯಿಂಟ್ ವೇಗ
cut off voltage,ಟರ್ಮಿನಲ್ ವೋಲ್ಟೇಜ್
Cutter,"ಪ್ರದರ್ಶಕ, ಪ್ರದರ್ಶಕ"
Cybernetics,ಸೈಬರ್ನೆಟಿಕ್ಸ್
Cycle,"ಸೈಕಲ್, ಸೈಕಲ್, ಸೈಕಲ್"
cycle per second,ಪ್ರತಿ ಸೆಕೆಂಡಿಗೆ ಚಕ್ರಗಳು
cyclic,"ಆವರ್ತಕ, ಆವರ್ತಕ"
Cycling,ಸ್ಪಿನ್
cycloidal pendulum,ಆವರ್ತಕ ಲೋಲಕ
Cyclotron,ಸೈಕ್ಲೋಟ್ರಾನ್
cyclotron frequency,ಸೈಕ್ಲೋಟ್ರಾನ್ ಆವರ್ತನ
cylinder,"ಸಿಲಿಂಡರ್, ಸಿಲಿಂಡರ್"
Cylindrical,"ಸಿಲಿಂಡರಾಕಾರದ, ಸಿಲಿಂಡರ್ ಆಕಾರ, ಸಿಲಿಂಡರ್, ಸಿಲಿಂಡರ್"
cylindrical harmonics,ಸಿಲಿಂಡರ್ ಹಾರ್ಮೋನಿಕ್
damped,ತೇವಗೊಳಿಸಲಾಗಿದೆ
damped harmonic oscillation,ಸರಳ ಹಾರ್ಮೋನಿಕ್ ಆಂದೋಲನವನ್ನು ತೇವಗೊಳಿಸಿತು
Damping,ಡ್ಯಾಂಪರ್
Daniell cell,ಡೇನಿಯಲ್ ಸೆಲ್
dark,ಕತ್ತಲು
data processing,"ದೇಣಿಗೆ ಸಂಪನ್ಮೂಲಗಳು, ಅಧೀನ ಸಂಪನ್ಮೂಲಗಳು, ಟ್ರಸ್ಟ್ ಸಂಪನ್ಮೂಲಗಳು"
Daughter,"ವಿಘಟನೆ ಉತ್ಪಾದಕ, ಹಾಲು ಉತ್ಪಾದನೆ, ಪೋಷಕ, ಸಂತತಿ"
Davission Germer experiment,ಡೇವಿಸನ್ ಬಿಸಿ ಪ್ರಯೋಗ
d .c. (=zero frequency component),D.C. (ನಿರ್ದೇಶನ)
dead space,ನಿಷ್ಕ್ರಿಯ ಭಾಗ
dead spot,ಮೂಕ ತಾಣ
de Broglie wave length,ಡಿ ಬ್ರಾಗ್ಲಿ ತರಂಗಾಂತರ
Debye charactristic temperature,ಡಿಬೈ ಗುಣಲಕ್ಷಣದ ತಾಪಮಾನ
Debye length,"ಡೆಬೈ ಉದ್ದ, ಡೆಬೈ ದೂರ"
Debye relaxation time,ಸಾಲ-ವಿರಾಮ
decay,ಕೊಳೆತ
decay constant,ಕೊಳೆತ ಸೂಚ್ಯಂಕ
decelerating,ದುರ್ಬಲಗೊಳಿಸುವ
deceleration,ಹಿಂದುಳಿದ
deceleration time,ವಿರಾಮ ಸಮಯ
Decibel,ಡೆಸಿಬಲ್
decibelmeter,ಡೆಸಿಬೆಲೋಮೀಟರ್
Decimal,"ದಶಮಾಂಶ, ದಶಮಾಂಶ"
declassify,ವರ್ಗೀಕರಣ
declination,"ಕ್ರಾಂತಿ, ಕ್ರಾಂತಿ, ಕೈಗೊಳ್ಳುವಿಕೆ, ಅವನತಿ"
declination circle,ಸಮಮಾಪನ ವೃತ್ತ
Decoder,ಡಿಕೋಡರ್
decomposition,"ವಿಘಟನೆ, ವಿಸರ್ಜನೆ"
Decompression,ಡಿಕಂಪ್ರೆಷನ್
decontamination,ನಿರ್ಮಲೀಕರಣ
Decoration,ಅಲಂಕರಣ
Decoupling,ಸಂಯೋಗ
decreasing function,ಕ್ಷೀಣಿಸುವ ಕಾರ್ಯ
Decrement,ಹವಾಮಾನ
Deemphasis,ಉಲ್ಲಂಘನೆ
deep level,ಸಬ್ಫ್ಲೋರ್
dcep space,ಆಳವಾದ ಜಾಗ
De-excitation,ವ್ಯುತ್ಪತ್ತಿ
Defect,"ದೋಷ, ದೋಷ, ಹಾನಿ, ಕೊರತೆ"
Defective,ತಪ್ಪು
Defensive,ವಿನಾಯಿತಿ
defining aperture,ಮಿತಿ ಬಾಗಿಲು
definition,"ವ್ಯಾಖ್ಯಾನ, ಸ್ಪಷ್ಟತೆ"
Deflect,ತಿರುಗಿಸು
Deflecting,ಡಿಫ್ಲೆಕ್ಟರ್
Deflection,"ವಿಚಲನ, ವಿಚಲನ"
deflection defocussing,ವಿಚಲನ ಗಮನ
deflection-doubling mirror,ವಿಚಲನ-ಡಬಲ್ ಕನ್ನಡಿ
deflection field,ವಿಚಲನ ವಲಯ
deflection of gravity,ಗುರುತ್ವಾಕರ್ಷಣೆ-ಬಾಧಿತ ವಿಚಲನ
deflection plates,ಸಂಕ್ಷೇಪಣ ಫಲಕಗಳು
Defocussing,ಗಮನ
deformability,ವಿರೂಪತೆ
Deformation,"ವಿರೂಪ, ವಿರೂಪ"
degasification,ವಿಗಾಸನ್
Degeneracy,"ದುರಾಚಾರ, ದುರಾಚಾರ"
Degenerate,"ಅಪವಿತ್ರವಾಗಲು (ver.), ಕೆಳಮಟ್ಟಕ್ಕೆ (n.), ಕೆಳಮಟ್ಟಕ್ಕೆ (v.)"
degenerate gas,ತ್ಯಾಜ್ಯ ಅನಿಲ
degeneration,"ವಿಪಥನ, ಅಫೇಸಿಯಾ, ಅಭಾವ, ಅಭಾವ"
degenerative,ಸಂತಸದಾಯಕ
Degree,"ಪದವಿ, ಪದವಿ, ಪ್ರಮಾಣ, ಪದವಿ, ಪದವಿ, ಪ್ರಮಾಣ, ಅಂಶ"
degree of concentration,ಏಕಾಗ್ರತೆ-ಪರಿಮಾಣ
degree of dissociation,ವಿಘಟನೆಯ ಪ್ರಮಾಣ
degree of freedom,ಸ್ವಾತಂತ್ರ್ಯದ ಪದವಿ. ಸ್ವಾತಂತ್ರ್ಯದ ಪದವಿ
degree of ionisation,ಅಯಾನೀಕರಣದ ಪ್ರಮಾಣ
degree of polarisation,ಧ್ರುವೀಕರಣದ ಪ್ರಮಾಣ
degree of precision,ನಿಖರತೆಯ ಪ್ರಮಾಣ
dehumidification,dehumidification
deionisation,ಅಯಾನೀಕರಣ
Delay,ವಿಳಂಬ
Delayed,ತಡವಾಗಿ
Delocalisation,ಸ್ಥಳೀಕರಣ
delta function,ಡೆಲ್ಟಾ ಕಾರ್ಯ
Demagnetisation,ಡಿಮ್ಯಾಗ್ನೆಟೈಸೇಶನ್
Demagnetise,ಡಿಮ್ಯಾಗ್ನೆಟೈಸ್ಡ್ ಕರ್ವ್
Demagnetiser,ಡಿಮ್ಯಾಗ್ನೆಟೈಸರ್
demodulation,ಡಿಮೋಡ್ಯುಲೇಶನ್
dense packing,ದಟ್ಟವಾದ ದಟ್ಟಣೆ
Densitometer,ಸಾಂದ್ರತೆ ಮಾಪಕ
Density,"ಸಾಂದ್ರತೆ, ಸಾಂದ್ರತೆ"
depletion layer,ಸವಕಳಿ ಮಟ್ಟ
depletion zone,ಸವಕಳಿ ವಲಯ
depolarisation,ಡಿಪೋಲರೈಸೇಶನ್
depolarised,ಡಿಪೋಲರೈಸ್ಡ್
depolariser,ಡಿಪೋಲರೈಸರ್
depth of field,"ಕ್ಷೇತ್ರದ ಆಳ, ಕ್ಷೇತ್ರದ ತೀವ್ರತೆ"
derivative polarogram,"ಪಡೆದ ಪೋಲರೋಗ್ರಾಮ್, ಪಡೆದ ಪೋಲರೋಗ್ರಾಮ್"
derived,ಪಡೆಯಲಾಗಿದೆ
Descending,"ಅವರೋಹಣ, ಅವರೋಹಣ"
descent,"ಅವರೋಹಣ, ಅವರೋಹಣ"
describe,"ವಿವರಿಸಿ, ನಿರ್ಮಿಸಿ, ಸೆಳೆಯಿರಿ"
Descriptor,ಛೇದಕ
Design,"ವಿನ್ಯಾಸಗೊಳಿಸಲು, ವಿನ್ಯಾಸಗೊಳಿಸಲು (n.) ವಿನ್ಯಾಸಕ್ಕೆ, ವಿನ್ಯಾಸಕ್ಕೆ (n.)"
Destruction,ವಿನಾಶ
destructive interference,ವಿನಾಶಕಾರಿ ಹಸ್ತಕ್ಷೇಪ
Destructive,"ವಿನಾಶಕಾರಿ, ವಿನಾಶಕಾರಿ"
Detection,"ಗುರುತಿಸುವಿಕೆ, ಪತ್ತೆ"
Detector,ಸಂಗ್ರಾಹಕ
Determinateness,ನಿರ್ಣಾಯಕತೆ
determinating,ನಿರ್ಣಯಕ
determination,ನಿರ್ಣಯ
determine,ನಿರ್ಧರಿಸಲು
determined,ನಿರ್ಧರಿಸಲಾಗುತ್ತದೆ
Deuteron,ಡ್ಯೂಟೆರಾನ್
develop (=develope),"ವ್ಯಕ್ತಪಡಿಸಿ, ಅಭಿವೃದ್ಧಿಪಡಿಸಿ, ಅಭಿವೃದ್ಧಿಪಡಿಸಿ"
developer,"ಡೆವಲಪರ್, ಡೆವಲಪರ್"
development,"ಅಭಿವೃದ್ಧಿ, ಅಭಿವೃದ್ಧಿ"
Deviation,ವಿಚಲನ
Dew,ಇಬ್ಬನಿ
dew point,ಇಬ್ಬನಿ ಬಿಂದು
dextrorotary,ದಕ್ಷಿಣ ಧ್ರುವೀಕರಣ
diagnostic test,ರೋಗನಿರ್ಣಯ ಪರೀಕ್ಷೆ
Diagonal,ಕರ್ಣೀಯ
Diagram,ರೇಖಾಚಿತ್ರ
Diagrammatic,ರೇಖಾಚಿತ್ರ
dial,ಡಯಲ್ ಮಾಡಿ
Diamagnetic,ಕಾಂತೀಯ
Diamagnetics,"ಡಯಾಮ್ಯಾಗ್ನೆಟಾಲಜಿ, ಡಯಾಮ್ಯಾಗ್ನೆಟಿಕ್ ವಸ್ತು"
Diamagnetism,ಕಾಂತೀಯತೆ
Diameter,ವ್ಯಾಸ
Diametrically opposite,ವ್ಯಾಸದ ವಿರುದ್ಧ
Diamond,"ವಜ್ರ, ವಜ್ರ"
Diaphragm,"ಡಯಾಫ್ರಾಮ್, ಡಯಾಫ್ರಾಮ್"
Diathermanous,ಶಾಖ ವಿನಿಮಯ
diathermic,ಶಾಖ ವಿನಿಮಯ
diatonic scale,"ಡಯಾಟೋನಿಕ್ ಸ್ವರಗ್ರಾಮ್, ಡಯಾಟೋನಿಕ್ ಸ್ವರಗ್ರಾಮ್"
Dichotomy,"ವಿಭಜನೆ, ಅರೆ ಕಲೆ"
dichromate cell,ಡೈಕ್ರೋಮೇಟ್ ಕೋಶ
Dichromatism,"ದ್ವಂದ್ವ, ದೃಶ್ಯ ದ್ವಿಗುಣ, ಮಟ್ಟದ ದ್ವಿಗುಣ"
Dictaphone,ಡಿಕ್ಟಾಫೋನ್
dielectric,ಡೈಎಲೆಕ್ಟ್ರಿಕ್
dielectrics,ಡೈಎಲೆಕ್ಟ್ರಿಕ್ಸ್
diesel cycle,ಡೀಸೆಲ್ ಸೈಕಲ್
difference,ಅಂತರ
difference frequency,"ಡಿಫರೆನ್ಷಿಯಲ್ ಫ್ರೀಕ್ವೆನ್ಸಿ, ವಿಚಲನ ಆವರ್ತನ"
Differential,"ಡಿಫರೆನ್ಷಿಯಲ್, ಡಿಫರೆನ್ಷಿಯಲ್, ಡಿಫರೆನ್ಷಿಯಲ್, ಡಿಫರೆನ್ಷಿಯಲ್, ಇಂಟರ್ಸ್ಟಿಷಿಯಲ್, ಡಿಫರೆನ್ಷಿಯಲ್"
differential absorption,ಭೇದಾತ್ಮಕ ಹೀರಿಕೊಳ್ಳುವಿಕೆ
differential amplifier (=difference amplifier),ಡಿಸ್ಟಿಂಕ್ಷನ್ ಆಂಪ್ಲಿಫೈಯರ್
differential calorimeter,"ಪೆನೆಟ್ರೇಟಿವ್ ಕ್ಯಾಲೋರಿಮೀಟರ್, ಪೆನೆಟ್ರೇಟಿವ್ ಕ್ಯಾಲೋರಿಮೀಟರ್"
differential capacitor,ಡಿಫರೆನ್ಷಿಯಲ್ ಕೆಪಾಸಿಟರ್
differential cross section,ಭೇದಾತ್ಮಕ ವಲಯ
differential Diffusion,ಭೇದಾತ್ಮಕ ಪ್ರಸರಣ
differential equation,ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
differential extinction coefficient,ಡಿಫರೆನ್ಷಿಯಲ್ ಅಳಿವಿನ ಗುಣಾಂಕ
differential ionisation chamber,ಇಂಟರ್ಮೀಟರ್ ಅಯಾನೀಕರಣ ಚೇಂಬರ್
differential isotope method,ಡಿಫರೆನ್ಷಿಯಲ್ ಐಸೊಟೋಪ್ ವಿಧಾನ
differential velocity,ಭೇದಾತ್ಮಕ ವೇಗ
differentiate,ಪ್ರತ್ಯೇಕಿಸಿ
differentiated,"ವಿಭಿನ್ನ, ವಿಭಿನ್ನ"
Differentiation,"ವ್ಯತ್ಯಾಸ, ವ್ಯತ್ಯಾಸ"
diffraction,ವಿವರ್ತನೆ
diffractometer,ಡಿಫ್ರಾಕ್ಟೋಮೀಟರ್
Diffused,"ಪ್ರಸರಣ, ಪ್ರಸರಣ"
Diffuse,ಹರಡಿದೆ
diffusion,ಪ್ರಸರಣ
diffusivity,ಡಿಫ್ಯೂಸಿವಿಟಿ
digit,"ಅಂಕೆ, ವ್ಯಾಸ, ಬೆರಳು"
digital recording,ಡಿಜಿಟಲ್ ರೆಕಾರ್ಡಿಂಗ್
digital voltmeter,ಡಿಜಿಟಲ್ ವೋಲ್ಟ್ಮೀಟರ್
di-isotopic element,ದ್ವಿ-ಐಸೋಟೋಪಿಕ್ ಅಂಶಗಳು
dilatation,ಪ್ರಸರಣ
dilation strain,ವಿಸ್ತರಣೆ ವಿರೂಪ
dilatometer,ಎಕ್ಸೋಮೀಟರ್
Dilator,ವಿಸ್ಫಾರಿಣಿ
Dimension,"ವಿಸ್ತರಣೆ, ಉದ್ದ-ಅಗಲ, ಆಯಾಮ, ಶಕ್ತಿ"
Dimensional,ಆಯಾಮದ
Dimensionality,ಆಯಾಮ
dimensional unit,ವಿಮಾ ಘಟಕ
dimensionless,ಆಯಾಮವಿಲ್ಲದ ಆಯಾಮ
diminution,"ಸವಕಳಿ, ಕಡಿತ"
Dimmer,ವಿಕಿರಣ
diode,ಡಯೋಡ್
diopter,ಡಯೋಪ್ಟರ್
dioptrical region,ವಕ್ರೀಭವನ ವಲಯ
dioptric lens (=drum lens),ವಕ್ರೀಭವನದ ಮಸೂರ
dip,"ಬಾಗಿ, ಬಾಗಿ, ತೊಟ್ಟಿ"
dip angle,ಪತನದ ಕೋನ
Dipole,ದ್ವಿಧ್ರುವಿ
dipole layer (=electric double layer),ಬೈಪೋಲಾರ್ ಪದರ
Dirac delta function,ಡೈರಾಕ್ ಡೆಲ್ಟಾ ಕಾರ್ಯ
Direct,"ನೇರ, ನೇರ, ನೇರ, ನೇರ, ವಿರುದ್ಧ"
direct correlation,ಅನುಲೋಮ್ ಪರಸ್ಪರ ಸಂಬಂಧ
direct current,ಏಕಮುಖ ವಿದ್ಯುತ್
directed,ನೇರ
direct impact,"ನೇರ ಹೊಡೆತ, ನೇರ ಹೊಡೆತ"
direction,"ನಿರ್ದೇಶನ, ನಿರ್ದೇಶನ"
Directional,ದಿಕ್ಕಿನ
directional stability,ಬಾಹ್ಯಾಕಾಶ ಸ್ಥಿರತೆ
direction cosine,"ಡಿಕೋಸಿನ್, ಡಿಕೋಸಿನ್"
directive,"ದಿಕ್ಕು, ದಿಕ್ಕು, ದಿಕ್ಕು"
directivity,ದಿಕ್ಕು
direct lattice,ಸಾಮಾನ್ಯ ಜಾಲರಿ
direct line,ಸರಳ ರೇಖೆ
directly proportional,ಅನುಕ್ರಮ ಅನುಪಾತ
direct method,ನೇರ ವಿಧಾನ
Director,ನಿರ್ದೇಶನ
direct reading instrument,ನೇರ ಓದುವ ಸಾಧನ
direct vision telescope,ಮುಂದೆ ದೂರದರ್ಶಕ
Disc,"ವಸ್ತು, ವೃತ್ತ, ಡಿಸ್ಕ್, ಡಿಸ್ಕ್"
Discharge,"ಇಮ್ಮರ್ಶನ್, ಎಫ್ಯೂಷನ್, ಬ್ಲೀಚಿಂಗ್"
discharge in cascade,ನೀರಿನ ಇಮ್ಮರ್ಶನ್
discontinuity,"ಸ್ಥಗಿತ, ಸ್ಥಗಿತ, ಮುರಿತ"
discontinuous,ನಿರಂತರ
Discovery,"ಸಂಶೋಧನೆ, ಹುಡುಕಾಟ"
Discrepancy,ವ್ಯತ್ಯಾಸ
Discrete,ಕಣಗಳು
dish antenna,"ಕಾನ್ಕೇವ್ ಆಂಟೆನಾ, ಡಿಶ್ ಆಂಟೆನಾ"
disintegration,"ಕರಗುವಿಕೆ, ಗ್ರ್ಯಾನ್ಯುಲೇಷನ್"
disintegration constant,ವಿಸರ್ಜನೆ ಸ್ಥಿರ
disintegration energy,ಪ್ರಸರಣ ಶಕ್ತಿ
disintegration half-life,ವಿಸರ್ಜನೆಯ ಅರ್ಧ-ಜೀವಿತಾವಧಿ
disintegration series,ವಿಸರ್ಜನೆಯ ದರ್ಜೆ
Dislocation,"ಡಿಸ್ಲೊಕೇಶನ್, ಡಿಸ್ಲೊಕೇಶನ್, ಡಿಸ್ಲೊಕೇಶನ್, ಡಿಸ್ಲೊಕೇಶನ್"
dislocation line,"ತಪ್ಪು ರೇಖೆ, ದೋಷದ ತಿರುಳು"
dislocation loop,ತಪ್ಪು ಲೂಪ್
disorder,"ಅಸ್ವಸ್ಥತೆ, ಅಸ್ವಸ್ಥತೆ, ಅಸ್ವಸ್ಥತೆ"
disordering,ಅವ್ಯವಸ್ಥೆ
disorientation,"ಗೊಂದಲ, ಗೊಂದಲ"
dispersed,"ಚದುರಿದ, ಚದುರಿದ"
dispersion,"ಪ್ರಸರಣ, ಚದುರುವಿಕೆ"
Dispersity,ಉತ್ಕ್ಷೇಪಕ
Dispersive,ಚೆದುರಿದ
Dispersivity,ಪ್ರತಿಫಲನ
Displacement,ಸ್ಥಳಾಂತರ
Display,ಪ್ರದರ್ಶನ
display unit (=console),ಕನ್ಸೋಲ್
disruptive force,ಬಿಡಿಸಿಕೊಳ್ಳುವ ಶಕ್ತಿ
dissimilar,ಅಸಮಾನ
dissipation coefficient,ಕೊಳೆಯುವ ಗುಣಾಂಕ
Dissipative,ನಾಶಕಾರಿ
dissipative system,ಕೊಳೆತ ವ್ಯವಸ್ಥೆ
Dissociable,ಬೇರ್ಪಡಿಸಬಹುದಾದ
Dissociated,ಬೇರ್ಪಡಿಸಲಾಗಿದೆ
Dissociation,ಇತ್ಯರ್ಥ
Dissonance,ಅಸಂಗತತೆ
Distance,ದೂರ
Distant,ದೂರದ
Distinct,"ವಿಭಿನ್ನ, ವಿಭಿನ್ನ, ವಿಭಿನ್ನ, ಅಭಿವ್ಯಕ್ತಿಶೀಲ"
Distinction,ತಾರತಮ್ಯ
distinctive property,ಪ್ರತ್ಯೇಕ ಆಸ್ತಿ
Distinguish,"ವ್ಯತ್ಯಾಸ, ವ್ಯತ್ಯಾಸ"
Distorted,ವಿಕೃತ
Distortion,"ವಿರೂಪ, ವಿರೂಪ"
distortional elasticity,ವಿರೂಪ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ
distributed amplifier,ವಿತರಿಸಿದ ಆಂಪ್ಲಿಫಯರ್
Distribution,"ವಿತರಣೆ, ವಿತರಣೆ"
distributive law,"ವಿತರಣಾ ನಿಯಮ, ವಿತರಣಾ ನಿಯಮ"
Disturbance,ಅಡಚಣೆ
Disturbed,"ತೊಂದರೆಗೊಳಗಾದ, ತೊಂದರೆಗೊಳಗಾದ ಸಮತೋಲನ"
disturbing force,ಗೊಂದಲದ ಶಕ್ತಿ
Diurnal,"ಅಹ್ನಿಕ್, ದಿವಾಚಾರ್, ದಿವಾ, ಡೈಲಿ"
diurnal motion,ದೈನಂದಿನ ವೇಗ
Divalent,ದ್ವಿಗುಣ
Diverge,"ವಿಸರ್ಜಿಸು, ವಿಸರ್ಜಿಸು"
Divergence,"ಭಿನ್ನತೆ, ಭಿನ್ನತೆ, ಭಿನ್ನತೆ"
Divergent,ವಿಭಿನ್ನ
diversion,ತಿರುವು
Divided,"ವಿಂಗಡಿಸಲಾಗಿದೆ, ವಿಂಗಡಿಸಲಾಗಿದೆ"
division,"ವಿಭಾಗ, ವಿಭಾಗ, ವಿಭಾಗ"
D-layer of ionosphere,ಅಯಾನುಗೋಳದ ಡಿ ಪದರ
domain,"ಪ್ರದೇಶ, ಪ್ರಾಂತ್ಯ, ಪ್ರದೇಶ, ಡೊಮೇನ್"
dome,"ಗುಮ್ಮಟ, ಗುಮ್ಮಟ"
dominant term,ಪ್ರಭಾವಿ ಸ್ಥಾನ
donor level,ದಾನಿ ಮಟ್ಟ
doped junction,ಮ್ಯಾಡಿಟ್ ಒಪ್ಪಂದ
Doping,"ಕಲಬೆರಕೆ, ಕಲಬೆರಕೆ"
Doppler effect,ಡಾಪ್ಲರ್ ಪರಿಣಾಮ
Dose,"ಡೋಸೇಜ್, ಡೋಸೇಜ್"
Dosimeter,ಕ್ವಾಂಟೊಮೀಟರ್
Dotted,"ಚುಕ್ಕೆ, ಚುಕ್ಕೆ"
Double,"ದ್ವಂದ್ವ, ಡಿಪ್ಲಾಯ್ಡ್, ಜೋಡಿ, ಉಭಯ, ಸಾಮಾನ್ಯ, ದ್ವಿಮುಖ"
double bonds,ಡಬಲ್ ಬಾಂಡ್
double concave lens,ಬೈಕಾನ್ವೆಕ್ಸ್ ಲೆನ್ಸ್
double convex lens,ಬೈಕಾನ್ವೆಕ್ಸ್ ಲೆನ್ಸ್
double differentiation,ಬೈನರಿ ಡಿಫರೆನ್ಷಿಯಲ್
double ionization,ಡಬಲ್ ಅಯಾನೀಕರಣ
double molecule,ಎರಡು ಅಣು
double precision,ಡಬಲ್ ನಿಖರತೆ
double refraction,ಡಬಲ್ ವಕ್ರೀಭವನ
double series,ಡಬಲ್ ಸರಣಿ
double stars,ಜೋಡಿ ನಕ್ಷತ್ರಗಳು
doublet,ದುಪ್ಪಟ್ಟು
doublet achromat,ವರ್ಣರಹಿತ ಲೆನ್ಸ್ ಜೋಡಿ
Doubling,"ಪ್ರಸರಣ, ವಿಸ್ತರಣೆ"
doubly charged particles,ದುಪ್ಪಟ್ಟು ಚಾರ್ಜ್ಡ್ ಕಣ
Doubly degenerate,ಉಭಯಚರ ಭ್ರಷ್ಟ
doubly ionised,ಡಬಲ್ ಅಯಾನೀಕೃತ
Downward,ಕೆಳಕ್ಕೆ
drag,ಎಳೆತ ಅದಿರು ಅರೆ ಕಾಂಪ್ಯಾಕ್ಟ್
drag force drift,ಎಳೆತ ಬಲ
drift,"ವಾಹ್, ಹರಿವು, ಅಪೋಧ್, ಡ್ರಿಫ್ಟ್ (ಗಣಿಗಾರಿಕೆ), ಪಂಜ್ (ಆಹಾರ), ಸ್ಥಳಾಂತರ"
Drift current,ಹರಿಯುವ ಸ್ಟ್ರೀಮ್
Driving,ಕಾರ್ಯಾಚರಣೆ
driving voltage,ವಹನ ವೋಲ್ಟೇಜ್
drop ball,ಸಣ್ಣ ಚೆಂಡು
drop dead halt (=dead halt),ಹಠಾತ್ ವಿರಾಮ
droplet,"ಚುಕ್ಕೆ, ಸೂಕ್ಷ್ಮ ಬಿಂದು, ಹನಿ"
dropping,ಪತನ
Dry,ಒಣ
