English,Gujarati
heretability,આનુવંશિકતા
hermaphrodite,ઉભયલિંગી
heterochromatic,હેટરોક્રોમેટિક
heterofertilization,હેટરોફર્ટિલાઇઝેશન
heterosis,1. હાઇબ્રિડોઝ 2. હેટેરોસિસ
heterosome,લૈંગિક રંગસૂત્રો
heterotroph,ઉછેર
hexaploid,હેક્સાડેસિમલ
hibernate,ઠંડી નિષ્ક્રિયતા
high density planting,ઉચ્ચ ઘનતા વાવેતર
hill (rice),1. પિંડલક 2. ટેકરી (ડાંગર)
histogram,હિસ્ટોગ્રામ
hitech horticulture,ઉચ્ચ તકનીકી બાગાયત
hive,1. દહીં 2. મધપૂડો
hoeing,1. નીંદણ 2. નીંદણ
holding,હોલ્ડિંગ
home farm,ખાનગી ફાર્મ
homeostasis,હોમિયોસ્ટેસિસ
homestead,વતન
homogeneity,એકરૂપતા
homogenous,1. સજાતીય 2. સજાતીય
homologus,સહાનુભૂતિશીલ
homozygote,સજાતીય
hopper,1. ઘુર્લિકા 2. ખાદ્યપદાર્થો 3. હાપર
horizon,1. સ્તર 2. ક્ષિતિજ
horticultural crops,બાગાયતી પાક
horticulture,1. બાગાયત 2. બાગાયત 3. બાગાયત 4. બાગાયત
