Malayalam,Kannada
ജീസ്,ಕುಲ
ജീസ്,ಕುಲ
ബീജം,ಸೂಕ್ಷ್ಮಾಣು
ഗർമ്മിയാകാവസ്ഥ,ರೋಗಾಣು
മുളച്ച്,ಮೊಳಕೆ
ജെർംപ്ലാസം,ನೆಲಮಾಳಿಗೆ
ഗിബ്ബെരെല്ലിക് ആസിഡ്,ಗಿಬ್ಬರ್ಸೆಲ್ ಆಮ್ಲ
ജിന്നിംഗ്,ಗಿಲು
ഭയം,ಹಲ್ಲು
കുഴഞ്ഞ,ಅಂಟಂಟಾದ
ഗ്ലൈക്കോളിസിസ്,ಗ್ಲೈಕೋಲಿಸಂ
ഗ്നസ്,ಗ್ನಿಸ್
സുവർണ്ണ വിപ്ലവം,ಸುವರ್ಣ ಕ್ರಾಂತಿ
ഗ്രേഡിംഗ്,ಶ್ರೇಣಗೀತೆ
ഒട്ടിച്ച പ്ലാന്റ്,ಕಸಿಮಾಡಿದ ಸಸ್ಯ
ഗ്രാഫ്റ്റ്-പൊരുത്തപ്പെടുന്നില്ല,ನಾಟಿ-ಸಂಯೋಜನೀಯ
ഗ്രന്ന,ಗಾರ್ಟರಿ
കൃതം,ಹರಳಾಗುವಿಕೆ
പച്ച വളം,ಹಸಿರು ಗೊಬ್ಬರ
ഹരിത വിപ്ലവം,ಹಸಿರು ಕ್ರಾಂತಿ
വളർച്ചയും വികസനവും,ಬೆಳವಣಿಗೆ ಮತ್ತು ಅಭಿವೃದ್ಧಿ
ഗംമോസിസ്,ಗುರು ರಾಶಿ
ഗൈനോഡിയോസിയസ്,ವೇಷಭೂಷಣವಾದ
പിത്തസഞ്ചി,ಗೋಲು ಕಾಯಿ
വെളുത്തുള്ളി,ಬೆಳ್ಳುಳ್ಳಿ
ഗെർബെറ,ಕಸ
ഗെർക്ക്,ಗೆರ್ಕಿನ್
ഇഞ്ചിര്,ಶುಂಠಿ
ഗ്ലാഡിയോലസ്,ಹೊಳಪು
ആട് കള (ഏജററ്റം),ಮೇಕೆ ಕಳೆ (ಅಗರಟಮ್)
ചെറുമധുരനാരങ്ങ,ದ್ರಾಕ್ಷಿಹಣ್ಣು
മുന്തിരി,ದ್ರಾಕ್ಷಿ
ചെറുപയർ,ಹಸಿರು ಗ್ರಾಂ
ഗ്രാമവകാശ,ದಹನ
നിലക്കടല,ನೆಲಗಡಲೆ
പേര,ಸೀಬೆಹಣ್ಣು
ഗ്വിനിയ പുല്ല്,ಗಿನಿಯಾ ಹುಲ್ಲು
പിത്തസഞ്ചി,ಗಾಲ್ ಮಿಡ್ಜ್
പുല്ല് ഹോപ്പർ,ಹುಲ್ಲು ಹಾಪರ್
ഗുണ്ടി ബഗ്,ಗುಂಡಿ ದೋಷ
ശീലം,ಅಭ್ಯಾಸ
ആഹാനം,ಆಲಿಕಲ್ಲು
ഹെയിവിവിച്ച്,ಕೂದಲು
ഹാലോഫൈറ്റ്,ಮೆರುಗು
ഹാരോ,ಕುಣಿಸು
വിളവെടുപ്പ് സൂചിക,ಕೊಯ್ಲಿಗೆ ಸೂಚಿಸುವ ಸೂಚ್ಯಂಕ
വിളവ്,ಕೊಯ್ದು
വിളവെടുപ്പ്,ಕೊಯ್ಲು
കിളിവാതില്,ಮೊಲ
വയ്ക്കോല്,ಹುಳು
ഭേഹം,ಹುಲಿಗೆ
ആഞ്ഞടിക്കല്,ಹುಲ್ಲುಗಾವಲು
മൂടല്മഞ്ഞ്,ಮಬ್ಬು
മഞ്ഞ്മൂടിയ,ಮಸುಕಾದ
തല (അഗ്രോ),ತಲೆ (ಕೃಷಿ)
തല (ചാനലിന്റെ),ತಲೆ (ಚಾನಲ್)
തിരികെ തലക്കെട്ട്,ಹಿಂದಿರುಗುವುದು
കുറ്റിച്ചെടി,ತುತ್ತೂರಿ
ഹെഡ്ജിംഗ്,ಹೆಡ್ಜಿಂಗ್
ഹെലിക്സ്,ಹೆಲಿಕ್ಸ್
ഹെമറ്റൈറ്റ്,ರಕ್ತನಾಳ
സസം,ಸಸ್ಯ
ഹെരിബറിയം,ಗಿಡದಂತಿ
കളനാശിനി,ಸಸ್ಯನಾಶಕ
വംശപാരന്വരം,ಅನರ್ಹತೆ
പാരപാനം,ಪತ್ನಣೀಯತೆ
ഹെർമാഫ്രോഡൈറ്റ്,ಹರ್ಮ್ರೋಡೈಟ್
ഹെട്രോക്രോമാറ്റിക്,ಭಿನ್ನ ವಾಚ್
ഹെറ്ററേഷൻലൈസേഷൻ,ಭಿನ್ನಾಭಿಪ್ರಾಯ
അറ്റത്തേക്കും,ಭಿನ್ನತೆ
ഹെറ്ററോസോം,ಭಿನ್ನಾಭಿಪ್ರಾಯ
ഹെറോട്രോഫ്,ಭಿನ್ನತೆ
ഹെക്സാപ്ലോയിഡ്,ರಕ್ತಸಂಬಂಧಿ
ഹൈബർനേറ്റ്,ಹೈಬರ್ನೇಟ್ ಮಾಡು
ഉയർന്ന സാന്ദ്രത നടീൽ,ಹೆಚ್ಚಿನ ಸಾಂದ್ರತೆಯ ನೆಡುವಿಕೆ
ഹിൽ (അരി),ಬೆಟ್ಟದ
ഹിസ്റ്റോഗ്രാം,ಹಂದಿಯ ಕುರಿತ
ഹൈക്ക് ഹോർട്ടികൾച്ചർ,ಚೈತನ್ಯದ ತೋಟಗಾರಿಕೆ
കൂട്,ಜೇನುಗೂಡು
ഹോയിംഗ്,ಹಂದಿಯ
പിടിക്കുക,ಹಿಡಿದು
ഹോം ഫാം,ತೋಟ
ഹോമോസ്റ്റാസിസ്,ಹೋಮಿಯೋಸ್ಟಾಸಿಸ್
ഹോംസ്റ്റേഡ്,ಗೃಹ ಹೋಳು
ഏകതാന,ಏಕರೂಪತೆ
ഏകതാനമായ,ಏಕರೂಪದ
ഹോമോനോഗസ്,ಮಾಮೋಲಿಕಸ್
ഹോമോസിഗോട്ട്,ಅಖಂಡ
ഹോപ്പർ,ಕುಳಿ
ചക്രവാളം,ದಿಗಂತಿ
ഹോർട്ടികൾച്ചറൽ വിളകൾ,ತೋಟಗಾರಿಕಾ ಬೆಳೆಗಳು
ഹോർട്ടികൾച്ചർ,ತೋಟಗಾರಿಕೆ
ഹോർട്ടി-സിൽവി ഇടയശ്ത്ഠിംഗ്,ಹೊರ್ಟಿ-ಸಿಲ್ವಿ ಗ್ರಾಮೀಣ ಕೃಷಿ
ആതിഥേയന്,ಅತಿಥೆಯ
ചൂടുവെള്ള ചികിത്സ,ಬಿಸಿನೀರಿನ ಚಿಕಿತ್ಸೆ
തൊണ്ട്,ಹಲ್
ഈർപ്പം,ಆರ್ದ್ರತೆ
ഹ്യൂമസ്,ಸಜ್ಜು
തൊലി,ಹೊಟ್ಟು
തൊലി,ಹಸ್ಕರ್
ഹസ്കിംഗ്,ಹೊಳಪುಳ್ಳ
ഹൈബ്രിഡ്,ಸಂಕರಜದ
ജലവൈദമാക്കല്,ಸಂಕರಜತೆ
ജലാംശം,ಜಲಸಂಚಯ
ജലവൈകരണം,ಜಲವಿಜ್ಞಾನ
ജലവിശ്ലേഷണം,ಜಲವಿಚ್ysisೇದನೆ
ഹൈഡ്രെയിൻ,ಜಲಮಾಪಕ
ഹൈഡ്രോഫിലസ്,ಜಲಪಕ್ಷದ
ഹൈഡ്രോപോണിക്സ്,ಜಲಸಂಪರ್ಕ
ഹൈഡ്രോഫിയർ,ಜಲಾವರಣ
ഹൈഡ്രോസ്കോപ്പിറ്റി,ಜಲಸಮತಿ
ഹൈപ്പർപാരാസറ്റ്,ಅತ್ಯಲ್ಪ
ഹൈപ്പർപ്ലാസിയ,ಒಂದು ದೊಡ್ಡ ಕಣ್ಣು
എസ്യ്പ്പ്,ಜರಡಿ
ഹൈപ്പോകോട്ടൈൽ,ಬಲಿಷ್ಠಿ
അനുമാനസം,ಕಲ್ಪನಾಶಕ್ತಿ
ഹിസ്റ്റെറിസിസ് (വെള്ളം),ಗರ್ಭಕಂಠ (ನೀರು)
ഹാസൽ നട്ട്,ಹಜೆಲ್ ಕಾಯಿ
ചെതാവ്,ಸೆಣಬಿನ
ഹെൻബെയ്ൻ,ಕೋಳಿ
ഹെന്ന,ಗೋರಂಟಿ
ചെമ്പരുത്തി,ದಾಸವಾಳಿ
ചാട്ടം,ಹಾಪ್
കുതിര ഗ്രാം,ಕುದುರೆ ಗ್ರಾಂ
കുതിര-കണ്ണ്-ബീൻ,ಕುದುರೆ ಕಣ್ಣಿನ ಹುಳಿ
തേനീച്ച,ಜೇನು ನೊಣ
ഹോപ്പർ,ಕುಳಿ
ഹോർട്ടികൾച്ചറിസ്റ്റ്,ತೋಟಗಾರಿಕೆ
ജലശാസ്ത്രജ്ഞൻ,ಜಲವಿಜ್ಞಾನಿ
സിറ്റു ഒട്ടിക്കൽ,ಸಿತು ಕಸಿ ಮಾಡುವಲ್ಲಿ
വിട്രോയിൽ,ವಿಂಟ್ರೊದಲ್ಲಿ
വിവോയിൽ,ವಿವೋದಲ್ಲಿ
വിവേചനരഹിതമായ,ತಗ್ಗಿಸದ
പുഴു,ಕೀಟ
പ്രാണികളുടെ കീടങ്ങൾ,ಕೀಟ ಕೀಟ
കീസദമായ,ಕೀಟಸಾಮಾನ್ಯ
കീടനാശിനി,ಕೀಟನಾಶಕ
കീടനാശിനി,ಕೀಟಭಾರಿಯ
ധിക്കാരി,ಬಿಸಿಲು
പുള്ളിപ്പുഴ,ಬಿಡಿಸಲಾಗದ
ഇൻസ്റ്റാർ (പ്രാണികൾ),ಇನ್ಸ್ಟಾರ್ (ಕೀಟ)
സുഖാനുസൃതം,ನಿರಂಕುಶಾಧಿಕಾರಿ
സംയോജിത രോഗ പരിപാലനം,ಸಂಯೋಜಿತ ರೋಗ ನಿರ್ವಹಣೆ
സംയോജിത പോഷക മാനേജുമെന്റ്,ಸಂಯೋಜಿತ ಪೋಷಕಾಂಶಗಳ ನಿರ್ವಹಣೆ
സംയോജിത കീടങ്ങളെ പരിപാലനം,ಸಂಯೋಜಿತ ಕೀಟ ನಿರ್ವಹಣೆ
തീവ്രവാദം,ತೀವ್ರಗೊಳಿಸುವಿಕೆ
തീവമായ,ತೀವ್ರ
ആലോചിക്കുക,ಅಂತರ್ರೋಗ
ഇന്റർ ദുഷ്പീകരണം (ഇന്റർ കൾട്ട്),ಅಂತರಸಂಪರ್ಕ (ಅಂತರಸಂಪರ್ಕ)
പലിശ,ಆಸಕ್ತಿ
ഇന്റനോഡ്,ಅಂತರಪರ್ -ಆವರಣ
ഇന്റർഫേസ് (സെൽ ഡിവിഷൻ),ಇಂಟರ್ಫೇಸ್ (ಕೋಶ ವಿಭಾಗ)
ഇന്റർപോളേഷൻ,ರಾಕ್ಷಸ
ഇന്റർ-അണുവിമുക്തമാണ്,ಅಂತರ್ರೋಗದ
സാധനങ്ങൾ,ದಾಸ್ತಾನು
വിപരീതം,ವಿಪರ್ಯ
ഇവന്റോക്രെ,ಆಕ್ರೋಶ
യൻകിട,ಅಯಾನು
വികിരണം,ವಿಕಿರಣ
ജലസേചനം,ನೀರಾವರಿ
ഐഎസ്ഒ അല്ലെലുകൾ,ಐಸೊ ಆಲೀಲ್ಸ್
ഐഎസ്ഒ ഉൽപ്പന്ന വക്രത,ಐಎಸ್ಒ ಉತ್ಪನ್ನ ಕರ್ವ್
ഐസോബാർ,ಐಸೋಬಾರ್
ഇസോഗമി,ಐಸೊಗಾಮಿ
ഒറ്റപ്പെടൽ ദൂരം,ಪ್ರತ್ಯೇಕತೆ
ഐസോപ്ലോയിഡ്,ಸಮೋಪ್ಸುಯು
ഐസ്കോംകാന്റ്,ಲೋಕದ
ഐസോടോപ്പ്,ಐಸೋಟೋಪ್
ഇന്ത്യൻ ബിർച്ച്,ಭಾರತೀಯ ಬರ್ಚ್
ഇന്ത്യൻ നീല പൈൻ,ಭಾರತೀಯ ನೀಲಿ ಪೈನ್
ഇന്ത്യൻ ചെറി,ಭಾರತೀಯ ಚೆರ್ರಿ
ഇന്ത്യൻ ജുനൈപ്പർ,ಭಾರತೀಯ ಜುನಿಪರ್
ഇന്ത്യൻ കിനോ മരം,ಭಾರತೀಯ ಕಿನೋ ಮರ
ഇന്ത്യൻ ലായറൽ ട്രീ,ಭಾರತೀಯ ಲೌರಲ್ ಮರ
ഇന്ത്യൻ ഭ്രാന്തൻ,ಭಾರತೀಯ ಹುಚ್ಚು
ഇന്ത്യൻ മാഡ്ലർ,ಭಾರತೀಯ ಹುಚ್ಚು
ഇന്ത്യൻ പോഡോ ഫൈലം,ಭಾರತೀಯ ಪೊಡೊ ಫೈಲಮ್
ഇൻഡിഗോ,ಇಂಡಿಗೊ
ഇറ്റാലിയൻ മില്ലറ്റ്,ಇಟಲಿಯ ರಾಗಿ
ആനക്കൊമ്പ് വൃക്ഷം,ದಂತ ಮರ
ഐവി പൊറോട്ട / ലിറ്റിൽ പൊറോട്ട,ಐವಿ ಗೌರ್ಡ್/ಲಿಟಲ್ ಸೋರೆಕಾಯಿ
മന്ദബുദ്ധി,ನುಗ್ಗಿ
ജാപോണിക്ക അരി,ಜಪೋನಿಕಾ ಅಕ್ಕಿ
ജാസിദ്,ಜಲಾರತಿ
ജാവാനിക്ക അരി,ಜಾವಾನಿಕಾ ಅಕ್ಕಿ
ജെല്ലിംഗ്,ಕವಣೆ
Jum കൃഷി,ಜಮ್ ಕೃಷಿ
ചാടുന്ന ജീൻ,ಜಿಗಿಯುವ ಜೀನ್
ജങ്ക് ഡിഎൻഎ,ಜಲ್ಲಿಕ
ജുവനൈൽ ഘട്ടം,ಬಾಲಕಿಯ ಹಂತ
ജസറന്ദ,ಸ ೦ ಗಂಗಲ
ചക്ക,ಜಕ್ಕೆ
മുൻ,ಜಾಮಿನ
ജാസ്മിൻ,ಮಲ್ಲಿಗೆ
ജട്ടി ഖട്ടി,ಜಟ್ಟಿ ಖಟ್ಟಿ
ജാട്ട്രോഫ,ಜಾಟ್ರೋಫಾ
ചണം,ದಣಿಸು
ജാസിഡുകൾ,ಜಸ್ಸಿಡ್ಸ್
കയോലിൻ,ಕವಣೆ
Koolianite,ಕ್ವಾಲಿನೈಟ್
Koolianite,ಕ್ವಾಲಿನೈಟ್
കര്യൻചേരിമ,ಕರಿಚೈಮಾ
കരോഡെസ്മ,ಕಸಪೋಕ್ತಿ
കാരിയോബാമി,ಕಟೋಗಮಿ
കാറിഗ്രാം (IDiOGRAM),ಕ್ಯಾರೋಗ್ರಾಮ್ (ಇಡಿಯೋಗ್ರಾಮ್)
കാരിയോകിനിസ്,ಕರಿಯೊಕಿನಿಸ್
കരിയോളജി,ಸ್ವಾರಸ್ಯ
കരോലിസിസ്,ಕಸಪಂಕ್ತಿ
കറിയോൺ,ಕರಿಯಾನ್
കാരിരിയോടൈ,ಬಾವ್ಯ
കെൽപ് (ആൽഗ),ಕೆಲ್ಪ್ (ಪಾಚಿ)
കെൽവിൻ സൈക്കിൾ,ಕೆಲ್ವಿನ್ ಚಕ್ರ
കെരാറ്റിൻ,ಕಸ
കേർണൽ,ಪಟಲ
ഖൈറ രോഗം,ಖೈರಾ ಕಾಯಿಲೆ
ഖാരിഫ്,ಖಾರಿಫ್
കളിയാക്കാനുള്ള,ತಮಾಷೆ
കിടോചോർ,ಧನಸಹಾಯ
അടുക്കളത്തോട്ടം,ಅಡಿಗೆಮನೆ
ക്ലീൻഫിൽട്ടർ സിൻഡ്രോം,ಕ್ಲೈನ್‌ಫಿಲ್ಟರ್ ಸಿಂಡ್ರೋಮ್
KLENOV ശകലം,ಕ್ಲೆನೋ ತುಣುಕು
നോട്ടിയ,ಗಲಾಟೆ
കൊച്ചിന്റെ പേര്,ಕೋಚ್ ಅವರ ಪೋಸ್ಟ್ಯುಲೇಟ್
കോപ്പേഴ്സ് ക്ലാസിഫിക്കേഷൻ (കാലാവസ്ഥ),ಕೊಪ್ಪೆನ್ಸ್ ವರ್ಗೀಕರಣ (ಹವಾಮಾನ)
ക്രെസ് സൈക്കിൾ,ಕ್ರೆಬ್ಸ್ ಚಕ್ರ
കുട്ടി,ಕರ್ಟಿಸಿಸ್
കെവികെ (കൃഷി വിജ്ഞൻ കേന്ദ്ര),ಕೆವಿಕೆ (ಕೃಷಿ ವ್ಯರ್ಥಾದ ಕೇಂದ್ರ)
കടാം,ಕಾದಮ್
കലെ,ಕಾಲ್ನಡಸು
കന്മാർ പുല്ല്,ಕಾನ್ಸ್ ಹುಲ್ಲು
കരുണാന്ത,ಕರೋಂಡ
"കിഡ്നി ബീൻ, രാജ്മ","ಕಿಡ್ನಿ ಬೀನ್, ರಾಜ್ಮಾ"
Kiwifriuut,ಕಿವಿಫ್ರೂಟ್
നോൾ ഖോൾ,ನಾಲ್ ಖೋಲ್
കോടംമ്പുലി,ಕಾದು
കൊഡോ മില്ലറ്റ്,ಕಾದೋ ರಾಗಿ
കോകം വെണ്ണ ട്രീ (മംഗോസ്റ്റിൻ),ಕೊಕಾಮ್ ಬೆಣ್ಣೆ ಮರ (ಮ್ಯಾಂಗೋಸ್ಟೀನ್)
ഖപ്പുര വണ്ട്,ಖಮ್ರ ಜೀರುಂಡೆ
L.D.50 (മാരകമായ ഡോസ് 50),ಎಲ್.ಡಿ.50 (ಮಾರಕ ಡೋಸ್ 50)
ലംബമായി,ಲ್ಯಾಂಡ್ ಟು ಲ್ಯಾಂಡ್
മൗലിപ്പ്,ಹದಗೆಟ್ಟ
തൊഴിലാളി,ದುಡಿಮೆ
ലാക് ഓപ്പറൺ മോഡൽ,ಲ್ಯಾಕ್ ಒಪೆರಾನ್ ಮಾದರಿ
മുലയൂട്ടൽ,ಪಾದಚಾರಿ
ലാക്ടാനെനിക് ഹോർമോൺ (പ്രോലാക്റ്റിൻ),ಲ್ಯಾಕ್ಟೋಜೆನಿಕ್ ಹಾರ್ಮೋನ್ (ಪ್ರೊಲ್ಯಾಕ್ಟಿನ್)
ലാക്ടോസ്,ಕ್ಷೀರ
ലഗ്ഗുചെയ്യുന്ന സ്ട്രോണ്ട്,ಹಿಂದುಳಿಯುವ ಎಳ
ലാംഡ ക്ലോണിംഗ് വെക്റ്റർ,ಲ್ಯಾಂಬ್ಡಾ ಕ್ಲೋನಿಂಗ್ ವೆಕ್ಟರ್
ലാമർ എയർ ഫ്ലോ,ಲ್ಯಾಮಿನಾರ್ ಗಾಳಿಯ ಹರಿವು
ലാമ്പ് ബ്രഷ് ക്രോമസോം,ದೀಪದ ಕ್ರೋಮೋಸೋಮ್
നിലം,ನೆಲ
ലാൻഡ് ക്യാപിറ്റബിലിറ്റി വർഗ്ഗീകരണം,ಭೂ ಸಾಮರ್ಥ್ಯ ವರ್ಗೀಕರಣ
ലാൻഡ് ക്യാപിറ്റബിലിറ്റി മാപ്പ്,ಭೂ ಸಾಮರ್ಥ್ಯದ ನಕ್ಷೆ
ഭൂമി അപകടം,ಭೂ ಅವನತಿ
ഭൂമി തുല്യമായ അനുപാതം,ಭೂ ಸಮಾನ ಅನುಪಾತ
ഭൂമി നില,ಭೂ ಸ್ಥಾನ
ഭൂമി വീണ്ടെടുക്കൽ,ಭೂ ಸುಧಾರಣೆ
ലാൻഡ്സ്കേപ്പിംഗ്,ಭೂದೃಶ್ಯ
ലാൻഡ് അനുയോജ്യത,ಭೂ ಸೂಕ್ತತೆ
ഭൂവിനിയോഗ രീതി,ಭೂ ಬಳಕೆಯ ಮಾದರಿ
ലങ്കാൻഹാൻ സെല്ലുകൾ,ಲ್ಯಾಂಗರ್‌ಹ್ಯಾನ್ಸ್ ಕೋಶಗಳು
കാലഹരണപ്പെടൽ നിരക്ക്,ಕಳೆದುಹೋಗುವ ದರ
ലാർവ,ಲಾರ್ವಾಗಳು
ലേറ്റേഷന്,ಸುಪ್ತತೆ
ലെഡ് വ്യൂ,ಸುಪ್ತ
ഒളിഞ്ഞിരിക്കുന്ന അണുബാധ,ಸುಪ್ತ ಸೋಂಕು
ലാറ്ററൽ,ಪಾರ್ಶ್ವದ
ലാറ്ററൈറ്റ് മണ്ണ്,ಲ್ಯಾಟೈಟ್ ಮಣ್ಣು
ലാത്ക്സ്,ಜರಡಿ
നാതിരിവാദം,ತತ್ತ್ವ
ലാറ്റിൻ സ്ക്വയർ ഡിസൈൻ (എൽഎസ്ഡി),ಲ್ಯಾಟಿನ್ ಸ್ಕ್ವೇರ್ ವಿನ್ಯಾಸ (ಎಲ್ಎಸ್ಡಿ)
ലാറ്റിസ്,ಚೂರುಪಟ್ಟು
കവർന പ്രയോജനത്തിന്റെ നിയമം,ಕನ್ವರ್ಸಿಟಿವ್ ಬೆನಿಫೇಜ್ ಕಾನೂನು
നിരന്തരമായ വരുമാനത്തിന്റെ നിയമം,ನಿರಂತರ ಆದಾಯದ ಕಾನೂನು
വരുമാനം കുറയ്ക്കുന്നതിനുള്ള നിയമം,ರಿಟರ್ನ್ಸ್ ಕಡಿಮೆಯಾಗುವ ಕಾನೂನು
വർദ്ധനവ് വർദ്ധിപ്പിക്കാനുള്ള നിയമം,ಹೆಚ್ಚುತ್ತಿರುವ ಮರುಪರಿಶೀಲಿಸುವ ಕಾನೂನು
പരിമിതപ്പെടുത്തുന്ന രീതി,ಅಂಶಗಳನ್ನು ಸೀಮಿತಗೊಳಿಸುವ ಕಾನೂನು
കുറഞ്ഞത് നിയമം,ಕನಿಷ್ಠ ಕಾನೂನು
പകരക്കാരന്റെ നിയമം,ಬದಲಿ ಕಾನೂನು
വേരിയബിൾ അനുപാതങ്ങളുടെ നിയമം,ವೇರಿಯಬಲ್ ಅನುಪಾತಗಳ ಕಾನೂನು
അടുക്ക്,ಹರಿ
കെട്ടിടത്തിന്റെ പ്ളാന്,ಲೆಔಟ್
അയതലിക്കുക,ಚೂರು
ലീച്ചിംഗ് കാര്യക്ഷമത,ಸೋರಿಕೆ ದಕ್ಷತೆ
ലീച്ച് ആവശ്യകത,ಲೀಚಿಂಗ್ ಅವಶ್ಯಕತೆ
മുൻനിര സ്ട്രാന്റ്,ಪ್ರಮುಖ ಎಳೆಯ
ഇല വിസ്തൃതി ദൈർഘ്യം,ಎಲೆ ಪ್ರದೇಶದ ಅವಧಿ
ഇല ഏരിയ സൂചിക,ಎಲೆ ಪ್ರದೇಶದ ಸೂಚ್ಯಂಕ
ഇല ഏരിയ അനുപാതം,ಎಲೆ ಪ್ರದೇಶ ಅನುಪಾತ
ഇല ഖനിത്തൊഴിലാളി,ಎಲೆಗಾರ
ഇല പരിശോധന,ಪಟ ಪರೀಕ್ಷೆ
ഇല,ಎಲೆ
ലഘുലേഖ,ಕರಪತ್ರ
പാട്ടം,ಗುತ್ತಿಗೆ
പയർവർഗ്ഗ,ದ್ವಿಮತಿ
ലീസ - (കുറഞ്ഞ energy ർജ്ജ ഇൻപുട്ട് സുസ്ഥിര കാർഷിക മേഖല),ಲೀಸಾ - (ಕಡಿಮೆ ಶಕ್ತಿಯ ಇನ್ಪುಟ್ ಸುಸ್ಥಿರ ಕೃಷಿ)
പന്നികം,ಮೊಲಕಡೆ
ലെന്റോ കാപ്പിലറി പോയിന്റ്,ಲೆಂಟೊ ಕ್ಯಾಪಿಲ್ಲರಿ ಪಾಯಿಂಟ್
ലെപ്റ്റോണിമ,ಕುಣಿಕೆ
ലെപ്റ്റോസ്പിറോസിസ്,ಕುಡಲುಬೀಜ
ലെറോ-മോർഫിക്,ಲೆಯೋ
നിഖേഭം,ಉಂಗುರ
മാരകമായ മ്യൂട്ടേഷൻ,ಬೇಸರ
ല്യൂക്കോപ്ലാസ്റ്റ്,ಪಡಗ
ലെവൽ ടെറസ്,ತೋಟ
ലെവൽക്കാരൻ (ലെവലിയർ),ಲೆವೆಲರ್ (ಲೆವೆಲರ್)
(ഭൂമിയുടെ) ലെവലിംഗ്,ಲೆವೆಲಿಂಗ್ (ಭೂಮಿಯ)
കള്ള കൃഷി,ಲೆಯ ಕೃಷಿ
കുറഞ്ഞത് ലിബിഗിന്റെ നിയമം,ಕನಿಷ್ಠ ಲೈಬಿಗ್ ಕಾನೂನು
ഉപക്കുറിത,ಬಂಧನ
നേരിയ നഷ്ടപരിഹാര പോയിന്റ്,ಲಘು ಪರಿಹಾರ ಬಿಂದು
ലൈറ്റ് സാച്ചുറേഷൻ തീവ്രത,ಬೆಳಕಿನ ಶುದ್ಧತ್ವ ತೀವ್ರತೆ
ലൈറ്റ് ട്രാൻസ്മിഷൻ അനുപാതം,ಬೆಳಕಿನ ಪ್ರಸರಣ ಅನುಪಾತ
നേരിയ കെണി,ಲಘು ಬಲೆ
പരിമിതമാണ്,ಮಿತಿಗೊಳಿಸುವುದು
പരിമിതപ്പെടുത്താതെ,ಮಿತಿಯ
പരിമിതപ്പെടുത്തുന്ന ഘടകം,ಸೀಮಿತಗೊಳಿಸುವ ಅಂಶ
ലിമോണൈറ്റ്,ಲಿಮೊನೈಟ್
നിര,ರೇಖೆ
ലീനിയർ പ്രതികരണം,ರೇಖೀಯ ಪ್ರತಿಕ್ರಿಯೆ
ലിങ്ക്,ಸಂಬಂಧ
ലിങ്കേജ് ഗ്രൂപ്പ്,ಸಂಪರ್ಕದ ಗುಂಪು
ലിങ്കറുകാരന്,ಕೊಂಡಿ
ലിന്റ് സൂചിക,ಲಿಂಟ್ ಸೂಚ್ಯಂಕ
ലിന്ററുകൾ,ಕುರಿಮರಿ
ലിപിഡ്,ನಿಶರ
ലിപ്പോളിസിസ്,ಲಿಪೊಲಿಸಿಸ್
ലിക്വിക്റ്റേഷൻ,ದ್ರವೀಕರಣ
തലക്കെട്ട്,ಕವಣೆ
തലക്കെട്ട്,ಕವಣೆ
ലിസ്റ്റിംഗ്,ಪಟ್ಟಿ
ലിത്തോസ്ഫിയർ,ಅಶ್ಮರೀಗೋಪಿ
ലിറ്റർ,ಕಸ
തത്സമയ പുതപങ്ങൾ,ಹಸಿಗೊಬ್ಬರಗಳು
ലിവർവാർട്ട്,ಲಿವರ್ ವರ್ಟ್
കന്നുകാലി,ಜಾನುವಾರು
പ്രാദേശിക നിയന്ത്രണം,ಸ್ಥಳೀಯ ನಿಯಂತ್ರಣ
ലോക്കസ്,ಸ್ಥಳ
വെട്ടുക,ಮಿಡತೆ
താമസം (വിള താമസസ്ഥലം),ವಸತಿ (ಕ್ರಾಪ್ ಲಾಡ್ಜಿಂಗ್)
ലോഡിക്കുയേറ്റ്,ಕಸಾಯಿಖಾನೆ
ലോയസ്സുള്ള,ಸ ೦ ಗಂಗಲ
ലോഗർട്ടിമിക് പരിവർത്തനം,ಲಾಗಾರ್ಥಿಮಿಕ್ ರೂಪಾಂತರ
ദീർഘനാളത്തിന്റെ ചെടി,ಲಾಂಗ್ - ಡೇ ಪ್ಲಾಂಟ್
നീണ്ട തരംഗ വികിരണം,ಉದ್ದನೆಯ ತರಂಗ ವಿಕಿರಣ
ലൂപ്പ്,ಕುಣಿಕೆ
ലോപ്പിംഗ്,ಕಳೆದುಹೋಗುವ
ചപ്പുചവറുകള്,ಚೂರು
ലക്സ്,ಲಡ್ಸ್
ആഡംബര ഉപഭോഗം (പോഷകരീതി),ಐಷಾರಾಮಿ ಬಳಕೆ (ಪೋಷಕಾಂಶ)
ആഡംബര ജീനുകൾ,ಐಷಾರಾಮಿ ಜೀನ್‌ಗಳು
ലൈക്കോപീൻ,ಹಳ್ಳಿಗೋಳು
ലിംഫ്,ದುಗ್ಧರಸ
ലിസിമീറ്റർ,ಲೈಸಿಮೀಟರ್
സെല്ലിന്റെ ലിസിസ്,ಜೀವಕೋಶದ ಲೈಸಿಸ್
ലിസോഗനി,ಭಾಷೆಯ
ലിസോസോം,ಲೈಸೋಸೋಮ್
ലൈസോസിം,ಸಣ್ಣ
ലാക് ട്രീ,ಉಕ್ಕಿನ
ലാക്കി,ಪಟ
