Hindi,Punjabi
1.संविदा कृषि 2. ठेका कृषि 3. अनुबंधित खेती,1. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ 2. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ 3. ਕੰਟਰੈਕਟ ਫਾਰਮਿੰਗ
नियंत्रित वातावरणीय भंडारण,ਨਿਯੰਤਰਿਤ ਵਾਯੂਮੰਡਲ ਸਟੋਰੇਜ਼
सहकारी बैंक,ਸਹਿਕਾਰੀ ਬੈਂਕ
सहकारी संस्था सदस्य,ਸਹਿਕਾਰੀ ਸਭਾ ਦੇ ਮੈਂਬਰ
गुल्मवन,ਗੁਲਮਾਵਨ
घनकंद,ਘਣ
1.दलपुंज 2. कोरोला,1. ਦਲਪੁੰਜ 2. ਕੋਰੋਲਾ
1. वल्कुट 2. कोर्टेक्स,1. ਕਾਰਟੈਕਸ 2. ਕਾਰਟੈਕਸ
लागत,ਲਾਗਤ
बीजपत्र,cotyledon
ऋण समिति,ਕ੍ਰੈਡਿਟ ਕਮੇਟੀ
1.उधार 2. साख,1. ਉਧਾਰ 2. ਕ੍ਰੈਡਿਟ
1. ऋणदाता 2. लेनदार,1. ਰਿਣਦਾਤਾ 2. ਲੈਣਦਾਰ
1.शिखा 2. शीर्ष 3. शिखर,1. ਕਰੈਸਟ 2. ਸਿਰਾ 3. ਸਪਾਇਰ
व्याकुंचन,ਵਾਪਸੀ
संकट,ਸਮੱਸਿਆ
कसौटी,ਟੈਸਟ
क्रांतिक,ਨਾਜ਼ੁਕ
फसल बीमा,ਫਸਲ ਬੀਮਾ
फसल ऋण,ਫਸਲ ਕਰਜ਼ਾ
1. सस्य 2. फसल,1. ਫਸਲ 2. ਫਸਲ
सस्यन क्षेत्र,ਕਾਸ਼ਤ ਖੇਤਰ
पार-असंगत,ਪਾਰ ਅਸੰਗਤ
1. मुकुट 2. शिखर (पादप),1. ਤਾਜ 2. ਸਿਖਰ (ਪੌਦਾ)
मृदुकण,ਨਰਮ ਕਣ
पपड़ी,ਛਾਲੇ
1. क्रिप्टोगैम 2. अपुष्पीपादप,1. ਕ੍ਰਿਪਟੋਗਾਮ 2. ਗੈਰ-ਫਲੋਰੀਫਾਰਮ
छांटन (फल),ਛਾਂਟੀ (ਫਲ)
कल्म,ਕਲਮ
कृष्य किस्म,ਕਿਸਮ ਦੀ ਕਿਸਮ
1.कर्षण 2. कृषि 3. खेती,1. ਟ੍ਰੈਕਸ਼ਨ 2. ਖੇਤੀਬਾੜੀ 3. ਖੇਤੀ
1.किसान 2. कल्टीवेटर (यंत्र),1. ਕਿਸਾਨ 2. ਕਾਸ਼ਤਕਾਰ
1.संवर्ध 2. संवर्धन 3. पालन,1. ਕਾਸ਼ਤ 2. ਕਾਸ਼ਤ 3. ਪਾਲਣ
1.संसाधन 2.तैयार करना,1.ਸਰੋਤ 2.ਤਿਆਰੀ
1.कुंतलन 2. कुंचन,1.ਕੁੰਤਲਨ 2.ਕੁੰਚਨ
मुद्रा,ਆਸਣ
1. उपत्वचा 2. क्यूटिकल,1. ਐਪੀਡਰਰਮਿਸ 2. ਛੱਲੀ
1.कलम 2. कटाई 3. काटना 4.कटाग्र 5. कटावा,1. ਕਲਮ 2. ਕੱਟਣਾ 3. ਕੱਟਣਾ 4. ਕੱਟਣਾ 5. ਕੱਟਣਾ
1.कृमि कोष 2. सिस्ट 3. पुटी 4.विकृत गुल्म 5. रसौली,1. ਕੀੜਾ ਸਰੀਰ 2. ਸਿਸਟ 3. ਗੰਢ 4. ਵਿਗੜਿਆ ਗੰਢ 5. ਨਿਓਪਲਾਜ਼ਮ
साइटोक्रोम,cytochrome
कोशिका युग्मन,ਸੈੱਲ ਜੋੜਨਾ
कोशिका जनन,ਸੈੱਲ ਪ੍ਰਜਨਨ
कोशिका आनुवंशिकी,ਸੈੱਲ ਜੈਨੇਟਿਕਸ
कोशिका द्रव्य विभाजन,cytoplasmic ਡਿਵੀਜ਼ਨ
कोशिका विज्ञान,ਸੈੱਲ ਜੀਵ ਵਿਗਿਆਨ
कोशिका लयन,ਸੈੱਲ lysis
1. साइटोमियर 2. कोशिका खंड,1. ਸਾਇਟੋਮੇਰ 2. ਸੈੱਲ ਸੈਗਮੈਂਟੇਸ਼ਨ
कोशिका द्रव्य,cytoplasm
1.डेरी 2. दुग्धशाला,1. ਡੇਅਰੀ 2. ਡੇਅਰੀ
डेरी उदयोग,ਡੇਅਰੀ ਉਦਯੋਗ
1. बांध 2. प्रजननी,1. ਡੈਮ 2. ਬਰੀਡਰ
दिवस निरपेक्ष पादप,ਦਿਨ ਦਾ ਸੰਪੂਰਨ ਪੌਦਾ
पुष्पन के बाद दिन,ਫੁੱਲ ਦੇ ਬਾਅਦ ਦਿਨ
पूर्ण पुष्पन के बाद दिन,ਪੂਰੇ ਫੁੱਲ ਦੇ ਬਾਅਦ ਦਿਨ
निष्पुष्पन,ਅਕੁਸ਼ਲਤਾ
विकैल्सीकरण,decalcification
1. निथारना 2. निस्तारना,1. ਡਿਸਲੋਜ 2. ਡਿਸਲੋਜ
क्षय,ਸੜਨ
पर्णपाती,ਪਤਝੜ
1. दशमिक 2. दशमलव,1. ਦਸ਼ਮਲਵ 2. ਦਸ਼ਮਲਵ
न्यूनता,ਘਟੀਆਪਨ
अनूर्णन (मृदा),ਅਨੁਰਾਨ (ਮਿੱਟੀ)
विपुष्पन,ਵਿਪੁਸ਼ਪਨ
विपत्रण,ਬਿਲਿੰਗ
वनोन्मूलन,ਕਟਾਈ
अपहासन,ਬਦਨਾਮੀ
निम्नीकरण,ਪਤਨ
अंश दिवस,ਭਾਗ ਦਿਨ
1.मात्रा 2. अंश,1. ਮਾਤਰਾ 2. ਹਿੱਸਾ
स्फुटन,dehiscence
भूसी हटाना,ਭੂਸੀ ਨੂੰ ਹਟਾਉਣਾ
भूसी हटाना,ਭੂਸੀ ਨੂੰ ਹਟਾਉਣਾ
निर्जलीकरण,ਡੀਹਾਈਡਰੇਸ਼ਨ
निर्जलकारित्र,ਨਿਹਾਈਡ੍ਰਸ
मांग,ਮੰਗ
1. विकृतीकरण 2. गुणनाशन,1. ਵਿਨਾਸ਼ਕਾਰੀ 2. ਗੁਣਾ
अनाच्छादन,ਖੰਡਨ
1. निक्षेप (मृदा) 2. जमा (अर्थशास्त्र),1. ਜਮ੍ਹਾ (ਮਿੱਟੀ) 2. ਜਮ੍ਹਾ (ਆਰਥਿਕਤਾ)
निक्षेपण,ਜਮ੍ਹਾ
1. मूल्यहास 2.अवमूल्यन,1. ਘਟਾਓ 2. ਘਟਾਓ
विलवणीकरण,ਡੀਸਲੀਨੇਸ਼ਨ
1. जल शुष्कन 2. निर्जलीकरण,1. ਪਾਣੀ ਸੁਕਾਉਣਾ 2. ਡੀਹਾਈਡਰੇਸ਼ਨ
1.अभिकल्पना 2. डिजाइन,1. ਡਿਜ਼ਾਈਨ 2. ਡਿਜ਼ਾਈਨ
शुष्कित्र,ਸੁੱਕਣ ਵਾਲਾ
गुठली निकालना,ਕਰਨਲ ਹਟਾਉਣ
वि-अंतः भूस्तारीकरण,ਡੀ-ਇੰਟਰਕਲੇਸ਼ਨ
वियुग्मन,ਸੰਜੋਗ
1. नर मंजरी निकालना (मक्का) 2. बल्लर निकालना,1. ਨਰ ਮੰਜਰੀ ਐਕਸਟਰੈਕਸ਼ਨ (ਮੱਕੀ) 2. ਬੱਲਰ ਐਕਸਟਰੈਕਸ਼ਨ
बल्लर या कुंदन को काटना,ਬੱਲਰ ਜਾਂ ਕੁੰਦਨ ਕੱਟਣਾ
निर्धारक,ਨਿਰਧਾਰਕ
अवमूल्यन,devaluation
वनस्पतिरहित करना,de-vegetate
विचलन,ਭਟਕਣਾ
द्विक,ਡਬਲ
निदान,ਨਿਦਾਨ
भिन्नकाल पक्वता,ਵੱਖਰੀ ਪਰਿਪੱਕਤਾ
द्विभाजन,ਵੰਡ
1.दविबीजपत्री 2.डाइकोटिलेड़न (बीज),1. ਡਾਇਕੋਟਾਈਲਡਨ 2. ਡਾਇਕੋਟਾਈਲਡਨ (ਬੀਜ)
पश्चमारी (रोग),ਪਿੱਠ ਦੀ ਬਿਮਾਰੀ
1. विसरण 2. विसार,1. ਫੈਲਾਅ 2. ਪ੍ਰਸਾਰ
पाचनीयता,ਪਾਚਨ ਸਮਰੱਥਾ
द्विसंकर,ਡਾਇਹਾਈਬ੍ਰਿਡ
1. बांध 2. नाली 3. परिवाह,1. ਡੈਮ 2. ਡਰੇਨ 3. ਪਰਿਵਾਰ
तनु,ਮਾਮੂਲੀ
1. एकलिंगाश्रयी 2. पृथक् लिंगी,1. ਮੋਨੋਗੈਮਸ 2. ਮੋਨੋਗੈਮਸ
द्विगुणित,ਡਿਪਲੋਇਡ
1. द्विगुणित 2. डिप्लॉइड,1. ਡਿਪਲੋਇਡ 2. ਡਿਪਲੋਇਡ
द्विसूत्र,dipole
1. निष्कलिकायन 2. कलिका निकालना,1. ਕੱਢਣਾ 2. ਬਡ ਹਟਾਉਣਾ
1. तवेदार हल चलाना 2. चक्काकरण,1. ਹਲ ਵਾਹੁਣਾ 2. ਕਤਾਈ
छूट,ਛੂਟ
रोगाणुनाशन,ਕੀਟਾਣੂਨਾਸ਼ਕ
1. परिक्षेपण 2. प्रकीर्णन,1. ਫੈਲਾਅ 2. ਖਿੰਡਾਉਣਾ
1.प्रकीर्णन 2.प्रसरण,1. ਖਿੰਡਾਉਣਾ 2. ਪਰਿਵਰਤਨ
विविधीकरण,ਵਿਭਿੰਨਤਾ
विविधीकृत कृषि,ਵਿਭਿੰਨ ਖੇਤੀਬਾੜੀ
डी एन ए सोपान,ਡੀਐਨਏ ਕਦਮ
डी.एन.ए. ग्राही,ਡੀ.ਐਨ.ਏ ਪ੍ਰਾਪਤਕਰਤਾ
गोदी-भाड़ा,ਡੌਕ ਕਿਰਾਏ &#39;ਤੇ
प्रभावी,ਅਸਰਦਾਰ
प्रसुप्ति,ਸੁਸਤਤਾ
1. मात्रा 2. खुराक 3. डोज,1. ਮਾਤਰਾ 2. ਖੁਰਾਕ 3. ਖੁਰਾਕ
दोहरा सिग्माभ वक्र,ਡਬਲ ਸਿਗਮੋਇਡ ਕਰਵ
1. झोंका 2. खिंचाव,1. ਝੱਖੜ 2. ਖਿੱਚੋ
1. निकास नाली 2. अपवाहिका,1. ਐਗਜ਼ੌਸਟ ਡਰੇਨ 2. ਗੰਦਾ ਪਾਣੀ
जलनिकास,ਡਰੇਨੇਜ
कर्षण,ਖਿੱਚ
1.दवा पिलाना 2. दवाई से तर करना,1. ਦਵਾਈ ਦਿਓ 2. ਭਿੱਜੋ
प्रसाधन (बीज),ਕਾਸਮੈਟਿਕਸ (ਬੀਜ)
1.बरमा 2. उथली भूल 3. ड्रिल 4. वपित्र,1. auger 2. ਘੱਟ ਨੁਕਸ 3. ਡ੍ਰਿਲ 4. auger
1.सूराख करना 2. बेधन 3. बरमाना,1. ਮੋਰੀ 2. ਡ੍ਰਿਲ 3. ਡ੍ਰਿਲ
1.वेधना 2. ड्रिल से बोना 3. ड्रिल से डालना,1. ਡ੍ਰਿਲਿੰਗ 2. ਇੱਕ ਮਸ਼ਕ ਨਾਲ ਬਿਜਾਈ 3. ਇੱਕ ਮਸ਼ਕ ਨਾਲ ਡੋਲ੍ਹਣਾ
बूंद-बूंद सिंचाई,ਤੁਪਕਾ ਸਿੰਚਾਈ
शुष्क खेती,ਸੁੱਕੀ ਖੇਤੀ
1.धूल 2. बुकनी,1.ਧੂੜ 2.ਬੁਕਨੀ
1.धूलित्र 2. प्रकीर्णक,1. ਡਸਟਰ 2. ਸਕੈਟਰਰ
बुरकना,ਛਿੜਕਣ ਲਈ
1. बौना 2. वामन,1. ਬੌਣਾ 2. ਵਾਮਨ
वामन पिरामिड,ਵਾਮਨ ਪਿਰਾਮਿਡ
वामिनीभवन,ਵਾਮਿਨੀ ਭਵਨ
पारिस्थितिकी,ਵਾਤਾਵਰਣ
अर्थमिति,ਅਰਥ ਗਣਿਤ
आर्थिक दक्षता,ਆਰਥਿਕ ਕੁਸ਼ਲਤਾ
परिस्थितिक प्ररूप,ਸਥਿਤੀ ਦੀ ਕਿਸਮ
बहिःस्तरपोषित,ਵਾਧੂ ਪੱਧਰੀ
मृदीय,ਨਰਮ
मृदा विज्ञान,ਮਿੱਟੀ ਵਿਗਿਆਨ
1. मेड़बंदी 2. किनारा बनाना 3. किनारा बंदी,1. ਬ੍ਰਿਜਿੰਗ 2. ਕਿਨਾਰਾ 3. ਸਟ੍ਰੈਂਡ ਕਲੋਜ਼ਰ
खाद्य अंश,ਭੋਜਨ ਦਾ ਹਿੱਸਾ
मांग की लोच,ਮੰਗ ਦੀ ਲਚਕਤਾ
उत्पादन लोच,ਉਤਪਾਦਨ ਦੀ ਲਚਕਤਾ
विद्युत्-अपघटन,ਇਲੈਕਟ੍ਰੋਲਾਈਸਿਸ
वैद्युतकण-संचलन,ਇਲੈਕਟ੍ਰੋਫੋਰੇਸਿਸ
अवक्षालन,ਵਾਸ਼ਪੀਕਰਨ
1.विपुंसीकारित्र 2. बंधकारित्र 3.विपुंसीकार 4. बंध्यकार,1. ਡੀਕੈਪੀਟੇਟਰ 2. ਨਸਬੰਦੀ 3. ਡੀਕੈਪੀਟੇਟਰ 4. ਨਸਬੰਦੀ
1.मेड़ बंदी 2. डौलबंदी,1. ਵੀਰ ਬੰਦੀ 2. ਤੂੜੀ
भ्रूण,ਭਰੂਣ
1. भ्रूणविज्ञान 2. भौणिकी,1. ਭਰੂਣ ਵਿਗਿਆਨ 2. ਭੌਤਿਕ ਵਿਗਿਆਨ
1. निकलना 2. निर्गमन,1. ਨਿਕਾਸ 2. ਨਿਕਾਸ
पायसीकारक,emulsifier
अंतर्जात,ਅੰਤਰਜਾਤੀ
अंतः सूत्री विभाजन,ਅੰਤਰ-ਪੁਆਇੰਟ ਡਿਵੀਜ਼ਨ
अंतः परजीवी,ਅੰਤਰ-ਪਰਜੀਵੀ
भ्रूणपोष,ਐਂਡੋਸਪਰਮ
उद्यम,ਉੱਦਮ
कीटविज्ञान,ਕੀਟ ਵਿਗਿਆਨ
पर्यावरण,ਵਾਤਾਵਰਣ
1. प्रकिण्व 2. एन्जाइम,1. ਐਨਜ਼ਾਈਮ 2. ਐਨਜ਼ਾਈਮ
दलपुंज कलमबंदी,ਕਲੱਸਟਰ ਗ੍ਰਾਫਟਿੰਗ
1. अधिपादप 2. एपिफाइट,1. ਐਪੀਫਾਈਟ 2. ਐਪੀਫਾਈਟ
समानधारिता,ਇਕੁਇਟੀ
उन्मूलन,ਖਾਤਮਾ
आवश्यक पोषक तत्व,ਜ਼ਰੂਰੀ ਪੌਸ਼ਟਿਕ ਤੱਤ
1. परिमापन 2. कूतना 3. आकलन,1. ਮਾਪ 2. ਜੰਪ 3. ਮੁਲਾਂਕਣ
पांडुरता,ਚੁਸਤ
सुजननिक,ਸੁਜਾਨਿਕ
मूल्यांकन,ਮੁਲਾਂਕਣ
वाष्पनमापी,ਭਾਫ਼ ਗੇਜ
वाष्पन-वाष्पोत्सर्जन,evaportranspiration
सदाहरित क्रांति,ਸਦੀਵੀ ਇਨਕਲਾਬ
1. सदाहरित 2. सदापर्णी,1. ਸਦਾਬਹਾਰ 2. ਸਦਾਬਹਾਰ
विकास,ਵਿਕਾਸ
उच्छेद करना,ਬੰਦ ਕਰ ਦਿਓ
परिक्षय (उर्वरता),ਪਰੀਕਸ਼ਯ (ਜਣਨ ਸ਼ਕਤੀ)
शोषण,ਸ਼ੋਸ਼ਣ
1. खोज 2. अन्वेषण,1. ਖੋਜ 2. ਖੋਜ
1. बहिर्वेधन 2. उत्सारण,1. ਐਕਸਟਰਿਊਸ਼ਨ 2. ਨਿਕਾਸ
आंख,ਆਈ
1. कारक 2. घटक 3. उपादान 4. साधन,1. ਫੈਕਟਰ 2. ਕੰਪੋਨੈਂਟ 3. ਫੈਕਟਰ 4. ਸਰੋਤ
कारक उत्पादकता,ਕਾਰਕ ਉਤਪਾਦਕਤਾ
आढ़तिये का बट्टा,ਵਪਾਰੀ ਦੀ ਛੋਟ
क्रमगुणित ब्लॉक डिजाइन,ਫੈਕਟੋਰੀਅਲ ਬਲਾਕ ਡਿਜ਼ਾਈਨ
विकल्पी,ਵਿਕਲਪਕ
1. पड़ती 2. पलिहर,1. ਪੱਟੀ 2. ਪਾਲੀਹਾਰ
कुल,ਕੁੱਲ
प्रक्षेत्र मूल्यांकन,ਖੇਤਰ ਦਾ ਮੁਲਾਂਕਣ
प्रक्षेत्र का बजट बनाना,ਖੇਤੀ ਬਜਟ
कृषि व्यवसाय,ਖੇਤੀਬਾੜੀ ਕਾਰੋਬਾਰ
प्रक्षेत्र नियोजन,ਖੇਤਰ ਦੀ ਯੋਜਨਾਬੰਦੀ
1. किसान 2. कृषक,1. ਕਿਸਾਨ 2. ਕਿਸਾਨ
1. कृषि 2. खेती,1. ਖੇਤੀ 2. ਖੇਤੀ
संघट्टन,ਟੱਕਰ
बहुप्रजनन,ਮਲਟੀਪਲ ਪ੍ਰਜਨਨ
किण्वन,ਫਰਮੈਂਟੇਸ਼ਨ
उर्वरता,ਜਣਨ
उर्वरक,ਖਾਦ
उर्वरक उपयोग दक्षता,ਖਾਦ ਵਰਤਣ ਦੀ ਕੁਸ਼ਲਤਾ
रेशेदार,ਰੇਸ਼ੇਦਾਰ
1. खेत 2. क्षेत्र 3. स्थान,1. ਫਾਰਮ 2. ਖੇਤਰ 3. ਸਥਾਨ
मृदा जलधारिता,ਮਿੱਟੀ ਦੇ ਪਾਣੀ ਨੂੰ ਰੱਖਣ
प्रक्षेत्र प्रदर्शन,ਖੇਤਰ ਪ੍ਰਦਰਸ਼ਨ
1. स्थिरीकरण 2. यौगिकीकरण 3. निर्धारण,1. ਸਥਿਰਤਾ 2. ਫਿਕਸੇਸ਼ਨ 3. ਫਿਕਸੇਸ਼ਨ
1. आप्लावन 2. अधिसिंचन,1. ਡੁੱਬਣਾ 2. ਗਰਭਪਾਤ
प्रवाह आरेख,ਵਹਾਅ ਚਿੱਤਰ
खाद्य मान,ਭੋਜਨ ਮੁੱਲ
चारा,ਚਾਰਾ
पूर्वानुमान,ਪੂਰਵ ਅਨੁਮਾਨ
वन,ਜੰਗਲ
वनरोपण,ਜੰਗਲਾਤ
1. ताड़पर्ण 2. प्रपर्ण,1. ਤਾਦਪਰਨ 2. ਰੂਪ
तुषार रोधी,ਠੰਡ ਰੋਧਕ
1.पाला 2. तुषार,1. ਪਾਲਾ 2. ਝੁਲਸ
1. हिमशीतित 2. हिमीकृत,1. ਜੰਮਿਆ ਹੋਇਆ 2. ਜੰਮਿਆ ਹੋਇਆ
फलन,ਫੰਕਸ਼ਨ
1. फल पातन 2. फल का झड़ना,1. ਫਰੂਟ ਫਾਲ 2. ਫਰੂਟ ਫਾਲ
फल बनना,ਫਲ ਬਣ
1. धूमन 2. धूम देना,1. ਧੁਨੀ 2. ਧੁੰਦ
कवकनाशी,ਉੱਲੀਨਾਸ਼ਕ
कवकरोधी,ਐਂਟੀਫੰਗਲ
कवक,ਉੱਲੀ
1. खूड़ 2. सीता,1. ਖੁਦਾ 2. ਸੀਤਾ
1. संलयन 2. संगलन,1. ਫਿਊਜ਼ਨ 2. ਫਿਊਜ਼ਨ
रूआं,ਕਪਾਹ ਉੱਨ
रोएंदार,ਵਾਲਾਂ ਵਾਲਾ
1. वृक्ष व्रण 2. पिटिका,1. ਰੁੱਖ ਦਾ ਫੋੜਾ 2. ਪਿਟਿਕਾ
1. युग्मक 2. गैमीट,1. ਗੇਮੇਟਸ 2. ਗੇਮੇਟਸ
1. उद्यान 2. बाग,1. ਬਾਗ 2. ਬਾਗ
1. पनसाल 2. जलमापी,1. ਪੰਸਲ 2. ਹਾਈਡਰੋਮੀਟਰ
जीन संग्रह,ਜੀਨ ਸੰਗ੍ਰਹਿ
जीन टैगन,ਜੀਨ ਟੈਗਨ
वंशावली विज्ञान,ਵੰਸ਼ਾਵਲੀ
जीन मानचित्र,ਜੀਨ ਨਕਸ਼ਾ
आनुवंशिकी,ਜੈਨੇਟਿਕਸ
1. जीनोम 2. संजीन,1. ਜੀਨੋਮ 2. ਸੰਗੀਨ
संजीनी संग्रह,ਸੰਜੀਨੀ ਸੰਗ੍ਰਹਿ
जीनोमिक्स,ਜੀਨੋਮਿਕਸ
जीनप्ररूपी,ਜੀਨੋਟਾਈਪ
1. जीनी संरचना 2. जीन प्ररूप,1. ਜੀਨ ਬਣਤਰ 2. ਜੀਨ ਦੀ ਕਿਸਮ
वंश,ਲਿੰਗ
1. जीनस 2. वंश,1. ਜੀਨਸ 2. ਵੰਸ਼
1. रोगाणु 2. जर्म,1. ਜਰਮ 2. ਕੀਟਾਣੂ
रोगाणुनाशी,ਕੀਟਾਣੂਨਾਸ਼ਕ
अंकुरण,ਉਗਣਾ
1. जननद्रव्य 2. जर्मप्लाज्म,1. ਜਰਮਪਲਾਜ਼ਮ 2. ਜਰਮਪਲਾਜ਼ਮ
जिबरेलिक अम्ल,gibberellic ਐਸਿਡ
ओटना,ਇਕੱਠਾ ਕਰਨਾ
तुष,ਤੁਸ਼
1. लसदार 2. ग्लूटिनी,1. ਗਲੁਟਨ 2. ਪੇਟੂ
ग्लाइकोलिसिस,glycolysis
नाइस,ਵਧੀਆ
स्वर्णिम क्रांति,ਸੁਨਹਿਰੀ ਇਨਕਲਾਬ
1. श्रेणीकरण 2. वर्गीकरण 3. स्तरीकरण,1. ਵਰਗੀਕਰਨ 2. ਵਰਗੀਕਰਨ 3. ਪੱਧਰੀਕਰਨ
1. कलमबंद पादप 2. कलमी पौधा,1. ਗ੍ਰਾਫਟਡ ਪੌਦਾ 2. ਪੇਨਮਬਰਲ ਪਲਾਂਟ
कलम असंगत,ਕਲਮ ਅਸੰਗਤ
ग्रैना,ਗ੍ਰਾਨਾ
कणिकायन,ਦਾਣੇ
हरी खाद,ਹਰੀ ਖਾਦ
हरित क्रांति,ਹਰੀ ਕ੍ਰਾਂਤੀ
वृद्धि और परिवर्धन,ਵਿਕਾਸ ਅਤੇ ਵਿਕਾਸ
1. गोंद रोग 2. गोंदार्ति,1. ਮਸੂੜਿਆਂ ਦੀ ਬਿਮਾਰੀ
भिन्नस्थ - उभयस्त्रीलिंगी,ਵਿਪਰੀਤ ਲਿੰਗੀ
1. प्रकृति 2. स्वभाव 3. रूपगुण 4. स्वरूप,1. ਪ੍ਰਕ੍ਰਿਤੀ 2. ਕੁਦਰਤ 3. ਰੂਪਗੁਣਾ 4. ਦਿੱਖ
1. ओला 2. करकापात 3. करका,1. ਓਲਾ 2. ਕਰਕਪਟ 3. ਕਰਕਾ
रोमिलवैच,ਰੋਮਿਲਵਾਚ
लवणमृदोद्भिद्,ਖਾਰੇ ਗੱਠ
हैरो,ਹੈਰੋ
1. तुड़ाई सूचकांक 2. कटाई सूचकांक,1. ਵਾਢੀ ਸੂਚਕਾਂਕ 2. ਵਾਢੀ ਸੂਚਕਾਂਕ
1.कटाई 2. कटी फसल 3. तैयार फसल 4. उपज,1. ਵਾਢੀ 2. ਵਾਢੀ ਹੋਈ ਫ਼ਸਲ 3. ਮੁਕੰਮਲ ਫ਼ਸਲ 4. ਝਾੜ
1. तोड़ना 2. कटाई 3. तुड़ाई,1. ਵੱਢਣਾ 2. ਵਾਢੀ 3. ਵੱਢਣਾ
1. अंडे से निकलना 2. अंडा सेना,1. ਅੰਡਾ ਦੇਣਾ 2. ਅੰਡੇ ਦੀ ਤਾਕਤ
सूखी घास,ਸੁੱਕਾ ਘਾਹ
सूखा चारा,ਸੁੱਕੀ ਫੀਡ
गंजी,ਗੰਜੀ
धुंध,ਧੁੰਦ
धुंधता,ਧੁੰਦਲਾ
1. बाली 2. सिट्टा 3.मुंडक 4. शीर्ष 5. सिर 6. सिरा,1. ਬਲੀ 2. ਸੀਤਾ 3. ਮੁੰਡਕ 4. ਸਿਖਰ 5. ਸਿਰ 6. ਸਿਰਾ
सिरा (नाली का),ਝਰੀ ਦਾ ਅੰਤ
शीर्ष छंटाई,ਚੋਟੀ ਦੀ ਛਾਂਟੀ
बाड़,ਵਾੜ
अधिरक्षण,ਹਿਰਾਸਤ
कुंडलिनी,ਕੁੰਡਲਨੀ
हेमैटाइट,hematite
1. शाक 2. बूटी,1. ਜੜੀ ਬੂਟੀ 2. ਜੜੀ ਬੂਟੀ
1.वनस्पति संग्रह 2. वनस्पति संग्रहालय,1.ਬੋਟੈਨੀਕਲ ਕਲੈਕਸ਼ਨ 2.ਬੋਟੈਨੀਕਲ ਮਿਊਜ਼ੀਅਮ
शाकनाशी,ਜੜੀ-ਬੂਟੀਆਂ ਨਾਸ਼ਕ
आनुवंशिकता,ਖ਼ਾਨਦਾਨੀ
वंशागतित्व,ਖ਼ਾਨਦਾਨੀ
उभयलिंगी,ਲਿੰਗੀ
विषमवर्णी,heterochromatic
विषम-निषेचन,heterofertilization
1. संकरओज 2. हेटेरोसिस,1. ਹਾਈਬ੍ਰਿਡੋਜ਼ 2. ਹੇਟਰੋਸਿਸ
लिंगक्रोमोसोम,ਸੈਕਸਕ੍ਰੋਮੋਸੋਮ
परपोषित,ਪਾਲਣ ਪੋਸ਼ਣ
षड्गुणित,ਹੈਕਸਾਡੈਸੀਮਲ
शीत निष्क्रियता,ਠੰਡੀ ਸੁਸਤਤਾ
उच्च सघनता रोपण,ਉੱਚ ਘਣਤਾ ਲਾਉਣਾ
1. पिंडलक 2. हिल (धान),1. ਪਿਂਡਲਕ 2. ਪਹਾੜੀ (ਝੋਨਾ)
आयतचित्र,ਹਿਸਟੋਗ੍ਰਾਮ
उच्च तकनीकी औद्यानिकी,ਉੱਚ ਤਕਨੀਕੀ ਬਾਗਬਾਨੀ
1.करंड 2. छत्ता,1. ਦਹੀਂ 2. ਛਪਾਕੀ
1.गुड़ाई 2. गोड़ना,1. ਨਦੀਨ 2. ਨਦੀਨ
जोत,ਹੋਲਡ
निजी फार्म,ਪ੍ਰਾਈਵੇਟ ਫਾਰਮ
समस्थिति,ਹੋਮਿਓਸਟੈਸਿਸ
वासभूमि,ਵਤਨ
समांगता,ਸਮਰੂਪਤਾ
1.सजातीय 2. समांगी,1. ਸਮਰੂਪ 2. ਸਮਰੂਪ
समधर्मी,ਹਮਦਰਦ
समयुग्मज,ਸਮਰੂਪ
1.खुरलिका 2. खाद्यधानी 3. हापर,1. ਖੁਰਲਿਕਾ 2. ਭੋਜਨ ਦਾ ਡੱਬਾ 3. ਹੈਪਰ
1.संस्तर 2. क्षितिज,1. ਪਰਤ 2. ਹੋਰਾਈਜ਼ਨ
औद्यानिक फसलें,ਬਾਗਬਾਨੀ ਫਸਲ
1. उद्यान विज्ञान 2. बागवानी 3. उद्यान कृषि 4.औदयानिकी,1. ਬਾਗਬਾਨੀ 2. ਬਾਗਬਾਨੀ 3. ਬਾਗਬਾਨੀ 4. ਬਾਗਬਾਨੀ
