Kannada,Bengali
"ನೇರ ಜೋಡಣೆ
 ಫ್ಲಿಪ್ ಫ್ಲಾಪ್","সরাসরি মিলিত
 ফ্লিপ-ফ্লপ"
ನೇರ ಜೋಡಣೆ,সরাসরি কাপলিং
"ನೇರ ದತ್ತ
 ಸಂಸ್ಥೆ","সরাসরি ডেটা
 সংগঠন"
ನೇರ ಡೇಟಾ ಸೆಟ್,সরাসরি ডেটা সেট
ನೇರ ಸಾಧನ,সরাসরি ডিভাইস
"ನೇರ ಡಿಜಿಟಲ್
 ನಿಯಂತ್ರಣ","সরাসরি ডিজিটাল
 নিয়ন্ত্রণ"
"ನೇರ
 ಡಯಲ್ ಮಾಡುವುದು","সরাসরি দূরত্ব
 ডায়ালিং"
"ನಿರ್ದೇಶಿತ ಕಿರಣ
 ಸ್ಕ್ಯಾನ್","নির্দেশিত মরীচি
 স্ক্যান"
ನಿರ್ದೇಶಿತ ಗ್ರಾಫ್,নির্দেশিত গ্রাফ
ನಿರ್ದೇಶಿತ ಸ್ಕ್ಯಾನ್,নির্দেশিত স্ক্যান
"ನೇರ ಪ್ರವೇಶ
 ಅಂತಿಮ","ডাইরেক্ট-এন্ট্রি
 টার্মিনাল"
"ನೇರ ಕ್ರಮಾನುಗತ
 ನಿಯಂತ್ರಣ","সরাসরি শ্রেণিবিন্যাস
 নিয়ন্ত্রণ"
"ನೇರ ಸೇರಿಸಿ
 ವಾಡಿಕೆಯ","সরাসরি সন্নিবেশ
 রুটিন"
"ನೇರ ಸೇರಿಸಿ
 ಪ್ರವಾಹದ","সরাসরি সন্নিবেশ
 Subroutine"
ನೇರ ಸೂಚನೆ,সরাসরি নির্দেশ
ದಿಕ್ಕಿನ,দিকনির্দেশক কাপলার
ನಿರ್ದೇಶನ,নির্দেশ
"ನೇರ ಕೀಯರ್
 ಸಾಧನ","ডাইরেক্ট কেইং
 যন্ত্র"
"ನೇರ ಸ್ಮರಣೆ
 ಪ್ರವೇಶ","সরাসরি স্মৃতি
 অ্যাক্সেস"
"ನೇರ ಸಂಖ್ಯಾತ್ಮಕ
 ನಿಯಂತ್ರಣ","সরাসরি সংখ্যা
 নিয়ন্ত্রণ"
ನಿರ್ದೇಶಕ,ডিরেক্টরি
"ನಿರ್ದೇಶಕ
 ಸಹಾಯ ಬ್ಯೂರೋ","ডিরেক্টরি
 সহায়তা ব্যুরো"
"ನಿರ್ದೇಶಕ
 ಸಹಾಯ
 ನಿರ್ವಾಹಕ","ডিরেক্টরি
 সহায়তা
 অপারেটর"
ಡೈರೆಕ್ಟರಿ ಸಾಧನ,ডিরেক্টরি ডিভাইস
"ನೇರ ಹೊರಕ್ಕೆ
 ಡಯಲ್ ಮಾಡುವುದು","সরাসরি বাহ্যিক
 ডায়ালিং"
ನೇರ ಶೇಕಡಾವಾರು,প্রত্যক্ষ শতাংশ
"ನೇರ ಬಿಂದು
 ಪುನರಾವರ್ತಕ","সরাসরি পয়েন্ট
 রিপিটার"
"ನೇರ ಪ್ರಸಾರ
 ಉಪಗ್ರಹ","সরাসরি সংক্রমণ
 স্যাটেলাইট"
ನೇರ ಧ್ವನಿ ಇನ್ಪುಟ್,সরাসরি ভয়েস ইনপুট
ಅಂಗವಿಕಲ ಮಾಡ್ಯೂಲ್,অক্ষম মডিউল
ಸಿಗ್ನಲ್ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗುತ್ತಿದೆ,অক্ষম সংকেত
ಪ್ರತ್ಯೇಕಿಸಿಕೆ,একীকরণ
ದೂರವಿರು,ডিসসেম্বলার
ವಿಪತ್ತು,বিপর্যয় ডাম্প
ಪ್ರತ್ಯೇಕ ದತ್ತ,পৃথক ডেটা
ಪ್ರತ್ಯೇಕ ಸಾಧನ,পৃথক ডিভাইস
"ಪ್ರತ್ಯೇಕ
 ರೂಪಾಂತರಿಸು","বিচ্ছিন্ন ফুরিয়ার
 রূপান্তর"
"ಪ್ರತ್ಯೇಕವಾದ
 ಪ್ರೋಗ್ರಾಮಿಂಗ್","বিচ্ছিন্ন
 প্রোগ্রামিং"
"ಪ್ರತ್ಯೇಕವಾದ
 ನಿರೂಪಣೆ","বিচ্ছিন্ন
 প্রতিনিধিত্ব"
"ವಿವೇಚನೆ
 ಜಿಗಿತ","বিচক্ষণ
 হাইফেন"
ವಿವೇಚನೆ,বিচক্ষণতা
"ವಿವೇಚನೆ
 ದೋಷ","বিচক্ষণতা
 ত্রুটি"
"ತಾರತಮ್ಯದ
 ವಿಶ್ಲೇಷಣೆ","বৈষম্যমূলক
 বিশ্লেষণ"
"ತಾರತಮ್ಯ
 ಸೂಚನಾ","বৈষম্য
 নির্দেশ"
ತಾರತಮ್ಯ,বৈষম্যমূলক
ಬೇರ್ಪಡಿಸುವಿಕೆ,বিচ্ছিন্নতা
ಡಿಸ್ಕ್ ಪ್ರವೇಶಿಸುವಿಕೆ,ডিস্ক অ্যাক্সেস
ಡಿಸ್ಕ್ ಮೂಲದ,ডিস্ক ভিত্তিক
"ಡಿಸ್ಕ್ ನಿಯಂತ್ರಕ
 ಚೀಟಿ","ডিস্ক কন্ট্রোলার
 কার্ড"
ವೇಶ್ಯೆ,ডিস্কেট
"ಡಿಸ್ಕಟ್ ರೂಪಿಸಿದ
 ಟೇಪೆ","ডিস্কেট-ফর্ম্যাটেড
 টেপ"
ಡಿಸ್ಕೆಟ್ ಹಾರ್ಡ್ ರಂಧ್ರ,ডিস্কেট হার্ড গর্ত
ಡಿಸ್ಕೆಟ್ ಸಂಗ್ರಹ,ডিসকেট স্টোরেজ
"ಡಿಸ್ಕೆಟ್ ಸಂಗ್ರಹ
 ಸಾಧನ","ডিসকেট স্টোরেজ
 যন্ত্র"
ಡಿಸ್ಕ್ ಫೈಲ್,ডিস্ক ফাইল
"ದತ್ತ
 ಸಂವಹನ
 ಅಂತರಸಂಪರ","ডেটা
 যোগাযোগ
 ইন্টারফেস"
"ಡಿಸ್ಕ್ ಕಾರ್ಯಾಚರಣೆ
 ವ್ಯವಸ್ಥೆ","ডিস্ক অপারেটিং
 পদ্ধতি"
ಡಿಸ್ಕ್ ಪ್ಯಾಕ್,ডিস্ক প্যাক
ಡಿಸ್ಕ್ ವಲಯ,ডিস্ক সেক্টর
ಡಿಸ್ಕ್ ವಿಂಗಡಣೆ,ডিস্ক বাছাই
ಡಿಸ್ಕ್ ಸಂಗ್ರಹ,ডিস্ক স্টোরেজ
ಡಿಸ್ಕ್ ಶೇಖರಣಾ ಸಾಧನ,ডিস্ক স্টোরেজ ডিভাইস
"ಡಿಸ್ಕ್ ಸಂಗ್ರಹ
 ಘಟಕ","ডিস্ক স্টোরেজ
 মডিউল"
"ಡಿಸ್ಕ್-ಟು ಮುದ್ರಕ
 ಉಪಯುಕ್ತತೆ","ডিস্ক-টু-প্রিন্টার
 ইউটিলিটি"
ಡಿಸ್ಕ್ ಘಟಕ,ডিস্ক ইউনিট
ಡಿಸ್ಕ್ ಪರಿಮಾಣ,ডিস্ক ভলিউম
ರವಾನೆ,প্রেরণ
ರವಾನೆದಾರ,প্রেরণকারী
ರವಾನಿಸುವ ಪ್ರದೇಶ,প্রেরণ অঞ্চল
"ರವಾನನೆ
 ಆದ್ಯತೆ","প্রেরণ
 অগ্রাধিকার"
"ಚದುರಿಸಿದ
 ಬುದ್ಧಿಶಕ್ತಿ","ছত্রভঙ্গ
 বুদ্ধি"
ಪ್ರಸರಣ,বিচ্ছুরণ
"ಪ್ರದರ್ಶನ ಮತ್ತು
 ಮುದ್ರಣ
 ಕ್ಯಾಲ್ಕುಲೇಟರ್","প্রদর্শন এবং
 মুদ্রণ
 ক্যালকুলেটর"
ಗುಣಲಕ್ಷಣವನ್ನು ಪ್ರದರ್ಶಿಸಿ,প্রদর্শন বৈশিষ্ট্য
"ಪ್ರದರ್ಶನ
 ಹಿನ್ನೆಲೆ","প্রদর্শন
 পটভূমি"
ಪ್ರದರ್ಶನ ಕ್ಯಾಲ್ಕುಲೇಟರ್,ক্যালকুলেটর প্রদর্শন করুন
ಪ್ರದರ್ಶನ ಕೇಂದ್ರ,প্রদর্শন কেন্দ্র
"ಪ್ರದರ್ಶನ ಅಕ್ಷರ
 ಉತ್ಪಾದಕ","প্রদর্শন চরিত্র
 জেনারেটর"
ಪ್ರದರ್ಶನ ಕಾಲಮ್,প্রদর্শন কলাম
ಪ್ರದರ್ಶನ ಆಜ್ಞೆ,প্রদর্শন কমান্ড
ಪ್ರದರ್ಶನ ಘಟಕ,প্রদর্শন উপাদান
ಪ್ರದರ್ಶನ ಕನ್ಸೋಲ್,কনসোল প্রদর্শন
ಪ್ರದರ್ಶನ ಚಕ್ರ,প্রদর্শন চক্র
ಪ್ರದರ್ಶನ ಚಕ್ರ ಸಮಯ,চক্র সময় প্রদর্শন
ಪ್ರದರ್ಶನ ಸಾಧನ,প্রদর্শনকারী যন্ত্র
ಡ್ರಮ್ ಪ್ರದರ್ಶಿಸಿ,ড্রাম প্রদর্শন
ಅಂಶ,প্রদর্শন উপাদান
ಪ್ರದರ್ಶನ ಕ್ಷೇತ್ರ,প্রদর্শন ক্ষেত্র
ಮುಂಭಾಗವನ್ನು ಪ್ರದರ್ಶಿಸಿ,অগ্রভাগ প্রদর্শন
ಪ್ರದರ್ಶನ ಚೌಕಟ್ಟು,প্রদর্শন ফ্রেম
ಪ್ರದರ್ಶನ ಗುಂಪು,প্রদর্শন গ্রুপ
ಚಿತ್ರಣವನ್ನು ಪ್ರದರ್ಶಿಸಿ,চিত্র প্রদর্শন করুন
ಪ್ರದರ್ಶನ ರೇಖೆ,প্রদর্শন লাইন
ಪ್ರದರ್ಶನ ಆದೇಶ,প্রদর্শন আদেশ
ಪ್ರದರ್ಶನ ಫಲಕ,প্রদর্শন প্যানেল
ಪ್ರದರ್ಶನ ಸ್ಥಾನ,প্রদর্শন অবস্থান
"ಪ್ರದರ್ಶನ ಸಂಸ್ಕರಣೆ
 ಘಟಕ","প্রদর্শন প্রক্রিয়াজাতকরণ
 ইউনিট"
"ಪ್ರದರ್ಶನ ಮರುಪಡೆಯುವಿಕೆ
 ನಿಯಂತ್ರಣ","প্রদর্শন পুনরুদ্ধার
 নিয়ন্ত্রণ"
ಪ್ರದರ್ಶನ ವಿಭಾಗ,বিভাগ প্রদর্শন
ಸ್ಥಳವನ್ನು ಪ್ರದರ್ಶಿಸಿ,স্থান প্রদর্শন
ಪ್ರದರ್ಶನ ಮೇಲ್ಮೈ,পৃষ্ঠতল প্রদর্শন
ಟರ್ಮಿನಲ್ ಪ್ರದರ್ಶನ,টার্মিনাল প্রদর্শন করুন
ಟ್ಯೂಬ್ ಪ್ರದರ್ಶಿಸಿ,টিউব প্রদর্শন করুন
ಪ್ರದರ್ಶನ ಘಟಕ,প্রদর্শনী একক
ವಿಕಿರಣ ಸ್ವರ,অসন্তুষ্ট স্বর
ದೂರದ ಕ್ಷೇತ್ರ,পাতন ক্ষেত্র
ದೂರ,পাতন ফাইল
ವಿಶಿಷ್ಟವಾದ ರಿಂಗಿಂಗ್,স্বতন্ত্র বাজানো
ಅಸ್ಪಷ್ಟತೆ,বিকৃতি
"ವಿತರಣೆ
 ಗಣನೆ","বিতরণ
 কম্পিউটিং"
"ವಿತರಿಸಿದ ಡೇಟಾ
 ಸಂಸ್ಕರಣೆ","বিতরণ ডেটা
 প্রক্রিয়াজাতকরণ"
ವಿತರಿಸಿದ ಡೇಟಾ-ಸಂಸ್ಕರಣಾ ನೆಟ್‌ವರ್ಕ್,বিতরণ করা ডেটা-প্রসেসিং নেটওয়ার্ক
"ವಿತರಣೆ
 ಕಾರ್ಯ","বিতরণ
 ফাংশন"
"ವಿತರಣೆ
 ಬುದ್ಧಿಶಕ್ತಿ","বিতরণ
 বুদ্ধি"
ವಿತರಣಾ ತರ್ಕ,বিতরণ যুক্তি
"ವಿತರಣೆ
 ಜಾಲ","বিতরণ
 অন্তর্জাল"
"ವಿತರಣೆ
 ಸಂಸ್ಕರಣೆ","বিতরণ
 প্রক্রিয়াজাতকরণ"
"ವಿತರಣೆ
 ಸಂಸ್ಕರಣೆ
 ಜಾಲ","বিতরণ
 প্রক্রিয়াজাতকরণ
 অন্তর্জাল"
"ವಿತರಣೆ
 ಸಂಸ್ಕರಕ","বিতরণ
 প্রসেসর"
ವಿತರಣಾ ಚೌಕಟ್ಟು,বিতরণ ফ্রেম
ವಿತರಣಾ ಕೇಬಲ್,বিতরণ কেবল
ವಿತರಣಾ ಚೌಕಟ್ಟು,বিতরণ ফ্রেম
ವೈವಿಧ್ಯ,বৈচিত্র্য
ವೈವಿಧ್ಯತೆಯ ಸಂಯೋಜಕ,বৈচিত্র্য কম্বাইনার
ವಿಭಜನೆ,ভাগ করুন চেক
ವಿಭಜಿತ ಸ್ಲಿಟ್ ಸ್ಕ್ಯಾನ್,বিভক্ত স্লিট স্ক্যান
ವಿಭಜನೆ ಹೆಡರ್,বিভাগ শিরোনাম
"ವಿಭಾಗ-ಪುನರತೆ
 ವಿಧಾನ","বিভাগ-রিমাইন্ডার
 পদ্ধতি"
ವಿಭಜಕ,বিভাজক
ದಾಖಲೆಗಳು,নথি
"ದಾಖಲೆಗಳು
 ಸಭೆ","নথি
 সমাবেশ"
ದಸ್ತಾವತಿ,ডকুমেন্টেশন
"ದಸ್ತಾವತಿ
 ಪುಸ್ತಕ","ডকুমেন্টেশন
 বই"
"ದಸ್ತಾವತಿ
ಕಾರ್ಯಕ್ರಮ","ডকুমেন্টেশন
কার্যক্রম"
"ದಸ್ತಾವತಿ
 ಮಾದರಿ","ডকুমেন্টেশন
 প্রকার"
"ದಾಖಲೆಗಳು
 ನಿರ್ವಹಣೆ","নথি
 হ্যান্ডলিং"
"ಡಾಕ್ಯುಮೆಂಟ್ ಪ್ರಮುಖ
 ಅಂಚು","নথি নেতৃত্ব
 প্রান্ত"
ಡಾಕ್ಯುಮೆಂಟ್ ಗುರುತು,ডকুমেন্ট মার্ক
"ದಾಖಲೆಗಳು
 ತಯಾರಿ","নথি
 প্রস্তুতি"
ಡಾಕ್ಯುಮೆಂಟ್ ಓದುಗ,ডকুমেন্ট রিডার
"ದಾಖಲೆಗಳು
 ಉಲ್ಲೇಖದ ಅಂಚು","নথি
 রেফারেন্স প্রান্ত"
ಡಾಕ್ಯುಮೆಂಟ್ ಮರುಪಡೆಯುವಿಕೆ,নথি পুনরুদ্ধার
Docಷಧ,ডকুটারম
"ದೇಶೀಯ ಉಪಗ್ರಹ
 ವಾಹಕ","গার্হস্থ্য স্যাটেলাইট
 ক্যারিয়ার"
"ಏನನ್ನೂ ಮಾಡಬೇಡ
 ಕಾರ್ಯಾಚರಣೆ
 (= ಕಾರ್ಯಾಚರಣೆ ಇಲ್ಲ
 ಸೂಚನಾ)","কিছু করনা
 অপারেশন
 (= নো-অপারেশন
 নির্দেশ)"
ದೋಪು,ডোপ্যান্ট
"ಡಾಟ್-ಅಕ್ಷರ
 ಮುದ್ರಕ","বিন্দু- চরিত্র
 প্রিন্টার"
ಮಣ್ಣು,ডট ম্যাট্রিক্স
"ಚರಂಡಿ ಮುದ್ರಕ
(= ಮ್ಯಾಟ್ರಿಕ್ಸ್
 ಮುದ್ರಕ)","ডট প্রিন্টার
(= ম্যাট্রিক্স
 প্রিন্টার)"
ಡಬಲ್,ডাবল বাফারিং
ಡಬಲ್ -ಕಾರ್ಡ್,ডাবল কার্ড
"ದಟ್ಟವಾದ
 ರೆಕಾರ್ಡಿಂಗ್","ডাবল-ঘন
 রেকর্ডিং"
"ಎರಡು-ಸಾಂದ್ರತೆ
 ರೆಕಾರ್ಡಿಂಗ್","ডাবল ঘনত্ব
 রেকর্ডিং"
"ಎರಡು ಪಟ್ಟುಬಳಕೆಯ
 ಸರದಿಬಾಳ್ಯ","ডাবল-এন্ড
 কিউ"
ಎರಡು ಮಾನ್ಯತೆ,ডাবল-এন্ট্রি কার্ড
"ಎರಡು
 ನೋಂದಣಿ","ডাবল দৈর্ঘ্য
 নিবন্ধন"
ಎರಡು ಪಡೀತನ,দ্বিগুণ নির্ভুলতা
"ಎರಡು ಪಡೀತನ
 ಅಂಕಗಣಿತದ","দ্বিগুণ নির্ভুলতা
 পাটিগণিত"
"ಎರಡು ಪಡೀತನ
 ಕಾರ್ಯ","দ্বিগুণ নির্ভুলতা
 ফাংশন"
"ಎರಡು ಪಡೀತನ
 ಸಂಖ್ಯೆ","দ্বিগুণ নির্ভুলতা
 সংখ্যা"
"ಎರಡು ಪಟ್ಟು
 ರೆಕಾರ್ಡಿಂಗ್","ডাবল-পালস
 রেকর্ডিং"
ಎರಡು ಪಂಚ್,ডাবল পাঞ্চ
ಎರಡು ಬಾರಿ,ডাবল রেল যুক্তি
ಎರಡು ಪಟ್ಟು ನೋಂದಣಿ,ডাবল রেজিস্টার
"ಎರಡು ಹಾಳೆ
 ಪತ್ತೆಕಾರಕ","ডাবল শিট
 ডিটেক্টর"
"ಎರಡು ಹಾಳೆ
 ಹೊರಹಾಕುವವನು","ডাবল শিট
 ইজেক্টর"
ಎರಡು ಬದಿಯ ಡಿಸ್ಕ್,ডাবল-পার্শ্বযুক্ত ডিস্ক
ಬಡಿ,ডাবল স্ট্রাইক
ದ್ವಿಮುಖ ಪದ,ডাবল শব্দ
ದ್ವಿಗುಣ-ಸಂಬಂಧಿತ ಉಂಗುರ,দ্বিগুণ লিঙ্কযুক্ত রিং
ಡೌನ್ ಲಿಂಕ್,ডাউন লিঙ্ক
ಕೆಳಗಡೆ,ডাউন সময়
"ಕೆಳಕ್ಕೆ
 ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ","নীচের দিকে
 সামঞ্জস্যতা"
"ಕೆಳಕ್ಕೆ
 ಉಲ್ಲೇಖ","নীচের দিকে
 রেফারেন্স"
ಎಳೆಯುವುದು,টেনে নিয়ে যাওয়া
ಡ್ರಿಫ್ಟ್,প্রবাহ
ಡ್ರಿಫ್ಟ್ ದೋಷ,ড্রিফ্ট ত্রুটি
ಡ್ರಿಫ್ಟಿಂಗ್ ಪಾತ್ರ,প্রবাহিত চরিত্র
ಬೀಳುವಿಕೆ,ড্রপ-ডেড হাল্ট
ಬಿಡಿ,ড্রপ ইন
ಮಧ್ಯದಲ್ಲೇ ಬಿಟ್ಟ,বাদ পড়া
ಡ್ರಾಪ್ ರಿಪೀಟರ್,ড্রপ রিপিটার
ಹನಿ ತಂತಿ,ড্রপ তার
ಡ್ರಮ್ ಚಾಲನೆ,ড্রাম ড্রাইভ
ಡ್ರಮ್ ಪ್ಲಾಟರ್,ড্রাম প্ল্যাটার
ಡ್ರಮ್ ಮುದ್ರಕ,ড্রাম প্রিন্টার
ಡ್ರಮ್ ಮುದ್ರಣ,ড্রাম প্রিন্টিং
ಡ್ರಮ್ ಸ್ಕ್ಯಾನಿಂಗ್,ড্রাম স্ক্যানিং
ಡ್ರಮ್ ವಿಂಗಡಣೆ,ড্রাম বাছাই
ಡ್ರಮ್ ಸಂಗ್ರಹ,ড্রাম স্টোরেজ
ನಾಟಕ ಘಟಕ,ড্রাম ইউনিট
ದಟ್ಟ ಓಟ,শুকনো চলমান
ದ್ವಿ ಸಾಂದ್ರತೆ,দ্বৈত ঘনত্ব
ಡಬ್ಬಿ ತೀವ್ರತೆ,দ্বৈত তীব্রতা
ದ್ವಿತ್ವ,দ্বৈততা
ದ್ವಂದ್ವತೆ ಪ್ರಮೇಯ,দ্বৈত তাত্ত্বিক
ಡ್ಯುಯಲ್ ಕಾರ್ಯಾಚರಣೆ,দ্বৈত অপারেশন
ಡ್ಯುಯಲ್ ಪೋರ್ಟ್ ಮೆಮೊರಿ,দ্বৈত পোর্ট মেমরি
"ಡ್ಯುಯಲ್ ಪ್ರೊಸೆಸರ್
 ವ್ಯವಸ್ಥೆ","দ্বৈত প্রসেসর
 পদ্ধতি"
"ದ್ವಿಗುಣ
 ವಿಧಾನ","দ্বৈত সিমপ্লেক্স
 পদ্ধতি"
ದ್ವಿ ವ್ಯವಸ್ಥೆ,দ্বৈত সিস্টেম
"ಡ್ಯೂಕೋಲ್ ಪಂಚ್
 ಚೀಟಿ","ডুকল-পাঞ্চড
 কার্ড"
ಮೂಕ ಟರ್ಮಿನಲ್,বোবা টার্মিনাল
ಡಮ್ಮಿ ವಿಳಾಸ,ডামি ঠিকানা
ಡಮ್ಮಿ ವಾದ,ডামি যুক্তি
ಡಮ್ಮಿ ಪರಿಶೀಲನೆ,ডামি চেক
"ಡಮ್ಮಿ ನಿಯಂತ್ರಣ
 ವಿಭಾಗ","ডামি নিয়ন্ত্রণ
 অধ্যায়"
ನಕಲಿ ಡೇಟಾ ಸೆಟ್,ডামি ডেটা সেট
ನಕಲಿ ಸೂಚನೆ,ডামি নির্দেশনা
ಡಮ್ಮಿ ವಿಭಾಗ,ডামি বিভাগ
ಡಮ್ಮಿ ವೇರಿಯಬಲ್,ডামি পরিবর্তনশীল
ಬ ೦ ದಿಸು,ডাম্প
ಡಂಪ್ ಮತ್ತು ಮರುಪ್ರಾರಂಭಿಸಿ,ডাম্প এবং পুনরায় চালু করুন
ಡಂಪ್ ಚೆಕ್,ডাম্প চেক
ಡಂಪ್ ಬಿಂದುವಿಗೆ,ডাম্প পয়েন্ট
ಡಂಪ್ ದಿನಚರಿ,ডাম্প রুটিন
ಪಾರಿಗೊಣಿಕೆ,ডুডেসিমাল
ಡ್ಯುಪ್ಲೆಕ್ಸ್ ಚಾನೆಲ್,দ্বৈত চ্যানেল
ಡ್ಯುಪ್ಲೆಕ್ಸ್ ಸರ್ಕ್ಯೂಟ್,দ্বৈত সার্কিট
"ಡ್ಯುಪ್ಲೆಕ್ಸ್
 ಸಂವಹನ","দ্বৈত
 যোগাযোগ"
ಡ್ಯುಪ್ಲೆಕ್ಸ್ ಕನ್ಸೋಲ್,দ্বৈত কনসোল
ಡ್ಯುಪ್ಲೆಕ್ಸ್ಡ್ ವ್ಯವಸ್ಥೆ,দ্বৈত সিস্টেম
ಡ್ಯುಪ್ಲೆಕ್ಸಿಂಗ್ ಮಾಡುವ,দ্বৈত
ಡ್ಯುಪ್ಲೆಕ್ಸ್ ಕಾರ್ಯಾಚರಣೆ,দ্বৈত অপারেশন
"ಡ್ಯುಪ್ಲೆಕ್ಸ್
 ರೋಗ ಪ್ರಸಾರ","দ্বৈত
 সংক্রমণ"
ನಕಲಿ ಕೀ,সদৃশ কী
ನಕಲಿ ಪರಿಮಾಣ,সদৃশ ভলিউম
ನಕಲು ಪರಿಶೀಲನೆ,সদৃশ চেক
ನಕಲು ಮಾಡುವ ಅಂಶ,সদৃশ ফ্যাক্টর
"ನ ನಕಲು
 ಸೌಲಭ್ಯ","এর সদৃশ
 সু্যোগ - সুবিধা"
ನಕಲು ಮಾಡುವವ,সদৃশ
"ಡಯಾಡಿಕ್ ಬೂಲಿಯನ್
 ಕಾರ್ಯಾಚರಣೆ","ডায়াডিক বুলিয়ান
 অপারেশন"
ಡೈಡಿಕ್ ಕಾರ್ಯಾಚರಣೆ,ডায়াডিক অপারেশন
ಡೈಯಾಡಿಕ್ ನಿರ್ವಾಹಕ,ডায়াডিক অপারেটর
ಕ್ರಿಯಾಶೀಲತೆ,গতিশীল নির্ভুলতা
"ಡೈನಾಮಿಕ್ ವಿಳಾಸ
 ಭಾಷಾಂತರ","গতিশীল ঠিকানা
 অনুবাদ"
ಕ್ರಿಯಾಶೀಲ ಹಂಚಿಕೆ,গতিশীল বরাদ্দ
"ಡೈನಾಮಿಕ್ ಬಫರ್
 ಮನವಸಿಕೆ","গতিশীল বাফার
 বরাদ্দ"
ಡೈನಾಮಿಕ್ ಬಫರಿಂಗ್,গতিশীল বাফারিং
"ಕ್ರಿಯಾಶೀಲ ನಿಯಂತ್ರಣ
 ಕಾರ್ಯ","গতিশীল নিয়ন্ত্রণ
 ফাংশন"
ಡೈನಾಮಿಕ್ ಡೀಬಗ್,গতিশীল ডিবাগ
"ಡೈನಾಮಿಕ್ ಸಾಧನ
 ಪುನಾರೋಪಾಯಿಸುವಿಕೆ","গতিশীল ডিভাইস
 পুনর্গঠন"
"ಕ್ರಿಯಾಶೀಲ ಪ್ರದರ್ಶನ
 ಚಿತ್ರ","গতিশীল প্রদর্শন
 চিত্র"
ಕ್ರಿಯಾಶೀಲ,গতিশীল ডাম্প
"ಕ್ರಿಯಾಶೀಲ
 ಸಂಗ್ರಹ","গতিশীল আবর্জনা
 সংগ্রহ"
"ಕ್ರಿಯಾಶೀಲ
 ಸೂಚನಾ","গতিশীল
 নির্দেশ"
ಡೈನಾಮಿಕ್ ಲೋಡಿಂಗ್,গতিশীল লোডিং
ಡೈನಾಮಿಕ್ ಮೆಮೊರಿ,গতিশীল স্মৃতি
"ಡೈನಾಮಿಕ್ ಮೆಮೊರಿ
 ಮನವಸಿಕೆ","গতিশীল স্মৃতি
 বরাদ্দ"
"ಕ್ರಿಯಾಶೀಲ
 ನಿಯತಾಂಕ","গতিশীল
 প্যারামিটার"
ಡೈನಾಮಿಕ್ ಪ್ರಿಂಟ್ out ಟ್,গতিশীল প্রিন্টআউট
"ಕ್ರಿಯಾಶೀಲ
 ಪ್ರೋಗ್ರಾಮಿಂಗ್","গতিশীল
 প্রোগ্রামিং"
ಕ್ರಿಯಾತ್ಮಕ ವ್ಯಾಪ್ತಿಯನ್ನು,গতিশীল পরিসীমা
"ಕ್ರಿಯಾಶೀಲ
 ಸ್ಥಳಾಂತರ","গতিশীল
 স্থানান্তর"
ಕ್ರಿಯಾಶೀಲ ಪ್ರತಿಕ್ರಿಯೆ,গতিশীল প্রতিক্রিয়া
"ಕ್ರಿಯಾಶೀಲ
 ವೇಳಾಪಟ್ಟಿ","গতিশীল
 সময়সূচী"
ಡೈನಾಮಿಕ್ ಸ್ಟಾಪ್,গতিশীল স্টপ
ಡೈನಾಮಿಕ್ ಸಂಗ್ರಹ,গতিশীল স্টোরেজ
"ಡೈನಾಮಿಕ್ ಸಂಗ್ರಹ
 ಮನವಸಿಕೆ","গতিশীল স্টোরেজ
 বরাদ্দ"
"ಕ್ರಿಯಾಶೀಲ
 ಪ್ರವಾಹದ","গতিশীল
 Subroutine"
"ಡೈನಾಮಿಕ್ ಬೆಂಬಲ
 ವ್ಯವಸ್ಥೆ","গতিশীল সমর্থন
 পদ্ধতি"
"ಕ್ರಿಯಾಶೀಲ ವ್ಯವಸ್ಥೆ
 ಮಾದರಿ","গতিশীল সিস্টেম
 মডেল"
"ಡೈನಾಮಿಕ್ ವರ್ಚುವಲ್
 ಸ್ಮರಣೆ ವ್ಯವಸ್ಥೆ","গতিশীল ভার্চুয়াল
 মেমরি সিস্টেম"
ಪ್ರತಿಧ್ವನಿ ಚೆಕ್,প্রতিধ্বনি চেক
ಪ್ರತಿಧ್ವನಿ ನಿಗ್ರಹಕ,প্রতিধ্বনি দমনকারী
"ಅರ್ಥಮಾಪನದ
 ಅನ್ವಯಿಸು","একনোমেট্রিক
 আবেদন"
"ಅರ್ಥಮಾಪನದ
 ಮಾದರಿ","একনোমেট্রিক
 মডেল"
"ಆರ್ಥಿಕ
 ಅನ್ವಯಿಸು","অর্থনৈতিক
 আবেদন"
"ಅರ್ಥಶಾಸ್ತ್ರ
 ಗಣನೆ","অর্থনীতি
 কম্পিউটিং"
"ಅರ್ಥಶಾಸ್ತ್ರ
 ಗಣನೆ
 ಜಾಲ","অর্থনীতি
 কম্পিউটিং
 অন্তর্জাল"
ಅಂಚು,প্রান্ত
ಎಡ್ಜ್ ನೋಚ್ಡ್ ಕಾರ್ಡ್,প্রান্ত খাঁজ কার্ড
ಎಡ್ಜ್ ಪಂಚ್ ಕಾರ್ಡ್,প্রান্ত খোঁচা কার্ড
ತಿದ್ದು,সম্পাদনা
