Hindi,English
"तुड़ाई सूचकांक, कटाई सूचकांक",Harvest index
"कटाई, कटी फसल, तैयार फसल, उपज",Harvest
"तोड़ना, कटाई, तुड़ाई",Harvesting
"अंडे से निकलना, अंडा सेना",Hatch
सूखी घास,Hay
सूखा चारा,Haylage
गंजी,Haystock
धुंध,Haze
धुंधता,Hazy
"बाली, सिट्टा, मुंडक, शीर्ष, सिर, सिरा",Head (Agro)
सिरा (नाली का),Head (of channel)
शीर्ष छंटाई,Heading back
बाड़,Hedge
अधिरक्षण,Hedging
कुंडलिनी,Helix
हेमैटाइट,Hematite
"शाक, बूटी",Herb
"वनस्पति संग्रह, वनस्पति संग्रहालय",Herbarium
शाकनाशी,Herbicide
आनुवंशिकता,Heredity
वंशागतित्व,Heretability
उभयलिंगी,Hermaphrodite
विषमवर्णी,Heterochromatic
विषम-निषेचन,Heterofertilization
"संकरओज, हेटेरोसिस",Heterosis
लिंगक्रोमोसोम,Heterosome
परपोषित,Heterotroph
षड्गुणित,Hexaploid
शीत निष्क्रियता,Hibernate
उच्च सघनता रोपण,High density planting
"पिंडलक, हिल (धान)",Hill (rice)
आयतचित्र,Histogram
उच्च तकनीकी औद्यानिकी,Hitech horticulture
"करंड, छत्ता",Hive
"गुड़ाई, गोड़ना",Hoeing
जोत,Holding
निजी फार्म,Home farm
समस्थिति,Homeostasis
वासभूमि,Homestead
समांगता,Homogeneity
"सजातीय, समांगी",Homogenous
समधर्मी,Homologus
समयुग्मज,Homozygote
"खुरलिका, खाद्यधानी, हापर",Hopper
"संस्तर, क्षितिज",Horizon
औद्यानिक फसलें,Horticultural crops
"उद्यान विज्ञान, बागवानी, उद्यान कृषि, औद्यानिकी",Horticulture
उद्यान वानिक पशुपाल्य खेती,Horti-silvi pastoral farming
परपोषी,Host
तप्त जलोपचार,Hot water treatment
"हल, छिलका",Hull
आर्द्रता,Humidity
हयूमस,Humus
भूसी,Husk
छिलका निकालने वाली मशीन,Husker
छिलका उतारना,Husking
संकर,Hybrid
संकरण,Hybridization
"जलयोजन, जलीयन",Hydration
जल विज्ञान,Hydrology
जल अपघटन,Hydrolysis
"द्रवघनत्व मापी, हाइड्रोमीटर",Hydrometer
जल परागित,Hydrophilous
जल संवर्धन,Hydroponics
जल मंडल,Hydrosphere
आर्द्रता-ग्राहयता,Hydroscopicity
परात्पराजीवी,Hyperparasite
अतिवृद्धि,Hyperplasia
"कवक तंतु, हाइफा",Hypha
बीजपत्राधार,Hypocotyl
परिकल्पना,Hypothesis
शैथिल्य (जल),Hysteresis (water)
"हेजल नट, अखरोट का फल",Hazel nut
भांग,Hemp
खुरासानी अजवाईन,Henbane
मेंहदी,Henna
गुड़हल,Hibiscus
होप,Hop
कुल्थी,Horse gram
कवांच,Horse-eye-bean
मधुमक्खी,Honeybee
फुदका,Hopper
उद्यानविद्,Horticulturist
जल विज्ञानी,Hydrologist
स्व स्थाने कलम-बंधन,In situ grafting
पात्रे,In vitro
जीवे,In vivo
अविवेकपूर्ण,Indiscriminate
कीट,Insect
कीट पीड़क,Insect pest
कीटालय,Insectary
कीटनाशी,Insecticide
कीटाहारी,Insectivorous
"सूर्यतापन, आतपन",Insolation
अविलेय,Insoluble
"इन्स्टार (कीट), अंतरानिर्मोकीय अवस्था",Instar (insect)
रोधी,Insulator
समेकित रोग प्रबंधन,Integrated disease management
समेकित पोषक-तत्व प्रबंधन,Integrated nutrient management
समेकित पीड़क प्रबंधन,Integrated pest management
"सघनता, गहनता",Intensification
"गहन, सघन",Intensive
"बीच की फसल, अंतराफसल",Intercrop
"अंतः सस्य कर्षण, निराई, गुड़ाई",Intercultivation (interculture)
ब्याज,Interest
"पर्व, पोरी",Internode
अंतरा प्रावस्था (कोशिका विभाजन),Interphase (cell division)
अंतर्वेशन,Interpolation
अंतर्बंध्य,Inter-sterile
"विवरण, सूची",Inventory
प्रतिलोमीकरण,Inversion
"चक्र, सहपत्र",Involucre
आयन,Ion
किरणन,Irradiation
सिंचाई,Irrigation
समविकल्पी,Iso alleles
समोत्पाद वक्र,Iso product curve
समदाब रेखा,Isobar
समयुग्मन,Isogamy
पृथक्करण दूरी,Isolation distance
समगुणित,Isoploid
समोत्पाद,Isoquant
"आइसोटोप, समस्थानिक",Isotope
भोजपत्र,Indian birch
कैल,Indian blue pine
लसौड़ा,Indian cherry
धूप,Indian juniper
बीजासर,Indian kino tree
"सुरपान, सुल्तान चंपा",Indian laural tree
साया,Indian madder
मंजीठ,Indian maddler
पापड़ा,Indian podo phylum
नील,Indigo
काकुन,Italian millet
कुर्ची,Ivory tree
कुंदरू,Ivy gourd/little gourd
"जैगरी, खंडसारी",Jaggery
जैपोनिका धान,Japonica rice
जैसिड,Jassid
जावाई धान (चावल),Javanica rice
जेली बनाना,Jelling
झूम कृषि,Jhum cultivation
झंपक जीन,Jumping gene
अनुपयोगी डीएनए,Junk DNA
वयस्कपूर्व प्रावस्था,Juvenile phase
नीली गुलमोहर,Jacaranda
कटहल,Jackfruit
जामुन,Jamun
"मोतिया, चमेली",Jasmine
जट्टी/खट्टी,Jatti khatti
रतनजोत,Jattrofa
जूट,Jute
जैसिड़,Jassids
केओलिन,Kaolin
"केओलिन मिट्टी, खडिया मिट्टी",Kaolinite
"केओलिनाइट, केओलिन मिट्टी, खडिया मिट्टी",Kaolinite
केंद्रककाइमा,Karyenchyma
केंद्रकबंध,Karyodesma
केंद्रक संलयन,Karyogamy
गुणसूत्र आरेख,Karyogram (idiogram)
सूत्री विभाजन,Karyokinesis
केंद्रक विज्ञान,Karyology
केंद्रकलयन,Karyolysis
केंद्रक,Karyon
"केंद्रक प्ररूप, गुणसूत्रप्ररूप",Karyotype
केल्प (शैवाल),Kelp (algae)
केल्विन चक्र,Kelvin cycle
किरेटिन,Keratin
"गिरी, दाना",Kernel
खैरा रोग,Khaira disease
खरीफ,Kharif
बकरी का ब्याना,Kidding
काइनेटोकोर,Kinetochore
"शाक-वाटिका, गृह वाटिका",Kitchen garden
क्लाइनफिल्टर संलक्षण,Kleinfilter syndrome
क्लिनो खंड,Klenow fragment
खांच लगाना,Knotching
कॉच अभिगृहीत,Koch's postulate
कोपन का वर्गीकरण (जलवायु),Koppen's classification (Climate)
क्रेब का चक्र,Krebs cycle
"करटोसिस, ककुदता",Kurtosis
के वी के (कृषि विज्ञान केंद्र),KVK (krishi vigyan kendra)
कदंब,Kadam
केल,Kale
कांस घास,Kans grass
करौंदा,Karonda
राजमा,"Kidney bean, rajmah"
कीवी फल,Kiwifriut
गांठ गोभी,Knol khol
विलायती इमली,Kodampuli
कोदो,Kodo millet
कोकम,Kokam butter tree (mangosteen)
खपरा भृंग,Khapra beetle
घातक मात्रा 50,L.D.50 (lethal dose 50)
प्रयोगशाला से खेत तक,Lab to land
अस्थिर,Labile
"श्रम, मजदूर, श्रमिक",Labour
लैक प्रचालक प्रतिदर्श,Lac operon model
दुग्ध स्रवण,Lactation
दुग्धजनक हॉर्मोन (प्रोलैक्टिन),Lactogenic hormone (prolactin)
लैक्टोस,Lactose
पश्च रज्जुक,Lagging strand
लैम्डा क्लोनन संवाहक,Lambda cloning vector
पटलीय वायु प्रवाह,Laminar air flow
लैंपब्रश गुणसूत्र,Lamp brush chromosome
"भूमि, जमीन, स्थल, प्रदेश",Land
भूमि समर्थता वर्गीकरण,Land capability classification
भूमि समर्थता मानचित्र,Land capability map
भूमि निम्नीकरण,Land degradation
भूमि तुल्यांक अनुपात,Land equivalent ratio
भूमि समतलीकरण,Land levelling
भूमि सुधार,Land reclamation
भूदृश्य कला,Landscaping
भूमि उपयुक्तता,Land suitability
भूमि उपयोग पद्धति,Land use pattern
लैंगरहैंस कोशिकाएं,Langerhans cells
ह्रास दर,Lapse rate
"लार्वा, डिंभक",Larva
प्रसुप्तता,Latency
गुप्त,Latent
प्रसुप्त संक्रमण,Latent infection
"पार्श्व, पार्श्विक, पार्श्वीय",Lateral
लैटराइट मृदा,Laterite soils
"लेटेक्स, असंस्कृत रबड़",Latex
"लैथिरस रोग, लैथिरसता",Lathyrism
लातीनी वर्ग अभिकल्पना (एल एस डी),Latin square design (LSD)
जालक,Lattice
तुलनात्मक लाभ नियम,Law of comprative advantage
स्थिर प्रतिफल का नियम,Law of constant returns
ह्रासमान प्रतिफल का नियम,Law of diminishing returns
वर्धमान प्रतिफल का नियम,Law of increasing retuns
सीमित कारकों का नियम,Law of limiting factors
न्यूनता का नियम,Law of minimum
प्रतिस्थापन का नियम,Law of substitution
परिवर्ती अनुपात नियम,Law of variable proportions
"दाब, परत, अंडे देने वाली मुर्गी",Layer
अभिन्यास,Layout
निक्षालित तत्व,Leachate
निक्षालन क्षमता,Leaching efficiency
निक्षालन मांग,Leaching requirement
अग्रग रज्जुक,Leading strand
पर्ण क्षेत्र अवधि,Leaf area duration
पर्णक्षेत्र सूचकांक,Leaf area index
पर्ण क्षेत्र अनुपात,Leaf area ratio
पर्ण सुरंगक,Leaf miner
पर्ण परीक्षण,Leaf testing
"पर्ण, पत्ती, पत्र, पत्ता",Leaf
समाचारपत्रक,Leaflet
पट्टा,Lease
शिंब फली,Legume
निम्न ऊर्जा लागत संधारणीय कृषि,LEISA - (Low Energy Input Sustainable Agriculture)
वातरंध्र,Lenticel
लेन्टो केशिका बिंदु,Lento capillary point
"तनुसूत्र, लेप्टोनीमा",Leptonema
लेप्टोस्पाइरता,Leptospirosis
शुष्करोधक आवारिकी,Lero-morphic
विक्षति,Lesion
घातक उत्परिवर्तन,Lethal mutation
अवर्णीलवक,Leucoplast
समतल वेदिका,Level terrace
"करहा, समतलक, पाटा",Leveler (leveller)
समतलन (भूमि का),Levelling (of land)
"ले कृषि, चरागाह में कृषि",Ley farming
लीबिग का न्यूनतम नियम,Liebig's law of minimum
बंधन,Ligation
प्रकाश समायोजन बिंदु,Light compensation point
प्रकाश संतृप्त सघनता,Light saturation intensity
प्रकाश संचरण अनुपात,Light transmission ratio
प्रकाश पाश,Light trap
चूना मिलाना,Liming
"सीमा, सीमा बंधन",Limitation
सीमाकारी कारक,Limiting factor
लाइमोनाइट,Limonite
"रेखा, वंशक्रम",Line
रैखिक अनुक्रिया,Linear response
सहलग्नता,Linkage
सहलग्नी समूह,Linkage group
योजक,Linker
रूई सूचकांक,Lint index
रोम,Linters
"वसा, लिपिड",Lipid
वसा-अपघटन,Lipolysis
परिसमापन,Liquidation
मेंडकारी,Lister
लिस्टर (बक्खर),Lister
मेंड़ बनाना,Listing
स्थल मंडल,Lithosphere
"बिछाली, संशाव",Litter
सजीव पलवार,Live mulches
लिवरवर्ट,Liverwort
पशुधन,Livestock
स्थानीय नियंत्रण,Local control
"संस्थिति, निधान, विस्थल",Locus
टिड्डी,Locust
"अवशयन, गिरना (फसल का गिरना)",Lodging (crop lodging)
लॉडिक्यूल,Lodicule
"लोएस, चिकनी मिट्टी",Loess
लघुगणकीय रूपांतरण,Logarthimic transformation
दीर्घ प्रदीप्तकाली पादप,Long - day plant
दीर्घ तरंगीय विकिरण,Long wave radiation
पाश,Loop
कर्तन,Lopping
कटि,Lumber
"लक्स, लूक्रस",Lux
विलासिता उपभोग (पोषक तत्व),Luxury consumption (nutrient)
विलासी जीन,Luxury genes
लाइकोपीन,Lycopene
लसीका,Lymph
लाइसीमीटर लिसजलमापी,Lysimeter
कोशिकालयन,Lysis of cell
लयजनन,Lysogeny
"लयनकाय, लाइसोसोम",Lysosome
लाइसोजाइम,Lysozyme
कुसुम,Lac tree
लाख,Lac
भिंडी,"Lady's finger, okra"
गोखरू,Land caltrops
लेंटाना,Lantana
खेसारी,Lathyrus
लीक,Leek
नींबू घास,Lemon grass
"लेमन, नींबू",Lemon
मसूर,Lentil
मुलैठी,Lequorice
सलाद,Lettuce
"कमलिनी, कुमुदिनी",Lily
नींबू,Lime
अलसी,Linseed
लीची,Litchi
कुटकी,Little millet
ककड़ी,Long melon
"पीप़र, पिपलामूल",Long pepper
लोकाट,Loquat
कमल,Lotus
रिजका,Lurcerne
लाख कीट,Lac insect
सोनपंखी,Lady bird beetle
पर्ण सुरंगक,Leaf miner
पत्ती लपेटक,Leaf roller
पत्ती जाला कीट,Leaf webber
टिड्डी,Locust
गुरु विकास,Macro evolution
विस्तृतक्षेत्री जलवायु,Macroclimate
वृहदणु,Macromolecule
गुरु उत्परिवर्तन,Macromutation
प्रमुख पोषक-तत्व,Macronutrient
दीर्घ छिद्र,Macropores
"मैगट, कृमि",Maggot
मैग्मा,Magma
मैग्नीशिया,Magnesia
मैग्नीशियम,Magnesium
चुंबकीय विलोडक,Magnetic stirrer
परिमाण,Magnitude
महुए की खली,Mahua cake
अनुरक्षक पंक्ति,Maintainer line
"अनुरक्षण, संभाल, देखभाल",Maintenance
मक्का के दाने निकालने वाली मशीन,Maize sheller
नरबंध्य,Male sterile
"कुरूपता, कुरचना",Malformation
दुर्दमता,Malignancy
कुपोषण,Malnutrition
कुरीति,Malpractice
माल्टन,Malting
नांद,Manger
"मैंग्रोव, गरान",Mangroves
"मैनोमीटर, दाबांतरमापी",Manometer
"मैनोमीटर, दाबांतरमापी",Manometer
अपूर्णांश (लघुगणक का),Mantissa (of logarithm)
खाद,Manure
"खाद देना, खाद डालना",Manuring
"सीमांत, उपांत",Marginal
सीमांत लागत,Marginal cost
उपांत भूमि,Marginal land
सीमांत उत्पाद,Marginal product
सीमांत आय,Marginal return
समुद्री,Marine
चिह्नक (आनुवंशिक),Marker (genetic)
"बाजार, मंडी",Market
"पण्य, विक्रेय, विपणन योग्य",Marketable
विपणन-योग्य अधिशेष,Marketable surplus
विपणित अधिशेष,Marketed surplus
विपणन,Marketing
कच्छ,Marsh
द्रव्यमान बहाव,Mass flow
"महा चयन, व्यापक चयन, समूह चयन",Mass selection
द्रव्यमान स्पेक्ट्रोमीटर,Mass-spectrometer
"दंड़, मस्तूल",Mast
मातृक वंशागति,Maternal inheritance
"मिलन, संगम",Mating
मैट्रिक विभव,Matric potential
"तैयार होना, परिपक्वन",Maturation
परिपक्वता (फसल),Maturity (crop)
अधिकतम उपलब्ध जल,Maximum available water
अधिकतम सस्यन,Maximum cropping
अधिकतम अवशेष सीमा,Maximum residue limit
अधिकतम संधारणीय उपज,Maximum sustainable yield
अधिकतम तापमापी,Maximum thermometer
अधिकतम जलधारण क्षमता,Maximum water holding capacity
शाद्वल बागवानी,Meadow orcharding
चूर्णी,Mealy
माध्य विचलन,Mean deviation
माध्य जीवन (नाभिकीय),Mean life (nuclear)
माध्य समुद्र तल,Mean sea level
माध्य वर्ग,Mean square
"माप, माप करना",Measure
मापन,Measurement
यांत्रिक,Mechanical
यांत्रिक विश्लेषण (मृदा),Mechanical analysis (soil)
यांत्रिक प्रतिबाधा,Mechanical impedence
यांत्रिक कृषि,Mechanized farming
"मध्य, मध्यस्थ, मध्यिका",Median
औषधीय पादप,Medicinal plant
भूमध्यसागरीय जलवायु,Mediterranean climate
गुरुयुग्मकजनन,Megagametogenesis
गुरु बीजाणुधानी,Megasporangia
गुरु बीजाणु,Megaspore (macrospore)
गुरुबीजाणुजनन,Megasporogenesis
"अर्धसूत्रण, अर्धसूत्री विभाजन",Meiosis
नरम मृदा,Mellow soil
डीएनए विरज्जुकन,Melting of DNA
झिल्ली निस्यंदक,Membrane filter
मेन्डेलीय वंशागति,Mendelian inheritance
मेन्डेलवाद,Mendelism
मेंडेल का वंशागति नियम,Mendel's law of inheritance
"पण्यमाल, विक्रेयमाल",Merchandise
"पारा, पारद",Mercury
विभज्योतक,Meristem
मध्य जलवायु,Mesoclimate
"मध्यचर्म, मध्यजनस्तर",Mesoderm
पर्ण मध्योतक,Mesophyll
समोद्भिद,Mesophyte
मध्य छिद्र,Meso-pores
मध्यमंडल,Mesosphere
दूत आरएनए (एम-आरएनए),Messenger RNA (m-RNA)
उपापचय,Metabolism
उपापचयज,Metabolites
धातु बांध,Metal dam
कायांतरित शैल,Metamorphic rocks
कायांतरण,Metamorphosis
मध्यावस्था,Metaphase
अनुमदकाल,Metastrus
"परागानुप्रभाव, मेटाजीनिया",Metaxenia
मौसम विज्ञान,Meteorology
मेटहीमोग्लोबिनीमिया,Methaemoglobinaemia
विधि प्रदर्शन,Method demonstration
अभ्रक,Mica
लघु द्रोणी,Micro basin
सूक्ष्म प्राणिजात,Micro fauna
सूक्ष्मजीव,Microbe
सूक्ष्मजीवी जैवभार कार्बन,Microbial biomass carbon
सूक्ष्मजीवी निम्नीकरण,Microbial degradation
सूक्ष्मजीवी कीटनाशी,Microbial insecticide
सूक्ष्मजीव विज्ञान,Microbiology
लघुजीवी,Microbiotic
सूक्ष्म जलवायु,Microclimate
सूक्ष्म पर्यावरण,Microenvironment
सूक्ष्म वनस्पतिजात,Microflora
लघुयुग्मकजनन,Microgametogenesis
लघु सिंचाई,Microirrigation
सूक्ष्म मौसमविज्ञान,Micrometeorology
सूक्ष्म पोषक (तत्व),Micronutrient
लघु क्यारी,Microplot
सूक्ष्मरंध्र,Micropore
बीजांड द्वार,Micropyle
सूक्ष्मदर्शिकी,Microscopy
सूक्ष्म बीजाणुधानी,Microsporangium
सूक्ष्मबीजाणु संवर्धन,Microspore culture
सूक्ष्मबीजाणु मातृ कोशिका,Microspore mother cell
"लघुबीजाणु, माइक्रोस्पोर",Microspore
"सूक्ष्मकर्तक, माइक्रोटोम",Microtome
सूक्ष्म स्थलाकृति,Microtopography
मध्य-ऋतु सुधार,Mid-season correction
"प्रवास, प्रवसन",Migration
दाने की दुग्धावस्था,Milk grain stage
"मिलीपीड, गोजर",Millepede
"मिलेट (ज्वार, बाजरा, आदि)",Millets
"पेषण प्राप्ति, पेरना प्राप्ति",Milling recovery
"पेषण, दलना, कूटना, पीसना, पेरना",Milling
खनिज पोषण,Mineral nutrition
खनिज मृदा,Mineral soil
"खनिजीकरण, खनिजीभवन",Mineralisation
खनिज,Minerals
न्यूनतम तापमापी,Minimum thermometer
न्यूनतम कर्षण,Minimum tillage
गौण फसलें,Minor crops
समसूत्रणी सूचकांक,Miotic index
अपार्थक उत्परिवर्तन,Missence mutation
कुहासा सिंचाई,Mist irrigation
कुहासा,Mist
"माइटोकॉन्ड्रिया, सूत्रकणिका",Mitochondria
समसूत्रण,Mitosis
मित्शेर्लिक का नियम,Mitscherlich's law
मिश्रित सस्यन,Mixed cropping
"मिश्रित खेती, मिश्रित कृषि",Mixed farming
मिश्रित उर्वरक,Mixed fertilizer
मिश्रित चराई,Mixed grazing
मिश्रित तृणमय भूमि,Mixed sward
"प्रतिरूप, निदर्श",Model
प्रतिरूपण,Modelling
संशोधित वातावरणीय पैकेजिंग,Modified atmosphere packaging
नमी उपलब्धता सूचकांक,Moisture availability index
नमी ह्रास सूचकांक,Moisture deficit index
नमी तुल्यांक,Moisture equivalent
नमी प्रवृत्ति,Moisture regime
नमी मोचन वक्र,Moisture release curve
जल धारण-शक्ति,Moisture retention
नमी प्रतिबल,Moisture stress
नमी तनाव,Moisture tension
नमी,Moisture
मोलीय विलयन,Molar solution
शीरा,Molasses
मोल अपवाह,Mole drainage
अणु जैविकी,Molecular biology
आणविक प्रजनन,Molecular breeding
आणविक संकरण,Molecular hybridization
मोलस्कनाशी,Molluscicide
आर्थिक लाभ सूचकांक (एम ए आई),Monetary advantage index (MAI)
एकक्लोनी प्रतिरक्षी,Monoclonal antibody
एकबीजपत्री,Monocotyledons
एकधा सस्यन,Monocrop (Monoculture)
उभयलिंगी,Monoecious
"अलैंगिक जनन, एकोद्भव वाद",Monogenesis
एकसंकर जनन,Monohybrid
एकयुग्मनज,Monozygotic
मानसून,Monsoon
मॉन्टमॉरिलोनाइट,Montmorillonite
"मूर, ऊसर",Moor
मॉर,Mor
मॉर्गेन इकाई,Morgan unit
संरचना विकास,Morphogenesis
आकृतिक अनुकूलन,Morphological adaptation
आकारिकी,Morphology
बंधक,Mortgage
"चितकबरा, बहुरंगी, कर्बुरित",Mottle
कर्बुरण,Mottling
फफूंदी,Mould
निर्मोचन,Moulting
टीला खेती,Mound culture
ढेरी दाब,Mound layering
घासकर्तक,Mower
घास काटना,Mowing
"म्यूसिलेज, श्लेष्मक",Mucilage
"मक, मृदा",Muck soil
"पंकसम, कीचड़युक्त",Muddy
"मफल, ढांकना",Muffle
पलवार खेती,Mulch farming
पलवार कर्षण,Mulch tillage
"मल्च, पलवार",Mulch
"पलवारना, मल्च बनाना",Mulching
"अंतरीप, मल (ह्यूमस)",Mull
बहुस्तरीसस्यन,Multi storey cropping
बहु सहसंबंध,Multiple correlation
बहु सस्योत्पादन,Multiple cropping
बहु सस्योत्पादन सूचकांक,Multiple cropping index
बहु संकर,Multiple cross
बहु प्रतिरोध,Multiple resistance
बहुचर,Multivariate
बहुयुग्मनज,Multizygotic
ममीकरण,Mummification
ममीभूत फल,Mummified fruit
"मस्कोवाइट, सामान्य अभ्रक",Muscovite
"खुंबी, छत्रक",Mushroom
उत्परिवर्तजन,Mutagen
उत्परिवर्ती,Mutant
उत्परिवर्तन,Mutation
पारस्परिक संदमन,Mutual inhibition
सहोपकारिता,Mutualism
"कवकजाल, माइसीलियम",Mycelium
कवक विज्ञान,Mycology
कवक द्रव्य,Mycoplasma
कवकमूल,Mycorrhiza
जावित्री,Mace
आक,Madar
मुहुआ,Madhuca
मक्का,Maize
मखाना,Makhana
संतरा,Mandarin
"आमा हल्दी, अमादि",Mango zinger
आम,Mango
"नीम, मारगोसा","Margosa, neem"
गेंदा,Marigold
रूमी मस्तिकी,Mastic tree
बड़ा कांटा,Merrill
मेस्ता,Mesta
पुदीना,Mint
"करंघु, नकटमाला",Molucca bean
बड़हल,Monkey jack
सहजन,Moringa
हिरनखुरी,Morning glory (convolvulus)
मौसम्बी,Mosambi
मोठ,Moth bean
शहतूत,Mulberry
खुंब,Mushroom
खरबूज,Musk melon
कस्तूरी,Musk
सरसों,Mustard
विलायती मैंहदी,Myrtle
"हाथी घास, नेपियर घास",Mapier grass
"मीली बग, गुजिया कीट",Mealy bug
"मशकाभ, मिज",Midge
"चिचंड़ी, बरूथी",Mites
बंदर,Monkey
मच्छर,Mosquito
"पतंगा, शलभ",Moth
मौसम विज्ञानी,Meteorologist
सूक्ष्म जीवविद्,Microbiologist
कवक विज्ञानी,Mycologist
अतिसूक्ष्मप्रौद्योगिकी,Nanotechnology
कुंभीरूप,Napiform
स्वापक,Narcotic
अनुकुंचनीय गति,Nastic movement
राष्ट्रीय प्रदर्शन,National demonstration
भूमि का राष्ट्रीयकरण,Nationalization (of land)
"प्राकृतिक, प्राकृत",Natural
प्राकृतिक अपरदन,Natural erosion
प्राकृतिक खेती,Natural farming
प्राकृतिक संसाधन,Natural resources
प्राकृतिक वरण,Natural selection
प्राकृतिक वनस्पति,Natural vegetation
वृंत,Neck (hort)
ऊतकक्षय,Necrosis
मकरंद,Nectar
ऋणात्मक ऐलीलोपैथी,Negative allelopathy
सूत्रकृमिनाशी,Nematicide
सूत्रकृमिरोधी मूलवृंत,Nematode resistant rootstock
सूत्रकृमिविज्ञान,Nematology
चिरडिंभता,Neoteny
नेट स्वांगीकरण दर,Net assimilation rate (NAR)
कुल लाभ,Net gain
कुल आय (फार्म आय),Net income (farm income)
कुल सिंचाई आवश्यकता,Net irrigation requirement
कुल उत्पादकता,Net productivity
कुल प्रतिफल,Net return
"जाली लगाना, जाली से पकड़ना",Netting
"न्यूरॉन, तंत्रिकोशिका",Neuron
"निष्प्रभावी, उदासीन",Neutral
उदासीनता,Neutralism
"उदासीनीकरण, निष्प्रभावीकरण",Neutralization
उदासीन मृदा,Neutral soil
न्यूट्रॉन नमीमापी,Neutron moisture meter
"निकेत, कर्मस्थिति, कर्मता",Niche
निकोटिन,Nicotine
"मल, विष्ठा",Night soil
नाइट्रेट स्वांगीकरण,Nitrate assimilation
नाइट्रेट अवकरण,Nitrate reduction
नाइट्रेट विषाक्तता,Nitrate toxicity
"शोरा, नाइटर",Nitre
नाइट्रीकरण संदमक,Nitrification inhibitor
नाइट्रोजन स्वांगीकरण,Nitrogen assimilation
नाइट्रोजन चक्र,Nitrogen cycle
नाइट्रोजन न्यूनता,Nitrogen deficiency
नाइट्रोजन स्थिरीकरण,Nitrogen fixation
नाइट्रोजनी,Nitrogenous
उत्कृष्टीकरण,Nobilization
"पौंडा, मोटा गन्ना",Noble cane
रात्रिचर,Nocturnal
"गांठ, पर्वसंधि, नोड",Node
ग्रांथिल (मूल) पादप,Nodulated plant
ग्रंथन,Nodulation
ग्रंथि,Nodule
"घुमंतू, चलवाही, खानाबदोश",Nomadion
नाम पद्धति,Nomenclature
अविकल्पी,Non allelic
अकेशिका रंध्र,Non capillary pore
अप्रतिस्पर्धी सस्य,Non competing crop
निरर्थक उत्परिवर्तन,Nonsense mutation
असार्थक,Non significant
अनम्लकारी उर्वरक,Non-acid forming fertilizer
अयुग्मन,Non-conjugation
अज्ञातकुल (पशु),Non-descript (animal)
अनावश्यक तत्व,Non-essential element
असमांग,Non-homogenous
"असमधर्मी, असमजात",Non-homologus
अध्रुवीय यौगिक,Non-polar compound
अनवीकरणीय ऊर्जा,Non-renewable energy
अवरणात्मक स्पर्श शाकनाशी,Non-selective contact herbicide
अवरणात्मक शाकनाशी,Non-selective herbicide
असहजीवी नाइट्रोजन स्थिरीकरण,Non-symbiotic nitrogen fixation
सामान्य वितरण,Normal distribution
सामान्य पौध,Normal seedlings
सामान्य विलयन,Normal solution
सामान्यीकरण,Normalising
नार्दर्न शोषण,Northern blotting
"सूचनीय रोग, विज्ञाप्य रोग",Notifiable disease
बिना जुताई के बुवाई,No-till planting
अनिष्टकारी खरपतवार,Noxious weeds
नाभिकीय चुंबकीय अनुनाद,Nuclear magnetic
न्यूक्लिक अम्ल,Nuclei acid
न्यूक्लियोबैक्टर,Nucleobacter
"न्यूक्लियोलस, केंद्रिका",Nucleolus
न्यूक्लियोटाइड,Nucleotide
केन्द्रक,Nucleus
निराकरणीय परिकल्पना,Null hypothesis
शून्यसूत्री,Nullisomic
शून्य उत्परिवर्तन,Null-mutation
धात्री कोशिका,Nurse cell
"पोषक फसल, पोषक सस्य",Nurse crop
"रोपणी, नर्सरी, पौधशाला",Nursery
"दृढ़ फल, गुठली, दृढ़कण",Nut
पोषक चक्र,Nutrient cycling
पोषक न्यूनता लक्षण,Nutrient deficiency symptoms
पोषण,Nutrition
पोषण मान,Nutritional value
पोषण मान सूचकांक,Nutritive value index
उभयनिष्ठ,Names of important plants related to agriculture
ककरोंदा,Nagai camphor
नर्गिस,Narcissus
कलौंजी,Nigella
रामतिल,Niger
रात की रानी,Night jasmine
गोफल,Nipa palm
सागरमोथा,Nut grass
मोथा,Nut sedge
जायफल,Nutmeg
सूत्रकृमि,Nematode
नट घुन,Nut weevil
सूत्रकृमि विज्ञानी,Nematologist
अविकल्पी वायुजीव,Obligate aerobes
अविकल्पी अवायुजीव,Obligate anaerobes
अविकल्पी परजीवी,Obligate parasite
अविकल्पी,Obligate
अवांछित पौधे,Off-type plants
खली,Oil cake
ओकाजाकी खंड,Okazaki fragment
"शाकभाजी उत्पादन, शाकभाजी संवर्धन",Olericulture
अल्पजीन,Oligogene
अल्पन्यूक्लियोटाइड,Oligonucleotide
जैतून का तेल,Olive oil
ओमेगा-3-वसीय अम्ल,Omega-3-fatty acid
सर्वाहारी,Omnivorous
अर्बुद जीन,Oncogene
अर्बुदजनक विषाणु,Oncogenic virus
"कैंसर विज्ञान, अर्बुदविज्ञान",Oncology
प्रक्षेत्र पर अनुसंधान,On-farm research
अडंक,Oocyte
प्रचालन लागत,Operating cost
"ओपेरॉन, प्रचालेक",Operon
अवसरी सस्यन,Opportunity cropping
इष्टतम मात्रा,Optimum dose
इष्टतम आर्थिक मात्रा,Optimum economic dose
फलोद्यान की दक्षता,Orchard efficiency
जैविक कृषि,Organic agriculture
