Kannada,Malayalam
ಶುದ್ಧತ್ವದ ಪದವಿ,സാച്ചുറേഷൻ ഡിഗ്രി
ಸಾಂದ್ರತೆ,സാന്ദ്രത
ಮರುಭೂಮಿ ಪಾದಚಾರಿ ಮಾರ್ಗ,മരുഭൂമിയിലെ നടപ്പാത
ಮರುಭೂಮಿ ಮಣ್ಣು,മരുഭൂമിയിലെ മണ്ണ്
ವಿವರಗಳು,വിശദാംശങ്ങൾ
ಅಭಿವೃದ್ಧಿ ಅವಧಿ,വികസന കാലയളവ്
ಡಿ-ಹಾರಿಜಾನ್,ഡി-ചക്രവാളം
ಕರ್ಣೀಯ ಬಂಧ,ഡയഗണൽ ബോണ്ട്
ರೇಖಾಚಿತ್ರ,ഡയഗ്രം
ಡಿಜಿಟಲ್ ಡಾಕ್,ഡിജിറ്റൽ ഡോക്ക്
ಭೇದಾತ್ಮಕ ನೀರಿನ ದರ,വ്യത്യസ്ത ജലനിരക്ക്
ದುರ್ಬಲಗೊಳಿಸುವ ವಾತಾಯನ,ഡില്യൂഷൻ വെന്റിലേഷൻ
ಡಿಲುವಿಯಂ,ഡിലുവിയം
ಊಟದ ಕೋಣೆ,ഡൈനിംഗ് റൂം
ದಿಕ್ಕಿನ ಪೆಗ್,ദിശ കുറ്റി
ಪ್ರಸರಣ,വിസരണം
ಡಿಸ್ಟೆಂಪರ್,ഡിസ്റ്റെമ്പർ
ಡಾಕ್,മുറിവാല്
ಬಾಗಿಲು,വാതിൽ
ಡಾರ್ಮರ್,ഡോർമർ
ಡಾರ್ಮರ್ ಚೆಕ್,ഡോർമർ പരിശോധന
ಡಬಲ್ ಫ್ಲೆಮಿಶ್ ಬಾಂಡ್,ഇരട്ട ഫ്ലെമിഷ് ബോണ്ട്
ಡಬಲ್ ಲೇಯರ್,ഇരട്ട പാളി
ಡೋವೆಲ್,ഡോവൽ
ಡ್ರಾಯಿಂಗ್ ಬೋರ್ಡ್,വരക്കാനുള്ള ബോർഡ്
ಡ್ರಾಯಿಂಗ್ ಕೊಠಡಿ,സന്ദര്ശകമുറി
ಡ್ರಿಫ್ಟ್,ഡ്രിഫ്റ്റ്
ಒಣ ಬಲ್ಬ್ ತಾಪಮಾನ,ഉണങ്ങിയ ബൾബ് താപനില
ಡ್ರೈ ಡಾಕ್,ഡ്രൈ ഡോക്ക്
ಒಣ ರಬ್ಬರ್ ಕಲ್ಲು,ഉണങ്ങിയ റബ്ബർ കൊത്തുപണി
ಡಚ್ ಬಾಂಡ್,ഡച്ച് ബോണ്ട്
ಕುಬ್ಜ ಗೋಡೆ,കുള്ളൻ മതിൽ
ವಸತಿ ಘಟಕ,പാർപ്പിട യൂണിറ്റ്
ಈವ್,ഈവ്
ಈವ್ಸ್ ಗಟರ್,ഈവ്സ് ഗട്ടർ
ಆರ್ಥಿಕ ಕಾರ್ಯಸಾಧ್ಯತೆ,സാമ്പത്തിക സാധ്യത
ಎಕ್ಟೋಡೈನಮಾರ್ಫಿಕ್ ಮಣ್ಣು,എക്ടോഡൈനാമോർഫിക് മണ്ണ്
ಸುಳಿ,എഡ്ഡി
ಪರಿಣಾಮಕಾರಿ ಗಾತ್ರ,ഫലപ്രദമായ വലിപ്പം
ಪುಷ್ಪಮಯ,പുഷ്പം
ಹೊರಹರಿವು,മലിനജലം
ಎತ್ತರ,ഉയരത്തിലുമുള്ള
ಎಲುವಿಯೇಶನ್,എലുവിയേഷൻ
ಎಲುವಿಯಮ್,എലൂവിയം
ಎಂಡೋಡೈನಮಾರ್ಫಿಕ್ ಮಣ್ಣು,എൻഡോഡൈനാമോർഫിക് മണ്ണ്
ಎಂಜಿನಿಯರಿಂಗ್ ಕಾರ್ಯಸಾಧ್ಯತೆ,എഞ്ചിനീയറിംഗ് സാധ്യത
ಇಂಗ್ಲಿಷ್ ಬಾಂಡ್,ഇംഗ്ലീഷ് ബോണ്ട്
ಇಂಗ್ಲಿಷ್ ಗಾರ್ಡನ್ ವಾಲ್ ಬಾಂಡ್,ഇംഗ്ലീഷ് ഗാർഡൻ വാൾ ബോണ്ട്
"EPM (ಪ್ರತಿ ಮಿಲಿಯನ್‌ಗೆ ಸಮಾನ),&quot;","EPM (ഒരു ദശലക്ഷത്തിന് തുല്യം),&quot;"
ಸಮಾನ ತೂಕ,തുല്യ ഭാരം
ಉದಾ,ഉദാ
ವಿನಿಮಯ ಮಾಡಬಹುದಾದ,കൈമാറ്റം ചെയ്യാവുന്നത്
ಬದಲಾಯಿಸಬಹುದಾದ ಆಮ್ಲೀಯತೆ,കൈമാറ്റം ചെയ്യാവുന്ന അസിഡിറ്റി
ಬದಲಾಯಿಸಬಹುದಾದ ಸೋಡಿಯಂ ಶೇಕಡಾವಾರು (ESP),കൈമാറ്റം ചെയ്യാവുന്ന സോഡിയം ശതമാനം (ESP)
ಇ.ಎಸ್.ಪಿ.,ഇ.എസ്.പി.
ವಿನಿಮಯ ಆಮ್ಲೀಯತೆ,അസിഡിറ്റി കൈമാറ്റം ചെയ്യുക
ವಿನಿಮಯ ಸಂಕೀರ್ಣ,എക്സ്ചേഞ്ച് കോംപ്ലക്സ്
ನಿಷ್ಕಾಸ,എക്സോസ്റ്റ്
ಬಹಿರಂಗ ಮುಕ್ತಾಯ,തുറന്ന ഫിനിഷ്
ಕಣ್ಣು,കണ്ണ്
ಕಣ್ಣು ಹುಬ್ಬು,കണ് പുരികം
ಎದುರಿಸುತ್ತಿದೆ,അഭിമുഖീകരിക്കുന്നു
ಎದುರಿಸುತ್ತಿರುವ ಬಂಧ,ഫേസിംഗ് ബോണ്ട്
ಸುರಕ್ಷತೆಯ ಅಂಶ,സുരക്ഷാ ഘടകം
ಪತನ,വീഴ്ച
ಫೇಶಿಯಾ,ഫേഷ്യ
ಫೇಶಿಯಾ ಬೋರ್ಡ್,ഫേഷ്യൽ ബോർഡ്
ದೋಷ,തെറ്റ്
ಕ್ಷೇತ್ರ ತೇವಾಂಶ,വയലിലെ ഈർപ്പം
ಅಂತಿಮ ತೇವಾಂಶ ಸಮಾನ,അന്തിമ ഈർപ്പം തുല്യമാണ്
ಫಿಲೆಟ್ (ಗಾರೆ),ഫില്ലറ്റ് (മോർട്ടാർ)
ಅಂತಿಮ,ഫൈനൽ
ಅಂತಿಮ ಮಾಪನ,അന്തിമ അളവ്
ಅಂತಿಮ ಪಾವತಿq,അന്തിമ പേയ്മെന്റ്q
ಅಂತಿಮ ಪೂರ್ವ ಒತ್ತಡ,ഫൈനൽ പ്രീ-സ്ട്രെസ്
ಅಂತಿಮ ಒತ್ತಡ,അവസാന പിരിമുറുക്കം
ಹಣಕಾಸಿನ ಕಾರ್ಯಸಾಧ್ಯತೆ,സാമ്പത്തിക സാധ്യത
ಉತ್ತಮವಾದ ಒಟ್ಟು,ഫൈൻ അഗ്രഗേറ്റ്
ಬಿರುಕುಗೊಂಡ ಬಂಡೆ,പിളർന്ന പാറ
ಧ್ವಜದ ಕಲ್ಲು,പതാക കല്ല്
ಫ್ಲೆಮಿಶ್ ಬಂಧ,ഫ്ലെമിഷ് ബോണ്ട്
ಮಿನುಗುತ್ತಿದೆ,മിന്നുന്നു
ಹೊಳೆಯುವ ಸ್ಟ್ರೀಮ್,മിന്നുന്ന പ്രവാഹം
ಫ್ಲಾಟ್ ಛಾವಣಿ,പരന്ന മേൽക്കൂര
ಫ್ಲೆಚೆ,ഫ്ലെഷെ
ಫ್ಲೆಮಿಶ್ ಗಾರ್ಡನ್ ವಾಲ್ ಬಾಂಡ್,ഫ്ലെമിഷ് ഗാർഡൻ വാൾ ബോണ്ട്
ಫ್ಲಿಂಟ್,ഫ്ലിന്റ്
ಫ್ಲಿಂಟ್ ಗೋಡೆ,ഫ്ലിന്റ് മതിൽ
ತೇಲುವ ಮಹಡಿ,ഫ്ലോട്ടിംഗ് ഫ്ലോർ
ಫ್ಲೋಕ್ಯುಲೇಷನ್,ഫ്ലോക്കുലേഷൻ
ಫ್ಲೋಕ್ಯುಲೇಷನ್ ಮಿತಿ,ഫ്ലോക്കുലേഷൻ പരിധി
ಫ್ಲೋಕ್ಯುಲೇಷನ್ ಅನುಪಾತ,ഫ്ലോക്കുലേഷൻ അനുപാതം
ಫ್ಲೋಕಲ್ಸ್,ഫ്ലോക്കുളുകൾ
ಮಹಡಿ,തറ
ಮಹಡಿ ಮುದ್ರೆ,ഫ്ലോർ സീൽ
ಹರಿವು,ഒഴുക്ക്
ಏರಿಳಿತ,ഏറ്റക്കുറച്ചിലുകൾ
ಕಾಲಿಡುವುದು,കാൽനടയായി
ಅಡಿಪಾಯ,ഫൗണ്ടേഷൻ
ಉಚಿತ ಪತನದ ಬ್ಯಾರೋ ಟಾಪಿಂಗ್ ಮಿಕ್ಸರ್,ഫ്രീ ഫാൾ ബാരോ ടോപ്പിംഗ് മിക്സർ
ಉಚಿತ ಪತನ ಮಿಕ್ಸರ್ (ಡ್ರಮ್ ಪ್ರಕಾರ),ഫ്രീ ഫാൾ മിക്സർ (ഡ്രം തരം)
ಉಚಿತ ಕಲ್ಲು,സ്വതന്ത്ര കല്ല്
ಫ್ರೆಶ್ಸೆಟ್,ഫ്രെഷെറ്റ്
ಘರ್ಷಣೆ ರಾಶಿ,ഘർഷണ കൂമ്പാരം
ಕಪ್ಪೆ,തവള
ಗೇಬಲ್,ഗേബിൾ
ಗ್ಯಾಬ್ಲೆಟ್,ഗബ്ലെറ്റ്
ಗ್ಯಾಂಬ್ರೆಲ್ ಛಾವಣಿ,ഗാംബ്രൽ മേൽക്കൂര
ಗೇಜ್,ഗേജ്
ಅಳತೆ ವಿಭಾಗ,അളക്കൽ വിഭാഗം
ಮಾಪಕ ನಿಲ್ದಾಣ,ഗേജിംഗ് സ്റ്റേഷൻ
ಸಾಮಾನ್ಯ ಸ್ಥಳ ಯೋಜನೆ,പൊതുവായ ലൊക്കേഷൻ പ്ലാൻ
ಸಾಮಾನ್ಯ ವಾತಾಯನ,പൊതു വെന്റിലേഷൻ
ಜಿ ಹಾರಿಜಾನ್ ಅಥವಾ ಗ್ಲೇ ಹಾರಿಜಾನ್,ജി ചക്രവാളം അല്ലെങ്കിൽ ഗ്ലേ ചക്രവാളം
ತನಕ ಗ್ಲೇಶಿಯಲ್,വരെ ഗ്ലേഷ്യൽ
ಗ್ನೀಸ್,ഗ്നീസ്
ಸರಕುಗಳ ಅಂಗಳ,ഗുഡ്സ് യാർഡ്
ಗ್ರೇಡಿಯಂಟ್ ಪ್ರತಿರೋಧ,ഗ്രേഡിയന്റ് പ്രതിരോധം
ಗ್ರಾನೈಟ್,ഗ്രാനൈറ്റ്
ಹರಳಿನ ರಚನೆ,ഗ്രാനുലാർ ഘടന
ಗ್ರ್ಯಾನ್ಯುಲೇಷನ್,ഗ്രാനുലേഷൻ
ಗ್ರ್ಯಾನ್ಯೂಲ್,ഗ്രാനുൾ
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ನೀರು ಮುಕ್ತ ನೀರು,ഗുരുത്വാകർഷണ ജല രഹിത ജലം
ಗುರುತ್ವಾಕರ್ಷಣೆಯ ಅಂಗಳ,ഗുരുത്വാകർഷണ മുറ്റം
ದೊಡ್ಡ ಮಣ್ಣಿನ ಗುಂಪು,വലിയ മണ്ണ് ഗ്രൂപ്പ്
ಗ್ರಿಲ್ಲೇಜ್ ಅಡಿಪಾಯ,ഗ്രില്ലേജ് അടിസ്ഥാനം
ನೆಲದ ಕೈ ಮೋಲ್ಡಿಂಗ್,ഗ്രൗണ്ട് ഹാൻഡ് മോൾഡിംഗ്
ಗುಂಪು ಮಾಡಲಾದ ಡಾಕ್,ഗ്രൂപ്പുചെയ്ത ഡോക്ക്
ಗುಂಪು ವಸತಿ,ഗ്രൂപ്പ് ഭവനം
ಅತಿಥಿ ಕೊಠಡಿ,അതിഥി മുറി
ಗಟಾರ,ഗട്ടർ
ಗಟಾರ ಹೊರುವವನು,ഗട്ടർ വഹിക്കുന്നയാൾ
ಗಟರ್ ಚೆಕ್,ഗട്ടർ പരിശോധന
ಸುತ್ತಿಗೆ ಡ್ರೆಸ್ಸಿಂಗ್,ചുറ്റിക ഡ്രസ്സിംഗ്
ಬಂದರು,തുറമുഖം
ಆಶ್ರಯ ಬಂದರು,അഭയകേന്ദ്രം
ಹಾರ್ಡ್ ಪ್ಯಾನ್,ഹാർഡ് പാൻ
ಶಿರೋಲೇಖ,തലക്കെട്ട്
ಹೆಡರ್ ಬಾಂಡ್,തലക്കെട്ട് ബോണ്ട്
ಹೆಡರ್ ಕೋರ್ಸ್,ഹെഡ്ഡർ കോഴ്സ്
ಹೆಡ್ ಗೇಟ್ ರಚನೆ,ഹെഡ് ഗേറ്റ് ഘടന
ಕಾಲುವೆಯ ಮುಖ್ಯಸ್ಥ,കനാലിന്റെ തലവൻ
ಮುಖ್ಯ ನಿಯಂತ್ರಕ,ഹെഡ് റെഗുലേറ്റർ
ಹೆರಿಂಗ್ ಮೂಳೆ ಬಂಧ,മത്തി അസ്ഥിബന്ധം
ಹಾರ್ಟಿಂಗ್,ഹൃദയം
ತೇವಗೊಳಿಸುವ ಶಾಖ,നനവിന്റെ ചൂട്
ಹೆಚ್ಚಿನ ಅಲ್ಯೂಮಿನಾ ಸಿಮೆಂಟ್,ഉയർന്ന അലുമിന സിമന്റ്
ಹಿಪ್,ഹിപ്
ಹಿಪ್ ಕ್ಯಾಪಿಂಗ್,ഹിപ് ക്യാപ്പിംഗ്
ಹಿಪ್ಡ್ ಎಂಡ್,ഇടുങ്ങിയ അറ്റം
ಹುಡ್,ഹുഡ്
ಹುಡ್ ಮೋಲ್ಡಿಂಗ್,ഹുഡ് മോൾഡിംഗ്
ಹುಕ್ ಕಾನೂನು,ഹുക്കിന്റെ നിയമം
ಹೂಪ್ ಕಬ್ಬಿಣ,വളയം ഇരുമ്പ്
ಹಾರಿಜಾನ್,ചക്രവാളം
ಆರ್ದ್ರತೆ,ഹ്യുമിഡിഫിക്കേഷൻ
"ಆರ್ದ್ರತೆ, ಸಂಪೂರ್ಣ","ഈർപ്പം, കേവല"
"ಆರ್ದ್ರತೆ, ಸಾಪೇಕ್ಷ","ഈർപ്പം, ആപേക്ഷികം"
ಹಂಪ್ ಯಾರ್ಡ್,ഹമ്പ് യാർഡ്
ಹೈಡ್ರಾಲಿಕ್ ಒತ್ತಡ,ഹൈഡ്രോളിക് മർദ്ദം
ಜಲಸಂಚಯನ,ജലാംശം
ಜಲವಿಚ್ಛೇದನ,ജലവിശ്ലേഷണം
ಹೈಡ್ರೊಲೈಟಿಕ್ ಆಮ್ಲೀಯತೆ,ഹൈഡ്രോലൈറ്റിക് അസിഡിറ്റി
ಹೈಡ್ರೋಮಾರ್ಫಿಕ್ ಮಣ್ಣು,ഹൈഡ്രോമോർഫിക് മണ്ണ്
ಹೈಡ್ರೋಫಿಲಿಕ್ ಕೊಲೊಯ್ಡ್,ഹൈഡ്രോഫിലിക് കൊളോയിഡ്
ಹೈಡ್ರೋಫೋಬಿಕ್ ಕೊಲೊಯ್ಡ್,ഹൈഡ്രോഫോബിക് കൊളോയിഡ്
ಹೈಡ್ರೋಸ್ಟಾಟಿಕ್ ಒತ್ತಡದ ಅನುಪಾತ,ഹൈഡ്രോസ്റ്റാറ്റിക് മർദ്ദം അനുപാതം
ಹೈಗ್ರೊಸ್ಕಾಪ್ಟಿಕ್ ಗುಣಾಂಕ,ഹൈഗ്രോസ്കാപ്റ്റിക് ഗുണകം
ಹೈಗ್ರೊಸ್ಕೋಪಿಕ್ ತೇವಾಂಶ,ഹൈഗ്രോസ്കോപ്പിക് ഈർപ്പം
ಹೈಡ್ರೋಸ್ಕೋಪಿಸಿಟಿ,ഹൈഡ്രോസ്കോപ്പിസിറ്റി
ಹೈಗ್ರೊಸ್ಕೋಪಿಕ್ ತೇವಾಂಶ,ഹൈഗ്രോസ്കോപ്പിക് ഈർപ്പം
ಹೈಪರ್ಬೇರಿಕ್ ಚೇಂಬರ್,ഹൈപ്പർബാറിക് ചേംബർ
ಹೈಪರ್ಸ್ಟಾಟಿಕ್ ಫ್ರೇಮ್,ഹൈപ്പർസ്റ്റാറ്റിക് ഫ്രെയിം
ಹೈಪ್ಸೋಮೀಟರ್,ഹൈപ്സോമീറ്റർ
ಇಲ್ಯುಮಿನೇಷನ್,പ്രകാശം
ಇಂಬಿಬೇಷನ್ ತೇವಾಂಶ,ഇംബിബേഷൻ ഈർപ്പം
ಬಲಿಯದ ಮಣ್ಣು,പാകമാകാത്ത മണ്ണ്
ವಶಪಡಿಸಿಕೊಂಡ ಡಾಕ್,പിടിച്ചെടുത്ത ഡോക്ക്
ಭೂ ಆದಾಯ ಹೆಚ್ಚಳ,ഭൂമിയുടെ വരുമാനം വർദ്ധിപ്പിക്കുക
ಸ್ವತಂತ್ರ ಸ್ಕ್ಯಾಫೋಲ್ಡ್,സ്വതന്ത്ര സ്കാർഫോൾഡ്
ಇಂಡರೇಟೆಡ್,ഇൻഡുറേറ്റഡ്
ಆರಂಭಿಕ ಪ್ರಿಸ್ಟ್ರೆಸ್,പ്രാരംഭ പ്രിസ്ട്രെസ്
ಆರಂಭಿಕ ಒತ್ತಡ,പ്രാരംഭ ടെൻഷൻ
ಒಳನಾಡಿನ ಜಲಮಾರ್ಗ ಬಂದರು,ഉൾനാടൻ ജലപാത തുറമുഖം
ಇನ್ಸುಲೇಟಿಂಗ್ ಬೋರ್ಡ್,ഇൻസുലേറ്റിംഗ് ബോർഡ്
ಮಧ್ಯಂತರ ಬಂದರು,ഇന്റർമീഡിയറ്റ് പോർട്ട്
ಆಂತರಿಕ ಘರ್ಷಣೆ,ആന്തരിക ഘർഷണം
ಇಂಟ್ರಾಜೋನಲ್ ಮಣ್ಣು,ഇൻട്രാസോണൽ മണ്ണ്
ಅಯಾನು,അയോൺ
ಅಯಾನು ವಿನಿಮಯ,അയോൺ എക്സ്ചേഞ്ച്
ಕಬ್ಬಿಣದ ಪ್ಯಾನ್,ഇരുമ്പ് പാൻ
ನೀರಾವರಿ ಭೂಮಿ,ജലസേചന ഭൂമി
ನೀರಾವರಿ,ജലസേചനം
ನೀರಾವರಿ ಸೆಸ್,ജലസേചന സെസ്
ಜಾಂಬ್,ജാംബ്
ಜೋಗಲ್,ജോഗിൾ
ಜೋಗಲ್ ಪಿನ್,ജോഗിൾ പിൻ
ಜೂಲ್,ജൂൾ
ಜಂಪರ್,ജമ്പർ
ಕಿಲೋಗ್ರಾಂ,കിലോഗ്രാം
ಕಿಲೋಗ್ರಾಂ ಬಲ,കിലോഗ്രാം ശക്തി
ಕಿಲೋಗ್ರಾಂ ಫೋರ್ಸ್ ಮೀಟರ್,കിലോഗ്രാം ഫോഴ്സ് മീറ്റർ
ಕಿಲೋವ್ಯಾಟ್ ಗಂಟೆ,കിലോവാട്ട് മണിക്കൂർ
ಕಿಂಗ್ ಮುಚ್ಚುವಿಕೆ,രാജാവ് അടച്ചുപൂട്ടൽ
ಅಡಿಗೆ,അടുക്കള
ಲೇಸ್ಡ್ ಕಾಲಮ್,ലേസ്ഡ് കോളം
ಹಿಂದುಳಿದಿದೆ,ലാഗിംഗ്
ಲ್ಯಾಮೆಲ್ಲಾ ರೂಟ್,ലാമെല്ല റൂട്ട്
ಲ್ಯಾಮಿನಾರ್ ಹರಿವು,ലാമിനാർ ഒഴുക്ക്
ದೀಪದ ರಂಧ್ರ,വിളക്ക് ദ്വാരം
ಭೂಮಿ ಸಂಚಯ,ഭൂമി ശേഖരിക്കൽ
ಲ್ಯಾಂಡ್ ಸ್ಲೈಡಿಂಗ್,ലാൻഡ് സ്ലൈഡിംഗ്
ಲ್ಯಾಟರೈಟ್,ലാറ്ററൈറ്റ്
ಲ್ಯಾಟರೈಟ್ ಮಣ್ಣು,ലാറ്ററൈറ്റ് മണ്ണ്
ದೊಡ್ಡ ಸಂಖ್ಯೆಗಳ ಕಾನೂನು,വലിയ സംഖ്യകളുടെ നിയമം
ಲೇಔಟ್ ಯೋಜನೆ,ലേഔട്ട് പ്ലാൻ
ಖಾತಾ ಪುಸ್ತಕ,ലെഡ്ജർ
ಸುಣ್ಣದ ಪ್ಯಾನ್,നാരങ്ങ പാൻ
ಲಿಂಟೆಲ್,ലിന്റൽ
ದ್ರವ ಮಿತಿ,ദ്രാവക പരിധി
ಲೈವ್ ಲೋಡ್,ലൈവ് ലോഡ്
ಲೋಮ್,പശിമരാശി
ಸ್ಥಳೀಯ ನಿಷ್ಕಾಸ ವಾತಾಯನ,പ്രാദേശിക എക്‌സ്‌ഹോസ്റ്റ് വെന്റിലേഷൻ
ಲೋಕೋ ಅಂಗಳ,ലോക്കോ യാർഡ്
ಲೋಸ್,ലോസ്
ಕಡಿಮೆ ಪ್ಲಾಸ್ಟಿಕ್ ಮಿತಿ,കുറഞ്ഞ പ്ലാസ്റ്റിക് പരിധി
ಕಡಿಮೆ ಶಾಖ ಸಿಮೆಂಟ್,കുറഞ്ഞ ചൂട് സിമന്റ്
ಯಂತ್ರ ಮೋಲ್ಡಿಂಗ್,മെഷീൻ മോൾഡിംഗ്
ಮ್ಯಾಕ್ರೋಸ್ಟ್ರಕ್ಚರ್,മാക്രോസ്ട്രക്ചർ
ಮುಖ್ಯ ನಿಯಂತ್ರಕ,പ്രധാന ഹെഡ് റെഗുലേറ്റർ
ಮುಖ್ಯ ಬಂದರು,പ്രധാന തുറമുഖം
ಮೇಕಪ್ ಗಾಳಿ,മേക്കപ്പ് എയർ
ಮನ್ಸಾರ್ಡ್,മാൻസാർഡ്
ಮಾರ್ಷಲಿಂಗ್ ಯಾರ್ಡ್,മാർഷലിംഗ് യാർഡ്
ಕಲ್ಲುಗಾರಿಕೆ,കൊത്തുപണി
ಪಕ್ವವಾಗುತ್ತಿರುವ ತಾಪಮಾನ,പക്വത താപനില
ಮೆಜ್ಜನೈನ್ ಮಹಡಿ,മെസാനൈൻ തറ
ಯಾಂತ್ರಿಕ ವಿಶ್ಲೇಷಣೆ,മെക്കാനിക്കൽ വിശകലനം
ಯಾಂತ್ರಿಕ ವಾತಾಯನ,മെക്കാനിക്കൽ വെന്റിലേഷൻ
ಮೆಟ್ರಿಕ್ ಪದ್ಧತಿ,മെട്രിക് സിസ്റ്റം
ಸೂಕ್ಷ್ಮ ರಚನೆ,മൈക്രോസ്ട്രക്ചർ
ಮಿಲಿ ಸಮಾನ,മില്ലി തുല്യം
ಪ್ರತಿ ಲೀಟರ್‌ಗೆ ಮಿಲಿ ಸಮಾನ,ഒരു ലിറ്ററിന് തുല്യമായ മില്ലി
ಖನಿಜ,ധാതു
ಖನಿಜ ಮಣ್ಣು,ധാതു മണ്ണ്
ಚಿಕ್ಕ ಬಂದರು,ചെറിയ തുറമുഖം
ಮಿಟ್ರೆಡ್ ಮುಚ್ಚುವಿಕೆ,മിട്രഡ് ക്ലോഷർ
ಮೊಬೈಲ್ ಮಣ್ಣಿನ ಕೊಲೊಯ್ಡ್,മൊബൈൽ മണ്ണ് കൊളോയിഡ്
ತೇವಾಂಶ,ഈർപ്പത്തിന്റെ ഉള്ളടക്കം
ತೇವಾಂಶ ಗ್ರೇಡಿಯಂಟ್,ഈർപ്പം ഗ്രേഡിയന്റ്
ಏಕಶಿಲೆ,മോണോലിത്ത്
ಮೊನೊರೈಲ್,മോണോറെയിൽ
ರಾಷ್ಟ್ರೀಯ ಬಂದರು ಮಂಡಳಿ,നാഷണൽ ഹാർബർ കൗൺസിൽ
ನೈಸರ್ಗಿಕ ಹಾಸಿಗೆ,സ്വാഭാവിക കിടക്ക
ನೈಸರ್ಗಿಕ ಮುಕ್ತಾಯ,സ്വാഭാവിക ഫിനിഷ്
ನೈಸರ್ಗಿಕ ಬಂದರು,സ്വാഭാവിക തുറമുഖം
ನೈಸರ್ಗಿಕ ವಾತಾಯನ,സ്വാഭാവിക വെന്റിലേഷൻ
ನೌಕಾ ಬಂದರು,നാവിക തുറമുഖം
ನ್ಯೂಟನ್,ന്യൂട്ടൺ
ಏಕರೂಪವಲ್ಲದ ಹರಿವು,ഏകീകൃതമല്ലാത്ത ഒഴുക്ക്
ನೀರಿನ ದರವನ್ನು ಆಕ್ರಮಿಸುತ್ತದೆ,ജലനിരക്ക് ഉൾക്കൊള്ളുന്നു
ಎಣ್ಣೆ ಬಣ್ಣ,ഓയിൽ പെയിന്റ്
ತೈಲ ಬಾವಿ ಸಿಮೆಂಟ್,എണ്ണ കിണർ സിമന്റ്
ಚಾನಲ್ ಹರಿವನ್ನು ತೆರೆಯಿರಿ,ചാനൽ ഫ്ലോ തുറക്കുക
ಆಪ್ಟಿಮಮ್ ಆರ್ದ್ರತೆ,ഒപ്റ്റിമൽ ഈർപ്പം
ಸಾವಯವ ಮಣ್ಣು,ജൈവ മണ്ണ്
ದೃಷ್ಟಿಕೋನ,ഓറിയന്റേഷൻ
ಆರ್ಥೋಗೋನಲ್,ഓർത്തോഗണൽ
ಒರ್ಟ್ಸ್ಟೈನ್,ഒർട്ട്സ്റ്റീൻ
ಬಾಹ್ಯ ಸಂಕೇತ,ബാഹ്യ സിഗ്നൽ
ಆಕ್ಸಿಡೀಕರಣ,ഓക്സിഡേഷൻ
ಪ್ಯಾಂಟ್ರಿ,കലവറ
ಪ್ಯಾರಪೆಟ್,പാരപെറ്റ്
ಪ್ಯಾರಪೆಟ್ ಗೋಡೆ,പാരപെറ്റ് മതിൽ
ಮೂಲ ವಸ್ತು,പാരന്റ് മെറ്റീരിയൽ
ಬೆಣಚುಕಲ್ಲು ಎರಕಹೊಯ್ದ ಪ್ಲಾಸ್ಟರ್,പെബിൾ കാസ്റ്റ് പ്ലാസ്റ്റർ
ಪೆಡಲ್ಫರ್,പെഡൽഫർ
ಪೆಡೋಕಲ್,പെഡോക്കൽ
ಪೆಡೋಜೆನೆಸಿಸ್,പെഡോജെനിസിസ്
ಪೆಡೋಲಜಿ,പെഡോളജി
ಪೀಡೋಸ್ಪಿಯರ್,പെഡോസ്ഫിയർ
ಪೆನೆಟ್ರೋಮೀಟರ್,പെനെട്രോമീറ്റർ
ಪೆಂಟ್ ಛಾವಣಿ,പെന്റ് മേൽക്കൂര
ಪೆಪ್ಟೈಸಿಂಗ್ ಏಜೆಂಟ್,പെപ്റ്റിസിംഗ് ഏജന്റ്
ವಿಶ್ಲೇಷಣೆಯ ಅವಧಿ,വിശകലന കാലയളവ്
ಪರ್ಪೆಂಡ್,പെർപെൻഡ്
ಪರ್ಸರ್ಪ್ಶನ್,പെർസോർപ്ഷൻ
ಪಿಯರ್,പിയർ
ಪಿಲಾಸ್ಟರ್,പിലാസ്റ്റർ
ಪಿಚ್,പിച്ച്
ಪಿಚ್ ಛಾವಣಿ,പിച്ചിട്ട മേൽക്കൂര
ಸರಳ ಕಾಂಕ್ರೀಟ್,പ്ലെയിൻ കോൺക്രീറ്റ്
ಪ್ಲೇನ್ ಕೋನ,തലം ആംഗിൾ
ಬಯಲು ಅಂಗಳ,സമതല മുറ്റം
ಪ್ಲಾನ್ಸೋಲ್,പ്ലാൻസോൾ
ಪ್ಲಾಸ್ಟಿಕ್ ಸ್ಥಿರತೆ,പ്ലാസ്റ്റിക് സ്ഥിരത
ಪ್ಲಾಸ್ಟಿಟಿ,പ്ലാസ്റ്റിറ്റി
ಪ್ಲಾಸ್ಟಿಟಿ ಸೂಚ್ಯಂಕ,പ്ലാസ്റ്റിറ്റി സൂചിക
ಪ್ಲಾಸ್ಟಿಸಿಟಿ ಮಿತಿ,പ്ലാസ്റ്റിറ്റി പരിധി
ಪ್ಲಾಸ್ಟಿಸಿಟಿ ಶ್ರೇಣಿ,പ്ലാസ്റ്റിറ്റി ശ്രേണി
ಪ್ಲಾಟಿ ರಚನೆ,പ്ലാറ്റി ഘടന
ಸ್ತಂಭ,സ്തംഭം
