Punjabi,Bengali
ਕੋਡਿੰਗ ਡੀਕੋਡਿੰਗ ਤਕਨੀਕ,কোডিং ডিকোডিং কৌশল
ਕੋਡਿੰਗ ਗਲਤੀ,কোডিং ত্রুটি
ਕੋਡਿੰਗ ਰੇਟ,কোডিং হার
ਕੋਡਿੰਗ ਤਕਨੀਕ,কোডিং কৌশল
ਕੁਸ਼ਲ,গুণাঙ্ক
ਿਵਕਾਰ,জবরদস্তি
ਇਕਸਾਰ ਸੰਜੋਗ,সুসংগত মড্যুলেশন
ਤਾਰ,কয়েল
ਸਹਿਕਾਰਤਾ,সহযোগিতা
Collapse ਹਿਣ,ধসে
ਕੁਲੈਕਟਰ,সংগ্রাহক
ਕੁਲੈਕਟਰ ਮੌਜੂਦਾ,সংগ্রাহক বর্তমান
ਅਧਾਰਿਤ ਚਾਲ ਨੂੰ ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,বেস কন্ডাক্টেন্সে সংগ্রাহক
ਕੁਲੈਕਟਰ-ਬੇਸ ਜੰਕਸ਼ਨ,সংগ্রাহক-বেস জংশন
ਰੰਗ,রঙ
ਰੰਗ ਵਿਸ਼ਲੇਸ਼ਕ,রঙ বিশ্লেষক
ਰੰਗ ਸੰਤੁਲਨ,রঙ ভারসাম্য
ਰੰਗ ਬਰਸਟ,রঙ ফেটে
ਰੰਗ ਚਾਰਟ,রঙ চার্ট
ਰੰਗ ਸੰਜਮ,রঙ সংমিশ্রণ
ਰੰਗ ਸਥਿਰ,রঙ ধ্রুবক
ਰੰਗ ਨਿਯੰਤਰਣ (ਕ੍ਰੋਮ ਨਿਯੰਤਰਣ),রঙ নিয়ন্ত্রণ (ক্রোম নিয়ন্ত্রণ)
ਰੰਗ ਡੂੰਘਾਈ,রঙ গভীরতা
ਰੰਗ ਥਕਾਵਟ,রঙ ক্লান্তি
ਰੰਗ ਫਿਲਟਰ,রঙ ফিল্টার
ਰੰਗ ਕਿੱਲਰ ਸਰਕਟ,রঙিন কিলার সার্কিট
ਰੰਗ ਰਿਸ਼ਤੇਦਾਰ,রঙিন কাইনেসপ
ਰੰਗ ਮਿਕਸਰ,রঙ মিশ্রণ
ਰੰਗ ਪੈਟਰਨ,রঙিন প্যাটার্ন
ਰੰਗ ਧਾਰਨਾ,রঙ উপলব্ধি
ਰੰਗ ਤਸਵੀਰ ਸਕਰੀਨ,রঙিন চিত্রের স্ক্রিন
ਰੰਗ ਸਪੇਸ,রঙ স্থান
ਰੰਗ ਉਪ-ਸਮੂਹ,রঙ সাবকারিয়ার
ਰੰਗ ਦਾ ਤਾਪਮਾਨ,রঙের তাপমাত্রা
ਰੰਗ ਸੰਚਾਰ,রঙ সংক্রমণ
ਰੰਗ ਟਿ .ਬ,রঙ টিউব
ਰੰਗਤ,রঙিন
ਰੰਗਹੀਣ,বর্ণহীন
ਸੁਮੇਲ,সংমিশ্রণ
ਕੰਫਾਈਨਰ,কম্বাইনার
ਸੰਚਾਲਨ ਦੀ ਪ੍ਰਕਿਰਿਆ,সংমিশ্রণ প্রক্রিয়া
ਜਲਣ,দহন
ਕਮਾਂਡ,কমান্ড
ਸ਼ੁਰੂ,শুরু
ਵਪਾਰਕ ਪ੍ਰਸਾਰਣ,বাণিজ্যিক সম্প্রচার
ਵਪਾਰਕ ਟੈਲੀਵਿਜ਼ਨ,বাণিজ্যিক টেলিভিশন
ਆਮ ਕੁਲੈਕਟਰ ਸਰਕਟ,সাধারণ সংগ্রাহক সার্কিট
ਸੰਚਾਰ,যোগাযোগ
ਸੰਚਾਰ ਸੈਟੇਲਾਈਟ,যোগাযোগ স্যাটেলাইট
ਕਮਿ Community ਨਿਟੀ ਰੇਡੀਓ ਕੇਂਦਰ,সম্প্রদায় রেডিও কেন্দ্র
ਕਮਿ Community ਨਿਟੀ ਰੇਡੀਓ ਸਟੇਸ਼ਨ,সম্প্রদায় রেডিও স্টেশন
ਕੌਮਪੈਕਟ ਡਿਸਕ (ਸੀਡੀ),কমপ্যাক্ট ডিস্ক (সিডি)
ਕੌਮਪੈਕਟ ਡਿਸਕ ਪਲੇਅਰ,কমপ্যাক্ট ডিস্ক প্লেয়ার
ਰਚਨਾ,সামরিক
ਰਚਨਾ,তুলনা করা
ਅਨੁਕੂਲਤਾ,সামঞ্জস্যতা
ਅਨੁਕੂਲ,উপযুক্ত
ਕੰਪਾਈਲਰ,সংকলক
ਪੂਰਕ,পরিপূরক
ਪੂਰਕ ਟ੍ਰਾਂਸਟੋਰ,পরিপূরক ট্রানজিস্টর
ਗੁੰਝਲਦਾਰ ਵੇਵ,জটিল তরঙ্গ
ਭਾਗ,উপাদান
ਕੰਪੋਜ਼ਿਟ,সংমিশ্রণ
ਮਿਸ਼ਰਿਤ ਸਰਕਟ,যৌগিক সার্কিট
ਮਿਸ਼ਰਿਤ ਡਿਜੀਟਲ,যৌগিক ডিজিটাল
ਕੰਪੋਜ਼ਿਟ ਰੇਡੀਓ ਬਾਰੰਬਾਰਤਾ ਸੰਕੇਤ,যৌগিক রেডিও ফ্রিকোয়েন্সি সিগন্যাল
ਕੰਪੋਜ਼ਿਟ ਸਿਗਨਲ,যৌগিক সংকেত
ਕੰਪੋਜ਼ਿਟ ਵੀਡੀਓ,যৌগিক ভিডিও
ਕੰਪੋਜ਼ਿਟ ਵੀਡੀਓ ਸਿਗਨਲ,যৌগিক ভিডিও সংকেত
ਰਚਨਾ,গঠন
ਸੰਕੁਚਿਤ ਡੇਟਾ,সংকুচিত ডেটা
ਸੰਕੁਚਿਤ ਡਿਜੀਟਾਈਜ਼ਡ ਵੀਡੀਓ,সংকুচিত ডিজিটাইজড ভিডিও
ਸੰਕੁਚਿਤ ਵੀਡੀਓ,সংকুচিত ভিডিও
ਸੰਕੁਚਨ,সঙ্কোচন
ਕੰਪਰੈੱਸ ਆਰਟੀਫੈਕਟ,সংক্ষেপণ শিল্পকর্ম
ਕੰਪਰੈੱਸ ਖ਼ਤਰੇ,সংকোচনের ঝুঁকি
ਸੰਕੁਚਨ ਤਕਨੀਕ,সংক্ষেপণ কৌশল
ਕੰਪ੍ਰੈਸਰ,সংক্ষেপক
ਗਣਨਾ,গণনা
ਕੰਪਿ computer ਟਰ,কম্পিউটার
ਕੰਪਿ computer ਟਰ ਅਧਾਰਤ ਮਲਟੀਮੀਡੀਆ,কম্পিউটার ভিত্তিক মাল্টিমিডিয়া
ਕੰਪਿ computer ਟਰ ਪ੍ਰੋਗਰਾਮਿੰਗ,কম্পিউটার প্রোগ্রামিং
ਕੰਪਿ computer ਟਰ ਤਕਨਾਲੋਜੀ,কম্পিউটার প্রযুক্তি
ਕਨਸੈਵ ਲੈਂਜ਼,অবতল লেন্স
ਮਾਹੌਲ,অবতল আয়না
ਛੁਪਾਓ,গোপন
ਕੇਂਦਰਿਤ,কেন্দ্রীভূত
ਧਿਆਨ ਟਿਕਾਉਣਾ,একাগ্রতা
ਦਿਮਾਗੀ ਲੈਂਜ਼,কেন্দ্রীভূত লেন্স
ਕੰਡੈਂਸਰ ਮਾਈਕ੍ਰੋਫੋਨ,কনডেনসার মাইক্রোফোন
ਸੰਤੁਲਨ ਦੀ ਸਥਿਤੀ,ভারসাম্য শর্ত
ਸੰਚਾਲਨ,চালনা
ਚਾਲਾਂ ਦਾ ਮੌਜੂਦਾ,পরিবাহিতা বর্তমান
ਚਾਲਕਤਾ,পরিবাহিতা
ਕੰਡਕਟਰ,কন্ডাক্টর
ਕੌਨਫਿਗਰੇਸ਼ਨ,কনফিগারেশন
ਕੁਨੈਕਸ਼ਨ,সংযোগ
ਕਨੈਕਟੀਵਿਟੀ,সংযোগ
ਕੁਨੈਕਟਰ,সংযোগকারী
ਇਕਸਾਰਤਾ,ধারাবাহিকতা
ਨਿਰੰਤਰ,ধারাবাহিকভাবে
ਕੰਸੋਲ,কনসোল
ਨਿਰੰਤਰ,ধ্রুবক
ਨਿਰੰਤਰ ਐਪਲੀਟਿ .ਡ,ধ্রুবক প্রশস্ততা
ਮਾਈਕ੍ਰੋਫੋਨ ਨਾਲ ਸੰਪਰਕ ਕਰੋ,মাইক্রোফোনের সাথে যোগাযোগ করুন
ਕੰਟੇਨਰ ਫਾਰਮੈਟ,ধারক ফর্ম্যাট
ਗੰਦਗੀ,দূষণ
ਸਮੱਗਰੀ,বিষয়বস্তু
ਸੰਖੇਪ,সংলগ্ন
ਨਿਰੰਤਰਤਾ,ধারাবাহিকতা
ਨਿਰੰਤਰਤਾ ਬੂਥ,ধারাবাহিকতা বুথ
ਨਿਰੰਤਰਤਾ ਨੋਬ,ধারাবাহিকতা গিঁট
ਨਿਰੰਤਰ,একটানা
ਨਿਰੰਤਰ ਚਾਪ,অবিচ্ছিন্ন চাপ
ਨਿਰੰਤਰ ਵੇਵ,অবিচ্ছিন্ন তরঙ্গ
ਕੋਠੇ ਦੀ ਲਾਈਨ,কনট্যুর লাইন
ਕੁੱਲ ਯੋਜਨਾ,কনট্যুর পরিকল্পনা
ਇਕਰਾਰਨਾਮਾ,চুক্তি
ਸੁੰਗੜਨ,সংকোচন
ਇਸ ਦੇ ਉਲਟ ਅਨੁਪਾਤ,বৈপরীত্য অনুপাত
ਕੰਟਰੋਲ ਸਰਕਟ,নিয়ন্ত্রণ বর্তনী
ਇਲੈਕਟ੍ਰੋਡ ਕੰਟਰੋਲ ਕਰੋ,বৈদ্যুতিন নিয়ন্ত্রণ করুন
ਕੰਟਰੋਲ ਉਪਕਰਣ,নিয়ন্ত্রণ সরঞ্জাম
ਕੰਟਰੋਲ ਗਰਿੱਡ,গ্রিড নিয়ন্ত্রণ করুন
ਕੰਟਰੋਲ ਲਾਈਨ,নিয়ন্ত্রণ লাইন
ਕਨ੍ਟ੍ਰੋਲ ਪੈਨਲ,নিয়ন্ত্রণ প্যানেল
ਕੰਟਰੋਲ ਰੂਮ,নিয়ন্ত্রণ কক্ষ
ਕੰਟਰੋਲ ਟੇਬਲ,নিয়ন্ত্রণ টেবিল
ਕੰਟਰੋਲ ਟਾਵਰ,নিয়ন্ত্রণ টাওয়ার
ਕੰਟਰੋਲਰ,নিয়ামক
ਪਰਿਵਰਤਨ,রূপান্তর
ਕੰਵਰਜੈਂਟ ਲੈਂਜ਼,কনভারজেন্ট লেন্স
ਕਨਵਰਟਰ,রূপান্তরকারী
ਕਨਵੈਕਸ ਲੈਂਜ਼,উত্তল লেন্স
ਕਨਵੋਲਕ,সমঝোতা
ਕਨਵੀਸ਼ਨ ਕੋਡਡ,কনভোলিউশন কোডড
ਪੱਕਾ ਇੰਟਰਲੇਵ,কনভোলিউশনাল ইন্টারলিভ
ਪੱਕਾ ਇੰਟਰਲੇਵਿੰਗ,কনভোলিউশনাল ইন্টারলিভিং
ਕੂਕੀ,কুকি
ਕੂਕੀਅਰ,কুকিয়ার
ਕੋਪ੍ਰੋਸੈਸਰ,Coprocessor
ਰੱਸੀ,কর্ড
ਕੋਰੋਨਾ,করোনা
ਕੋਰੋਨਾ ਡਿਸਚਾਰਜ,করোনার স্রাব
ਇਕ ਦੂਸਰੇ ਨਾਲ ਸੰਬੰਧ,পারস্পরিক সম্পর্ক
ਕੋਸਾਈਨ ਭਾਗ,কোসাইন উপাদান
ਕੋਸਾਈਨ ਵੇਵ,কোসাইন ওয়েভ
ਬ੍ਰਹਿਮੰਡੀ ਸ਼ੋਰ,মহাজাগতিক শব্দ
ਕਾ counter ਂਟਰ,কাউন্টার
ਕਾਉਂਟਰ ਕਲਾਕਵਾਈਸ,ঘড়ির কাঁটার বিপরীতে
ਕਪਲਰ,কাপলার
ਜੋੜੀ,কাপলিং
ਕਪਲਿੰਗ ਕੰਡੇਲੈਨਜ਼ਰ,কাপলিং কনডেনসার
ਜੋੜਣ ਵਾਲਾ ਨੈਟਵਰਕ,কাপলিং নেটওয়ার্ক
ਜੋੜਣ ਦਾ ਵਿਰੋਧ,কাপলিং প্রতিরোধের
ਸਹਿਕਾਰਤਾ,সমযোজী বন্ধন
ਕਵਰੇਜ,কভারেজ
ਕਰੈਸ਼,ক্র্যাশ
ਆਲੋਚਨਾਤਮਕ ਬੈਂਡ,সমালোচনামূলক ব্যান্ড
ਗੰਭੀਰ ਸਥਿਤੀ,গুরুতর অবস্থায়
ਨਾਜ਼ੁਕ,সমালোচনামূলক কাপলিং
ਨਾਜ਼ੁਕ ਬਾਰੰਬਾਰਤਾ,সমালোচনামূলক ফ্রিকোয়েন্সি
ਆਲੋਚਨਾਤਮਕ ਪੈਰਾਮੀਟਰ,সমালোচনামূলক প্যারামিটার
ਮਗਰਮੱਛ ਕਲਿੱਪ,কুমির ক্লিপ
ਕਰਾਸ ਫੇਡਿੰਗ,ক্রস বিবর্ণ
ਕਰਾਸ ਮੈਨੂਲੇਸ਼ਨ,ক্রস মড্যুলেশন
ਕਰਾਸ ਟਾਕ,ক্রস টক
ਕਰਾਸਫੈਡ,ক্রসফ্যাড
ਕ੍ਰਿਪਟੋਗ੍ਰਾਫੀ,ক্রিপ্টোগ্রাফি
ਕ੍ਰਿਸਟਲ,স্ফটিক
ਕ੍ਰਿਸਟਲ ਫਿਲਟਰ,স্ফটিক ফিল্টার
Cue,কিউ
ਕਿ ue ਦੇ ਨਿਸ਼ਾਨ,কিউ চিহ্ন
ਕਯੂਅਰ ਡਿਵਾਈਸ,কিউইং ডিভাইস
ਮੌਜੂਦਾ ਡਰੇਨ,বর্তমান ড্রেন
ਮੌਜੂਦਾ ਮੀਟਰ,বর্তমান মিটার
ਮੌਜੂਦਾ ਟਰਾਂਸਫਾਰਮਰ,বর্তমান ট্রান্সফরমার
ਕਰਸਰ,কার্সার
ਕਰਵ,বক্ররেখা
ਬਾਰੰਬਾਰਤਾ ਨੂੰ ਕੱਟੋ,ফ্রিকোয়েন্সি কেটে ফেলুন
ਕਟਰ,কাটার
ਸਾਈਬਰ ਕੈਫੇ,সাইবার ক্যাফে
ਸਾਈਬਰ ਸੁਰੱਖਿਆ,সাইবার নিরাপত্তা
ਸਾਈਬਰ ਸਪੇਸ,সাইবার স্পেস
ਚੱਕਰ,সাইকেল
ਚੱਕਰਵਾਤ,চক্রীয়
D.C. ਭਾਗ,ডিসি উপাদান
D.C. ਪਲੇਟ ਪਾਵਰ,ডিসি প্লেট পাওয়ার
D.C. ਬਹਾਲੀ,ডিসি পুন: প্রতিষ্ঠা
ਡੈਂਪਰ ਡਾਈਵਰ,ড্যাম্পার ডায়োড
ਗਿੱਲੇ,স্যাঁতসেঁতে
ਹਨੇਰ,অন্ধকার
ਡਾਟਾ,ডেটা
ਡਾਟਾ ਪ੍ਰਸਾਰਣ,ডেটা সম্প্রচার
ਡਾਟਾ ਸੰਕੁਚਨ,তথ্য সংকোচন
ਡਾਟਾ ਡ੍ਰਿਲਿੰਗ,ডেটা ড্রিলিং
ਡਾਟਾ ਇਨਕ੍ਰਿਪਸ਼ਨ,তথ্য এনক্রিপশন
ਡਾਟਾ ਫਾਈਲ,আমার স্নাতকের
ਡਾਟਾ ਹੈਂਡਲਿੰਗ,ডেটা হ্যান্ডলিং
ਡਾਟਾ ਮਾਈਨਿੰਗ,ডেটা মাইনিং
ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,তথ্য প্রক্রিয়াজাতকরণ
ਡਾਟਾ ਪ੍ਰੋਸੈਸਰ,ডাটা প্রসেসর
ਡਾਟਾ ਘਟੀਆ ਸਿਸਟਮ,ডেটা হ্রাস বিট সিস্টেম
ਡਾਟਾ ਸੇਵਾ,তথ্য সেবা
ਡਾਟਾ ਸ਼ੀਟ,তথ্য তালিকা
ਡਾਟਾ ਸਟੋਰੇਜ,তথ্য ভান্ডার
ਡਾਟਾ ਸਟ੍ਰੀਮ,তথ্য প্রবাহ
ਡਾਟਾ ਤਬਦੀਲੀ,ডেটা রূপান্তর
ਡਾਟਾ ਸੰਚਾਰ,ডেটা ট্রান্সমিশন
ਡਾਟਾਬੇਸ,তথ্যশালা
ਡੈਟਾਕਾਸਟਿੰਗ,ডেটাকাস্টিং
ਡਾਟਾਗ੍ਰਾਮ,ডেটাগ্রাম
ਡੀ ਬੀ ਮੀਟਰ,ডিবি মিটার
ਮਰੇ ਹਵਾ,মৃত বায়ু
ਮਰੇ ਸ਼ੌਰਟ ਸਰਕਟ,মৃত শর্ট সার্কিট
ਮਰੇ ਹੋਏ ਸਥਾਨ,ডেড স্পট
ਡੈੱਡਲਾਕ,অচলাবস্থা
ਡੀਬੱਗ ਪ੍ਰੋਗਰਾਮ,ডিবাগ প্রোগ্রাম
ਡੀਬੱਗਿੰਗ,ডিবাগিং
ਆਵਾਜ਼ ਦਾ ਵਿਗਾੜ,শব্দ ক্ষয়
ਡੈਸੀਬੈਲ (ਡੀ ਬੀ),ডেসিবেল (ডিবি)
ਦਸ਼ਮਲਵ,দশমিক
ਦਸ਼ਮਲਵ ਕੋਡ,দশমিক কোড
ਦਸ਼ਮਲਵ ਅੰਕ,দশমিক অঙ্ক
ਸਮਝਦਾਰੀ,ডেসিফারিং
ਡੀਕੋਡਰ,ডিকোডার
ਡੀਕੋਡਿੰਗ,ডিকোডিং
ਡਿਜੀਟਲ ਟ੍ਰਾਂਸਮਿਸ਼ਨ ਵਿੱਚ ਡੀਕੋਡਿੰਗ,ডিজিটাল সংক্রমণে ডিকোডিং
ਕੰਪੋਪ੍ਰੈਸ਼ਨ,ডিকম্প্রেশন
ਬਰਖਾਸਤ ਕਰਨਾ,ডিকোপলিং
ਸਰਕਟ ਨੂੰ ਘਟਾਉਣਾ,ডিকোপলিং সার্কিট
ਨੈੱਟਵਰਕ ਨੂੰ ਘਟਾਓ,ডিকোপলিং নেটওয়ার্ক
ਡਿਕ੍ਰਿਪਸ਼ਨ,ডিক্রিপশন
ਸਮਰਪਿਤ ਲਾਈਨ,ডেডিকেটেড লাইন
ਡੀ-ਏਮਬਿੰਗ,ডি-এমবেডিং
ਡੀ-ਜ਼ੋਰ,ডি-জোর
ਮੂਲ,ডিফল্ট
ਗੁਣਵੱਤਾ ਵਿੱਚ ਨੁਕਸ,গুণমান ত্রুটি
ਨੁਕਸਦਾਰ,ত্রুটিযুক্ত
ਨੁਕਸ ਇਕਾਈ,ত্রুটিযুক্ত ইউনিট
ਪਰਿਭਾਸ਼ਾ,সংজ্ঞা
ਘਟੀ,ডিফ্লেশন
ਵਿਗਾੜਨਾ,বিকৃতি
ਡੀਫ੍ਰੇਸ਼ਨੇਸ਼ਨ,ডিফ্র্যাগমেন্টেশন
ਡੀ-ਮੈਨਿੰਗ ਕੋਇਲ,ডি-গাউসিং কয়েল
ਡਿਗਰੀ,ডিগ্রি
ਡੀ-ਇੰਟਰਲੇਵਰ,ডি-ইন্টারলিভার
ਦੇਰੀ ਲਾਈਨ,বিলম্ব লাইন
ਦੇਰੀ ਦਾ ਸਮਾਂ,বিলম্ব সময়
ਫਰੇਮ ਮੈਮੋਰੀ ਦੇਰੀ ਨਾਲ,বিলম্বিত ফ্রেম মেমরি
ਦੇਰੀ ਸਕੈਨਿੰਗ,বিলম্বিত স্ক্যানিং
ਦੇਰੀ ਨਾਲ ਸਿੰਕ੍ਰੋਨਾਈਜ਼ੇਸ਼ਨ ਸਿਗਨਲ,বিলম্বিত সিঙ্ক্রোনাইজেশন সংকেত
ਡਿਲਿਵਰੀ,বিতরণ
ਡਿਲਿਵਰੀ ਸਿਸਟਮ,বিতরণ ব্যবস্থাপনা
ਮੁਆਵਜ਼ਾ,ডিমোডুলেশন
ਡੈਮੋੂਲੇਟਰ ਕਾਰਡ,ডেমোডুলেটর কার্ড
ਡੈਮਟਲਿਪਰ,ডেমাল্টিপ্লেক্সার
ਫੀਲਡ ਦੀ ਡੂੰਘਾਈ,মাঠের গভীরতা
ਉਤਰਦਾ,অবতরণ
ਡਿਜ਼ਾਇਨ ਨਿਰਧਾਰਨ,নকশার সবিস্তার বিবরণী
ਡੈਸਕਟਾਪ,ডেস্কটপ
ਡਿਟੈਕਟਰ ਆਉਟਪੁੱਟ,ডিটেক্টর আউটপুট
ਭਟਕਣਾ,বিচ্যুতি
ਜੰਤਰ,যন্ত্র
ਡਿਵਾਈਸ ਡਰਾਈਵਰ,ডিভাইস ড্রাইভার
ਨਿਦਾਨ,কারণ নির্ণয়
ਚਿੱਤਰ,চিত্র
ਵਾਰਤਾਲਾਪ ਟਰੈਕ,ডায়ালগ ট্র্যাক
ਡੁਬਨੇਲ ਮੋਡ,ব্যাস মোড
ਡਾਇਮੰਡ ਸਟਾਈਲਸ,ডায়মন্ড স্টাইলাস
ਡਾਇਆਫ੍ਰਾਮ,ডায়াফ্রাম
ਡੁਫਰਾਗਮੇਟਿਕ ਜਜ਼ਬ,ডায়াফ্রাম্যাটিক শোষণকারী
ਡਿਚੋਟਿਕ ਸੁਣਨਾ,ডাইচোটিক শ্রবণ
ਡਾਈਡੈਕਟਿਕ,ডাইলেট্রিক
ਡਾਈਡੈਕਟ੍ਰਿਕ ਟੁੱਟਣਾ,ডাইলেট্রিক ব্রেক- ডাউন
ਡਾਈਡੈਕਟ੍ਰਿਕ ਨੁਕਸਾਨ,ডাইলেট্রিক ক্ষতি
ਅੰਤਰ ਦੀ ਬਾਰੰਬਾਰਤਾ,পার্থক্য ফ্রিকোয়েন্সি
ਅੰਤਰ ਬਾਰੰਬਾਰਤਾ ਵਿਗਾੜ (ਡੀਐਫਡੀ),পার্থক্য ফ্রিকোয়েন্সি বিকৃতি (ডিএফডি)
ਅੰਤਰ ਟੋਨ,পার্থক্য টোন
ਵੱਖਰਾ ਐਂਪਲੀਫਾਇਰ,ডিফারেনশিয়াল এম্প্লিফায়ার
ਵੱਖਰਾ,বিচ্ছুরণ
ਵੱਖਰੇ ਲਾਭਕਾਰ,ডিফিউজার
ਅੰਕ,অঙ্ক
ਡਿਜੀਟਲ,ডিজিটাল
ਡਿਜੀਟਲ ਆਰਟੀਫੈਕਟ,ডিজিটাল আর্টিফ্যাক্ট
ਡਿਜੀਟਲ ਆਡੀਓ,ডিজিটাল অডিও
ਡਿਜੀਟਲ ਆਡੀਓ ਫਿਲਟਰ,ডিজিটাল অডিও ফিল্টার
ਡਿਜੀਟਲ ਆਡੀਓ ਵਰਕ ਸਟੇਸ਼ਨ,ডিজিটাল অডিও ওয়ার্ক স্টেশন
ਡਿਜ਼ੀਟਲ ਕੈਮਰਾ,ডিজিটাল ক্যামেরা
ਡਿਜੀਟਲ ਕੰਪਿਟਰ,ডিজিটাল কম্পিউটার
ਡਿਜੀਟਲ ਡਾਟਾ,ডিজিটাল ডেটা
ਡਿਜੀਟਲ ਸੰਪਾਦਨ,ডিজিটাল সম্পাদনা
ਡਿਜੀਟਲ ਐਕਸਟਰ,ডিজিটাল এক্সাইটার
ਡਿਜੀਟਲ ਫਿਲਟਰ,ডিজিটাল ফিল্টার
ਡਿਜੀਟਲ ਫਰੇਮ ਸਮਕਾਲੀਨ,ডিজিটাল ফ্রেম সিঙ্ক্রোনাইজার
ਡਿਜੀਟਲ ਵਿਰਾਸਤ,ডিজিটাল heritage তিহ্য
ਡਿਜੀਟਲ ਚਿੱਤਰ,ডিজিটাল চিত্র
ਡਿਜੀਟਲ ਲਾਇਬ੍ਰੇਰੀ,ডিজিটাল লাইব্রেরি
ਡਿਜੀਟਲ ਮੀਟਰ,ডিজিটাল মিটার
ਡਿਜੀਟਲ ਮੈਨੂਲੇਸ਼ਨ,ডিজিটাল মড্যুলেশন
ਡਿਜੀਟਲ ਮਲਟੀਪਲੈਕਸ,ডিজিটাল মাল্টিপ্লেক্স
ਡਿਜੀਟਲ ਨੈਟਵਰਕ,ডিজিটাল নেটওয়ার্ক
ਡਿਜੀਟਲ ਆਉਟਪੁੱਟ,ডিজিটাল ফলাফল
ਡਿਜੀਟਲ ਪਲੇਅਬੈਕ,ডিজিটাল প্লেব্যাক
ਡਿਜੀਟਲ ਰੇਡੀਓ ਮੰਡਲਲ (ਡਰੱਮ),ডিজিটাল রেডিও মন্ডিয়াল (ডিআরএম)
ਡਿਜੀਟਲ ਰਿਕਾਰਡਿੰਗ,ডিজিটাল রেকর্ডিং
ਡਿਜੀਟਲ ਇਨਕਲਾਬ,ডিজিটাল বিপ্লব
ਡਿਜੀਟਲ ਸਿਗਨਲ,ডিজিটাল সিগন্যাল
ਡਿਜੀਟਲ ਸਿਗਨਲ ਪ੍ਰੋਸੈਸਿੰਗ (ਡੀਐਸਪੀ),ডিজিটাল সিগন্যাল প্রসেসিং (ডিএসপি)
ਡਿਜੀਟਲ ਦਸਤਖਤ,ডিজিটাল স্বাক্ষর
ਡਿਜੀਟਲ ਟੈਕਨੋਲੋਜੀ,ডিজিটাল প্রযুক্তি
ਐਨਾਲਾਗ ਪਰਿਵਰਤਕ ਲਈ ਡਿਜੀਟਲ,অ্যানালগ রূপান্তরকারী ডিজিটাল
ਡਿਜੀਟਲ ਵੀਡੀਓ,ডিজিটাল ভিডিও
ਡਿਜੀਟਲ ਵੋਲਟਮੀਟਰ,ডিজিটাল ভোল্টমিটার
ਡਿਜੀਟਲਾਈਜ਼ੇਸ਼ਨ,ডিজিটালাইজেশন
ਡਿਜੀਟਾਈਜ਼ੇਸ਼ਨ,ডিজিটাইজেশন
ਡਿਜੀਟਾਈਜ਼ਡ ਵੀਡੀਓ,ডিজিটাইজড ভিডিও
ਡਿਡੀਕਿਜ਼ਰ,ডিজিটাইজার
ਮੱਧਮ,ম্লান
ਮਾਪ,মাত্রা
ਮੱਧਮ,ডিমার
Dieode,ডায়োড
ਡੁਬੋ,ডুব
ਡੀਪਲੈਕਸਰ,ডিপ্লেক্সার
ਡਿਪੋਲ ਐਂਟੀਨਾ,ডিপোল অ্যান্টেনা
ਸਿੱਧਾ ਪ੍ਰਸਾਰਣ,সরাসরি সম্প্রচার
ਸਿੱਧੇ ਮੌਜੂਦਾ (ਡੀ ਸੀ),সরাসরি কারেন্ট (ডি সি)
ਸਿੱਧੀ ਪਿਕ ਅਪ,সরাসরি বাছাই
ਸਿੱਧਾ ਪੜ੍ਹਨ ਦਾ ਸਾਧਨ,সরাসরি পড়ার যন্ত্র
ਸਿੱਧੀ ਰਿਕਾਰਡਿੰਗ,সরাসরি রেকর্ডিং
ਦਿਸ਼ਾਵੀ ਐਂਟੀਨਾ,দিকনির্দেশক অ্যান্টেনা
ਦਿਸ਼ਾ ਨਿਰਦੇਸ਼ਕ,দিকনির্দেশক কাপলার
ਦਿਸ਼ਾਵੀ ਮਾਈਕ੍ਰੋਫੋਨ,দিকনির্দেশক মাইক্রোফোন
ਡਾਇਰੈਕਟਿਟੀ,নির্দেশিকা
ਡਾਇਰੈਕਟਰੀ,ডিরেক্টরি
ਅਯੋਗ,অক্ষম করুন
ਡਿਸਕ ਐਂਟੀਨਾ,ডিস্ক অ্যান্টেনা
ਅਸਾਤ ਸਟੋਰੇਜ,ডিস্ক ভিত্তিক স্টোরেজ
ਵੱਖਰਾ,বিচ্ছিন্ন
ਡਿਸਕ,ডিস্ক
ਡਿਸਕ ਡਰਾਈਵ,তথ্য ধারণ করে যে চাকতি
ਡਿਸਕ ਕੋਟਾ,ডিস্ক কোটা
ਡਿਸਕੀਟ,ডিস্কেট
ਉਜਾੜਾ,স্থানচ্যুতি
ਫੈਲਾਅ,বিচ্ছুরণ
ਉਜਾੜਾ,উত্পাটন
ਡਿਸਪਲੇਅ,প্রদর্শন
ਡਿਸਪਲੇਅ ਯੂਨਿਟ (ਕਨਸੋਲ),প্রদর্শন ইউনিট (কনসোল)
ਵਿਗਾੜ,অপচয়
ਅਸੰਗਤ,বিচ্ছিন্নতা
ਸ਼ੁਧ ਪਾਣੀ,বিশুদ্ধ পানি
ਭਟਕਣਾ,বিকৃতি
ਵੰਡ,বিতরণ
