Malayalam,Marathi
ബയോപോപ്പൻഷ്യൽ ആംപ്ലിഫയർ,बायोपोटेन्शियल एम्पलीफायर
BIOREACTOR,बायोरिएक्टर
ബോർനെറ്റ്,बायोमेडिएशन
ബയോസോളിഡ്,बायोसोलिड
ബയോസ്ഫിയർ ഉറവിടങ്ങൾ,जीवशास्त्र संसाधने
ബയോസ്ഫിയർ,जीवशास्त्र
ബയോസിന്തറ്റിക് പാത,बायोसिंथेटिक मार्ग
ബയോസിനെറ്റിറ്റിക് ഘട്ടം,बायोसिंथेटिक फेज
ബയോസിസ്റ്റെമാറ്റിക്സ്,बायोसिस्टमॅटिक्स
ബയോടെക്നോളജി,बायोटेक्नॉलॉजी
ബയോടെറിസം,बायोटेरॉरिझम
ഉപകാരന്,बायोटिक
ബയോട്ടിക് കമ്മ്യൂണിറ്റി,बायोटिक समुदाय
ബയോട്ടിക് ഘടകം,बायोटिक फॅक्टर
ജീവനോ,बायोवर
ബയോയ്പോർട്ട് ഏജന്റ്,बायोवेपॉन एजंट
ബിപരൈൻ,द्विपक्षीय
ബിഫോസ്ഫോഗ്ലീസറ്റ്,बायफॉस्फोग्लिसरेट
ബിപിന്നേറ്റ്,द्विपक्षीय
ബൈപോളാർ നാഡി സെൽ,द्विध्रुवीय तंत्रिका सेल
ബൈപോളാർ ന്യൂറോൺ,द्विध्रुवीय न्यूरॉन
പക്ഷി,पक्षी
പക്ഷിപ്പനി വൈറസ്,बर्ड फ्लू विषाणू
ബൈസെക്ഷ്വൽ,उभयलिंगी
ബൈസെക്ഷ്വൽ പുഷ്പം,उभयलिंगी फूल
കടിക്കുകയും ചവയ്ക്കുന്ന തരം,चावणे आणि चघळण्याचे प्रकार
അവന്യാവുമില്ലാത്ത,बायव्हॅलेंट
വിചിത്രമായ പെരുമാറ്റം,विचित्र वर्तन
കറുത്ത ബെറി,ब्लॅक बेरी
കറുത്ത പാദരോഗം,ब्लॅक फूट रोग
ക്രൂസിഫറിന്റെ കറുത്ത ചെംചീയൽ,क्रूसीफरचा ब्लॅक रॉट
ബ്ളാഡർ വോർട്ട്,मूत्राशय वर्ट
ബ്ളാഡര്,मूत्राशय
ബ്ലെഡൻഡർവാർട്ട്,मूत्राशय
ബ്ലെഡൻഡോർം,मूत्राशय
ബ്ലാസ്റ്റോകോൾ,ब्लास्टोकोल
ലഘുവായ,ब्लास्टोसिस्ट
ബ്ലാസ്റ്റൂമരെ,ब्लास्टोमेर
ലഘുഭന്ത,ब्लास्टुला
മിശ്രിതമാക്കുക,मिश्रित
അന്ധമായ സഞ്ചി,आंधळे थैली
കാണാൻ കഴിയാത്ത ഇടം,अंधुक बिंदू
രക്തം കട്ടപിടിക്കുന്ന ഘടകം,रक्त गठ्ठा घटक
രക്തത്തിലെ കോർപസ്ക്കിൾ,रक्तवाहिन्या
രക്തയോട്ടം,रक्त प्रवाह
രക്തബന്ധം,रक्त गट
രക്ത സെറം,रक्त सीरम
രക്തക്കുഴല്,रक्त वाहिनी
രക്തപ്രവാഹണം,ब्लडस्ट्रीम
മായ്ച്ചുകളയുക,ब्लॉटिंग
നീല ബേബി സിൻഡ്രോം,ब्लू बेबी सिंड्रोम
ഞാവൽപഴം,निळा बेरी
നീല പച്ച ആൽഗകൾ,निळा हिरवा एकपेशीय वनस्पती
നീല വിപ്ലവം,निळा क्रांती
നീല തിമിംഗലം,निळा देवमासा
ബ്ലൂ എൻഡ് ലിഗേഷൻ,निळा अंत बंधन
കാഴ്ചയുടെ മങ്ങൽ,दृष्टी अस्पष्ट
ബോബ്കാറ്റ്,बॉबकॅट
ശരീരം,शरीर
ബോഡി (സോമാറ്റിക്) സെൽ,शरीर (सोमाटिक) सेल
ശരീര ദ്രാവകം,शरीरातील द्रव
ബോർഹവിയ,बोअरहाविया
ചതുപ്പുനിലം,बोग
ബോൾ വേം,बोल वर्म
ബോളസ്,बोलस
ബോംബ് കരോരതക്ഷമത,बॉम्ब कॅलरीओमीटर
ബോംബെ താറാവ്,बॉम्बे बदक
ബോംബക്സ്,बॉम्बेक्स
മജ്ജ,अस्थिमज्जा
ബോണലിയ,बोनलिया
ബോണി ലാബിരിന്ത്,हाडांचा चक्रव्यूह
അസ്ഥി ഘടന,हाडांची रचना
പുസ്തകം ഗിൽ,बुक गिल
അതിർത്തി കുഴി,सीमा खड्डा
സകന്,वनस्पतिशास्त्र
ബൊട്ടാണിക്കൽ ഗാർഡൻ,वनस्पति उद्यान
ബൊട്ടാണിക്കൽ നാമകരണം,वनस्पति नामांकन
സസ്യശാസ്ത്രജ്ഞൻ,वनस्पतिशास्त्रज्ञ
സസശാസ്തം,वनस्पतिशास्त्र
തടസ്സം പ്രഭാവം,अडथळा प्रभाव
അടിവശം,तळाशी रहिवासी
അടിവശം വാസസ്ഥലം,तळाशी निवासी
ബ g ഗൻവില്ല,बोगेनविले
ബോമർ കാപ്സ്യൂൾ,बोमन कॅप्सूल
ബോമാന്റെ ഗ്രന്ഥി,बोमनची ग्रंथी
ബ്രാക്കറ്റ് ഫംഗസ്,ब्रॅकेट बुरशी
ഉരുണ്ട,Cract
Bractate,ब्रॅकेट
ബ്ലാക്രിയം,ब्रॅक्टिओट
ഉല്ലാസം,ब्रॅक्टिओल
തലച്ചോറ്,मेंदू
തലച്ചോറ് പെട്ടി,ब्रेन बॉक्स
മസ്തിഷ്കമരണം,ब्रेन डेड
മസ്തിഷ്ക സന്സായം,ब्रेन गँगलियन
മസ്തിഷ്ക തണ്ട്,ब्रेन स्टेम
ശാചിനമായ,शाखा
ശാഖിസ്റ്റോമ,ब्रांचिओस्टोमा
ബ്രസീൻ,ब्राझिन
റൊട്ടി അണിരൻ,ब्रेड मोल्ड
മുലപ്പാൽ,आईचे दूध
ബ്രീഡർ,ब्रीडर
ബ്രീഡിംഗ് ബയോളജി,प्रजनन जीवशास्त्र
ബ്രൂവറിന്റെ യീസ്റ്റ്,मद्य उत्पादक बुरशी
പാലം,पूल
ബ്രൈറ്റ് ഫീൽഡ് മൈക്രോസ്കോപ്പ്,चमकदार फील्ड मायक्रोस्कोप
പൊട്ടുന്ന നക്ഷത്രം,ठिसूळ तारा
വിശാലമായ ബീൻ,ब्रॉड बीन
ബ്രോക്കോളി,ब्रोकोली
ശ്രുചിശം,ब्रॉन्किओल
ബ്രോങ്കൈറ്റിസ്,ब्राँकायटिस
ബ്രോങ്കോഡിലേറ്റർ മരുന്ന്,ब्रॉन्कोडायलेटर औषध
കുഞ്ഞുങ്ങള്,ब्रूड
കുഞ്ഞുങ്ങള്,ब्रूड
പാരാസൈറ്റിസം കുന്നു,ब्रूड परजीवी
ബ്രൂഡ് പ ch ച്ച്,ब्रूड पाउच
ചാറു,मटनाचा रस्सा
തവിട്ടു നിറമുള്ള കരടി,तपकिरी अस्वल
തവിട്ട് തുരുമ്പ്,तपकिरी गंज
ബ്ര browser സർ,ब्राउझर
ബ്രഷ്-അതിർത്തി സിലിയേറ്റഡ് പതിപ്പിയം,ब्रश-बॉर्डर सिलेटेड एपिथेलियम
ബ്രസ്സൽസ് മുള,ब्रुसेल्स स्प्राउट
ബ്രൂണോഫില്ലം,ब्रायोफिलम
ബ്രോമേഫിറ്റ,ब्रायोफिटा
ബ്രൂടോഫൈറ്റ്,ब्रायोफाइट
ബ്ര്യൂസിഡ,ब्रायोप्सिडा
ബബോ,बुबो
ബുക്കൽ അറ,बकल पोकळी
ബുക്കോ-കൊറിംഗീൽ അറ,बुक्को-फॅरेन्जियल पोकळी
വളർന്നുകാരി,नवोदित
ബഫർ ബൈകാർബണേറ്റ്,बफर बायकार्बोनेट
ബഫർ,बफर
ബഫർ സോൺ,मोकळी जागा
ബഫറിംഗ് പ്രവർത്തനം,बफरिंग Action क्शन
ബുഫ്ലോ,बुफो
ബൾബ്,बल्ब
ബൾബള്,बल्बिल
ബൾബോ മൂത്രബുദ്ധി ഗ്രന്ഥി,बल्बो मूत्रमार्ग ग्रंथी
ബൾക്ക് ഒഴുക്ക്,मोठ्या प्रमाणात प्रवाह
ബുള്ളിഫോം സെൽ,बल्फॉर्म सेल
ബംബിൾ ബീ,बंबल मधमाशी
ബ്രാക്ക് ബുക്ക് ബ്രാഞ്ച്,बंडल शाखा
ബണ്ടിൽ കവചം,बंडल म्यान
ബണ്ടിൽ ഷീത്ത് സെൽ,बंडल म्यान सेल
കുട്ടികൾ,उधळपट्टी
ബ്യൂമന്റ് ഡെൻസിറ്റി സെൻട്രിഫ്യൂഗേഷൻ,हुशार घनता सेंट्रीफ्यूगेशन
ബ്യൂമന്റ് സാന്ദ്രത,आनंददायक घनता
കെട്ടിജജായി,बर्गेन
മാള,बुरुज
കുറ്റിക്കാട്,बुश
ബ്യൂട്ടയോ മോണ്ടോസ്മ,बुटेआ मोनोस्पर्मा
ബ്യൂട്ടസ്,बुथस
നിസ്സാരത (വീർത്ത തണ്ടു അടിസ്ഥാനം),बट्रेस (सूजलेला स्टेम बेस)
ഉപോൽപ്പന്നം,उप-उत्पादन
സി-പെപ്റ്റൈഡ്,सी-पेप्टाइड
കള്ളിച്ചെടി,कॅक्टस
കാഡ്മിയം മലിനീകരണം,कॅडमियम प्रदूषण
കാഡിക്കസ്,कॅड्यूकस
കൈകം,Caicum
കൈനോറൽബ്ഡിറ്റിസ് ഇൻഹാൻസ്,Caenorhabditits Elgans
സസിയം,सेझियम
കാപ്പിയിലെ ഉത്തേജകവസ്തു,कॅफिन
കാൽക്കറിയസ് സ്പിക്കുലേറ്റ്,कॅल्केरियस स्पिक्यूल
കണക്കാക്കുന്ന ഷെൽ,कॅल्केरियस शेल
അവയുടെ ഗ്രന്ഥി,कॅल्किफेरस ग्रंथी
കണക്കുകഷ്ടം,कॅल्सीफिकेशन
കാൽസിറ്റോണിൻ,कॅल्सिटोनिन
ചുണ്ണാന്വ്,कॅल्शियम
കാൽസ്യം പാലം,कॅल्शियम ब्रिज
കാൽസ്യം കാർബണേറ്റ്,कॅल्शियम कार्बोनेट
കലണ്ടുല,कॅलेंडुला
കാലിപസ്,कॉलिपस
ഞങ്ങളെ വിളിക്കൂ,कॉलस
കാലസ് സംസ്കാരം,कॉलस संस्कृती
കൊളോകാസിയ,कोलोकाशिया
കലോട്ടുകൾ,कॅलोट्स
കലട്രോപിസ്,कॅलोट्रोपिस
കലട്രോപിസ് പ്രോസറ,कॅलोट्रोपिस प्रोसेरा
കാൽവിൻ സൈക്കിൾ,केल्विन सायकल
കാലിസിനി,कॅलिसिनिया
കാലിക്സ്,कॅलेक्स
കാലിക്സ്,कॅलेक्स
കേംബ്രിയൻ കാലയളവ്,कॅंब्रियन कालावधी
കാമിലസ്,कॅमेलस
പച്ഛന്ന വേഷം,Comulfage
കാമ്പനേയ്സ്,कॅम्पेनेल्स
Canabinoid,कॅनाबिनोइड
കനാലിക്ലസ്,कॅनालिकुलस
അര്ബ്ബുദം,कर्करोग
കാൻസർ (കോമൺ ക്രാബ്),कर्करोग (सामान्य खेकडा)
കാൻഡിറ്റൂഫ്റ്റ്,कँडीटुफ्ट
ചൂരൽ പഞ്ചസാര,ऊस साखर
കാനിഡ,कॅनिडे
കാനൻ (പല്ലുകൾ),कॅनिन (दात)
കാനിസ് പരിചിതത,कॅनिस परिचित
കാന,कॅन्ना
കഞ്ചാവ് സാറ്റിവ,भांग सॅटिवा
മേലാപ്പ്,छत
പാപസേല,कॅपेसिटेशन
കാപിലറിറ്റി,केशिका
കാലിലറി,केशिका
കാപ്പിലറി രക്തചംക്രമണം,केशिका अभिसरण
കാപ്പിറ്റുലം,कॅपिटुलम
കപ്പരിസ്,कॅपरिस
ടാപ്പിംഗ്,कॅपिंग
കാപ്സൈഡ്,कॅप्सिड
കാപ്സോമെറെ,कॅप्सोमेर
കാപ്സ്യൂൾ,कॅप्सूल
കാർബാനോഹെമോഗ്ലോബിൻ,कार्बॅमिनोहेमोग्लोबिन
കാർബോഹൈഡ്രേറ്റ്,कार्बोहायड्रेट
കാർബൺ ഡൈ ഓക്സൈഡ്,कार्बन डाय ऑक्साइड
കാർബൺ അസുൽഫിഡ്,कार्बन डिसल्फाइड
കാർബൺ തന്മാത്ര,कार्बन रेणू
കാർബണേറ്റ്,कार्बोनेट
കാർബോണിക് ആസിഡ്,कार्बॉनिक acid सिड
കാർബോണിക് ആൻഹൈഡ്രാസ്,कार्बोनिक अ‍ॅनहायड्रॅस
കാർബോണിഫ്യൂസസ് കാലയളവ്,कार्बनिफेरस कालावधी
കാർ സോക്കിലെ,कारबॉक्सिल
കാർബോക്സിൻ ഗ്രൂപ്പ്,कार्बॉक्सिल ग्रुप
കാർബോക്സിലെസ്,कार्बोक्लेझ
കാർബോക്സിലേഷൻ,कार्बोक्लेशन
കൊച്ചാരോഡോൺ,कारचारोडन
കാർസിനോജെനിസിസ്,कार्सिनोजेनेसिस
അർബുദം,कार्सिनोजेनिक
കാല്സിനോമ,कार्सिनोमा
കാർഡിയാക് സൈക്കിൾ,ह्रदयाचा चक्र
കാർഡിയാക് ഗ്ലൈക്കോസൈഡ്,कार्डियाक ग्लायकोसाइड
ഹൃദയ പേശി,हृदयाचे स्नायू
കാർഡിയാക് പേസ്മേക്കർ,कार्डियाक पेसमेकर
കാർഡിയോസ്കോപ്പ്,कार्डोस्कोप
മാംസഭോജനം,कार्निवोरा
മാംസഭോവി,मांसाहारी
മാംസഭോഗം,मांसाहारी
മാംസഭോജിയായ വിമാനം,मांसाहारी विमान
മാംസഭോജികൾ,मांसाहारी चतुष्पाद
കരോട്ടിൻ,कॅरोटीन
കരോട്ടിനോയിഡ്,कॅरोटीनोइड
കാർപാവൽ,कार्पल
പരല്പം,कार्पेल
കാർപസ്,कार्पस
വണ്ടി,कॅरेजेन
കാരിയർ സംവിധാനം,वाहक यंत्रणा
ശേഷി നിലനിർത്തുന്നു,वाहून नेण्याची क्षमता
കാർട്ടീലാഗനസ് മത്സ്യം,कार्टिलेजेनस फिश
തരുണാസ്ഥി,कार्टिलेगिनस
കൊളം,कार्न्कल
കാരിയാകം,कॅरिओगामी
കാരിയോഫില്ലേസി,कॅरिओफिलॅसी
കാരിയോളിസ്ലി,कॅरिओफिलेसियस
കരീസിസ്,कॅरिओपिसिस
കേസിൻ,केसिन
കാസ്പാരിയൻ സ്ട്രിപ്പ്,कॅस्परियन पट्टी
കാസിയ,कॅसिया
കാസോവറി,कॅसोवरी
നായക,एरंडेल
കാസുവാരിന,कॅसुरिना
കാസുവാരിന അൽനസ്,कॅसुरिना अल्नस
കാറ്റബോളിസം,कॅटाबोलिझम
കാറ്റലേസ്,कॅटलॅस
നാമാവലി,कॅटलॉग
കവചലിസ്,कॅटॅलिसिस
ഉത്തേജാതി,उत्प्रेरक
കാറ്റലിറ്റിക് കൺവെർട്ടർ,उत्प्रेरक कन्व्हर्टर
തിമിര,मोतीबिंदू
ദാരുണസംഭവം,आपत्ती
കാറ്റെക്കോലാമൈൻ,कॅटेकोलामाइन
കാറ്റെക്കോനോമിൻ ഹോർമോൺ,कॅटेकोलोमाइन संप्रेरक
കട്രൂരേഷന്,कॅथेट्रायझेशन
നിലവറ,केशन
ചൂടാക്കല്,कॅटकिन
കാറ്റ്ല,कॅटला
പൂച്ചയുടെ നഖം (ബിഗ്നോണിയ-ഉൻഗുയിസ് കാറ്റി),मांजरीचे नेल (बिग्नोनिया-गोंगुइस कॅटी)
കന്നുകാലി മേച്ചിൽ,गुरेढोरे चरणे
കന്നുകാലി റാഞ്ച്,गुरेढोरे गुरेढोरे
കന്നുകാലിയുടെ റുമിംഗ്,गुरेढोरे रुमेन
കന്നുകാലികളുടെ ശൈലി,गुरांची शैली
കോഡൽ കശേരു,पुच्छर कशेरुका
കുഡെക്സ്,COUDEX
കാര്യകാരണ ഏജന്റ്,कार्यकारण एजंट
സെഡ്രസ് ദിയോദര (ദേവദാർ),सेड्रस देवोदर (देवदार)
സെലാസ്ട്രേലുകൾ,सेलिस्ट्रेल्स
സെൽ ബയോളജിസ്റ്റ്,सेल जीवशास्त्रज्ञ
സെൽ ബയോളജി,सेल जीवशास्त्र
സെൽ സൈക്കിൾ,सेल चक्र
സെൽ വർക്ക്മെന്റ്,सेल वाढ
സെൽ എൻവലോപ്പ്,सेल लिफाफा
സെൽ ഭിതാവസ്ഥ,सेल फ्रॅक्शनेशन
സെൽ ഹോമോജെനേറ്റ്,सेल होमोजेनेट
സെൽ മെഡിറ്ററേറ്റഡ് പ്രതിരോധശേഷി,सेल मध्यस्थ प्रतिकारशक्ती
സെൽ മെംബ്രൺ,पेशी आवरण
സെൽ വ്യാപനം,सेल प्रसार
സെൽ ഘടന,सेल रचना
സെൽ സിദ്ധാന്തം,सेल सिद्धांत
കോശ ഭിത്തി,पेशी भित्तिका
സെലോഫെയ്ൻ മെംബ്രൺ,सेलोफेन पडदा
സെല്ലുല,सेल्युले
സെല്ലുലാർ ഡിഫൻസ്,सेल्युलर संरक्षण
സെല്ലുലാർ എനർജി ട്രാൻസ്ഫർ-സിസ്റ്റം,सेल्युलर एनर्जी ट्रान्सफर-सिस्टम
സെല്ലുലാർ എൻസൈം,सेल्युलर एंजाइम
സെല്ലുലാർ ലെവൽ,सेल्युलर पातळी
സെല്ലുലാർ ഓക്സീകരണം,सेल्युलर ऑक्सिडेशन
സെല്ലുലാർ പൂൾ,सेल्युलर पूल
സെല്ലുലോസ്,सेल्युलोज
സെല്ലുലോസ് മൈക്രോഫിബ്രിൽ,सेल्युलोज मायक्रोफिब्रिल
രോഗശക്തി,सिमेंटम
സിൻചെര്ട്രസ്,सेन्चरस
സെനോസോയിക് കാലഘട്ടം,सेनोझोइक युग
കാനേഷുമാരി,जनगणना
കാനേഷുമാരി,जनगणना
സെന്റിമോർഗൻ,सेंटीमोर्गन
സെന്റിപീഡ ഓർബിക്ലലാരിസ്,सेंटीपीडा ऑर्बिक्युलरिस
സെൻട്രൽ അക്ഷം,मध्य अक्ष
മധ്യ സെൽ,मध्यवर्ती सेल
സെൻട്രൽ കോർ,मध्यवर्ती कोअर
സെൻട്രൽ ഡോമ,मध्यवर्ती मत
സെൻട്രൽ മയക്കുമരുന്ന് റിസർച്ച് ഇൻസ്റ്റിറ്റ്യൂട്ട്,केंद्रीय औषध संशोधन संस्था
മധ്യ ഫീൽഡ്,मध्य फील्ड
സെൻട്രൽ ലീഷ്യൽ,सेंट्रल लॅक्टेल
കേന്ദ്ര നാഡീവ്യവസ്ഥ,मध्यवर्ती मज्जासंस्था
സെൻട്രൽ സുൽക്കസ്,मध्यवर्ती सल्कस
സെൻറ്ഫ്യൂഗേഷൻ,सेंट्रीफ्यूगेशन
സെൻട്രിയോൾ,सेंट्रीओल
സെൻട്രോമേരെ,सेन्ट्रोमेर
നൂറ്റാണ്ട്,सेन्ट्रोसोम
സെന്റോസ്ഫിയർ,सेन्टरोस्फीअर
Cefalochardate,सेफलोचॉर्डेट
Cefalochardates,सेफलोचॉर्डेट्स
സെഫാലോസ്പോരിൻ,सेफलोस्पोरिन
സെഫലോത്തോറാക്സ്,सेफॅलोथोरॅक्स
സെറാറ്റോഫില്ലേസി,सेराटोफिलॅसी
ധാന്യ ധാന്യം,धान्य धान्य
സെറിബെല്ലാർ പൂങ്കുലത്തണ്ട്,सेरेबेलर पेडनकल
സെറെബെല്ലം,सेरेबेलम
സെറിബ്രൽ അക്വാദ്യ,सेरेब्रल अ‍ॅक्विडक्ट
മസ്തിഷ്കാവരണം,सेरेब्रल कॉर्टेक्स
സെറിബ്രൽ അർദ്ധഗോളത്തിൽ,सेरेब्रल गोलार्ध
സെറിബ്രൽ വെൻട്രിക്കിൾ,सेरेब्रल वेंट्रिकल
സെറെബ്രോസ്പൈനൽ ദ്രാവകം (സിഎസ്എഫ്),सेरेब्रोस्पाइनल फ्लुइड (सीएसएफ)
സെറിബ്രം,सेरेब्रम
സാക്ഷ്യപ്പെടുത്തിയ വിത്ത്,प्रमाणित बियाणे
സെറമ്പനുസരിച്ച് ഗ്രന്ഥി,सेर्यूमेनस ग्रंथी
ഗർഭാശയം,गर्भाशय ग्रीवा
സെർവിക്കൽ തൊപ്പി,गर्भाशय ग्रीवा कॅप
സെർവിക്കൽ കശേരു,गर्भाशय ग्रीवा
സെർവിക്സ്,गर्भाशय ग्रीवा
സിസിയം ക്ലോറൈഡ്,सेझियम क्लोराईड
സെസ്പൂൾ,सेसपूल
സെറ്റസിൻസ്,Cetasians
ചാറ്റോപ്റ്ററസ്,चेटोप्टेरस
ചാലസ,चालझा
ചാലസ,चालझा
ചാലസൽ അവസാനം,चालझल एंड
ചാലിയന,चालिना
ചാമെലിയൻ (ചാമലീൻ),गिरगिट (चामेलियन)
ചാൻക്രോയിഡ്,चक्रोइड
ചാനല്,चॅनल
ചാനല്,चॅनल
ചേരപോൺ,चैपरॉन
ചാര,चारा
സ്വഭാവ സസ്യങ്ങൾ,वैशिष्ट्यपूर्ण वनस्पती
കരി,कोळसा
ചാർജാഫിന്റെ ഭരണം,चार्गॅफचा नियम
ചാർജ് ചെയ്ത ഉപകരണം (സിസിഡി),चार्ज युग्मित डिव्हाइस (सीसीडी)
ചാർജ്ജുചെയ്യല്,चार्जिंग
ഗാസ്മോകാഹാസസ്,Chasmogamous
ചത്തമലസ്,चॅटमालस
ചെലോൺ,चेलोन
കെമിക്കൽ വിശകലനം,रासायनिक विश्लेषक
രാസബന്ധം,रासायनिक बंध
കെമിക്കൽ തകരാര്,रासायनिक ब्रेकडाउन
കെമിക്കൽ സങ്കീർണ്ണത,रासायनिक जटिलता
കെമിക്കൽ എൻവയോൺ,रासायनिक वातावरण
രാസ പരിണാമം,रासायनिक उत्क्रांती
രാസ രീതി,रासायनिक पद्धत
കെമിക്കൽ മ്യൂട്ടേഗൻ,रासायनिक म्युटागेन
രാസ ഉത്ഭവിച്ച,रासायनिक मूळ
കെമിക്കൽ ഓക്സിജൻ ആവശ്യം,रासायनिक ऑक्सिजनची मागणी
രാസവസ്തു,रासायनिक क्षमता
കെമിക്കൽ സ്കാൽപൽ,रासायनिक स्कॅल्पेल
കെമിക്കൽ സിഗ്നൽ,रासायनिक सिग्नल
രാസ സിനാപ്സ്,रासायनिक Synapse
കീമിയോസ്മോട്ടിക് സിദ്ധാന്തം,केमिओमोटिक गृहीतक
രസതന്തശാസ്തജ്ഞന്,केमिस्ट
രസതന്ത്രം,रसायनशास्त्र
കീമോസിന്തസിസ്,केमोसिंथेसिस
കീമോ-ഓട്ടോറോഫിക് ബാക്ടീരിയ,केमो-ऑटोरोफिक बॅक्टेरिया
കീമുഷത്യം,केमोनॅस्टी
കീമോസിന്തസിസ്,केमोसिंथेसिस
കീമോസിന്തറ്റിക് ഓട്ടോട്രോഫ്,केमोसिंथेटिक ऑटोट्रोफ
കീമോസിന്തറ്റിക് ബാക്ടീരിയ,केमोसिंथेटिक बॅक्टेरिया
മാനോടാക്സിക്സി,केमोटॅक्सिस
മാനോടാക്പോത്ത്,केमोटाक्सोनॉमी
കീമോതെറാപ്പി,केमोथेरपी
ചെനോപോഡിയയേ,चेनोपोडियासी
ചിയാസ്മാത,Chiasmata
ചിയാസ്മ്ന തരം സിദ്ധാന്തം,चियास्मना प्रकार गृहीतक
കോക്കിംഗുനി,चिकुंगुनिया
Chicory,चिकोरी
കുട്ടിക്കാലം,बालपण
മുക്കി മൊസൈക് വൈറസ്,मिरची मोझॅक विषाणू
സിൻകോണ അഫീഡിനാനിസ്,सिंचोना ऑफिसिनलिस
ചിറോപ്രോഫിലി,चिरोप्टेरोफिली
ചിറ്റിൻ,चिटिन
Chitiness,चिटिनस
ക്ലമീഡിയ ട്രാക്കോറ്റോമാറ്റിസ്,क्लॅमिडीया ट्रॅकोमॅटिस
ക്ലമീസിയാസിസ്,क्लेमिडियासिस
Chlamymoonas,क्लेमिडोमोनास
ക്ലോറാംഫെനിക്കോൾ,क्लोरॅम्फेनिकॉल
ക്ലോറെല്ല,क्लोरेला
ക്ലോറെഞ്ചമ,क्लोरेन्चायमा
ക്ലോറൈഡ് സെൽ,क्लोराईड सेल
ക്ലോറിൻ,क्लोरीन
ക്ലോറോഫ്ലൂറോ കാർബൺ (സിഎഫ്സി),क्लोरोफ्लूरो कार्बन (सीएफसीएस)
ക്ലോറോഫോം,क्लोरोफॉर्म
ക്ലോറോഫിസിസി,क्लोरोफिसी
ക്ലോറോഫൈറ്റ് പൂർവ്വികൻ,क्लोरोफाइट पूर्वज
ക്ലോറോസിസ്,क्लोरोसिस
ക്ലോറോസിസ്,क्लोरोसिस
Chocanocyte,चॅनोसाइट
കോളസിസ്റ്റോക്കിനിസ്,कोलेसीस्टोकिनेसिस
കോളസിസ്റ്റോക്കിനിൻ,कोलेसीस्टोकिनिन
കൊളസ്ട്രോൾ,कोलेस्ट्रॉल
കോളിനെർജിക്,कोलिनेर्जिक
Chondrichhies,चोंड्रिच्थे
ചണ്ട്രിൻ,चोंड्रिन
Chondrocyte,चोंड्रोसाइट
ശ്ശോ,Chordae टेंडिने
ചോർഡാറ്റ,Chordata
Chorioalantantoic മറുപിള്ള,कोरिओलॅंटोइक प्लेसेंटा
ചോറൽ,कोरियन
കോറിയോണിക് കോർട്ടികോട്രോപിൻ,कोरिओनिक कॉर्टिकोट्रोपिन
കോറിയോണിക് ഗോണഡോട്രോപിൻ,कोरिओनिक गोनाडोट्रोपिन
കോറിയോണിക് തൈറോപിൻ,कोरिओनिक थायरोट्रोपिन
കോറോയിഡ്,कोरिओड
ക്രോമാറ്റിഡ്,क्रोमॅटिड
ക്രോമാറ്റിൻ ഫൈബർ,क्रोमॅटिन फायबर
ക്രോമാറ്റിൻ,क्रोमॅटिन
ക്രോമാറ്റോഗ്രാഫിക് സാങ്കേതികത,क्रोमॅटोग्राफिक तंत्र
ക്രോമാറ്റോഗ്രാഫി,क्रोमॅटोग्राफी
ക്രോമാറ്റോഫോർ,क्रोमेटोफोर
ക്രോമോജെനിക് കെ.ഇ.,क्रोमोजेनिक सब्सट्रेट
ക്രോമനെമ,क्रोमोनेमा
ക്രോമോഫോർ,क्रोमोफोर
ക്രോമപ്ലാസ്റ്റ്,क्रोमोप्लास्ट
ക്രോമസോമാൽ വ്യതിചലനം,क्रोमोसोमल विकृती
ക്രോമസോമാൽ തകരാറ്,क्रोमोसोमल दोष
ക്രോമസോം മാപ്പിംഗ്,क्रोमोसोम मॅपिंग
ക്രോമസോം ഹെർമിറ്റിയുടെ സിദ്ധാന്തം,आनुवंशिकतेचा गुणसूत्र सिद्धांत
ക്രോമസോം അവകാശത്തിന്റെ സിദ്ധാന്തം,वारशाचा गुणसूत्र सिद्धांत
വിട്ടുമാറാത്ത ബ്രോങ്കൈറ്റിസ്,तीव्र ब्राँकायटिस
വിട്ടുമാറാത്ത മൈക്ക് രക്താർബുദം,क्रॉनिक मायोइड ल्यूकेमिया
പുരാവൃത്തം,क्रॉनिकल
കാലക്രമത്തിൽ,कालक्रमानुसार
ക്രിസന്തം സിനിറേരിയൽഫോളിയം,क्रायसॅन्थेमम सिनेरीरियलफोलियम
ക്രിസന്തമം ഇൻഡിക്കം,क्रायसॅन्थेमम इंडिकम
ക്രിയാന്തമം റോമൻ,क्रायंथेमम रोझम
ക്രിസോഫിറ്റ,क्रिसोफिटा
ക്രിസോഫൈറ്റ്,क्रिसोफाइट
സൈലോമിക്രോൺ,क्लोमिक्रॉन
ചിം,चिम
CHYMOTHRYPIN,Kymotrypsin
സിക്കാഡ,सिकाडा
CICER ARITINUM,सिकर एरिएटिनम
സിച്ലിഡ് മത്സ്യം,सिच्लिड फिश
സി-ഹൊറൈൻ,सी-होरिझोन
സിലിയ,सिलिया
സിലിയറി ബോഡി,सिलीरी बॉडी
സിലിയറി ഗാംഗ്ലിയൻ,सिलीरी गॅंग्लियन
സിലിയറി പ്രസ്ഥാനം,सिलीरी चळवळ
