Punjabi,Odiya
ਕਲੇਰਿਸਟਾਗਮੀ,କ୍ଲିସିଷ୍ଟଗାମି |
ਜਲਦਬਾਜ਼ੀ ਦਾ ਫਲ,ଜଳମୟ ଫଳ |
ਮੌਸਮ,ଜଳବାୟୁ
ਜਲਵਾਯੂ,କମ୍ପନୋଲୋଜି
ਕਲੀਪਰ,କ୍ଲିପର୍
ਕਲੋਡ,କ୍ଲାନ୍ତ
ਕਲੋਨ,କ୍ଲୋନ
ਬੱਦਲ,ମେଘ
ਕਲੰਪ,Ump ୁଲା |
ਕਲੱਸਟਰ,କ୍ଲଷ୍ଟର
ਮੋਟੇ,କଠିନ
ਕੋਟ (ਬੀਜ),କୋଟ୍ (ବିହନ)
ਕੋਕੂਨ,ନଡିଆ
ਸਿੱਕੇ,ସହଯୋଗୀ
ਏਕਤਾ,ଘନିଷ୍ଠ
ਕੋਇਰ,କୋର
ਕੋਲੀੋਰਿਹਿਜ਼ਾ,କୁଲେରରିଜା
ਕਾਲਰ,କଲର
ਕੋਲੋਇਡ (ਮਿੱਟੀ),କୋଲଏଡ୍ (ମାଟି)
ਕੋਲਮੂਲਾ,କୋନିଲେଲା
ਕਾਲਮ,ସ୍ତମ୍ଭ
ਰਿਮੈਂਸੀਵਾਦ,ପ୍ରଶଂସା
ਵਪਾਰਕ ਬੈਂਕ,ବାଣିଜ୍ୟିକ ବ୍ୟାଙ୍କ
ਕਮੋਡਿਟੀ,ଦ୍ରବ୍ୟ
ਕਮਿ Community ਨਿਟੀ,ସମ୍ପ୍ରଦାୟ
ਸੰਕੁਚਨ (ਮਿੱਟੀ ਦਾ),ସଙ୍କୋଚନ (ମାଟିର)
ਅਨੁਕੂਲਤਾ,ସୁସଙ୍ଗତତା
ਅਨੁਕੂਲਤਾ,ସୁସଙ୍ଗତତା
ਮੁਆਵਜ਼ਾ,କ୍ଷତିପୂରଣ
ਮੁਕਾਬਲੇਬਾਜ਼ੀ ਨਾਲ ਗੱਲਬਾਤ,ପ୍ରତିଯୋଗିତାମୂଳକ ପାରସ୍ପରିକ କ୍ରିୟା |
ਪੂਰਕ ਫਸਲ,ସମ୍ପୃକ୍ତ ଫସଲ
ਗੁੰਝਲਦਾਰ,ଜଟିଳ
ਭਾਗ,ଉପାଦାନ
ਰਚਨਾ,ରଚନା
ਖਾਦ,କମ୍ପୋଷ୍ଟ
ਮਿਸ਼ਰਿਤ ਦਿਲਚਸਪੀ,ଯ ound ଗିକ ଆଗ୍ରହ |
ਗਣਨਾ,ଗଣନା
ਕੰਪਿ computer ਟਰ,କମ୍ପ୍ୟୁଟର
ਧਿਆਨ ਟਿਕਾਉਣਾ,ଏକାଗ୍ରତା
ਕੰਡੀਸ਼ਨਰ,କଣ୍ଡିସନର
ਚਾਲ-ਚਲਣ,ଆଚରଣ
ਕੌਨਫਿਗਰੇਸ਼ਨ,ବିନ୍ୟାସ
ਅਨੁਕੂਲਤਾ,ଅନୁକୂଳ
ਉਲਝਣ,ଦ୍ୱନ୍ଦ୍ୱ
ਸੰਜੋਗ,ମିଳିତତା
ਕੁਨੈਕਟਿਵ,ସଂଯୋଗ
ਸੰਭਾਲ,ସଂରକ୍ଷଣ
ਇਕਜੁੱਟ,ସଂସ୍ଥାଗୁଡ଼ିକ
ਹਲਕੇ,ନିରନ୍ତର
ਖਪਤਕਾਰ,ଗ୍ରାହକ
ਖਪਤ,ବ୍ୟବହାର
ਗੰਦਗੀ,ପ୍ରଦୂଷଣ
ਕੋਟੌਰ ਲਾਉਣਾ,ବିଷୟବସ୍ତୁ ବୃକ୍ଷ
ਸਮਾਲ,ବିଷୟବସ୍ତୁ
ਇਕਰਾਰਨਾਮਾ ਖੇਤੀ,ଚୁକ୍ତିନାମା ଚାଷ
ਨਿਯੰਤਰਿਤ ਸਟੋਰੇਜ,ନିୟନ୍ତ୍ରିତ ଷ୍ଟୋରେଜ୍ |
ਸਹਿਕਾਰਤਾ ਵਾਲਾ ਬੈਂਕ,ସହ-ଅପରେଟିଭ୍ ବ୍ୟାଙ୍କ |
ਸਹਿਕਾਰਤਾ,ସହଯୋଗ
ਕਾੱਪੀਸ,ସହଯୋଗୀ
ਕੋਰਮ,କରମ୍
ਕੋਰੋਲਾ,କରୋଲଲା
ਕੋਰਟੇਕਸ,କର୍ଟେକ୍ସ
ਲਾਗਤ,ମୂଲ୍ୟ
ਕੋਟੀਲਡਨ (ਬੀਜ),କୋଟିଲିଡନ୍ (ବିହନ)
ਕਰੈਡਿਟ ਸੁਸਾਇਟੀ,କ୍ରେଡିଟ୍ ସମାଜ |
ਕ੍ਰੈਡਿਟ,କ୍ରେଡିଟ୍
ਲੈਣਦਾਰ,କ୍ରେସର୍ମର
ਕਰੈਸਟ,କ୍ରେଷ୍ଟଷ୍ଟ
Crinkle,ଚୂର୍ଣ୍ଣ କରନ୍ତୁ |
ਸੰਕਟ,ସଙ୍କଟ
ਮਾਪਦੰਡ,ମାନଦଣ୍ଡ
ਆਲੋਚਨਾਤਮਕ,ଗୁରୁତର
ਫਸਲੀ ਬੀਮਾ,କ୍ରପ୍ ବୀମା |
ਫਸਲ ਲੋਨ,ଫସଲ loan ଣ
ਫਸਲ,ଫସଲ
ਕਰੂਪਿੰਗ ਖੇਤਰ,କ୍ରପ୍ ଏରିଆ |
ਕਰਾਸ-ਅਨੁਕੂਲ,କ୍ରସ୍-ଅସଙ୍ଗତ |
ਤਾਜ (ਪੌਦਾ),ମୁକୁଟ (ଉଦ୍ଭିଦ)
ਟੁਕੜਾ,ଖଣ୍ଡ
ਛਾਲੇ,ଭୂତଳ
ਕ੍ਰਿਪਟੌਗਮ,କ୍ରିପ୍ଟୋଗାମ୍ |
ਕੂਲ (ਫਲ),CULE (ଫଳ)
ਕੂਲਮ,କୁଲମ୍
ਕਾਸ਼ਤਕਾਰ,ଚାଷ ଜ
ਕਾਸ਼ਤ,ଚାଷ
ਕਾਸ਼ਤਕਾਰ,ପତ୍ରିକା
ਸਭਿਆਚਾਰ,ସଂସ୍କୃତି
ਕਰਿੰਗ,କ୍ୟୁସିଂ
ਕਰਲਿੰਗ,କୁଞ୍ଚଳ
ਮੁਦਰਾ,ମୁଦ୍ରା |
ਕਟੀਲ,କୁମଲେ
ਕੱਟਣਾ,କାଟିବା
ਗੱਠ,Cyst
Cytochromo,ସାଇଟୋଚ୍ରୋମ୍ |
ਸਾਈਨੋਗਮੀ,ସାଇଟୋଗାମି |
Cytegeenesis,ସାଇଟୋଜେନେସୀ |
ਸਾਇਟਾਈਜਨੇਟਿਕ,ସାଇଟୋଜେନେଟିକ୍ସ
ਸਾਇਟੋਕਿਨੇਸਿਸ,ସାଇଟୋୋକାଇନ୍ସିସ୍
ਸਾਇਟੋਲੋਜੀ,ସାଇଟୋଲୋଜି
ਸਾਈਂਟਾਈਸਿਸ,CYTOYLISISISTS
ਸਾਇਟੋਮਰੇ,ସାଇଟୋମେରେ
ਸਾਇਟੋਪਲਾਜ਼ਮ,ସାଇଟୋପ୍ଲାଜମ୍
ਪੱਤਾਗੋਭੀ,ବନ୍ଧାକୋବି
ਕੈਕਟਸ,କାକଟସ୍ |
ਕੈਲੰਡੁਲਾ,କ୍ୟାଲେଣ୍ଡୋୁଲା |
ਕੈਨਰੀ ਘਾਹ (ਤਾਰੀਆਂ),କାନାରି ଘାସ (ଫାର୍ଲିସ୍)
ਕੈਨਨਾ,କାନନା |
ਕੈਪਾਰਿਸ,କ୍ୟାପିଟିସ୍
ਕੈਪਸਿਕਮ,Capsicum
ਕੈਰਮਬੋਲਾ,କାରାମୋବୋଲା |
ਕੈਰਾਪਾ,କାରାସା |
ਕਾਰਡਮੋਮ,କାର୍ଡାମୋମ |
ਕੈਰੇਸ਼ਨ,କାର୍ନେସନ୍ |
ਗਾਜਰ,ଗାଜର
ਕਾਜੂ ਗਿਰੀ,କାଜୁ ବାଦାମ |
ਕਾਸੀਆ,କ୍ୟାସିୟା
ਕੈਸਟਰ,କାଷ୍ଟର |
ਫੁੱਲ ਗੋਭੀ,ଫୁଲକୋବି |
ਅਜਵਾਇਨ,ସେଲରି
ਚੈਂਪੈਕ,ଚମ୍ପାକ୍
ਚੇਨੋਪੋਡੀਅਮ,ଚେନୋପୋଡିୟମ୍
ਚੈਰੀ ਟਮਾਟਰ,ଚେରି ଟମାଟୋ |
ਚੈਰੀ,ଚେରି
"Chickpea, ਗ੍ਰਾਮ","ଛେନା, ଗ୍ରାମ |"
ਮਿਰਚ,ଚିଲିସ
ਚਾਈਨਾ ਟਰਪੇਨਟੀਨ ਟ੍ਰੀ,ଚୀନ୍ ଟର୍ପେଣ୍ଟାଇନ୍ ଗଛ |
ਚੋ-ਚੋਅ,ଚୋ-ଚାଉ
ਕ੍ਰਾਈਸੈਂਥੇਮਮ,ChrysSanthemumum
"ਚੁਫੀਆ, ਧਰਤੀ ਦਾ ਬਦਾਮ","ଚୁଫା, ପୃଥିବୀ ବାଦାମ |"
ਸਿਖਾਂ,ସୋହୋରୀ
ਦਾਲਚੀਨੀ,ଚିନାବାଦାମ |
ਸਿਟਰਨ,ଆରଟନ୍ |
ਸਿਟਰੋਨਲਾ ਘਾਹ,ସାଇଟ୍ରନେଲିଲା ଘାସ |
ਜਸਮੀਨ ਚੜ੍ਹਨਾ,ଜସ୍ମିନ୍ ଚ cl େ |
ਲੌਂਗ,ଲବଙ୍ଗ
ਕਲੱਸਟਰ ਬੀਨ,କ୍ଲଷ୍ଟର ବିନ୍ |
ਕੋਕੋ,କୋକୋ
ਨਾਰੀਅਲ,ନଡ଼ିଆ |
ਕਾਫੀ,କଫି
ਕੋਲੇਸ,କୋଲସ
ਕੋਲੋਕੈਸੀਆ,କୋଲୋସିସିଆ
"ਕੋਲੋਸੀਥਾ, ਕੌੜਾ ਐਪਲ","ଉପନିବେଶ, ତିକ୍ତ ଆପଲ୍ |"
ਆਮ ਸੇਵਾ,ସାଧାରଣ ପର୍ସଲେନ |
ਧਨੀਆ,ଧନିଆ
ਸੂਤੀ,କପା
ਕਾਵਾਂ,ଗା cow ାସ
ਕੁਬੇਬ,କ୍ୟୁବ୍
ਖੀਰਾ,କାକୁଡି
ਖਰਕੀ,କ୍ୟୁକୁଭର୍ଟସ୍ |
ਜੀ,ଜିର୍ତିକ |
ਕਰੀ ਪੱਤੇ,ତରକାରୀ ପତ୍ର |
ਕਸਟਾਰਡ ਐਪਲ,କଷ୍ଟାର୍ଡ ​​ଆପଲ୍ |
ਕੈਪਸੂਲ ਬੋਰਰ,କ୍ୟାପସୁଲ୍ ବୋରର୍ |
ਕੈਟਰਪਿਲਰ,କ୍ୟାଟପିଲର୍
ਨਿੰਬੂ ਸਾਈਂ,ସାଇଟ୍ରସ୍ ସିଲେଲା |
ਕ੍ਰਿਕੇਟ,କ୍ରିକେଟ୍
ਕਾਂ,କାଉ
ਕੀੜਾ ਕੱਟੋ,କଟା ପୋକ
ਡੇਅਰੀ,ଦୁଗ୍ଧ
ਡੇਅਰੀ,ଦୁର୍ଗର
ਡੈਮ,ବନ୍ଧ
ਦਿਵਸ ਨਿਰਪੱਖ,ଦିନ-ନିରପେକ୍ଷ |
ਫੁੱਲ ਆਉਣ ਤੋਂ ਬਾਅਦ,ଫୁଲର ଦିନ ପରେ |
ਪੂਰੇ ਖਿੜ ਦੇ ਬਾਅਦ ਦਿਨ,ପୂର୍ଣ୍ଣ ଫୁଲ ପରେ ଦିନ |
ਡੀਬਲੋਸੋਮਿੰਗ,Deblossome
ਅਸਵੀਕਾਰ,ହ୍ରାସ
ਫੈਸਲਾ,କ୍ଷୟ
ਵਿਗਾੜ,କ୍ଷୟ
ਪਤਝੜ,ନିର୍ଣ୍ଣୟ
ਦਸ਼ਮਲਵ,ଦଶମିକ
ਘਾਟ,ଅଭାବ |
ਡੀਫਲੋਕੁਲੇਸ਼ਨ (ਮਿੱਟੀ),ଡିଫ୍ଲୋକେସନ୍ (ମାଟି)
ਬਦਨਾਮੀ,ପରିଶୋଧନ
ਹੱਤਿਆ,ଗଭୀରତା
ਕਟਾਈ,ଜଙ୍ଗଲ |
ਡੀਜਨਰੇਸ਼ਨ,ଅବଶ୍ୟ ନିରନ୍ତର
ਨਿਘਾਰ,ଭିକେସନ୍
ਡਿਗਰੀ ਦਿਨ,ଡିଗ୍ରୀ ଦିନ
ਡਿਗਰੀ,ଡିଗ୍ରୀ
ਡੀਹਿਸੈਂਸ,ଡିଫିସେନ୍ସ |
ਦਹੁਣਾ,ଦେହୁଙ୍ଗିଂ
ਡੀਹੁਸਕਿੰਗ,ଦେହକ୍କକ୍ କରିବା
ਡੀਹਾਈਡਰੇਸ਼ਨ,ଡିହାଇଡିଂ
ਡੀਹਾਈਡਰੇਟਰ,ଘୋଡେନକର୍
ਮੰਗ,ଚାହିଦା
ਗਿਰਾਵਟ,ନିନ୍ଦା
ਘਟਨਾਵਾਂ,ନିନ୍ଦା
ਜਮ੍ਹਾ,ଜମା
ਜਮ੍ਹਾ,ଚିହ୍ନ
ਕਮੀ,ଅବନତି କରାଲିନାଇଜେସନ୍ |
Desiccation,ମାନସ
ਡਿਜ਼ਾਇਨ,ଡିଜାଇନ୍
ਡੈਸੀਕੇਟਰ,ଡେସିକର୍ତ୍ତା
ਨਿਰਧਾਰਤ,ଆକ୍ରମଣ
ਡਿਸਿਕਰਿੰਗ,ନିଷ୍କ୍ରିୟ |
Desynapis,Desynapp ଗୁଡିକ
ਡੈਟਾਸਲ,ଡିଟସେଲ |
ਡੀਟਾਸਿੰਗ,ଡିଟସେସିଂ |
ਨਿਰਧਾਰਤ,ନିର୍ଣ୍ଣୟ
ਦੀ ਘਾਟ,ମୂଲ୍ୟ ହ୍ରାସ
ਠਹਿਰਾਓ,ବିଘ୍ନନା
ਭਟਕਣਾ,ବ୍ୟତିକ୍ରମ
ਡਿਆਡ,Digd
ਨਿਦਾਨ,ନିରାକରଣ
ਦੁਚਰਾ,ଡିକୋଗାମି |
Dichotomy,ଡିକଟୋଟୋମି |
ਡਿਕੋਟਾਈਲਡਨ (ਬੀਜ),ଡିକୋଟିଡିନ୍ (ବିହନ)
ਮਰ ਜਾਓ (ਬਿਮਾਰੀ),ବ୍ୟାକ୍ ବ୍ୟାକ୍ (ରୋଗ)
ਫੈਲਾ,ପରିଭାଷାନ
ਪਾਚਨਤਾ,ହଜମ୍ବତି |
ਡਾਇਲਬ੍ਰਿਡ,ଡିହାଇବଏଡ୍
ਡਾਈਕ (ਡਾਈਕ),ଡିକି (DYKE)
ਪਤਲਾ,ମିଶ୍ରିତ
Dioeous,ଡାଇଓକାରୀ
ਡਿਪਲੋਇਡ,ଡିପ୍ଲାଇଡ୍
ਡਿਪਲੋਇਡ,ଡିପ୍ଲାଇଡ୍
ਡਿਪਲੋਨੀਮਾ,ଡିପ୍ଲୋନେମା
ਡਿਸਬੋਡਿੰਗ,ଅଦୃଶ୍ୟତା
ਡਿਸਕਿੰਗ,ଡିସ୍କ
ਛੂਟ,ରିହାତି
ਰੋਗਾਣੂ-ਮੁਕਤ,ଅସଂଗୁକ୍ଷା
ਫੈਲਾਅ,ବିଚ୍ଛେଦ
ਪ੍ਰਸਾਰ,ବିସ୍ତାର
ਵਿਭਿੰਨਤਾ,ବିବିଧତା
ਵਿਭਿੰਨਤਾ,ବିବିଧ ଚାଷ
ਡੀ ਐਨ ਏ ਪੌੜੀ,DNA ସିଡ଼ି |
ਡੀ ਐਨ ਏ ਰੀਸੈਪਟਰ,DNA RESPTOTER |
ਡੋਕੇਜ,ଡୋଗେଜ
ਪ੍ਰਭਾਵਸ਼ਾਲੀ,ପ୍ରାଧାନ୍ୟ
ਸੁਸਤ,Gormancy
ਖੁਰਾਕ,ମାତ୍ରା
ਡਬਲ ਸਿਗੋਮਾਈਡ ਕਰਵ,ଡବଲ୍ ସିଗମାଇଡ୍ ବକ୍ର |
ਡਰਾਫਟ (ਡਰਾਫਟ),ଡ୍ରାଫ୍ଟ (ଡ୍ରାଫ୍ଟ)
ਡਰੇਨ,ନାଳି
ਡਰੇਨੇਜ,ଜଳ ନିଷ୍କାସନ
ਡਰਾਅ ਕਰੋ,ଡ୍ର
ਖਾਈ,ଶୁଖିବା
ਡਰੈਸਿੰਗ (ਬੀਜ),ପୋଷାକ (ବିହନ)
ਮਸ਼ਕ (ਐਨ.),ଡ୍ରିଲ୍ (n।)
ਡ੍ਰਿਲਿੰਗ (ਏਜੀ. ਇੰਜੀਨੀਅਰ),ଡ୍ରିଲିଂ (ଏଜେ। Engg)
ਡ੍ਰਿਲੰਗ (ਖੇਤੀਬਾੜੀ),ଡ୍ରିଲିଂ (ଆଗ୍ରୋନ୍ରୋଣ)
ਡਰਿਪ ਸਿੰਚਾਈ,ଜଳସେଚନ
ਡ੍ਰਾਇਵਲੈਂਡ ਖੇਤੀ,ଡ୍ରାଏଲାଣ୍ଡ ଫାର୍ମିଂ |
ਧੂੜ,ଧୂଳି
ਡੱਸਟਰ,ଡଷ୍ଟର୍
ਧੂੜ,ଧୂଳି
ਬੌਨੇ,ବଧୂ |
Dwarf ਪਿਰਾਮਿਡ,ବଧୂ ପିରାମିଡ୍ |
Dwarfing,ବଧୂ |
ਡੇਜ਼ੀ,Daissy
ਤਾਰੀਖਾਂ,ତାରିଖ
ਦਿਨ ਜੈਸਮੀਨ,ଦିନ ଜସ୍ମିନ୍ |
ਡਿਲ,ଡିଲ୍
ਦੀਨਨਾਥ ਘਾਹ,ଦିନନାଥ ଘାସ |
ਡੂਡਡਰ,ଚାଳକ
"ਡੂਬ ਘਾਹ, ਬਰਮੁਡਾ ਘਾਹ","ଡୋବ ଘାସ, ବରମୁଣ୍ଡା ଘାସ |"
ਬਰੂਸ,ଡଣ୍ଠି
ਸੁੱਕੇ ਅਦਰਕ,ଶୁଖିଲା ଅଦା
ਮੋਹਰਿੰਗ ਬੀਟਲ,ଡିଫୋଲିଂ ପୋକ
ਡਰੋਨ,ଡ୍ରୋନ୍
ਬਤਖ਼,ବତକ
ਵਾਤਾਵਰਣ,ପରିବେଶ
Econometrics,ଇକୋନୋମଟ୍ରିକ୍ସ |
ਆਰਥਿਕ ਕੁਸ਼ਲਤਾ,ଅର୍ଥନ aff ତିକ ଦକ୍ଷତା |
ਈਕੋਟਾਈਪ,ଇକୋଟେପ୍ |
ਐਲੀਕਟ੍ਰੋਫਿਕ,Ectorrophic
ਏਡੋਫੇਿਕ,ଏଡଫାଲିକ୍ |
ਐਡੀਫੋਲੋਜੀ,ଏଡିବାଫୋଲୋଜି
ਐਡਜਿੰਗ,Eding
ਖਾਣ ਵਾਲੇ ਹਿੱਸੇ,ସମ୍ପୁର୍ଣ୍ଣ ଅଂଶ
ਮੰਗ ਦੀ ਲਚਕਤਾ,ଚାହିଦା ଚାହିଦା |
ਉਤਪਾਦਨ ਦੀ ਲਚਕਤਾ,ଉତ୍ପାଦନର ଇଲଷ୍ଟିକ୍ |
ਇਲੈਕਟ੍ਰੋਲੋਸਿਸ,ଇଲେକ୍ଟ୍ରୋଲାଇସିସ୍
ਇਲੈਕਟ੍ਰੋਫੋਰੇਸਿਸ,ଇଲେକ୍ଟ୍ରୋଫୋରସସ୍
ਕਪੜੇ,ବିଲିୟନଟେସନ୍
Emasculator,ଇମାସକୋଲେଟର |
ਤੇਜ਼,ଜବରଦଖଲ
ਭਰੂਣ,ଭ୍ରୁଣ
ਭਰੂਣ,ଭ୍ରୁଣବିଶ୍ୱାସ
ਉਭਰਨ,ଉଦତର |
ਇਮਲਸੀਫਾਇਰ,ଏମୁଲେସିଫାୟର୍ |
ਐਂਡੋਜੇਨਸ,ଇବଗେନୋଜ
ਹੋਂਦ,ଏଣ୍ଡୋରିଟୋସିସ୍ |
ਨਿਰਦੋਪਿਤ,ଏଣ୍ଡୋ ପଯାତ୍ରାଟ୍ |
ਐਂਡੋਸਪਰਮ,ଏଣ୍ଡୋରମ୍
ਉੱਦਮ,ଉଦ୍ୟମ୍
ਐਂਡੋਮੋਲੋਜੀ,ପ୍ରବେଶ
ਵਾਤਾਵਰਣ,ପରିବେଶ
ਪਾਚਕ,ଏନଜାଇମ୍
ਐਪੀਸੋਤੀਲ ਗ੍ਰਾਫਟਿੰਗ,ଏପିକୋଟିସ୍ ଗ୍ରାଫ୍ଟିଙ୍ଗ୍ |
ਐਪੀਫਾਈਟ,EpipheeTee
ਇਕੁਇਟੀ,ଇକ୍ୱିଟି |
ਖਾਤਮੇ,ବିଲାତି
ਜ਼ਰੂਰੀ ਪੌਸ਼ਟਿਕ ਤੱਤ,ଅତ୍ୟାବଶ୍ୟକ ପୁଷ୍ଟିକର |
ਅਨੁਮਾਨ,ଆକଳନ
ਈਟੀਓਲੇਸ਼ਨ,ଇଥିଓପିଏମ |
ਯੂਗੇਨਿਕ,ଇଉଜେନିକ୍
ਮੁਲਾਂਕਣ,ମୂଲ୍ୟାଙ୍କନ
ਈਵੈਪੋਮੀਟਰ,Evaporimer
ਈਵੋ-ਟ੍ਰਾਂਸਪਿ .ਸ਼ਨ,ବାଷ୍ପ-ଟ୍ରାନ୍ସପେରେସନ୍ |
ਸਦਾਬਹਾਰ ਇਨਕਲਾਬ,ଚିର ସବୁଜ ବିପ୍ଳବ |
ਸਦਾਬਹਾਰ,ଚିର ସବୁଜ |
ਵਿਕਾਸ,ବିବର୍ତ୍ତନ
ਆਬਕਾਰੀ,ଏକ୍ସ
ਥਕਾਵਟ (ਜਣਨ),ନିଷ୍କାସନ (ପ୍ରଜନନ)
ਸ਼ੋਸ਼ਣ,ଶୋଷଣ
ਖੋਜ,ଅନୁସନ୍ଧାନ
ਬਾਹਰ ਕੱ .ਣ,ବହିଷ୍କାର
ਅੱਖ (ਸੋਗਕੈਨ / ਆਲੂ),ଆଖି (ସାଲେଡେନ୍ / ଆଳୁ)
ਖਾਣ ਵਾਲੇ ਪਾਈਨ,ଖାଇବା ପାଇନ୍
"ਹਾਥੀ ਪੈਰ, ਯਮ","ହାତୀ ପାଦ, ୟାମ"
ਯੁਕਲਿਪਟਸ,ଇଉକ୍ଲିପଟସ୍
ਧਰਤੀ ਦਾ ਕੀੜਾ,ପୃଥିବୀ କୀଟ
ਐਂਟਰੋਲੋਜਿਸਟ,Entomologist-
ਵਾਤਾਵਰਣਕ,ପରିବେଶଗତବାଦୀ
ਕਾਰਕ,କାରକ
ਕਾਰਕ ਉਤਪਾਦਕਤਾ,କାରକ ଉତ୍ପାଦନ
ਫੈਕਟੋਰੇਜ,ଭାସ୍ଟାଉଣ୍ଡ
ਫੈਕਟੈਕਟਿਵ ਬਲਾਕ ਡਿਜ਼ਾਈਨ,ଫ୍ୟାକ୍ଟୋରିଆଲ୍ ବ୍ଲକ୍ ଡିଜାଇନ୍ |
ਫੈਕਲਟੀਟੇਟਰਟੇਟਰੇਟਿਵ,ଅଧ୍ୟାପକ
ਪਰਦਾ,ପତଳା |
ਪਰਿਵਾਰ,ପରିବାର
ਫਾਰਮ ਮੁਲਾਂਕਣ,ଫାର୍ମ ମୂଲ୍ୟାଙ୍କନ |
ਖੇਤ ਬਜਟ,ଫାର୍ମ ବଜେଟ୍
ਖੇਤ ਦਾ ਕਾਰੋਬਾਰ,ଚାଷ ବ୍ୟବସାୟ
ਫਾਰਮ ਦੀ ਯੋਜਨਾਬੰਦੀ,ଫାର୍ମ ଯୋଜନା
ਕਿਸਾਨ,କୃଷକ
ਖੇਤੀ,ଚାଷ
ਸ਼ਮੂਲੀਅਤ,ବନ୍ଧକ
ਧੋਖਾਧੜੀ,ଫେବୃଆଣ୍ଡେସନ୍
ਫਰਮੈਂਟੇਸ਼ਨ,ମୁଖ
ਜਣਨ,ପ୍ରଜନନ
ਖਾਦ,ସାର
ਖਾਦ ਦੀ ਕੁਸ਼ਲਤਾ,ଫର୍ଟିଲାଇଜର ବ୍ୟବହାର ଦକ୍ଷତା ବ୍ୟବହାର କରନ୍ତୁ |
ਰੇਸ਼ੇਦਾਰ,ଫାଇବ୍ରସ୍
ਖੇਤਰ,କ୍ଷେତ୍ର
ਖੇਤਰ ਦੀ ਸਮਰੱਥਾ,କ୍ଷେତ୍ର ଦକ୍ଷତା
ਖੇਤਰ ਪ੍ਰਦਰਸ਼ਨ,କ୍ଷେତ୍ର ପ୍ରଦର୍ଶନ
ਨਿਰਧਾਰਤ,ଫିକ୍ସସନ୍
ਹੜ੍ਹ,ବନ୍ୟା ପରିସ୍ଥିତି
ਵਹਾਅ ਡਾਇਗਰਾਮ,ପ୍ରବାହ ଚିତ୍ର |
ਭੋਜਨ ਦਾ ਮੁੱਲ,ଖାଦ୍ୟ ମୂଲ୍ୟ
ਚਾਰਾ (ਚਾਰਾ),ଚାରା (ଖାଇବାକୁ)
ਭਵਿੱਖਬਾਣੀ,ପୂର୍ବାନୁମାନ
ਜੰਗਲ,ଜଙ୍ଗଲ
ਜੰਗਲਾਤ,ରକ୍ତ ବନ୍ଧୁମାନେ
ਫਰੌਡ,ବରଣ୍ଡ
ਠੰਡ ਰੋਧਕ,ବରଫ ପ୍ରତିରୋଧକ |
ਠੰਡ,ବରଫ
ਫ੍ਰੋਜ਼ਨ (ਫਲ ਅਤੇ ਸਬਜ਼ੀਆਂ),ଫ୍ରିଜ୍ (ଫଳ ଏବଂ ପନିପରିବା)
ਫਰੂਟੇਸ਼ਨ,ଫଳ
ਫਲ ਬੂੰਦ,ଫଳ ଡ୍ରପ୍
ਫਲ-ਸੈੱਟ (ਫਲ ਸੈਟਿੰਗ),ଫଳ-ସେଟ୍ (ଫଳ ସେଟିଂ)
ਧੁੰਦਲੀ,ଫ୍ୟାଜିଜ୍
ਫੰਜਾਈਸਾਈਡ,ଫଙ୍ଗିସାଇଡ୍ |
ਮਜ਼ੇਦਾਰ,ଫଙ୍ଗିଷ୍ଟାଟିକ୍ |
ਫੰਗਸ,କବକ
Furown,ଫ୍ରୁ
ਮਿਸ਼ਰਨ,ଫ୍ୟୁଜନ୍ |
ਫਜ਼,ଫୁଜ୍
ਫਜ਼ੀ,ଅସ୍ପଷ୍ଟ
"ਫੈਨਿਲ, ਅਨੀਸ","ଫେନେଲ, ଆଣ୍ଠୁଏ |"
Fenugreek,FenugRek
ਅੰਜੀਰ,ଡିମ୍ବିରି
ਫਿੰਗਰ ਬਾਜਰੇ,ଆଙ୍ଗୁଠି ମିଲେଟ୍ |
ਅੱਗ-ਲਾਲ ਝਾੜੀ,ଅଗ୍ନି-ଅଗ୍ନି ବୁଦା
ਜੰਗਲ ਦੀ ਲਾਟ,ଜଙ୍ଗଲର ନିଆଁ
ਫ੍ਰੈਂਚ ਬੀਨ,ଫରାସୀ ବିନ୍
ਫਲੀ,ପୋକ
ਲੂੰਬੜੀ,ଠେକୁଆ
ਫਲ ਉੱਡਦੇ ਹਨ,ଫଳ ଉଡ଼ିଠି
Gall (ਹੋਰਟ),ଗଲ୍ (ହୋର୍ଟ)
ਗੇਮਟ,ଖେଳ
ਗਾਰਡਨ,ଉଦ୍ୟାନ
ਗੇਜ (ਪਾਣੀ),ଗେଜ୍ (ପାଣି)
ਜੀਨ ਬੈਂਕ,ଜିନ୍ ବ୍ୟାଙ୍କ |
ਜੀਨ ਟੈਗਿੰਗ,ଜିନ୍ ଟ୍ୟାଗ୍ କରିବା |
ਵਾਹਨ,ବଂଶଧରୋଗ ବିଜ୍ଞାନ
ਜੈਨੇਟਿਕ ਨਕਸ਼ਾ,ଜେନେଟିକ୍ ମାନଚିତ୍ର |
ਜੈਨੇਟਿਕਸ,Gegnetics
ਜੀਨੋਮ,ଜିଦ୍
ਜੀਨੋਮਿਕ ਲਾਇਬ੍ਰੇਰੀ,ଜେନୋମିକ୍ ଲାଇବ୍ରେରୀ |
ਜੇਨੋਮਿਕਸ,ଜେନୋମିଟର
ਜੀਨੋਟਾਈਪ,ଜେନେଟାଇପ୍
