Kannada,Assamese
ಡಿಫ್ರಾಗ್ಮೆಂಟೇಶನ್,ডিফ্ৰেগমেণ্টেচন
ವಿಳಂಬ,পলম কৰা
ವಿಳಂಬ ಕೌಂಟರ್,বিলম্ব কাউণ্টাৰ
ವಿಳಂಬ ಸಮಯ,বিলম্বৰ সময়
ಅಳಿಸಿ,বিলোপ
ಅಳಿಸುವಿಕೆ ದಾಖಲೆ,ডিলিচন ৰেকৰ্ড
ಡಿಲಿಮಿಟರ್,সীমা নিৰ্ধাৰণকাৰী
ಡೆಲ್ಟಾ ಮಾಡ್ಯುಲೇಶನ್,ডেল্টা মডুলেচন
ಬೇಡಿಕೆ ಪೇಜಿಂಗ್,ডিমাণ্ড পেজিং
ಡೆಮೊ,ডেমো
ಡಿಮೋಡ್ಯುಲೇಶನ್,ডিমডুলেচন
ಡಿಮಲ್ಟಿಪ್ಲೆಕ್ಸರ್,ডিমাল্টিপ্লেক্সাৰ
ಅಸಾಧಾರಣೀಕರಣ,ডিনৰ্মেলাইজেচন
ಸಾಂದ್ರತೆ,ঘনত্ব
ಅವಲಂಬನೆ,নিৰ্ভৰশীলতা
ಅವಲಂಬಿತ ಘಟಕ,নিৰ্ভৰশীল একক
ಡಿಕ್ಯೂ,ডিকিউ
ಅವಲಂಬನೆ,ডিৰেফাৰেন্সিং
ವ್ಯುತ್ಪನ್ನ ಮರ,ব্যুৎপত্তি গছ
ಪಡೆದ ಕ್ಷೇತ್ರ,ব্যুৎপত্তি কৰা ক্ষেত্ৰ
ಅವರೋಹಣ ರೀತಿಯ,অৱনমিত সজাই পৰাই তোলা
ವಿನ್ಯಾಸ,ডিজাইন
ಮೇಜಿನ ಕ್ಯಾಲ್ಕುಲೇಟರ್,ডেস্ক কেলকুলেটৰ
ಡೆಸ್ಕ್ ಟಾಪ್ ಕಂಪ್ಯೂಟರ್,ডেস্ক টপ কম্পিউটাৰ
ಡೆಸ್ಕ್ಟಾಪ್ ಪ್ರಸ್ತುತಿ,ডেস্কটপ উপস্থাপন
ಡೆಸ್ಕ್‌ಟಾಪ್ ಪಬ್ಲಿಷಿಂಗ್ (ಡಿಟಿಪಿ),ডেস্কটপ প্ৰকাশন (DTP)
ಡೆಸ್ಕ್ಟಾಪ್ ವೀಡಿಯೊ,ডেস্কটপ ভিডিঅ&#39;
ತಲುಪಬೇಕಾದ ವಿಳಾಸ,গন্তব্যস্থানৰ ঠিকনা
ವಿಧ್ವಂಸಕ,ধ্বংসকাৰী
ಡಿಟರ್ಮಿನಿಸ್ಟ್ರಿಕ್ ಆಟೊಮ್ಯಾಟ್‌ಗಳು,ডিটাৰ্মিনিষ্ট্ৰিক অটোমেটসমূহ
ಡೆವಲಪರ್,ডেভেলপাৰ
ಅಭಿವೃದ್ಧಿ ವ್ಯವಸ್ಥೆ,উন্নয়ন ব্যৱস্থা
ಸಾಧನ,ডিভাইচ
ಸಾಧನ ನಿಯಂತ್ರಣ ಘಟಕ,ডিভাইচ নিয়ন্ত্ৰণ একক
ಸಾಧನ ನಿಯಂತ್ರಕ,ডিভাইচ নিয়ন্ত্ৰক
ಸಾಧನ ನಿರ್ವಹಣೆ,ডিভাইচ ব্যৱস্থাপনা
ಸಾಧನ ಮೋಡ್,ডিভাইচ ধৰণ
ರೋಗನಿರ್ಣಯ,নিদান
ರೋಗನಿರ್ಣಯ ವ್ಯವಸ್ಥೆ,ডায়েগনষ্টিক চিষ্টেম
ರೋಗನಿರ್ಣಯ,ডায়েগনষ্টিকছ
ರೇಖಾಚಿತ್ರ,ডায়েগ্ৰাম
ಡಯಲ್ ಮಾಡಿ,ডায়েল কৰক
ಡಯಲ್ ಲೈನ್,ডায়েল লাইন
ಡಯಲ್ ಟೋನ್,ডায়েল টোন
ಡಯಲ್ ಅಪ್ ಮಾಡಿ,ডায়েল আপ কৰক
ಸಂವಾದ,সংলাপ
ಸಂವಾದ ಪೆಟ್ಟಿಗೆ,সংলাপ বাকচ
ಡಯಲಪ್ ಮೋಡೆಮ್,ডায়েলআপ মডেম
ವ್ಯಾಸ,ব্যাস
ನಿಘಂಟು,অভিধান
ವ್ಯತ್ಯಾಸ,পাৰ্থক্য
ಡಿಜಿಟಲ್,ডিজিটেল
ಡಿಜಿಟಲ್ ಚಾನಲ್,ডিজিটেল চেনেল
ಡಿಜಿಟಲ್ ಸರ್ಕ್ಯೂಟ್,ডিজিটেল বৰ্তনী
ಡಿಜಿಟಲ್ ಕಂಪ್ಯೂಟರ್,ডিজিটেল কম্পিউটাৰ
ಡಿಜಿಟಲ್ ಡೇಟಾ,ডিজিটেল ডাটা
ಡಿಜಿಟಲ್ ಸೌಲಭ್ಯ,ডিজিটেল সুবিধা
ಡಿಜಿಟಲ್ ಫಿಲ್ಟರ್,ডিজিটেল ফিল্টাৰ
ಡಿಜಿಟಲ್ ಲೈಬ್ರರಿ,ডিজিটেল লাইব্ৰেৰী
ಡಿಜಿಟಲ್ ಮಾಡ್ಯುಲೇಶನ್,ডিজিটেল মডুলেচন
ಡಿಜಿಟಲ್ ಮಾನಿಟರ್,ডিজিটেল মনিটৰ
ಡಿಜಿಟಲ್ ಚಿತ್ರ,ডিজিটেল ছবি
ಡಿಜಿಟಲ್ ಸಹಿ,ডিজিটেল স্বাক্ষৰ
ಡಿಜಿಟಲ್ ಸ್ವಿಚ್,ডিজিটেল চুইচ
ಡಿಜಿಟಲ್ ಟು ಅನಲಾಗ್ (D/A) ಪರಿವರ್ತಕ,ডিজিটেলৰ পৰা এনালগলৈ (D/A) ৰূপান্তৰক
ಡಿಜಿಟಲೀಕರಣ,ডিজিটাইজেচন
ಡಿಜಿಟೈಜ್ ಮಾಡಿ,ডিজিটেলাইজ কৰক
ಡಿಜಿಟೈಸರ್,ডিজিটাইজাৰ
ಡಯೋಡ್,ডাইঅ&#39;ড
ನೇರ,পোনপটীয়া
ನೇರ ವಿಳಾಸ,প্ৰত্যক্ষ ঠিকনা
ನೇರ ಪರಿವರ್ತನೆ,প্ৰত্যক্ষ ৰূপান্তৰ
ನೇರ ಜೋಡಣೆ,প্ৰত্যক্ষ সংযোজন
ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA),প্ৰত্যক্ষ মেমৰি অভিগম (DMA)
ನೇರ ಮೆಮೊರಿ ಪ್ರವೇಶ (DMA),প্ৰত্যক্ষ স্মৃতিশক্তি প্ৰৱেশ (DMA)
ನೇರ ವಿಧಾನ,প্ৰত্যক্ষ পদ্ধতি
ನಿರ್ದೇಶನ,নিৰ্দেশনা
ಡೈರೆಕ್ಟರಿ,ডাইৰেকটৰী
ಡೈರೆಕ್ಟರಿ ಸರ್ವರ್,ডাইৰেকটৰি চাৰ্ভাৰ
ಡೈರೆಕ್ಟರಿ ಸೇವೆ,ডাইৰেকটৰি সেৱা
ನಿಷ್ಕ್ರಿಯಗೊಳಿಸು,অক্ষম
ಸಂಕೇತವನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸುವುದು,সংকেত নিষ্ক্ৰিয় কৰা
ಸಂಪರ್ಕ ಕಡಿತಗೊಳಿಸಿ,সংযোগ বিচ্ছিন্ন কৰক
ಪ್ರತ್ಯೇಕವಾದ,বিচ্ছিন্ন
ಡಿಸ್ಕ್,ডিস্ক
ಡಿಸ್ಕ್ ವಿಳಾಸ,ডিষ্কৰ ঠিকনা
ಡಿಸ್ಕ್ ಅರೇ,ডিষ্ক এৰে
ಡಿಸ್ಕ್ ಸಾಮರ್ಥ್ಯ,ডিষ্কৰ ক্ষমতা
ಡಿಸ್ಕ್ ಡ್ರೈವ್,ডিষ্ক ড্ৰাইভ
ಡಿಸ್ಕ್ ಫೈಲ್,ডিষ্ক নথিপত্ৰ
ಡಿಸ್ಕ್ ಮೆಮೊರಿ,ডিষ্ক মেমৰি
ಡಿಸ್ಕ್ ಆಪರೇಟಿಂಗ್ ಸಿಸ್ಟಮ್ (DOS),ডিষ্ক কাৰ্য্যকৰপ্ৰণালী (DOS)
ಡಿಸ್ಕ್ ಪ್ಯಾಕ್,ডিষ্ক পেক
ಡಿಸ್ಕ್ ಸರ್ವರ್,ডিষ্ক চাৰ্ভাৰ
ಡಿಸ್ಕ್ ಸಂಗ್ರಹಣೆ,ডিষ্ক সংৰক্ষণ
ಡಿಸ್ಕೆಟ್,ডিস্কেট
ಪ್ರದರ್ಶನ ಫೈಲ್,ফাইল প্ৰদৰ্শন কৰক
ಚಿತ್ರವನ್ನು ಪ್ರದರ್ಶಿಸಿ,ছবি প্ৰদৰ্শন কৰক
ವಿಲೇವಾರಿ,নিষ্পত্তি
ದೂರ,দূৰত্ব
ದೂರ ಕಾರ್ಯ,দূৰত্বৰ ফলন
ಅಸ್ಪಷ್ಟತೆ,বিকৃতি
ವಿತರಣೆ,বিতৰণ কৰা হৈছে
ವಿತರಿಸಿದ ಡೇಟಾ,বিতৰণ কৰা তথ্য
ವಿತರಿಸಿದ ಸರ್ವರ್,বিতৰণ কৰা চাৰ্ভাৰ
ವಿತರಿಸಿದ ವ್ಯವಸ್ಥೆ,বিতৰণ কৰা ব্যৱস্থা
ವಿತರಕ,বিতৰণমূলক
ದಾಖಲೆ,নথিপত্ৰ
ಡಾಕ್ಯುಮೆಂಟ್ ಹಿಂಪಡೆಯಲಾಗಿದೆ,নথিপত্ৰ উদ্ধাৰ কৰা হৈছে
ಡಾಕ್ಯುಮೆಂಟ್ ವಿಂಡೋ,নথিপত্ৰ উইন্ডো
ದಸ್ತಾವೇಜನ್ನು,নথিপত্ৰ
ಡೊಮೇನ್,ডমেইন
ಕಾರ್ಯಕ್ಷೇತ್ರದ ಹೆಸರು,ডমেইনৰ নাম
ಡಾಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಪ್ರಿಂಟರ್,ডট মেট্ৰিক্স প্ৰিন্টাৰ
ಕೆಳಗೆ,তললৈ
ಕೆಳಗೆ ಲಿಂಕ್,ডাউন লিংক
ಡೌನ್ ಲೋಡ್ ಆಗುತ್ತಿದೆ,ডাউন লোডিং
ಕಡಿಮೆ ಸಮಯ,ডাউন টাইম
ಎಳೆಯುವುದು,ড্ৰেগিং কৰা
DRAM (ಡೈನಾಮಿಕ್ RAM),DRAM (ডাইনামিক ৰেম)
ಡ್ರಿಫ್ಟ್,ড্ৰিফ্ট
ಚಾಲಕ,ড্ৰাইভাৰ
ಬಿಡಿ,টোপাল
ಡ್ರಾಪ್ ಡೌನ್ ಪಟ್ಟಿ ಬಾಕ್ಸ್,ড্ৰপ ডাউন তালিকা বাকচ
ಡ್ರಮ್ ಡ್ರೈವ್,ড্ৰাম ড্ৰাইভ
ಡ್ರಮ್ ಪ್ರಿಂಟರ್,ড্ৰাম প্ৰিন্টাৰ
ಡ್ರಮ್ ಘಟಕ,ড্ৰাম ইউনিট
ದ್ವಂದ್ವ,দ্বৈত
ಉಭಯ ಸಾಂದ್ರತೆ,দ্বৈত ঘনত্ব
ನಕಲಿ ವಿಳಾಸ,ডামি ঠিকনা
ಡಂಪ್,ভাণ্ডাৰ
ಡ್ಯುಪ್ಲೆಕ್ಸ್ ಸರ್ಕ್ಯೂಟ್,ডুপ্লেক্স বৰ্তনী
ಡ್ಯುಪ್ಲೆಕ್ಸಿಂಗ್,ডুপ্লেক্সিং
ನಕಲು,ডুপ্লিকেট কৰক
DVD R/W,ডিভিডি R/W
ಡಿವಿಡಿ ರಾಮ್,DVD ROM
ಡೈನಾಮಿಕ್ ಸೂಚನೆ,গতিশীল নিৰ্দেশনা
ಡೈನಾಮಿಕ್ ಮೆಮೊರಿ,গতিশীল স্মৃতিশক্তি
ಡೈನಾಮಿಕ್ಸ್,গতিশীলতা
EBCDIC,ইবিচিডিআইচি
ಇ-ವ್ಯವಹಾರ,ই-ব্যৱসায়
ಪ್ರತಿಧ್ವನಿ,প্ৰতিধ্বনি
ಇ-ಕಾಮರ್ಸ್,ই-কমাৰ্চ
ತಿದ್ದು,সম্পাদনা কৰক
ಸಂಪಾದಕ,সম্পাদক
ಶೈಕ್ಷಣಿಕ ತಂತ್ರಜ್ಞಾನ,শৈক্ষিক প্ৰযুক্তি
ಇಇಪಿ ರೋಮ್,ইইপি ৰম
ಪರಿಣಾಮಕಾರಿ ವಿಳಾಸ (ತೇಲುವ ವಿಳಾಸ),ফলপ্ৰসূ ঠিকনা (ভাসমান ঠিকনা)
ಪರಿಣಾಮಕಾರಿ ಕಾರ್ಯನಿರ್ವಹಣಾ ವಿಳಾಸ,ফলপ্ৰসূ অপাৰেণ্ড ঠিকনা
ಪರಿಣಾಮಕಾರಿ ವಿಧಾನ,ফলপ্ৰসূ পদ্ধতি
ಪರಿಣಾಮಕಾರಿ UID (ಬಳಕೆದಾರ ಗುರುತಿಸುವಿಕೆ),ফলপ্ৰসূ UID (ব্যৱহাৰকাৰী চিনাক্তকৰণ)
ಪರಿಣಾಮಕಾರಿ ಪ್ರಸರಣ ಕಾರ್ಯ,ফলপ্ৰসূ সংক্ৰমণ অপাৰেণ্ড
ಎಂಟು-ಬಿಟ್ ಬೈಟ್,আঠ-বিট বাইট
ಇ ಕಲಿಕೆ,ই-লাৰ্নিং
ಚುನಾವಣಾ ಅಲ್ಜಿರ್ತಮ್,নিৰ্বাচন-algirthm
ಎಲೆಕ್ಟ್ರಿಕ್ ಮೇಲಿಂಗ್ (ಇ-ಮೇಲ್),বৈদ্যুতিক মেইলিং (ই-মেইল)
ವಿದ್ಯುತ್ ಮುದ್ರಕ,বৈদ্যুতিক প্ৰিন্টাৰ
ವಿದ್ಯುತ್ ಲೆಕ್ಕಪತ್ರ ಯಂತ್ರ,বৈদ্যুতিক একাউণ্টিং মেচিন
ಎಲೆಕ್ಟ್ರಾನಿಕ್,ইলেক্ট্ৰনিক
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಕ್ಲಿಯರೆನ್ಸ್ ಸಿಸ್ಟಮ್ (ECS),ইলেক্ট্ৰনিক ক্লিয়াৰেন্স চিষ্টেম (ECS)
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡೇಟಾ ಇಂಟರ್ಚೇಂಜ್ (EDI),ইলেক্ট্ৰনিক ডাটা বিনিময় (EDI)
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಡೇಟಾ ಸಂಸ್ಕರಣೆ,ইলেক্ট্ৰনিক ডাটা প্ৰচেছিং
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಫೈಲಿಂಗ್,ইলেক্ট্ৰনিক ফাইলিং
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಹಣ ವರ್ಗಾವಣೆ ವ್ಯವಸ್ಥೆ (EFTS),ইলেক্ট্ৰনিক ধন হস্তান্তৰ ব্যৱস্থা (EFTS)
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ನಿಯತಕಾಲಿಕಗಳು,ইলেক্ট্ৰনিক জাৰ্নেল
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಪ್ರಕಾಶನ,ইলেক্ট্ৰনিক প্ৰকাশন
ಎಲೆಕ್ಟ್ರಾನಿಕ್ ಸ್ವಿಚ್,ইলেক্ট্ৰনিক চুইচ
ಅಂಶ,উপাদান
ಇಮೇಲ್,ই-মেইল
ಇಮೇಲ್ ವಿಳಾಸ,ই-মেইল ঠিকনা
ಎಂಬೆಡೆಡ್ ಸಿಸ್ಟಮ್,এম্বেডেড চিস্টেম
ಎಂಬೆಡಿಂಗ್,এম্বেডিং
ಹೊರಸೂಸುವ ಜೋಡಿ ತರ್ಕ (ECL),এমিটাৰ কাপল লজিক (ECL)
ಖಾಲಿ ಸ್ಟಾಕ್,খালী ষ্টেক
ಖಾಲಿ ಸ್ಟ್ರಿಂಗ್,খালী ষ্ট্ৰিং
ಅನುಕರಣೆ,অনুকৰণ
ಆವರಿಸುವಿಕೆ,এনকেপচুলেচন
ಎನ್ಸೈಫರ್,encipher
ಎನ್ಕೋಡ್,এনকোড কৰক
ಎನ್ಕೋಡರ್,এনকোডাৰ
ಎನ್‌ಕ್ರಿಪ್ಟ್ ಮಾಡಿದ ಡೇಟಾ,এনক্ৰেপ্ট কৰা তথ্য
ಎನ್ಕ್ರಿಪ್ಟಿಂಗ್ ಫೈಲ್ ಸಿಸ್ಟಮ್,নথিপত্ৰপ্ৰণালীক এনক্ৰিপ্ট কৰা
ಗೂಢಲಿಪೀಕರಣ,এনক্ৰিপচন
ಬ್ಲಾಕ್ನ ಅಂತ್ಯ,ব্লকৰ শেষ
ಕಡತದ ಅಂತ್ಯ (EOF),ফাইলৰ শেষ (EOF)
ಬಳಕೆದಾರ,শেষ ব্যৱহাৰকাৰী
ನಮೂದಿಸಿ,প্ৰৱেশ কৰা
ನಮೂದಿಸಿ-ಕೀಲಿ,এণ্টাৰ-কি
ಎಂಟರ್ಪ್ರೈಸ್ ಸರ್ವರ್,এণ্টাৰপ্ৰাইজ চাৰ্ভাৰ
ಉದ್ಯಮ ವ್ಯವಸ್ಥೆ,উদ্যোগ ব্যৱস্থা
ಘಟಕ,সত্তা
ಅಸ್ತಿತ್ವ-ಸಂಬಂಧ,সত্তা-সম্পৰ্ক
ಪ್ರವೇಶ ಸಮಯ,প্ৰৱেশৰ সময়
ಪ್ರವೇಶ ವೇರಿಯಬಲ್,প্ৰৱেশ চলক
ಎಣಿಸಬಹುದಾದ,গণনাযোগ্য
ಪರಿಸರ,পৰিৱেশ
ಯುಗ,যুগ
EPROM,EPROM
ಎಪ್ಸಿಲಾನ್ ಮುಚ್ಚುವಿಕೆ,এপ্সিলন বন্ধ কৰা
ಈಕ್ವಲೈಜರ್,ইকুৱেলাইজাৰ
ಉಪಕರಣ,সঁজুলি
ಸಮಾನತೆಯ ವರ್ಗ,সমতুল্যতা শ্ৰেণী
ಸಮಾನತೆಯ ಸಂಬಂಧ,সমতুল্যতা সম্পৰ্ক
ಅಳಿಸಿಹಾಕು,মচি পেলাওক
ಕೋಡ್ ಸರಿಪಡಿಸುವಲ್ಲಿ ದೋಷ,ক&#39;ড সংশোধন কৰাত ত্ৰুটি
ದೋಷ ತಿದ್ದುಪಡಿ,ভুল সংশোধন
ದೋಷ ಪತ್ತೆ,ভুল ধৰা পেলোৱা
ದೋಷ ನಿರ್ವಹಣೆ,ভুল নিয়ন্ত্ৰণ
ತಪ್ಪು ಸಂದೇಶ,ভুল বাৰ্তা
ದೋಷ ದರ,ভুলৰ হাৰ
ದೋಷ ಚೇತರಿಕೆ,ত্ৰুটি পুনৰুদ্ধাৰ
ದೋಷ ದಿನಚರಿ,ভুল ৰুটিন
ಪಾರು ಪಾತ್ರ,পলায়ন চৰিত্ৰ
ಈಥರ್ನೆಟ್,ইথাৰনেট
ಘಟನೆ,কাৰ্যক্ৰম
ಈವೆಂಟ್ ಸರಣಿ,ইভেন্ট শৃংখল
ಈವೆಂಟ್ ನಿಯಂತ್ರಣ,ইভেন্ট নিয়ন্ত্ৰণ
ಈವೆಂಟ್ ಕೌಂಟರ್,ইভেন্ট কাউণ্টাৰ
ವಿನಾಯಿತಿ ನಿರ್ವಹಣೆ,ব্যতিক্ৰম নিয়ন্ত্ৰণ
ಬದಲಾಯಿಸಬಹುದಾದ ಡಿಸ್ಕ್ ಸಂಗ್ರಹಣೆ,বিনিময়যোগ্য ডিষ্ক সংৰক্ষণ
ಹೊರಗಿಡುವಿಕೆ,বৰ্জন
ವಿಶೇಷ ಅಥವಾ (XOR),একচেটিয়া বা (XOR)
ಕಾರ್ಯಗತಗೊಳಿಸಬಹುದಾದ ಪ್ರೋಗ್ರಾಂ,এক্সিকিউটেবল প্ৰগ্ৰেম
ಕಾರ್ಯಕಾರಿ ಹೇಳಿಕೆ,কাৰ্য্যবাহী বিবৃতি
ಸಮಗ್ರ ಹುಡುಕಾಟ,বিস্তৃত অনুসন্ধান
ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ,উপলব্ধ
ನಿರ್ಗಮಿಸಿ,প্ৰস্থান
ತಜ್ಞ ವ್ಯವಸ್ಥೆ,বিশেষজ্ঞ ব্যৱস্থা
ಅಭಿವ್ಯಕ್ತಿ,অভিব্যক্তি
ವಿಸ್ತೃತ ಗ್ರಾಫಿಕ್ ಅರೇ (XGA),সম্প্ৰসাৰিত গ্ৰাফিক এৰে (XGA)
ವಿಸ್ತೃತ ಉದ್ಯಮ ಗುಣಮಟ್ಟ (EIS),বৰ্ধিত উদ্যোগ মানদণ্ড (EIS)
ವಿಸ್ತೃತ ಯಂತ್ರ,বৰ্ধিত মেচিন
ವಿಸ್ತೃತ ಸ್ಮರಣೆ,বৰ্ধিত স্মৃতিশক্তি
ವಿಸ್ತೃತ ನಿಖರತೆ,বৰ্ধিত নিখুঁততা
ವಿಸ್ತೃತ ವಿಂಗಡಣೆ,বৰ্ধিত সজাই পৰাই তোলা
ಬಾಹ್ಯ ಕರೆ,বাহ্যিক কল
ಬಾಹ್ಯ ದೋಷ,বাহ্যিক ভুল
ಬಾಹ್ಯ ಕಾರ್ಯ,বাহ্যিক কাৰ্য্য
ಬಾಹ್ಯ ಅಡಚಣೆ,বাহ্যিক বাধা
ಬಾಹ್ಯ ಸ್ಮರಣೆ,বাহ্যিক স্মৃতিশক্তি
ಬಾಹ್ಯ ಸ್ಮರಣೆ,বাহ্যিক স্মৃতিশক্তি
ಬಾಹ್ಯ ಮೋಡೆಮ್,বাহ্যিক মডেম
ಬಾಹ್ಯ ಉಲ್ಲೇಖ,বাহ্যিক উল্লেখ
ಬಾಹ್ಯ ಹುಡುಕಾಟ,বাহ্যিক অনুসন্ধান
ಬಾಹ್ಯ ಶೇಖರಣಾ ಸಾಧನ,বাহ্যিক সংৰক্ষণ ডিভাইচ
ಹೊರತೆಗೆಯುವಿಕೆ,নিষ্কাশন
ಹೊರತೆಗೆಯುವಿಕೆ,বহিঃপ্ৰক্ষেপণ
ಮುಖ ಅಕ್ಷರ ಮುದ್ರಕ,মুখ-আখৰ প্ৰিন্টাৰ
ವಿಫಲ-ಸುರಕ್ಷಿತ ಕಾರ್ಯಾಚರಣೆ,বিফল-নিৰাপদ কাৰ্য্য
ವಿಫಲತೆಯ ದರ,বিফলতাৰ হাৰ
ವೈಫಲ್ಯ ಚೇತರಿಕೆ,বিফলতা পুনৰুদ্ধাৰ
ತಪ್ಪು ಕೋಡ್,মিছা ক&#39;ড
ತಪ್ಪು ದೋಷ,মিছা ভুল
ಫ್ಯಾನ್-ಇನ್,ফেন-ইন
ಫ್ಯಾನ್ ಔಟ್,ফেন-আউট
ಫ್ಯಾಸಿಮೈಲ್ I/O ಸಾಧನ,fascimile I/O ডিভাইচ
ವೇಗದ ಫೋರಿಯರ್ ರೂಪಾಂತರ (FFT),দ্ৰুত ফোৰিয়াৰ ৰূপান্তৰ (FFT)
ಗಂಭೀರವಾದ ತಪ್ಪು,মাৰাত্মক ভুল
ದೋಷ ಪತ್ತೆ,ত্ৰুটি ধৰা পেলোৱা
ದೋಷ ರೋಗನಿರ್ಣಯ,দোষ নিদান
ದೋಷಸಹಿಷ್ಣುತೆ,দোষ সহনশীলতা
ಫ್ಯಾಕ್ಸ್,ফেক্স
ಫ್ಯಾಕ್ಸ್ ಸಂದೇಶ,ফেক্স বাৰ্তা
FDC,এফ ডি চি
ವೈಶಿಷ್ಟ್ಯ ಪತ್ತೆ,বৈশিষ্ট্য ধৰা পেলোৱা
ಆಹಾರ ಚಕ್ರ,ফিড চক্ৰ
ಪ್ರತಿಕ್ರಿಯೆ,মতামত
ಫೀಡರ್,ফিডাৰ
ತರಲು,লৈ অনা
ಫಿಬೊನಾಕಿ ಹುಡುಕಾಟ,fibonacci অনুসন্ধান
ಫಿಬೊನಾಕಿ ಅನುಕ್ರಮ,fibonacci ক্ৰম
ಫಿಬೊನಾಕಿ ಸರಣಿ,fibonacci শৃংখলা
ಫೈಬರ್ ಆಪ್ಟಿಕ್ಸ್,ফাইবাৰ অপটিক্স
ಫಿಡೋ ನಿವ್ವಳ,ফিডো নেট
ಕ್ಷೇತ್ರ,ক্ষেত্ৰ
ಐದನೇ ತಲೆಮಾರಿನ ಕಂಪ್ಯೂಟರ್‌ಗಳು,পঞ্চম প্ৰজন্মৰ কম্পিউটাৰ
ಕಡತ,ফাইল
ಫೈಲ್ ಪ್ರವೇಶ ವಿಧಾನ,ফাইল অভিগম পদ্ধতি
ಫೈಲ್ ಹಂಚಿಕೆ ಕೋಷ್ಟಕ,ফাইল আবণ্টন টেবুল
ಫೈಲ್ ಕಂಪ್ರೆಷನ್,ফাইল সংকোচন
ಫೈಲ್ ನಕಲು,ফাইল কপি কৰা
ಫೈಲ್ ಲೇಔಟ್,ফাইল বিন্যাস
ಫೈಲ್ ವಿಲೀನ,ফাইল মাৰ্জ কৰক
ಫೈಲ್ ಚೇತರಿಕೆ,ফাইল পুনৰুদ্ধাৰ
ಫೈಲ್ ಸಂಗ್ರಹಣೆ,নথিপত্ৰ সংৰক্ষণ
ಫೈಲ್ ರಚನೆ,নথিপত্ৰ গঠন
ಕಡತ ವ್ಯವಸ್ಥೆ,নথিপত্ৰপ্ৰণালী
ಫೈಲ್ ವರ್ಗಾವಣೆ,ফাইল স্থানান্তৰ
ಫೈಲ್ ವರ್ಗಾವಣೆ ಪ್ರೋಟೋಕಾಲ್ (FTP),নথিপত্ৰ স্থানান্তৰ প্ৰটোকল (FTP)
ಫಿಲ್ಟರ್,ফিল্টাৰ
ಅಂತಿಮ ಸ್ಥಿತಿ,চূড়ান্ত অৱস্থা
ಕಂಡುಹಿಡಿಯಿರಿ,সন্ধান কৰা
ಸೀಮಿತ ಸ್ಥಿತಿಯ ಯಂತ್ರ,সসীম অৱস্থাৰ যন্ত্ৰ
ಬೆಂಕಿ ಗೋಡೆ,জুইৰ দেৱাল
ಫರ್ಮ್ವೇರ್,ফাৰ্মৱেৰ
ಮೊದಲು ಬಂದವರಿಗೆ ಮೊದಲ ಸೇವೆ,প্ৰথমে আহক প্ৰথমে পৰিবেশন কৰক
ಮೊದಲ ತಲೆಮಾರಿನ ಕಂಪ್ಯೂಟರ್,প্ৰথম প্ৰজন্মৰ কম্পিউটাৰ
ಫಸ್ಟ್ ಇನ್ ಫಸ್ಟ್ ಔಟ್ (FIFO),প্ৰথম ইন প্ৰথম আউট (FIFO)
ಮೊದಲ ಆದೇಶದ ತರ್ಕ,প্ৰথম ক্ৰমৰ যুক্তি
ಮೊದಲ ಆದೇಶದ ಸಿದ್ಧಾಂತ,প্ৰথম ক্ৰমৰ তত্ত্ব
ಸ್ಥಿರ ವಿಭಾಗ,স্থিৰ বিভাজন
ಧ್ವಜ,পতাকা
ಹೊಂದಿಕೊಳ್ಳುವ ಡಿಸ್ಕ್,নমনীয় ডিষ্ক
ಫ್ಲಾಪಿ ಡಿಸ್ಕ್,ফ্লপি ডিস্ক
ಫ್ಲಾಪಿ ಡಿಸ್ಕ್ ಡ್ರೈವ್ (ಎಫ್ಡಿಡಿ),ফ্লপি ডিষ্ক ড্ৰাইভ (Fdd)
ಹರಿವಿನ ಚಾರ್ಟ್,ফ্ল&#39; চাৰ্ট
ನಿಯಂತ್ರಣದ ಹರಿವು,নিয়ন্ত্ৰণৰ প্ৰবাহ
ಫ್ಲಶ್,ফ্লাছ
ಫೋಲ್ಡರ್,ফোল্ডাৰ
ಫಾಂಟ್,ফন্ট
ಫಾಂಟ್ ಕುಟುಂಬ,ফন্ট পৰিয়াল
ವಿದೇಶಿ ಕೀ,বিদেশী চাবি
ರೂಪ,প্ৰপত্ৰ
ಔಪಚಾರಿಕ ಭಾಷೆ,আনুষ্ঠানিক ভাষা
ಔಪಚಾರಿಕ ವ್ಯವಸ್ಥೆ,আনুষ্ঠানিক ব্যৱস্থা
ಸ್ವರೂಪ,ফৰ্মেট
ಫಾರ್ಮ್ಯಾಟಿಂಗ್,ফৰ্মেটিং
