Odiya,Hindi
ଚୋରୋରୋସାଇସ୍,"हरितरोग, क्लोरोसिस"
ଚାନୋସେଟର |,"कीपाणु, कीपकोशिका"
ଚଲେକ୍ଟିଷ୍ଟୋକାଇନ୍ସିସ୍ |,कोलेसिस्टोकाइनेसिस
ଚଲେକ୍ଟିଷ୍ଟୋକିନିନ୍ |,कोलेसिस्टोकाइनिन
କୋଲେଷ୍ଟ୍ରଲ,कोलेस्टेरॉल
କୋଲିନର୍ସଗିକ୍,"कोलीन-उत्तेजक, कोलीनर्जिक"
ଚଳାଚଳ,कॉन्ड्रिक्थीज
ଚୋଣ୍ଡ୍ରିନ୍,"उपास्थिन, कॉन्ड्रिन"
ଚାଳିତ ଚାଳିତ |,उपास्थि-अणु
କୋର୍ଡା ଟେଣ୍ଡିନା |,कंडरा रज्जु
କିରିଡା,कॉर्डेटा (रज्जुकी संघ)
ଚୋରିଓଲାଲ୍ଟାଟିକ୍ ପ୍ଲେଣ୍ଟା |,जरायु-अपरापोषिका अपरा
ସୁନ୍ଦରତା,जरायु
Chorionic କର୍ଟିକୋଟ୍ରୋପିନ୍ |,जरायु कार्टिकोट्रॉपिन
Kyoionic Tondotorpin,जरायु गोनेडोट्रॉपिन
Kyoolionic Horotropin,जरायु थायरोट्रापिन
ଚୋରଡ୍ |,रक्तक पटल
କ୍ରୋମାମାସିଡ୍ |,"अर्धसूत्र, अर्धगुणसूत्र"
କ୍ରୋମାସନିନ୍ ଫାଇବର |,क्रोमैटिन रेशा
ଚ୍ରୋମାଟିନ୍ |,क्रोमैटिन
ଚୋରମାଟୋଗ୍ରାଫିକ୍ କ techni ଶଳ |,वर्णलेखी तकनीक
ଚ୍ରୋମାଟୋଗ୍ରାଫି,"वर्णलेखिकी, क्रोमैटोग्राफी"
ଚ୍ରୋମାଟୋଫୋରେ,वर्णकधर
କ୍ରୋମୋଜେନିକ୍ ସବଷ୍ଟ୍ରେଟ୍ |,वर्णजनिक क्रियाधार
କ୍ରୋମୋନେମା,"वर्णसूत्र, क्रोमोनीमा"
କ୍ରୋମୋସୋସୋଫୋରେ,वर्णमूलक
କ୍ରୋମୋପ୍ଲାଷ୍ଟ,"वर्णलवक, क्रोमोप्लास्ट"
କ୍ରୋମୋସ୍ଓସୋମାଲ୍ ଆବର୍ଗରେ |,गुणसूत्री विपथन
କ୍ରୋମୋସୋମାନ୍ ତ୍ରୁଟି |,गुणसूत्री दोष
କ୍ରୋମୋଜୋମ୍ ମ୍ୟାପିଂ |,गुणसूत्र मानचित्रण
ବଂଶର କ୍ରୋମୋଜୋମ୍ ସିଦ୍ଧାନ୍ତ |,आनुवंशिकता का गुणसूत्र सिद्धांत
ଉତ୍ତରର କ୍ରୋମୋଜୋମ୍ ସିଦ୍ଧାନ୍ତ |,वंशागति का गुणसूत्र सिद्धांत
କ୍ରନିକ୍ ବ୍ରୋଙ୍କିଟିସ୍ |,चिरकारी श्वसनीशोथ
କ୍ରନିକ୍ ମଇଦାର ଲ୍ୟୁକେମିଆ |,चिरकारी पेशिभ श्वेताणुरक्तता
ଇତିହାସ,इतिवृत्त
କ୍ରମାନୁକ୍ରମିକ ଭାବରେ |,"कालानुक्रमिक रूप से, कालानुक्रमतः"
ChrysantHemmum ସିନ୍ରମ୍ରିଆଲଫିୟମ୍ |,क्राइसेन्थिमम सिनेरेरिफोलियम
ChrysSantmemum idinkum |,क्राइसेन्थिमम इंडिकम (गुलदाउदी)
ChryantheMemum ଗୋଲମୟମ୍ |,क्राइसेन्थिमम रोसियम
କ୍ରିସୋଫାଟା,क्राइसोफाइटा
CheRessopyte,क्राइसोफाइट
ଚାଏମ୍ବିକ୍ରନ୍ |,काइलोमाइक्रोन
ଚିେମ୍,काइम
ଚିଆମୋଟ୍ରିପ୍ସିନ୍ |,काइमोट्रिप्सिन
ସିକଦା |,साइकेडा
ସିକର୍ ଆରିଏଟିନମ୍ |,साइसर ऐरीटिनम (चना)
ସିଚ୍ଲିଡ୍ ମାଛ |,"सिकलिड मीन, सिकलिड मछली"
C- HoRizone,सी-संस्तर
ସିଲିଆ,पक्ष्माभ
ସିଲିରୀ ଶରୀର,पक्ष्माभ पिंड
ସିଲିଆରି ଗ୍ୟାଙ୍ଗଲିଅନ୍ |,पक्ष्माभ गुच्छिका
ସିଲିଂ ଆନ୍ଦୋଳନ |,पक्ष्माभी गति
ସିଲିଂ,पक्ष्माभी
ଦିଲିଜ,पक्ष्माभी प्राणी
ସିଲିୟମ୍ (ସିଲିଆ),पक्ष्माभ
ସିନ୍ନୋନା |,सिनकोना
କ୍ରିଆନା |,सायोना
CiproflookSacain,सिप्रोफ्लॉक्सैसिन
ପ୍ରଚାର,परिसंचरण
ରକ୍ତ ସଞ୍ଚାଳନ ବ୍ୟବସ୍ଥା |,परिसंचरण तंत्र
ସୁନ୍ନୋସୋଫିଜାଲ୍ କମିଶର୍ |,परिग्रसिका संधायी
ସିରୋହୋଜ୍,प्रतानी
ସିରୋସିସ୍ |,सिरोसिस
ସିରହାଉସ୍,शिखी
ସିଷ୍ଟିଷ୍ଟନା |,कुंडिका
Cistron,"कार्येक, सिस्ट्रॉन"
ସିଟ୍ରୁଇନାଇନ୍ |,सिट्रूलीन
ସାଇଟ୍ରସ୍ ଫଳ |,सिट्रस फल
କ୍ଲାନ୍ତୀ,वंशशाखिकी
କ୍ଲାନ୍ତ,पर्णाभ पर्व
କ୍ଲାଡୋଫାରା |,क्लैडोफोरा
କ୍ଲିୟରିଆ ଗାର୍ଇପିନସ୍ |,क्लैरिअस गैरीपिनस
ଶ୍ରେଣୀ,"वर्ग, क्लास"
ଶ୍ରେଣୀ,संवर्ग
ବର୍ଗୀକରଣ,वर्गीकरण
କ୍ଲାସରଗୁଡିକ,क्लैविसेप्स
କ୍ଲାଭିକଲ୍,"जत्रुक, क्लेविकल"
କ୍ଲାସ୍ ଅଙ୍କ |,नखरहीन अंगुली
ମାଟି,"मृत्तिका, चिकनी मिट्टी"
କ୍ଲିଭେଜ୍ ଫ୍ରୋ |,विदलन खाँच
କ୍ଲିଅରିଗମ୍,अनुन्मील्यपरागणी
କ୍ଲେମାଟିସିସ୍ |,क्लीमैटिस
ଜଳବାୟୁ,जलवायु
ଜଳବାୟାବ କ୍ଷେତ୍ର,जलवायु क्षेत्र
ଆରୋହଣ ପାରାମିଟର |,"जलवायवी प्राचल, जलवायु पैरामीटर"
କ୍ଲାଇମାକ୍ସ ସମ୍ପ୍ରଦାୟ |,चरम समुदाय
ପର୍ବତାରୋହୀ,आरोही
ଚ climିବା,"अरोहण, (वि.) आरोही"
କ୍ଲିନିକାଲ୍ ଅବଧି |,रोगलक्षण काल
କ୍ଲିଟେଲାର୍ |,"पर्याणिक, क्लाइटेलमी"
କ୍ଲାଇଟ୍ ଲୋଗ୍ |,"पर्याणिका, क्लाइटेलम"
ଶ୍ରେଷ୍ଠ,क्लाइटोरिया
ଶ୍ରେଷ୍ଠ ମୂଲ୍ୟାଙ୍କନ,भगशेफ
କ୍ଲାକା,अवस्कर
କ୍ଲୋନାଲ ବେଙ୍ଗ |,क्लोनी मेंढक
କ୍ଲୋନାଲ ପ୍ରଚାର,क्लोनी प्रवर्धन
କ୍ଲୋନାଲ୍ ଚୟନ |,क्लोनी वरण
କ୍ଲୋନ,क्लोन
ଘନ୍ବାଣ,क्लोनन
ବିବାହ ବନ୍ଦ କର |,सगे-संबंधियों में विवाह
ବନ୍ଦ ବ୍ୟବସ୍ଥା,संवृत तंत्र
କ୍ଲଷ୍ଟର ସର୍ଟିସିୟମ୍,क्लॉस्ट्रिडियम
କ୍ଲଷ୍ଟ୍ରିଡିୟମ୍ ବଟିକଲିୟମ୍ |,क्लॉस्ट्रीडियम ब्यूटिलिकम
କ୍ଲଟ୍ ବଷ୍ଟର୍ |,स्कंद विदारक
ରକ୍ତ ବନ୍ଦ,रुधिर स्कंदन
କ୍ଲଭଭର ବିନ୍ |,लौंग फली
କ୍ଲୋଭର-ପତ୍ର ମଡେଲ |,"त्रिपर्णी मॉडल, क्लोवर लीफ मॉडल"
କ୍ଲାଉନ୍ ମାଛ |,क्लाउन मीन
Cnidarians,नाइडेरिया प्राणी
Cnidoblast,दंशकोरक
Coachervate,"सहपुंज, सहपुंजित"
କଠିନ ଆଡଜଷ୍ଟମେଣ୍ଟ୍ ଗଣ୍ଠି |,स्थूल समायोजन घुंडी
କଠିନ ବାଲି |,मोटी रेत
ଉପକୂଳର ଡ୍ୟୁନ୍ |,तटीय टिब्बा
ଉପକୂଳ ପ୍ରବାହିତ ସଂସ୍କୃତି ଫାର୍ମ |,तटीय झींगा संवर्धन फार्म
ସହଯୋଗୀ,कोबाल्ट
କୋକେନ୍,कोकेन
କୋକସିଓଜିଓସ୍,कॉक्सीडियता
କୋକସ୍ |,"गोलाणु, कॉकस"
Coccyx,अनुत्रिक
କୋଚେଲା,"कर्णावर्त, कॉक्लिया"
କୋଚେଲା,फली कुंडल
ନଡିଆ,"कोया, कोकून"
କୋଡ୍ ଜେନେଟିକ୍ ପ୍ରୋଗ୍ରାମ୍ |,कोडित जीन कार्यक्रम
କୋଡ୍ କର,कोडीन
ସହଯୋଗ,संकेतन
ସହଯୋଗ,कूटन (कूटलेखन)
ସହଯୋଗ,कोडन
ସହକଳା ଷ୍ଟାଣ୍ଡିଂ |,"कूटन रज्जुक, कोडन रज्जुक"
କୋଡୋମିନାନ୍ସ |,सहप्रभाविता
କଡନ୍ |,"प्रकूट, कोडॉन"
Celelnter,सीलेन्टरेट
Ceelnntoner,आंतरगुहा
ସେଲିଆକ୍ ଗ୍ୟାଙ୍ଗଲିଅନ୍ |,"उदर-गुहा, गुच्छिका"
Celeblate,"प्रगुही, सीलोमी"
ସହଯୋଗୀ,"प्रगुहा, सीलोम"
କିକୋମିକ୍ ଏପିଟେଲିୟମ୍ |,प्रगुही उपकला
କାବେୟଲିଫିକ୍ ଫ୍ଲୁଇଡ୍ |,प्रगुही तरल
କୋଲୋମୋ ସାକ୍ |,प्रगुहा कोश
କୋଏେନିସିକ୍ |,संकोशिकी
କୋଏନୋପିପିେଟ୍ |,सीनोपोडिएसी
ସହଯୋଗୀ,सहएंजाइम
ସହ-ବିବର୍ତ୍ତନ |,सह-विकास
ସହ-ବିଲୁପ୍ତ |,"सहविलोपन, सह-विलोप"
ସହ-ଫ୍ୟାକ୍ଟର୍ |,सह-कारक
ଘନିଷ୍ଠ,संसंजन
ମାଣ୍ଡୋନ୍ ଫୋର୍ସ |,संसंजन बल
ମାଣ୍ଡୋନ୍ ସିଦ୍ଧାନ୍ତ |,संसंजन सिद्धांत
କୋହିଅନ୍-ଟେନସନ-ଟ୍ରାନ୍ସପେରେସନ୍ |,संसंजन-तनाव वाष्पोत्सर्जन
କୋର୍ଟ |,कोहॉर्ट
ସ୍ପିରାଲ୍ କିମ୍ବା ଅଦୃଶ୍ୟ ଭାବରେ,सर्पिल या कुंडलित रूप से लिपटी/लपेटी गई
କୋଇଲା,"कुंडलित, लपेटा गया"
କିତାଶକ,मैथुन
କିତାସ୍ ବାଧା (ପ୍ରତ୍ୟାହାର),अंतरित मैथुन (निष्कासन)
କଲ୍କିକାଇନ୍ |,कॉल्चिसिन
କଲଚିକମ୍ ଶରତାନେଲ |,कोल्चिकम औटम्नेल
ଶୀତଳ ରକ୍ତ,"असमतापी, अनियततापी"
ଥଣ୍ଡା ମରୁଭୂମି,शीत मरुस्थल
ଥଣ୍ଡା ରିସେପ୍ଟର |,शीतग्राही
Colleoptern,वर्मपंखी
କୋଲେଉଟାଇଲ୍ |,प्रांकुर चोल
କୋଲେୋରିଶି,मूलांकुर-चोल
କୋଲସ୍,कोलियस
କଲାଗୋଜେନ |,कोलैजन
କଲଜେନ୍ ଫାଇବର |,कोलैजन रेशा
କଲର,कॉलर
ବନ୍ଧକ ଗ୍ରନ୍ଥି |,संपार्श्विक ग्रंथि
ଟୁବୁଲ ସଂଗ୍ରହ,संग्राहक नलिका
ଡକ୍ଟ ସଂଗ୍ରହ,संग्राहक वाहिनी
ସହଦାୟୀଟୋଟମ୍,कॉलेटोट्राइकम
କ୍ଲୋବ୍ଲାଷ୍ଟ କକ୍ଷ |,श्लेषकोरक कोशिका
କୋଲଏଡ୍ |,कोलॉइड
କୋଲଲୋଡାଲ୍ |,कोलॉइडी
କୋଲୋସିସିଆ,अरबी
କୋଲନ୍ |,वृहदंत्र
ଉପନିବେଶ ଫର୍ମ |,निवह-जीव
ଉପନିବେଶ ନେଷ୍ଟ୍ଟୋକ |,निवही नॉस्टॉक
ଉପନିବେଶ,निवहभवन
କଲୋନୀ,निवह
କୋଲୋଷ୍ଟ୍ରମ୍,"नवस्तन्य, नवदुग्ध"
ରଙ୍ଗ ଅନ୍ଧତା |,वर्णांधता
ସ୍ତମ୍ଭ କ୍ରୋମାଟୋଗ୍ରାଫି |,स्तंभ वर्णलेखन
ବର୍ଟିନିଙ୍କ ସ୍ତମ୍ଭ |,बर्टिनी स्तंभ
ସ୍ତମ୍ଭର ଏପିଟେଲିୟମ୍ |,स्तंभाकार उपकला
କ୍ରୋଜ୍ ପ୍ଲେଟ୍ |,कंकत पट्टिका
ମିଳିତ ପ୍ରତିରୋଧ ଅଭାବ ସିଣ୍ଡ୍ରୋମ |,संयुक्त प्रतिरक्षा न्यूनता संलक्षण
ମିଳିତ ଓଜନ |,संयुक्त भार
Comparly,"कॉम्ब जेली, कंकत जेली"
ଜଜ୍,दहन
ଜବେଷଣ ପ୍ରକ୍ରିୟା |,दहन प्रक्रम
କମାଣ୍ଡ୍,कॉमा (रूप)
ପ୍ରଶଂସା,सहभोजिता
ଆୟୋଗର ବୃତ୍ତି,संधायी वाहिका
ସାଧାରଣ ପିତୃପୁରୁଷ |,साझा पूर्वज
ସାଧାରଣ କାରୋଟ୍ଡ୍ ଧମନୀ |,मूल ग्रीवा धमनी
ସାଧାରଣ ଇଣ୍ଡିଆନ୍ ଟୋଡ୍ |,सामान्य भारतीय भेक
ସମ୍ପ୍ରଦାୟ ବିବିଧତା |,समुदाय विविधता
କମ୍ୟୁନିଟି କଥାବାର୍ତ୍ତା |,समुदाय पारस्परिक क्रिया
ସଙ୍କଳନ,संहनन
ସାଥୀ ସେଲ୍ |,सहचर कोशिका
ତୁଳନାତ୍ମକ ଆନାଟୋମି |,तुलनात्मक शारीर
ତୁଳନାତ୍ମକ ମୋଫୋଲୋଜି |,तुलनात्मक आकारिकी
ସୁସଙ୍ଗତତା,"संसुगति, ससंगता"
ସୁସଙ୍ଗତତା,निषेच्यता
କ୍ଷତିପୂରଣ ପୁନ en ନିର୍ମାଣ |,प्रतिकारी पुनस्र्द्भवन
ଦକ୍ଷ କକ୍ଷ,सक्षम कोशिका
ଦକ୍ଷ ହୋଷ୍ଟ |,समर्थ परपोषी
ପ୍ରତିଯୋଗିତା,"स्पर्धा, प्रतियोगिता"
ପ୍ରତିଯୋଗୀ ପ୍ରତିବନ୍ଧକ |,स्पर्धी संदमन
ପ୍ରତିଯୋଗୀ ପ୍ରତିବନ୍ଧକ |,स्पर्धी संदमक
ସଂପନ୍ନତା |,पूरकता
ସଂପନ୍ନ ଫିଲ୍ଟର୍ |,पूरक फिल्टर
ସମ୍ପୃକ୍ତ ଜିନ୍,पूरक जीन
ସଂପାଦନାକାରୀ ଯୋଡି |,पूरक युग्म
ହଜମାତ୍ମକ ଟ୍ରାକ୍ଟ ସଂପୂର୍ଣ୍ଣ କରନ୍ତୁ |,संपूर्ण पाचन पथ
ସଂପୂର୍ଣ୍ଣ ଲିଙ୍କ୍ |,पूर्ण सहलग्नता
ଅକ୍ସିଡେସନ୍ ସଂପୂର୍ଣ୍ଣ କରନ୍ତୁ |,पूर्ण उपचयन
ଜଟିଳ,सम्मिश्र
ଜଟିଳ,जटिल
ଜଟିଳ,संकुल
ଜଟିଳ ଟିସୁ |,जटिल ऊतक
ମିଶ୍ରିତ,"संयुक्त, संग्रथित"
ଯ ound ଗିକ କର୍ବେମ୍ |,संयुक्त समशिख
ଯ ound ଗିକ ଏପିଟେଲିୟମ୍,बहुस्तर उपकला
ଯ ound ଗିକ ଆଖି,संयुक्त नेत्र
ଯ ound ଗିକ ଉମ୍ବେଲ |,संयुक्त पुष्पछत्र
ବାଧ୍ୟତାମୂଳକ କାର୍ଯ୍ୟ,बाध्यकारी क्रिया
ଗଣନାତ୍ମକ ବାୟୋଲୋଜି |,अभिकलन जैविकी
ଗଣନା ସହାୟକତା |,अभिकलित टोमोग्राफी
କମ୍ପ୍ୟୁଟର ସ୍କ୍ରିନ୍,कंप्यूटर स्क्रीन
ଏକାଗ୍ର ପରିସ୍ରା,सांद्रित मूत्र
ଏକାଗ୍ରତା,"सांद्रण, गाढ़ापन, सांद्रता"
ଏକାଗ୍ରତା ଗ୍ରେଡିଏଣ୍ଟ୍ |,सांद्रण प्रवणता
ଧାରଣା,गर्भधारण
ଘନତ୍ୱ,संघनन
ଘନତ୍ୱ,द्रवण
ଘନୀଭଣ୍ଡସେସ୍ ଡେନେସେନ୍ସ ଚକ୍ର |,संघनन विसंघनन चक्र
ଘନୀଭୂତ ଅବସ୍ଥା |,संघनित अवस्था
ଘନ ଲେନ୍ସ |,संग्राही लेन्स
ସର୍ତ୍ତମୂଳକ,सप्रतिबंध
ସର୍ତ୍ତମୂଳକ,प्रानुकूलित
ସ୍ନାୟୁ ଇମ୍ପୁଲ୍ସର କଣ୍ଡକ୍ସନ୍ |,तंत्रिका आवेग का चालन
ଜଳର କଣ୍ଡକ୍ସନ୍ |,जल संवहन
ପରିଚାଳନାକାରୀ ଇଲେକ୍ଟ୍ରୋଲିଟ୍ ଜେଲ୍ |,चालक विद्युत् अपघट्य जेल
କୋଣ,शंकु
ମିଳନ,संरूपण
ସମ୍ମିହାସେର,संरूपी
ଜନ୍ମଗତ,जन्मजात
କ୍ଷୟକାରୀ ମୂଳ |,शंकुरूप जड़
ତୀବ୍ର,शंक्वाकार
କନଡାଇଡ୍,कोनिडिया
ସହଯୋଗୀ,"शंकुवृक्ष, कोनिफर"
Aifeireea,कोनीफेरी
କନଫାଇର୍ସେଡାଡା |,कोनिफेरोप्सिडा
କନଜାଇନ୍ ଭାସ୍କୁଲାର ବଣ୍ଡଲ୍ |,संयुक्त संवहनी बंडल
ମିଳିତଡ଼ା କଞ୍ଜୁଜ୍ ହୋଇଛି |,संयुग्मी
ମିଳିତତା,संयुग्मन
କନଜୁନେକ୍ଟିଡା,नेत्रश्लेष्मला
କନଜୁକେକ୍ଟିଭ୍ ଟିସୁ |,संयोजक ऊतक
ସଂଯୋଗକାରୀ ଟିସୁ |,संयोजी ऊतक
କନେଲର ପରୀକ୍ଷଣ |,कॉनेल का प्रयोग
ସଂରକ୍ଷଣ ଜଙ୍ଗଲ,संरक्षण वानिकी
କନସେଲୁଜନାଲ୍ ଟିଲଗ୍ |,संरक्षणात्मक जुताई
ସ୍ଥିରତା,स्थिरता
ସୃଷ୍ଟିକର୍ତ୍ତା,"संघटक, रचक"
ସଜ୍ଜିତ ଏନଜାଇମ୍ |,रचक एंजाइम
ଗ୍ରାହକ,उपभोक्ता
ପ୍ରତିବନ୍ଧକ ପ୍ରତିବନ୍ଧକ |,संपर्क संदमन
ସଂକ୍ରାମକ ରୋଗ,"संसर्गज रोग, छूत की बीमारी"
ଦୂଷିତ କରନ୍ତୁ |,संदूषित करना
ପ୍ରଦୂଷଣ,संदूषण
ସମସାମୟିକ ଜୀବବିଜ୍ଞାନ |,"समकालीन जीवविज्ञान, समकालीन जैविकी"
ମାଳଦ୍ୱୀପ,महाद्वीप
କଣ୍ଟୁର ହଳ କରିବା |,समोच्चरेखीय जुताई
ଚୁକ୍ତିଭିତ୍ତିକତା |,संकुंचलनशीलता
ଚୁକ୍ତିିକିକରଣ ଫାଇବର |,संकुंचनशील रेशा
ଚୁକ୍ତିଭିତ୍ତିକ ପ୍ରୋଟିନ୍ |,संकुंचनशील प्रोटीन
ଚୁକ୍ତିଭିତ୍ତିକ ପ୍ରତିକ୍ରିୟା |,संकुंचनशील अनुक्रिया
ଚୁକ୍ତିଭିତ୍ତିକ ଶୂନ୍ୟସ୍ଥାନ |,"संकुंचलनशील धानी, संकुंचलनशील रिक्तिका"
ବିପରୀତ ଏଜେଣ୍ଟ |,विभेद कारक
ବିପରୀତ ଏଜେଣ୍ଟ |,भेदन कारक
ବିପରୀତ ଏଜେଣ୍ଟ |,विपर्यास कारक
ପରଠାରୁ ବିପରୀତ ଗୁଣ |,विपर्यासी विशेषक
ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ଫୋର୍ସ |,अपकेंद्री बल
ନିୟନ୍ତ୍ରଣ କାରକ,नियंत्रक कारक
ନିୟନ୍ତ୍ରିତ ପରୀକ୍ଷଣ |,नियंत्रित प्रयोग
କନସ୍,शंकुक
କନସ୍ ବ ister ଜ୍ଞାନିକ |,धमनी शंकु
ପାରମ୍ପାରିକ ଟିଲଗେଜ୍ |,"पारंपरिक जुताई, रूढ जुताई"
ଗଣିତ,"अभिसरित, अभिसारित"
ସମ୍ମିଳିତ,अभिसारी
କନଭର୍ଡେଣ୍ଟ୍ (ବିବର୍ତ୍ତନ),अभिसारी (विकास)
Convolvundes,कॉन्वॉल्वुलेसी
କନଭଲେଡ୍ ଟୁବଲ୍ |,संवलित नलिका
ସମନ୍ୱୟ,समन्वय
Cooplymer,सहबहुलक
ତମ୍ବା,"ताम्र, तांबा"
କପ୍ଲନାଇଟ୍ |,मलगुटिका
ତମ୍ବାଫିଲସ୍,शमलरागी
ନକଲ କରନ୍ତୁ |,संयुग्मन करना
କୋଣ,मैथुन
କୋଣ,संयुग्मन
କପିଟୋରୀ ପ୍ୟାଡ୍ |,मैथुन तल्प
କରାଲ୍ ରିଫ୍ ସମ୍ପ୍ରଦାୟ |,प्रवाल भित्ति समुदाय
ପ୍ରବାହ,"मूंगा, प्रवाल"
କର୍ଡେଟ୍,हृदयाकार
ମୂଳ କ୍ଷେତ୍ର,क्रोड क्षेत्र
ମୂଳ ଜୋନ୍,क्रोड क्षेत्र
କୋରପ୍ରେସର୍,सहदमनकारी
କୋଇନଫୋସଫିନ୍ |,कोरीफॉस्फीन
କର୍କ,"काग, कॉर्क"
କର୍କ କାମ୍ବିୟମ୍ |,काग एधा
କର୍କ ସ୍କ୍ରୁ |,"काग पेच, कार्क स्क्रू"
କରମ୍,"घनकंद, कॉर्म"
ମକା ବୋର୍ଡର,मक्का-वेधक
କର୍ଣ୍ଣିଆ |,"स्वच्छ मंडल, कॉर्निया"
କୋଣେଗେନ୍ କକ୍ଷ,कॉर्नियाजन कोशिका
କର୍ଣ୍ଣାଲ୍ ଲେନ୍ସ |,कॉर्निया लेन्स
କରୋଲଲା,दलपुंज
କରୋନା |,"किरीट, कोरोना"
କରୋନା ଅନୁପ୍ରବେଶକାରୀ ଏନଜାଇମ୍ |,किरीट भेदक एंजाइम
କରୋନା ରେଡିଆଟା |,अरीय किरीट
କରୋନାରିଏ କଏ ପିଆଓ,कोरोनेरिई
କରୋନାରୀ ଧମନୀତା |,हृद् धमनी
କରୋନାରୀ ଧମନୀ ବାଇପାସ୍ |,हृद्धमनी उपमार्ग
କରୋନାରୀ ଧମନୀ ରୋଗ |,हृद्धमनी रोग
କରୋନାରୀ ସୁଲସ,हृद् परिखा
କର୍ପୋରାଥୋସା (ଲିଙ୍ଗର),"शिश्न का सगुह पिंड, शिश्न का कॉर्पोरा कैवर्नोसा"
କର୍ପୋରା କ୍ୱାଡ୍ରିଗେମିନା |,"पिंड चतुष्टि, कॉर्पोरा क्वाड्रीजेमिना"
କର୍ପସ,"पिंड, कॉर्पस"
କର୍ପସ୍ ଆଲବିକାନ୍ |,कॉर्पस ऐल्बिकेन्स
କର୍ପସ୍ କାଲୋସମ୍ |,"महासंयोजक पिंड, कॉर्पस कैलोसम"
କର୍ପସ ଲଟମ୍ |,"पीत पिंड, कॉर्पस ल्यूटियम"
କର୍ପସ ସ୍ପାଙ୍ଗିସମ୍ |,स्पंजी पिंड
କର୍ପସ ଷ୍ଟେରାଟମ୍ |,"रेखित पिंड, कॉर्पस स्ट्रिएटम"
କରୋଡ୍ |,संक्षारित करना
କର୍ଟେକ୍ସ,वल्कुट
କର୍ଟିକାଲ୍ ନେଫ୍ରନ୍ |,वल्कुटी वृक्काणु
କର୍ଟିକୋଷ୍ଟେରୋନ |,कॉर्टिकोस्टेरोन
କର୍ଟିକୋଟ୍ରୋଫିକ୍ |,वल्कुट-प्रभावी
କର୍ଟିସୋଲ |,कॉर्टिसॉल
କର୍ଟିସୋନ,कॉर्टिसोन
କରଭସ୍,कॉर्वस
କରମୁଣ୍ଡ,"समशिख, कोरिम्ब"
ବ୍ରହ୍ମାଣ୍ଡ ଉତ୍ପତ୍ତି |,ब्रह्मांडीय उत्पत्ति
ବ୍ରହ୍ମାଣ୍ଡ କିରଣ |,"अंतरिक्ष किरण, कॉस्मिक किरण"
Cosmid,कॉस्मिड
କସମୋଜାନ୍ ସିଦ୍ଧାନ୍ତ |,ब्रह्मांड-जीवोद्भव सिद्धांत
କପା ବୋଲ୍ କୀଟ |,कपास गोलक शलभ
କାଉନସେଲିଂ,"परामर्श, परामर्शन"
କାଉଣ୍ଟର-ସାମ୍ପ୍ରତିକ ସିଷ୍ଟମ୍ |,प्रति प्रवाह तंत्र
ସମ୍ପର୍କୀୟ ବିବାହ,कजन विवाह
ସହଯୋଗୀ ବଣ୍ଡ |,सहसंयोजी आबंध
ଆବରଣ |,आवरण
ଏପିଥେଲିୟମ୍ ଆଚ୍ଛାଦନ କରେ |,आवरण उपकला
ଗା cowପର ଗ୍ରନ୍ଥି |,काउपर - ग्रंथि
Coxa,कक्षांग
Coxa,श्रोणि
କକ୍ସାଲ୍ ହାଡ |,श्रोणि-अस्थि
କକ୍ସାଲ୍ ପ୍ରକ୍ରିୟା |,कक्षांग प्रवर्ध
ଫାଟ,क्रैक
କ୍ରାକର ବିସ୍ଫୋରଣ |,पटाखा स्फोटन
କ୍ରାନିଆଲ୍ ହାଡ |,कपाल अस्थि
କ୍ରାନିଆଲ୍ ମଙ୍ଗଳ |,कपाल तानिका
କ୍ରାନିଆଲ୍ ସ୍ନାୟୁ |,कपाल तंत्रिका
କ୍ରାନୋଇସାକ୍ରାଲ୍ ଆଉଟଫ୍ଲୋ |,कपालत्रिक बहिर्गम
କ୍ରାନିଆମ୍,कपाल
କ୍ରାସୁଲାସାନ ଏସିଡ୍ ମେଟାବୋଲିଜିମ୍ |,क्रेस्यूलेसी अम्ल उपापचय
କ୍ରାସ୍ ମାଛ |,विचिंगट
କ୍ରିଏଟିନାଇନ୍ |,क्रिएटिनिन
ପ୍ରାଣୀ,प्राणी
କୃଷକ,विसर्पी
ରନ୍ୟୁଲେସନ୍,सूक्ष्मवलन
ରନ୍ୟୁଲେସନ୍,सूक्ष्मदंतन
କ୍ରେଟେନସ୍ ଅବଧି,क्रिटेशस कल्प
କ୍ରିଟ୍ରାଇଜିମ୍,"अवटुवामनता, क्रेटीनता"
କ୍ରାଇ-ଚା-ଚାଟ୍ ସିଣ୍ଡ୍ରୋମ୍ |,क्रि-डू-चैट संलक्षण
କଞ୍ଚା,अंतः कटक
ଜଟିଳ ଲିଙ୍କ୍ ପ୍ରଜାତି |,क्रांतिक योजक जाति
ଗୁରୁତର ପ୍ରକ୍ରିୟା |,क्रांतिक प्रक्रिया
ସମାଲୋଚିତ ପ୍ରଜାତିର ପ୍ରଜାତି |,अति संकटापन्न जाति
ଫସଲ,"सस्य, फसल"
କ୍ରପ୍ ଇଞ୍ଜିନିୟରିଂ,सस्य अभियांत्रिकी
କ୍ରପରଲ୍ୟାଣ୍ଡ,सस्य भूमि
କ୍ରସ୍,प्रसंकर
