Kannada,Marathi
1.ಸಂಯೋಜಿತ 2.ಸಂಕೀರ್ಣ,1.संमिश्र 2.जटिल
ಘಟಕ,घटक
ಸಂಯೋಜನೆ,रचना
ಗೊಬ್ಬರ,कंपोस्ट
ಚಕ್ರಬಡ್ಡಿ,चक्रवाढ व्याज
ಗಣನೆ,गणना
1. ಕಂಪ್ಯೂಟರ್ 2. ಕಂಪ್ಯೂಟರ್,1. संगणक 2. संगणक
1. ಏಕಾಗ್ರತೆ 2. ಏಕಾಗ್ರತೆ,1. एकाग्रता 2. एकाग्रता
1. ಆಪ್ಟಿಮೈಜರ್ 2. ರಿವೈಟಲೈಸರ್,1. अनुकूलक 2. पुनरुज्जीवन करणारा
ವಾಹಕತೆ,वाहकता
1. ಕಾನ್ಫಿಗರೇಶನ್ 2. ಕಾನ್ಫಿಗರೇಶನ್,1. कॉन्फिगरेशन 2. कॉन्फिगरेशन
1. ಅನುಸರಣೆ 2. ಸಂರಚನೆ 3. ಅನುಸರಣೆ,1. अनुरूपता 2. कॉन्फिगरेशन 3. अनुरूपता
1. ಏಕೀಕರಣ 2. ಹೈಬ್ರಿಡೈಸೇಶನ್,1. एकत्रीकरण 2. संकरीकरण
ಸಂಯೋಗ,संयुग्मन
1. ಸಂಯೋಜಕ 2. ಸಂಯೋಜಕ,1. जोडणारा 2. संयोजी
ರಕ್ಷಣೆ,संरक्षण
ಬಲವರ್ಧನೆ,एकत्रीकरण
1. ಪದಾರ್ಥ 2. ಪದಾರ್ಥಗಳು,1.घटक 2. घटक
ಗ್ರಾಹಕ,ग्राहक
ಬಳಕೆ,वापर
ಮಾಲಿನ್ಯ,दूषित होणे
ಬಾಹ್ಯರೇಖೆ ನೆಟ್ಟ,समोच्च लागवड
ಬಾಹ್ಯರೇಖೆ ರೇಖೆ,समोच्च रेखा
1. ಗುತ್ತಿಗೆ ಕೃಷಿ 2. ಗುತ್ತಿಗೆ ಕೃಷಿ 3. ಗುತ್ತಿಗೆ ಕೃಷಿ,1. कॉन्ट्रॅक्ट फार्मिंग 2. कॉन्ट्रॅक्ट फार्मिंग 3. कॉन्ट्रॅक्ट फार्मिंग
ನಿಯಂತ್ರಿತ ವಾತಾವರಣದ ಶೇಖರಣೆ,नियंत्रित वातावरणीय संचयन
ಸಹಕಾರಿ ಬ್ಯಾಂಕ್,सहकारी बँक
ಸಹಕಾರ ಸಂಘದ ಸದಸ್ಯ,सहकारी संस्था सदस्य
ಗುಲ್ಮಾವನ್,गुलमावन
ಘನಾಕೃತಿಯ,चौकोनी तुकडे
1. ದಾಲ್ಪುಂಜ್ 2. ಕೊರೊಲ್ಲಾ,1. दालपुंज 2. कोरोला
1. ಕಾರ್ಟೆಕ್ಸ್ 2. ಕಾರ್ಟೆಕ್ಸ್,1. कॉर्टेक्स 2. कॉर्टेक्स
ವೆಚ್ಚ,खर्च
ಕೋಟಿಲ್ಡನ್,cotyledon
ಕ್ರೆಡಿಟ್ ಸಮಿತಿ,क्रेडिट समिती
1. ಸಾಲ ನೀಡಿಕೆ 2. ಕ್ರೆಡಿಟ್,1. कर्ज देणे 2. क्रेडिट
1. ಸಾಲದಾತ 2. ಸಾಲಗಾರ,1. सावकार 2. कर्जदार
1. ಕ್ರೆಸ್ಟ್ 2. ಶೃಂಗ 3. ಶಿಖರ,1. क्रेस्ट 2. शिरोबिंदू 3. स्पायर
ಹಿಂತೆಗೆದುಕೊಳ್ಳುವಿಕೆ,मागे घेणे
ಸಮಸ್ಯೆ,समस्या
ಪರೀಕ್ಷೆ,चाचणी
ನಿರ್ಣಾಯಕ,गंभीर
ಬೆಳೆ ವಿಮೆ,पीक विमा
ಬೆಳೆ ಸಾಲ,पीक कर्ज
1. ಬೆಳೆ 2. ಬೆಳೆ,1. पीक 2. पीक
ಕೃಷಿ ಪ್ರದೇಶ,लागवड क्षेत्र
ಅಡ್ಡ ಹೊಂದಾಣಿಕೆಯಾಗುವುದಿಲ್ಲ,क्रॉस विसंगत
1. ಕಿರೀಟ 2. ಪಿನಾಕಲ್ (ಸಸ್ಯ),1. मुकुट 2. शिखर (वनस्पती)
ಮೃದು ಕಣಗಳು,मऊ कण
ಕ್ರಸ್ಟ್,कवच
1. ಕ್ರಿಪ್ಟೋಗಮ್ 2. ಫ್ಲೋರಿಫಾರ್ಮ್ ಅಲ್ಲದ,1. क्रिप्टोगाम 2. नॉन-फ्लोरिफॉर्म
ಕತ್ತರಿಸು (ಹಣ್ಣು),छाटणी (फळ)
ಪೆನ್ನು,पेन
ತಳಿ ವೈವಿಧ್ಯ,वाणाची विविधता
1. ಎಳೆತ 2. ಕೃಷಿ 3. ಬೇಸಾಯ,1. कर्षण 2. शेती 3. शेती
1. ರೈತ 2. ಕೃಷಿಕ,1. शेतकरी 2. शेती करणारा
1. ಸಾಗುವಳಿ 2. ಸಾಗುವಳಿ 3. ಪಾಲನೆ,1. मशागत 2. मशागत 3. संगोपन
1.ಸಂಪನ್ಮೂಲ 2.ತಯಾರಿಕೆ,1. संसाधन 2. तयारी
1.ಕುಂತಲನ್ 2.ಕುಂಚೋನ್,1.कुंतलन 2.कुंचोन
ಭಂಗಿ,पवित्रा
1. ಎಪಿಡರ್ಮಿಸ್ 2. ಹೊರಪೊರೆ,1. एपिडर्मिस 2. क्यूटिकल
1. ಪೆನ್ 2. ಕತ್ತರಿಸುವುದು 3. ಕತ್ತರಿಸುವುದು 4. ಕತ್ತರಿಸುವುದು 5. ಕತ್ತರಿಸುವುದು,1. पेन 2. कटिंग 3. कटिंग 4. कटिंग 5. कटिंग
1. ವರ್ಮ್ ಕಾರ್ಪಸ್ 2. ಚೀಲ 3. ಚೀಲ 4. ವಿರೂಪಗೊಂಡ ಗಡ್ಡೆ 5. ನಿಯೋಪ್ಲಾಸಂ,1. वर्म कॉर्पस 2. सिस्ट 3. सिस्ट 4. विकृत ढेकूळ 5. निओप्लाझम
ಸೈಟೋಕ್ರೋಮ್,सायटोक्रोम
ಜೀವಕೋಶದ ಜೋಡಣೆ,सेल जोडणी
ಜೀವಕೋಶದ ಸಂತಾನೋತ್ಪತ್ತಿ,सेल पुनरुत्पादन
ಜೀವಕೋಶದ ತಳಿಶಾಸ್ತ್ರ,सेल आनुवंशिकी
ಸೈಟೋಪ್ಲಾಸ್ಮಿಕ್ ವಿಭಾಗ,सायटोप्लाज्मिक विभागणी
ಜೀವಕೋಶದ ಜೀವಶಾಸ್ತ್ರ,सेल जीवशास्त्र
ಜೀವಕೋಶದ ವಿಘಟನೆ,सेल lysis
1. ಸೈಟೋಮಿಯರ್ 2. ಕೋಶ ವಿಭಜನೆ,1. सायटोमेर 2. सेल सेगमेंटेशन
ಸೈಟೋಪ್ಲಾಸಂ,सायटोप्लाझम
1. ಡೈರಿ 2. ಡೈರಿ,1. दुग्धव्यवसाय 2. दुग्धव्यवसाय
ಡೈರಿ ಉದ್ಯಮ,डेअरी उद्योग
1. ಅಣೆಕಟ್ಟು 2. ತಳಿಗಾರ,1. धरण 2. ब्रीडर
ದಿನ ಸಂಪೂರ್ಣ ಸಸ್ಯ,दिवस निरपेक्ष वनस्पती
ಹೂಬಿಡುವ ನಂತರ ದಿನ,फुलांच्या नंतर दिवस
ಪೂರ್ಣ ಹೂಬಿಡುವ ನಂತರ ದಿನ,पूर्ण फुलांच्या नंतरचा दिवस
ಅಸಮರ್ಥತೆ,अकार्यक्षमता
ಡಿಕ್ಯಾಲ್ಸಿಫಿಕೇಶನ್,decalcification
1. ಹೊರಹಾಕು 2. ಹೊರಹಾಕು,1. डिस्लॉज 2. डिस्लॉज
ಕೊಳೆತ,क्षय
ಪತನಶೀಲ,पर्णपाती
1. ದಶಮಾಂಶ 2. ದಶಮಾಂಶ,1. दशांश 2. दशांश
ಕೀಳರಿಮೆ,कनिष्ठता
ಅನುರಾನ್ (ಮಣ್ಣು),अनुरन (माती)
ವಿಪುಷ್ಪನ್,विपुष्पन
ಬಿಲ್ಲಿಂಗ್,बिलिंग
ಅರಣ್ಯನಾಶ,जंगलतोड
ಅವಮಾನ,बदनामी
ಅವನತಿ,ऱ्हास
ಭಾಗ ದಿನ,भाग दिवस
1. ಪ್ರಮಾಣ 2. ಭಾಗ,1. प्रमाण 2. भाग
ಅಳಿವು,विघटन
ಹೊಟ್ಟು ತೆಗೆಯುವುದು,भुसा काढणे
ಹೊಟ್ಟು ತೆಗೆಯುವುದು,भुसा काढणे
ನಿರ್ಜಲೀಕರಣ,निर्जलीकरण
ಜಲರಹಿತ,निर्जल
ಬೇಡಿಕೆ,मागणी
1. ಡಿನಾಟರೇಶನ್ 2. ಗುಣಾಕಾರ,1. विकृतीकरण 2. गुणाकार
ನಿಂದನೆ,निंदा
1. ಠೇವಣಿ (ಮಣ್ಣು) 2. ಠೇವಣಿ (ಅರ್ಥಶಾಸ್ತ್ರ),1. ठेव (माती) 2. ठेव (अर्थशास्त्र)
ಠೇವಣಿ,ठेव
1. ಸವಕಳಿ 2. ಸವಕಳಿ,1. घसारा 2. घसारा
ನಿರ್ಲವಣೀಕರಣ,डिसेलिनेशन
1. ನೀರು ಒಣಗಿಸುವುದು 2. ನಿರ್ಜಲೀಕರಣ,1. पाणी कोरडे होणे 2. निर्जलीकरण
1. ವಿನ್ಯಾಸ 2. ವಿನ್ಯಾಸ,1. डिझाइन 2. डिझाइन
ಒಣ,कोरडे
ಕರ್ನಲ್ ತೆಗೆಯುವಿಕೆ,कर्नल काढणे
ಡಿ-ಇಂಟರ್ಕಲೇಶನ್,डी-इंटरकलेशन
ಸಂಯೋಗ,संयुग्मन
1. ಗಂಡು ಮಂಜರಿ ಉದ್ಧರಣ (ಮೆಕ್ಕೆಜೋಳ) 2. ಬಲ್ಲರ್ ಹೊರತೆಗೆಯುವಿಕೆ,1. नर मांजरी उतारा (मका) 2. बल्लार उतारा
ಬಲ್ಲರ್ ಅಥವಾ ಕುಂದನ್ ಕತ್ತರಿಸುವುದು,बल्लार किंवा कुंदन कटिंग
ನಿರ್ಣಯಕ,निर्धारक
ಅಪಮೌಲ್ಯೀಕರಣ,अवमूल्यन
ಸಸ್ಯರಹಿತ,वनस्पती काढून टाकणे
ವಿಚಲನ,विचलन
ದುಪ್ಪಟ್ಟು,दुप्पट
ರೋಗನಿರ್ಣಯ,निदान
ವಿಭಿನ್ನ ಪ್ರಬುದ್ಧತೆ,भिन्न परिपक्वता
ಕವಲೊಡೆಯುವಿಕೆ,दुभाजक
1. ಡೈಕೋಟಿಲ್ಡನ್ 2. ಡೈಕೋಟಿಲ್ಡನ್ (ಬೀಜ),1. डायकोटीलेडॉन 2. डायकोटीलेडॉन (बियाणे)
ಬೆನ್ನು ರೋಗ,पाठीचा आजार
1. ಪ್ರಸರಣ 2. ಪ್ರಸರಣ,1. प्रसार 2. प्रसार
ಜೀರ್ಣಸಾಧ್ಯತೆ,पचनक्षमता
ಡೈಹೈಬ್ರಿಡ್,dihybrid
1. ಅಣೆಕಟ್ಟು 2. ಚರಂಡಿ 3. ಕುಟುಂಬ,1. धरण 2. नाला 3. कुटुंब
ಅತ್ಯಲ್ಪ,अल्प
1. ಏಕಪತ್ನಿ 2. ಏಕಪತ್ನಿ,1. एकपत्नी 2. एकपत्नी
ಡಿಪ್ಲಾಯ್ಡ್,द्विगुणित
1. ಡಿಪ್ಲಾಯ್ಡ್ 2. ಡಿಪ್ಲಾಯ್ಡ್,1. डिप्लोइड 2. डिप्लोइड
ದ್ವಿಧ್ರುವಿ,द्विध्रुव
1. ಹೊರತೆಗೆಯುವಿಕೆ 2. ಬಡ್ ತೆಗೆಯುವಿಕೆ,1. उतारा 2. अंकुर काढणे
1. ನೇಗಿಲು ಉಳುಮೆ 2. ನೂಲುವ,1. नांगरणी 2. कताई
ರಿಯಾಯಿತಿ,सवलत
ಸೋಂಕುಗಳೆತ,निर्जंतुकीकरण
1. ಪ್ರಸರಣ 2. ಸ್ಕ್ಯಾಟರಿಂಗ್,1. फैलाव 2. विखुरणे
1. ಚದುರುವಿಕೆ 2. ವ್ಯತ್ಯಾಸ,1.विखुरणे 2.विविधता
ವೈವಿಧ್ಯೀಕರಣ,विविधीकरण
ವೈವಿಧ್ಯಮಯ ಕೃಷಿ,वैविध्यपूर्ण शेती
ಡಿಎನ್ಎ ಹೆಜ್ಜೆ,डीएनए पाऊल
ಡಿಎನ್ಎ ರಿಸೀವರ್,डीएनए प्राप्तकर्ता
ಡಾಕ್ ಬಾಡಿಗೆ,डॉक भाड्याने
ಪರಿಣಾಮಕಾರಿ,प्रभावी
ಸುಪ್ತಾವಸ್ಥೆ,सुप्तता
1. ಪ್ರಮಾಣ 2. ಡೋಸೇಜ್ 3. ಡೋಸೇಜ್,1. प्रमाण 2. डोस 3. डोस
ಡಬಲ್ ಸಿಗ್ಮೋಯ್ಡ್ ಕರ್ವ್,दुहेरी सिग्मॉइड वक्र
1. ಬಿರುಗಾಳಿ 2. ಹಿಗ್ಗಿಸಿ,1. झोडप 2. ताणणे
1. ಎಕ್ಸಾಸ್ಟ್ ಡ್ರೈನ್ 2. ಎಫ್ಲುಯೆಂಟ್,1. एक्झॉस्ट ड्रेन 2. सांडपाणी
ಒಳಚರಂಡಿ,ड्रेनेज
ಎಳೆತ,कर्षण
1. ಔಷಧಿ ಕೊಡು 2. ಕುಡಿಸು,1. औषध द्या 2. भिजवा
ಸೌಂದರ್ಯವರ್ಧಕಗಳು (ಬೀಜಗಳು),सौंदर्य प्रसाधने (बिया)
1. ಆಗರ್ 2. ಆಳವಿಲ್ಲದ ದೋಷ 3. ಡ್ರಿಲ್ 4. ಆಗರ್,1. औगर 2. उथळ फॉल्ट 3. ड्रिल 4. औगर
1. ರಂಧ್ರ 2. ಡ್ರಿಲ್ 3. ಡ್ರಿಲ್,1. भोक 2. ड्रिल 3. ड्रिल
1. ಕೊರೆಯುವುದು 2. ಡ್ರಿಲ್ನೊಂದಿಗೆ ಬಿತ್ತನೆ 3. ಡ್ರಿಲ್ನೊಂದಿಗೆ ಸುರಿಯುವುದು,1. ड्रिलिंग 2. ड्रिलसह पेरणी 3. ड्रिलसह ओतणे
ಹನಿ ನೀರಾವರಿ,ठिबक सिंचन
ಒಣ ಬೇಸಾಯ,कोरडी शेती
1.ಧೂಳು 2.ಬುಕ್ನೆ,1.धूळ 2.बुकनी
1. ಡಸ್ಟರ್ 2. ಸ್ಕ್ಯಾಟರರ್,1. डस्टर 2. स्कॅटरर
ಚಿಮುಕಿಸಲು,शिंपडणे
1. ಕುಬ್ಜ 2. ವಾಮನ,1. बटू 2. वामन
ವಾಮನ ಪಿರಮಿಡ್,वामन पिरॅमिड
ವಾಮಿನಿ ಭವನ,वामिनी भवन
ಪರಿಸರ ವಿಜ್ಞಾನ,पर्यावरणशास्त्र
ಅರ್ಥಶಾಸ್ತ್ರ,अर्थमिति
ಆರ್ಥಿಕ ದಕ್ಷತೆ,आर्थिक कार्यक्षमता
ಸಾಂದರ್ಭಿಕ ಪ್ರಕಾರ,परिस्थितीजन्य प्रकार
ಹೆಚ್ಚುವರಿ ಶ್ರೇಣೀಕೃತ,अतिरिक्त-स्तरीकृत
ಮೃದು,मऊ
ಮಣ್ಣಿನ ವಿಜ್ಞಾನ,माती विज्ञान
1. ಸೇತುವೆ 2. ಅಂಚು 3. ಸ್ಟ್ರಾಂಡ್ ಮುಚ್ಚುವಿಕೆ,1. ब्रिजिंग 2. एजिंग 3. स्ट्रँड क्लोजर
ಆಹಾರ ಭಾಗ,अन्न भाग
ಬೇಡಿಕೆಯ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ,मागणीची लवचिकता
ಉತ್ಪಾದನಾ ಸ್ಥಿತಿಸ್ಥಾಪಕತ್ವ,उत्पादन लवचिकता
ವಿದ್ಯುದ್ವಿಭಜನೆ,इलेक्ट्रोलिसिस
ಎಲೆಕ್ಟ್ರೋಫೋರೆಸಿಸ್,इलेक्ट्रोफोरेसीस
ಆವಿಯಾಗುವಿಕೆ,बाष्पीभवन
1. ಶಿರಚ್ಛೇದಕ 2. ಕ್ರಿಮಿನಾಶಕ 3. ಶಿರಚ್ಛೇದಕ 4. ಕ್ರಿಮಿನಾಶಕ,1. शिरच्छेद करणारा 2. निर्जंतुक करणारा 3. शिरच्छेद करणारा 4. निर्जंतुक करणारा
1. ವೀರ್ ಬಂಡಿ 2. ಸ್ಟ್ರಾಬಂಡಿ,1. विर बंदी 2. स्ट्रॉबंडी
ಭ್ರೂಣ,गर्भ
1. ಭ್ರೂಣಶಾಸ್ತ್ರ 2. ಭೌತಶಾಸ್ತ್ರ,1. भ्रूणशास्त्र 2. भौतिकशास्त्र
1. ನಿರ್ಗಮನ 2. ನಿರ್ಗಮನ,1. बाहेर पडा 2. बाहेर पडा
ಎಮಲ್ಸಿಫೈಯರ್,emulsifier
ಅಂತರ್ವರ್ಧಕ,अंतर्जात
ಇಂಟ್ರಾ ಪಾಯಿಂಟ್ ವಿಭಾಗ,आंतर-बिंदू विभागणी
ಒಳ-ಪರಾವಲಂಬಿ,आंतर-परजीवी
ಎಂಡೋಸ್ಪರ್ಮ್,एंडोस्पर्म
ಉದ್ಯಮ,उपक्रम
ಕೀಟಶಾಸ್ತ್ರ,कीटकशास्त्र
ಪರಿಸರ,वातावरण
1. ಕಿಣ್ವ 2. ಕಿಣ್ವ,1. एन्झाइम 2. एन्झाइम
ಕ್ಲಸ್ಟರ್ ಕಸಿ,क्लस्टर ग्राफ्टिंग
1. ಎಪಿಫೈಟ್ 2. ಎಪಿಫೈಟ್,1. एपिफाइट 2. एपिफाइट
ಈಕ್ವಿಟಿ,इक्विटी
ನಿವಾರಣೆ,निर्मूलन
ಅಗತ್ಯ ಪೋಷಕಾಂಶಗಳು,आवश्यक पोषक
1. ಅಳತೆ 2. ಜಂಪ್ 3. ಮೌಲ್ಯಮಾಪನ,1. मापन 2. उडी 3. मूल्यांकन
ಕೈಚಳಕ,चातुर्य
ಸುಜನ್ನಿಕ್,सुजननिक
ಮೌಲ್ಯಮಾಪನ,मूल्यमापन
ಉಗಿ ಮಾಪಕ,स्टीम गेज
ಆವಿಯಾಗುವಿಕೆ,बाष्पीभवन
ಶಾಶ್ವತ ಕ್ರಾಂತಿ,शाश्वत क्रांती
1. ನಿತ್ಯಹರಿದ್ವರ್ಣ 2. ನಿತ್ಯಹರಿದ್ವರ್ಣ,1. सदाहरित 2. सदाहरित
ಅಭಿವೃದ್ಧಿ,विकास
ಕತ್ತರಿಸಿದ,कापला
ಪರೀಕ್ಷಯ್ (ಫಲವತ್ತತೆ),परिक्षय (प्रजनन क्षमता)
ಶೋಷಣೆ,शोषण
1. ಅನ್ವೇಷಣೆ 2. ಪರಿಶೋಧನೆ,1. अन्वेषण 2. अन्वेषण
1. ಹೊರತೆಗೆಯುವಿಕೆ 2. ಹೊರಸೂಸುವಿಕೆ,1. एक्सट्रूजन 2. उत्सर्जन
ಕಣ್ಣು,डोळा
1. ಅಂಶ 2. ಘಟಕ 3. ಅಂಶ 4. ಸಂಪನ್ಮೂಲ,1. घटक 2. घटक 3. घटक 4. संसाधन
ಅಂಶ ಉತ್ಪಾದಕತೆ,घटक उत्पादकता
ವ್ಯಾಪಾರಿಯ ರಿಯಾಯಿತಿ,व्यापारी सवलत
ಅಪವರ್ತನೀಯ ಬ್ಲಾಕ್ ವಿನ್ಯಾಸ,फॅक्टोरियल ब्लॉक डिझाइन
ಪರ್ಯಾಯ,पर्यायी
1. ಪಟ್ಟಿ 2. ಪಲಿಹಾರ್,1. पट्टी 2. पालिहार
ಒಟ್ಟು,स्थूल
ಕ್ಷೇತ್ರ ಮೌಲ್ಯಮಾಪನ,फील्ड मूल्यांकन
ಕೃಷಿ ಬಜೆಟ್,शेती बजेट
ಕೃಷಿ ವ್ಯಾಪಾರ,कृषी व्यवसाय
ಕ್ಷೇತ್ರ ಯೋಜನೆ,क्षेत्र नियोजन
1. ರೈತ 2. ರೈತ,1. शेतकरी 2. शेतकरी
1. ಕೃಷಿ 2. ಕೃಷಿ,1. शेती 2. शेती
ಘರ್ಷಣೆ,टक्कर
ಬಹು ಸಂತಾನೋತ್ಪತ್ತಿ,एकाधिक प्रजनन
ಹುದುಗುವಿಕೆ,किण्वन
ಫಲವತ್ತತೆ,प्रजनन क्षमता
ಗೊಬ್ಬರ,खत
ರಸಗೊಬ್ಬರ ಬಳಕೆಯ ದಕ್ಷತೆ,खत वापर कार्यक्षमता
ನಾರಿನಂತಿರುವ,तंतुमय
1. ಫಾರ್ಮ್ 2. ಪ್ರದೇಶ 3. ಸ್ಥಳ,1. शेत 2. क्षेत्रफळ 3. ठिकाण
ಮಣ್ಣಿನ ನೀರನ್ನು ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳುವುದು,माती पाणी धारण
ಕ್ಷೇತ್ರ ಪ್ರದರ್ಶನ,फील्ड प्रात्यक्षिक
1. ನಿಶ್ಚಲತೆ 2. ಸ್ಥಿರೀಕರಣ 3. ಸ್ಥಿರೀಕರಣ,1. स्थिरीकरण 2. फिक्सेशन 3. फिक्सेशन
1. ಮುಳುಗುವಿಕೆ 2. ಒಳಸೇರಿಸುವಿಕೆ,1. पूर 2. गर्भाधान
ನಿರ್ವಹಣಾ ಚಿತ್ರ,प्रवाह चित्र
ಆಹಾರ ಮೌಲ್ಯ,अन्न मूल्य
ಮೇವು,चारा
ಮುನ್ಸೂಚನೆ,अंदाज
ಅರಣ್ಯ,वन
ಅರಣ್ಯೀಕರಣ,वनीकरण
1. ತಾಡ್ಪರ್ನ್ 2. ಫಾರ್ಮ್,1. तडपर्न 2. फॉर्म
ಹಿಮ ನಿರೋಧಕ,दंव प्रतिरोधक
1. ಪಾಲಾ 2. ಬ್ಲೈಟ್,1. पाला 2. अनिष्ट
1. ಹೆಪ್ಪುಗಟ್ಟಿದ 2. ಹೆಪ್ಪುಗಟ್ಟಿದ,1. गोठलेले 2. गोठलेले
ಕಾರ್ಯ,कार्य
1. ಹಣ್ಣಿನ ಪತನ 2. ಹಣ್ಣಿನ ಪತನ,1. फ्रुट फॉल 2. फ्रुट फॉल
ಹಣ್ಣಾಗುತ್ತವೆ,फळ बनणे
1. ಧೂಮೀಕರಣ 2. ಧೂಮೀಕರಣ,1. फ्युमिगेशन 2. फ्युमिगेशन
ಶಿಲೀಂಧ್ರನಾಶಕ,बुरशीनाशक
ಶಿಲೀಂಧ್ರನಾಶಕ,बुरशीविरोधी
ಶಿಲೀಂಧ್ರ,बुरशी
1. ಖುದ್ 2. ಸೀತಾ,1. खुद 2. सीता
1. ಫ್ಯೂಷನ್ 2. ಫ್ಯೂಷನ್,1. फ्यूजन 2. फ्यूजन
ಹತ್ತಿ ಉಣ್ಣೆ,कापूस लोकर
ಕೂದಲುಳ್ಳ,केसाळ
1. ಮರದ ಹುಣ್ಣು 2. ಪಿಟಿಕಾ,1. झाडाचा व्रण 2. पिटिका
1. ಗ್ಯಾಮೆಟ್‌ಗಳು 2. ಗ್ಯಾಮೆಟ್‌ಗಳು,1. गेमेट्स 2. गेमेट्स
1. ಉದ್ಯಾನ 2. ಉದ್ಯಾನ,1. बाग 2. बाग
1. ಪಾನ್ಸಾಲ್ 2. ಹೈಡ್ರೋಮೀಟರ್,1. पानसाल 2. हायड्रोमीटर
ಜೀನ್ ಸಂಗ್ರಹ,जनुक संग्रह
ಜೀನ್ ಟ್ಯಾಗನ್,जीन टॅगन
ವಂಶಾವಳಿ,वंशावळी
ಜೀನ್ ನಕ್ಷೆ,जनुक नकाशा
ಆನುವಂಶಿಕ,अनुवांशिक
1. ಜಿನೋಮ್ 2. ಸಂಜೀನ್,1. जीनोम 2. सांगेन
ಸಂಜಿನಿ ಸಂಗ್ರಹ,संजिनी कलेक्शन
ಜೀನೋಮಿಕ್ಸ್,जीनोमिक्स
ಜೀನೋಟೈಪ್,जीनोटाइप
1. ಜೀನ್ ರಚನೆ 2. ಜೀನ್ ಪ್ರಕಾರ,1. जीन स्ट्रक्चर 2. जीन प्रकार
ವಂಶಾವಳಿ,लिनेज
1. ಕುಲ 2. ವಂಶ,1. वंश 2. वंश
1. ಸೂಕ್ಷ್ಮಾಣು 2. ಸೂಕ್ಷ್ಮಾಣು,1. जंतू 2. जंतू
ಕ್ರಿಮಿನಾಶಕ,जंतूनाशक
ಮೊಳಕೆಯೊಡೆಯುವಿಕೆ,उगवण
1. ಜರ್ಮ್ಪ್ಲಾಸಂ 2. ಜರ್ಮ್ಪ್ಲಾಸಂ,1. जर्मप्लाझम 2. जर्मप्लाझम
ಗಿಬ್ಬರೆಲಿಕ್ ಆಮ್ಲ,गिबेरेलिक ऍसिड
ಕೊಯ್ಲು,गोळा करणे
ತುಶ್,तुष
1. ಅಂಟು 2. ಹೊಟ್ಟೆಬಾಕತನ,1. ग्लूटेन 2. खादाड
ಗ್ಲೈಕೋಲಿಸಿಸ್,ग्लायकोलिसिस
Sundara,छान
ಸುವರ್ಣ ಕ್ರಾಂತಿ,सुवर्ण क्रांती
1. ವರ್ಗೀಕರಣ 2. ವರ್ಗೀಕರಣ 3. ಶ್ರೇಣೀಕರಣ,1. वर्गीकरण 2. वर्गीकरण 3. स्तरीकरण
1. ನಾಟಿ ಸಸ್ಯ 2. ಪೆನಂಬ್ರಲ್ ಸಸ್ಯ,1. कलमी वनस्पती 2. पेनम्ब्रल वनस्पती
ಪೆನ್ ಅಸಮಂಜಸ,पेन विसंगत
ಗ್ರಾನಾ,ग्राना
ಗ್ರಾನುಲೇಷನ್,दाणेदार
ಹಸಿರು ಗೊಬ್ಬರ,हिरवे खत
ಹಸಿರು ಕ್ರಾಂತಿ,हरित क्रांती
ಬೆಳವಣಿಗೆ ಮತ್ತು ಅಭಿವೃದ್ಧಿ,वाढ आणि विकास
1. ಗಮ್ ರೋಗ,1. हिरड्या रोग
ಭಿನ್ನಲಿಂಗೀಯ,विषमलिंगी
1. ಪ್ರಕೃತಿ 2. ಪ್ರಕೃತಿ 3. ರೂಪಗುಣ 4. ತೋರಿಕೆ,1. प्रकृति 2. निसर्ग 3. रूपगुण 4. रूप
1. ಓಲ 2. ಕರ್ಕಪಟ 3. ಕರ್ಕ,1. ओला 2. कर्कपट 3. कर्का
ರೋಮಿಲ್ವಾಚ್,रोमिलवॉच
ಲವಣಯುಕ್ತ ಚೀಲ,खारट गळू
ಹಾರೋ,हॅरो
1. ಕೊಯ್ಲು ಸೂಚ್ಯಂಕ 2. ಕೊಯ್ಲು ಸೂಚ್ಯಂಕ,1. कापणी निर्देशांक 2. कापणी निर्देशांक
1. ಕೊಯ್ಲು 2. ಕೊಯ್ಲು ಮಾಡಿದ ಬೆಳೆ 3. ಮುಗಿದ ಬೆಳೆ 4. ಇಳುವರಿ,1. कापणी 2. काढणी केलेले पीक 3. पूर्ण झालेले पीक 4. उत्पन्न
1. ಕೀಳುವುದು 2. ಕೊಯ್ಲು 3. ಕೀಳುವುದು,1. तोडणे 2. कापणी करणे 3. तोडणे
1. ಮೊಟ್ಟೆ ಇಡುವುದು 2. ಮೊಟ್ಟೆಯ ಬಲ,1. अंडी घालणे 2. अंडी फोर्स
ಒಣ ಹುಲ್ಲು,सुकलेले गवत
ಒಣ ಆಹಾರ,कोरडे खाद्य
ಗಂಜಿ,गंजी
ಮಬ್ಬು,धुके
ಮಸುಕಾದ,धुके
1. ಬಾಲಿ 2. ಸಿಟ್ಟಾ 3. ಮುಂಡಕ್ 4. ಟಾಪ್ 5. ಹೆಡ್ 6. ಸಿರಾ,1. बाली 2. सित्त 3. मुंडक 4. शीर्ष 5. डोके 6. सिरा
ತೋಡು ಕೊನೆಯಲ್ಲಿ,खोबणीचा शेवट
ಅಗ್ರ ಸಮರುವಿಕೆಯನ್ನು,शीर्ष रोपांची छाटणी
ಬೇಲಿ,कुंपण
ಪಾಲನೆ,ताब्यात
