ab initio,அடி முதலே
date of discharge,விடுவிக்கப்பட்ட தேதி
date of maturity,முதிர்வு தேதி
date of receipt,பெறப்பட்ட தேதி
date stamp,நாள் முத்திரை
day scholar,விடுதியில் தங்காது பயிலும் மாணவர்
day shift,"நாள் பணிமுறை, பகல் பணி"
day to day work,"அன்றாடப்பணி, நாள்தோறும் நடக்கும் வேலை"
days of grace,சலுகை நாள்கள்
de facto,"நடப்பின்படி, மெய்யான"
de novo,"புதிதாக, மறுபடியும் தொடக்கத்திலிருந்து"
dead account,பயன்படுத்தாத கணக்கு
dead line,கடைசி நேரக் கெடு
dead stock register,"விற்பனையாகாச் சரக்குப் பதிவேடு, முடங்கு சரக்குப் பதிவேடு"
dead weight,மொத்த எடை
deadlock,"முட்டுக்கட்டை நிலை, முடக்கம்"
deal,1. பேரம் 2. மேற்கொள்
dealing,1. கொடுக்கல் வாங்கல் 2. செயல்தொடர்பு
dealing assistant,கவனிக்கும் உதவியாளர்
dearness allowance,அகவிலைப்படி
death anniversary,"இறந்த நினைவுநாள், திதி"
death benefit,இறப்புச் சலுகை
death in service,பணிக்கால மரணம்
death-cum-retirement gratuity,இறப்பினால் ஓய்வுப் பணிக்கொடை
deauthorization,அங்கீகாரம் ரத்து செய்தல்
debar,விலக்கி வை
debit,"பற்று, பற்று எழுது"
debit advice,பற்றுவிவரக் குறிப்பு
debt,கடன்
debt management,"கடன் மேலாண்மை, கடன் நிர்வாகம்"
debtor,"கடனாளி, கடன்பட்டவர், கடன் வாங்குபவர்"
deceased,"இறந்த, மாய்ந்த"
decency,"நற்பாங்கு, நயத்தக்க பண்பு, தகைமை"
decentralization,"பரவலாக்கல், பன்முகப்படுத்தல்"
deciding factor,தீர்மானக் காரணி
decision,"முடிவு, தீர்ப்பு"
decision making,"தீர்வு காணுதல், முடிவு எடுத்தல்"
decision making process,முடிவெடுக்கும் செயல்
declaration,"சாற்றுரை, பிரகடனம்"
declaration of income,வருமானம் பற்றிய பிரகடனம்
declare on oath,உறுதிமொழிப்படி அறிவி
declared value,அறிவிக்கப்பட்ட மதிப்பு
decode,இரகசியக் குறியீட்டை விடுவி
decontrol,கட்டுப்பாடு நீக்கம்
decorum,நல்லொழுக்கம்
decrease,1. குறை 2. குறைதல் 3. குறைவாக்கு
decree,தீர்ப்பாணை
dedication,"1. காணிக்கை, படையல் 2. உரிமை ஒப்படைப்பு"
deductible,கழிக்கத்தக்க
deduction,"கழித்தல், கழிவு, உய்த்துணர்தல்"
deduction at source,வழங்குமிடத்தில் பிடித்தம் செய்தல்
deduction from salary,சம்பளத்திலிருந்து பிடித்தம் செய்தல்
deed,"1. ஆவணம், ஒப்பாவணம் 2. செயல்"
deed of mortgage,அடைமான ஆவணம்
deemed university,நிகர்நிலைப் பல்கலைக்கழகம்
deface,"1. அழி 2. கறைப்படுத்து, பயனற்றதாக்கு"
defalcation,"பணக் கையாடல், மோசடி"
defamation,"அவதூறு, மானக்கேடு"
default,"1. முன்னிருப்பு, முன்வைப்பு 2. தவறு, தவணை தவறுதல்"
defaulter,"தவணை தவறியவர், தவறிழைத்தவர், கடமை தவறியவர்"
defective,குறையுள்ள
defence,"1. எதிர்வாதம், 2. மறுப்புரை 3. பாதுகாப்பு"
defence counsel,எதிர்வழக்குரைஞர்
defence production,பாதுகாப்புக்கான தயாரிப்பு
defendant,"எதிர்வாதி, பிரதிவாதி"
defer,தள்ளி வை
deferred expenditure,"நிறுத்திவைக்கப்பட்ட செலவு, தள்ளிவைக்கப்பட்ட செலவு"
defiance,"மீறுகை, எதிர்ப்பு"
deficit,"துண்டுவிழல், பற்றாக்குறை"
deficit budget,பற்றாக்குறை வரவு-செலவுத்திட்டம்
define,"1. தெளிவாக்கு, வரையறு 2. நிலையான"
defy,"எதிர்த்து நில், அறைகூவல் விடு"
degradation,"தாழ்த்துதல், தரமிறக்குதல்"
degree,1. பாகை 2. படிநிலை 3. பட்டம்
dejure,"உரிமைப்படி, சட்டப்படி"
delay,"சுணக்கம், காலத்தாழ்வு"
delegate,"1. பேராளர், பிரதிநிதி 2. ஒப்படை"
delegated authority,ஒப்படைக்கப்பட்ட அதிகாரி/அதிகார ஆணையம்
delegation,1. பேராளர் குழு 2. ஒப்படைப்பு
delegation of powers,அதிகார ஒப்படைப்பு
delete,நீக்கு
deletion,"அடித்துவிடுதல், நீக்குதல்"
deliberately,வேண்டுமென்றே
deliberation,ஆழ்ந்தாராய்வு
delicencing,1. உரிமத்தை நீக்குதல் 2. உரிமத்தை அகற்று
delimitation,தொகுதி மறுசீரமைத்தல்
deliver,"1. ஒப்படை, அளி 2. பிரசவி"
delivery,"1. கொடுத்தல், ஒப்படைப்பு 2. ஈனல்"
demand,"1. கேட்பு, கோரிக்கை 2. தேவை"
demand note,கேட்புக் குறிப்பு
demarcation,எல்லை வரையறுத்தல்
demi-official,"பகுதியளவு அதிகாரமுடைய, நேர்முக"
democracy,மக்களாட்சி
demonstration,1. செயல்முறை விளக்கம் 2. ஆர்ப்பாட்டம்
demoralization,"சோர்வுறுதல், ஊக்கம் குறைதல்"
demurrage,சுணக்கக் கட்டணம்
denial,மறுப்பு
denomination,"1. வகைப்பெயர் 2. இனம், மதப்பிரிவு"
deny,"மறு, மறுப்புத் தெரிவி"
depart,பிரிதல்
department,துறை
departmental,துறை சார்ந்த
departmental action,துறைசார் நடவடிக்கை
departmental enquiry,துறைசார் விசாரணை
departmental investigation,துறைசார் புலனாய்வு
departmental irregularity,துறைசார் முறைகேடு
departmental library,துறைசார் நூலகம்
departmental negligence,துறைசார் கவனமின்மை
departmental permission,துறைசார் அனுமதி
departmental qualifying examination,"துறைசார் தகுதித் தேர்வு, தகுதியாக்கத் தேர்வு"
departure,1. புறப்பாடு 2. பிறழ்வு
dependency certificate,சார்புச் சான்றிதழ்
dependent,"பிறர் சார்புள்ள, சார்ந்திருக்கிற"
dependent children,சார்ந்து வாழும் குழந்தைகள்
deploy,"1. பரப்பி அமை, வரிசைப்படுத்து 2. பணியில் ஈடுபடுத்து"
deponent,"சான்றுரைஞர், வாக்குமூலம் தருபவர்"
deportation,நாடு கடத்துதல்
depose,1. சான்றுரை அளி 2. பதவியிலிருந்து விலக்கு
deposit,வைப்புத் தொகை
depot,"மண்டி, கிடங்கு"
depreciation,1. தேய்மானம் 2. மதிப்பிறக்கம்
depressed class,ஒடுக்கப்பட்ட வகுப்பினர்
deprive,"இழக்கச் செய், பிடுங்கு"
deputation,1. பேராண்மைக் குழு 2. வேற்றுப் பணிக்கனுப்புதல்
deputation allowance,வேற்றுப் பணிப் படி
deputy,துணை
deregistered,"பதிவு நீக்கிய, பதிவை விலக்கிய"
dereliction of duty,கடமை தவறுதல்
dereservation,ஒதுக்கீட்டை நீக்குதல்
derogation,குறைப்படுத்துதல்
derogatory,"மதிப்புக் குறைக்கிற, சிறுமைப் படுத்துகிற"
derogatory remark,சிறுமைப்படுத்தும் குறிப்புரை
descendant,"மரபினர், வழித்தோன்றல்"
description,விவரிப்பு
deserving,"தகுதியுடைய, தக்க, ஏற்ற"
design,"1. வடிவமைப்பு 2. வடிவமை 3. எண்ணம், சூழ்ச்சி"
designate,1. பதவிப் பெயரளி 2. பணியமர்த்து
designation,பதவிப் பெயர்
despatch,அனுப்புகை
despatch note,அனுப்புகைக் குறிப்பு
despatch register,அனுப்புகைப் பதிவேடு
destination,"செல்லிடம், சேரிடம்"
destitute,"ஆதரவற்ற, கைவிடப்பட்ட"
detail,1. விவரம் 2. வேலைக்கு அனுப்பு 3. படைப்பிரிவு
detailed,விவரமான
detect,"கண்டுபிடி, துப்பறி"
detention,1. சிறை வைத்தல் 2. நிறுத்தி வைத்தல்
detenu,1. தடுப்புக்காவல் 2. கைதி
determination,"உறுதிப்பாடு, முடிவு"
deterrence,"தடை, ஊறு"
detriment,"ஊறு, குந்தகம், இழப்பு"
detrimental,"கெடுதலான, ஊறு பயக்கத்தக்க"
devaluation,மதிப்பைக் குறைத்தல்
devastation,"பாழ், அழிவு, கேடு"
development,"வளர்ச்சி, பெருக்கம், மேம்பாடு"
deviate,"விலகிச்செல், பிறழ், மாறுபடு"
device,"1. திட்டம், ஏற்பாடு 2. கருவி"
devotion,"ஈடுபாடு, அர்ப்பணிப்பு"
diagnose,"நோய் அறிதல், நுணுகிப்பார்த்து காரணமறிதல்"
diagram,விளக்க வரைபடம்
diary,நாள்குறிப்பு
dictation,சொல்வதை எழுதச் செய்தல்
dies non,வேலை இல்லையேல் ஊதியம் இல்லை
diet,"உணவு, பத்திய உணவு"
digest,1. சுருக்கத் தொகுப்பு 2. பட்டியல்
dignified,"கண்ணியமான, மதிப்பு வாய்ந்த"
dignity,"கண்ணியம், மதிப்பு, பெருந்தன்மை"
digression,பேச்சை மாற்றுதல்
dilatory,காலங்கடத்துகிற
dilemma,"இரண்டக நிலை, இருதலைக் கொள்ளி எறும்பு நிலை"
diligent,தளராத
dimension,"உருவளவு, பரிமாணம்"
diploma,பட்டயம்
diplomacy,"செயலாண்மைத் திறம், சாதுர்யம்"
diplomatic immunity,தூதுவருக்கான/ தூதர் அலுவலகத்துக்கான விலக்களிப்பு
direct,1. நேரான 2. கட்டளையிடு 3. இயக்கு
direct competition,நேரடிப் போட்டி
direct interview,நேரடி நேர்காணல்
direct recruit,நேரடி ஆளெடுப்பு
direction,1. கட்டளை 2. இயக்குதல் 3. திசை
directory,"தகவல் தொகுதி, விவரத் திரட்டு"
disability,"இயலாமை, ஊனம்"
disabled person,ஊனமுற்றவர்
disablement benefit,ஊனத்துக்கான சலுகை
disadvantage,"பாதக நிலை, வசதியற்ற சூழல், அனுகூலமின்மை"
disagree,"உடன்பட மறு, இசையாதிரு"
disallow,"ஏற்க மறு, தள்ளிவிடு"
disallowed,"ஏற்க மறுத்த, மறுத்த"
disapproval,"ஒப்புதலளிக்க மறுத்தல், ஏற்க மறுத்தல்"
disaster,"பேரழிவு, பேரிடர், பெருங்கேடு"
disaster management,பேரிடர் மேலாண்மை
disband,கலைத்துவிடு
disbursement,"அளித்தல், கொடுத்தல்"
discard,"நீக்கு, கழி"
discharge,1. வெளியேற்றம் 2. விடுவிப்பு
discharge slip,1. விடுவிக்கும் சீட்டு 2. கடன் தீர்த்த ரசீது
disciplinary action,ஒழுங்கு நடவடிக்கை
disciplinary procedure,ஒழுங்குமுறை நடவடிக்கைகள்
discipline,ஒழுக்கம்
disclaim,"உரிமை கைவிடு, ஏற்றுக்கொள்ள மறு"
disclosure,மறை வெளியீடு
discontent,"மன நிறைவின்மை, திருப்தியின்மை"
discontinuance,"இடைநிறுத்து, தொடர்பறுத்தல்"
discontinue,"இடையில் நின்றுவிடு, தொடர்பறு"
discord,"முரண்படு, வேறுபடு"
discount,"கழிவு, தள்ளுபடி, கழிமானம்"
discover,கண்டுபிடி
discredit,"1. நாணயக்கேடு, மதிப்புக் கேடு 2. கெட்ட பெயர் ஏற்படுத்தல்"
discrepancy,"முரண்பாடு, இசைவின்மை"
discretion,விருப்புரிமை
discretionary grant,விருப்புரிமை மானியம்
discretionary power,விருப்புரிமை அதிகாரம்
discrimination,"பாகுபாடு காணல், ஓரங்கட்டல்"
discussion,"கலந்துரையாடல், கலந்தாய்வு"
dishonest,"நேர்மையற்ற, நாணயமற்ற"
dishonour (a cheque),காசோலை நிராகரிப்பு
disintegration,"சிதைவு, கூட்டழிவு"
disk,"வட்டு, வட்டச் சில்லு"
dislocation,1. நிலைகுலைவு 2. இடம்பெயர்வு
disloyal,நம்பிக்கையற்ற
dismiss,1. பணிநீக்கு 2.(வழக்கை) தள்ளுபடி செய்
dismissal,"பணிநீக்கம், பணியறவு"
dismissal procedure,பணிநீக்க நடைமுறை
disobey,பணிய மறு
disorder,"குழப்பம், சீர்குலைவு, முறையின்மை"
disorganise,ஒழுங்குமுறை இல்லாமல் ஆக்கு
disparity,ஏற்றத்தாழ்வு
dispatch section,அனுப்புகைப் பிரிவு
dispensable,"விலக்கத் தக்க, அவசியமற்ற"
disperse,"1. கலையச்செய் 2. பரவு, சிதறு"
displaced,இடம் பெயர்ந்த
display,1. காட்சி 2. காட்சிப்படுத்து
displeasure,"மன நிறைவின்மை, வெறுப்பு, அதிருப்தி"
disposal,"1. தீர்த்தல், முடித்தல் 2. நீக்குதல்"
dispose of,"முடிவு செய், தீர்வு செய்"
disposition,"தன்மை, இயல்பு"
dispossess,உடைமை பறி
dispute,"தகராறு, பூசல்"
disqualification,தகுதியிழத்தல்
disregard,"புறக்கணி, மதியாதிரு"
disruption,"இடையூறு, தடங்கல்"
dissatisfaction,"மனக்குறை, மனநிறைவின்மை"
dissent,மாறுபடு
disservice,"தீங்கு, பொல்லாமை"
dissociate,"தொடர்பை அறு, பிரிந்து போ"
dissolution,கலைத்தல்
dissolve,"கலை, கரை"
distance learning,தொலைநிலைக் கல்வி
distillery,"வடிசாலை, வடிப்பகம்"
distinct,"1. தனித்த, தனிச்சிறப்புள்ள 2. தெளிவாகத் தெரிகிற"
distinguish,1. வேறுபடுத்து 2. சிறப்புப் பெறு
distortion,திரித்துக் கூறுதல்
distress,"இடுக்கண், இடர்பாடு"
distribute,"வழங்கு, பகிர்"
distribution,"வழங்குதல், பகிர்வு, பங்கீடு"
district,மாவட்டம்
district centre,மாவட்ட மையம்
disturbance,"குழப்பம், இடையூறு"
ditto,மேற்படி
diversion,"திருப்பி விடுதல், மாற்று வழி"
dividend,"ஆதாயப் பங்கு, சமப்படுத்து நிதி"
division,1. வாக்கெடுப்பிற்காகப் பிரித்தல் 2. பிரித்தல் 3. கோட்டம்
divorce,"மணமுறிவு, மண விலக்கு"
docket,"புறத்தாள், புறத்தாள் குறிப்பு"
doctor,1. மருத்துவர் 2. முனைவர்
document,"ஆவணம், பத்திரம்"
documentary evidence,"ஆவணச்சான்று, எழுத்துச்சான்று"
documentation,ஆவணப்படுத்தல்
domicile,1. உறைவிடம் 2. குடியுரிமை
domicile certificate,"குடியுரிமைச் சான்று, நிலையகச் சான்று"
dominant,"முதன்மையான, விஞ்சி நிற்கிற"
donation,நன்கொடை
dossier,மந்தணக் கோப்பு
doubtful,ஐயமுள்ள
dove tailing,பணிவரிசைப்படி நடத்தல்
down grade,"கீழ்நிலைக்கு இறக்கு, தரமிறக்கு"
draft,1. வரைவு 2. வங்கி வரைவோலை
draft reply,வரைவு பதில்
drastic measure,கடுமையான நடவடிக்கை
draw,"1. வரை 2. குலுக்கல் 3. வாங்கு, எடு, உருவு"
drawer,1. காசோலை எழுதித் தருபவர் 2. இழுப்பறை
drawing,1. வரைபடம் 2. வரைதல் 3. பின்வாங்குதல் 4.(ஊதியம்)பெறுதல்
drought,வறட்சி
dry promotion,லாபமற்ற பதவி உயர்வு
dual charge,"இரட்டைப் பொறுப்பு, இரட்டைப் பணி"
dual citizenship,இரட்டைக் குடியுரிமை
due,"1. நிலுவைக் கடன், தவணை 2. உரிய"
due diligence,தக்க விடாமுயற்சி
dues,கடன்கள்
duly,"ஏற்றவாறு, தக்கவாறு, சரியாக"
duplicate,"இரட்டிப்பான படி, இரண்டாம் படி"
duration,கால அளவு
duress,"சட்டத்தை மீறிய, வலுக்கட்டாயம்"
duty,"1. கடமை, அலுவல் 2. தீர்வை, சுங்க வரி"
duty allowance,"அலுவற்படி, பணிப்படி"
duty chart,அலுவல் அட்டவணை
duty leave,அலுவலில் விடுப்பு
duty room,அலுவல் அறை
dying declaration,இறப்பு வாக்குமூலம்
dynamic,1. ஆற்றல் வாய்ந்த 2. இயங்காற்றல்
earmark,குறிப்பிட்ட ஒதுக்கீடு
earned leave,ஈட்டிய விடுப்பு
earnings,"ஊதியம், வருவாய், ஈட்டிய பொருள்"
eco-friendly,சுற்றுச்சூழல் சாதகமான
ecology,(உயிரின வாழ்க்கை) சூழலியல்
economic,1. பொருளாதார 2. பொருளியல் சார்ந்த
economical exploitation,பொருளாதாரச் சுரண்டல்
economy,பொருளாதார அமைப்பு
economy class,சிக்கனப் பிரிவு
editing,1. திருத்தி அமைத்தல் 2. பதிப்பித்தல்
edition,பதிப்பு
editorial,தலையங்கம்
education,கல்வி
educational career,கல்விசார் தொழில்
educational institute,கல்வி நிறுவனம்
educational qualification,கல்வித் தகுதி
effect,"பயன், விளைவு, விளை பயன்"
effective,1. பயனுடைய 2. நடைமுறைக்கேற்ற 3. ஆற்றல் வாய்ந்த
effective date,"நடைமுறைப்படுத்திய தேதி, செயலாக்க நாள்"
effects,விளைவுகள்
efficacy,"பலாபலன், உச்சவினை"
efficiency,"திறப்பாடு, திறமை"
efficient,"திறமையான, ஆற்றல் மிக்க"
ejectment,"அப்புறப்படுத்தல், வெளியேற்றம்"
elaborate,"1. விரிவான 2. விரிவுபடுத்து, விரித்துரை"
elapse,"கடந்து விடுகை, கழிந்துவிடு"
elected representative,தேர்ந்தெடுக்கப்பட்ட பிரதிநிதி
election,தேர்தல்
electoral college,வாக்காளர் குழு
electorate,"வாக்காளர் தொகுதி, தேர்தல் தொகுதி"
electrification,மின்வசதி செய்தல்
electronic media,மின்னணு ஊடகம்
elementary,"அடிப்படையான, தொடக்க"
eligibility,"தகுதியுடைமை, தகமை"
eligibility test,தகுதிகாண் தேர்வு
elimination,"நீக்கம், அகற்றல்"
eloquence,"சொற்றிறம், பேச்சுத்திறன்"
embarrass,"வெட்கமுறச்செய், குழப்பு, தொல்லை கொடு"
embezzlement,கையாடல்
emblem,"சின்னம், தனிக்குறி"
embossing seal,புடைப்பு முத்திரை
emergency,நெருக்கடி
emergency relief,அவசரகால நிவாரணம்
emergent,1. அவசர 2. வெளிப்படுகிற
emigration,குடியேற்றம்
emolument,"ஊதியம், சம்பளம்"
empanelment,"பட்டியலிடுதல், குழுவில் சேர்த்தல்"
empathy,மாற்றார் உளமறிதல்
employ,"தொழில் கொடு, வேலை கொடு, பயன்படுத்து"
employee,"வேலையாள், ஊழியர், தொழிலாளி"
employee participation,ஊழியர் பங்கேற்பு
employee’s contribution,ஊழியர் பங்களிப்பு
employees provident fund,தொழிலாளர் வருங்கால வைப்புநிதி
employer,"வேலை கொடுப்பவர், அமர்த்துநர்"
employment,"1. வேலை, தொழில் 2. பயன்படுத்துதல்"
employment exchange,வேலைவாய்ப்பகம்
employment notice,வேலைவாய்ப்பு அறிவிப்பு
employment office,வேலைவாய்ப்பு அலுவலகம்
empower,"அதிகாரம் அளி, உரிமை கொடு"
empowerment,அதிகாரம் பெறுதல்
en bloc,ஒட்டுமொத்தமாக
en masse,"ஒட்டுமொத்தமாக, எல்லாருமாக, திரளாக"
en route,"வழியாக, வழியில், இடையில்"
enact,சட்டமியற்று
enactment,"இயற்றல், அரங்கேற்றுதல்"
encash,"பணமாக மாற்று, பணமாக்கு"
enclose,"இணை, உள்ளடக்கு"
encouragement,"ஊக்குவித்தல், ஆதரவளித்தல்"
encroachment,"ஆக்கிரமிப்பு, எல்லை மீறுகை"
encumbrance,வில்லங்கம்
end product,"தயாரித்து முடித்த பொருள், முடிவான தயாரிப்பு"
endorse,"மேல் குறிப்பெழுது, ஆதரி"
endowment,அறக்கட்டளை
energy,"ஆற்றல், சக்தி, திறமை"
enforce,"1. செயற்படுத்து, நிறைவேற்று 2. கட்டாயப்படுத்து"
engage,1. பணியமர்த்து 2. ஈடுபடுத்து
enhancement,"உயர்த்தல், மிகைப்படுத்தல், அதிகமாக்கல்"
enjoin,"இணை, சேர்"
enquiry,"விசாரணை, தகவல் அறிதல்"
enrol,"பதிவு செய், பட்டியலில் சேர்"
enrolment (=enrollment),பட்டியலில் சேர்த்தல்
enrolment number,பதிவெண்
ensuing,"அடுத்து வருகிற, அடுத்த"
ensure,உறுதி செய்
enter,"நுழை, பதிவு செய்"
enterprise,1. நிறுவனம் 2. வினைத்திட்பம்
entertain,1. மகிழ்வி 2. விருந்தோம்பு 3. கருது
entertainment,"கேளிக்கை, பொழுதுபோக்கு, விருந்தளிப்பு"
entitle,"உரிமையாக்கு, உரிமை கொடு, தகுதியாக்கு"
entitled,"உரிமை பெற்ற, உரிமை உடைய"
entitlement,"உரிமையாக்குதல், உரிமை கொடுத்தல், தகுதியாக்குதல்"
entrance,நுழைவு
entrant,"நுழைவாளர், புகுநர்"
entry,"1. நுழைதல், பதிவு 2. நுழைவாயில்"
entry level job,நுழைவுநிலைப் பணி
enumeration,கணக்கெடுப்பு
environment,"சுற்றுப்புறம், சூழல்"
envoy,தூதர்
epidemic (disease),கொள்ளை நோய்
epitome,சுருக்கம்
equality,"சமநிலை, சமத்துவம்"
equilibrium,"சமநிலை, சரி ஒப்புநிலை"
equipment,"தளவாடம், கருவி"
equity,1. சமப்பங்கு 2. வர்த்தகப் பங்கு
equivalent,"நிகரான, சமமான"
equivocal,"தெளிவற்ற, இரு பொருளுடைய"
eradicate,"வேருடன் அழி, அடியோடு அழி"
errata,பிழைதிருத்தம்
error,"தவறு, பிழை"
escalation,"ஏற்றம், ஏறிய நிலை"
escort,"1. வழிக்காவலர், மெய்க்காவலர், 2. மெய்க்காவல்"
essential,இன்றியமையாத
establishment,1. பணியாளர் தொகுதி 2. நிறுவனம் 3. நிறுவுதல்
estimate,மதிப்பீடு
estimated cost,மதிப்பீடு செய்யப்பட்ட செலவு
ethics,"ஒழுக்கவியல், நீதி நெறி"
etiquette,"நடத்தை முறை, ஒழுங்குமுறை"
evacuation,"வெளியேற்றம், பின்வாங்கல்"
evade,"தவிர், நழுவு, மழுப்பு"
evaluation,"கணிப்பாய்வு, மதிப்பாய்வு"
even number,இரட்டைப்படை எண்
eventual,"விளைவாக நிகழ்ந்த, முடிவாக விளைகிற"
eviction,வெளியேற்றல்
evidence,"சான்று, சாட்சியம்"
evolve,"தோற்றுவி, ஆக்கு, வெளிப்படுத்து"
ex gratia,கருணையுதவி
ex gratia payment,கருணைத்தொகையளிப்பு
ex-officio,"அலுவல் வழி, பதவி வழி"
ex-parte,"ஒருதலையான, ஒரு சார்பான"
ex-post facto,பணி அடிப்படையிலான
exact,"துல்லியமான, சரிநுட்பமான"
examination,"தேர்வு, ஆராய்வு"
examinee,"தேர்வு எழுதுபவர், விசாரணைக்கு ஆளானோர்"
examiner,"தேர்வாளர், ஆராய்வாளர்"
example,எடுத்துக்காட்டு
excavation,"அகழ்தல், தோண்டியெடுத்தல்"
excellent,"மிகச்சிறந்த, நேர்த்தி வாய்ந்த"
exception,விதிவிலக்கு
exceptional,விதிவிலக்கான
excess,"மிகை, மிஞ்சிய அளவு"
exchange,பரிமாற்றம்
exchequer,"நிதித்துறைக் கருவூலம், வைப்புழி, வைப்பிடம்"
excise (=excise duty),"உள்நாட்டுப் பொருள்வரி, கலால் வரி"
exclude,"நீக்கு, விலக்கு, தவிர், அகற்று, இல்லாதாக்கு"
excuse,1. மன்னிப்பு 2. மன்னிப்பளி 3. சாக்குப்போக்கு
execute,"1. செயலாற்று, நிகழ்த்து 2. தூக்குதண்டனை நிறைவேற்று"
executive,1. செயலதிகாரி 2. செயலாட்சி 3. நிர்வாக
executive committee,செயற்குழு
executive power,நிர்வாக அதிகாரம்
executive staff,"செயலாண் பணியாளர், செயலாட்சி துறைப் பணியாளர்"
executives,நிர்வாகிகள்
exempt,"விலக்கு, தவிர், நீக்கு, விலக்களிப்பு"
exemption,"விலக்களிப்பு, விதி விலக்கு"
exercise,பயிற்சி
exhaust,1. பயன்படுத்தித் தீர் 2. புறம்போக்கி 3. உரமிழக்கச் செய்
exhaustive,"முழுமையான, விளக்கமான"
exhibit,"1. காட்சிப் பொருள்கள் 2. சான்றுப் பொருள்கள், சான்றாவணம்"
exigency,"அவசரத்தருவாய், தருணம், நெருக்கடி"
exim policy,ஏற்றுமதி இறக்குமதிக் கொள்கை
exit,"வெளிச்செல் வழி, வெளியேறு"
exit interview,வெளியேற்ற நேர்முகம்
exit policy,வெளியேற்றக் கொள்கை
exit poll,தேர்தல் கருத்துக்கணிப்பு
exonerate,"பொறுப்பு விடு, பழி துடை"
expansion,"விரிவு, பெருக்கம், விரிவடைதல்"
expatriation,தன்னாடு அனுப்புதல்
expedient,"உகந்த, தக்க"
expedite,"விரைவுபடுத்து, விரைந்தனுப்பு"
expel,"வெளியேற்று, நாடு கடத்து"
expenditure,செலவினம்
experience,"அனுபவம், பட்டறிவு"
experiment,"செய்முறை, பரிசோதனை"
expert,வல்லுநர்
expiry,"காலக்கழிவு, கால முடிவு"
expiry date,"காலக்கடப்பு நாள், கால முடிவு நாள்"
explanation,விளக்கம்
explicit,"தெளிவான, வெளிப்படையான, விளக்கமான"
exploitation,சுரண்டல்
explore,"ஆய்வு செய், நாடியறி"
explosion,வெடித்தல்
export,ஏற்றுமதி
express,1. விரைவு 2. வெளிப்படுத்து
expression,1. சொற்றொடர் 2. வெளிப்படுத்தல்
expulsion,"வெளியே துரத்துதல், நாடு கடத்துதல்"
expunge,குறிப்பிலிருந்து நீக்கு
extend,"நீட்டு, விரிவாக்கு"
extent,"பரப்பு, அளவு"
external,"வெளிப்புறமான, வெளியான"
extortion,அச்சுறுத்திப் பறித்தல்
extra,"மிகையான, மிகைப்படியான, கூடுதல்"
extract,"1. எடுபகுதி 2. பொழிப்பு, சுருக்கம்"
extraordinary,அசாதாரண
extravagant,"ஊதாரித்தனமான, வரம்பு கடந்த"
extremist,"தீவிரவாதி, போராளி"
extrovert,புறவயச் சிந்தனையுள்ள
eye witness,"நேரில் பார்த்த சான்றுரைஞர், கண்ணுற்ற சான்றுரைஞர்"
fabricate,1. கட்டமைப்பு 2. புனைந்து கட்டு
face value,முகமதிப்பு
facilitate,"எளிதாக்கு, வசதி செய்"
facility,வசதி
facsimile,"தொலைநகல், உருவ நேர்படி"
fact,"உண்மை, பொருண்மை, மெய்ம்மை நிகழ்ச்சி"
factionalism,உட்கட்சிப் பூசல்
factor,"காரணக்கூறு, ஆக்கக்கூறு"
factory,"தொழிலகம், தொழில்கூடம்"
factual,"உண்மையான, மெய் சார்ந்த"
faculty,1. கல்லூரி ஆசிரியர்கள் 2. பீடம் 3. வினைத்திறம்
fail,"தோல்வியுறு, தவறிழை"
fair,"1. அழகான 2. நேர்மையான, நியாயமான 3. திருவிழா"
faith,நம்பிக்கை
fake,போலித்தனம்
family,குடும்பம்
famine,பஞ்சம்
fare,"வண்டிச்சத்தம், பயணச்சத்தம்"
farewell,"வழியனுப்பு, பிரியாவிடை"
farming,"தோட்டமிடுதல், செடிவளர்ப்பு, பயிரிடுதல்"
fatigue,"களைப்பு, அயர்ச்சி, தளர்வு, சோர்வு"
fault,"குற்றம், தவறுகை"
favour,"1. சார்பு, ஆதரவு 2. உதவிசெய், ஆதரவு காட்டு"
feasibility,"வாய்ப்பான, இயலக்கூடிய"
federation,கூட்டமைப்பு
fee,கட்டணம்
feed back,பின்னூட்டம்
feeling,"உள்ளுணர்ச்சி, உள்ளெண்ணம்"
felicitate,"வாழ்த்துக்கூறு, பாராட்டு"
fellow,"1. கூட்டாளி, சகா 3. ஆய்வாளர்"
fellowship,"ஆதரவு ஊதியம், புத்தாய்வு மாணவர் நிலை"
female,பெண்
fertile,"வளமான, செழிப்பான"
fictitious,"போலியான, கற்பனையான"
fidelity,"நம்பிக்கை, நம்பகத்தன்மை"
field,"1. வயல், நிலம் 2. புலம், களம்"
figure,"1. உருவம், தோற்றம் 2. எண் இலக்கம்"
file,"1. கோப்பு 2. தாக்கல் செய், கோத்து வை"
filing,கோத்தல்
film,"திரைப்படம், படச்சுருள், மென்படலம்"
final,"முடிவான, இறுதியான, அறுதியான"
finance,நிதி
financier,நிதியாளர்
findings,"முடிவு, கண்டறிந்தவை"
fine,"1. தண்டம், தண்டப்பணம் 2. நேர்த்தியான, செப்பமுடைய"
fine arts,"கவின்கலைகள், நுண்கலைகள்"
finger prints,விரல் பதிவுகள்
finished goods,ஆக்கப்பெற்ற பொருள்கள்
fire,"தீ, நெருப்பு"
