Assamese,English
দশমিক ক&#39;ডযুক্ত অংক,decimal coded digit
দশমিক প্ৰসাৰণ,decimal expansion
দশমিক ভগ্নাংশ,decimal fraction
দশমিক সংকেত,decimal notation
দশমিক সংখ্যাকৰণ ব্যৱস্থা,decimal numbering system
দশমিক বিন্দু,decimal point
দশমিক স্কেল,decimal scale
দশমিক ব্যৱস্থা,decimal system
ডেচিমিটাৰ,decimeter
ডিচিফাৰ কৰা,deciphering
সিদ্ধান্তৰ আৰ্হি,decision model
সিদ্ধান্ত তত্ত্ব,decision theory
সিদ্ধান্ত চলক,decision variable
ডিকোডাৰ,decoder
ডিকোডিং,decoding
পচনযোগ্য ছেট,decomposable set
হ্ৰাস পাইছে,decreasing
হ্ৰাস পোৱা কাৰ্য্য,decreasing function
ডেডেকিণ্ডৰ কাট,Dedekind's cut
ডেডেকাইণ্ডৰ উপপাদ্য,Dedekind's theorem
deduce,deduce
ডিডক্টিভ পদ্ধতি,deductive method
ত্ৰুটিপূৰ্ণ,defective
সমীকৰণ সংজ্ঞায়িত কৰা,defining equation
নিৰ্দিষ্ট অখণ্ড,definite integral
নিৰ্দিষ্ট মেট্ৰিক্স,definite matrix
সংজ্ঞা,definition
বিকৃতি বক্ৰ,deformation curve
বিকৃত পৃষ্ঠ,deformed surface
অৱক্ষয়,degeneracy
ট্ৰেন্সপ&#39;ৰেচন সমস্যাত অৱক্ষয়,degeneracy in transporation problems
ডিগ্ৰী,degree
অৱভেদ্য সমীকৰণৰ ডিগ্ৰী,degree of differential equation
স্বাধীনতাৰ মাত্ৰা,degree of freedom
বহুপদৰ ডিগ্ৰী,degree of polynomial
মচি পেলোৱা চুবুৰী,deleted neighbourhood
ডেল্টা ফাংচন,delta function
চাহিদা আৰু উপযোগিতা বক্ৰ,demand and utility curve
চাহিদা সমীকৰণ,demand equation
চাহিদা কাৰ্য্য,demand function
জনগাঁথনিগত অধ্যয়ন,demographic study
ডেম&#39;গ্ৰাফী,demography
ডি মইভ্ৰেৰ উপপাদ্য,De Moivre’s theorem
প্ৰদৰ্শন,demonstrate
প্ৰদৰ্শন,demonstration
প্ৰদৰ্শনমূলক জ্যামিতি,demonstrative geometry
হৰ,denominator
ঘন গোট,dense set
ঘনত্ব,density
denumerable set,denumerable set
প্ৰস্থানকাৰী চলকসমূহ,departing variables
নিৰ্ভৰশীল ইভেন্ট,dependent event
নিৰ্ভৰশীল যাদৃচ্ছিক চলক,dependent random variable
নিৰ্ভৰশীল চলক,dependent variable
নিৰ্ভৰশীল ভিন্নতা,dependent variate
ডিপ্ৰেছন এংগেল,depression angle
ব্যুৎপত্তি,derivation
ডেৰাইভেটিভ,derivative
ব্যুৎপন্ন শৃংখলা,derived series
ব্যুৎপত্তি কৰা গোট,derived set
অৱতৰণ কৰা,descending
অৱনমিত ক্ৰম,descending order
অৱনমিত শৃংখলা,descending series
বৰ্ণনাত্মক জ্যামিতি,descriptive geometry
বৰ্ণনাত্মক আৰ্হি,descriptive model
বৰ্ণনাত্মক পৰিসংখ্যা,descriptive statistics
ডিজাইন,design
পৰীক্ষাৰ ডিজাইন,design of experiment
ডেস্ক কেলকুলেটৰ,desk calculator
ধৰা পেলোৱা,detection
নিৰ্ণায়ক,determinant
নিৰ্ণায়ক ৰেংক,determinant rank
নিৰ্দ্ধাৰণ কৰা,determine
নিৰ্ধাৰিত আৰ্হি,deterministic model
নিৰ্ধাৰিত সমস্যা,deterministic problem
বিচ্যুতি,deviation
বিচ্যুতি সহগ,deviation coefficient
ডায়েডিক ব্যৱস্থা,diadic system
তিৰ্যক,diagonal
এটা মেট্ৰিক্সৰ তিৰ্যকীকৰণ,diagonalization of a matrix
তিৰ্যক মেট্ৰিক্স,diagonal matrix
তিৰ্যক সাদৃশ্য,diagonal similarity
ডায়েগ্ৰাম,diagram
ডায়েগ্ৰামমেটিক পদ্ধতি,diagrammatic method
ডায়াগ্ৰামমেটিক উপস্থাপন,diagrammatic presentation
ব্যাস,diameter
এটা গোটৰ ব্যাস,diameter of a set
ডায়েমেট্ৰিকভাৱে বিপৰীত,diametrically opposite
পাশা নিক্ষেপ,dice throw
দ্বৈত শ্ৰেণীবিভাজন,dichotomous classification
দ্বৈতবিভাজন,dichotomy
অভিধানৰ ক্ৰম,dictionary order
পাৰ্থক্য কেলকুলাছ,difference calculus
পাৰ্থক্য সমীকৰণ,difference equation
পাৰ্থক্য সূত্ৰ,difference formula
পাৰ্থক্য পদ্ধতি,difference method
গোটৰ পাৰ্থক্য,difference of sets
ভিন্নতামূলক,differentiable
ভিন্নতাযোগ্য বক্ৰ,differentiable curve
ডিফাৰেন্সিয়েবল ফাংচন,differentiable function
ডিফাৰেন্সিয়েল,differential
ডিফাৰেন্সিয়েল কেলকুলাছ,differential calculus
ডিফাৰেন্সিয়েল সহগ,differential coefficient
অৱভেদ্য সমীকৰণ,differential equation
ভিন্নতামূলক ৰূপ,differential form
ডিফাৰেন্সিয়েল সূত্ৰ,differential formula
ডিফাৰেন্সিয়েল ফাংচন,differential function
ডিফাৰেন্সিয়েল জ্যামিতি,differential geometry
উচ্চ ক্ৰমৰ ডিফাৰেন্সিয়েল,differential of higher order
ডিফাৰেন্সিয়েল ভাগফল,differential quotient
পাৰ্থক্য কৰা,differentiate
পাৰ্থক্য,differentiation
পাৰ্থক্য সূত্ৰ,differentiation formula
ভেক্টৰৰ পাৰ্থক্য,differentiation of vector
প্ৰসাৰণ,diffusion
অংক,digit
ডিজিটেল কম্পিউটাৰ,digital computer
ডিজিটেল ডাটা,digital data
মাত্ৰা,dimension
মাত্ৰাগততা,dimensionality
মাত্ৰাহীন,dimensionless
সমীকৰণৰ মাত্ৰা,dimension of an equation
ডাইফেন্টাইন সমীকৰণ,diophantine equation
ডিপ এংগেল,dip angle
ডাইপোলাৰ স্থানাংক,dipolar coordinates
ডাইপোল,dipole
ডাইপিৰামিড (bipyramid),dipyramid (bipyramid)
Dirac ডেল্টা ফাংচন,Dirac delta function
প্ৰত্যক্ষ সাধাৰণ স্পৰ্শক,direct common tangent
নিৰ্দেশিত কোণ,directed angle
নিৰ্দেশিত ৰেখা,directed line
দিশগত ব্যুৎপত্তি,directional derivative
দিশ কোচাইন,direction cosine
maxima ৰ দিশ,direction of maxima
প্ৰক্ষেপণৰ দিশ,direction of projection
দিশ অনুপাত,direction ratio
পৰিচালক বৃত্ত,director circle
পৰিচালক ক্ষেত্ৰ,director sphere
প্ৰত্যক্ষ উৎপাদন,direct product
প্ৰত্যক্ষ প্ৰমাণ,direct proof
প্ৰত্যক্ষ অনুপাত,direct proportion
ডাইৰেক্টিক্স,directrix
প্ৰত্যক্ষ যোগফল,direct sum
disconncted ছেটসমূহ,disconncted sets
বিচ্ছিন্নতা,discontinuity
ডেৰাইভেটিভৰ বিচ্ছিন্নতা,discontinuity of derivative
প্ৰথম ধৰণৰ বিচ্ছিন্নতা,discontinuity of the first kind
দ্বিতীয় প্ৰকাৰৰ বিচ্ছিন্নতা,discontinuity of the second kind
বিচ্ছিন্ন বিতৰণ,discontinuous distribution
বিচ্ছিন্ন কাৰ্য্য,discontinuous function
বিচ্ছিন্ন ভেৰিয়েট,discontinuous variate
বিচ্ছিন্ন,discrete
বিচ্ছিন্ন বিতৰণ,discrete distribution
বিচ্ছিন্ন সম্ভাৱনা বিতৰণ,discrete probability distribution
বিচ্ছিন্ন যাদৃচ্ছিক চলক,discrete random variable
বিচ্ছিন্ন নমুনা স্থান,discrete sample space
বিচ্ছিন্ন গোট,discrete set
বিচ্ছিন্ন স্থান,discrete space
বিচ্ছিন্ন টপোলজি,discrete topology
বিচ্ছিন্ন ভিন্নতা,discrete variate
বৈষম্যমূলক,discriminant
বৈষম্যমূলক বিশ্লেষণ (=বৈষম্যমূলক বিশ্লেষণ),discriminatory analysis (=discriminant analysis)
disjoint,disjoint
অসংলগ্ন পৰিঘটনা,disjoint events
disjoint sets,disjoint sets
disjoint union,disjoint union
বিচ্ছিন্নতা,disjunction
বিক্ষিপ্ততা,dispersion
বিক্ষিপ্ততা লেখচিত্ৰ,dispersion chart
বিক্ষিপ্ততা ধ্ৰুৱক,dispersion constant
বিক্ষিপ্ততা ডায়েগ্ৰাম,dispersion diagram
বিক্ষিপ্ততা মেট্ৰিক্স (=সচল মেট্ৰিক্স),dispersion matrix (=covariance matrix)
স্থানচ্যুতি,displacement
প্ৰদৰ্শন,display
প্ৰদৰ্শন একক (=কনছল),display unit (=consol)
অসদৃশ,dissimilar
অপচয়কাৰী শক্তি,dissipative forces
দূৰত্বৰ ফলন,distance function
দূৰত্ব মডুলাছ,distance modulus
বিতৰণ-মুক্ত পদ্ধতি,distribution-free method
বিতৰণ আইন,distributive law
বিচ্ছিন্নতা,diverge
বিচ্ছিন্নতা,divergence
বিচ্ছিন্নতা উপপাদ্য,divergence theorem
divergent,divergent
বিচ্ছিন্ন শৃংখলা,divergent series
বিভক্ত পাৰ্থক্য,divided difference
বিভাজনযোগ্যতা,divisibility
ভাগ কৰিব পৰা,divisible
বিভাজন,division
বিভাজন এলগৰিদম,division algorithm
ডিভিজন ৰিং,division ring
ডোডেকাগন,dodecagon
ডোডেকাহেড্ৰন,dodecahedron
ডমেইন,domain
এটা ফাংচনৰ ডমেইন,domain of a function
সংজ্ঞাৰ ডমেইন,domain of definition
অস্তিত্বৰ ক্ষেত্ৰ,domain of existence
প্ৰধান কৌশল,dominant strategy
ডপলাৰ ইফেক্ট,doppler effect
ডট প্ৰডাক্ট,dot product
বিন্দুযুক্ত বক্ৰ,dotted curve
ডাবল পাৰ্থক্য,double differentiation
ডাবল ঘাতীয় বিতৰণ,double exponential distribution
ডাবল হেলিক্স,double helix
ডাবল ইন্টিগ্ৰেল,double integral
ডাবল ইন্টিগ্ৰেচন,double integration
ডাবল লিমিট,double limit
ডাবল নমুনা সংগ্ৰহৰ পৰিকল্পনা,double sampling plan
ডাবল ক্ৰম,double sequence
ডাবল ছিৰিজ,double series
ডাবল প্ৰত্যয় সংকেত,double suffix notation
ডাবল যোগফল,double summation
তললৈ ত্বৰণ,downward acceleration
তললৈ স্থানান্তৰিত হোৱা,downward displacement
তললৈ গতি,downward motion
তললৈ যোৱা বেগ,downward velocity
টানি নিয়া,drag
টানিব পৰা বল,drag force
দ্বৈত,dual
দ্বৈত ভিত্তি,dual basis
ডুৱেল ইনাৰ প্ৰডাক্ট,dual inner product
ডুৱেল ৰৈখিক প্ৰগ্ৰেমিং সমস্যা,dual linear programming problem
ডুৱেল অপাৰেচন,dual operation
দ্বৈত সমস্যা,dual problem
ডুৱেল ছিমপ্লেক্স এলগৰিদম,dual simplex algorithm
ডুৱেল ছিমপ্লেক্স কৌশল,dual simplex technique
দ্বৈত স্থান,dual space
ডুৱেল ভেৰিয়েবল,dual variable
দ্বৈত ভেক্টৰ স্থান,dual vector space
ডামি সূচী,dummy index
ডামি চাবস্ক্ৰিপ্ট,dummy subscript
ডামি প্ৰত্যয়,dummy suffix
ডামি চলক,dummy variable
ডুপ্লিকেটৰ প্ৰক্ৰিয়া,duplicator process
গতিশীল,dynamical
গতিশীল ব্যৱস্থা,dynamical system
গতিশীল চাহিদা কাৰ্য্য,dynamic demand function
গতিশীল আৰ্হি,dynamic model
ডাইনামিক প্ৰগ্ৰেমিং,dynamic programming
ডাইনামিক প্ৰগ্ৰেমিং পদ্ধতি,dynamic programming approach
ডাইনামিক প্ৰগ্ৰেমিং কৌশল,dynamic programming technique
গতিশীলতা,dynamics
এটা কণিকাৰ গতিশীলতা,dynamics of a particle
কঠিন বস্তুৰ গতিশীলতা,dynamics of rigid bodies
পৃথিৱী,earth
ভূমিকম্পৰ তীব্ৰতা,earthquake intensity
কেন্দ্ৰীয়তা,eccentricity
গ্ৰহণ,eclipse
অৰ্থনৈতিক পূৰ্বাভাস,econometric forecast
অৰ্থনীতিবিদ,econometrician
অৰ্থনীতি,econometrics
অৰ্থনীতি,economics
প্ৰান্ত,edge
উত্তল সমষ্টিৰ প্ৰান্ত,edge of a convex set
দক্ষতা কাৰক,efficiency factor
eigen মৌল,eigen element
eigen ফাংচন,eigen function
eigen মান,eigen value
eigen মান সমীকৰণ,eigen value equation
eigen ভেক্টৰ,eigen vector
ইলাষ্টিক,elastic
ইলাষ্টিক ধ্ৰুৱক,elastic constant
ইলাষ্টিক ভাৰসাম্য,elastic equilibrium
ইলাষ্টিকতা,elasticity
ইলাষ্টিক পৃষ্ঠ,elasticity surface
ইলেক্ট্ৰনিক কম্পিউটাৰ,electronic computer
উপাদান,element
প্ৰাথমিক স্তম্ভ কাৰ্য্য,elementary column operation
প্ৰাথমিক পৰিঘটনা,elementary event
মৌলিক ফলন,elementary function
প্ৰাথমিক কাৰ্য্য,elementary operation
প্ৰাথমিক ফলাফল,elementary outcome
মৌলিক সম্ভাৱনা নিয়ম,elementary probability law
প্ৰাথমিক শাৰীৰ কাৰ্য্য,elementary row operation
নিষ্কাশন,eliminate
এনিমেচন পদ্ধতি,elemination procedure
উপবৃত্তাকাৰ,ellipse
উপবৃত্তাকাৰ,ellipsoid
উপবৃত্তাকাৰ,ellipsoidal
উপবৃত্তাকাৰ পৃষ্ঠ,ellipsoidal surface
উপবৃত্তাকাৰ দেহ,elliptical body
এম্বেডিং,embedding
নিৰ্গমন,emission
অভিজ্ঞতাভিত্তিক তথ্য,empirical data
অভিজ্ঞতাভিত্তিক সূত্ৰ,empirical formula
অভিজ্ঞতাভিত্তিক সম্ভাৱনা,empirical probability
অভিজ্ঞতাভিত্তিক সম্পৰ্ক,empirical relation
খালী ছেট,empty set
আবদ্ধ কৰা হৈছে,enclosed
এনকোডিং,encoding
এণ্ডোমৰ্ফিজম,endomorphism
শেষ বিন্দু,end point
শ্ৰেণীৰ ব্যৱধানৰ শেষ বিন্দু,end point of class interval
শক্তি,energy
শক্তি গতিবেগ উপাদান,energy momentum component
চলক প্ৰৱেশ কৰা,entering variable
গণনাযোগ্য গোট,enumerable set
গণনা,enumeration
সমান,equal
সমতা,equality
সমানে সম্ভাৱনা আছে,equally likely
সমান সম্ভাৱনা নিৰ্বাচন পদ্ধতি (=epsem),equal probability selection method (=epsem)
সমান কৰা,equate
সমীকৰণ,equation
প্ৰথম ডিগ্ৰীৰ সমীকৰণ,equation of first degree
দ্বিতীয় ডিগ্ৰীৰ সমীকৰণ,equation of second degree
তৃতীয় ডিগ্ৰীৰ সমীকৰণ,equation of third degree
বিষুৱৰেখা,equator
সমঅবিৰত,equicontinuous
সমপক্ষীয়,equilateral
ভাৰসাম্যতা,equilibrium
বলৰ ভাৰসাম্যতা,equilibrium of forces
ভাৰসাম্য বিন্দু,equilibrium point
সমতুল্যতা,equivalence
সমতুল্যতা শ্ৰেণী,equivalence class
সমতুল্যতা সম্পৰ্ক,equivalence relation
সমান্তৰাল,equivalent
সমতুল্য মেট্ৰিক্স,equivalent matrix
সমতুল্য গোট,equivalent set
ergodicity,ergodicity
আঁসোৱাহ,error
ভুল বিশ্লেষণ,error analysis
ভুল ক&#39;ড,error code
ভুল সহগ,error coefficient
গড় বৰ্গৰ ভুল,error of mean square
প্ৰথম ধৰণৰ ভুল,error of the first kind
দ্বিতীয় প্ৰকাৰৰ ভুল,error of the second kind
পলায়নৰ সম্ভাৱনা,escape probability
পলায়নৰ বেগ,escape velocity
ই শ্বমিটৰ অৰ্থগনালাইজেচন প্ৰক্ৰিয়া,E. Schmidt's orthogonalization process
বৰ্ণনা কৰা বৃত্ত,escribed circle
আৱশ্যকীয়,essential
মূলতঃ অনন্য,essentially unique
অনুমানিক,estimate
অনুমান পদ্ধতি,estimation method
ইউক্লিডীয় স্থানাংক,Euclidean coordinate
ইউক্লিডীয় ডমেইন,Euclidean domain
ইউক্লিডীয় জ্যামিতি,Euclidean geometry
ইউক্লিডীয় n-স্থান,Euclidean n-space
ইউক্লিডীয় সমতল,Euclidean plane
অইলাৰৰ উপপাদ্য,Euler's theorem
মূল্যায়ন কৰা,evaluate
যুগ্ম,even
আনকি বক্ৰতাও,even curve
আনকি কাৰ্য্যও,even function
আনকি একাধিক,even multiple
যুগ্ম সংখ্যা,even number
আনকি অদ্ভুত প্ৰতিসমতাও,even odd symmetry
আনকি ক্ৰমবিন্যাসও,even permutation
কাৰ্যক্ৰম,event
আনকি শব্দটোও,even term
সঠিক,exact
সঠিক কাই-স্কেয়াৰ পৰীক্ষা,exact chi-square test
সঠিক পাৰ্থক্য,exact differential
সঠিক সমীকৰণ,exact equation
উদাহৰণ,example
বিনিময়,exchange
বিস্তৃত ইভেন্ট,exhaustive event
অস্তিত্বৰ স্বতন্ত্ৰতা,existence axiom
অস্তিত্বৰ সম্ভাৱনা(= a priori probability),existence probability(= a priori probability)
অস্তিত্ব উপপাদ্য,existence theorem
বহিৰ্জাতীয় চলক,exogenous variable
সম্প্ৰসাৰণ,expansion
প্ৰত্যাশা কাৰ্য্য,expectation function
আশা কৰা কম্পাঙ্ক,expected frequency
আশা কৰা মূল্য,expected value
পৰীক্ষণ,experiment
পৰীক্ষামূলক ভুল,experimental error
ব্যাখ্যা,explanation
স্পষ্ট সমীকৰণ,explicit equation
স্পষ্ট ৰূপ,explicit form
স্পষ্ট ফলন,explicit function
স্পষ্ট সমাধান,explicit solution
ঘাতক,exponent
ঘাতীয় বক্ৰ,exponential curve
ঘাতীয় ঘনত্ব ফলন,exponential density function
ঘাতীয় বিতৰণ,exponential distribution
ঘাতীয় সমীকৰণ,exponential equation
ঘাতীয় ফলন,exponential function
ঘাতীয় বৃদ্ধি,exponential growth
ঘাতীয় নিয়ম,exponential law
ঘাতীয় মানচিত্ৰ,exponential map
ঘাতীয় শৃংখলা,exponential series
অভিব্যক্তি,expression
বৰ্ধিত ব্যৱধান,extended interval
বৰ্ধিত বাস্তৱ ৰেখা,extended real line
বৰ্ধিত বাস্তৱ সংখ্যা ব্যৱস্থা,extended real number system
এটা মেপিঙৰ সম্প্ৰসাৰণ,extension of a mapping
বাহ্যিক কোণ,exterior angle
বাহিৰৰ অংশ,exterior area
বাহ্যিক বিন্দু,exterior point
বাহ্যিক,external
ট্ৰেণ্ড ভেলুৰ এক্সট্ৰাপ&#39;লেচন,extrapolation of trend value
এক্সট্ৰাপলেচন কৌশল,extrapolation technique
চৰম মান,extremal value
চৰম,extreme
চৰম বিন্দু,extreme point
উত্তল সমষ্টিৰ চৰম বিন্দু,extreme point of convex set
এটা ফলনৰ চৰম,extremum of a function
চৰম সম্পত্তি,extremum property
চেহেৰা,face
মুখৰ মূল্য,face value
কাৰক,factor
কাৰক বিশ্লেষণ,factor analysis
ফ্যাক্টৰ কৰা হৈছে,factored
ফেক্টৰিয়েল,factorial
ফেক্টৰিয়েল ডিজাইন,factorial design
ফ্যাক্টৰাইজেচন,factorization
ফ্যাক্টৰাইজ,factorise
ন্যায্য খেল,fair game
মিছা,FALSE
পৰিয়াল,family
বৃত্তৰ পৰিয়াল,family of circles
পৰিয়ালৰ বক্ৰতা,family curves
কাৰ্য্যসমূহৰ পৰিয়াল,family of functions
ৰেখাৰ পৰিয়াল,family of lines
ফেক্সিমিল,facsimile
F-বিতৰণ,F-distribution
সম্ভৱপৰ মৌলিক সমাধান,feasible basic solution
সম্ভৱপৰ সমাধান,feasible solution
মতামত,feed back
ফাৰ্মেট নীতি,Fermat principle
ফাৰ্মেটৰ উপপাদ্য,Fermat's theorem
ফাৰ্মি-ডিৰাকৰ পৰিসংখ্যা,Fermi-Dirac statistics
ফিবোনাচি নম্বৰ,Fibonacci number
ফিবোনাচি ছিৰিজ,Fibonacci series
ক্ষেত্ৰ,field
চূড়ান্ত বেগ,final velocity
সসীম,finite
সসীম ভিত্তি,finite basis
সসীম দশমিক,finite decimal
সসীম পাৰ্থক্য,finite difference
সসীম পাৰ্থক্য পদ্ধতি,finite difference method
সসীম মাত্ৰিক,finite dimensional
সসীম মাত্ৰিক ভেক্টৰ স্থান,finite dimensional vector space
সসীম খেল,finite game
সসীম জ্যামিতি,finite geometry
সসীম ছেদ,finite intersection
সসীম বহুত,finite many
সসীম মাৰ্কভ শৃংখল,finite Markov chain
সসীমতা প্ৰমাণ,finiteness proof
সসীম সংখ্যা,finite number
সসীম জনসংখ্যা,finite population
সসীম সম্ভাৱনা,finite probability
সসীম শৃংখলা,finite series
সসীম গোট,finite set
সসীম বেগ,finite velocity
সসীম আয়তন,finite volume
ফিটিং,fitting
বক্ৰৰ ফিটিং,fitting of curve
সৰলৰেখাৰ ফিটিং,fitting of straight line
স্থিৰ বিন্দু উপপাদ্য,fixed point theorem
স্থিৰ নমুনা,fixed sample
উৰণৰ বেগ,flight velocity
ভাসমান বিন্দু গাণিতিক,floating point arithmetic
ফ্লটিং পইণ্ট চিষ্টেম,floating point system
ফ্ল&#39; চাৰ্ট,flow chart
প্ৰবাহৰ বেগ,flow velocity
তৰল গতিবিদ্যা,fluid dynamics
focal,focal
ফোকাচ কৰ্ড,focal chord
ফোকাচ দূৰত্ব,focal distance
ফোকাচ দৈৰ্ঘ্য,focal length
ধ্যান কেন্দ্ৰিত,focus
ফুট,foot
লম্বৰ ফুট,foot of perpendicular
মাধ্যাকৰ্ষণ বল,force of gravity
পূৰ্বাভাস কৰা,forecasting
সূত্ৰ,formula
প্ৰস্তুত কৰা,formulate
প্ৰস্তুতি,formulation
ফৰৱাৰ্ড পাৰ্থক্য,forward difference
ফৰৱাৰ্ড ইন্টাৰপ&#39;লেচন,forward interpolation
গণিতৰ ভেটি,foundation of mathematics
ফুৰিয়েৰৰ বিশ্লেষণ,Fourier's analysis
ফুৰিয়েৰৰ ছিৰিজ,Fourier's series
ফুৰিয়েৰৰ ৰূপান্তৰ,Fourier's transform
ভগ্নাংশ,fraction
ভগ্নাংশ স্থানাংক,fractional coordinate
ভগ্নাংশ সংখ্যা,fractional number
ভগ্নাংশ প্ৰগ্ৰেমিং,fractional programming
মুক্ত পথ,free path
মুক্ত ভেক্টৰ,free vector
কম্পনাংক,frequency
কম্পাঙ্ক স্তম্ভ,frequency column
কম্পাঙ্ক বক্ৰ,frequency curve
কম্পাঙ্ক বিতৰণ,frequency distribution
কম্পাঙ্ক হিষ্টোগ্ৰাম,frequency histogram
সংঘটিত হোৱাৰ কম্পাঙ্ক,frequency of occurrence
কম্পাঙ্ক বহুভুজ,frequency polygon
কম্পাঙ্ক টেবুল,frequency table
frustum,frustum
এটা পিৰামিডৰ frustum,frustum of a pyramid
এটা গোলকৰ frustum,frustum of a sphere
সম্পূৰ্ণ সম্প্ৰসাৰণ,full expansion
অনুষ্ঠান,function
কাৰ্য্যকৰী বিশ্লেষণ,functional analysis
মৌলিক,fundamental
মৌলিক উপপাদ্য,fundamental theorem
বীজগণিতৰ মৌলিক উপপাদ্য,fundamental theorem of algebra
তাৰকাৰাজ্য,galaxy
গেল&#39;ইছ ফিল্ড,Galois field
গেল&#39;ইছ গ্ৰুপ,Galois group
জুৱাৰীৰ ধ্বংসাৱশেষ,gambler's ruin
খেল আৰু গতি,game and move
খেলৰ সুযোগ,game of chance
পাশাৰ খেল,game of dice
গেম তত্ত্ব,games theory
নিখুঁত ৰিকালৰ সৈতে গেমসমূহ,games with perfect recall
গেম মূল্য,game value
গামা ফাংচন,gamma function
গাউছ-আৰ্গাণ্ড সমতল,Gauss-Argand plane
গাউছিয়ান বক্ৰ,Gaussian curve
গাউছিয়ান এলিমিনেচন,Gaussian elimination
গাউছিয়ান সমতল,Gaussian plane
গাউছ-জৰ্ডান হ্ৰাস,Gauss-Jordan reduction
সাধাৰণ গোচৰ,general case
সাধাৰণ অভিসৰণ উপপাদ্য,general convergence theorem
সাধাৰণ সমীকৰণ,general equation
সাধাৰণ কাৰক,general factor
সাধাৰণ ৰূপ,general form
সাধাৰণ সূত্ৰ,general formula
সাধাৰণ খেল,general game
সাধাৰণ অনুমান,general inference
সাধাৰণ অখণ্ড,general integral
সাধাৰণীকৰণ,generalization
সাধাৰণীকৃত সংগত আইন,generalised associative law
সাধাৰণীকৃত ধাৰাবাহিকতা অনুমান,generalised continuum hypothesis
সাধাৰণীকৃত উত্তল ফলন,generalised convex function
সাধাৰণীকৃত স্থানাংক,generalised coordinates
সাধাৰণীকৃত আইগেন মূল্যৰ সমস্যা,generalised eigen value problem
সাধাৰণ অভিসৰণ উপপাদ্য,general convergence theorem
সাধাৰণ সমীকৰণ,general equation
সাধাৰণ কাৰক,general factor
সাধাৰণ ৰূপ,general form
সাধাৰণ সূত্ৰ,general formula
সাধাৰণ খেল,general game
সাধাৰণ অনুমান,general inference
সাধাৰণ অখণ্ড,general integral
সাধাৰণীকৰণ,generalization
সাধাৰণীকৃত সংগত আইন,generalised associative law
সাধাৰণীকৃত ধাৰাবাহিকতা অনুমান,generalised continuum hypothesis
সাধাৰণীকৃত উত্তল ফলন,generalised convex function
সাধাৰণীকৃত স্থানাংক,generalised coordinates
সাধাৰণীকৃত আইগেন মূল্যৰ সমস্যা,generalised eigen value problem
জেনেৰিক নাম,generic name
পৃষ্ঠৰ প্ৰজাতি,genus of surface
জিঅ&#39;ডেচিক,geodesic
জ্যামিতিক,geometrical
জ্যামিতিক নিৰ্মাণ,geometrical construction
জ্যামিতিক গড়,geometrical mean
জ্যামিতিক বহুগুণতা,geometrical multiplicity
জ্যামিতিক সম্ভাৱনা,geometrical probability
জ্যামিতিক অগ্ৰগতি,geometrical progression
জ্যামিতিক শৃংখলা,geometrical series
জ্যামিতিক আকৃতি,geometrical shape
জ্যামিতিক গাণিতিক শৃংখলা,geometrico arithmetic series
জ্যামিতি,geometry
গোলকীয় সৰ্বোচ্চ,global maximum
গোলকীয় সম্পত্তি,global property
গোলকীয় নূন্যতম,global minimum
গোলকীয় অনুকূল,global optimum
গোলকীয় সম্পত্তি,global property
গ্লোবেল চেডেল পইণ্ট,global saddle point
ফিটৰ ভালপোৱা,goodness of fit
গ্ৰেড সম্পৰ্ক,grade correlation
গ্ৰেড কৰা তথ্য,graded data
গ্ৰেডিয়েন্ট,gradient
গ্ৰেডিয়েন্ট ঘনত্ব,gradient density
ৰেখাৰ গ্ৰেডিয়েণ্ট,gradient of line
বেগৰ গ্ৰেডিয়েণ্ট,gradient of velocity
গ্ৰেডিয়েন্ট ভেক্টৰ,gradient vector
গ্ৰেডিয়েন্ট বেগ,gradient velocity
গ্ৰেডিং,grading
গ্ৰেডিং বিশ্লেষণ,grading analysis
গ্ৰাম,gram
গ্ৰাম নিৰ্ণায়ক,Gram determinant
গ্ৰাম - শ্বমিট অৰ্থগনালাইজেচন প্ৰক্ৰিয়া,Gram - Schmidt orthogonalization process
গ্ৰেণ্ড মিন,grand mean
সৰ্বমুঠ,grand total
গ্ৰাফ,graph
গ্ৰাফিক,graphic
গ্ৰাফিকেল,graphical
চিত্ৰাঙ্কিত গণনা,graphical computation
গ্ৰাফিকেল নিৰ্মাণ,graphical construction
চিত্ৰাঙ্কিত সংহতি,graphical integration
গ্ৰাফিকেল ইন্টাৰপলেচন,graphical interpolation
গ্ৰাফিকেল পদ্ধতি,graphical method
চিত্ৰাঙ্কিত উপস্থাপন,graphical representation
গ্ৰাফিক এক্সপ্ৰেচন,graphic expression
গ্ৰাফ পেপাৰ,graph paper
মহাকৰ্ষণ,gravitation
মহাকৰ্ষণীয় ত্বৰণ,gravitational accelaration
মহাকৰ্ষণীয় আকৰ্ষণ,gravitational attraction
মহাকৰ্ষণীয় ধ্ৰুৱক,gravitational constant
মহাকৰ্ষণীয় বক্ৰতা,gravitational curvature
মহাকৰ্ষণ বল,gravitational force
মহাকৰ্ষণীয় টান,gravitational pull
মাধ্যাকৰ্ষণ ক্ষমতা,gravity
মহান ভালুক,great bear
মহান বৃত্ত,great circle
মহান - বৃত্ত সমতল,great - circle plane
গ্ৰেট চাৰ্কল ৰুট,great circle route
সৰ্বোচ্চ সাধাৰণ পৰিমাপ,greatest common measure
