Punjabi,Kannada
"ਭਟਕਣਾ, ਭਟਕਣਾ","ವಿಚಲನ, ವಿಚಲನ"
"ਡਿਫਲੈਕਸ਼ਨ ਐਂਗਲ, ਡਿਫਲੈਕਸ਼ਨ ਐਂਗਲ","ವಿಚಲನ ಕೋನ, ವಿಚಲನ ಕೋನ"
ਡਿਫਲੈਕਸ਼ਨ ਗੁਣਾਂਕ,ವಿಚಲನ ಗುಣಾಂಕ
"deflection coil, deflection yoker","ವಿಚಲನ ಸುರುಳಿ, ವಿಚಲನ ಯೋಕರ್"
ਖਰਾਬ ਫੋਕਸ,ವಿಚಲನ ಗಮನ
ਡਿਫਲੈਕਸ਼ਨ ਇਲੈਕਟ੍ਰੋਡ,ವಿಚಲನ ವಿದ್ಯುದ್ವಾರ
ਵਿਘਨ ਕਾਰਕ,ವಿಚಲನ ಅಂಶ
ਡਿਫਲੈਕਸ਼ਨ ਜ਼ੋਨ,ವಿಚಲನ ವಲಯ
ਡਿਫਲੈਕਸ਼ਨ ਜਨਰੇਟਰ,ವಿಚಲನ ಜನರೇಟರ್
ਡਿਫਲੈਕਸ਼ਨ ਮੋਡਿਊਲੇਟ ਕੀਤਾ ਗਿਆ,ವಿಚಲನ ಮಾಡ್ಯುಲೇಟೆಡ್
ਗੁਰੂਤਾ-ਪ੍ਰਭਾਵਿਤ ਵਿਘਨ,ಗುರುತ್ವಾಕರ್ಷಣೆ-ಬಾಧಿತ ವಿಚಲನ
ਸੰਖੇਪ ਪਲੇਟਾਂ,ಸಂಕ್ಷೇಪಣ ಫಲಕಗಳು
ਡਿਫਲੈਕਸ਼ਨ ਬਿੰਦੂ,ವಿಚಲನ ಬಿಂದು
ਡਿਫੈਕਸ਼ਨ ਪੋਲਰਿਟੀ,ವಿಚಲನ ಧ್ರುವೀಯತೆ
ਡਿਫਲੈਕਟਿਵ ਪੋਟੈਂਸ਼ੀਓਮੀਟਰ,ಡಿಫ್ಲೆಕ್ಟಿವ್ ಪೊಟೆನ್ಟಿಯೊಮೀಟರ್
ਵਿਘਨ ਸੰਵੇਦਨਸ਼ੀਲਤਾ,ವಿಚಲನ ಸೂಕ್ಷ್ಮತೆ
ਡਿਫੈਕਸ਼ਨ ਵਿਧੀ,ವಿಚಲನ ಕಾರ್ಯವಿಧಾನ
ਡਿਫਲੈਕਸ਼ਨ ਟੈਂਸਰ,ವಿಚಲನ ಟೆನ್ಸರ್
"ਡਿਫਲੈਕਸ਼ਨ ਵਾਲਵ, ਬੀਮ ਡਿਫਲੈਕਸ਼ਨ ਟਿਊਬ","ವಿಚಲನ ಕವಾಟ, ಕಿರಣದ ವಿಚಲನ ಟ್ಯೂಬ್"
ਡਿਫਲੈਕਸ਼ਨ ਵੋਲਟੇਜ,ವಿಚಲನ ವೋಲ್ಟೇಜ್
"deflection coil, deflection yoker","ವಿಚಲನ ಸುರುಳಿ, ವಿಚಲನ ಯೋಕರ್"
ਡਿਫਲੈਕਸ਼ਨ-ਡਬਲ ਸ਼ੀਸ਼ਾ,ವಿಚಲನ-ಡಬಲ್ ಕನ್ನಡಿ
defocused ਪ੍ਰਤੀਬਿੰਬ,ಕೇಂದ್ರೀಕೃತ ಪ್ರತಿಬಿಂಬ
ਫੋਕਸ,ಗಮನ
defocus ਪ੍ਰਭਾਵ,ಡಿಫೋಕಸ್ ಪರಿಣಾಮ
ਵਿਕਾਰ,ವಿರೂಪತೆ
ਵਿਕਾਰਯੋਗ ਵਸਤੂ,ವಿರೂಪಗೊಳಿಸಬಹುದಾದ ವಸ್ತು
ਵਿਗੜਿਆ ਇਲੈਕਟ੍ਰੋਨ,ವಿರೂಪಗೊಂಡ ಎಲೆಕ್ಟ್ರಾನ್
"ਵਿਗਾੜ, ਵਿਗਾੜ","ವಿರೂಪ, ವಿರೂಪ"
deformation ਕਰਵ,ವಿರೂಪ ಕರ್ವ್
ਵਿਗਾੜ ਪ੍ਰਭਾਵ,ವಿರೂಪ ಪರಿಣಾಮ
deformation ellipsoid,ವಿರೂಪ ಅಂಡಾಕಾರದ
ਵਿਕਾਰ ਊਰਜਾ,ವಿರೂಪ ಶಕ್ತಿ
ਆਇਨ ਵਿਗਾੜ,ಅಯಾನು ಅಸ್ಪಷ್ಟತೆ
ਮਾਰਗ ਵਿਗਾੜ,ಮಾರ್ಗ ವಿರೂಪ
ਵਿਗਾੜ ਬਿੰਦੂ,ವಿರೂಪ ಬಿಂದು
ਵਿਗਾੜ ਦੀ ਸੰਭਾਵਨਾ,ವಿರೂಪ ಸಾಮರ್ಥ್ಯ
ਵਿਗਾੜ ਸੰਭਾਵੀ ਸਥਿਰ,ವಿರೂಪತೆಯ ಸಂಭಾವ್ಯ ಸ್ಥಿರ
ਵਿਗਾਸਨ,ವಿಗಾಸನ್
ਵਿਗਾਸਨ,ವಿಗಾಸನ್
"ਵਿਗਾਸਾਕ, ਵਿਗਾਸਿਤਰਾ","ವಿಗಾಸಾಕ್, ವಿಗಾಸಿತ್ರ"
ਵਿਗਾਸਨ,ವಿಗಾಸನ್
ਗੈਸ ਹਟਾਉਣ,ಅನಿಲ ತೆಗೆಯುವಿಕೆ
ਫੈਲਾਅ,ಪ್ರಸರಣ
ਆਟੋਮੈਟਿਕ (ਚੁੰਬਕੀ) demagnetizer,ಸ್ವಯಂಚಾಲಿತ (ಕಾಂತೀಯ) ಡಿಮ್ಯಾಗ್ನೆಟೈಜರ್
(ਚੁੰਬਕੀ) ਫੈਲਾਅ,(ಕಾಂತೀಯ) ಪ್ರಸರಣ
(ਚੁੰਬਕੀ) ਡਿਫਲੈਕਸ਼ਨ ਕੋਇਲ,(ಕಾಂತೀಯ) ವಿಚಲನ ಸುರುಳಿ
"debauchery, debauchery","ದುರಾಚಾರ, ದುರಾಚಾರ"
ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਬਿੰਦੂ,ಭ್ರಷ್ಟಾಚಾರ ಪಾಯಿಂಟ್
ਖਰਾਬੀ ਕਾਰਕ,ದೋಷಪೂರಿತ ಅಂಶ
ਅਸ਼ੁੱਧਤਾ ਪੈਰਾਮੀਟਰ,ಅಶುದ್ಧತೆಯ ನಿಯತಾಂಕ
"ਘਟੀਆ ਹੋਣਾ (ਵਰ.), ਘਟੀਆ (ਸੰਪਾਦਕ), ਘਟੀਆ (ਵੀ.)","ಕೆಳಮಟ್ಟಕ್ಕೆ (ver.), ಕೆಳಮಟ್ಟಕ್ಕೆ (ed.), degraded (v.)"
ਭ੍ਰਿਸ਼ਟ ਚੇਨ ਸ਼ਾਖਾ,ಭ್ರಷ್ಟ ಸರಣಿ ಶಾಖೆ
ਨਾਪਸੰਦ ਕੋਡ,ಅಸಮ್ಮತಿಸಿದ ಕೋಡ್
ਸੰਗਠਿਤ ਸੰਚਾਲਨ ਬੈਂਡ,ಕೊಲಿಮೇಟೆಡ್ ವಹನ ಬ್ಯಾಂಡ್
ਡੀਜਨਰੇਟ ਇਲੈਕਟ੍ਰੋਨ ਗੈਸ,ಕ್ಷೀಣಗೊಳ್ಳುವ ಎಲೆಕ್ಟ್ರಾನ್ ಅನಿಲ
ਰਹਿੰਦ ਗੈਸ,ತ್ಯಾಜ್ಯ ಅನಿಲ
ਘਟੀਆ ਸੁਆਹ,ಕ್ಷೀಣಿಸಿದ ಬೂದಿ
ਰਹਿੰਦ-ਖੂੰਹਦ,ತ್ಯಾಜ್ಯ ವಸ್ತು
ਡੀਜਨਰੇਟ ਸੈਮੀਕੰਡਕਟਰ,ಕ್ಷೀಣಿಸುವ ಅರೆವಾಹಕ
ਭ੍ਰਿਸ਼ਟ ਸਿਸਟਮ,ಭ್ರಷ್ಟ ವ್ಯವಸ್ಥೆ
"ਡੀਜਨਰੇਸ਼ਨ, ਡੀਨੀਟ੍ਰੀਫਿਕੇਸ਼ਨ, ਡਿਗਰੇਡੇਸ਼ਨ, ਡੀਜਨਰੇਸ਼ਨ","ಅವನತಿ, ಡಿನೈಟ್ರಿಫಿಕೇಶನ್, ಅವನತಿ, ಅವನತಿ"
ਊਰਜਾ ਦੀ ਖਪਤ,ಶಕ್ತಿಯ ವಿಸರ್ಜನೆ
ਵਿਰੋਧੀ ਪੁਨਰ ਨਿਵੇਸ਼,ಪ್ರತಿಕೂಲ ಮರುಹೂಡಿಕೆ
ਸਮਰੱਥਾ ਵੋਲਟੇਜ,ಧಾರಣ ವೋಲ್ಟೇಜ್
"ਪਤਨ, ਪਤਨ, ਪਤਨ","ಅವನತಿ, ಅವನತಿ, ಅವನತಿ"
"ਸ਼ੈਡੋ ਬੈਂਡ, ਦੁਰਲੱਭ ਬੈਂਡ","ನೆರಳು ಪಟ್ಟಿ, ಅಪರೂಪದ ಬ್ಯಾಂಡ್"
"ਡਿਗਰੀ, ਡਿਗਰੀ, ਡਿਗਰੀ, ਡਿਗਰੀ, ਮਾਤਰਾ, ਵਿਸ਼ਾਲਤਾ, ਅੰਕ","ಪದವಿ, ಪದವಿ, ಪದವಿ, ಪದವಿ, ಪ್ರಮಾಣ, ಪ್ರಮಾಣ, ಅಂಶ"
angler ਮਾਡਿਊਲਸ,ಆಂಗ್ಲರ್ ಮಾಡ್ಯುಲಸ್
ਸ਼ੁੱਧਤਾ ਦੀ ਡਿਗਰੀ,ನಿಖರತೆಯ ಮಟ್ಟ
ਏਕੀਕਰਣ ਵਾਲੀਅਮ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆಯ ಪರಿಮಾಣ
ਇਕਾਗਰਤਾ-ਆਵਾਜ਼,ಏಕಾಗ್ರತೆ-ಪರಿಮಾಣ
"ਅਸ਼ੁੱਧਤਾ - ਮਾਤਰਾ, ਅਸ਼ੁੱਧਤਾ ਅੰਸ਼","ಅಶುದ್ಧತೆ-ಪ್ರಮಾಣ, ಅಶುದ್ಧ ಭಾಗ"
ਵਿਭਾਜਨ ਮਾਤਰਾ,ವಿಘಟನೆಯ ಪ್ರಮಾಣ
ਖੁਸ਼ਹਾਲੀ ਮਾਡਿਊਲਸ,ಸಮೃದ್ಧಿ ಮಾಡ್ಯುಲಸ್
"ਆਜ਼ਾਦੀ ਦੀ ਡਿਗਰੀ, ਆਜ਼ਾਦੀ ਦੀ ਡਿਗਰੀ","ಸ್ವಾತಂತ್ರ್ಯದ ಪದವಿ, ಸ್ವಾತಂತ್ರ್ಯದ ಪದವಿ"
ionization ਦੀ ਮਾਤਰਾ,ಅಯಾನೀಕರಣದ ಪ್ರಮಾಣ
ਮੋਡੂਲੇਸ਼ਨ ਦੀ ਤੀਬਰਤਾ,ಮಾಡ್ಯುಲೇಶನ್ ಪ್ರಮಾಣ
ਪਰੇਸ਼ਾਨੀ,ಪ್ರಕ್ಷುಬ್ಧತೆ
ਧਰੁਵੀਕਰਨ ਦੀ ਤੀਬਰਤਾ,ಧ್ರುವೀಕರಣದ ಪ್ರಮಾಣ
ਸ਼ੁੱਧਤਾ ਦੀ ਮਾਤਰਾ,ನಿಖರತೆಯ ಪ್ರಮಾಣ
ਬੇਤਰਤੀਬਤਾ-ਮਾਤਰਾ,ಯಾದೃಚ್ಛಿಕತೆ-ಪ್ರಮಾಣ
dehumidification,ನಿರ್ಜಲೀಕರಣ
"ਵਿਵਿਮਨ, ਵਿਬਰਫੈਨ","ವಿವಿಮನ್, ವೈಬರ್ಫ್ಯಾನ್"
ਡੀਓਨਾਈਜ਼ੇਸ਼ਨ ਸਰਕਟ ਬ੍ਰੇਕਰ,ಡಿಯೋನೈಸೇಶನ್ ಸರ್ಕ್ಯೂಟ್ ಬ್ರೇಕರ್
ਡੀਓਨਾਈਜ਼ੇਸ਼ਨ,ಅಯಾನೀಕರಣ
ਡੀਓਨਾਈਜ਼ੇਸ਼ਨ ਸੰਭਾਵਨਾ,ಡಿಯೋನೈಸೇಶನ್ ಸಂಭಾವ್ಯ
ਡੀਓਨਾਈਜ਼ੇਸ਼ਨ ਦਰ,ಡಿಯೋನೈಸೇಶನ್ ದರ
ਡੀਓਨਾਈਜ਼ੇਸ਼ਨ ਦੀ ਮਿਆਦ,ಡಿಯೋನೈಸೇಶನ್ ಅವಧಿ
ਡੀਓਨਾਈਜ਼ਿੰਗ ਗਰਿੱਡ,ಡಿಯೋನೈಸಿಂಗ್ ಗ್ರಿಡ್
ਡੀਓਨਾਈਜ਼ੇਸ਼ਨ ਸੰਭਾਵਨਾ,ಡಿಯೋನೈಸೇಶನ್ ಸಂಭಾವ್ಯ
ਡੀਓਨਾਈਜ਼ਰ,ಡಿಯೋನೈಸರ್
decapoise (ਯੂਨਿਟ),ಡಿಕಾಪೊಯಿಸ್ (ಘಟಕ)
ਡੇਕੈਟ੍ਰੋਨ,ಡೆಕಾಟ್ರಾನ್
del ਆਪਰੇਟਰ,ಡೆಲ್ ಆಪರೇಟರ್
ਡੇਲਾਬੋਰਨ ਪ੍ਰਿਜ਼ਮ,ಡೆಲಾಬೋರ್ನ್ ಪ್ರಿಸ್ಮ್
delaunay orbital ਤੱਤ,delaunay ಕಕ್ಷೀಯ ಅಂಶ
ਦੇਰੀ ਆਟੋਮੈਟਿਕ ਉੱਚੀ ਆਵਾਜ਼ ਕੰਟਰੋਲਰ,ಸ್ವಯಂಚಾಲಿತ ಧ್ವನಿ ನಿಯಂತ್ರಕವನ್ನು ವಿಳಂಬಗೊಳಿಸಿ
ਦੇਰੀ ਕੇਬਲ,ವಿಳಂಬ ಕೇಬಲ್
ਦੇਰੀ ਸਰਕਟ,ವಿಳಂಬ ಸರ್ಕ್ಯೂಟ್
ਦੇਰੀ ਵਿਗਾੜ,ವಿಳಂಬ ವಿರೂಪ
ਦੇਰੀ ਹੋਈ ਡੋਪਲਰ ਮੈਪਿੰਗ,ತಡವಾದ ಡಾಪ್ಲರ್ ಮ್ಯಾಪಿಂಗ್
ਦੇਰੀ ਤੱਤ,ವಿಳಂಬ ಅಂಶ
ਦੇਰੀ ਵਾਲਾ ਲੈਂਸ,ತಡವಾದ ಲೆನ್ಸ್
ਦੇਰੀ ਲਾਈਨ,ವಿಳಂಬ ಸಾಲು
ਦੇਰੀ ਲਾਈਨ ਮੈਮੋਰੀ,ವಿಳಂಬ ಸಾಲಿನ ಸ್ಮರಣೆ
ਦੇਰੀ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ,ವಿಳಂಬ ಮಲ್ಟಿವೈಬ್ರೇಟರ್
ਦੇਰੀ ਟੈਂਕ,ವಿಳಂಬ ಟ್ಯಾಂಕ್
ਦੇਰੀ ਦੀ ਮਿਆਦ,ವಿಳಂಬ ಅವಧಿ
ਦੇਰੀ ਚੱਕਰ,ವಿಳಂಬ ಚಕ್ರ
ਦੇਰੀ ਲਾਈਨ ਰਜਿਸਟਰ,ವಿಳಂಬ ಲೈನ್ ರಿಜಿಸ್ಟರ್
ਦੇਰੀ ਐਲਫ਼ਾ ਕਣ,ತಡವಾದ ಆಲ್ಫಾ ಕಣ
ਦੇਰੀ ਏ. ਵੀ.ਸੀ.,ವಿಳಂಬ ಎ. ವಿ.ಸಿ.
ਦੇਰੀ ਨਾਲ ਲੈਪਸ ਸਿਗਨਲ,ವಿಳಂಬದ ಸಂಕೇತ
ਦੇਰੀ ਘਟਨਾ,ತಡವಾದ ಘಟನೆ
ਦੇਰੀ ਨਾਲ ਇਨਕਲਾਬ,ವಿಳಂಬಿತ ಕ್ರಾಂತಿ
ਦੇਰੀ ਨਾਲ ਫੈਲਣ,ತಡವಾದ ಹರಡುವಿಕೆ
ਦੇਰੀ ਫਲੋਰੋਸੈੰਸ,ತಡವಾದ ಪ್ರತಿದೀಪಕ
ਦੇਰੀ ਹੋਈ ਗਾਮਾ ਰੇ,ತಡವಾದ ಗಾಮಾ ಕಿರಣ
ਦੇਰੀ ਨਿਊਟ੍ਰੋਨ,ತಡವಾದ ನ್ಯೂಟ್ರಾನ್
ਦੇਰੀ ਨਾਲ ਨਿਊਟ੍ਰੋਨ ਫਰੈਕਸ਼ਨ,ತಡವಾದ ನ್ಯೂಟ್ರಾನ್ ಭಾಗ
ਦੇਰੀ ਪ੍ਰੋਟੋਨ,ತಡವಾದ ಪ್ರೋಟಾನ್
ਦੇਰੀ ਨਾਲ ਰਿਕਵਰੀ,ತಡವಾದ ಚೇತರಿಕೆ
ਦੇਰੀ ਨਾਲ ਸਕੈਨਿੰਗ,ತಡವಾದ ಸ್ಕ್ಯಾನಿಂಗ್
ਦੇਰੀ ਨਾਲ ਵਾਪਸੀ,ತಡವಾದ ಹಿಂತಿರುಗುವಿಕೆ
ਦੇਰੀ ਨਾਲ ਸਿੰਕ੍ਰੋਨਾਈਜ਼ੇਸ਼ਨ ਸਿਗਨਲ,ತಡವಾದ ಸಿಂಕ್ರೊನೈಸೇಶನ್ ಸಿಗ್ನಲ್
ਦੇਰੀ ਨਾਲ ਹਾਰ,ತಡವಾದ ಸೋಲು
ਬਲਨ retardant,ದಹನ ನಿರೋಧಕ
ਡੇਲਬਰੂਕ ਸਕੈਟਰਿੰਗ,ಡೆಲ್ಬ್ರೂಕ್ ಸ್ಕ್ಯಾಟರಿಂಗ್
ਡਾਇਲੈਕਟ੍ਰਿਕ,ಡೈಎಲೆಕ್ಟ್ರಿಕ್
ਡੀਲੀਮੀਟਰ,ಡಿಲಿಮಿಟರ್
ਹੱਦਬੰਦੀ,ಡಿಲಿಮಿಟೇಶನ್
ਸਥਾਨੀਕਰਨ,ಸ್ಥಳೀಕರಣ
ਸਥਾਨਕਕਰਨ ਊਰਜਾ,ಸ್ಥಳೀಕರಣ ಶಕ್ತಿ
"ਡੈਲਟਾ() ਐਂਟੀਨਾ, ਤਿਕੋਣ ਐਂਟੀਨਾ","ಡೆಲ್ಟಾ() ಆಂಟೆನಾ, ತ್ರಿಕೋನ ಆಂಟೆನಾ"
ਡੈਲਟਾ ਬੈਰੀਅਨ,ಡೆಲ್ಟಾ ಬ್ಯಾರಿಯನ್
ਡੈਲਟਾ ਕੁਨੈਕਸ਼ਨ,ಡೆಲ್ಟಾ ಸಂಪರ್ಕ
ਡੈਲਟਾ ਈ ਪ੍ਰਭਾਵ,ಡೆಲ್ಟಾ ಇ ಪರಿಣಾಮ
ਡੈਲਟਾ ਫੰਕਸ਼ਨ,ಡೆಲ್ಟಾ ಕಾರ್ಯ
ਡੈਲਟਾ ਮੇਸਨ,ಡೆಲ್ಟಾ ಮೆಸನ್
ਡੈਲਟਾ ਮੋਡੂਲੇਸ਼ਨ,ಡೆಲ್ಟಾ ಮಾಡ್ಯುಲೇಶನ್
ਡੈਲਟਾ ਆਪਰੇਟਰ,ಡೆಲ್ಟಾ ಆಪರೇಟರ್
ਡੈਲਟਾ ਰੇ,ಡೆಲ್ಟಾ ಕಿರಣ
ਡੈਲਟਾ ਰੇ ਦੀ ਗਣਨਾ,ಡೆಲ್ಟಾ ಕಿರಣದ ಲೆಕ್ಕಾಚಾರ
ਡੈਲਟਾ-ਐਂਟੀਨਾ,ಡೆಲ್ಟಾ-ಆಂಟೆನಾ
Zelta Y ਪਰਿਵਰਤਨ,Zelta Y ಪರಿವರ್ತನೆ
ਡੈਲਟਾ ਮੈਚਡ ਇੰਪੀਡੈਂਸ ਐਂਟੀਨਾ,ಡೆಲ್ಟಾ ಹೊಂದಾಣಿಕೆಯ ಪ್ರತಿರೋಧ ಆಂಟೆನಾ
ਡੈਲਟਾ ਮੇਲ ਖਾਂਦਾ ਹੈ,ಡೆಲ್ಟಾ ಹೊಂದಾಣಿಕೆ
ਡੈਲਟਿਕ (ਦੇਰੀ ਲਾਈਨ ਕਾਲ ਭੀੜ),ಡೆಲ್ಟಿಕ್ (ವಿಳಂಬ ಲೈನ್ ಕರೆ ದಟ್ಟಣೆ)
"ਤਿਕੋਣੀ octahedron, deltohedron","ತ್ರಿಕೋನ ಆಕ್ಟಾಹೆಡ್ರಾನ್, ಡೆಲ್ಟೋಹೆಡ್ರಾನ್"
ਪ੍ਰੇਰਕ ਸਿਸਟਮ,ಪ್ರಚೋದಕ ವ್ಯವಸ್ಥೆ
demagnetization,ಡಿಮ್ಯಾಗ್ನೆಟೈಸೇಶನ್
ਡੀਮੈਗਨੇਟਾਈਜ਼ੇਸ਼ਨ ਗੁਣਾਂਕ ਸਪੈਕਟ੍ਰਮ,ಡಿಮ್ಯಾಗ್ನೆಟೈಸೇಶನ್ ಗುಣಾಂಕ ವರ್ಣಪಟಲ
ਡੀਮੈਗਨੇਟਾਈਜ਼ੇਸ਼ਨ ਕਾਰਕ,ಡಿಮ್ಯಾಗ್ನೆಟೈಸೇಶನ್ ಅಂಶ
demagnetize,demagnetize
demagnetizer,ಡಿಮ್ಯಾಗ್ನೆಟೈಸರ್
ਡੀਮੈਗਨੇਟਾਈਜ਼ੇਸ਼ਨ ਜ਼ੋਨ,ಡಿಮ್ಯಾಗ್ನೆಟೈಸೇಶನ್ ವಲಯ
"ਭੰਗ, ਤਰਲਤਾ","ವಿಸರ್ಜನೆ, ದಿವಾಳಿ"
"ਮੱਧਮ ਪ੍ਰਭਾਵ, ਪ੍ਰਕਾਸ਼-ਪ੍ਰਸਾਰ ਪ੍ਰਭਾਵ","ಡಿಮ್ಮರ್ ಪರಿಣಾಮ, ಬೆಳಕು-ಪ್ರಸರಣ ಪರಿಣಾಮ"
demodulation,ಡಿಮೋಡ್ಯುಲೇಶನ್
demodulator,ಡಿಮೋಡ್ಯುಲೇಟರ್
ਮੈਕਸਵੈੱਲ ਦਾ ਭੂਤ,ಮ್ಯಾಕ್ಸ್ವೆಲ್ ರಾಕ್ಷಸ
"ਵੱਖ ਕਰਨ ਯੋਗ, ਵੱਖ ਕਰਨ ਯੋਗ","ಡಿಟ್ಯಾಚೇಬಲ್, ಡಿಟ್ಯಾಚೇಬಲ್"
ਵੱਖ ਕਰਨ ਯੋਗ ਟਿਊਬ,ಡಿಟ್ಯಾಚೇಬಲ್ ಟ್ಯೂಬ್
ਡੈਮਪਸਟਰ ਮਾਸ ਸਪੈਕਟਰੋਗ੍ਰਾਫਰ,ಡೆಂಪ್‌ಸ್ಟರ್ ಮಾಸ್ ಸ್ಪೆಕ್ಟ್ರೋಗ್ರಾಫರ್
ਡੈਮਪਸਟਰ ਵਿਧੀ,ಡೆಂಪ್ಸ್ಟರ್ ವಿಧಾನ
ਵਿਗਾੜਨਾ,ವಿರೂಪಗೊಳಿಸುವುದು
deneb,ಡೆನೆಬ್
ਡੇਨੇਬੋਲਾ (ਦੂਜਾ ਸ਼ੇਰ),ಡೆನೆಬೋಲಾ (ಎರಡನೇ ಸಿಂಹ)
ਮਨੋਨੀਤ ਨੰਬਰ,ಗೊತ್ತುಪಡಿಸಿದ ಸಂಖ್ಯೆ
ਸੰਘਣੀ ਭੀੜ,ದಟ್ಟವಾದ ದಟ್ಟಣೆ
ਤੀਬਰ ਹਵਾ ਰੈਫ੍ਰਿਜਰੇਸ਼ਨ ਚੱਕਰ,ತೀವ್ರವಾದ ಗಾಳಿಯ ಶೈತ್ಯೀಕರಣ ಚಕ್ರ
ਘਣਤਾਮੀਟਰ,ಸಾಂದ್ರತೆಮಾಪಕ
"ਘਣਤਾਮੀਟਰ, ਕਾਲਾਪਨ ਘਣਤਾਮੀਟਰ","ಡೆನ್ಸಿಟೋಮೀಟರ್, ಬ್ಲ್ಯಾಕ್ನೆಸ್ ಡೆನ್ಸಿಟೋಮೀಟರ್"
ਘਣਤਾਮਿਤੀ ਤੁਲਨਾਕਾਰ,ಡೆನ್ಸಿಟೋಮೆಟ್ರಿಕ್ ಹೋಲಿಕೆದಾರ
ਕਾਲਾਪਨ ਘਣਤਾਮੀਟਰ ਰਿਕਾਰਡ,ಕಪ್ಪುತನದ ಡೆನ್ಸಿಟೋಮೀಟರ್ ದಾಖಲೆ
"ਘਣਤਾ, ਘਣਤਾ","ಸಾಂದ್ರತೆ, ಸಾಂದ್ರತೆ"
ਘਣਤਾ ਦੀ ਬੋਤਲ,ಸಾಂದ್ರತೆಯ ಬಾಟಲ್
ਘਣਤਾ ਪ੍ਰਭਾਵ,ಸಾಂದ್ರತೆಯ ಪರಿಣಾಮ
ਘਣਤਾ ਫੰਕਸ਼ਨ,ಸಾಂದ್ರತೆಯ ಕಾರ್ಯ
ਘਣਤਾ ਗੇਜ,ಸಾಂದ್ರತೆ ಮಾಪಕ
ਘਣਤਾ ਸੂਚਕ,ಸಾಂದ್ರತೆ ಸೂಚಕ
ਘਣਤਾ ਕਾਨੂੰਨ,ಸಾಂದ್ರತೆಯ ನಿಯಮ
ਘਣਤਾ ਮੈਟ੍ਰਿਕਸ,ಸಾಂದ್ರತೆ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ਘਣਤਾ ਸੰਚਾਲਨ,ಸಾಂದ್ರತೆ ಮಾಡ್ಯುಲೇಶನ್
ਵੰਡ ਘਣਤਾ,ವಿತರಣಾ ಸಾಂದ್ರತೆ
ਇਲੈਕਟ੍ਰੋਮੈਗਨੈਟਿਕ ਮੋਮੈਂਟਮ ਦੀ ਘਣਤਾ,ವಿದ್ಯುತ್ಕಾಂತೀಯ ಆವೇಗದ ಸಾಂದ್ರತೆ
ਊਰਜਾ ਦੇ ਪੱਧਰ ਦੀ ਘਣਤਾ,ಶಕ್ತಿ ಮಟ್ಟದ ಸಾಂದ್ರತೆ
ਅਸਮਾਨ ਵਿੱਚ ਪਦਾਰਥ ਦੀ ਘਣਤਾ,ಆಕಾಶದಲ್ಲಿ ವಸ್ತುವಿನ ಸಾಂದ್ರತೆ
ਕਾਲੇਪਨ ਦੀ ਘਣਤਾ,ಕಪ್ಪು ಸಾಂದ್ರತೆ
ਸਥਿਤੀ ਘਣਤਾ,ಸ್ಥಾನ ಸಾಂದ್ರತೆ
ਘਣਤਾ ਵੇਵ ਥਿਊਰੀ,ಸಾಂದ್ರತೆ ತರಂಗ ಸಿದ್ಧಾಂತ
ਦੰਦਾਂ ਦੇ ਪਕਵਾਨ,ದಂತ ಭಕ್ಷ್ಯಗಳು
ਦੰਦ ਛੂਹ,ಹಲ್ಲಿನ ಸ್ಪರ್ಶ
ਨਿਰਭਰਤਾ,ಅವಲಂಬನೆ
ਨਿਰਭਰ ਘਟਨਾ,ಅವಲಂಬಿತ ಘಟನೆ
ਫੈਲਾਅ,ಪ್ರಸರಣ
"ਡਿਸਟਿਲਟ ਰਿਫਾਈਨਰ, ਡਿਸਟਿਲਰ","ಡಿಸ್ಟಿಲೇಟ್ ರಿಫೈನರ್, ಡಿಸ್ಟಿಲರ್"
"ਪ੍ਰਭਾਸ਼ਿਤ ਅੰਸ਼, ਪ੍ਰਭਾਸ਼ਿਤ ਅੰਸ਼","ಅವಕ್ಷೇಪಿತ ಭಾಗ, ಅವಕ್ಷೇಪಿತ ಭಾಗ"
ਤੇਜ਼,ಅವಕ್ಷೇಪ
ਪ੍ਰੀਪੇਟਿਡ ਯੂਰੇਨੀਅਮ,ಅವಕ್ಷೇಪಿತ ಯುರೇನಿಯಂ
ਘਟਾਓ ਪੱਧਰ,ಸವಕಳಿ ಮಟ್ಟ
ਘਟਦੀ ਪੱਧਰ ਦੀ ਹੋਲਡਿੰਗ,ಸವಕಳಿ ಮಟ್ಟದ ಹಿಡುವಳಿ
ਨਿਘਾਰ ਖੇਤਰ,ಸವಕಳಿ ಪ್ರದೇಶ
ਡਿਪਲੇਸ਼ਨ ਜ਼ੋਨ,ಸವಕಳಿ ವಲಯ
ਘਟਾਓ ਅਮੋਰਟਾਈਜ਼ੇਸ਼ਨ,ಸವಕಳಿ ಭೋಗ್ಯ
ਡਰਾਪ ਪੱਧਰ ਟਰਾਂਜ਼ਿਸਟਰ,ಡ್ರಾಪ್ ಮಟ್ಟದ ಟ್ರಾನ್ಸಿಸ್ಟರ್
