Telugu,Marathi
క్లిఫ్ ప్రభావం,क्लिफ प्रभाव
క్లిప్ బోర్డు,क्लिप बोर्ड
క్లిప్పింగ్,क्लिपिंग
క్లాక్ పల్స్,घड्याळ नाडी
క్లాక్డ్ ఫ్లిప్ ఫ్లాప్,क्लोक्ड फ्लिप फ्लॉप
క్లాక్ఫేస్డ్ మైక్,घड्याळाच्या बाजूने माइक
గడియారం-ఫ్రీక్వెన్సీ,घड्याळ-वारंवारता
సవ్యదిశలో,घड्याळाच्या दिशेने
క్లోజ్డ్ సర్క్యూట్,बंद परिक्रमा
నిర్భంద వలయం,बंद पळवाट
క్లస్టర్,क्लस्टर
క్లస్టరింగ్,क्लस्टरिंग
అస్తవ్యస్తంగా,गोंधळ
అయోమయ నష్టం,गोंधळ तोटा
పూత,कोटिंग
ఏకాక్షక కేబుల్,कोएक्सियल केबल
ఏకాక్షక రేఖ,कोएक्सियल लाइन
ఏకాక్షక ప్రసార రేఖ,कोएक्सियल ट्रान्समिशन लाइन
కో-ఛానెల్,सह-चॅनेल
కో-ఛానెల్ జోక్యం,सह-चॅनेल हस्तक्षेप
కోక్లియా,कोक्लीया
కోడ్,कोड
కోడ్ సంఖ్య,कोड क्रमांक
కోడ్ రేటు,कोड दर
కోడ్ పదం,कोड शब्द
కోడెక్ (కోడింగ్ డీకోడింగ్),कोडेक (कोडिंग डिकोडिंग)
కోడెడ్ ఆడియో,कोड केलेले ऑडिओ
కోడర్,कोडर
కోడింగ్,कोडिंग
కోడింగ్ డీకోడింగ్ టెక్నిక్,कोडिंग डिकोडिंग तंत्र
కోడింగ్ లోపం,कोडिंग त्रुटी
కోడింగ్ రేటు,कोडिंग दर
కోడింగ్ టెక్నిక్,कोडिंग तंत्र
గుణకం,गुणांक
బలవంతపు,जबरदस्ती
పొందికైన మాడ్యులేషన్,सुसंगत मॉड्यूलेशन
కాయిల్,कॉइल
సహకారం,सहयोग
కూలిపోతుంది,कोसळणे
కలెక్టర్,जिल्हाधिकारी
కలెక్టర్ కరెంట్,जिल्हाधिकारी करंट
బేస్ కండక్టెన్స్ నుండి కలెక్టర్,बेस कंडक्टन्स टू कलेक्टर
కలెక్టర్-బేస్ జంక్షన్,कलेक्टर-बेस जंक्शन
రంగు,रंग
కలర్ ఎనలైజర్,रंग विश्लेषक
రంగు సమతుల్యత,रंग शिल्लक
రంగు పేలుడు,रंग फुटला
రంగు చార్ట్,रंग चार्ट
రంగు కలయిక,रंग संयोजन
రంగు స్థిరాంకం,रंग स्थिर
రంగు నియంత్రణ (క్రోమ్ నియంత్రణ),कलर कंट्रोल (क्रोम कंट्रोल)
రంగు లోతు,रंग खोली
రంగు అలసట,रंग थकवा
కలర్ ఫిల్టర్,रंग फिल्टर
కలర్ కిల్లర్ సర్క్యూట్,कलर किलर सर्किट
కలర్ కైన్‌కోప్,रंग किनेस्कोप
కలర్ మిక్సర్,रंग मिक्सर
రంగు నమూనా,रंग नमुना
రంగు అవగాహన,रंग समज
కలర్ పిక్చర్ స్క్రీన్,रंग चित्र स्क्रीन
రంగు స్థలం,रंग जागा
రంగు సబ్‌కారియర్,रंग सबकारियर
రంగు ఉష్ణోగ్రత,रंग तापमान
రంగు ప్రసారం,रंग संप्रेषण
కలర్ ట్యూబ్,रंग ट्यूब
రంగు,रंगरंगोटी
రంగులేని,रंगहीन
కలయిక,संयोजन
కాంబినర్,संयोजक
కలయిక ప్రక్రియ,प्रक्रिया एकत्रित
దహన,ज्वलन
కమాండ్,आज्ञा
ప్రారంభం,प्रारंभ
వాణిజ్య ప్రసారం,व्यावसायिक प्रसारण
వాణిజ్య టెలివిజన్,व्यावसायिक टेलिव्हिजन
సాధారణ కలెక్టర్ సర్క్యూట్,सामान्य कलेक्टर सर्किट
కమ్యూనికేషన్,संप्रेषण
కమ్యూనికేషన్ ఉపగ్రహం,संप्रेषण उपग्रह
కమ్యూనిటీ రేడియో సెంటర్,कम्युनिटी रेडिओ सेंटर
కమ్యూనిటీ రేడియో స్టేషన్,कम्युनिटी रेडिओ स्टेशन
కాంపాక్ట్ డిస్క్ (సిడి),कॉम्पॅक्ट डिस्क (सीडी)
కాంపాక్ట్ డిస్క్ ప్లేయర్,कॉम्पॅक्ट डिस्क प्लेयर
కంపాండర్,कॉम्पॅन्डर
కంపాండింగ్,कंपँडिंग
అనుకూలత,सुसंगतता
అనుకూలంగా,सुसंगत
కంపైలర్,कंपाईलर
పరిపూరకరమైనది,पूरक
కాంప్లిమెంటరీ ట్రాన్సిస్టర్,पूरक ट्रान्झिस्टर
సంక్లిష్ట తరంగం,कॉम्प्लेक्स वेव्ह
భాగం,घटक
మిశ్రమ,संमिश्र
మిశ్రమ సర్క్యూట్,संमिश्र सर्किट
మిశ్రమ డిజిటల్,संमिश्र डिजिटल
మిశ్రమ రేడియో ఫ్రీక్వెన్సీ సిగ్నల్,संमिश्र रेडिओ फ्रिक्वेन्सी सिग्नल
మిశ్రమ సిగ్నల్,संमिश्र सिग्नल
మిశ్రమ వీడియో,संमिश्र व्हिडिओ
మిశ్రమ వీడియో సిగ్నల్,संमिश्र व्हिडिओ सिग्नल
కూర్పు,रचना
కంప్రెస్డ్ డేటా,संकुचित डेटा
కంప్రెస్డ్ డిజిటలైజ్డ్ వీడియో,संकुचित डिजिटलाइज्ड व्हिडिओ
కంప్రెస్డ్ వీడియో,संकुचित व्हिडिओ
కుదింపు,कम्प्रेशन
కంప్రెషన్ ఆర్టిఫ్యాక్ట్,कॉम्प्रेशन आर्टिफॅक्ट
కుదింపు ప్రమాదం,कॉम्प्रेशन धोका
కంప్రెషన్ టెక్నిక్,कॉम्प्रेशन तंत्र
కంప్రెసర్,कंप्रेसर
కంప్యూట్,गणना
కంప్యూటర్,संगणक
కంప్యూటర్ ఆధారిత మల్టీమీడియా,संगणक आधारित मल्टीमीडिया
కంప్యూటర్ ప్రోగ్రామింగ్,संगणक प्रोग्रामिंग
"కంప్యూటర్ సాంకేతిక పరిజ్ఞానం, కంప్యూటర్ విజ్ఞానం, ధీయంత్ర పరిజ్ఞానం, ధీయంత్ర విజ్ఞానం",संगणक तंत्रज्ञान
పుటాకార లెన్స్,अवतल लेन्स
పుటాకార అద్దం,अवतल आरसा
దాచడం,लपवून ठेवणे
సాంద్రీకృత,एकाग्र
ఏకాగ్రత,एकाग्रता
కేంద్రీకృత లెన్స్,कॉन्सेन्ट्रिक लेन्स
కండెన్సర్ మైక్రోఫోన్,कंडेन्सर मायक्रोफोन
సమతుల్యత యొక్క పరిస్థితి,समतोल स्थिती
ప్రసరణ,वाहक
ప్రసరణ ప్రస్తుత,वाहक चालू
వాహకత,वाहकता
కండక్టర్,कंडक्टर
ఆకృతీకరణ,कॉन्फिगरेशन
కనెక్షన్,कनेक्शन
కనెక్టివిటీ,कनेक्टिव्हिटी
కనెక్టర్,कनेक्टर
స్థిరత్వం,सुसंगतता
స్థిరంగా,सातत्याने
కన్సోల్,कन्सोल
స్థిరాంకం,स्थिर
స్థిరమైన వ్యాప్తి,सतत मोठेपणा
మైక్రోఫోన్‌ను సంప్రదించండి,मायक्रोफोनशी संपर्क साधा
కంటైనర్ ఫార్మాట్,कंटेनर स्वरूप
కాలుష్యం,दूषित
విషయము,सामग्री
పరస్పర,संमिश्र
కొనసాగింపు,सातत्य
కొనసాగింపు బూత్,सातत्य बूथ
కొనసాగింపు నాబ్,सातत्य नॉब
నిరంతర,सतत
నిరంతర ఆర్క్,सतत कंस
నిరంతర వేవ్,सतत लाट
ఆకృతి రేఖ,समोच्च ओळ
ఆకృతి ప్రణాళిక,समोच्च योजना
ఒప్పందం,करार
సంకోచం,आकुंचन
కాంట్రాస్ట్ రేషియో,कॉन्ट्रास्ट गुणोत्तर
కంట్రోల్ సర్క్యూట్,नियंत्रण सर्किट
కంట్రోల్ ఎలక్ట్రోడ్,इलेक्ट्रोड नियंत्रित करा
నియంత్రణ పరికరాలు,नियंत्रण उपकरणे
కంట్రోల్ గ్రిడ్,नियंत्रण ग्रीड
నియంత్రణ రేఖ,नियंत्रण ओळ
నియంత్రణ ప్యానెల్,नियंत्रण पॅनेल
నియంత్రణ గది,नियंत्रण कक्ष
నియంత్రణ పట్టిక,नियंत्रण सारणी
కంట్రోల్ టవర్,नियंत्रण टॉवर
నియంత్రిక,नियंत्रक
కన్వర్జెన్స్,अभिसरण
కన్వర్జెంట్ లెన్స్,कन्व्हर्जंट लेन्स
కన్వర్టర్,कन्व्हर्टर
కుంభాకార లెన్స్,बहिर्गोल लेन्स
కన్విల్యూషన్,कन्व्होल्यूशन
కన్వల్యూషన్ కోడెడ్,कन्व्होल्यूशन कोड
కన్వల్యూషనల్ ఇంటర్‌లీవ్,कॉन्व्होल्यूशनल इंटरलीव्ह
కన్వల్యూషనల్ ఇంటర్‌లీవింగ్,कॉन्व्होल्यूशनल इंटरलीव्हिंग
కుకీ,कुकी
కుకీయర్,कुकीयर
కోప్రాసెసర్,कॉप्रोसेसर
త్రాడు,दोरखंड
కరోనా,कोरोना
కరోనా ఉత్సర్గ,कोरोना डिस्चार्ज
సహసంబంధం,परस्परसंबंध
కొసైన్ భాగం,कोसाइन घटक
కొసైన్ వేవ్,कोसाइन वेव्ह
విశ్వ శబ్దం,वैश्विक आवाज
కౌంటర్,काउंटर
కౌంటర్ సవ్యదిశలో,घड्याळाच्या दिशेने काउंटर
కప్లర్,कपलर
కలపడం,जोड्या
కప్లింగ్ కండెన్సర్,कपलिंग कंडेन्सर
కలపడం నెట్‌వర్క్,कपलिंग नेटवर्क
కలపడం నిరోధకత,कपलिंग प्रतिकार
సమయోజనీయ బంధం,सहसंयोजक बंध
కవరేజ్,कव्हरेज
క్రాష్,आपटी
క్రిటికల్ బ్యాండ్,गंभीर बँड
క్లిష్ట పరిస్థితి,चिंताजनक स्थिती
క్లిష్టమైన కలపడం,गंभीर जोड्या
క్లిష్టమైన ఫ్రీక్వెన్సీ,गंभीर वारंवारता
క్లిష్టమైన పరామితి,गंभीर मापदंड
క్రోకోడైల్ క్లిప్,मगर क्लिप
క్రాస్ ఫేడింగ్,क्रॉस फिकट
క్రాస్ మాడ్యులేషన్,क्रॉस मॉड्यूलेशन
క్రాస్ టాక్,क्रॉस टॉक
క్రాస్ఫేడ్,क्रॉसफेड
క్రిప్టోగ్రఫీ,क्रिप्टोग्राफी
క్రిస్టల్,क्रिस्टल
క్రిస్టల్ ఫిల్టర్,क्रिस्टल फिल्टर
క్యూ,क्यू
క్యూ మార్కులు,क्यू मार्क्स
క్యూయింగ్ పరికరం,क्यूइंग डिव्हाइस
ప్రస్తుత కాలువ,चालू नाले
ప్రస్తుత మీటర్,चालू मीटर
ప్రస్తుత ట్రాన్స్ఫార్మర్,वर्तमान ट्रान्सफॉर्मर
కర్సర్,कर्सर
వక్రరేఖ,वक्र
ఫ్రీక్వెన్సీని కత్తిరించండి,वारंवारता कट करा
కట్టర్,कटर
సైబర్ కేఫ్,सायबर कॅफे
సైబర్ భద్రతా,सायबर सुरक्षा
సైబర్ స్థలం,सायबर स्पेस
చక్రం,चक्र
చక్రీయ,चक्रीय
డి.సి. భాగం,डी.सी. घटक
డి.సి. ప్లేట్ శక్తి,डी.सी. प्लेट पॉवर
డి.సి. పునరుద్ధరణ,डी.सी. जीर्णोद्धार
డంపర్ డయోడ్,डॅम्पर डायोड
డంపింగ్,ओलसर
చీకటి,गडद
సమాచారం,डेटा
డేటా ప్రసారం,डेटा प्रसारण
డేటా కుదింపు,डेटा कॉम्प्रेशन
డేటా డ్రిల్లింగ్,डेटा ड्रिलिंग
డేటా గుప్తీకరణ,डेटा कूटबद्धीकरण
సమాచార దస్తా,डेटा फाइल
డేటా నిర్వహణ,डेटा हाताळणी
డేటా మైనింగ్,डेटा खाण
డేటా ప్రాసెసింగ్,डेटा प्रक्रिया
డేటా ప్రాసెసర్,डेटा प्रोसेसर
డేటా తగ్గించిన బిట్ సిస్టమ్,डेटा कमी बिट सिस्टम
డేటా సేవ,डेटा सेवा
సమాచార పట్టిక,माहिती पत्रक
డేటా నిల్వ,डेटा संचयन
డేటా స్ట్రీమ్,डेटा प्रवाह
డేటా పరివర్తన,डेटा परिवर्तन
డేటా ప్రసారం,डेटा ट्रान्समिशन
డేటాబేస్,डेटाबेस
డేటాకాస్టింగ్,डेटाकास्टिंग
డేటాగ్రామ్,डेटाग्राम
DB మీటర్,डीबी मीटर
చనిపోయిన గాలి,मृत हवा
డెడ్ షార్ట్ సర్క్యూట్,मृत शॉर्ट सर्किट
డెడ్ స్పాట్,मृत जागा
డెడ్లాక్,डेडलॉक
డీబగ్ ప్రోగ్రామ్,डीबग प्रोग्राम
డీబగ్గింగ్,डीबगिंग
ధ్వని క్షయం,आवाजाचा क्षय
డిసిబెల్,डेसिबल (डीबी)
దశాంశం,दशांश
దశాంశ కోడ్,दशांश कोड
దశాంశ అంకె,दशांश अंक
డెసిఫరింగ్,उलगडा
డీకోడర్,डीकोडर
డీకోడింగ్,डीकोडिंग
డిజిటల్ ట్రాన్స్మిషన్లో డీకోడింగ్,डिजिटल ट्रान्समिशनमध्ये डीकोडिंग
డికంప్రెషన్,विघटन
డికప్లింగ్,डीकोपलिंग
డికప్లింగ్ సర్క్యూట్,डिकॉपलिंग सर्किट
డికప్లింగ్ నెట్‌వర్క్,डिकॉपलिंग नेटवर्क
డిక్రిప్షన్,डिक्रिप्शन
అంకితమైన పంక్తి,समर्पित ओळ
డి-ఎంబెడింగ్,डी-एम्बेडिंग
డి-ఎంఫాసిస్,डी-जोर
డిఫాల్ట్,डीफॉल्ट
నాణ్యతలో లోపం,गुणवत्तेत दोष
లోపభూయిష్ట,सदोष
లోపభూయిష్ట యూనిట్,सदोष युनिट
నిర్వచనం,व्याख्या
విక్షేపం,विक्षेप
వైకల్యం,विकृती
డీఫ్రాగ్మెంటేషన్,डीफ्रॅगमेंटेशन
డి-గాస్సింగ్ కాయిల్,डी-गॉसिंग कॉइल
డిగ్రీ,पदवी
డి-ఇంటర్‌లీవర్,डी-इंटरलीव्हर
ఆలస్యం లైన్,विलंब ओळ
సమయం ఆలస్యం,विलंब वेळ
ఫ్రేమ్ మెమరీ ఆలస్యం,विलंब फ्रेम मेमरी
ఆలస్యం స్కానింగ్,विलंब स्कॅनिंग
ఆలస్యం సమకాలీకరణ సిగ్నల్,विलंब सिंक्रोनाइझेशन सिग्नल
డెలివరీ,वितरण
బట్వాడా వ్యవస్థ,वितरण प्रणाली
డెమోడ్యులేషన్,डिमोड्युलेशन
డెమోడ్యులేటర్ కార్డ్,डेमोड्युलेटर कार्ड
డెమల్టిప్లెక్సర్,डेमल्टिप्लेक्सर
ఫీల్డ్ యొక్క లోతు,फील्डची खोली
అవరోహణ,उतरत्या
డిజైన్ స్పెసిఫికేషన్,डिझाइन तपशील
డెస్క్‌టాప్,डेस्कटॉप
డిటెక్టర్ అవుట్పుట్,डिटेक्टर आउटपुट
విచలనం,विचलन
పరికరం,साधन
పరికర డ్రైవర్,डिव्हाइस ड्राइव्हर
విశ్లేషణ,डायग्नोस्टिक्स
రేఖాచిత్రం,आकृती
డైలాగ్ ట్రాక్,संवाद ट्रॅक
వ్యాసమైన మోడ్,व्यासाचा मोड
డైమండ్ స్టైలస్,डायमंड स्टाईलस
ఉదరవితానం,डायाफ्राम
డయాఫ్రాగ్మాటిక్ అబ్జార్బర్,डायाफ्रामॅटिक शोषक
డైకోటిక్ లిజనింగ్,डायकोटिक ऐकणे
విద్యుద్వాహక,डायलेक्ट्रिक
విద్యుద్వాహక విచ్ఛిన్నం- డౌన్,डायलेक्ट्रिक ब्रेक- डाउन
విద్యుద్వాహక నష్టం,डायलेक्ट्रिक तोटा
తేడా ఫ్రీక్వెన్సీ,फरक वारंवारता
తేడా ఫ్రీక్వెన్సీ వక్రీకరణ (DFD),फरक वारंवारता विकृती (डीएफडी)
తేడా టోన్,फरक टोन
అవకలన యాంప్లిఫైయర్,विभेदक एम्पलीफायर
విక్షేపం,विवर्तन
డిఫ్యూజర్,डिफ्यूझर
అంకె,अंक
డిజిటల్,डिजिटल
డిజిటల్ ఆర్టిఫ్యాక్ట్,डिजिटल कलाकृती
డిజిటల్ ఆడియో,डिजिटल ऑडिओ
డిజిటల్ ఆడియో ఫిల్టర్,डिजिटल ऑडिओ फिल्टर
డిజిటల్ ఆడియో వర్క్ స్టేషన్,डिजिटल ऑडिओ वर्क स्टेशन
డిజిటల్ కెమెరా,डिजिटल कॅमेरा
డిజిటల్ కంప్యూటర్,डिजिटल संगणक
డిజిటల్ డేటా,डिजिटल डेटा
డిజిటల్ ఎడిటింగ్,डिजिटल संपादन
డిజిటల్ ఎక్సైటర్,डिजिटल एक्झिटर
డిజిటల్ ఫిల్టర్,डिजिटल फिल्टर
డిజిటల్ ఫ్రేమ్ సింక్రొనైజర్,डिजिटल फ्रेम सिंक्रोनाइझर
డిజిటల్ వారసత్వం,डिजिटल वारसा
డిజిటల్ చిత్రం,डिजिटल प्रतिमा
డిజిటల్ లైబ్రరీ,डिजिटल लायब्ररी
డిజిటల్ మీటర్,डिजिटल मीटर
డిజిటల్ మాడ్యులేషన్,डिजिटल मॉड्यूलेशन
డిజిటల్ మల్టీప్లెక్స్,डिजिटल मल्टिप्लेक्स
డిజిటల్ నెట్‌వర్క్,डिजिटल नेटवर्क
డిజిటల్ అవుట్పుట్,डिजिटल आउटपुट
డిజిటల్ ప్లేబ్యాక్,डिजिटल प्लेबॅक
డిజిటల్ రేడియో మొండియాల్ (DRM),डिजिटल रेडिओ मोंडिएल (डीआरएम)
డిజిటల్ రికార్డింగ్,डिजिटल रेकॉर्डिंग
డిజిటల్ విప్లవం,डिजिटल क्रांती
డిజిటల్ సిగ్నల్,डिजिटल सिग्नल
డిజిటల్ సిగ్నల్ ప్రాసెసింగ్ (DSP),डिजिटल सिग्नल प्रक्रिया (डीएसपी)
డిజిటల్ సంతకం,डिजिटल स्वाक्षरी
డిజిటల్ టెక్నాలజీ,डिजिटल तंत्रज्ञान
డిజిటల్ టు అనలాగ్ కన్వర్టర్,डिजिटल टू एनालॉग कन्व्हर्टर
డిజిటల్ వీడియో,डिजिटल व्हिडिओ
డిజిటల్ వోల్టమీటర్,डिजिटल व्होल्टमीटर
డిజిటలైజేషన్,डिजिटलायझेशन
డిజిటలైజేషన్,डिजिटलायझेशन
డిజిటలైజ్డ్ వీడియో,डिजिटलाइज्ड व्हिडिओ
డిజిటైజర్,डिजिटायझर
మసక,अंधुक
పరిమాణం,परिमाण
మసకబారిన,डिमर
డయోడ్,डायोड
ముంచు,बुडविणे
డిప్లెక్సర్,डिप्लेक्सर
డైపోల్ యాంటెన్నా,द्विध्रुवीय अँटेना
ప్రత్యక్ష ప్రసారం,थेट प्रसारण
ప్రత్యక్ష కరెంట్,थेट करंट (डी सी)
ప్రత్యక్ష పికప్,डायरेक्ट पिक अप
ప్రత్యక్ష పఠన పరికరం,थेट वाचन साधन
ప్రత్యక్ష రికార్డింగ్,थेट रेकॉर्डिंग
డైరెక్షనల్ యాంటెన్నా,दिशात्मक ten न्टीना
డైరెక్షనల్ కప్లర్,दिशात्मक कपलर
డైరెక్షనల్ మైక్రోఫోన్,दिशात्मक मायक्रोफोन
డైరెక్టివిటీ,निर्देश
డైరెక్టరీ,निर्देशिका
డిసేబుల్,अक्षम करा
డిస్క్ యాంటెన్నా,डिस्क अँटेना
డిస్క్ ఆధారిత నిల్వ,डिस्क आधारित स्टोरेज
వివిక్త,वेगळा
డిస్క్,डिस्क
డిస్క్ డ్రైవ్,डिस्क ड्राइव्ह
డిస్క్ కోటా,डिस्क कोटा
డిస్కెట్,डिस्केट
తొలగుట,विस्थापन
చెదరగొట్టడం,फैलाव
స్థానభ్రంశం,विस्थापन
ప్రదర్శన,प्रदर्शन
ప్రదర్శన యూనిట్ (కన్సోల్),प्रदर्शन युनिट (कन्सोल)
వెదజల్లడం,अपव्यय
వైరుధ్యం,असंतोष
పరిశుద్ధమైన నీరు,डिस्टिल्ड वॉटर
వక్రీకరణ,विकृती
పంపిణీ,वितरण
పంపిణీ యాంప్లిఫైయర్,वितरण एम्पलीफायर
విభజన,विभागणी
విభజన,विभाजक
పత్రం,दस्तऐवज
డాల్బీ డిజిటల్,डॉल्बी डिजिटल
డొమైన్,डोमेन
డొమైన్ కంట్రోలర్,डोमेन नियंत्रक
డాప్లర్ ప్రభావం,डॉपलर प्रभाव
ద్వారం),डबल पोल (द्विध्रुवीय)
డబుల్ పోల్ సింగిల్ త్రో స్విచ్,डबल पोल सिंगल थ्रो स्विच
డబుల్ సైడెడ్ డిస్క్,डबल साइड डिस्क
డబుల్,दुहेरी
డౌన్ రాబోయే వేవ్,खाली येणारी लाट
డౌన్ స్ట్రీమ్,खाली प्रवाह
డౌన్‌లింక్,डाउनलिंक
డౌన్‌లోడ్,डाउनलोड करा
డౌన్‌లోడ్,डाउनलोड करीत आहे
డ్రాయింగ్,रेखांकन
డ్రిల్లింగ్ బిట్,ड्रिलिंग बिट
డ్రిల్లింగ్ మెషిన్,ड्रिलिंग मशीन
డ్రైవ్,चालवा
డ్రమ్,ड्रम
పొడి బల్బ్ ఉష్ణోగ్రత,कोरडे बल्ब तापमान
పొడి సెల్,कोरडे सेल
డ్రై టంకము,कोरडे सोल्डर
ద్వంద్వ ఛానల్ మోడ్,ड्युअल चॅनेल मोड
డబ్బింగ్,डबिंग
డడ్,डड
డంప్,डंप
డ్యూప్లెక్స్,दुहेरी
వ్యవధి,कालावधी
దుమ్ము,धूळ
డస్ట్ బగ్,धूळ बग
డస్ట్ ప్రూఫ్,धूळ पुरावा
డస్టర్,डस्टर
డైనమిక్,डायनॅमिक
డైనమిక్ బిట్ కేటాయింపు,डायनॅमिक बिट वाटप
డైనమిక్ ఇంటర్మోడ్యులేషన్ వక్రీకరణ (DIM),डायनॅमिक इंटरमोडुलेशन विकृती (डीआयएम)
డైనమిక్ పరిమాణీకరణ,डायनॅमिक क्वांटिझेशन
డైనమిక్ పరిధి,डायनॅमिक श्रेणी
డైనమిక్ పరిధి నియంత్రణ,डायनॅमिक श्रेणी नियंत्रण
డైనమో,डायनामो
చెవి ఫోన్,कान फोन
భూమి,पृथ्वी
భూమి ఉబ్బెత్తు,पृथ्वी बल्ज
భూమి నిరోధకత,पृथ्वी प्रतिकार
ఎర్త్ రాడ్,पृथ्वी रॉड
ఎర్త్ ఉపగ్రహం,पृथ्वी उपग्रह
ఎర్త్ స్టేషన్,पृथ्वी स्टेशन
ఎర్త్ టెర్మినల్,पृथ्वी टर्मिनल
ఎర్తింగ్,अर्थिंग
ఎకో,प्रतिध्वनी
ఎకో చాంబర్,इको चेंबर
ఎడ్డీ కరెంట్,एडी करंट
ఎడ్డీ కరెంట్ నష్టం,एडी चालू तोटा
ఎడ్జ్వైస్ మీటర్,एजवाइज मीटर
ఎడిటింగ్,संपादन
ప్రభావవంతమైన యాంటెన్నా ఎత్తు,प्रभावी अँटेना उंची
ప్రభావవంతమైన యాంటెన్నా పొడవు,प्रभावी अँटेना लांबी
ప్రభావవంతమైన వోల్టేజ్,प्रभावी व्होल्टेज
సామర్థ్యం,कार्यक्षमता
స్థితిస్థాపకత,लवचिकता
విద్యుత్ ఉత్సర్గ,इलेक्ट्रिक डिस्चार्ज
ఎలక్ట్రిక్ ఫీల్డ్,विद्युत क्षेत्र
ఎలక్ట్రిక్ ఫ్లాష్,इलेक्ट्रिक फ्लॅश
విద్యుత్ హీటర్,विद्युत उष्मक
ఎలక్ట్రిక్ మీటర్,इलेक्ट्रिक मीटर
విద్యుత్ మోటారు,विद्युत मोटर
విద్యుదాఘాతం,विजेचा धक्का
ఎలక్ట్రిక్ స్పార్క్,इलेक्ट्रिक स्पार्क
విద్యుత్ ఉపకరణం,विद्युत उपकरण
విద్యుత్ శబ్దం,विद्युत आवाज
విద్యుత్ తుఫాను,विद्युत वादळ
విద్యుత్తుతో పనిచేసే సంగీత పరికరం,इलेक्ट्रिकली ऑपरेट केलेले संगीत वाद्य
విద్యుత్,वीज
విద్యుత్ సరఫరా,वीजपुरवठा
ఎలెక్ట్రోడైనమిక్,इलेक्ट्रोडायनामिक
ఎలక్ట్రోలైటిక్ కెపాసిటర్,इलेक्ट्रोलाइटिक कॅपेसिटर
విద్యుదయస్కాంత,इलेक्ट्रोमॅग्नेटिक
విద్యుదయస్కాంత భంగం,इलेक्ट्रोमॅग्नेटिक त्रास
విద్యుదయస్కాంత ఇంటర్‌ఫెరెన్స్,इलेक्ट्रोमॅग्नेटिक इंटरफेरेन्स
విద్యుదయస్కాంత వర్ణపటం,इलेक्ट्रोमॅग्नेटिक स्पेक्ट्रम
విద్యుదయస్కాంత తరంగం,इलेक्ट्रोमॅग्नेटिक वेव्ह
విద్యుదయస్కాంత తరంగ ప్రచారం,इलेक्ट्रोमॅग्नेटिक वेव्ह प्रसार
ఎలక్ట్రాన్ మల్టిపుల్ ఫోటోట్యూబ్,इलेक्ट्रॉन एकाधिक फोटोट्यूब
ఎలక్ట్రానిక్ కాలిక్యులేటర్,इलेक्ट्रॉनिक कॅल्क्युलेटर
ఎలక్ట్రనిక్ డేటా ప్రాసెసింగ్ (ఇడిపి),इलेक्ट्रॉनिक डेटा प्रक्रिया (ईडीपी)
ఇ-మెయిల్,इलेक्ट्रॉनिक मेल (ई-मेल)
ఎలక్ట్రానిక్ స్విచింగ్ సిస్టమ్,इलेक्ट्रॉनिक स्विचिंग सिस्टम
ఎలక్ట్రానిక్స్,इलेक्ट्रॉनिक्स
ఎలక్ట్రోప్లేటింగ్,इलेक्ट्रोप्लेटिंग
ఎలెక్ట్రోస్టాటిక్,इलेक्ट्रोस्टेटिक
ఎలివేషన్,उत्थान
పొందుపరచబడింది,एम्बेड केलेले
పొందుపరిచిన ఆడియో,एम्बेड केलेले ऑडिओ
పొందుపర్చిన వ్యవస్థ,एम्बेडेड प्रणाली
చిహ్నం,प्रतीक
అభివృద్ధి చెందుతున్న పోకడలు,उदयोन्मुख ट्रेंड
ఉద్గార,उत्सर्जन
ఉద్గారిణి,एमिटर
ఉద్గారిణి అనుచరుడు,एमिटर अनुयायी
ఉద్గారిణి టెర్మినల్,एमिटर टर्मिनल
ఉద్గారిణి-బేస్-జంక్షన్,एमिटर-बेस-जंक्शन
ఎనేబుల్,सक्षम करा
ఎనామెల్డ్ వైర్,Enamelled वायर
ఎన్‌సిఫర్,एन्किफर
ఆవరణ,संलग्न
ఎన్కోడ్,एन्कोड
ఎన్కోడర్,एन्कोडर
ఎన్కోడింగ్,एन्कोडिंग
గుప్తీకరణ,कूटबद्धीकरण
ముగింపు గుర్తు,शेवटचा चिन्ह
తుది వినియోగదారుడు,अंतिम वापरकर्ता
శక్తి,ऊर्जा
శక్తి వ్యాప్తి,उर्जा विखुरलेले
శక్తి పంపిణీ,उर्जा वितरण
అమలు,अंमलबजावणी
ఇంజిన్,इंजिन
ఇంజనీర్,अभियंता
ఇంజనీరింగ్,अभियांत्रिकी
ఇంజనీరింగ్ స్టోర్,अभियांत्रिकी स्टोअर
చెక్కడం,खोदकाम
మెరుగుపరచండి,वाढविण्यासाठी
సమిష్టి,एकत्रित
కీని నమోదు చేయండి,की प्रविष्ट करा
ఎంటర్ప్రైజ్ ఆర్కిటెక్చర్,एंटरप्राइझ आर्किटेक्चर
ఎంథాల్పీ,एन्थॅल्पी
ఎంట్రోపీ,एन्ट्रोपी
ఎంట్రోపీ కోడింగ్,एन्ट्रोपी कोडिंग
ఎంట్రోపీ రిడెండెన్సీ,एन्ट्रोपी रिडंडंसी
సమం,समतुल्य
ఈక్వలైజేషన్,समानता
ఈక్వలైజర్,इक्वेलायझर
పరికరాలు,उपकरणे
పరికరాల కవర్,उपकरणे कव्हर
సమానం,समतुल्य
చెరిపివేయండి,मिटवा
తల తొలగించండి,डोके मिटवा
