Hindi,Malayalam
सहसंबंध फलन,പരസ്പരബന്ധം പ്രവർത്തനം
"सहसंबंध आव्यूह, सहसंबंध मैट्रिक्स",പരസ്പരബന്ധം മാട്രിക്സ്
सहसंबंधानुपात,പരസ്പര ബന്ധ അനുപാതം
सहसंबंध-चित्र,കോറെലോഗ്രാം
सहसंबंध-चित्र विश्लेषण,കോറലോഗ്രാം വിശകലനം
"संगत होना, तदनुरूपी होना",പൊരുത്തപ്പെടുത്തുക
संगति-नियम,കത്തിടപാടുകളുടെ തത്വം
संगत कोण,അനുബന്ധ കോൺ
संगत पार्श्व,അനുബന്ധ വശം
सहसमुच्चय,കോസെറ്റ്
"कोसाइन, कोटिज्या",കോസൈൻ
कोटिज्या नियम,കോസൈൻ നിയമം
लागत विश्लेषण,ചെലവ് വിശകലനം
लागत अधिकतमीकरण,ചെലവ് പരമാവധിയാക്കൽ
गणनीयता-अभिगृहीत,എണ്ണൽ സിദ്ധാന്തം
गणनीय,എണ്ണാവുന്ന
गणनीय योज्यता,കണക്കാക്കാവുന്ന അഡിറ്റിവിറ്റി
गणनीय आधार,എണ്ണാവുന്ന അടിസ്ഥാനം
गणनीय आधार,എണ്ണാവുന്ന അടിസ്ഥാനം
गणनीय समुच्चय,എണ്ണാവുന്ന സെറ്റ്
गणनीयतः अनंत,എണ്ണിയാലൊടുങ്ങാത്തത്
" गणित्र , फलक, काउंटर",കൗണ്ടർ
वामावर्त अपसव्य,എതിർ ഘടികാരദിശയിൽ
प्रत्युदाहरण,എതിർ ഉദാഹരണം
सहप्रसरण,സഹവർത്തിത്വം
सहप्रसरण नियम,സഹവർത്തിത്വ നിയമം
सहप्रसरण आव्यूह,കോവേരിയൻസ് മാട്രിക്സ്
सहप्रसरण विधि,സഹവർത്തിത്വ രീതി
सहप्रसरण विधि,സഹവർത്തിത്വ സാങ്കേതികത
क्रैमर-नियम,ക്രാമർ ഭരണം
क्रैमर-राव असमिका,ക്രാമർ-റാവു അസമത്വം
उद्देश्य फलन,മാനദണ്ഡ പ്രവർത്തനം (=ഒബ്ജക്റ്റീവ് ഫംഗ്‌ഷൻ)
क्रांतिक कोण,നിർണായക ആംഗിൾ
क्रांतिक बिंदु,നിര്ണ്ണായക ബിന്ദു
फलन का क्रांतिक बिंदु,പ്രവർത്തനത്തിന്റെ നിർണായക പോയിന്റ്
क्रांतिक मान,നിർണായക മൂല്യം
क्रांतिक वेग,നിർണായക വേഗത
व्यतिसहसंबंध फलन,ക്രോസ് കോറിലേഷൻ ഫംഗ്ഷൻ
"वेक्टर-गुणनफल, सदिश गुणनफल",ക്രോസ് ഉൽപ്പന്നം
वज्रानुपात,ക്രോസ് റേഷ്യോ
अनुप्रस्थ परिच्छेदन,ക്രോസ് സെക്ഷനിംഗ്
गूढ़लेख,ക്രിപ്റ്റ്
"घन, क्यूब",ക്യൂബ്
घन संख्या,ക്യൂബ് നമ്പർ
घनमूल,ക്യൂബ് റൂട്ട്
" घन, घनाकृति, घनीय, त्रिघात , त्रिसमलंबाक्ष, घनीय",ക്യൂബിക്
"घन, घनाकृति, घनीय",ക്യൂബിക്കൽ
त्रिघात समीकरण,ക്യൂബിക് സമവാക്യം
घन इंच,ക്യൂബിക് ഇഞ്ച്
घन मीटर,ക്യുബിക് മീറ്റർ
त्रिघात परवलय,ക്യൂബിക് പരവലയം
घनमूल,ക്യൂബിക് റൂട്ട്
त्रिघाती पद,ക്യൂബിക് കാലാവധി
लंबकोणिक समांतर,ക്യൂബോയിഡ്
"संचयी संकलित,",സഞ്ചിത
संचयी वक्र,ക്യുമുലേറ്റീവ് കർവ്
संचयी बंटन फलन,സഞ്ചിത വിതരണ പ്രവർത്തനം
संचयी बारंबारता,സഞ്ചിത ആവൃത്തി
संचयी बारंबारता फलन,ക്യുമുലേറ്റീവ് ഫ്രീക്വൻസി ഫംഗ്‌ഷൻ
"संचयी बारंबारता आलेख, संचयी बारंबारता ग्राफ",ക്യുമുലേറ്റീവ് ഫ്രീക്വൻസി ഗ്രാഫ്
संचयी प्रायिकता फलन,ക്യുമുലേറ്റീവ് പ്രോബബിലിറ്റി ഫംഗ്‌ഷൻ
"कर्ल, कुंतल",ചുരുളൻ
द्विप्राचल वक्र-कुल का कर्ल,പൊരുത്തം
सदिश का कर्ल,വെക്റ്ററിന്റെ ചുരുളൻ
"धनुःकोष्ठक, धनुर्बधनी",ചുരുണ്ട ബ്രാക്കറ്റ്
धारा,നിലവിലെ
चलित बिंदु,നിലവിലെ പോയിന്റ്
वक्रता,വക്രത
वक्रता-प्रभाव,വക്രത പ്രഭാവം
वक्र,വളവ്
वक्र रेखा,വളഞ്ഞ രേഖ
वक्र अनुरेखण,കർവ് ട്രേസിംഗ്
वक्रेखी अनंतस्पर्शी,വളഞ്ഞ അസിംപ്റ്റോട്ട്
वक्रेखी निर्देशांक,curvilinear കോർഡിനേറ്റുകൾ
वक्रेखी समाश्रयण,കർവിലീനിയർ റിഗ്രഷൻ
"उभयाग्र, कस्प",കൂമ്പാരം
"चक्र, आवर्तन , साइकिल , ढलाई चक्र, संचन चक्र",ചക്രം
चक्रीय विचरण,ചാക്രിക വ്യതിയാനം
चक्रीय सदिश गुणनफल,സൈക്ലിക് ക്രോസ് ഉൽപ്പന്നം
चक्रीय मांग,ചാക്രിക ആവശ്യം
चक्रीय व्यंजक,ചാക്രിക പദപ്രയോഗം
चक्रीय समूह,ചാക്രിക ഗ്രൂപ്പ്
चकीय क्रमचय,ചാക്രിക ക്രമമാറ്റം
"चक्रज, साइक्लोइड",സൈക്ലോയ്ഡ്
"बेलन, सिलिन्डर",സിലിണ്ടർ
"बेलनाकार, सिलिन्डराकार, बेलनी, सिलिन्डरी",സിലിണ്ടർ
सिलिन्डराकार पृ्ष्ठ,സിലിണ്ടർ ഉപരിതലം
"शून्य, सिफर",സൈഫർ
डिलंबर्ट-सिद्‌धांत,ഡി അലംബെർട്ടിന്റെ തത്വം
अवमंदित सरल आवर्त गति,നനഞ്ഞ ഹാർമോണിക് പ്രവർത്തനം
अवमंदन स्थिरांक,സ്ഥിരമായ ഈർപ്പം
" दत्त, उपात्त , आंकड़ा, न्यास",ഡാറ്റ
दत्त उपक्रमण,ഡാറ്റ ഉത്ഭവം
न्यास संसाधन प्रणाली,ഡാറ്റ പ്രോസസ്സിംഗ് സിസ്റ്റം
आंकड़ा संसाधित्र,ഡാറ്റ പ്രോസസ്സർ
आंकड़ा पत्र,ഡാറ്റ ഷീറ്റ്
दशभुज,ദശാഭുജം
डेकाग्राम,ദശാഗ്രാം
डेकामीटर,ദശാമീറ്റർ
क्षयांक,സ്ഥിരമായ ക്ഷയം
क्षय वक्र,ശോഷണ വക്രം
शिष्ट फलन,മാന്യമായ പ്രവർത്തനം
डेसीग्राम,ഡെസിഗ്രാം
दशमक,ദശാംശം
"दशमलव, दशमिक",ദശാംശം
दशमिक कोड,ദശാംശ കോഡ്
दशमलव कोडित अंक,ദശാംശ കോഡ് ചെയ്ത അക്കം
दशमिक प्रसार,ദശാംശ വികാസം
दशमलव भिन्न,ദശാംശ അംശം
दशमलव संकेतन पद्‌धति,ദശാംശ നൊട്ടേഷൻ
दशमलव अंकन पद्‌धति,ദശാംശ സംഖ്യാ സംവിധാനം
दशमलव बिंदु,ദശാംശ
दशमलव मापक्रम,ദശാംശ സ്കെയിൽ
दशमलव पद्‌धति,ദശാംശ വ്യവസ്ഥ
डेसीमीटर,ഡെസിമീറ്റർ
कूटवाचन,മനസ്സിലാക്കുന്നു
निर्णय निदर्श,തീരുമാന മാതൃക
निर्णय सिद्‌धांत,തീരുമാന സിദ്ധാന്തം
निर्णय चर,തീരുമാനം വേരിയബിൾ
"कूटवाचक, विकोडक",ഡീകോഡർ
"कूटवाचन, विकोडन",ഡീകോഡിംഗ്
वियोज्य समुच्चय,വിഘടിപ്പിക്കാവുന്ന സെറ്റ്
ह्रासमान,കുറയുന്നു
ह्रासमान फलन,പ്രവർത്തനം കുറയുന്നു
डेडेकिन्ड-कट,Dedekind ന്റെ കട്ട്
डेडेकिन्ड-प्रमेय,ഡെഡെകിൻഡിന്റെ സിദ്ധാന്തം
निगमन करना,അനുമാനിക്കുക
निगमनिक रीति,കിഴിവ് രീതി
सदोष,വികലമായ
परिभाषी समीकरण,സമവാക്യം നിർവചിക്കുന്നു
निश्चित समाकल,നിശ്ചിത അവിഭാജ്യ
निश्चित मैट्रिक्स,നിശ്ചിത മാട്രിക്സ്
" परिभाषा , स्पष्टता , निश्चय",നിർവചനം
विरूपण वक्र,രൂപഭേദം വക്രം
विकृत पृष्ठ,രൂപഭേദം വരുത്തിയ ഉപരിതലം
"अपभ्रष्टता, अपह्रास",അപചയം
परिवहन समस्याओं में अपभ्रष्टता,ഗതാഗത പ്രശ്‌നങ്ങളിലെ അപചയം
" डिग्री, अंश , घात , कोटि , मात्रा, परिमाण , अंशांक",ഡിഗ്രി
अवकल समीकरण का घात,ഡിഫറൻഷ്യൽ സമവാക്യത്തിന്റെ ബിരുദം
"स्वतंत्रता की कोटि, स्वातंत्र्य कोटि",സ്വാതന്ത്ര്യത്തിന്റെ ബിരുദം
बहुपद का घात,ബഹുപദത്തിന്റെ ബിരുദം
निष्कासित प्रतिवेश,ഇല്ലാതാക്കിയ അയൽപക്കം
डेल्टा फलन,ഡെൽറ്റ പ്രവർത്തനം
मांग और उपयोगिता वक्र,ഡിമാൻഡും യൂട്ടിലിറ്റി വക്രവും
मांग समीकरण,ഡിമാൻഡ് സമവാക്യം
मांग फलन,ഡിമാൻഡ് ഫംഗ്ഷൻ
जनसांख्यिकीय अध्ययन,ജനസംഖ്യാ പഠനം
जनसांख्यिकी,ജനസംഖ്യാശാസ്ത്രം
द-मॉयवर प्रमेय,ഡി മോവ്രെയുടെ സിദ്ധാന്തം
" निरूपण करना , प्रमाण देना , निदर्शन करना",പ്രകടിപ്പിക്കുക
" निरूपण , प्रमाण , निदर्शन, प्रदर्शन",പ്രകടനം
निरूपणात्मक ज्यामिति,പ്രദർശന ജ്യാമിതി
हर,ഡിനോമിനേറ്റർ
सघन समुच्चय,ഇടതൂർന്ന സെറ്റ്
" घनत्व , सघनता",സാന്ദ്രത
प्रगणनीय समुच्चय,എണ്ണമറ്റ സെറ്റ്
अपगामी अचर,പുറപ്പെടുന്ന വേരിയബിളുകൾ
आश्रित घटना,ആശ്രിത സംഭവം
आश्रित यादृच्छिक चर,ആശ്രിത റാൻഡം വേരിയബിൾ
परतंत्र चर,ആശ്രിത വേരിയബിൾ
परतंत्र विचर,ആശ്രിത വേരിയേറ്റ്
अवनमन कोण,വിഷാദം ആംഗിൾ
" व्युत्पत्ति, व्युत्पन्न , अवकलन",വ്യുൽപ്പന്നം
" व्युत्पन्न , अवकलज",ഡെറിവേറ്റീവ്
व्युत्पन्न श्रेणी,ഉരുത്തിരിഞ്ഞ പരമ്പര
व्युत्पन्न समुच्चय,ഉരുത്തിരിഞ്ഞ സെറ്റ്
"अवरोही, अवरोहण",അവരോഹണം
अवरोही क्रम,അവരോഹണ ക്രമം
अवरोही श्रेणी,അവരോഹണ പരമ്പര
प्रक्षेपात्मक ज्यामिति,വിവരണാത്മക ജ്യാമിതി
वर्णनात्मक निदर्श,വിവരണാത്മക മാതൃക
वर्णनात्मक सांख्यिकी,വിവരണാത്മക സ്ഥിതിവിവരക്കണക്കുകൾ
"अभिकल्प, डिजाइन, अभिकल्पना (सं.), अभिकल्पना करना, डिजाइन करना (क्रि.)",ഡിസൈൻ
प्रयोग की अभिकल्पना,പരീക്ഷണത്തിന്റെ രൂപകൽപ്പന
डेस्क परिकलित्र,ഡെസ്ക് കാൽക്കുലേറ്റർ
"पहचान, संसूचन",കണ്ടെത്തൽ
" सारणिक, डिटर्मिनेंट , निर्धारक",ഡിറ്റർമിനന്റ്
सारणिक कोटि,ഡിറ്റർമിനന്റ് റാങ്ക്
निर्धारित करना,നിർണ്ണയിക്കുക
निर्धारणात्मक निदर्श,നിർണ്ണായക മാതൃക
निर्धारणात्मक समस्या,നിർണ്ണായക പ്രശ്നം
विचलन,വ്യതിയാനം
विचलन गुणांक,വ്യതിയാനം ഗുണകം
द्वि-आधारी प्रणाली,ഡയാഡിക് സിസ്റ്റം
"विकर्ण कर्ण,",ഡയഗണൽ
आव्यूह-विकर्णन,ഒരു മാട്രിക്സിന്റെ ഡയഗണലൈസേഷൻ
"विकर्ण मैट्रिक्स, विकर्ण आव्यूह",ഡയഗണൽ മാട്രിക്സ്
विकर्णी समानता,ഡയഗണൽ സമാനത
आरेख,ഡയഗ്രം
आरेखी विधि,ഡയഗ്രമാറ്റിക് രീതി
आरेखी प्रस्तुतिकरण,ഡയഗ്രമാറ്റിക് അവതരണം
व्यास,വ്യാസം
समुच्चय-व्यास,ഒരു സെറ്റിന്റെ വ്യാസം
व्यासतः सम्मुख,വിപരീതമായി
"पाशकक्षेप, पासा फेंकना",പകിട എറിയുക
द्विधा वर्गीकरण,ദ്വിമുഖ വർഗ്ഗീകരണം
" द्विभाजन , अर्धक",ദ്വിമുഖം
कोशक्रम,നിഘണ്ടു ക്രമം
अंतर कलन,വ്യത്യാസം കണക്കുകൂട്ടൽ
अंतर समीकरण,വ്യത്യാസ സമവാക്യം
अंतर सूत्र,വ്യത്യാസം ഫോർമുല
अंतर विधि,വ്യത്യാസം രീതി
समुच्चयों का अंतर,സെറ്റുകളുടെ വ്യത്യാസം
अवकलनीय,വ്യത്യസ്തമായ
अवकलनीय वक्र,വ്യത്യസ്തമായ വക്രം
अवकलनीय फलन,വ്യത്യസ്തമായ പ്രവർത്തനം
" विभेदक, भेददर्शी , अवकल , अंतरात्रयी, अंतरात्मक , विभेदी",വ്യത്യസ്തമായ
अवकल गणित,ഡിഫറൻഷ്യൽ കാൽക്കുലസ്
अवकल गुणांक,ഡിഫറൻഷ്യൽ കോഫിഫിഷ്യന്റ്
अवकल समीकरण,ഡിഫറൻഷ്യൽ സമവാക്യം
अवकल समघात,ഡിഫറൻഷ്യൽ ഫോം
अवकल सूत्र,ഡിഫറൻഷ്യൽ ഫോർമുല
अवकल फलन,ഡിഫറൻഷ്യൽ ഫംഗ്ഷൻ
अवकल ज्यामिति,ഡിഫറൻഷ്യൽ ജ്യാമിതി
उच्चतर कोटि का अवकल,ഉയർന്ന ക്രമത്തിന്റെ വ്യത്യാസം
अवकल खंड,ഡിഫറൻഷ്യൽ ഘടകം
अवकलन करना,വേർതിരിക്കുക
"विभेदन, अवकलन",വ്യത്യാസം
अवकलन सूत्र,ഡിഫറൻഷ്യേഷൻ ഫോർമുല
सदिश का अवकलन,വെക്റ്ററിന്റെ വ്യത്യാസം
"विसरण, विसार",വ്യാപനം
"अंक, व्यास का द्वादशांश, अंगुलि",അക്കം
अंकीय अभिकलित्र,ഡിജിറ്റൽ കമ്പ്യൂട്ടർ
अंकीय दत्त,ഡിജിറ്റൽ ഡാറ്റ
" विस्तार, लंबाई-चौड़ाई, विमा , घात",മാനം
विमीयता,മാനം
"विमाहीन, अविम",അളവില്ലാത്ത
समीकरण विमा,ഒരു സമവാക്യത്തിന്റെ അളവ്
डायोफैन्टस का समीकरण,diophantine സമവാക്യം
नति कोण,മുക്കി കോൺ
द्वियुग्मध्रुवी निर्देशांक,ഡിപോളാർ കോർഡിനേറ്റുകൾ
द्विध्रुव,ദ്വിധ്രുവം
द्विपिरामिड,ഡിപിരമിഡ് (ബൈപിരമിഡ്)
डिरैक डेल्टा फलन,ഡിറാക് ഡെൽറ്റ ഫംഗ്‌ഷൻ
उभयनिष्ठ अनुस्पर्श रेखा,നേരിട്ടുള്ള പൊതു ടാൻജെന്റ്
दिष्ट कोण,സംവിധാനം ആംഗിൾ
दिष्ट रेखा,സംവിധാനം ചെയ്ത ലൈൻ
दिक्-अवकलज,ദിശാസൂചന ഡെറിവേറ്റീവ്
"दिक्कोज्या, दिक्-कोसाइन",ദിശ കോസൈൻ
उच्चिष्ठ की दिशा,മാക്സിമയുടെ ദിശ
प्रक्षेपण दिशा,പ്രൊജക്ഷന്റെ ദിശ
दिक्-अनुपात,ദിശ അനുപാതം
नियामक वृत्त,ഡയറക്ടർ സർക്കിൾ
नियामक गोला,ഡയറക്ടർ മണ്ഡലം
अनुलोम गुणनफल,നേരിട്ടുള്ള ഉൽപ്പന്നം
" प्रत्यक्ष प्रमाण , प्रत्यक्ष उपपत्ति",നേരിട്ടുള്ള തെളിവ്
अनुक्रमानुपात,നേരിട്ടുള്ള അനുപാതം
नियता,ഡയറക്‌ട്രിക്സ്
अनुलोम योगफल,നേരിട്ടുള്ള തുക
असंबद्‌ध समुच्चय,വിച്ഛേദിച്ച സെറ്റുകൾ
" असांतत्य , असातत्य , भंग",നിർത്തലാക്കൽ
अवकलज का असांतत्य,ഡെറിവേറ്റീവിന്റെ നിർത്തലാക്കൽ
प्रथम प्रकार का असांतत्य,ആദ്യ തരത്തിലുള്ള നിർത്തലാക്കൽ
द्वितीय प्रकार का असांतत्य,രണ്ടാമത്തെ തരത്തിലുള്ള നിർത്തലാക്കൽ
असंतत वितरण,തുടർച്ചയായ വിതരണം
असंतत फलन,തുടർച്ചയായ പ്രവർത്തനം
असंतत विचर,തുടർച്ചയായ വേരിയേറ്റ്
विविक्त,വ്യതിരിക്തമായ
असंतत बंटन,വ്യതിരിക്തമായ വിതരണം
असंतत प्रायिकता बंटन,ഡിസ്ക്രീറ്റ് പ്രോബബിലിറ്റി ഡിസ്ട്രിബ്യൂഷൻ
असंतत यादृच्छिक चर,ഡിസ്ക്രീറ്റ് റാൻഡം വേരിയബിൾ
असंतत प्रतिदर्श समष्टि,വ്യതിരിക്ത സാമ്പിൾ സ്ഥലം
विविक्त समुच्चय,വ്യതിരിക്തമായ സെറ്റ്
विविक्त समष्टि,വ്യതിരിക്ത സ്ഥലം
विविक्त संस्थिति,വ്യതിരിക്ത ടോപ്പോളജി
असंतत विचर,വ്യതിരിക്തമായ വ്യതിയാനം
विविक्तकर,വിവേചനം
विविक्तकर विश्लेषण,വിവേചനപരമായ വിശകലനം (=വിവേചന വിശകലനം)
असंयुक्त,വേർപിരിയുക
असंयुक्त घटना,പരസ്പരവിരുദ്ധമായ സംഭവങ്ങൾ
असंयुक्त समुच्चय,വിഭജന സെറ്റുകൾ
असंयुक्त सम्मिलन,അവ്യക്തമായ യൂണിയൻ
" वियोजन , तर्क-संगत योग",വിച്ഛേദനം
" परिक्षेपण , प्रकीर्णन",വിസരണം
परिक्षेपण संचित्र,ഡിസ്പേർഷൻ ചാർട്ട്
परिक्षेपणांक,വിസരണം സ്ഥിരമായ
परिक्षेपण-आरेख,ഡിസ്പർഷൻ ഡയഗ്രം
परिक्षेपण-मैट्रिक्स,ഡിസ്പർഷൻ മാട്രിക്സ് (=കോവേരിയൻസ് മാട്രിക്സ്)
विस्थापन,സ്ഥാനമാറ്റാം
प्रदर्श,ഡിസ്പ്ലേ
कन्सोल,ഡിസ്പ്ലേ യൂണിറ്റ് (=കൺസോൾ)
"असमरूप, असमान",സമാനതകളില്ലാത്ത
क्षयकारी बल,വിഘടിപ്പിക്കുന്ന ശക്തികൾ
दूरी-फलन,ദൂരം പ്രവർത്തനം
दूरी-मापांक,ദൂരം മോഡുലസ്
बंटन-निरपेक्ष,വിതരണ രഹിത രീതി
"वितरण-नियम, बंटननियम",വിതരണ നിയമം
"अपसारित करना, अपसारित होना",വ്യതിചലിക്കുക
" अपसरण, अपसारिता , डाइवर्जेन्स",വ്യതിചലനം
अपसरण प्रमेय,വ്യതിചലന സിദ്ധാന്തം
अपसारी,വ്യത്യസ്തമായ
अपसारी श्रेणी,വ്യത്യസ്‌ത പരമ്പര
विभाजित अंतर,വിഭജിച്ച വ്യത്യാസം
"भाज्यता, विभाज्यता",വിഭജനം
"भाज्य, विभाज्य",ഹരിക്കാവുന്ന
" भाग, प्रभाग , विभाजन",ഡിവിഷൻ
विभाजन-कलन विधि,ഡിവിഷൻ അൽഗോരിതം
विभाजन-वलय,ഡിവിഷൻ റിംഗ്
द्वादशभुज,ഡോഡെകഗൺ
द्वादशफलक,ഡോഡെകാഹെഡ്രോൺ
" प्रक्षेत्र , डोमेन, प्रांत , प्रदेश",ഡൊമെയ്ൻ
फलन का प्रांत,ഒരു ഫംഗ്ഷന്റെ ഡൊമെയ്ൻ
परिभाषा-प्रांत,നിർവചനത്തിന്റെ ഡൊമെയ്ൻ
अस्तित्व-प्रांत,അസ്തിത്വത്തിന്റെ ഡൊമെയ്ൻ
अभिभावी युक्ति,പ്രബലമായ തന്ത്രം
डॉप्लर प्रभाव,ഡോപ്ലർ പ്രഭാവം
"बिन्दु-गुणनफल, अदिशगुणनफल",ഡോട്ട് ഉൽപ്പന്നം
बिन्दुकित वक्र,കുത്തുകളുള്ള വക്രം
द्विशः अवकलन,ഇരട്ട വ്യത്യാസം
द्विक चरघातांकीय बंटन,ഇരട്ട എക്‌സ്‌പോണൻഷ്യൽ ഡിസ്ട്രിബ്യൂഷൻ
द्विकुंडली,ഇരട്ട ഹെലിക്സ്
द्विशः समाकल,ഇരട്ട ഇന്റഗ്രൽ
द्विशः समाकलन,ഇരട്ട സംയോജനം
द्विक सीमा,ഇരട്ട പരിധി
द्विशः प्रतिचयन आयोजन,ഇരട്ട സാമ്പിൾ പ്ലാൻ
द्विक अनुक्रम,ഇരട്ട ക്രമം
द्विक श्रेणी,ഇരട്ട പരമ്പര
द्वि-अनुलग्नी संकेतन,ഇരട്ട പ്രത്യയ നൊട്ടേഷൻ
द्विक संकलन,ഇരട്ട സംഗ്രഹം
अधोमुखी त्वरण,താഴേക്കുള്ള ത്വരണം
अधोमुखी विस्थापन,താഴേക്കുള്ള സ്ഥാനചലനം
अधोमुखी गति,താഴേക്കുള്ള ചലനം
अधोमुखी वेग,താഴേക്കുള്ള വേഗത
कर्षण,വലിച്ചിടുക
कर्षण-बल,ഡ്രാഗ് ഫോഴ്സ്
"द्वैती द्वैती,",ഇരട്ട
द्वैत आधार,ഇരട്ട അടിസ്ഥാനം
द्वैत आंतरिक गुणनफल,ഇരട്ട ആന്തരിക ഉൽപ്പന്നം
द्वैती रैखिक प्रोग्रामन समस्या,ഡ്യുവൽ ലീനിയർ പ്രോഗ്രാമിംഗ് പ്രശ്നം
" द्वि प्रचालन , द्वैती संक्रिया",ഇരട്ട പ്രവർത്തനം
द्वैत समस्या,ഇരട്ട പ്രശ്നം
द्वैत एकल कलन-विधि,ഡ്യുവൽ സിംപ്ലക്സ് അൽഗോരിതം
द्वैत एकल प्रविधि,ഡ്യുവൽ സിംപ്ലക്സ് ടെക്നിക്
द्वैत समष्टि,ഡ്യുവൽ സ്പേസ്
द्वैत चर,ഡ്യുവൽ വേരിയബിൾ
द्वैत सदिश समष्टि,ഡ്യുവൽ വെക്റ്റർ സ്പേസ്
मूक सूचकांक,ഡമ്മി സൂചിക
मूक पादांक,ഡമ്മി സബ്സ്ക്രിപ്റ്റ്
मूक अनुबंध,ഡമ്മി പ്രത്യയം
मूक चर,ഡമ്മി വേരിയബിൾ
अनुलिपि-प्रक्रम,ഡ്യൂപ്ലിക്കേറ്റർ പ്രക്രിയ
गतिकीय,ചലനാത്മകം
गतिकीय तंत्र,ചലനാത്മക സംവിധാനം
गतिक मांग फलन,ഡൈനാമിക് ഡിമാൻഡ് ഫംഗ്ഷൻ
गत्यात्मक निदर्श,ഡൈനാമിക് മോഡൽ
गत्यात्मक प्रोग्रामन,ഡൈനാമിക് പ്രോഗ്രാമിംഗ്
गतिशील प्रोग्रामन उपगमन,ഡൈനാമിക് പ്രോഗ്രാമിംഗ് സമീപനം
गतिशील प्रोग्रामन प्रविधि,ഡൈനാമിക് പ്രോഗ്രാമിംഗ് ടെക്നിക്
"गतिविज्ञान, गतिकी",ചലനാത്മകത
कण-गतिकी,ഒരു കണത്തിന്റെ ചലനാത്മകത
दृढ़ पिंड गतिकी,ദൃഢമായ ശരീരങ്ങളുടെ ചലനാത്മകത
" भू, पृथ्वी, भूमि , मत्तिृ का, मदृा , भू संपर्कित करना, भूसंपर्क करना (क्रि.)",ഭൂമി
भूकंप तीव्रता,ഭൂകമ്പ തീവ്രത
उत्केंद्रता,ഉത്കേന്ദ്രത
ग्रहण,ഗ്രഹണം
अर्थमितीय पूर्वानुमान,ഇക്കണോമെട്രിക് പ്രവചനം
अर्थमितिज्ञ,സാമ്പത്തിക ശാസ്ത്രജ്ഞൻ
अर्थमिति,ഇക്കണോമെട്രിക്സ്
अर्थशास्त्र,സാമ്പത്തികശാസ്ത്രം
"कोर, किनारा, अश्रि",അറ്റം
अवमुख समुच्चय कोर,ഒരു കുത്തനെയുള്ള സെറ്റിന്റെ അറ്റം
दक्षतांक,കാര്യക്ഷമത ഘടകം
अभिलक्षणिक अवयव,ഈജൻ മൂലകം
अभिलक्षणिक फलन,ഈജൻ പ്രവർത്തനം
"आइगेन मान, अभिलक्षणिक मान",ഈജൻ മൂല്യം
अभिलक्षणिक मान समीकरण,ഈജൻ മൂല്യ സമവാക്യം
"आइगेन वेक्टर, अभिलक्षणिक सदिश",ഈജൻ വെക്റ്റർ
प्रत्यास्थ,ഇലാസ്റ്റിക്
प्रत्यास्थतांक,ഇലാസ്റ്റിക് സ്ഥിരാങ്കം
प्रत्यास्थ साम्यावस्था,ഇലാസ്റ്റിക് സന്തുലിതാവസ്ഥ
प्रत्यास्थता,ഇലാസ്തികത
प्रत्यास्थता-पृष्ठ,ഇലാസ്തികത ഉപരിതലം
"इलेक्ट्रॉनिक अभिकलित्र, इलेक्ट्रॉनिक कम्प्यूटर",ഇലക്ട്രോണിക് കമ്പ്യൂട്ടർ
" तत्व , अल्पांश , अवयव",ഘടകം
प्रारंभिक स्तंभ संक्रिया,പ്രാഥമിക നിര പ്രവർത്തനം
प्रारंभिक घटना,പ്രാഥമിക സംഭവം
प्रारंभिक फलन,പ്രാഥമിക പ്രവർത്തനം
प्रारंभिक संक्रिया,പ്രാഥമിക പ്രവർത്തനം
प्रारंभिक परिणाम,പ്രാഥമിക ഫലം
प्रारंभिक प्रायिकता नियम,പ്രാഥമിക സാധ്യത നിയമം
प्रारंभिक पंक्ति संक्रिया,പ്രാഥമിക വരി പ്രവർത്തനം
"विलुप्त करना, विलोपन करना,",ഇല്ലാതെയാക്കുവാൻ
निराकरण प्रक्रिया,ഒഴിവാക്കൽ നടപടിക്രമം
"दीर्घवृत्त, इलिप्स",ദീർഘവൃത്തം
दीर्घवृत्तज,ദീർഘവൃത്താകൃതിയിലുള്ള
दीर्घवृत्तजीय,ദീർഘവൃത്താകൃതിയിലുള്ള
दीर्घवृत्तजीय पृष्ठ,ദീർഘവൃത്താകൃതിയിലുള്ള ഉപരിതലം
दीर्घवृत्ताकार पिंड,ദീർഘവൃത്താകൃതിയിലുള്ള ശരീരം
अंतःस्थापन,ഉൾച്ചേർക്കൽ
उत्सर्जन,ഉദ്വമനം
आनुभविक न्यास,അനുഭവപരമായ ഡാറ്റ
मूलानुपाती सूत्र,അനുഭവ സൂത്രവാക്യം
आनुभविक प्रायिकता,അനുഭവപരമായ സംഭാവ്യത
आऩुभविक संबंध,അനുഭവപരമായ ബന്ധം
रिक्त समुच्चय,ശൂന്യമായ സെറ്റ്
परिबद्‌ध,അടച്ചിരിക്കുന്നു
"कूटलेखन, कोडन",എൻകോഡിംഗ്
अंतराकारिता,എൻഡോമോർഫിസം
अंत्य बिंदु,അവസാന പോയിന്റ്
वर्गांतराल के अंत्य बिंदु,ക്ലാസ് ഇടവേളയുടെ അവസാന പോയിന്റ്
ऊर्जा,ഊർജ്ജം
ऊर्जा-संवेग घटक,ഊർജ്ജ ആക്കം ഘടകം
प्रवेशी चर,വേരിയബിളിലേക്ക് പ്രവേശിക്കുന്നു
गणनीय समुच्चय,എണ്ണാവുന്ന കൂട്ടം
