Assamese,Telugu
যুগ সৃষ্টিকাৰী অনুষ্ঠান,యుగాన్ని సృష్టించే సంఘటన
যুগ সৃষ্টিকাৰী মানুহ,యుగపురుషుడు
ইপ&#39;নিম,పేరుపేరు
ইকুৱেৰী,ఎక్వెరీ
ইকুৱেৰী,ఎక్వెరీ
অশ্বাৰোহীৰ মূৰ্তি,గుర్రపుస్వారీ విగ్రహం
যুগ,యుగం
এৰগাষ্টুলাম,ఎర్గస్టులం
ইউখাৰিষ্ট,యూకారిస్ట్
ইভানজেলিজম,సువార్తవాదం
ইভানজেলিকেল আন্দোলন,సువార్త ఉద్యమం
ইভানজেলিষ্ট,మత ప్రచారకుడు
Exarch,Exarch
এক্সাইলাৰ্ক,Exilarch
ফেলেংগিষ্ট,ఫలాంగిస్ట్
পিতৃ ভূমি,తండ్రి భూమి
পিতৃ ভূমি,తండ్రి భూమి
ফেৰিয়া,ఫెరియాయే
ফেটিছ,ఫెటిష్
সামন্তীয় হোল্ডিংছ,ఫ్యూడల్ హోల్డింగ్స్
সামন্তবাদ (=সামন্তীয় ব্যৱস্থা),ఫ్యూడలిజం (=ఫ్యూడల్ వ్యవస్థ)
সামন্তীয় ব্যৱস্থা,భూస్వామ్య వ్యవస్థ
সামন্তীয়,భూస్వామ్య
ফিডেই ডিফেন্সৰ (=বিশ্বাসৰ ৰক্ষক),ఫిడే డిఫెన్సర్ (=డిఫెండర్ ఆఫ్ ది ఫెయిత్)
ফিফ,ఫైఫ్
ক্ষেত্ৰ ব্যৱস্থা,ఫీల్డ్ సిస్టమ్
পোন্ধৰতম কৰ,పదిహేనవ పన్ను
চিত্ৰৰ মূৰ,ఫిగర్ హెడ్
ফিন ডি ছিকেল,ఫిన్ డి సైకిల్
জুই খোৱা,అగ్ని తినేవాడు
পাঁচ মাইল আইন,ఫైవ్ మైల్ చట్టం
পতাকা,జెండా
ফ্লেমেন ডায়েলিছ,ఫ్లేమెన్ డయాలిస్
ফ্লেমেন মাৰ্চিয়ালিছ,ఫ్లేమెన్ మార్టియాలిస్
জ্বলি থকা টৰ্চ,జ్వలించే జ్యోతి
ফ্লেংক,పార్శ్వము
ফ্লেংকিং মুভমেণ্ট,పార్శ్వ కదలిక
ফুলি উঠা সভ্যতা,వర్ధిల్లుతున్న నాగరికత
নদীবাদী বিশ্বাস,ఫ్లూవియలిస్టిక్ నమ్మకం
লোক দেৱতা,జానపద దేవుడు
লোক দেৱী,జానపద దేవత
লোক স্মৃতি,జానపద జ్ఞాపకం
লোক মিথ (=folklore),జానపద పురాణం (=జానపదం)
খাদ্য বিচাৰি ফুৰা,మేత వెదకడం
আক্ৰমণ,ఫోరే
পূৰ্বপুৰুষ,ముందరివాడు
পূৰ্বপুৰুষ,పూర్వీకుడు
আগশাৰীৰ,ముందున్నవాడు
নিঃসংগ আশা,చితికిపోయిన ఆశ
গঠনমূলক পৰ্যায়,నిర్మాణ దశ
দুৰ্গ,కోట
দুৰ্গ নিৰ্মাণ,కోట
দুৰ্গম চহৰ,పటిష్టమైన పట్టణం
দুৰ্গ,కోట
ফৰ্তুনা,ఫార్చ్యూనా
ফ&#39;ৰাম ৰোমানম,ఫోరమ్ రోమనుమ్
ফ্ৰান্সিস্কান,ఫ్రాన్సిస్కాన్
ফ্ৰেংকলিন,ఫ్రాంక్లిన్
ভাতৃঘাতী যুদ্ধ,భ్రాతృహత్య యుద్ధం
ফ্ৰী চাৰ্চ,ఉచిత చర్చి
ফ্ৰীহোল্ডাৰ,ఫ్రీహోల్డర్
ফ্ৰীলান্স সৈনিক,స్వతంత్ర సైనికుడు
ফ্ৰীলান্স সৈনিক,స్వతంత్ర సైనికుడు
ফ্ৰীমেন,ఫ్రీమాన్
ফ্ৰীমেন,ఫ్రీమాన్
ফ্ৰীপাছ,ఫ్రీపాస్
ফৰাচী বিপ্লৱ,ఫ్రెంచ్ విప్లవం
ফ্ৰাইয়াৰ,సన్యాసి
ফ্ৰিয়াছিয়ান ভাড়াতীয়া,ఫ్రైసియన్ కిరాయి సైనికులు
সীমান্ত&#39;এ মানুহ,సరిహద్దు మనిషి
গেলিয়ন,గాలియన్
গ্যালিকান (=গ্যালিকানিষ্ট),గల్లికన్ (=గల్లికనిస్ట్)
গ্যালিকানিজম,గల్లికానిజం
গেৰিছন,దండు
গল,గౌల్
গাউণ্টলেট,గాంట్లెట్
গাউণ্টলেট,గాంట్లెట్
গেজেবো,గెజిబో
গেজেবো,గెజిబో
গেজেবো,గెజిబో
বংশাৱলীৰ ইতিহাস,వంశ చరిత్ర
বংশাৱলীৰ ৰেকৰ্ড,వంశపారంపర్య రికార్డు
বংশাৱলীৰ তালিকা,వంశపారంపర్య పట్టిక
বংশাৱলীৰ গছ,వంశవృక్షం
বংশাৱলী,వంశావళి
বংশাৱলী,వంశావళి
প্ৰজন্ম,తరం
গণহত্যা,మారణహోమం
অনা-ইহুদী,అన్యజనుడు
অনা-ইহুদী,అన్యజనుడు
অনা-ইহুদী,అన్యజనుడు
অনা-ইহুদী,అన్యజనుడు
গেট্টো,ఘెట్టో
গেট্টো,ఘెట్టో
গিবেট,గిబ్బెట్
গিল্ড (=গিল্ড),గిల్డ్ (=గిల్డ్)
গ্লেডিয়েটাৰ,గ్లాడియేటర్
গৌৰৱময় বিপ্লৱ,అద్భుతమైన విప్లవం
গোল্ডেন হৰ্ড,గోల్డెన్ హోర్డ్
গ্ৰেণ্ড এলায়েন্স,మహా కూటమి
গ্ৰেণ্ডী,గ్రాండీ
গ্ৰেণ্ড চাইন&#39;ৰ,గ్రాండ్ సిగ్నర్
গ্ৰেণ্ড চাইন&#39;ৰ,గ్రాండ్ సిగ్నర్
মহান গৃহযুদ্ধ,గొప్ప అంతర్యుద్ధం
মহান প্ৰস্থান (বুদ্ধৰ),గొప్ప నిష్క్రమణ (బుద్ధుని)
বৃহত্তৰ ভাৰত,గ్రేటర్ ఇండియా
গ্ৰেট হেলাছ,గ్రేట్ హెల్లాస్
গ্ৰেট হৰ্ড,గ్రేట్ హోర్డ్
মহান পৰিত্যাগ (=মহান প্ৰস্থান),గొప్ప పరిత్యాగం (=గొప్ప నిష్క్రమణ)
গ্ৰেট ছিল,గొప్ప ముద్ర
গ্ৰেট ট্ৰেক,గ్రేట్ ట్రాక్
গ্ৰেট ভেহিকেল,గొప్ప వాహనం
চীনৰ গ্ৰেট ৱাল,గ్రేట్ వాల్ ఆఫ్ చైనా
গ্ৰেভ,గ్రీవ్
গাৰ্ড-চেম্বাৰ,గార్డ్-ఛాంబర్
গাৰ্ড-চেম্বাৰ,గార్డ్-ఛాంబర్
গাৰ্ড-চেম্বাৰ,గార్డ్-ఛాంబర్
গুপ্তাছ,గుప్తులు
হেজিঅ’গ্ৰাফী,హాజియోగ్రఫీ
হেজিঅ’গ্ৰাফী,హాజియోగ్రఫీ
হেজিঅ’লজি,హగియాలజీ
হেজিঅ’লজি,హగియాలజీ
ব্যক্তিগত দৰ্শকৰ হল,ప్రైవేట్ ప్రేక్షకుల హాల్
ৰাজহুৱা দৰ্শকৰ হল,పబ్లిక్ ప్రేక్షకుల హాల్
হেচমেণ্ট,హాచ్మెంట్
হেথেন,హీతేన్
হেথেন,హీతేన్
হেথেনিজম,హీతేనిజం
হেগিৰা (হেজেৰা),హెగిరా (హెజెరా)
হেলেনিজম,హెలెనిజం
হেলট,హెలట్
হেৰাল্ড্ৰি,హెరాల్డ్రీ
ঐতিহ্য,వారసత్వం
হাইৰ’গ্লিফিক ৰৈখিক আখৰ,చిత్రలిపి సరళ అక్షరాలు
হাইৰ&#39;গ্লিফিক লিপি,చిత్రలిపి స్క్రిప్ట్
হাই চাৰ্চ,హై చర్చి
হাই লেণ্ডাৰ,హై ల్యాండర్
হিন্দু ধৰ্ম,హిందూమతం
ইতিহাসবিদ,చరిత్రకారుడు
ইতিহাসবিদ,చరిత్రకారుడు
ঐতিহাসিক বস্তুবাদ,చారిత్రక భౌతికవాదం
ঐতিহাসিক যুগ,చారిత్రక యుగం
ঐতিহাসিক সীমান্ত,చారిత్రక సరిహద్దు
ইতিহাসবিদ,చరిత్రకారుడు
ইতিহাসবিদ,చరిత్రకారుడు
ইতিহাস লেখা,చరిత్ర చరిత్ర
ইতিহাস লেখা,చరిత్ర చరిత్ర
ইতিহাস,చరిత్ర
হিট্টী সাম্ৰাজ্য,హిట్టైట్ సామ్రాజ్యం
পবিত্ৰ মিত্ৰতা,పవిత్ర కూటమి
পবিত্ৰ নগৰ,పవిత్ర నగరం
পবিত্ৰ নগৰ,పవిత్ర నగరం
পবিত্ৰ ভূমি,పవిత్ర భూమి
পবিত্ৰ ভূমি,పవిత్ర భూమి
হলি লীগ,హోలీ లీగ్
হলি লীগ,హోలీ లీగ్
পবিত্ৰ ৰোমান সাম্ৰাজ্য (=The Empire),పవిత్ర రోమన్ సామ్రాజ్యం (=సామ్రాజ్యం)
পবিত্ৰ সাগৰ,పవిత్ర సముద్రం
পবিত্ৰ সাগৰ,పవిత్ర సముద్రం
পবিত্ৰ যুদ্ধ,పవిత్ర యుద్ధం
পবিত্ৰ যুদ্ধ,పవిత్ర యుద్ధము
গৃহ চৰকাৰ,హోం ప్రభుత్వం
হোম গাৰ্ড,హోంగార్డు
গৃহভূমি,జన్మభూమి
গৃহ শাসন,గృహ నియమం
হোম ৰুল,హోమ్ రూల్
হৰ্ড,గుంపు
হৰ্ড,గుంపు
শত্ৰুতাপূৰ্ণ দেশ,శత్రు దేశం
শত্ৰুতাপূৰ্ণ ভূমি,శత్రుభూమి
hot pursuit,వేడి ముసుగులో
ঘৰ,ఇల్లు
ঘৰ,ఇల్లు
হাউচ অৱ কমনছ,హౌస్ ఆఫ్ కామన్స్
হাউচ অৱ লৰ্ডছ,హౌస్ ఆఫ్ లార్డ్స్
প্ৰতিনিধি সদন,ప్రతినిధుల సభ
হুগুয়েনট,హ్యూగ్నోట్స్
মানৱতাবাদ,మానవతావాదం
মানৱতাবাদী,మానవతావాది
শত Yesrs&#39; যুদ্ধ,హండ్రెడ్ యెస్సర్స్ వార్
হাংকাৰ,హంకర్
ইবাদাত খানা (পূজাৰ ঘৰ),ఇబాదత్ ఖానా (ఆరాధనా గృహం)
আইকনক্লাষ্ট,ఐకానోక్లాస్ట్
মূৰ্তিপূজক,విగ్రహారాధకుడు
ইলাহি যুগ,ఇలాహి యుగం
অবৈধ যুদ্ধ,చట్టవిరుద్ధమైన యుద్ధం
আলোকিত পাণ্ডুলিপি,ప్రకాశవంతమైన మాన్యుస్క్రిప్ట్
সচিত্ৰ পাণ্ডুলিপি,ఇలస్ట్రేటెడ్ మాన్యుస్క్రిప్ట్
সচিত্ৰ পাণ্ডুলিপি,ఇలస్ట్రేటెడ్ మాన్యుస్క్రిప్ట్
ইমাম (ইমাউম),ఇమామ్ (ఇమ్మామ్)
ইমামত,ఇమామత్
ইমামত,ఇమామత్
ইমাম্বৰা,ఇమాంబరః
ইম্পেৰিয়েল,ఇంపీరియల్
ইম্পেৰিয়েল চিটি,ఇంపీరియల్ నగరం
সাম্ৰাজ্যবাদ,సామ్రాజ్యవాదం
ইম্পেৰিয়েল পছন্দ,ఇంపీరియల్ ప్రాధాన్యత
নীতিহীনতা,అసంబద్ధం
ভণ্ড,మోసగాడు
কাৰাবাস,జైలు శిక్ష
কাৰাবাস,జైలు శిక్ష
আক্ৰমণ,చొరబాటు
আক্ৰমণকাৰী,చొరబాటుదారుడు
স্বাধীনতা,స్వాతంత్ర్యం
স্বাধীনতা দিৱস,స్వాతంత్ర్య దినోత్సవం
স্বাধীনতা প্ৰেক্ষাগৃহ,ఇండిపెండెన్స్ హాల్
ভাৰতীয় আমেৰিকান (=ৰেড ইণ্ডিয়ান=আমেৰিকান ইণ্ডিয়ান),ఇండియన్ అమెరియన్ (=రెడ్ ఇండియన్=అమెరికన్ ఇండియన్)
ইণ্ডিয়ান হোম ৰুল লীগ,ఇండియన్ హోమ్ రూల్ లీగ్
ঔদ্যোগিক বিপ্লৱ,పారిశ్రామిక విప్లవం
কাফিৰ,అవిశ్వాసం
কাফিৰ,అవిశ్వాసం
অনুপ্ৰৱেশ,చొరబాటు
অনুপ্ৰৱেশকাৰী,చొరబాటుదారుడు
তথ্যদাতা,సమాచారం ఇచ్చేవాడు
তথ্যদাতা,సమాచారం ఇచ్చేవాడు
তথ্যদাতা,ఇన్ఫార్మర్
তথ্যদাতা,ఇన్ఫార్మర్
প্ৰৱেশ,ప్రవేశము
প্ৰৱেশ,ప్రవేశము
প্ৰৱেশ,ప్రవేశము
বাসস্থান,నివాసం
বাসিন্দা,నివాసి
উত্তৰাধিকাৰ,వారసత్వం
উত্তৰাধিকাৰ,వారసత్వం
উত্তৰাধিকাৰ,వారసత్వం
শিলালিপি,శాసనం
চিহ্ন,చిహ్నము
যোগদানৰ যন্ত্ৰ,ప్రవేశ పరికరం
চৰকাৰৰ আহিলা,ప్రభుత్వ సాధనం
বিদ্ৰোহ (বিদ্ৰোহ),తిరుగుబాటు (తిరుగుబాటు)
বিদ্ৰোহী,తిరుగుబాటుదారుడు
বিদ্ৰোহ,తిరుగుబాటు
বিদ্ৰোহ,తిరుగుబాటు
সংহতি,అనుసంధానం
ৰেকৰ্ডৰ অখণ্ডতা,రికార్డుల సమగ్రత
ৰাজ্যসমূহৰ অখণ্ডতা,రాష్ట్రాల సమగ్రత
বুদ্ধিমান (Intelligentzia),మేధావి (ఇంటెలిజెంట్జియా)
মধ্যস্থতা,మధ్యవర్తిత్వం
মধ্যস্থতাকাৰী,మధ్యవర్తి
মধ্যস্থতাকাৰী,మధ్యవర్తి
আন্তৰ্জাতিকতাবাদ,అంతర్జాతీయవాదం
আন্তৰ্জাতিকতাবাদ,అంతర్జాతీయవాదం
আন্তৰ্জাতিকতাবাদী,అంతర్జాతీయవాది
আন্তঃসংযোগী যুদ্ধ,అంతర్గత యుద్ధం
ইণ্টাৰনী,ఇంటర్నీ
ইণ্টাৰনী,ఇంటర్నీ
ইণ্টাৰনী শিবিৰ,ఇంటర్నీ క్యాంపు
আৱদ্ধ কৰি ৰখা,ఇంటర్న్మెంట్
আৱদ্ধ কৰি ৰখা,ఇంటర్న్మెంట్
আৱদ্ধ কৰি ৰখা,ఇంటర్న్మెంట్
Internuncio,ఇంటర్నేషనల్
ব্যাখ্যাকৰোতা,వ్యాఖ్యాత
ব্যাখ্যাকৰোতা,వ్యాఖ్యాత
ব্যাখ্যাকৰোতা,వ్యాఖ్యాత
হস্তক্ষেপ,జోక్యం
ইনটেষ্টেচি,ఇంటస్టేసి
ইনটেষ্টেট,పేగు
কুটিলতা,చమత్కారం
অনুপ্ৰৱেশকাৰী,చొరబాటుదారుడు
অনুপ্ৰৱেশকাৰী,చొరబాటుదారుడు
অনুপ্ৰৱেশ,చొరబాటు
আক্ৰমণ,దండయాత్ర
আক্ৰমণ,దండయాత్ర
বিনিয়োগ কৰা,పెట్టుబడి
বিনিয়োগ কৰা,పెట్టుబడి
বিনিয়োগ কৰা,పెట్టుబడి
বিনিয়োগ কৰা,పెట్టుబడి
বিনিয়োগ,పెట్టుబడి
বিনিয়োগ,పెట్టుబడి
বিনিয়োগ,పెట్టుబడి
বিনিয়োগ অনুষ্ঠান,పెట్టుబడి వేడుక
জাতীয়তাৰ সৈতে বিনিয়োগ কৰক,జాతీయతతో పెట్టుబడి పెట్టండి
অজেয় আৰ্মাডা,ఇన్విన్సిబుల్ ఆర్మడ
অলংঘনীয়তা (ৰাষ্ট্ৰৰ),ఉల్లంఘన (రాష్ట్రం)
অলংঘিত অৱস্থা,ఉల్లంఘించిన స్థితి
অক্ষম দুৰ্গ,అభేద్యమైన కోట
লোৰ যুগ,ఇనుప యుగం
লোহাৰ পৰ্দা,ఇనుప తెర
লোহাৰ ৰক্ষক,ఐరన్ గార్డ్
লোহাৰ ৰেচন,ఇనుము రేషన్లు
লোহাৰ কাষ,ఇనుప వైపులా
লোহাৰ টিপযুক্ত কাঁড়,ఇనుప చిట్కా బాణం
ইষ্টমিয়ান খেল,ఇస్త్మియన్ ఆటలు
জেনিছাৰী,జానిసరీ
জেনিটৰ,కాపలాదారు
জেনিটৰ,కాపలాదారు
জেভেলিন,జావెలిన్
জিম ক&#39;ৰ&#39; ল&#39;ছ,జిమ్ క్రో చట్టాలు
জিংগো,జింగో
জিংগো,జింగో
জিংগো,జింగో
জিংগোবাদ,జింగోయిజం
যৌথ ব্যৱস্থা,ఉమ్మడి చర్య
যৌথ নিয়ন্ত্ৰণ,ఉమ్మడి నియంత్రణ
যৌথ দখল,ఉమ్మడి ఆక్యుపెన్సీ
জুৰী,జ్యూరీ
মাত্ৰ কাৰণ,కారణం మాత్రమే
ৰাখক,ఉంచండి
আৰ্কাইভৰ ৰক্ষক,ఆర్కైవ్స్ కీపర్
কেটলি-ড্ৰাম,కెటిల్-డ్రమ్
মূল শব্দ,కీలక పదం
ৰজা,రాజు
ৰাজ্য,రాజ్యం
কিংলেট,కింగ్లెట్
ৰজা নিৰ্মাতা,కింగ్ మేకర్
ৰজাৰ পদ,రాజ్యాధికారం
ৰজাৰ পদ,రాజ్యాధికారం
পাকঘৰৰ কেবিনেট,కిచెన్ క్యాబినెట్
ৰজা,నైట్
ৰজাৰত্ব,రాజ్యం
Kinghts হস্পিতালৰ লোক,కింగ్స్ హాస్పిటల్స్
নাইটছ অৱ চেণ্ট জন,నైట్స్ ఆఫ్ సెయింట్ జాన్
নাইট টেম্পলাৰ,నైట్ టెంప్లర్
কু ক্লাক্স ক্লান (KKK),కు క్లక్స్ క్లాన్ (KKK)
কুমিনতাং,కుమింటాంగ్
লেইটি,లౌకికత్వం
লেন্স,లాన్స్
লেন্সাৰ,లాన్సర్
পিছলৈ গুপ্তাছ,తరువాత గుప్తులు
বৈধ উত্তৰাধিকাৰী,చట్టబద్ధమైన వారసుడు
আইন-শৃংখলাহীনতা (=বিকাৰ),చట్టవిరుద్ధం (=అక్రమం)
আইন-শৃংখলাহীনতা (=বিকাৰ),చట్టవిరుద్ధం (=అక్రమం)
আইন প্ৰভুসকল,చట్ట ప్రభువులు
ধৰ্মপৰায়ণতাৰ নিয়ম,భక్తి చట్టం
লীগ অৱ নেচনছ,దేశముల సమాహారం
লিগেচি (=উইল),లెగసీ (=బిక్వెస్ట్)
লিগেচি (=উইল),లెగసీ (=బిక్వెస్ట్)
আইনী উত্তৰাধিকাৰী,చట్టపరమైన వారసుడు
লেগেট,చట్టబద్ధత
লেগেট,చట్టబద్ధత
লেগেট,చట్టబద్ధత
কিংবদন্তী,లెజెండ్
কিংবদন্তী,లెజెండ్
লিজিয়ন,లెజియన్
লিজিয়ন,లెజియన్
লিজিয়ন অৱ অনাৰ,లెజియన్ ఆఫ్ ఆనర్
লেচে মহিমা (=lese majeste),లెస్ మెజెస్టి (=లెస్ మెజెస్టే)
ক্ষুদ্ৰ ৰাজ্য,తక్కువ రాష్ట్రాలు
বিশ্বাসযোগ্যতাৰ পত্ৰ,విశ్వసనీయత లేఖలు
লিয়েজ-লৰ্ড,లీజ్-లార్డ్
লিয়েজ মানুহ,లీజ్ మనిషి
লিয়েজ মানুহ,లీజ్ మనిషి
আজীৱন কাৰাদণ্ড,జీవిత ఖైదు
বংশ,వంశం
লিটিল ইংলেণ্ডৰ,లిటిల్ ఇంగ్లాండు
লিটল ভেহিকেল (=ক্ষুদ্ৰ বাহন),చిన్న వాహనం (=తక్కువ వాహనం)
উপকূলীয় অৱস্থা,లిటోరల్ రాష్ట్రం
লিটাৰ্জী,ప్రార్ధనలు
লিটাৰ্জী,ప్రార్ధన
স্থানীয় আনুগত্য,స్థానిక విధేయత
স্থানীয়-আত্ম চৰকাৰ,స్థానిక-స్వయం ప్రభుత్వం
দীঘলীয়া সংসদ,సుదీర్ఘ పార్లమెంటు
নিম্ন দেশ,తక్కువ దేశాలు
অনুগত,విశ్వాసపాత్రుడు
আনুগত্য,విధేయత
মেকিয়াভেলিয়ান নীতি,మాకియవెల్లియన్ విధానం
মেগনা কাৰ্টা,మాగ్నా కార్టా
মেগনাম কনচিলিয়াম,మాగ్నమ్ కన్సిలియం
মালুম প্ৰহিবিটাম,మలం నిషేధం
মাণ্ডামছ,మాండమస్
আদেশ,ఆదేశం
"আদেশ, ক্লাছ &#39;ক&#39;।","ఆదేశం, తరగతి &#39;A&#39;"
"আদেশ, ক্লাছ &#39;খ&#39;।","ఆదేశం, తరగతి &#39;B&#39;"
"আদেশ, শ্ৰেণী &#39;গ&#39;।","ఆదేశం, తరగతి &#39;సి&#39;"
আদেশ ব্যৱস্থা,ఆదేశ వ్యవస్థ
বাধ্যতামূলক ৰাজ্য,తప్పనిసరి స్థితి
মেংগোনেল,మాంగోనెల్
ইস্তাহাৰ,మేనిఫెస్టో
কৌশল,యుక్తులు
যুদ্ধৰ মানুহ,మ్యాన్ ఆఫ్ వార్
মেন&#39;ৰ,మనోర్
মেন&#39;ৰ,మనోర్
মানুহ-শক্তি,మానవ శక్తి
মানুহ-শক্তি,మానవ శక్తి
মানুমিচন,మాన్యుమిషన్
মনুমিত,మనుమిత్
পাণ্ডুলিপি,మాన్యుస్క్రిప్ట్
পাণ্ডুলিপি,మాన్యుస్క్రిప్ట్
পাণ্ডুলিপি,మాన్యుస్క్రిప్ట్
মাৰাউডাৰ,మారౌడర్
সামুদ্ৰিক বেল্ট,సముద్ర బెల్ట్
সামুদ্ৰিক সভ্যতা,సముద్ర నాగరికత
সামুদ্ৰিক পতাকা,సముద్ర జెండా
সামুদ্ৰিক শক্তিসমূহ,సముద్ర శక్తులు
সামুদ্ৰিক সাৰ্বভৌমত্ব,సముద్ర సార్వభౌమాధికారం
সামুদ্ৰিক যুদ্ধ,సముద్ర యుద్ధం
মাৰ্কিছ,మార్క్విస్
মাৰ্কিজেট,మార్క్విసేట్
সামৰিক আইন,మార్షల్ లా
যুদ্ধ দৌৰ,మార్షల్ రేసులు
শ্বহীদ,అమరవీరుడు
হত্যাকাণ্ড,నరమేధం
কৌশলৰ ভৰ,మాస్ యుక్తి
মাষ্টাৰ-এট-আৰ্মছ,మాస్టర్-ఎట్-ఆర్మ్స్
অনুষ্ঠানৰ মাষ্টাৰ,మాస్టర్ ఆఫ్ వేడుకలు
মাষ্টাৰ অৱ হাউচহ’ল্ড,ఇంటి యజమాని
ঘোঁৰাৰ মাষ্টাৰ,మాస్టర్ ఆఫ్ ది హార్స్
মাষ্টাৰ অৱ দ্য ৰোলছ,మాస్టర్ ఆఫ్ ది రోల్స్
মিল থকা,మ్యాచ్
মিল থকা,మ్యాచ్
মেচলক,అగ్గిపెట్టె
বৈবাহিক মিত্ৰতা,వైవాహిక మైత్రి
ভূমধ্যসাগৰীয় শক্তিসমূহ,మధ్యధరా శక్తులు
মেনশ্বেভিক,మెన్షెవిక్
ভাড়াতীয়া সেনাবাহিনী,కిరాయి సైన్యం
ভাড়াতীয়া সৈনিক,కిరాయి సైనికుడు
ব্যৱসায়ী,వ్యాపారి
মধ্যযুগ,మధ్య యుగాలు
মৈদ্ধ পূৰ্ব,మధ్యప్రాచ్యం
মধ্যম অংশ,మధ్య మార్గము
মধ্যম পথ,మధ్య మార్గం
মধ্যম পথ (=মধ্যম পথ),మధ్య మార్గం (=మిడిల్ కోర్సు)
প্ৰব্ৰজনকাৰী,వలసదారు
প্ৰব্ৰজন,వలస
প্ৰব্ৰজন,వలస
প্ৰব্ৰজন,వలస
সামৰিকতাবাদ,మిలిటరిజం
সামৰিকতাবাদ,మిలిటరిజం
সামৰিকতাবাদ,మిలిటరిజం
সামৰিকতাবাদ,మిలిటరిజం
সামৰিকবাদী,మిలిటరిస్ట్
সামৰিকবাদী,మిలిటరిస్ట్
সামৰিককৰণ,సైనికీకరణ
সামৰিককৰণ,సైనికీకరణ
সামৰিককৰণ,సైనికీకరణ
সামৰিক কৌশলবিদ (=কৌশলবিদ),సైనిక వ్యూహకర్త (= వ్యూహకర్త)
সামৰিক কৌশলবিদ (=কৌশলবিদ),సైనిక వ్యూహకర్త (= వ్యూహకర్త)
সামৰিক কৌশল (=কৌশল),సైనిక వ్యూహాలు (=వ్యూహాలు)
মিলিচীয়া,మిలిషియా
মিলিচীয়া,మిలిషియా
অপশাসন,దుష్పరిపాలన
লিংক হেৰাই গৈছে,లింక్ లేదు
উদ্দেশ্য,మిషన్
উদ্দেশ্য,మిషన్
উদ্দেশ্য,మిషన్
মিশ্ৰ জাতিৰ,మిశ్రమ జాతి
আধুনিক ইতিহাস,ఆధునిక చరిత్ర
মডাছ ভিভেণ্ডি,మోడ్స్ వీవెండి
মনাচিজম,మోనాకిజం
মনাৰ্ক,చక్రవర్తి
মনাৰ্ক,చక్రవర్తి
ৰাজতন্ত্ৰবাদ,రాచరికం
ৰাজতন্ত্ৰবাদ,రాచరికం
ৰাজতন্ত্ৰবাদী,రాచరికవాది
ৰাজতন্ত্ৰ,రాచరికం
মঠ,మఠం
মঠ,మఠం
মঠ,మఠం
মঠ-মন্দিৰ,సన్యాసం
মঠ-মন্দিৰ,సన్యాసం
সন্ন্যাসী,సన్యాసి
মাতৃ দেশ,మాతృదేశం
মাতৃভূমি,మాతృభూమి
সংসদৰ মাতৃ,పార్లమెంటుల తల్లి
মাকৰেকাৰছ,ముక్రాకర్స్
মামী,మమ్మీ
সংগ্ৰাহালয়,మ్యూజియం
মাস্কেট,మస్కెట్
মাস্কেটিয়াৰ,మస్కటీర్
মাস্কেট্ৰি,మస్కెట్రీ
মাস্কেট্ৰি,మస్కెట్రీ
মাষ্টাৰ মাষ্টাৰ,మస్టర్ మాస్టర్
মাষ্টাৰ-ৰোল,మస్టర్-రోల్
মাষ্টাৰ-ৰোল,మస్టర్-రోల్
বিদ্ৰোহ,తిరుగుబాటు
বিদ্ৰোহ আইন,తిరుగుబాటు చట్టం
ৰহস্য জাহাজ,మిస్టరీ షిప్
বৰ্ণনা,కథనం
জাতি,దేశం
স্থানীয়,స్థానికుడు
থলুৱা ৰাজ্য,స్థానిక రాష్ట్రం
প্ৰকৃতিবাদ,సహజత్వం
প্ৰাকৃতিক অধিকাৰ,సహజ హక్కులు
নাজী,నాజీ
নাজী বিপ্লৱ,నాజీ విప్లవం
নাজীবাদ,నాజీయిజం
পূবৰ ওচৰত,తూర్పు సమీపంలో
নিগ্ৰো,నీగ్రో
নেগ্ৰ&#39;ফিল,నీగ్రోఫిల్
নিগ্ৰোফিলিজম,నీగ్రోఫిలిజం
নিগ্ৰোফ’বিয়া,నీగ్రోఫోబియా
নিৰপেক্ষ,తటస్థ
নিৰপেক্ষ দেশ,తటస్థ దేశం
নিউ ডিল,నూతన ఒప్పందం
নতুন পৃথিৱী,కొత్త ప్రపంచం
আভিজাত্য,ప్రభువు
নোবেল,కీర్తిగల
নোবেল,కీర్తిగల
যাযাবৰী,సంచార జాతులు
যাযাবৰী গোট,సంచార గుంపు
যাযাবৰীতা,సంచారము
অ-আগ্ৰাসন চুক্তি,దురాక్రమణ రహిత ఒప్పందం
অ-আগ্ৰাসন চুক্তি,దురాక్రమణ రహిత ఒప్పందం
অযুদ্ধপ্ৰায় অৱস্থা,యుద్ధం చేయని రాష్ట్రం
অসহযোগিতা,నాన్-కో-ఆపరేషన్
অসহযোগ আন্দোলন,సహాయ నిరాకరణ ఉద్యమం
আগফালৰ অংশ,ఎదురుగా
আগফালৰ অংশ,ఎదురుగా
অক্ল&#39;ক্ৰেচি (=মব&#39;ক্ৰেচি),ఓక్లోక్రసీ (=మొబోక్రసీ)
অক্লক্ৰেট,ఓక్లోక్రాట్
চৰকাৰী নথি,అధికారిక పత్రం
পুৰণি পৃথিৱী,పాత ప్రపంచం
অলিগাৰ্চি,ఒలిగార్కీ
আক্ৰমণ,దాడి
মুকলি আলোচনা,బహిరంగ చర్చలు
